Marea Neagră,黑海
Miercurea Sibiului,錫比烏縣米耶爾庫雷亞
Brașov,布拉索夫
Alba Iulia,阿爾巴尤利亞
Dinamo 1948 București,布加勒斯特迪納摩足球俱樂部
limba greacă,希腊语
Bistrița-Năsăud,比斯特里察-訥瑟烏德縣
Aeroportul Internațional „Henri Coandă” București,布加勒斯特奥托佩尼－亨利·科安德国际机场
Revoluția Română din 1989,1989年羅馬尼亞革命
Castelul Corvinilor,科尔温城堡
Olt,奧爾特河
Partidul Comunist Român,罗马尼亚共产党
Bucovina,布科維納
Roman,羅曼
Faraoani,法拉瓦尼鄉
Sfântu Gheorghe,聖格奧爾基
Cluj-Napoca,克卢日-纳波卡
Târgu Jiu,特爾古日烏
Aromâni,阿羅蒙人
limba slovacă,斯洛伐克語
Rețeaua de drumuri europene,欧洲高速公路
Nomenclatura unităților teritoriale pentru statistică din România,羅馬尼亞地域統計單位命名法
limba arabă,阿拉伯语
Buzău,布澤烏
Râul Prut,普魯特河
Salcea,薩爾恰
Bechet,貝凱特
Biserica Ortodoxă Română,罗马尼亚正教会
Zlatna,茲拉特納
Slatina,斯拉蒂納
Lugoj,盧戈日
Drobeta-Turnu Severin,德羅貝塔-塞維林堡
sârbi,塞族
Găgăuzi,加告茲人
"Deșteaptă-te, române!",醒来吧，罗马尼亚人
Miercurea Ciuc,米耶尔库雷亚丘克
bulgari,保加利亞人
Delta Dunării,多瑙河三角洲
Podul Prieteniei Giurgiu-Ruse,多瑙橋
Zimnicea,濟姆尼恰
Orăștie,奧勒什蒂耶
Oltenia,奧爾特尼亞
Siret,錫雷特河
CFR Cluj,CFR克卢日足球俱乐部
Bușteni,布什泰尼
Parcul Național Retezat,雷泰扎特國家公園
Avrămești,阿夫勒梅什蒂鄉
Găești,格耶什蒂
Turda,圖爾達
Alexandria,亚历山德里亚
Giurgiu,久爾久
Mureș,穆列什河
Suceava,蘇恰瓦縣
drumul european E58,欧洲E58公路
Iași,雅西縣
Muntenia,蒙特尼亞
Brașov,布拉索夫縣
Vrancea,弗朗恰縣
Cluj,克卢日县
Deva,德瓦
Pianu,皮亞努鄉
Dobrogea,多布羅加
Sibiu,錫比烏縣
Timiș,蒂米什縣
Tisa,蒂薩河
Sovata,索瓦塔
Holcim,霍爾希姆
leu românesc,罗马尼亚列伊
Moldova,摩爾達維亞
Borșa,博爾沙
Bucătăria românească,羅馬尼亞飲食
Ștefănești,什泰弗內什蒂
maghiari,马札尔人
Câmpia Panonică,潘諾尼亞平原
Baia Mare,巴亞馬雷
Crișana,克里沙納
Porțile de Fier,鐵門
Sinaia,錫納亞
Satu Mare,薩圖馬雷
Buzău,布澤烏縣
Vălenii de Munte,沃萊尼德蒙泰
Canalul Dunăre-Marea Neagră,多瑙-黑海運河
Târgu Bujor,特爾古布若爾
Pucioasa,普奇瓦薩
Balș,巴爾什
Dâmbovița,登博維察河
Țara Bârsei,布尔岑兰
Murfatlar,穆法特拉
Argeș,阿爾傑什河
Timiș,蒂米什河
Piatra-Olt,皮亞特拉-奧爾特
Carpații Meridionali,南喀尔巴阡山脉
Someș,索梅什河
Oțelul Galați,加拉茨足球俱樂部
Cimitirul Bellu,Bellu公墓
Amărăștii de Sus,上阿默勒蒂鄉
Slobozia,斯洛博齊亞
23 August,八月二十三日鄉
FC Politehnica Timișoara,蒂米什瓦拉足球俱樂部
Călărași,克勒拉希
Târgu Mureș,特尔古穆列什
Turceni,圖爾切尼
Buftea,布夫泰亞
Flămânzi,弗勒門濟
Sântana,聖安娜
Podu Iloaiei,波杜伊洛阿耶伊
Sinagoga Status Quo Ante din Târgu Mureș,大猶太會堂 (特爾古穆列什)
istoria României,罗马尼亚历史
Cenei,切內伊鄉
Dej,代日
Amara,阿馬拉
Răcari,勒卡里
Ardud,阿爾杜德
Murgeni,穆爾傑尼
București,布加勒斯特
Uniunea Democrată Maghiară din România,羅馬尼亞的匈牙利人民主同盟
CTP Cluj-Napoca,克卢日-纳波卡公共交通公司
Roznov,羅茲諾夫
Fierbinți-Târg,菲耶爾賓齊-特爾格
Hunedoara,胡內多阿拉
FC Brașov,布拉索夫足球俱樂部
Mănăstirea Neamț,尼亚姆茨修道院
Fetești,費泰什蒂
Eurocorp,歐洲軍團
"Alegeri parlamentare în România, 2012",2012年羅馬尼亞國會選舉
Vișeu de Sus,上維謝烏
Grădina Botanică din Cluj,克盧日-納波卡植物園
Livezi,利韋濟鄉
Băneasa,伯尼亞薩
Potcoava,波特夸瓦
Dolhasca,多爾哈斯卡
Liteni,利泰尼
Ulmeni,烏爾梅尼
Bălcești,伯爾切什蒂
Milișăuți,米利瑟烏齊
Săliștea de Sus,上瑟利什泰亞
Vicovu de Sus,上維科武
Ovidiu,奧維迪烏
Frasin,弗拉辛
Pecica,佩奇卡
Dăbuleni,德布萊尼
Solca,索爾卡
economia României,羅馬尼亞經濟
stepa pontico-caspică,東歐大草原
Barajul Vidra,維德拉湖
Cupa Națiunilor World Rugby,橄欖球國家盃
Berbești,貝爾貝什蒂
Bucecea,布切恰
Dragomirești,德拉戈米雷什蒂
Ștefănești,什泰弗內什蒂
Titu,蒂圖
Cajvana,卡伊瓦納
Băbeni,伯貝尼
Șomcuta Mare,大紹姆庫塔
Căzănești,克澤內什蒂
Pătârlagele,珀特爾拉傑萊
Livada,利瓦達
Malnaș,馬爾納什鄉
Bălăceanu,伯勒恰努鄉
Ateneul Român,羅馬尼亞雅典娜神廟
Caransebeș,卡蘭塞貝什
Limba rusină,卢森尼亚语
Automobile Dacia,達契亞汽車
Berceni,貝爾切尼鄉
Băicoi,伯伊科伊
Regiunea de dezvoltare Nord-Vest,西北部發展地區
Dieceza de Satu Mare,天主教薩圖馬雷教區
Voinești,沃伊內什蒂鄉
Universitatea din București,布加勒斯特大学
Fântânele,芳特內萊鄉
Podul lui Traian,圖拉真橋
Muzeul Brukenthal,布鲁肯撒尔博物馆
Pâncota,彭科塔
Deta,代塔
Vașcău,瓦什克烏
Pogoanele,波瓜內萊
Poșta Română,罗马尼亚邮政
Revolta de la Brașov,布拉索夫起义
Giurtelecu Șimleului,鳩帖列庫欣列路易
limba tătară crimeeană,克里米亞韃靼語
limba slavonă,教會斯拉夫語
Limba venetă,威尼斯語
Bazilica Romano-Catolică din Oradea,圣母升天圣殿主教座堂
Sinagoga Neologă din Cluj,克盧日－納波卡猶太會堂
Mănăstirea Sucevița,蘇切維察修道院
Transilvania,特兰西瓦尼亚
Căsătorii între persoane de același sex în România,羅馬尼亞同性結合
Păcureți,珀庫雷齊鄉
Cândești,肯代什蒂鄉
Turismul în România,羅馬尼亞觀光
.ro,.ro
Copșa Mică,小科普沙
Victoria,維多利亞 (布拉索夫縣)
Segarcea,塞加爾恰
Curtici,庫爾蒂奇
Ciolpani,喬爾帕尼鄉
Bega,貝加河
Râmnicu Sărat,勒姆尼庫瑟拉特
Biblioteca Națională a României,羅馬尼亞國家圖書館
Biblioteca Centrală Universitară din București,大學中央圖書館
Buhoci,布霍奇鄉
Bucureșci,布庫雷什奇鄉
Lacul Bucura,布庫拉湖
Brusturoasa,布魯斯圖羅阿薩鄉
Buceș,布切什鄉
Lipova,利波瓦
Băilești,伯伊萊什蒂
Metroul din București,布加勒斯特地铁
Odorheiu Secuiesc,奧多爾黑尤-塞庫耶斯克
Caracal,卡拉卡爾
Alexandru Odobescu,亞歷山德魯奧多貝斯庫
Hârlău,赫爾勒烏
Budești,布代什蒂
Aleșd,阿萊什德
Comarnic,科馬爾尼克
Munții Apuseni,阿普塞尼山脈
Mănești,默內什蒂鄉
Roșiorii de Vede,羅肖里德韋代
Bunila,布尼拉鄉
Burjuc,布爾茹克鄉
Lapoș,拉波什鄉
Posești,波塞什蒂鄉
Ponoarele,波諾阿雷萊鄉
Paleu,帕萊烏鄉
Costești,科斯泰什蒂
Măcin,默欽
Glod,歌羅德村
Târgu Frumos,特爾古弗魯莫斯
Câmpina,坎皮納
România la Jocurile Olimpice,奥林匹克运动会罗马尼亚代表团
FC ASA Târgu Mureș,塔古穆雷斯陸軍體育會
AFC Rocar București,布格勒斯特機車
Blaj,布拉日
Turnul Combinatului din Baia Mare,菲尼克斯銅煉制廠
Operațiunea Iași-Chișinău,雅西-奇西瑙攻勢
Agnita,阿格尼塔
Parcul eolian Fântânele-Cogealac,芬特奈里－柯吉拉克风电场
Fulga,富爾加鄉
Însurăței,恩蘇勒采伊
Întorsura Buzăului,布澤烏河畔恩托爾蘇拉
Industria Aeronautică Română,罗马尼亚航空工业
Filiași,菲利亞希
Făget,弗傑特
Cristuru Secuiesc,克里斯圖魯-塞庫耶斯克
Comănești,科默內什蒂
Târgu Neamț,特爾古尼亞姆茨
AXN,AXN
CS Mioveni,苗韋尼體育俱樂部
Gătaia,格塔亞
Ciacova,恰科瓦
Vânju Mare,大文茹
Bătrâni,伯特勒尼鄉
Berești,貝雷什蒂
Recaș,雷卡什
Buciumi,布丘米鄉
Fălticeni,弗爾蒂切尼
Moisei,莫伊塞鄉
Camera Deputaților din România,羅馬尼亞眾議院
FC Unirea Urziceni,烏爾濟切尼足球俱樂部
Buhuși,布胡希
Dorohoi,多羅霍伊
Sălciua,瑟爾恰瓦鄉
Stolpersteine,绊脚石
Ialomița,雅洛米察河
Mamaia,马马亚
Ceangăi,昌戈人
Câmpeni,肯佩尼
Sulina,蘇利納
Biserica Evanghelică de Confesiune Augustană din România,路德宗
Andreiașu de Jos,下安德雷亞舒鄉
Rovinari,羅維納里
drumul european E576,欧洲E576公路
Urlați,烏爾拉齊
Comișani,科米沙尼鄉
Gherghița,蓋吉察鄉
Pădurea Hoia,霍伊亚森林
Partidul Democrat Liberal,民主自由党
Unirea Republicii Moldova cu România,羅馬尼亞及摩爾多瓦統一運動
Arena Națională,國家體育場
Băile Govora,伯伊萊戈沃拉
Otopeni,奧托佩尼
Abrud,阿布鲁德
Sighetu Marmației,錫蓋圖馬爾馬切伊
Bârlad,伯尔拉德
Butimanu,布蒂馬努鄉
Universitatea de Științe Agronomice și Medicină Veterinară din București,農藝科學與獸醫大學
Negrești-Oaș,內格雷什蒂瓦什
"Bistrița, Siret",比斯特里察河
Negru Vodă,內格魯大公鄉
Dărmănești,德爾默內什蒂
Regiunea de dezvoltare Sud-Vest Oltenia,西南部發展地區
Lungești,倫傑什蒂鄉
Bitdefender,BitDefender
Târgu Secuiesc,特尔古-塞奎斯
Cosminele,科斯米內萊鄉
Bicaz,比卡兹河
Sântandrei,聖安德烈鄉
Gaz Metan Mediaș,CS加斯梅登梅迪亞什
Arcul de Triumf din București,布加勒斯特凱旋門
Dacia Unirea Brăila,達契亞烏尼雷亞布勒伊拉
Câmpia Bărăganului,伯勒甘平原
Carpații Orientali,東喀爾巴阡山脈
Bucharest Ring,布加勒斯特环
Voluntari,沃倫塔里
Cerașu,切拉舒鄉
Cetate,切塔泰鄉
Liga I 2006-2007,2006年至2007年羅馬尼亞足球甲級聯賽
Federația Română de Fotbal,羅馬尼亞足球總會
Poliția Română,羅馬尼亞警察
Munții Măcin,默欽山脈
Bulevardul Unirii,聯盟大道
Băile Olănești,伯伊萊奧勒內什蒂
Axente Sever,阿克森特塞韋爾鄉
Arhidieceza de București,天主教布加勒斯特總教區
Baia de Aramă,巴亞德阿拉默
Ceptura,切普圖拉鄉
Ciorani,喬拉尼鄉
Cocorăștii Mislii,科科勒什蒂米斯利鄉
municipiu,直辖市
Videle,維代萊
Supercupa României,罗马尼亚超级杯
Bătrâna,伯特勒納鄉
Asău,阿瑟烏鄉
Câmpulung Moldovenesc,摩爾多瓦地區肯普隆格
CFR Călători,罗马尼亚铁路客运
Biserica Română Unită cu Roma,羅馬尼亞東儀天主教
Citibank România,花旗银行
Almaș,阿爾馬什鄉
insula Ada Kaleh,阿達卡萊島
Adamclisi,阿達姆克利西鄉
Vișinești,維希內什蒂鄉
Vișina Nouă,新維希納鄉
Adjud,阿德茹德
Cluj-Mănăștur,梅讷施图尔
Regiunea de dezvoltare Sud-Est,東南部發展地區
SSC Farul Constanța,康斯坦察灯塔足球俱乐部
Szabadság,自由 (報紙)
Partium,帕蒂乌姆
Colceag,科爾恰格鄉
Ceramică de Horezu,霍雷祖陶瓷
Moțăieni,莫策耶尼鄉
Curtea de Argeș,阿爾傑什河畔庫爾泰亞
Calafat,卡拉法特
Eparhia de Oradea Mare,希臘禮天主教奧拉迪亞馬雷教區
Vadu Săpat,瓦杜瑟帕特鄉
Călușarii,卡鲁斯仪式舞蹈
Universitatea Tehnică Cluj-Napoca,克卢日-纳波卡技术大学
Fortărețe dacice din Munții Orăștiei,奧勒什蒂耶山脈的達契亞要塞群
Luduș,盧杜什
Păunești,珀烏內什蒂鄉
Baia de Arieș,巴亚德阿里耶什
Băile Herculane,伯伊萊海爾庫拉內
Strehaia,斯特雷哈亞
Călimănești,克利默內什蒂
Chiajna,基亞伊納鄉
Năsăud,訥瑟烏德
Carpații Apuseni,西羅馬尼亞喀爾巴阡山脈
Dumbrăvești,敦布勒韋什蒂鄉
Partidul Conservator,罗马尼亚保守党
Mediaș,梅迪亞什
Episcopia Romano-Catolică de Iași,天主教雅西教區
Masivul Ceahlău,恰赫勒乌山脉
Puiești,普耶什蒂鄉
Ziduri,濟杜里鄉
Uzinele Faur,法乌公司
Beiuș,貝尤什
România la Concursul Muzical Eurovision Junior,羅馬尼亞在歐洲青少年歌唱大賽之歷年表現
Gloria Bistrița,比斯特里察光榮足球俱樂部
Seria 230.000,普鲁士P8型蒸汽机车
FC Snagov,威爾斯拉戈夫足球會
Aeroportul „Transilvania” Târgu Mureș,特爾古穆列什國際機場
Episcopia de Lugoj,希臘禮天主教盧戈日教區
Cerbăl,切爾伯爾鄉
Eparhia de Maramureș,希臘禮天主教馬拉穆列什教區
Universitatea „Ștefan cel Mare” din Suceava,斯特凡赛尔马大学
Horă,霍拉舞
Iza,伊扎河
Buziaș,布濟亞什
Bălan,伯蘭
Bănița,伯尼察鄉
Dieceza de Oradea Mare,天主教奧拉迪亞馬雷教區
Masivul Ciomad,乔马德火山
Autostrada A4,A4高速公路 (羅馬尼亞)
Cernat,切爾納特鄉
Ansamblul monumental Matia Corvin din Cluj,骑马雕像
Gornet,戈爾內特鄉
Munții Trascăului,特拉斯克烏山脈
Talea,塔萊亞鄉
Săcueni,瑟庫埃尼
Mica Antantă,小协约国
Eparhia de Cluj-Gherla,希臘禮天主教克盧日-蓋爾拉教區
Palatul Cotroceni,科特羅切尼宮
Râșnov,勒什諾夫
Bara,巴拉鄉
comună,羅馬尼亞的鄉
FC Olt Scornicești,奧爾特斯科爾尼切什蒂足球會
Coșereni,科謝雷尼鄉
Aeroportul Internațional „Mihail Kogălniceanu” Constanța,米哈伊爾-科格爾尼恰努國際機場
Oravița,奧拉維察
Mănăstirea Horezu,霍雷祖修道院
Mioveni,苗韋尼
Reci,雷奇鄉
Dieceza de Timișoara,天主教蒂米什瓦拉教區
Bogda,博格達鄉
Mănăstirea Voroneț,沃羅內茨修道院
Parcul Național Munții Rodnei,羅德納山脈國家公園
Novaci,諾瓦齊
Liga a II-a,罗马尼亚足球乙级联赛
Pro TV,Pro电视台
Lista prefixelor telefonice,罗马尼亚电话区号
DN1,國道1號
Sebeș,塞貝什
Tismana,蒂斯馬納
Bârsănești,伯爾格瑟內什蒂鄉
Avrig,阿夫里格
Bârgăuani,伯爾格瓦尼鄉
Masivul Postăvarul,波斯特瓦鲁尔峰
Munții Vrancei,弗朗恰山脉
Jibou,日博烏
Bisericile pictate din nordul Moldovei,北摩爾達維亞的彩色教堂群
Munții Retezat,雷泰扎特山脈
Bicaz-Chei,比卡茲凱鄉
Balcani,巴爾卡尼鄉
Târgu Lăpuș,特爾古勒普什
Babadag,巴巴達格
Bârna,伯爾納鄉
Vârfuri,沃爾富里鄉
Bertea,貝爾泰亞鄉
Beriu,貝里烏鄉
Belinț,貝林茨鄉
Cărbunești,克爾布內什蒂鄉
Drăguș,德勒古什鄉
Călugăreni,克盧格雷尼鄉
Petrila,彼得里拉
Huși,胡希
Beclean,貝克良
Horezu,霍雷祖
Darabani,達拉巴尼
Iernut,耶爾努特
Negrești,內格雷什蒂
Panciu,潘丘
Castelul Bran,布兰城堡
Munții Rodnei,羅德納山脈
Lacul Bâlea,巴萊亞湖
Căile Ferate Române,罗马尼亚铁路
Șibot,希博特鄉
Catedrala romano-catolică din Satu Mare,耶穌升天主教座堂
Mănăstirea Sfinții Trei Ierarhi din Iași,圣三一修道院
Ștei,什泰伊
Pașcani,帕什卡尼
Aiud,阿尤德
Scurgerea de cianură de la Baia Mare (2000),拜亞馬雷氰化物洩漏
Baia Sprie,巴亞斯普列
Birda,比爾達鄉
Air Bucharest,布加勒斯特航空
Cehu Silvaniei,切胡錫爾瓦涅伊
Lacul Siutghiol,休特吉奧爾湖
General Berthelot,貝爾特洛將軍鎮鄉
Bethausen,貝特哈烏森鄉
Munții Bihorului,比霍爾山脈
Jucu,约库
DN15,国道15号
Academia Română,罗马尼亚研究院
Tășnad,特什納德
"Catedrala Ortodoxă a Vadului, Feleacului și Clujului",聖母安息主教座堂
Gura Văii,古拉沃伊鄉
Cernavodă,切爾納沃德
Câmpulung,肯普隆格
Dobra,多布拉鄉
BRD - Groupe Société Générale,BRD - 法兴银行集团
Adevărul,阿德瓦鲁尔
Țicleni,齊克萊尼
Țăndărei,岑德雷伊
Stadionul Ceahlăul,席洛爾球場
Pasul Turnu Roșu,托爾努羅舒
Ianca,揚卡
Banca Comercială Română,罗马尼亚商业银行
Nucet,努切特
Blue Air,蓝色航空
Balinț,巴林茨鄉
Cupa Balcanică,巴爾幹盃
Dofteana,多夫泰亞納鄉
Campionatul Mondial de Handbal Feminin din 1962,1962年世界女子手球錦標賽
Oltenița,奥尔泰尼察
Autostrada A1,A1高速公路 (羅馬尼亞)
Beba Veche,舊貝巴鄉
Becicherecu Mic,小貝奇凱雷庫鄉
Bistra,比斯特拉乡
Blăjeni,布勒熱尼鄉
Mizil,米濟爾
Densuș,登蘇什鄉
Bărcănești,伯爾克內什蒂鄉
Seini,塞伊尼
Târgu Cărbunești,特爾古卡爾布內什蒂
Banca Transilvania,特兰西瓦尼亚银行
Banloc,班洛克鄉
Dalnic,達爾尼克鄉
Stadionul Steaua,特星球場
Drajna,德拉伊納鄉
Biserica Neagră,黑教堂
Saturn,薩圖恩
Bretea Română,布雷泰亞羅馬訥鄉
Lehliu Gară,萊赫柳加勒
Tălmaciu,特爾馬丘
Lăpugiu de Jos,下勒普久鄉
Tătărani,特特拉尼鄉
Dolhești,多爾海什蒂鄉
gara București Nord,布加勒斯特火車北站
Autostrada A2,A2高速公路 (羅馬尼亞)
Autostrada A3,A3高速公路 (羅馬尼亞)
Autostrada A5,普洛耶什蒂-阿爾比察高速公路
Drăgănești,德勒格內什蒂鄉
Teliucu Inferior,下泰利烏庫鄉
Moinești,莫伊內什蒂
Urziceni,乌尔济切尼
Mangalia,曼加利亞
Rădăuți,勒德烏齊
Sălaj,萨利纳斯河
UTA Arad,阿拉德聯隊
Peștera Movile,莫維勒洞穴
Universitatea Tehnică de Construcții din București,布加勒斯特建筑技术大学
români,羅馬尼亞人
Luncoiu de Jos,下倫科尤鄉
Lunca Cernii de Jos,下倫卡切爾尼鄉
Sarmizegetusa Regia,薩米澤傑圖薩
Topoloveni,托波洛韋尼
Techirghiol,泰基爾吉奧爾
Toplița,托普利察
Slava Cercheză,斯拉瓦切爾凱澤鄉
Castelul Peleș,佩莱什城堡
drumul european E70,欧洲E70公路
Fieni,菲耶尼
Câmpia Turzii,肯皮亞圖爾濟
monument istoric,历史遗迹
Ghimbav,金巴夫
CSU Atlassib Sibiu,錫比烏籃球俱樂部
FC Vaslui,瓦斯盧伊足球俱樂部
Almașu Mare,大阿尔马舒乡
Ordinul Franciscan,方濟會小修士
Universitatea din Craiova,克拉约瓦大学
Gherla,蓋爾拉
Săhăteni,瑟赫泰尼鄉
Filipeștii de Târg,菲利佩什蒂德特爾格鄉
Vidra,维德拉
Munții Maramureșului,馬爾馬羅什山脈
Biserica Sfântul Mihail din Cluj,聖彌額爾教堂
Milcov,米尔科夫河
Portul Constanța,康斯坦察港
Piața Unirii din Cluj,联盟广场
Tratatul de la București,布加勒斯特條約
Vața de Jos,下瓦察鄉
Finala UEFA Europa League 2012,2012年歐洲聯賽決賽
TVR 1,羅馬尼亞電視台第一台
Balaciu,巴拉丘鄉
Odobești,奧多貝什蒂
Vedea,韋代亞河
Tâmpa,坦帕山
Medgidia,梅吉迪亞
Brazi,布拉濟鄉
Sectorul 4,第四区
Sinagoga Neologă din Brașov,布拉索夫猶太會堂
Făgăraș,弗格拉什
Fundulea,豐杜萊亞
Corbii Mari,科爾比馬里鄉
Unirea Alba Iulia,烏尼雷亞阿爾巴尤利亞足球會
Ciorogârla,喬羅格爾拉鄉
Organizarea administrativ-teritorială a României,罗马尼亚行政区划
Forumul Democrat al Germanilor din România,罗马尼亚德裔民主论坛
Adâncata,阿登卡塔鄉
Partidul Național Liberal,国家自由党
Predeal,普雷代亞爾
Lacul Vidraru,維德拉魯湖
Forțele Aeriene Române,羅馬尼亞空軍
Sebiș,塞比什
Germanii din România,羅馬尼亞德裔
Bătălia din Crimeea,克里米亞戰役
Ordinariatul  Armean din România,亞美尼亞禮天主教羅馬尼亞教長區
Cheile Turzii,圖爾達峽谷
Partidul Verde,綠黨
Ceahlăul Piatra Neamț,皮亞特拉尼亞姆茨恰赫勒烏足球俱樂部
Lacul Sfânta Ana,聖安妮湖
Bordești,博爾代什蒂鄉
maghiarii din România,羅馬尼亞的匈牙利人
Chișineu-Criș,基希內烏克里什
Chiojdeanca,基奧伊代安卡鄉
Drăgănești-Olt,德勒格內什蒂-奧爾特
Nădlac,訥德拉克
Societatea de Transport Public Timișoara,蒂米什瓦拉交通
Tăuții-Măgherăuș,特烏齊默蓋勒烏什
Strei,斯特雷 (羅馬尼亞)
CSU Voința Sibiu,錫比烏沃因塔足球俱樂部
FC Politehnica Iași,普利塔力卡
Popești-Leordeni,波佩什蒂-萊奧爾代尼
Vârteșcoiu,沃爾泰什科尤鄉
drumul european E85,欧洲E85公路
Ploscuțeni,普洛斯庫采尼鄉
Vizantea-Livezi,維贊泰亞-利韋濟鄉
Holbav,霍爾巴夫鄉
Vârful Moldoveanu,摩尔多韦亚努峰
Bucov,布科夫鄉
Vlad Țepeș,弗拉德采佩什鄉
Călan,克蘭
Bățani,伯察尼鄉
Transfăgărășan,川斯發格拉山公路
Biled,比萊德鄉
Checea,凱恰鄉
Măgurele,默古雷萊鄉
Ordinul național „Pentru Merit”,國家功績勳章
Dumbrăveni,敦布勒韋尼
Gura Vadului,古拉瓦杜盧伊鄉
Câlnic,克爾尼克鄉
Banca,班卡鄉
Moreni,莫雷尼
Poșaga,波沙加鄉
