François Hollande,프랑수아 올랑드
Marc Planus,마르크 플라뉘
Françoise Sagan,프랑수아즈 사강
Mahiedine Mekhissi-Benabbad,마히딘 메키시
Édith Piaf,에디트 피아프
Nicolas Leblanc,니콜라 르블랑
Charles Messier,샤를 메시에
Jean-Dominique Cassini,조반니 도메니코 카시니
José Bové,조제 보베
Pierre-Joseph Proudhon,피에르조제프 프루동
Stéphane Audran,스테판 오드랑
Rachida Dati,라시다 다티
Florian Thauvin,플로리앙 토뱅
Charles Aznavour,샤를 아즈나부르
Renaud Lavillenie,르노 라빌레니
Serge Gainsbourg,세르주 갱스부르
Jean-Luc Mélenchon,장뤼크 멜랑숑
Laurent Blanc,로랑 블랑
Zinédine Zidane,지네딘 지단
Mathieu Debuchy,마티외 드뷔시
Robert Schuman,로베르 쉬망
Paul Thiry d'Holbach,폴 티리 돌바크
Alice Belaïdi,앨리스 벨라이디
Olivier Giroud,올리비에 지루
Wahbi Khazri,와흐비 카즈리
Joseph Gallieni,조제프 갈리에니
Jean-Armel Kana-Biyik,장아르멜 카나비크
Eugène Delacroix,외젠 들라크루아
Gao Xingjian,가오싱젠
Marie Curie,마리 퀴리
Marcel Duchamp,마르셀 뒤샹
Gustave Doré,귀스타브 도레
Julien Offray de La Mettrie,쥘리앵 오프루아 드 라 메트리
Émile Durkheim,에밀 뒤르켐
Évariste Galois,에바리스트 갈루아
Hugo Lloris,위고 요리스
Sabri Lamouchi,사브리 라무시
Corentin Martins,코랑탱 마르탱
Robert Delaunay,로베르 들로네
Georges Seurat,조르주 쇠라
Jules Verne,쥘 베른
Philippe II Auguste,필리프 2세 (프랑스)
Henri Barbusse,앙리 바르뷔스
Karim Benzema,카림 벤제마
Florent Malouda,플로랑 말루다
Laurent Koscielny,로랑 코시엘니
Jean-Marie Le Pen,장마리 르펜
Tristan Tzara,트리스탕 차라
Mehdi Mostefa,메흐디 모스테파
Sambou Yatabaré,삼부 야타바레
Yohan Cabaye,요안 카바예
Adil Rami,아딜 라미
Sophie Germain,소피 제르맹
Toifilou Maoulida,투아필루 마울리다
Jérôme Rothen,제롬 로탕
Louis Antoine de Saint-Just,루이 앙투안 레옹 드 생쥐스트
Oumar Sissoko,우마르 시소코
Gustave Courbet,귀스타브 쿠르베
Nicolas Appert,니콜라 아페르
Simone de Beauvoir,시몬 드 보부아르
Philippe Mexès,필리프 멕세스
Patrice Évra,파트리스 에브라
Franck Ribéry,프랑크 리베리
Albert Camus,알베르 카뮈
Ismaël Traoré,이스마엘 트라오레
Jonathan Schmid (football),조나탕 슈미트
Jonathan Ayité,조나탕 아이테
Yann M'Vila,얀 음빌라
Alou Diarra,알루 디아라
Fernandel,페르낭델
Steve Mandanda,스테브 망당다
Jérémy Ménez,제레미 메네즈
Marie-Anne Pierrette Paulze,마리안 폴즈 라부아지에
Édouard Manet,에두아르 마네
René Girard,르네 지라르
Anthony Réveillère,앙토니 레베이에르
Blaise Matuidi,블레즈 마튀디
Samir Nasri,사미르 나스리
Mathieu Valbuena,마티외 발뷔에나
Marcel Proust,마르셀 프루스트
Paul Cézanne,폴 세잔
Roger Martin du Gard,로제 마르탱 뒤 가르
Éric Abidal,에리크 아비달
Nadar,나다르
Pierre Curie,피에르 퀴리
Michel Ney,미셸 네
Henri Becquerel,앙리 베크렐
Eugène Charles Catalan,외젠 샤를 카탈랑
Marvin Compper,마르빈 콤퍼
Amélie de Leuchtenberg,아멜리아 드 로이히텐베르크 공녀
Marvin Martin,마르뱅 마르탱
Hatem Ben Arfa,아템 벤 아르파
Brigitte Bardot,브리지트 바르도
Sidney Govou,시드네 고부
Gaël Clichy,가엘 클리시
Cédric Carrasso,세드리크 카라소
Auguste Renoir,오귀스트 르누아르
Djibril Cissé,지브릴 시세
Émilie du Châtelet,에밀리 드 브르퇴유 뒤 샤틀레 후작부인
Charlotte Bonnet,샤를로트 보네
Igor Stravinsky,이고르 스트라빈스키
Samuel Beckett,사뮈엘 베케트
Bacary Sagna,바카리 사냐
William Gallas,윌리암 갈라스
Sébastien Squillaci,세바스티앵 스킬라치
André-Pierre Gignac,앙드레피에르 지냐크
Irène Joliot-Curie,이렌 졸리오퀴리
Nicolas Anelka,니콜라 아넬카
Jean-Marc Ayrault,장마르크 에로
Jacques Offenbach,자크 오펜바흐
Valérie Donzelli,발레리 돈젤리
Paul Gauguin,폴 고갱
Nicolas Poussin,니콜라 푸생
Abou Diaby,아부 디아비
Jérémy Toulalan,제레미 툴랄랑
Charles de Gaulle,샤를 드골
Joseph Bonaparte,조제프 보나파르트
François Mitterrand,프랑수아 미테랑
Alexandre Dumas,알렉상드르 뒤마
Louis Daguerre,루이 다게르
Henri Bergson,앙리 베르그손
Marouane Chamakh,마루안 샤마크
Dominique Pinon,도미니크 피뇽
Anatole France,아나톨 프랑스
J. M. G. Le Clézio,장마리 귀스타브 르 클레지오
Clément V,교황 클레멘스 5세
Jacques Derrida,자크 데리다
Alexandre Alekhine,알렉산드르 알레힌
Napoléon III,나폴레옹 3세
Louis XV,루이 15세
Louis Bonaparte,루이 보나파르트
Napoléon II,나폴레옹 2세
Sully Prudhomme,쉴리 프뤼돔
Georges Pompidou,조르주 퐁피두
Valéry Giscard d'Estaing,발레리 지스카르 데스탱
Alfred Jarry,알프레드 자리
Sébastien Loeb,세바스티앵 뢰브
Jules Hardouin-Mansart,쥘 아르두앙 망사르
David Ginola,다비드 지놀라
Jean-Étienne Guettard,장에티엔 게타르
Sophia Loren,소피아 로렌
Jules Harmand,프랑수아 쥘 아르망
Bixente Lizarazu,빅상트 리자라쥐
Alejo Carpentier,알레호 카르펜티에르
Charles Maurras,샤를 모라스
Joseph Fourier,조제프 푸리에
Django Reinhardt,장고 라인하르트
François II (roi de France),프랑수아 2세
Jacques Chirac,자크 시라크
Charles X,샤를 10세
Louis-Philippe Ier,루이 필리프 1세
Boris Vian,보리스 비앙
Frédéric Mistral,프레데리크 미스트랄
Claude Simon,클로드 시몽
Catherine de Médicis,카트린 드 메디시스
Jean Perrin,장 바티스트 페랭
Youri Djorkaeff,유리 조르카에프
Louise Michel,루이즈 미셸
Alain Robbe-Grillet,알랭 로브그리예
Dominique de Villepin,도미니크 드 빌팽
Rigobert Song,리고베르 송
Paul Dukas,폴 뒤카스
Alain Juppé,알랭 쥐페
Sadi Carnot (homme d'État),마리 프랑수아 사디 카르노
Coluche,콜루슈
Louis XI,루이 11세
Louis de Funès,루이 드 퓌네스
David Guetta,다비드 게타
Gustave Flaubert,귀스타브 플로베르
Jean Reno,장 르노
Saint-John Perse,생존 페르스
Pierre Puvis de Chavannes,피에르 퓌뷔 드 샤반
Hippolyte Fizeau,이폴리트 피조
Joseph Fouché,조제프 푸셰
Bourvil,앙드레 부르빌
Urbain V,교황 우르바노 5세
Gabriel Lippmann,가브리엘 리프만
Mohamed Sissoko,모하메드 시소코
Jean Ier le Posthume,장 1세 (프랑스)
Philippe V le Long,필리프 5세
Louis X,루이 10세
Antoine de Saint-Exupéry,앙투안 드 생텍쥐페리
Guillaume Apollinaire,기욤 아폴리네르
Antoine-Jean Gros,앙투안장 그로
Jean-Pierre Jeunet,장피에르 죄네
Laurent Fabius,로랑 파비위스
Charles-Valentin Alkan,샤를 발랑탱 알캉
Anselme de Cantorbéry,안셀무스 칸투아리엔시스
Charles VII (roi de France),샤를 7세
Augustin Louis Cauchy,오귀스탱 루이 코시
George Sand,조르주 상드
Louis Aragon,루이 아라공
Marion Cotillard,마리옹 코티야르
Voltaire,볼테르
Maximilien de Robespierre,막시밀리앵 드 로베스피에르
André The Giant,앙드레 더 자이언트
Louis VII le Jeune,루이 7세
Michel Foucault,미셸 푸코
Heinrich Heine,하인리히 하이네
Charles IX (roi de France),샤를 9세
Charles VIII (roi de France),샤를 8세
Thierry Omeyer,티에리 오메예르
Léon Bourgeois,레옹 부르주아
Sylvain Wiltord,실뱅 윌토르
Camille Pissarro,카미유 피사로
Maurice Gamelin,모리스 가믈랭
Alain Resnais,알랭 레네
François Jacob,프랑수아 자코브
Frédéric Kanouté,프레데리크 카누테
Michel Platini,미셸 플라티니
Jean-Michel Aulas,장미셸 올라스
Adam de la Halle,아당 드라알
Bernard Lacombe,베르나르 라콩브
René Descartes,르네 데카르트
Philippe Omnès,필리프 옴네
Pierre-Simon de Laplace,피에르시몽 드 라플라스 후작
Aurore Clément,오로르 클레망
Wissam Ben Yedder,위삼 벤 예데르
Floyd Ayité,플로이드 아이테
Raymond Queneau,레몽 크노
Colette,시도니 가브리엘 콜레트
Guy de Maupassant,기 드 모파상
Willy Sagnol,윌리 사뇰
Alexandre Alphonse,알렉상드르 알퐁스
Florent Manaudou,플로랑 마노두
Édouard Lucas,에두아르 뤼카
Camille Muffat,카미유 뮈파
Édouard Herriot,에두아르 에리오
Marie Tussaud,마리 튀소
Édouard Le Roy,에두아르 르루아
Jean-Paul Sartre,장 폴 사르트르
Jean-Jacques Goldman,장자크 골드만
Ousmane Coulibaly,우스만 쿨리발리
François Étienne Kellermann,프랑수아 에티엔 켈레르만
Honoré de Balzac,오노레 드 발자크
Zabou Breitman,자부 브레이트만
Alexis de Tocqueville,알렉시 드 토크빌
Nadia Boulanger,나디아 불랑제
Bruno Cremer,브뤼노 크레메르
Édouard Roger-Vasselin,에두아르 로제바슬랭
Anaïs Nin,아나이스 닌
Manuel Valls,마뉘엘 발스
Alexandre Millerand,알렉상드르 밀랑
Joseph-Ignace Guillotin,조제프이냐스 기요탱
Abdou Diouf,압두 디우프
Ludovic Giuly,뤼도비크 지울리
André Vingt-Trois,앙드레 뱅트루아
Pierre Boulle,피에르 불
André Citroën,앙드레 시트로엥
Pierre-Emerick Aubameyang,피에르에므리크 오바메양
Alain Prost,알랭 프로스트
Raoul Dufy,라울 뒤피
Robert Courteheuse,노르망디 공작 로베르 2세
Élie Cartan,엘리 카르탕
Christophe Lemaitre,크리스토프 르메트르
Coco Chanel,코코 샤넬
Laure Manaudou,로르 마노두
Anne Robert Jacques Turgot,안 로베르 자크 튀르고
Carla Bruni,카를라 브루니
Étienne Marcel,에티엔 마르셀
Josquin des Prés,조스캥 데프레
Bohémond de Tarente,보에몽 1세
Marguerite de France (1553-1615),발루아의 마르그리트
René Lacoste,르네 라코스트
Élise Bussaglia,엘리즈 부사글리아
Élisabeth de France (1764-1794),프랑스의 엘리자베트
Éliphas Lévi,엘리파스 레비
Anggun,앙군
Élodie Frégé,엘로디 프레제
Élodie Navarre,엘로디 나바르
Élodie Thomis,엘로디 토미스
Stephanie Szostak,스테퍼니 쇼스택
Jacques Maritain,자크 마리탱
Thierry Henry,티에리 앙리
Daniel Schneidermann,다니엘 슈네데르만
Yannick Noah,야니크 노아
Patrick Modiano,파트리크 모디아노
André-Jacques Garnerin,앙드레자크 가르느랭
Maurice-Quentin de La Tour,캉탱 드 라 투르
Rio Mavuba,리오 마뷔바
Man Ray,만 레이
Zao Wou-Ki,자오우키
Pān Yuliang,판위량
Miralem Pjanić,미랄렘 퍄니치
Jean-François Millet,장프랑수아 밀레
Jean-Baptiste Camille Corot,장바티스트 카미유 코로
Armand Traoré,아르망 트라오레
Auguste Bartholdi,프레데리크 오귀스트 바르톨디
Bob Sinclar,밥 싱클레어
André Lwoff,앙드레 르보프
Émile Benveniste,에밀 뱅베니스트
Émile Boutroux,에밀 부트루
Émile Bréhier,에밀 브레이에
Jean Picard,장 피카르
Olivier Dacourt,올리비에 다쿠르
Luis Fernandez (football),루이스 페르난데스
Maurice Barrès,모리스 바레스
Patrick Vieira,파트리크 비에라
Edgar Degas,에드가 드가
Francis Lai,프랑시스 레
Pavel Dourov,파벨 두로프
Alain (philosophe),에밀 샤르티에
Marc-Vivien Foé,마르크비비앙 푀
Bảo Đại,바오다이
Albert Soboul,알베르 소불
Émile Combes,에밀 콩브
Jacques Pierre Brissot,자크 피에르 브리소
Théodore de Bèze,테오도르 드 베즈
Camille Saint-Saëns,카미유 생상스
Jean de La Bruyère,장 드 라브뤼예르
Frédéric Beigbeder,프레데리크 베그베데
Édouard Lalo,에두아르 랄로
Émile Doumergue,에밀 두메르그
Rachida Brakni,라시다 브라크니
Maurice Leblanc,모리스 르블랑
Ivan Bounine,이반 부닌
Mickaël Landreau,미카엘 랑드로
Jean Froissart,장 프루아사르
Hector Malot,엑토르 말로
Romain Rolland,로맹 롤랑
Jules Renard,쥘 르나르
Marcel Achard,마르셀 아샤르
Gérard Philipe,제라르 필리프
Antoine-Laurent de Jussieu,앙투안 로랑 드 쥐시외
Lucien Bonaparte,뤼시앵 보나파르트
Jérôme Bonaparte,제롬 보나파르트
Frédéric Joliot-Curie,프레데리크 졸리오퀴리
André Malraux,앙드레 말로
Germaine Dulac,제르멘 뒬락
Clotilde Hesme,클로틸드 엠
Georges Bernanos,조르주 베르나노스
Henri Charrière,앙리 샤리에르
Jacques Cassini,자크 카시니
André Maurois,앙드레 모루아
Maria Schneider (actrice),마리아 슈나이더
Jean Buridan,장 뷔리당
Marie-Antoinette d'Autriche,마리 앙투아네트
André Gide,앙드레 지드
Arsène Wenger,아르센 벵거
Anne d'Autriche (1601-1666),안 도트리슈
Joachim Murat,조아킴 뮈라
Anouk Aimée,아누크 에메
Isabelle de France (1295-1358),이사벨 드 프랑스 왕녀
Marie-José Pérec,마리조제 페레크
Charlotte Gainsbourg,샤를로트 갱스부르
Charlotte Aïssé,샤를로트 아이세
Alphonse Daudet,알퐁스 도데
Martin IV,교황 마르티노 4세
György Kurtág,죄르지 쿠르탁
Didier Drogba,디디에 드로그바
Pierre Laval,피에르 라발
Françoise Mbango Etone,프랑수아즈 음방고
Olivier Messiaen,올리비에 메시앙
Paul Signac,폴 시냐크
Ulrich Ramé,윌리시 라메
Louis-Ferdinand Céline,루이페르디낭 셀린
Zoumana Camara,주마나 카마라
Zoé Félix,조에 펠릭스
Joséphine Baker,조세핀 베이커
Nicole Maurey,니콜 모리
Anne Brochet,안 브로셰
Paul Éluard,폴 엘뤼아르
Louis Réard,루이 레아르
Martine Aubry,마르틴 오브리
Yeardley Smith,야들리 스미스
Georges Feydeau,조르주 페도
Marivaux,피에르 드 마리보
Jean de La Fontaine,장 드 라 퐁텐
Ambroise Paré,앙브루아즈 파레
Pascal Chimbonda,파스칼 심봉다
Paul Painlevé,폴 팽르베
Laurent Lafforgue,로랑 라포르그
Louis-Joseph de Vendôme,루이조제프 드 부르봉 드 방돔 공작
Jean Casimir-Perier,장 카지미르 페리에
Paul Masson (cyclisme),폴 마송
Maurice Blanchot,모리스 블랑쇼
Diane de Poitiers,디안 드 푸아티에
Pierre Richard,피에르 리샤르
Pierre Charles Silvestre de Villeneuve,피에르 빌뇌브
Nicolas de Catinat,니콜라 카티나
Julien Faubert,쥘리앵 포베르
Lucien Laurent,뤼시앵 로랑
Gabriel Tarde,가브리엘 타르드
Carlos Gardel,카를로스 가르델
Hortense de Beauharnais,오르탕스 드 보아르네
Isabelle de France (1389-1409),발루아의 이사벨
Didier Ratsiraka,디디에 라치라카
Agnès Varda,아녜스 바르다
Louis Vuitton (1821-1892),루이 비통 (디자이너)
Pierre de Ronsard,피에르 드 롱사르
Robert Capa,로버트 카파
Jean Dausset,장 도세
Marie-Thérèse d'Autriche (1638-1683),마리테레즈 도트리슈
Albert Schweitzer,알베르트 슈바이처
Matthieu Delpierre,마티외 델피에르
Georges Méliès,조르주 멜리에스
Íngrid Betancourt,잉그리드 베탕쿠르
Georges-Louis Leclerc de Buffon,조르주루이 르클레르 드 뷔퐁 백작
Claude de France (1499-1524),프랑스의 클로드 (1499년)
Isabelle Aubret,이사벨 오브레
Louis-Claude Daquin,루이-클로드 다캥
Pascal Lamy,파스칼 라미
Georges Boulanger,조르주 불랑제
Pierre Schaeffer,피에르 셰페르
Marcel Dupré,마르셀 뒤프레
Philibert Tsiranana,필리베르트 치라나나
Jacek Bąk,야체크 봉크
Jan Guillou,얀 기유
François Couperin,프랑수아 쿠프랭
Adhémar de Monteil,아데마르 뒤 퓌앙부레 주교
Hugues Aufray,위그 오프레
César Franck,세자르 프랑크
Georges Charpak,조르주 샤르파크
Constantin Brâncuși,콘스탄틴 브랑쿠시
Emmanuel Levinas,에마뉘엘 레비나스
Valérie Trierweiler,발레리 트리에르바일레르
Irène Jacob,이렌 자코브
Madame du Barry,잔 베퀴 뒤 바리 백작부인
Madame de Maintenon,프랑수와즈 도비녜 드 맹트농 후작부인
Louis-Gabriel Suchet,루이 가브리엘 쉬셰
Peter Brook,피터 브룩
Louis XVII,루이 17세
François-René de Chateaubriand,프랑수아르네 드 샤토브리앙
Jean-Claude Trichet,장클로드 트리셰
Iannis Xenakis,이안니스 크세나키스
Leslie Caron,레슬리 카롱
Ève Curie,이브 퀴리
Jean Renoir,장 르누아르
Louis Leroy,루이 르루아
Isabelle Caro,이자벨 카로
Paul Mauriat (musicien),폴 모리아
Éric Rohmer,에릭 로메르
Louis Joseph Gay-Lussac,조제프 루이 게이뤼삭
Jean Le Rond d'Alembert,장 르 롱 달랑베르
Michèle Mercier,미셸 메르시에
Jean-Marie Collot d'Herbois,장마리 콜로데르부아
Micheline Bernardini,미셸린 베르나르디니
Vanessa Paradis,바네사 파라디
Cassandre (graphiste),카산드르
Albert Fert,알베르 페르
André Jolivet,앙드레 졸리베
Tony Estanguet,토니 에스탕게
Jacqueline Boyer,자클린 부아에
Marcellin Marbot,마르슬랭 마르보
Danielle Rousseau,다니엘 루소
Adolphe Marbot,아돌프 마르보
Rafik Djebbour,라피크 제부르
Sylvain Distin,실뱅 디스탱
Louis François de Boufflers,루이 프랑수아 드 부플레르 공작
Caribert II,카리베르투스 2세
Jacques Tati,자크 타티
Josselin Ier d'Édesse,조슬랭 1세 드 쿠르트네
Roman Polanski,로만 폴란스키
Marguerite Duras,마르그리트 뒤라스
Michel Fourniret,미셸 푸르니레
Maurice André,모리스 앙드레
Jacques Delors,자크 들로르
Adriana Karembeu,아드리아나 카랑뵈
Louis Renault (juriste),루이 르노 (법학자)
Édith Cresson,에디트 크레송
Jules Bianchi,쥘 비앙키
Louise-Élisabeth de France,프랑스의 루이즈엘리자베트
Louis Ier de Bourbon-Condé,루이 1세 드 콩데 친왕
Philippe Starck,필리프 스타르크
Claire Keim,클레르 켐
Moïse Kisling,모이즈 키슬링
Marcel Carné,마르셀 카르네
Jean Arp,장 아르프
Georges Braque,조르주 브라크
Paul Celan,파울 첼란
Henriette d'Angleterre,잉글랜드의 헨리에타
Anne-Marie d'Orléans,안 마리 도를레앙
Léa Seydoux,레아 세두
François de Sales,프란치스코 살레시오
Léon Flameng,레옹 플라멩
Jean-Alain Boumsong,장알랭 붐송
Benoît Cheyrou,베누아 셰이루
Paul Lafargue,폴 라파르그
Samy Naceri,사미 나세리
Oscar Ier,오스카르 1세
Eugène Lanti,외젠 랑티
Charles XIV Jean,칼 14세 요한
Jean-Luc Godard,장뤽 고다르
François Truffaut,프랑수아 트뤼포
Aristide Maillol,아리스티드 마욜
Angélique Kidjo,앙젤리크 키조
Isabeau de Bavière,바이에른의 이자보
Marie d'Anjou,마리 당주 공녀
Maurice Schumann,모리스 슈만
Jacques Monod,자크 모노
Marie-Adélaïde de Savoie,사부아의 마리 아델라이드
Jean-Dominique Bauby,장 도미니크 보비
Chiara Mastroianni,키아라 마스트로이안니
Boris Diaw,보리스 디아우
Safet Sušić,사페트 수시치
Luigi Lucheni,루이지 루케니
Hugues de Saint-Victor,위그 드 생빅토르
Tchéky Karyo,체키 카료
Vittorio De Sica,비토리오 데 시카
Gabriel Marcel,가브리엘 마르셀
Émile Borel,에밀 보렐
François Arago,프랑수아 아라고
Odilon Redon,오딜롱 르동
Isabelle d'Angoulême,이자벨 당굴렘 여백작
Marie Leszczynska,마리아 레슈친스카
Françoise Hardy,프랑수아즈 아르디
Inconnue de la Seine,센 강의 이름 없는 소녀
Victor Vasarely,빅토르 바사렐리
Joseph-Antoine Poniatowski,유제프 안토니 포니아토프스키
Charles de Freycinet,샤를 드 프레시네
Arielle Dombasle,애리엘 돔바슬
Michèle Arnaud,미셸 아르노
Stanislas Leszczynski,스타니스와프 레슈친스키
Nicolas Mahut,니콜라 마위
Suzanne Lenglen,쉬잔 랑글렌
Max Ernst,막스 에른스트
Valeria Bruni Tedeschi,발레리아 브루니 테데스키
Henri Salvador,앙리 살바도르
Jean Ferrat,장 페라
Andreï Kontchalovski,안드레이 콘찰롭스키
Léopold Sédar Senghor,레오폴 세다르 상고르
Jeanne de Bourbon (1338-1378),잔 드 부르봉 공녀
Jean-Jacques Annaud,장자크 아노
Anne-Marie-Louise d'Orléans,안마리루이즈 도를레앙 드 몽팡시에 여공작
Agnès Sorel,아녜스 소렐
Marie Cavallier,덴마크 왕자빈 마리
Casimir Perier,카지미르 페리에
Edgar Morin,에드가 모랭
Anna Karina,아나 카리나
Louise-Élisabeth d'Orléans,루이즈엘리자베트 도를레앙 공녀
Louise de La Vallière,루이즈 드 라 발리에르 공작부인
Renée Adorée,레네이 애도레이
Joseph Paul-Boncour,조제프 폴봉쿠르
Michel Chasles,미셸 샬
Michel Serrault,미셸 세로
Henri Giraud (militaire),앙리 지로
Jean Nicot,장 니코
Henri-Georges Clouzot,앙리조르주 클루조
Léon Jouhaux,레옹 주오
Philippe Léotard,필리프 레오타르
Claude Chabrol,클로드 샤브롤
Jacques Becker,자크 베케르
Gnassingbé Eyadéma,냐싱베 에야데마
Louis Malle,루이 말
Robert Bresson,로베르 브레송
Sandrine Bonnaire,상드린 보네르
Louis Néel,루이 네엘
Georges Rouault,조르주 루오
Sébastien Bassong,세바스티앵 바송
Alexis Bouvard,알렉시 부바르
Marie Laurencin,마리 로랑생
Madame de Lamballe,마담 드 랑발
René Cassin,르네 카생
Eugène de Beauharnais,외젠 드 보아르네
Clémence Poésy,클레망스 포에지
Jean Vigo,장 비고
Jacques Tourneur,자크 투르뇌
Anne-Marie David,안느 마리 다비드
Lila Kedrova,릴라 케드로바
Louis-Alexandre Berthier,루이 알렉상드르 베르티에
Philippe d'Orléans (1674-1723),필리프 2세 도를레앙 공작
Max Ophüls,막스 오퓔스
Bernadette Soubirous,베르나데타 수비루
Pierre Boulez,피에르 불레즈
Max Jacob,막스 자코브
Pierre Bourdieu,피에르 부르디외
Nicolas Charles Oudinot,니콜라 우디노
André Derain,앙드레 드랭
Ludivine Sagnier,뤼디빈 사니에
Émile Picard,에밀 피카르
Eugène Scribe,외젠 스크리브
François Furet,프랑수아 퓌레
André Maginot,앙드레 마지노
Jean-Antoine Houdon,장앙투안 우동
Gad Elmaleh,가드 엘마레
Guillaume Brune,기욤 브뢴
Henri Dutilleux,앙리 뒤티외
Émile Roux,에밀 루
Alexandre Koyré,알렉상드르 쿠아레
Andry Rajoelina,안드리 라조엘리나
Edgard Varèse,에드가르 바레즈
Georges Bizet,조르주 비제
Ismaïl Omar Guelleh,이스마일 오마르 겔레
Alfred Döblin,알프레트 되블린
Henri Rousseau,앙리 루소
Jacques Thibaud,자크 티보
Jean-Baptiste Kléber,장바티스트 클레베르
Jean-Pierre Cassel,장피에르 카셀
Luis Federico Leloir,루이스 페데리코 를루아르
Àstrid Bergès-Frisbey,아스트리드 베르제프리스베
Danielle Darrieux,다니엘 다리외
Miou-Miou,미우 미우 (배우)
Jeannie Longo,자니 롱고
Pierre Mauroy,피에르 모루아
Juliette Gréco,쥘리에트 그레코
Henri Cartier-Bresson,앙리 카르티에 브레송
Charles Nicolle,샤를 니콜
Marguerite Long,마르그리트 롱
Karina Lombard,카리나 롬바드
Nina Ricci,니나 리치
Gabrielle de Polignac,가브리엘 드 폴리냑
Souphanouvong,수파누봉
