Leandro Damião,レアンドロ・ダミアン・ダ・シウバ・ドス・サントス
Antônio do Carmo Cheuiche,アントニオ・ド・カルモ・シュイチ
Josué de Castro,"ジョズエデカストロ,"
José Maria Marin,ホセ・マリア・マリン
Adriano Correia Claro,アドリアーノ・コレイア
Maxwell Scherrer Cabelino Andrade,マクスウェル・シェレル・カベリーノ・アンドラーデ
Denílson Pereira Neves,デニウソン・ペレイラ・ネヴェス
Gilberto Silva,ジウベルト・シウバ
Rubens Barrichello,ルーベンス・バリチェロ
Jairzinho,ジャイルジーニョ
Ânderson Lima,アンデルソン・リマ・ベイガ
José Elias Moedim Júnior,ジョゼ・エリアス・モエディム・ジュニオール
Fábio Pereira da Silva,ファビオ・ペレイラ・ダ・シウヴァ
João Goulart,ジョアン・ゴラール
Diego Ribas da Cunha,ジエゴ・リバス・ダ・クーニャ
Richard Katz,リチャード・カッツ
Amazonino Mendes,アマゾニノ・メンデス
Ranieri Mazzilli,パスカル・ラビエリ・マジーリ
João Figueiredo,ジョアン・バチスタ・デ・オリヴェイラ・フィゲイレード
Wolnei Caio,ウォルネイ・カイオ
André Cruz,アンドレ・クルス
Carlos Adriano de Jesus Soares,カルロス・アドリアーノ・デ・ジョス・ソアレス
Vitor Júnior,ヴィトール・シルバ・アシス・デ・オリベイラ・ジュニオール
Tartá,ヴィニシウス・シルバ・ソアレス
David Luiz,ダヴィド・ルイス・モレイラ・マリーニョ
Eric Fernando Botteghin,エリック・フェルナンド・ボテギン
Luís Fabiano,ルイス・ファビアーノ
Rogério Miranda Silva,ホジェリオ・ミランダ・シウヴァ
Rodrigo Souto,ロドリゴ・リベイロ・ソウト
Ronald Golias,ロナルド・ゴリアテ
Breno Vinícius Rodrigues Borges,ブレノ・ロドリゲス・ボルジェス
José Jadílson dos Santos Silva,ジョゼ・ジャディウソン・ドス・サントス
Euller,エウレル・エリアス・デ・カルバーリョ
Luiz Pereira Bueno,ルイス・ブエノ
Liédson,リエジソン・ダ・シウヴァ・ムニス
Robert da Silva Almeida,ホベルッチ・ダ・シウバ・アウメイダ
Oséas,オゼアス・レイス・ドス・サントス
Fábio Alves Félix,ファビオ・アウヴェス・フェリックス
Marcel Augusto Ortolan,マルセウ・アウグスト・オルトラン
Clesly Evandro Guimarães,クレズリー・エバンドロ・ギマラエンス
Marcos Aoás Corrêa,マルコス・アオアス・コレア
Tite,アデノール・レオナルド・バッチ
Marcelo Vieira da Silva Júnior,マルセロ・ヴィエイラ・ダ・シウヴァ・ジュニオル
Zequinha de Abreu,ゼクィンハ・デ・アブレウ
José Soares da Silva Filho,ジョゼ・ソアレス・ダ・シルヴァ・フィーリョ
Zetti,アルメリーノ・ドニゼッティ・クワリアト
Dante Amaral,ダンテ・アマラウ
Silas,パウロ・シーラス・ド・プラド・ペレイラ
Ronaldinho Gaúcho,ロナウジーニョ
Ricardo Rosset,リカルド・ロセット
Tarso Marques,タルソ・マルケス
José Carlos Pace,ホセ・カルロス・パーチェ
Roberto Pupo Moreno,ロベルト・モレノ
Luciano Burti,ルチアーノ・ブルティ
Renato Piau de Sa,レナト・ピアウ・デ・サ
Leonardo Nascimento de Araújo,レオナルド・ナシメント・ジ・アラウージョ
Fábio Aurélio,ファビオ・アウレリオ・ホドリゲス
Adriano Leite Ribeiro,アドリアーノ・レイテ・リベイロ
Nelson Piquet,ネルソン・ピケ
Nathalia Timberg,ナタリア・ティンバーグ
Carlos Gilberto Nascimento Silva,カルロス・ジウベルト・ナシメント・シウヴァ
Alex Rodrigo Dias da Costa,アレックス・ロドリゴ・ディアス・ダ・コスタ
Marcos Senna,マルコス・セナ
Lucas Piazón,グスタヴォ・ルーカス・ドミンゲス・ピアソン
Ricardinho,ヒカルド・カヴァウカンチ・メンデス
Antônio Benedito da Silva,アントニオ・ベネディット・ダ・シルバ
Vilém Flusser,ヴィレム・フルッサー
Dunga,ドゥンガ
Túlio Lustosa Seixas Pinheiro,トゥーリオ・ルストーザ・セイシャス・ピネイロス
Fabrício de Souza,ファブリシオ・デ・ソウザ
Igor de Camargo,イゴール・デ・カマルゴ
Antonio Pizzonia,アントニオ・ピッツォニア
Lucas Di Grassi,ルーカス・ディ・グラッシ
Ingo Hoffmann,インゴ・ホフマン
Ricardo Zonta,リカルド・ゾンタ
Hugo Henrique Assis do Nascimento,ウーゴ・エンリケ・アシス・ド・ナシメント
Roger Machado Marques,ホージェル・マシャド・マルケス
Adriano Gerlin da Silva,アドリアーノ・ジェルリン・ダ・シルバ
João Barbosa Rodrigues,ジョアン・バルボーザ・ロドリゲス
Edno,エジノ・ホベルト・クーニャ
Giovane Élber,エウベル
Ricardo Mello,リカルド・メロ
Vera Fischer,ベラ・フィスシャー
Paulo Rodrigues Barc,パウロ・ロドリゲス・ブルク
Capitão,オレウデ・ホセ・リベイロ
Jorge Ben Jor,ジョルジ・ベンジョール
Carmen Miranda,カルメン・ミランダ
Alex Dias Ribeiro,アレックス＝ディアス・リベイロ
Christian Fittipaldi,クリスチャン・フィッティパルディ
Enrique Bernoldi,エンリケ・ベルノルディ
Lygia Bojunga,リギア・ボシュンガ・ヌーネス
Emílio Augusto Goeldi,エミール・ゲルディ
Gilberto Gil,ジルベルト・ジル
Fernando Henrique Cardoso,フェルナンド・エンリケ・カルドーゾ
Clementina de Jesus,クレメンチーナ・ジ・ジェズース
Dilma Rousseff,ジルマ・ルセフ
Wilson Fittipaldi Júnior,ウィルソン・フィッティパルディ
Marcio Rafael Ferreira de Souza,マルシオ・ラファエウ・フェレイラ・デ・ソウザ
Cláudio Caçapa,クラウディオ・カサッパ
Maria II de Portugal,マリア2世
Maurício Gugelmin,マウリシオ・グージェルミン
Chico Serra,チコ・セラ
Raul Boesel,ラウル・ボーセル
Roberto Rivellino,ロベルト・リベリーノ
Evair Aparecido Paulino,エバイール・アパレシード・パウリーノ
Marcos Rocha,マルコス・ルイス・ローシャ・アキノ
Ai Kesen,エウケソン
Cristina do Rego,クリスティーナ・ド・レゴ
Morena Baccarin,モリーナ・バッカリン
Izabel Goulart,イザベル・グラール
Dedimar Souza Lima,デジマール・ソウザ・リマ
Will Robson Emilio de Andrade,ウィル・ロブソン・エミリオ・アンドラデ
Maria Esther Bueno,マリア・ブエノ
Cristiano da Matta,クリスチアーノ・ダ・マッタ
Pedro Paulo Diniz,ペドロ・ディニス
Almir de Souza Fraga,アウミール・デ・ソウザ・フラガ
Eduardo Francisco da Silva Neto,エドゥアルド・フランシスコ・ダ・シウヴァ・ネト
Zózimo,ゾジモ
Leandro Salino do Carmo,レアンドロ・サリーノ
Alessandro Cambalhota,アレサンドロ・アンドラーデ・ジ・オリヴェイラ
Henrique Pacheco Lima,エンリケ・パシェコ・デ・リマ
Jordana Brewster,ジョーダナ・ブルースター
Alice Braga,アリシー・ブラガ
Antônio Carlos Jobim,アントニオ・カルロス・ジョビン
Nelson Piquet Jr.,ネルソン・ピケJr.
Emerson Fittipaldi,エマーソン・フィッティパルディ
Doni Marangon,ドニエベル・アレシャンデル・マランゴン
Fabricio Melo,ファブ・メロ
Edi Andradina,エジ・カルロス・ディアス・マルサウ
Bertrand de Orléans e Bragança,ベルトランド・デ・オルレアンス・イ・ブラガンサ
Heurelho da Silva Gomes,エウレリョ・ダ・シウヴァ・ゴメス
Romário,ロマーリオ
Sérgio Dutra Santos,セルジオ・ドゥトラ・サントス
Vitorino Hilton,ヴィトリーノ・イウトン・ダ・シウヴァ
Maurren Maggi,マウレン・マギ
Roberto Dinamite,ロベルト・ディナミッチ
Chico Mendes,シコ・メンデス
Djalminha,ジャウマ・フェイトサ・ジアス
Lucas Pezzini Leiva,ルーカス・レイヴァ
Artur Antunes Coimbra,ジーコ
Edson Rodrigues,エジソン・ロドリゲス
Edu Marangon,カルロス・エドゥアルド・マランゴン
Cicinho,シシーニョ
Ademar Pereira de Barros,アデマール・デ・パロス
Adhemar Ferreira da Silva,アデマール・ダ・シルバ
Adib Jatene,アヂビ・ジャテーニ
Francisco Ernandi Lima da Silva,フランシスコ・エルナンディ・リマ・ダ・シルバ
Éverton Nogueira,エバートン・ノゲイラ
Bismarck Barreto Faria,ビスマルク・バレット・ファリア
Artur Guilherme Moraes Gusmão,アルトゥール・モラエス
Fellype Gabriel,フェリペ・ガブリエル・デ・メロ・エ・シウバ
Rodrigo Lacerda Ramos,ロドリゴ・ラセルダ・ラモス
Daniel Alves,ダニエウ・アウヴェス
Ana Carolina Reston Marcan,アナ・カロリナ・レストン
Fabiana Murer,ファビアナ・ムレル
Maria Amélia de Bragança,マリア・アメリア・デ・ブラガンサ
Sérgio Manoel Júnior,セルジオ・マノエル
Carlos Alberto Costa Dias,カルロス・アルベルト・コスタ・ジアス
Garrincha,ガリンシャ
Lucimar Aparecida de Moura,ルシマール・アパレシダ・デモーラ
Maicon Douglas Sisenando,マイコン・ダグラス・シセナンド
Sandy,サンディ
Abilio Diniz,アビーリオ・ディニス
Jorge Antônio Putinatti,ジョルジ・アントニオ・プチナッチ
Aldrovani Menon,アウドロヴァーニ・メノン
Alex Sandro,アレックス・サンドロ・ロボ・シウバ
Glauber Rocha,グラウベル・ローシャ
Cacau,カカウ
José Roberto da Silva Júnior,ジョゼ・ロベルト・ダ・シウヴァ・ジュニオル
Antonio de Aguiar Patriota,対外関係大臣
Leandro Barbosa,リアンドロ・バルボサ
Sarah Menezes,サラ・メネゼス
Maria Bethânia,マリア・ベターニア
Zumbi dos Palmares,ズンビ・ドス・パルマーレス
Astrud Gilberto,アストラッド・ジルベルト
Leonardo de Deus Santos,デーデー
Jader Volnei Spindler,ジャデル・ヴォルネイ・スピンドラー
Gilson do Amaral,ジウソン・ド・アマラウ
Marques Batista de Abreu,マルケス・バチスタ・デ・アブレウ
Ivete Sangalo,イヴェッチ・サンガロ
Clarice Lispector,クラリッセ・リスペクトール
Marisa Monte,マリーザ・モンチ
Robert Falkenburg,ボブ・ファルケンバーグ
Paulo Cézar Lima,パウロ・セーザル・リマ
Joel Santana,ジョエル・サンタナ
Kléber de Carvalho Correia,クレーベル・デ・カルヴァーリョ・コレイア
Fábio de Jesus,ファビオ・デ・ジェズス
Márcio Rodrigues,マルシオ・ロドリゲス
Adolfo Lutz,アドルフォ・ルッツ
Caroline Trentini,キャロライン・トレンティーニ
Belletti,ジュリアーノ・ベレッチ
Filipe José Machado,フィリペ・マシャド
Pedro Luiz de Orleans e Bragança,ペドロ・ルイス・デ・オルレアンス・イ・ブラガンサ
Jaqueline Carvalho,ジャケリネ・カルバリョ
Jennifer O'Neill,ジェニファー・オニール
Paulinho da Viola,パウリーニョ・ダ・ヴィオラ
Marta Vieira da Silva,マルタ
Robinho,ロビーニョ
Sônia Braga,ソニア・ブラガ
Ana Beatriz Barros,アナ・ベアトリス・バロス
Francisco Wanderson do Carmo Carneiro,ワンデルソン・ド・カルモ
Palhinha,ジョルジ・フェレイラ・ダ・シウバ
Oswaldo Cruz,オズワルド・クルス
Casemiro Mior,カゼミーロ・ミオール
Bruno Coutinho Martins,ブルーノ・コウチーニョ・マルティンス
Cafu,カフー
Elivélton,エリベウトン・アルヴェス・ルフィーノ
Lateef Crowder,ラティーフ・クラウダー
João Leite da Silva Neto,ジョアン・レイチ・ダ・シウヴァ・ネト
Amauri Carvalho de Oliveira,アマウリ・カルヴァーリョ・デ・オリヴェイラ
Norberto Murara Neto,ノルベルト・ムラーラ・ネト
Leandro Euzébio,レアンドロ・ダ・フォンセカ・エウゼビオ
Sérgio Luís Donizetti,セルジオ・ルイス・ドニゼッティ
Eduardo Nascimento Costa,エドゥアルド・コスタ
Emerson Sheik,マルシオ・パッソス・ジ・アルブケルケ
Fritz Müller,フリッツ・ミューラー
Maiara Walsh,マイアラ・ウォルシュ
Marina Silva,マリナ・シルバ
Sebastião Lazaroni,セバスティアン・ラザロニ
Toninho Cerezo,トニーニョ・セレーゾ
Luiz Gonzaga,ルイス・ゴンザーガ
Cristiane Rozeira de Souza Silva,クリスチアニ・ホゼイラ・ジ・ソウザ・シウヴァ
Francisca de Bragança,フランソワーズ・ド・ブラガンス
Raquel Zimmermann,ラケル・ジマーマン
Ismael Nery,イスマエル・ネリ
Alan Douglas Borges de Carvalho,アラン・ドグラス・ボルジェス・デ・カルヴァーリョ
Eduardo da Silva,エドゥアルド・ダ・シルヴァ
Gal Costa,ガル・コスタ
Fernando Collor de Mello,フェルナンド・コロール・デ・メロ
Rincón,カルロス・エドゥアルド・ジ・カストロ・ロウレンソ
Royce Gracie,ホイス・グレイシー
José Roberto Bertrami,ホセ・ロベルト・ベルトラミ
Nina Miranda,ニナ・ミランダ
Haílton Corrêa de Arruda,マンガ
Sandro Ranieri Guimarães Cordeiro,サンドロ・ラニエリ・ギマランイス・コルデイロ
Rhayner,ハイネル・サントス・ナシメント
Floriano Peixoto,フロリアーノ・ペイショト
Patápio Silva,パタピオ・シルヴァ
João Batista da Silva,ジョアン・バチスタ・ダ・シウバ
José Marco Melo,ホセ・メロ
Olavo Bilac,オラーヴォ・ビラック
Robson da Silva,ロブソン・ダ・シルバ
Zé Sérgio,ジョゼ・セルジオ・プレスティ
Danilo Sousa Campos,ヒシャルジ・ダニーロ・マシエウ・ソウザ・カンポス
Jefferson Andrade Siqueira,ジェフェルソン・アンドラーデ・シケイラ
Murilo Endres,ムーリオ・エンドレス
Alexander Kellner,アレクサンダー・ケルナー
Danilo Gabriel de Andrade,ダニーロ・ガブリエル・デ・アンドラーデ
Waldemar de Brito,ヴァウデマール・デ・ブリト
José Sarney,ジョゼ・サルネイ
Rodrigo Tabata,ホドリゴ・バルボーザ・タバタ
Evaristo de Macedo,エヴァリスト・デ・マセド
Jajá Coelho,ジャクソン・コエーリョ
Joubert Araújo Martins,ジョベルト・アラウジョ・マルチンス
Bruno Lins,ブルーノ・デ・バロス
Arthur Moreira Lima,アルトゥール・モレイラ・リマ
Celso Furtado,セルソ・フルタボ
Bruno Fernandes de Souza,ブルーノ・フェルナンデス・ジ・ソウザ
Bruno Oscar Schmidt,ブルーノ・オスカー・シュミット
Ronny Heberson Furtado de Araújo,ロニー・エベルソン・フルタード・デ・アラウージョ
Doriva,ドリヴァル・グイドニ・ジュニオール
Paulo Isidoro de Jesus,パウロ・イジドーロ・デ・ジェスス
José João Altafini,ジョゼ・アルタフィーニ
Maicon Thiago Pereira de Souza,マイコン・チアゴ・ペレイラ・ジ・ソウザ
Arthur Zanetti,アルトゥール・ザネッティ
José Alexandre Alves Lindo,ジョゼ・アレシャンドレ・アウベス・リンド
Sidmar Antonio Martins,シジマール・アントニオ・マルチンス
Ryan Gracie,ハイアン・グレイシー
Alex Raphael Meschini,アレックス・ラファエウ・メスキーニ
Caiuby Francisco da Silva,カイウビー・フランシスコ・ダ・シウヴァ
Guilherme Milhomem Gusmão,ギリェルメ・ミリョメム・グスマン
Jaime Oncins,ジャイミ・オンシンス
Bruno Gagliasso,ブルーノ・
Bruna Tenório,ブルーナ・テノリオ
Arlindo Cruz,アルリンド・クルス
Ederson Tormena,エデルソン・トルメナ
Huenes Marcelo Lemos,ヘネス・マルセロ・レモス
Airton Graciliano dos Santos,アイルトン・グラシリアーノ・ドス・サントス
Leandro Simioni,レアンドロ・ビラス・ボアス・シミオニ
Moacir Rodrigues dos Santos,モアシール・ロドリゲス・サントス
Geovanni,ジェオヴァンニ・デイベウソン・マウリシオ・ゴメス
Álvaro Luiz Maior de Aquino,アウヴァーロ・ルイス・マイオル・ジ・アキノ
Álvaro Márcio dos Santos,アルヴァロ・サントス
Toquinho,トッキーニョ
Celso Luís Honorato Júnior,セウソ・ルイス・オノラト・ジュニオール
Willian Gomes de Siqueira,ヴィリアン・ゴメス・ジ・シケイラ
Thiago Ribeiro,チアゴ・リベイロ
Ailton Almeida,アイルトン・ホセ・アルメイダ
Wallace Souza,ウォレス・ソウザ
Alan Bahia,アラン・ペレイラ・コスタ
Emerson de Andrade Santos,エメルソン・デ・アンドラーデ・サントス
Alfie Enoch,アルフレッド・イーノック
Jorge José Emiliano dos Santos,ジョルジ・ジョゼ・エミリアーノ・ドス・サントス
Edu Dracena,エドゥ・ドラセナ
Maicon Pereira Roque,マイコン・ペレイラ・ロケ
Edson Araújo,エジソン・アラウージョ・ダ・シルバ
José Lázaro Robles,ジョゼ・ラザロ・ロブレス
Gilberto Galdino dos Santos,ジルベルト・ガルディーノ・ドス・サントス
Renan Marques,レナン・アウグスチーニョ・マルケス
Ânderson Miguel da Silva,アンデルソン・ミゲル・ダ・シウバ
Ânderson Polga,アンデルソン・ポウガ
Gustavo Nery,グスタヴォ・ネリー・ヂ・サ・ダ・シウヴァ
Capone,カルロス・アルベルト・デ・オリベイラ
Bellini,イウデラウド・ルイス・ベリーニ
Thaísa Menezes,タイーザ・メネセス
Alexandre Goulart,アレシャンドレ・ルイス・グラール
Sheilla Castro,シェイラ・カストロ
Bebel Gilberto,ベベウ・ジルベルト
Junior Negão,グレイディオノール・フィゲイレド・ピント・ジュニオール
Iracema Trevisan,イラチェマ・トレヴィサン
Leopoldina de Bragança e Bourbon,レオポルディナ・フォン・ブラジリエン
Manuel Bandeira,マヌエル・バンデイラ
Jean Charles de Menezes,ジェアンシャルレス・ジメネゼスの死
Edenilson Andrade dos Santos,エジニウソン・アンドラージ・ドス・サントス
Carlos Kirmayr,カルロス・カーマイヤー
Sérgio Buarque de Holanda,セルジオ・ブアルキ・ヂ・オランダ
José Loiola,ジョゼ・ロヨラ
Carlos Renato Frederico,カルロス・レナト・フェデリコ
Nélida Piñon,ネリダ・ピニョン
Eliane Elias,イリアーヌ・イリアス
Rômulo Borges Monteiro,ロムロ・ボルジェス・モンテイロ
Apodi,ルイス・ジャリソン・ジ・ソウザ・アウベス
Raudinei Anversa Freire,ハウジネイ・アニヴェルサ・フレイレ
Elizeu Ferreira Marciano,エリゼウ・フェレイラ・マルシアーノ
Tiago Della Vega,チアゴ・デラ・ヴェガ
Wellingsson de Souza,ウェリングソン・デ・ソウザ
Arivaldo Alves dos Santos,アリバルド・アルベス・ドス・サントス
Luiz Phellype,ルイス・フェリッピ・ルシアーノ・シウヴァ
Adriano Cintra,アドリアーノ・シントラ
Anselmo Duarte,アンセルモ・ドゥアルテ
Almeida Júnior,アルメイダ・ジュニオール
Carlos Lyra,カルロス・リラ
