Latvija,拉脫維亞
Pļaviņas (stacija),普利亚维尼亚斯站
Tukums II,图库姆斯II站
Ilmāja,伊尔玛亚站
Rītupe,烏特羅亞河
Salaca,薩拉察河
Ķemeru nacionālais parks,凱邁里國家公園
Ventspils osta,文茨皮尔斯港
Latvijas Zemnieku savienība,拉脱维亚农民联盟
Latvijas Krievu savienība,拉脱维亚俄罗斯族联盟
Rīgas ģerbonis,里加市徽
Skonto stadions,斯孔托体育场
Ventspils novads,文茨皮爾斯市鎮
Gaisma (stacija),盖斯马站
Glūda (stacija),格卢达站
Vabole (stacija),瓦博莱站
Vaivari (stacija),瓦伊瓦里站
Vaivari,瓦伊瓦里
Latvijas Nacionālais mākslas muzejs,國立拉脫維亞美術館
Mēmele,內穆內利斯河
Jaunais laiks,新时代党
Dundagas pils,敦達加城堡
Atgāzene (stacija),阿特加泽内站
Asari (stacija),阿萨里站
Babīte (stacija),巴比泰站
Dobele (stacija),多贝莱站
Dorupe (stacija),多鲁佩站
Durbe (stacija),杜尔贝站
Kolkasrags,科尔卡角
Baltijas valstu nacionālo parku uzskaitījums,波罗的海三国国家公园列表
Koknese (stacija),科克内塞站
Kurzemes plānošanas reģions,庫爾澤梅計畫區
Krustpils pils,克魯斯特皮爾斯城堡
Krāslavas ordeņa pils,克拉斯拉瓦旧宫
Ludza (upe),勒扎河
Iecava (upe),耶察瓦河
Jelgavas pils,葉爾加瓦宮
Liepājas osta,利耶帕亚港
Aizkraukles kauja (1279),埃兹卡乌克战役
Slīteres nacionālais parks,斯里特國家公園
Rīgas Kristus Piedzimšanas katedrāle,圣诞主教座堂·(里加)
Saukas ezers,紹卡斯湖
Lielstraupes pils,利斯特勞普城堡
Lielupe (Jūrmala),利耶卢佩
Jaundubulti,新杜布尔季
Latvijas Republikas proklamēšanas diena,拉脱维亚独立日
Sports Latvijā,拉脫維亞體育
Dinaburgas pils,迪納布爾加城堡
Dzintari (stacija),津塔里站
Dzintari,津塔里
Līvbērze (stacija),利夫贝尔泽站
Dzelzceļa līnija Ventspils—Tukums II,文茨皮尔斯-图库姆斯铁路
Alauksts,阿勞克斯特斯湖
Ogre (stacija),奥格雷站
Lielvārde (stacija),利耶尔瓦尔代站
Latvijas volejbola izlase,拉脫維亞國家男子排球隊
Josta (stacija),约斯塔站
Kalvene (stacija),卡尔韦内站
"Latvijas Vides, ģeoloģijas un meteoroloģijas centrs",拉脱维亚环境、地质与气象中心
Jaunogre (stacija),新奥格雷站
Jaunolaine (stacija),新奥莱内站
Jumprava (stacija),尤姆普拉瓦站
Dzelzceļa līnija Rīga—Jelgava,里加-葉爾加瓦鐵路
Jersika (stacija),耶尔斯卡站
Dubulti (stacija),杜布尔季站
Saldus (stacija),萨尔杜斯站
Liepājas ezers,利耶帕亞湖
Latvijas Okupācijas muzejs,拉脱维亚被占领时期博物馆
Grobiņas pils,格羅比尼亞城堡
Lašupe (ciems),拉舒佩
Latvijas Zinātņu akadēmija,拉脱维亚科学院
Rušons,魯紹納斯湖
Kolka,科尔卡村
Zosēnu pagasts,藻塞尼堂区
Depo (stacija),德波站
Nepilsoņi (Latvija),非公民·(拉脫維亞)
Imanta (stacija),伊曼塔站
Amatas novads,阿馬塔市鎮
Latvijas saimniecība,拉脫維亞經濟
Kaibala (stacija),凯巴拉站
Tukums I,图库姆斯I站
Smārde (stacija),斯马尔代站
Kandava (stacija),坎达瓦站
Ķemeri (stacija),基耶梅里站
Melluži (stacija),梅卢日站
Vārnukrogs,瓦尔努克罗格斯
Namiķi (Lutriņu pagasts),纳米基·(卢特里尼堂区)
Latvijas politika,拉脫維亞政治
Ozolnieki (stacija),奧佐爾涅基車站
Rēzekne (upe),雷澤克內河
LPP/LC,拉脱维亚第一党/拉脱维亚道路
Latvijas Nacionālais vēstures muzejs,國立拉脫維亞歷史博物館
Latvijas augstskolas un koledžas,拉脱维亚大学列表
Latvijas Radio,拉脫維亞廣播電台
Kūkova,庫赫瓦河
Kūdra (stacija),库德拉站
Līči (stacija),利奇站
Latvija 2014. gada ziemas olimpiskajās spēlēs,2014年冬季奧林匹克運動會拉脫維亞代表團
Līgciems (stacija),利格茨埃姆斯站
Lutriņi,卢特里尼
Latvijas Nacionālais teātris,拉脫維亞國家劇院
Rīgas Horālā sinagoga,大合唱猶太會堂·(里加)
Viļakas novads,維利亞卡市鎮
Rīgas sinagogas,佩塔夫猶太會堂
Milzkalne (stacija),米尔兹卡尔内站
Līksna (stacija),利克斯纳站
Līvāni (stacija),利瓦尼站
Lielupe (stacija),利耶卢佩站
Liepas pagasts,利耶帕堂区
Majori (stacija),马约里站
Lašupe (stacija),拉舒佩站
Zunda Towers,尊达塔
Lielvārdes pils,利耶爾瓦爾代城堡
Ikšķile (stacija),伊克什基莱站
Zīlāni,济拉尼
Latvijas krievi,在拉脱维亚的俄罗斯人
Rīgas Stradiņa universitāte,里加斯特拉金什大学
Pumpuri (stacija),普姆普里站
Priedaine (stacija),普里埃代内站
Dubulti (Jūrmala),杜布尔季
Olaine (stacija),奥莱内站
Ozolsala (stacija),奥佐尔萨拉站
Rīgas arhidiecēze (Romas katoļu),天主教里加總教區
Latvijas politisko partiju uzskaitījums,拉脫維亞政黨列表
Vecpiebalgas novads,舊皮耶巴爾加市鎮
Ventas rumba,文塔瀑布
Auces novads,奧采市鎮
Pāvilostas novads,帕維洛斯塔市鎮
Mežciems (stacija),梅日齐姆斯站
Kūdra (Jūrmala),库德拉
Durbes novads,杜爾貝市鎮
Latvijas dzelzceļa vēstures muzejs,拉脱维亚铁路历史博物馆
Nīcgale (stacija),尼茨加莱站
Valkas novads,瓦爾卡市鎮
Ciblas novads,齊布拉市鎮
Rīgas birža (mākslas muzejs),拉脫維亞外國藝術美術館
Nīcas novads,尼察市鎮
Alotene,阿洛滕内站
Pasažieru vilciens,拉脱维亚铁道客运公司
Padone,帕多内站
FK Tukums 2000/Telms,图库姆斯2000足球俱乐部
Trepe (stacija),特雷佩站
Krustpils (stacija),克鲁斯特皮尔斯站
Viesītes novads,維耶西泰市鎮
FK Spartaks Jūrmala,尤爾馬拉斯巴達克斯足球俱樂部
Latavio,拉脫維亞航空
Ķeguma novads,基耶古姆斯市镇
Jaunpils novads,新皮爾斯市鎮
Turaidas pils,圖雷達城堡
Lubānas novads,盧巴納市鎮
Sieksāte (stacija),锡埃克萨泰站
Sabile (stacija),萨比莱站
Beverīnas novads,貝韋里納市鎮
Viļānu novads,維利亞尼市鎮
Cirms,齊爾馬湖
Stende (stacija),斯滕代站
Baldones novads,巴爾多內市鎮
Vendi (Livonija),温迪
Ilūkstes novads,伊盧克斯泰市鎮
Kandavas novads,坎達瓦市鎮
Aglonas novads,阿格洛納市鎮
Valmiera FC,瓦尔米耶拉足球俱乐部
Dzelzceļa tilts (Rīga),鐵路橋·(里加)
Mihaila Čehova Rīgas Krievu teātris,里加俄羅斯劇場
Ērgļu novads,埃爾格利市鎮
Babītes novads,巴比泰市鎮
Siguldas viduslaiku pils,錫古爾達中世紀城堡
Burtnieku novads,布爾特涅基市鎮
Sloka (stacija),斯洛卡站
Praviņi (stacija),普拉维尼站
Puze (stacija),普泽站
Pūre (stacija),普雷站
Rupjmaize,拉脱维亚黑麦面包
Rudbārži (stacija),鲁德巴尔日站
Rojas osta,罗亚港
Rudbāržu muiža,鲁德巴尔日宫
Engures novads,恩古雷市鎮
Skulte (Skultes pagasts),斯库尔泰
Jaunpiebalgas novads,新皮耶巴爾加市鎮
Ozolnieku novads,奧佐爾涅基市鎮
Grobiņas novads,格羅比尼亞市鎮
Riebiņu novads,里耶比尼市鎮
Rundāles novads,倫達萊市鎮
Raunas novads,勞納市鎮
Salaspils novads,薩拉斯皮爾斯市鎮
Rucavas novads,魯察瓦市鎮
Rīgas Motormuzejs,里加汽車博物館
Rīgas Futbolklubs,歷加斯足球會
Rīgas karogs,里加市旗
Neretas novads,內雷塔市鎮
Saskaņa,社会民主党“和谐”
Latvijas Superkauss futbolā,拉脫維亞超級盃
Salaspils (stacija),萨拉斯皮尔斯站
Skrīveri (stacija),斯克里韦里站
Skrunda (stacija),斯克伦达站
Slampe (stacija),斯拉姆佩站
Spāre (stacija),斯帕雷站
Apšupe (stacija),阿普舒佩站
Asari (Jūrmala),阿萨里
Salacgrīvas novads,薩拉茨格里瓦市鎮
Inčukalna novads,印楚卡倫斯市鎮
Tērvetes novads,泰爾韋泰市鎮
Krustpils novads,克魯斯特皮爾斯市鎮
Līvānu novads,利瓦尼市鎮
Dundagas novads,敦達加市鎮
Jaundubulti (stacija),新杜布尔季站
Tadaiķi (stacija),塔代基站
Stopiņu novads,斯托皮尼市鎮
Mazsalacas novads,馬茲薩拉察市鎮
Alsungas viduslaiku pils,亞松加城堡
Torņakalns (stacija),托尔尼亚卡尔内斯站
Tīraine (stacija),季赖内站
Ugāle (stacija),乌加莱站
Tore,托雷站
Priekuļu novads,普里埃庫利市鎮
Strenču novads,斯特倫奇市鎮
Skrundas novads,斯克倫達市鎮
Aizkraukle (stacija),艾兹克劳克莱站
Airīte,艾里泰站
Dendrārijs (stacija),植物园站·(拉脱维亚)
Vagonu parks (stacija),瓦戈努帕尔克斯站
Usma (stacija),乌斯马站
Latvijas demogrāfija,拉脫維亞人口
Cesvaines novads,采斯瓦伊內市鎮
Zolitūde (stacija),佐利图代站
Ikšķiles novads,伊克什基萊市鎮
Iecavas novads,耶察瓦市鎮
Zasulauks (stacija),扎苏劳克斯站
Papes ezers,帕佩斯湖
Bakans,巴坎斯湖
Rūjienas novads,魯伊耶納市鎮
Vecumnieku novads,舊烏姆涅基市鎮
Svēte (upe),什韋特河
Rojas novads,羅亞市鎮
Krimuldas novads,克里穆爾達市鎮
Pārgaujas novads,帕高亞市鎮
Ventspils viduslaiku pils,雲特史比斯城堡
Baloži (stacija),巴洛日站
Ventspils (stacija),文茨皮尔斯I站
Ventspils II,文茨皮尔斯II站
Viesturi (stacija),维埃斯图里站
Viesturu pagasts,维埃斯图里堂区
Kārsavas novads,卡爾薩瓦市鎮
Priekules novads,普列庫萊市鎮
Vidzemes plānošanas reģions,維澤梅計畫區
Vidzemes Pagaidu Zemes padome,维泽梅省级委员会
Saulkalne (stacija),绍尔卡尔内站
Šķirotava (stacija),什基罗塔瓦站
Rumbula (stacija),鲁姆布拉站
Dārziņi (stacija),达尔齐尼站
Dole (stacija),多莱站
Rīgas vēstures un kuģniecības muzejs,里加歷史和航海博物館
Aizputes novads,艾茲普泰市鎮
Mazā ģilde (Rīga),小行会会所·(里加)
Rīgas Svētā Jāņa baznīca,聖約翰教堂·(里加)
Apes novads,阿佩市鎮
Zvāre (stacija),兹瓦莱站
Blīdene (stacija),布利代内站
Biksti (stacija),比克斯季站
Brakšķi (stacija),布拉克什基站
Ķegums (stacija),基耶古姆斯站
Īves pagasts,伊韦堂区
Dagdas novads,達格達市鎮
Dzelzceļa līnija Jelgava—Liepāja,叶尔加瓦-利耶帕亚铁路
Piltenes viduslaiku pils,皮爾泰內城堡
Latvijas Mākslas akadēmija,拉脱维亚美术学院
Kaķu nams,貓之屋
Cēsu pils,采西斯城堡
Rīgas plānošanas reģions,里加計畫區
Bulduri (stacija),布尔都里站
Olaines novads,奧萊內市鎮
Spilves lidosta,斯皮尔韦机场
Rīgas metropolitēns,里加地铁
Latvijas Republikas Saeimas nams,立窩尼亞貴族之家
Latvijas rublis,拉脫維亞盧布
Misa (upe),米薩河
FK Liepāja,利柏查足球會
Ciemupe (stacija),茨埃姆佩站
Muldakmens (stacija),穆尔达克门斯站
Jāņu siers,亚尼奶酪
Jāņavārti,雅尼亚瓦尔季站
Elkšķene (stacija),埃尔克什基内站
Salas novads,薩拉市鎮
Daugavpils lidlauks,陶格夫匹尔斯国际机场
Zemgales plānošanas reģions,澤姆加爾計畫區
Pārogre (stacija),帕罗格雷站
Rīgas Pasažieru stacija,里加客運站
Daugavpils (stacija),陶格夫匹尔斯站
Sloka (Jūrmala),斯洛卡
Latvijas U-21 futbola izlase,拉脫維亞21歲以下國家足球隊
Krievvalodīgie,东欧文化圈
Latgales plānošanas reģions,拉特加爾計畫區
Juglas ezers,尤格拉斯湖
Latvijas Ģeotelpiskās informācijas aģentūra,拉脱维亚地理空间信息局
Jaunjelgavas novads,新葉爾加瓦市鎮
Riga FC,列加足球會
Latvijas karogu uzskaitījums,拉脫維亞旗幟列表
Alberta iela (Rīga),阿尔伯特街·(里加)
Riču ezers,雷奇湖
Zviedru vārti Vecrīgā,瑞典门
Lielās ģildes nams,大行会会所
Cesvaines pils,采斯瓦伊內宮
Alūksnes viduslaiku pils,阿卢克斯内城堡
Lāči (stacija),拉契站
Lutriņi (stacija),卢特里尼站
Alojas novads,阿洛亞市鎮
Aizsargi (organizācija),拉脫維亞衛士團
Rīgas osta,里加自由港
Ķemeri,基耶梅里
Lidosta "Ventspils",文茨皮尔斯机场
Zilupes novads,濟盧佩市鎮
Latvija 2016. gada vasaras olimpiskajās spēlēs,2016年夏季奧林匹克運動會拉脫維亞代表團
Livonijas Kauss futbolā,利伏尼亞盃
Jaunais Rīgas teātris,新里加劇場
Lībiešu krasts,立窝尼亚海岸
Latvijas plānošanas reģioni,拉脫維亞計畫區
Alūksnes novads,阿盧克斯內市鎮
13. Saeimas vēlēšanas,2018年拉脫維亞議會選舉
Sarja (upe),薩良卡河
Rīgas Svētā Jura baznīca,聖喬治教堂·(里加)
Komunistiskā terora upuru piemiņas vieta Torņakalnā,托尔尼亚卡尔内斯共产主义恐怖受害者纪念碑
Siguldas Jaunā pils,錫古爾達城堡
Latvija 2018. gada ziemas olimpiskajās spēlēs,2018年冬季奥林匹克运动会拉脱维亚代表团
Latvija 2024. gada vasaras olimpiskajās spēlēs,2024年夏季奥林匹克运动会拉脱维亚代表团
Latvija 2022. gada ziemas olimpiskajās spēlēs,2022年冬季奥林匹克运动会拉脱维亚代表团
Latvija 2020. gada vasaras olimpiskajās spēlēs,2020年夏季奥林匹克运动会拉脱维亚代表团
Centrālā statistikas pārvalde,拉脱维亚中央统计局
14. Saeimas vēlēšanas,2022年拉脱维亚议会选举
SK Super Nova,超级星体育俱乐部
Dobeles novads,多貝萊市鎮
Balvu novads,巴爾維市鎮
Augšdaugavas novads,上道加瓦市镇
Aizkraukles novads,艾茲克勞克萊市鎮
Bauskas novads,包斯卡市鎮
Dienvidkurzemes novads,南库尔泽梅市镇
Cēsu novads,采西斯市鎮
Ādažu novads,阿達日市鎮
Ķekavas novads,基耶卡瓦市镇
Valmieras novads,瓦尔米耶拉市镇
Krāslavas novads,克拉斯拉瓦市鎮
Kuldīgas novads,庫爾迪加市鎮
Jēkabpils novads,葉卡布皮爾斯市鎮
Jelgavas novads,葉爾加瓦市鎮
Mārupes novads,馬魯佩市鎮
Ogres novads,奧格雷市鎮
Madonas novads,馬多納市鎮
Ludzas novads,盧扎市鎮
Limbažu novads,林巴日市鎮
COVID-19 pandēmija,2019冠状病毒病疫情
Preiļu novads,普雷利市鎮
Rēzeknes novads,雷澤克內市鎮
Ropažu novads,羅帕日市鎮
Saldus novads,薩爾杜斯市鎮
Talsu novads,塔爾西市鎮
Tukuma novads,圖庫姆斯市鎮
Smiltenes novads,斯米爾泰內市鎮
Siguldas novads,錫古爾達市鎮
Saulkrastu novads,紹爾克拉斯蒂市鎮
