Dortmund,多特蒙德
Engelskirchen,恩格尔斯基兴
Wipperfürth,维珀菲尔特
Lindlar,林德拉尔
Donau,多瑙河
Ennigerloh,恩尼格洛
Niedersachsen,下萨克森
Nordrhein-Westfalen,北莱茵-威斯特法伦
Neckar,内卡河
Saale,萨勒河
Ostbevern,东贝费恩
Havel,哈弗爾河
Mulde (Fluss),穆尔德河
Krefeld,克雷费尔德
Rosenheim,罗森海姆
Wesel,韦瑟尔
Geseke,盖瑟克
Sindelfingen,辛德尔芬根
Frankfurt (Oder),奥得河畔法兰克福
Nümbrecht,宁布雷希特
Marienheide,马林海德
Morsbach,莫斯巴赫·(北莱茵-威斯特法伦)
Erwitte,埃尔维特
Reichshof,赖希斯霍夫
Hessen,黑森
Elde,埃爾德河
Spree,施普雷河
Nordsee,北海·(大西洋)
Everswinkel,埃沃斯温克尔
Kiel,基尔
Offenburg,奥芬堡
Schwäbisch Gmünd,施瓦本格明德
Rüthen,吕滕
Langenfeld (Rheinland),朗根费尔德
Warstein,瓦尔施泰因
Friedrichshafen,腓特烈港·(德国)
Rheinland-Pfalz,莱茵兰-普法尔茨
Rüsselsheim am Main,吕瑟尔斯海姆
Halle (Saale),萨勒河畔哈雷
Stolberg (Rheinland),莱茵兰地区施托尔贝格
Werl,韦尔
Anröchte,安勒希特
Hameln,哈默爾恩
Hürth,许尔特
Stralsund,施特拉爾松德
Schwerin,什未林
Freiburg im Breisgau,弗赖堡
Lippetal,利珀塔尔
Bad Sassendorf,巴特萨森多夫
Möhnesee (Gemeinde),默讷塞
Saarland,薩爾蘭
Sachsen,萨克森
Oberhausen,奥伯豪森
Kreis Warendorf,瓦伦多夫县
Hannover,汉诺威
Göppingen,格平根
Welver,韦尔费尔
ARRI,阿萊
Lübeck,吕贝克
Gevelsberg,盖沃尔斯贝格
Herdecke,黑尔德克
Sprockhövel,施普罗克赫弗尔
Wetter (Ruhr),韦特尔
Potsdam,波茨坦
Thüringen,图林根
Wadersloh,瓦德斯洛
Ennepetal,恩讷珀塔尔
Schwelm,施韦尔姆
Ennepe-Ruhr-Kreis,恩讷珀-鲁尔县
Rostock,罗斯托克
Breckerfeld,布雷克费尔德
Euskirchen,奧伊斯基興
Görlitz,格尔利茨
Hattingen,哈廷根
Sachsen-Anhalt,萨克森-安哈尔特
Düsseldorf,杜塞尔多夫
Kassel,卡塞尔
Mainz,美因茨
Hagen,哈根
Dommitzsch,多米奇
Hilden,希爾登
Menden (Sauerland),门登
Sankt Augustin,圣奥古斯丁·(德国)
Eschweiler,埃施韦勒
Linksjugend solid,左翼青年Solid
Erzbistum Köln,天主教科隆总教区
Dahlen (Sachsen),达伦·(德国)
Belgern,贝尔格恩
Bad Düben,巴特迪本
Freie Hansestadt Bremen,不來梅州
Alster,阿爾斯特河
Saarbrücken,萨尔布吕肯
Alpen,阿尔卑斯山
Landkreis Rostock,羅斯托克郡
Landkreis Mecklenburgische Seenplatte,梅克倫堡湖區郡
Mülheim an der Ruhr,鲁尔河畔米尔海姆
Herne,黑尔讷
Meerbusch,梅尔布施
Bad Salzuflen,巴特萨尔茨乌夫伦
Kap Arkona,阿科納角
Oschatz,奥沙茨
Pulheim,普爾海姆
Eilenburg,艾伦堡
Brandenburg,勃兰登堡
Wiesbaden,威斯巴登
Landkreis Nordwestmecklenburg,西北梅克伦堡县
Hamm,哈姆
Greifswald,格赖夫斯瓦尔德
Baden-Baden,巴登-巴登
Mügeln,米格尔恩
Delitzsch,代利奇
Schildau,希尔道
Taucha,陶哈
Torgau,托尔高
Schkeuditz,施科伊迪茨
Bad Honnef,巴特洪内夫
Ludwigshafen am Rhein,路德维希港
Schweinfurt,施韦因富特
Neu-Ulm,新乌尔姆
Wolfenbüttel,沃爾芬比特爾
Niederkassel,下卡塞尔
Landkreis Ludwigslust-Parchim,路德维希斯卢斯特-帕尔希姆县
Landkreis Vorpommern-Rügen,前波美拉尼亚-吕根县
München,慕尼黑
Meckenheim (Rheinland),梅肯海姆
Lohmar,洛马尔
Königswinter,柯尼希斯温特
Erfurt,埃尔福特
Dresden,德累斯顿
Landkreis Vorpommern-Greifswald,前波美拉尼亚-格赖夫斯瓦尔德县
Osnabrück,奥斯纳布吕克
Oldenburg (Oldb),奥尔登堡
Nordhorn,諾德霍恩
Bodensee,博登湖
Chiemsee,基姆湖
Waiblingen,魏布林根
Rheinbach,莱茵巴赫
Markttor von Milet,米利都市場大門
Kabardinische Sprache,卡巴尔达语
Freie Demokratische Partei,自由民主党·(德国)
Werther (Westf.),威斯特法伦地区韦尔特
Magdeburg,马格德堡
Frankfurt am Main,美因河畔法兰克福
Kreis Nordfriesland,北弗里斯兰县
Leverkusen,勒沃库森
Kreis Schleswig-Flensburg,石勒苏益格-弗伦斯堡县
Neustadt an der Weinstraße,葡萄酒之路旁诺伊施塔特
Schloss Neuschwanstein,新天鹅城堡
Hannover 96,汉诺威96足球俱乐部
Langenhagen,朗根哈根
Bad Homburg vor der Höhe,巴特洪堡
Piratenpartei Deutschland,德國海盜黨
Romani,罗姆语
Heidelberg,海德堡
Kreis Rendsburg-Eckernförde,伦茨堡-埃肯弗德县
Kreis Plön,普伦县
Paderborn,帕德博恩
Kreis Dithmarschen,迪特马尔申县
Solingen,索林根
Gummersbach,古默斯巴赫
Lingen (Ems),林根·(德國)
Loreley,罗蕾莱
Neuss,诺伊斯
Kölner Dom,科隆主教座堂
Wetzlar,韦茨拉尔
Willich,維利希
Emden,埃姆登
Ibbenbüren,伊本比伦
Harz (Mittelgebirge),哈茨山
Eschelbronn,埃舍尔布龙
Freiberger Mulde,弗賴貝格穆爾德河
Obersorbische Sprache,上索布语
Lödla,勒德拉
Markgröningen,马克格勒宁根
Kongokonferenz,柏林西非會議
Niedersorbische Sprache,下索布语
Monstab,蒙斯塔布
Sardische Sprache,薩丁尼亞語
Arholzen,阿霍尔岑
Rositz,罗西茨
Kriebitzsch,克里比奇
Passau,帕绍
Darmstadt,达姆施塔特
Kreis Ostholstein,东荷尔斯泰因县
Bergkamen,贝格卡门
Enz,恩茨河
Inn,因河
Weiden in der Oberpfalz,魏登
Kaufbeuren,考夫博伊伦
Gingen an der Fils,菲尔斯河畔京根
Wolfschlugen,沃尔夫施卢根
Ölbronn-Dürrn,厄尔布龙-迪恩
Wiernsheim,维恩斯海姆
Wimsheim,维姆斯海姆
Cuxhaven,库克斯港
Regensburg,雷根斯堡
Erftstadt,埃尔夫特施塔特
Kreis Segeberg,塞格贝格县
Erzgebirge,厄尔士山脉
Schwarzwald,黑林山
Oranienburg,奥拉宁堡
Nettetal,内特塔尔
Gifhorn,吉夫霍恩
Börtlingen,伯特林根
Altbach,阿尔特巴赫
Sternenfels,施泰嫩费尔斯
Würzburg,维尔茨堡
Kreis Herzogtum Lauenburg,劳恩堡公国县
Kreis Stormarn,施托尔曼县
Waren (Müritz),瓦伦·(德国)
Wedel,韦德尔
Weißenfels,魏森费尔斯
Lemgo,莱姆戈
Freiberg,弗赖贝格
Kreis Steinburg,施泰因堡县
Kreis Pinneberg,平讷贝格县
Coburg,科堡
Focke-Wulf Fw 190,Fw·190戰鬥機
MAN,MAN集團
Prähistorische Pfahlbauten um die Alpen,阿尔卑斯地区史前湖岸木桩建筑
Ulm,乌尔姆
Tiefenbronn,蒂芬布龙
Mercedes-Benz,梅賽德斯-賓士
Aurich,奥里希
Bautzen,包岑
VfB Stuttgart,斯图加特体育俱乐部
Bad Köstritz,巴特克斯特里茨
Ziegelsee,齊格爾湖
Schlierbach (Württemberg),施利尔巴赫
Remchingen,雷姆兴根
Polabische Sprache,波拉布語
Loffenau,洛弗瑙
Memmingen,梅明根
Falkensee,法尔肯塞
Wolfsburg,沃尔夫斯堡
Deizisau,代齐绍
Maulbronn,毛尔布龙
Kölsch (Bier),科隆啤酒
Elsdorf (Rheinland),埃尔斯多夫
Kölsch (Sprache),科隆方言
Ottersweier,奥特斯韦尔
Knittlingen,克尼特林根
Ingolstadt,英戈尔施塔特
Auma-Weidatal,奥马-魏达塔尔
Vogtländisches Oberland,福格特兰奥伯兰
Gemäldegalerie Alte Meister,历代大师画廊
Heinsberg,海因斯贝格
Wunstorf,文斯托夫
.de,.de
Gemeinsame Normdatei,整合规范文档
Fußball-Weltmeisterschaft 2006,2006年國際足協世界盃
Rheinmünster,莱茵明斯特
Kieselbronn,基瑟尔布龙
Niefern-Öschelbronn,尼费恩-厄舍尔布龙
Notzingen,诺青根
Lichtenwald,利希滕瓦尔德
Mühlhausen im Täle,河谷米尔豪森
Neuhausen auf den Fildern,菲尔德地区诺伊豪森
Oberboihingen,上博伊欣根
Böhmenkirch,伯门基希
Gerstenberg,盖斯滕贝格
Nürtingen,尼尔廷根
Laatzen,拉岑
Göttingen,哥廷根
Treben,特雷本
Windischleuba,温迪施洛伊巴
Haselbach (bei Altenburg),哈瑟尔巴赫·(图林根州)
Neidlingen,奈德林根
Ottenbach (Württemberg),奥滕巴赫·(巴登-符腾堡州)
Köngen,肯根
Euro,欧元
Dreieich,德赖艾希
Pirmasens,皮尔马森斯
Althütte,阿尔特许特
Holzmaden,霍尔茨马登
Neckartenzlingen,内卡滕茨林根
Helgoland,黑尔戈兰岛
Südharz,南哈茨
Offenbach am Main,美因河畔奥芬巴赫
Ansbach,安斯巴赫
Löhne,勒讷
Berliner Mauer,柏林圍牆
Kirchheim unter Teck,泰克山下基希海姆
Buxtehude,布克斯特胡德
Fockendorf,福肯多夫
Neulingen,诺伊林根
Gallien,高卢
Eintracht Frankfurt,法兰克福足球俱乐部
Mühlacker,米尔阿克
Heimsheim,海姆斯海姆
Neuhausen (Enzkreis),诺伊豪森·(德国)
Weilheim an der Teck,泰克山麓魏尔海姆
Pforzheim,普福尔茨海姆
Recklinghausen,雷克灵豪森
Itter (Rhein),伊特河·(萊茵河支流)
Bottrop,博特罗普
Altena,阿尔特纳
Balve,巴尔沃
Nachrodt-Wiblingwerde,纳赫罗特-维布灵韦德
Zülpich,曲尔皮希
Bensheim,本斯海姆
Siegburg,锡格堡
Völklingen,弗尔克林根
Mettmann,梅特曼
Fallschirmjägertruppe (Bundeswehr),空降獵兵
Königslutter am Elm,埃尔姆山麓柯尼希斯卢特
Muggensturm,穆根施图尔姆
Keltern (Gemeinde),凯尔滕
Schopfloch (Schwarzwald),绍普夫洛赫
Ohmden,奥姆登
Fürth,菲尔特
Reutlingen,罗伊特林根
Remscheid,雷姆沙伊德
Neuenrade,诺伊恩拉德
Plettenberg,普莱滕贝格
Halver,哈尔费尔
Kierspe,基尔斯珀
Meinerzhagen,迈讷茨哈根
Hückelhoven,许克尔霍芬
Schorndorf,绍恩多夫
Sylt,叙尔特岛
Koblenz,科布倫茲
Neuenbürg,诺伊恩比格
Schwabach,施瓦巴赫
Suhl,苏尔·(德国)
Ettlingen,埃特林根
Buchholz in der Nordheide,诺德海德地区布赫霍尔茨
Hofheim am Taunus,陶努斯山麓霍夫海姆
Kamp-Lintfort,坎普-林特福特
Crossen an der Elster,埃尔斯特河畔克罗森
Rüdersdorf bei Berlin,柏林附近吕德斯多夫
Landsberg (Saalekreis),兰茨贝格·(萨克森-安哈尔特)
Denkendorf (Württemberg),登肯多夫
Dürnau (Landkreis Göppingen),迪尔瑙
Lauterstein,劳特施泰因
Unterensingen,下恩辛根
Wangen (bei Göppingen),旺根·(德国巴登-符腾堡)
Bergisch Gladbach,贝吉施格拉德巴赫
Erlangen,埃朗根
Brilon,布里隆
Hallenberg,哈伦贝格
Marsberg,马尔斯贝格
Germering,盖默灵
Haltern am See,哈尔滕
Bad Aibling,巴特艾布灵
Maintal,美因塔尔
Würselen,维尔瑟伦
Oberland am Rennsteig,伦斯泰希地区奥伯兰
Großrosseln,大罗瑟尔恩
European Pressphoto Agency,欧洲新闻图片社
NSU Motorenwerke,NSU車廠
Rivalität zwischen dem Hamburger SV und Werder Bremen,北部德比
Friedrich-Alexander-Universität Erlangen-Nürnberg,埃朗根-纽伦堡大学
Uhingen,乌英根
Geislingen an der Steige,坡道旁盖斯林根
Ebersbach an der Fils,菲尔斯河畔埃伯斯巴赫
Süßen,叙森
Neumarkt in der Oberpfalz,诺伊马克特
Ahaus,阿豪斯
Werdohl,韦尔多尔
Lausitzer Neiße,尼萨河
Bad Münder am Deister,代斯特山麓巴特明德
Kleinblittersdorf,小布利特斯多夫
Meschede,梅舍德
Schmallenberg,施马伦贝格
Bad Soden am Taunus,陶努斯山麓巴特索登
Kuchen (Gemeinde),库亨
Groß Schacksdorf-Simmersdorf,大沙克斯多夫-锡默斯多夫
Moers,默爾斯
Trier,特里尔
Herscheid,黑尔沙伊德
Landkreis Cuxhaven,库克斯港县
Freital,弗赖塔尔
Voerde (Niederrhein),弗尔德
Landkreis Stade,施塔德县
Landkreis Harburg,哈尔堡县
Leinfelden-Echterdingen,莱恩费尔登-埃希特丁根
Hoyerswerda,霍耶斯韦达
St. Ingbert,圣英贝特
Schwäbisch Hall,施韦比施哈尔
Ruhrbesetzung,占领鲁尔
Quedlinburg,奎德林堡
Saarlouis,萨尔路易
S-Bahn Stuttgart,斯图加特城市快铁
Braunsbach,布劳恩斯巴赫
Pliezhausen,普利茨豪森
Donzdorf,栋茨多夫
Wiesensteig,维森施泰格
Pellworm (Gemeinde),佩尔沃姆
Aachener Dom,亚琛主教座堂
Landkreis Lüneburg,吕讷堡县
Landkreis Lüchow-Dannenberg,吕肖-丹嫩贝格县
Trierer Dom,特里爾主教座堂
Ostfildern,奥斯特菲尔登
Coesfeld,科斯费尔德
Landkreis Uelzen,于尔岑县
Landkreis Celle,策勒县·(德国)
Ascheberg (Westfalen),阿舍贝格
Opel,欧宝
Greven,格雷文
Neu-Isenburg,新伊森堡
Landkreis Osterholz,奥斯特霍尔茨县
Bamberger Dom,班贝格主教座堂
Landkreis Verden,韦尔登县
Landkreis Rotenburg (Wümme),罗滕堡县
Heidekreis,海德县·(德国)
Kreßberg,克雷斯贝格
Hemsbach,黑姆斯巴赫
Bühlerzell,比勒采尔
Michelbach an der Bilz,比尔茨林区米歇尔巴赫
Mainhardt,美因哈特
Michelfeld,米歇尔费尔德
Jena,耶拿
Siegen,锡根
Porsche,保时捷
Deutsche,德意志人
Lauenförde,劳恩弗尔德
UFA,乌发电影公司
Fehmarn,费马恩
Märkischer Kreis,梅基施县
Naumburger Dom,瑙姆堡大教堂
Landkreis Grafschaft Bentheim,本特海姆伯国县
Landkreis Emsland,埃姆斯兰县
Landkreis Leer,莱尔县
Wolpertshausen,沃尔珀茨豪森
Stimpfach,施廷普法赫
Waldachtal,瓦尔德阿赫塔尔
Bernburg (Saale),贝恩堡
Deutsche Fußballnationalmannschaft,德國國家足球隊
Landkreis Osnabrück,奥斯纳布吕克县
Langen (Hessen),朗根·(黑森州)
Lüdinghausen,吕丁豪森
Olfen,奥尔芬
Emsdetten,埃姆斯代滕
Landkreis Aurich,奥里希县
Nordkirchen,诺德基兴
Mühlhausen/Thüringen,米尔豪森
Borussia Dortmund,多特蒙德足球俱樂部
Kempen,肯彭
Poel,因瑟尔波埃尔
Hildesheim,希尔德斯海姆
Sulzbach-Laufen,苏尔茨巴赫-劳芬
Vellberg,费尔贝格
Fichtenau,菲希特瑙
Ilshofen,伊尔斯霍芬
Beuron,博伊龙
Landkreis Wittmund,维特蒙德县
Landkreis Friesland,弗里斯兰县
Salzgitter,薩爾茨吉特
Cottbus,科特布斯
Hermann-Kesten-Preis,赫尔曼·凯斯滕奖
Billerbeck,比勒贝克
Das Lied der Deutschen,德意志之歌
DB Cargo,德铁货运
Landkreis Wesermarsch,韦塞马施县
Nottuln,诺图尔恩
Datteln,达特尔恩
Merseburg,梅泽堡
Havixbeck,哈费克斯贝克
Weißwasser/Oberlausitz,魏斯瓦瑟
Edingen-Neckarhausen,埃丁根-内卡豪森
Altenriet,阿尔滕里特
Landkreis Cloppenburg,克洛彭堡县
Landkreis Vechta,费希塔县
Insel Hiddensee,因瑟尔希登塞
Hochsauerlandkreis,上绍尔兰县
Landkreis Ammerland,阿默兰县
Bühlertann,比勒坦
Heiligkreuzsteinach,海利希克罗伊茨施泰纳赫
Bammental,巴门塔尔
Großerlach,格罗瑟拉赫
Schwetzingen,施韦青根
Usedom,乌瑟多姆岛
Rügen,吕根岛
Kreis Olpe,奥尔珀县
Landkreis Oldenburg,奥尔登堡县
Lage (Lippe),拉格·(北萊茵-威斯特法倫州)
Sinsheim,辛斯海姆
Rosendahl,罗森达尔·(德国)
Backnang,巴克南
Landkreis Diepholz,迪普霍尔茨县
Region Hannover,汉诺威县
Landkreis Nienburg/Weser,宁堡县
Rechberghausen,雷希贝格豪森
Fluorn-Winzeln,弗卢奥恩-温策尔恩
Porta Westfalica (Stadt),波尔塔韦斯特法利卡
Wesseling,韦瑟灵
Weißenburg in Bayern,巴伐利亚州魏森堡
Ulmer Münster,乌尔姆大教堂
Deißlingen,代斯林根
Eisingen (Baden),艾辛根
Kaisersbach,凯撒斯巴赫
Trave,特拉維河
Warnow (Fluss),瓦尔诺河
Eider,艾德河
Oste,奧斯特河
Bille,比勒河
Ilmenau (Fluss),伊爾默瑙河
Kreis Soest,索斯特县
Landkreis Schaumburg,绍姆堡县
Papenburg,帕彭堡
Fußball-Bayernliga,巴伐利亚足球联赛
Landkreis Holzminden,霍尔茨明登县
Landkreis Hameln-Pyrmont,哈默尔恩-皮尔蒙特县
Landkreis Hildesheim,希尔德斯海姆县
FC Augsburg,奥格斯堡足球俱乐部
Tscherkessen,切尔克斯人
Weiße Elster,魏瑟埃尔斯特河
Deutsch-israelische Beziehungen,德國—以色列關係
Burg Stargard,布格施塔加德
Eppstein,埃普施泰因
Drackenstein,德拉肯施泰因
Iffezheim,伊弗茨海姆
Zimmern ob Rottweil,罗特韦尔上方齐默恩
Sinzheim,辛茨海姆
Dunningen,敦宁根
Müritz,米里茨湖
Zugspitze,楚格峰
Gera,格拉
Landkreis Osterode am Harz,奥斯特罗德县
Landkreis Goslar,戈斯拉尔县
Deutz (Köln),多伊茨
Kaiserslautern,凯撒斯劳滕
Cammin (Burg Stargard),卡明·(梅克伦堡湖区县)
Slowenen,斯洛維尼亞人
Flughafen Frankfurt Main,法兰克福机场
Baiersbronn,拜尔斯布龙
Königsbach-Stein,柯尼希斯巴赫-施泰因
Bösenbrunn,伯森布伦
Norddeutschland,北德國
Bergen (Vogtland),贝尔根·(萨克森州)
Süddeutschland,德國南部
Kreis Siegen-Wittgenstein,锡根-维特根施泰因县
Kreuztal,克罗伊茨塔尔
Landkreis Wolfenbüttel,沃尔芬比特尔县
Landkreis Peine,派讷县
Sundern (Sauerland),孙登·(德国)
Landkreis Northeim,诺特海姆县
Altenburg,阿尔滕堡
Landkreis Helmstedt,黑尔姆施泰特县
Landkreis Jerichower Land,耶里肖地区县
Altmarkkreis Salzwedel,萨尔茨韦德尔-阿尔特马克县
Landkreis Börde,伯尔德县
Eschbronn,埃施布龙
Kämpfelbach,肯普弗尔巴赫
Rudersberg,鲁德斯贝格
Lindetal,林德塔尔
Cölpin,克尔平
Groß Nemerow,大内梅罗
Holldorf,霍尔多夫·(梅克伦堡湖区县)
Landkreis Anhalt-Bitterfeld,安哈尔特-比特费尔德县
Landkreis Wittenberg,维滕贝格县
Eschenbach (Württemberg),埃申巴赫
Epfendorf,埃普芬多夫
Forbach (Baden),福尔巴赫
Schenkenzell,申肯采尔
Vöhringen (Württemberg),弗林根
Kernen im Remstal,雷姆斯河谷凯尔嫩
Kehl,凱爾·(德國)
Meppen,梅彭·(下萨克森州)
Witten,维滕
1. FC Nürnberg,纽伦堡足球俱乐部
Landkreis Göttingen,哥廷根县
Friedland (Mecklenburg),弗里德兰·(梅克伦堡-前波美拉尼亚州)
Galenbeck,加伦贝克
Eichhorst (Friedland),艾肖尔斯特
FC Bayern München,拜仁慕尼黑足球俱乐部
Landkreis Stendal,施滕达尔县
Landkreis Gifhorn,吉夫霍恩县
Gütersloh,居特斯洛
Genzkow,根茨科
Glienke,格林克
Heinsdorfergrund,海恩斯多弗格伦德
Limbach (Vogtland),林巴赫·(萨克森州)
Mühlental,米伦塔尔
Bösingen (bei Rottweil),伯辛根
Leutenbach (Württemberg),洛伊滕巴赫
Spiegelberg,施皮格尔贝格
Unterkirnach,下基尔纳赫
Werda,韦尔达
Triebel/Vogtl.,特里伯尔
Weischlitz,魏施利茨
Zwota,茨沃塔
Pragsdorf,普拉格斯多夫
Datzetal,达策塔尔
Kirchberg an der Murr,穆尔河畔基希贝格
Salzlandkreis,萨尔茨兰县
Erding,埃尔丁
Bad Brambach,巴特布兰巴赫
Wernigerode,韦尼格罗德
Siemens,西门子公司
Wellendingen,韦伦丁根
Zwickau,茨维考
Esslingen am Neckar,埃斯林根
Landkreis Harz,哈茨县
Landkreis Mansfeld-Südharz,曼斯费尔德-南哈茨县
Saalekreis,萨勒县
Naumburg (Saale),瑙姆堡
Leer (Ostfriesland),莱尔·(下萨克森州)
Uelzen,于尔岑
Tuttlingen,图特林根
Fürstenfeldbruck,菲斯滕费尔德布鲁克
Winsen (Luhe),卢厄河畔温森
Grünbach (Sachsen),格林巴赫·(德国)
Eichigt,艾希格特
Ellefeld,埃勒费尔德
Ratingen,拉廷根
Flensburg,弗伦斯堡
Hanau,哈瑙
Burgenlandkreis,布尔根兰县
Landkreis Uckermark,乌克马克县
Ense,恩瑟
Landkreis Barnim,巴尔尼姆县
Landkreis Oberhavel,上哈弗尔县
Goch,戈赫
Schwedt/Oder,施韦特·(勃兰登堡州)
Mörfelden-Walldorf,默费尔登-瓦尔多夫
Dauchingen,道兴根
Neumark (Vogtland),诺伊马克·(萨克森州)
Neustadt/Vogtl.,福格特兰地区诺伊施塔特
Pöhl,珀尔·(市镇)
Neuensalz,新萨尔茨
Muldenhammer,穆尔登哈默
Königs Wusterhausen,柯尼希斯武斯特豪森
Königsfeld im Schwarzwald,黑林山区柯尼希斯费尔德
Eningen unter Achalm,阿哈尔姆山下埃宁根
Rosenbach/Vogtl.,福格特兰地区罗森巴赫
Gütenbach,居滕巴赫
Römerstein (Gemeinde),勒默施泰因
Brigachtal,布里加赫塔尔
Dessau-Roßlau,德绍-罗斯劳
Tübingen,蒂宾根
Marl,马尔
Worms,沃尔姆斯
Konstanz,康斯坦茨
Balingen,巴林根
Zweibrücken,茨韦布吕肯
Landkreis Teltow-Fläming,泰尔托-弗莱明县
Landkreis Potsdam-Mittelmark,波茨坦-米特尔马克县
Velbert,费尔伯特
Landkreis Havelland,哈弗尔兰县
Wickede (Ruhr),维克德
Landkreis Prignitz,普里格尼茨县
Soest,索斯特
Landkreis Ostprignitz-Ruppin,东普里格尼茨-鲁平县
Lünen,吕嫩
Landkreis Elbe-Elster,易北-埃尔斯特县
Kreis Unna,翁纳县
Landkreis Oberspreewald-Lausitz,上施普雷瓦尔德-劳西茨县
Steinfurt,施泰因富特
Schönebeck (Elbe),易北河畔舍讷贝克
Minden,明登
Geldern,盖尔登
Barsinghausen,巴尔辛豪森
Falkenstein/Vogtl.,福格特兰地区法尔肯施泰因
Klingenthal,克林根塔尔
Jesewitz,耶瑟维茨
Crailsheim,克赖尔斯海姆
Kreis Recklinghausen,雷克灵豪森县
