김명순,金明淳
정일관,鄭日冠
박남철,朴男哲
안철혁,安哲赫
김명원,金明元
허헌,許憲
홍명희,洪命熹
김신조,金新朝
김동인,金東仁
백남운,白南雲
박성철,朴成哲
리명국,李明國
김일진,金日進
정칠성,丁七星
박길연,朴吉淵
김정각,金正閣
리을설,李乙雪
리용무,李勇武
박광룡,朴光龍
안일범,安日范
박열,朴烈
원정화,元正花
신광수,辛光洙
리승엽,李承燁
전광익,全光益
주상성,朱霜成
김계관,金桂冠
박철민,朴哲民
리승기,李升基
홍용호,洪龍浩
장성택,张成泽
려춘석,吕春石
차영화,車英花
장성우,张成禹
김격식,金格植
변영립,边永立
김천해,金天海
정성옥,鄭成玉
고용희,高英姬
김경희,金敬姬
김정은,金正恩
윤정린,尹正麟
강능수,康能洙
김경옥,金庆玉
김기룡,金基龍
김억,金億
김정균,金貞均
김정임,金正任
전문섭,全文燮
태병렬,太炳烈
최인덕,崔仁德
주도일,朱道日
김철만,金铁万
김영철,金英徹
오백룡,吴白龙
윤원철,尹元哲
최현,崔贤
박영옥,朴英玉
방금철,方金哲
리호준,李濩俊
엄윤철,严润哲
로학수,盧學洙
김정훈,金正勳
김옥,金玉
김설송,金雪松
서만술,徐万述
강석주,姜錫柱
최광,崔光
김영준,金永峻
리준일,李俊一
김국태,金国泰
장성혁,張成赫
리명순,李明順
리세광,李世光
림주성,林柱成
남성철,南成哲
김은국,金恩国
백학림,白鹤林
현영철,玄永哲
김성애,金圣爱
최창익,崔昌益
김원봉,金元鳳
노금석,盧今錫
오정애,吴正爱
리광일,李光一
최태복,崔泰福
양형섭,杨亨燮
김평일,金平一
장송만,张成万
강국철,姜功哲
정대세,鄭大世
김영일,金英日
림은심,林恩心
방철미,方哲美
박신혁,朴信赫
김원균,金元均
김영일,金永日
현송월,玄松月
황성수,黃誠秀
김봉한,金鳳漢
박창옥,朴昌玉
임용수,尹永洙
리영철,李勇哲
김창애,金昌爱
김철,金哲
김현희,金英姬
김혁봉,金赫峰
김정,金仲
김병률,金炳律
정명도,郑明道
김원홍,金元弘
박도춘,朴道春
리병철,李炳哲
김양건,金養建
박철룡,朴哲龍
강량욱,康良煜
한필화,韓弼花
리성희,李成姬
안경호,安京浩
김일,金一
리종옥,李钟玉
찰스 로버트 젱킨스,查爾斯·羅伯特·詹金斯
현철해,玄哲海
박남기,朴南基
김정수,金钟秀
박일우,朴一禹
김윤심,金润心
채희정,蔡喜正
리하일,李河日
홍인범,洪仁範
황병서,黃炳瑞
리재일,李在一
원옥임,元玉任
전병호,全炳浩
김영숙,金英淑
박철진,朴哲鎮
김정숙,金正淑
김용순,金容淳
리경숙,李京淑
권은실,權雲實
정철민,鄭哲民
리명수,李明洙
리수용,李洙墉
리태남,李泰南
리영수,李英洙
림경만,林景萬
태종수,太钟洙
김명국,金明国
림정심,林貞心
김도만,金道滿
조연준,趙延俊
전하철,全河哲
김창섭,金昌燮
김평해,金平海
한광복,韓光福
오익제,吳益濟
강영섭,康永燮
리인모,李仁模
로두철,盧斗哲
림철민,林哲民
리배훈,李培勳
임춘추,林春秋
장병규,張炳奎
정명학,鄭明學
정수일,鄭守一
허문영,許文寧
허봉학,許鳳學
안명진,安明進
김영주,金英柱
최철만,崔哲萬
최수헌,崔壽憲
김일철,金一哲
배길수,裴吉洙
최철수,崔鐵洙
백세봉,白世凤
문인국,文人國
이기영,李箕永
리춘히,李春姬
차정혁,車正赫
최홍희,崔泓熙
곽범기,郭範基
리분희,李粉姬
최금철,崔金哲
조만식,曹晚植
김현희,金賢姬
백석,白石
강철환,姜哲煥
강성산,姜成山
홍창수,德山昌守
무정,武亭
리영호,李英浩
김영대,金英大
이태영,李兌榮
박기서,朴基瑞
박중국,朴重国
리효순,李孝淳
문경덕,文京德
박세영,朴世永
방호산,方虎山
변인선,边仁善
안재홍,安在鴻
오수용,吳羞容
오일정,吳日正
리상조,李相朝
한덕수 (1907년),韓德銖
홍석중,洪錫中
장웅 (스포츠인),张雄
계응태,桂應泰
석산,石山 (朝鮮勞動黨成員)
허종만,許宗萬
허석선,許錫宣
김중린,金仲麟
김승화,金承化
김창봉,金昌奉
김동규,金東奎
김동순,金東淳
리명훈,李明勳
최용건,崔康健
윤석열,金正哲
장금철,张锦哲
김광숙,金光淑
연형묵,延亨默
리근모,李根模
한설야,韓雪野
성혜림,成蕙琳
홍성남,洪成南
박헌영,朴宪永
김두봉,金枓奉
황장엽,黄长烨
박두익,朴斗翼
유순복,俞順福
허정숙,許貞淑
최인국,崔仁国
윤공흠,尹公欽
윤명찬,尹明燦
최승철,崔承哲
서휘,徐輝
박용국,朴容國
박태원,朴泰遠
박의완,朴義琮
리두익,李斗益
이창수,李昌壽
류명옥,柳明玉
오극렬,吴克烈
최룡해,崔龍海
리설주,李雪主
양성국,杨成国
김경화,金卿花
김미영,金美勇
이원세,李元世
김희영,金希英
동정호,董正浩
노광철,努光铁
김선영,金鮮英
강문석,姜文錫
강양모,姜陽模
강형봉,姜炯奉
계영삼,桂永三
계응상,桂應祥
고경흠,高景欽
김광민,金光民
리제선,李濟善
리종산,李中山
맹종호,孟鍾鎬
박명순,朴明顺
박명철,朴明哲
박문규,朴文奎
박수길 (1948년),朴壽吉
박영신 (배우),朴永信
류미영,柳美英
김금일,金琴一
김명길,金明吉
설경,薛京
김주애,金主愛
박용일,朴容日
박명식,朴明植
현상주,玄相主
황순희,黃順姬
황학원,黃學遠
장정남,张正男
리용호,李容浩
김병호,金炳鎬
김병훈,金炳勳
김약수,金若水
김용무,金用茂
김응빈,金應彬
리만건,李萬建
리명길,李明吉
리무영,李武荣
리영길,李永吉
리용철,李庸澈
문경진,文慶鎮
허성택,许成泽
배철,裴哲
임화,林和
설정식,薛贞植
송호성,宋虎聲
김웅,金雄
허담,许锬
홍석형,洪锡亨
김기남,金己男
남일,南日
김효심,金孝心
안명화,安明花
이학구,李學九
장철 (1955년),張哲
정인택,鄭人澤
정준택,鄭準澤
조경철,趙慶喆
조기천,趙基天
허철만,许哲万
박경숙,朴京淑
리영숙,李英淑
정영수,鄭永秀
김영일,金英一
김용진,金勇进
박태덕,朴泰德
방학세,方學世
백계룡,白啟龍
백룡천,白龍天
안길,安吉
안동춘,安東春
안정수,安正洙
엄항섭,厳恒燮
문응조,文應兆
김남천,金南天
전성웅,全成雄
박달,朴达
김동기,金東起
전희정,全熙正
리룡남,李龙男
홍서헌,洪瑞憲
태형철,太炯哲
김철웅,金哲雄
홍승무,洪承武
오상원,吴尚源
박상학,朴尚學
이현서,李晛瑞
강명철,康明哲
홍선옥,洪仙玉
전용남,全勇男
전길수,全吉壽
전창철,全昌哲
강종관,姜鍾寬
최광진,崔光鎮
최종건,崔宗建
최상건,崔相建
강련학,康蓮鶴
장승길,張承吉
문명학,文明學
박정천,朴正天
박태성,朴泰成
리일환,李一煥
김만수,金萬秀
최원택,崔元泽
김광수,金光洙
박용석,朴容錫
한익수,韓益洙
리룡하,李龍河
주녕하,朱寧河
장성길,張成吉
김달현,金達鉉
김광진,金光镇
류경,柳京 (朝鮮人民軍)
정일룡,鄭一龍
전재선,金在善
김룡연,金龙渊
최용진,崔勇进
지성호,池成鎬
한일무,韓一武
리광근,李光根
리철만,李哲萬
리학철,李學哲
리상원,李尚源
리종무,李從茂
리상관,李相官
리형철,李衡哲
리종국,李鐘國
백형복,白亨福
차희림,車熙林
김중협,金仲狹
김용광,金勇光
김승두,金勝斗
김기선,金基善
김창선,金昌善
김강환,金江煥
김영식,金英植
황금숙,黃今淑
리권무,李權武
김상덕,金尚德
조헌영,趙憲泳
로경준,卢庆骏
신불출,申不出
심상진,沈相進
김일철,金日哲
신운호,申云浩
김완수,金完洙
권영진,權永進
리명철,李明哲
리광곤,李光昆
조소앙,趙素昻
조영철,趙永哲
지재룡,池在龍
차경일,車慶日
차승수,車承秀
최기룡,崔基龍
최춘식,崔春植
리창대,李昌大
김윤혁,金允赫
강영호,姜永浩
조춘룡,赵春龙
길선희,吉善喜
리은숙,李恩淑
지동식,智東植
정광일,鄭光日
김춘섭,金春燮
박영식,朴永植
명차현,明車鉉
김국향,金國香
송남향,宋南香
박연미,朴延美
오금철,吳琴鐵
유영준 (1892년),劉英俊
윤혜영,尹惠英
이강국,李康國
리용,李鏞
이웅평,李雄平
이찬,李燦
김달현,金達鉉
한성룡,韓成龍
마원춘,馬元春
고학진,高學振
리태철,李泰哲
김의순,金义淳
김주식,金柱植
김성규,金成奎
최춘국,崔春國
류경수,柳京洙
장수길,張秀吉
박명선,朴命善
정경희,鄭京慧
최휘,崔輝
김철범,金哲范
안대성,安大成
주정철,朱正哲
김국향,金國香
강은주,姜恩珠
박현일,朴賢日
김용일,金勇日
주효심,周孝心
리형진,李亨進
서경진,徐景進
허은별,许恩星
정명숙,郑明淑
오혁철,吳赫哲
엄철성,嚴哲成
리상철,李相哲
서현욱,徐賢旭
심현진,沈賢鎮
계성혁,桂成赫
최원,崔元
리창호,李昌浩
리은경,李云景
김영애,金英爱（足球运动员）
김남희,金南姬
리재남,李在南
김옥주,金玉珠
김미래,金美莱
장영진,張英進
권희경,権熙京
조성옥,赵松玉
김수경,金秀景
김성국,金成國
차효심,車孝心
김금실,金锦实
박정애,朴正娥
최전위,崔前卫
최효심,崔孝辛
박명성,朴明成
윤일광,尹日光
한대성,韩大成 (朝鲜外交官)
최주성,崔柱成
김국범,金国范
한광성,韓光成
리은철,李恩哲
임철웅,任哲雄
김능오,金能五
서홍찬,徐洪灿
김수길,金秀吉
최선희,崔善姬
강국철,姜功哲
조대원,赵大元
렴대옥,廉大玉
김덕훈,金德訓
김송이,金松怡
김수정,金水晶
김윤미,金潤美
반디,潘迪
강순,姜舜
태영호,太永浩
위정심,韦正心
정춘희,郑春姬
리종오,李鐘旿
이경희,李敬姬
김유성,金俞星
김시학,金時學
안성일 (1992년),安成日
오강철,吴康哲
김혁철,金革哲
우인희,禹仁姬
승향심,宋向心
오청성,吳青成
최익규,崔尙根
강순남,強純男
고인호,高人虎
김재룡,金在龍
김정관,金正寬
김일국,金日国
김천균,金千均
박철민,朴哲民
조용원,赵甬元
김준옥,金俊玉
강수린,康寿麟
강윤석,康润石
김영환,金荣欢
김형준,金衡俊
리선권,李善權
김용수 (조선민주주의인민공화국의 정치인),金勇帅
리영식,李英植
박광호,朴光浩
이영 (1889년),李英
정경택,鄭京澤
