Județul Alba,阿爾巴縣
Râul Prut,普魯特河
Biserica Ortodoxă Română,罗马尼亚正教会
"Comuna Perieți, Ialomița",佩列齊鄉·(雅洛米察縣)
Slănic-Moldova,斯勒尼克摩爾多瓦
Sinagoga Status Quo Ante din Târgu Mureș,大猶太會堂·(特爾古穆列什)
București,布加勒斯特
Cluj-Napoca,克卢日-纳波卡
Rețeaua de drumuri europene,欧洲高速公路
Bucovina,布科維納
Nomenclatura unităților teritoriale pentru statistică din România,羅馬尼亞地域統計單位命名法
Județul Brașov,布拉索夫縣
Județul Cluj,克盧日縣
Dobrogea,多布羅加
"Comuna Pianu, Alba",皮亞努鄉
Județul Giurgiu,久爾久縣
Miercurea Ciuc,米耶尔库雷亚丘克
Drobeta-Turnu Severin,德羅貝塔-塞維林堡
Miercurea Sibiului,錫比烏縣米耶爾庫雷亞
"Faraoani, Bacău",法拉瓦尼鄉
Limba venetă,威尼斯語
Râul Olt,奧爾特河
Sârbi,塞爾維亞族
Județul Sibiu,錫比烏縣
Leu românesc,罗马尼亚列伊
"Deșteaptă-te, române!",醒来吧，罗马尼亚人
Automobile Dacia,達契亞汽車
Limba ruteană,卢森尼亚语
"Comuna Malnaș, Covasna",馬爾納什鄉
Podul Prieteniei Giurgiu-Ruse,多瑙橋
"Roman, România",羅曼·(羅馬尼亞)
Sfântu Gheorghe,聖格奧爾基
Bazinul Panonic,潘諾尼亞平原
Baia Mare,巴亞馬雷
Târgu Jiu,特爾古日烏
Lugoj,盧戈日
"Comuna Avrămești, Harghita",阿夫勒梅什蒂鄉
Găești,格耶什蒂
Partidul Comunist Român,罗马尼亚共产党
Aeroportul Internațional Henri Coandă București,布加勒斯特亨利·科安德国际机场
Județul Vrancea,弗朗恰縣
Castelul Corvinilor,科尔温城堡
Delta Dunării,多瑙河三角洲
Județul Iași,雅西縣
Aromâni,阿羅蒙人
Giurgiu,久爾久
Buzău,布澤烏
Caransebeș,卡蘭塞貝什
Limba slavonă,教會斯拉夫語
Limba tătară crimeeană,克里米亞韃靼語
Maghiari,马扎尔人
Județul Buzău,布澤烏縣
Satu Mare,薩圖馬雷
Județul Timiș,蒂米什縣
Turceni,圖爾切尼
Râul Tisa,蒂薩河
Parcul Național Retezat,雷泰扎特國家公園
Zimnicea,濟姆尼恰
Revoluția Română din 1989,1989年羅馬尼亞革命
Deva,德瓦
FC Dinamo București,布加勒斯特迪納摩足球俱樂部
Bulgari,保加利亞人
CFR Cluj,CFR克卢日足球俱乐部
Transilvania,特兰西瓦尼亚
Târgu Mureș,特尔古穆列什
"Slatina, România",斯拉蒂納
Zlatna,茲拉特納
Muntenia,蒙特尼亞
Porțile de Fier,鐵門·(多瑙河)
Orăștie,奧勒什蒂耶
Balș,巴爾什·(羅馬尼亞)
Pucioasa,普奇瓦薩
Piatra-Olt,皮亞特拉-奧爾特
.ro,.ro
"Giurtelecu Șimleului, Sălaj",久爾泰萊庫-希姆萊烏盧伊
Râul Mureș,穆列什河
Moldova Occidentală,西摩爾達維亞
Borșa,博爾沙
Turda,圖爾達
Oltenia,奧爾特尼亞
Râul Siret,錫雷特河
"Ștefănești, Argeș",什泰弗內什蒂·(阿爾傑什縣)
"Alexandria, România",亚历山德里亚·(罗马尼亚)
Bușteni,布什泰尼
Bucătăria românească,羅馬尼亞飲食
"Râul Timiș, Dunăre",蒂米什河
Râul Argeș,阿爾傑什河
Canalul Dunăre-Marea Neagră,多瑙-黑海運河
Vălenii de Munte,沃萊尼德蒙泰
Târgu Bujor,特爾古布若爾
Țara Bârsei,布岑兰
Călărași,克勒拉希·(羅馬尼亞)
Râul Dâmbovița,登博維察河
Sinaia,錫納亞
FC Brașov,布拉索夫足球俱樂部
Murfatlar,穆法特拉
Hunedoara,胡內多阿拉
Sovata,索瓦塔
Holcim,霍爾希姆
Ovidiu (oraș),奧維迪烏
Slobozia,斯洛博齊亞
"Comuna 23 August, Constanța",八月二十三日鄉·(康斯坦察縣)
Istoria României,罗马尼亚历史
Buftea,布夫泰亞
Carpații Meridionali,南喀尔巴阡山脉
"Comuna Amărăștii de Sus, Dolj",上阿默勒蒂鄉
"Comuna Cenei, Timiș",切內伊鄉
Roznov,羅茲諾夫
Dej,代日
"Comuna Livezi, Vâlcea",利韋濟鄉·(沃爾恰縣)
Fierbinți-Târg,菲耶爾賓齊-特爾格
Mănăstirea Neamț,尼亚姆茨修道院
Fetești,費泰什蒂
FC Politehnica Timișoara,蒂米什瓦拉足球俱樂部
Vișeu de Sus,上維謝烏
Ateneul Român,羅馬尼亞雅典娜劇院
Râul Someș,索梅什河
Cajvana,卡伊瓦納
SC Oțelul Galați,加拉茨足球俱樂部
Flămânzi,弗勒門濟
Băbeni,伯貝尼
Șomcuta Mare,大紹姆庫塔
Sântana,聖安娜·(阿拉德縣)
Răcari,勒卡里
Ardud,阿爾杜德
Podu Iloaiei,波杜伊洛阿耶伊
"Comuna Băneasa, Constanța",伯尼亞薩·(康斯坦察縣)
Amara,阿馬拉·(羅馬尼亞)
Murgeni,穆爾傑尼
Barajul Vidra,維德拉湖
Stepa ponto-caspică,東歐大草原
Liteni,利泰尼
Potcoava,波特夸瓦
Dolhasca,多爾哈斯卡
Milișăuți,米利瑟烏齊
Săliștea de Sus,上瑟利什泰亞
Dăbuleni,德布萊尼
Vicovu de Sus,上維科武
Cupa Națiunilor World Rugby,橄欖球國家盃
Solca,索爾卡
Bălcești,伯爾切什蒂
Pecica,佩奇卡
Ulmeni,烏爾梅尼
Frasin (oraș),弗拉辛
"Comuna Fântânele, Prahova",芳特內萊鄉·(普拉霍瓦縣)
Universitatea din București,布加勒斯特大学
"Ștefănești, Botoșani",什泰弗內什蒂·(博托沙尼縣)
Bucecea,布切恰
Dragomirești,德拉戈米雷什蒂
"Comuna Voinești, Dâmbovița",沃伊內什蒂鄉·(登博維察縣)
Dieceza de Satu Mare,天主教薩圖馬雷教區
Muzeul Național Brukenthal din Sibiu,布鲁肯撒尔博物馆
Podul lui Traian,圖拉真橋
"Comuna Brusturoasa, Bacău",布魯斯圖羅阿薩鄉
"Comuna Cândești, Dâmbovița",肯代什蒂鄉·(登博維察縣)
"Comuna Păcureți, Prahova",珀庫雷齊鄉
Copșa Mică,小科普沙
"Comuna Buceș, Hunedoara",布切什鄉
Caracal,卡拉卡爾
"Comuna Alexandru Odobescu, Călărași",亞歷山德魯奧多貝斯庫·(克勒拉希縣)
Berbești,貝爾貝什蒂
Căzănești,克澤內什蒂
Livada (oraș),利瓦達·(薩圖馬雷縣)
Pătârlagele,珀特爾拉傑萊
"Bălăceanu, Buzău",伯勒恰努鄉
Turismul în România,羅馬尼亞觀光
Pogoanele,波瓜內萊
Mănăstirea Sucevița,蘇切維察修道院
Sinagoga Neologă din Cluj-Napoca,克盧日-納波卡猶太會堂
Segarcea,塞加爾恰
Curtici,庫爾蒂奇
"Victoria, România",維多利亞·(布拉索夫縣)
Măcin,默欽
"Costești, România",科斯泰什蒂
Deta,代塔
Vașcău,瓦什克烏
Pâncota,彭科塔
Comarnic,科馬爾尼克
Aleșd,阿萊什德
Câmpina,坎皮納·(城市)
Târgu Frumos,特爾古弗魯莫斯
Hârlău,赫爾勒烏
Făget,弗傑特
Cristuru Secuiesc,克里斯圖魯-塞庫耶斯克
"Comuna Buhoci, Bacău",布霍奇鄉
Budești,布代什蒂
Comănești,科默內什蒂
Buhuși,布胡希
Dorohoi,多羅霍伊
"Comuna Bucureșci, Hunedoara",布庫雷什奇鄉
Târgu Neamț,特爾古尼亞姆茨
Filiași,菲利亞希
"Comuna Bunila, Hunedoara",布尼拉鄉
Lacul Bucura,布庫拉湖
"Comuna Burjuc, Hunedoara",布爾茹克鄉
Partidul Democrat Liberal (România),民主自由党·(罗马尼亚)
Unirea Republicii Moldova cu România,羅馬尼亞及摩爾多瓦統一運動
Economia României,羅馬尼亞經濟
Titu,蒂圖
"Comuna Berceni, Prahova",貝爾切尼鄉·(普拉霍瓦縣)
Băilești,伯伊萊什蒂
Lipova,利波瓦
România la Jocurile Olimpice,奥林匹克运动会罗马尼亚代表团
Bitdefender,Bitdefender
Ceangăi,昌戈人
Roșiorii de Vede,韋代亞河畔羅肖里
Râmnicu Sărat,勒姆尼庫瑟拉特
"Comuna Ciolpani, Ilfov",喬爾帕尼鄉
"Comuna Lapoș, Prahova",拉波什鄉
"Comuna Posești, Prahova",波塞什蒂鄉
"Comuna Fulga, Prahova",富爾加鄉
Biblioteca Națională a României,羅馬尼亞國家圖書館
Băicoi,伯伊科伊
Biblioteca Centrală Universitară din București,大學中央圖書館
Metroul din București,布加勒斯特地铁
"Comuna Ponoarele, Mehedinți",波諾阿雷萊鄉
"Comuna Paleu, Bihor",帕萊烏鄉
"Comuna Mănești, Prahova",默內什蒂鄉·(普拉霍瓦縣)
Munții Apuseni,阿普塞尼山脈
Blaj,布拉日
"Comuna Comișani, Dâmbovița",科米沙尼鄉
Urlați,烏爾拉齊
Bazilica romano-catolică din Oradea,圣母升天圣殿主教座堂·(奥拉迪亚)
Odorheiu Secuiesc,奧多爾黑尤-塞庫耶斯克
Însurăței,恩蘇勒采伊
Întorsura Buzăului,布澤烏河畔恩托爾蘇拉
"Comuna Butimanu, Dâmbovița",布蒂馬努鄉
Băile Govora,伯伊萊戈沃拉
Câmpeni,肯佩尼
"Comuna Sântandrei, Bihor",聖安德烈鄉
CS Gaz Metan Mediaș,加斯梅登體育會
Băile Olănești,伯伊萊奧勒內什蒂
Otopeni,奧托佩尼
"Comuna Gherghița, Prahova",蓋吉察鄉
"Comuna Lungești, Vâlcea",倫傑什蒂鄉
Arhidieceza de București,天主教布加勒斯特總教區
"Comuna Buciumi, Bacău",布丘米鄉·(巴克烏縣)
"Comuna Cetate, Bistrița-Năsăud",切塔泰鄉·(比斯特里察-訥瑟烏德縣)
"Comuna Cerașu, Prahova",切拉舒鄉
"Comuna Ceptura, Prahova",切普圖拉鄉
"Comuna Andreiașu de Jos, Vrancea",下安德雷亞舒鄉
Rovinari,羅維納里
"Comuna Sălciua, Alba",瑟爾恰瓦鄉
Fortărețe dacice din Munții Orăștiei,奧勒什蒂耶山脈的達契亞要塞群
"Comuna Almaș, Arad",阿爾馬什鄉
Citibank,花旗银行
"Râul Bistrița, Siret",比斯特里察河
Râul Ialomița,雅洛米察河
CS Mioveni,苗韋尼體育俱樂部
AXN,AXN
Fălticeni,弗爾蒂切尼
"Comuna Moisei, Maramureș",莫伊塞鄉
"Comuna Bătrâni, Prahova",伯特勒尼鄉
Berești,貝雷什蒂
Munții Măcin,默欽山脈
Vânju Mare,大文茹
Federația Română de Fotbal,羅馬尼亞足球總會
Negrești-Oaș,內格雷什蒂瓦什
"Comuna Cosminele, Prahova",科斯米內萊鄉
"Comuna Păunești, Vrancea",珀烏內什蒂鄉
Masivul Ceahlău,恰赫勒乌山脉
Episcopia Romano-Catolică de Iași,天主教雅西教區
Eparhia de Lugoj,希臘禮天主教盧戈日教區
Eparhia de Maramureș,希臘禮天主教馬拉穆列什教區
"Comuna Cerbăl, Hunedoara",切爾伯爾鄉
Baia de Arieș,巴亚德阿里耶什
Carpații Orientali,東喀爾巴阡山脈
"Comuna Cernat, Covasna",切爾納特鄉·(科瓦斯納縣)
Dieceza de Oradea Mare,天主教奧拉迪亞馬雷教區
"Comuna Ciorani, Prahova",喬拉尼鄉
Eparhia de Oradea Mare,希臘禮天主教奧拉迪亞馬雷教區
"Comuna Cocorăștii Mislii, Prahova",科科勒什蒂米斯利鄉
"Comuna Colceag, Prahova",科爾恰格鄉
Negru Vodă (oraș),內格魯大公鄉
Supercupa României,羅馬尼亞超級盃
Beiuș,貝尤什
România la Concursul Muzical Eurovision Junior,羅馬尼亞在歐洲青少年歌唱大賽之歷年表現
Dacia Unirea Brăila,達契亞烏尼雷亞布勒伊拉
Arcul de Triumf din București,凱旋門·(布加勒斯特)
Voluntari,沃倫塔里
Mioveni,苗韋尼
"Comuna Reci, Covasna",雷奇鄉
Sebeș,塞貝什
Mănăstirea Hurezi,霍雷祖修道院
Mica Antantă,小协约国
Palatul Cotroceni,科特罗切尼宫
Baia de Aramă,巴亞德阿拉默
"Comuna Axente Sever, Sibiu",阿克森特塞韋爾鄉·(錫比烏縣)
"Comuna Asău, Bacău",阿瑟烏鄉
"Comuna Bătrâna, Hunedoara",伯特勒納鄉
AS Voința Snagov,威爾斯拉戈夫足球會
Strehaia,斯特雷哈亞
Dărmănești,德爾默內什蒂
Operațiunea Iași-Chișinău,第二次雅西-奇西瑙攻勢
"Comuna Dumbrăvești, Prahova",敦布勒韋什蒂鄉
Camera Deputaților din România,眾議院·(羅馬尼亞)
FC Unirea Urziceni,烏爾濟切尼烏尼雷亞足球會
Agnita,阿格尼塔
"Comuna Vadu Săpat, Prahova",瓦杜瑟帕特鄉
Râul Iza,伊扎河
Gătaia,格塔亞
Recaș,雷卡什
Autostrada A4 (România),A4高速公路·(羅馬尼亞)
Videle,維代萊
Câmpulung,肯普隆格
Cernavodă,切爾納沃德
Râșnov,勒什諾夫
"Comuna Bârgăuani, Neamț",伯爾格瓦尼鄉
Târgu Secuiesc,特尔古-塞奎斯
Năsăud,訥瑟烏德
Băile Herculane,伯伊萊海爾庫拉內
"Comuna Vârfuri, Dâmbovița",沃爾富里鄉
Sulina,蘇利納
Ciacova,恰科瓦
Sighetu Marmației,錫蓋圖馬爾馬切伊
Abrud,阿布鲁德
Bârlad,伯尔拉德
Szabadság,自由·(報紙)
"Comuna Vișinești, Dâmbovița",維希內什蒂鄉
"Comuna Vișina Nouă, Olt",新維希納鄉
Bălan,伯蘭
"Comuna Bănița, Hunedoara",伯尼察鄉
"Comuna Balcani, Bacău",巴爾卡尼鄉
"Comuna Bara, Timiș",巴拉鄉·(蒂米什縣)
Dieceza de Timișoara,天主教蒂米什瓦拉教區
"Comuna Bogda, Timiș",博格達鄉
Arena Națională,國家體育場·(布加勒斯特)
Câmpulung Moldovenesc,摩爾多瓦地區肯普隆格
Curtea de Argeș,阿爾傑什河畔庫爾泰亞
Pașcani,帕什卡尼
"Comuna Bârna, Timiș",伯爾納鄉
Iernut,耶爾努特
DN1,國道1號·(羅馬尼亞)
Negrești,內格雷什蒂
Insula Ada Kaleh,阿達卡萊島
Horezu,霍雷祖
Panciu,潘丘
"Comuna Bârsănești, Bacău",伯爾格瑟內什蒂鄉
Avrig,阿夫里格
"Comuna Belinț, Timiș",貝林茨鄉
Campionatul Mondial de Handbal Feminin din 1962,1962年世界女子手球錦標賽
"Comuna Adamclisi, Constanța",阿達姆克利西鄉
Adjud,阿德茹德
"Comuna Puiești, Buzău",普耶什蒂鄉·(布澤烏縣)
Calafat,卡拉法特
"Comuna Ziduri, Buzău",濟杜里鄉
"Comuna Bethausen, Timiș",貝特哈烏森鄉
Oltenița,奥尔泰尼察
Cehu Silvaniei,切胡錫爾瓦涅伊
Mizil,米濟爾
FC Farul Constanța,化奴康斯坦察足球會
Căile Ferate Române,罗马尼亚铁路
Lacul Bâlea,巴萊亞湖
Munții Rodnei,羅德納山脈
"Comuna Densuș, Hunedoara",登蘇什鄉
Eparhia de Cluj-Gherla,希臘禮天主教克盧日-蓋爾拉教區
"Comuna Bicaz-Chei, Neamț",比卡茲凱鄉
Comunele României,乡·(罗马尼亚)
Topoloveni,托波洛韋尼
Sarmizegetusa Regia,薩爾米基蓋扎雷吉亞
Nucet,努切特
"Comuna Dofteana, Bacău",多夫泰亞納鄉
"Comuna Moțăieni, Dâmbovița",莫策耶尼鄉
"Comuna Dobra, Hunedoara",多布拉鄉·(胡內多阿拉縣)
"Comuna Gornet, Prahova",戈爾內特鄉
"Comuna Beriu, Hunedoara",貝里烏鄉
"Comuna Bertea, Prahova",貝爾泰亞鄉
Beclean,貝克良
Darabani,達拉巴尼
Horă,霍拉舞
"Drăguș, Brașov",德勒古什鄉
Ianca,揚卡
Buziaș,布濟亞什
"Comuna Călugăreni, Prahova",克盧格雷尼鄉·(普拉霍瓦縣)
"Comuna Cărbunești, Prahova",克爾布內什蒂鄉
Mediaș,梅迪亞什
Luduș,盧杜什
Jibou,捷博
Parcul Național Munții Rodnei,羅德納山脈國家公園
"Comuna Slava Cercheză, Tulcea",斯拉瓦切爾凱澤鄉
Ghimbav,金巴夫
Castelul Peleș,佩莱什城堡
Călimănești,克利默內什蒂
"Comuna Chiajna, Ilfov",基亞伊納鄉
"Comuna Dolhești, Suceava",多爾海什蒂鄉·(蘇恰瓦縣)
"Comuna Drajna, Prahova",德拉伊納鄉
Biserica Neagră,黑教堂·(布拉索夫)
"Comuna Drăgănești, Prahova",德勒格內什蒂鄉·(普拉霍瓦縣)
"Comuna Bretea Română, Hunedoara",布雷泰亞羅馬訥鄉
ACF Gloria Bistrița,比斯特里察光榮足球俱樂部
Săcueni,瑟庫埃尼
"Comuna Talea, Prahova",塔萊亞鄉·(普拉霍瓦縣)
"Comuna General Berthelot, Hunedoara",貝爾特洛將軍鎮鄉
"Comuna Birda, Timiș",比爾達鄉
Baia Sprie,巴亞斯普列
Cupa Balcanică,巴爾幹盃
Blue Air,蓝色航空·(罗马尼亚)
"Comuna Balinț, Timiș",巴林茨鄉
"Comuna Blăjeni, Hunedoara",布勒熱尼鄉·(胡內多阿拉縣)
Piața Unirii din Cluj-Napoca,联盟广场·(克卢日-纳波卡)
Limanul Siutghiol,休特吉奧爾湖
Techirghiol,泰基爾吉奧爾
Toplița,托普利察
Lehliu Gară,萊赫柳加勒
Seini,塞伊尼
Târgu Cărbunești,特爾古卡爾布內什蒂
Banca Comercială Română,羅馬尼亞商業銀行
"Comuna Banloc, Timiș",班洛克鄉
Banca Transilvania,外西凡尼亞銀行
"Comuna Becicherecu Mic, Timiș",小貝奇凱雷庫鄉
"Comuna Beba Veche, Timiș",舊貝巴鄉
"Comuna Dalnic, Covasna",達爾尼克鄉
Drumul european E70,欧洲E70公路
"Coșereni, Ialomița",科謝雷尼鄉
Tismana,蒂斯馬納
Oravița,奧拉維察
Catedrala romano-catolică din Satu Mare,耶穌升天主教座堂·(薩圖馬雷)
Tășnad,特什納德
Odobești,奧多貝什蒂
"Comuna Balaciu, Ialomița",巴拉丘鄉
Catedrala Mitropolitană din Cluj-Napoca,聖母安息主教座堂·(克盧日-納波卡)
"Comuna Filipeștii de Târg, Prahova",菲利佩什蒂德特爾格鄉
"Strei, Hunedoara",斯特雷·(羅馬尼亞)
"Comuna Săhăteni, Buzău",瑟赫泰尼鄉
"Comuna Corbii Mari, Dâmbovița",科爾比馬里鄉
CSU Voința Sibiu,錫比烏沃因塔足球俱樂部
"Comuna Gura Văii, Bacău",古拉沃伊鄉·(巴克烏縣)
"Comuna Tătărani, Dâmbovița",特特拉尼鄉
Liga a II-a,罗马尼亚足球乙级联赛
Târgu Lăpuș,特爾古勒普什
Novaci,諾瓦齊
Mănăstirea Voroneț,沃羅內茨修道院
"Comuna Bordești, Vrancea",博爾代什蒂鄉
CSM Ceahlăul Piatra Neamț,皮亞特拉尼亞姆茨恰赫勒烏足球俱樂部
Lacul Sfânta Ana,聖安妮湖
"Comuna Lăpugiu de Jos, Hunedoara",下勒普久鄉
Tăuții-Măgherăuș,特烏齊默蓋勒烏什
"Comuna Biled, Timiș",比萊德鄉
"Comuna Chiojdeanca, Prahova",基奧伊代安卡鄉
"Comuna Lunca Cernii de Jos, Hunedoara",下倫卡切爾尼鄉
"Comuna Luncoiu de Jos, Hunedoara",下倫科尤鄉
Popești-Leordeni,波佩什蒂-萊奧爾代尼
Drumul european E85,欧洲E85公路
Cheile Turzii,圖爾達峽谷
Finala UEFA Europa League 2012,2012年歐霸盃決賽
Petroșani,彼得羅沙尼
"Comuna Vlad Țepeș, Călărași",弗拉德采佩什鄉·(克勒拉希縣)
Vârful Moldoveanu,摩尔多韦亚努峰
"Comuna Bucov, Prahova",布科夫鄉
Biserica Sfântul Mihail din Cluj-Napoca,聖彌額爾教堂·(克魯日)
Fundulea,豐杜萊亞
Munții Maramureșului,馬爾馬羅什山脈
Fieni,菲耶尼
Babadag,巴巴達格
Bisericile pictate din nordul Moldovei,北摩爾達維亞的彩色教堂群
"Comuna Teliucu Inferior, Hunedoara",下泰利烏庫鄉
Tălmaciu,特爾馬丘
"Comuna Bărcănești, Prahova",伯爾克內什蒂鄉·(普拉霍瓦縣)
Munții Retezat,雷泰扎特山脈
Hârșova,哈索瓦
Huși,胡希
Petrila,彼得里拉
"Comuna Vârteșcoiu, Vrancea",沃爾泰什科尤鄉
Urziceni,乌尔济切尼
FC UTA Arad,UTA阿拉德足球會
"Comuna Checea, Timiș",凱恰鄉
"Comuna Bățani, Covasna",伯察尼鄉
Transfăgărășan,川斯發格拉山公路
"Comuna Poșaga, Alba",波沙加鄉
Castelul Bran,布兰城堡
"Comuna Șibot, Alba",希博特鄉
Air Bucharest,布加勒斯特航空
Aiud,阿尤德
Cupa Ligii (România),羅馬尼亞聯賽盃
Gara București Nord,布加勒斯特北站
Ștei,什泰伊
"Comuna Vața de Jos, Hunedoara",下瓦察鄉
Râul Vedea,韋代亞河
"Comuna Banca, Vaslui",班卡鄉·(瓦斯盧伊縣)
Moreni,莫雷尼
Vatra Dornei,瓦特拉多爾內
Marghita,馬爾吉塔
Medgidia,梅吉迪亞
Huedin,胡埃丁
Orșova,奧爾紹瓦
"Salcia, Prahova",薩爾恰鄉·(普拉霍瓦縣)
"Comuna Ciolănești, Teleorman",喬勒內什蒂鄉
"Augustin, Brașov",奧古斯廷鄉·(布拉索夫縣)
Vlăhița,弗勒希察
Sângeorz-Băi,聖喬治-伯伊
Țicleni,齊克萊尼
Țăndărei,岑德雷伊
"Comuna Bran, Brașov",布蘭鄉·(布拉索夫縣)
"Comuna Ploscuțeni, Vrancea",普洛斯庫采尼鄉
"Comuna Vizantea-Livezi, Vrancea",維贊泰亞-利韋濟鄉
"Comuna Holbav, Brașov",霍爾巴夫鄉
AFC Astra Giurgiu,阿斯特拉足球俱樂部
Bătălia din Crimeea (1941),克里米亞戰役·(1941年–1942年)
Germanii din România,羅馬尼亞德裔
Făgăraș,弗格拉什
Partidul Național Liberal (România),国家自由党·(罗马尼亚)
"Comuna Brazi, Prahova",布拉濟鄉·(普拉霍瓦縣)
Huțuli,胡楚爾人
Biserici de lemn din Maramureș,馬拉穆列什的木教堂群
Organizarea administrativ-teritorială a României,罗马尼亚行政区划
"Comuna Seaca de Pădure, Dolj",塞亞卡德珀杜雷鄉
"Comuna Filipeștii de Pădure, Prahova",菲利佩什蒂德珀杜雷鄉
