日本,일본
KINENOTE人物識別子,KINENOTE 인물 ID
岩手県,이와테현
縄文時代,조몬 시대
アキュラ,아큐라
都道府県,도도부현
LINE BLOGユーザーID,LINE 블로그 계정명
愛知県,아이치현
日立製作所,히타치 제작소
シャープ,샤프
日本グランプリ,일본 그랑프리
小菅村,고스게촌
京王高尾線,게이오 전철 다카오 선
インフィニティ,인피니티
源氏物語,겐지 이야기
忍者,닌자
京都市,교토시
地下鉄赤塚駅,지카테쓰아카쓰카역
大森駅,오모리역
平和台駅,헤이와다이역
明治神宮前駅,메이지진구마에역
新御茶ノ水駅,신오차노미즈역
名古屋市,나고야시
トヨタ自動車,토요타 자동차
日本語,일본어
日本の漫画,일본 만화
大野郡,오노군
三木市,미키시
高井戸駅,다카이도역
大内郡,오치군
西永福駅,니시에이후쿠역
ニコニコ大百科識別子,니코니코대백과 문서명
議案番号,의안번호/제출번호
アニメ大全識別子,애니메 대전 ID
e-Gov法令ID,e-Gov 법령 ID
日本法令索引識別子,일본법령색인 ID
落合駅,오치아이역
本郷三丁目駅,혼고 3초메 역
市川・船橋戦争,이치카와 후나바시 전쟁
造田駅,조다역
君が代,일본의 국가
志賀駅,시가역
日本の城,일본의 성
広島市現代美術館,히로시마시 현대미술관
いすゞ自動車,이스즈 자동차
名古屋鉄道,나고야 철도
有明海,아리아케해
八代海,야쓰시로해
岩手県第1区,이와테현 제1구
余部橋梁,아마루베 철교
服部緑地,핫토리료쿠치
須佐駅,스사역
吉賀町,요시카정
新越谷駅,신코시가야역
伝法駅,덴포역
沖縄北部方言,쿠니가미어
栃木県第3区,도치기현 제3구
Wiiリモコン,Wii 리모컨
広島国際アニメーションフェスティバル,히로시마 국제 애니메이션 페스티벌
妙高市,묘코시
承暦,조랴쿠
草津白根山,구사쓰시라네산
秋田県,아키타현
朝鮮語,한국어
FC琉球OKINAWA,FC 류큐
ニヴフ,니브흐족
新生党,신생당
普天間基地移設問題,후텐마 기지 이전 문제
730,730
琉球諸語,류큐어
青空文庫,아오조라 문고
京成電鉄,게이세이 전철
西武鉄道,세이부 철도
小田急電鉄,오다큐 전철
対馬,쓰시마섬
対馬海峡,대한해협
四国,시코쿠
広島市,히로시마시
広島空港,히로시마 공항
浮世草子,우키요조시
勤労感謝の日,근로감사의 날
御伽草子,오토기조시
歌ネット song ID,우타넷 노래
歌ネット アーティストID,우타넷 음악가 ID
京王新線,게이오 신선
Progress of Theoretical and Experimental Physics,이론 및 실험 물리학의 진보
八重山語,야에야마어
東京地方裁判所,도쿄 지방 재판소
東京高等裁判所,도쿄 고등 재판소
芸妓,게이샤
東京駅,도쿄역
日清食品,닛신식품
黒潮,쿠로시오 해류
岩美町,이와미정
池上通信機,이케가미통신기
矢部村,야베촌
村上駅 (千葉県),무라카미역
茨城県,이바라키현
三菱電機,미쓰비시 전기
北海道,홋카이도
鹿児島県,가고시마현
キヤノン,캐논
広島市植物公園,히로시마 시 식물 공원
東京スカイツリー,도쿄 스카이트리
親潮,오야시오 해류
パナソニック ホールディングス,파나소닉
カプコン,캡콤
天竜川,덴류강
九州,규슈
島松駅,시마마쓰역
1972年札幌オリンピック,1972년 동계 올림픽
神籬,신리 (신토)
新党日本,신당일본
平等院,뵤도인
大名,다이묘
東梅田駅,히가시우메다역
中崎町駅,나카자키초역
四天王寺前夕陽ヶ丘駅,시텐노지마에유히가오카역
都島駅,미야코지마역
千林大宮駅,센바야시오미야역
関目高殿駅,세키메타카도노역
野江内代駅,노에우친다이역
守口駅,모리구치역
沖縄語,오키나와어
与那国方言,요나구니어
三菱自動車工業,미쓰비시 자동차공업
松下駅,마쓰시타역
山田上口駅,야마다카미구치역
平和公園,평화공원 (나가사키 시)
西武池袋線,세이부 철도 이케부쿠로 선
日本手話,일본 수화
北神急行電鉄,호쿠신 급행 전철
摂津富田駅,셋쓰톤다역
津軽線,쓰가루선
岸辺駅,기시베역
青森駅,아오모리역
兵庫駅,효고역
元町駅,모토마치역
本田技研工業,혼다 기연공업
阿久根市,아쿠네시
1940年札幌オリンピック,1940년 동계 올림픽
金刀比羅宮,고토히라궁
1998年長野オリンピック,1998년 동계 올림픽
諏訪之瀬島,스와노세섬
沖永良部島,오키노에라부섬
鎮西大社諏訪神社,스와 신사
日本二十六聖人記念館,일본 26 성인 기념관
フットサル日本代表,일본 풋살 국가대표팀
狛江市,고마에시
下里駅,시모사토역
いなべ市,이나베시
我孫子前駅,아비코마에역
本州,혼슈
青函トンネル,세이칸 터널
枕崎市,마쿠라자키시
河西郡,가사이군
生長の家,생장의 집
レクサス,렉서스
四ツ橋駅,요쓰바시역
SEGA-AM2,세가 AM2
ANAウイングス,ANA 윙스
電波産業会,전파산업회
アスキー,아스키
与論島,요론섬
北条市,호조시
端岡駅,하시오카역
大阪市,오사카시
氷川台駅,히카와다이역
小竹向原駅,고타케무카이하라역
朝熊駅,아사마역
見附島,미쓰케지마
天叢雲剣,쿠사나기의 검
鹿児島市,가고시마시
宇佐市,우사시
福島第一原子力発電所,후쿠시마 제1 원자력 발전소
麻布十番駅,아자부주반역
東新宿駅,히가시신주쿠역
西大橋駅,니시오하시역
森下駅,모리시타역
国立広島原爆死没者追悼平和祈念館,국립 히로시마 원폭 사망자 추도 평화기념관
名古屋テレビ塔,나고야 테레비 타워
1998年長野オリンピックのアイスホッケー競技,1998년 동계 올림픽 아이스하키
ハンドボール日本男子代表,일본 핸드볼 국가대표팀
AC長野パルセイロ,AC 나가노 파르세이루
阿左美駅,아자미역
武家諸法度,무가제법도
日本プロバスケットボールリーグ,bj 리그
ロアッソ熊本,로아소 구마모토
吉祥寺,기치조지
宝永大噴火,호에이 대분화
三鷹駅,미타카역
神奈川宿,가나가와슈쿠
鉄道の日,철도의 날
廃刀令,하이토레이
アニメーション神戸,애니메이션 고베
アニメインターナショナルカンパニー,아니메 인터내셔널 컴퍼니
独立行政法人,독립행정법인
端島,하시마섬
即身仏,즉신성불
小坂町,오사카정
大韓航空機撃墜事件,대한항공 007편 격추 사건
ソニー・インタラクティブエンタテインメント,소니 컴퓨터 엔터테인먼트
アイヌ,아이누
東京都庁舎,도쿄도청사
部落民,부라쿠민
参議院,참의원
サッポロビール,삿포로 맥주
オリオン電機,오리온 전기
九度山駅,구도야마역
福岡市地下鉄,후쿠오카 시 교통국
信濃国,시나노국
真言宗,진언종
釧網本線,센모 본선
竹下改造内閣,다케시타 내각
天承,덴쇼
九州南西海域工作船事件,일본 순시선 괴선박 격침 사건
恵み野駅,메구미노역
桃山台駅,모모야마다이역
新今宮駅,신이마미야역
吹田駅,스이타역
恵庭駅,에니와역
南海本線,난카이 전기 철도 난카이 본선
緑地公園駅,료쿠치코엔역
木古内駅,기코나이역
千里丘駅,센리오카역
日置市,히오키시
東急目黒線,도쿄 급행 전철 메구로 선
笹子トンネル,사사고 터널
村上市,무라카미시
福田町駅,후쿠다마치역
浪岡町,나미오카정
八甲田トンネル,핫코다 터널
長堀鶴見緑地線,오사카 시 교통국 지하철 나가호리쓰루미료쿠치 선
トライエース,트라이에이스
朝敵,조적
山形テレビ,야마가타 TV
新津田沼駅,신쓰다누마역
成田国際空港,나리타 국제공항
閩東語,민둥어
おせんころがし,오센코로가시
鴨川シーワールド,가모가와 시월드
安房天津駅,아와아마쓰역
国際武道大学,국제무도대학
1924年パリオリンピックの日本選手団,1924년 하계 올림픽 일본 선수단
1920年アントワープオリンピックの日本選手団,1920년 하계 올림픽 일본 선수단
和田浦駅,와다우라역
太海駅,후토미역
千倉駅,지쿠라역
九重駅,고코노에역
南三原駅,미나미하라역
ケンウッド,켄우드
西南女学院大学,세이난 조가쿠인 대학
有明駅,아리아케역
日本航空123便墜落事故,일본항공 123편 추락 사고
韮崎市,니라사키시
大阪府立大学,오사카 부립 대학
久居市,히사이시
.jp,.jp
伊佐市,이사시
華厳滝,게곤 폭포
出水市,이즈미시
札幌市,삿포로시
山崎の戦い,야마자키 전투
東京メトロポリタンテレビジョン,도쿄 메트로폴리탄 텔레비전
広島大学,히로시마 대학
秋田市,아키타시
江見駅,에미역
千歳駅,지토세역
館山駅,다테야마역
駐日大韓民国大使館,주일본 대한민국 대사관
丸紅,마루베니
赤坂BLITZ,아카사카 BLITZ
赤坂プリンスホテル,그랜드 프린스 호텔 아카사카
赤坂町,아카사카정
薩摩川内市,사쓰마센다이시
いちき串木野市,이치키쿠시키노시
マツダ,마쓰다
白金高輪駅,시로카네타카나와역
月島駅,쓰키시마역
蔵前駅,구라마에역
白金台駅,시로카네다이역
A BATHING APE,어 베이싱 에이프
神津島,고즈섬
水戸線,미토선
広島湾,히로시마만
湊川の戦い,미나토강 전투
原爆の子の像,원폭의 아이의 동상
長崎大学,나가사키 대학
大久保駅,오쿠보역
横浜国際総合競技場,요코하마 국제 종합경기장
宮古空港,미야코 공항
宮古語,미야코어
日産自動車,닛산 자동차
南九州市,미나미큐슈시
指宿市,이부스키시
東北地方太平洋沖地震,도호쿠 지방 태평양 해역 지진
南さつま市,미나미사쓰마시
鹿島アントラーズ,가시마 앤틀러스
2004年アテネオリンピックの柔道競技,2004년 하계 올림픽 유도
つばさ,쓰바사
魚沼田中駅,우오누마타나카역
三加和町,미카와정
明治神宮,메이지 신궁
阿部野橋ターミナルビル,아베노바시 터미널 빌딩
日本海溝,일본 해구
伊豆・小笠原海溝,이즈-오가사와라 해구
講談社漫画賞,고단샤 만화상
富士山,후지산
東伊豆町,히가시이즈정
稲野駅,이나노역
三菱地所,미쓰비시 지소
久能山東照宮,구능산 동조궁
帝国ホテル,데이코쿠 호텔
赤間神宮,아카마 신궁
豊栄市,도요사카시
日本の原子爆弾開発,일본의 핵무기 개발
愛媛県,에히메현
侍,사무라이
広島城,히로시마성
石垣島,이시가키섬
春日大社,가스가타이샤
ロンドンブーツ1号2号,런던부츠 1호 2호
1988年ソウルオリンピックの柔道競技,1988년 하계 올림픽 유도
ネクソン,넥슨
チェンマイ・イニシアティブ,치앙마이 이니셔티브
太東駅,다이토역
小浜市,오바마시
沖縄料理,오키나와 요리
桶川市,오케가와시
安泰寺,안타이지
愛知郡,아이치군
御宿駅,온주쿠역
浪花駅,나미하나역
大原駅,오하라역
行川アイランド駅,나메가와 아일랜드역
安房小湊駅,아와코미나토역
安房鴨川駅,아와카모가와역
わかしお,와카시오
鵜原駅,우바라역
守谷海水浴場,모리야 해수욕장
鯛の浦,다이노우라
上総興津駅,가즈사오키쓰역
勝浦駅,가쓰우라역
町人,조닌
田辺市,다나베시
黒い霧事件,검은 안개 사건
カーネル・サンダースの呪い,커널 샌더스의 저주
零式艦上戦闘機,미쓰비시 A6M 영식 함상 전투기
日本空手道松濤會,쇼토카이
アスキー・メディアワークス,아스키 미디어 웍스
ASIMO,ASIMO
アニメシアターX,AT-X
セガ,세가
福岡県,후쿠오카현
北朝鮮による日本人拉致問題,조선민주주의인민공화국의 일본인 납치
北海道駒ヶ岳,홋카이도 고마가다케산
江戸開城,에도 개성
上野戦争,우에노 전쟁
葦プロダクション,프로덕션 리드
安房勝山駅,아와카쓰야마역
保田駅,호타역
上総湊駅,가즈사미나토역
浜金谷駅,하마카나야역
クリプトン・フューチャー・メディア,크립턴 퓨처 미디어
佐貫町駅,사누키마치역
竹岡駅,다케오카역
大貫駅,오누키역
青堀駅,아오호리역
長崎市,나가사키시
ひらかたパーク,히라카타 파크
大阪市営地下鉄,오사카 시영 지하철
玖珂郡,구가군
西ケ方駅,니시가호역
桑原城の戦い,구와바라성 전투
西長堀駅,니시나가호리역
大和郡山市,야마토코리야마시
横浜市,요코하마시
日本国憲法第9条,일본국 헌법 제9조
吉備津神社,기비쓰 신사
南京大虐殺否定論,난징 대학살 부인론
愛宕神社,아타고 신사
守礼門,슈레이 문
松竹,쇼치쿠
名護市,나고시
中禅寺湖,주젠지호
コニカミノルタ,코니카 미놀타
姫路駅,히메지역
赤村,아카촌
大阪府,오사카부
ニヴフ語,니브흐어
竹島,독도
相生橋,아이오이 교
富山,도미산
日本の国旗,일본의 국기
迎賓館赤坂離宮,영빈관 (일본)
秋田の聖母マリア,아키타의 성모
日本動画協会,일본동화협회
那古船形駅,나코후나카타역
岩井駅,이와이역
富浦駅,도미우라역
那古寺,나고지
大福寺,다이후쿠지
TSUBAME,츠바메
合気道,아이키도
星野村,호시노촌
燕市,쓰바메시
浜野駅,하마노역
袖ケ浦駅,소데가우라역
巌根駅,이와네역
長浦駅,나가우라역
五井駅,고이역
姉ケ崎駅,아네가사키역
港南中央駅,고난추오역
曽爾村,소니촌
網走市,아바시리시
八積駅,야쓰미역
永田駅,나가타역
安中市,안나카시
レッド・エンタテインメント,레드 엔터테인먼트
玉前神社,다마사키 신사
太東岬,다이토곶
茂原駅,모바라역
三門駅,미카도역
長者町駅,조자마치역
波照間空港,하테루마 공항
ジャスコ,JUSCO
平良市,히라라시
東京都区部,도쿄도 구부
ナムコ,남코
エンターブレイン,엔터브레인
ユーフォーテーブル,유포테이블
pixiv,픽시브
伏見稲荷大社,후시미 이나리 신사
2002 FIFAワールドカップ・決勝,2002년 FIFA 월드컵 결승전
熊谷市,구마가야시
東京劇場,도쿄 극장
新茂原駅,신모바라역
本納駅,혼노역
東浪見駅,도라미역
上総一ノ宮駅,가즈사이치노미야역
東京ドームシティ,도쿄 돔 시티
東京ドームシティアトラクションズ,도쿄 돔 시티 어트랙션스
海上保安庁,일본 해상보안청
高松琴平電気鉄道,다카마쓰코토히라 전기 철도
守護代,슈고다이
箱館戦争,하코다테 전쟁
漢字文化圏,한자 문화권
総合商社,종합상사
岩木山,이와키산
二見浦駅,후타미노우라역
宮川駅,미야가와역
ジェットスター・ジャパン,제트스타 재팬
田丸駅,다마루역
池の浦シーサイド駅,이케노우라시사이드역
X-Seed 4000,X-Seed 4000
加賀市,가가시
羊蹄山,요테이산
岩手山,이와테산
開聞岳,가이몬다케
ソニーグループ,소니그룹
日本トランスオーシャン航空,일본 트랜스오션 항공
予讃線,요산선
太田山公園,오다야마 공원
東京湾観音,도쿄만 관음상
1952年ヘルシンキオリンピックの日本選手団,1952년 하계 올림픽 일본 선수단
姉崎火力発電所,아네가사키 화력 발전소
四万十川,시만토강
玉出駅,다마데역
福生市,훗사시
TOYO TIRE,도요 고무
立正佼成会,입정교성회
安政の大獄,안세이 대옥
大正区,다이쇼구
大化の改新,다이카 개신
磐梯山,반다이산
留萌市,루모이시
京都府,교토부
桜川駅 (大阪府),사쿠라가와역
肥後橋駅,히고바시역
南砂町駅,미나미스나마치역
葛西駅,가사이역
東陽町駅,도요초역
西葛西駅,니시카사이역
木場駅,기바역
am/pm,am/pm
au,au
manaca,manaca
フィール,Feel
minori,Minori
花巻市,하나마키시
浦上教会,가톨릭 우라카미 교회
網走湖,아바시리호
土佐清水市,도사시미즈시
玉川駅,다마가와역
松屋町駅,마쓰야마치역
岸里駅,기시노사토역
野田阪神駅,노다한신역
北巽駅,기타타쓰미역
花園町駅,하나조노초역
南巽駅,미나미타쓰미역
京阪中之島線,게이한 전기 철도 나카노시마 선
北加賀屋駅,기타카가야역
東久留米市,히가시쿠루메시
京阪交野線,게이한 전기 철도 가타노 선
宮古島市,미야코지마시
西南戦争,세이난 전쟁
国分寺市,고쿠분지시
山形県,야마가타현
西梅田駅,니시우메다역
高井田駅,다카이다역
深江橋駅,후카에바시역
小路駅,쇼지역
住之江公園駅,스미노에코엔역
新深江駅,신후카에역
長田駅,나가타역
BK117,MBB/가와사키 BK 117
日立駅,히타치역
大甕駅,오미카역
常陸多賀駅,히타치타가역
神奈川県,가나가와현
2011年日本グランプリ,2011년 포뮬러 원 일본 그랑프리
沖縄テレビ放送,오키나와 TV 방송
テレビ宮崎,TV 미야자키
全国独立放送協議会,전국 독립 방송 협의회
テレビ西日本,TV 니시닛폰
秋田放送,아키타 방송
中京テレビ放送,주쿄 TV 방송
中国放送,주고쿠 방송
札幌テレビ放送,삿포로 TV 방송
新潟放送,니가타 방송
あさご芸術の森,아사고 예술의 숲
朝日賞,아사히상
朝日村,아사히 촌 (나가노 현)
アサヒビール,아사히 맥주
アイバニーズ,아이바네즈
元泊村,모토도마리촌
新井薬師前駅,아라이야쿠시마에역
新潟テレビ21,니가타 TV21
北海道文化放送,홋카이도 분카 방송
下落合駅,시모오치아이역
北陸朝日放送,호쿠리쿠 아사히 방송
北陸放送,호쿠리쿠 방송
別府大学,벳푸 대학
山形放送,야마가타 방송
アミューズ,아뮤즈
朝来市,아사고시
安土桃山時代,아즈치모모야마 시대
習志野市,나라시노시
安倍川,아베강
住友商事,스미토모 상사
伊藤忠商事,이토추 상사
赤報隊,적보대
DRAGON GATE,드래건 게이트
住友グループ,스미토모 그룹
第59軍,제59군
音羽町,오토와정
甲州勝沼の戦い,고슈 가쓰누마 전투
宇都宮城の戦い,우쓰노미야성 전투
宇佐神宮,우사 신궁
阿蘇神社,아소 신사
立場駅,다테바역
中川駅 (神奈川県),나카가와역
八幡宿駅,야와타주쿠역
さざなみ,사자나미
香春町,가와라정
中田駅,나카다역
下飯田駅,시모이다역
ブライス,블라이스
阪神タイガース,한신 타이거스
西尾市,니시오시
浜金谷港,가나야항
前田氏,마에다씨
佃駅,쓰쿠다역
阿波池田駅,아와이케다역
三河安城駅,미카와안조역
東区,히가시구
六甲アイランド,롯코 아일랜드
下永谷駅,시모나가야역
桜井市,사쿠라이시
1956年メルボルンオリンピックの日本選手団,1956년 하계 올림픽 일본 선수단
1960年ローマオリンピックの日本選手団,1960년 하계 올림픽 일본 선수단
君津駅,기미쓰역
木更津駅,기사라즈역
日本プロサッカーリーグ,일본 프로 축구 리그
一水会,일수회
マザー牧場,마더 목장
山口県,야마구치현
浦安市,우라야스시
みどり市,미도리시
上野,우에노
大西町,오니시정
松山城,마쓰야마성
市貝町,이치카이정
辻駅,쓰지역
吉野町駅,요시노초역
蒔田駅,마이타역
岩出市,이와데시
オホーツク海,오호츠크해
甲斐市,가이시
河口湖,가와구치호
日本サッカー協会,일본 축구 협회
1964年東京オリンピックの陸上競技,1964년 하계 올림픽 육상
原町市,하라마치시
在日モンゴル人,재일 몽골인
NHKラジオ第1放送,NHK 라디오 제1방송
福井放送,후쿠이 방송
静岡放送,시즈오카 방송
山口放送,야마구치 방송
青森放送,아오모리 방송
大分放送,오이타 방송
信越放送,신에쓰 방송
きみさらずタワー,기미사라즈 타워
王貞治ベースボールミュージアム,왕정치 베이스볼 뮤지엄
萬福寺,만푸쿠지
広島駅,히로시마역
福岡放送,후쿠오카 방송
九州朝日放送,규슈 아사히 방송
山梨放送,야마나시 방송
北日本放送,기타니혼 방송
南海放送,난카이 방송
北海道放送,홋카이도 방송
羽生駅,하뉴역
久喜駅,구키역
東北放送,도호쿠 방송
川岸駅,가와기시역
第45回衆議院議員総選挙,제45회 일본 중의원 의원 총선거
都営地下鉄浅草線,도쿄 도 교통국 지하철 아사쿠사 선
エフエム東京,FM 도쿄
京都御苑,교토 교엔
日本教職員組合,일본교직원조합
近江国,오미국
三春藩,미하루번
野村證券,노무라 증권
朝倉市,아사쿠라시
朝倉郡,아사쿠라군
浅草,아사쿠사
太平洋ベルト,태평양 벨트
中国攻め,주고쿠 정벌
埼玉西武ライオンズ,사이타마 세이부 라이온스
1958年アジア競技大会におけるサッカー競技,1958년 아시안 게임 축구
イトーカンパニー,이토 컴퍼니
芦屋市,아시야시
上越市,조에쓰시
紀勢本線,기세이 본선
出雲国,이즈모국
大岡山駅,오오카야마역
愛知国際放送,아이치 국제 방송
岡山放送,오카야마 방송
西日本放送,니시닛폰 방송
瀬戸内海放送,세토나이카이 방송
日本海テレビジョン放送,니혼카이 TV
InterFM897,FM인터웨이브
山陰中央テレビジョン放送,산인 중앙 TV 방송
アール・エフ・ラジオ日本,RF라디오닛폰
山陰放送,산인 방송
久留米市,구루메시
松戸市,마쓰도시
かなまら祭,가나마라 축제
ボス,보스
大阪城北詰駅,오사카조키타즈메역
伊予富田駅,이요토미타역
芦別市,아시베쓰시
日光国立公園,닛코 국립공원
AGC,AGC주식회사
旭化成,아사히 카세이
朝日新聞,아사히 신문
吉備国際大学Charme岡山高梁,요시비 국제 대학 Charme 오카야마 고량
グッドデザイン賞,굿디자인상
柏崎刈羽原子力発電所,가시와자키 가리와 원자력 발전소
八軒駅,하치켄역
新琴似駅,신코토니역
新川駅,신카와역
東神奈川駅,히가시카나가와역
要町駅,가나메초역
和光市駅,와코시역
口永良部島,구치노에라부섬
道,도
キリシタン,기리시탄
魚釣島,우오쓰리섬
右京区,우쿄구
弘明寺駅 (横浜市営地下鉄),구묘지역
国府宮駅,고노미야역
NHK-FM放送,NHK-FM방송
稲城市,이나기시
日本BS放送,닛폰BS방송
辰野駅,다쓰노역
東京ディズニーランド,도쿄 디즈니랜드
淀藩,요도번
神戸市営地下鉄海岸線,고베 시 교통국 지하철 가이간 선
オールニッポン・ニュースネットワーク,올 닛폰 뉴스 네트워크
東海テレビ放送,도카이 TV
秩父鉄道,지치부 철도
磐城平藩,이와키 다이라번
RSK山陽放送,산요 방송
フジニュースネットワーク,후지 뉴스 네트워크
南北線,삿포로 시 교통국 지하철 난보쿠 선
扇町駅,오기마치역
岡谷駅,오카야역
川越市,가와고에시
長野市,나가노시
柏市,가시와시
米子市,요나고시
芦屋町,아시야정
附属池田小事件,오사카 학교 학살
講談社,고단샤
小山町,오야마정
菊川市,기쿠가와시
埴科郡,하니시나군
大坂城,오사카성
セイコーホールディングス,세이코홀딩스
鶴見駅,쓰루미역
埼玉県,사이타마현
中津川市,나카쓰가와시
青柳駅,아오야기역
馬喰横山駅,바쿠로요코야마역
千川駅,센카와역
西早稲田駅,니시와세다역
曙橋駅,아케보노바시역
雑司が谷駅,조시가야역
中国地方,주고쿠 지방
ようこう,요우코우
横浜ランドマークタワー,요코하마 랜드마크 타워
東京工業大学,도쿄 공업대학
新子安駅,신코야스역
岩本町駅,이와모토초역
北参道駅,기타산도역
浜町駅,하마초역
一畑電車,이치바타 전차
森林公園駅,신린코엔역
関西空港駅,간사이 공항역
鷲宮駅,와시노미야역
飫肥城,오비성
本巣市,모토스시
上諏訪駅,가미스와역
御嶽,우타키
ゼブラ,제브라
伊東市,이토시
オズフェスト,오즈페스트
三重県,미에현
日本の経済,일본의 경제
福岡大学,후쿠오카 대학
徳島文理大学,도쿠시마 문리대학
小倉城,고쿠라성
粟島浦村,아와시마우라촌
長野県,나가노현
雛祭り,히나마쓰리
長浜市,나가하마시
原木中山駅,바라키나카야마역
京セラドーム大阪,오사카 돔
桜島,사쿠라지마섬
玉城町,다마키정
龍安寺,료안지
衣笠駅,기누가사역
越中島駅,엣추지마역
葛西臨海公園駅,가사이린카이코엔역
東逗子駅,히가시즈시역
潮見駅,시오미역
横須賀駅,요코스카역
逗子駅,즈시역
テレビ北海道,TV 홋카이도
テレビせとうち,TV 세토우치
サンテレビジョン,선 TV
伊江島,이에섬
行徳駅,교토쿠역
Bunkamura,분카무라
ミランダカメラ,미란다 카메라 회사
宇治上神社,우지가미 신사
第1次山縣内閣,제1차 야마가타 내각
坂東市,반도시
首都圏,일본의 수도권
厚別駅,아쓰베쓰역
ENEOSホールディングス,ENEOS 홀딩스
妙典駅,묘덴역
南行徳駅,미나미교토쿠역
西船橋駅,니시후나바시역
日本列島の旧石器時代,일본의 구석기 시대
立川南駅,다치카와미나미역
馬喰町駅,바쿠로초역
保土ケ谷駅,호도가야역
西大井駅,니시오이역
東青梅駅,히가시오메역
宇治市,우지시
