Madrid,馬德里
Granadilla de Abona,格拉纳迪利亚德亚沃纳
Estepona,埃斯特波纳
El Puerto de Santa María,圣玛丽亚港
El Ejido,埃莱希多
Calvià,卡尔维亚
Benalmádena,贝纳尔马德纳
Roquetas de Mar,罗克塔斯德马尔
Orihuela,奥里韦拉
Mijas,米哈斯
Adeje,阿德赫
Castilla y León,卡斯蒂利亚-莱昂
Ribadesella,里瓦德塞利亚
Majadahonda,马哈达翁达
Llanes,利亚内斯
Las Rozas de Madrid,拉斯罗萨斯德马德里德
El Prat de Llobregat,埃尔普拉特德略夫雷加特
Valdemoro,巴尔德莫罗
Torrelavega,托雷拉韦加
Torrejón de Ardoz,托雷洪德亚尔多斯
Cangas de Onís,坎加斯德奥尼斯
Cangas del Narcea,坎加斯德尔纳尔塞亚
Aranjuez,阿兰胡埃斯
Pico de Aneto,阿内托峰
Eixample,扩展区
Vélez-Málaga,贝莱斯-马拉加
Úbeda,乌韦达
Torremolinos,托雷莫利诺斯
Teror,特罗尔
San Sebastián de la Gomera,圣塞瓦斯蒂安德拉戈梅拉
Huércal-Overa,韦尔卡尔-奥韦拉
Hermigua,埃尔米瓜
Fuengirola,福恩吉罗拉
Elda,埃尔达
Écija,埃西哈
Cuevas del Almanzora,库埃瓦斯德拉尔曼索拉
Ceuta,休达
Calp,卡尔佩
Almuñécar,阿尔穆涅卡尔
Alhama de Murcia,阿尔阿马德穆尔西亚
Alzira,阿尔西拉
Puertollano,普埃尔托利亚诺
Región de Murcia,穆尔西亚自治区
Motril,莫特里尔
Mallorca,馬略卡島
Agaete,阿盖特
La Rioja,拉里奥哈
Cantabria,坎塔布里亚
Sant Adrià de Besòs,桑塔德里亚德韦索斯
Salou,萨洛
Miranda de Ebro,埃布罗河畔米兰达
Comunidad de Madrid,马德里自治区
El Franco,埃尔夫兰科
Cudillero,库迪列罗
Colunga,科伦加
Coaña,科阿尼亚
Tortosa,托尔托萨
Tapia de Casariego,塔皮亚德卡萨列戈
Soto del Barco,索托德尔瓦尔科
San Vicente de la Barquera,圣比森特德拉瓦尔克拉
Plasencia,普拉森西亞
Monte Perdido,佩迪杜山
Principality of Asturias,阿斯图里亚斯
Navarra,納瓦拉
Grandas de Salime,格兰达斯德萨利梅
Gràcia,恩典区
Cambrils,坎夫里尔斯
Boal,博阿尔
Viladecans,比拉德坎斯
Arbo,阿尔沃
Aeroport de Girona - Costa Brava,赫羅納－布拉瓦海岸機場
Zaragoza Airport,薩拉戈薩機場
Sants-Montjuïc,圣徒-蒙特惠奇
Ciutat Vella,旧城区
Arganzuela,阿尔甘苏埃拉
Tres Cantos,特雷斯坎托斯
Andalusia,安達盧西亞
Yecla,耶克拉
Villanueva de la Serena,塞雷纳新镇
Vícar,比卡尔
Peñón de Vélez de la Gomera,戈梅拉岛
Vejer de la Frontera,贝赫尔德拉夫龙特拉
Utiel,乌铁尔
Tomelloso,托梅略索
Tarifa,塔里法
Sóller,索列尔
Santa Pola,圣波拉
Santa Lucía,圣卢西亚
Santa Eulària des Riu,滨河圣埃乌拉利亚
Sant Lluís,桑特柳伊斯
Sant Antoni de Portmany,桑坦托尼德波尔特马尼
La Roda,拉罗达
La Rinconada,拉林科纳达
La Palma del Condado,拉帕尔马德尔孔达多
La Matanza de Acentejo,拉马坦萨德亚森特霍
Jumilla,胡米利亚
Jimena de la Frontera,希梅纳德拉夫龙特拉
Jerez de los Caballeros,赫雷斯德洛斯卡瓦列罗斯
Jalón,哈隆
Icod de los Vinos,伊科德洛斯维诺斯
Ibi,伊维
El Hierro,耶罗岛
Hellín,埃林
Guía de Isora,吉亚德索拉
Guadix,瓜迪斯
Gibraleón,希夫拉莱翁
El Paso,埃尔帕索
Don Benito,东韦尼托
Cocentaina,科森泰纳
Cieza,希耶萨
Chipiona,奇皮奥纳
Islas Chafarinas,舍法林群岛
Castellar de la Frontera,卡斯特利亚尔德拉夫龙特拉
Candelaria,坎德拉里亚
Camas,卡马斯
Calasparra,卡拉斯帕拉
Burriana,布里亚纳
Buñol,布尼奥尔
Berja,贝尔哈
Balearic Islands,巴利阿里群島
Ayamonte,艾阿蒙特
Aspe,阿斯佩
Arcos de la Frontera,阿尔科斯-德拉弗龙特拉
Antequera,安特克拉
Andújar,安杜哈尔
Almoradí,阿尔莫拉迪
Almonte,阿尔蒙特
Almendralejo,阿尔门德拉莱霍
Almansa,阿尔曼萨
Alhaurín de la Torre,阿尔奥林德拉托雷
Algemesí,阿尔赫梅西
Alcázar de San Juan,阿尔卡萨尔德圣胡安
Alboraya,阿尔沃赖阿
Águilas,阿吉拉斯
Rincón de la Victoria,林孔德拉维克托里亚
Requena,雷克纳
Puerto Real,王港市
Puerto de la Cruz,普埃尔托德拉克鲁斯
Priego de Córdoba,普列戈德科尔多瓦
Polop,波洛普
Pinoso,皮诺索
Pilar de la Horadada,皮拉尔德拉奥拉达达
Paterna,帕特尔纳
Palos de la Frontera,帕洛斯德拉夫龙特拉
Palma del Río,帕尔马德尔里奥
Onda,翁达
Morón de la Frontera,莫龙德拉夫龙特拉
Montilla,蒙蒂利亚
Monóvar,莫诺瓦尔
Monforte del Cid,蒙福尔特德尔西德
Moguer,莫格尔
Mislata,米斯拉塔
Miguelturra,米格尔图拉
Mairena del Aljarafe,迈雷纳德拉尔哈拉费
Puerto Lumbreras,普埃尔托伦夫雷拉斯
Los Montesinos,洛斯蒙特西诺斯
Los Llanos de Aridane,洛斯利亚诺斯德亚里达内
Los Barrios,洛斯巴里奥斯
La Unión,劳尼翁
Laujar de Andarax,劳哈尔德亚恩达拉斯
Europe,欧洲
Galicia,加利西亚
San Martín de la Vega,圣马尔廷德拉韦加
San Lorenzo de El Escorial,圣洛伦索德埃莱斯科里亚尔
Sangüesa/Zangoza,桑格萨
San Fernando de Henares,埃纳雷斯河畔圣费尔南多
Sant Feliu de Guíxols,圣费柳-德吉克索尔斯
San Andrés del Rabanedo,圣安德雷斯德尔拉瓦内多
Sahagún,萨阿贡
Sabiñánigo,萨维尼亚尼戈
Ripollet,里波列特
Ramales de la Victoria,拉马莱斯德拉维克托里亚
Puente la Reina,蓬特拉雷纳
Moaña,莫阿尼亚
Martorell,马尔托雷利
Manlleu,曼列乌
Los Corrales de Buelna,洛斯科拉莱斯德武埃尔纳
Leioa,莱奥阿
Entrena,恩特雷纳
El Escorial,埃尔埃斯科里亚尔
El Barco de Ávila,埃尔瓦尔科德亚维拉
El Astillero,埃拉斯蒂列罗
Ejea de los Caballeros,埃赫亚德洛斯卡瓦列罗斯
Culleredo,库列雷多
Colmenar Viejo,旧科尔梅纳尔
Ciudad Rodrigo,罗德里戈城
Cesuras,塞苏拉斯
Cee,塞埃
Vegadeo,贝加德奥
Torelló,托雷略
Tarazona,塔拉索纳
Sestao,塞斯陶
Sarria,萨里亚
Portugalete,波尔图加莱特
Orkoien,奥尔科延
Olot,奥洛特
Oleiros,奥莱罗斯
Noreña,诺雷尼亚
Navalcarnero,纳瓦尔卡尔内罗
Jaca,哈卡
Illano,伊利亚诺
Hernani,埃尔纳尼
Güeñes,格涅斯
O Grove,奥格罗韦
Graus,格劳斯
Grado,格拉多
Galapagar,加拉帕加尔
Estella-Lizarra,埃斯特利亚
Calatayud,卡拉泰乌德
Calahorra,卡拉奥拉
Cabezón de la Sal,卡韦松德拉萨尔
Boadilla del Monte,博阿迪利亚德尔蒙特
Bimenes,比梅内斯
Belchite,贝尔奇特
Barbastro,巴尔瓦斯特罗
Azuqueca de Henares,阿苏克卡德埃纳雷斯
Azpeitia,阿斯佩蒂亚
Ayerbe,阿耶韦
Arenys de Mar,滨海阿雷尼斯
Zumarraga,苏马拉加
Aranda de Duero,杜罗河畔阿兰达
Amurrio,阿穆里奥
Almazán,艾爾瑪善鎮
Alcañiz,阿尔卡尼伊斯
Albocàsser,阿尔沃卡塞尔
Los Realejos,洛斯雷亚莱霍斯
Barri Gòtic,哥特区
Isla Perejil,雷拉岛
Corvera de Asturias,科尔韦拉德阿斯图里亚斯
Universidad de Salamanca,萨拉曼卡大学
Zorita,索里塔
Zafra,萨夫拉
Yepes,耶佩斯
Villanueva del Rosario,罗萨里奥新镇
Villanueva de la Jara,哈拉新镇
Villacarrillo,比利亚卡里略
Vilches,比尔切斯
Valencia de Alcántara,巴伦西亚德亚尔坎塔拉
Umbrete,温夫雷特
Turre,图雷
Tuéjar,图埃哈尔
Trigueros,特里格罗斯
Torrox,托罗斯
Torrejoncillo,托雷洪西略
Torredonjimeno,托雷东希梅诺
Tíjola,蒂霍拉
Tibi,蒂维
Tembleque,滕夫莱克
Tejeda,特赫达
Teba,特瓦
Tazacorte,塔萨科尔特
Talayuela,塔莱韦拉
Son Servera,松塞尔韦拉
Soneja,索内哈
Socuéllamos,索库埃利亚莫斯
Segura de la Sierra,塞古拉德拉谢拉
Sayalonga,赛阿隆加
Santa Cruz de la Zarza,圣克鲁斯德拉萨尔萨
San Juan de Aznalfarache,圣胡安德亚斯纳尔法拉切
La Guardia de Jaén,拉瓜尔迪亚德海恩
La Guardia,拉瓜尔迪亚
Láchar,拉查尔
Jérica,赫里卡
Isla Cristina,伊斯拉克里斯蒂纳
Iniesta,伊涅斯塔
Huéscar,韦斯卡尔
Hornachos,奥尔纳乔斯
Hondón de los Frailes,翁东德洛斯夫赖莱斯
Higuera la Real,伊格拉拉雷亚尔
Herrera del Duque,埃雷拉德尔杜克
Herrera,埃雷拉
Guadamur,瓜达穆尔
Guadalupe,瓜达卢佩
La Gomera,戈梅拉岛
Garafía,加拉菲亚
Galisteo,加利斯特奥
Fregenal de la Sierra,夫雷赫纳尔德拉谢拉
Finestrat,菲内斯特拉特
Fernán-Núñez,费尔南-努涅斯
Feria,费里亚
Estepa,埃斯特帕
Esparragosa de Lares,埃斯帕拉戈萨德拉雷斯
El Toro,埃尔托罗
El Toboso,埃尔托沃索
Dalías,达利亚斯
Daimiel,代米耶尔
Cullera,库列拉
Cordobilla de Lácara,科尔多维利亚德拉卡拉
Consuegra,孔苏埃格拉
Constantina,孔斯坦蒂纳
Chiva,奇瓦
Chelva,切尔瓦
Cazorla,卡索尔拉
Castuera,卡斯图埃拉
Castro del Río,卡斯特罗德尔里奥
Castalla,卡斯塔利亚
Casasimarro,卡萨西马罗
Casariche,卡萨里切
Casares,卡萨雷斯
Casar de Cáceres,卡萨尔德卡塞雷斯
Cártama,卡尔塔马
Carlet,卡尔莱特
Carboneras,卡尔沃内拉斯
Capdepera,卡普德佩拉
Canillas de Aceituno,卡尼利亚斯德亚塞图诺
Cañete la Real,卡涅特拉雷亚尔
Cañamero,卡尼亚梅罗
Camporrobles,坎波罗夫莱斯
Campo de Criptana,坎波德克里普塔纳
Campanario,坎帕纳里奥
Callosa de Segura,卡略萨德塞古拉
Cabeza del Buey,卡韦萨德尔武埃
Busot,布索特
Búger,布赫尔
Bufali,布法利
Buenavista del Norte,布埃纳维斯塔德尔诺尔特
Brozas,布罗萨斯
Brenes,布雷内斯
Bolbaite,博尔瓦伊特
Bolaños de Calatrava,博拉尼奥斯德卡拉特拉瓦
Bienvenida,比恩韦尼达
Biar,比亚尔
Beniarrés,贝尼亚雷斯
Benferri,本费里
Benagéber,贝纳赫韦尔
Belalcázar,贝拉尔卡萨尔
Beas de Segura,贝亚斯德塞古拉
Beas,贝亚斯
Baños de la Encina,巴尼奥斯德莱恩西纳
Bailén,拜伦
Baena,拜纳
Azuaga,阿苏阿加
Ayora,艾奥拉
Ayna,艾纳
Artà,阿尔塔
Arroyo de la Luz,阿罗约德拉卢斯
Armilla,阿尔米利亚
Arjona,阿尔霍纳
Argés,阿尔赫斯
Archidona,阿尔奇多纳
Aracena,阿拉塞纳
Almería,阿爾梅里亞省
Almendral,阿尔门德拉尔
Almadén,阿尔马登
Alía,阿利亚
Peñón de Alhucemas,胡塞马群岛
Alhaurín el Grande,阿尔奥里内尔格兰德
Alhama de Granada,阿尔阿马德格拉纳达
Alhama de Almería,阿尔阿马德亚尔梅里亚
Algueña,阿尔格尼亚
Algorfa,阿尔戈尔法
Alfarp,阿尔法尔普
Alfafar,阿尔法法尔
Alcaracejos,阿尔卡拉塞霍斯
Alcántara,阿尔坎塔拉
Alcalalí,阿尔卡拉利
Alcalá la Real,阿尔卡拉拉雷亚尔
Alcalá del Valle,巴列堡
Albatera,阿尔瓦特拉
Albalat de la Ribera,阿尔瓦拉特德拉里韦拉
Rojales,罗哈莱斯
Redován,雷多万
Rafal,拉法尔
Purchena,普尔切纳
Puebla de Alcocer,普埃夫拉德亚尔科塞尔
Pozuelo de Calatrava,波苏埃洛德卡拉特拉瓦
Pozoblanco,波索夫兰科
Polán,波兰
Pinos Puente,皮诺斯蓬特
Peñarroya-Pueblonuevo,佩尼亚罗亚-普埃夫洛努埃沃
Peñalsordo,佩尼亚尔索尔多
Pedrera,佩德雷拉
Osuna,奥苏纳
Orgaz,奥尔加斯
Orellana la Vieja,奥雷利亚纳拉维耶哈
Onil,奥尼尔
Olvera,奥尔维拉
Olivares,奥利瓦雷斯
Oliva de Mérida,奥利瓦德梅里达
Oliva de la Frontera,奥利瓦德拉夫龙特拉
Niebla,涅夫拉
Navalvillar de Pela,纳瓦尔维利亚尔德佩拉
Navalmoral de la Mata,纳瓦尔莫拉尔德拉马塔
Montefrío,蒙特夫里奥
Monda,蒙达
Mira,米拉
Minglanilla,明拉尼利亚
Miajadas,米亚哈达斯
Martos,马尔托斯
Marmolejo,马尔莫莱霍
Malagón,马拉贡
Madridejos,马德里德霍斯
Macael,马凯尔
Lora del Río,洛拉德尔里奥
Logrosán,洛格罗桑
Llerena,列雷纳
La Victoria,拉维克托里亚
Agres,阿格雷斯
Agost,阿戈斯特
Abanilla,阿瓦尼利亚
Santoña,桑托尼亚
Santo Domingo de la Calzada,圣多明各-德拉卡尔萨达
Santa María la Real de Nieva,圣马里亚拉雷亚尔德涅瓦
Santa María del Páramo,圣马里亚德尔帕拉莫
Santa María de Cayón,圣马里亚德凯翁
Santa Cruz de Bezana,圣克鲁斯德韦萨纳
San Martín de Valdeiglesias,圣马丁-德巴尔代格莱西亚斯
San Leonardo de Yagüe,圣莱奥纳尔多德阿格
San Ildefonso,圣伊尔德丰索
San Esteban de Gormaz,圣埃斯特万德戈尔马斯
San Asensio,圣阿森西奥
Sallent de Gállego,萨连特德加列戈
Roda de Barà,罗达德瓦拉
Robledo de Chavela,罗夫莱多德查韦拉
Roa,罗阿
Rincón de Soto,林孔德索托
Riaza,里亚萨
Reinosa,雷诺萨
Rascafría,拉斯卡夫里亚
Puente Viesgo,蓬特维耶斯戈
Puebla de Sanabria,普埃夫拉德萨纳夫里亚
Proaza,普罗阿萨
Montjuïc,蒙特惠奇山
Montejo de Tiermes,蒙特霍德铁尔梅斯
Montehermoso,蒙特埃尔莫索
Monforte de Lemos,蒙福尔特德莱莫斯
Mombeltrán,蒙韦尔特兰
Molina de Aragón,莫利纳德亚拉贡
Milagro,米拉格罗
Méntrida,门特里达
Medina del Campo,梅迪纳德尔坎波
Mayorga,迈奥尔加
Matallana de Torío,马塔利亚纳德托里奥
Markina-Xemein,马尔基纳-克塞门
Marañón,马拉尼翁
Madrigal de las Altas Torres,马德里加尔德拉萨尔塔斯托雷斯
Macotera,马科特拉
Lumbrales,伦夫拉莱斯
Lousame,洛萨梅
Losar de la Vera,洛萨尔德拉韦拉
Las Navas del Marqués,拉斯纳瓦斯德尔马尔克斯
Las Aldehuelas,拉萨尔德韦拉斯
La Robla,拉罗夫拉
Lardero,拉尔德罗
La Pola de Gordón,拉波拉德戈尔东
La Peña,拉佩尼亚
La Muela,拉穆埃拉
La Horcajada,拉奥尔卡哈达
Laguardia,拉瓜尔迪亚
Épila,埃皮拉
El Tiemblo,埃尔蒂恩夫洛
Eljas,埃尔哈斯
El Espinar,埃莱斯皮纳尔
Zalla,萨利亚
El Arenal,埃拉雷纳尔
Duruelo de la Sierra,杜鲁埃洛德拉谢拉
Dueñas,杜埃尼亚斯
Dosrius,多斯留斯
Deba,德瓦
Cunit,库尼特
Covaleda,科瓦莱达
Corella,科雷利亚
Colindres,科林德雷斯
Coca,科卡
Cistierna,西斯铁尔纳
Cilleros,西列罗斯
Cifuentes,西丰特斯
Chinchón,钦琼
Cervera de Pisuerga,塞尔韦拉德皮苏埃尔加
Cervera del Río Alhama,阿尔阿马河畔塞尔韦拉德尔
Cedeira,塞德拉
Província de Castelló,卡斯特利翁
Castellbisbal,比斯瓦尔堡
Caspe,卡斯佩
Casalarreina,卡萨拉雷纳
Cartes,卡尔特斯
Carrión de los Condes,卡里翁德洛斯孔德斯
Velilla del Río Carrión,贝利利亚德尔里奥卡里翁
Vega de Espinareda,贝加德埃斯皮纳雷达
Valencia de Don Juan,巴伦西亚德东胡安
Valdefresno,巴尔德夫雷斯诺
Trillo,特里略
Trespaderne,特雷斯帕德尔内
Torrelaguna,托雷拉古纳
Toreno,托雷诺
Tordesillas,托尔德西利亚斯
Tineo,蒂内奥
Tibidabo,蒂比達博山
Tauste,陶斯特
Tarancón,塔兰孔
Tafalla,塔法利亚
Sotillo de la Adrada,索蒂略德拉德拉达
Sort,索尔特
Solosancho,索洛桑乔
Sigüenza,西贡萨
San Vicente de la Sonsierra,圣比森特德拉松谢拉
Pradejón,普拉德洪
Potes,波特斯
Pinofranqueado,皮诺夫兰克阿多
Piedralaves,彼德拉拉韦斯
Peralta,佩拉尔塔
Peñaranda de Bracamonte,佩尼亚兰达德夫拉卡蒙特
Pedro Bernardo,佩德罗韦尔纳尔多
Outes,欧特斯
Ourol,欧罗尔
Ortuella,奥尔图埃利亚
Provincia de Ourense,奥伦塞省
Onzonilla,翁索尼利亚
Oña,奥尼亚
Olite,奥利特
Nuñomoral,努尼奥莫拉尔
Nuevo Baztán,新巴斯坦
Nigrán,尼格兰
Nájera,纳赫拉
Murillo el Cuende,穆里略埃尔昆德
Murillo de Río Leza,莱萨河畔穆里略
Mugardos,穆加尔多斯
Muel,穆埃尔
La Colilla,拉科利利亚
La Bañeza,拉瓦涅萨
La Adrada,拉德拉达
Isaba,伊萨瓦
Illescas,伊列斯卡斯
Huete,韦特
Hervás,埃尔瓦斯
Herrera de Pisuerga,埃雷拉德皮苏埃尔加
Gipuzkoa,吉普斯夸省
Guijuelo,吉胡埃洛
Getaria,赫塔里亚
Garrafe de Torío,加拉费德托里奥
Garai,加赖
Galar,加拉尔
Fuenmayor,丰迈奥尔
Ezcaray,埃斯卡赖
Picos de Europa,歐羅巴山
Espinosa de los Monteros,埃斯皮诺萨德洛斯蒙特罗斯
Ermua,埃尔穆阿
Erandio,埃兰迪奥
Cantalejo,坎塔莱霍
Canfranc,坎夫兰克
Candeleda,坎德莱达
Campaspero,坎帕斯佩罗
Caminomorisco,卡米诺莫里斯科
Camariñas,卡马里尼亚斯
Camaleño,卡马莱尼奥
Calamocha,卡拉莫查
Cabezón de Liébana,卡韦松德列瓦纳
Cabanillas del Campo,卡瓦尼利亚斯德尔坎波
Bustarviejo,布斯塔尔维耶霍
Burgohondo,布尔戈翁多
Buitrago del Lozoya,布伊特拉戈德略索亚
Briviesca,布里维耶斯卡
Borobia,博罗维亚
Boltaña,博尔塔尼亚
Biota,比奥塔
Biescas,毕斯卡斯
Bermeo,贝尔梅奥
Berlanga de Duero,贝尔兰加德杜埃罗
Benasque,贝纳斯克
Bembibre,本维夫雷
Belorado,贝洛拉多
Béjar,贝哈尔
Becerril de Campos,贝塞里尔德坎波斯
Basconcillos del Tozo,巴斯孔西略斯德尔托索
Barruelo de Santullán,巴鲁埃洛德桑图良
Bárcena de Cicero,巴尔塞纳德西塞罗
Arrigorriaga,阿里戈里亚加
Arnedo,阿尔内多
Arguedas,阿尔格达斯
Argoños,阿尔戈尼奥斯
Arévalo,阿雷瓦洛
Arenas de San Pedro,阿雷纳斯德圣佩德罗
Arenas de Iguña,阿雷纳斯德古尼亚
Arcos de Jalón,阿尔科斯德哈隆
Arce,阿尔塞
Zuera,苏埃拉
Bizkaia,比斯開省
Villarino de los Aires,比利亚里诺德洛赛雷斯
Villaquilambre,比利亚基兰夫雷
Villanueva de Oscos,奥斯科斯新镇
Villanueva de la Vera,贝拉新镇
Villanúa,比利亚努阿
Villamediana de Iregua,比利亚梅迪亚纳德雷瓜
Villalpando,比利亚尔潘多
Villadiego,比利亚迭戈
Villacarriedo,比利亚卡列多
Villablino,比利亚夫利诺
Arancón,阿兰孔
Ampuero,安普埃罗
Amieva,阿米耶瓦
Altsasu,阿尔特萨苏
Aldeadávila de la Ribera,阿尔德亚达维拉德拉里韦拉
Alcañices,阿尔卡尼伊塞斯
Alberite,阿尔韦里特
Albelda de Iregua,阿尔韦尔达德雷瓜
Albarracín,阿尔瓦拉辛
Alagón,阿拉贡
Ajamil,阿哈米尔德卡梅罗斯
Ágreda,阿格雷达
Adiós,阿迪奥斯
Ademuz,阿德穆斯
Abejar,阿韋哈爾
Pego,佩戈
Basauri,巴绍里
Pasaia,帕赛阿
Camp Nou,魯營球場
Estadio Santiago Bernabéu,圣地亚哥·伯纳乌球场
Sierra Nevada,內華達山脈
Casa de Campo,田园之家
Museo del Prado,普拉多博物馆
Guggenheim Museum Bilbao,毕尔巴鄂古根海姆美术馆
Olivenza,奥利文萨
Auditorio de Tenerife,特内里费礼堂
Catedral de Barcelona,巴塞罗那主教座堂
Museo Arqueológico Nacional,西班牙國立考古博物館
Archivo General de Indias,西印度群岛综合档案馆
Alhambra,阿兰布拉宫
Navarredonda de Gredos,纳瓦雷东达德格雷多斯
Viver,比韦尔
Villaralto,比利亚拉尔托
Villamalur,比利亚马卢尔
Uclés,乌克莱斯
Torralba del Pinar,托拉尔瓦德尔皮纳尔
Talaván,塔拉万
La Rambla,拉兰夫拉
Jarafuel,哈拉富埃尔
Huétor-Tájar,韦托尔-塔哈尔
Huécija,韦西哈
Hinojosa del Duque,伊诺霍萨德尔杜克
Guadalcanal,瓜达尔卡纳尔
Geldo,赫尔多
Dos Aguas,多萨瓜斯
Dehesas de Guadix,德埃萨斯德瓜迪斯
Confrides,孔夫里德斯
Cofrentes,科夫伦特斯
Catral,卡特拉尔
Castril,卡斯特里尔
Castilblanco,卡斯蒂尔夫兰科
Capilla,卡皮利亚
Bujalance,布哈兰塞
Berzocana,贝尔索卡纳
Benimeli,贝尼梅利
Benilloba,贝尼略瓦
Puebla de Almenara,普埃夫拉德亚尔梅纳拉
Pozorrubio,波索鲁维奥
Planes,普拉内斯
Navajas,纳瓦哈斯
Monturque,蒙图尔克
Montánchez,蒙坦切斯
Montalbán de Córdoba,蒙塔尔万德科尔多瓦
Mirabel,米拉韦尔
Marinaleda,马里纳莱达
Malpartida de Plasencia,马尔帕尔蒂达德普拉森西亚
Malpartida de Cáceres,马尔帕尔蒂达德卡塞雷斯
Santiurde de Toranzo,桑蒂乌尔德德托兰索
Santibáñez de la Peña,桑蒂瓦涅斯德拉佩尼亚
Santibáñez de Béjar,桑蒂瓦涅斯德韦哈尔
San Román de Cameros,圣罗曼德卡梅罗斯
San Millán de la Cogolla,圣米良德拉科戈利亚
San Justo de la Vega,圣胡斯托德拉韦加
Saldaña,萨尔达尼亚
Salas de los Infantes,萨拉斯德洛辛凡特斯
Robres del Castillo,罗夫雷斯德尔卡斯蒂略
Riello,列略
Retortillo de Soria,雷托尔蒂略德索里亚
Recuerda,雷库埃尔达
Puebla de San Miguel,普埃夫拉德圣米格尔
Monteagudo de las Vicarías,蒙特亚古多德拉斯维卡里亚斯
Monreal,蒙雷亚尔
Mondoñedo,蒙多涅多
Mieza,米耶萨
Melide,梅利德
Melgar de Fernamental,梅尔加尔德费尔纳门塔尔
Medina de Pomar,梅迪纳德波马尔
Medinaceli,梅迪纳塞利
Matamala de Almazán,马塔马拉德亚尔马桑
Masueco,马苏埃科
Maranchón,马兰琼
Manzanares el Real,曼萨纳雷塞尔雷亚尔
Los Villares de Soria,洛斯维利亚雷斯德索里亚
Lomas,洛马斯
Langa de Duero,兰加德杜埃罗
Laguna de Negrillos,拉古纳德内格里略斯
Enciso,恩西索
El Cabaco,埃尔卡瓦科
Degaña,德加尼亚
Culla,库利亚
Cuéllar,库埃利亚尔
Coscurita,科斯库里塔
Cornago,科尔纳戈
Clavijo,克拉维霍
Cepeda,塞佩达
Cea,塞亚
Castropol,卡斯特罗波尔
Castrillo del Val,卡斯特里略德尔瓦尔
Castilfrío de la Sierra,卡斯蒂尔夫里奥德拉谢拉
Castellote,卡斯特略特
Ventosa,本托萨
Venta de Baños,本塔德瓦尼奥斯
Velamazán,贝拉马桑
Vega de Valcarce,贝加德瓦尔卡尔塞
Valverde de la Virgen,巴尔韦尔德德拉维尔亨
Vallfogona de Riucorb,巴利福戈纳德留科尔布
Valgañón,巴尔加尼翁
Valdevimbre,巴尔德温夫雷
Valderas,巴尔德拉斯
Valdepeñas de la Sierra,巴尔德佩尼亚斯德拉谢拉
Valdecasa,巴尔德卡萨
Uncastillo,温卡斯蒂略
Ujué,乌胡埃
Torrecilla en Cameros,托雷西利艾恩卡梅罗斯
Tirgo,蒂尔戈
Talveila,塔尔韦拉
Talamanca de Jarama,哈拉马河畔塔拉曼卡
Susqueda,苏斯克达
Sariegos,萨列戈斯
Sargentes de la Lora,萨尔亨特斯德拉洛拉
Pozuelo de Zarzón,波苏埃洛德萨尔松
Poza de la Sal,波萨德拉萨尔
Pina de Montalgrao,皮纳德蒙塔尔格劳
Pedroso,佩德罗索
Padiernos,帕迭尔诺斯
Olocau del Rey,奥洛考德尔雷
Ojacastro,奥哈卡斯特罗
Nolay,诺莱
Navalmoral,纳瓦尔莫拉尔
