Douglas Adams,道格拉斯·亞當斯
Richard Meinertzhagen,理查德·梅纳茨哈根
Lesley Garrett,萊斯利·加勒特
Marlon Roudette,马龙·罗戴特
D. H. Lawrence,大卫·赫伯特·劳伦斯
Eric Burdon,埃里克·伯爾登
Christine Ohuruogu,奧古魯·格克莉絲汀
Jessica Ennis-Hill,謝茜嘉·恩尼斯
Daniel Tammet,丹尼尔·谭米特
Humphrey Tonkin,汉弗莱·托金
W. D. Hamilton,威廉·唐納·漢彌爾頓
George Orwell,乔治·奥威尔
Richard Laurence Millington Synge,理查德·劳伦斯·米林顿·辛格
Roger Taylor,罗杰·泰勒
Elton John,艾爾頓·約翰
Amy Macdonald,艾米·麦克唐纳
Clive Sinclair,克里夫·馬爾斯·辛克萊
Digby Jones,迪格比·瓊斯
Patrick Jenkin,羅丁詹金男爵派翠克·詹金
Stephen Merchant,斯蒂芬·默切特
Rowan Atkinson,罗温·阿特金森
George Harrison,乔治·哈里森
Brian May,布赖恩·梅
Daniel Craig,丹尼尔·克雷格
Bernard Katz,伯纳德·卡茨
Kit Fine,基特·法恩
Slash,史萊許
Helene Hayman,海曼女男爵海倫·海曼
George Entwistle,喬治·恩特威斯爾
Freddie Mercury,弗雷迪·默丘里
David Bowie,大卫·鲍伊
John Barrowman,约翰·巴洛曼
Keith Padgett,基思·帕吉特
Paul Gascoigne,保罗·加斯科因
Frances Fisher,法蘭斯．菲雪
Sean Connery,肖恩·康纳利
Eddie Marsan,艾迪·馬辛
Brian Cox,布赖恩·考克斯
Arthur Conan Doyle,阿瑟·柯南·道尔
Andrew Garfield,安德魯·加菲爾德
Agatha Christie,阿加莎·克里斯蒂
John Cale,约翰·凯尔
Amy Winehouse,艾米·怀恩豪斯
Colin Crouch,科林·克劳奇
Acker Bilk,阿克·比克
Paul Scholes,保羅·史高斯
Michael Cates,迈克尔·凯茨
John McAfee,約翰·邁克菲
Uri Geller,尤里·蓋勒
Fit Finlay,芬利
Ebenezer Howard,埃比尼泽·霍华德
Karl Pilkington,卡爾·皮金頓
Mervyn Peake,馬溫·皮克
Dorothy M. Needham,李大斐
Aaron Taylor-Johnson,阿隆·強森
Ernest Lewis,欧内斯特·刘易斯
Christian Bale,克里斯蒂安·贝尔
Chris Hull,克里斯·赫爾
Archer John Porter Martin,阿彻·约翰·波特·马丁
Alvin Lee,阿尔文·李
Denis Thatcher,丹尼斯·撒切尔
David Broome,大衛·布魯姆
Shaun Maloney,肖恩·馬洛尼
Elizabeth Taylor,伊丽莎白·泰勒
Margaret Wycherly,瑪格麗特·威徹利
John Cleese,约翰·克里斯
Myleene Klass,麦莉妮·克拉斯
Labrinth,迷走小子
Graham Chapman,格雷厄姆·查普曼
Gordon Ramsay,戈登·詹姆斯·拉姆齊
J. J. Thomson,约瑟夫·汤姆孙
Christopher Hitchens,克里斯托弗·希欽斯
Hugh Laurie,休·劳瑞
Elsie Widdowson,埃尔希·威多森
Alfred Hitchcock,阿尔弗雷德·希区柯克
Cyril Norman Hinshelwood,西里尔·欣谢尔伍德
Jack Wilshere,杰克·威尔希尔
Robert Pattinson,羅伯·派汀森
Cozy Powell,科茲·鮑威爾
"William, Prince of Wales",劍橋公爵威廉王子
Steven Weisberg,史蒂文·韋斯伯格
Peter Brook,彼得·布魯克
Alex Ferguson,亚历克斯·查普曼·弗格森
Rowan Williams,羅雲·威廉斯
Rosalind Franklin,羅莎琳·富蘭克林
John Chadwick,约翰·查特威克
Richard Attenborough,李察·艾登堡祿
Richard Holmes,理查德·霍姆斯 (传记作家)
Terry Pratchett,泰瑞·普萊契
"Harold Alexander, 1st Earl Alexander of Tunis",哈羅德·亞歷山大，第一代突尼斯的亞歷山大伯爵
Adam Morgan,阿當·摩根
Rebecca Adlington,丽贝卡·阿德林顿
Robert Robinson,羅伯特·魯賓遜
Ian Heilbron,伊恩·海尔布伦
Tinie Tempah,泰尼·坦普
Margaret Thatcher,玛格丽特·撒切尔
Calum Chambers,卡林·張伯斯
Lewis Clive,刘易斯·克莱夫
Claire Tomalin,克萊兒·湯瑪琳
Oliver James,奧利佛·詹姆士
Emma Watson,艾瑪·華森
Hannah Harper,漢娜·哈柏
Jack Hawkins,傑克·霍金斯
Glen Matlock,格倫·馬特洛克
Desmond Hume,德斯蒙德·休謨
Daniel Faraday,丹尼爾·法拉第
Alexander Fleming,亚历山大·弗莱明
Alan Turing,艾倫·圖靈
"Mary Russell, Duchess of Bedford",貝德福德公爵夫人瑪麗·羅素
Terry Gilliam,特里·吉列姆
Steven Runciman,史蒂芬·朗西曼
Daniel Radcliffe,丹尼尔·拉德克利夫
Matthew Pinsent,馬修·平森特
Steven Caulker,史蒂文·卡尔科勒
Hugh Dalton,休·多尔顿
Lucy Griffiths,露西·格里菲思
Sara Gomer,萨拉·戈默
Marcus Mumford,馬庫斯·蒙福
Ernest Cox,欧内斯特·考克斯
Clive Dunn,克莱夫·邓恩
Tim Curry,蒂姆·克里
Graeme Sharp,格雷姆·夏普
Roald Dahl,羅爾德·達爾
Ed Sheeran,紅髮艾德
Graham Taylor,格拉咸·泰萊
Toby Stephens,托比·斯蒂芬斯
Salman Khan,萨尔曼·汗
Regina Ip,葉劉淑儀
Charles Hesterman Merz,查爾斯·梅爾茨
Christopher Nolan,克里斯托弗·诺兰
"Hastings Russell, 12th Duke of Bedford",第十二代貝德福德公爵黑斯廷斯·羅素
Nicola Pellow,妮可拉·派羅
Sarah Thomas,萨拉·托马斯
Kathleen Lonsdale,凱瑟琳·朗斯代爾
Jonny Lee Miller,約翰·李·米勒
Winston Churchill,温斯顿·丘吉尔
Crista Cullen,克丽丝塔·卡伦
Jonathan Ross,乔纳森·罗斯
Ludwig Wittgenstein,路德维希·维特根斯坦
Arthur C. Clarke,亞瑟·查理斯·克拉克
David Mattingly,戴维·J·马丁利
Paul Johnson,约翰逊.保罗
Dorothea Douglass,多蘿西婭·錢伯斯
Sid Vicious,席德·维瑟斯
Charlie Pace,查理·佩斯
Charlotte Lewis,夏洛特·路易斯
Gary Lineker,加里·莱因克尔
T. S. Eliot,T·S·艾略特
C. S. Lewis,克利夫·史戴普·路易斯
Claire Forlani,克萊兒·馥蘭妮
Melanie Brown,媚兒碧
Gaël Bigirimana,加尔·比吉里马纳
Justin Welby,贾斯汀·韦尔比
Nick Davis,尼克·戴維斯 (視覺效果監製)
Tony Richardson,湯尼·理查森
James Prescott Joule,詹姆斯·普雷斯科特·焦耳
Steve Redgrave,史蒂芬·雷德格雷夫
Willoughby Hamilton,威洛比·漢密爾頓 (1864年生)
John Madden,約翰·麥登
Nicolas Roeg,尼古拉斯·罗伊格
Mo Hayder,莫·海德
Daniel Fathers,丹尼尔·法瑟斯
Sienna Guillory,西耶娜·盖尔利
Robert Bolt,羅伯特·博爾特
Chris Wood,克里斯·伍德
Rupert Wyatt,鲁伯特·瓦耶特
Chris Corbould,克里斯·寇爾博得
Ben Goodger,本·古德傑
Alan Cox,艾倫·考克斯
Alexander Korda,亚历山大·科达
Richard Attwood,理查德·阿特伍德
Lance Macklin,兰斯·麦克林
Tony Rolt,托尼·罗尔特
"Andrew Cunningham, 1st Viscount Cunningham of Hyndhope",安德魯·康寧漢，第一代海德霍普的康寧漢子爵
Catherine Zeta-Jones,凯瑟琳·泽塔-琼斯
Tim Burke,提姆·伯克
Dorothy Hodgkin,多萝西·克劳福特·霍奇金
Pete Townshend,皮特·汤申德
Barbara Cartland,巴巴拉·卡特兰
Doris Woods,多丽丝·伍兹
John Nettles,约翰·纳特尔斯
Dennis Poore,丹尼斯·普尔
Georgie Twigg,乔吉·特威格
Kate Richardson-Walsh,凯特·理查森-沃尔什
Sally Walton,萨莉·沃尔顿
Beth Storry,贝丝·斯托里
Paul Dirac,保羅·狄拉克
Katrina Kaiftulutulu,卡特丽娜·卡芙
Joe Fry,乔·弗莱
Gerald du Maurier,傑拉爾德·杜穆里埃
David Livingstone,戴维·利文斯通
Leslie Johnson,莱斯利·约翰逊
Lisa Stansfield,麗莎·斯坦斯菲爾德
Dawn French,唐·法蘭奇
John Major,约翰·梅杰
Geoffrey Crossley,杰弗里·克罗斯利
Alan Brown,艾倫·布朗
Jamie Carragher,占美·加歷查
Petula Clark,佩图拉·克拉克
Siobhán Donaghy,西巴·多納菲
Marianne Faithfull,瑪麗安妮·費斯弗爾
Dorothy Round,桃樂絲·朗德
John Maynard Keynes,约翰·梅纳德·凯恩斯
Bob Gerard,鲍勃·杰拉德
Henry McMahon,亨利·麥馬漢
Bat Ye'or,貝特·葉奧
Stephen Frears,斯蒂芬·弗里尔斯
Graham Whitehead,格雷厄姆·怀特黑德
David Lean,大衛·連
Kelly Reilly,凱莉蕾莉
Charles Laughton,查尔斯·劳顿
Agnes Baden-Powell,安尼斯·貝登堡
Ken Loach,肯·洛區
James Callaghan,詹姆斯·卡拉漢
Emeric Pressburger,艾默利·普萊斯柏格
Michael Powell,麥可·鮑爾
Peter Greenaway,彼得·格林纳威
Lewis Hamilton,劉易斯·咸美頓
Eric Brandon,埃里克·布蘭登
Laurence Olivier,劳伦斯·奥利维尔
Tiff Needell,蒂夫·尼德尔
"Diana, Princess of Wales",威爾斯王妃戴安娜
John Boorman,約翰·鮑曼
Ken Russell,肯·罗素
Elisabeth Schwarzkopf,伊丽莎白·施瓦茨科普夫
Klaus Fuchs,克勞斯·富赫斯
Tony Blair,托尼·布莱尔
Kerry Katona,凯莉·柯塔娜
Robin Widdows,罗宾·维多斯
Sebastian Haffner,賽巴斯提安·哈夫納
Marie of Romania,玛丽 (爱丁堡)
Elizabeth II,伊丽莎白二世
Hugh Seymour Davies,休·戴维斯
John Schlesinger,约翰·施莱辛格
Conor Maynard,康納·梅納德
Carol V. Robinson,卡罗尔·罗宾逊
Kelly Smith,姬莉·史密芙
Peter Ustinov,彼得·乌斯蒂诺夫
Parminder Nagra,柏米達·娜加
Keeley Hazell,姬莉·哈泽尔
Amy Williams,埃米·威廉斯
Shelley Rudman,谢莉·拉德曼
Władysław Raczkiewicz,瓦迪斯瓦夫·拉奇凯维奇
Hugh Sykes Davies,休·赛克斯·戴维斯
Sophie Turner,蘇菲·特納
Eric Clapton,埃里克·克莱普顿
Ethel Smyth,埃塞尔·史密斯
Sandy Denny,桑迪·丹尼
Edith Hannam,伊迪絲·漢南姆
Helen Aitchison,海倫·艾奇森
Alice Greene,愛麗絲·格林
Robbie Williams,罗比·威廉斯
Ian Raby,伊恩·雷比
Annie Broadbent,安妮·布罗德本特
David Piper,大卫·派珀
Stephen Booth,史蒂芬·布思
Ridley Scott,雷利·史考特
Zaha Hadid,薩哈·哈帝
Harry Johnston,哈里·约翰斯顿
Liam Neeson,連恩·尼遜
Maggie Smith,瑪姬·史密芙
Bill Aston,比尔·阿斯顿
Jack Fairman,杰克·费尔曼
Caroline Lucas,卡洛琳·盧卡斯
Aleister Crowley,阿萊斯特·克勞利
Ron Flockhart,罗恩·塔弗洛克哈特
Natalie Dormer,娜塔莉·多莫
Andy Murray,安迪·穆雷
Laura Robson,勞拉·羅布森
Rebecca West,丽贝卡·韦斯特
"Katharine, Duchess of Kent",嘉芙蓮
Hans Krebs,汉斯·阿道夫·克雷布斯
Steve Coast,史蒂夫·克斯特
Ida Haendel,艾达·亨德尔
Eric Thompson,埃里克·湯普森 (賽車手)
Philip Fotheringham-Parker,菲利普·福瑟林哈姆-帕克
Paloma Faith,帕洛玛·菲丝
Hans Eysenck,汉斯·艾森克
Kathleen Ferrier,凱瑟琳·費里爾
Emily Bergl,艾米莉·博格尔
Nigel Mansell,奈杰尔·曼塞尔
Ronald McLean,罗纳德·麦克莱恩
May Whitty,戴姆·梅·惠蒂
Philippa Gregory,菲利帕·格雷戈里
Laura Marling,蘿拉·曼寧
Diana Wynne Jones,黛安娜·韋恩·瓊斯
Floella Benjamin,費羅拉·本傑明 (本傑明男爵夫人)
William Hague,夏偉林
Mary Bell,玛丽·贝尔
"Sarah, Duchess of York",莎拉·佛格森
Edith Evans,伊蒂絲·埃文斯
Bessie Love,贝茜·洛芙
Radosław Sikorski,拉多斯瓦夫·西科尔斯基
"Birgitte, Duchess of Gloucester",告羅士打公爵夫人比哲特
Rachel Stevens,瑞秋·史蒂芬斯
Angela Mortimer,安琪拉·莫蒂默
John James,约翰·詹姆斯
Kenneth Branagh,肯尼思·布拉纳
Eliza Bennett,伊麗莎·班奈特
Janet Baker,珍妮特·貝克
Andros Townsend,安祖斯·唐辛
Adam Smith,亞當·史密斯
Dan Cruickshank,丹·克魯克山克
Ann Clwyd,安·克盧伊德
Kenny Morgans,堅尼·摩根斯
Max Born,马克斯·玻恩
Heather Nova,希瑟·諾娃
Florence Green,佛蘿倫絲·格林
David Prophet,大衛·普拉菲特
Tracey Emin,翠西·艾敏
Princess Augusta Sophia of the United Kingdom,奧古斯塔·蘇菲婭
Jacqueline Wilson,傑奎琳·威爾遜
Ellen Terry,埃伦·特里
Teddy Sinclair,娜塔莉兒·柯斯
Jane Horrocks,简·霍洛克斯
Damon Hill,戴蒙·希爾
Sally Gunnell,萨莉·冈纳尔
Colin Chapman,科林·查普曼
Peter Whitehead,彼得·怀特黑德
Jenson Button,简森·巴顿
David Coulthard,大衛·庫塔
Tom Pryce,汤姆·普赖斯
Marie Rambert,玛丽· 兰伯特
Lily Loveless,莉莉·拉芙莱斯
Alexa Chung,阿歷薩·鍾
Les Leston,萊斯·萊斯頓
"Catherine, Princess of Wales",凱薩琳
Imogen Poots,伊莫珍·盖伊·波茨
Christiane Amanpour,克里斯汀·阿曼普
Ingrid Pitt,英格利·皮特
Philippa of Lancaster,菲利帕
Darren Fletcher,达伦·弗莱彻
Adam Lallana,阿當·拉爾拉拿
David Beckham,大卫·贝克汉姆
Bernie Ecclestone,伯尼·埃克莱斯顿
Anita Roddick,安妮塔·羅迪克
Eric Broadley,埃里克·布萊德
Martin Brundle,馬丁·布倫德
Bianca Jagger,碧安卡·傑格
Allan McNish,艾倫·麥克尼什
Winifred Wagner,维尼弗里德·瓦格纳
Ernst Chain,恩斯特·伯利斯·柴恩
Dennis Nilsen,丹尼斯·尼爾森
Lynn Fontanne,林恩·方坦
Lily Allen,莉莉·艾倫
Tom Conti,湯姆·康提
Ann Packer,安·帕克
Margaret Murray,瑪格麗特·穆瑞
Richard Rogers,理查德·罗杰斯
Stirling Moss,斯特林·克劳福德·莫斯
Roma Ryan,罗玛·莱恩
Kyle Walker,基爾·獲加
Lionel Giles,翟林奈
Amelle Berrabah,阿梅麗·貝拉芭
"Archduchess Clotilde, Archduchess Joseph Karl of Austria",瑪麗·阿德海德·阿瑪莉· 克洛蒂爾德
Ken Tyrrell,肯·泰瑞尔
Bob Anderson,鮑伯·安德森
E. L. James,埃里卡·倫納德
Stephen Warnock,史提芬·禾洛克
Ray Martin,雷·马丁
Ryan Giggs,瑞恩·吉格斯
Hannah Spearritt,汉娜·斯皮尔里特
Anna Friel,安妮·菲爾
Linda Martin,琳达·马丁
Max Mosley,馬克斯·莫斯利
Syd Barrett,西德·巴雷特
Ron Dennis,罗恩·丹尼斯
John Flamsteed,約翰·佛蘭斯蒂德
Tessa Sanderson,特莎·桑德森
Gordon Murray,戈登·莫瑞
Jacqui Smith,雅基·史密斯
Edith Pargeter,彼得·本尼迪克特
Beryl Bainbridge,貝里爾·博布瑞奇
Emma Kirkby,艾瑪·柯克比
Dora Carrington,朵拉·卡靈頓
Jade Ewen,贾德·艾文
Sarah Waters,萨拉·沃特斯
Sophie Muller,索菲·馬勒
Katarina Waters,卡塔琳娜·沃特斯
Michael Dawson,迈克尔·道森
Jordan Bowery,喬丹·鮑里
Cecilia Colledge,塞西莉亚·科莱奇
Johnny Herbert,強尼·赫伯特
Conrad Veidt,康拉德.維德
Jackie Blanchflower,積奇·布蘭弗羅
Jem,珍
Amanda Holden,阿曼达·霍尔顿
Helen Sharman,海倫·沙曼
Kate Nash,凱特·納什
"Marie-Chantal, Crown Princess of Greece",瑪麗-珊圖·米勒
Jean Desforges,琼·皮克林
David Richards,大衛·李察斯 (賽車手)
David Hobbs,霍斯卡·哈柏斯
Keeley Hawes,琦莉·霍斯
Ross Brawn,罗斯·布朗
Mike Hailwood,麥克‧海伍德
Elizabeth Goudge,依麗莎白·顧姬
Mike Gascoyne,迈克·加斯科因
Julian Bailey,朱利安·貝利
Innes Ireland,遙照山酒店
Ken Adam,肯·亚当
George Henschel,乔治·亨舍尔
Frank Williams,佛蘭克·威廉士
Martin Whitmarsh,马丁·惠特马什
Adrian Newey,亚德里安·纽维
Nick Wirth,尼克·維爾特
Paul Bettany,保羅·彼特尼
Alison Moyet,艾莉森·莫耶
Marcus Ellis,马库斯·埃利斯
Rebecca Romero,丽贝卡·罗梅罗
Jonny Greenwood,莊尼·格連活
Kenny Sansom,肯尼·桑瑟姆
Hayley Mills,海莉·米尔斯
Julian Huxley,朱利安·赫胥黎
Madeleine Carroll,玛德琳·卡罗尔
Michael Collins,迈克尔·柯林斯
Ben Kingsley,本·金斯利
Maurice Wilkes,莫里斯·威尔克斯
James H. Wilkinson,詹姆斯·哈迪·威尔金森
Cilla Black,希拉·布莱克
Adrian Paul,阿德里安·保羅
Peter Mansfield,彼得·曼斯菲尔德
Archie Panjabi,雅琪·潘嘉比
Christian Horner,克里斯蒂安·霍納
Bob Bell,鲍勃·贝尔
Herbie Blash,赫比·布拉許
Bill Brandt,比爾·布蘭特
Charlie Whiting,查理·懷汀
Li Ke,尼科·延纳里斯
Angus Wilson,安格斯·威尔逊
Shane Summers,沙恩·萨默斯
Neil Oatley,尼爾·奧特利
John Cooper,約翰·庫珀 (汽車製造商)
Ashley Jensen,阿什莉·詹森
Polly Walker,寶莉·獲加
Ronald Stretton,罗纳德·斯特雷顿
Lilian Harvey,丽琳·哈莱
Karl Jordan,卡爾·喬丹
"Archibald Primrose, 5th Earl of Rosebery",阿奇博爾德·普里姆羅斯，第五代羅斯伯里伯爵
Trevor Taylor,特雷弗•泰勒
Olivia Manning,奥利维娅·曼宁
Dana Wynter,丹娜·维纳
Jonathan Sumption,喬納森·薩姆欣
Erika Mann,艾莉卡·曼
Ashley Westwood,艾殊利·韋斯活
Andre Wisdom,韋斯杜姆
Lindsay Duncan,琳賽·鄧肯
Pauline Collins,保利娜·科林斯
Dev Patel,戴夫·帕特尔
A. J. Ayer,阿爾弗雷德·朱爾斯·艾耶爾
Vince Cable,温斯·凯博
Q,Q先生
Marc Bolan,馬克·波倫
Jane Wymark,簡·懷馬克
Simon Blackburn,西蒙·布莱克本
Landon Ronald,兰登·罗纳德
Benjamin Frankel,班傑明·法蘭科
John Cockcroft,约翰·考克饶夫
Ross Turnbull,罗斯·特恩布尔
Katie Price,凯蒂·普莱斯
Charles Lightoller,查理·萊托勒
Hamilton Harty,汉密尔顿·哈蒂
Steve Nicol,史蒂夫·尼科尔
George Abecassis,乔治·阿贝卡西斯
Sid Watkins,西德·沃特金斯
Alfred Kerr,阿尔弗雷德·克尔
Paul Reuter,保罗·路透
Nick Barmby,尼克·巴姆比
Jack Laugher,傑克·勞爾
Vernon Coaker,弗農·克科爾
Benedict Cumberbatch,本尼迪克特·康伯巴奇
