André-Pierre Gignac,安德雷·皮埃爾·吉尼亞克
Juan Gabriel Castro,胡安·卡斯楚
Pável Pardo,柏度·帕爾多
Luis Echeverría Álvarez,路易斯·埃切维里亚
Octavio Paz,奥克塔维奥·帕斯
Luis Donaldo Colosio,路易斯·唐纳多·科洛西奥
Emiliano Zapata,埃米利亚诺·萨帕塔
Vaniity,虚荣心
Imanol Landeta,伊马诺尔·兰德塔
Jorge Ibargüengoitia,豪尔赫·伊瓦尔根戈伊蒂亚
José Saturnino Cardozo,卡度素
Nezahualcóyotl,内萨瓦尔科约特尔
Tatiana Ortiz,塔蒂亚娜·奥尔蒂斯
Humberto Ramos,溫貝托·拉莫斯
Daniela Romo,丹尼拉·罗莫
Alfonso Ortiz Tirado,阿方索·奥尔蒂斯·蒂拉多
Arturo Yamasaki,阿圖羅·山崎
Israel Castro,伊斯雷尔·卡斯特罗
Emmanuel,伊曼紐爾
Lorena Ochoa,蘿瑞納·歐秋雅
Carlos Reygadas,卡洛斯·雷加达斯
Ricardo Montalbán,里卡多·蒙特尔班
Abelardo Alvarado Alcántara,阿貝拉爾多·阿爾瓦拉多-阿爾坎塔拉
Rafael Márquez Álvarez,拉法埃尔·马克斯
Luis Buñuel,路易斯·布努埃尔
Alfonso Cuarón,艾方索·柯朗
Alejandro González Iñárritu,阿利安卓·崗札雷·伊納利圖
José Joaquín Fernández de Lizardi,何塞·华金·费尔南德斯·德利萨尔迪
Silvia Pinal,西尔维娅·皮纳尔
Juan Carlos Chávez,胡安·卡洛斯·查韦斯
Guillermo Franco Farquarson,古利姆·法蘭高
Francisco Jara,弗朗西斯科·哈拉
Antonio López de Santa Anna,安东尼奥·洛佩斯·德·圣安纳
Carmen Romero Rubio,卡门·罗梅罗·卢比奥
Vicente Fox,比森特·福克斯·克萨达
Juan Pablo Rodríguez,胡安·帕布羅·羅德里奎斯
Leonardo Márquez,萊昂納多·馬爾克斯
Alexander Salkind,亞歷山大·塞爾金德
Carlos Vela,卡洛斯·維拉
Paulina Rubio,宝琳娜鲁维奥
Sara Ramírez,莎拉·拉米瑞茲
Bora Milutinović,维利博尔·米卢蒂诺维奇
Místico,Sin Cara
Abraham Laboriel,阿夫拉姆·拉博里尔
Gregorio López y Fuentes,G. 洛佩斯·伊·富恩特斯
Julio Estrada,胡里奧·埃斯特拉達
Laura Sánchez Soto,劳拉·桑切斯 (跳水运动员)
María Rojo,玛丽亚·罗霍
Elizabeth Catlett,伊丽莎白·卡特莱特
Cantinflas,康丁法拉
Miguel Ángel Mancera Espinosa,米格爾·曼塞拉
Lorenzo Zambrano,洛倫佐·贊布拉諾·特雷維諾
Silvestre Revueltas,西尔维斯特里·雷维尔塔斯
Javier Aguirre,哈维尔·阿吉雷
Miguel de Icaza Amozorrutia,米格爾·德伊卡薩
Pancho Villa,潘乔·比利亚
Guillermo Sepúlveda,吉列尔莫·塞普尔韦达
Patricia Espinosa Cantellano,帕特里夏·埃斯皮诺萨
Oswaldo Sánchez,奧斯華度·山齊士
Alessandra Rosaldo,亚历山德拉·罗萨尔多
Juan Rulfo,胡安·魯爾福
Adolfo Ruiz Cortines,阿道弗·鲁伊斯·科尔蒂内斯
Oscar Pérez Rojas,奥斯卡·佩雷斯·罗哈斯
Óscar Salazar Blanco,奥斯卡·萨拉萨尔
Salvador Novo,萨尔瓦多·诺沃
Felipe Calderón,费利佩·卡尔德龙
Anastasio Bustamante,安纳斯塔西奥·布斯塔曼特
Mariano Azuela,马里亚诺·阿苏埃拉
Carlos Gómez,卡洛斯·戈麦斯
Alfonso García Robles,阿方索·加西亚·罗夫莱斯
Guido Pizarro,比薩羅
Adolfo López Mateos,阿道尔弗·洛佩斯·马特奥斯
Dolores Heredia,多洛雷斯-埃雷迪
Giselle Itié,吉瑟勒爾·伊迪斯
Adam McKay,亞當·麥凱
Pedro Ramírez Vázquez,佩德罗·拉米雷斯·巴斯克斯
Marga López,玛格·洛佩兹
Horacio López Salgado,奥拉西奥·洛佩斯·萨尔加多
Alberto Del Rio,阿爾貝托·德·里奧
María Santos Gorrostieta Salazar,玛丽亚·桑托斯·戈罗斯蒂埃塔·萨拉萨尔
Lázaro Cárdenas,拉萨罗·卡德纳斯
Enrique Peña Nieto,恩里克·佩尼亚·涅托
Ana Alicia,安娜·艾麗西亞
Sandra Cisneros,桑德拉·希斯内羅絲
Miguel de la Madrid Hurtado,米格尔·德拉马德里
Mariana Levy,玛丽安娜·列维
Luis Antonio Valdez,路易斯·巴尔德斯
Felipe Colombia,费利佩·科伦坡
Elsa Benítez,艾尔莎·贝尼特斯
Cara Buono,卡拉·布歐諾
César Millán,西薩·米蘭
Sinha,安东尼奥·内尔森
Carlos Salcido,卡洛斯·萨尔西多
Sabina Berman,萨宾娜·伯曼
Jesús Mena Campos,赫苏斯·梅纳
Cuauhtémoc Blanco,庫奧特莫克·白蘭高
John Doeg,約翰·多埃格
Luis Calderón Vega,路易斯·卡尔德龙·贝加
Max Aub,马克斯·奥夫
Luis Hernández,路易斯·埃尔南德斯
Mariano Arista,馬里亞諾·阿里斯塔
Saturnino Herrán,萨托尼诺·赫兰
Francisco Javier Rodríguez Pineda,法蘭斯高·查維亞·洛迪古斯
Hubertus von Hohenlohe,胡貝圖斯·馮·霍恩洛厄
Abelardo L. Rodríguez,阿韦拉多·L·罗德里格斯
Comandanta Ramona,司令拉蒙娜
Mónica Ocampo,莫妮卡·奥坎波
Mario Arturo Acosta Chaparro,马里奥·阿图罗·阿科斯塔·查帕罗
Mariano Paredes y Arrillaga,馬里亞諾·帕雷德斯-阿里利亞加
Nery Castillo,卡斯蒂略
Carlos J. Puig Casauranc,普义
Olivia Harrison,奥莉维亚·哈里森
Carlton Cuse,卡爾頓·庫斯
Álvaro Obregón,阿尔瓦罗·奥夫雷贡
Francisco Ignacio Madero González,弗朗西斯科·馬德羅
Guillermo Ochoa,吉列尔莫·奥乔亚
Carmen Boullosa,卡门·博萨
Maribel Domínguez,马里韦尔·多明格斯
Carlos Gallardo,卡洛斯·盖拉多
Carlos Garfias Merlos,嘉祿·加爾菲亞斯-梅爾洛斯
Carlos Girón Gutiérrez,卡洛斯·吉隆
Carlos González,卡洛斯·冈萨雷斯 (足球运动员)
Juan Ramón de la Fuente,胡安·拉蒙·德拉富恩特·拉米雷斯
Maite Perroni,玛伊特·佩罗尼
Julieta Venegas,胡麗塔·凡娜嘉斯
Carlos Chávez,卡洛斯·查維斯
Óscar de la Hoya,奧斯卡·德·拉·霍亞
Vikki Carr,薇琪·卡爾
Aarón Padilla Gutiérrez,阿龙·帕迪利亚·古铁雷斯
Edward James Olmos,爱德华·詹姆斯·奥莫斯
Victoriano Huerta,維克多里安諾·伍爾塔
Ernesto Zedillo,埃內斯托·塞迪略
Beatriz Paredes Rangel,比阿特里斯·帕雷德斯·兰赫尔
Ignacio Comonfort,伊格納西奧·科蒙福特
Sergio Pérez,沙治奧·佩雷斯
Mario Van Peebles,馬里歐·範·比柏斯
Anthony Quinn,安东尼·奎恩
Ninel Conde,尼奈尔·孔德
Linda Christian,琳达·克里斯蒂安
Michelle Vieth,蜜雪兒·維思
Nailea Norvind,内莉·诺温德
Raúl Cárdenas,勞爾·卡爾德納斯
Leonora Carrington,利奥诺拉·卡林顿
Laura Harring,蘿菈·哈爾琳
Rolando Villazón,罗兰多·比利亚松
Carlos Prieto,卡洛斯·普列托
Edgar Castillo,埃德加·卡斯蒂略
Valentino Lanús,瓦伦蒂诺·拉努斯
Vicente Fernández,比森特·費南德茲
Julio Enrique Gómez,朱利奥·戈麦斯
Cecilia Suárez,塞西莉亚·苏亚雷斯
Salvador Elizondo,萨尔瓦多·埃利松多
Luis Miguel Salvador,路易斯·米格爾·薩爾瓦多
Luis Wybo Alfaro,路易斯·维博·阿尔法罗
Sandra Echeverría,桑德拉·埃切维里亚
Benito Archundia,阿曼多·阿琛迪亚
Carlos de los Cobos,卡洛斯·德洛斯·科博斯
Amado Nervo,阿马多·内尔沃
Kitten Natividad,小猫娜提雅维达
María del Pilar Roldán,皮拉尔·罗尔丹
Guillermo del Toro,吉勒摩·戴托羅
Daniel Aceves,丹尼尔·阿塞韦斯
Rosie Reyes,蘿西·雷耶斯
Amado Carrillo Fuentes,阿玛多·卡里略·弗恩特斯
Angélica María,安赫丽卡·玛丽娅
Jonny Magallón,洪尼·马加利翁
John Sutter,约翰·苏特尔
Mauricio Islas,毛里西奥·伊斯拉斯
Manuel Gómez Pedraza,曼努埃尔·戈麦斯·佩德拉萨
Cecilia Santiago,塞西莉亚·圣地亚哥
Cecilio Garza Limón,塞西利奥·加尔萨·利蒙
Salma Hayek,莎瑪·希恩
Miguel Miramón,米格尔·米拉蒙
Claudio Suárez,克劳迪奥·苏亚雷斯
Demián Bichir,德米安·畢齊
Jesús Eduardo Zavala,赫苏斯·萨瓦拉
Alfonso Montemayor,阿方索·蒙特马约尔
Paola Espinoza,葆拉·埃斯皮诺萨
Kat Von D,凯特·方迪
Adriana Barraza,安芝安娜·芭拉莎
Gloria Contreras,格洛丽亚·康特雷拉斯·罗尼格
Mario de Gasperín Gasperín,瑪略·德-加斯佩林-加斯佩林
Dolores del Río,多洛雷丝·德尔里奥
El Zorro,蘇洛
Laura Esquivel,劳拉·埃斯基韦尔
Juan José Arreola,胡安·何塞·阿雷奥拉
José Vasconcelos,何塞·巴斯孔塞洛斯
Jesús Martínez,赫苏斯·马丁内斯
Mariana Yampolsky,玛丽安娜·扬波尔斯基
Sara Maldonado,萨拉∙马尔多纳多
Dulce María,杜尔西·玛利亚
Ana Gabriela Guevara,古華拉
Susana González,苏珊娜·冈萨雷斯
Carlos Loret de Mola Mediz,卡洛斯·洛雷特·德莫拉·梅迪斯
Adolfo de la Huerta,阿道弗·德拉韦尔塔
Agustín I de México,阿古斯丁一世
Joaquín Guzmán Loera,华金·古兹曼·洛埃拉
Belinda,貝琳達·佩瑞格林
Consuelo Velázquez,孔苏埃洛·贝拉斯克斯
Ilean Almaguer,伊莱恩·阿尔马格尔
Jorge Gutiérrez,豪爾赫·古鐵雷斯
Claudio Brook,克勞迪奧·布魯克
Jacqueline Bracamontes,杰奎琳·布拉卡蒙特斯
Marco Antonio Rodríguez Moreno,马尔科·罗德里格斯
Raúl Erasto Gutiérrez,劳尔·古铁雷斯
Francisco Lagos Cházaro,弗朗西斯科·拉戈斯·查萨罗
Efren Navarro,艾弗连·纳瓦罗
Ricardo Flores Magón,里卡多·弗洛雷斯·马贡
Tina Romero,蒂娜·罗梅罗
Soraya Jiménez,索拉娅·希门尼斯
Alberto Medina,阿尔韦托·梅迪纳
Margo,玛戈
Pedro Celestino Negrete,佩德罗·塞莱斯蒂诺·内格雷特
Luis Miguel,路爾斯·米格爾
Yadhira Carrillo,亚达拉·卡里约
Paulina Gaitán,鲍琳娜·盖坦
Itzcuauhtzin,伊兹夸赫特辛
Chavela Vargas,查维拉·巴尔加斯
Julia Pastrana,朱莉娅·帕斯特罗娜
Luis Bagarran,路易斯·巴拉甘
Jose Ron,何塞·罗恩
Leonardo Cuéllar,莱昂纳多·奎利亚尔
Bárbara Mori,芭芭拉·森
Ulises Dávila,乌利塞斯·达维拉
Arturo Vázquez Ayala,阿图罗·巴斯克斯·阿亚拉
Pascual Ortiz Rubio,帕斯夸尔·奥尔蒂斯·鲁维奥
Guillermo Mendizábal,吉列尔莫·门迪萨瓦尔
Miguel Ángel Osorio Chong y Xinping,米格爾·安赫爾·奧索里奧·鍾
Rodolfo de Anda,鲁道夫·德·安达
Oribe Peralta,奥里比·佩拉尔塔
Ernesto Canto,埃内斯托·坎托
Danna Paola,丹娜·帕拉
Emilio Fernández,埃米利奥·费尔南德斯
Miguel Agustín Pro,弥额尔·奥斯定·普罗
Jesús Bracamontes,杰斯·布拉卡蒙特斯
Lola Álvarez Bravo,洛拉·阿尔瓦雷斯·布拉沃
Elpidia Carrillo,艾尔皮迪娅·卡里洛
Manuel Gutiérrez Hernández,曼努埃尔·古铁雷斯
Fernando Valenzuela,費南多·瓦倫祖拉
Leticia Calderón,莱蒂西亚·卡尔德隆
Marco Fabián de la Mora,馬可·費比安
Ignacio López Rayón,伊格纳西奥·洛佩斯·拉永
Pedro Soto,佩德罗·索托
Pedro Moreno Gonzalez,佩德羅·莫瑞諾
Pedro Pablo Elizondo Cárdenas,伯多祿·保祿·埃利松多-卡爾德納斯
Pedro Romero Precord,佩德罗·罗梅罗
Federico Curiel,费德里科·库里尔
Felipe Cazals,菲利浦·卡索斯
Jorge Consejo,豪尔赫·孔塞霍
Porfirio Muñoz Ledo,波菲里奧·穆尼奧斯·雷多
Eruviel Ávila Villegas,埃鲁维尔·阿维拉·比列加斯
Hugo Reid,雨果·里德
Emilio García Riera,埃米利奧·加西亞·里拉
Eustaquio de Escandón,欧斯塔基奥·埃斯坎东
Lorena Rojas,洛雷娜·罗哈斯
Juan Velázquez Tlacotzin,胡安·贝拉斯克斯·特拉科特辛
Raúl Jiménez,劳尔·吉梅内斯
Anagabriela Espinoza,依斯平諾撒·安加博利亞
Juan Álvarez Hurtado,胡安·「阿爾維」·阿爾瓦雷斯
Juventino Rosas Cadenas,胡文蒂諾·羅薩斯
Josefa Ortiz de Domínguez,多明古斯
Joaquín Gamboa Pascoe,华钦·甘宝·帕斯科
Juan Carlos Medina,胡安·卡洛斯·麦地那
Saúl Álvarez,索爾·阿瓦雷茲
Alberto Rodríguez,阿尔韦托·罗德里格斯
Alfredo Talavera,艾費度·泰拿華拉
Yuknoom Ch'een II,尤克诺姆·琴二世
Enrique González Pedrero,恩里克·冈萨雷斯·佩德雷罗
Enrique Guzmán,恩里克·古茲曼
Sandra Ávila Beltrán,桑德拉·阿維拉·貝爾特蘭
Pedro Infante,佩卓·方特
Christian Bach,克里斯蒂安·巴赫
Matías Vuoso,维森特·马蒂亚斯·武索
Mauricio Wollheim,乌海慕
Maximino Martínez Miranda,馬西美諾·馬爾蒂內斯-米蘭達
Jorga Torres de Marfil,豪爾赫·托雷斯·尼洛
Luis Michel,路易斯·埃内斯托·米歇尔
Luis Enrique Erro Soler,路易斯·恩里克·埃罗
Spider-Man 2099,蜘蛛俠2099
Joel Sánchez Ramos,霍埃爾·桑切斯
Adrián González,艾德里安·冈萨雷斯
Victoria Montero,维多利亚·蒙特罗
Cristóbal Ortega,克里斯托瓦尔·奥尔特加
Alfonso Reyes Ochoa,阿方索·雷耶斯
Fernando Soler,费尔南多·索莱尔
Fernando Sariñana,费尔南多·萨里尼亚纳
Fabiola Campomanes,法比奥拉·坎波马内斯
Rossana San Juan,萝莎娜·圣·胡安
Raúl Córdoba,劳尔·科尔多瓦
Raúl Gómez González,洛夫·戈梅斯-岡薩雷斯
Lupita Tovar,露皮塔·托瓦
José de Urrea,何塞·德·烏雷亞
Crescencio Gutiérrez,克雷森西奥·古铁雷斯
Ramiro Peña,拉米羅·佩尼亞
Cristina Rivera Garza,克里斯蒂娜·里维拉·加尔萨
Francisco Contreras,弗朗西斯科·孔特雷拉斯·赛雷诺
María Elena Marqués,玛丽亚·埃伦娜·马奎斯
Javier Lozano Alarcón,哈維爾·洛薩諾·阿拉爾孔
Cynthia González,辛西娅·冈萨雷斯
Ofelia Medina,奧菲莉亞·梅迪納
Sergio Calderón,塞爾吉奧·卡爾德隆
Jorge Salinas,祖治·沙連拿斯
Frédéric-Yves Jeannet,弗雷德里克-伊夫·讓內
Ramón Arellano Félix,拉蒙·阿雷利亚诺·费利克斯
Alejandro Junco de la Vega,亚历杭德罗·容科·德拉维加
Nabor Carrillo Flores,纳沃尔·卡里略·弗洛雷斯
Roberto Orci,罗伯托·奥奇
Carlos Orrantia,埃米利奥·奥兰蒂亚
Manolo Fábregas,马诺洛·法布里加斯
Ana Claudia Talancón,安娜·克劳迪亚·塔兰孔
Josefina Vázquez Mota,何塞菲娜·巴斯克斯·莫塔
Atlantis,亚特兰蒂斯
Gabriel Retes,加布里埃尔·雷特斯
Rafael Mijares Alcérreca,拉斐爾·米哈雷斯·阿爾塞雷卡
Severo Meza (Capitán nuevo de Rayados),塞维洛·梅萨
Rafael Avalos,拉斐尔·阿瓦洛斯
José María Bocanegra,何塞·马里亚·博卡内格拉
Roberto Octavio Balmori Cinta,羅勃·奧克塔維奧·巴爾莫里-辛塔
Bernardo Reyes,貝爾納多·雷耶斯
Hugo Sánchez Márquez,乌戈·桑切斯
Julio César Chávez,朱里奥·塞萨尔·查韦斯
Germán Villa,赫爾曼·比利亞
Alfonso Zamora,阿方索·萨莫拉
Graciela Iturbide,格拉谢拉·伊图尔维德
Alejandra Guzmán,亞歷山德拉·古斯曼
Margarita Maza,玛格丽塔·马萨
Édgar Gerardo Elizondo González,埃德加·岡薩雷斯
Rubén Rojo,鲁本·罗霍
Raúl Lara,勞爾·拉拉
Jacob D. Bekenstein,雅各布·貝肯斯坦
Liliana Allen,利利亚娜·阿伦
Francisco Montes,弗朗西斯科·蒙特斯
Ignacio Rodríguez Bahena,伊格纳西奥·罗德里格斯
Marcos Rivas Barrales,马科斯·里瓦斯
Jesús Blancornelas,赫蘇斯·布蘭科內拉斯
Daniel Giménez Cacho,丹尼尔·希梅内斯·卡乔
Gonzalo Martínez Ortega,刚扎罗·马丁内斯·奥尔特加
Subcomandante Marcos,副司令马科斯
Manny Martínez,曼尼·马丁内斯
José María Iglesias,何塞·马里亚·伊格莱西亚斯
Alaska,阿拉斯加
Gloria Anzaldúa,格洛麗亞·E·安札杜爾
Lucas Alamán,卢卡斯·阿拉曼
Rossana Nájera,蘿莎娜·纳赫拉
Pedro Nájera,佩德罗·纳赫拉
Juan Sandoval Íñiguez,胡安·桑多瓦爾·伊尼格斯
Ernesto Corripio Ahumada,埃爾內斯托·科里皮奧-奧馬達
Felipe Ruvalcaba,费利佩·鲁巴尔卡瓦
Noé Hernández,诺埃·埃尔南德斯
Juan Hernández,胡安·赫南德茲
Yeidckol Polevnsky,耶德科爾·波列文斯基·古爾維茲
Jorge Ramos Ávalos,乔奇·拉莫斯
Laura Elizondo,劳拉·埃利松多
Eulalio Gutiérrez Ortiz,欧拉利奥·古铁雷斯
Alfredo Ripstein,艾佛雷多·瑞斯敦
Arturo Montiel Rojas,阿图罗
Allisson Lozz,阿莉森·洛兹
Manuel Camacho,曼努埃尔·卡马乔·索利斯
Ernesto Gómez Cruz,艾內士鐸·高梅茲·克魯斯
Omar Martínez Legorreta,奥马尔·马丁内斯·莱戈雷塔
Ocho-Venado,鹿八日虎爪
Teresa Ruiz,特雷莎·魯伊斯
Martha Higareda,玛莎·希加瑞达
Francisco Castrejón,弗朗西斯科·卡斯特雷洪
Jaime Humberto Hermosillo,海梅·温贝托·埃莫西约
José Vantolrá,何塞·班托尔拉
José Justo Corro,何塞·胡斯托·科罗
Miguel Barragán,米格爾·巴拉甘
mexicanos,墨西哥人
Agustín Yáñez,阿古斯丁·亚涅斯
Daniel Osorno,丹尼爾·奧索爾諾
Daniel Tovar,丹尼尔·托瓦尔
Marimar Vega,马里马尔·维加
Fernando Carrere,費爾南多·卡雷雷
Dante Delgado Rannauro,丹特·德尔加多·兰诺罗
Miguel Gutiérrez,米格尔·古铁雷斯 (1931年)
Maribel Guardia,玛丽贝尔·瓦度
José Naranjo,何塞·纳兰霍
Carlos Septién,卡洛斯·塞普蒂恩
Digna Ochoa,蒂格納‧歐查
Federico Mena,費德里科·梅納
Mariano Francisco Saynez Mendoza,馬里亞諾·弗朗西斯科·塞恩斯·門多薩
Aureliano Blanquet,奥雷利亚诺·布朗克
Rogelio Esquivel Medina,羅赫利奧·埃斯基韋爾-梅迪納
Rodrigo Aguilar Martínez,勞得力·阿吉拉爾-馬爾蒂內斯
Rodrigo Ruiz Zárate,罗德里戈·鲁伊斯
Eugenio Caballero,欧金尼奥·卡瓦列罗
Mario Ochoa,马里奥·奥乔亚
José Mariano de Michelena,何塞·马里亚诺·米切莱纳
Ona Grauer,奧娜·格勞爾
Guadalupe Nettel,瓜达卢佩·内特尔
Ramón Morales,莫拉列斯
Édgar Vivar Villanueva,埃德加·比瓦尔
Aarón Díaz,亚伦·迪亚兹
Gilberto Gazcón,吉尔伯托·加兹孔
Gilberto Martínez Solares,吉尔伯托·马丁内斯·索拉雷斯
Víctor Trujillo,維克特·圖吉洛
Adela Noriega,艾德拉·诺列加
Emile Kuri,艾米爾·古利
Humberto Mariles Cortés,温贝托·马里莱斯·科尔特斯
Manuel Moreno Sánchez,曼努埃爾·莫雷諾·桑切斯
Luis H. Álvarez,路易斯·赫克托·阿爾瓦雷斯
Joaquín Pardavé,乔奎因·帕达维
Yovani Gallardo,尤凡尼·賈拉多
Tlacatéotl,特拉卡特奥特尔
Alfredo del Mazo González,阿爾弗雷多·德爾·梅佐·岡薩雷斯
Carlos Felipe Rodríguez,卡洛斯·费利佩·罗德里格斯
Adriana Louvier,阿德里安娜·卢维耶
Martín Perfecto de Cos,馬丁·皮爾菲多·德·戈斯
Eduardo Herrera Aguirre,爱德华多·埃雷拉
Julio Alejandro,胡里歐·亞歷山卓
Elizabeth Arciniega,伊丽莎白·阿奇尼加
José Agustín,荷西·阿古斯丁
Jacqueline Andere,杰奎琳·安德列
Luis Gil,路易斯·吉爾
María Asunción Aramburuzabala Larregui,瑪麗亞・亞松森・阿蘭布魯沙巴拉
Pablo Gómez,巴勃羅·戈梅茲·阿瓦雷斯
Pablo Sánchez López,巴勃羅·桑切斯·洛佩斯
Paloma Jiménez,帕罗玛·吉曼涅兹
