Portugal,ポルトガル
Graciosa,グラシオーザ島
Seleção Portuguesa de Futsal Masculino,フットサルポルトガル代表
Teatro Nacional D. Maria II,マリア2世国立劇場
Mosteiro de Alcobaça,アルコバッサ修道院
Golfo de Cádis,カディス湾・(大)
Viseu,ヴィゼウ
Aeroporto Francisco Sá Carneiro,フランシスコ・サ・カルネイロ空港
Marinha Portuguesa,ポルトガル海軍
Final da Taça dos Clubes Campeões Europeus de 1967–68,UEFAチャンピオンズカップ・1967-68・決勝
Corvo (Açores),コルボ島
Seleção Portuguesa de Basquetebol Masculino,バスケットボールポルトガル代表
Partido Social Democrata (Portugal),社会民主党・(ポルトガル)
União Nacional,国家連合党
Al-Andalus,アンダルス
Eleições legislativas portuguesas de 1983,1983年ポルトガル議会選挙
Palácio Nacional de Mafra,マフラ国立宮殿
Sport Lisboa e Benfica,SLベンフィカ
Sacavém,サカヴェン
Futebol Clube do Porto,FCポルト
Portugal nos Jogos Olímpicos de Verão de 2012,2012年ロンドンオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 2008,2008年北京オリンピックのポルトガル選手団
Irmãos das Escolas Cristãs,ラ・サール会
Estrada europeia 806,E806号線
Estrada europeia 805,E805号線
Eleições legislativas portuguesas de 1980,1980年ポルトガル議会選挙
Praça dos Restauradores,レスタウラドーレス広場
Chiado,シアード・(リスボン)
Eleições parlamentares europeias de 2004 (Portugal),2004年欧州議会議員選挙・(ポルトガル)
Portugal nos Jogos Olímpicos de Verão de 2000,2000年シドニーオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 2004,2004年アテネオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 1976,1976年モントリオールオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 1960,1960年ローマオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 1924,1924年パリオリンピックのポルトガル選手団
Guerra Colonial Portuguesa,ポルトガルの植民地戦争
Portugal nos Jogos Olímpicos de Verão de 1988,1988年ソウルオリンピックのポルトガル選手団
Eleições legislativas portuguesas de 1995,1995年ポルトガル議会選挙
Taça da Liga,タッサ・ダ・リーガ
Estádio Municipal de Aveiro,エスタディオ・ムニシパル・デ・アヴェイロ
Portugal nos Jogos Olímpicos de Verão de 1996,1996年アトランタオリンピックのポルトガル選手団
Portugal nos Jogos Olímpicos de Verão de 1984,1984年ロサンゼルスオリンピックのポルトガル選手団
White Airways,ホワイト・エアウェイズ
Portugália Airlines,ポルトガリア航空
Leixões Sport Club,レイションイスSC
Estádio do Clube Desportivo das Aves,エスタディオ・ド・CDアヴェス
Elétricos de Lisboa,トラム・(リスボン)
Portugal nos Jogos Olímpicos de Verão de 1928,1928年アムステルダムオリンピックのポルトガル選手団
Moedas de euro portuguesas,ポルトガルのユーロ硬貨
Clube Desportivo de Mafra,CDマフラ
Louletano Desportos Clube,ロウレターノDC
Duque do Porto,ポルト公
Casa Pia Atlético Clube,カーザ・ピアAC
Portimonense Sporting Clube,ポルティモネンセSC
Rio Ave Futebol Clube,リオ・アヴェFC
Sporting Clube Olhanense,SCオリャネンセ
Tomar,トマール
Portalegre (Portugal),ポルタレグレ
Liga Portuguesa de Futebol Profissional,ポルトガルプロサッカーリーグ
Alfama,アルファマ
Igreja de São Francisco (Porto),サン・フランシスコ教会・(ポルト)
Ponte de D. Maria Pia,マリア・ピア橋
Praça D. Pedro IV,ロシオ広場
Estremoz,エストレモス
Mafra (Portugal),マフラ
Trofa,トロファ
CDS – Partido Popular,民主社会中道・人民党
Faro,ファロ
A Portuguesa,ア・ポルトゥゲーザ
Castelo de São Jorge,サン・ジョルジェ城
Grupo Desportivo Estoril Praia,GDエストリル・プライア
Estádio D. Afonso Henriques,エスタディオ・D.・アフォンソ・エンリケス
Estádio do Bessa Século XXI,エスタディオ・ド・ベッサ
Estádio Dr. Magalhães Pessoa,エスタディオ・Dr.マガリャンイス・ペッソア
Eleições legislativas portuguesas de 1979,1979年ポルトガル議会選挙
Eleições presidenciais portuguesas de 2011,2011年ポルトガル共和国大統領選挙
Linha Vermelha (Metropolitano de Lisboa),リスボンメトロ赤線
Elevador de Santa Justa,サンタ・ジュスタのリフト
Primeira República Portuguesa,ポルトガル第一共和政
Implantação da República Portuguesa,1910年10月5日革命
Aeroporto Cristiano Ronaldo,マデイラ空港
Desaparecimento de Madeleine McCann,マデリン・マクカーン失踪事件
Grande Prémio de Portugal de Motovelocidade de 2009,2009年のポルトガルグランプリ・(ロードレース)
Grande Prémio de Portugal de Motovelocidade de 2010,2010年のポルトガルグランプリ・(ロードレース)
Panteão Nacional,サンタ・エングラシア教会
Ordem de São Bento de Avis,アヴィス騎士団
Estádio Cidade de Coimbra,エスタディオ・シダーデ・デ・コインブラ
Força de Gendarmaria Europeia,欧州国家憲兵隊
Palácio Nacional de Queluz,ケルス宮殿
Forças Armadas de Portugal,ポルトガルの軍事
Seleção Portuguesa de Futebol Sub-21,U-21サッカーポルトガル代表
Algarve Cup,アルガルヴェ・カップ
Estádio Algarve,エスタディオ・アルガルヴェ
Praça do Comércio,コメルシオ広場
Rádio e Televisão de Portugal,ポルトガル国営放送
Região Vinhateira do Alto Douro,アルト・ドウロ・ワイン生産地域
Sé de Faro,ファロ大聖堂
Igreja de São Roque (Lisboa),サン・ロッケ教会
Cabo da Roca,ロカ岬
Oceanário de Lisboa,リスボン水族館
Alcobaça (Portugal),アルコバサ
Bairro Alto,バイロ・アルト
Merino,メリノ種
Sé Catedral de Évora,エヴォラ大聖堂
Cristão-novo,新キリスト教徒
Autódromo do Estoril,エストリル・サーキット
Setúbal,セトゥーバル
Circuito da Boavista,ポルト・サーキット
Guimarães,ギマランイス
Circuito de Monsanto,モンサント・サーキット
Base Aérea de Beja,ベージャ航空基地
Aeroporto Internacional de Faro,ファロ空港
Ilha do Faial,ファイアル島
AJP Motos,AJP
Associação Desportiva do Fundão,ADフンダオ
Universidade de Lisboa,リスボン大学
Paralelo 39 N,北緯39度線
Padrão dos Descobrimentos,発見のモニュメント
Supertaça Cândido de Oliveira,スーペルタッサ・カンディド・デ・オリベイラ
Ilhéu de Monchique,モンシケ島
Lagoa Seca (Santa Cruz das Flores),セカ湖
Mosteiro da Batalha,バターリャ修道院
Clube Desportivo Feirense,CDフェイレンセ
Sesimbra,セジンブラ
Amadora,アマドーラ
Nossa Senhora de Fátima,ファティマの聖母
Tratado de Saragoça (1529),サラゴサ条約
Évora,エヴォラ
Batalha do Cabo de São Vicente (1780),サン・ビセンテ岬の月光の海戦
Portugueses,ポルトガル人
Portugal no Festival Eurovisão da Canção Júnior,ポルトガルのジュニア・ユーロビジョン・ソング・コンテスト
Dialeto árabe andalusino,アル・アンダルス＝アラビア語
Exposição Mundial de 1998,リスボン国際博覧会
Lista de monarcas de Portugal,ポルトガル君主一覧
Lista de cidades em Portugal,ポルトガルの都市の一覧
Arroba,アローバ
Primeira Liga,プリメイラ・リーガ
Gastronomia de Portugal,ポルトガル料理
Hispânia,ヒスパニア
Sport Clube Beira-Mar,SCベイラ・マル
Teatro Nacional de São Carlos,サン・カルルシュ国立劇場
Primeiro-Ministro de Portugal,ポルトガルの首相
Palácio Nacional de Belém,ベレン宮殿
Angra do Heroísmo,アングラ・ド・エロイズモ
Sertã,セルタン
Sintra,シントラ
Fátima,ファティマ
Vila Nova de Gaia,ヴィラ・ノヴァ・デ・ガイア
Vinho do Porto,ポートワイン
Sismo de Lisboa de 1755,リスボン地震・(1755年)
Nisa,ニーザ
Sistema de ligas de futebol de Portugal,ポルトガルのサッカーリーグ構成
Clube de Futebol União,CFウニオン
Revolução de 25 de Abril de 1974,カーネーション革命
Golpe de Estado de 28 de Maio de 1926,1926年5月28日クーデター
Estoril,エストリル
Transporte ferroviário em Portugal,ポルトガルの鉄道
Ponte 25 de Abril,4月25日橋
Convento de Cristo,トマールのキリスト教修道院
Campeonato Mundial de Handebol Masculino de 2003,2003年世界男子ハンドボール選手権
Serra da Estrela,エストレーラ山脈
Assembleia da República,共和国議会・(ポルトガル)
Estádio Cidade de Barcelos,エスタディオ・シダーデ・デ・バルセロス
Paralelo 40 N,北緯40度線
Paralelo 33 N,北緯33度線
Paralelo 37 N,北緯37度線
Vinhos portugueses,ポルトガルワイン
Sport Comércio e Salgueiros,SCサルゲイロス
Clube Desportivo Santa Clara,CDサンタ・クララ
Seleção Portuguesa de Futebol Sub-20,U-20サッカーポルトガル代表
Grande Prémio de Portugal de Motovelocidade de 2007,2007年のポルトガルグランプリ・(ロードレース)
Eleições legislativas portuguesas de 2009,2009年ポルトガル議会選挙
Igreja de São Vicente de Fora,サン・ヴィセンテ・デ・フォーラ修道院
Lagoa Rasa,ハザ湖
Lagoa Funda (Cedros),フンダ湖
Lagoa Branca,ブランカ湖
Lagoa Comprida,コンプリダ湖
Prémio Camões,カモンイス賞
Estação Saldanha,サルダーニャ駅
Ponte da Arrábida,アハビダ橋
Metropolitano de Lisboa,リスボンメトロ
Sporting Clube Farense,SCファレンセ
Ilha de São Jorge,サンジョルジェ島
Estação Aeroporto (Metropolitano de Lisboa),アエロポルト駅・(リスボン)
Silves (Portugal),シルヴェス
Portugal nos Jogos Olímpicos,オリンピックのポルトガル選手団
Estrada europeia 1,E01号線
Vila Real de Santo António,ヴィラ・レアル・デ・サント・アントニオ
Guarda,グアルダ
Lusofonia,ルゾフォニア
Base Aérea das Lajes,ラジェス航空基地
Segunda Liga,セグンダ・リーガ
Supercopa da UEFA de 2011,2011・UEFAスーパーカップ
Atlético Clube de Portugal,アトレティコ・クルーベ・デ・ポルトゥガル
Ordem de Santiago,サンティアゴ騎士団
Praça do Marquês de Pombal (Lisboa),マルケス・デ・ポンバル広場
Póvoa de Varzim,ポボア・デ・バルジン
Brasão de armas de Portugal,ポルトガルの国章
Império Português,ポルトガル海上帝国
Leiria,レイリア
Vila do Bispo,ヴィラ・ド・ビスポ
Partido Comunista Português,ポルトガル共産党
Caldo verde,カルド・ヴェルデ
Estádio do Marítimo,エスタディオ・ド・マリティモ
Ponta Delgada,ポンタ・デルガダ
Distrito de Lisboa,リスボン県
Bragança (Portugal),ブラガンサ
Fantasporto,ポルト国際映画祭
Linha Verde (Metropolitano de Lisboa),リスボンメトロ緑線
Linha Azul (Metropolitano de Lisboa),リスボンメトロ青線
Guarda Nacional Republicana,ポルトガル共和国国家警備隊
Revolução liberal do Porto,1820年自由主義革命
Praça da Figueira,フィゲイラ広場
Lista de presidentes da Câmara Municipal de Lisboa,リスボン市長
Lagoa da Lomba,ロンバ湖
TAP Air Portugal,TAPポルトガル航空
Viana do Castelo,ヴィアナ・ド・カステロ
Linha Amarela (Metropolitano de Lisboa),リスボンメトロ黄色線
Vitória Futebol Clube,ヴィトーリアFC・(ポルトガル)
Campeonato Mundial Júnior de Atletismo de 1994,1994年世界ジュニア陸上競技選手権大会
Linha do Sado,サド線
Paralelo 42 N,北緯42度線
Ponte de D. Luís (Porto),ドン・ルイス1世橋
Paralelo 41 N,北緯41度線
Clube de Futebol Os Belenenses,CFベレネンセス
Ilha das Flores (Açores),フローレス島・(ポルトガル)
Ilha de Santa Maria,サンタマリア島
Eleições parlamentares europeias de 2009 (Portugal),2009年欧州議会議員選挙・(ポルトガル)
Distrito de Aveiro,アヴェイロ県
Ilha de São Miguel,サンミゲル島
Barcelos,バルセロス
Beja,ベージャ
Ilha do Pico,ピコ島
Primeira Liga Experimental de 1934–35,プリメイラ・リーガ1934-1935
Praça de Touros do Campo Pequeno,カンポ・ペケーノ闘牛場
Energias de Portugal,EDP・(ポルトガルの企業)
Autódromo Internacional do Algarve,アウトードロモ・インテルナシオナル・ド・アルガルヴェ
União Desportiva de Leiria,UDレイリア
Falcoaria,鷹狩
Ilha Terceira,テルセイラ島
Torre de Belém,ベレンの塔
Museu Nacional de Arte Antiga,国立古美術館
Estádio Municipal da Capital do Móvel,エスタディオ・ダ・マタ・レアル
Estádio Nacional do Jamor,エスタディオ・ナシオナル・(リスボン)
Campeonato Mundial de Atletismo em Pista Coberta de 2001,2001年世界室内陸上競技選手権大会
Jogos da Lusofonia,ポルトガル語圏競技大会
Eleições parlamentares europeias de 1999,1999年欧州議会議員選挙
Batalha de Ourique,オーリッケの戦い
Eleições presidenciais portuguesas de 1976,1976年ポルトガル共和国大統領選挙
Elvas,エルヴァス
Associação Académica de Coimbra – Organismo Autónomo de Futebol,アカデミカ・コインブラ
Club Sport Marítimo,CSマリティモ
Clube Desportivo Nacional,CDナシオナル
Carregal do Sal,カレガル・ド・サル
Eleições legislativas portuguesas de 1987,1987年ポルトガル議会選挙
Batalha de Aljubarrota,アルジュバロータの戦い
Barreiro,バレイロ
Boavista Futebol Clube,ボアヴィスタFC
Moreirense Futebol Clube,モレイレンセFC
Cruz de Santiago,聖ヤコブ十字
Estrada europeia 82,E82号線
Observatório Europeu da Droga e da Toxicodependência,欧州薬物・薬物依存監視センター
Avenida da Liberdade (Lisboa),リベルダーデ大通り
Mosteiro (Vieira do Minho),モステイロ
Futebolista do Ano em Portugal,ポルトガル年間最優秀選手賞
Alfa Pendular,アルファ・ペンドゥラール
Vitória Sport Clube,ヴィトーリアSC
Ponte Vasco da Gama,ヴァスコ・ダ・ガマ橋
Distrito de Portalegre,ポルタレグレ県
Estádio António Coimbra da Mota,エスタディオ・アントニオ・コインブラ・ダ・モタ
Distrito de Leiria,レイリア県
Distrito de Santarém,サンタレン県
Distrito de Faro,ファーロ県
Distrito de Coimbra,コインブラ県
Clube Desportivo das Aves,CDアヴェス
Futebol Clube de Arouca,FCアロウカ
Futebol Clube Famalicão,FCファマリカン
Gare do Oriente,オリエンテ駅
Estação Ferroviária de Porto-Campanhã,ポルト＝カンパニャン駅
Seleção Portuguesa de Rugby Union,ラグビーポルトガル代表
Baixa de Lisboa,バイシャ・ポンバリーナ
Estação Ferroviária de Roma-Areeiro,ローマ・アレエイロ駅
Estação Ferroviária de Sete Rios,セッテ・リオス駅
Estação Ferroviária de Alcântara-Terra,アルカンタラ＝テラ駅
Estação Ferroviária de Alcântara-Mar,アルカンタラ＝マール駅
Estação Ferroviária de Cascais,カスカイス駅
Sud Expresso,南急行
Clube Desportivo de Tondela,CDトンデラ
Futebol Clube de Penafiel,FCペナフィエル
Futebol Clube de Vizela,FCヴィゼラ
Fertagus,フェルタグス
Santuário Nacional de Cristo Rei,クリスト＝レイ像
Banco Nacional Ultramarino,大西洋銀行
Batalha (Portugal),バターリャ
Caldas da Rainha,カルダス・ダ・ライーニャ
Mosteiro dos Jerónimos,ジェロニモス修道院
Cascais,カスカイス
Distrito de Castelo Branco,カステロ・ブランコ県
Distrito de Viseu,ヴィゼウ県
Seleção Portuguesa de Futebol,サッカーポルトガル代表
Igreja de Santa Maria dos Olivais,サンタ・マリア・ド・オリヴァル教会
Estádio do Dragão,エスタディオ・ド・ドラゴン
Aeroporto João Paulo II,ポンタ・デルガダ空港
Eleições legislativas portuguesas de 1976,1976年ポルトガル議会選挙
Arquipélago das Berlengas,ベルレンガ島
Estado Novo (Portugal),エスタド・ノヴォ
Universidade do Porto,ポルト大学
Parque das Nações,パルケ・ダス・ナソンイス地区
Hi Fly,ハイフライ航空
Luso-tropicalismo,ルゾ・トロピカリズモ
Distrito da Guarda,グアルダ県
Santarém (Portugal),サンタレン
Distrito de Évora,エヴォラ県
Distrito de Setúbal,セトゥーバル県
Volta ao Algarve,ヴォルタ・アン・アルガルヴェ
Varzim Sport Club,ヴァルジンSC
Monstra Festival,リスボン・アニメーション映画祭
Euronext,ユーロネクスト
Club Football Estrela da Amadora,CFエストレラ・アマドーラ
Ordem de Cristo,キリスト騎士団
Estádio José Alvalade,エスタディオ・ジョゼ・アルヴァラーデ
Base Aérea de Monte Real,モンテ・リアル航空基地
Distrito de Beja,ベージャ県
Estádio Municipal de Braga,エスタディオ・ムニシパル・デ・ブラガ
Alcácer do Sal,アルカセル・ド・サル
Federação Portuguesa de Futebol,ポルトガルサッカー連盟
Associação Desportiva de Fafe,ADファフェ
Sé do Porto,ポルト大聖堂
Palmela,パルメラ
Associação Naval 1.º de Maio,アソシアソン・ナヴァル・プリメイロ・デ・マイオ
Santa Comba Dão,サンタ・コンバ・ダン
Castro Daire,カストロ・ダイレ
Distrito do Porto,ポルト県
Partido Socialista (Portugal),社会党・(ポルトガル)
CP Urbanos de Lisboa,リスボン近郊鉄道
Transferência da soberania de Macau,マカオ返還
Eleições legislativas portuguesas de 2011,2011年ポルトガル議会選挙
Distrito de Viana do Castelo,ヴィアナ・ド・カステロ県
Volta a Portugal,ポルトガル一周
Estado Português da Índia,ポルトガル領インド
Distrito de Braga,ブラガ県
MEO Arena,アトランティコ・パビリオン
Palácio de São Bento,サン・ベント宮殿
Joint Command Lisbon,リスボン統連合軍司令部
Convento do Carmo (Lisboa),カルモ修道院
Ataque à Embaixada da Turquia em Lisboa,1983年リスボン・トルコ大使館襲撃事件
Gigantone,巨人と大頭
Abrantes,アブランテス
Almada,アルマダ・(ポルトガル)
Estrada europeia 80,E80号線
Bloco de Esquerda,左翼ブロック
Boca do Inferno (Cascais),地獄の口
Palácio Nacional da Ajuda,アジュダ宮殿
Instituto Camões,カモンイス言語・国際協力機構
Batalha do Cabo de São Vicente (1797),サン・ビセンテ岬の海戦
Sines,シーネス
Miranda do Douro,ミランダ・ド・ドウロ
Linha de Sintra,シントラ線
Ordem dos Frades Menores,小さき兄弟会
Tavira,タヴィラ
Eleições legislativas portuguesas de 1985,1985年ポルトガル議会選挙
Universidade de Coimbra,コインブラ大学
Futebol Clube Paços de Ferreira,FCパソス・デ・フェレイラ
Estrada europeia 90,E90号線
Rali de Portugal,ラリー・ド・ポルトガル
Eleições parlamentares europeias de 1999 (Portugal),1999年欧州議会議員選挙・(ポルトガル)
Euronext Lisboa,ユーロネクスト・リスボン
Eleições parlamentares europeias de 1989 (Portugal),1989年欧州議会議員選挙・(ポルトガル)
Eleições parlamentares europeias de 1987 (Portugal),1987年欧州議会議員選挙・(ポルトガル)
Académico de Viseu Futebol Clube,アカデミコ・デ・ヴィゼウFC
Distrito de Bragança,ブラガンサ県
Castelo Branco,カステロ・ブランコ
Albufeira,アルブフェイラ
Grande Prémio de Portugal de 1989,1989年ポルトガルグランプリ
Linha de Cascais,カスカイス線
Seleção Portuguesa de Futebol Feminino,サッカーポルトガル女子代表
Distrito de Vila Real,ヴィラ・レアル県
Organização territorial de Portugal,ポルトガルの地域区分
Grande Prémio de Portugal de Motovelocidade de 2008,2008年のポルトガルグランプリ・(ロードレース)
Português europeu,イベリアポルトガル語
Tróleis de Coimbra,コインブラ・トロリーバス
Santa Maria de Belém,サンタマリア・デ・ベレン
Mercadona,メルカドーナ
Banco de Portugal,ポルトガル銀行
Campeonato Europeu de Futebol Sub-21 de 2006,UEFA・U-21欧州選手権2006
Novo Cinema,ノヴォ・シネマ
Grande Prémio de Portugal de Motovelocidade,ポルトガルグランプリ・(ロードレース)
Fundão (Portugal),フンダン・(ポルトガル)
Gil Vicente Futebol Clube,ジル・ヴィセンテFC
Sagres (Vila do Bispo),サグレス
Estação Ferroviária do Cais do Sodré,カイス・ド・ソドレ駅
Eleições legislativas portuguesas de 2005,2005年ポルトガル議会選挙
Montanha do Pico,ピコ山
Estação Jardim Zoológico,ジャルディン・ズロジコ駅
Estação Marquês de Pombal,マルケス・デ・ポンバル駅
Rali Dakar de 2008,2008年のダカール・ラリー
Aeroporto Humberto Delgado,ウンベルト・デルガード空港
Mosteiro de Santa Cruz,サンタ・クルース修道院
Os Três Grandes,トレス・グランデス
Campeonato Nacional da I Divisão de Futsal,リーガ・プラカルド
Basílica da Estrela,エストレラ大聖堂
Eleições legislativas portuguesas de 2002,2002年ポルトガル議会選挙
Eleições legislativas portuguesas de 1999,1999年ポルトガル議会選挙
Eleições legislativas portuguesas de 1991,1991年ポルトガル議会選挙
Partido Republicano Português,ポルトガル共和党
Exército Português,ポルトガル陸軍
Grande Prémio de Portugal de Motovelocidade de 2005,2005年のポルトガルグランプリ・(ロードレース)
Grande Prémio de Portugal de Motovelocidade de 2006,2006年のポルトガルグランプリ・(ロードレース)
Força Marítima Europeia,欧州海洋部隊
União Desportiva Oliveirense,UDオリヴェイレンセ
Islamismo em Portugal,ポルトガルのイスラム教
Painéis de São Vicente de Fora,サン・ヴィセンテの祭壇画
Estação Ferroviária do Rossio,ロシオ駅
Sé de Lisboa,リスボン大聖堂
Santuário do Bom Jesus do Monte,ブラガのボン・ジェズス・ド・モンテ聖域
Cinema de Portugal,ポルトガルの映画
Final da Liga dos Campeões da UEFA de 2013–14,UEFAチャンピオンズリーグ・2013-14・決勝
A Viagem do Glorioso,グロリオーソの航海
Lista do Património Mundial em Portugal,ポルトガルの世界遺産
Eleições presidenciais portuguesas de 2006,2006年ポルトガル共和国大統領選挙
Estação Entre Campos,エントレ・カンポス駅
Voo TAP Portugal 425,TAP・ポルトガル航空425便墜落事故
Clube Oriental de Lisboa,クルーベ・オリエンタル・デ・リジュボア
FC Porto vs. SL Benfica,オ・クラシコ
Seleção Portuguesa de Futebol Sub-19,U-19サッカーポルトガル代表
Colégio Militar (Portugal),コレジオ・ミリタール
Escudo português,ポルトガル・エスクード
Batalha de Lagos,ラゴスの海戦
Associação Desportiva Sanjoanense,ADサンジョアネンセ
Pico Ruivo,ルイボ山
Paralelo 38 N,北緯38度線
Orquestra Gulbenkian,グルベンキアン管弦楽団
Aveiro,アヴェイロ
Copa do Mundo FIFA de Futebol de Areia de 2015,2015・FIFAビーチサッカーワールドカップ
Grande Prémio de Portugal de 1958,1958年ポルトガルグランプリ
Grande Prémio de Portugal de 1959,1959年ポルトガルグランプリ
Sé de Braga,ブラガ大聖堂
Grande Prémio de Portugal de 1960,1960年ポルトガルグランプリ
Estação Ferroviária de Pampilhosa,パンピリョーザ駅
Seleção Portuguesa de Voleibol Masculino,バレーボールポルトガル男子代表
Nazaré (Portugal),ナザレ・(ポルトガル)
Portugal no Festival Eurovisão da Canção,ポルトガルのユーロビジョン・ソング・コンテスト
Final da Liga dos Campeões da UEFA de 2003–04,UEFAチャンピオンズリーグ・2003-04・決勝
Vila Real,ヴィラ・レアル
Dobrada (alimento),ドブラーダ
Cartaz (licença),カルタス・(免許状)
Ministério das Finanças (Portugal),財務省・(ポルトガル)
Estádio Carlos Osório,エスタディオ・カルロス・オソーリオ
Estádio Conde Dias Garcia,エスタディオ・コンデ・ディアス・ガルシア
Copa Europeia/Sul-Americana de 1987,インターコンチネンタルカップ・(サッカー)1987
Grande Prémio de Portugal de 1987,1987年ポルトガルグランプリ
Grande Prémio de Portugal de 1988,1988年ポルトガルグランプリ
Grande Prémio de Portugal de 1984,1984年ポルトガルグランプリ
Grande Prémio de Portugal de 1985,1985年ポルトガルグランプリ
Grande Prémio de Portugal de 1986,1986年ポルトガルグランプリ
Grande Prémio de Portugal de 1992,1992年ポルトガルグランプリ
Grande Prémio de Portugal de 1990,1990年ポルトガルグランプリ
Grande Prémio de Portugal de 1991,1991年ポルトガルグランプリ
Igreja de Santo António de Lisboa,サント・アントニオ・デ・リシュボア教会
Asas de Portugal,アサス・ド・ポルトガル
Cidade-quartel fronteiriça de Elvas e as suas fortificações,国境防衛都市エルヴァスとその要塞群
Venezuelanos,ベネズエラ人
Fundação Calouste Gulbenkian,カルースト・グルベンキアン財団
Eleições parlamentares europeias de 1994 (Portugal),1994年欧州議会議員選挙・(ポルトガル)
Casa do Sport Lisboa e Benfica em Macau,SLベンフィカ・エン・マカオ
Sport Lisboa e Benfica B,SLベンフィカB
Estação Ferroviária de Vilar Formoso,ヴィラル・フォルモーゾ駅
Algarve Cup de 2013,アルガルヴェ・カップ2013
Eleições presidenciais portuguesas de 1980,1980年ポルトガル共和国大統領選挙
Eleições presidenciais portuguesas de 1996,1996年ポルトガル共和国大統領選挙
Real Sport Clube,レアルSC
Eleições presidenciais portuguesas de 2001,2001年ポルトガル共和国大統領選挙
Voo Martinair 495,マーティンエアー495便着陸失敗事故
Eleições para a Assembleia Constituinte Portuguesa de 1975,1975年ポルトガル議会選挙
Sinagoga de Tomar,トマール・シナゴーグ
Sound of Kuduro,サウンド・オブ・クドゥル
Motim 1-2-3,一二・三事件
Taça Ibérica,コパ・イベリカ
Inspeção-Geral das Atividades Culturais,文化活動監察機構
Estrada europeia 801,E801号線
Mosteiro de Tibães,ティバエス修道院
Religião em Portugal,ポルトガルの宗教
Mocidade Portuguesa,ポルトガル青年団
Teleférico Funchal-Monte,フンシャルケーブルカー
Oratory,オラトリー
Tapada Nacional de Mafra,マフラの王家の建物‐宮殿、バシリカ、修道院、セルク庭園、狩猟公園（タパダ）
Parque Natural do Alvão,アルヴァオン自然公園
Livraria Lello,レロ書店
Lista de futebolistas do Sport Lisboa e Benfica,SLベンフィカの選手一覧
Batalha das Berlengas (1666),ベルレンガ島の戦い・(1666年)
Palácio da Bemposta,ベンポスタ宮殿
Estádio da Luz,エスタディオ・ダ・ルス
Ladies Open of Portugal,ポルトガル女子オープン
Horário de verão em Portugal,ポルトガル時間
Túmulo do Soldado Desconhecido (Portugal),無名戦士の墓・(ポルトガル)
