반기문,潘基文
조은지,チョ・ウンジ
김성수,金性洙
문소리,ムン・ソリ
토니 안,トニー・アン
브룩 애슐리,ブルック・アシュレイ
임수경,林秀卿
류지혜,柳智惠
김혜수,キム・ヘス
양학선,梁鶴善
이태규,李泰圭
김범수,キム・ボムス
이승철,イ・スンチョル
장재인,張才人
아웃사이더,Outsider
김남일,金南一
최홍희,崔泓熙
한덕수,韓悳洙
한승수,韓昇洙
정운찬,鄭雲燦
정일권,丁一権
정성룡,鄭成龍
김정우,金正友
류현진,柳賢振
이승엽,李承燁
나아름,羅アルム
오정희,呉貞姫
유미리,柳美里
염기훈,廉基勳
이종원,イ・ジョンウォン
임시완,任時完
안용준,アン・ヨンジュン
고은아,コ・ウナ
환희,ファニ
장미란,張美蘭
허석호,ホ・ソクホ
이명세,李明世
류승완,リュ・スンワン
장선우,チャン・ソヌ
짐 리,ジム・リー
설기현,薛琦鉉
정조국,鄭助國
박기동,朴基棟
양태영,梁泰栄
김동현,金東炫
노신영,盧信永
박성호,朴成鎬
여효진,余孝珍
정용대,鄭容臺
정재헌,鄭載憲
문주원,文周元
조성환,趙晟桓
원세훈,元世勳
문대성,文大成
세븐,SE7EN
김동진,金東進
백진희,ペク・ジニ
박주영,朴主永
최홍만,チェ・ホンマン
프란체스카 도너,フランチェスカ・ドナー
이규원,李奎遠
신동혁,申東赫
김소현,キム・ソヒョン
전희철,全希哲
이소연,李素妍
봉태규,ポン・テギュ
정찬,チョン・チャン
김소형,キム・ソヒョン
최태원,崔泰源
유호정,ユ・ホジョン
박주호,朴柱昊
장경진,張敬珍
김기덕,キム・ギドク
박정혜,朴炡慧
김근철,金根哲
석현준,石鉉俊
김구,金九
이청용,李菁龍
배연주,裵延姝
김동준,キム・ドンジュン
서준영,ソ・ジュニョン
황광희,ファン・グァンヒ
장택상,張沢相
현빈,ヒョンビン
유승민,柳承敏
구자철,具滋哲
허정무,許丁茂
조용형,趙容亨
지동원,池東沅
이상천,サング・リー
이병헌,イ・ビョンホン
고아라,Ara
김재성,金在成
이승렬,李昇烈
강민수,姜敏壽
고수,コ・ス
김인섭,金仁燮
신아람,申雅嵐
박미영,朴美英
한혜진,ハン・ヘジン
김희철,キム・ヒチョル
이광선,李光善
손예진,ソン・イェジン
강동희,姜東熙
태민,テミン
모태범,牟太釩
진종오,秦鐘午
신현확,申鉉碻
양영자,梁英子
김보경,金甫炅
전미라,田美螺
서태지,ソ・テジ
이은실,李恩實
석은미,桑亚婵
다나,ダナ
리웨이펑,李瑋鋒
기보배,キ・ボベ
김무영,JUNO
이종욱,李鍾郁
신경숙,申京淑
노회찬,魯会燦
배영수,ペ英洙
조용기,趙鏞基
원수연,元秀蓮
황우석,黄禹錫
송종국,宋鐘國
순정황후,純貞孝皇后
유오성,ユ・オソン
성훈,ソンフン
오범석,呉範錫
제임스 기선 리,ジェームズ・キーソン・リー
조호성,趙浩成
효민,ヒョミン
박세리,朴セリ
탁재인,タク・ジェイン
이경원,李敬元
이효정,李孝貞
이휘향,イ・フィヒャン
문근영,ムン・グニョン
손담비,ソン・ダムビ
윤이상,尹伊桑
동해,ドンヘ
함은정,ハム・ウンジョン
김영하,金英夏
한수안,韓水安
홍세화,洪世和
조인성,チョ・インソン
이준기,イ・ジュンギ
박근혜,朴槿恵
김형일,金亨鎰
박광태,朴光泰
손기정,孫基禎
최동원,崔東原
이제훈,イ・ジェフン
이수철,イ・スチョル
김범,キム・ボム
이정수,李正秀
김규식,金奎植
김동원,キム・ドンウォン
이문열,李文烈
빅토르 안,安賢洙
김태호,金台鎬
하리수,ハ・リス
강영훈,姜英勲
정재영,チョン・ジェヨン
김영광,金永光
양준혁,梁埈赫
고젠카,呉善花
전여옥,田麗玉
장훈,張本勲
정성하,チョン・ソンハ
고건,高建
이한열,李韓烈
백두진,白斗鎮
김두현,金斗炫
이종범,李鍾範
유연성,柳延星
변영태,卞栄泰
태양,SOL
조승우,チョ・スンウ
이민정,イ・ミンジョン
안익태,安益泰
조수혁,趙秀赫
이원근,イ・ウォングン
전도연,チョン・ドヨン
이경환,李京煥
방수현,方銖賢
강타,Kangta
려욱,リョウク
민호,ミンホ
하쿠 신쿤,白眞勲
윤정희,ユン・ジョンヒ
성선임,ソニン
김연경,キム・ヨンギョン
이정현,イ・ジョンヒョン
김희선,キム・ヒソン
수지,ペ・スジ
조정석,チョ・ジョンソク
김윤혜,キム・ユネ
신민아,シン・ミナ
김태희,キム・テヒ
이승엽,李　承燁
김소연,キム・ソヨン
박완서,朴婉緒
나혜석,羅ケイ錫
김민정,金ミン貞
김사랑,キム・サラン
전재연,全在娟
신동,シンドン
강인,カンイン
박중훈,パク・チュンフン
차민수,車敏洙
전민희,チョン・ミンヒ
이상훈,李尚勲
이홍구,李洪九
최강창민,チャンミン
성지현,成池鉉
임수정,イム・スジョン
배두나,ペ・ドゥナ
고성현,高成炫
허정,許政
강철환,姜哲煥
하야카와 렌,早川漣
이충희,李忠煕
정주영,鄭周永
장동건,チャン・ドンゴン
찬성,チャンソン
이소연,イ・ソヨン
효린,ヒョリン
박현빈,パク・ヒョンビン
고소영,コ・ソヨン
윤영선,尹永善
성서 초등학생 실종 사건,城西小学生失踪事件
권영길,権永吉
신성모,申性模
사재혁,史載赫
윤아,ユナ
양용은,梁容銀
이우환,李禹煥
이중문,イ・ジュンムン
아마드 엘리치,アーマド・エルリッチ
이후락,李厚洛
김웅용,キム・ウンヨン
황영조,黄永祚
주세혁,朱世赫
이혜천,李恵践
조재진,曺宰溱
황선홍,黄善洪
김소은,キム・ソウン
한가인,ハン・ガイン
거룡,ドラゴン・リー
박하선,パク・ハソン
유현목,ユ・ヒョンモク
이용대,李龍大
유창순,劉彰順
최시원,チェ・シウォン
박신양,パク・シニャン
송요찬,宋堯讃
장도영,張都暎
육영수,陸英修
성시경,ソン・シギョン
정경화,チョン・キョンファ
류시원,リュ・シウォン
안재형,安宰亨
안상수 (디자이너),安尙秀
안성기,アン・ソンギ
설리,ソルリ
이회창,李会昌
홍리나,ホン・リナ
박종호,朴鍾皓
장성호,張盛好
김태균,金泰均
조경철,趙慶哲
정수근,鄭守根
진은숙,陳銀淑
엄정화,オム・ジョンファ
이순옥,リ・スンオク
박영희,ヨンギー・パクパーン
유리,ユリ
최용수,崔龍洙
독고영재,トッコ・ヨンジェ
김동진,金東進
김승옥,金承鈺
김완섭,金完燮
공지영,孔枝泳
차승 백,白嗟承
최진철,崔眞喆
김진규,金珍圭
송유근,ソン・ユグン
박소희,朴素熙
왕기춘,王己春
김남길,キム・ナムギル
신익희,申翼煕
김수학,金秀学
김성문,金成文
엘,エル
김상규,金相圭
VERBAL,VERBAL
이나영,イ・ナヨン
김수현,キム・スヒョン
손연재,孫延在
김윤옥,金潤玉
유빈,ユビン
대니얼 대 킴,ダニエル・デイ・キム
김도훈,金度勲
정형돈,チョン・ヒョンドン
김건모,キム・ゴンモ
정준하,チョン・ジュナ
곽태휘,郭泰輝
남궁민,ナムグン・ミン
승리,V.I
박영석,朴英碩
한학자,韓鶴子
이은별,イ・ウンビョル
김기희,金基熙
박석진,朴石鎮
박용하,パク・ヨンハ
박진영,パク・ジニョン
장혁,チャン・ヒョク
장자연,チャン・ジャヨン
오상은,呉尚垠
전태일,全泰壱
함석헌,咸錫憲
권양숙,権良淑
예성,イェソン
은혁,ウニョク
최희섭,崔煕渉
김준수,ジュンス
선동열,宣銅烈
윤치영,尹致暎
임요환,イム・ヨファン
안한봉,安漢奉
박유천,ユチョン
김한수,金翰秀
김수근,金壽根
이원희,李元熹
김동완,キム・ドンワン
김창수,金昌洙
황진우,ファン・ジヌ
조귀재,曺貴裁
이철승,李哲承
장준하,張俊河
정원식,鄭元植
김영주,金永珠
남태희,南泰煕
백윤식,ペク・ユンシク
김종국,キム・ジョングク
이상은,Lee-tzsche
문선명,文鮮明
이루마,イルマ
이준,イ・ジュン
이종수,イ・ジョンス
배수빈,ペ・スビン
윤소이,ユン・ソイ
견미리,キョン・ミリ
클라라,クララ
최광현,崔光賢
김복래,金福莱
박병철,朴炳徹
김용대,金龍大
권상우,クォン・サンウ
엄태웅,オム・テウン
박한별,パク・ハンビョル
곽민정,郭珉整
이은주,イ・ウンジュ
심권호,沈権虎
홍성흔,洪性炘
장우혁,チャン・ウヒョク
옥현진,玉賢進
Soyoung Yoon,ヨン・ソヨン
곽경택,クァク・キョンテク
세바스티얀 치미로티치,セバスティアン・ツィミロティッチ
신승찬,申昇瓚
임상수,イム・サンス
김효진,キム・ヒョジン
이순재,イ・スンジェ
김종민,キム・ジョンミン
한송이,ハン・ソンイ
한예슬,ハン・イェスル
정정연,鄭貞娟
황민우,ファン・ミヌ
황대성,黄大城
박정수,朴庭秀
윤손하,ユンソナ
오달수,オ・ダルス
변희봉,ピョン・ヒボン
허경민,許敬民
황도연 (축구 선수),黄渡然
지연,ジヨン
이승기,イ・スンギ
류제국,柳済国
택연,テギョン
이관우,李官雨
홍준표,洪準杓
홍정욱,洪政旭
홍순영,洪淳瑛
홍순학,洪淳學
박지빈,パク・チビン
지한재,池漢載
김덕현,金徳現
노금석,盧今錫
김윤경,キム・ユンギョン
김희정 (1970년),キム・ヒジョン
김영애,キム・ヨンエ
김리나 (1985년),キム・リナ
인순이,インスニ
지인진,池仁珍
김기범,キム・キボム
로버트 콘스웨이트,ロバート・コーンスウェイト
유리아,キム・ジュリ
엄홍길,厳弘吉
문형인,ムン・ヒョンイン
박유향,詩音
김동찬,金東燦
배익환,ペ・イクファン
이승헌 (1950년),李承憲
김효진,金孝珍
김석류,金碩榴
김동화,金童話
정선용,鄭善溶
신현송,ヒュン・ソン・シン
현재현,玄在賢
현인택,玄仁沢
정수영 (1982년),チョン・スヨン
정성환,チョン・ソンファン
정영숙,鄭永琡
정애리,チョン・エリ
박용호,朴容昊
신태용,申台龍
김치곤,金致坤
안소희,ソヒ
예은,イェウン
선예,ソネ
김혜옥,キム・へオク
김보라 (1995년),キム・ボラ
김선경 (1968년),キム・ソンギョン
유영철,ソウル20人連続殺人事件
기태영,キ・テヨン
정태우,チョン・テウ
한유미,ハン・ユミ
김사니,キム・サニ
황연주,ファン・ヨンジュ
최성용,崔成勇
한재석,ハン・ジェソク
장효조,張孝祚
장현규,張鉉奎
장준환,張駿桓
장정 (축구인),張政
고아성,コ・アソン
김하늘,キム・ハヌル
임수정,イム・スジョン
김기복,金基福
황예슬,黄藝瑟
정다운,丁多雲
노경선,魯キョン宣
아이비,アイビー (歌手)
정준 (배우),チョン・ジュン
황정오,黄正五
정다혜,チョン・ダヘ
정다빈,チョン・ダビン
정선경,チョン・ソンギョン
변우민,ピョン・ウミン
차현정,チャ・ヒョンジョン
차예련,チャ・イェリョン
차화연,チャ・ファヨン
김창숙 (배우),キム・チャンスク
김성은 (1983년),キム・サンウン
김위찬,W・チャン・キム
CL,CL
강호동,カン・ホドン
이은철,李銀哲
김경옥,金京玉
김잔디,金珍迪
마재윤,マ・ジェユン
홍진호,洪榛浩
박지은,グレース朴
장윤정,チャン・ユンジョン (MC)
오만석,オ・マンソク
김문수,金文洙
하승진,河昇鎭
이재룡,イ・ジェリョン
장민혁,チャン・ミニョク
장석원,張碩元
장용,チャン・ヨン
현숙희,玄淑姫
곽대성,郭大成
허승표,許承杓
유건,ユゴン
공민지,コン・ミンジ
남상미,ナム・サンミ
서동원,徐東源
차태현,チャ・テヒョン
이재원,イ・ジェウォン
주현정,朱賢貞
차동민,車東旻
김택수,金擇洙
반효정,パン・ヒョジョン
전재홍,チョン・ジェホン
김현석,金鉉錫
임유환,林裕煥
박성백,朴晟伯
김동윤,キム・ドンユン
김유미,キム・ユミ
김지영,キム・ジヨン
이봉주,李鳳柱
우범곤,禹範坤
양효진,ヤン・ヒョジン
이민성,李敏成
재희,ジェヒ
이자스민,イ・ジャスミン
송민영,ジェニファー・ソン
이상우,イ・サンウ
이기우,イ・ギウ
정유미,チョン・ユミ
김준연,金俊淵
김가연,キム・ガヨン
김유석,キム・ユソク
정재은,チョン・ジェウン
정재헌,チョン・ジェホン
최용수,崔龍洙
서정원,徐正源
이규혁,李奎爀
김형준,キム・ヒョンジュン
박건하,朴建夏
백아연,ペク・アヨン
윤보미,ユン・ボミ
박경림,パク・キョンリム
김태우,キム・テウ
나훈아,羅勲児
안조영,安祚永
박정상,朴正祥
이재석,李在石
박지은,朴鋕恩
정세현,丁世鉉
정성훈 (1979년),丁成勳
정승조 (1953년),鄭承兆
채상우,チェ・サンウ
마시에우 루이스 프랑쿠,マシエウ・ルイス・フランコ
추소영,チュ・ソヨン
기섭,キソプ
하야카와 나미,早川浪
이수만,李秀満
당예서,唐汭序
설수진,ソル・スジン
로프 란스베르헌,ロブ・ランズベルヘン
징거,チョン・ハナ
신홍기,辛弘基
윤일록,尹日録
앙드레 김,アンドレ・キム
소유진,ソ・ユジン
소이현,ソ・イヒョン
김시후,キム・シフ
송지은,ソン・ジウン
김나영,金羅英
Key,キー
이범영,李範永
신병호,申秉皓
김영기,金永基
박종진,朴宗眞
제갈성렬,諸葛成烈
문성길,文成吉
신화용,申和容
조치훈,趙治勲
김기수,金基洙
박형식,パク・ヒョンシク
신다은,シン・ダウン
현우성,ヒョン・ウソン
서인영,ソ・イニョン
남현희,南賢喜
이기영,イ・ギヨン
장영남,チャン・ヨンナム
손갑도,孫甲道
조은숙,チョ・ウンスク
조연우,チョ・ヨヌ
조상기,チョ・サンギ
조안,チョ・アン
유자명,柳子明
유인영,ユ・イニョン
장광,チャン・グァン
임소영,イム・ソヨン
임지규,イム・ジギュ
주원,チュウォン
연우진,ヨン・ウジン
노정윤,盧廷潤
현영민,玄泳民
백건우,白建宇
남녀공학,男女共学
정종수,チョン・ジョンス
김보경,金輔炅
신지,シンジ
이진욱,イ・ジヌク
송영길,宋永吉
JOO,ジュ
이숙자,イ・スクジャ
이해리,イ・ヘリ
이한동,李漢東
이근안,李根安
이창민,イ・チャンミン
박인비,朴仁妃
추자현,チュ・ジャヒョン
우희진,ウ・ヒジン
조민수,チョ・ミンス
백설희,ペク・ソリ
조관우,チョ・グァヌ
조성희,チョ・ソンヒ
홍유경,ホン・ユギョン
홍여진,ホン・ヨジン
홍지민,ホン・ジミン
박미현,朴美現
심형탁,シム・ヒョンタク
문희정,ムン・ヒジョン
김지원,キム・ジウォン
오주한,呉走韓
홍철,洪喆
박신혜,パク・シネ
데릭 아사모아,デレク・アサモア
김현수,金鉉洙
김민우,金民友
임혁,イム・ヒョク
바다,Bada
이상엽,イ・サンヨプ
임성민 (1969년),林性旼
임지은,イム・ジウン
이현우,イ・ヒョヌ
이잎새,イ・イプセ
마동석,マ・ドンソク
김동희,金東熙
박정수,パク・チョンス
이승우,李承雨
이용,李鏞
노선영,盧善英
윤증현,尹増鉉
고우영,高羽栄
심지호,シム・ジホ
지수원,チ・スウォン
황금희,ファン・グミ
하찬석,河燦錫
김슬기,キム・スルギ
박용우,パク・ヨンウ
조현정 (성우),チョ・ヒョンジョン
조현주,趙賢珠
유인탁,柳寅卓
자니 윤,ジョニー・ユン
김종덕,金鍾徳
박종화,パク・ジョンファ
박종수,朴鐘水
양정아,ヤン・ジョンア
박슬기 (방송인),パク・スルギ
박희태,朴熺太
박탐희,パク・タミ
박해미,パク・ヘミ
박정숙,パク・チョンスク
박정철,パク・ジョンチョル
권해효,クォン・ヘヒョ
권율,クォン・ユル
권오중,クォン・オジュン
이다윗,イ・ダウィ
정한용,チョン・ハニョン
김혜진,キム・ヘジン
전형필,全鎣弼
고경표,コ・ギョンピョ
강동호,カン・ドンホ
문성근,文盛瑾
최정윤,チェ・ジョンユン
데니 안,デニー・アン
이미연,イ・ミヨン
송강호,ソン・ガンホ
윤기숙,尹基淑
윤영선,尹暎善
정이현,鄭梨賢
정다훤,鄭多煊
정대선,鄭大善
정은궐,チョン・ウングォル
박시은,パク・シウン
박소현,パク・ソヒョン
박진희,パク・チニ
박진성,パク・チンソン
박상면,パク・サンミョン
김다울,キム・ダウル
유상철,柳想鐵
최길수,チェ・ギルス
유니,U;Nee
김태영,金泰泳
허이재,ホ・イジェ
홍혜경,洪恵卿
이태성,イ・テソン
송옥숙,ソン・オクスク
김현수,金鉉洙
노승열,盧承烈
박주봉,朴柱奉
알렉스 플랜트,アレックス・プランテ
차수연,チャ・スヨン
주주 장,ジュジュ・チャン
김준성,キム・ジュンソン
김희애,キム・ヒエ
민효린,ミン・ヒョリン
이호진,李鎬鎮
정승혜,ジャング・スンホン・ウネ
정수빈,鄭秀彬
정경호,チョン・ギョンホ
정찬성,ジョン・チャンソン
김성희,キム・ソンヒ
이승기,李承キ
엄지원,オム・ジウォン
성병숙,ソン・ビョンスク
장현성,チャン・ヒョンソン
연미주,ヨン・ミジュ
양익준,ヤン・イクチュン
이은,イ・ウン
이지현,イ・ジヒョン
박철수,パク・チョルス
다닐루 몬테시누 네쿠,ダニーロ・ネコ
김태식,キム・テシク
김무영,金無英
주성하,チュ・ソンハ
하석주,河錫舟
박준형,パク・ジュンヒョン
최란,チェ・ラン (女優)
최지나,チェ・ジナ
최두선,崔斗善
방은희,パン・ウニ
문지윤,ムン・ジユン
정욱 (1938년),チョン・ウク
강성훈,カン・ソンフン
이태란,イ・テラン
이선희,イ・ソニ
최종환,チェ・ジョンファン
김유석,金裕錫
서도호,ス・ドホ
이준석,李俊錫
정해성,鄭海成
정인,ジョンイン
김소영,金昭映
정성일,チョン・ソンイル
박정태,パクチョンテ
정영식 (동음이의),鄭栄植
정영문,鄭泳文
이범석,李範奭
김해숙,キム・ヘスク
조윤정,趙倫貞
이을용,李乙容
곽재용,クァク・ジェヨン
조훈현,曺薫鉉
이시언,イ・シオン
이민영,イ・ミニョン
조민호,曹敏顥
최규석,チェ・ギュソク
최열,チェ・ヨル
김동현,金東ヒョン
장동직,チャン・ドンジク
경수진,キョン・スジン
인재근,印在謹
황선희,ファン・ソニ
조정권,趙鼎権
이혜숙,イ・ヘスク
이은성,イ・ウンソン
이효춘,イ・ヒョチュン
이규한 (배우),イ・ギュハン
김민교,キム・ミンギョ
이재황,イ・ジェファン
이유비,イ・ユビ
이정재,李丁載
박재정,パク・チェジョン
심혜진,シム・ヘジン
심은경,シム・ウンギョン
김동현,キム・ドンヒョン
브락 라던스키,ブロック・ラドゥンスキ
브라이언 영,ブライアン・ヤング
이효정,イ・ヒョジョン
김유빈,キム・ユビン
윤주희,ユン・ジュヒ
민지아,ミン・ジア
최솔규,催率圭
송선미,ソン・ソンミ
송용태,ソン・ヨンテ
송재림,ソン・ジェリム
안서현,アン・ソヒョン
황동혁,ファン・ドンヒョク
황지우,黄芝雨
신현수,シン・ヒョンス
임동권,任東権
이지영,李知映
김지운,キム・ジウン
이응로,李應魯
종현,ジョンヒョン
김성환 (만화가),金星煥
김원중,金 元中
김원룡,金元龍
김용환,金龍渙
박근형,パク・クニョン
박충훈,朴忠勲
박원숙,パク・ウォンスク
공현주,コン・ヒョンジュ
공형진,コン・ヒョンジン
강은경 (방송작가),カン・ウンギョン
강래연,カン・レヨン
김덕수,キム・ドクス
김인중,キム・インジョン
김한성,金 澣成
김장수,金章洙
김아영,キム・アヨン
김보연,キム・ボヨン
김봉수,金奉洙
김애란 (작가),金愛爛
강용석,康容碩
임방울,林芳蔚
임현규,イム・ヒョンギュ
박유환,パク・ユファン
강수일,姜修一
윤현숙,ユン・ヒョンスク
윤해영 (배우),ユン・ヘヨン
윤동환,ユン・ドンファン
윤정희,ユン・ジョンヒ
김남순,金南順
이재혁,李在赫
정겨운,チョン・ギョウン
김성길,金聖吉
스티븐 연,スティーヴン・ユァン
붐,Boom
김동문,金東文
의민태자,李垠
소연,ソヨン
박효신,パク・ヒョシン
전규환,チョン・ギュファン
최성준,チェ・ソンジュン
진민섭,陳敏燮
조영욱,チョ・ヨンウク
정유석,チョン・ユソク
왕희경,王喜敬
이경근,李璟根
박호성,ホスン・パク
강경옥 (만화가),姜敬玉
강경화,康京和
강만수,カン・マンス
강승현,カン・スンヒョン
윤계상,ユン・ゲサン
박희순,パク・ヒスン
소지섭,ソ・ジソブ
김정무,金　廷武
김기성,キム・ギソン
김국영,金国栄
김경태,金 慶泰
김미정,金美廷
박혜림,ヘリム・パク
홍상수,ホン・サンス
여운홍,呂運弘
오건우,オ・ゴヌ
오현경 (1970년),オ・ヒョンギョン
오지은,オ・ジウン
강준우,カン・ジュンウ
강진욱,姜珍旭
용감한 형제,ブレイブ・ブラザーズ
강덕수,姜徳寿
강효일,姜曉一
강형철,カン・ヒョンチョル
강효실,カン・ヒョシル
Jun. K,Jun.K
임치빈,イム・チビン
이홍기,イ・ホンギ
홍인영,ホン・イニョン
이창호,李昌鎬
테이,テイ
지만원,池萬元
김성집,金晟集
전혜진,チョン・ヘジン
전원주,チョン・ウォンジュ
문준영,ムン・ジュンヨン
임병기,イム・ビョンギ
임영신,任永信
송일국,ソン・イルグク
박정민,パク・ジョンミン
장예나,張藝娜
강민경,カン・ミンギョン
강찬희,カン・チャニ
강성민 (배우),カン・ソンミン
윤아정,ユン・アジョン
윤세아,ユン・セア
우정은,ウ・ジョンウン
송지나,ソン・ジナ
송지선,ソン・ジソン
송은이,ソン・ウニ
최민식,チェ・ミンシク
김민수,キム・ミンス
조광래,趙広来
엄혜원,厳恵媛
선우휘,鮮于煇
임예진,イム・イェジン
BMK,BMK (歌手)
미나,シム・ミナ
이연희,イ・ヨニ
정다빈,チョン・ダビン
김위만,金位漫
박영호,朴永浩
조유진,Youjeen
박경환,朴景晥
이종민,李鍾民
문제천,文濟天
이호원,イ・ホウォン
이현세,李賢世
이정범,イ・ジョンボム (映画監督)
이권재,李 權宰
노재현,盧載鉉
노재봉,盧在鳳
변정수,ピョン・ジョンス
유연지,ユ・ヨンジ
김미현,金美賢
김황정,金晃正
안선진,安鮮鎮
김상우,金尚佑
장희진,チャン・ヒジン
넬슨 신,ネルソン・シン
정재성,鄭在成
김흥수,金興洙
권오규,權五奎
양지원,ヤン・ジウォン
이돈구,イ・ドンク
오승현,オ・スンヒョン
오대규,オ・デギュ
오재무,オ・ジェム
오이나,ソン・イナ
강성연,カン・ソンヨン
강지섭,カン・ジソプ
강부자,カン・ブジャ
강신일,カン・シニル
안내상,アン・ネサン
오민근,呉民根
오교문,呉教文
지은희,ジ・ウンヒ
지영준,池永駿
신해철,申海チョル
김남주,キム・ナムジュ
정경호,鄭暻鎬
김종희,金鍾喜
김철원,金喆元
김다빈,金東煜
김다솔,金ダソル
안연홍,アン・ヨノン
안재모,アン・ジェモ
안선영,アン・ソニョン
김그림,キム・グリム
김고은,キム・ゴウン
공효진,コン・ヒョジン
신혜성,シン・ヘソン
김민희,キム・ミニ
천정명,チョン・ジョンミョン
김대호 (1988년),金大虎
김대진 (배우),キム・デジン
김봉수,金奉洙
김병주,金炳周
김춘수,金春洙
김찬희,金燦喜
이경해,李京海
이상수,李尚洙
임유종,イム・ユジョン
신백철,申白喆
최용술,崔龍述
최영진,崔英鎮
이철승,李哲承
김광선,金光善
김종신,金鍾信
은희경,殷熙耕
린아,イ・ジヨン
문지희,文ジヒ
박칠성,朴七成
박재규,朴在圭
박성준,パク・ソンジュン
박기정,パク・キジョン
박우상,パク・ウサン
김나영,金誽永
이재윤,イ・ジェユン
정은우,チョン・ウヌ
황석영,黄皙暎
김무생,キム・ムセン
송지효,ソン・ジヒョ
장효희,チャン・ヒョヒ
김동기,金東期
김동길,金東吉
김두관,金斗官
김이나,キム・イナ
김은정,金恩貞
예지원,イェ・ジウォン
서현진,ソ・ヒョンジン
류환길,柳煥吉
