Douglas Adams,더글러스 애덤스
Rachel Yankey,레이철 양키
Chris Patten,크리스 패튼
Ikechi Anya,이케치 안야
Ryan Fraser,라이언 프레이저
V. S. Naipaul,V. S. 나이폴
Orlando Bloom,올랜도 블룸
Richard Dawkins,리처드 도킨스
John Surtees,존 서티스
Jackie Stewart,재키 스튜어트
Angus Young,앵거스 영
Jack the Ripper,잭 더 리퍼
Stephen Merchant,스티븐 머천트
Steph Houghton,스테프 호턴
Fara Williams,패라 윌리엄스
Karen Carney,캐런 카니
Elizabeth Taylor,엘리자베스 테일러
Alan Carr,앨런 카
Agatha Christie,애거사 크리스티
Sue Black,수 블랙
Elton John,엘튼 존
Ricky Gervais,리키 저베이스
Rowan Atkinson,로언 앳킨슨
Toni Duggan,토니 더건
Jill Scott,질 스콧
Eniola Aluko,에니올라 알루코
Victoria Beckham,빅토리아 베컴
J. K. Rowling,J. K. 롤링
Ellen White,엘런 토니 화이트
Rachel Williams,레이철 윌리엄스
Adele,아델
Hubert Clifford,휴버트 클리퍼드
Rudyard Kipling,러디어드 키플링
John Farnham,존 파넘
Ebenezer Howard,에버니저 하워드
Christian Bale,크리스천 베일
Jim Clark,짐 클라크
Ivo Lapenna,이보 라페나
"Robert Baden-Powell, 1st Baron Baden-Powell",로버트 베이든 파월
Uri Geller,유리 겔러
Fit Finlay,데이브 핀레이
Amy Johnson,에이미 존슨
Graham Hill,그레이엄 힐
Eric Hobsbawm,에릭 홉스봄
Mike Oldfield,마이크 올드필드
Andrew Garfield,앤드루 가필드
George Harrison,조지 해리슨
Brian Cox,브라이언 콕스
Faye White,페이 화이트
Katie Chapman,케이티 채프먼
Patrick Jenkin,패트릭 젱킨
Denis Thatcher,데니스 대처
D. H. Lawrence,D. H. 로렌스
John Cale,존 케일
William Auld,윌리엄 올드
John C. Wells,존 C. 웰스
Frances Fisher,프랜시스 피셔
Acker Bilk,애커 빌크
Paul Scholes,폴 스콜스
"William, Prince of Wales",웨일스 공 윌리엄
Victor Sadler,빅터 새들러
Paul Gascoigne,폴 개스코인
Clive Dunn,클라이브 던
David Mattingly,데이비드 매팅리
Paul Johnson,폴 존슨
Alex Ferguson,알렉스 퍼거슨
Jessica Ennis-Hill,제시카 에니스
Robert Cecil,로버트 세실
Jane Hillston,제인 힐스턴
Eric Burdon,에릭 버든
Kylie Minogue,카일리 미노그
Sean Connery,숀 코너리
Terry Pratchett,테리 프래쳇
Tinie Tempah,타이니 템파
Roald Dahl,로알드 달
John Cleese,존 클리즈
Arthur Conan Doyle,아서 코넌 도일
Lesley Garrett,레슬리 개릿
Lyndsey Marshal,린지 마셜
John McAfee,존 맥아피
Michael Cates,마이클 케이츠
Marcus Mumford,마커스 멈퍼드
Robert Pattinson,로버트 패틴슨
Terry Gilliam,테리 길리엄
Eddie Marsan,에디 마산
Ashley Long,애슐리 롱
Alicia Rhodes,얼리샤 로즈
Ursula Martin,어설라 마틴
Calum Chambers,칼럼 챔버스
Cozy Powell,코지 파월
Roy Budd,로이 버드
Freddie Mercury,프레디 머큐리
Robert Bolt,로버트 볼트
Bernard Katz,버나드 카츠
Daniel Tammet,대니얼 태멋
Humphrey Tonkin,험프리 톤킨
Daniel Craig,대니얼 크레이그
Alexander Fleming,알렉산더 플레밍
Alan Turing,앨런 튜링
Steven Caulker,스티븐 코커
J. J. Thomson,조지프 존 톰슨
David Bowie,데이비드 보위
Daniel Radcliffe,대니얼 래드클리프
Aaron Taylor-Johnson,에런 존슨
Ernest Lewis,어니스트 루이스
Alice Everett,앨리스 에버렛
Shaun Maloney,숀 말로니
Brian May,브라이언 메이
Willoughby Hamilton,윌러비 해밀턴
Pete Townshend,피트 타운젠드
Christopher Nolan,크리스토퍼 놀런
Henry McMahon,헨리 맥마흔
George Orwell,조지 오웰
Jack Wilshere,잭 윌셔
Ed Sheeran,에드 시런
Gordon Ramsay,고든 램지
Graeme Sharp,그레엄 샤프
Graham Chapman,그레이엄 채프먼
Hannah Harper,한나 하퍼
Jack Hawkins,잭 호킨스
Sarah Thomas,세라 토머스
T. S. Eliot,T. S. 엘리엇
Lucy Griffiths,루시 그피리스
Richard Laurence Millington Synge,리처드 싱
Kathleen Lonsdale,캐슬린 론즈데일
Jonny Lee Miller,조니 리 밀러
Winston Churchill,윈스턴 처칠
Gaël Bigirimana,가엘 비지리마나
Justin Welby,저스틴 웰비
Mervyn Peake,머빈 피크
Roger Taylor,로저 테일러
Alfred Hitchcock,앨프리드 히치콕
Margaret Thatcher,마거릿 대처
Amy Winehouse,에이미 와인하우스
Paul Dirac,폴 디랙
Christopher Hitchens,크리스토퍼 히친스
Rosalind Franklin,로절린드 프랭클린
Myleene Klass,마일린 클라스
Labrinth,래브린스
Julia King,줄리아 킹
John Barrowman,존 배로먼
Michael Hunter,마이클 헌터
Michael Craig-Martin,마이클 크레이그 마틴
Archer John Porter Martin,아처 마틴
W. D. Hamilton,윌리엄 도널드 해밀턴
Catherine Zeta-Jones,캐서린 제타 존스
Cyril Norman Hinshelwood,시릴 노먼 힌셜우드
Pip Pirrup,핍
Gerald du Maurier,제럴드 듀모리에
Toby Stephens,토비 스티븐스
"Andrew Cunningham, 1st Viscount Cunningham of Hyndhope",앤드루 커닝엄
Jonathan Ross,조너선 로스
Claire Forlani,클레어 폴러니
Arthur C. Clarke,아서 C. 클라크
Gary Lineker,게리 리네커
Kate Richardson-Walsh,케이트 리처드슨월시
Beth Storry,베스 스토리
Rupert Wyatt,루퍼트 와이엇
Hugh Laurie,휴 로리
Nick Davis,닉 데이비스
Jamie Carragher,제이미 캐러거
Amy Macdonald,에이미 맥도널드
Desmond Hume,데즈먼드 흄
Daniel Faraday,다니엘 파라데이
Daphne Oram,다프네 오람
Rebecca Adlington,리베카 애들링턴
"Harold Alexander, 1st Earl Alexander of Tunis",해럴드 알렉산더
Adam Morgan,애덤 모건
Lisa Stansfield,리사 스탠스필드
Barbara Cartland,바바라 카틀랜드
Emma Watson,엠마 왓슨
Robert Robinson,로버트 로빈슨
Regina Ip,입라우숙이
Dorothy Hodgkin,도로시 호지킨
Tim Burke,팀 버크
James Prescott Joule,제임스 프레스콧 줄
David Livingstone,데이비드 리빙스턴
Marianne Faithfull,마리안 페이스풀
Dorothy Round,도러시 라운드
Rowan Williams,로완 윌리암스
Peter Brook,피터 브룩
John Maynard Keynes,존 메이너드 케인스
Eric Clapton,에릭 클랩튼
Zaha Hadid,자하 하디드
Robbie Williams,로비 윌리엄스
Sid Vicious,시드 비셔스
Melanie Brown,멜러니 브라운
C. S. Lewis,C. S. 루이스
Aleister Crowley,알레이스터 크로울리
Sienna Guillory,시에나 길러리
Bernie Ecclestone,버니 에클스턴
Tony Blair,토니 블레어
Ludwig Wittgenstein,루트비히 비트겐슈타인
Kelly Reilly,켈리 라일리
Katrina Kaiftulutulu,카트리나 카이프
Mimi Smith,미미 스미스
John Madden,존 매든
Nicolas Roeg,니컬러스 로그
John Major,존 메이저
John Chadwick,존 채드윅
Caroline Lucas,캐롤라인 루카스
Lewis Hamilton,루이스 해밀턴
Charlie Pace,찰리 페이스
Charlotte Lewis,샬럿 루이스
Charles Widmore,찰스 위드모어
Tim Curry,팀 커리
Richard Attenborough,리처드 애튼버러
Constance Tipper,콘스턴스 티퍼
Salman Khan,살만 칸
Bat Ye'or,밧 예올
Dawn French,돈 프렌치
Jonathan Williams,조너선 윌리엄스
Lily Loveless,릴리 러브리스
Alexa Chung,얼렉서 청
Teddy Sinclair,나탈리아 킬스
Petula Clark,페툴라 클라크
Siobhán Donaghy,시오반 도나히
Alan Cox,앨런 콕스
Parminder Nagra,파민더 나그라
Keeley Hazell,킬리 헤이즐
Dorothea Douglass,도로시 더글라스 램버트 챔버스
Daniel Fathers,다니엘의 아버지
David Coulthard,데이비드 쿨사드
Tom Pryce,톰 프라이스
A. Edward Sutherland,A. 에드워드 서덜랜드
A. H. Albut,알프레드 알버트
Charles Laughton,찰스 로턴
"Diana, Princess of Wales",웨일스 공작부인 다이애나
Christiane Amanpour,크리스티안 아만포
A. L. Kennedy,A. L. 케네디
Jenson Button,젠슨 버튼
Damon Hill,데이먼 힐
Maggie Smith,매기 스미스
Jack Greenwell,잭 그린웰
Kevin Ayers,케빈 에이어스
Natalie Dormer,내털리 도머
Ethel Smyth,에설 스마이스
Sandy Denny,샌디 데니
A. N. Sherwin-White,A. N. 셔윈화이트
A. E. Matthews,A. E. 매슈스
"Katharine, Duchess of Kent",켄트 공작부인 캐서린
Anthony Horowitz,앤서니 호로비츠
Matthew Pinsent,매슈 핀센트
Andy Murray,앤디 머리
Darren Fletcher,대런 플레처
Laura Marling,로라 말링
Diana Wynne Jones,다이애나 윈 존스
Amy Williams,에이미 윌리엄스
Shelley Rudman,셸리 러드먼
Edith Evans,이디스 에번스
Tony Richardson,토니 리처드슨
Sally Gunnell,살리 군넬
James Callaghan,제임스 캘러헌
Imogen Poots,이모젠 푸츠
Barbara West,바버라 웨스트
Elizabeth II,엘리자베스 2세
George VI,조지 6세
Leslie Orgel,레슬리 오겔
Ken Russell,켄 러셀
Nigel Mansell,나이절 만셀
Kelly Smith,켈리 스미스
David Beckham,데이비드 베컴
Florence Green,플로렌스 그린
Ryan Giggs,라이언 긱스
Laurence Olivier,로런스 올리비에
Edith Hannam,이디스 해넘
Alice Greene,앨리스 그린
Ken Loach,켄 로치
John Boorman,존 부어먼
Peter Greenaway,피터 그리너웨이
Michael Powell,마이클 파월
Nathan Redmond,네이선 레드먼드
John Bickerton,존 비커턴
Jack Copeland,잭 코플랜드
Syd Barrett,시드 배럿
Keeley Hawes,킬리 호스
Noah Huntley,노아 헌틀리
Evan Williams,에번 윌리엄스
Ernest Torrence,어니스트 토런스
Hans Krebs,핸스 애돌프 크레브스
Marie of Romania,에든버러의 마리아
Ridley Scott,리들리 스콧
Kenneth Branagh,케네스 브래너
Sydney Silverman,시드니 실버먼
Ron Dennis,론 데니스
Stephen Frears,스티븐 프리어스
David Lean,데이비드 린
Harry Johnston,해리 존스턴
Sadie Frost,새디 프로스트
Richard Kruse,리차드 크루제
Kenney Jones,케니 존스
"Catherine, Princess of Wales",케임브리지 공작부인 캐서린
John Schlesinger,존 슐레진저
Conor Maynard,코너 메이너드
Anita Roddick,아니타 로딕
Jacqui Smith,재키 스미스
Beryl Bainbridge,베릴 베인브리지
Hannah Spearritt,해나 스피어릿
Richard Rogers,리처드 로저스
Helen Sharman,헬렌 샤먼
Kate Nash,케이트 내시
Susan Cooper,수전 쿠퍼
Jade Ewen,제이드 유언
Sarah Waters,세라 워터스
Anita Brookner,애니타 브루크너
Christine McVie,크리스틴 맥비
Susan George,수전 조지
Elisabeth Schwarzkopf,엘리자베트 슈바르츠코프
Władysław Raczkiewicz,브와디스와프 라츠키예비츠
"Sarah, Duchess of York",요크 공작 부인 사라
Brian Friel,브라이언 프리엘
Peter Ustinov,피터 유스티노프
Liam Neeson,리엄 니슨
Katie Price,케이티 프라이스
Jem,젬
Amanda Holden,어맨다 홀든
Jane Horrocks,제인 호록스
Anna Friel,애나 프리얼
Carol V. Robinson,캐럴 V. 로빈슨
Radosław Sikorski,라도스와프 시코르스키
Ernst Chain,언스트 체인
Hugh Sykes Davies,휴 사이크스 데이비스
William Hague,윌리엄 헤이그
Michael Collins,마이클 콜린스
Ben Kingsley,벤 킹즐리
Linda Martin,린다 마틴
Roddy McDowall,로디 맥도웰
Carol Ann Duffy,캐럴 앤 더피
Carol Cleveland,캐럴 클리블랜드
Hayley Mills,헤일리 밀스
Siân Phillips,시안 필립스
Ann Clwyd,앤 클루이드
Jo Swinson,조 스윈슨
Kenneth Ferrie,케네스 페리
Skin,스킨
Christina Pickles,크리스티나 피클스
Bruce Payne,브루스 페인
Dennis Nilsen,데니스 닐슨
Alison Moyet,앨리슨 모예
Kyle Walker,카일 워커
Lionel Giles,라이어널 자일스
James McClean,제임스 매클린
Phyllida Lloyd,필리다 로이드
Williamina Fleming,윌리어미나 플레밍
Sam Brown,샘 브라운
Veronica Cartwright,베로니카 카트라이트
Karen Dotrice,캐런 도트리스
Adrian Newey,에이드리언 뉴이
Adam Lallana,애덤 랄라나
Max Born,막스 보른
Hans Eysenck,한스 아이젠크
Richard Vernon,리처드 버넌
Michael Devine,마이클 데바인
Michael Dawson,마이클 도슨
Andros Townsend,앤드로스 타운센드
Adam Smith,애덤 스미스
Nick Barmby,닉 밤비
Vernon Coaker,버넌 코커
Allan Holdsworth,앨런 홀즈워스
Samantha Bond,서맨사 본드
Samuel Ryder,새뮤얼 라이더
Raymond McCreesh,레이몬드 맥크리시
Conrad Veidt,콘라트 파이트
Minette Walters,미넷 월터스
Lily Allen,릴리 앨런
Ashley Jensen,애슐리 젠슨
Polly Walker,폴리 워커
Fiona May,피오나 마이
Mitsuko Uchida,우치다 미쓰코
Simon Pegg,사이먼 페그
Rudolf Peierls,루돌프 파이얼스
Mike Coughlan,마이크 코플란
Matt Redman,맷 레드먼
Reto Rossetti,레토 로세티
Desmond Swayne,데즈먼드 스웨인
Andre Wisdom,안드레 위즈덤
Li Ke,니코 예나리스
M. Stanley Whittingham,스탠리 휘팅엄
Dana Wynter,데이나 윈터
Marc Warren,마크 워런
John Paul Getty Jr.,존 폴 게티 주니어
Maurice Wilkes,모리스 윌크스
James H. Wilkinson,제임스 H. 윌킨슨
E. L. James,E. L. 제임스
Hermione Granger,헤르미온느 그레인저
Kenny Sansom,케니 샌섬
Danny Galbraith,대니 갤브레이스
Angus Wilson,앵거스 윌슨
Adrian Paul,에이드리언 폴
Benjamin Frankel,벤저민 프랭클
Leonard Johnston Wills,레너드 존스턴 윌스
Diana Dors,다이애나 도스
Christian Horner,크리스천 호너
Megan Prescott,메건 프레스콧
Ron Weasley,론 위즐리
Hamilton Harty,해밀턴 하티
Robert Stephenson,로버트 스티븐슨
Sophie Okonedo,소피 오코네도
Brian Aldiss,브라이언 올디스
Peter Gilmore,피터 길모어
Gemma Atkinson,제마 앳킨슨
Benny Green,베니 그린
Evelyn Glennie,에벌린 글레니
Reginald Innes Pocock,레지널드 포콕
Humza Yousaf,훔자 유사프
Erika Mann,에리카 만
Percy John Daniell,퍼시 존 다니엘
David Danskin,데이비드 댄스킨
Gary Streeter,게리 스트리터
Rory Stewart,로리 스튜어트
Aaron Lennon,에런 레넌
Gary Barlow,게리 바로우
Mel Stride,멜 스트라이드
Val McDermid,밸 맥더미드
Jane Leeves,제인 리브스
Heather Watson,헤더 왓슨
Graham Stuart,그레이엄 스튜어트
Rupert Sanders,루퍼트 샌더스
Andrew Stunell,앤드루 스터넬
Michael Hamburger,마이클 햄버거
Geoffrey Palmer,제프리 파머
Gerry Sutcliffe,제리 섯클리프
Daniel Boone,대니얼 분
Kerry Katona,케리 카토나
Peter Gabriel,피터 가브리엘
Alek Wek,알렉 웩
Jonny Greenwood,조니 그린우드
Lily Donaldson,릴리 도날슨
Fay Weldon,페이 웰던
John Cockcroft,존 콕크로프트
Lord Voldemort,볼드모트
Marie Rambert,마리 램버트
Ida Haendel,이다 헨델
Christine Keeler,크리스틴 킬러
Billy Jenkins,빌리 젱킨스
Richard Crossman,리처드 크로스먼
Marc Bolan,마크 볼란
Iain Stewart,이언 스튜어트
Andrew Musgrave,앤드루 머스그레이브
Lottie Dod,로티 도드
Margaret Drabble,"드래블, 마거릿,"
Phil Bardsley,필 바슬리
Ann Jellicoe,앤 젤리코
Birdy,버디
Anthony Hopkins,앤서니 홉킨스
Joseph Wright,조셉 라이트
Nicholas Rowe,니컬러스 로
Harry Melling,해리 멜링
Tom Courtenay,톰 코트니
Jill Ireland,질 아일랜드
Stephen Warnock,스티븐 워녹
Adam Clayton,애덤 클레이턴
Aubrey de Grey,오브리 드 그레이
Adam Johnson,애덤 존슨
Hans Singer,한스 징거
Rebecca Pidgeon,리베카 피전
David Langton,데이비드 랭턴
Janet Baker,자넷 베이커
Mary Bell,메리 벨
Tracey Emin,트레이시 에민
Jaime Murray,제이미 머리
May Whitty,메이 휘티
Emily Bergl,에밀리 버글
Jacqueline Wilson,재클린 윌슨
Victor McLaglen,빅터 매클래글렌
Sophie Turner,소피 터너
Kathleen Ferrier,캐슬린 페리어
Eliza Bennett,엘리자 베넷
Paloma Faith,팔로마 페이스
Andy Gibb,앤디 깁
Sybil Thorndike,시빌 손다이크
Ronald Allen,로널드 앨런
Philippa Gregory,필리파 그레고리
Bessie Love,베시 러브
Charles Bennett,찰스 베넷
Anthony Epstein,앤서니 엡스타인
Severus Snape,세베루스 스네이프
MyAnna Buring,뮈안나 부링
Tom Conti,톰 콘티
"Birgitte, Duchess of Gloucester",글로스터 공작부인 비아지트
Rachel Stevens,레이철 스티븐스
Rachel Kempson,레이철 켐프슨
Andrea Riseborough,앤드리아 라이즈버러
Steve Ovett,스티브 오벳
James Mirrlees,제임스 멀리스
Anne Perry,앤 페리
Lindsay Duncan,린지 덩컨
Craig Gordon,크레이그 고든
Charles Granville Bruce,찰스 그랜빌 브루스
"Charles Spencer, 9th Earl Spencer",제9대 스펜서 백작 찰스 스펜서
Daniel Chatto,대니얼 차토
Paul Reuter,파울 율리우스 로이터
Heinz London,하인츠 론돈
David Julyan,데이비드 줄리언
Lynn Fontanne,린 폰탠
Abraham Sofaer,아브라함 소페어
Eugene Simon,유진 사이먼
C. F. Powell,세실 프랭크 파월
Rubeus Hagrid,루베우스 해그리드
Ann Packer,앤 패커
Craig Ferguson,크레이그 퍼거슨
Jenny Frost,제니 프로스트
Peter Sellers,피터 셀러스
Ellen Terry,엘렌 테리
Lucie Silvas,루시 실바스
Amelle Berrabah,아멜 베레바
James Morrison,제임스 모리슨
Sean Davis,숀 데이비스
Damian Collins,데이미언 콜린스
Gregg Sulkin,그레그 설킨
Henry Hallett Dale,헨리 핼릿 데일
Thérèse Coffey,테레즈 커피
Stan Laurel,스탠 로럴
Martin Fowler,마틴 파울러
Margaret Murray,마거릿 머레이
John Flamsteed,존 플램스티드
Billy Idol,빌리 아이돌
Denis Healey,데니스 힐리
Ernest Bevin,어니스트 베빈
Donald Watson,도널드 왓슨
Irvine Welsh,어빈 웰시
Gabrielle,개브리엘
Archie Panjabi,아치 판자비
Steve Bruce,스티브 브루스
Liam Ridgewell,리엄 리지웰
Liam Fox,리엄 폭스
Antonia Fraser,앤토니아 프레이저
Geoffrey Cox,제프리 콕스
Luke Moore,루크 무어
Chris de Burgh,크리스 드 버그
Gary Numan,개리 뉴먼
E. F. Schumacher,에른스트 프리드리히 슈마허
William Joyce,윌리엄 조이스
Nigel Martyn,나이절 마틴
Yvette Cooper,이벳 쿠퍼
Hans Kornberg,한스 콘버그
Alan Johnson,앨런 존슨
John Profumo,존 프러퓨모
Lady Gabriella Windsor,레이디 가브리엘라 킹스턴
Elizabeth Hurley,엘리자베스 헐리
David Gilmour,데이비드 길모어
Tessa Sanderson,테사 샌더슨
Emma Kirkby,에마 커크비
Ingrid Pitt,잉그리드 핏
Geoffrey Howe,제프리 하우
Cecilia Colledge,세실리아 콜레지
Ken Thorne,켄 손
Stan Tracey,스탠 트레이시
Martine McCutcheon,마틴 매커친
Little Boots,리틀 부츠
Peter Shilton,피터 실턴
Mary Garden,메리 가든
Gerry Adams,게리 애덤스
Sylvia Syms,실비아 사임스
Alicia Markova,얼리샤 마코바
Paul Bettany,폴 베타니
W. H. Auden,W. H. 오든
John Prescott,존 프레스콧
Oswald Mosley,오즈왈드 모즐리
Siouxsie Sioux,수지 수
"Marie-Chantal, Crown Princess of Greece",마리샹탈 밀러
"Charles Spencer-Churchill, 9th Duke of Marlborough",제9대 말버러 공작 찰스 스펜서처칠
Madeleine Carroll,매들린 캐럴
Sandy Powell,샌디 파월
James Reid,제임스 리드
Erich Mendelsohn,에리히 멘델손
Karl Mannheim,카를 만하임
Jeremy Corbyn,제레미 코빈
Norbert Elias,노르베르트 엘리아스
Norman Lamont,노먼 러몬트
Michael Martin,마이클 마틴
Pauline Collins,폴린 콜린스
Stephen Crabb,스티븐 크래브
Hilary Armstrong,힐러리 암스트롱
Paul Boateng,폴 보아텡
Samantha Womack,서맨사 워맥
Cleo Laine,클레오 레인
Kate Beckinsale,케이트 베킨세일
Christopher Lee,크리스토퍼 리
A. J. Ayer,앨프리드 줄스 에이어
Patricia Hayes,퍼트리샤 헤이스
Andy Dawson,앤디 도슨
A. J. Cronin,A. J. 크로닌
George Osborne,조지 오스본
Chris Huhne,크리스 헌
Chicane,발뺌
Ralf Dahrendorf,랄프 다렌도르프
Vince Cable,빈스 케이블
"Archibald Primrose, 5th Earl of Rosebery",제5대 로즈베리 백작 아치볼드 프림로즈
Francis Pym,프랜시스 핌
John Smith,존 스미스
Geoff Hoon,제프 훈
Marin Alsop,마린 올솝
Emma Thomas,에마 토머스
Sidney Webb,시드니 웨브
Tony Benn,토니 벤
Max Perutz,맥스 퍼루츠
Draco Malfoy,드레이코 말포이
"Max Aitken, 1st Baron Beaverbrook",제1대 비버브룩 남작 맥스 에이트켄
George Galloway,조지 갤러웨이
Mary of Teck,테크의 메리
Julian Huxley,줄리언 헉슬리
Peter Mansfield,피터 맨스필드
Ross Turnbull,로스 턴불
Tracey Crouch,트레이시 크라우치
Virginia Bottomley,버지니아 보텀리
Liz Smith,리즈 스미스
Edward Elgar,에드워드 엘가
Marty Feldman,마티 펠드먼
Anna Freud,아나 프로이트
Arthur Koestler,아서 쾨슬러
Benedict Cumberbatch,베네딕트 컴버배치
George Ratcliffe Woodward,조지 랫클리프 우드워드
Margaret Leighton,마거릿 레이턴
M,M
Anastasia Griffith,아나스타샤 그리피스
Lindy Hemming,린디  헤밍
McDonald Bailey,맥도널드 베일리
Danny Wilson,대니 윌슨
Nikki Sinclaire,니키 싱클레어
Walter Scott,월터 스콧
Gary Jones,게리 존스
George Lansbury,조지 랜스베리
Michael Keane,마이클 킨
Juliet Aubrey,줄리엣 오브리
Hermione Gingold,허마이어니 깅골드
Frederick Forsyth,프레더릭 포사이스
Ernst Gombrich,에른스트 곰브리치
"Princess Alice, Duchess of Gloucester",글로스터 공작부인 앨리스
Elias Canetti,엘리아스 카네티
Patricia Hewitt,퍼트리샤 휴잇
Tony Hadley,토니 해들리
Dev Patel,데브 파텔
Jonathan Aitken,조너선 에이킨
Aneurin Barnard,어나이린 바너드
Andrew Sachs,앤드루 작스
Terence Stamp,테런스 스탬프
Boris Johnson,보리스 존슨
Angus Maude,앵거스 모드
Maurice Macmillan,모리스 맥밀런
Dominic Grieve,도미닉 그리브
"Prince Philip, Duke of Edinburgh",에든버러 공작 필립
Tessa Dahl,테사 달
Karl Popper,칼 포퍼
Kimberley Nixon,킴벌리 닉슨
Tony Cunningham,토니 커닝엄
Margaret Curran,마거릿 커런
Patrick Kennedy,패트릭 케네디
Julianne Moore,줄리앤 무어
Andy Webster,앤디 웹스터
John Gurdon,존 거든
Princess Theodora of Greece and Denmark,그리스와 덴마크의 공주 테오도라
Freya Madeline Stark,프레야 스타크
"Douglas Douglas-Hamilton, 14th Duke of Hamilton",제14대 해밀턴 공작 더글러스 더글러스해밀턴
Charles Kennedy,찰스 케네디
Roger Waters,로저 워터스
Damien Johnson,데이미언 존슨
J. M. Barrie,제임스 매슈 배리
Emma Goldman,옘마 골드만
William Hunt,윌리엄 헌트
Caroline Spelman,캐럴라인 스펠먼
Harold Nicolson,해럴드 니컬슨
Tulisa Contostavlos,털리사 콘토스타블로스
Sandi Toksvig,샌디 톡스비그
Paul Lambert,폴 램버트
Bob Wilson,밥 윌슨
Andrew Lloyd Webber,앤드루 로이드 웨버
Tom Stoppard,톰 스토파드
Adewale Akinnuoye-Agbaje,아데왈레 아킨누오예-아그바제
Jack Dunn,잭 던
Ryan Shawcross,라이언 쇼크로스
John Ruddy,존 러디
