Klaus Ernst,클라우스 에른스트
Tom Wlaschiha,톰 블라시하
Roman Herzog,로만 헤어초크
Harald Lesch,하랄드 레쉬
Bastian Schweinsteiger,바스티안 슈바인슈타이거
Rudolf Mößbauer,루돌프 뫼스바우어
Max Klinger,막스 클링거
Ludwig Erhard,루트비히 에르하르트
Benjamin Seifert,베냐민 자이페르트
Hilde Hildebrand,힐데 힐데브란트
Reinhard Haupenthal,라인하르트 하우펜탈
Martin Roman,마르틴 로만
Richard von Weizsäcker,리하르트 폰 바이츠제커
Zedd,제드
Ferdinand Tönnies,페르디난트 퇴니에스
Horst Köhler,호르스트 쾰러
Walter Scheel,발터 셸
Heribert Faßbender,헤리베르트 파스벤더
Joachim Gauck,요아힘 가우크
Werner Herzog,베르너 헤어초크
Walter Kasper,발터 카스퍼
Rudi Völler,루디 푈러
Ludwig III. von Bayern,루트비히 3세
Paul Breitner,파울 브라이트너
Ottmar Hitzfeld,오트마어 히츠펠트
Konstantin Wecker,콘스탄틴 베커
Franz Xaver Schwarz,프란츠 크사버 슈바르츠
Herbert Klein,헤르베르트 클라인
Uli Hoeneß,울리 회네스
Uwe Seeler,우베 젤러
Christian Wulff,크리스티안 불프
Karl Carstens,카를 카르스텐스
Marcel Reich-Ranicki,마르셀 라이히라이츠키
Günter Netzer,귄터 네처
Rita König,리타 쾨니히
Uwe Rahn,우베 란
Pierre Littbarski,피에르 리트바르스키
Lothar Matthäus,로타어 마테우스
Konrad Bloch,콘라트 에밀 블로흐
Annette Schwarz,아네테 슈바르츠
Christiane Pilz,크리스티아네 필츠
Bernd Schuster,베른트 슈스터
Rafid Ahmed Alwan,커브
Edmund Stoiber,에드문트 슈토이버
Dennis Seidenberg,데니스 자이덴베르크
Gustav Heinemann,구스타프 하이네만
Herta Müller,헤르타 뮐러
Johannes Rau,요하네스 라우
Stefan Effenberg,슈테판 에펜베르크
Wolfgang Overath,볼프강 오베라트
Mario Gómez,마리오 고메스
Erich Honecker,에리히 호네커
Egon Biscan,에곤 비스 캔
Theodor Heuss,테오도어 호이스
Egon Krenz,에곤 크렌츠
Manfred Gerlach,만프레트 게를라히
Oliver Riedel,올리버 리델
Hermann Hesse,헤르만 헤세
Ernst Otto Fischer,에른스트 오토 피셔
Feodor Lynen,페오드르 리넨
Steffen Wöller,슈테펜 뵐러
Sebastian Vettel,제바스티안 페텔
Heinrich Lübke,하인리히 뤼브케
Birol Ünel,비롤 위넬
Frank Ordenewitz,프랑크 오르데네비츠
Andreas Ottl,안드레아스 오틀
Oliver Kirch,올리버 키어히
Friedrich Ebert,프리드리히 에베르트
Günther Beckstein,귄터 베크슈타인
Ludwig Mies van der Rohe,루트비히 미스 반 데어 로에
Sandra Bullock,샌드라 불럭
Paul von Hindenburg,파울 폰 힌덴부르크
Katrin Göring-Eckardt,카트린 괴링에카르트
Franz Josef Strauß,프란츠 요제프 슈트라우스
Koray Günter,코라이 귄터
Fritz Kalkbrenner,프리츠 칼크브레너 음악가
Marika Rökk,마리카 뢰크
Walter Eucken,발터 오이켄
Sidney Sam,시드니 샘
Nico,니코
Hans Magnus Enzensberger,한스 마그누스 엔첸스베르거
Tim Hoogland,팀 후글란트
Lothar Collatz,로타어 콜라츠
Paul Kalkbrenner,파울 칼크브레너
Otfried Preußler,오트프리트 프로이슬러
Alfred Schwarzmann,알프레트 슈바르츠만
Walter Jens,발터 옌스
Martin Hengel,마르틴 헹겔
Anne-Sophie Mutter,안네 소피 무터
Michael Glos,미하엘 글로스
Kurt Aland,커트 알란드
Horst Seehofer,호르스트 제호퍼
Hermann Staudinger,헤르만 슈타우딩거
Bernard Katz,버나드 카츠
Georg Hackl,게오르크 하클
Leonid Kreutzer,레오니트 크로이처
Sara Goller,자라 골러
Hilde Schrader,힐데가르트 슈라더
Timo Gebhart,티모 게브하르트
Abraham Gotthelf Kästner,아브라함 고트헬프 케스트너
Wolfgang Unzicker,볼프강 운치커
Joachim Löw,요아힘 뢰프
Heinrich Böll,하인리히 뵐
Albrecht III.,알브레히트 3세 폰 비스텔바흐
Raphael Schäfer,라파엘 섀퍼
Franciszek Smuda,프란치셰크 스무다
Linda Stahl,린다 슈탈
Erich Maria Remarque,에리히 마리아 레마르크
Julius Brink,율리우스 브링크
Franz Beckenbauer,프란츠 베켄바워
Günter Grass,귄터 그라스
Martin Schmitt,마르틴 슈미트
Gerhard Stöck,게르하르트 슈퇴크
Carolin Dietrich,카롤린 니트라
Harald Schmid,하랄트 슈미트
Balian Buschbaum,발리안 부시바움
Rita Wilden,리타 빌덴
Thomas Rupprath,토마스 루프라트
Albert Schweitzer,알베르트 슈바이처
Ronald Pofalla,로날트 포팔라
Eugen Polanski,오이겐 폴란스키
Adolf Butenandt,아돌프 부테난트
Wolf Blitzer,울프 블리처
Betty Heidler,베티 하이들러
Gerd Müller,게르트 뮐러
Philipp Lahm,필리프 람
Enrico Kern,엔리코 케른
Nicolas Höfler,니콜라스 회플러
Ulrich von Wilamowitz-Moellendorff,울리히 폰 빌라모비츠-묄렌도르프
Thomas Müller,토마스 뮐러
Ernst Mayr,에른스트 마이어
Karl Hein,카를 하인
Peter Frenkel,페터 프렝켈
Peer Steinbrück,페어 슈타인브뤼크
Bernd Eichinger,베른트 아이힝거
Florian Heller,플로리안 헬러
Rosa Luxemburg,로자 룩셈부르크
Heidi Biebl,하이디 비블
Elisabeth Grümmer,엘리자베트 그뤼머
Toni Garrn,토니 가른
Reiner Knizia,라이너 크니지아
Heinz Keßler,하인츠 케슬러
Werner Hamacher,베르너 하마허
Bibiana Beglau,비비아나 베글라우
Stefan Raab,슈테판 라브
Gottfried Heinrich zu Pappenheim,고트프리드 하인리히 그라프 주 파펜하임
Lena Meyer-Landrut,레나 마이어란드루트
Margot Frank,마르고트 프랑크
Hertha Sponer,헤르타 슈포너
Günther Maleuda,귄터 말로이다
Carl von Linde,카를 폰 린데
Hans-Jürgen Buchner,한스위르겐 부흐너
Wolfgang Völz,볼프강 뵐츠
"Prinz Maria Emanuel, Markgraf von Meißen",마리아 에마누엘 폰 작센
Martin Noth,마르틴 노트
Christoph Blumhardt,크리스토프 블룸하르트
Uta Frith,우타 프리트
Georg Ratzinger,게오르크 라칭거
Gisela Birkemeyer,기젤라 비르케마이어
Tatjana Patitz,타탸나 파티츠
Ellen von Unwerth,엘렌 폰 운베르트
Carl Gustav Hempel,칼 구스타프 헴펠
Edith Frank-Holländer,Edith Frank
Agnes Pockels,아그네스 포켈스
Otto Frank,오토 프랑크
Henry Koster,헨리 코스터
Kevin Schlitte,케빈 슐리테
Wolfgang Scheidel,볼프강 샤이델
Wolfgang Danne,볼프강 다네
Walter Burkert,발터 부르케르트
Kurt Welter,쿠르트 벨터
Alexander Markowitsch Ostrowski,알렉산드르 오스트롭스키
Fabian Müller,파비안 뮐러
Maria Höfl-Riesch,마리아 리슈
Ludwig Kaas,루트비히 카스
Helma Sanders-Brahms,헬마 산더스 브람스
Rüdiger Safranski,뤼디거 자프란스키
Godehard von Hildesheim,고트하르트 폰 힐데스하임
Norbert Röttgen,노르베르트 뢰트겐
Peter Binsfeld,페터 빈스펠트
Josefine Preuß,요제피네 프로이스
Robert Siodmak,로버트 시오드맥
Katja Seizinger,카탸 자이칭거
Ernst Lubitsch,에른스트 루비치
Erwin Schrödinger,에르빈 슈뢰딩거
Hanns Zischler,한스 지슐러
Walter Kaufmann,발터 카우프만
Peter Becker,페터 베커
Sabine Busch,사비네 부쉬
Manfred Eicher,만프레트 아이허
Michael Schumacher,미하엘 슈마허
Florian Schwarthoff,플로리안 슈바르토프
Alexander Popp,알렉산더 포프
Klaus Wowereit,클라우스 보버라이트
Markus Söder,마르쿠스 죄더
Sandra Klösel,잔드라 클뢰젤
Detlev Blanke,데틀레프 블랑케
Viktoria Rebensburg,빅토리아 레벤스부르크
Gustav Radbruch,구스타프 라드부르흐
Richard Strauss,리하르트 슈트라우스
Michael Ballack,미하엘 발라크
Jürgen Trittin,위르겐 트리틴
Tommy Haas,토미 하스
Rüdiger von der Goltz,뤼디거 폰 데어 골츠
Steffi Graf,슈테피 그라프
Erwin Strittmatter,에르빈 슈트리트마터
Gregor Gysi,그레고르 기지
Reinhard Selten,라인하르트 젤텐
Wilhelm Ostwald,빌헬름 오스트발트
Johann Andreas Stein,요한 안드레아스 슈타인
Kurt Bodewig,쿠르트 보데비히
Markus Weinzierl,마르쿠스 바인치를
Mariella Ahrens,마리엘라 아렌스
Helga Trüpel,헬가 트뤼펠
Marc-Kevin Goellner,마르크케빈 괼너
Cem Özdemir,젬 외즈데미르
Michael Karoli,미하엘 카롤리
Kurt Knispel,쿠르트 크니슈펠
Joseph H. Pilates,요제프 필라테스
Jürgen Roters,위르겐 로터스
Danny Latza,대니 라차
Kurt Beck,쿠르트 베크
Martina Gedeck,마르티나 게덱
Hannelore Kraft,하넬로레 크라프트
Peter Schmidhuber,페터 슈미트후버
Adolf Merckle,아돌프 메클레
Gertrud von Helfta,헬프타의 제르트루다
Max Ophüls,막스 오퓔스
Gudrun Landgrebe,구드런 랜드그레브
Anton Diffring,안톤 디프링
Beate Klarsfeld,베아테 클라르스펠트
Peter Rühmkorf,페터 륌코르프
Grethe Weiser,그레테 바이저
Franka Potente,프랑카 포텐테
Alfred Hugenberg,알프레트 후겐베르크
Gudrun Ensslin,구드룬 엔슬린
Justus Möser,유스투스 뫼저
Rolf-Dieter Heuer,롤프디터 호이어
Kurt Weill,쿠르트 바일
Sami Khedira,자미 케디라
Engelbert Humperdinck,엥겔베르트 훔퍼딩크
Jaki Liebezeit,야키 리베차이트
Markus Rühl,마르쿠스 륄
Alexandra Maria Lara,알렉산드라 마리아 라라
Ernst Nolte,에른스트 놀테
Leni Riefenstahl,레니 리펜슈탈
Robert Schuman,로베르트 슈만
Uwe Ampler,우베 암플러
Helmut Gröttrup,헬무트 그뢰트룹
Kurt Jooss,쿠르트 요스
Eugen Drewermann,오이겐 드레버만
Margarethe von Trotta,마가레테 폰 트로타
Gesine Lötzsch,게지네 뢰치
Corinna Harfouch,코리나 하르포우흐
Friedrich Wilhelm Murnau,프리드리히 빌헬름 무르나우
August Müller,아우구스트 뮐러
Wim Wenders,빔 벤더스
Herbert Weichmann,헤르베르트 바이히만
Klaus Kinski,클라우스 킨스키
Inge Borkh,잉게 보르크
Wu Jiaduo,우지아두
Rudolf Klein-Rogge,루돌프 클라인로게
Ken Duken,켄 듀켄
Otto Heckmann,오토 헤크만
Julia Dietze,율리아 디체
Karoline von Günderrode,카롤리네 폰 귄데로데
Irmgard Möller,이름가르트 묄러
Frank Peter Zimmermann,프랑크 페터 치머만
Hannah Herzsprung,하나 헤르츠스프룽
Yuri Manin,유리 마닌
Walter Moers,발터 뫼르스
Bernd Förster,베른트 푀르슈터
Stefan Andres,슈테판 안드레스
Leo August Pochhammer,레오 아우구스트 포흐하머
Erich Kähler,에리히 켈러
Richard Brauer,리하르트 브라우어
Wolfgang Schäuble,볼프강 쇼이블레
Gisela von Schwaben,기젤라 폰 슈바벤
Patrick Funk,파트리크 풍크
Hans-Josef Kapellmann,유프 카펠만
Wolfgang Behrendt,볼프강 베흐렌트
Wolf Rüdiger Heß,볼프 뤼디거 헤스
Renate Künast,레나테 퀴나스트
Ludwig Rellstab,루트비히 렐슈타프
Theo Waigel,테오 바이겔
Jürgen Klinsmann,위르겐 클린스만
William Dieterle,윌리엄 디터리
Wilhelm Wien,빌헬름 빈
Philipp Lenard,필리프 레나르트
Harald Welte,하랄트 벨테
Jürgen Moser,위르겐 모저
Stephan Keppler,슈테판 케플러
Lisa Kreuzer,리사 크루저
Ludwig Bieberbach,루트비히 비버바흐
Paul Peter Ewald,파울 페터 에발트
Alfred Eisenstaedt,알프레트 아이젠슈테트
Änis Ben-Hatira,아니스 벤하티라
Wolfgang Krull,볼프강 크룰
Oskar Perron,오스카어 페론
Theodor Wisch,테오도어 비시
Fritz Gunst,프리츠 군스트
Ulrich Lins,울리히 린스
Hansi Müller,한지 뮐러
Werner Haase,베르너 하제
Gerda Christian,게르다 크리스티안
Johannes Stark,요하네스 슈타르크
Franz Schlegelberger,프란츠 슐레겔베르거
Volker Strassen,포커 슈트라센
Joachim Sauer,요하임 자우어
Max von Laue,막스 폰 라우에
Edmund Schlink,에드문트 슐링크
Nelly Sachs,넬리 작스
Maria Goeppert-Mayer,마리아 괴퍼트메이어
Otto M. Stern,오토 슈테른
Heinz Prüfer,하인츠 프뤼퍼
Steffen Deibler,슈테펜 다이블러
Stephanie Storp,슈테파니 슈토르프
Tomas Behrend,토마스 베렌트
Jens Lehmann,옌스 레만
Diane Kruger,디아네 크루거
Karlheinz Förster,카를하인츠 푀르슈터
Otto Meissner,오토 마이스너
Horst Köppel,호르스트 쾨펠
Theodor Liebknecht,테오도어 리프크네히트
Werner Naumann,베르너 노이만
Frits Clausen,프리츠 클라우센
Paul Levi,파울 레비
Kurt Christoph von Schwerin,쿠르트 크리스토프 폰 슈베린
Pascal Roller,파스칼 롤러
Torsten May,토르스텐 마이
Herbert Windt,헤르베르트 빈트
Peter Grünberg,페터 그륀베르크
Ewald von Kleist,파울 루트비히 에발트 폰 클라이스트
Walther von Brauchitsch,발터 폰 브라우히치
Jan Eichhorn,얀 아이히호른
Thomas Dörflein,토마스 되르플라인
Richard Wilhelm,리하르트 빌헬름
Richard Musgrave,리처드 머그스레이브
Oswald Spengler,오스발트 슈펭글러
Constantin Carathéodory,콘스탄티노스 카라테오도리
Andreas von Bechtolsheim,안드레아스 폰 베히톨스하임
Anna von Kleve,클레페의 앤
Albrecht Kossel,알브레히트 코셀
Paul Reinecke,파울 라이네케
Hans von Salmuth,한스 폰 잘무트
Max Hartung,막스 하어퉁
Andreas Tölzer,안드레아스 퇼처
Wilhelm Müller,빌헬름 뮐러
Cacau,카카우
Timothy Chandler,티모시 챈들러
Fanny Chmelar,파니 슈멜라르
Hans-Ulrich Rudel,한스울리히 루델
Otto Meyerhof,오토 프리츠 마이어호프
Johann Ludwig Graf Schwerin von Krosigk,요한 루트비히 그라프 슈베린 폰 크로지크
Erich Raeder,에리히 레더
Erich von Manstein,에리히 폰 만슈타인
Thore Schölermann,토레 슐레만
Alfred Dregger,알프레트 드레거
Timo Hildebrand,티모 힐데브란트
Michael Fassbender,마이클 패스벤더
Marie-Elisabeth Lüders,마리엘리자베트 뤼더스
Eike Immel,아이케 이멜
Wilhelm Canaris,빌헬름 카나리스
Wolfgang Petersen,볼프강 페테르젠
Thomas Schneider,토마스 슈나이더
Hans Stanggassinger,한스 슈탕가싱거
Hermann Paul,헤르만 파울
Thomas Hitzlsperger,토마스 히츨슈페르거
Erich von Falkenhayn,에리히 폰 팔켄하인
Hans Eichel,한스 아이헬
Herta Däubler-Gmelin,헤르타 도이블러그멜린
Carl Friedrich von Weizsäcker,카를 프리드리히 폰 바이츠제커
Hermann Hoth,헤르만 호트
Ernst Busch,에른스트 부슈
Sabine Leutheusser-Schnarrenberger,자비네 로이트호이서슈나렌베르거
Friedrich III.,프레드릭 3세 선제후
Egon Bahr,에곤 바르
Rudolf Kittel,루돌프 키텔
Walter Buch,발터 부흐
Rudi Altig,루디 알티히
Dimitri Peters,디미트리 페터스
Otto Weidt,오토 바이트
Kurt von Schleicher,쿠르트 폰 슐라이허
Franz Halder,프란츠 할더
Sepp Dietrich,요제프 디트리히
Hanna Reitsch,하나 라이치
Barbara Rittner,바르바라 리트너
Gerhard Stoltenberg,게르하르트 슈톨텐베르크
Hermann Müller,헤르만 뮐러
Erich Ollenhauer,에리히 올렌하워
Peter Struck,페터 슈트루크
Cilly Aussem,실리 아우셈
Friedrich von Esmarch,프리드리히 폰 에스마르흐
Werner von Blomberg,베르너 폰 블롬베르크
Claude Dornier,클라우드 도르니에
Ludwig Beck,루트비히 베크
Georg von Küchler,게오르크 폰 퀴흘러
Adolf Galland,아돌프 갈란트
Zé Roberto,제 호베르투
Georg Leber,게오르크 레버
Hans von Seeckt,한스 폰 젝트
Walter Eschweiler,발터 에슈바일러
Otto Gebühr,오토 게뷔어
Christoph Schneider,크리스토프 슈나이더
Erhard Milch,에르하르트 밀히
Frank Wörndl,프랑크 뵈른들
Stefan George,슈테판 게오르게
Hans Adolf Krebs,핸스 애돌프 크레브스
Gerhard Domagk,게르하르트 도마크
Tom Reichelt,톰 라이헬트
Martin Winterkorn,마르틴 빈터코른
Hermann Muthesius,헤르만 무테지우스
Björn Engholm,비외른 엥홀름
Maria Müller,마리아 뮐러
Horst Ludwig Störmer,호르스트 루트비히 슈퇴르머
Kelly Trump,켈리 트럼프
Herbert Kroemer,허버트 크뢰머
Paul Hausser,파울 하우서
Matthias Sammer,마티아스 잠머
Arthur Nikisch,아르투르 니키슈
Meret Becker,메레트 베커
Moritz Schlick,모리츠 슐리크
Erich Hartmann,에리히 하르트만
Ferdinand Schörner,페르디난트 쇠너
Eugen d’Albert,외젠 달베르
Gundi Busch,군디 부슈
Eva Strittmatter,에바 슈트리트마터
Karen Horney,카렌 호나이
Heike Balck,하이케 발크
Heidi Renoth,하이디 레노트
Marcus Becker,마르쿠스 베커
Theodor Hänsch,테오도어 W. 헨슈
"Prinz Friedrich Christian, Markgraf von Meißen",프리드리히 크리스티안 폰 작센
Hannes Wader,하네스 바더
Philipp Schwethelm,필리프 슈베텔름
Andreas Hillgruber,안드레아스 힐그루버
James Last,제임스 라스트
Hermann Sudermann,헤르만 주더만
Hasso von Manteuffel,하소 폰 만토이펠
Wilhelm List,빌헬름 리스트
Joachim Peiper,요아힘 파이퍼
Traudl Junge,트라우들 융에
Andreas Hinkel,안드레아스 힝켈
Lothar Bisky,로타어 비스키
Martin Franz Julius Luther,마르틴 루터
Ralph Baer,랠프 베어
Kai-Uwe von Hassel,카이우베 폰 하셀
Max Abraham,막스 아브라함
Magda Goebbels,마그다 괴벨스
Paul von Lettow-Vorbeck,파울 폰 레토프포어베크
Hans Lewy,한스 레비
Theodor Schneider,테오도어 슈나이더
Heinz Felfe,하인츠 펠페
Otto Sander,오토 샌더
Carl Dahlhaus,칼 달하우스
Jürgen Möllemann,위르겐 묄레만
Paula Riemann,파울라 리만
Dana Vávrová,데이너 바브로바
Harald Ringstorff,하랄트 링스토르프
Ernst Ruska,에른스트 루스카
Klaus von Klitzing,클라우스 폰 클리칭
Magda Schneider,마그다 슈나이더
Wolfgang Paul,볼프강 파울
Sebastian Brendel,제바스티안 브렌델
Mark Medlock,마크 메드록
Michaele Schreyer,미하일레 슈라이어
Katja Riemann,카차 리만
Peter Müller,페터 뮐러
Tom Novy,톰 노비
Elisabeth Pähtz,엘리자베트 페츠
Sabine Bergmann-Pohl,자비네 베르크만폴
Peter Altmaier,페터 알트마이어
Michael Koch,미하엘 코흐
Heike Drechsler,하이케 드렉슬러
Heinz London,하인츠 론돈
Eduard Study,에두아르트 슈투디
Senta Berger,젠타 베르거
Ferdinand Sauerbruch,페르디난트 자워브루흐
Ingrid Mickler-Becker,잉그리트 베커
Frank Emmelmann,프랑크 에멜만
Hans Matthöfer,한스 마트회퍼
Carl-Uwe Steeb,카를우베 슈테프
Ulrich Plenzdorf,울리히 플렌츠도르프
Christl Cranz,크리스틀 크란츠
Tron,트론
Kurt Meyer,쿠르트 마이어
Sophie von der Pfalz,팔츠의 조피
Ulf Timmermann,울프 팀머만
Theodor Blank,테오도어 블랑크
Günther Jauch,귄터 야우흐
Johann Geiler von Kaysersberg,요한 가일러 폰 카이저스베르크
Bernd Fischer,베른트 피셔
Adolf Kneser,아돌프 크네저
Jürgen Schmude,위르겐 슈무데
Johann Friedrich Gmelin,요한 프리드리히 크멜린
Tom Tykwer,톰 티크베어
Paul Hindemith,파울 힌데미트
Ernst Zermelo,에른스트 체르멜로
Tobias Unger,토비아스 웅거
Hans Jonas,한스 요나스
Anneliese Michel,안넬리제 미헬
Alexander Wendt,알렉산더 웬트
August Thienemann,아우구스트 티네만
Meike Babel,마이케 바벨
Markus Deibler,마르쿠스 다이블러
Ricki Osterthun,리키 오스테르툰
Manuel Fischer,마누엘 피셔
Herbert Hainer,헤르베르트 하이너
Hans Pietsch,한스 피치
Hans Apel,한스 아펠
Ernst Witt,에른스트 비트
Walther Funk,발터 풍크
Niklas Luhmann,니클라스 루만
Werner Maihofer,베르너 마이호퍼
Gerhard Barkhorn,게르하르트 바르크호른
Helmuth Weidling,헬무트 바이틀링
Tobias Arlt,토비아스 아를트
Joachim Jeremias,요아힘 예레미아스
Thomas Luther,토마스 루터
Hans Modrow,한스 모드로프
Karin Dor,카린 도어
Friedrich Gogarten,프리드리히 고가르텐
Ernst Bloch,에른스트 블로흐
Andreas Schlütter,안드레아스 슐뤼터
Jens Filbrich,옌스 필브리히
Marie Luise Kaschnitz,마리 루이제 카슈니츠
Bernd Pischetsrieder,베른트 피셰츠리더
Robert Michels,로베르트 미헬스
Wilhelm II.,빌헬름 2세
Erich von dem Bach-Zelewski,에리히 폰 뎀 바흐
Wilhelm Furtwängler,빌헬름 푸르트벵글러
Elisabeth Schwarzkopf,엘리자베트 슈바르츠코프
Jürgen Röber,위르겐 뢰버
Gottfried Benn,고트프리트 벤
Ulrich Mühe,울리히 뮈어
Walter Baade,발터 바데
Britta Steffen,브리타 슈테펜
Ermanno Wolf-Ferrari,에르만노 볼프-페라리
Volker Schlöndorff,폴커 슐뢴도르프
Karl Rahner,카를 라너
Annika Becker,아니카 베커
Emilie Schindler,에밀리 쉰들러
Joschka Fischer,요슈카 피셔
Hans-Jürgen Bäumler,한스 위르겐 바움러
Karl Hermann Frank,카를 헤르만 프랑크
Thomas Brdarić,토마스 브르다리치
Werner Stengel,베르너 슈텡겔
Karl Allgöwer,카를 알괴버
Hans-Gert Pöttering,한스게르트 푀테링
Erich Mielke,에리히 밀케
Hannelore Kohl,하넬로레 콜
Gustav Noske,구스타프 노스케
Georg Friedrich Prinz von Preußen,게오르크 프리드리히 폰 프로이센
Jochen Hecht,요헨 헥트
Dietrich Stobbe,디트리히 슈토베
Johann Kasimir,존 카시미르
Ludwig von Sybel,루트비히 폰 지벨
Bernhard Walther,베른하르트 발터
Matthias Pintscher,마티아스 핀처
Friedrich August III.,프리드리히 아우구스트 3세
Joachim Fest,요아힘 페스트
Wilhelm Röpke,빌헬름 뢰프케
Ferdinand Leitner,페르디난트 라이트너
Martina Strutz,마르티나 슈트루츠
Hans Furler,한스 푸를러
Alois Vogl,알로이스 포글
Alexander Gerst,알렉산더 게르스트
Arnold Fanck,아르놀트 팡크
Martin Walser,마르틴 발저
Alfred Döblin,알프레트 되블린
Lale Andersen,랄레 안데르센
Christa Wolf,크리스타 볼프
Jens Müller,옌스 뮐러
Tobias Wendl,토비아스 벤들
Alex Wright,앨릭스 라이트
Adolf von Strümpell,아돌프 슈트륌펠
August Wilhelm,아우구스트 빌헬름 폰 브라운슈바이크
Georg Meier,게오르크 마이어
Hans Pfitzner,한스 피츠너
Thomas de Maizière,토마스 데메지에르
Klaus-Dieter Sieloff,클라우스디터 질로프
Ernst Baier,에른스트 바이어
Harald Quandt,하랄트 크반트
Johannes Coccejus,요한네스 코케이우스
Andreas Voßkuhle,안드레아스 포스쿨레
Marika Kilius,마리카 킬리우스
Wilhelm Schickard,빌헬름 지카르트
Michael Groß,미하엘 그로스
Josef Fendt,요제프 펜트
Wilhelm Fließ,빌헬름 플리스
Bernhard Rensch,베른하르트 렌슈
Til Schweiger,틸 슈바이거
Frank Luck,프랑크 루크
Armin Meiwes,아르민 마이베스
Hans Oster,한스 오스터
Manuela Henkel,마누엘라 헹켈
Christina Ackermann,크리스티나 가이거
Franz Göring,프란츠 괴링
Eugen Jochum,오이겐 요훔
Hans Knappertsbusch,한스 크나퍼츠부슈
Anna Seghers,안나 제거스
Antje Buschschulte,안톄 부슈슐테
Thomas Berthold,토마스 베어톨트
Markus Wolf,마르쿠스 볼프
Anke Huber,앙케 후버
Albert Göring,알베르트 괴링
Gudrun Burwitz,구드룬 부르비츠
Horst Ehmke,호르스트 엠케
Barbara Meier,바르바라 마이어
Wolfram Sievers,볼프람 지페르스
Heike Makatsch,하이케 마카치
Heiner Müller,하이너 뮐러
Carl Friedrich Goerdeler,카를 프리드리히 괴르델러
Alexander Sulzer,알렉산더 줄처
Maurizio Gaudino,마우리치오 가우디노
Helmut Gollwitzer,헬무트 골비처
Balthasar Hubmaier,발타자르 후부마이어
August Diehl,아우구스트 딜
Wolfgang Rolff,볼프강 롤프
Alexander von Falkenhausen,알렉산더 폰 팔켄하우젠
Lothar de Maizière,로타어 드 메지에르
Melitta Schenk Gräfin von Stauffenberg,멜리타 솅크 폰 슈타우펜베르크 백작부인
Claudia Pechstein,클라우디아 페히슈타인
Sebastian Bachmann,제바스티안 바흐만
Elisabeth Rethberg,엘리자베트 레트베르크
Maria Sibylla Merian,마리아 지빌라 메리안
Hermann Foertsch,헤르만 푀르치
Wilhelm Burgdorf,빌헬름 부르크도르프
Alfred Herrhausen,알프레드 헤르 하우젠
Hape Kerkeling,하페 케르켈링
Philipp Marx,필리프 마르크스
Heinrich Hoffmann,하인리히 호프만
Andreas Scholl,안드레아스 숄
