Lionel Messi,リオネル・メッシ
Marco Ferreri,マルコ・フェレーリ
Primo Levi,プリーモ・レーヴィ
Michael Bublé,マイケル・ブーブレ
Oriana Fallaci,オリアーナ・ファラーチ
Mario Monicelli,マリオ・モニチェリ
Gillo Pontecorvo,ジッロ・ポンテコルヴォ
Dino Risi,ディーノ・リージ
Giovanni Lanfranco,ジョヴァンニ・ランフランコ
Elsa Respighi,エルザ・レスピーギ
Bobby Solo,ボビー・ソロ
Gianluca Pessotto,ジャンルカ・ペッソット
Mauro Maur,マウロ・マウル
Leonardo Piepoli,レオナルド・ピエポリ
Luchino Visconti,ルキノ・ヴィスコンティ
Margherita Hack,マルゲリータ・アック
Alex Schwazer,アレックス・シュバーツァー
Duccio di Buoninsegna,ドゥッチョ・ディ・ブオニンセーニャ
Eros Ramazzotti,エロス・ラマゾッティ
Pablo Piatti,パブロ・ピアッティ
Luca Lombardi,ルカ・ロンバルディ
Andreas Seppi,アンドレアス・セッピ
"Arthur Wellesley, VIII duca di Wellington",アーサー・ウェルズリー・(第8代ウェリントン公爵)
Alcide De Gasperi,アルチーデ・デ・ガスペリ
Walter Veltroni,ワルテル・ヴェルトローニ
Dario Cataldo,ダリオ・カタルド
Luca Castellazzi,ルカ・カステラッツィ
Gina Cigna,ジーナ・チーニャ
Maria Chiara,マリア・キアーラ
Maurizio Damilano,マウリツイオ・ダミラノ
Domenico Pozzovivo,ドメニコ・ポッツォヴィーヴォ
Giuseppe Gibilisco,ジュゼッペ・ジビリスコ
Roberto Vittori,ロベルト・ヴィットーリ
Virgilio Mortari,ヴィルジリオ・モルターリ
Roberto Boninsegna,ロベルト・ボニンセーニャ
Papa Paolo VI,パウロ6世・(ローマ教皇)
Paolo Nespoli,パオロ・ネスポリ
Italo Calvino,イタロ・カルヴィーノ
Cristian Zaccardo,クリスティアン・ザッカルド
Gino Bartali,ジーノ・バルタリ
Giuseppe Pella,ジュゼッペ・ペッラ
Cecilia Bartoli,チェチーリア・バルトリ
Luigi Dallapiccola,ルイージ・ダッラピッコラ
Aldo Rossi,アルド・ロッシ
Francesco Totti,フランチェスコ・トッティ
Sydne Rome,シドニー・ローム
Moreno Argentin,モレノ・アルゼンティン
Jasmine Trinca,ジャスミン・トリンカ
Erika Blanc,エリカ・ブラン
Lorenzo Monaco,ロレンツォ・モナコ
Cristina Comencini,クリスチナ・コメンチーニ
Clara Calamai,クララ・カラマイ
Giuseppina Leone,ジュゼッピーナ・レオーネ
Frank Costello,フランク・コステロ
Pietro Accardi,ピエトロ・アッカルディ
Aldo Maldera,アルド・マルデラ
Fabio Baldato,ファビオ・バルダート
Ivan Goi,イヴァン・ゴイ
Remo Giazotto,レモ・ジャゾット
Alessandro Bertolini,アレッサンドロ・ベルトリーニ
Giuseppe Furino,ジュゼッペ・フリーノ
Giorgio de Chirico,ジョルジョ・デ・キリコ
Felix Silla,フェリックス・シラ
Franco Amurri,フランコ・アムリ
Luigi Durand de la Penne,ルイージ・ドゥランド・デ・ラ・ペンネ
Vittorio Adorni,ヴィットリオ・アドルニ
Massimo Gobbi,マッシモ・ゴッビ
Giuseppe Piccioni,ジュゼッペ・ピッチョーニ
Roberto Benigni,ロベルト・ベニーニ
Ennio Morricone,エンニオ・モリコーネ
Papa Giovanni XXIII,ヨハネ23世・(ローマ教皇)
Giorgio Armani,ジョルジオ・アルマーニ
Maurizio Pollini,マウリツィオ・ポリーニ
Gianni Vattimo,ジャンニ・ヴァッティモ
Beniamino Gigli,ベニャミーノ・ジーリ
Giuseppe Pittau,ヨゼフ・ピタウ
Primo Carnera,プリモ・カルネラ
Javier Mascherano,ハビエル・マスチェラーノ
Giampiero Pinzi,ジャンピエロ・ピンツィ
Antonio Benarrivo,アントニオ・ベナリーヴォ
Franco Battiato,フランコ・バッティアート
Luigi Nono (compositore),ルイジ・ノーノ
Frank Horvat,フランク・ホーヴァット
Umberto Saba,ウンベルト・サバ
Matteo Manassero,マッテオ・マナセロ
Nanni Moretti,ナンニ・モレッティ
Hernán Crespo,エルナン・クレスポ
Pier Paolo Pasolini,ピエル・パオロ・パゾリーニ
Carlo Cassola,カルロ・カッソーラ
Gian Lorenzo Bernini,ジャン・ロレンツォ・ベルニーニ
Ercole Baldini,エルコーレ・バルディーニ
Kaká,カカ・(サッカー選手)
Francesco Acerbi,フランチェスコ・アチェルビ
Anselmo Colzani,アンセルモ・コルツァーニ
Nunzio Malasomma,ヌンチオ・マラソンマ
Paolo Maffei,パオロ・マフェイ
Goffredo Lombardo,ゴッフレード・ロンバルド
Giorgia Meloni,ジョルジャ・メローニ
Roberto Saviano,ロベルト・サビアーノ
Carlo Lizzani,カルロ・リッツァーニ
Alberto Moravia,アルベルト・モラヴィア
Colin Firth,コリン・ファース
Jonas Gonçalves Oliveira,ジョナス・ゴンサウヴェス・オリヴェイラ
Domenico Morfeo,ドメニコ・モルフェオ
Italo Gariboldi,イータロ・ガリボルディ
Alessandro Cicognini,アレッサンドロ・チコニーニ
Carlo Gambino,カルロ・ガンビーノ
Amedeo di Savoia-Aosta (1943),アメデーオ・ディ・サヴォイア＝アオスタ・(1943-2021)
Sebastiano Serlio,セバスティアーノ・セルリオ
Maria Curcio,マリア・クルチオ
Lorenzo Buffon,ロレンツォ・ブッフォン
Leo Nucci,レオ・ヌッチ
Massimo Donati,マッシモ・ドナーティ
Franco Selvaggi,フランコ・セルヴァッジ
Simone Del Nero,シモーネ・デル・ネロ
Sonia Gandhi,ソニア・ガンディー
Franco Zuculini,フランコ・スクリーニ
Sandro Salvadore,サンドロ・サルヴァドーレ
Sergio Leone,セルジオ・レオーネ
Antonio Conte,アントニオ・コンテ
Enrico Berlinguer,エンリコ・ベルリンゲル
Alessandro De Marchi,アレッサンドロ・デ・マルキ
Angelino Alfano,アンジェリーノ・アルファノ
Fabrizio Bosso,ファブリッツィオ・ボッソ
Leonardo Fioravanti (designer),レオナルド・フィオラヴァンティ
Bruno Pontecorvo,ブルーノ・ポンテコルボ
Davide Rigon,ダビデ・リゴン
Carlo M. Cipolla,カルロ・チポラ
Francesco Rutelli,フランチェスコ・ルテッリ
Angelo Conterno,アンジェロ・コンテルノ
Angelo Damiano,アンジェロ・ダミアーノ
Alex Baldolini,アレックス・バルドリーニ
Bartolomeo Schedoni,バルトロメオ・スケドーニ
Luigi Ferdinando Tagliavini,ルイジ・フェルディナンド・タリアヴィーニ
Indro Montanelli,インドロ・モンタネッリ
Mario Roatta,マリオ・ロアッタ
Giovanni Volpi,ジョヴァンニ・ヴォルピ
Frank Scalice,フランク・スカリーチェ
Dino Baggio,ディノ・バッジョ
Vincenzo Cimatti,ヴィンチェンツォ・チマッティ
Lucio Dalla,ルーチョ・ダッラ
Roberto Michelucci,ロベルト・ミケルッチ
Antonio Di Natale,アントニオ・ディ・ナターレ
Ornella Muti,オルネラ・ムーティ
Ferruccio Tagliavini,フェルッチョ・タリアヴィーニ
Carlo Bandirola,カルロ・バンディローラ
Eduardo De Filippo,エドゥアルド・デ・フィリッポ
Roberto Gatto,ロベルト・ガット
Alessio Cerci,アレッシオ・チェルチ
Francesca Archibugi,フランチェスカ・アルキブージ
Paulo Dybala,パウロ・ディバラ
Ebe Stignani,エベ・スティニャーニ
Tito Schipa,ティート・スキーパ
Luca Paolini,ルカ・パオリーニ
Graziella Sciutti,グラツィエラ・シュッティ
Giacinto Scelsi,ジャチント・シェルシ
Ulrich Forte,ウリ・フォルテ
Giada De Laurentiis,ジャーダ・デ・ラウレンティス
Elisa (cantante 1977),エリサ・(イタリアの歌手)
Violante Placido,ヴィオランテ・プラシド
Davide Astori,ダヴィデ・アストーリ
Franco Evangelisti (compositore),フランコ・エヴァンジェリスティ
Lamberto Maggiorani,ランベルト・マジョラーニ
Luciano Tajoli,ルチアーノ・タヨーリ
Michele Canini,ミケーレ・カニーニ
Giancarlo De Sisti,ジャンカルロ・デ・システィ
Lorenzo Bernardi,ロレンツォ・ベルナルディ
Loris Capirossi,ロリス・カピロッシ
Guido Pizarro (calciatore),ギド・ピサーロ
Andrea Camilleri,アンドレア・カミッレーリ
Gregor Fučka,グレゴール・フッカ
Emidio Greco,エミディオ・グレコ
Quinto Ghermandi,クイント・ゲルマンディ
Giuseppe Calò,ジュゼッペ・カロ
Giuseppe Saronni,ジュゼッペ・サローニ
Mario Nascimbene,マリオ・ナシンベーネ
Ignazio Lupo,イニャツィオ・ルポ
Ruggero Deodato,ルッジェロ・デオダート
Angelo d'Arrigo,アンジェロ・ダリーゴ
Gianni Bugno,ジャンニ・ブーニョ
Arciso Artesiani,アルシソ・アルテジアーニ
Domenico Beccafumi,ドメニコ・ベッカフーミ
Barbara Bouchet,バルバラ・ブーシェ
Bruno Cirillo,ブルーノ・チリッロ
Massimo Girotti,マッシモ・ジロッティ
Vito Genovese,ヴィト・ジェノヴェーゼ
Éder (calciatore 1986),エデル・チタディン・マルティンス
Edinson Cavani,エディンソン・カバーニ
Norberto Bobbio,ノルベルト・ボッビオ
Giovanni Spadolini,ジョヴァンニ・スパドリーニ
Francesco Coco (calciatore),フランチェスコ・ココ
Francesco Quinn,フランチェスコ・クイン
Luigi Delneri,ルイジ・デルネーリ
Luca Cordero di Montezemolo,ルカ・ディ・モンテゼーモロ
Paolo Pulici,パオロ・プリーチ
Francesca Comencini,フランチェスカ・コメンチーニ
Nicola Sansone,ニコラ・サンソーネ
Vittorio Mussolini,ヴィットーリオ・ムッソリーニ
Lucia Valerio,ルチア・バレリオ
Dario Ambrosini,ダリオ・アンブロジーニ
Rahman Rezaei,ラフマン・レザイー
Leonardo Bertagnolli,レオナルド・ベルタニョッリ
Giorgia Moll,ジョルジア・モル
Carlo Maratta,カルロ・マラッタ
Stefano Borgonovo,ステファーノ・ボルゴノーヴォ
Dalida,ダリダ
Ignazio Silone,イニャツィオ・シローネ
Christian Panucci,クリスティアン・パヌッチ
Daniele De Rossi,ダニエレ・デ・ロッシ
Carlo Carrà,カルロ・カッラ
Pietro da Cortona,ピエトロ・ダ・コルトーナ
Julius Evola,ユリウス・エヴォラ
Marco Melandri,マルコ・メランドリ
Franco Frattini,フランコ・フラッティーニ
Enrico Bombieri,エンリコ・ボンビエリ
Alberico Evani,アルベリゴ・エヴァーニ
Ciro Immobile,チーロ・インモービレ
Nicole Minetti,ニコル・ミネッティ
Daniele da Volterra,ダニエレ・ダ・ヴォルテッラ
Luigi Marchisio,ルイジ・マルキジオ
Gianni Clerici,ジャンニ・クレリッチ
Letícia Román,レティシア・ロマン
Franco Gulli,フランコ・グッリ
Aimone di Savoia-Aosta (1900-1948),トミスラヴ2世
Valentino Rossi,バレンティーノ・ロッシ
Laura Pausini,ラウラ・パウジーニ
Gino Severini,ジーノ・セヴェリーニ
Giuseppe Signori,ジュゼッペ・シニョーリ
Giovanni Goria,ジョヴァンニ・ゴリーア
Lorenzo Ariaudo,ロレンツォ・アリアウド
Lino Ventura,リノ・ヴァンチュラ
Stefano Garzelli,ステファノ・ガルゼッリ
Lucia Valentini Terrani,ルチア・ヴァレンティーニ＝テッラーニ
Monica Esposito,モニカ・エスポジト
Francesca Dallapé,フランチェスカ・ダラッペ
Piero Fassino,ピエロ・ファッシノ
Fabio Biondi,ファビオ・ビオンディ
Luigi Carnera,ルイージ・カルネラ
Laura Morante,ラウラ・モランテ
Aleandro Rosi,アレアンドロ・ロージ
Piero Cappuccilli,ピエロ・カプッチルリ
Arnaldo Momigliano,アルナルド・モミリアーノ
Dino Ferrari,アルフレード・フェラーリ
Marco Marchionni,マルコ・マルキオンニ
Vitantonio Liuzzi,ヴィタントニオ・リウッツィ
Jarno Trulli,ヤルノ・トゥルーリ
Mario Andretti,マリオ・アンドレッティ
Marco Verratti,マルコ・ヴェッラッティ
Alfredo Casella,アルフレード・カゼッラ
Pier Gonella,ピエール・ゴネーラ
Giovanni Lavaggi,ジョバンニ・ラバッジ
Ivan Capelli,イヴァン・カペリ
Giancarlo Baghetti,ジャンカルロ・バゲッティ
Stefano Modena,ステファノ・モデナ
Marco Motta,マルコ・モッタ
Arturo Merzario,アルトゥーロ・メルツァリオ
Emanuele Naspetti,エマニュエル・ナスペッティ
Luigi Musso,ルイジ・ムッソ
Mauro Baldi,マウロ・バルディ
Alessandro Rosina,アレッサンドロ・ロジーナ
Enrico Albertosi,エンリコ・アルベルトージ
Ezio Pinza,エツィオ・ピンツァ
Tonino Guerra,トニーノ・グエッラ
Michelangelo Rampulla,ミケランジェロ・ランプッラ
Ottavio Bianchi,オッタヴィオ・ビアンキ
Alda Noni,アルダ・ノーニ
Amedeo Amadei,アメデオ・アマデイ
Achille Varzi,アキーレ・ヴァルツィ
Achille Occhetto,アキレ・オケット
Riccardo Morandi,リッカルド・モランディ
Giorgio La Pira,ジョルジョ・ラ・ピーラ
Giuseppe Pancaro,ジュゼッペ・パンカロ
Thomas Manfredini,トマス・マンフレディーニ
Massimo Crippa,マッシモ・クリッパ
Nino Defilippis,ニーノ・デフィリッピス
Giordano Abbondati,ジョルダーノ・アボンダッティ
Lazar' Naumovič Berman,ラザール・ベルマン
Tullio Pinelli,トゥリオ・ピネリ
Lionello Manfredonia,リオネッロ・マンフレドーニア
Gianpaolo Bellini (calciatore),ジャンパオロ・ベッリーニ
Leda Gloria,レダ・グロリア
Vittorio Brambilla,ヴィットリオ・ブランビラ
Gianni Morbidelli,ジャンニ・モルビデリ
Pierluigi Martini,ピエルルイジ・マルティニ
Emanuele Pirro,エマニュエル・ピロ
Daniele Mannini,ダニエレ・マンニーニ
Giuseppe De Luca (calciatore),ジュゼッペ・デ・ルカ
Giulio Donati,ジュリオ・ドナーティ
Maurizio Cattelan,マウリツィオ・カテラン
Flaminio Bertoni,フラミニオ・ベルトーニ
Matteo Paro,マッテオ・パーロ
Gianluca Brambilla,ジャンルーカ・ブランビッラ
Maria Teresa de Filippis,マリア・テレーザ・デ・フィリッピス
Ludovico Scarfiotti,ルドヴィコ・スカルフィオッティ
Lella Lombardi,レラ・ロンバルディ
Gabriel Paletta,ガブリエル・パレッタ
Stefano Okaka,ステファノ・オカカ・チュカ
Andy Selva,アンディ・セルヴァ
Max Tonetto,マックス・トネット
Amedeo Carboni,アメデオ・カルボーニ
Serge Reggiani,セルジュ・レジアニ
Stefania Rocca,ステファニア・ロッカ
Gianluca Basile,ジャンルカ・バジーレ
Paolo Barilla,パオロ・バリッラ
Piero Taruffi,ピエロ・タルッフィ
Teo Fabi,テオ・ファビ
Corrado Fabi,コラード・ファビ
Aldo Moro,アルド・モーロ
Lucien Bianchi,ルシアン・ビアンキ
Lucio Fulci,ルチオ・フルチ
Enrico Chiesa,エンリコ・キエーザ
Rafael Sabatini,ラファエル・サバチニ
Pino Lancetti,ピノ・ランチェッティ
Federico Zuccari,フェデリコ・ツッカリ
Salvatore Bagni,サルバトーレ・バーニ
Alessandro Mazzinghi,サンドロ・マジンギ
Marco Ambrosini,マルコ・アンブロジーニ
Nicola Berti,ニコラ・ベルティ
Guido Leoni (motociclista),グイド・レオーニ
Aldo Serena,アルド・セレーナ
Ederson Honorato Campos,エデルソン・オノラト・カンポス
Isa Miranda,イザ・ミランダ
Ivano Brugnetti,イバノ・ブルグネッティ
Franco Donatoni,フランコ・ドナトーニ
