조선민주주의인민공화국,朝鮮民主主義人民共和国
기쁨조,喜び組
안악군,安岳郡
백암군,白岩郡
만경대학생소년궁전,万景台学生少年宮殿
한국어의 남북 간 차이,朝鮮語の南北差
조선민주주의인민공화국 축구 협회,朝鮮民主主義人民共和国サッカー協会
1992년 동계 올림픽 조선민주주의인민공화국 선수단,1992年アルベールビルオリンピックの北朝鮮選手団
득장로동자구,得将地区
수안군,遂安郡
조선민주주의인민공화국 올림픽 위원회,朝鮮民主主義人民共和国オリンピック委員会
운곡지구,雲谷地区
온성역,穏城駅
평화를 위한 평양 국제 체육 및 문화축전,平和のための平壌国際体育・文化祝典
조선4·26아동영화촬영소,SEKスタジオ
례성강철교,礼成江鉄橋
조중 국경,中朝国境
약수역 (세포),薬水駅・(江原道)
동아시아 공동체,東アジア共同体
신흥역 (신흥),新興駅・(咸鏡南道)
오현역,梧玄駅
조선인민군 전략군,朝鮮人民軍戦略軍
숙천군,粛川郡
조국통일3대헌장기념탑,祖国統一三大憲章記念塔
평양 지하철도,平壌地下鉄
6·15 남북 공동선언,6.15南北共同宣言
갈마비행장,葛麻飛行場
대홍단군,大紅湍郡
개마고원,蓋馬高原
김정일의 죽음과 국장,金正日の死
룡성선,龍城線
함북선,咸北線
서해리선,西海里線
평의선,平義線
평남선,平南線
회령 정치범수용소,会寧強制収容所
양각도,羊角島
광복절,光復節・(韓国)
조선민주주의인민공화국의 철도,朝鮮民主主義人民共和国の鉄道
강계시,江界市
장충성당,長忠大聖堂
장방역,長芳駅
온수평역,温水坪駅
장진호 (호수),長津湖
조선인민군 총참모부 정찰총국,朝鮮人民軍総参謀部偵察局
조국통일상,祖国統一賞
은빛역,銀ビッ駅
은파역,銀波駅
조선민주주의인민공화국의 교통표지,朝鮮民主主義人民共和国の道路標識
전조선 제정당사회단체 대표자 연석회의,全朝鮮諸政党社会団体代表者連席会議
청단역,青丹駅
북위 39도,北緯39度線
함흥역,咸興駅
창흥역,昌興駅
함흥조차장역,咸興操車場
혜산청년역,恵山青年駅
조선로동당 통일전선부,朝鮮労働党統一戦線部
학송역,鶴松駅
김일성경기장,金日成競技場
아시안 하이웨이 32호선,アジアハイウェイ32号線
홍현역,紅峴駅
황해선,黄海線
회령청년역,会寧青年駅
흥남역,興南駅・(咸鏡南道)
온천군,温泉郡・(南浦特別市)
혜산시,恵山市
고원군,高原郡
회양군,淮陽郡
철원군 (북),鉄原郡・(北)
신천군,信川郡
고려링크,Koryolink
남흥선,南興線
조선민주주의인민공화국의 사형제,北朝鮮における死刑
만수대창작사,万寿台創作社
2019년 1월 6일 일식,2019年1月6日の日食
덕성선,徳城線
함주군,咸州郡
경원군 (함경북도),慶源郡
허천군,虚川郡
경성군,鏡城郡
운흥군,雲興郡
중화군,中和郡
송화군,松禾郡
만포선,満浦線
조선민주주의인민공화국의 국장,朝鮮民主主義人民共和国の国章
조선민주주의인민공화국 원,朝鮮民主主義人民共和国ウォン
백두산,白頭山
묘향산,妙香山
꽃제비,コッチェビ
랑림산맥,狼林山脈
평양 순안 국제공항,平壌国際空港
청진시,清津市
개성시,開城特別市
안변역,安辺駅
공동경비구역,共同警備区域
금성 전투,金城の戦い
아시안 하이웨이 6호선,アジアハイウェイ6号線
릉라도,綾羅島
한탄강,漢灘江
문천시,文川市
아시안 하이웨이 1호선,アジアハイウェイ1号線
기정동,機井洞
북한강,北漢江
만경대 (평양),万景台
조선민주주의인민공화국 중앙은행,朝鮮民主主義人民共和国中央銀行
선봉구역,先鋒区域
북위 40도,北緯40度線
ISO 3166-2:KP,ISO・3166-2:KP
조선민주주의인민공화국의 대외 관계,朝鮮民主主義人民共和国の国際関係
조선민주주의인민공화국의 정치,朝鮮民主主義人民共和国の政治
동경 125도,東経125度線
북한의 개인숭배,北朝鮮の個人崇拝
운봉선,雲峰線
갈마역 (원산),葛麻駅
제13기 최고인민회의 대의원 선거,2014年朝鮮民主主義人民共和国最高人民会議選挙
상풍강역,上豊江駅
송도원선,松涛園線
구중역,旧中駅
시정선,柴井線
리원선,利原線
평안북도,平安北道
황해북도,黄海北道
함흥시,咸興市
함경북도,咸鏡北道
함경남도,咸鏡南道
평안남도,平安南道
원산시,元山市
개성공업지구,開城工業地区
금강산국제관광특구,金剛山国際観光特別区
판문점,板門店
평양 국제영화축전,非同盟および発展途上国の平壌映画祭
무수단리,舞水端里
조선로동당 중앙위원회,朝鮮労働党中央委員会
금강산,金剛山・(朝鮮)
임진강,臨津江
북위 42도,北緯42度線
북위 41도,北緯41度線
동아시아 경기 대회,東アジア競技大会
조선민주주의인민공화국의 문화,朝鮮民主主義人民共和国の文化
고토역,古土駅
남동선,南洞線
압록강선,鴨緑江線
황강댐,黄江ダム
부전호국립공원,赴戦湖国立公園
강선역,降仙駅
동양역,東陽駅・(咸鏡南道)
정도선,鼎島線
남포역 (남포),南浦駅・(南浦特別市)
남애역,南涯駅
조선민주주의인민공화국의 인터넷,朝鮮民主主義人民共和国のインターネット
만수대대기념비,万寿台大記念碑
량강도,両江道
남포시,南浦特別市
옥류교,玉流橋
1996년 하계 올림픽 조선민주주의인민공화국 선수단,1996年アトランタオリンピックの北朝鮮選手団
만수대,万寿台
릉라교,綾羅橋
김원균명칭 음악종합대학,金元均名称音楽総合大学
조선혁명박물관,朝鮮革命博物館
신의주시,新義州市
감호역,鑑湖駅
말레이시아-조선민주주의인민공화국 관계,マレーシアと北朝鮮の関係
개천탄광선,价川炭鉱線
운흥역,雲興駅
조선민주주의인민공화국의 섬 목록,朝鮮民主主義人民共和国の島の一覧
아리랑 (스마트폰),アリラン・(スマートフォン)
신양역 (신양),新陽駅
방화역 (고원),傍花駅・(咸鏡南道)
조선민주주의인민공화국 외무성,外務省・(朝鮮民主主義人民共和国)
심화조 사건,深化組事件
청년영웅도로,青年英雄道路
두만강선,豆満江線
조선외국문도서출판사,外国文総合出版社
연사역,延社駅
강안선,江岸線
백두산 밀영,白頭山密営
개성역사유적지구,開城の歴史的建造物群と遺跡群
조선민주주의인민공화국의 종교,朝鮮民主主義人民共和国の宗教
조선인민군 해군,朝鮮人民軍海軍
조선인민군 륙군,朝鮮人民軍陸軍
조선민주주의인민공화국의 지리,朝鮮民主主義人民共和国の地理
사동구역,寺洞区域
서흥군,瑞興郡
대동군,大同郡
강남군,江南郡
순안구역,順安区域
릉라도5월1일경기장,綾羅島5月1日競技場
김형직군,金亨稷郡
사회주의애국청년동맹,社会主義愛国青年同盟
이천군,伊川郡
평양 개선문,凱旋門・(平壌)
허천선,虚川線
긴등역,キンドゥン駅
청년팔원선,青年八院線
안주탄광선,安州炭鉱線
이란-조선민주주의인민공화국 관계,イランと北朝鮮の関係
정방리역,正方里駅
송림선,松林線
북위 43도,北緯43度線
신천역 (신천),信川駅
마전역 (함흥),麻田駅・(咸鏡南道)
한국 군사 정전에 관한 협정,朝鮮戦争休戦協定
630호대 증기 기관차,朝鮮鉄道630形蒸気機関車
사구역,沙口駅・(咸鏡北道)
국경역 (온성),国境駅・(咸鏡北道)
신창역 (은산),新倉駅・(平安南道)
신포역 (신포),新浦駅・(咸鏡南道)
구장청년역,球場青年駅
단천청년역,端川青年駅
운포역,雲浦駅
운곡역,雲谷駅
리원역,利原駅
리평역,梨坪駅
사도역,蛇島駅
늪평역,ヌプ坪駅
쌍룡역 (김책),双龍駅・(咸鏡北道)
660호대 증기 기관차,朝鮮鉄道660形蒸気機関車
일본-조선민주주의인민공화국 관계,日朝関係
조선사회주의녀성동맹,朝鮮社会主義女性同盟
옹진반도,甕津半島
조선농업근로자동맹,朝鮮農業勤労者同盟
조선민주주의인민공화국에 대한 제재,朝鮮民主主義人民共和国に対する制裁
주체연호,主体年号
미국-조선민주주의인민공화국 관계,米朝関係
조선민주주의인민공화국의 정치범수용소,朝鮮民主主義人民共和国の強制収容所
북조선로동당,北朝鮮労働党
조선민주주의인민공화국 중앙재판소,朝鮮民主主義人民共和国中央裁判所
조선직업총동맹,朝鮮職業総同盟
보천선,普天線
검산리역,剣山里駅
자양역 (황해남도),紫陽駅・(黄海南道)
2016년 1월 조선민주주의인민공화국 핵 실험,北朝鮮の核実験・(2016年1月)
대오천역,大五川駅
보안역,甫安駅
2016년 조선민주주의인민공화국,2016年の朝鮮民主主義人民共和国
심포리역 (운흥),深浦里駅
라산역,羅山駅・(咸鏡南道)
천을역,天乙駅
새동역,セドン駅
무창역,茂昌駅
금산역,金山駅・(黄海南道)
물골역,ムルゴル駅
생기령역,生気嶺駅
생장역,生長駅
귀인역,貴仁駅
금송역,金松駅
미둔역,弥屯駅
극동역,極洞駅
장평역,長坪駅
문봉역,文峰駅
금바위역,金バウィ駅
천태역,天台駅・(黄海南道)
장림역 (성천),長林駅・(平安南道)
상룡전역,上龍田駅
명호역,明湖駅
월탄역,月灘駅
과학기술전당,科学技術殿堂
자성역,慈城駅・(慈江道)
원평역,院坪駅
삼지연못가역,三池淵モッカ駅
삼호역,三湖駅・(咸鏡南道)
삼향역,三郷駅・(咸鏡北道)
조선로동당 제7차 대회,朝鮮労働党第7次大会
삼해역,三海駅
자산역,慈山駅
삼수청년역,三水青年駅
삼지연청년역,三池淵青年駅
상대역,上台駅
위연청년역,渭淵青年駅
업억역,業億駅
세선역,世仙駅
함주역,咸州駅
보천청년역,普天青年駅
세포리역,細浦里駅
기암역,奇巌駅
양곡역,暘谷駅・(両江道)
여해진역,汝海津駅
선봉역,先鋒駅・(羅先特別市)
성후역,城後駅
어대진역,漁大津駅
재덕역,載徳駅
전평역,銭坪駅
축전역,杻田駅・(咸鏡南道)
갈산역 (청단),葛山駅・(黄海南道)
합수역,合水駅
향죽역,香竹駅
서함흥역,西咸興駅
기탄역,岐灘駅
민탕역,珉湯駅
은덕역,恩徳駅
조선로동당 중앙위원회 정치국 상무위원회,朝鮮労働党中央委員会政治局常務委員会
장마당 (조선민주주의인민공화국),チャンマダン
조선민주주의인민공화국 로동성,労働省・(朝鮮民主主義人民共和国)
전사의 영예 훈장,戦士栄誉勲章
대동강구역,大同江区域
주체사상,主体思想
형제산구역,兄弟山区域
길주군,吉州郡
평라선,平羅線
보천군,普天郡
동대원구역,東大院区域
락랑구역,楽浪区域
금호지구,琴湖地区
어랑군,漁郎郡
보통강,普通江
김형권군,金亨権郡
풍서군,豊西郡
은률군,殷栗郡
서성구역,西城区域
안주시,安州市
리순신장군훈장,李舜臣勲章
라진구역,羅津区域
조선민주주의인민공화국의 고속도로,朝鮮民主主義人民共和国の高速道路
우의탑,友誼塔
조선그리스도교련맹,朝鮮キリスト教聯盟
김일성훈장,金日成勲章
조선민주주의인민공화국 내각,朝鮮民主主義人民共和国内閣
남북공동연락사무소 사무처,南北共同連絡事務所
신북청역,新北青駅
신상역,新上駅
련진역,連津駅
화계역 (금강산선),花渓駅・(江原道)
령하역,嶺下駅
룡출역,龍出駅
룡대역,龍台駅
당의 유일적령도체계확립의 10대 원칙,党の唯一思想体系確立の10大原則
신련포역,新蓮浦駅
룡동역,龍洞駅
호위사령부,護衛司令部
현흥역,玄興駅
금야역,金野駅・(咸鏡南道)
문암역 (고성),文岩駅・(江原道)
령남역,嶺南駅・(両江道)
룡현역,龍峴駅
로동역,芦洞駅
로탄역,蘆灘駅
조선민주주의인민공화국 평화박물관,朝鮮民主主義人民共和国平和博物館
공화국영웅,朝鮮民主主義人民共和国英雄
자유독립훈장,自由独立勲章
조선민주주의인민공화국의 인구,朝鮮民主主義人民共和国の人口統計
신천박물관,信川博物館
삼지연,三池淵
신원역 (신원),新院駅・(黄海南道)
관해역,観海駅
평양시간,平壌時間
조선중앙방송위원회,朝鮮中央放送
륙대동역,六坮洞駅
러시아-조선민주주의인민공화국 관계,ロシアと朝鮮の関係
안악 3호분,安岳3号墳
은하수관현악단,銀河水管弦楽団
평양산원,平壌産院
조선적십자회,朝鮮赤十字会
조선민주주의인민공화국 U-17 축구 국가대표팀,U-17サッカー朝鮮民主主義人民共和国代表
대성산 (평양),大城山
애국렬사릉,愛国烈士陵
개선청년공원,凱旋青年公園
포항구역,浦港区域
송평구역,松坪区域
신암구역,新岩区域
부윤구역,富潤区域
청암구역,青岩区域
수남구역,水南区域
라남구역,羅南区域
조선민주주의인민공화국 U-23 축구 국가대표팀,U-23サッカー朝鮮民主主義人民共和国代表
연안역,延安駅・(黄海南道)
강상리역,江上里駅
속후역,俗厚駅
정일봉,正日峰
강령역,康翎駅
강구역 (혜산),江口駅・(両江道)
연풍역,延豊駅
송단역,松端駅
김일성가,白頭血統
2016년 함경북도 홍수,2016年の北朝鮮における洪水
푸에블로함 피랍 사건,プエブロ号事件
2016년 9월 조선민주주의인민공화국 핵 실험,北朝鮮の核実験・(2016年9月)
조선민주주의인민공화국 국무위원회,朝鮮民主主義人民共和国国務委員会
건자역,乾自駅
토령역,土嶺駅
송평역,松坪駅
김책역,金策駅
송상역,松上駅
송전역,松田駅・(両江道)
강하역,江下駅
수덕역 (은산),修徳駅
염분역,塩盆駅
거산역,居山駅
오계역,梧渓駅
홍원역,洪原駅
홍군역,洪君駅
범포역,范浦駅
수양역,首陽駅
거차역,巨次駅
수남역,水南駅
오구비역,オグビ駅
조막산역,造幕山駅
보통강역,普通江駅
조선인민군 특수작전군,朝鮮人民軍特殊作戦軍
조선민주주의인민공화국의 성소수자 권리,朝鮮民主主義人民共和国におけるLGBTの権利
조선민주주의인민공화국 무력 최고사령관,朝鮮民主主義人民共和国武力最高司令官
2013년 조선민주주의인민공화국 핵 실험,北朝鮮の核実験・(2013年)
멸악산맥,滅悪山脈
순천역 (평안남도),順川駅
천리장성,千里長城
조선로동당 대표자회,朝鮮労働党大会
장진선,長津線
중화역 (중화),中和駅・(黄海北道)
정주청년역,定州青年駅
함흥대극장,咸興大劇場
장연선,長淵線
청진청년역,清津青年駅
청계역,清渓駅
청천강역,清川江駅
청강역,清江駅
침촌역,沈村駅
후창역,厚倉駅
포평청년역,葡坪青年駅
오몽리역,吾夢里駅
경안역,景安駅・(咸鏡南道)
평양희천고속도로,平壌-香山観光道路
부거역,富居駅
옹진역,甕津駅
남계역,南渓駅・(両江道)
후주청년역,厚州青年駅
동북리역,東北里駅
회양역,檜陽駅
화평역 (화평),和坪駅
두지역,杜芝駅
경성역 (경성군),鏡城駅
남문역,南門駅・(慈江道)
봉강역,鳳岡駅
제105기갑사단 (조선민주주의인민공화국),第105戦車師団・(朝鮮人民軍)
팔흥역,八興駅
승원역,勝院駅
회중역,檜中駅
오봉역 (경흥),梧鳳駅
증산역 (리원),曽山駅
죽전역 (김형직),竹田駅・(両江道)
라죽역,羅竹駅
라흥역,羅興駅
풍어역,豊漁駅
랭정역,冷井駅・(黄海南道)
남중역,南中駅
남양역,南陽駅・(咸鏡北道)
풍양역 (김정숙),豊陽駅
남석역,南夕駅
락원역 (락원),楽園駅・(咸鏡南道)
풍계역,豊渓駅
량강신상역,両江新上駅
주서역,州西駅
일신역 (단천),日新駅・(咸鏡南道)
지수역,智水駅
내동역 (양덕),内洞駅
중도역,中島駅・(咸鏡北道)
왕장역,旺場駅
중이역,中二駅
인흥역,仁興駅
부평역 (정평),富坪駅・(咸鏡南道)
인산역,仁山駅・(両江道)
인평역,仁平駅
락산역,洛山駅
만춘역,晩春駅
거흥역,巨興駅
풍천역,楓川駅
룡연역,龍淵駅
방진역,方津駅
룡운역,龍雲駅
구성역 (구성),亀城駅
내포역 (함경북도),内浦駅
신단천역,新端川駅
려호역,呂湖駅
문필역,文筆駅
경포역,景浦駅
동사리원역,東沙里院駅
학성역 (김책),鶴城駅・(咸鏡北道)
한국 중부,韓国中部
녕변군,寧辺郡
미국 기자 북한 억류 사건,2009年北朝鮮によるアメリカ人記者拘束事件
제766독립보병연대,第766独立歩兵連隊・(朝鮮人民軍)
제6사단 (조선민주주의인민공화국),第6師団・(朝鮮人民軍)
칠골역,チルゴル駅
만수대예술극장,万寿台芸術劇場
두루섬,トゥル島
만경대혁명학원,万景台革命学院
신압록강대교,新鴨緑江大橋
배산점역,裵山店駅
도문국경대교,図們国境大橋
인민문화궁전,人民文化宮殿
두만강대교,図們江大橋
기자릉,箕子陵
조선중앙력사박물관,朝鮮中央歴史博物館
관서팔경,関西八景
봉화예술극장,烽火芸術劇場
장혜국제대교,長恵国際大橋
만경봉,万景峰
평양대극장,平壌大劇場
승암역,勝岩駅
정평역 (정평),定平駅
풍계리,豊渓里
신중역,新中駅
신파청년역,新坡青年駅
침교역,砧橋駅
무산광산선,茂山鉱山線
마식령 스키장,馬息嶺スキー場
일탄선,日炭線
양화역,陽化駅
어랑역,漁郎駅
봉학역,鳳鶴駅
청하역,清下駅
성덕역,城徳駅
와우도구역,臥牛島区域
사향역,麝香駅
서호역,西湖駅・(咸鏡南道)
회암역,灰岩駅
문덕역,文徳駅・(平安南道)
전탄역,前灘駅
문무역,文武駅
내중역,内中駅
광명성절,光明星節
물개역,物開駅
조선민주주의인민공화국 사회안전성,社会安全省
학현역,鶴峴駅
