Los Angeles,洛杉矶
West Covina,西柯汶纳
Whittier,惠提尔
Simi Valley,西米谷
Stockton,斯托克顿
Sunnyvale,森尼韦尔
Temecula,特曼库拉
Pomona,波莫纳
Rancho Cucamonga,庫卡蒙格牧場
Colorado Springs,科罗拉多斯普林斯
Hayward,海沃德
Huntington Beach,亨廷頓比奇
Arvada,阿瓦達
Aurora,奥罗拉
Torrance,托倫斯
Vallejo,瓦列霍
Visalia,維塞利亞
Inglewood,英格爾伍德
Irvine,爾灣
Mountain View,山景城
Oakland,奥克兰
Reno,雷諾
Henderson,亨德森
San Angelo,聖安吉洛
Lubbock,拉伯克
Midland,米德蘭
Odessa,敖德薩
North Las Vegas,北拉斯維加斯
Amarillo,阿馬里洛
Boulder,波德
Fort Collins,科林斯堡
Greeley,格里利
Montpelier,蒙彼利埃
Pittsburgh,匹兹堡
Reading,雷丁
Oceanside,歐申賽德
Ontario,安大略
Orange,橙市
Oxnard,奥克斯纳德
Palmdale,棕櫚谷
Palo Alto,帕羅奧圖
Pasadena,帕萨迪纳
Garden Grove,加登格羅夫
Glendale,格倫代爾
Modesto,莫德斯托
Moreno Valley,莫雷諾谷
Lakewood,莱克伍德
Lancaster,蘭開斯特
Long Beach,長灘
Anaheim,阿納海姆
Bakersfield,贝克斯菲尔德
Bridgeport,布里奇波特
Rockford,罗克福德
Sterling Heights,斯特靈海茨
Troy,特洛伊
Flint,弗林特
Grand Rapids,大急流城
Stamford,斯坦福
Waterbury,沃特伯里
Cedar Rapids,錫達拉皮茲
Davenport,達文波特
Virginia Beach,維珍尼亞海灘
Portland,波特蘭
Lowell,洛厄尔
Lynn,林恩
Springfield,斯普林菲尔德
Worcester,伍斯特
Augusta,奥古斯塔
New Bedford,新贝德福德
Toledo,托莱多
Allentown,阿伦敦
Harrisburg,哈里斯堡
Erie,伊利
Rochester,羅徹斯特
Omaha,奥马哈
Duluth,杜魯斯
Concord,康科德
Manchester,曼徹斯特
Nashua,纳舒厄
Fargo,法戈
Rochester,羅徹斯特
Cleveland,克里夫蘭
Syracuse,锡拉丘兹
Yonkers,揚克斯
Akron,阿克伦
Manhattan,曼哈顿
Elgin,埃爾金
Evanston,埃文斯顿
New Haven,纽哈芬市
Norwalk,诺沃克
Champaign,尚佩恩
Edison,爱迪生
Jersey City,泽西市
Newark,紐華克
Paterson,帕特森
Buffalo,水牛城
Dearborn,迪尔伯恩
Kalamazoo,卡拉马祖
Ann Arbor,安娜堡
Warren,沃伦
Minneapolis,明尼阿波利斯
Naperville,內珀維爾
Peoria,皮奥里亚
Fall River,福尔里弗
Brockton,布罗克顿
Cambridge,剑桥
South Bend,南本德
Fort Wayne,韋恩堡
Gary,加里
Hammond,哈蒙德
Danbury,丹伯里
Murfreesboro,默弗里斯伯勒
Knoxville,諾克斯維爾
Norman,諾曼
Chattanooga,查塔努加
Clarksville,克拉克斯维尔
Charleston,查尔斯顿
Roanoke,羅阿諾克
Hampton,漢普頓
Norfolk,諾福克
Chesapeake,切萨皮克
Round Rock,朗德羅克
Pasadena,帕薩迪納
Plano,普莱诺
Tyler,泰勒
Waco,韋科
McAllen,麦卡伦
Mesquite,梅斯基特
Irving,歐文
Wichita Falls,威奇托福尔斯
Alexandria,亚历山德里亚
Brownsville,布朗斯維爾
Grand Prairie,大草原城
Abilene,阿比林
Arlington,阿灵顿
College Station,大學城
Corpus Christi,科珀斯克里斯蒂
Garland,加蘭
Killeen,基林
Laredo,拉雷多
Beaumont,博蒙特
Denton,登頓
Fayetteville,費耶特維爾
Greensboro,格林斯伯勒
High Point,海波因特
Cary,卡瑞
Annapolis,安那波利斯
Durham,德罕
Cincinnati,辛辛那提
Dayton,代顿
Asheville,阿什维尔
Wilmington,威尔明顿
Camden,肯頓
St. Louis,圣路易斯
Springfield,斯普林菲尔德
Columbia,哥倫比亞
Independence,独立城
Jefferson City,杰斐逊城
Mobile,莫比尔
Shreveport,什里夫波特
Lafayette,拉法葉
Savannah,薩凡納
Huntsville,亨茨维尔
Tuscaloosa,塔斯卡卢萨
Fort Smith,史密斯堡
Boca Raton,博卡拉頓
Cape Coral,開普科勒爾
Dover,多佛
Wilmington,威尔明顿
Columbus,哥伦布
Pensacola,彭萨科拉
Pompano Beach,龐帕諾比奇
Tampa,坦帕
Melbourne,墨爾本
Miami Beach,迈阿密海滩
Orlando,奥兰多
Clearwater,克利爾沃特
Fort Lauderdale,劳德代尔堡
Gainesville,蓋恩斯維爾
Hialeah,海厄利亞
Hollywood,好萊塢
Homestead,霍姆斯特德
West Palm Beach,西棕榈滩
Athens,雅典
Lakeland,莱克兰
Birmingham,伯明翰
Lexington,列克星敦
Louisville,路易維爾
Wichita,威奇托
Frankfort,法兰克福
Evansville,埃文斯維爾
Eugene,尤金
Provo,普若佛
Helena,赫勒拿
Kent,肯特
Everett,埃弗里特
Bellevue,贝尔维尤
Renton,伦顿
Spokane,斯波坎
Tacoma,塔科马
Vancouver,溫哥華
Denali,迪纳利
Anchorage,安克拉治
Roswell,羅斯維爾
New Mexico,新墨西哥州
Pocatello,波卡特洛
Idaho Falls,爱达荷福尔斯
Idaho,爱达荷州
Prescott,普雷斯科特
Bullhead City,布尔海德市
Casa Grande,卡萨格兰德
Chino,奇诺
Citrus Heights,柑橘高地
Clovis,克洛维斯
Flagstaff,弗拉格斯塔夫
Sierra Vista,谢拉维斯塔
Alameda,阿拉米達
Costa Mesa,科斯塔梅薩
Culver City,卡尔弗城
Cupertino,庫比蒂諾
Davis,戴維斯
Bellflower,贝尔弗劳尔
Elk Grove,埃爾克格羅夫
Buena Park,普安那公园
California,加州
Camarillo,卡馬里奧
Carson,卡森
Cranston,克兰斯顿
Pawtucket,波塔基特
Lake Havasu City,哈瓦苏湖城
Racine,拉辛
Fairfield,費爾菲爾德
Folsom,佛森
Fontana,方塔納
Redwood City,紅木城
Rialto,里亚托
Roseville,羅斯維爾
Littleton,利特尔顿
Englewood,恩格尔伍德
Grand Junction,大章克申
San Clemente,圣克莱门特
San Leandro,聖利安卓
San Luis Obispo,聖路易斯-奧比斯保
San Marcos,聖馬可斯
San Rafael,圣拉菲尔
Santa Cruz,聖塔克魯茲
Walnut Creek,核桃溪
West Sacramento,西萨克拉门托
Westminster,威斯敏斯特
South Lake Tahoe,南太浩湖
Thousand Oaks,千橡市
Pleasanton,普莱森顿
Redlands,雷德兰兹
Colorado,科羅拉多州
Hawthorne,霍桑
Hemet,赫米特
Hesperia,希斯皮里亚
Hollywood,好莱坞
Yorba Linda,约巴林达
Tracy,特雷西
Turlock,特洛克
Tustin,塔斯廷
Upland,阿普兰
Vacaville,瓦卡维尔
Ventura,文图拉
Victorville,维克多维尔
Vista,维斯塔
Indio,印第奥
Murrieta,穆列塔
Napa,纳帕
Norwalk,諾沃克
Novato,诺瓦托
Nevada,内华达州
Pahrump,帕朗
Wisconsin,威斯康辛州
Redding,雷丁
Longmont,朗蒙特
Loveland,拉夫兰
Utah,猶他州
Arizona,亞利桑那州
Avondale,埃文代尔
Eau Claire,歐克雷爾
La Crosse,拉克罗斯
Warwick,沃威克
Burlington,伯靈頓
Palm Desert,棕榈沙漠
Palm Springs,棕櫚泉
Perris,佩里斯
Petaluma,佩塔卢马
Pico Rivera,皮科里韦拉
Gardena,加迪纳
Goleta,戈利塔
Merced,美熹德
Milpitas,米尔皮塔斯
Mission Viejo,米申维耶霍
Monterey,蒙特雷
Monterey Park,蒙特利公园
La Jolla,拉霍亚
La Mesa,拉米萨
Lake Elsinore,湖埃尔西诺
Livermore,利佛摩
Lodi,洛迪
Los Altos,洛思阿圖斯
Los Gatos,洛思加圖斯
Manteca,曼特卡
Antioch,安條克
Arcadia,亞凱迪亞
Bristol,布里斯托尔
Johnstown,约翰斯敦
Lancaster,兰开斯特
Sioux City,蘇城
Schaumburg,绍姆堡
Pontiac,庞蒂亚克
East Lansing,东兰辛
Morgantown,摩根敦
Parkersburg,帕克斯堡
Iowa City,艾奥瓦城
Iowa,爱荷华州
Council Bluffs,康瑟尔布拉夫斯
Huntington,亨廷顿
Maine,缅因州
Pittsfield,皮茨菲尔德
Quincy,昆西
Somerville,萨默维尔
Lawrence,劳伦斯
Waltham,沃尔瑟姆
Newton,牛顿
Northampton,北安普敦
Kent,肯特
Lorain,洛兰
Youngstown,扬斯敦
Bethlehem,伯利恒
Bellevue,贝尔维尤
Nebraska,內布拉斯加州
Portsmouth,朴次茅斯
Rochester,羅徹斯特
Grand Forks,大福克斯
Rome,羅馬
Schenectady,斯克内克塔迪
Utica,由提卡
White Plains,白原市
Mount Vernon,弗農山
New Rochelle,新羅謝爾
New York,纽约州
Niagara Falls,尼亞加拉瀑布城
Illinois,伊利诺伊州
Ames,艾姆斯
New Britain,新不列颠
Bloomington,布卢明顿
Clifton,克利夫頓
Elizabeth,伊麗莎白
Ithaca,伊萨卡
New Brunswick,新布朗斯维克
Princeton,普林斯顿
Binghamton,賓漢頓
Elmira,埃尔迈拉
Battle Creek,巴特爾克里克
Minnesota,明尼苏达州
Brookline,布鲁克莱恩
Chicopee,奇科皮
Waukegan,沃基根
West Virginia,西維吉尼亞州
Elkhart,埃尔克哈特
Kokomo,科科莫
Lafayette,拉斐特
Andover,安多佛
Alabama,亚拉巴马州
Anniston,安尼斯敦
Auburn,歐本
Jackson,傑克遜
Johnson City,約翰遜城
Kingsport,金斯波特
Oklahoma,俄克拉荷馬州
Mount Pleasant,芒特普林森
Myrtle Beach,默特尔比奇
North Charleston,北查尔斯顿
Cookeville,庫克維爾
Stillwater,斯蒂尔沃特
Florence,佛罗伦萨
Greenville,格林维尔
Mississippi,密西西比州
Columbus,哥伦布
Biloxi,比洛克西
Gulfport,格尔夫波特
Hattiesburg,哈蒂斯堡
Salisbury,索爾茲伯里
Silver Spring,银泉
Tupelo,图珀洛
Frederick,弗雷德里克
Gaithersburg,盖瑟斯堡
Hagerstown,黑格斯敦
Rockville,羅克維爾
Hamilton,漢密爾頓
North Carolina,北卡罗来纳州
Lawton,劳顿
Springfield,斯普林菲尔德
Portsmouth,朴次茅斯
Lynchburg,林奇堡
Suffolk,薩福克
Charlottesville,夏律第鎮
Sugar Land,舒格蘭
Temple,坦普爾
Texarkana,特克萨卡纳
New Braunfels,新布朗費爾斯
Port Arthur,阿瑟港
Blacksburg,黑堡
Texas,得克萨斯州
Victoria,維多利亞
Longview,朗維尤
Lufkin,拉夫金
Spartanburg,斯帕坦堡
Summerville,萨默维尔
Bryan,布賴恩
Carrollton,卡羅爾頓
Harlingen,哈靈根
Galveston,加爾維斯敦
Lewisville,刘易斯维尔
Baytown,貝敦
Gastonia,加斯托尼亞
Cumberland,坎伯蘭
Bethesda,贝塞斯达
York,約克
Aiken,艾肯
Anderson,安德森
Atlantic City,大西洋城
Toms River,湯姆斯河
Missouri,密苏里州
Slidell,斯莱德尔
Kenner,肯纳
Lake Charles,莱克查尔斯
Louisiana,路易斯安那州
Monroe,门罗
Alexandria,亚历山德里亚
Bossier City,波西尔城
Roswell,罗斯韦尔
Macon,梅肯
Marietta,玛丽埃塔
Georgia,乔治亚
Duluth,杜魯斯
Smyrna,士麦那
Opelika,欧佩莱卡
Phenix City,凤凰城
Florence,弗洛伦斯
Gadsden,加兹登
Decatur,迪凯特
Dothan,多森
Arkansas,阿肯色州
Rogers,罗杰斯
Jonesboro,琼斯伯勒
Fayetteville,费耶特维尔
Bonita Springs,博尼塔温泉
Boynton Beach,博因顿海滩
Bradenton,布雷登顿
Newark,纽瓦克
Altamonte Springs,阿尔塔蒙特斯普林斯
Pembroke Pines,彭布羅克派恩斯
Pinellas Park,皮内拉斯公园
Sarasota,萨拉索塔
Naples,那不勒斯
New Port Richey,新里奇港
North Port,北港
Ocala,奥卡拉
Ormond Beach,奥蒙德海滩
Palm Bay,棕榈湾
Palm Coast,棕榈海岸
Panama City,巴拿马城
Cocoa,可可
Daytona Beach,戴通納海灘
Deerfield Beach,迪尔菲尔德海滩
Delray Beach,德拉海灘
Deltona,德尔托纳
Florida,佛罗里达州
Fort Myers,麥爾茲堡
Fort Pierce,匹尔斯堡
Winter Haven,温特黑文
Winter Park,温特帕克
Albany,奧爾巴尼
Augusta,奥古斯塔
Jupiter,朱庇特
Kissimmee,基西米
Lake Worth Beach,莱克沃思
Largo,拉哥
Bessemer,贝瑟默
Covington,卡温顿
Owensboro,欧文斯伯勒
Bowling Green,鮑靈格林
Kansas,堪薩斯州
Lawrence,勞倫斯
Manhattan,曼哈頓
Olathe,奧拉西
Decatur,迪凯特
Jeffersonville,杰斐逊维尔
Bloomington,布卢明顿
Carmel,卡梅尔
Terre Haute,特雷霍特
Medford,梅德福
West Jordan,西喬丹
Bend,本德
Corvallis,科瓦利斯
Logan,洛根
Ogden,奥格登
Orem,奥勒姆
Hillsboro,希尔斯伯勒
Missoula,米蘇拉
Bozeman,博兹曼市
Butte,比尤特
Montana,蒙大拿州
Oregon,俄勒冈州
Great Falls,大瀑布城
Casper,卡斯珀
Laramie,拉勒米
Kennewick,肯纳威克
Kirkland,柯克兰
Lakewood,莱克伍德
Hawaii,夏威夷州
Federal Way,费德勒尔韦
North Dakota,北达科他州
Auburn,奥本
Bellingham,贝灵厄姆
Bremerton,布雷默顿
Puyallup,皮阿拉普
Redmond,雷德蒙德
Pierre,皮尔
Rapid City,拉皮德城
South Dakota,南达科他州
Washington,华盛顿州
Yakima,雅基馬
Fairbanks,費爾班克斯
Wyoming,怀俄明州
Alaska,阿拉斯加州
Kentucky,肯塔基州
Virginia,弗吉尼亚州
Sedona,塞多纳
Buckeye,巴克艾
Cathedral City,大教堂城
Colton,科尔顿
Douglas,道格拉斯
Aliso Viejo,亚里索维耶荷
Covina,柯汶纳
Danville,丹维尔
Delano,德拉诺
Desert Hot Springs,沙漠温泉
Brea,布雷亚
Brentwood,布伦特伍德
Dublin,都伯林
East Los Angeles,东洛杉矶
Encinitas,恩西尼塔斯
Burlingame,伯灵格姆
Calexico,加利西哥
Campbell,坎貝爾
Goodyear,嘉年
Nogales,诺加利斯
Newport,纽波特
Kingman,金曼
Maricopa,马里科帕
Fountain Valley,芳泉谷
Ridgecrest,里奇克莱斯特
Rocklin,罗克林
Rosemead,柔似蜜
Thornton,桑頓
Golden,戈尔登
Lakewood,萊克伍德
Parker,帕克
San Francisco International Airport,舊金山國際機場
San Gabriel,圣盖博
San Jacinto,圣哈辛托
San Juan Capistrano,圣胡安-卡皮斯特拉诺
San Ramon,圣拉蒙
Santa Paula,圣保拉
Santee,桑蒂
Saratoga,薩拉托加
Walnut,沃尔纳特
Watsonville,沃森维尔
Woodland,伍德兰
Sierra Nevada,內華達山脈
South Gate,南门
South San Francisco,南旧金山
Pittsburg,匹兹堡
Placentia,普拉森
Porterville,波特维尔
Poway,波威
Rancho Cordova,兰乔科尔多瓦
Redondo Beach,雷东多海滩
Centennial,森特尼尔
Commerce City,商贸城
Huntington Park,亨廷顿公园
Imperial Beach,因皮里尔滩
Yuba City,尤巴城
Brighton,布莱顿
Truckee,特拉基
Tulare,图莱里
Twentynine Palms,二十九棕榈村
National City,纳雄耐尔城
McCarran International Airport,麦卡伦国际机场
Paradise,天堂市
Cedar City,雪松城
Shasta Lake,沙斯塔湖
Eureka,尤里卡
Vermont,佛蒙特州
Paradise,天堂
Gilroy,吉尔罗伊
Glendora,格伦多拉
Hanford,汉福德
Menlo Park,门洛帕克
Monrovia,蒙罗维亚
Montebello,蒙提贝罗
Moorpark,穆尔帕克
Moraga,莫拉加
La Habra,拉哈布拉
La Mirada,拉米拉达
Laguna Niguel,尼古湖
Lake Forest,森林湖
Lemon Grove,莱蒙格罗韦
Lemoore,勒穆尔
Loma Linda,罗马琳达
Lompoc,隆波克
Los Angeles International Airport,洛杉磯國際機場
Lynwood,林伍德
Madera,马德拉
Manhattan Beach,曼哈顿海滩
New Castle,紐卡斯爾
Apple Valley,苹果谷
Baldwin Park,鲍德温公园
Barstow,巴斯托
Williamsport,威廉斯波特
Traverse City,特拉弗斯城
Lewiston,刘易斯顿
Plymouth,普利茅斯
Salem,塞勒姆
Holyoke,霍利奥克
Lexington,列克星敦
Taunton,汤顿
Watertown,沃特敦
Westfield,韦斯特菲尔德
Bangor,班戈
Ohio,俄亥俄州
Altoona,阿尔图纳
Kearney,卡尼
New Hampshire,新罕布什尔州
Dover,多佛
Elyria,伊利里亞
Grand Island,格蘭德艾蘭
Troy,特洛伊
Uniondale,尤寧戴爾
Poughkeepsie,波啟浦夕
West Haven,西黑文
Meriden,梅里登
Middletown,米德尔敦
Milford,米尔福德
New London,新伦敦
Norwich,诺威奇
Greenwich,格林尼治
Winchester,溫徹斯特
Union City,友聯市
Hoboken,霍博肯
Bayonne,貝永
John F. Kennedy International Airport,約翰·甘迺迪國際機場
Passaic,巴賽克
Bushwick,布希維克
Lake Champlain,尚普蘭湖
Auburn,奧本
Flushing,法拉盛
Harlem,哈莱姆区
Bay City,贝城
Moorhead,穆爾黑德
Moline,莫林
Normal,诺默尔
Logan International Airport,爱德华·劳伦斯·洛根将军国际机场
Gloucester,格洛斯特
Urbana,厄巴纳
Chelsea,切尔西
Indiana,印第安纳州
Valparaiso,瓦尔帕莱索
West Lafayette,西拉法葉
Arlington,阿灵顿
Athens,阿森斯
Atmore,阿特莫尔
Revere,里维尔
Oak Ridge,橡树岭
Pascagoula,帕斯卡古拉
Ponca City,庞卡城
North Myrtle Beach,美特尔海滩
Bristol,布里斯托爾
Shawnee,肖尼
South Carolina,南卡罗来纳州
Fort Mill,米尔堡
Greenwood,格林伍德
Greer,格里尔
Natchez,纳奇兹
Towson,陶森
Vicksburg,维克斯堡
Muskogee,馬斯科吉
San Marcos,聖馬科斯
Sherman,谢尔曼
Martinsville,馬丁斯維爾
Salem,塞勒姆
Harrisonburg,哈里森堡
Fredericksburg,弗雷德里克斯堡
Petersburg,彼得斯堡
Manassas,馬納薩斯
Danville,丹維爾
Texas City,德克薩斯城
Tennessee,田纳西州
Palestine,帕勒斯坦
Bristol,布里斯托爾
The Woodlands,伍德蘭市
Marshall,马歇尔
McKinney,麥金尼
Mission,米申
Missouri City,密蘇里城
Sumter,萨姆特
West Columbia,西哥伦比亚
Dallas/Fort Worth International Airport,达拉斯-沃思堡国际机场
Gatesville,蓋茨維爾
Hickory,希科里
Kinston,金斯顿
Lexington,列克星敦
College Park,大學公園市
Ellicott City,埃利科特城
Maryland,马里兰州
Clemson,克莱姆森
Easley,伊斯利
Apex,埃佩克斯
Beaufort,博福特
Winston-Salem,温斯顿-塞勒姆
Cape Girardeau,开普吉拉多
Northport,诺斯波特
Sulphur,萨尔弗
Hammond,哈蒙德
Houma,霍玛
New Iberia,新伊比利亚
Selma,塞尔玛
Sandy Springs,桑迪斯普林斯
Prattville,普拉特维尔
Enterprise,恩特普赖斯
Madison,麦迪逊
Hoover,胡佛
Jasper,碧玉
Bentonville,本頓維
Cullman,卡尔曼
Sylacauga,锡拉科加
Apopka,阿勃卡
Brooksville,布鲁克斯
Casselberry,卡西贝利
New Castle,纽卡斯尔
Plant City,普兰特城
Punta Gorda,蓬塔戈尔达
Saint Augustine,聖奧古斯丁
Sanford,桑福德
Sebring,赛百灵
Seminole,塞米诺尔
Stuart,斯图尔特
Titusville,泰特斯维尔
Venice,威尼斯
Vero Beach,维罗海滩
Miami Gardens,迈阿密花园
Miramar,米拉馬爾
New Smyrna Beach,新士麦那海滩
Oviedo,奥维耶多
Clermont,克莱蒙
Coral Springs,科勒爾斯普林斯
Davie,戴维
Destin,德斯坦
Fort Walton Beach,华尔顿堡滩
Winter Garden,冬季花园
Key West,基韋斯特
Lake City,莱克城
Leesburg,利斯堡
Longwood,朗伍德
London,伦敦
Newport,纽波特
Ashland,愛許蘭
Florence,佛羅倫薩
Overland Park,歐弗蘭帕克
Columbus,哥伦布
Springfield,斯普林菲尔德
South Jordan,南乔丹
West Valley City,西瓦利城
Layton,雷顿
Grants Pass,格兰茨帕斯
Kalispell,卡利斯佩尔
Bountiful,邦蒂富尔
Clearfield,克利尔菲尔
Great Salt Lake,大盐湖
Gillette,吉列
Issaquah,伊瑟阔
Lacey,莱西
Hilo,希洛
Honolulu County,檀香山市縣
Minot,邁諾特
Edmonds,埃德蒙兹
Bothell,巴薩爾
Lynnwood,林伍德
Marysville,马里斯维尔
Pasco,帕斯科
Pullman,普尔曼
Richland,里奇兰
East Harlem,东哈莱姆
Bethel Census Area,貝塞爾人口普查區
North Slope Borough,北坡自治市鎮
Kodiak,科迪亚克
Wasilla,瓦西拉
Yukon-Koyukuk Census Area,育空-科尤庫克人口普查區
Massachusetts,麻薩諸塞州
Pennsylvania,宾夕法尼亚州
White House,白宮
Naval Station Norfolk Chambers Field,诺福克海军基地
Silicon Valley,硅谷
Braintree,布伦特里
Deming,德明
Los Alamos,洛斯阿拉莫斯
Twin Falls,特溫福爾斯
Lake Pend Oreille,庞多雷湖
Lewiston,刘易斯顿
Steamboat Springs,斯廷博特斯普林斯
Windsor,温莎
Prescott Valley,普雷斯科特山谷
Quartzsite,水晶镇
Queen Creek,女王溪
Sahuarita,萨瓦里塔
San Luis,圣路易斯
Show Low,肖洛
Camp Verde,坎普维德
Ceres,锡里斯
Cerritos,喜瑞都
Claremont,克莱蒙特
Clayton,克莱顿
Coachella,科切拉
Coalinga,科灵加
El Mirage,萨尔瓦多幻影
Eloy,埃洛伊
Florence,弗洛伦斯
Tombstone,汤姆斯通
Wickenburg,威肯勃格
Willcox,威尔科克斯
Adelanto,阿德兰托
Albany,奧柏尼
Coronado,科罗纳多
Cypress,赛普里斯
Dana Point,达纳点
Diamond Bar,钻石吧
Bell,贝尔
Belmont,贝尔蒙特
Benicia,贝尼西亚
Bishop,毕晓普
Blythe,布莱斯
Brawley,布劳利
Dixon,狄克逊
Duarte,杜阿尔特
East Palo Alto,东帕罗奥图
El Centro,埃尔森特罗
Emeryville,愛莫利維爾
Calabasas,卡拉巴萨斯
Carpinteria,卡平特里亚
Gila Bend,希拉本德
Payson,佩森
Phoenix Sky Harbor International Airport,鳳凰城天港國際機場
Central Falls,森特勒尔福尔斯
East Providence,东普罗维登斯
Rhode Island,羅德島州
Superior,苏必利尔
West Bend,西本德
Foster City,福斯特城
Reedley,里德利
Ripon,里彭
Rohnert Park,罗内特帕克
Sacramento International Airport,沙加緬度國際機場
Silverthorne,银座
Montrose,蒙特罗斯
Durango,杜兰戈
Florence,佛罗伦萨
Fountain,喷泉
Fruita,弗鲁塔
Glenwood Springs,格伦伍德斯普林斯
Lafayette,拉法叶
Limon,利蒙
Salton Sea,索爾頓湖
San Anselmo,圣安塞尔莫
San Carlos,圣卡洛斯
San Diego International Airport,聖地牙哥國際機場
San Dimas,圣迪马斯
San Fernando,圣费尔南多
Norman Y. Mineta San José International Airport,諾曼·峰田聖荷西國際機場
San Marino,圣玛利诺
San Pablo,圣巴勃罗
Santa Fe Springs,圣菲斯普林斯
Sausalito,索萨利托
Scotts Valley,斯科茨谷
Seal Beach,海豹滩
Seaside,海滨
Sebastopol,塞瓦斯托波尔
Vail,韦尔
Wheat Ridge,麦岭
West Hollywood,西好莱坞
Windsor,温莎
Sierra Madre,马德雷
Soledad,索莱达
Solvang,索夫昂
South Pasadena,南帕萨迪纳
Stanford,斯坦福
Stanton,斯坦顿
Tehachapi,特哈查比
Temple City,坦普爾市
Pinole,皮诺尔
Pismo Beach,皮斯摩海滩
Port Hueneme,怀尼米港
Castle Rock,城堡石
Denver International Airport,丹佛國際機場
Healdsburg,希尔兹堡
Hercules,赫拉克勒斯
Highland,海兰
Hollister,霍利斯特
Yucaipa,尤卡帕
Yucca Valley,丝兰谷
Aspen,阿斯彭
Union City,聯合市
Universal City,環球市
Venice,威尼斯
King City,金城
Morro Bay,莫罗贝
Newark,紐華克
Norco,诺科
Oakley,奥克利
Fallon,法伦
Nye County,奈縣
Arches National Park,拱門國家公園
Wheeling,惠灵
Groton,格罗顿
Ansonia,安索尼亚
Fortuna,福图纳
Susanville,苏珊维尔
Estes Park,埃斯特斯公园
Wasco,沃斯科
Sitka,錫特卡
Arcata,阿克塔
Ketchikan,克奇坎
Menomonie,梅诺莫尼
Oak Creek,橡樹溪
Woonsocket,文索基特
Aberdeen,阿伯丁
Brookings,布鲁金斯
Rutland,拉特蘭市
South Burlington,南伯灵顿
Ojai,奧海鎮
Ontario International Airport,安大略国际机场
Orinda,奥林达
Oroville,奥罗维尔
Pacifica,帕西菲卡
Paramount,派拉蒙
Galt,高尔特
Grand Terrace,大露台
Grass Valley,草谷
Greenfield,格林菲尔德
Grover Beach,格罗弗海滩
Hacienda Heights,哈仙達崗
Half Moon Bay,半月灣
Maywood,梅伍德
Mill Valley,米尔谷
Mono Lake,莫諾湖
Montclair,蒙特克莱尔
Kingsburg,金斯堡
Lafayette,拉斐特
Laguna Beach,拉古纳海滩
Lake Tahoe,太浩湖
Larkspur,拉克斯珀
Lathrop,拉斯罗普
Lincoln,林肯
Livingston,利文斯顿
Los Alamitos,洛斯阿拉米托斯
Los Banos,洛斯巴诺斯
Martinez,马丁内斯
