François Hollande,フランソワ・オランド
Louis Blériot,ルイ・ブレリオ
Philippe Pétain,フィリップ・ペタン
Philippe Hurepel,フィリップ・ユルプル
Avril Lavigne,アヴリル・ラヴィーン
Andreï Tarkovski,アンドレイ・タルコフスキー
Octave Mirbeau,オクターヴ・ミルボー
Michel Rocard,ミシェル・ロカール
Paul Verlaine,ポール・ヴェルレーヌ
Frédéric Chopin,フレデリック・ショパン
Jacques Balutin,ジャック・バリュタン
Marine Le Pen,マリーヌ・ル・ペン
Georges Duhamel,ジョルジュ・デュアメル
Hugues de Fouilloy,フイヨワのユーグ
Éric Cayrolle,エリック・カイロール
Conon de Béthune,コノン・ド・ベテュヌ
Urbain II,ウルバヌス2世
Maurice Fréchet,モーリス・ルネ・フレシェ
Arlette Laguiller,アルレット・ラギエ
Gustave Eiffel,ギュスターヴ・エッフェル
Gustave Doré,ギュスターヴ・ドレ
Marcel Duchamp,マルセル・デュシャン
Georges Richard,ジョルジュ・リシャール
Maurice Ravel,モーリス・ラヴェル
Henri Farman,アンリ・ファルマン
Pierre-Joseph Proudhon,ピエール・ジョゼフ・プルードン
Édith Piaf,エディット・ピアフ
Pierre Barouh,ピエール・バルー
Louis Couturat,ルイ・クテュラ
István Ertl,イシュトバーン・エルトル
Élisabeth Lamure,エリザベス・ラムレ
Louise Borgia,ルイーザ・ボルジア
Henry Murger,アンリ・ミュルジェール
José Bové,ジョゼ・ボヴェ
Élisée Reclus,エリゼ・ルクリュ
Michel Onfray,ミシェル・オンフレイ
Julien Offray de La Mettrie,ジュリアン・オフレ・ド・ラ・メトリー
Robert Esnault-Pelterie,ロベール・エスノー＝ペルトリ
Jean Moulin,ジャン・ムーラン
Henri Émile Sauvage,アンリ・エミール・ソヴァージュ
Tony Garnier,トニー・ガルニエ
Jacques Chaban-Delmas,ジャック・シャバン＝デルマ
Jean-Luc Mélenchon,ジャン＝リュック・メランション
Auguste Rodin,オーギュスト・ロダン
Jean Gabin,ジャン・ギャバン
Maurice Genevoix,モーリス・ジュヌヴォア
Jean-Auguste-Dominique Ingres,ドミニク・アングル
Adèle Haenel,アデル・エネル
Anna de Noailles,アンナ・ド・ノアイユ
Alain Krivine,アラン・クリヴィーヌ
Évariste Galois,エヴァリスト・ガロア
Marie Curie,マリ・キュリー
Renaud Lavillenie,ルノー・ラビレニ
Yoan Gouffran,ヨアン・グフラン
Florian Marange,フロリアン・マランジュ
Marcel Proust,マルセル・プルースト
Jussiê,ジュシエ・フェレイラ・ヴィエイラ
Charles Aznavour,シャルル・アズナヴール
Daniel Balavoine,ダニエル・バラヴォワーヌ
Michel Mercier,ミシェル・メルシエ
Simone de Beauvoir,シモーヌ・ド・ボーヴォワール
Françoise Sagan,フランソワーズ・サガン
Mahiedine Mekhissi-Benabbad,マイディーヌ・メキシベナバ
Michel Audiard,ミシェル・オディアール
Nicolas Maurice-Belay,ニコラ・モーリス＝ブレイ
Renaud,ルノー
Henriette Walter,アンリエット・ウォルター
Édouard Balladur,エドゥアール・バラデュール
David Bellion,ダヴィド・ベリオン
Sophie Germain,ソフィ・ジェルマン
Barbara,バルバラ
Charles-Ange Laisant,シャルル＝アンジュ・レザン
Hector Berlioz,エクトル・ベルリオーズ
Serge Gainsbourg,セルジュ・ゲンスブール
Hugo Lloris,ウーゴ・ロリス
Gérard Collomb,ジェラール・コロン
Zinedine Zidane,ジネディーヌ・ジダン
Grégory Sertic,グレゴリー・セルティッチ
Napoléon II,ナポレオン2世
Irène Joliot-Curie,イレーヌ・ジョリオ＝キュリー
Raymond Barre,レイモン・バール
Landry Nguémo,ランドリー・エングエモ
Paul Langevin,ポール・ランジュバン
Ludovic Sané,リュドヴィク・サネ
Jacques Cheminade,ジャック・シュミナード
Jean-Baptiste Deshays de Colleville,ジャン＝バティスト・デエ
Bienvenu de Miollis,フランソワ・メルキオル・シャルル・ビヤンヴニュ・ドゥ・ミオリス
Marie-Anne Pierrette Paulze,マリー＝アンヌ・ピエレット・ポールズ
Nicolas Dupont-Aignan,ニコラ・デュポン＝エニャン
Jean-Marie Le Pen,ジャン＝マリー・ル・ペン
Léon Denis,レオン・ドニ
Émilie du Châtelet,エミリー・デュ・シャトレ
Paul Henri Thiry d’Holbach,ポール＝アンリ・ティリ・ドルバック
Karim Benzema,カリム・ベンゼマ
Stéphane Audran,ステファーヌ・オードラン
Henri Saivet,アンリ・セヴェ
Laurent Blanc,ローラン・ブラン
Michel Jobert,ミシェル・ジョベール
Florent Malouda,フローラン・マルダ
François Bayrou,フランソワ・バイル
Francis Gillot,フランシス・ジロ
Louis XI de France,ルイ11世
François Asselineau,フランソワ・アスリノー
Alain Poher,アラン・ポエール
Corentin Martins,コランタン・マルティンス
Jean-Marc Ayrault,ジャン＝マルク・エロー
Albert Taillandier,ジョルジュ・テヤンディエ
Benoît Trémoulinas,ブノワ・トレムリナス
Patrice Évra,パトリス・エヴラ
Bernard Arnault,ベルナール・アルノー
Rachi,シュローモー・イツハーキー
Marc Planus,マルク・プラニュス
Étienne Léopold Trouvelot,エティエンヌ・レオポール・トルーヴェロ
Laurent Koscielny,ローラン・コシールニー
Joseph Bonaparte,ジョゼフ・ボナパルト
Augustin Louis Cauchy,オーギュスタン＝ルイ・コーシー
Jane Marken,ジャンヌ・マルカン
Mireille Ballestrazzi,ミレイユ・バレストラッツィ
Marie Jeanne Baptiste de Savoie,マリー・ジャンヌ・ド・サヴォワ＝ヌムール
Adil Rami,アディル・ラミ
Charles Marie de La Condamine,シャルル＝マリー・ド・ラ・コンダミーヌ
Sabri Lamouchi,サブリ・ラムシ
Charles X,シャルル10世
Roger Pierre,ロジェ・ピエール
Sébastien Loeb,セバスチャン・ローブ
Yohan Cabaye,ヨアン・キャバイェ
Franck Ribéry,フランク・リベリー
Napoléon III,ナポレオン3世
Alfred Malherbe,アルフレ・マレルブ
Steed Malbranque,スティード・マルブランク
Pierre Bonnard,ピエール・ボナール
Jules Hardouin-Mansart,ジュール・アルドゥアン＝マンサール
Louis Antoine de Pardaillan de Gondrin,ルイ・アントワーヌ・ドゥ・パルダヤン・ドゥ・ゴンドラン
Mathieu Valbuena,マテュー・ヴァルブエナ
Maryline Desbiolles,マリリーヌ・デビオール
Voltaire,ヴォルテール
Frédéric Hantz,フレデリック・アンツ
Fahid Ben Khalfallah,ファヒド・ベン・ハルファラー
Louis Bonaparte,ルイ・ボナパルト
Louis XV,ルイ15世
Steve Mandanda,スティーヴ・マンダンダ
Anthony Réveillère,アントニー・レヴェイエール
Boris Vian,ボリス・ヴィアン
Mbaye Niang,エムベイェ・ニアン
Jules Verne,ジュール・ヴェルヌ
Jean Ier de France,ジャン1世
Philippe V de France,フィリップ5世
Joseph Fourier,ジョゼフ・フーリエ
Louis-Philippe Ier,ルイ・フィリップ
Mehdi Mostefa,メフディ・モステファ
Jérémy Ménez,ジェレミー・メネス
Florian Thauvin,フロリアン・トヴァン
Alfred Jarry,アルフレッド・ジャリ
Paul Bocuse,ポール・ボキューズ
Alexandre Lacazette,アレクサンドル・ラカゼット
Gaël Clichy,ガエル・クリシー
Samuel Umtiti,サミュエル・ユムティティ
Jean-Pierre Papin,ジャン＝ピエール・パパン
Rachida Dati,ラシダ・ダティ
Marvin Martin,マルヴァン・マルタン
Rémy Vercoutre,レミ・ヴェルクートゥル
Louis X de France,ルイ10世
Philippe Mexès,フィリップ・メクセス
Igor Stravinsky,イーゴリ・ストラヴィンスキー
Mouhamadou Dabo,ムアマドゥ・ダボ
Blaise Matuidi,ブレーズ・マテュイディ
Jérôme Rothen,ジェローム・ロタン
Marion Cotillard,マリオン・コティヤール
Olivier Giroud,オリヴィエ・ジルー
Jean-Paul Sartre,ジャン＝ポール・サルトル
Frédéric Bastiat,フレデリック・バスティア
Mehdi Baala,メディー・バアラ
Laurent Fignon,ローラン・フィニョン
Eugène Delacroix,ウジェーヌ・ドラクロワ
Samir Nasri,サミル・ナスリ
David Guetta,デヴィッド・ゲッタ
Manuel Valls,マニュエル・ヴァルス
André-Pierre Gignac,アンドレ＝ピエール・ジニャック
Mathieu Debuchy,マテュー・ドゥビュシー
Sigamary Diarra,シガマリ・ディアッラ
Laurent Jalabert,ローラン・ジャラベール
Yann M'Vila,ヤン・エムヴィラ
Georges Seurat,ジョルジュ・スーラ
René Descartes,ルネ・デカルト
Nicolas Leblanc,ニコラ・ルブラン
Léon Walras,レオン・ワルラス
Alou Diarra,アルー・ディアッラ
Julien Sablé,ジュリアン・サブレ
Jean-Baptiste Say,ジャン＝バティスト・セイ
Djibril Cissé,ジブリル・シセ
Nicolas Anelka,ニコラ・アネルカ
Philippe Payot,フィリップ・パヨ
Sidney Govou,シドニー・ゴブ
Bacary Sagna,バカリ・サニャ
Pierre Curie,ピエール・キュリー
François Quesnay,フランソワ・ケネー
Cédric Carrasso,セドリック・カラッソ
Alain Prost,アラン・プロスト
Edmond Dulac,エドマンド・デュラック
Philippe II Auguste,フィリップ2世
Jérémy Toulalan,ジェレミー・トゥララン
Sambou Yatabaré,サンブ・ヤタバレ
Jean-Dominique Cassini,ジョヴァンニ・カッシーニ
Albert Camus,アルベール・カミュ
Samuel Beckett,サミュエル・ベケット
Tristan Tzara,トリスタン・ツァラ
Guy de Maupassant,ギ・ド・モーパッサン
Oumar Sissoko,オウマル・シッソコ
Honoré de Balzac,オノレ・ド・バルザック
Éric Abidal,エリック・アビダル
Wahbi Khazri,ワフビ・ハズリ
Robert le Danois,ロベール2世 (ルーアン大司教)
Brigitte Bardot,ブリジット・バルドー
Charles de Gaulle,シャルル・ド・ゴール
Robert Delaunay,ロベール・ドローネー
Jonathan Ayité,ジョナタン・アイテ
Maurice Gourdault-Montagne,モーリス・グルドー＝モンターニュ
Alfred Sauvy,アルフレッド・ソーヴィー
Grégory Coupet,グレゴリー・クーペ
Hatem Ben Arfa,ハテム・ベン・アルファ
Paul Cézanne,ポール・セザンヌ
Paul Gauguin,ポール・ゴーギャン
Johan Martial,ジョアン・マルシアル
Sébastien Squillaci,セバスティアン・スキラシ
William Gallas,ウィリアム・ギャラス
Abou Diaby,アブー・ディアビ
Gustave Courbet,ギュスターヴ・クールベ
Charles Messier,シャルル・メシエ
Johan Cavalli,ジョアン・カヴァッリ
Jean Armel Kana Biyik,ジャン＝アルメル・カナ＝ビイク
Louise Ebrel,ルイーズ・エブレル
Joseph Deniker,ジョゼフ・ドゥニケール
Yann-Fañch Kemener,ヤン・ファンシュ・ケメネール
Alan Stivell,アラン・スティーヴェル
Michel Larionov,ミハイル・ラリオーノフ
Jean Françaix,ジャン・フランセ
Auguste Renoir,ピエール＝オーギュスト・ルノワール
Henri Becquerel,アンリ・ベクレル
Louis Antoine de Saint-Just,ルイ・アントワーヌ・ド・サン＝ジュスト
Christophe Bataille,クリストフ・バタイユ
Yannick Cahuzac,ヤニック・カユザック
Ismaël Traoré,イスマエル・トラオレ
François Mitterrand,フランソワ・ミッテラン
Louis de Funès,ルイ・ド・フュネス
Harlem Désir,アルレム・デジール
Paul Dukas,ポール・デュカス
Roger Martin du Gard,ロジェ・マルタン・デュ・ガール
Pierre Desproges,ピエール・デプロージュ
Émile Durkheim,エミール・デュルケーム
Nicolas Appert,ニコラ・アペール
Joseph Galliéni,ジョゼフ・ガリエニ
René Girard,ルネ・ジラール
Luc Borrelli,リュック・ボレリ
Louis Armand,ルイ・アルマン
Alain Juppé,アラン・ジュペ
Alex Dupont,アレックス・デュポン
Robert Schuman,ロベール・シューマン
Dominique Pinon,ドミニク・ピノン
Antoine de Saint-Exupéry,アントワーヌ・ド・サン＝テグジュペリ
Jacques Chirac,ジャック・シラク
Michel Ney,ミシェル・ネイ
Catherine de Clèves,カトリーヌ・ド・クレーヴ
Kenny Lala,ケニー・ララ
Henri Barbusse,アンリ・バルビュス
Georges Pompidou,ジョルジュ・ポンピドゥー
Édouard Manet,エドゥアール・マネ
Gao Xingjian,高行健
Nadar,ナダール
Bernard Mendy,ベルナール・メンディ
Corinne Marchand,コリーヌ・マルシャン
Marvin Compper,マーヴィン・コンパー
Alejo Carpentier,アレホ・カルペンティエル
Jean-Marc Furlan,ジャン＝マルク・フルラン
Christophe Vincent,クリストフ・ヴァンサン
Frédéric Sammaritano,フレデリク・サンマリターノ
Bourvil,ブールヴィル
Laurent Fabius,ローラン・ファビウス
Rigobert Song,リゴベール・ソング
Georges Wildenstein,ジョルジュ・ウィルデンシュタイン
Sadi Carnot,マリー・フランソワ・サディ・カルノー
Jonathan Schmid,ジョナタン・シュミット
Mayeul de Cluny,マヨルス
Louis-Auguste Jouvenel des Ursins d'Harville,ルイ＝オーギュスト・ジュベナール・デ・ウルサン・ダルヴィル
Augustin Legrand,オーギュスタン・ルグラン
Marouane Chamakh,マルアーヌ・シャマフ
Émile Torchebœuf,エミール・トゥルシェブーフ
Daniel Sanchez,ダニエル・サンチェス
Charles-Valentin Alkan,シャルル＝ヴァランタン・アルカン
Nicolas Poussin,ニコラ・プッサン
Alain Resnais,アラン・レネ
Maurice Gamelin,モーリス・ガムラン
Coluche,コリューシュ
Gilles-Éric Séralini,ジル＝エリック・セラリーニ
Eugène Charles Catalan,ウジェーヌ・シャルル・カタラン
Zoé Talon,ケイラ伯爵夫人
Charles Maurras,シャルル・モーラス
Frédéric Mistral,フレデリック・ミストラル
Valéry Giscard d'Estaing,ヴァレリー・ジスカール・デスタン
Pierre Aïm,ピエール・アイム
Alain Robbe-Grillet,アラン・ロブ＝グリエ
Emmanuel d'Orléans,エマニュエル・ドルレアン
Paul Lasne,ポール・ラスヌ
Jacques Offenbach,ジャック・オッフェンバック
Mohamed Sissoko,モハメド・シソッコ
Henri Bergson,アンリ・ベルクソン
J. M. G. Le Clézio,ジャン＝マリ・ギュスターヴ・ル・クレジオ
Jean-Pierre Jeunet,ジャン＝ピエール・ジュネ
Louise Michel,ルイーズ・ミシェル
Fernandel,フェルナンデル
Patrick Ricard,パトリック・リカール
Alexandre Dumas,アレクサンドル・デュマ・ペール
Amélie de Leuchtenberg,アメリー・ド・ボアルネ
Antoine-Jean Gros,アントワーヌ＝ジャン・グロ
Maurice Béjart,モーリス・ベジャール
Louise de Lorraine,ルイーズ・ド・ロレーヌ＝ヴォーデモン
Olivier Py,オリヴィエ・ピィ
Valérie Donzelli,ヴァレリー・ドンゼッリ
Jules Richard,ジュール・リシャール
Sully Prudhomme,シュリ・プリュドム
Hippolyte Fizeau,アルマン・フィゾー
Anna Gavalda,アンナ・ガヴァルダ
Youri Djorkaeff,ユーリ・ジョルカエフ
Jérôme Neuville,ジェローム・ヌヴィユ
Jean-Étienne Guettard,ジャン＝エティエンヌ・ゲタール
Michel Delebarre,ミシェル・ドルバール
George Sand,ジョルジュ・サンド
Léon Bourgeois,レオン・ブルジョワ
Bernard Comment,ベルナール・コマン
Martin IV,マルティヌス4世
Pierre Puvis de Chavannes,ピエール・ピュヴィス・ド・シャヴァンヌ
Laurent Dauthuille,ロレンド・ドートヒル
Alphonse Daudet,アルフォンス・ドーデ
Gustave Flaubert,ギュスターヴ・フローベール
Sophia Loren,ソフィア・ローレン
Claude Cahun,クロード・カアン
Olivier Ledroit,オリヴィエ・ルドロワ
Ulrich Ramé,ユルリク・ラメ
David Ginola,ダヴィド・ジノラ
Sylvain Wiltord,シルヴァン・ヴィルトール
Zoumana Camara,ズマナ・カマラ
Zoé Oldenbourg,ゾエ・オルデンブール
Bixente Lizarazu,ビセンテ・リザラズ
Gilbert Montagné,ジルベール・モンタニエ
Martine Aubry,マルティーヌ・オブリー
Anouk Aimée,アヌーク・エーメ
Philipp la Renotière von Ferrary,フィリップ・フォン・フェラリー
Aravane Rezaï,アラバン・レザイ
Isabelle Aubret,イザベル・オーブレ
Colette,シドニー＝ガブリエル・コレット
Jérôme Ferrari,ジャローム・フェラーリ
François Jacob,フランソワ・ジャコブ
Jean Reno,ジャン・レノ
Carlos Gardel,カルロス・ガルデル
Alizé Cornet,アリーゼ・コルネ
José Touré,ジョゼ・トゥーレ
David Cage,デヴィッド・ケイジ
Isabelle de France,イザベラ・オブ・フランス
Frédéric Kanouté,フレデリック・カヌーテ
Anatole France,アナトール・フランス
Buffon,ジョルジュ＝ルイ・ルクレール・ド・ビュフォン
Adam de la Halle,アダン・ド・ラ・アル
Marie-José Pérec,マリー＝ジョゼ・ペレク
Yeardley Smith,イヤードリー・スミス
Bernard Lacombe,ベルナール・ラコンブ
Raymond Queneau,レーモン・クノー
Floyd Ayité,フロイド・アイテ
Anselme de Cantorbéry,アンセルムス
Agnès Varda,アニエス・ヴァルダ
Leslie Caron,レスリー・キャロン
Françoise Mbango Etone,フランソワーズ・ムバンゴ
Claude de France,クロード・ド・フランス
Frédéric Mendy,フレデリック・メンディ
Adèle de Champagne,アデル・ド・シャンパーニュ
Isabelle d'Aragon,イザベル・ダラゴン
André The Giant,アンドレ・ザ・ジャイアント
Madame de Maintenon,マントノン侯爵夫人フランソワーズ・ドービニェ
Madame du Barry,デュ・バリー夫人
Elsa Triolet,エルザ・トリオレ
Louis Étienne Watelet,ルイ・エティエンヌ・ワトレ
Constant Troyon,コンスタン・トロワイヨン
Hortense de Beauharnais,オルタンス・ド・ボアルネ
Isabelle de France,イザベラ・オブ・ヴァロワ
Henriette d'Angleterre,ヘンリエッタ・アン・ステュアート
Madame de Montespan,モンテスパン侯爵夫人フランソワーズ・アテナイス
Adriana Karembeu,アドリアナ・カランブー
Édith Cresson,エディット・クレッソン
Louis Aragon,ルイ・アラゴン
Émile Champion,エミール・シャンピオン
Émile Cartailhac,エミール・カルタイヤック
Jessica Houara-d'Hommeaux,ジェシカ・オーアラ
Marie Tussaud,マリー・タッソー
Jean-Michel Aulas,ジャン・ミシェル・オラス
Joseph Fouché,ジョゼフ・フーシェ
Louis Daguerre,ルイ・ジャック・マンデ・ダゲール
Maximilien de Robespierre,マクシミリアン・ロベスピエール
Émile Bouhours,エミール・ブウール
Clémence de Hongrie,クレマンス・ド・オングリー
Lili Boulanger,リリ・ブーランジェ
Émile Benveniste,エミール・バンヴェニスト
Émile Blémont,エミール・ブレモン
Jean-Hippolyte Michon,ジョン・イポリット・ミション
Virginie Razzano,ビルジニ・ラザノ
Joseph Ignace Guillotin,ジョゼフ・ギヨタン
Suzanne Malherbe,マルセル・ムーア
Abdou Diouf,アブドゥ・ディウフ
Isabelle Caro,イザベル・カロ
Louis Auguste Marchand de Plauzonne,ルイ・オーギュスト・マルシャン・ド・プラウゾンヌ
Ève Curie,エーヴ・キュリー
François de Sales,フランシスコ・サレジオ
Émile Boutroux,エミール・ブートルー
Heinrich Heine,ハインリヒ・ハイネ
Marie-Amélie de Bourbon-Siciles,マリー・アメリー・ド・ブルボン
Nathalie Dechy,ナタリー・ドシー
Marie de Lorraine,メアリ・オブ・ギーズ
Marie-Adélaïde de Savoie,マリー・アデライード・ド・サヴォワ
Marie d'Anjou,マリー・ダンジュー
Anne de Foix,アンヌ・ド・フォワ
Clément V,クレメンス5世
Angélique Kidjo,アンジェリーク・キジョー
Louise Élisabeth de France,ルイーズ・エリザベート・ド・フランス
Anne-Marie d'Orléans,アンナ・マリーア・ドルレアンス
Pierre-Simon de Laplace,ピエール＝シモン・ラプラス
Émile Bréhier,エミール・ブレイエ
Émile-Louis Burnouf,エミール＝ルイ・バーノフ
Alexandra David-Néel,アレクサンドラ・デビッド＝ニール
Jacques Derrida,ジャック・デリダ
Pierre Boulle,ピエール・ブール
Anaïs Nin,アナイス・ニン
Philippe Chabot,フィリップ・ド・シャボー
Gabriel Bertrand,ガブリエル・ベルトラン
Claude Simon,クロード・シモン
François d'Astier de La Vigerie,フランソワ・ダスティエ
Michel Platini,ミシェル・プラティニ
Alexandre Alekhine,アレクサンドル・アレヒン
Catherine de Médicis,カトリーヌ・ド・メディシス
Michel Foucault,ミシェル・フーコー
Louis Renault,ルイ・ルノー
Marie Leszczyńska,マリー・レクザンスカ
Django Reinhardt,ジャンゴ・ラインハルト
Étienne Sandorfi,イシュトヴァーン・サンドルフィ
Ludovic Giuly,リュドヴィク・ジュリ
André Citroën,アンドレ・シトロエン
Jacques Monod,ジャック・モノー
Constance d'Arles,コンスタンス・ダルル
Léa Seydoux,レア・セドゥ
Michèle Mercier,ミシェル・メルシェ
Jacqueline Boyer,ジャクリーヌ・ボワイエ
Dominique de Villepin,ドミニク・ド・ビルパン
Anne Marie Louise d'Orléans,アンヌ・マリー・ルイーズ・ドルレアン
Agnès Sorel,アニェス・ソレル
Nathalie Gontcharova,ナターリヤ・ゴンチャローワ
Valeria Bruni-Tedeschi,ヴァレリア・ブルーニ・テデスキ
Georges Petit,ジョルジュ・プティ
Alain,エミール＝オーギュスト・シャルティエ
Émile Cohl,エミール・コール
Gabriel Lippmann,ガブリエル・リップマン
Émile Coué,エミール・クーエ
Bohémond de Tarente,ボエモン1世
Valérie Trierweiler,ヴァレリー・トリールヴァイレール
Irène Jacob,イレーヌ・ジャコブ
Anggun,アングン
Jessy Matador,ジェッシー・マタドール
Marguerite de France,マルグリット・ド・ヴァロワ
Charles VII de France,シャルル7世
Marie Cavallier,マリー・カヴァリエ
Anna Karina,アンナ・カリーナ
Mathilde Johansson,マチルド・ヨハンソン
Nathalie Tauziat,ナタリー・トージア
Charles Renouvier,シャルル・ルヌーヴィエ
Robert II de Normandie,ロベール2世
Saint-John Perse,サン＝ジョン・ペルス
Cláudio Roberto da Silva,クラウディオ・カサッパ
Johann Zarco,ヨハン・ザルコ
Anne Robert Jacques Turgot,ジャック・テュルゴー
Émile Chautard,エミール・ショータール
Lila Kedrova,リラ・ケドロヴァ
Anne-Marie David,アンヌ＝マリー・デヴィッド
Isabelle d'Angoulême,イザベラ・オブ・アングレーム
Marguerite de France,マルグリット・ド・フランス
Jeanne II de Bourgogne,ジャンヌ2世
Amanda Langlet,アマンダ・ラングレ
Julien Jousse,ジュリアン・ジュス
François II,フランソワ2世
Austen Henry Layard,オースティン・ヘンリー・レヤード
Émile Combes,エミール・コンブ
Alexandre Alphonse,アレクサンドル・アルフォンス
René Lacoste,ルネ・ラコステ
Willy Sagnol,ウィリー・サニョル
Jean-Jacques Goldman,ジャン=ジャック・ゴールドマン
Jacques Anquetil,ジャック・アンクティル
Séverine,セヴェリーヌ
Sonia Delaunay,ソニア・ドロネー
Jeanne II d'Auvergne,ジャンヌ2世
Émile Durand,エミール・デュラン
Ousmane Coulibaly,ウスマン・クリバリ
Claude Pinoteau,クロード・ピノトー
Émile Gallé,エミール・ガレ
Tamatoa Wagemann,タマトア・ワグマン
Macha Méril,マーシャ・メリル
Clémence Poésy,クレマンス・ポエジー
René Cassin,ルネ・カサン
Urbain V,ウルバヌス5世
Jeanne de Bourbon,ジャンヌ・ド・ブルボン
Marie de Luxembourg,マリー・ド・リュクサンブール
Norbert Dufourcq,ノルベール・デュフルク
Yannick Noah,ヤニック・ノア
Ilona Mitrecey,イローナ・ミトルセー
Paul Baysse,ポール・ベス
Hector Léveillé,エクトル・レヴェイユ
Marie Laurencin,マリー・ローランサン
Louise Renée de Penancoët de Keroual,ルイーズ・ケルアイユ
Anna Prucnal,アンナ・プリュクナル
Ludivine Sagnier,リュディヴィーヌ・サニエ
Louise de La Vallière,ルイーズ・ド・ラ・ヴァリエール
Louise-Élisabeth d'Orléans,ルイーズ・エリザベート・ドルレアン
Maria Malibran,マリア・マリブラン
Suzanne Lenglen,スザンヌ・ランラン
Jean Buridan,ジャン・ビュリダン
Geneviève de Gaulle-Anthonioz,ジュヌヴィエーヴ・ド・ゴール＝アントニオーズ
Élisabeth-Charlotte d'Orléans,エリザベート・シャルロット・ドルレアン
Henri-Marie Ducrotay de Blainville,アンリ・ブランヴィル
Charles IX,シャルル9世
Bob Sinclar,ボブ・サンクラー
Mathilde II de Bourbon,マティルド2世 (ヌヴェール女伯)
Jeannie Longo,ジャニー・ロンゴ
Marie-Adélaïde de Bourbon,ルイーズ・マリー・ド・ブルボン＝パンティエーヴル
Colette Besson,コレット・ベッソン
Inès Armand,イネッサ・アルマンド
Florestine de Monaco,フロレスティーヌ・ド・モナコ
