Paris,パリ
Annemasse,アヌマッス
Annecy,アヌシー
Angoulême,アングレーム
Anglet,アングレット
Amboise,アンボワーズ
Alfortville,アルフォールヴィル
Alès,アレス
Alençon,アランソン
Albi,アルビ
Albertville,アルベールヴィル
Aix-les-Bains,エクス＝レ＝バン
Agen,アジャン
Agde,アグド
Abbeville,アブヴィル
Lagny-sur-Marne,ラニー＝シュル＝マルヌ
La Garenne-Colombes,ラ・ガレンヌ＝コロンブ
La Courneuve,ラ・クールヌーヴ
La Ciotat,ラ・シオタ
La Seyne-sur-Mer,ラ・セーヌ＝シュル＝メール
La Roche-sur-Yon,ラ・ロッシュ＝シュル＝ヨン
Laon,ラン
Lannion,ランニオン
Lanester,ラネステール
Landerneau,ランデルノー
Lambersart,ランブルサール
Clamart,クラマール
Cholet,ショレ
Choisy-le-Roi,ショワジー＝ル＝ロワ
Cherbourg-Octeville,シェルブール＝オクトヴィル
Chaumont,ショーモン
Chatou,シャトゥー
Châtenay-Malabry,シャトネ＝マラブリー
Châtellerault,シャテルロー
Châteauroux,シャトールー
Chartres,シャルトル
Charleville-Mézières,シャルルヴィル＝メジエール
Charenton-le-Pont,シャラントン＝ル＝ポン
Grasse,グラース
Granville,グランヴィル
Gradignan,グラディニャン
Gonesse,ゴネス
Gif-sur-Yvette,ジフ＝シュル＝イヴェット
Gérardmer,ジェラールメ
Gennevilliers,ジュヌヴィリエ
Garges-lès-Gonesse,ガルジュ＝レ＝ゴネス
Gap,ギャップ
Gaillac,ガヤック
Ivry-sur-Seine,イヴリー＝シュル＝セーヌ
Istres,イストル
Illzach,イルザック
Illkirch-Graffenstaden,イルキルシュ＝グラフェンスタデン
Hyères,イエール
Houilles,ウイユ
Hérouville-Saint-Clair,エルヴィル＝サン＝クレール
Herblay,エルブレ
Hennebont,エンヌボン
Hénin-Beaumont,エナン＝ボーモン
Hendaye,アンダイエ
Hazebrouck,アーズブルック
Haguenau,アグノー
Guyancourt,ギュイヤンクール
Saint-Sébastien-sur-Loire,サン＝セバスティアン＝シュル＝ロワール
Saint-Rémy-de-Provence,サン＝レミ＝ド＝プロヴァンス
Saint-Nazaire,サン＝ナゼール
Saint-Médard-en-Jalles,サン＝メダール＝アン＝ジャル
Saint-Martin-d'Hères,サン＝マルタン＝デール
Saint-Mandé,サン＝マンデ
Saint-Malo,サン・マロ
Saint-Lô,サン＝ロー
Saint-Laurent-du-Var,サン＝ローラン＝デュ＝ヴァール
Saint-Jean-de-Luz,サン＝ジャン＝ド＝リュズ
Saint-Herblain,サン＝テルブラン
Saint-Germain-en-Laye,サン＝ジェルマン＝アン＝レー
Saint-Étienne-du-Rouvray,サン＝テティエンヌ＝デュ＝ルヴレ
Saint-Dizier,サン＝ディジエ
Saint-Dié-des-Vosges,サン＝ディエ＝デ＝ヴォージュ
Saint-Cloud,サン＝クルー
Saint-Chamond,サン＝シャモン
Saint-Brieuc,サン＝ブリユー
Rungis,ランジス
Royan,ロワイヤン
Rosny-sous-Bois,ロニー＝スー＝ボワ
Romans-sur-Isère,ロマン＝シュル＝イゼール
Rodez,ロデズ
Rochefort,ロシュフォール
Roanne,ロアンヌ
Ris-Orangis,リ＝ゾランジス
Rillieux-la-Pape,リリュー＝ラ＝パプ
Rezé,ルゼ
Pessac,ペサック
Périgueux,ペリグー
Pantin,パンタン
Palaiseau,パレゾー
Ozoir-la-Ferrière,オゾワール＝ラ＝フェリエール
Oyonnax,オヨナ
Oullins,ウラン
Orvault,オルヴォー
Orthez,オルテズ
Orsay,オルセー
Orly,オルリー
Orange,オランジュ
Soissons,ソワソン
Six-Fours-les-Plages,シス＝フール＝レ＝プラージュ
Sèvres,セーヴル
Sète,セット
Schiltigheim,シルティカイム
Savigny-sur-Orge,サヴィニー＝シュル＝オルジュ
Savigny-le-Temple,サヴィニー＝ル＝タンプル
Saverne,サヴェルヌ
Saumur,ソミュール
Sartrouville,サルトルーヴィル
Sarreguemines,サルグミーヌ
Sarlat-la-Canéda,サルラ＝ラ＝カネダ
Sarcelles,サルセル
Sannois,サノワ
Salon-de-Provence,サロン＝ド＝プロヴァンス
Saint-Tropez,サントロペ
Vierzon,ヴィエルゾン
Vichy,ヴィシー
Verdun,ヴェルダン
Vénissieux,ヴェニシュー
Vélizy-Villacoublay,ヴェリジー＝ヴィラクブレー
Vaulx-en-Velin,ヴォー＝アン＝ヴラン
Vanves,ヴァンヴ
Vannes,ヴァンヌ
Vandœuvre-lès-Nancy,ヴァンドゥーヴル＝レ＝ナンシー
Vallauris,ヴァロリス
Valenciennes,ヴァランシエンヌ
Valence,ヴァランス
Tulle,チュール
Troyes,トロワ
Rambouillet,ランブイエ
Quimperlé,カンペルレ
Quimper,カンペール
Puteaux,ピュトー
Pont-à-Mousson,ポンタ＝ムッソン
Poissy,ポワシー
Trappes,トラップ
Toul,トゥール
Thonon-les-Bains,トノン＝レ＝バン
Thionville,ティオンヴィル
Thiais,ティエ
Taverny,タヴェルニー
Tarbes,タルブ
Tarascon,タラスコン
Talence,タランス
Suresnes,シュレンヌ
Sucy-en-Brie,シュシー＝アン＝ブリ
Sotteville-lès-Rouen,ソットヴィル＝レ＝ルーアン
Obernai,オベルネ
Noyon,ノワイヨン
Noisy-le-Sec,ノワジー＝ル＝セック
Noisy-le-Grand,ノワジー＝ル＝グラン
Nogent-sur-Marne,ノジャン＝シュル＝マルヌ
Nevers,ヌヴェール
Neuilly-sur-Marne,ヌイイ＝シュル＝マルヌ
Narbonne,ナルボンヌ
Mougins,ムージャン
Frontignan,フロンティニャン
Fréjus,フレジュス
Fos-sur-Mer,フォス＝シュル＝メール
Forbach,フォルバック
Fontenay-sous-Bois,フォントネー＝スー＝ボワ
Fontenay-aux-Roses,フォントネー＝オー＝ローズ
Fontainebleau,フォンテヌブロー
Fleury-les-Aubrais,フルーリー＝レゾブレ
Fécamp,フェカン
Évry,エヴリー
Évreux,エヴルー
Bois-Colombes,ボワ＝コロンブ
Bobigny,ボビニー
Blagnac,ブラニャック
Bischwiller,ビシュヴィレール
Biarritz,ビアリッツ
Bezons,ブゾン
Béziers,ベジエ
Béthune,ベテューヌ
Belfort,ベルフォール
Bègles,ベグル
Beauvais,ボーヴェ
Beaune,ボーヌ
Mont-Saint-Aignan,モン＝サンテニャン
Montrouge,モンルージュ
Montluçon,モンリュソン
Montigny-lès-Metz,モンティニー＝レ＝メス
Montélimar,モンテリマール
Mont-de-Marsan,モン＝ド＝マルサン
Montbéliard,モンベリアル
Montauban,モントーバン
Miramas,ミラマ
Meyzieu,メイジュー
Meudon,ムードン
Lunel,リュネル
Lourdes,ルルド
Lorient,ロリアン
Lons-le-Saunier,ロン＝ル＝ソーニエ
Longwy,ロンウィ
Longjumeau,ロンジュモー
Lisieux,リジュー
Liévin,リエヴァン
Libourne,リブルヌ
Creil,クレイユ
Corbeil-Essonnes,コルベイユ＝エソンヌ
Conflans-Sainte-Honorine,コンフラン＝サントノリーヌ
Concarneau,コンカルノー
Compiègne,コンピエーニュ
Combs-la-Ville,コン＝ラ＝ヴィル
Pontault-Combault,ポントー＝コンボー
Colomiers,コロミエ
Colmar,コルマール
Brunoy,ブリュノワ
Bron,ブロン
Brive-la-Gaillarde,ブリーヴ＝ラ＝ガイヤルド
Brétigny-sur-Orge,ブレティニー＝シュル＝オルジュ
Bourges,ブールジュ
Bourg-en-Bresse,ブール＝ガン＝ブレス
Boulogne-sur-Mer,ブローニュ＝シュル＝メール
Bondy,ボンディ
Melun,ムラン
Meaux,モー
Maubeuge,モブージュ
Martigues,マルティーグ
Marly-le-Roi,マルリー＝ル＝ロワ
Marignane,マリニャーヌ
Marcq-en-Barœul,マルク＝アン＝バルール
Mantes-la-Jolie,マント＝ラ＝ジョリー
Manosque,マノスク
Maisons-Laffitte,メゾン＝ラフィット
Maisons-Alfort,メゾン＝アルフォール
Mâcon,マコン
Chamonix-Mont-Blanc,シャモニー＝モン＝ブラン
Chambéry,シャンベリ
Chamalières,シャマリエール
Chalon-sur-Saône,シャロン＝シュル＝ソーヌ
Châlons-en-Champagne,シャロン＝アン＝シャンパーニュ
Cenon,スノン
Cavaillon,カヴァイヨン
Castres,カストル
Castelnaudary,カステルノーダリ
Carpentras,カルパントラ
Carnac,カルナック
Carcassonne,カルカソンヌ
Cambrai,カンブレー
Caluire-et-Cuire,カリュイール＝エ＝キュイール
Calais,カレー
Cahors,カオール
Cagnes-sur-Mer,カーニュ＝シュル＝メール
Cachan,カシャン
Ermont,エルモン
Épinay-sur-Seine,エピネー＝シュル＝セーヌ
Épinal,エピナル
Épernay,エペルネー
Élancourt,エランクール
Échirolles,エシロル
Eaubonne,オーボンヌ
Dunkerque,ダンケルク
Dreux,ドルー
Draveil,ドラヴェイユ
Drancy,ドランシー
Draguignan,ドラギニャン
Douarnenez,ドゥアルヌネ
Douai,ドゥエー
Dinan,ディナン
Digne-les-Bains,ディーニュ＝レ＝バン
Dieppe,ディエップ
Bayonne,バイヨンヌ
Bayeux,バイユー
Bastia,バスティア
Bar-le-Duc,バル＝ル＝デュック
Balma,バルマ
Bagnols-sur-Cèze,バニョール＝シュル＝セーズ
Bagnolet,バニョレ
Auxerre,オセール
Autun,オータン
Aurillac,オーリヤック
Auray,オーレー
Auch,オーシュ
Aubervilliers,オーベルヴィリエ
Aubenas,オーブナ
Aubagne,オーバーニュ
Athis-Mons,アティス＝モンス
Asnières-sur-Seine,アニエール＝シュル＝セーヌ
Villeneuve-d'Ascq,ヴィルヌーヴ＝ダスク
Saint-Martin,サン・マルタン
Saint Barthelemy,サン・バルテルミー
Blaye,ブライ
Wissembourg,ヴィサンブール
Vittel,ヴィッテル
Viroflay,ヴィロフレー
Vire,ヴィール
Villeneuve-lès-Avignon,ヴィルヌーヴ＝レザヴィニョン
Villefranche-sur-Mer,ヴィルフランシュ＝シュル＝メール
Villefranche-de-Rouergue,ヴィルフランシュ＝ド＝ルエルグ
Mont Blanc,モンブラン
Les Sables-d'Olonne,レ・サーブル＝ドロンヌ
Les Pennes-Mirabeau,レ・ペンヌ＝ミラボー
Les Andelys,レ＝ザンドリ
Le Raincy,ル・ランシー
Le Pecq,ル・ペック
Le Bouscat,ル・ブスカ
Argentan,アルジャンタン
Arcachon,アルカション
Aquitaine,アキテーヌ地域圏
Ancenis,アンスニ
Altkirch,アルトキルシュ
La Flèche,ラ・フレーシュ
La Chapelle-sur-Erdre,ラ・シャペル＝シュル＝エルドル
La Celle-Saint-Cloud,ラ・セル＝サン＝クルー
La Tour-du-Pin,ラ・トゥール＝デュ＝パン
La Teste-de-Buch,ラ・テスト＝ド＝ビュック
Languedoc-Roussillon,ラングドック＝ルシヨン地域圏
Langres,ラングル
Landivisiau,ランディヴィジオ
Lamballe,ランバル
L'Aigle,レーグル
Clisson,クリソン
Châtillon-sur-Seine,シャティヨン＝シュル＝セーヌ
Château-Thierry,シャトー＝ティエリ
Château-Gontier,シャトー＝ゴンティエ
Châteaudun,シャトーダン
Châteaubriant,シャトーブリアン
Guingamp,ガンガン
Guéret,ゲレ
Guérande,ゲランド
Guebwiller,ゲブヴィレール
Gien,ジアン
Gardanne,ガルダンヌ
Gagny,ガニー
Joinville-le-Pont,ジョアンヴィル＝ル＝ポン
Joigny,ジョワニー
Issoudun,イスーダン
Issoire,イソワール
Honfleur,オンフルール
Saint-Quentin-Fallavier,サン＝カンタン＝ファラヴィエ
Saint-Julien-en-Genevois,サン＝ジュリアン＝アン＝ジュヌヴォワ
Saint-Jean-de-Maurienne,サン＝ジャン＝ド＝モーリエンヌ
Saint-Gilles-Croix-de-Vie,サン＝ジル＝クロワ＝ド＝ヴィ
Saintes-Maries-de-la-Mer,サント＝マリー＝ド＝ラ＝メール
Sainte-Luce-sur-Loire,サント＝リュース＝シュル＝ロワール
Saint-Amand-Montrond,サン＝タマン＝モンロン
Sablé-sur-Sarthe,サブレ＝シュル＝サルト
Romorantin-Lanthenay,ロモランタン＝ラントネー
Romainville,ロマンヴィル
Rivesaltes,リヴサルト
Riom,リオン
Ribeauvillé,リボヴィレ
Rhône-Alpes,ローヌ＝アルプ地域圏
Pierrelatte,ピエールラット
Pierrefitte-sur-Seine,ピエールフィット＝シュル＝セーヌ
Pays de la Loire,ペイ・ド・ラ・ロワール地域圏
Parthenay,パルトネー
Pamiers,パミエ
Oloron-Sainte-Marie,オロロン＝サント＝マリー
Sisteron,シストロン
Sevran,スヴラン
Sélestat,セレスタ
Sedan,スダン
Seclin,スクラン
Sarre-Union,サール＝ユニオン
Sarrebourg,サールブール
Saint-Vincent-de-Tyrosse,サン＝ヴァンサン＝ド＝ティロス
Vesoul,ヴズール
Vertou,ヴェルトゥ
Vendôme,ヴァンドーム
Vence,ヴァンス
Valréas,ヴァルレアス
Uzès,ユゼス
Quiberon,キブロン
Provins,プロヴァン
Provence-Alpes-Côte d'Azur,プロヴァンス＝アルプ＝コート・ダジュール地域圏
Privas,プリヴァ
Porto-Vecchio,ポルト＝ヴェッキオ
Pornic,ポルニック
Pontivy,ポンティヴィ
Pontarlier,ポンタルリエ
Poitou-Charentes,ポワトゥー＝シャラント地域圏
Ploërmel,プロエルメル
Pithiviers,ピティヴィエ
Tremblay-en-France,トランブレ＝アン＝フランス
Tournon-sur-Rhône,トゥルノン＝シュル＝ローヌ
Nuits-Saint-Georges,ニュイ＝サン＝ジョルジュ
Neuilly-Plaisance,ヌイイ＝プレザンス
Nemours,ヌムール
Muret,ミュレ
Moulins,ムーラン
Morlaix,モルレー
Friville-Escarbotin,フリヴィル＝エスカルボタン
Fougères,フージェール
Fontenay-le-Comte,フォントネー＝ル＝コント
Foix,フォワ
Figeac,フィジャック
Évian-les-Bains,エヴィアン＝レ＝バン
Étampes,エタンプ
Biscarrosse,ビスカロッス
Benfeld,ベンフェルド
Belley,ベレー
Bellegarde-sur-Valserine,ベルガルド＝シュル＝ヴァルスリーヌ
Beaucaire,ボーケール
Montargis,モンタルジ
Molsheim,モルスアイム
Millau,ミヨー
Midi-Pyrénées,ミディ＝ピレネー地域圏
Lunéville,リュネヴィル
Loudéac,ルデアック
Lorraine,ロレーヌ地域圏
Lormont,ロルモン
Livry-Gargan,リヴリー＝ガルガン
Le Vésinet,ル・ヴェジネ
Coutances,クタンス
Courchevel,クールシュヴェル
Coudekerque-Branche,クドケルク＝ブランシュ
Cosne-Cours-sur-Loire,コーヌ＝クール＝シュル＝ロワール
Paris 18 Buttes-Montmartre,モンマルトル
Brumath,ブリュマト
Bruay-la-Buissière,ブリュエ＝ラ＝ビュイシエール
Brignoles,ブリニョール
Briançon,ブリアンソン
Bretagne,ブルターニュ地域圏
Bressuire,ブレシュイール
Bourg-Saint-Maurice,ブール＝サン＝モーリス
Bourgogne,ブルゴーニュ地域圏
Bouguenais,ブゲネ
Mende,マンド
Marmande,マルマンド
Champagne-Ardenne,シャンパーニュ＝アルデンヌ地域圏
Cergy,セルジー
Centre-Val de Loire,サントル＝ヴァル・ド・ロワール地域圏
Castelsarrasin,カステルサラザン
Carhaix-Plouguer,カレ＝プルゲール
Canet-en-Roussillon,カネ＝タン＝ルシヨン
Erstein,エルスタン
Dinard,ディナール
Denain,ドゥナン
Décines-Charpieu,デシーヌ＝シャルピュー
Deauville,ドーヴィル
Dammartin-en-Goële,ダマルタン＝アン＝ゴエル
Barr,バール
Bagnères-de-Bigorre,バニェール＝ド＝ビゴール
Avranches,アヴランシュ
Avallon,アヴァロン
Auvergne,オーヴェルニュ地域圏
Audincourt,オダンクール
Aubergenville,オーベルジャンヴィル
Sophia Antipolis,ソフィア・アンティポリス
Bourgoin-Jallieu,ブルゴワン＝ジャイユー
Paris Charles de Gaulle Airport,シャルル・ド・ゴール国際空港
Western Europe,西ヨーロッパ
Bourgogne-Franche-Comté,ブルゴーニュ＝フランシュ＝コンテ地域圏
Normandie,ノルマンディー地域圏
Grand Est,グラン・テスト地域圏
Hauts-de-France,オー＝ド＝フランス地域圏
Auvergne-Rhône-Alpes,オーヴェルニュ＝ローヌ＝アルプ地域圏
Yssingeaux,イッサンジョー
Villiers-le-Bel,ヴィリエ＝ル＝ベル
Villeneuve-Loubet,ヴィルヌーヴ＝ルベ
Villeneuve-lès-Maguelone,ヴィルヌーヴ＝レ＝マグローヌ
Villemomble,ヴィルモンブル
Vigneux-sur-Seine,ヴィニュー＝シュル＝セーヌ
Les Lilas,レ・リラ
Arnac-Pompadour,アルナック＝ポンパドゥール
Alsace,アルザス地域圏
Clichy-sous-Bois,クリシー＝ス＝ボワ
Chinon,シノン
Chaville,シャヴィル
Châteauneuf-du-Pape,シャトーヌフ＝デュ＝パプ
Gravelines,グラヴリーヌ
Grande-Synthe,グランド＝シント
Jonzac,ジョンザック
Île de la Camargue,カマルグ
Île-de-France,イル・ド・フランス
Huningue,ユナング
Haute-Normandie,オート＝ノルマンディー地域圏
Saint-Rémy-lès-Chevreuse,サン＝レミ＝レ＝シュヴルーズ
Saint-Michel-sur-Orge,サン＝ミシェル＝シュル＝オルジュ
Saint-Jean-d'Angély,サン＝ジャン＝ダンジェリ
Sainte-Foy-lès-Lyon,サント＝フォワ＝レ＝リヨン
Roquebrune-Cap-Martin,ロクブリュヌ＝カップ＝マルタン
Roissy-en-Brie,ロワシー＝アン＝ブリー
Rethel,ルテル
Picardie,ピカルディ地域圏
Segré,スグレ
Aiguille Verte,エギーユ・ヴェルト
Pontoise,ポントワーズ
Tournefeuille,トゥルヌフイユ
Stains,スタン
Nord-Pas-de-Calais,ノール＝パ・ド・カレー地域圏
Noisy-le-Roi,ノワジー＝ル＝ロワ
Nogent-sur-Seine,ノジャン＝シュル＝セーヌ
Niederbronn-les-Bains,ニーデルブロン＝レ＝バン
Franche-Comté,フランシュ＝コンテ地域圏
Font-Romeu-Odeillo-Via,フォン＝ロムー＝オデイヨ＝ヴィア
Beaupréau,ボープレオ
Montrichard,モントリシャール
Montmorillon,モンモリヨン
Montigny-le-Bretonneux,モンティニー＝ル＝ブルトンヌー
Montfermeil,モンフェルメイユ
Montbard,モンバール
Moissac,モワサック
Louhans,ルーアン
Loches,ロシュ
Lingolsheim,ランゴルサイム
Limoux,リムー
Commercy,コメルシー
Brioude,ブリウド
Bourg-la-Reine,ブール＝ラ＝レーヌ
Mandelieu-la-Napoule,マンドリュー＝ラ＝ナプール
Elne,エルヌ
Deuil-la-Barre,ドゥイユ＝ラ＝バール
Basse-Normandie,バス＝ノルマンディー地域圏
Bar-sur-Aube,バール＝シュル＝オーブ
Avesnes-sur-Helpe,アヴェーヌ＝シュル＝エルプ
Les Ulis,レ・ジュリス
Marseille Provence Airport,マルセイユ・プロヴァンス空港
Nice Côte d'Azur International Airport,コート・ダジュール空港
Lille Airport,リール空港
EuroAirport Basel–Mulhouse–Freiburg,ユーロエアポート
Mayotte,マヨット島
Mont Saint-Michel,ル・モン＝サン＝ミシェル
Guadeloupe,グアドループ
Guyane,仏領ギアナ
Woerth,ヴルト
Volvic,ヴォルヴィック
Villeneuve-le-Roi,ヴィルヌーヴ＝ル＝ロワ
Clipperton,クリッパートン島
Europe,ヨーロッパ
Les Pavillons-sous-Bois,レ・パヴィヨン＝スー＝ボワ
Lesparre-Médoc,レスパール＝メドック
Le Palais,ル・パレ
Mont-Dore,モン＝ドール
Le Mée-sur-Seine,ル・メ＝シュル＝セーヌ
Le Conquet,ル・コンケ
Le Bar-sur-Loup,ル・バール＝シュル＝ルー
Arpajon-sur-Cère,アルパジョン＝シュル＝セール
Arlanc,アルラン
Argentat,アルジャンタ
Argelès-Gazost,アルジュレス＝ガゾスト
Ansouis,アンスウィ
Ambert,アンベール
Aigurande,エグランド
Aigues-Mortes,エーグ＝モルト
La Colle-sur-Loup,ラ・コル＝シュル＝ルー
La Chapelle-Heulin,ラ・シャペル＝ウラン
La Chapelle-des-Marais,ラ・シャペル＝デ＝マレ
La Chapelle-Basse-Mer,ラ・シャペル＝バス＝メール
Kaysersberg,ケゼルスベール
La Roche-Maurice,ラ・ロッシュ＝モーリス
La Roche-Derrien,ラ・ロッシュ＝デリアン
Lannilis,ランニリス
Lanmeur,ランムール
Cléder,クレデール
Ciboure,シブール
Cheverny,シュヴェルニー
Chaudes-Aigues,ショード＝ゼーグ
Châteauneuf-du-Faou,シャトーヌフ＝デュ＝フー
Châteauneuf-Grasse,シャトーヌフ＝グラース
Châteaulin,シャトーラン
Guéthary,ゲタリー
Groix,グロワ島
Grand-Fougeray,グラン＝フジュレ
Gourin,グラン
Gordes,ゴルド
Givet,ジヴェ
Gevrey-Chambertin,ジュヴレ＝シャンベルタン
Garches,ギャルシュ
Josselin,ジョスラン
Ivry-la-Bataille,イヴリー＝ラ＝バタイユ
Itxassou,イチャスー
Saint-Pourçain-sur-Sioule,サン＝プルサン＝シュル＝シウール
Saint-Pol-de-Léon,サン＝ポル＝ド＝レオン
Saint-Philbert-de-Grand-Lieu,サン＝フィルベール＝ド＝グラン＝リュー
Saint-Paul-de-Vence,サン＝ポール＝ド＝ヴァンス
Saint-Ouen-l'Aumône,サン＝トゥアン＝ロモヌ
Saint-Maximin-la-Sainte-Baume,サン＝マクシマン＝ラ＝サント＝ボーム
Saint-Macaire-en-Mauges,サン＝マケール＝アン＝モージュ
Saint-Julien-Chapteuil,サン＝ジュリアン＝シャトゥイユ
Saint-Jean-Pied-de-Port,サン＝ジャン＝ピエ＝ド＝ポル
Saint-Jean-Cap-Ferrat,サン＝ジャン＝カップ＝フェラ
Saint-Gildas-de-Rhuys,サン＝ジルダ＝ド＝リュイス
Saint-Estève,サンテステーヴ
Sainte-Sigolène,サント＝シゴレーヌ
Saint-Émilion,サン＝テミリオン
Sainte-Foy-la-Grande,サント＝フォワ＝ラ＝グランド
Roussillon,ルシヨン
Rocroi,ロクロワ
Riquewihr,リクヴィール
Rédené,レデネ
Pauillac,ポーイヤック
Oradour-sur-Glane,オラドゥール＝シュル＝グラヌ
Sancerre,サンセール
Vézelay,ヴェズレー
Vernet-les-Bains,ヴェルネ＝レ＝バン
Vaucresson,ヴォークレソン
Varennes-en-Argonne,ヴァレンヌ＝アン＝アルゴンヌ
Vaison-la-Romaine,ヴェゾン＝ラ＝ロメーヌ
Turckheim,テュルクアイム
Trouville-sur-Mer,トルヴィル＝シュル＝メール
Quéménéven,ケメネヴァン
Propriano,プロプリアノ
Pouilly-sur-Loire,プイィ＝シュル＝ロワール
Pont-Saint-Esprit,ポン＝サン＝テスプリ
Pont-Aven,ポン＝タヴァン
Plouzané,プルザネ
Plounévez-Lochrist,プルネヴェ＝ロクリスト
Plouigneau,プルイニョー
Plouguerneau,プルゲルノー
Ploudalmézeau,プルダルメゾー
Plomeur,プロムール
Plogoff,プロゴフ
Tréguier,トレギエ
Tournus,トゥールニュ
Taulé,トレ
Soufflenheim,スフレンアイム
Soorts,ソール＝オスゴール
Betschdorf,ベッチドルフ
Nyons,ニヨン
Neuf-Brisach,ヌフ＝ブリザック
Nantua,ナンテュア
Mutzig,ムツィヒ
Mûr-de-Bretagne,ミュール＝ド＝ブルターニュ
Morsang-sur-Orge,モルサン＝シュル＝オルジュ
Montsoreau,モンソロー
Fouesnant,フエナン
Forcalquier,フォルカルキエ
Èze,エズ
Évron,エヴロン
Étretat,エトルタ
Bois de Vincennes,ヴァンセンヌの森
Bohars,ボアール
Billom,ビヨム
Beuzec-Cap-Sizun,ブゼック＝カップ＝シザン
Beaulieu-sur-Mer,ボーリュー＝シュル＝メール
Beaulieu-sur-Dordogne,ボーリュー＝シュル＝ドルドーニュ
Montlouis-sur-Loire,モンルイ＝シュル＝ロワール
Montgeron,モンジュロン
Monbazillac,モンバジャック
Louveciennes,ルーヴシエンヌ
Lourmarin,ルールマラン
Lodève,ロデーヴ
Loctudy,ロクテュディ
Locronan,ロクロナン
Locmariaquer,ロクマリアケール
Crozon,クロゾン
Crécy-en-Ponthieu,クレシー＝アン＝ポンティユー
Couëron,クエロン
Cormeilles-en-Parisis,コルメイユ＝ザン＝パリジ
Coray,コレ
Condé-sur-Noireau,コンデ＝シュル＝ノワロー
Combrit,コンブリ
Collioure,コリウール
Briec,ブリエック
Bresse,ブレス
Bourgueil,ブルグイユ
Bourg-Blanc,ブール＝ブラン
Bougival,ブージヴァル
Megève,ムジェーヴ
Mauléon-Licharre,モレオン＝リシャール
Marsannay-la-Côte,マルサネ＝ラ＝コート
Maillane,マイヤーヌ
Machecoul,マシュクール
Champs-sur-Marne,シャン＝シュル＝マルヌ
Chablis,シャブリ
Castillon-la-Bataille,カスティヨン・ラ・バタイユ
Carentan,カランタン
Carantec,カランテック
Capbreton,カップブルトン
Cancale,カンカル
