Marsilly (Moselle),马尔西伊·(摩泽尔省)
Wingen-sur-Moder,莫代尔河畔温根
Stiring-Wendel,斯蒂兰旺代勒
Mijoux,米茹
Saint-Mandé,圣芒代
La Réunion,留尼汪
Le Fousseret,勒富瑟雷
Concarneau,孔卡尔诺
Aéroport de La Réunion-Roland-Garros,留尼旺羅蘭·加洛斯機場
Cruguel,克吕盖勒
Aéroport de Saint-Pierre-Pierrefonds,聖皮埃爾機場
Lessy,莱西·(摩泽尔省)
Guinkirchen,金基申
Etting,埃坦·(摩泽尔省)
Rouvroy-sur-Serre,塞尔河畔鲁夫鲁瓦
Arrondissement de Dijon,第戎区
Villars-les-Dombes,维拉尔莱栋布
Bernay (Eure),贝尔奈
Haguenau,阿格诺
Obernai,奥贝奈
Sélestat,塞莱斯塔
Holling,奥兰·(摩泽尔省)
Guerstling,盖尔斯特兰
Bouxwiller (Bas-Rhin),布克斯维莱尔
Hettange-Grande,大埃唐日
Torcheville,托尔舍维尔
Saverne,萨韦尔讷
Kanfen,坎芬
Nelling,内兰
Reyersviller,雷耶斯维莱尔
Plaine (Bas-Rhin),普莱讷
Meisenthal,迈森塔勒
Vescheim,韦斯尚·(摩泽尔省)
Noisseville,努瓦斯维尔
Givrycourt,日夫里库尔
Ariège (rivière),阿列日河
Falck,法尔克·(摩泽尔省)
Bootzheim,博蔡姆
Benfeld,本费尔德
Dachstein,达克什泰因
Bernardvillé,贝纳尔维莱
Dangolsheim,当戈尔赛姆
France Musique,法国音乐广播电台
Radio France internationale,法国国际广播电台
Musée du Louvre,卢浮宫
France Info,法国新闻广播电台
Florac,弗洛拉克
Gare de Lozère,洛泽尔站
Divatte,迪瓦特河
Poncey-lès-Athée,蓬塞莱萨泰
Labergement-lès-Auxonne,拉贝热芒莱索克索讷
Magny-Montarlot,马尼-蒙塔尔洛
Les Maillys,莱马伊
Flagey-lès-Auxonne,弗拉热莱索克索讷
Bitche,比奇
Poissy,普瓦西
Spicheren,斯皮什伦
Scy-Chazelles,锡-沙泽勒
Association sportive de Saint-Étienne,聖伊天體育會
Diane-Capelle,迪亚讷卡佩勒
Association sportive Nancy-Lorraine,南錫體育會
Lambach (Moselle),兰巴赫·(摩泽尔省)
Bourscheid (Moselle),布尔沙伊德·(摩泽尔省)
Hombourg-Haut,上翁堡
Sillegny,锡莱尼
Bouzonville,布宗维尔
Carling,卡兰·(摩泽尔省)
Saint-Hubert (Moselle),圣于贝尔·(摩泽尔省)
Plesnois,普莱努瓦
Pange (Moselle),庞日
Féy,费伊
Musée des Beaux-Arts de Lyon,里昂美术馆
Hôtel de ville de Lyon,里昂市政厅
Lugdunum (musée),里昂高盧羅馬博物館
Derval (Loire-Atlantique),代尔瓦勒
Adamswiller,阿达姆斯维莱尔
Altenheim,阿尔特奈姆
Avenue des Champs-Élysées,香榭丽舍大街
Toulouse Football Club,圖盧茲足球俱樂部
Duttlenheim,迪特勒奈姆
Wœrth,沃尔特
Vionville,维永维尔
Barr (Bas-Rhin),巴尔·(下莱茵省)
Rhône-Alpes,罗讷-阿尔卑斯
Bischoffsheim,比绍夫赛姆
Bilwisheim,比尔维赛姆
Illange,伊朗日
Pierrevillers,皮埃尔维莱
Silly-en-Saulnois,西利昂索努瓦
Billey,比耶·(科多尔省)
Champdôtre,尚多特尔
Auxonne,欧克索讷
Flammerans,弗拉默朗
Athée (Côte-d'Or),阿泰·(科多尔省)
Piblange,皮布朗日
Réning,雷南
Soirans,苏瓦朗
Pont (Côte-d'Or),蓬·(科多尔省)
Momerstroff,莫梅尔斯特罗夫
Riche (Moselle),里什
Neunkirchen-lès-Bouzonville,讷恩基申莱布宗维尔
Villeurbanne,维勒班
Frémestroff,弗雷梅斯特罗夫
Argancy,阿尔冈西
Tressange,特雷桑日
Coume,库姆·(摩泽尔省)
Holving,奥尔万
Palatin (langue),普法尔茨方言
Prix Femina,费米娜奖
Achenheim,阿赫奈姆
Bosselshausen,博瑟尔绍森
Ennery (Moselle),埃讷里·(摩泽尔省)
Epping,埃潘
L'Hôpital (Moselle),洛皮塔勒
Ernestviller,埃内斯特维莱尔
Rosheim,罗赛姆
Betschdorf,贝奇多夫
Petite-Rosselle,小罗塞勒
Tillenay,蒂勒奈·(科多尔省)
Ottonville,奥通维尔
Varsberg,瓦尔斯贝格
Lutzelbourg,吕策尔堡
Morsbach (Moselle),莫尔斯巴克
Guinglange,甘格朗日
Elvange (Moselle),埃尔旺日
Vaudreching,沃德勒尚
Football Club Sochaux-Montbéliard,索肖足球俱乐部
Stade rennais Football Club,雷恩足球俱乐部
Montpellier Hérault Sport Club,蒙彼利埃體育會
LOSC Lille,里爾奧林匹克體育會
Lipsheim,利普赛姆
Château-Voué,武埃堡
La Petite-Pierre,拉珀蒂特皮埃尔
Créhange,克雷昂日
Théding,泰丹
Guerting,盖尔坦
Duppigheim,迪皮盖姆
Drusenheim,德吕瑟奈姆
Laning,拉南
Colligny,科利尼·(摩泽尔省)
Bossendorf,博森多夫
Durstel,迪尔斯泰勒
Lorentzen,洛伦岑
Algrange,阿尔格朗日
Montigny-lès-Metz,蒙蒂尼莱梅斯
Rémelfang,雷梅尔方
Roupeldange,鲁佩尔当日
Filstroff,菲尔斯特罗夫
Nouilly,努伊
Château-Salins,萨兰堡
Morhange (Moselle),莫朗日
Vic-sur-Seille,塞耶河畔维克
Neufvillage,讷维拉日
Zimming,齐曼·(摩泽尔省)
Saint-François-Lacroix,圣弗朗索瓦-拉克鲁瓦
Lesse (Moselle),莱斯·(摩泽尔省)
Volmerange-lès-Boulay,沃尔默朗日莱布莱
Gerbécourt,热贝库尔
Velving,韦尔万·(摩泽尔省)
Farschviller,法尔什维莱尔
Nousseviller-Saint-Nabor,努斯维莱尔-圣纳博尔
Villers-Rotin,维莱罗坦
Villers-les-Pots,维莱莱波
Chenôve,舍诺沃
Longvic,隆维·(科多尔省)
Perrigny-lès-Dijon,佩里尼莱第戎
Elne,埃尔讷
Cahors,卡奥尔
Sègre,塞格雷河
Moulins-lès-Metz,穆兰莱梅斯
Grosbliederstroff,格罗斯布利代斯特罗夫
Vigy,维日
Bœsenbiesen,伯森比森
Ouges,乌日·(科多尔省)
Lemberg (Moselle),伦贝格·(摩泽尔省)
Rhinau,里诺
Tréclun,特雷克兰
Mont Blanc,勃朗峰
Mutzig,米齐格
Hambach (Moselle),安巴赫
Diemeringen,迪默林根
Durrenbach,迪伦巴克
La Broque,拉布罗克
Dieffenbach-lès-Wœrth,迪芬巴克-莱沃尔特
Drulingen,德吕林根
Balbronn,巴尔布龙
Baerendorf,贝伦多夫·(下莱茵省)
Alteckendorf,阿尔泰肯多夫
Altorf,阿尔托夫
Bust,比斯特·(下莱茵省)
Cosswiller,科斯维莱尔
Dorlisheim,多尔利赛姆
Duntzenheim,敦策奈姆
Crœttwiller,克勒特维莱尔
Bœrsch,伯尔什
Berstett,贝尔什泰特
Bellefosse,贝勒福斯
Durningen,迪尔宁根
Musée d'Orsay,奥赛博物馆
Dettwiller,代特维莱尔
Butten,比滕
Altwiller,阿尔特维莱尔
Racrange,拉克朗日
Saint-Jean-Rohrbach,圣让罗尔巴克
Ritzing,里灿
Tromborn,特龙博恩
Wasselonne,瓦斯洛讷
Lelling,莱兰
Lengelsheim,伦格尔赛姆
Lachambre,拉尚布尔
Schœnbourg,申堡·(下莱茵省)
Gundershoffen,贡德索芬
Cocheren,科什伦
Uberach,于伯拉赫
Frœschwiller,弗勒什维莱尔
Grandfontaine (Bas-Rhin),格朗方丹·(下莱茵省)
Saint-Pierre (Bas-Rhin),圣皮埃尔·(下莱茵省)
Hœnheim,厄奈姆
Saales,萨勒·(下莱茵省)
Bischwiller,比什维莱尔
Niedervisse,尼代尔维斯
Volmerange-les-Mines,沃尔默朗日莱米讷
Schweighouse-sur-Moder,莫代尔河畔什韦古斯
La Vancelle,拉旺塞勒
Oberdorff,奥伯多夫·(摩泽尔省)
Marseille,马赛
Ruffey-lès-Echirey,吕费莱塞希雷
Saint-Apollinaire (Côte-d'Or),圣阿波利奈尔
Clénay,克莱奈
Brognon (Côte-d'Or),布罗尼翁
Orgeux,奥尔热
Mittelbergheim,米特尔贝盖姆
Soufflenheim,苏夫勒奈姆
Entzheim,恩赛姆
Saint-Saëns (Seine-Maritime),圣桑斯
Breidenbach (Moselle),布赖登巴赫·(摩泽尔省)
Freyming-Merlebach,弗雷曼-梅尔勒巴克
Bretigny,布勒蒂尼
Ottrott,奥特罗特
Lauterbourg,洛泰堡
Crémery,克雷姆里
Courcelles-au-Bois,库尔塞勒欧布瓦
Curlu,屈尔吕
Croixrault,克鲁瓦罗
Curchy,屈尔希
Saint-Julien (Côte-d'Or),圣于连·(科多尔省)
Varois-et-Chaignot,瓦鲁瓦和谢尼奥
Rhône,罗讷河
Goetzenbruck,格岑布吕克
Bertrange (Moselle),贝尔特朗日·(摩泽尔省)
Brulange,布吕朗日
Altrippe,阿尔特里普·(摩泽尔省)
Bettelainville,贝特兰维尔
Failly,法伊·(摩泽尔省)
Bérig-Vintrange,贝里格-万特朗日
Barst,巴尔斯特
Glatigny (Moselle),格拉蒂尼·(摩泽尔省)
Diesen,迪森
Diffembach-lès-Hellimer,迪芬巴克-莱埃利梅尔
Dargnies,达尔尼
Le Crotoy,勒克罗图瓦
Daours,杜尔·(索姆省)
Breistroff-la-Grande,大布雷斯特罗夫
Haspelschiedt,阿斯珀尔希特
Coulonvillers,库隆维莱尔
Creuse (Somme),克勒兹·(索姆省)
Crécy-en-Ponthieu,克雷西昂蓬蒂约
Dancourt-Popincourt,当库尔-波潘库尔
Cressy-Omencourt,克雷西-奥芒库尔
Courtemanche (Somme),库尔特芒什
Davenescourt,达旺内斯库尔
Courcelles-sous-Moyencourt,库尔塞勒苏穆瓦延库尔
Courcelles-sous-Thoix,库尔塞勒苏图瓦
Damery (Somme),达姆里·(索姆省)
Coullemelle,库勒梅勒
Courcelette,库尔瑟莱特
Crouy-Saint-Pierre,克鲁伊-圣皮埃尔
Flocourt,弗洛库尔·(摩泽尔省)
Lac du Bourget,布尔歇湖
Arleux,阿尔勒·(北部省)
Cramont,克拉蒙
Croix-Moligneaux,克鲁瓦莫利尼欧
Brech,布雷克
Bréhan,布雷昂
Canet (Aude),卡内·(奥德省)
Rhin,莱茵河
Marsannay-la-Côte,马尔萨奈拉科特
Neuilly-lès-Dijon,讷伊莱第戎
Guessling-Hémering,盖斯兰埃默兰
Guenviller,盖恩维莱
Gréning,格雷南
Gros-Réderching,大雷代尔尚
Beaujolais (AOC),薄酒萊葡萄酒
Quetigny,克蒂尼
Place Bellecour,贝勒库尔广场
Crimolois,克里莫卢瓦
Couternon,库泰尔农
Russ,吕斯
Wittersheim,维特赛姆
Gries,格里斯
Soultz-les-Bains,苏尔茨莱班
Fegersheim,费格赛姆
Ebersheim,埃伯赛姆
Furdenheim,菲尔德奈姆
Saint-Avold,聖阿沃爾德
Ebersmunster,埃伯斯明斯特
Chevigny-Saint-Sauveur,舍维尼圣索沃尔
Bressey-sur-Tille,蒂耶河畔布雷塞
Monswiller,蒙斯维莱尔
Sennecey-lès-Dijon,塞讷塞莱第戎
Remilly-sur-Tille,蒂耶河畔勒米伊
Martot,马尔托·(厄尔省)
Corcelles-les-Monts,科尔塞勒莱蒙
Portrait d'un vieillard et d'un jeune garçon,老人和他的孙子
Betting,贝坦
Hellimer,埃利梅尔
Coincy (Moselle),宽西·(摩泽尔省)
La Chapelle-aux-Saints,拉沙佩勒欧圣
Arzal,阿尔扎勒
Saint-Michel-Escalus,圣米歇尔-埃斯卡吕斯
Rott (Bas-Rhin),罗特·(下莱茵省)
Ingolsheim,英戈尔赛姆
Eure (rivière),厄尔河
Billiers,比利耶
Béganne,贝加讷
Bieuzy,比约济
Buléon,比莱翁
Augan,欧冈
Berric,贝里克
Bohal,博阿勒
Billio,比利奥
Auray,欧赖
Allaire (Morbihan),阿莱尔
Brandivy,布朗迪维
Beignon,贝尼翁
Bubry,比布里
Brandérion,布朗代里永
Belz (Morbihan),贝尔兹
Ambon (Morbihan),昂邦
Berné,贝尔内·(莫尔比昂省)
Bignan,比尼昂
Arzon,阿尔宗
Lit-et-Mixe,利特和米克斯
Velars-sur-Ouche,乌什河畔沃拉尔
Veyras (Ardèche),韦拉·(阿尔代什省)
Prenois,普勒努瓦
Flavignerot,弗拉维涅罗
Griesheim-près-Molsheim,莫尔塞姆附近格里赛姆
Diocèse de Fréjus-Toulon,天主教弗雷瑞斯-土倫教區
Bangor (Morbihan),邦戈尔·(莫尔比昂省)
La Chapelle-aux-Brocs,拉沙佩勒欧布罗
Fleurey-sur-Ouche,乌什河畔弗勒雷
Lantenay (Côte-d'Or),朗特奈
Pasques,帕克·(科多尔省)
Steige,斯泰日
Huttenheim,于特奈姆·(Huttenheim)
Chartres,沙特尔
Villy (Yonne),维利·(约讷省)
Lyas,利亚·(阿尔代什省)
Le Mont-Saint-Michel,勒蒙-圣米歇尔
Cléry (Côte-d'Or),克莱里·(科多尔省)
Coux (Ardèche),库克斯·(阿尔代什省)
César de la meilleure réalisation,凱薩獎最佳導演獎
Bataille de Saint-Omer (1340),聖奧梅爾戰役
Groupe d'intervention de la Gendarmerie nationale,國家憲兵干預組
Cathédrale Notre-Dame-de-l'Annonciation de Moulins,穆蘭主教座堂
Abbaye d'Hautecombe,欧特孔布修道院
Finale du Championnat d'Europe de football 1984,1984年歐洲足球錦標賽決賽
Le Bellay-en-Vexin,韦克桑地区勒贝莱
Arc de triomphe de l'Étoile,巴黎凯旋门
Merry-Sec,梅里塞克
Rouvray (Yonne),鲁夫赖
Lille,里尔
Drambon,德朗邦
Étevaux,埃特沃
Dommartin (Somme),多马坦·(索姆省)
Lamarche-sur-Saône,索恩河畔拉马什
Heuilley-sur-Saône,索恩河畔厄耶
Conty,孔蒂
Fontenailles (Yonne),丰特纳耶·(约讷省)
Laduz,拉迪兹
Gigny (Yonne),日尼·(约讷省)
Rennes,雷恩
Versailles,凡爾賽
Tour métallique de Fourvière,富維耶山鐵塔
Mont Saint-Michel,聖米歇爾山
Arc-sur-Tille,蒂耶河畔阿尔克
Le Couronnement d'épines (Titien),"荆棘冠冕·(提香,1543年)"
Saint-Vincent-de-Durfort,圣樊尚德迪尔福
Samoreau,萨莫罗
Saint-Priest (Ardèche),圣普列斯特·(阿尔代什省)
Église Saint-Jacques-du-Haut-Pas,圣雅各伯堂·(巴黎第五区)
Colombier (Haute-Saône),科隆比耶·(上索恩省)
Clans (Haute-Saône),克朗·(上索恩省)
Binges,班日
Proyart,普鲁瓦亚尔
Puchevillers,皮舍维莱尔
Dunière-sur-Eyrieux,埃里约河畔迪尼耶尔
Flaviac,弗拉维亚克
Pranles,普朗勒
Pourchères,普谢尔
Villon (Yonne),维隆·(约讷省)
Cirey-lès-Pontailler,锡雷莱蓬塔耶
Rosoy (Yonne),罗苏瓦
Pourrain,普兰·(约讷省)
Blaesheim,布莱赛姆
Asswiller,阿斯维莱尔
Olympique lyonnais,奥林匹克里昂
Birkenwald,比肯瓦尔德
Artolsheim,阿托尔赛姆
Antilles françaises,法属安的列斯
Nuku Hiva,努库希瓦岛
Burbach (Bas-Rhin),比尔巴克
Aschbach,阿什巴克
Blancherupt,布朗什吕
Eaucourt-sur-Somme,索姆河畔欧库尔
Dominois,多米努瓦
Allenwiller,阿伦维莱尔
Daubensand,道本桑德
Colroy-la-Roche,科尔鲁瓦拉罗什
Bitschhoffen,比乔芬
Bissert,比塞尔
Bischholtz,比绍尔茨
Séisme et tsunami de 2004 dans l'océan Indien,2004年印度洋大地震
Bassemberg,巴桑贝格
Beinheim,拜奈姆
Climbach,克林巴克
Crastatt,克拉什塔特
Dahlenheim,达勒奈姆
Domesmont,多梅蒙
Dury (Somme),迪里·(索姆省)
Domart-en-Ponthieu,多马昂蓬蒂约
Doullens,杜朗
Dompierre-sur-Authie,欧蒂河畔栋皮埃尔
Devise (Somme),德维斯
Mouffy,穆菲
Lorraine,洛林
Démuin,代米安
Dreuil-lès-Amiens,德勒伊莱萨米安
Montmançon,蒙芒松
Marandeuil,马朗德伊
Maxilly-sur-Saône,索恩河畔马克西利
Perrigny-sur-l'Ognon,奥尼翁河畔佩里尼
Pontailler-sur-Saône,索恩河畔蓬塔耶
Saint-Léger-Triey,圣莱热-特里耶
Driencourt,德里安库尔
Saint-Sauveur (Côte-d'Or),圣索沃尔·(科多尔省)
Dernancourt,代尔南库尔
Domvast,栋瓦斯特
Drucat,德吕卡
Dauendorf,道恩多夫
Drachenbronn-Birlenbach,德拉肯布龙-比伦巴克
Domfessel,多姆费瑟勒
Diebolsheim,迪博尔赛姆
Moings,穆万
Diedendorf,迪登多夫
Biblisheim,比布利赛姆
Salignac-sur-Charente,夏朗德河畔萨利尼亚克
Voissay,瓦赛·(滨海夏朗德省)
Saint-Germain-de-Marencennes,圣日耳曼德马朗塞讷
Loire-les-Marais,卢瓦尔莱马赖
Beaugas,博加
Dolmayrac (Lot-et-Garonne),多尔迈拉克
Batzendorf,巴岑多夫
Berstheim,贝尔斯泰姆
Vanzac,旺扎克
Saint-Germain-de-Vibrac,圣日耳曼德维布拉克
Siecq,谢克·(滨海夏朗德省)
Puyravault (Charente-Maritime),皮拉沃·(滨海夏朗德省)
Taugon,托贡
Saint-Martial (Charente-Maritime),圣马夏尔·(滨海夏朗德省)
Saint-Hilaire-du-Bois (Charente-Maritime),圣伊莱尔迪布瓦
Saint-Georges-de-Longuepierre,圣乔治德隆格皮埃尔
Saint-Ouen-d'Aunis,圣旺多尼斯
Villexavier,维勒萨维耶
Saint-Pierre-de-l'Isle,圣皮埃尔德利勒
Dehlingen,代林根
Breuschwickersheim,布勒伊什维克赛姆
Saint-Preuil,圣普勒伊
César de la meilleure actrice,凱薩獎最佳女主角獎
Lignières-Sonneville,利涅尔-索讷维尔
Gourdon (Ardèche),古尔东·(阿尔代什省)
Dingsheim,丁赛姆
Alsace,阿尔萨斯
Domléger-Longvillers,栋莱热隆维莱尔
Dromesnil,德罗梅尼勒
Douilly,杜伊·(索姆省)
Orignolles,奥里尼奥勒
Montroy (Charente-Maritime),蒙鲁瓦
Saint-Pierre-d'Amilly,圣皮埃尔达米伊
Dossenheim-Kochersberg,多瑟奈姆-科克斯贝格
Dambach,丹巴克
Papeete,帕皮提
Les Ollières-sur-Eyrieux,埃里约河畔莱索利耶尔
Moragne,莫拉涅
Landrais,朗德赖
Puy-du-Lac,皮迪拉克
Vibrac (Charente-Maritime),维布拉克·(滨海夏朗德省)
Limousin (ancienne région administrative),利穆赞
Baldenheim,巴尔德奈姆
Donnenheim,多讷奈姆
Aquitaine (ancienne région administrative),阿基坦
Avolsheim,阿沃尔赛姆
Auenheim,奥厄奈姆
Mer des Caraïbes,加勒比海
Dimbsthal,迪姆斯塔勒
Bietlenheim,比特勒奈姆
Bourgheim,布尔盖姆
Bourg-Bruche,布吕什堡
Kertzfeld,凯茨费尔德
Gerstheim,盖尔斯泰姆
Eywiller,艾维莱尔·(下莱茵省)
Hangenbieten,昂根比滕
Kirrberg,基尔贝格
Hattmatt,阿特马特
Handschuheim,安楚艾姆
Dossenheim-sur-Zinsel,钦瑟勒河畔多瑟奈姆
Bolsenheim,博尔瑟奈姆
Barembach,巴朗巴克
Buswiller,比斯维莱尔
Bernardswiller,贝纳茨维莱尔
Bruch (Lot-et-Garonne),布吕什
Caubeyres,科贝尔·(洛特-加龙省)
Clermont-Dessous,克莱蒙代苏
Bourgogne (ancienne région administrative),勃艮第
Dinsheim-sur-Bruche,布吕什河畔丁赛姆
Bettwiller,贝特维莱尔·(下莱茵省)
Breitenau (Bas-Rhin),布雷特诺
Boofzheim,博夫宰姆
Bernolsheim,贝诺尔赛姆
Dieffenbach-au-Val,迪芬巴克欧瓦勒
Talmay,塔尔迈
Soissons-sur-Nacey,纳塞河畔苏瓦松
Alpes,阿尔卑斯山
Espiens,埃斯皮安
Bourgougnague,布尔古尼亚格
Courbiac,库尔比亚克·(洛特-加龙省)
Alpes cottiennes,科蒂安山
Alpes grées,格拉耶山
Kindwiller,金德维莱尔
Ettendorf,埃滕多夫
Cambes (Lot-et-Garonne),康布·(洛特-加龙省)
Caden,卡当
Colmar,科尔马
Bataille de Verdun,凡尔登战役
60 mètres masculin aux Jeux olympiques de 1900,1900年夏季奧林匹克運動會田徑男子60米比賽
400 mètres masculin aux Jeux olympiques de 1900 (athlétisme),1900年夏季奧林匹克運動會田徑男子400米比賽
Guidel,吉代勒
Vielverge,维耶尔韦日
Cournon,库尔农
Saint-Ciers-Champagne,圣西耶香槟
Beaupuy (Lot-et-Garonne),博皮·(洛特-加龙省)
Loulay,卢莱
Tellecey,泰勒塞
Saint-Pierre-du-Palais,圣皮埃尔迪帕莱
Doudrac,杜德拉克
Bron,布龙
Grenoble,格勒诺布尔
Geudertheim,格伊德泰姆
Kolbsheim,科尔布赛姆
Breitenbach (Bas-Rhin),布赖滕巴克
Birac-sur-Trec,特雷克河畔比拉克
Louzignac,卢济尼亚克
Bouglon,布格隆
Saint-Saturnin-du-Bois,圣萨蒂南迪布瓦
Dondas,栋达
Musée Saint-Raymond,圣雷蒙德博物馆
Lélex (Ain),莱莱克斯
Mortiers (Charente-Maritime),莫尔捷·(滨海夏朗德省)
Castelnaud-de-Gratecambe,卡斯泰尔诺德格拉特康布
Castelnau-sur-Gupie,居皮河畔卡斯泰尔诺
Beauziac,博济亚克
Calignac,卡利尼亚克
Air France,法國航空
Cavarc,卡瓦尔克
Carentoir (ancienne commune),卡朗图瓦尔·(旧市镇)
