Frații Școlilor Creștine,ラ・サール会
Județul Tulcea,トゥルチャ県
Județul Teleorman,テレオルマン県
TAROM,タロム航空
Geografia României,ルーマニアの地理
ASA 2013 Târgu Mureș,ASAトゥルグ・ムレシュ・(2013)
FC Rapid București,FCラピド・ブカレスト
Romanian Open,BRDナスターゼ・ティリアク・トロフィー
România la Jocurile Olimpice de vară din 1976,1976年モントリオールオリンピックのルーマニア選手団
Turci,トルコ人
Marea Câmpie Ungară,ハンガリー大平原
Banat,バナト
Județul Mehedinți,メヘディンチ県
Județul Ilfov,イルフォヴ県
Focșani,フォクシャニ
Nogai,ノガイ族
Vaslui,ヴァスルイ
Limba maghiară,ハンガリー語
Limba greacă,ギリシア語
Tulcea,トゥルチャ
Biserici fortificate din Transilvania,トランシルヴァニア地方の要塞聖堂のある村落群
Miercurea Ciuc,ミエルクレア＝チュク
Județul Giurgiu,ジュルジュ県
Botoșani,ボトシャニ
Drobeta-Turnu Severin,ドロベタ＝トゥルヌ・セヴェリン
Zărnești,ザルネシュティ
Limba romani,ロマ語
Valahia,ワラキア
Stema României,ルーマニアの国章
Arad,アラド・(ルーマニア)
Oradea,オラデア
Sighișoara,シギショアラ
Râmnicu Vâlcea,ルムニク・ヴルチャ
Cluj-Napoca,クルジュ＝ナポカ
Județul Ialomița,ヤロミツァ県
Alba Iulia,アルバ・ユリア
Limba arabă,アラビア語
Rețeaua de drumuri europene,欧州自動車道路
Județul Botoșani,ボトシャニ県
Bucovina,ブコヴィナ
Județul Arad,アラド県
Județul Argeș,アルジェシュ県
Aromâni,アルーマニア人
Buzău,ブザウ
Ploiești,プロイェシュティ
Giurgiu,ジュルジュ
România la Jocurile Olimpice de vară din 1980,1980年モスクワオリンピックのルーマニア選手団
România la Jocurile Olimpice de vară din 1988,1988年ソウルオリンピックのルーマニア選手団
Râul Olt,オルト川
Sârbi,セルビア人
Județul Bacău,バカウ県
Găgăuzi,ガガウズ人
Județul Bihor,ビホル県
Drumul european E58,E58号線
Târgu Jiu,トゥルグ・ジウ
FCSB,FCステアウア・ブカレスト
Sfântu Gheorghe,スフントゥ・ゲオルゲ
Județul Suceava,スチャヴァ県
Județul Bistrița-Năsăud,ビストリツァ＝ナサウド県
Revoluția Română din 1989,ルーマニア革命・(1989年)
Biserica Ortodoxă Română,ルーマニア正教会
Deva,デヴァ
FC Dinamo București,FCディナモ・ブカレスト
București,ブカレスト
România la Jocurile Olimpice de vară din 1984,1984年ロサンゼルスオリンピックのルーマニア選手団
Leu românesc,ルーマニア・レウ
Limba venetă,ヴェネト語
Automobile Dacia,ダチア・(自動車)
Dobrogea,ドブロジャ
Județul Vrancea,ヴランチャ県
Porțile de Fier,鉄門・(ドナウ川)
Muntenia,ムンテニア
Râul Mureș,ムレシュ川
Aeroportul Internațional Henri Coandă București,アンリ・コアンダ国際空港
Lugoj,ルゴジ
Partidul Comunist Român,ルーマニア共産党
Râul Siret,シレト川
Limba ruteană,ルシン語
Râul Tisa,ティサ川
Râul Prut,プルト川
Județul Brașov,ブラショフ県
Județul Cluj,クルジュ県
CFR Cluj,CFRクルジュ
"Slatina, România",スラティナ・(ルーマニア)
ARO,ARO
Maghiari,マジャル人
Bulgari,ブルガリア人
Balș,バルシュ
Limba tătară crimeeană,クリミア・タタール語
Caransebeș,カランセベシュ
Limba slavonă,教会スラヴ語
Județul Timiș,ティミシュ県
.ro,.ro
Județul Iași,ヤシ県
Borșa,ボルシャ
Turda,トゥルダ
Bucătăria românească,ルーマニア料理
Transilvania,トランシルヴァニア
Târgu Mureș,トゥルグ・ムレシュ
Delta Dunării,ドナウ・デルタ
"Deșteaptă-te, române!",目覚めよ、ルーマニア人!
Râul Dâmbovița,ドゥンボヴィツァ川
Bazinul Panonic,パンノニア平原
Județul Sibiu,シビウ県
Hunedoara,フネドアラ
Oltenia,オルテニア
Județul Buzău,ブザウ県
Baia Mare,バヤ・マレ
Satu Mare,サトゥ・マーレ
Călărași,カララシ
Sinaia,シナヤ
Țara Bârsei,ブルツェンラント
FC Brașov,FCブラショヴ
"Alexandria, România",アレクサンドリア・(ルーマニア)
Canalul Dunăre-Marea Neagră,ドナウ・黒海運河
Slobozia,スロボジア
Carpații Meridionali,トランシルヴァニアアルプス山脈
Istoria României,ルーマニアの歴史
Buftea,ブフテア
SC Oțelul Galați,FCオツェルル・ガラツィ
Holcim,ホルシムグループ
Uniunea Democrată Maghiară din România,ハンガリー人民主同盟・(ルーマニア)
Cupa Națiunilor World Rugby,ワールドラグビーネイションズカップ
Stepa ponto-caspică,ポントス・カスピ海草原
Fetești,フェテシュティ
Dej,デジ
Universitatea din București,ブカレスト大学
FC Politehnica Timișoara,FCポリテフニカ・ティミショアラ
Citibank,シティバンク、エヌ・エイ
Caracal,カラカル・(ルーマニア)
Ateneul Român,アテネ音楽堂・(ルーマニア)
CS Gaz Metan Mediaș,CSガズ・メタン・メディアシュ
ISO 3166-2:RO,ISO・3166-2:RO
Economia României,ルーマニアの経済
Râmnicu Sărat,ルムニク・サラト
Tramvaiul din Sibiu,シビウ市電
Roșiorii de Vede,ロシオリイ・デ・ヴェデ
Buhuși,ブフシ
Odorheiu Secuiesc,オドルヘユ・セクイエスク
Blaj,ブラジ
Comănești,コマネシュティ
Dorohoi,ドロホイ
Revolta de la Brașov,ブラショヴ反乱
Băicoi,バイコイ
România la Jocurile Olimpice,オリンピックのルーマニア選手団
Metroul din București,ブカレスト地下鉄
Biblioteca Națională a României,ルーマニア国立図書館
Echipa națională de handbal feminin a României,ハンドボールルーマニア女子代表
Băilești,バイレシュティ
Filiași,フィリアシ
CS Mioveni,CSミオヴェニ
AXN,AXN・(TVチャンネル)
"Bulevardul Unirii, București",統一大通り
Federația Română de Fotbal,ルーマニアサッカー連盟
Supercupa României,スーペルクパ・ロムニエイ
Fălticeni,ファルティチェニ
Operațiunea Iași-Chișinău,ヤッシー＝キシニョフ攻勢
Sulina,スリナ
Camera Deputaților din România,代議院・(ルーマニア)
Arcul de Triumf din București,凱旋門・(ブカレスト)
FC Unirea Urziceni,FCウニレア・ウルジチェニ
Sighetu Marmației,シゲトゥ・マルマツィエイ
Voluntari,ヴォルンタリ
FCM Bacău,FCMバカウ
Bucharest Ring,ブカレスト・リンク
Acasă TV,Acasă
Târgu Secuiesc,トゥルグ・セクイエスク
Tramvaiul din Cluj-Napoca,クルジュ＝ナポカ市電
Arena Națională,スタディオヌル・ナツィオナル
Drumul european E576,E576号線
Fortărețe dacice din Munții Orăștiei,オラシュチエ山脈のダキア人の要塞群
Digi Sport (România),Digi・Sport
Campionatul Mondial de Handbal Feminin din 1962,1962年世界女子ハンドボール選手権
Academia Română,ルーマニア学士院
România la Concursul Muzical Eurovision Junior,ルーマニアのジュニア・ユーロビジョン・ソング・コンテスト
Horă,ホラ・(民俗舞踊)
FC Farul Constanța,FCファルル・コンスタンツァ
Călușarii,カルシャリ
"Partidul Conservator (România, 1991–2015)",保守党・(ルーマニア)
Biserica Neagră,黒教会
Mica Antantă,小協商
Luduș,ルドゥシュ
Câmpulung Moldovenesc,クンプルング・モルドヴェネスク
Curtea de Argeș,クルテア・デ・アルジェシュ
Sebeș,セベシュ
Seria 230.000,プロイセン邦有鉄道P8型蒸気機関車
Ordinul Franciscan,小さき兄弟会
Antena 1,Antena・1
Mioveni,ミオヴェニ
Mănăstirea Hurezi,ホレズ修道院
Castelul Peleș,ペレシュ城
Liga a II-a,リーガ2
Pro TV,Pro・TV
Bisericile pictate din nordul Moldovei,モルダヴィア北部の壁画教会群
Căile Ferate Române,ルーマニア鉄道
CSM Ceahlăul Piatra Neamț,FCチェアラゥル・ピアトラ・ネアムツ
Drumul european E85,E85号線
Castelul Bran,ブラン城
Cernavodă,チェルナヴォダ
Pașcani,パシュカニ
Calea ferată Arad–Alba Iulia,アラド・-・アルバ・ユリア線
Oltenița,オルテニツァ
Transfăgărășan,トランスファガラシャン
Catedrala Mitropolitană din Cluj-Napoca,生神女就寝大聖堂・(クルージュ＝ナポカ)
Cupa Balcanică,バルカン・カップ・(クラブチーム)
Mangalia,マンガリア
Câmpia Turzii,クンピア・トゥルジー
FC Vaslui,FCヴァスルイ
Urziceni,ウルジチェニ
Sarmizegetusa Regia,サルミゼゲトゥサ
FC UTA Arad,FC・UTAアラド
Rădăuți,ラダウツィ
Moinești,モイネシュティ
Gara București Nord,ブカレスト北駅
Tramvaiul din Galați,ガラツィ市電
Gherla,ゲルラ
Peștera Movile,モビラ洞窟
Tratatul de la București (1913),ブカレスト条約・(1913年)
Moreni,モレニ
Români,ルーマニア人
Forțele Aeriene Române,ルーマニア空軍
Făgăraș,ファガラシュ
Medgidia,メドジディア
Partidul Național Liberal (România),国民自由党・(ルーマニア)
Gara Timișoara Nord,ティミショアラ北駅
Cimitirul Vesel din Săpânța,陽気な墓
Petroșani,ペトロシャニ
Vârful Moldoveanu,モルドベアヌ山
Biserici de lemn din Maramureș,マラムレシュの木造聖堂群
Partidul România Mare,大ルーマニア党
AFC Astra Giurgiu,AFCアストラ・ジュルジュ
Vatra Dornei,ヴァトラ・ドルネイ
Marghita,マルギタ
Echipa națională de rugby a României,ラグビールーマニア代表
Banca Națională a României,ルーマニア国立銀行
Drumul european E574,E574号線
Drumul european E578,E578号線
Drumul european E81,E81号線
Powerwolf,パワーウルフ
Bătălia din Crimeea (1941),クリミアの戦い・(1941年-1942年)
Echipa națională de handbal masculin a României,ハンドボールルーマニア代表
Cupa Ligii (România),クパ・リギー
Cutremurul din 1977 (România),ヴランチャ大地震・(1977年)
Râul Jiu,ジウ川
Partidul Unității Națiunii Române,ルーマニア民族統一党
Club Atletic Oradea,CAオラデア
Universitatea Babeș-Bolyai,バベシュ・ボーヤイ大学
Armata României,ルーマニア軍
FCV Farul Constanța,FCヴィトルル・コンスタンツァ
Partidul Social Democrat (România),社会民主党・(ルーマニア)
Onești,オネシュティ
Drumul european E584,E584号線
Tecuci,テクチ
FC Universitatea Cluj,FCウニヴェルシタテア・クルジュ
Carpatair,カルパトエア
Președintele României,ルーマニアの大統領
Cetatea Poenari,ポエナリ城
România la Concursul Muzical Eurovision,ルーマニアのユーロビジョン・ソング・コンテスト
Parlamentul Republicii Moldova,モルドバ共和国議会
FC Argeș Pitești,FCアルジェシュ・ピテシュティ
Brad (oraș),ブラド
FC Sportul Studențesc București,FCスポルトゥル・ストゥデンツェスク・ブカレスト
Turnu Măgurele,トゥルヌ・マグレレ
Corabia,コラビア
Drăgășani,ドラガシャニ
Gheorgheni,ゲオルゲニ
Carei,カレイ・(ルーマニア)
Aeroportul Internațional București Băneasa - Aurel Vlaicu,アウレル・ヴライク国際空港
Salonta,サロンタ
Lupeni,ルペニ
Târnăveni,トゥルナヴェニ
FC Politehnica Iași (2010),CSMストゥデンツェスク・ヤシ
Academia Națională de Muzică „Gheorghe Dima”,ゲオルゲ・ディマ音楽アカデミー
Codlea,コドレア
Electrecord,エレクトレコード
CS Concordia Chiajna,CSコンコルディア・キアジナ
Centura alpidă,アルプス・ヒマラヤ造山帯
Societatea Română de Televiziune,ルーマニア・テレビ
Podul lui Traian,トラヤヌス橋
România la Jocurile Olimpice de vară din 2004,2004年アテネオリンピックのルーマニア選手団
Drumul european E79,E79号線
Campionatul European de Fotbal sub 19 ani 2011,UEFA・U-19欧州選手権2011
FCU Craiova,FCウニヴェルシタテア・クラヨーヴァ
România Mare,大ルーマニア
Liga a V-a,リーガ5
Pandurii Târgu Jiu,CSパンドゥリイ・トゥルグ・ジウ
Cetatea Sighișoara,シギショアラ歴史地区
Partidul Democrat Liberal (România),民主自由党・(ルーマニア)
Unirea Republicii Moldova cu România,ルーマニア・モルドバ統一運動
Siret,シレト
Linia M1 a metroului din București,ブカレスト地下鉄M1号線
Pro TV Internațional,Pro・TV・Internațional
Bitdefender,BitDefender
Ceangăi,チャーンゴー人
Podul Calafat-Vidin,新欧州橋
Eclipsa de Soare din 11 august 1999,1999年8月11日の日食
Catedrala Mitropolitană din Timișoara,三成聖者大聖堂・(ティミショアラ)
FC Botoșani,FCボトシャニ
Echipa națională de fotbal feminin a României,サッカールーマニア女子代表
Întreprinderea de Autocamioane Brașov,ロマン・(自動車メーカー)
Paralela 45 nord,北緯45度線
Tramvaiul din Iași,ヤシ市電
Agenția Spațială Română,ルーマニア宇宙局
Stadionul Ilie Oană (2011),スタディオヌル・イリエ・オアナ
OTV,OTV・(ルーマニア)
Tramvaiul din Oradea,オラデア市電
Tramvaiul din Ploiești,プロイエシュティ市電
Biserica Sfântul Nicolae din Brașov,聖ニコラエ聖堂・(ブラショフ)
Echipa națională de fotbal a României Sub-21,U-21サッカールーマニア代表
Piața Revoluției,革命広場・(ブカレスト)
Vin românesc,ルーマニアワイン
FC Petrolul Ploiești,FCペトロルル・プロイェシュティ
Trambulina Valea Cărbunării,ルシュノブジャンプ競技場
Drumul european E87,E87号線
Drumul european E671,E671号線
Tramvaiul din București,ブカレスト市電
Participarea României la Al Doilea Război Mondial,第二次世界大戦下のルーマニア
Echipa națională de volei masculin a României,バレーボールルーマニア男子代表
"Vârful Negoiu, Munții Făgăraș",ネゴイウ山
Stadionul „Ion Oblemenco” (2017),スタディオヌル・ヨン・オブレメンコ
Drumul european E771,E771号線
Mănăstirea Putna,プトナ修道院
Tramvaiul din Botoșani,ボトシャニ市電
Drumul european E581,E581号線
SCM Rugby Timișoara,SCMラグビー・ティミショアラ
Tramvaiul din Brăila,ブライラ市電
Lupii București,ルーマニアン・ウルブズ
Societatea de Transport București,ブカレスト交通公団
Tramvaiul din Reșița,レシツァ市電
Mormântul Ostașului Necunoscut,無名戦士の墓・(ルーマニア)
Dobrogea de Nord,北ドブロジャ
Operațiile Armatei României pentru apărarea Bucureștiului în campania anului 1916,ブカレストの戦い
Servtrans,セルブトランス
Aeroportul Internațional Traian Vuia Timișoara,トライアン・ヴイア国際空港
Serviciul Român de Informații,ルーマニア情報庁
Casa Scânteii,カーサ・プレセイ・リベレ
Ofensiva Armatei României în Transilvania în 1916,トランシルヴァニアの戦い
Scînteia,スクンテイア
Catedrala Patriarhală din București,ルーマニア総主教座大聖堂
CSA Steaua București (rugby),CSAステアウア・ブクレシュティ
Senatul României,元老院・(ルーマニア)
Festivalul „Cerbul de Aur”,チェルブル・デ・アウル国際音楽祭
Constituția României,ルーマニアの憲法
Tratatul de la Craiova,クラヨーヴァ条約
Coandă-1910,コアンダ%3D1910
Podul Regele Carol I,アンゲル・サリグニ橋
Centrul Civic (București),チェントルル・チヴィク
Liga a III-a,リーガ3
Echipa națională de baschet a României,バスケットボールルーマニア代表
"Alegeri generale în România, 1990",1990年ルーマニア総選挙
Prima TV,Prima・TV
Cupa României la fotbal,クパ・ロムニエイ
Liga Națională de Rugby,リーガ・ナツィオナーラ・デ・ラグビー
Tramvaiul din Craiova,クラヨーヴァ市電
CS Corvinul Hunedoara,FCコルヴィヌル・フネドアラ
Tramvaiul din Arad,アラド市電
Regele României,ルーマニア国王
Parlamentul României,ルーマニアの議会
Fly Project,フライ・プロジェクト
Strada Lipscani,リプスカニ
Liga a IV-a,リーガ4
Crăciunul în România,ルーマニアのクリスマス
Lacul Morii,モリイ湖
Drumul european E583,E583号線
Frontul Salvării Naționale,救国戦線評議会
Cultura Cucuteni,ククテニ文化
Salina Turda,トゥルダ岩塩坑
Linia M2 a metroului din București,ブカレスト地下鉄M2号線
Universitatea Națională de Muzică București,ブカレスト国立音楽大学
România la Jocurile Olimpice de iarnă din 1968,1968年グルノーブルオリンピックのルーマニア選手団
Cultura României,ルーマニアの文化
Linia M3 a metroului din București,ブカレスト地下鉄M3号線
Canalul Dunăre-București,ドナウ・ブカレスト運河
Universitatea de Medicină și Farmacie „Grigore T. Popa” din Iași,ヤシ医科薬科大学
1 Decembrie 1918 (stație de metrou),1918年12月1日駅
Antena 3,Antena・3・CNN
Universiada de vară din 1981,1981年夏季ユニバーシアード
Biserica Sfânta Treime din Sighișoara,至聖三者大聖堂・(シギショアラ)
Calea Victoriei,ヴィクトリエイ通り
CSM Știința Baia Mare,CSMシュティインツァ・バヤ・マーレ
CSM Volei Alba Blaj,CSMヴォレイ・アルバ・ブラジ
CS Dinamo București (rugby),CSディナモ・ブクレシュティ
Religia în România,ルーマニアの宗教
Roton,ロトン・(レーベル)
Romanian Top 100,ロマニアン・トップ100
Zborul 371 al TAROM,タロム航空371便墜落事故
Realitatea TV,Realitatea・TV
Linia M4 a metroului din București,ブカレスト地下鉄M4号線
Transhumanță,移牧
AFC Dunărea Călărași,AFCドゥナレア・カララシ
Echipa națională de volei feminin a României,バレーボールルーマニア女子代表
Forțele Terestre Române,ルーマニア陸軍
"Comuna Biertan, Sibiu",ビエルタン
FC Academica Clinceni,FCアカデミカ・クリンチェニ
Damen Galați,ガラツィ造船所
Antena Stars,Antena・Stars
Gara Arad,アラド駅
DAC,ディーゼル・オート・カミオン
B1 TV,B1・TV
Digi 24,Digi・24
Happy Channel,Happy・Channel
Favorit TV,Favorit・TV
Festivalul Internațional de Teatru de la Sibiu,シビウ国際演劇祭
Județele României,ルーマニアの県
Criminalitatea în România,ルーマニアの犯罪
Kanal D România,Kanal・D・(ルーマニア)
GSP TV,GSP・TV
Kiss TV (România),Kiss・TV・(ルーマニア)
Prima Sport,Prima・Sport
Național TV,Național・TV
Partidul Național-Socialist din România,国民社会主義党・(ルーマニア)
Național 24 Plus,Național・24・Plus
Pro Cinema,Pro・Cinema
Pro Arena,Pro・Arena
Stadionul Marin Anastasovici,スタディオヌル・マリン・アナスタソヴィチ
Arhitectura în România,ルーマニアの建築
Tramvaiul din Constanța,コンスタンツァ市電
Tramvaiul din Brașov,ブラショヴ市電
Echipa națională de fotbal a României Sub-19,U-19サッカールーマニア代表
România TV,România・TV
Telesport,Telesport
The Money Channel,The・Money・Channel
Bacău,バカウ
Energia eoliană în România,ルーマニアの風力発電
RC Grivița București,RCグリヴィツァ
Calea ferată Oravița–Iam,オラヴィツァ・バジアシュ鉄道
Acasă Gold,Acasă・Gold
Calea ferată Timișoara–Arad,ティミショアラ・-・アラド線
Calea ferată Timișoara–Jimbolia–Kikinda,ティミショアラ・-・キキンダ線
Gara Oradea,オラデア駅
Limba tătară dobrogeană,ルーマニア・タタール語
Liga I 2013-2014,リーガ1・2013-14
"Comuna Săvădisla, Cluj",トルダセントラースロー
Taraf TV,Taraf・TV
Trinitas TV,Trinitas・TV
Bucharest International Film Festival,ブカレスト国際映画祭
Liga I 2014-2015,リーガ1・2014-15
Moldova,モルダヴィア
Etno TV,Etno・TV
FC Voluntari,FCヴォルンタリ
"Comuna Putna, Suceava",プトナ・(スチャヴァ県)
Prim-ministrul României,ルーマニアの首相
Listă de țări în care româna este limbă oficială,ルーマニア語を公用語としている国の一覧
BRD Bucharest Open,ブカレスト・オープン
Liga a VI-a,リーガ6
CS Universitatea Craiova (2013),CSウニヴェルシタテア・クラヨーヴァ
România la Jocurile Olimpice de iarnă din 2018,2018年平昌オリンピックのルーマニア選手団
Tramvaiul din Satu Mare,サトゥ・マーレ市電
Neptun TV,Neptun・TV
ZU TV,ZU・TV
Vox News,Vox・News
Relațiile dintre România și Japonia,日本とルーマニアの関係
România la Jocurile Olimpice de vară din 2016,2016年リオデジャネイロオリンピックのルーマニア選手団
Liga I 2015-2016,リーガ1・2015-16
FC Metaloglobus București,FCメタログロブス・ブカレスト
FC Hermannstadt,FCヘルマンシュタット
Lista stațiilor de cale ferată din România,ルーマニアの鉄道駅のリスト
România la Jocurile Olimpice de iarnă din 2022,2022年北京オリンピックのルーマニア選手団
România la Jocurile Olimpice de vară din 2020,2020年東京オリンピックのルーマニア選手団
Gara Halmeu,ハルメウ駅
Stadionul Steaua (2021),スタディオヌル・ステアウア
Stadionul Francisc Neuman,スタディオヌル・フランシスク・ヴォン・ノイマン
"Alegeri pentru Parlamentul European, 2024",2024年欧州議会議員選挙
Campionatul European de Volei Feminin din 2021,2021年バレーボール女子欧州選手権
Formatul București,ブカレスト9
Pandemia de COVID-19,新型コロナウイルス感染症の世界的流行・(2019年-)
Superbet Arena-Giulești,スタディオヌル・ラピド＝ジュレシュティ
Realitatea Plus,Realitatea・Plus
Pandemia de coronaviroză (COVID-19) în Europa,ヨーロッパにおける2019年コロナウイルス感染症の流行状況
Campionatul European de Fotbal Sub-21 2023,UEFA・U-21欧州選手権2023
Inundațiile din iulie 2021 din Europa,2021年ヨーロッパ洪水
