Setúbal,塞图巴尔
Mirandela,米蘭德拉
Vila Flor,费洛尔镇
Belmonte,貝爾蒙蒂
Covilhã,科維良
Penamacor,佩納馬科爾
Cantanhede,坎塔涅迪
Coimbra,科英布拉
Vila Nova de Poiares,波亞里什新鎮
Arraiolos,阿拉約洛斯
Borba,博爾巴
Estremoz,埃什特雷莫什
Évora,埃武拉
Vila Viçosa,維索薩鎮
Albufeira,阿尔布费拉
Aljezur,阿爾熱祖爾
Faro,法鲁
Lagos,拉古什
Olhão,奧良
Aguiar da Beira,阿吉亞爾達貝拉
Celorico da Beira,塞洛里庫達貝拉
Figueira de Castelo Rodrigo,菲蓋拉迪卡斯特盧羅德里古
Mêda,梅達
Pinhel,皮涅爾
Trancoso,特蘭科蘇
Vila Nova de Foz Côa,福什科阿新鎮
Bombarral,邦巴拉爾
Leiria,萊里亞
Óbidos,奧比杜什
Peniche,佩尼謝
Alenquer,阿倫克爾
Lourinhã,洛里尼揚
Amadora,阿马多拉
Avis,阿維斯
Campo Maior,坎普馬約爾
Elvas,埃爾瓦什
Baião,巴扬
Felgueiras,费尔盖拉什
Gondomar,贡多马尔
Lousada,洛萨达
Marco de Canaveses,馬爾科-德卡納維澤斯
Paços de Ferreira,帕科斯費雷拉
Santo Tirso,圣蒂尔苏
Vila do Conde,孔迪镇
Vila Nova de Gaia,加亚新城
Coruche,科鲁希
Entroncamento,恩特龙卡门图
Torres Novas,新托里什
Ourém,歐倫
Santiago do Cacém,聖地亞哥-杜卡森
Sesimbra,塞新布拉
Melgaço,梅爾加蘇
Valença,瓦倫薩
Viana do Castelo,維亞納堡
Mondim de Basto,蒙丁迪巴什圖
Ribeira de Pena,里貝拉迪佩納
Santa Marta de Penaguião,聖瑪爾塔迪佩納吉昂
Valpaços,瓦爾帕蘇什
Lamego,拉梅古
Mortágua,莫爾塔瓜
Penalva do Castelo,佩納爾瓦堡
Santa Comba Dão,聖孔巴當
Tabuaço,塔布阿蘇
Viseu,維塞烏
Porto Moniz,莫尼什港
Ponta Delgada,蓬塔德爾加達
Ribeira Grande,大里貝拉
Angra do Heroísmo,英雄港
Praia da Vitória,普拉亞達維多利亞
Velas,韋拉斯
Santa Maria Island,聖瑪麗亞島
Ribeira Grande,大里貝拉
Lajes das Flores,拉日什達什弗洛里什
Lagoa,拉古阿
Horta,奧爾塔
Tondela,通德拉
Penafiel,佩納菲耶爾
Oliveira do Hospital,奧利韋拉杜奧什皮塔爾
Montemor-o-Velho,舊蒙特莫爾
Gouveia,戈維亞
Fundão,豐當
Serra da Estrela,埃什特雷拉山脈
Barcelos,巴塞卢什
Águeda,阿格達
Porto,波爾圖
Moura,莫拉
Mértola,梅爾圖拉
Grândola,格蘭杜拉
Alcanena,阿尔卡内纳
Torre de Belém,贝伦塔
Santa Cruz das Flores,聖克魯什達什弗洛里什
Santa Cruz da Graciosa,聖克魯什達格拉西奧薩
Vila do Corvo,科爾武鎮
Calheta,卡列塔
Tondela,通德拉
Ponte da Barca,蓬蒂達巴爾卡
Caminha,卡米尼亞
Cabeceiras de Basto,卡貝塞拉什德巴什圖
Selvagem Pequena,小萨维奇岛
Ferreira do Alentejo,費雷拉杜阿連特茹
Azambuja,阿贊布雅
Chiado,希亚多
Castelo de São Jorge,圣若热城堡
Padrão dos Descobrimentos,發現者紀念碑
Vinhais,维尼艾什
Ramalde,拉马尔迪
Paranhos,帕拉纽什
Estarreja,埃斯塔雷雅
Campanhã,坎帕尼扬
Arganil,阿加尼爾
Loulé,洛萊
Idanha-a-Nova,新伊達尼亞
Rossio,罗西乌广场
Praça do Comércio,商业广场
Elevador de Santa Justa,圣胡斯塔升降机
Vinhais,维尼艾什
Castelo Branco,布朗库堡
Oleiros,奧萊羅斯
Mora,莫拉
Redondo,雷東多
Alcoutim,阿爾科廷
Quarteira,夸爾泰拉
Silves,锡尔维什
Sagres,萨格里什
Almeida,阿爾梅達
Alcobaça,阿爾科巴薩
Batalha,巴塔利亞
Cadaval,卡達瓦爾
Paredes,帕雷德斯
Cedofeita,塞多费塔
Massarelos,马萨雷卢什
Benavente,贝纳文蒂
Cartaxo,卡爾塔舒
Constância,康斯坦西亚
Fátima,花地瑪
Monção,蒙桑
Armamar,阿馬馬爾
Ribeira Brava,里韋拉布拉瓦
Santana,桑塔納
Vila Velha de Ródão,羅當舊鎮
Torre de Moncorvo,托里迪蒙科爾武
Sobral de Monte Agraço,索布拉爾德蒙特阿格拉蘇
Oliveira de Azeméis,奧利韋拉迪阿澤梅什
Vila Nova de Cerveira,塞爾韋拉新鎮
Vila Real de Santo António,圣安东尼奥雷阿尔城
Paredes de Coura,帕雷迪什迪科拉
Ponta do Sol,蓬塔杜索爾
Macedo de Cavaleiros,馬塞杜-迪卡瓦萊魯什
Pampilhosa da Serra,潘皮略薩迪塞拉
Ferreira do Zêzere,費雷拉杜澤濟里
Arouca,阿羅卡
Espinho,埃斯皮尼奧
Aljustrel,阿爾茹什特雷爾
Alvito,阿爾維圖
Cuba,庫巴
Amares,阿馬里什
Fafe,法菲
