Lionel Messi,리오넬 메시
Vasco Rossi,바스코 로시
Roberto Rossellini,로베르토 로셀리니
Tommaso Rocchi,톰마소 로키
Karin Schubert,카린 슈베르트
Luigi Dallapiccola,루이지 달라피콜라
Riccardo Scamarcio,리카르도 스카마르초
Alessandro Blasetti,알레산드로 블라세티
Magnus,로베르토 라비올라
Vittorio Hösle,비토리오 회슬레
Anton Malloth,안톤 말로트
Antonio Gandusio,안토니오 간두시오
Giuseppe Sinopoli,주세페 시노폴리
Marco Mariani,마르코 마리아니
Daniel Bovet,다니엘 보베
Giuliano Razzoli,줄리아노 라촐리
Gaetano Martino,가에타노 마르티노
Kengiro Azuma,아즈마 겐지로
Marco Ferreri,마르코 페레리
Ermanno Olmi,에르마노 올미
Marco Bellocchio,마르코 벨로키오
Bernardo Bertolucci,베르나르도 베르톨루치
Vittorio De Sica,비토리오 데 시카
Gaetano Monachello,가에타노 모나켈로
Matteo Manassero,마테오 마나세로
Mauro Bolognini,마우로 볼로니니
Carla Bruni,카를라 브루니
Andrea Agnelli,안드레아 아녤리
Mario Monicelli,마리오 모니첼리
Ennio Morricone,엔니오 모리코네
Franco Battiato,프랑코 바티아토
Angelo Branduardi,안젤로 브란두아르디
Papa Giovanni XXIII,교황 요한 23세
Gillo Pontecorvo,질로 폰테코르보
Dino Risi,디노 리시
Marco Tronchetti Provera,마르코 트론케티 프로베라
Gian Maria Volonté,잔 마리아 볼론테
Patrick Thaler,파트리크 탈러
Luigi Comencini,루이지 코멘치니
Cecilia Bartoli,체칠리아 바르톨리
Nanni Loy,난니 로이
Francesco Totti,프란체스코 토티
Nives Meroi,니베스 메로이
Elsa Fornero,엘사 포르네로
Nilde Iotti,닐데 이오티
Roberto Benigni,로베르토 베니니
Masolino da Panicale,마솔리노
Stefano Fiore,스테파노 피오레
papa Paolo VI,교황 바오로 6세
Carlo Ludovico Bragaglia,카를로 루도비코 브라가글리아
Pietro Germi,피에트로 제르미
Alfred Duncan,앨프리드 덩컨
Vittorio Pozzo,비토리오 포초
Giorgio Rocca,조르조 로카
Nanni Moretti,난니 모레티
Fabrizio De André,파브리지오 데 안드레
Giuseppe Giannini,주세페 잔니니
Manuele Blasi,마누엘레 블라시
Renato Acanfora,레나토 아칸포라
Riccardo Montolivo,리카르도 몬톨리보
Massimo Gobbi,마시모 고비
Giordano Bellincampi,조르다노 벨린캄피
Alcide De Gasperi,알치데 데 가스페리
Gian Francesco Malipiero,잔 프란체스코 말리피에로
Enzo Maresca,엔조 마레스카
Andrea Stramaccioni,안드레아 스트라마치오니
Enzo Mari,ENZO MARI
Giorgio de Chirico,조르조 데 키리코
Arturo Benedetti Michelangeli,아르투로 베네데티 미켈란젤리
Pier Paolo Pasolini,피에르 파올로 파솔리니
Primo Levi,프리모 레비
Gianluca Pessotto,잔루카 페소토
Walter Veltroni,발테르 벨트로니
Cristian Zaccardo,크리스티안 차카르도
Elvis Abbruscato,엘비스 아브루스카토
Vittorio Emanuele III di Savoia,비토리오 에마누엘레 3세
Sabina Panzanini,사비나 판차니니
Carmen Consoli,카르멘 콘솔리
Giuseppe Piccioni,주세페 피치오니
Raffaello Caserta,라파엘로 카세르타
Beniamino Abate,베니아미노 아바테
Michael Bublé,마이클 부블레
Oriana Fallaci,오리아나 팔라치
Roberto Saviano,로베르토 사비아노
Claudio Abbado,클라우디오 아바도
Italo Calvino,이탈로 칼비노
Giorgio Bassani,조르조 바사니
Eros Ramazzotti,에로스 라마초티
Marcella Bella,마르첼라 벨라
Romano Mussolini,로마노 무솔리니
Margherita Zalaffi,마르게리타 찰라피
Alessandro Puccini,알레산드로 푸치니
Carlo Lizzani,카를로 리차니
Paolo Scaroni,파올로 스카로니
Luca Castellazzi,루카 카스텔라치
Achille Campanile,아킬레 캄파닐레
Rodolfo Graziani,로돌포 그라치아니
Giorgio Armani,조르조 아르마니
Gianni Morandi,잔니 모란디
Beniamino Gigli,베니아미노 질리
Carlo Scognamiglio,카를로 스코냐밀리오
Maurizio Pollini,마우리치오 폴리니
Hernán Crespo,에르난 크레스포
Pablo Piatti,파블로 피아티
Antonio Conte,안토니오 콘테
Sandro Cuomo,산드로 쿠오모
Nando Paone,난도 파오네
Carlo Bergonzi,카를로 베르곤치
Renzo Montagnani,렌초 몬타냐니
Aldo Maldera,알도 말데라
Domenico Pozzovivo,도메니코 포초비보
Giuseppe Accardi,주세페 아카르디
Bobby Solo,바비 솔로
Gennaro Righelli,젠나로 리겔리
Paolo Tornaghi,파올로 토르나기
Giovanna Trillini,조반나 트릴리니
Tim Parks,팀 파크스
Giuseppe Pella,주세페 펠라
Salvatore Pappalardo,살바토레 파팔라르도
Javier Mascherano,하비에르 마스체라노
Giuseppe Capogrossi,주세페 카포그로시
Francesco Severi,프란체스코 세베리
Alberto Moravia,알베르토 모라비아
Giancarlo De Sisti,잔카를로 데 시스티
Gian Lorenzo Bernini,잔 로렌초 베르니니
Erika Lechner,에리카 레히너
Maurizio Damilano,마우리치오 다밀라노
Giovanni Papini,조반니 파피니
Luigi Nono,루이지 노노
Danny Quinn,대니 퀸
Giuseppe Medici,주세페 메디치
Sandro Salvadore,산드로 살바도레
Sonia Gandhi,소냐 간디
Gianni Vattimo,잔니 바티모
Michele Canini,미켈레 카니니
Lorenzo Patanè,로렌조 파탄
Antonio Benarrivo,안토니오 베나리보
Roberto Calderoli,로베르토 칼데롤리
Colin Firth,콜린 퍼스
Rosalba Neri,로살바 네리
Giampiero Pinzi,잠피에로 핀치
Francesco Acerbi,프란체스코 아체르비
Roberto Boninsegna,로베르토 보닌세냐
Alvise Zorzi,알비세 초르치
Giuseppe Furino,주세페 푸리노
Miranda,미란다
Giorgio Perlasca,조르조 페를라스카
Giulio Racah,줄리오 라카
Cristina Comencini,크리스티나 코멘치니
Felix Silla,펠릭스 신라
Anna Unterberger,안나 운터 버거
Enrico Berlinguer,엔리코 베를링구에르
Sandra Ceccarelli,산드라 체카렐리
Sergio Leone,세르조 레오네
Sydne Rome,시드니 롬
Jasmine Trinca,재스민 트린카
Marina Berti,마리나 베르티
Kaká,카카
Ilaria Occhini,일라리아 오키니
Roberto Rosato,로베르토 로사토
Primo Carnera,프리모 카르네라
Carlo Cercignani,카를로 체르치냐니
Luciano Canfora,루차노 칸포라
Leo Nucci,레오 누치
Massimo Donati,마시모 도나티
Paulo Dybala,파울로 디발라
Antonio Di Natale,안토니오 디 나탈레
Athina Cenci,아티나 첸치
Luca Coscioni,루카 코시오니
Lara Magoni,라라 마고니
Franco Selvaggi,프란코 셀바지
Luciano Rossi,루치아노 로지
Paolo Pulici,파올로 풀리치
Bruno Venturini,브루노 벤투리니
Gianni Clerici,잔니 클레리치
Arturo Di Napoli,아르투로 디나폴리
Ornella Muti,오르넬라 무티
Lucio Dalla,루치오 달라
Éder,에데르
Christian Panucci,크리스티안 파누치
Ardengo Soffici,아드렌도 소피치
Ignazio Silone,이냐치오 실로네
Romina Laurito,로미나 라우리토
Elisa Santoni,엘리사 산토니
Elisa,엘리사
Giada De Laurentiis,지아다 드 로렌티스
Ugo Locatelli,우고 로카텔리
Chiara Lubich,끼아라 루빅
Carlo Carrà,카를로 카라
Anselmo Colzani,안셀모 콜차니
Saul Malatrasi,사울 말라트라시
Valentino Rossi,발렌티노 로시
Nina Morić,니나 모리치
Giorgia Meloni,조르자 멜로니
Edinson Cavani,에딘손 카바니
Ugo Riccarelli,우고 리카렐리
Erika Blanc,에리카 블랑
Daniele De Rossi,다니엘레 데 로시
Letícia Román,레티시아 로만
Alba Parietti,알바 파리에티
Amedeo di Savoia-Aosta,아메데오 디 사보이아아오스타
Dan Mitrione,댄 미트리오네
Aldo Maccione,알도 마초네
Angelino Alfano,안젤리노 알파노
Mara Zini,마라 치니
Francesco Rutelli,프란체스코 루텔리
Nunzio Malasomma,눈치오 말라좀마
Jonas Gonçalves Oliveira,조나스 곤사우베스 올리베이라
Marcello Baldi,마르첼로 발디
Ottavio Bianchi,오타비오 비안키
Lorenzo Buffon,로렌초 부폰
Mario Sironi,마리오 시로니
Marco Marchionni,마르코 마르키오니
Mario Andretti,마리오 안드레티
Lina Pagliughi,리나 팔리우기
Barbara Matera,바르바라 마테라
Christof Innerhofer,크리스토프 이너호퍼
Laura Pausini,라우라 파우시니
Edoardo Ponti,에도아르도 폰티
Benedetto Pistrucci,베네데토 피스트루치
Indro Montanelli,"몬타넬리, 인드로,"
Domenico Morfeo,도메니코 모르페오
Frank Scalice,프랭크 스칼리체
Renato Cioni,레나토 초니
Eraldo Monzeglio,에랄도 몬첼리오
Andrea Dotti,안드레아 도티
Luigi Ferrero,루이지 페레로
Dino Baggio,디노 바조
Katia Zini,카티아 치니
Giuseppe Valdengo,주세페 발덴고
Arturo Brachetti,아르투로 브라케티
Lella Lombardi,렐라 롬바르디
Barbara Bouchet,바르바라 부셰
Baldovino Dassù,발도비노 다수
Angelo Domenghini,안젤로 도멘기니
Carlo M. Cipolla,카를로 치폴라
Carlo Tagliabue,카를로 탈리아부에
Angelo Rotta,안젤로 로타
Bruno Cirillo,브루노 치릴로
Gianni Bugno,잔니 부뇨
Giuseppe Cavanna,주세페 카반나
Lionello Manfredonia,리오넬로 만프레도니아
Luciano Tajoli,루치아노 타욜리
Antonella Attili,안토넬라 아틸리
Aldo Moro,알도 모로
Gianpaolo Bellini,잔파올로 벨리니
Thomas Manfredini,토마스 만프레디니
Riccardo Bacchelli,리카르도 바켈리
Davide Astori,다비데 아스토리
Alessio Puccio,알레시오 푸초
Malisa Longo,맬리서 롱고
Giovanni Saldarini,조반니 살다리니
Leda Gloria,레다 글로리아
Alessio Cerci,알레시오 체르치
Silvio Amadio,실비오 아마디오
Massimo Girotti,마시모 지로티
Margherita Parini,마르게리타 파리니
Klaus Dibiasi,클라우스 디비아시
Ferruccio Tagliavini,페루치오 탈리아비니
Anna Maria Ferrero,안나 마리아 페레로
Ruggero Deodato,루게로 데오다토
Francesco Quinn,프란체스코 퀸
Norberto Bobbio,노르베르또 봅비오
Gabriele Angella,가브리엘레 안젤라
Tullio Crali,툴리오 크랄리
Ivan Rassimov,이반 라시모프
Maurizio Cattelan,모리치오 캐 틀란
Tito Schipa,티토 스키파
Martina Valcepina,마르티나 발체피나
Lorenzo Gagli,로렌초 갈리
Enrico Bombieri,엔리코 봄비에리
Franco Frattini,프랑코 프라티니
Cristian Moreni,크리스티안 모레니
Giuseppe De Luca,주세페 데 루카
Francesca Archibugi,프란체스카 아르키부지
Violante Placido,비올란테 플라치도
Giulio Donati,줄리오 도나티
Nicola Sansone,니콜라 산소네
Julius Evola,율리우스 에볼라
Dalida,달리다
Massimo Carlotto,마시모 카를로토
Eduardo De Filippo,에두아르도 드 필리포
Luca Cordero di Montezemolo,루카 디몬테체몰로
Francesco Coco,프란체스코 코코
Ottavio Bugatti,오타비오 부가티
Pietro da Cortona,피에트로 다 코르토나
Luigi Delneri,루이지 델네리
Rahman Rezaei,라만 레자에이
Francesca Comencini,프란체스카 코멘치니
Giorgia Moll,조르자 몰
Lino Ventura,리노 벤투라
Giovanni Spadolini,조반니 스파돌리니
Angelo Scola,안젤로 스콜라
Nicole Grimaudo,니콜 그리 마도
Piero De Palma,피에로 데팔마
Stefano Borgonovo,스테파노 보르고노보
Marco Verratti,마르코 베라티
Dorothea Wierer,도로테아 비러
Arianna Valcepina,아리안나 발체피나
Rocco Benetton,로코 베네톤
Giovanni Goria,조반니 고리아
Pietro Nenni,피에트로 넨니
Luca Barbareschi,루카 바르바레스키
Alberico Evani,알베리고 에바니
Guido Pizarro,기도 피사로
Giuseppe Signori,주세페 시뇨리
Cesare Valletti,체사레 발레티
Paoletta Magoni,파올레타 마고니
Luca Ronconi,루카 론코니
Laura Morante,라우라 모란테
Lucia Valentini Terrani,루차 발렌티니 테라니
Carlo Ancelotti,카를로 안첼로티
Alessandro Potenza,알레산드로 포텐차
Lorenzo Ariaudo,로렌초 아리아우도
Nicholas Musuraca,니콜라스 무수라카
Ivan Zaytsev,이반 자이체브
Alessandro Lambruschini,알레산드로 람브루스키니
Carla Del Poggio,카를라 델포조
Ciro Immobile,치로 임모빌레
Alfredo Casella,알프레도 카셀라
Aleandro Rosi,알레안드로 로시
Salvatore Borgese,살바토레 보르게스
Paolo Rossi,파올로 로시
Dionigi Tettamanzi,디오니지 테타만치
Giorgio Orsoni,조르조 오르소니
Ivo Rudiferia,이보 루디페리아
Giovanni Vastola,조반니 바스톨라
Laura Vernizzi,라우라 베르니치
Aurelio Milani,아우렐리오 밀라니
Marco Motta,마르코 모타
Emilio Vedova,에밀리오 베도바
Piero Cappuccilli,피에로 카푸칠리
Piero Dorazio,피에로 도라치오
Marisa Merlini,마리사 메를리니
Renata Polverini,레나타 폴베리니
Ezio Pinza,에치오 핀차
Barbara De Rossi,바르바라 데로시
Dino Zoff,디노 초프
Lidia Ravera,리디아 라베라
Roberto Formigoni,로베르토 포르미고니
Giovanni Benelli,조반니 베넬리
Piero Fassino,피에로 파시노
Artur Moraes,아르투르 모라이스
Nunzio Galantino,눈치오 갈란티노
Eligio Vecchi,엘리조 베키
Aristide Guarneri,아리스티데 과르네리
Gabriel Paletta,가브리엘 팔레타
Nicolas Vaporidis,니콜라스 바포리디스
Carolina Morace,카롤리나 모라체
Antonio Sbardella,안토니오 스바르델라
Amedeo Amadei,아메데오 아마데이
Amedeo Biavati,아메데오 비아바티
Dante Spinotti,단테 스피노티
Patrizia Panico,파트리치아 파니코
Toti Dal Monte,토티 달 몬테
Guido Celano,귀도 셀라노
Enrico Albertosi,엔리코 알베르토시
Antonio Cassano,안토니오 카사노
Sebi Tramontana,세비 트라몬타나
Enzo Ferrari,엔초 페라리
Ken Laszlo,켄 라즐로
Luca Mezzano,루카 메차노
Mario Bo,마리오 보
Attilio Piccioni,아틸리오 피초니
Giacomo Rossi Stuart,지아 코모 로시-스튜어트
Giovanni Spagnolli,조반니 스파뇰리
Claudio Marchisio,클라우디오 마르키시오
Manuel Pasqual,마누엘 파스콸
Alberto Gilardino,알베르토 질라르디노
Stefano Okaka,스테파노 오카카
Daniela Santanchè,다니엘라 산탄케
Achille Varzi,아킬레 바르치
Enrico Chiesa,엔리코 키에사
Antonio Stradivari,안토니오 스트라디바리
Andy Selva,안디 셀바
Filippo Volandri,필리포 볼란드리
Gianluca Zambrotta,잔루카 참브로타
Amedeo Nazzari,아메데오 나자리
Amadeus,아마데우스
Alessandro Altobelli,알레산드로 알토벨리
Claudio Burlando,클라우디오 부를란도
Flavio Cipolla,플라비오 치폴라
Cristiano Bergodi,크리스티아노 베르고디
Lazar' Naumovič Berman,라자르 베르만
Ada Pometti,아다 포메티
Cristian Stellini,크리스티안 스텔리니
Marco Materazzi,마르코 마테라치
Amedeo Carboni,아메데오 카르보니
Francesco Musotto,프란체스코 무소토
Cesare Danova,세세어 다노바
Axel Braun,액설 브론
Agostino Casaroli,아고스티노 카사롤리
Fabio Capello,파비오 카펠로
Roberto Calasso,로베르토 칼라소
Daniele Mannini,다니엘레 만니니
Fiore Argento,피오레 아르젠토
Mauro Nespoli,마우로 네스폴리
Gianluca Curci,잔루카 쿠르치
Don Backy,돈 백키
Renato Birolli,레나토 비롤리
Luca Toni,루카 토니
Stefania Rocca,스테파니아 로카
Serge Reggiani,세르주 레지아니
Daniela Giordano,다니엘라 조르다노
Armin Zöggeler,아르민 최겔러
Vincenzo Crocitti,센조크 로치티
Nicola Berti,니콜라 베르티
Ederson,이데르송 오노라투 캄푸스
Isa Miranda,이사 미란다
Alberto Bigon,알베르토 비곤
Ivano Bordon,이바노 보르돈
Rita Levi-Montalcini,리타 레비몬탈치니
Cesare Valinasso,체사레 발리나소
Pierluigi Pairetto,피에를루이지 파이레토
Francesca Schiavone,프란체스카 스키아보네
Alessandro Benetton,알레산드로 베네톤
Marco Galiazzo,마르코 갈리아초
Marina Massironi,마리나 마시로니
Christian Vieri,크리스티안 비에리
Domenico Berardi,도메니코 베라르디
Luisa Della Noce,루이사 델라노체
Andrea Costa,안드레아 코스타
Carlo Rubbia,카를로 루비아
Nicola Cabibbo,니콜라 카비보
Cristiano Doni,크리스티아노 도니
Giuseppe Meazza,주세페 메아차
Thiago Motta,티아구 모타
Susanna Driano,수산나 드리아노
Reinhold Messner,라인홀트 메스너
Aldo Serena,알도 세레나
Artemio Franchi,아르테미오 프란키
Massimo Ambrosini,마시모 암브로시니
Matteo Ferrari,마테오 페라리
Eva Grimaldi,에바 그리말디
Valerio Scanu,발레리오 스카누
Anna Galiena,안나 갈리에나
Gianni Berengo Gardin,잔니 베렝고 가르딘
Riccardo Giacconi,리카르도 자코니
Alberto Aquilani,알베르토 아퀼라니
Mauro Camoranesi,마우로 카모라네시
Enrico Letta,엔리코 레타
Ivano Brugnetti,이바노 브루녜티
Dario Passoni,다리오 파소니
Damiano Tommasi,다미아노 톰마시
Benedetto Croce,베네데토 크로체
Valentino Mazzola,발렌티노 마촐라
Simone Padoin,시모네 파도인
Ray Lovelock,레이 러블록
Bettino Craxi,베티노 크락시
Bruno Maderna,브루노 마데르나
Cecilia Gasdia,체칠리아 가스디아
Franco Baresi,프란코 바레시
Renzo Piano,렌조 피아노
Salvatore Bagni,살바토레 바니
Vincenzo Iaquinta,빈첸초 이아퀸타
Rodolfo Mondolfo,로돌포 몬돌포
Aldo Righi,알도 리기
Emanuele Giaccherini,엠마누엘레 자케리니
Roberto Cavalli,로베르토 카발리
Giuseppe Bonaviri,주세페 보나비리
Alcides Ghiggia,알시데스 기지아
Sandro Munari,산드로 무나리
Pio da Pietrelcina,피에트렐치나의 비오
Tullio Serafin,툴리오 세라핀
Battista Farina,바티스타 파리나
Edoardo Mangiarotti,에도아르도 만자로티
Armando Castellazzi,아르만도 카스텔라치
Gianni Rodari,잔니 로다리
Davide Faraoni,마르코 다비데 파라오니
Filippo Timi,필리포 티미
Mario Carotenuto,마리오 카토네투노
Francesco Barilli,프란체스코 바릴리
Pietro Badoglio,피에트로 바돌리오
Giuliano Gemma,줄리아노 젬마
Elsa Schiaparelli,엘사 스키아파렐리
Gianpiero Combi,잔피에로 콤비
Pietro Vierchowod,피에트로 비에르코보드
Miriam Leone,미리 암리온
Victor de Sabata,빅토르 데 사바타
Attilio Ferraris,아틸리오 페라리스
Enrico Glori,엔리코 글로리
Giulio Base,줄리오 바세
Margherita Buy,마르게리타 부이
Giuseppe Prisco,주세페 프리스코
Edoardo Gabbriellini,에도아르도 가브리엘리니
Armando Nannuzzi,아르만도 난누치
Silvio Orlando,실비오 올란도
Lorenzo Minotti,로렌초 미노티
Armando Picchi,아르만도 피키
Gabriele Oriali,가브리엘레 오리알리
Riccardo Cucciolla,리카르도 쿠치올라
Carlo Dapporto,카를로 다포르토
Dino Grandi,디노 그란디
Fábio Deivson Lopes Maciel,파비우 데이비송 로페스 마시에우
Massimiliano Gallo,마시밀라노 갈로
Adriano Celentano,아드리아노 첼렌타노
Stefano Dacastello,스테파노 다카스텔로
Giuliano Amato,줄리아노 아마토
Gelindo Bordin,젤린도 보르딘
Daniele Massaro,다니엘레 마사로
Mark Iuliano,마르크 율리아노
Achille Castiglioni,아킬레 카스틸리오니
Roberto Mussi,로베르토 무시
Miguel Angel Virasoro,미겔 앙헬 비라로소
Giulia Sissa,줄리아 시사
Massimiliano Allegri,마시밀리아노 알레그리
Elena Sedina,엘레나 세디나
Carlo Ratti,카를로 라티
Domenico Modugno,도메니코 모두뇨
Martina Stella,마르티나 스텔라
Elsa Martinelli,엘사 마르티넬리
