Ana de la Reguera,安娜·狄拉·雷格拉
Pablo Escandón y Barrón,巴勃罗·埃斯坎东
Dolores Heredia,多洛雷斯·埃雷迪亚
Ximena Navarrete,希梅納·納瓦瑞提
Laura Sánchez Soto,劳拉·桑切斯·(跳水运动员)
Oscar Pérez Rojas,奥斯卡·佩雷斯·罗哈斯
Óscar Salazar Blanco,奥斯卡·萨拉萨尔
Óscar de la Hoya,奥斯卡·德拉奥亚
Horacio López Salgado,奥拉西奥·洛佩斯·萨尔加多
Carlos Slim,卡洛斯·斯利姆
José Saturnino Cardozo,何塞·卡多索
Adrián Chávez,阿德里安·查韦斯
Israel Castro,伊斯雷尔·卡斯特罗
Nezahualcóyotl,内萨瓦尔科约特尔
Bora Milutinović,维利博尔·米卢蒂诺维奇
Místico (luchador),Sin·Cara
Andrés Manuel López Obrador,安德烈斯·曼努埃尔·洛佩斯·奥夫拉多尔
Adolfo Ruiz Cortines,阿道弗·鲁伊斯·科尔蒂内斯
Emiliano Zapata,埃米利亚诺·萨帕塔
Miguel de la Madrid,米格尔·德拉马德里
Lázaro Cárdenas,拉萨罗·卡德纳斯
Victoriano Huerta,維多利亞諾·韋爾塔
José Clemente Orozco,何塞·克莱门特·奥罗斯科
Thalía,坦莉雅
Diego Rivera,迭戈·里韋拉
Enrique Peña Nieto,恩里克·培尼亚·涅托
Ernesto Zedillo,埃內斯托·塞迪略
Manuel González Flores,曼努埃爾·岡薩雷斯
Emilio Portes Gil,埃米利奧·波特斯·希爾
Lorenzo Zambrano,洛倫佐·贊布拉諾·特雷維諾
Ricardo Montalbán,里卡多·蒙特尔班
Silvestre Revueltas,西尔维斯特里·雷维尔塔斯
Carlos Vela,卡洛斯·維拉
Octavio Paz,奥克塔维奥·帕斯
Jessica Alba,潔西卡·艾巴
Aarón Padilla Gutiérrez,阿龙·帕迪利亚
Sandra Cisneros,桑德拉·希斯内羅絲
Mariano Paredes y Arrillaga,馬里亞諾·帕雷德斯-阿里利亞加
Jesús Mena Campos,赫苏斯·梅纳
María Santos Gorrostieta Salazar,玛丽亚·桑托斯·戈罗斯蒂埃塔·萨拉萨尔
Alberto Del Río,阿爾貝托·德·里奧
Adolfo López Mateos,阿道弗·洛佩斯·马特奥斯
Bernardo Segura,贝尔纳多·塞古拉
Gabriel Quadri,加布里埃尔·夸德里
Carlos Reygadas,卡洛斯·雷加达斯
Abelardo L. Rodríguez,阿韋拉多·L·羅德里格斯
Anthony Quinn,安東尼·奎恩
Hubertus von Hohenlohe,胡貝圖斯·馮·霍恩洛厄
Rafael Márquez,拉法埃尔·马克斯
Antonio López de Santa Anna,安东尼奥·洛佩斯·德·圣安纳
Rolando Villazón,羅蘭度·維拉臣
Sergio Pérez,沙治奧·佩雷斯
Vicente Fox,比森特·福克斯
Pancho Villa,潘乔·比利亚
Pedro Ramírez Vázquez,佩德罗·拉米雷斯·巴斯克斯
Adam McKay,亞當·麥凱
Tatiana Ortiz,塔蒂亚娜·奥尔蒂斯
Luis Buñuel,路易斯·布努埃尔
Miguel de Icaza,米格爾·德伊卡薩
Alejandro González Iñárritu,阿利安卓·崗札雷·伊納利圖
Felipe Calderón,费利佩·卡尔德龙
Guillermo Franco (futbolista),古利姆·法蘭高
Daniel Bautista,丹尼尔·包蒂斯塔
Francisco Jara,弗朗西斯科·哈拉
Gael García Bernal,蓋爾·賈西亞·貝納
Juan Carlos Chávez,胡安·卡洛斯·查韦斯
Benito Juárez,贝尼托·华雷斯
Carlton Cuse,卡尔顿·库斯
Jonny Magallón,洪尼·马加利翁
Mario Van Peebles,馬力歐·范畢柏斯
Alfonso Montemayor,阿方索·蒙特马约尔
Adolfo de la Huerta,阿道弗·德拉韦尔塔
Agustín de Iturbide,阿古斯丁一世·(墨西哥)
Dolores del Río,多洛雷丝·德尔里奥
Sinha,安东尼奥·内尔森
Max Aub,马克斯·奥夫
Mariano Azuela,马里亚诺·阿苏埃拉
Danna Paola,丹娜·保拉
Carlos Gómez Casillas,卡洛斯·戈麦斯
Alfonso García Robles,阿方索·加西亚·罗夫莱斯
César Millán,西薩·米蘭
Paulina Rubio,宝琳娜·鲁维奥
Guillermo Sepúlveda,吉列尔莫·塞普尔韦达
Oswaldo Sánchez,奥斯瓦尔多·桑切斯
Anastasio Bustamante,阿纳斯塔西奥·布斯塔曼特
Alberto Medina,阿尔韦托·梅迪纳
Pascual Ortiz Rubio,帕斯夸尔·奥尔蒂斯·鲁维奥
Saturnino Herrán,萨托尼诺·赫兰
Carlos Chávez,卡洛斯·查維斯
Mariano Arista,馬里亞諾·阿里斯塔
Beatriz Paredes Rangel,比阿特里斯·帕雷德斯·兰赫尔
Luis Hernández (futbolista),路易斯·埃尔南德斯
Raúl Cárdenas,劳尔·卡德纳斯
Salma Hayek,莎瑪·希恩
Cuauhtémoc Blanco,庫奧特莫克·白蘭高
Edward James Olmos,爱德华·詹姆斯·奥莫斯
Carlos Salcido,卡路士·沙斯度
Javier Aguirre,哈维尔·阿吉雷
Juan Rulfo,胡安·魯爾福
Demián Bichir,德米安·畢齊
Ignacio Comonfort,伊格納西奧·科蒙福爾
Claudio Suárez,克劳迪奥·苏亚雷斯
María del Pilar Roldán,皮拉尔·罗尔丹
Daniel Aceves,丹尼尔·阿塞韦斯
Rosie Reyes,罗茜·雷耶斯
Amado Carrillo,阿馬多·卡里略·富恩特斯
Guillermo Mendizábal,吉列尔莫·门迪萨瓦尔
Arturo Vázquez Ayala,阿图罗·巴斯克斯
Joaquín Guzmán Loera,华金·古兹曼·洛埃拉
Carlos González Cabrera,卡洛斯·冈萨雷斯·(足球运动员)
Carlos Girón Gutiérrez,卡洛斯·希龙
Francisco Castrejón Ramírez,弗朗西斯科·卡斯特雷洪
Marco Fabián,马尔科·法维安
Luis Barragán,路易斯·巴拉甘
Julia Pastrana,朱莉娅·帕斯特罗娜
Crescencio Gutiérrez,克雷森西奥·古铁雷斯
Cynthia González,辛西娅·冈萨雷斯
José Vantolrá,何塞·班托尔拉
Cristóbal Ortega,克里斯托瓦尔·奥尔特加
Nabor Carrillo,纳沃尔·卡里略·弗洛雷斯
Guillermo Ochoa,吉列尔莫·奥乔亚
Francisco Javier Rodríguez Pinedo,法蘭斯高·查維亞·洛迪古斯
Francisco I. Madero,弗朗西斯科·馬德羅
Álvaro Obregón,阿尔瓦罗·奥夫雷贡
Ernesto Canto,埃内斯托·坎托
Leonardo Cuéllar,莱昂纳多·奎利亚尔
Oribe Peralta,奥里比·佩拉尔塔
Soraya Jiménez,索拉娅·希门尼斯
Miguel Agustín Pro,弥额尔·奥斯定·普罗
Victoria Montero,维多利亚·蒙特罗
Juan Álvarez Hurtado,胡安·阿爾瓦雷斯
Maite Perroni,迈特·佩罗尼
Laura Esquivel Valdés,劳拉·埃斯基韦尔
Leonora Carrington,利奥诺拉·卡林顿
Laura Harring,蘿拉·賀林
Guillermo del Toro,吉勒摩·戴托羅
Armando Archundia,阿曼多·阿琛迪亚
Juventino Rosas,胡文蒂諾·羅薩斯
Luis Michel,路易斯·米歇尔
El Zorro,蘇洛
Jorge Torres Nilo,豪尔赫·托雷斯·尼洛
Roberto Orci,罗伯托·奥利奇
Jesús Martínez Díez,赫苏斯·马丁内斯
Juan José Arreola,胡安·何塞·阿雷奧拉
José Vasconcelos,何塞·巴斯孔塞洛斯
Alfonso Zamora,阿方索·萨莫拉
Itzcuauhtzin,伊斯夸乌特辛
Luis Antonio Valdez,路易斯·巴尔德斯
Raúl Erasto Gutiérrez,劳尔·古铁雷斯
Luis Miguel Salvador,路易斯·萨尔瓦多
Germán Villa,赫尔曼·比利亚
Manuel Gómez Pedraza,曼努埃尔·戈麦斯·佩德拉萨
Josefina Vázquez Mota,何塞菲娜·巴斯克斯·莫塔
Dulce María,杜尔西·玛利亚
Ana Gabriela Guevara,安娜·格瓦拉
Linda Christian,琳达·克里斯蒂安
Marco Antonio Rodríguez,马尔科·罗德里格斯
Bárbara Mori,芭芭拉·森
Ramón Morales,拉蒙·莫拉莱斯
Chavela Vargas,查维拉·瓦尔加斯
Paola Espinosa,葆拉·埃斯皮诺萨
Hugo Sánchez,乌戈·桑切斯
Subcomandante Marcos,副司令马科斯
Fernando Valenzuela,費南多·瓦倫祖拉
Juan Velázquez Tlacotzin,胡安·贝拉斯克斯·特拉科特辛
Raúl Jiménez,劳尔·希门尼斯
Carlos Septién,卡洛斯·塞普蒂恩
Juan Sandoval Íñiguez,若望·桑多瓦爾·伊尼格斯
José Naranjo,何塞·纳兰霍
Felipe Ruvalcaba,费利佩·鲁巴尔卡瓦
Francisco Montes Varela,弗朗西斯科·蒙特斯
Ignacio Rodríguez Bahena,伊格纳西奥·罗德里格斯
Jacob David Bekenstein,雅各布·貝肯斯坦
Marcos Rivas,马科斯·里瓦斯
Miguel Gutiérrez Gutiérrez,米格尔·古铁雷斯·(1931年)
Mario Ochoa,马里奥·奥乔亚
Pedro Nájera,佩德罗·纳赫拉
Noé Hernández Valentín,诺埃·埃尔南德斯
Federico Mena,費德里科·梅納
Alejandro Domínguez Escoto,亚历杭德罗·多明格斯
Miguel Ángel Ponce,米格尔·庞塞
Hugo Rodríguez (futbolista),乌戈·罗德里格斯
Carlos Muñoz (futbolista mexicano),卡洛斯·穆尼奥斯
Adrián González (beisbolista),阿德里安·冈萨雷斯·(棒球运动员)
Raúl Rodrigo Lara,劳尔·拉腊
Joel Sánchez Ramos,霍埃尔·桑切斯·(足球运动员)
Tlacatéotl,特拉卡特奥特尔
Miguel Alcubierre,米給爾·阿庫別瑞
Oswaldo Alanís,奥斯瓦尔多·阿拉尼斯
Miguel Ángel Osorio Chong,米格爾·安赫爾·奧索里奧·鍾
Antonio de la Torre Villalpando,安东尼奥·德拉托雷
Rommel Pacheco,罗梅尔·帕切科
Fernando Platas,费尔南多·普拉塔斯
Francisco Robles Ortega,方济各·罗夫莱斯·奥尔特加
Ocho-Venado,鹿八日虎爪
José María Iglesias,何塞·马里亚·伊格莱西亚斯
Mexicanos,墨西哥人
Pedro Soto (futbolista),佩德罗·索托
Andrés López Correa,安德烈斯·洛佩斯
Humberto Mariles Cortés,温贝托·马里莱斯·科尔特斯
Manuel Romero Rubio,曼努埃尔·罗梅罗·卢比奥
Pedro Linares López,佩德罗·利纳雷斯
Spider-Man 2099,蜘蛛人·2099
José de Jesús Corona,赫苏斯·科罗纳·(1981年)
Iridia Salazar Blanco,伊里迪娅·萨拉萨尔
Jay Hernández,傑·赫南德茲
Mario Medina Rojas,马里奥·梅迪纳
Alfredo Talavera,阿尔弗雷多·塔拉韦拉
Alberto Rodríguez (futbolista mexicano),阿尔韦托·罗德里格斯
Saúl Álvarez,卡内洛·阿尔瓦雷斯
Rafael Ávalos,拉斐尔·阿瓦洛斯
Liliana Allen,利利亚娜·阿连
Gloria Anzaldúa,格洛麗亞·E·安札杜爾
Yovani Gallardo,尤凡尼·賈亞爾多
Antonio Palafox,安东尼奥·帕拉福斯
Joaquín Pérez de las Heras,华金·佩雷斯
María Teresa Ramírez (nadadora),玛丽亚·特雷莎·拉米雷斯
Aída Román,艾達·阿洛尤
Luis García Postigo,路易斯·加西亚·波斯蒂戈
Guillermo Arriaga Jordán,吉勒莫·亞瑞格
K'inich Kan Balam II,坎巴拉姆二世
Raúl Córdoba,劳尔·科尔多瓦
Gerardo Esquivel (futbolista),赫拉尔多·埃斯基韦尔
Santiago González (tenista),聖地亞哥·岡薩雷斯·(網球運動員)
Alberto Baillères González,阿爾貝托·貝勒雷斯·岡薩雷斯
Mario Velarde Velázquez,马里奥·贝拉尔德
Isaac Terrazas,伊萨克·特拉萨斯
Alfredo Aceves,阿尔弗雷多·阿瑟维斯
Jorge Lozano (tenista),豪尔赫·洛萨诺
Bernardo Reyes,贝尔纳多·雷耶斯
Rodrigo Ruiz Zárate,罗德里戈·鲁伊斯
Salvador Farfán,萨尔瓦多·法尔范
Roberto Gómez Bolaños,羅伯托·戈麥斯·博拉尼奧斯
Miguel Treviño Morales,米格尔·特雷维尼奥·莫拉莱斯
Horacio Casarín,奥拉西奥·卡萨林
Elías Muñoz,埃利亚斯·穆尼奥斯
Rigoberto Cisneros,里戈韦托·西斯内罗斯
Fernando del Paso,費爾南多·德爾帕索
Juan de Dios Castro Lozano,胡安·德迪奥斯·卡斯特罗·洛萨诺
Alberto Valdés Lacarra,阿尔韦托·巴尔德斯
Alberto Ramos Sesma,阿尔韦托·拉莫斯
Enrique Borja,恩里克·博尔哈
Salvador Carmona (futbolista),萨尔瓦多·卡尔莫纳
Gustavo Ayón,古斯塔沃·阿永
Benjamín Galindo,本哈明·加林多
Giovani dos Santos,吉奥瓦尼·多斯桑托斯
Manuel de la Peña y Peña,曼努埃爾·德拉培尼亞-培尼亞
Manuel Rosas Sánchez,文奴爾·羅薩斯
Luis Roberto Alves,扎吉尼奥
Ernesto Cisneros,埃内斯托·西斯内罗斯
Germán Sánchez (clavadista),赫尔曼·桑切斯
Néstor Araujo,内斯托尔·阿劳霍
Enrique Sesma,恩里克·塞斯马
Joaquín Rocha,华金·罗查
Mario Placencia Pérez,马里奥·佩雷斯·(1927年)
Eiza González,艾莎·岡薩雷
José Pedraza Zúñiga,何塞·佩德拉萨
Missael Espinoza,米萨埃尔·埃斯皮诺萨
Mariana Avitia Martínez,瑪麗安娜·馬汀尼茲
Lucía Zárate,露茜·查瑞特
Alejandra Orozco Loza,亞歷杭德拉·奧羅斯科·羅薩
Rogelio Funes Mori,罗赫略·富内斯·莫里
Jesús del Muro,赫苏斯·德尔穆罗
Hernando de Alvarado Tezozómoc,費爾南多·阿爾瓦拉多·特索索莫克
Leonardo Lavalle,莱昂纳多·拉瓦列
Gustavo Peña,古斯塔沃·培尼亚
Manuel Negrete,曼努埃尔·内格雷特
Marcelino Bernal,马塞利诺·贝尔纳尔
Héctor Herrera (futbolista),赫達·靴里拉
Carlos Blanco Castañón,卡洛斯·布兰科
Antonio Flores (futbolista),安东尼奥·弗洛雷斯
Antonio Mota,安东尼奥·莫塔
Raúl Campero,劳尔·坎佩罗
Juan Botella Medina,胡安·博特利亚
Joaquín Solano Chagoya,华金·索拉诺
Felipe Zetter,费利佩·泽特
Antonio Munguía,安东尼奥·蒙吉亚
Hugo Ayala,乌戈·阿亚拉
Federico Campbell,费德里科·坎贝尔
Jesús Manuel Corona,赫苏斯·曼努埃尔·科罗纳
Francisco Flores Córdoba,弗朗西斯科·弗洛雷斯·(足球运动员)
Antonio Nava Castillo,安东尼奥·纳瓦·(马球运动员)
Rafael García Torres,拉斐尔·加西亚
Israel Jiménez,伊斯雷尔·希门尼斯
Néstor Vidrio,内斯托尔·比德里奥
Rafael Caro Quintero,拉斐尔·卡罗·金特罗
Armando Manzanero,阿曼多·曼萨内罗
Luis Villoro,路易斯·维尧罗
Miguel Layún,米格尔·拉云
Félix Díaz,费利克斯·迪亚斯
Félix Cruz,费利克斯·克鲁斯
Félix Fernández Christileb,费利克斯·费尔南德斯
Zhenli Ye Gon,葉真理
Luis de la Vega,路易斯·伊格纳西奥·德拉维加
Gabriel Núñez,加夫列尔·努涅斯
Javier Cárdenas Martínez,哈维尔·卡德纳斯
Gerardo Lugo Gómez,赫拉尔多·卢戈
Javier Fragoso,哈维尔·弗拉戈索
Hiram Ricardo Mier,伊拉姆·米耶尔
Javier Aquino,哈维尔·阿基诺
Darvin Chávez,达尔温·查韦斯
Javier Cortés,哈维尔·科尔特斯
Francisco Cabañas,弗朗西斯科·卡瓦尼亚斯
Julio Mueller Luján,胡利奥·米勒
Paola Núñez,葆拉·努涅斯
Homero Aridjis,奥梅罗·阿里德希斯
Guillermo Hernández Sánchez,吉列尔莫·埃尔南德斯
Gregorio Gómez,格雷戈里奥·戈麦斯
Héctor Ortiz Benítez,埃克托尔·奥尔蒂斯
Moquíhuix,莫基伊斯特利
María Grever,玛丽亚·格里弗
Carlos Peña Rodríguez,卡洛斯·培尼亚·(足球运动员)
Sergio Obeso Rivera,思齊·奧韋索·里韋拉
José Yves Limantour,何塞·伊夫·利曼图尔
Ricardo Salinas Pliego,里卡多·薩利納斯·皮烈哥
Diego Reyes Rosales,迭戈·雷耶斯
Ricardo Delgado Nogales,里卡多·德尔加多
Lance Allred,兰斯·奥尔雷德
Luis Regueiro Urquiola,路易斯·雷盖罗
Miguel Ángel Félix Gallardo,米蓋爾·安格羅·菲利克斯·加拉多
Alberto García Aspe,阿尔韦托·加西亚·阿斯佩
Jesús Arellano Alcocer,赫苏斯·阿雷利亚诺
Guillermo Haro Barraza,吉列尔莫·阿罗
Jorge Enríquez García,豪尔赫·恩里克斯
Carlos Rivera,卡洛斯·里维拉
Jaime Ordiales,海梅·奥迪亚莱斯
Arturo Álvarez-Buylla,阿图罗·阿尔瓦雷斯-布伊亚
Ignacio Ambriz,伊格纳西奥·安布里斯
Ignacio Calderón,伊格纳西奥·卡尔德龙
Guillermo Pérez Sandoval,吉列爾莫·斐瑞斯
Francisco Martínez Cordero,弗朗西斯科·马丁内斯
Andrés Gómez (baloncestista),安德烈斯·戈麦斯·(篮球运动员)
Emmanuel Lubezki,艾曼纽尔·卢贝兹基
Álex Cabrera,亞歷克斯·卡布瑞拉
Alfredo del Águila,阿尔弗雷多·德拉吉拉
Joaquín Capilla,华金·卡皮利亚
Arturo Márquez,阿图罗·馬奎茲
Jaime Salazar,海梅·萨拉萨尔
Johan Rodríguez,约翰·罗德里格斯
Joel Sánchez Guerrero,霍埃尔·桑切斯·(田径运动员)
Arturo Barrios,阿图罗·巴里奥斯
Manuel Gamio,曼纽尔·加米欧
José José,何塞·何塞
Gustavo Huet Bobadilla,古斯塔沃·韦特
Rubén Uriza Castro,鲁文·乌里萨·卡斯特罗
Raúl González Rodríguez,劳尔·冈萨雷斯·罗德里格斯
José Villegas Tavares,何塞·比列加斯
Javier Valdivia,哈维尔·巴尔迪维亚
Jaime Gómez,海梅·戈麦斯
Víctor Rangel,维克托·兰赫尔
Jorge Romo,豪爾赫·羅莫
Luis Álvarez Murillo,路易斯·安東尼奧·阿爾瓦雷斯·穆里略
José Antonio Roca García,何塞·罗加
Francisco Gabriel de Anda,弗朗西斯科·加夫列尔·德安达
José Luis Borbolla,何塞·博沃利亚
Alan Pulido,阿兰·普利多
José Antonio Rodríguez Romero,何塞·安东尼奥·罗德里格斯
Juan Camilo Mouriño,胡安·卡米洛·莫里尼奥
Francisco Palencia,弗朗西斯科·帕伦西亚
Héctor Hernández García,埃克托尔·埃尔南德斯
Ismael Rodríguez (cineasta),伊斯梅尔·罗德里格斯
Héctor López Colín,埃克托尔·洛佩斯
Agustín Zaragoza,阿古斯丁·萨拉戈萨
Jaime Maussan,海梅·莫森
Javier Vargas Rueda,哈维尔·巴尔加斯
Olaf Heredia,奥拉夫·埃雷迪亚
Bender (Futurama),班德·班亭·羅德里蓋茲
Alberto Baeza,阿尔韦托·巴埃萨
Alberto Suárez Inda,亞爾伯·蘇亞雷斯·因達
Damaris Aguirre,达玛丽斯·阿吉雷
Fello Hernández,阿尔弗雷多·埃尔南德斯
Lupita Nyong'o,露琵塔·尼詠歐
Julián Isaac Sánchez,胡利安·桑切斯
Carlos Mercenario,卡洛斯·梅塞纳里奥
Pedro Vélez,佩德罗·贝莱斯
Alejandra Valencia,亚历杭德拉·瓦伦西亚
Silvio Hernández,西尔维奥·埃尔南德斯
Mario Alberto Trejo,马里奥·特雷霍
David Galván,戴维·加尔万
David Bárcena Ríos,戴维·巴尔塞纳·里奥斯
Daniel Corral,丹尼尔·科拉尔
Cristian Bejarano Benítez,克里斯蒂安·贝哈拉诺
Ligorio López,利戈里奥·洛佩斯
Carlos Santana,卡洛斯·山塔那
Pilar Reyes,何塞·雷耶斯·(足球运动员)
Angélica Rivera,安洁丽卡·里维拉
Víctor Borja,比克托·博尔哈
José Pamplona,何塞·潘普洛纳
Raúl Fernández Robert,劳尔·费尔南德斯
Carlos Borja (baloncestista),卡洛斯·博尔哈
Rodolfo Choperena,鲁道夫·乔佩雷纳
Juan Fabila Mendoza,胡安·法维拉
Alfredo Tena,阿尔弗雷多·特纳
Armando Manzo,阿曼多·曼索
Manuel Nájera,曼努埃尔·纳赫拉
Enrique Camarena Salazar,基基·卡马雷纳
Nicolás Navarro Castro,尼古拉斯·纳瓦罗·(1963年)
Fernando Colunga,费尔南多·科隆加
Lino Muñoz,利诺·穆尼奥斯
Óliver Pérez Martínez,奧利佛·培瑞茲
Antonio Roldán Reyna,安东尼奥·罗尔丹
Jesús Olmos Moreno,赫苏斯·奥尔莫斯
Alma Muriel,阿尔玛·穆里尔
Mario González (boxeador),马里奥·冈萨雷斯
Julio Frenk Mora,胡利奧·弗倫克
Bill Meléndez,比爾·門勒德茲
Braulio Luna,布劳略·卢纳
Eduardo Ramos Escobedo,爱德华多·拉莫斯
Duilio Davino,杜伊利奥·达维诺
Joakim Soria,喬金·索里亞
Pablo Rudomín,巴勃罗·鲁多明
Ricardo Peláez,里卡多·佩莱斯
Miguel Sabah,米格尔·萨巴赫
Ramón Martín Huerta,拉蒙·马丁·韦尔塔
Yahel Castillo,亚埃尔·卡斯蒂略
Mon Laferte,蒙·拉弗特
Javier Hernández Gutiérrez,哈维尔·埃尔南德斯·(1961年)
Ignacio Basaguren,胡安·伊格纳西奥·巴萨古伦
Martí Batres,馬蒂·巴特雷斯·瓜達拉馬
Miguel Zepeda,米格尔·塞佩达
Eusebio Leal,欧塞维奥·莱亚尔
Fabián Vázquez (jinete),法维安·巴斯克斯
Hermila Galindo,赫米拉·加林多
Javier Guzmán,哈维尔·古斯曼
Iván García (clavadista),伊万·加西亚·(跳水运动员)
Rafael Amador Flores,拉斐尔·阿马多尔
Fidel Ortiz,菲德尔·奥尔蒂斯
Francisco Javier Cruz,弗朗西斯科·克鲁斯
Luis Flores Ocaranza,路易斯·弗洛雷斯·(足球运动员)
Ramón Ramírez,拉蒙·拉米雷斯
Carlos Hermosillo,卡洛斯·埃尔莫西略
Francisco Hernández Pineda,弗朗西斯科·埃尔南德斯
Ignacio Jáuregui,伊格纳西奥·豪雷吉
Jaime Belmonte,海梅·贝尔蒙特
Pablo Larios Iwasaki,巴勃罗·拉里奥斯
Mario Pérez Guadarrama,马里奥·佩雷斯·(1946年)
José Luis González Dávila,何塞·路易斯·冈萨雷斯
Isidoro Díaz,伊西多罗·迪亚斯
Felipe Muñoz Kapamas,费利佩·穆尼奥斯
Rafael Osuna,拉斐尔·奥苏纳
Saturnino Martínez,萨图尼诺·马丁内斯
Miguel España,米格尔·埃斯帕尼亚
Max Prieto,马克斯·普列托
Valentín Elizalde,瓦伦丁·伊莱扎德
Nacho Flores,伊格纳西奥·弗洛雷斯
Manuel Vidrio,曼努埃尔·比德里奥
Juan Manuel Alejándrez,胡安·曼努埃尔·亚历杭德雷斯
Héctor Pulido,埃克托尔·普利多
Víctor Estrada,维克托·埃斯特拉达
Alfonso Portugal,阿方索·波图加尔
José Guadalupe Velázquez,何塞·贝拉斯克斯
Alfredo Torres (futbolista),阿尔弗雷多·托雷斯
Raúl Ramírez,劳尔·拉米雷斯
Francisco Blake Mora,弗朗西斯科·布萊克·莫拉
Juan de Dios Ramírez Perales,胡安·德迪奥斯·拉米雷斯·佩拉莱斯
Ricardo Miledi,里卡多·米莱迪
Narciso López (futbolista),纳西索·洛佩斯
Claudia Sheinbaum,克劳迪娅·欣鲍姆
Carlos Calderón de la Barca,卡洛斯·卡尔德龙·德拉巴尔卡
Guillermo Ortiz Camargo,吉列尔莫·奥尔蒂斯
Jorge Rodríguez (futbolista nacido en 1968),豪尔赫·罗德里格斯
Ramiro Navarro,拉米罗·纳瓦罗
Enrique López Zarza,恩里克·洛佩斯
José Luis Salgado,何塞·路易斯·萨尔加多
Carlos Aguiar Retes,嘉祿·阿吉亞爾·雷特斯
Gabriel Caballero,加夫列尔·卡瓦列罗
Ángel Tavira,安傑爾·塔維拉
Carlos Frenk,卡洛斯·弗伦克
José Luis Pérez Soto,何塞·路易斯·佩雷斯
Jesús Gómez Portugal Montenegro,赫苏斯·戈麦斯
Isaác Brizuela,伊萨克·布里苏埃拉
José Juan Vázquez,何塞·胡安·巴斯克斯
Jürgen Damm,于尔根·达姆
Juan Gracia Zazueta,胡安·格拉西亚
Alejandro Speitzer,亞歷山卓·史匹哲
Alejandro Moreno Cárdenas,亚历杭德罗·莫雷诺·卡德纳斯
Rodolfo Cota,鲁道夫·科塔
Luz Acosta,卢丝·阿科斯塔
Manuel Mendívil,曼努埃尔·门迪维尔
Machete (personaje),殺千刀·(電影角色)
Ténoch Huerta,泰諾克·烏爾塔
Salvador Cienfuegos,薩爾瓦多爾·辛費戈斯·薩皮達
Vinicio Castilla,溫尼·卡斯蒂亞
