大圍站,大囲駅
仓洛语,ツァンラ語
辽宁省,遼寧省
官话,官話
蒙古语,モンゴル語
薩爾溫江,サルウィン川
哈萨克语,カザフ語
黄果树瀑布,黄果樹瀑布
东亚,東アジア
黄海,黄海
人民币,人民元
佛光寺·(五台),佛光寺・(山西省)
.cn,.cn
广州白云国际机场,広州白雲国際空港
中信银行,中信銀行
茂名市,茂名市
柳州市,柳州市
额尔古纳河,アルグン川
大伊朗,歴史的イラン世界
香港警務處,香港の警察
察哈尔部,チャハル
中国建设银行,中国建設銀行
揭阳市,掲陽市
中国农业银行,中国農業銀行
中国工商银行,中国工商銀行
中国公民签证要求,中国国民の査証要件
南海,南シナ海
北京銀行,北京銀行
吉林省,吉林省
东海,東シナ海
东营胜利机场,東営勝利空港
赤水市,赤水市
天空城市,空中城市
朝阳机场,朝陽空港
東清鐵路,東清鉄道
东北亚,北東アジア
安徽省,安徽省
天宁区,天寧区
轰-6,H-6・(航空機)
布拉马普特拉河,ブラマプトラ川
苏州轨道交通1号线,蘇州軌道交通1号線
柯尔克孜语,キルギス語
三明市,三明市
泉州市,泉州市
湖南省,湖南省
福州市,福州市
南平市,南平市
莆田市,莆田市
天津市,天津市
重庆市,重慶市
集宁区,集寧区
鸡西市,鶏西市
明孝陵,明孝陵
武汉市,武漢市
庄浪县,庄浪県
珠晖区,珠暉区
舟曲县,ドゥクチュ県
诸城市,諸城市
珠海國際賽車場,珠海国際サーキット
庄河市,荘河市
朱家角镇,朱家角鎮
比亚迪汽车,比亜迪汽車
周原遗址,周原
周口市,周口市
周至县,周至県
艾努语,エイヌ語
乌孜别克语,ウズベク語
东南亚,東南アジア
锦州市,錦州市
漳州市,漳州市
遵义市,遵義市
沈阳市,瀋陽市
中亚,中央アジア
龙岩市,竜岩市
宁德市,寧徳市
中原区·(郑州市),中原区・(鄭州市)
周宁县,周寧県
周村区,周村区
中原航空,中原航空
中站区,中站区
黄石市,黄石市
十堰市,十堰市
布达拉宫,ポタラ宮
青海省,青海省
佳木斯市,ジャムス市
长安汽车,長安汽車
自贡市,自貢市
维吾尔族,ウイグル
蓬安县,蓬安県
湖北省,湖北省
小淀站,小淀駅
厦门市,廈門市
西宁市,西寧市
资水,資江
鄂州市,鄂州市
株洲市,株洲市
淄博市,淄博市
宁杭客运专线,寧杭旅客専用線
淄川区,淄川区
子长市,子長市
南沙区·(广州市),南沙区・(広州市)
中国人民解放军,中国人民解放軍
夏尔巴人,シェルパ
110国道,G110国道
宜昌市,宜昌市
荆州市,荊州市
涿鹿县,涿鹿県
珠江啤酒,珠江ビール
卓资县,卓資県
驻马店市,駐馬店市
诸暨市,諸曁市
涿州市,涿州市
竹山县,竹山県
珠山区,珠山区
渌口区,淥口区
竹溪县,竹渓県
长城,万里の長城
长江三峡水利枢纽工程,三峡ダム
壮语,チワン語
湘语,湘語
锡伯语,シベ語
山西省,山西省
襄阳市,襄陽市
东航云南公司,中国雲南航空
南丹县,南丹県
天峨县,天峨県
潜江市,潜江市
随州市,随州市
黄冈市,黄岡市
咸宁市,咸寧市
仙桃市,仙桃市
天门市,天門市
恩施土家族苗族自治州,恩施トゥチャ族ミャオ族自治州
荆门市,荊門市
孝感市,孝感市
凤山县,鳳山県・(河池市)
太原市,太原市
东兰县,東蘭県
白沙黎族自治县,白沙リー族自治県
江津区,江津区
珠江,珠江
念青唐古拉山,ニェンチェンタンラ山脈
大同市,大同市
南昌之星,南昌之星
青海湖,青海湖
2008年夏季奧林匹克運動會手球比賽,2008年北京オリンピックのハンドボール競技
秭归县,秭帰県
紫金县,紫金県
自流井区,自流井区
虹口足球场,上海虹口足球場
226国道,G226国道
兴凯湖,ハンカ湖
304国道,G304国道
沙田區,沙田区
联想集团,レノボ
澳門,マカオ
百度,百度
人民大会堂,人民大会堂
阳泉市,陽泉市
长治市,長治市
陕西省,陝西省
金山足球场,金山体育中心
中国国际航空,中国国際航空
上海海事大学,上海海事大学
安亭镇,安亭鎮
石济客运专线,石済旅客専用線
布里亚特人,ブリヤート人
子洲县,子洲県
资中县,資中県
新源县,キュネス県
梓潼县,梓潼県
甘德县,甘徳県
2011年盈江地震,盈江地震・(2011年)
2008年夏季奧林匹克運動會自行車比賽,2008年北京オリンピックの自転車競技
鄱阳湖,鄱陽湖
乌苏里江,ウスリー川
武夷山·(世界遗产),武夷山
晋城市,晋城市
朔州市,朔州市
晋中市,晋中市
徐家汇圣依纳爵主教座堂,徐家匯聖イグナチオ大聖堂
中华人民共和国行政区划,中華人民共和国の行政区分
呼玛河,呼瑪河
运城市,運城市
忻州市,忻州市
香港行政區劃,香港の行政区画
澳門行政區劃,マカオの行政区画
中華人民共和國最高領導人,中華人民共和国の最高指導者一覧
中国共产党中央委员会,中国共産党中央委員会
粟特语,ソグド語
齐齐哈尔市,チチハル市
西朝鲜湾,西朝鮮湾
中國國際航空航天博覽會,中国国際航空宇宙博覧会
松江大学城,松江大学城
红河,紅河
资溪县,資渓県
资兴市,資興市
2008年夏季奧林匹克運動會羽毛球比賽,2008年北京オリンピックのバドミントン競技
阿里地区,ガリ地区
禄丰市,禄豊市
2008年夏季奧林匹克運動會自行車比賽—男子凱林賽,2008年北京オリンピックの自転車競技・男子ケイリン
隆回县,隆回県
韩城市,韓城市
紫云苗族布依族自治县,紫雲ミャオ族プイ族自治県
资源县,資源県
资阳市,資陽市
紫阳县,紫陽県
上環站,上環駅
金鐘站,金鐘駅
香港特別行政區政府,香港特別行政区政府
尖沙咀,尖沙咀
中華人民共和國香港特別行政區基本法,香港特別行政区基本法
中環站,中環駅
鞍山市,鞍山市
落馬洲站,落馬洲駅
临汾市,臨汾市
羅湖站·(香港),羅湖駅・(香港)
吕梁市,呂梁市
陳皮,陳皮
大连市,大連市
宝兰客运专线,宝蘭旅客専用線
格重康峰,ギャチュンカン
塔河县,塔河県
奧凱航空,奥凱航空
中国海洋石油,中国海洋石油集団
八大处,八大処公園
清华园站,清華園駅
维吾尔语,ウイグル語
贵州省,貴州省
中環,中環
密山市,密山市
秦始皇兵马俑,兵馬俑
兴山县,興山県
本溪市,本渓市
抚顺市,撫順市
开封市,開封市
中国中央电视台,中国中央電視台
南郊区·(大同市),南郊区
永靖县,永靖県
南京路·(上海市),南京路・(上海)
杭州岳王庙,岳王廟
东丰县,東豊県
中国足球协会,中国サッカー協会
北京北体大足球俱乐部,北京北体大足球倶楽部
锡林郭勒盟,シリンゴル盟
常宁市,常寧市
反分裂國家法,反分裂国家法
云南三江并流保护区,三江併流
云阳县,雲陽県
港鐵,香港MTR
琅琊区,琅琊区
沈阳东进足球俱乐部,瀋陽東進足球倶楽部
2008年夏季奧林匹克運動會游泳比賽,2008年北京オリンピックの競泳競技
新华社,新華社
连江县,連江県・(中華人民共和国)
紫坪铺水利枢纽,紫坪埔ダム
乐山大佛,楽山大仏
芗城区,薌城区
丽江市,麗江市
崇左市,崇左市
广东省,広東省
丹东市,丹東市
营口市,営口市
广西壮族自治区,広西チワン族自治区
沙田站·(香港),沙田駅
2013年世界羽毛球錦標賽,2013年世界バドミントン選手権大会
中国石油天然气集团,中国石油天然気集団
八达岭,八達嶺長城
中華人民共和國鐵路運輸,中華人民共和国の鉄道
大红门站·(地铁),大紅門駅・(北京地下鉄)
车道沟站,車道溝駅
角门东站,角門東駅
辽阳市,遼陽市
盘锦市,盤錦市
中印边境战争,中印国境紛争
国家电网,国家電網
中国南方电网,中国南方電網
哈米尼干,ハムニガン人
红花岗区,紅花崗区
中国足球协会超级联赛,中国サッカー・スーパーリーグ
水富市,水富市
市光路站,市光路駅
武汉站,武漢駅
福清核电站,福清原子力発電所
九龙坡区,九竜坡区
中国地质博物馆,中国地質博物館
廣州城戰役,広州の戦い・(1857年)
深圳市,深圳市
西局站,西局駅
莲花桥站,蓮花橋駅
成寿寺站,成寿寺駅
姜堰区,姜堰区
赛里斯,セリカ
注射死刑,薬殺刑
中华人民共和国经济,中華人民共和国の経済
祥符区,祥符区
奇瑞汽车,奇瑞汽車
海峽兩岸關係,中台関係
君士坦丁堡普世牧首区,コンスタンティノープル総主教庁
南京八卦洲长江大桥,南京八卦洲長江大橋
铁岭市,鉄嶺市
朝阳市,朝陽市
葫芦岛市,葫芦島市
喀什站,カシュガル駅
嘉陽小火車及芭石窄軌鐵路,嘉陽炭鉱鉄道
广州白云机场劫机相撞事件,1990年広州白雲空港衝突事故
巴东县,巴東県
宝成铁路,宝成線
临哈铁路,臨哈線
八公山区,八公山区
白帝城,白帝城
合肥之戰,合肥の戦い
烟台市,煙台市
北海市,北海市
北京二环路,北京二環路
环北京自行车赛,ツアー・オブ・北京
阳关,陽関
中国基督教,中国のキリスト教
郵電局·(澳門),澳門郵政局
梁山泊,梁山泊
欧亚大草原,ユーラシア・ステップ
浙江职业足球俱乐部,浙江職業足球倶楽部
故宫,紫禁城
泸溪县,瀘渓県
璧山区,璧山区
湘潭市,湘潭市
金茂大厦,ジンマオタワー
保税区站·(大连市),保税区駅・(大連市)
金马路站·(大连地铁),金馬路駅・(大連市)
大连湾站,大連湾駅
金家街站,金家街駅
金石滩站,金石灘駅
香炉礁站,香炉礁駅
双D港站,双D港駅
小窑湾站,小窯湾駅
后盐站,後塩駅
滙豐銀行大樓·(上海),旧香港上海銀行上海支店ビル
泉水站·(大连市),泉水駅
开发区站,開発区駅
中銀大廈·(香港),中国銀行タワー
淮河,淮河
兴宁区,興寧区
葵涌,葵涌
英國侵藏戰爭,イギリスのチベット遠征
萧山区,蕭山区
白鹤梁,白鶴梁
白河县,白河県
百度百科,百度百科
中国红十字会,中国紅十字会
中日聯合聲明,日本国政府と中華人民共和国政府の共同声明
萨尔图区,サルト区
上海东方体育中心,上海東方体育中心
临江市,臨江市
翁牛特旗,オンニュド旗
封开县,封開県
丹崑特大橋,丹陽-昆山特大橋
东兴区,東興区
板桥水库,板橋ダム
班戈县,パングン県
白下区,白下区
班玛县,班瑪県
白水县,白水県
白碱滩区,白鹸灘区
中国摩托车大奖赛,中国グランプリ・(ロードレース)
吉木萨尔县,ジムサル県
中国北方航空6136号班机空难,中国北方航空6136便放火墜落事件
大连软件园,大連ソフトウェアパーク
天目山,天目山・(浙江省)
牛郎织女,牛郎織女
石鼓洲,石鼓洲
银川市,銀川市
曲阜市,曲阜市
松花江,松花江
汗腾格里峰,ハン・テングリ
萬山群島,万山諸島
江华瑶族自治县,江華ヤオ族自治県
2012年亞洲沙灘運動會,2012年アジアビーチゲームズ
托克逊县,トクスン県
玄武区,玄武区
雨城区,雨城区
兰新铁路第二双线,蘭新線第二複線
慕田峪长城,慕田峪長城
北部湾,トンキン湾
2008年夏季奧林匹克運動會舉重比賽,2008年北京オリンピックのウエイトリフティング競技
荔湾区,茘湾区
遥感系列卫星,遥感衛星
北京动物园,北京動物園
2008年夏季奧林匹克運動會摔跤比賽,2008年北京オリンピックのレスリング競技
枞阳县,樅陽県
温福铁路,温福線
城东区·(西宁市),城東区・(西寧市)
DJJ1型电力动车组,中国国鉄DJJ1型電車
1992年國際足協室內五人足球世界錦標賽,1992・FIFAフットサル世界選手権
白银区,白銀区
白云观,白雲観
柏乡县,柏郷県
交通銀行,交通銀行
边坝县,ペンバル県
東亞銀行,東亜銀行
旗·(行政区划),旗・(行政単位)
上汽集团,上海汽車集団
香港電影金紫荊獎,香港金紫荊奨
秦始皇陵,秦始皇帝陵及び兵馬俑坑
半坡遗址,半坡遺跡
廣深港高速鐵路,広深港高速鉄道
奥林匹克公园·(北京),オリンピック公園・(北京)
一汽-大众汽车,一汽大衆
柳江区,柳江区
清凉山·(南京),清涼山公園
京沪高速铁路,京滬高速鉄道
中国共产党中央委员会政法委员会,中国共産党中央政法委員会
中国民生银行,中国民生銀行
塔什库尔干塔吉克自治县,タシュクルガン・タジク自治県
和谐号CRH1型电力动车组,中国高速鉄道CRH1型電車
新界,新界
香港會議展覽中心,香港コンベンション・アンド・エキシビション・センター
澳門特別行政區區徽,マカオの区章
香港文化中心,香港文化中心
合宁铁路,合寧線
市中区·(济南市),市中区・(済南市)
垦利区,墾利区
开平市,開平市
武汉天河国际机场,武漢天河国際空港
香港上海滙豐銀行,香港上海銀行
香港迪士尼樂園,香港ディズニーランド
藏南地區,蔵南地区
尤伦斯当代艺术中心,ユーレンス現代芸術センター
永德县,永徳県
延庆区,延慶区
上海环球金融中心,上海ワールド・フィナンシャル・センター
白云区·(广州市),白雲区・(広州市)
高明区,高明区
牛街礼拜寺,牛街清真寺
香港浸會大學,香港浸会大学
山东大学,山東大学
石嘴山市,石嘴山市
云贵高原,雲貴高原
吴忠市,呉忠市
固原市,固原市
醴陵市,醴陵市
中国人民解放军空军,中国人民解放軍空軍
广汉市,広漢市
墨竹工卡县,メルド・グンカル県
上海轨道交通13号线,上海軌道交通13号線
玉树藏族自治州,玉樹チベット族自治州
积石山保安族东乡族撒拉族自治县,積石山バオアン族ドンシャン族サラール族自治県
华西新市村,華西村
泰山,泰山
安图县,安図県
青山区·(包头市),青山区・(包頭市)
如东县,如東県
灵武市,霊武市
2008年夏季奧林匹克運動會自行車比賽—女子公路個人計時賽,2008年北京オリンピックの自転車競技・女子個人タイムトライアル
九江市,九江市
洞庭湖,洞庭湖
弋阳县,弋陽県
阜宁县,阜寧県
博斯腾湖,ボステン湖
满洲,満洲
保靖县,保靖県
保德县,保徳県
宝丰县,宝豊県
宝墩文化,宝墩文化
宝安区,宝安区
京沪铁路,京滬線
溪洛渡水电站,溪洛渡ダム
龙虎山,龍虎山
天河区,天河区
南山区·(鹤岗市),南山区・(鶴崗市)
华晨汽车集团,華晨汽車
宝应县,宝応県
宝兴县,宝興県
保亭黎族苗族自治县,保亭リー族ミャオ族自治県
保康县,保康県
宝塔区,宝塔区
宝清县,宝清県
八廓,八角街
苏州轨道交通,蘇州軌道交通
马尔康市,馬爾康市
巴里坤哈萨克自治县,バルクル・カザフ自治県
通化市,通化市
辽源市,遼源市
吉林市,吉林市
四平市,四平市
长春市,長春市
天安门,天安門
滇池,滇池
鄄城县,鄄城県
江南造船,江南造船
十里堡站,十里堡駅
东大桥站·(北京市),東大橋駅・(北京市)
金台路站,金台路駅
青岛大学,青島大学
洱海,洱海
偽滿皇宮博物院,満洲国皇宮
草房站,草房駅
假潮,副振動
2008年夏季奧林匹克運動會曲棍球比賽,2008年北京オリンピックのホッケー競技
东方明珠广播电视塔,東方明珠電視塔
一孩政策,一人っ子政策
2008年夏季奧林匹克運動會水球比賽,2008年北京オリンピックの水球競技
2008年夏季奧林匹克運動會拳擊比賽,2008年北京オリンピックのボクシング競技
2011年中国大奖赛,2011年中国グランプリ
2006年中国大奖赛,2006年中国グランプリ
2007年中国大奖赛,2007年中国グランプリ
2005年中國大獎賽,2005年中国グランプリ
北安市,北安市
鲅鱼圈区,ハツ魚圏区
霸州市,覇州市
巴州区,巴州区
北戴河区,北戴河区
北关区,北関区
北江,北江
北湖区,北湖区
北川羌族自治县,北川チャン族自治県
松原市·(吉林省),松原市・(中華人民共和国)
白山市·(中國),白山市・(吉林省)
塔里木盆地,タリム盆地
喀喇昆仑公路,カラコルム・ハイウェイ
西江,西江
达斡尔族,ダウール族
牡丹江市,牡丹江市
金沙遗址,金沙遺跡
泰安市,泰安市
盘龙城遗址,盤龍城遺跡
若尔盖县,ゾルゲ県
左贡县,ゾガン県
潍坊市,濰坊市
石景山游乐园,石景山遊楽園
汝南县,汝南県
北京世界公园,北京世界公園
江苏足球俱乐部,江蘇足球倶楽部
辉南县,輝南県
沪深300,CSI300指数
楚布寺,ツルプ寺
海沧区,海滄区
南京城墙,南京城
三星堆遗址,三星堆遺跡
黄州区,黄州区
天河体育场,天河体育中心体育場
龙山县,龍山県
洛浦县,ロプ県
汾阳市,汾陽市
新浪微博,新浪微博
白城市,白城市
六四事件,六四天安門事件
汤原县,湯原県
中华人民共和国科技,中華人民共和国の科学技術
武夷山市,武夷山市
黄浦江,黄浦江
长白山,白頭山
希夏邦马峰,シシャパンマ
中環廣場·(香港),セントラルプラザ
华山,華山
滁州市,滁州市
通江县,通江県
果洛藏族自治州,ゴロク・チベット族自治州
屏山县,屏山県
海林市,海林市
桑珠孜区,サムドゥプツェ区
四项基本原则,四つの基本原則
岳阳楼区,岳陽楼区
西安站,西安駅
石阡县,石阡県
朗豪坊,ランガムプレイス
應縣木塔,応県木塔
灵岩寺·(长清),霊巌寺・(泰山)
东山路站,東山路駅
通世泰站,通世泰駅
临淄区,臨淄区
九里站·(大连市),九里駅・(大連)
鸿玮澜山站,鴻瑋瀾山駅
邹平市,鄒平市
走马楼简牍,走馬楼呉簡
邹城市,鄒城市
赤壁市,赤壁市
乌恰县,ウルグチャト県
惠阳区,恵陽区
法门寺,法門寺
富锦市,富錦市
北市区,北市区
北塔区,北塔区
北盘江,北盤江
北票市,北票市
北汽福田,福田汽車
北屯市,北屯市
北塘区,北塘区
北镇市,北鎮市
庭州,ビシュバリク
保安族,バオアン族
碑林区,碑林区
北林区,北林区
国家天文台施密特CCD小行星巡天计划,北京天文台CCD小惑星観測プログラム
北流市,北流市
北京国安足球俱乐部,北京中赫国安足球倶楽部
东方红,東方紅
明清皇家陵寝,明・清王朝の皇帝墓群
蚌山区,蚌山区
南丫島,ラマ島
湖滨区,湖浜区
京津城际铁路,京津都市間鉄道
广水市,広水市
香格里拉市,シャングリラ市
黎语,リー語
南雄市,南雄市
中国—巴基斯坦边界,中国＝パキスタン国境
麻山区,麻山区
东西湖区,東西湖区
澳門甲組足球聯賽,マカオサッカーリーグファーストディビジョン
中華人民共和國政府,中華人民共和国政府
新浪,新浪
涟水县,漣水県
青铜峡市,青銅峡市
香港欖球代表隊,ラグビー香港代表
磁州窑,磁州窯
甘丹寺,ガンデン寺
张华浜站,張華浜駅
中国围棋天元战,中国囲棋天元戦
廣深鐵路,広深線
西吉县,西吉県
巴丹吉林沙漠,バダインジャラン砂漠
2008年夏季奧林匹克運動會自行車比賽—女子越野賽,2008年北京オリンピックの自転車競技・MTB女子クロスカントリー
2008年夏季奧林匹克運動會自行車比賽—男子越野賽,2008年北京オリンピックの自転車競技・MTB男子クロスカントリー
西昌市,西昌市
2008年夏季奧林匹克運動會射箭比賽,2008年北京オリンピックのアーチェリー競技
和平路站·(大连市),和平路駅・(大連市)
十九局站,十九局駅
2008年夏季奧林匹克運動會柔道比賽,2008年北京オリンピックの柔道競技
2008年夏季奥林匹克运动会田径比赛—男子4·×·100米接力,2008年北京オリンピックの陸上競技・男子4×100mリレー
夏县,夏県
茂县,茂県
317国道,G317国道
博望区,博望区
福贡县,福貢県
坡头区,坡頭区
2035年9月2日日食,2035年9月2日の日食
安义县,安義県
安新县,安新県
安乡县,安郷県
杨思站,楊思駅
安溪县,安渓県
安阳县,安陽県
莘县,莘県
新闸路站,新閘路駅
龙游县,竜游県
和田县,ホータン県
安源区,安源区
八宿县,パシュー県
安远县,安遠県
常州奥林匹克体育中心,常州オリンピック・スポーツセンター・スタジアム
青羊区,青羊区
安泽县,安沢県
大连金州体育场,大連金州体育場
中国堕胎,中華人民共和国における妊娠中絶
中国中央电视台中文国际频道,CCTV-4
凉城县,涼城県
2004年夏季奥林匹克运动会中国代表团,2004年アテネオリンピックの中国選手団
丹阳市,丹陽市
中原大佛,魯山大仏
龙门县,竜門県
巴音郭楞蒙古自治州,バインゴリン・モンゴル自治州
巴彦县,巴彦県
拜城县,バイ県
冈仁波齐峰,カイラス山
遵化市,遵化市
西安清真大寺,西安大清真寺
红卫兵,紅衛兵
祁连县,祁連県
结古寺,ジェグ寺
晋州市·(河北省),晋州市・(石家荘市)
江永县,江永県
羊卓雍错,ヤムドク湖
2002年冬季奧林匹克運動會中國代表團,2002年ソルトレークシティオリンピックの中国選手団
麻阳苗族自治县,麻陽ミャオ族自治県
松桃苗族自治县,松桃ミャオ族自治県
四川北路站,四川北路駅
永修县,永修県
江孜县,ギャンツェ県
香山公园,香山公園・(北京市)
吴中区,呉中区
重慶大廈,重慶大厦
古交市,古交市
柳城县,柳城県
全国十大考古新发现,中国十大考古新発見
天津站,天津駅・(中国)
康马县,カンマル県
东经130度线,東経130度線
陵水黎族自治县,陵水リー族自治県
墨江哈尼族自治县,墨江ハニ族自治県
舒城县,舒城県
邵氏兄弟,ショウ・ブラザーズ
顺德区,順徳区
历下区,歴下区
丘北县,丘北県
香港高爾夫球公開賽,香港オープン・(ゴルフ)
刘家峡水电站,劉家峡水力発電所
番禺区,番禺区
容城县,容城県
文井路站,文井路駅
半坡陶符,半坡陶符
复兴区·(邯郸市),復興区・(邯鄲市)
虹桥路站,虹橋路駅
永济市,永済市
美兰区,美蘭区
五台山,五台山・(中国)
