код автора на ФантЛабе,ファントラブ 作者ID
Тульская область,トゥーラ州
код Игромании,イグロマニアID
Чувашия,チュヴァシ共和国
Российско-эстонские отношения,エストニアとロシアの関係
Тавда,タヴダ川
Ак-Довурак,アク＝ドブラク
Аксай,アクサイ (ロストフ州)
Алагир,アラギル
Неман,ネマン川
Писса,ピッサ川
Ульяновск,ウリヤノフスク
Азнакаево,アズナカエヴォ
Азов,アゾフ
Челябинск,チェリャビンスク
код РНБ,ロシア国立図書館識別子
код спортсмена ФФР,ロシア・フェンシング連盟 選手ID
Дейма,デイマ川
Орловская область,オリョール州
Преголя,プレゴリャ川
Анграпа,アングラパ川
Александров,アレクサンドロフ
Рюмина,リューミナ川
Агрыз,アグルィズ
Уфа,ウファ
Алапаевск,アラパエフスク
Пермь,ペルミ
Куршская коса,クルシュー砂州
Куршский залив,クルシュ潟
Альметьевск,アリメチエフスク
Курск,クルスク
Калуга,カルーガ
Красноярск,クラスノヤルスク
Шешупе,シェシュパ川
Виштынецкое озеро,ヴィシュティーティス湖
Белгород,ベルゴロド
Ульяновская область,ウリヤノフスク州
Белгородская область,ベルゴロド州
Анива,アニワ
Липецкая область,リペツク州
Обь,オビ川
Тамбов,タンボフ
Курская область,クルスク州
Воронеж,ヴォロネジ
Ростовская область,ロストフ州
Алексин,アレクシン
Инструч,インストルチ川
Лава,アーレ川
Советск,ソヴィェツク
Краснодарский край,クラスノダール地方
Горин,ゴリン川
Новосибирский Академгородок,アカデムゴロドク
турки,トルコ人
Алатырь,アラーティリ
Алдан,アルダン
Владивосток,ウラジオストク
Воронежская область,ヴォロネジ州
Амурск,アムールスク
Кур,クル川
Липецк,リペツク
Камчатка,カムチャツカ半島
Балтийск,バルチースク
Гусев,グセフ
Дон,ドン川
Артём,アルチョーム
Андреаполь,アンドレアポリ
Чукотский полуостров,チュクチ半島
Адыгея,アディゲ共和国
Ангарск,アンガルスク
Черняховск,チェルニャホフスク
Тыва,トゥヴァ共和国
Гвардейск,グヴァルジェイスク
Неман,ネマン
Калмыкия,カルムイク共和国
Арамиль,アラミリ
Утьма,ウトマ川
Башкортостан,バシコルトスタン共和国
Светлый,スヴェトルイ
Томск,トムスク
Майкоп,マイコープ
Элиста,エリスタ
Краснодар,クラスノダール
Тамбовская область,タンボフ州
Арзамас,アルザマス
Астраханская область,アストラハン州
Родиловка,ロディロフカ
Челябинская область,チェリャビンスク州
финский язык,フィンランド語
Александровск-Сахалинский,アレクサンドロフスク・サハリンスキー
Тюменская область,チュメニ州
Апатиты,アパチートゥイ
Апрелевка,アプレレフカ
Лада,HCラダ・トグリアッティ
Новосибирская область,ノヴォシビルスク州
Тольятти,トリヤッチ
Бабушкин,バブシキン
Бавлы,バヴルィ
Приморский край,沿海地方
Ахтубинск,アフトゥビンスク
Ачинск,アチンスク
Омская область,オムスク州
Аша,アシャ (町)
Асбест,アスベスト市
Асино,アシノ
Горно-Алтайск,ゴルノ＝アルタイスク
Аткарск,アトカルスク
Волгоградская область,ヴォルゴグラード州
Лебяжье,レビャジエ
Астрахань,アストラハン
Московская область,モスクワ州
Мурманск,ムルマンスク
Курганская область,クルガン州
Тюмень,チュメニ
Хоккей на зимних Олимпийских играх 2014,2014年ソチオリンピックのアイスホッケー競技
Хабаровск,ハバロフスク
Калининградская область,カリーニングラード州
Террористический акт на Дубровке,モスクワ劇場占拠事件
Кузбасс,クズバス・ケメロヴォ
Алтайские горы,アルタイ山脈
Алтайский край,アルタイ地方
Балабаново,バラバノヴォ
Самарская область,サマラ州
Калининград,カリーニングラード
Томская область,トムスク州
Балаково,バラコヴォ
Архангельская область,アルハンゲリスク州
Население России,ロシアの人口統計
Арчинцы,アルチ人
Барабинск,バラビンスク
Нуженка,ヌジェンカ川
Мурманская область,ムルマンスク州
Багратионовск,バグラティオノフスク
Байкальск,バイカリスク
Республика Алтай,アルタイ共和国
Карелия,カレリア共和国
Арсеньев,アルセーニエフ
Арск,アルスク
Барнаул,バルナウル
Надым,ナディム
Батайск,バタイスク
Государственный музей изобразительных искусств имени А. С. Пушкина,プーシキン美術館
Лесогорский,レソゴルスキー
Кемеровская область,ケメロヴォ州
Кызыл,クズル
Дубровка,ドゥブロフカ
Петрозаводск,ペトロザヴォーツク
Балашов,バラショフ
Балей,バレイ
абхазский язык,アブハズ語
Республика Коми,コミ共和国
Кемерово,ケメロヴォ
Дагестан,ダゲスタン共和国
Самарский метрополитен,サマーラ地下鉄
Ханты-Мансийский автономный округ — Югра,ハンティ・マンシ自治管区・ユグラ
Иркутская область,イルクーツク州
Ханты-Мансийск,ハンティ・マンシースク
Череповец,チェレポヴェツ
Махачкала,マハチカラ
Белая Калитва,ベラヤ・カリトワ
Белебей,ベレベイ
Балашиха,バラシハ
Балахна,バラフナ
Белозерск,ベロゼルスク
Беломорск,ベロモルスク
Архангельск,アルハンゲリスク
Белёв,ベリョーフ
Вологодская область,ヴォログダ州
Вологда,ヴォログダ川
Нарьян-Мар,ナリヤン・マル
Ямало-Ненецкий автономный округ,ヤマロ・ネネツ自治管区
Салехард,サレハルド
Грозный,グロズヌイ
Бердск,ベルツク
Белово,ベロヴォ (ロシア)
Якутск,ヤクーツク
Чечня,チェチェン共和国
Красноярский край,クラスノヤルスク地方
Хакасия,ハカス共和国
Бурятия,ブリヤート共和国
Вологда,ヴォログダ
Иркутск,イルクーツク
Ставрополь,スタヴロポリ
Бежецк,ベジェツク
Ненецкий автономный округ,ネネツ自治管区
Улан-Удэ,ウラン・ウデ
Белорецк,ベロレツク
Беслан,ベスラン
Белоярский,ベロヤルスク
Белый,ベールイ
Ленинградская область,レニングラード州
Северная Осетия — Алания,北オセチア共和国
Псков,プスコフ
Магас,マガス
Владикавказ,ウラジカフカス
Ставропольский край,スタヴロポリ地方
Тотьма,トチマ
Белогорск,ベロゴルスク
Ингушетия,イングーシ共和国
Сыктывкар,スィクティフカル
Березники,ベレズニキ
Псковская область,プスコフ州
Бирск,ビルスク
Забайкальский край,ザバイカリエ地方
Якутия,サハ共和国
Амур,アムール川
Агинский Бурятский автономный округ,アガ・ブリヤート自治管区
Центральное Черноземье,中央黒土地帯
Центральная избирательная комиссия Российской Федерации,ロシア連邦中央選挙管理委員会
Оренбургская область,オレンブルク州
Сызрань,シズラニ
Мордовия,モルドヴィア共和国
Черкесск,チェルケスク
Бикин,ビキン
Орловский централ,オリョール監獄
Центральный институт авиационного моторостроения,P・I・バラノフ記念航空エンジン中央研究所
Центральный музей Вооружённых Сил,中央軍隊博物館
Федеральное государственное бюджетное учреждение культуры «Центральный музей Великой Отечественной войны 1941-1945 гг.»,大祖国戦争中央博物館
Амурская область,アムール州
Великий Новгород,ノヴゴロド
Центральный музей Военно-воздушных сил РФ,モニノ空軍博物館
Центрально-Чернозёмный заповедник,中央黒土自然保護区
Северодвинск,セヴェロドヴィンスク
Дальнегорск,ダリネゴルスク
UTC+10:00,UTC+10
Богородицк,ボゴロジツク
Гатчинский район,ガッチナ地区
Большой Гатчинский дворец,ガッチナ宮殿
Центральный административный округ Москвы,中央区 (モスクワ)
Центральный аэрогидродинамический институт имени профессора Н.Е. Жуковского,TsAGI
Центральный военно-морской музей,ロシア海軍中央博物館
Кабардино-Балкария,カバルダ・バルカル共和国
Богородск,ボゴロツク
Боготол,ボゴトル
Яндекс,ヤンデックス
Благовещенск,ブラゴヴェシチェンスク
Нальчик,ナリチク
Пермский край,ペルミ地方
Саратовская область,サラトフ州
Оренбург,オレンブルク
Большой Камень,ボリショイ・カーメニ
Бор,ニジニ・ノヴゴロド州
Карачаево-Черкесия,カラチャイ・チェルケス共和国
Саратов,サラトフ
UTC+7:00,UTC+7
Севастополь,セヴァストポリ
Борзя,ボルジャ (ロシア)
Бодайбо,ボダイボ
Георгиевск,ゲオルギエフスク
Кировская область,キーロフ州
Болгар,ボルガル
Миасс,ミアス
Каменск-Уральский,カメンスク＝ウラリスキー
Ржев,ルジェフ
Коммунар,コムナル
Волховский район,ヴォルホフ地区
Выборгский район,ヴィボルグスキー地区 (レニングラード州)
Кингисеппский район,キンギセップ地区
Эвенки,エヴェンキ
Западно-Сибирская равнина,西シベリア平原
Бологое,ボロゴエ
Болотное,ボロトノエ
Донецк,ドネツク
Центральный,セントラル・スタジアム (カザン)
Центральный стадион,ヴォルゴグラード中央スタジアム
Роскосмос,ロシア連邦宇宙局
Центральный стадион профсоюзов,セントラル・プロフソユーズ・スタジアム
Саранск,サランスク
Хабаровский край,ハバロフスク地方
Киров,キーロフ
Ишим,エシム川
Северский Донец,ドネツ川
Центральный стадион,セントラル・スタジアム
Удмуртия,ウドムルト共和国
Бокситогорский район,ボクシトゴルスク地区
Волосовский район,ヴォロソヴォ地区
Семилуки,セミルキ
Центральный федеральный округ,中央連邦管区
Ижевск,イジェフスク
Татарский пролив,間宮海峡
Болохово,ボロホヴォ
Болхов,ボルホフ
Мавзолей Ленина,レーニン廟
Гатчина,ガッチナ
Калиновка,カルィーニウカ
Казанский университет,カザン大学
Коммунистическая партия Российской Федерации,ロシア連邦共産党
Еврейская автономная область,ユダヤ自治州
Биробиджан,ビロビジャン
Восточно-Европейская равнина,東ヨーロッパ平原
Алдан,アルダン川
русский язык,ロシア語
Судак,スダク
Сибирь,シベリア
Сахалинская область,サハリン州
Pussy Riot,プッシー・ライオット
Урюпинск,ウリュピンスク
Чернушка,チェルヌシュカ
Крымский полуостров,クリミア半島
европейский автомобильный маршрут,欧州自動車道路
Остров Врангеля,ウランゲリ島
Великий Устюг,ヴェリキイ・ウスチュグ
Раздольная,綏芬河
Яхрома,ヤフロマ
Джагды,ジャグドゥイ山脈
Мирный,ミールヌイ
Луна,ルナ計画
Главное разведывательное управление ВС РФ,ロシア連邦軍参謀本部情報総局
Юрюзань,ユリュザニ川
Калининградский морской судоходный канал,カリーニングラード運河
Вятка,ヴャトカ川
Марий Эл,マリ・エル共和国
Осетия,オセチア
Ельники,亜屯駅
Вторая чеченская война,第二次チェチェン紛争
Оймякон,オイミャコン
Белая река,ベラヤ川
Карелия,カレリア
балкарцы,バルカル人
правовая система Российской Федерации,ロシアの法律
Шереметьево,シェレメーチエヴォ国際空港
Тобол,トボル川
ВКонтакте,フコンタクテ
болгарский язык,ブルガリア語
Курило-Камчатский жёлоб,千島海溝
Алеутский жёлоб,アリューシャン海溝
Киришский район,キリシ地区
Кириши,キリシ
Южно-Сахалинск,ユジノサハリンスク
Сахалин,樺太
Могза,モグザ川
Сборная России по мини-футболу,フットサルロシア代表
Российско-ирландские отношения,アイルランドとロシアの関係
Кул-Шариф,クール・シャリフ
Петропавловск-Камчатский,ペトロパブロフスク・カムチャツキー
Дуга Струве,シュトルーヴェの測地弧
Шилка,シルカ川
Пермский академический театр оперы и балета имени П. И. Чайковского,ペルミ・オペラ・バレエ劇場
биатлон на зимних Олимпийских играх 2014,2014年ソチオリンピックのバイアスロン競技
Рославль,ロスラヴリ
административно-территориальная единица России,ロシア連邦の地方区分
Северная Земля,セヴェルナヤ・ゼムリャ諸島
тувинцы,トゥバ族
Камчатский край,カムチャツカ地方
Обь-Енисейский канал,オビ・エニセイ運河
Реутов,レウトフ
Россошь,ロッソーシ
Ростов,ロストフ
Вооружённые силы Российской Федерации,ロシア連邦軍
Рассказово,ラスカゾヴォ
Магадан,マガダン
Ртищево,ルチシチェヴォ
Рубцовск,ルプツォフスク
Салават,サラヴァト
Сухой,スホーイ
Анадырь,アナディリ
Российско-исландские отношения,アイスランドとロシアの関係
Российско-венгерские отношения,ハンガリーとロシアの関係
Подпорожский район,ポドポロジエ地区
Ганина Яма,ガニナ・ヤマ
Физико-энергетический институт,ロシア物理エネルギー研究所
Ломоносовский район,ロモノソフ地区 (レニングラード州)
Лужский район,ルーガ地区
Саров,サロフ
Печора,ペチョラ川
грузинский язык,ジョージア語
Российско-китайские отношения,中露関係
Храм Василия Блаженного,聖ワシリイ大聖堂
Московский международный кинофестиваль 1963,第3回モスクワ国際映画祭
Кировский район,キロフスク地区
Лодейнопольский район,ロジェイノエ・ポーレ地区
Пушкин,プーシキン
Рудня,ルドニャ
Руза,ルザ
Роскомнадзор,通信・情報技術・電子メディア・出版の政策立案及び規制監督の総合機関
Снежный человек,イエティ
Иртыш,エルティシ川
Рыбинск,ルイビンスク
Рыбное,ルイブノエ
Рыльск,ルィリスク
Свирск,スヴィルスク
Свободный,スヴォボードヌイ
Сафоново,サフォノヴォ
Саяногорск,サヤノゴルスク
Сасово,サーソヴォ
Сатка,サトカ
Магаданская область,マガダン州
Приозерский район,プリオゼルスク地区
Приозерск,プリオゼルスク
Барзюковка,バルジュコフカ川
Западная Двина,ダウガヴァ川
Море Лаптевых,ラプテフ海
Сланцевский район,スランツィ地区
Рузаевка,ルザエヴカ
Пинега,ピネガ川
Дербент,デルベント
Сарапул,サラプル
Салаир,サライル
Сальск,サリスク
Уса,ウサ川
Ялта,ヤルタ
Линия перемены даты,国際日付変更線
Чукотский автономный округ,チュクチ自治管区
Бугульма,ブグリマ
Яксура,ヤクスラ川
Светлогорск,スヴェトロゴルスク
Светлоград,スヴェトログラード
Государственный Эрмитаж,エルミタージュ美術館
Череповец,チェレポベツ空港
футуризм,未来派
Емца,エムツァ川
Колва,コルヴァ川
Северная Двина,北ドヴィナ川
террористический акт в Беслане,ベスラン学校占拠事件
Североморск,セヴェロモルスク
Центральный парк культуры и отдыха им. Горького,ゴーリキイ公園
сербы,セルビア人
Боровск,ボロフスク
авиакатастрофа в Смоленске 10 апреля 2010 года,ポーランド空軍Tu-154墜落事故
Временное правительство России,ロシア臨時政府
Севск,セフスク
Сегежа,セガジャ（カレリア共和国）
Себеж,セーベジ
Сельцо,セリツォ
Бугуруслан,ブグルスラン
Будённовск,ブデョンノフスク
армянский язык,アルメニア語
Буинск,ブインスク
украинский язык,ウクライナ語
Боровичи,ボロヴィチ
Кетой,計吐夷島
Борисоглебск,ボリソグレフスク
белорусский язык,ベラルーシ語
Бронницы,ブロンニツィ
Североуральск,セヴェロウラリスク
Северск,セヴェルスク
Серафимович,セラフィモヴィチ
греческий язык,ギリシア語
Янтарный путь,琥珀の道
Перспективный авиационный комплекс фронтовой авиации,PAK FA
Семикаракорск,セミカラコルスク
остров Беринга,ベーリング島
Бутурлиновка,ブトゥルリノフカ
Валдай,ヴァルダイ
Братск,ブラーツク
Северо-Курильск,セベロクリリスク
Северобайкальск,セヴェロバイカリスク
казахский язык,カザフ語
идиш,イディッシュ語
Сергиев Посад,セルギエフ・ポサード
Битва под Фридландом,フリートラントの戦い
Камов,カモフ
Коломна,コロムナ
персидский язык,ペルシア語
Ширмакша,シルマスカ川
Тарбагатайский район,タルバガタイ地区 (ブリヤート共和国)
Карачаевцы,カラチャイ人
Сибай,シバイ
Алания,FCアラニア・ウラジカフカス
Ахмат,FCアフマト・グロズヌイ
Валдайская возвышенность,ヴァルダイ丘陵
Карские Ворота,カルスキエボロタ海峡
Верхотурье,ヴェルコチュヤ
Вельск,ヴェルスク
Венёв,ヴェニョーフ
Туполев,ツポレフ
Сестрорецк,セストロレツク
Катка,カトカ
административно-территориальное деление Ленинградской области,レニングラード州の行政区画
Отрадное,オトラッドノエ湖
Чирпой,知理保以島
Владимирский централ,ヴラディーミル中央刑務所
Кемерово,ケメロヴォ国際空港
зимние Олимпийские игры 2014,2014年ソチオリンピック
Собинка,ソビンカ
Евровидение-2009,ユーロビジョン・ソング・コンテスト2009
Снежинск,スネジンスク
Храм Христа Спасителя,救世主ハリストス大聖堂
Чемпионат мира по настольному теннису среди команд 2010,第50回世界卓球選手権団体戦
Хакасы,ハカス人
Славгород,スラブゴロド
Славск,スラフスク
Протон,プロトン
Красный Октябрь,クラスヌィ・オクチャブリ
Берингов пролив,ベーリング海峡
Виледь,ヴィレチ川
58-я общевойсковая армия,第58軍
алтайцы,アルタイ人
Верхняя Пышма,ヴェルフナヤ・ピシュマ
Валуйки,ヴァルイキ
Велиж,ヴェリジ
корейский язык,朝鮮語
флаги субъектов Российской Федерации,ロシアの地方旗一覧
Мезенская Пижма,メゼンスカヤ・ピジュマ川
Сковородино,スコボロディノ
Скопин,スコピン
Сердобск,セルドブスク
Серпухов,セルプホフ
Петербургский метрополитен,サンクトペテルブルク地下鉄
Медный,メードヌイ島
Наука,ナウカ
Весьегонск,ヴェシエゴンスク
Вилючинск,ヴィリュチンスク
Вихоревка,ヴィホレフカ
Буйнакск,ブイナクスク
Буй,ブイ
Буй,ブイ川
узбекский язык,ウズベク語
азербайджанский язык,アゼルバイジャン語
Советский,ソヴィエツキー
Сокол,ソコル
Соликамск,ソリカムスク
Солнечногорск,ソルネチノゴルスク
Видное,ヴィドノエ
Вилюйск,ヴィリュイスク
Соль-Илецк,ソリ・イレツク
Солигалич,ソリガリチ
болгары,ブルガリア人
Московский Кремль,クレムリン
Иж,イジ川
Комсомолец,コムソモレツ島
Советская Гавань,ソヴィエツカヤ・ガヴァニ
Советск,ソヴィェツク (キーロフ州)
Советск,ソヴィェツク
Московский академический музыкальный театр имени К. С. Станиславского и Вл. И. Немировича-Данченко,スタニスラフスキー＝ネミローヴィチ－ダンチェンコ音楽劇場
Российско-польские отношения,ポーランドとロシアの関係
Верхоянск,ベルホヤンスク
Сортавала,ソルタヴァラ
Сосенский,ソセンスキー
ульчский язык,ウリチ語
колтта-саамский язык,スコルト・サーミ語
Ворсма,ヴォルスマ
Карабаново,カラバノヴォ
Московский государственный университет,モスクワ大学
башкирский язык,バシキール語
удмуртский язык,ウドムルト語
орден «За военные заслуги»,軍事功績勲章
комплекс «Федерация»,フェデレーション・タワー
русский жестовый язык,ロシア手話
чуваши,チュヴァシ人
Вольск,ヴォリスク
Ея,エヤ川
мокшанский язык,モクシャ語
Камчатка,カムチャツカ川
Российско-финляндские отношения,フィンランドとロシアの関係
Острог,オストログ
русская кухня,ロシア料理
проституция в России,ロシアにおける売春
Вичуга,ヴィチュガ
Волгодонск,ヴォルゴドンスク
Бахчисарайский Успенский монастырь,ウスペンスキー修道院
Газпром-Медиа Холдинг,ガスプロム・メディア
Русские горки,ルスキエ・ゴルキ・ジャンピング・センター
Клипер,クリーペル
Спасск-Дальний,スパッスク＝ダリニー
Спасск-Рязанский,スパッスク＝リャザンスキー
Автомобильные дороги федерального значения России,ロシア連邦道路
Комарово,コマロボ (サンクトペテルブルク)
Ярославский моторный завод,ヤロスラブリ機関工場
Туапсинский район,トゥアプシンスキー地区
Патомское нагорье,パトム高地
Египетский мост,エジプト橋
Александров Гай,アレクサンドロフ・ガイ
Набережные Челны,ナーベレジヌイェ・チェルヌイ
Новатэк,ノヴァテク
Баскет Холл,クリタツコエ・スポーツ・パレス
Русская Кошка,ルスカヤコシカ
Репино,クオッカラ
Луга,ルーガ川
Оредеж,オレデズ川
Выкса,ヴィクサ
Магнитогорск,マグニトゴルスク
Сибинский диалект,シベ語
удэгейский язык,ウデゲ語
Сольвычегодск,ソリヴィチェゴドスク
Сольцы,ソリツイ
Российско-югоосетинские отношения,ロシアと南オセチアの関係
Волгореченск,ヴォルゴレチェンスク
Ыгыатта,ウィギアッタ川
Объединённый институт ядерных исследований,ドゥブナ合同原子核研究所
Битцевский лес,ビツァ公園
Спас-Деменск,スパス＝ジェメンスク
Спас-Клепики,スパス＝クレピキ
Ловать,ロヴァチ川
Динамо,ディナモ・スタジアム
Новокузнецк,ノヴォクズネツク
Среднеколымск,スレドネコリムスク
Волжский,ヴォルシスキー
Нижний Тагил,ニジニ・タギル
Ботанический институт имени В. Л. Комарова РАН,コマロフ植物研究所
Воскресенск,ヴォスクレセンスク
площадка № 31,バイコヌール宇宙基地31番射点
Стрельна,ストレルナ
Выборг,ヴィボルグ
Старица,スターリツァ
Стародуб,スタロドゥーブ
Старый Оскол,スタールイ・オスコル
южноэстонский диалект,南エストニア語
нанайский язык,ナナイ語
Вышний Волочёк,ヴイシニー・ヴォロチョーク
Вяземский,ヴャーゼムスキー
Воркута,ヴォルクタ
Ледовое побоище,氷上の戦い
Орешек,シュリッセリブルク要塞
Луганск,ルハーンシク
Всеволожск,フセヴォロジスク
Высоцк,ヴィソツク
Сретенск,スレチェンスク
Вязники,ヴャズニキ
Старая Русса,スタラヤ・ルーサ
Финский залив,フィンランド湾
Приамурье,外満州
Прохоровка,プロホロフカ
Луховицы,FCルホヴィツィ
Суворов,スヴォーロフ
Судогда,スドグダ
Глазов,グラゾフ
Бокситогорск,ボクシトゴルスク
Горбатов,ゴルバトフ
Струнино,ストルニノ
Ступино,ストゥピノ
Подпорожье,ポドポロージエ
Гаврилов-Ям,ガヴリロフ＝ヤム
Воткинск,ヴォトキンスク
Вятские Поляны,ヴャツキエ・ポリャーヌイ
Хор,ホール川
Колпь,コリ川
Усть-Камчатский район,ウスチカムチャツク
Калач-на-Дону,カラチ＝ナ＝ドヌ
Ковров,コヴロフ
Курган,クルガン
Дмитров,ドミトロフ
Волхов,ヴォルホフ
Министерство юстиции Российской Федерации,ロシア司法省
Лодейное Поле,ロデイノイェ・ポリェ
Сухиничи,スヒーニチ
Имандра,イマンドラ湖
Азиатский маршрут AH3,アジアハイウェイ3号線
Красная Поляна,クラースナヤ・ポリャーナ山岳地区
Сусуман,ススマン
Гай,ガイ
Галич,ガーリチ
Вязьма,ヴャジマ
Стерлитамак,ステルリタマク
Гдов,グドフ
Ивановка,イワノフカ
Татарск,タタールスク
Ржевская битва,ルジェフの戦い
Новодевичий монастырь,ノヴォデヴィチ女子修道院
Светогорск,スヴェトゴルスク
Приморск,プリモルスク
Ивангород,イヴァンゴロド
День Победы,戦勝記念日 (5月9日)
Великие Луки,ヴェリーキエ・ルーキ
Волхов,ヴォルホフ川
Бадяриха,バジャリハ川
Большой Санкт-Петербургский государственный цирк,ボリショイ・サンクトペテルブルク国立サーカス
Арбат,アルバート通り
Кингисепп,キンギセップ
Суоярви,スーオヤルヴィ
Сураж,スラージ
Суровикино,スロヴィーキノ
Взрывы в московском метро 29 марта 2010 года,モスクワ地下鉄爆破テロ
Московский район,モスコフスキー区 (サンクトペテルブルク)
Тайга,タイガ
Тайшет,タイシェト
Елец,エレツ
Грайворон,グレイヴォロン
Белокуриха,ベロクーリハ
Гороховец,ゴロホヴェツ
Волоколамск,ヴォロコラムスク
айны,アイヌ
Новая Ладога,ノヴァヤ・ラドガ
Ладожское озеро,ラドガ湖
Гагарин,ガガーリン
Гаджиево,ガジーヴォ
Смоленская операция,スモレンスクの戦い
Угра,ウグラ川
Укок,ウコク高原
Сычёвка,スィチョーフカ
Луга,ルーガ
подразделения специального назначения Российской Федерации,スペツナズ
Большой Кинель,ボリショイ・キネリ川
Киржачский район,キルジャチスキー地区
Российская национальная библиотека,ロシア国立図書館
Игнатьево,イグナチェヴォ空港
Темрюк,テムリュク
Новороссийск,ノヴォロシースク
Грязи,グリャジ
Грязовец,グリャゾヴェツ
Тара,タラ (ロシアの地名)
Сертолово,セルトロヴォ
Сланцы,スランツィ
Центральный район,中央区
Новосибирский метрополитен,ノヴォシビルスク地下鉄
Внуково,ヴヌーコヴォ国際空港
Тихорецк,チホレツク
даргинцы,ダルギン人
Амкар,FCアムカル・ペルミ
Яблоко,ヤブロコ
Крылья Советов,クリリヤ・ソヴェトフ・サマーラ
Ельня,エリニャ
Бийск,ビイスク
Советско-Гаванский район,ソヴィエツカヤ・ガヴァニ地区
Суздаль,スーズダリ
Путорана,プトラナ台地
Ленские столбы,レナ川の柱群
Гуково,グコヴォ
Гурьевск,グリエフスク
Тетюши,テチューシ
Торжок,トルジョーク
