Plostošana,木材流送
Latvijas administratīvais iedalījums,ラトビアの地方行政区画
Gulbene,グルベネ
Koknese,コクネセ
Starptautiskā lidosta "Rīga",リガ国際空港
inguši,イングーシ人
Rūjiena,ルーイエナ
Jēkabpils rajons,ヤーカブピルス
Liepājas rajons,リエパーヤ地区
Latvijas Universitāte,ラトビア大学
Skonto FC,スコントFC
Dzintara ceļš,琥珀の道
Rumāņi,ルーマニア人
Latvija Olimpiskajās spēlēs,オリンピックのラトビア選手団
Gaujas nacionālais parks,ガウヤ国立公園
latgaliešu rakstu valoda,ラトガリア語
sēļu valoda,セロニア語
Lielvārdes novads,リエルワールデ
Latvija 1998. gada Ziemas Olimpiskajās spēlēs,1998年長野オリンピックのラトビア選手団
Trīs brāļi,三人兄弟
Balvi,バルビ
Daugavpils rajons,ダウガフピルス地区
Vidzeme,ヴィドゼメ
Pērkonkrusts,雷十字党
Aizkraukles novads,アイズクラウクレ
Kokneses novads,クアクネセ
Talsi,タルシ
futbols Latvijā,ラトビアのサッカー
Eiropas autoceļš E67,E67号線
Rīgas Kinostudija,リガフィルムスタジオ
Latvijas gada labākais futbolists,ラトビア年間最優秀選手賞
Latvijas eiro monētas,ラトビアのユーロ硬貨
Preiļi,プレイリ
Mazsalaca,マズサラツァ
Liepājas starptautiskā lidosta,リエパーヤ国際空港
Dobeles novads,ドベレ
Svētā Mārtiņa diena,聖マルティヌスの日
Skonto halle,スコント・ハレ
Salaspils,サラスピルス
Dobele,ドベレ
Ogre,オグレ
lībiešu valoda,リヴォニア語
Latvija Bērnu Eirovīzijas dziesmu konkursā,ラトビアのジュニア・ユーロビジョン・ソング・コンテスト
Varakļāni,ヴァラクリャーニ
Kārsava,カルサヴァ
Kandava,カンダバ
Līvāni,リーヴェンホフ
jidišs,イディッシュ語
baltkrievu valoda,ベラルーシ語
Eiropas autoceļš E22,E22号線
Rīgas pils,リーガ城
Valka,ヴァルカ
Ask.fm,Ask.fm
Vanšu tilts,ヴァンシュ橋
FC Jūrmala,FCユルマラ
Brocēnu novads,ブルアツェーニ
Baltijas Dziesmu un deju svētki,バルト地方の歌謡・舞踏フェスティバル
Ķīles šprotes,キーラーシュプロッテ
trasjanka,トラシャンカ
Baltijas valstis,バルト三国
Latvija 1994. gada Ziemas Olimpiskajās spēlēs,1994年リレハンメルオリンピックのラトビア選手団
krievs,ロシア人
Pļaviņu novads,プリャヴィニャス
Aknīstes novads,アクニーステ
JFK Olimps,JFKオリンプス
Sēlija,セリヤ
Eiropas autoceļš E77,E77号線
Latvijas dzelzceļš,ラトビア国鉄
Alūksne,アルークスネ
Dziesmotā revolūcija,歌う革命
Lielvārde,リェルヴァーデ
Latvijas Republikas Ministru prezidents,ラトビアの首相
Saulkrastu novads,サウルクラスチ
Gūtmaņa ala,グートゥマニャ洞穴
Skrunda,スクルンダ
Ķekava,キェッカヴァ
Ķegums,ケグムス
pārkrievošana,ロシア化
Ādaži,アーダジ
Saldus,サルダス
Ludza,ルッザ
Madona,マドナ
2003. gada Eirovīzijas dziesmu konkurss,ユーロビジョン・ソング・コンテスト2003
Ilūkste,イルークスト
Rail Baltica,レール・バルティカ
latvieši,ラトビア人
Dinaburg FC,ディナブルグFC
Alūksnes rajons,アルークスネ
Naukšēnu novads,ナウクシェーニ
Latvijas ģeogrāfija,ラトビアの地理
Grobiņa,グロビニャ
Melngalvju nams,ブラックヘッドのギルド
Priekule,プリエクレ
Mikrotīkls,MikroTik
Triju Zvaigžņu ordenis,三ツ星勲章
Vienotība,統一
FK Rīgas Futbola skola,FK RFS
FK Daugava,FKユールマラ-VV
BK Ventspils,BKヴェンツペリス
.lv,.lv
Ipiķu pagasts,イピキ教区
Daugavpils,ダウガフピルス
Aglona,アグロナ
Transports Latvijā,ラトビアの交通
1937. gada Eiropas čempionāts basketbolā,1937年バスケットボール欧州選手権
FC Daugava,FCダウガヴァ
Brīvības piemineklis,自由の記念碑
Baltijas valstu okupācija,バルト諸国占領
tramvaju satiksme Daugavpilī,ダウガフピルス市電
Durbes kauja,ドゥルベの戦い
Latvija 2004. gada Vasaras Olimpiskajās spēlēs,2004年アテネオリンピックのラトビア選手団
Jaunlatvieši,青年ラトビア
Latvijas Nacionālā opera un balets,ラトビア国立歌劇場
Flotiles admirālis,海軍准将
Cēsu apriņķis,ツェーシス郡
Tukuma apriņķis,トゥックム郡
Latvenergo,ラトベネルゴ
Rīgas apriņķis,リガ郡
lats,ラッツ
Rīgas Autobusu Fabrika,リガ自動車工場
Rīgas aviācijas muzejs,リーガ航空博物館
Dievturība,ディエヴトゥリーバ
SK Blāzma,SKブラーズマ
Daugavpils novads,ダウガフピルス
Latvijas—Baltkrievijas robeža,ベラルーシとラトビアの国境
Latvijas Valsts policija,ラトビア国家警察
Baltijas tīģeri,バルトの虎
Tukuma novads,トゥクムス
Ludzas novads,ルヅァ
Inčukalns,インチュカルンス
Mārupe,マールペ
Latvijas basketbola izlase,バスケットボールラトビア代表
Latvijas Televīzija,LTV ラトビア・テレビ
Vārkavas novads,ヴァールカヴァ
Karosta,カロスタ
Ropažu novads,ルアパジ
Eiropas autoceļš,欧州自動車道路
Cēsis,ツェーシス
Liepājas partija,リエパーヤ党
Mikrofona Ieraksti,マイクロフォン・レコード
Rumbulas lidosta,ランブラ空軍基地
Baltijas Kauss futbolā,バルティックカップ
krievu valoda Latvijā,ラトビアにおけるロシア語
Ventspils,ヴェンツピルス
Rīgas Vagonbūves rūpnīca,リガ車両製作工場
Gaiziņkalns,ガイジンカインス
Latvija 1936. gada Vasaras Olimpiskajās spēlēs,1936年ベルリンオリンピックのラトビア選手団
Latvija 1996. gada Vasaras Olimpiskajās spēlēs,1996年アトランタオリンピックのラトビア選手団
Latvija 1936. gada Ziemas Olimpiskajās spēlēs,1936年ガルミッシュ・パルテンキルヘンオリンピックのラトビア選手団
Latvija 1928. gada Vasaras Olimpiskajās spēlēs,1928年アムステルダムオリンピックのラトビア選手団
Valmiera,ヴァルミエラ
Durbes muižas kungu māja,ドゥルベのマナー・ハウス
Latvijas futbola 1. līga,ラトビア・ファーストリーガ
Visu Latvijai,すべてをラトビアのために！
Abrenes apriņķis,アブレネ郡
Latvijas sieviešu futbola izlase,サッカーラトビア女子代表
Latvijas Gaisa spēki,ラトビア空軍
Vecrīga,ヴェクリガ
Ulbroka,ウルブロカ
Limbaži,リンバジ
Latvija 2002. gada Ziemas Olimpiskajās spēlēs,2002年ソルトレークシティオリンピックのラトビア選手団
Liepāja,リエパーヤ
Latvija 2012. gada Vasaras Olimpiskajās spēlēs,2012年ロンドンオリンピックのラトビア選手団
Latvija 2010. gada Ziemas Olimpiskajās spēlēs,2010年バンクーバーオリンピックのラトビア選手団
Latvija 2008. gada Vasaras Olimpiskajās spēlēs,2008年北京オリンピックのラトビア選手団
Dundagas pagasts,ドゥンダガ教区
Mūsa,ムーシャ川
Daugavgrīva,ダウガヴグリーヴァ
somi,フィン人
Zaļo un Zemnieku savienība,緑と農民連合
Ventspils Augstskola,ヴェンツピルス大学
Latvijas Mobilais Telefons,Ltmラトビア携帯電話社
25. austrumu meridiāns,東経25度線
latviešu virtuve,ラトヴィア料理
Vaiņode,ヴァイニョデ
Volvo Open Cup,ボルボオープンカップ
Kuldīga,クルディーガ
Rīgas līcis,リガ湾
Tautas partija,人民党
57. ziemeļu paralēle,北緯57度線
Liepājas Svētās Trīsvienības katedrāle,聖三位一体教会
sakta,サクタ
Nippo–Delko Provence,デルコ・マルセイユプロヴァンス
Latvijas Biozinātņu un tehnoloģiju universitāte,ラトビア農業大学
Latvija 1992. gada Ziemas Olimpiskajās spēlēs,1992年アルベールビルオリンピックのラトビア選手団
Latvija 1928. gada Ziemas Olimpiskajās spēlēs,1928年サンモリッツオリンピックのラトビア選手団
Latvija 1924. gada Ziemas Olimpiskajās spēlēs,1924年シャモニー・モンブランオリンピックのラトビア選手団
Latvija 2006. gada Ziemas Olimpiskajās spēlēs,2006年トリノオリンピックのラトビア選手団
Latvijas himna,ラトビアに幸いあれ
vācbaltieši,バルト・ドイツ人
Prisma,プリスマ
Latvijas Nacionālā bibliotēka,ラトビア国立図書館
Latvijas Zaļā partija,ラトヴィア緑の党
Lāčplēša Kara ordenis,ラーチュプレーシス騎士団勲章
Korupcijas novēršanas un apkarošanas birojs,汚職防止・撲滅局
Līgatnes novads,リーガトネ
vēlēšanas Latvijā,ラトビアの選挙
Jaunais laiks,新時代党 (ラトビア)
Ventspils novads,ヴェンツピルス
Saules aptumsums 2018. gada 11. augustā,2018年8月11日の日食
Carnikava,ツァルニカヴァ
Daugavas stadions,ダウガヴァ・スタディオン
Latvijas pareizticīgā baznīca,リトアニア正教会
HK Prizma,HKプリズマ
Rīgas Doms,リガ大聖堂
Latvijas Krievu savienība,ラトビア系ロシア人連合
Tēvzemei un Brīvībai/LNNK,祖国と自由のために/ LNNK
Vidzemes Augstskola,ヴィドゼメ応用科学大学
rudzu maize,ライ麦パン
Latvijas Ceļš,ラトビアの道
Jelgavas pils,ミタウ城
Latvijas Nacionālais mākslas muzejs,ラトビア国立美術館
Latvijas—Krievijas miera līgums,ラトビア・ソビエト・リガ平和条約
Latvija 2009. gada Pasaules čempionātā vieglatlētikā,2009年世界陸上競技選手権大会ラトビア選手団
Latvijas Republikas Tieslietu ministrija,ラトビア司法省
Trolejbusu satiksme Rīgā,リガ・トロリーバス
HK Liepājas Metalurgs,HKリエパーヤス・メタルルグス
ISO 3166-2:LV,ISO 3166-2:LV
Fomins & Kleins,フォミンス&クレインス
Austrumeiropas platforma,東ヨーロッパ・クラトン
Skonto stadions,スコント・スタディオン
Latvijas Zemnieku savienība,ラトビア農民連合
Latvijas kino,ラトビアの映画
Nida,ニダ
Daugmales pilskalns,ダグマル城跡地
Latvijas Sociāldemokrātiskā Strādnieku partija,ラトビア社会民主労働者党
Nacionālā apvienība "Visu Latvijai!"—"Tēvzemei un Brīvībai/LNNK",国民連合
Rīgas HES,リガ水力発電所
FK Auda,FKアウダ
FK Rīga,FKリガ
Lielais Kristaps,ラトヴィア映画祭
Vispārējie latviešu Dziesmu un Deju svētki,ラトビア歌と踊りの祭典
hokejs Latvijā,Category:ラトビアのアイスホッケー
SmartLynx Airlines,スマートリンクス航空
Helsinki-86,ヘルシンキ86
Latvijas Republikas Zemessardze,ラトビア国家警備隊
Jersika,ゲルツィケ公国
Latvijas Nacionālās Neatkarības Kustība,ラトビア国家独立運動
Nepilsoņi,非国籍者（無国籍）
Rēzeknes novads,レーゼクネ
Latvijas Republikas Augstākā Padome,最高会議
Rītupe,ウトロヤ川
nāvessods Latvijā,ラトビアにおける死刑
Salaca,サラツァ川
Jelgavas novads,ヤルガワ
Ukri,ウクリ
Mikrofona aptauja,ミクロフォナ・アプタウヤ
Jēkabpils novads,ヤーカブピルス
FS METTA/Latvijas Universitāte,FKメッタ
Limbažu novads,リンバジ
Latvijas politika,ラトビアの政治
Jāņi,聖ヨハネ祭 (ラトビア)
Latvijas Militārā policija,ラトビア憲兵隊
Latvijas Dabas muzejs,ラトビア自然史博物館
Latvijas Nacionālais simfoniskais orķestris,ラトビア国立交響楽団
latviešu zīmju valoda,ラトビア手話
Latvijas Basketbola līga,ラトヴィア・バスケットボール・リーグ
Latvija 1992. gada Vasaras Olimpiskajās spēlēs,1992年バルセロナオリンピックのラトビア選手団
tramvaju satiksme Liepājā,リエパーヤ市電
Latvijas lidostas un lidlauki,ラトビアの空港の一覧
Latvijas Radio Amatieru Līga,ラトビアアマチュア無線連盟
Latvija,ラトヴィア
The Baltic Times,バルティック・タイムズ
Krāslavas novads,クラスラヴァ
Rugāju novads,ルガーイ
Latvija 2014. gada Ziemas Olimpiskajās spēlēs,2014年ソチオリンピックのラトビア選手団
Demokrātiskais Centrs,民主中央
Latvijas Republikas proklamēšanas diena,独立記念日 (ラトビア)
Dinaburgas pils,ディナブルク城
Doma laukums,大聖堂広場 (リガ)
Sports Latvijā,ラトビアのスポーツ
Ludza,ルジャ川
tramvaju satiksme Rīgā,リガ市電
biezpiena plācenīši,シルニキ
Jēkabpils SC,FKイェーカブピルス/JSC
Saeimas priekšsēdētājs,ラトビア国会議長
Aizkraukles kauja,アジクラウクレの戦い
Latvijas Zinātņu akadēmija,ラトビア科学アカデミー
Sece,セツェ
Mārsnēnu lidlauks,リエパス空軍基地
Latvijas hokeja līga,ラトヴィヤス・チャンピオナーター
BFC Daugavpils,BFCダウガフピルス
Daugavpils Lokomotīvju Remonta Rūpnīca,ダウガフピルス機関車修理工場
Latvijas Sarkanais Krusts,ラトヴィア赤十字
Latvijas Arhitektūras muzejs,ラトビア建築博物館
Latvijas Cilvēktiesību centrs,ラトビア人権センター
Lielborne,グロース・ボルン
Vērmanes dārzs,ヴァーメンズ公園
Latvijas Tautas fronte,ラトビア人民戦線
Latvijas volejbola izlase,バレーボールラトビア男子代表
Latvijas sieviešu basketbola izlase,バスケットボール女子ラトビア代表
Ventspils apriņķis,ヴィンダヴァ郡
Par Latvijas Republikas neatkarības atjaunošanu,ラトビア独立回復宣言
Pasažieru vilciens,パッサジエル・ヴィリシエン
Alekšupīte,アレクシュピーテ川
Latvijas Sporta pedagoģijas akadēmija,ラトビアスポーツ教育大学
Latvijas Republikas aizsardzības ministrs,ラトビアの国防大臣の一覧
Latvijas Cilvēktiesību komiteja,ラトビア人権委員会
Pededze,ペデジェ川
Tērvete,テールヴェテ
Vecpiebalgas novads,ヴェツピエバルガ
Latvijas politisko partiju uzskaitījums,ラトビアの政党
Nīcas novads,ニーツァ
Ciblas novads,ツィブラ
Smiltenes novads,スミルテネ
Durbes novads,ドゥルベ
Dzelzceļa līnija Ventspils—Maskava,モスクワ・ヴェンツピルス鉄道
Amatas novads,アマタ
Latvijas saimniecība,ラトビアの経済
Viļakas novads,ヴィリャカ
pasta indeksi Latvijā,ラトビアの郵便番号
Bauskas Svētā Gara evaņģēliski luteriskā baznīca,聖霊教会
Lielveikala "Maxima" sagrūšana Rīgā,スーパーマーケット屋根崩落事故
Jūrkalne,ピルスベルジ
Rīgas aplenkums (1812),リガ包囲戦 (1812年)
Pāvilostas novads,パーヴィルアスタ
Valkas novads,ヴァルカ
Vēlēšanas Baltijā (1940),人民サエイマ
Majori,マヨリ
Auces novads,アウツェ
Ventas rumba,ヴェンタ滝
Latvijas attīstībai,ラトビアの発展のために
Balvu novads,バルヴィ
Ilūkstes novads,イルークステ
Jersika,エリスカ
Cilvēktiesības Latvijā,ラトビアの人権
Birzgale,ビルズガレ
Bogdāni,ボグダーニ
Valsts robežsardze,ラトビア国境警備隊
Latvijas statistiskie reģioni,ラトビアの統計区域
Latvijas Studentu apvienība,ラトヴィア学生連盟
Rīgas elektromašīnbūves rūpnīca,リガ電動機製造工場
Staburags,スタブラグス
Jāņa Skredeļa stadions,アルカディア・スタジアム
reliģija Latvijā,ラトビアの宗教
Triānas Parks,トリアーナ・パーク
Dzelzceļa līnija Rīga — Orla,リガ・オリョール鉄道
Višķi,ヴィシュキ
Eiropas autoceļš E262,E262号線
Alsungas novads,アルスンガ
Cēsu novads,ツェースィス
Tirza,ティルザ川
Vagonu parks,ヴァクアヌパークス駅
Viļānu novads,ヴィリャーニ
Beverīnas novads,ベヴェリーナ
Babītes novads,バビーテ
Baldones novads,バルドゥアネ
Parex banka,パレックス・バンカ
Vaiņodes lidlauks,ヴァイニョデ空軍基地
Ķeguma novads,ケグムス
Latvijas Sauszemes spēki,ラトビア陸軍
Kandavas novads,カンダヴァ
Vidzemes bruņniecības nams,リヴォニア騎士団の大豪邸
Atmoda,心からラトビアに
Ventspils Starptautiskais radioastronomijas centrs,ヴェンツピルス国際電波天文学センター
Valmiera FC,ヴァルミエラFC
Lejasciems,レヤシエムス
Jaunpils novads,ヤウンピルス
Lubānas novads,ルバーナ
Sakalas augstiene,サカラ台地
FK Spartaks Jūrmala,FKスパルタクス・ユールマラ
Viesītes novads,ヴィエスィーテ
Aglonas novads,アグルァナ
Latvijas Jaunsaimnieku un sīkgruntnieku partija,ラトビア新農民・小地主党
Rucavas novads,ルツァヴァ
Rundāles novads,ルンダーレ
Raunas novads,ラウナ
FK Liepāja,FKリエパーヤ
Sēlpils pagasts,セルピルス郷
Slokas stadions,スロカス・スタディウム
Ērgļu novads,エールグリ
Burtnieku novads,ブルトニエキ
Rīgas Motormuzejs,リガ自動車博物館
Neretas novads,ネレタ
Riebiņu novads,リエビニ
Eleja,エレヤ
Latvijas Čempionāts daiļslidošanā,ラトビアフィギュアスケート選手権
Holokausts Latvijā,ラトビアにおけるホロコースト
Saskaņa,社会民主党「調和
Garkalnes novads,ガルカルネ
Ziestu kalns,ジエストゥ・カルンス
FK Tukums 2000,FKトゥクムス2000
Salacgrīvas novads,サラツグリーヴァ
Inčukalna novads,インチュカルンス
Vitrupe,ヴィトル川
Madonas novads,マドゥアナ
Ādažu lidlauks,アーダジ飛行場
Aizkraukle,アイツクラウクレ駅
Rīgas Ļeņina muzejs,レーニン博物館
Latvijas—Polijas robeža,ラトビアとポーランドの国境
Latvijas robežas,ラトビアの国境
Pārgaujas novads,パールガウヤ
Kocēnu novads,クアツェーニ
Laima,レイマ
Rīgas satiksme,リガ交通局
Mazsalacas novads,マッサラツァ
Salaspils novads,サラスピルス
Ķekavas novads,キェカワ
Tērvetes novads,テールヴェテ
Dundagas novads,ドゥンダガ
Preiļu novads,プレイリ
Jaunpiebalgas novads,ヤウンピエバルガ
Grobiņas novads,グルアビナニャ
Ogres novads,ウアグレ
Reverta,パレックス銀行
Skrundas novads,スクルンダ
Siguldas novads,スィグルダ
Talsu novads,タルスィ
Apšupe,アプスペ駅
Vecumnieku novads,ヴェツムニエキ
Sējas novads,セーヤ
Engures novads,エングレ
FK VEF Rīga,FK VEFリガ
Saldus novads,サルドゥス
Rūjienas novads,ルーイエナ
Rīgas Sporta pils,リガ・スポーツ宮殿
Mārupes novads,マールペ
Krustpils novads,クルストピルス
Līvānu novads,リーヴァーニ
Skrīveru novads,スクリーヴェリ
Kremerata Baltica,クレメラータ・バルティカ
Stopiņu novads,ストゥアピニ
Rīgas FS,リーガスFS
Rojas novads,ルアヤ
Krimuldas novads,クリムルダ
īpaši aizsargājamās dabas teritorijas,特別に保護された自然地域
Lielā Mūzikas balva,ラトビア音楽大賞
Latvijas Republikas Kultūras ministrija,文化省 (ラトヴィア)
Strenču novads,ストレンチ
Priekuļu novads,プリエクリ
Latvijas Reģionu apvienība,ラトビア地域連盟
Sabiedriskais transports Daugavpilī,ダウガフピルス交通
12. Saeimas vēlēšanas,2014年10月4日の選挙
Cesvaines novads,ツェスヴァイネ
Valsts valodas centrs,ラトビア国立言語センター
Jaunā konservatīvā partija,新保守党
Dagdas novads,ダグダ
Latvijas mākslas vēsture,ラトビアの芸術の歴史
Priekules novads,プリエクレ
Mālpils novads,マールピルス
Latvijas demogrāfija,ラトヴィアの人口統計
Aizputes apriņķis,ハーゼンポート県
Svētupe,スヴェート川
skrajciems,ラトヴィアの散居村
Latvijas klimats,ラトビアの気候
Latvijas Sabiedriskais medijs,ラトビア公共放送
Apes novads,アペ
FK Ogre,FKオグレ
Olaines novads,ウアライネ
Spilves lidosta,スピルヴェ空港
Ozolnieku novads,ウアズアルニエキ
Jaunais Vilnis,ニュー・ウェイヴ (音楽祭)
Ikšķiles novads,イクシュキレ
Latvijas apriņķis,ラトビアの郡
2015. gada Eiropas čempionāts basketbolā,ユーロバスケット2015
Baltinavas novads,バルティナヴァ
Kuldīgas novads,クルディーガ
Iecavas novads,ラカヴァ
Celtnieks,チェルトニーク・スタジアム
Latvija 1924. gada Vasaras Olimpiskajās spēlēs,1924年パリオリンピックのラトビア選手団
Latvijas Republikas Iekšlietu ministrija,ラトビア内務省
Kārsavas novads,カールサヴァ
Ratnieki,ラトニエキ
Turlava,トゥルラヴァ
Carnikavas novads,ツァルニカヴァ
Terra Mariana,テッラ・マリアナ
Vidzeme,ヴィドゼメ
Nacionālā enciklopēdija,ラトビア国家百科事典
Latvija 2016. gada Vasaras Olimpiskajās spēlēs,2016年リオデジャネイロオリンピックのラトビア選手団
Riga FC,リガFC
Bauskas novads,バウスカ
Daugavpils lidosta,ダウガフピルス国際空港
Latvija 2000. gada Vasaras Olimpiskajās spēlēs,2000年シドニーオリンピックのラトビア選手団
mūzika Latvijā,ラトビア音楽
Kaķu nams,猫の家
Mērsraga novads,メールスラグス
Sventāja,シュバントイ川
Latvija 2012. gada Ziemas Jaunatnes Olimpiskajās spēlēs,2012年インスブルックユースオリンピックのラトビア選手団
Latvija 1932. gada Vasaras Olimpiskajās spēlēs,1932年ロサンゼルスオリンピックのラトビア選手団
Latvijas rublis,ラトビア・ルーブル
Salas novads,サラ
latgalieši,ラトガリア人
Daugavpils apriņķis,ドヴィンスク郡
Zaķusala,ザチュサラ島
Latviskā dzīvesziņa,ラトビア神道
HS Rīga,HSリガ
Seces pagasts,セツェ教区
Zaubes pagasts,ザウベ教区
Latvijas Mākslas akadēmija,ラトヴィア美術アカデミー
Aizputes novads,アイズプテ
Latvijas Jūras spēki,ラトビア海軍
vietējas nozīmes arhitektūras piemineklis,ラトビアの重要文化財
Latvijas—Lietuvas robeža,ラトビアとリトアニアの国境
Ventspils,ヴェンツピルス・オリンピスカイス・スタディオンス
islāms Latvijā,ラトビアのイスラム教
Koknese,クケイノス公国
Iskolats,イスコラト
Jāzepa Vītola Latvijas Mūzikas akadēmija,ラトビア音楽アカデミー
Piemineklis Padomju Latvijas un Rīgas atbrīvotājiem no vācu fašistiskajiem iebrucējiem,戦勝記念碑
FK Venta,ヴェンタ
ciems Latvijā,ラトヴィアの村
Latvijas—Krievijas robeža,ラトビアとロシアの国境
Latvijas U-21 futbola izlase,U-21サッカーラトビア代表
Olimpija Rīga,オリンピア・リガ
valsts nozīmes aizsargājamais kultūras piemineklis,ラトビア国定重要文化財
Ķeguma HES,ケグムス水力発電所
Rīgas Pasažieru stacija,リガ中央駅
Augšdaugavas NSS,イルクステスNSS
13. Saeimas vēlēšanas,2018年ラトビア総選挙
Latvijas Etnogrāfiskais brīvdabas muzejs,ラトビア野外民俗博物館
Krievvalodīgie,ロシア語圏
Valsts drošības dienests,ラトビア国家安全保障局
Ziemeļu purvi,ジェメリュ・プルヴィ
Daugavas stadions,ダウガヴァ・スタジアム
Rīgas Zooloģiskais dārzs,リガ動物園
Jēkabpils lidlauks,イェーカブピルス空軍基地
Jelgavas lidlauks,イェルガヴァ空軍基地
Latvijas kultūra,ラトビアの文化
Latvijas—Igaunijas robeža,エストニア・ラトビア国境
Leģionāru piemiņas diena,ラトビア軍団記念日
Eiropas autoceļš E264,E264号線
BK Liepājas Lauvas,リエパーヤ・ラウヴァス
Svētā Jura baznīca,聖ゲオルギ教会
Ventspils lidosta,ヴェンツピルス国際空港
Lielvārdes lidlauks,リェルヴァーデ空軍基地
Jaunjelgavas novads,ヤウンヤルガワ
Baltijas ceļa velobrauciens,バルチック・チェーン・ツアー
Alūksnes novads,アルークスネ
Latvijas plānošanas reģioni,ラトビアの開発区域
Ādažu novads,アーダジ
Lielie kapi,グレート墓地
Lībiešu krasts,リヴォニア海岸
Alojas novads,アロヤ
jūgendstils Rīgā,リガのアール・ヌーヴォー建築
Baltic Bees,バルティック・ビーズ・ジェットチーム
Irbene,イルベネ
Zilupes novads,ジルペ
Latvijas Republikas Aizsardzības ministrija,国防省
Delna,デルナ
Pierīgas statistiskais reģions,ピエリガ
2019. gada Eiropas čempionāts basketbolā sievietēm,2019年バスケットボール女子欧州選手権
Par cilvēcīgu Latviju,国家はだれのものか?
NATO Stratēģiskās komunikācijas izcilības centrs,NATO戦略的コミュニケーション能力向上センター
biosfēras rezervāts,生物圏保護区
All Media Latvia,TV3グループ
Latvija 2018. gada ziemas olimpiskajās spēlēs,2018年平昌オリンピックのラトビア選手団
plašsaziņas līdzekļi Latvijā,ラトビアのメディア
Latvija 2022. gada ziemas olimpiskajās spēlēs,2022年北京オリンピックのラトビア選手団
Latvija 2020. gada vasaras olimpiskajās spēlēs,2020年東京オリンピックのラトビア選手団
Progresīvie,進歩
Kustība Par!,For!運動
