Massachusetts,매사추세츠주
Rainbow (rock band),레인보우 (밴드)
The New York Times,뉴욕 타임스
Atlanta,애틀랜타
"Caldwell County, Texas",콜드웰군 (텍사스주)
Cherrytree Records,체리트리 레코드
Flag of South Carolina,사우스캐롤라이나주의 기
Roadrunner Records,로드러너 레코드
"Roxbury, Boston",록스버리 (보스턴)
2012 Oikos University shooting,오이코스 대학교 총기 난사 사건
"Liberty County, Texas",리버티군 (텍사스주)
"Weber County, Utah",웨버군 (유타주)
1960 Winter Olympics,1960년 동계 올림픽
"Independence, Missouri",인디펜던스 (미주리주)
IBM Watson,왓슨 (컴퓨터)
Adobe Inc.,어도비 (기업)
Wall Street,월가
Sun Microsystems,썬 마이크로시스템즈
Waymo,웨이모
"Austin, Texas",오스틴 (텍사스주)
AND1,AND1
"Rich County, Utah",리치군 (유타주)
"Sabine County, Texas",사빈군 (텍사스주)
"Lincoln, Nebraska",링컨 (네브래스카주)
"Las Cruces, New Mexico",라스크루시스
Rolling Stone,롤링 스톤
"Saint Paul, Minnesota",세인트폴 (미네소타주)
"Annapolis, Maryland",아나폴리스 (메릴랜드주)
"Barnes County, North Dakota",반스군
"Benson County, North Dakota",벤슨군
"Brazoria County, Texas",브라조리아군
"Lee County, Texas",리군 (텍사스주)
"Falls County, Texas",폴스군
Chevrolet,쉐보레
Larry O'Brien Championship Trophy,래리 오브라이언 챔피언십 트로피
"San Juan, Puerto Rico",산후안 (푸에르토리코)
"Springfield, Ohio",스프링필드 (오하이오주)
"Salem, Oregon",세일럼 (오리건주)
2008 United States presidential election,2008년 미국 대통령 선거
"Litchfield County, Connecticut",리치필드군
"Middlesex County, Connecticut",미들섹스군 (코네티컷주)
"Norfolk County, Massachusetts",노퍽군 (매사추세츠주)
DLNA,DLNA
"Brookline, Massachusetts",브루클라인 (매사추세츠주)
"Lowell, Massachusetts",로웰 (매사추세츠주)
"Durham, North Carolina",더럼 (노스캐롤라이나주)
Rhode Island School of Design,로드아일랜드 스쿨 오브 디자인
"Clay County, Texas",클레이군 (텍사스주)
"Hardin County, Texas",하딘군 (텍사스주)
"Castro County, Texas",카스트로군
"Clay County, Illinois",클레이군 (일리노이주)
Park Avenue,파크가
"New London County, Connecticut",뉴런던군
"Sullivan County, New Hampshire",설리번군 (뉴햄프셔주)
La Coka Nostra,라 코카 노스트라
1994 FIFA World Cup,1994년 FIFA 월드컵
"Kern County, California",컨군
"Cherokee County, Alabama",체로키군 (앨라배마주)
"Dover, Delaware",도버 (델라웨어주)
"Roswell, New Mexico",로즈웰 (뉴멕시코주)
Alphabet murders,알파벳 살인 사건
"Santa Fe, New Mexico",산타페 (뉴멕시코주)
Monday Night War,먼데이 나이트 워스
DeviantArt,디비언트아트
Chicago Tribune,시카고 트리뷴
United States Electoral College,미국 선거인단
Boston College,보스턴 칼리지
"Logan County, North Dakota",로건군 (노스다코타주)
"Sioux County, North Dakota",수군 (노스다코타주)
ARCO Arena,아코 아레나
Interstate 39,주간고속도로 제39호선
Interstate 43,주간고속도로 제43호선
Interstate 66,주간고속도로 제66호선
Interstate 72,주간고속도로 제72호선
Interstate 79,주간고속도로 제79호선
"Alameda County, California",앨러미다군
Interstate 84 (Pennsylvania–Massachusetts),주간고속도로 제84호선 (펜실베이니아주-매사추세츠주)
"Waukesha, Wisconsin",워키쇼
"San Bernardino County, California",샌버너디노군
Apollo 10,아폴로 10호
Monument Valley,모뉴먼트밸리
"Boulder, Colorado",볼더 (콜로라도주)
DreamWorks Pictures,드림웍스
Molokai,몰로카이섬
"Brown County, Texas",브라운군 (텍사스주)
"Gray County, Texas",그레이군 (텍사스주)
"Chesapeake, Virginia",체서피크 (버지니아주)
"Woburn, Massachusetts",워번 (매사추세츠주)
"Big Horn County, Montana",빅혼군 (몬태나주)
"Inyo County, California",인요군
"Windham County, Connecticut",윈덤군 (코네티컷주)
"Yavapai County, Arizona",야바파이군
"Brown County, Illinois",브라운군 (일리노이주)
"Zavala County, Texas",사발라군
"Springfield, Missouri",스프링필드 (미주리주)
MLS Cup 2012,MLS컵 2012
"Pinal County, Arizona",파이날군
"Sevier County, Arkansas",세비에군 (아칸소주)
"Sharp County, Arkansas",샤프군
Democratic Socialists of America,미국 민주사회주의자들
Denver Nuggets,덴버 너기츠
Academy Award for Best Original Song,아카데미 주제가상
"Clinton County, Iowa",클린턴군 (아이오와주)
Anaheim Street station,애너하임 스트리트역
Engadget,엔가젯
"Little Italy, Manhattan",리틀이털리 (맨해튼)
Nineteenth Amendment to the United States Constitution,미국 수정 헌법 제19조
United States Army North,미국 북부 육군
"Berrien County, Michigan",베리언군 (미시간주)
"Lenawee County, Michigan",레나위군
Nationwide Arena,네이션와이드 아레나
Greenwich Village,그리니치빌리지
2nd Infantry Division (United States),제2보병사단 (미국)
Project Gemini,제미니 계획
Blue Dog Coalition,청견연합
IPad (3rd generation),아이패드 (3세대)
"Zanesville, Ohio",제인즈빌 (오하이오주)
Boston Bruins,보스턴 브루인스
Goldman Sachs,골드만삭스
Alaska Peninsula,알래스카반도
"Cross County, Arkansas",크로스군
"Benton County, Washington",벤턴군 (워싱턴주)
"Butler County, Nebraska",버틀러군 (네브래스카주)
"Decatur County, Iowa",디케이터군 (아이오와주)
"Mississippi County, Arkansas",미시시피군 (아칸소주)
"Pike County, Arkansas",파이크군 (아칸소주)
"Washington County, Arkansas",워싱턴군 (아칸소주)
Grant Park (Chicago),그랜트 파크 (시카고)
"Santa Barbara, California",샌타바버라 (캘리포니아주)
"Independence County, Arkansas",인디펜던스군
"Randolph County, Arkansas",랜돌프군 (아칸소주)
"Beltrami County, Minnesota",벨트라미군
"Cass County, Illinois",캐스군 (일리노이주)
"Churchill County, Nevada",처칠군 (네바다주)
Metropolitan Museum of Art,메트로폴리탄 미술관
"Boone County, Iowa",분군 (아이오와주)
"Calhoun County, Illinois",캘훈군 (일리노이주)
"Charleston, South Carolina",찰스턴 (사우스캐롤라이나주)
"Foster County, North Dakota",포스터군
"San Diego County, California",샌디에고군
"Solano County, California",솔라노군
"Camden, New Jersey",캠던 (뉴저지주)
Playboy,플레이보이
Unified combatant command,통합전투사령부
Petroglyph National Monument,페트로글리프 국립 기념물
Wounded Knee Massacre,운디드니 학살
"Portland, Maine",포틀랜드 (메인주)
Texas A%26M University,텍사스 A%26M 대학교
University of Texas at Austin,텍사스 대학교 오스틴
"Adams County, Mississippi",애덤스군 (미시시피주)
"Burleson County, Texas",벌레슨군
"Butler County, Alabama",버틀러군 (앨라배마주)
"Allegheny County, Pennsylvania",앨러게니군
Iridium Communications,이리듐 커뮤니케이션스
Billboard 200,빌보드 200
"Bessemer, Alabama",베서머 (앨라배마주)
"Sanilac County, Michigan",새닐락군
"Selma, Alabama",셀마 (앨라배마주)
"Wasilla, Alaska",와실라
"Garza County, Texas",가르사군
"Knox County, Texas",녹스군 (텍사스주)
"Dickinson County, Iowa",디킨슨군 (아이오와주)
"Lucas County, Ohio",루카스군 (오하이오주)
"Lipscomb County, Texas",립스콤군
"Reeves County, Texas",리브스군
"Dixon, Illinois",딕슨 (일리노이주)
"Lampasas County, Texas",람파사스군
"Delaware County, Iowa",델라웨어군 (아이오와주)
Federal Reserve Bank of New York,뉴욕 연방준비은행
GRAIL,그레일
Grand Canyon,그랜드 캐니언
"Denton, Texas",덴턴 (텍사스주)
E (New York City Subway service),뉴욕 지하철 E선
Lincoln Tunnel,링컨 터널
Long Island Rail Road,롱아일랜드 철도
2012 Chicago summit,2012년 시카고 회담
"Whittier, Alaska",휘티어 (알래스카주)
Interstate 19,주간고속도로 제19호선
Interstate 25,주간고속도로 제25호선
Philadelphia 76ers,필라델피아 세븐티식서스
Creative Commons,크리에이티브 커먼즈
"Jack County, Texas",잭군
"Mitchell County, Texas",미첼군 (텍사스주)
First Battle of Bull Run,제1차 불런 전투
"Allen Parish, Louisiana",앨런군 (루이지애나주)
Find a Grave,파인드 어 그레이브
Foot Locker,풋 로커
American Broadcasting Company,ABC (미국의 방송사)
Awolnation,에이월네이션
"Forkland, Alabama",포크랜드 (앨라배마주)
"Toxey, Alabama",톡시
Bobsleigh at the 2002 Winter Olympics,2002년 동계 올림픽 봅슬레이
"Henry County, Iowa",헨리군 (아이오와주)
1876 United States presidential election,1876년 미국 대통령 선거
"Midland County, Michigan",미들랜드군 (미시간주)
"Roanoke, Alabama",로어노크 (앨라배마주)
"Boone County, Kentucky",분군 (켄터키주)
"Otsego County, New York",옷세고군 (뉴욕주)
Perkins School for the Blind,퍼킨스 시각장애인 학교
"Scottsboro, Alabama",스코츠버러 (앨라배마주)
"Searcy, Arkansas",서시 (아칸소주)
"Essex County, New York",에식스군 (뉴욕주)
"Oneida County, New York",오나이다군 (뉴욕주)
American International Group,아메리칸 인터내셔널 그룹
"Bellevue, Washington",벨뷰 (워싱턴주)
"Chippewa County, Wisconsin",치페와군 (위스콘신주)
"Kiowa County, Colorado",카이오와군 (콜로라도주)
Minor League Baseball,마이너 리그 베이스볼
"Morgan County, Alabama",모건군 (앨라배마주)
"Abilene, Texas",애빌린 (텍사스주)
Federal Communications Commission,연방 통신 위원회
Hollywood/Western station,할리우드/웨스턴역
Philadelphia Flyers,필라델피아 플라이어스
Nashville Predators,내슈빌 프레더터스
"Eugene, Oregon",유진 (오리건주)
Washington Wizards,워싱턴 위저즈
Abkhazians,압하지야인
North American Plate,북아메리카판
The Seattle Times,시애틀 타임스
"Walla Walla, Washington",왈라왈라
History of the United States,미국의 역사
Willamette River,윌래밋강
Green Bay Packers,그린베이 패커스
Lethal injection,독살형
"Buchanan County, Iowa",뷰캐넌군 (아이오와주)
"Fulton County, New York",풀턴군 (뉴욕주)
"Seward, Alaska",슈어드
"Sitka, Alaska",싯카
2007 Major League Baseball season,2007년 메이저 리그 베이스볼 시즌
Association for Computing Machinery,ACM
Distributed.net,Distributed.net
"Franklin County, Mississippi",프랭클린군 (미시시피주)
Honolulu Museum of Art,호놀룰루 미술관
"Adair County, Kentucky",아데어군 (켄터키주)
Cisco,시스코 시스템즈
Subway Series,서브웨이 시리즈
"Eagle County, Colorado",이글군
"Kendall County, Texas",켄들군 (텍사스주)
"Thousand Oaks, California",사우전드오크스
"Vallejo, California",발레이오
TLC (TV network),TLC (텔레비전 네트워크)
Dow Jones Industrial Average,다우 존스 산업평균지수
Emmy Awards,에미상
"St. Helena, California",세인트헬레나 (캘리포니아주)
"Sunnyvale, California",서니베일
"Knoxville, Tennessee",녹스빌
17th Screen Actors Guild Awards,제17회 미국 배우 조합상
"Cambridge, Ohio",케임브리지 (오하이오주)
Canoga station,카노가역
Tutuila,투투일라섬
Oahu,오아후섬
Internet Engineering Task Force,국제 인터넷 표준화 기구
Hotel Chelsea,호텔 첼시
Internet Assigned Numbers Authority,IANA
7th Cavalry Regiment,제7기병연대 (미국)
"Burlington County, New Jersey",벌링턴군
Rusyns,루신인
Green Line (MBTA),그린 라인 (MBTA)
National Postal Museum,국립우편박물관
Ashmont–Mattapan High-Speed Line,애슈몬트-매터팬 고속선
Atlanta Thrashers,애틀랜타 스래셔스
Yugoslavs,유고슬라브인
Zuccotti Park,주코티 공원
1st Armored Division (United States),제1기갑사단 (미국)
"Columbia County, Washington",컬럼비아군 (워싱턴주)
Great Salt Lake,그레이트솔트호
Funimation,퍼니메이션
"Imperial County, California",임페리얼군
Joe Louis Arena,조 루이스 아레나
"Doniphan County, Kansas",도니판군
New Hollywood,뉴 할리우드
"Republic County, Kansas",리퍼블릭군
"Marion County, Illinois",매리언군 (일리노이주)
Nevada statistical areas,네바다주의 통계 지구
324th Infantry Regiment (United States),제324보병연대 (미국)
57th Academy Awards,제57회 아카데미상
Ogallala Aquifer,오갈랄라 대수층
Legends Field,커뮤니티아메리카 볼파크
"Gary, Indiana",게리 (인디애나주)
Getty Villa,게티 빌라
Guam national football team,괌 축구 국가대표팀
"Mountrail County, North Dakota",마운트레일군
Eleventh Amendment to the United States Constitution,미국 수정 헌법 제11조
Microsoft Bing,마이크로소프트 빙
Thirteenth Amendment to the United States Constitution,미국 수정 헌법 제13조
Bay of Fundy,펀디만
"Passaic, New Jersey",퍼세이익
"Forks, Washington",포크스
Kansas City Chiefs,캔자스시티 치프스
Columbia Pictures,컬럼비아 픽처스
"McKenzie County, North Dakota",맥켄지군
World's Columbian Exposition,1893년 만국 박람회
"Wright County, Missouri",라이트군 (미주리주)
Communist Party USA,미국 공산당
"Lincoln County, Oregon",링컨군 (오리건주)
"Spokane, Washington",스포캔
"Delta County, Colorado",델타군 (콜로라도주)
"Park County, Colorado",파크군 (콜로라도주)
ABBYY,ABBYY
"Montezuma County, Colorado",몬테주마군
Morbid Angel,모비드 엔젤
SpaceX,스페이스X
Zend (company),젠드 테크놀로지스
Mojave Desert,모하비 사막
"Van Buren County, Iowa",밴뷰런군 (아이오와주)
Madison Square Garden,매디슨 스퀘어 가든
Camping World Stadium,캠핑 월드 스타디움
Challenger Center for Space Science Education,챌린저 러닝 센터
Id Software,이드 소프트웨어
Wilshire/Normandie station,윌셔/노먼디역
"Morgan County, Colorado",모건군 (콜로라도주)
Academy of Country Music,아카데미 오브 컨트리 뮤직
"James City County, Virginia",제임스시티군
Haymarket affair,헤이마켓 사건
Los Angeles Police Department,로스앤젤레스 경찰국
Twenty-sixth Amendment to the United States Constitution,미국 수정 헌법 제26조
Nickel (United States coin),미국 5센트 주화
Third Amendment to the United States Constitution,미국 수정 헌법 제3조
Accolade (company),애컬레이드 (기업)
"Caroline County, Virginia",캐럴라인군 (버지니아주)
"Isle of Wight County, Virginia",아일오브와이트군
Arthur M. Sackler Gallery,아서 M. 새클러 갤러리
SanDisk,샌디스크
United States presidential inauguration,미국 대통령 취임식
"Calaveras County, California",캘러베러스군
"Harlan County, Kentucky",할런군 (켄터키주)
"Henry County, Kentucky",헨리군 (켄터키주)
"Cherokee County, North Carolina",체로키군 (노스캐롤라이나주)
"Hancock County, Iowa",핸콕군 (아이오와주)
Imgur,Imgur
"Goldsboro, North Carolina",골즈버러 (노스캐롤라이나주)
"Hopkins County, Kentucky",홉킨스군 (켄터키주)
"Pierce County, Wisconsin",피어스군 (위스콘신주)
"Putnam County, West Virginia",퍼트넘군 (웨스트버지니아주)
Carlsbad Caverns National Park,칼즈배드 동굴 국립공원
Iran–Contra affair,이란-콘트라 사건
"Clermont County, Ohio",클러몬트군
"Plymouth County, Iowa",플리머스군 (아이오와주)
2011 US Open (tennis),2011년 US 오픈 (테니스)
CA (journal),CA (학술지)
Crater Lake,크레이터호
Berklee College of Music,버클리 음악 대학
Boston City Hall,보스턴 시청사
Subway (restaurant),써브웨이
"Trumbull County, Ohio",트럼불군
Fort Niagara,나이아가라 요새
AirTran Airways,에어트랜
American Airlines Center,아메리칸 에어라인스 센터
Adaptec,아답텍
Adirondack Mountains,애디론댁산맥
"Portsmouth, Virginia",포츠머스 (버지니아주)
"Columbiana County, Ohio",컬럼비아나군
"Wayne County, Ohio",웨인군 (오하이오주)
Very Large Array,장기선 간섭계
29th Golden Raspberry Awards,제29회 골든 래즈베리상
AT%26T Mobility,AT%26T 모빌리티
Chicago Fire FC,시카고 파이어 FC
"Washington County, Indiana",워싱턴군 (인디애나주)
Anti-Federalism,반연방주의
Ethan Allen Express,이선 앨런 익스프레스
Shawnee,쇼니족
Waco siege,웨이코 포위전
American Association (1882–1891),아메리칸 어소시에이션 (19세기)
American Football League,아메리칸 풋볼 리그
United States v. The Amistad,아미스타드 선상반란
Cheetos,치토스
"Texas County, Missouri",텍사스군 (미주리주)
"Polk County, Georgia",포크군 (조지아주)
"Pulaski County, Georgia",펄래스키군 (조지아주)
"Marion County, Iowa",매리언군 (아이오와주)
"Montgomery County, Ohio",몽고메리군 (오하이오주)
"Murray, Utah",머리 (유타주)
"Livingston County, New York",리빙스턴군 (뉴욕주)
"Mitchell County, Iowa",미첼군 (아이오와주)
"Forest County, Wisconsin",포레스트군 (위스콘신주)
"Hunterdon County, New Jersey",헌터든군
American Football Conference,아메리칸 풋볼 콘퍼런스
Jewish Defense League,유대방위연맹
Ontario Reign,온타리오 레인
"Clark County, Kentucky",클라크군 (켄터키주)
Crips,크립스
"Pope County, Minnesota",포프군 (미네소타주)
"Marshall County, Oklahoma",마셜군 (오클라호마주)
"Monroe County, Illinois",먼로군 (일리노이주)
Liberty Island,리버티섬
Northrop Grumman,노스롭그루먼
"Westfield, New Jersey",웨스트필드 (뉴저지주)
Douglas A-4 Skyhawk,더글러스 A-4 스카이호크
"Medina County, Ohio",머디나군 (오하이오주)
"Bienville Parish, Louisiana",비엔빌군
"Morgan County, Ohio",모건군 (오하이오주)
"Richardson County, Nebraska",리처드슨군
"Ripley County, Missouri",리플리군 (미주리주)
"Pierce County, Georgia",피어스군 (조지아주)
"Pomona, California",포모나 (캘리포니아주)
2010 United States census,2010년 미국 인구 조사
"Craven County, North Carolina",크레이븐군
"Prosser, Washington",프로서 (워싱턴주)
"Franklin Parish, Louisiana",프랭클린군 (루이지애나주)
"Fulton County, Indiana",풀턴군 (인디애나주)
"Meigs County, Ohio",메이그스군 (오하이오주)
"Moniteau County, Missouri",모니토군
Atlanta Motor Speedway,애틀랜타 모터 스피드웨이
Boeing Rotorcraft Systems,보잉 로터크래프트 시스템
"Sheridan County, Kansas",셰리든군 (캔자스주)
Worcester IceCats,우스터 아이스캐츠
World Wide Technology Soccer Park,월드 와일드 테크놀로지 사커 파크
"Caribou County, Idaho",카리부군
"Hawaii County, Hawaii",하와이군
Qualcomm,퀄컴
Skeleton at the 2002 Winter Olympics,2002년 동계 올림픽 스켈레톤
Southern Christian Leadership Conference,남부기독교지도회의
"Scott County, Kansas",스콧군 (캔자스주)
"Stafford County, Kansas",스태퍼드군 (캔자스주)
"Lincoln County, Minnesota",링컨군 (미네소타주)
"Morgan County, Illinois",모건군 (일리노이주)
Product Red,(PRODUCT)RED
"Clay County, Florida",클레이군 (플로리다주)
"Crenshaw County, Alabama",크렌쇼군
"Clay County, South Dakota",클레이군 (사우스다코타주)
"Cocke County, Tennessee",코크군 (테네시주)
"Keith County, Nebraska",키스군
"Franklin County, Indiana",프랭클린군 (인디애나주)
"Howard County, Indiana",하워드군 (인디애나주)
"Pasquotank County, North Carolina",패스쿼탱크군
"Hudson County, New Jersey",허드슨군
"Tallahatchie County, Mississippi",탤러해차이군
"Huntington County, Indiana",헌팅턴군
"Palisades Park, New Jersey",팰리세이즈파크
DIC Entertainment,DIC 엔터테인먼트
"Franklin County, Vermont",프랭클린군 (버몬트주)
"Patrick County, Virginia",패트릭군
"Carroll County, Missouri",캐럴군 (미주리주)
"Franklin County, Kentucky",프랭클린군 (켄터키주)
Haleakalā,할레아칼라산
Funnel cake,깔때기빵
United States Army Airborne School,공수학교
"Allen County, Kansas",앨런군 (캔자스주)
"Butler County, Kansas",버틀러군 (캔자스주)
"Clark County, Kansas",클라크군 (캔자스주)
"Lee County, Mississippi",리군 (미시시피주)
"Madison County, Idaho",매디슨군 (아이다호주)
"Meagher County, Montana",마르군
"Culver City, California",컬버시티
"Ferry County, Washington",페리군 (워싱턴주)
"Crawford County, Pennsylvania",크로퍼드군 (펜실베이니아주)
"Cumberland County, Pennsylvania",컴벌랜드군 (펜실베이니아주)
"Carson, California",카슨 (캘리포니아주)
"Kent County, Maryland",켄트군 (메릴랜드주)
"Fullerton, California",풀러턴 (캘리포니아주)
"Pickett County, Tennessee",피케트군
"Campbell County, Tennessee",캠벨군 (테네시주)
"Cannon County, Tennessee",캐넌군
"Trempealeau County, Wisconsin",트렘필로군
"Clark County, Wisconsin",클라크군 (위스콘신주)
"Franklin County, Tennessee",프랭클린군 (테네시주)
"Hancock County, Tennessee",핸콕군 (테네시주)
"Henderson County, Tennessee",헨더슨군 (테네시주)
"Turner County, South Dakota",터너군 (사우스다코타주)
78th Academy Awards,제78회 아카데미상
"Joplin, Missouri",조플린 (미주리주)
"Edwards County, Kansas",에드워즈군 (캔자스주)
"Stanton County, Kansas",스탠턴군 (캔자스주)
"McIntosh County, Georgia",매킨토시군 (조지아주)
"Moore County, Tennessee",무어군 (테네시주)
"Marshall County, Tennessee",마셜군 (테네시주)
"Richmond, California",리치먼드 (캘리포니아주)
"Platte County, Nebraska",플랫군 (네브래스카주)
"Polk County, Nebraska",포크군 (네브래스카주)
"Beaver County, Oklahoma",비버군 (오클라호마주)
"Cheyenne County, Nebraska",샤이엔군 (네브래스카주)
Holland Christian High School,홀랜드 크리스천 고등학교
"Pawnee County, Kansas",포니군 (캔자스주)
Treyarch,트레이아크
Wheeling Nailers,휠링 네일러스
"Camden County, New Jersey",캠던군 (뉴저지주)
"Furnas County, Nebraska",퍼나스군
"McClain County, Oklahoma",맥클레인군
"Merrick County, Nebraska",메릭군
"Musselshell County, Montana",머설셸군
"Pickaway County, Ohio",피커웨이군
"White County, Georgia",화이트군 (조지아주)
Billboard Music Awards,빌보드 뮤직 어워드
1822–23 United States Senate elections,1822년 미국 상원의원 선거
Telugu people,텔루구인
Columbus Crew,콜럼버스 크루
OpenVMS,OpenVMS
"Scioto County, Ohio",사이오터군
"Scott County, Mississippi",스콧군 (미시시피주)
"Story County, Iowa",스토리군 (아이오와주)
"Jackson County, Kansas",잭슨군 (캔자스주)
"Solana Beach, California",솔라나비치
1818–19 United States House of Representatives elections,1818년 미국 하원의원 선거
"Piedmont, California",피드몬트 (캘리포니아주)
United States at the 2004 Summer Olympics,2004년 하계 올림픽 미국 선수단
Voluntary Human Extinction Movement,자발적 인류절멸 운동
14th Golden Raspberry Awards,제14회 골든 래즈베리상
"Aberdeen, North Carolina",애버딘 (노스캐롤라이나주)
"Cheshire, Massachusetts",체셔 (매사추세츠주)
"Elma, Washington",엘마 (워싱턴주)
"Cherokee County, South Carolina",체로키군 (사우스캐롤라이나주)
"Inglewood, California",잉글우드 (캘리포니아주)
Air University (United States Air Force),공군대학교 (미국)
U.S. Route 12,국도 제12호선 (미국)
U.S. Route 40,국도 제40호선 (미국)
U.S. Route 53,국도 제53호선 (미국)
U.S. Route 55,국도 제55호선 (미국)
U.S. Route 58,국도 제58호선 (미국)
U.S. Route 65,국도 제65호선 (미국)
U.S. Route 7,국도 제7호선 (미국)
U.S. Route 74,국도 제74호선 (미국)
U.S. Route 82,국도 제82호선 (미국)
Applied Materials,어플라이드 머티어리얼즈
Electronic Frontier Foundation,전자 프런티어 재단
U.S.–South Korea Status of Forces Agreement,주한 미군 지위 협정
"Simi Valley, California",시미밸리
"Kingman County, Kansas",킹맨군
Palm Springs Aerial Tramway,팜스프링스 에어리얼 트램웨이
"Lyman County, South Dakota",리먼군
"Monroe County, Tennessee",먼로군 (테네시주)
"Hanson County, South Dakota",핸슨군
"Tioga County, Pennsylvania",티오가군 (펜실베이니아주)
"Beaufort County, North Carolina",보퍼트군
"Cedar County, Missouri",시더군 (미주리주)
"Scofield, Utah",스코필드 (유타주)
"Atchison County, Missouri",애치슨군 (미주리주)
"Elko County, Nevada",엘코군
"Richmond, Indiana",리치먼드 (인디애나주)
"Aurora County, South Dakota",오로라군
"Ottawa County, Ohio",오타와군 (오하이오주)
"Winneshiek County, Iowa",위너시크군
"Hitchcock County, Nebraska",히치콕군
"Holt County, Nebraska",홀트군 (네브래스카주)
"White County, Illinois",화이트군 (일리노이주)
"Bacon County, Georgia",베이컨군
"Butler County, Pennsylvania",버틀러군 (펜실베이니아주)
"Ardmore, Oklahoma",아드모어 (오클라호마주)
Brooklyn Museum,브루클린 미술관
Sheraton Hotels and Resorts,쉐라톤 호텔 앤드 리조트
"Anderson County, Kentucky",앤더슨군 (켄터키주)
"Ochiltree County, Texas",오칠트리군
"Chattahoochee County, Georgia",채터후치군
"Worth County, Georgia",워스군 (조지아주)
Broadcom Corporation,브로드컴
Buckingham Browne %26 Nichols School,버킹엄 브라운 앤드 니컬스
Decca Records,데카 레코드
Digital Domain,디지털 도메인
Fort Stanwix,스탠윅스 요새
Nolita,놀리타
"Jasper County, Illinois",재스퍼군 (일리노이주)
"Jo Daviess County, Illinois",조데이비스군
"Holmes County, Ohio",홈스군 (오하이오주)
"Houston County, Georgia",휴스턴군 (조지아주)
Shays' Rebellion,셰이즈의 반란
American exceptionalism,미국 예외주의
Peace Corps,미국 평화 봉사단
"Barren County, Kentucky",배런군 (켄터키주)
"Boyle County, Kentucky",보일군
"Saratoga County, New York",새러토가군
"Steele County, Minnesota",스틸군 (미네소타주)
American Federation of Labor,미국노동연맹
American Forces Network,미군 방송망
American Nazi Party,미국 나치당
American Society of Civil Engineers,미국토목학회
"Lafayette County, Wisconsin",라피엣군 (위스콘신주)
Miami Open (tennis),마이애미 마스터스
"Shelby County, Indiana",셸비군 (인디애나주)
"Bibb County, Georgia",비브군 (조지아주)
"Salinas, California",살리나스 (캘리포니아주)
Walmart,월마트
"Wellington, Utah",웰링턴 (유타주)
"Amsterdam, New York",앰스터댐 (뉴욕주)
"Wharton County, Texas",와튼군
Altair Engineering,알테어
Altamont Corridor Express,알타몬트 코리더 익스프레스
AltaVista,알타비스타
KFC,KFC
National Book Award,내셔널 북 어워드
CA Technologies,CA 테크놀로지스
Minnesota Twins,미네소타 트윈스
Miss Teen USA,미스 틴 USA
"Escambia County, Alabama",에스캄비아군 (앨라배마주)
"Oswego County, New York",오스위고군
"Yakutat, Alaska",야쿠타트
"Wheatland County, Montana",휘틀랜드군 (몬태나주)
"Rock County, Wisconsin",락군 (위스콘신주)
"Bay County, Florida",베이군 (플로리다주)
"Vinton County, Ohio",빈턴군
Cigna,시그나
Southeast Division (NBA),사우스이스트 디비전 (NBA)
United Center,유나이티드 센터
Defense Intelligence Agency,미국 국방정보국
Joint Chiefs of Staff,미국 합동참모본부
"Shelbyville, Indiana",셸비빌 (인디애나주)
"Oceanside, California",오션사이드 (캘리포니아주)
"Woodward County, Oklahoma",우드워드군
"McNairy County, Tennessee",맥네어리군
