Tours,투르
Football aux Jeux olympiques d'été de 1924,1924년 하계 올림픽 축구
Opération Tractable,트랙터블 작전
Équipe de Saint-Pierre-et-Miquelon de football,생피에르 미클롱 축구 국가대표팀
Brassempouy,브라상푸이
Université Sorbonne-Nouvelle,파리 제3대학교
Quartier Saint-Germain-des-Prés,카르티에 생제르맹데프레
Crédit agricole,크레디 아그리콜
Opération Chariot,채리엇 작전
Saint-Pierre (Martinique),생피에르 (마르티니크)
Bravia,브라비아
Pernod Ricard,페르노리카
Syndicat national de l'édition phonographique,프랑스 음반 협회
Armée de l'air (France),프랑스 공군
Aéroport de Saint-Pierre Pointe-Blanche,생피에르 공항
Autoroute A837 (France),오토루트 837호선
Beaufort (fromage),보포르
Université de Montpellier,몽펠리에 대학교
Lumières de la presse internationale,뤼미에르상
Rémy Martin (entreprise),레미 마르탱
Boissey (Ain),부아세
Matoury,마투리
Notre-Dame du Laus,로의 성모
Cathédrale Notre-Dame de Strasbourg,스트라스부르 대성당
Avidemux,Avidemux
Patinage artistique aux Jeux olympiques de 1992,1992년 동계 올림픽 피겨스케이팅
Gassin,가생
Montsoreau,몽소로
Route européenne 402,유럽 고속도로 402호선
Football Club de Rouen 1899,FC 루앙
Chaneins,샤넹
Festival de Cannes 2012,2012년 칸 영화제
Kenzo (marque),겐조
Loison-sous-Lens,루아종수랑스
Festival de Cannes 1947,1947년 칸 영화제
Double messieurs de tennis aux Jeux olympiques de 1900,1900년 하계 올림픽 테니스 남자 복식
Café de Flore,카페 드 플로르
Chablis (AOC),샤블리 포도주
Le Coq sportif,르꼬끄 스포르티브
Saint-Maximin-la-Sainte-Baume,생 막시망 라 생트 보메
Patinage de vitesse aux Jeux olympiques de 1924 - 1 500 mètres hommes,1924년 동계 올림픽 스피드스케이팅 남자 1500m
France aux Jeux olympiques d'hiver de 1992,1992년 동계 올림픽 프랑스 선수단
Ligue des justes,의인동맹
Patinage de vitesse aux Jeux olympiques de 1924 - 500 mètres hommes,1924년 동계 올림픽 스피드스케이팅 남자 500m
Euronext,유로넥스트
Les Centristes - Le Nouveau Centre,신중도당
Musée Maillol de Paris,마욜 미술관
Château de Loches,로슈성
Altiport de Courchevel,쿠르슈벨 비행장
Festival de Cannes 2003,2003년 칸 영화제
Château Latour,샤토 라투르
Super League (rugby à XIII),슈퍼리그 (럭비)
Racing Club de France (football),라싱 클뢰브 드 프랑스
Mondial de l'Automobile de Paris,파리 모터쇼
Patinage de vitesse aux Jeux olympiques de 1924 - 5 000 mètres hommes,1924년 동계 올림픽 스피드스케이팅 남자 5000m
Tour du Temple,탕플 탑
Légitimisme,정통왕당파
Élections législatives françaises de 1834,1834년 프랑스 총선
Festival de Cannes 2006,2006년 칸 영화제
Liste des cantons du Finistère,피니스테르주의 캉통
Sporting Club sétois,FC 세트 34
Double mixte de tennis aux Jeux olympiques de 1900,1900년 하계 올림픽 테니스 혼합 복식
Institut d'études politiques de Paris,파리 정치 대학
Festival de Cannes 1982,1982년 칸 영화제
Festival de Cannes 1984,1984년 칸 영화제
Festival de Cannes 1979,1979년 칸 영화제
Politique étrangère de la France,프랑스의 대외 관계
Musée d'Art et d'Histoire du judaïsme,유대 역사 미술관
Festival de Cannes 2007,2007년 칸 영화제
Université Paris Sciences et Lettres,PSL 대학교
Liste des communes de Mayotte,마요트의 코뮌 목록
Aéroport Guadeloupe - Pôle Caraïbes,푸앵타피트르 국제공항
Moulin de la Galette,물랭 드 라 갈레트
Élection présidentielle française de 2002,2002년 프랑스 대통령 선거
Pic du Midi de Bigorre,피크 뒤 미디 드 비고르
Tayo,타요
Archidiocèse de Paris,가톨릭 파리 대교구
Lucé (Orne),뤼세 (오른주)
Massy (Seine-Maritime),마시 (센마리팀주)
3e parallèle nord,북위 3도
44e parallèle nord,북위 44도
Dassault Systèmes,다쏘시스템
Espionnage industriel,산업 스파이
Aéroport de Brest-Bretagne,브레스트 브르타뉴 공항
Harmonia Mundi,아르모니아 문디
Liste des cantons de la Manche,망슈주의 캉통
Pont de Sully,쉴리 다리
Olympique lyonnais (féminines),올랭피크 리옹 페미닌
42e parallèle nord,북위 42도
Systran,시스트란
VideoLAN,비디오랜
Publicis Groupe,퍼블리시스
Noctilien,녹틸리앙
Veolia,베올리아
Lagardère (entreprise),라가르데르 그룹
Société nationale maritime Corse-Méditerranée,SNCM
Les Dieux du stade (calendrier),도 뒤 스타드
Canton de Lagnieu,라니외 캉통
Bastille,바스티유 감옥
Arc d'Orange,오랑주 개선문
Trophée Chopard,트로페 쇼파르
Queer Palm,퀴어종려상
MIDEM%2B,MIDEM
Musée national d'Art moderne,국립근대미술관 (파리)
Desperados (bière),데스페라도스 (맥주)
Lancôme (cosmétique),랑콤
Gare d'Évian-les-Bains,에비앙레뱅역
Parc Disneyland (Paris),디즈니랜드 파크 (파리)
Référendum français sur l'élargissement des Communautés européennes,1972년 프랑스 국민투표
Référendum sur les accords d'Évian,1962년 4월 프랑스 국민투표
Z 20500,SNCF Z 20500 전동차
Élections législatives françaises de 1902,1902년 프랑스 총선
Îlot Tiboulen,티볼라인
Sporting Club de Paris,스포르팅 클뤼브 드 파리
Élections législatives françaises de 1951,1951년 프랑스 총선
Têtu (magazine),테튀
La Chapelle-aux-Saints 1,라샤펠오생인
Orchestre de la Société des concerts du Conservatoire,파리 음악원 관현악단
Forges et chantiers de la Méditerranée,소시에떼 누벨르 지중해 조선소
École des beaux-arts de Versailles,베르사유시립미술학교
Route européenne 601,유럽 고속도로 601호선
The Evian Championship,에비앙 챔피언십
Groupe E de la Coupe du monde de football 1998,1998년 FIFA 월드컵 E조
145e méridien ouest,서경 145도
Conférence des ambassadeurs,대사 회의
Démographie de la Guyane,프랑스령 기아나의 인구
Démographie de la Polynésie française,프랑스령 폴리네시아의 인구
Eider (entreprise),아이더 (브랜드)
Festival du film asiatique de Deauville,도빌 아시아 영화제
Pomègues,포메거스
4e division d'infanterie (France),제4보병사단 (프랑스)
Ateme,ATEME
Lafuma,라푸마
Élections cantonales françaises de 1985,1985년 프랑스 캉통 선거
Métropole orthodoxe grecque de France,프랑스 수도 대교구
Musée Henri-Barré,앙리 바레 박물관
Parti républicain (France),"공화당 (프랑스, 1977년)"
Cathédrale Notre-Dame de Papeete,파페에테 노트르담 성당
Millet (équipementier sportif),밀레 (프랑스의 기업)
Forces françaises libres,자유 프랑스군
Roussillon (province),루시용
Jeux mondiaux militaires d'hiver de 2013,2013년 동계 세계 군인 체육 대회
Agrégation de l'enseignement du second degré,중등교육 아그레가시옹
Établissement public (France),공공기관 (프랑스)
Marche des fiertés LGBT de Paris,파리 프라이드
La Compagnie Boutique Airline,라 콤파니
Festival de Cannes 2015,2015년 칸 영화제
Nous n'irons pas à Avignon,우리는 아비뇽에 가지 않을 거야
Champdor-Corcelles,샹도르코르셀
Les Républicains,공화당 (프랑스)
Madame Monsieur,마담 무슈
France aux Jeux olympiques d'hiver de 2018,2018년 동계 올림픽 프랑스 선수단
Renaissance (parti),르네상스 (정당)
Attentat du 14 juillet 2016 à Nice,2016년 니스 테러
Finale de la Ligue Europa 2017-2018,2018 UEFA 유로파리그 결승전
Joon,준 (항공사)
Festival de Cannes 2018,2018년 칸 영화제
Championnat de France de football 2018-2019,리그 1 2018-19
Sorbonne-Université,소르본 대학교
Championnat de France de football 2020-2021,리그 1 2020-21
Attentat de la basilique Notre-Dame de Nice,2020년 니스 흉기 테러
Transdev,트란스데브
Côte-d'Or,코트도르주
Calvados (eau-de-vie),칼바도스
Coupe de France de football 2020-2021,쿠프 드 프랑스 2020-21
Coupe de France de football 2022-2023,쿠프 드 프랑스 2022-23
Flandre (Belgique),플란데런
Château de Versailles,베르사유궁
Stade de Gerland,스타드 드 제를랑
Cimetière du Père-Lachaise,페르 라셰즈 묘지
Ariège (département),아리에주 (데파르트망)
Narbonne,나르본
Peugeot,푸조
Seine-Saint-Denis,센생드니주
Manche (département),망슈
Deux-Sèvres,되세브르주
Saint-Martin (île),세인트마틴섬
Martinique,마르티니크
Stade de France,스타드 드 프랑스
Montpellier Hérault Sport Club,몽펠리에 HSC
Varennes-en-Argonne,바렌앙아르곤
Vichy,비시 (프랑스)
Albi,알비
Abbeville,아브빌
Mise en demeure,정지명령
Pâte feuilletée,퍼프 페이스트리
Tahitien,타히티어
Wallon,왈롱어
Charente-Maritime,샤랑트마리팀주
Grand Trianon,그랑 트리아농
Cointreau,쿠앵트로
Tunnel sous la Manche,채널 터널
Puy-de-Dôme,퓌드돔주
Torcy (Seine-et-Marne),토르시 (센에마른주)
Nice,니스 (프랑스)
Hérault (département),에로 (데파르트망)
Haute-Loire,오트루아르주
Aéroport de Paris-Charles-de-Gaulle,파리 샤를 드골 공항
Ligne 14 du métro de Paris,파리 메트로 14호선
Ligne 2 du métro de Paris,파리 메트로 2호선
Premier Empire,프랑스 제1제국
Quatrième République (France),프랑스 제4공화국
Relations entre la France et la Russie,러시아-프랑스 관계
Champagne-Ardenne,샹파뉴아르덴
Slovènes,슬로벤인
Schiltigheim,실티가임
Musée d'Orsay,오르세 미술관
Saint-Barthélemy (Antilles françaises),생바르텔레미
Séisme et tsunami de 2004 dans l'océan Indien,2004년 인도양 지진해일
Saut en hauteur sans élan aux Jeux olympiques de 1900,1900년 하계 올림픽 육상 남자 제자리높이뛰기
Noyon,누아용
.mq,.mq
Nîmes,님 (도시)
Les cent livres du siècle,르 몽드가 선정한 세기의 도서 100권
Somme (fleuve),솜강
Reims,랭스
Français (peuple),프랑스인
Picardie (ancienne région administrative),피카르디
Antilles françaises,프랑스령 서인도 제도
.fr,.fr
Nancy,낭시
Organisation de coopération et de développement économiques,경제협력개발기구
Aurillac,오리야크
Spézet,스페제
Club des jacobins,자코뱅파
Homme de Cro-Magnon,크로마뇽인
Palais de justice de Paris,팔레 드 쥐스티스 (파리)
Tulle,튈
Penmarch,팽마르
Aéroport international de Bâle-Mulhouse,유로 에어포트
12e arrondissement de Paris,파리 12구
Armistice du 22 juin 1940,콩피에뉴 휴전 협정 (1940년)
Auch,오슈 (프랑스)
Fédération internationale de l'automobile,국제 자동차 연맹
Île de la Cité,시테섬
Pont du Gard,가르교
Oradour-sur-Glane,오라두르쉬르글란
Île Europa,유로파섬
Ambérieu-en-Bugey,앙베리외앙뷔제
Saumur,소뮈르
Anglefort,앙글포르
Ivry-sur-Seine,이브리쉬르센
Calvi,칼비 (프랑스)
Pontoise,퐁투아즈
Gex,젝스
19e arrondissement de Paris,파리 19구
Corbeil-Essonnes,코르베예손
Condom (Gers),콩동
Gif-sur-Yvette,지프쉬르이베트
Afrique-Occidentale française,프랑스령 서아프리카
Bâgé-le-Châtel,바제르샤텔
Saint-Mihiel,셍미이엘
Bâgé-la-Ville,바제라빌
Béthune,베튄
Panthéon (Paris),팡테옹
Place de la Concorde,콩코르드 광장
Dassault Rafale,다소 라팔
Louis Vuitton Malletier,루이비통
Rueil-Malmaison,뤼에유말메종
Département et région d'outre-mer,해외 데파르트망
Marathon aux Jeux olympiques de 1900,1900년 하계 올림픽 육상 남자 마라톤
Pont-l'Abbé,퐁라베
Bagnolet,바뇰레
Maisons-Alfort,메종알포르
Mantes-la-Jolie,망트라졸리
Bénonces,베농스
Bois de Boulogne,불로뉴 숲
Province du Dauphiné,도피네
Montbéliard,몽벨리아르
Ligne Maginot,마지노선
Ordre national de la Légion d'honneur,레지옹 도뇌르 훈장
Lens (Pas-de-Calais),랑스
Grasse,그라스
Régime de Vichy,비시 프랑스
Boulogne-sur-Mer,불로뉴쉬르메르
Bourges,부르주
Bayonne,바욘
Palais des papes d'Avignon,아비뇽 교황궁
Académie française,아카데미 프랑세즈
Île Saint-Louis,생루이섬
Béligneux,벨리뇌
Bois-Colombes,부아콜롱브
Valenciennes Football Club,발랑시엔 FC
Championnat d'Europe de football 1984,UEFA 유로 1984
Championnat d'Europe de football 2016,UEFA 유로 2016
Bataille d'Arras (1917),아라스 전투 (1917년)
Savigny-sur-Orge,사비니쉬르오르주
Athis-Mons,아티스몽스
Viry-Châtillon,비리샤티용
Les Lilas,레릴라
Blagnac,블라냐크
Lannion,라니옹
Argentan,아르장탕
Attignat,아티냐
Rochefort (Charente-Maritime),로슈포르 (샤랑트마리팀주)
Émeutes de 2005 dans les banlieues françaises,2005년 프랑스 폭동
Affaire XYZ,XYZ 사건
Pauillac,포야크
Association médicale mondiale,세계의사회
Basilique Saint-Denis,생드니 대성당
Président de la République française,프랑스의 대통령
Saintes,생트
Neuilly-sur-Marne,뇌이쉬르마른
TF1,TF1
Tourcoing,투르쿠앵
La Teste-de-Buch,라테스트드뷔크
Festival de Cannes 1999,1999년 칸 영화제
Festival de Cannes 1975,1975년 칸 영화제
Festival de Cannes 1988,1988년 칸 영화제
Traité de Neuilly,뇌이 조약
Conseil international des monuments et des sites,국제 기념물 유적 협의회
Bayeux,바이외
Daft Punk,다프트 펑크
Moulins (Allier),물랭
Bergerac (Dordogne),베르주라크
Rillieux-la-Pape,릴리외라파프
Omaha Beach,오마하 해변
Montmorency (Val-d'Oise),몽모랑시
Viva World Cup,VIVA 월드컵
Denain,드냉
Guebwiller,게브빌레르
Longwy,롱위
Moruroa,무루로아 환초
Saint-Rémy-de-Provence,생레미드프로방스
Sartène,사르텐
Pont-Aven,퐁타벤
Puteaux,퓌토
Route européenne 7,유럽 고속도로 07호선
Chelles,셸 (프랑스)
Sisteron,시스테롱
École des hautes études en sciences sociales,사회과학고등연구원
Opéra de Paris,파리 국립 오페라
Tir à l'arc aux Jeux olympiques de 1900,1900년 하계 올림픽 양궁
Festival de Cannes 2005,2005년 칸 영화제
Lutte aux Jeux olympiques d'été de 1924,1924년 하계 올림픽 레슬링
Révocation de l'édit de Nantes,퐁텐블로 칙령
Épidémie de gastro-entérite et de syndrome hémolytique et urémique de 2011 en Europe,2011년 독일 슈퍼박테리아 확산
Brennilis,브렌닐리스
Sainte-Anne (Guadeloupe),생탄 (과들루프)
Cathédrale Notre-Dame de Rouen,루앙 대성당
Place Charles-de-Gaulle,샤를 드골 광장
Stade Chaban-Delmas,스타드 샤방델마스
Cosne-Cours-sur-Loire,콘쿠르쉬르루아르
5e arrondissement de Paris,파리 5구
Fédération française de football,프랑스 축구 연맹
Alfortville,알포르빌
Martigues,마르티그
Pont Mirabeau,미라보 다리
Prison de la Santé,라상테 교도소
Arianespace,아리안스페이스
Le Havre Athletic Club (football),르아브르 AC
Orvault,오르보
Centrale Méditerranée,에콜 상트랄 마르세유
Palais du Luxembourg,뤽상부르궁
Plaisir (Yvelines),플레지르
Grand Palais (Paris),그랑 팔레
Liste des communes du Val-de-Marne,발드마른주의 코뮌 목록
École polytechnique (France),에콜 폴리테크니크
Cap-d'Ail,카프다이
Dassault Aviation,다소 항공
Maisons-Laffitte,메종라피트
Ozoir-la-Ferrière,오주아르라페리에르
Association sportive de Cannes (football),AS 칸
Sospel,소스펠
Decathlon (entreprise),데카트론
Festival de Cannes 1959,1959년 칸 영화제
Médaille miraculeuse,기적의 메달
Carmaux,카르모
Championnat de France de football 2011-2012,리그 1 2011-12
Hôtel de ville de Paris,파리 시청사
Jeux du Pacifique de 2011,2011년 퍼시픽 게임
Gazélec Football Club Ajaccio,가젤레크 아작시오
Révolution française de 1848,프랑스 2월 혁명
La Burbanche,라뷔르방슈
Port-Royal des Champs,포르루아얄 데샹
Ritz Paris,호텔 리츠 파리
Chaource (Aube),샤우르스
Place du Tertre,테르트르 광장
La Nouvelle Revue française,라 누벨 르뷔 프랑세즈
Lyria,TGV 리리아
Route européenne 5,유럽 고속도로 05호선
Route européenne 50,유럽 고속도로 50호선
Allianz Trade,율러 허미스
Équipe de Martinique de football,마르티니크 축구 국가대표팀
Gallicanisme,갈리아주의
Gold Beach,골드 해변
Grand-Guignol,그랑기뇰
Le Marais (quartier parisien),마레
Nouvelles-Hébrides (condominium),뉴헤브리디스 제도
5e parallèle nord,북위 5도
Aéroport international de Martinique-Aimé-Césaire,마르티니크 에메 세제르 국제공항
Accident ferroviaire de la gare Montparnasse,몽파르나스 탈선 사고
Marsanne (Drôme),마르산
Jeux paralympiques d'hiver de 1992,1992년 동계 패럴림픽
Bataille de Champaubert,샹포베르 전투
Chamalières,샤말리에르
Aéroport Marseille-Provence,마르세유 프로방스 공항
Exposition universelle de 1889,1889년 만국 박람회
Beauregard (Ain),보르가르 (앵주)
Protectorat français au Maroc,프랑스령 모로코
Finale de la Coupe du monde de football 1938,1938년 FIFA 월드컵 결승전
OnyX,OnyX
Europe Démocratie Espéranto,유럽-민주-에스페란토
Brétigny-sur-Orge,브레티니쉬르오르주
Buellas,뷔엘라
Christian Dior Couture,디올 (기업)
Touraine,투렌
Saint-André-lez-Lille,생탕드레레릴
Château de Chantilly,샹티이성
Munster (fromage),묑스테르 (치즈)
Safran Aircraft Engines,사프란 에어크래프트 엔진
5e méridien est,동경 5도
Marie Claire,마리끌레르
Bataille de Bouvines,부빈 전투
Luzenac Ariège Pyrénées,뤼즈나크 AP
Traité naval de Londres,런던 해군 군축 회담
Tableau des médailles des Jeux olympiques d'hiver de 1968,1968년 동계 올림픽 메달 집계
Cormeilles-en-Parisis,코르메유장파리지
Prix d'interprétation féminine du Festival de Cannes,칸 영화제 여우주연상
Équipe cycliste Groupama-FDJ,FDJ (사이클 팀)
Aérotrain,아에로트랭
Autoroute A25 (France),오토루트 25호선
Biathlon aux Jeux olympiques de 1968,1968년 동계 올림픽 바이애슬론
Sud-Aviation SA321 Super Frelon,아에로스파시알 SA 321 쉬페르 프를롱
Agence internationale de l'énergie,국제 에너지 기구
Club des cordeliers,코르들리에
Union pour la démocratie française,프랑스 민주연합
Équipe de Guyane de football,프랑스령 기아나 축구 국가대표팀
Fresnes (Côte-d'Or),프렌 (코트도르주)
Institut national du football de Clairefontaine,클레르퐁텐 국립 기술 단지
Loi interdisant la dissimulation du visage dans l'espace public,프랑스의 얼굴 가리기 금지법
Institut du monde arabe,아랍 세계 연구소
Massacre d'Oradour-sur-Glane,오라두르쉬르글란 학살
Col de Montgenèvre,몽제네브르 고개
Morsang-sur-Orge,모르상쉬르오르주
Plébiscite sur la Constitution de l'an X,1802년 프랑스 국민투표
Université Panthéon-Sorbonne,팡테옹 소르본 대학교
Élection présidentielle en France,프랑스의 대통령 선거
Festival de Cannes 1960,1960년 칸 영화제
Festival de Cannes 1980,1980년 칸 영화제
Festival de Cannes 1990,1990년 칸 영화제
Le Mée-sur-Seine,르메쉬르센
Roissy-en-Brie,루아시앙브리
Amiens Sporting Club,아미앵 SC
Armée d'Afrique (France),아프리카군 (프랑스)
Consulat (histoire de France),프랑스 통령정부
Mouvement pour la France,프랑스운동
Jeux olympiques d'été de 2024,2024년 하계 올림픽
Saint-Ouen-l'Aumône,생투앙로몬
Confrérie de la chaîne des rôtisseurs,세계미식가협회
Contrat administratif en France,공법상 계약
Place des Vosges,보주 광장
Lycée Condorcet,리세 콩도르세
Marche (province),라마르슈 백국
Pont Notre-Dame,노트르담 다리
Le Mouvement de la ruralité,"사냥, 낚시, 자연, 전통"
Festival international de la bande dessinée d'Angoulême,앙굴렘 국제 만화 페스티벌
Kering,케링
Ordre des Frères mineurs,작은형제회
Canal%2B,카날%2B
Championnat de France de football de National 2,샹피오나 나시오날 2
Organisation mondiale de la santé animale,세계 동물 보건 기구
Finale du Championnat d'Europe de football 1960,1960년 유러피언 네이션스컵 결승전
Vélib' Métropole,벨리브
Festival de Cannes 1973,1973년 칸 영화제
Traité de Versailles (1768),베르사유 조약 (1768년)
Festival de Cannes 1951,1951년 칸 영화제
Kōfuku no Kagaku,행복의 과학
Opération Fortitude,포티튜드 작전
Théâtre antique d'Orange,오랑주 고대극장
Red Ball Express,레드볼 익스프레스
Château de Langeais,랑제성
Pont Saint-Louis,생루이 교
Bataille de Vauchamps,보샹 전투
Naval Group,DCNS
