Maryse Bastié,마리즈 바스티에
Laurent Fignon,로랑 피뇽
Joseph Bonaparte,조제프 보나파르트
Eugène Delacroix,외젠 들라크루아
Louis X de France,루이 10세
Sidney Govou,시드네 고부
Alfred Sauvy,알프레드 소비
Georges Trombert,조르주 트롱베르
Marion Cotillard,마리옹 코티야르
François Quesnay,프랑수아 케네
Djibril Cissé,지브릴 시세
Bacary Sagna,바카리 사냐
Jean-Baptiste Say,장바티스트 세
Albert Camus,알베르 카뮈
Charles de Gaulle,샤를 드골
Brigitte Bardot,브리지트 바르도
Philippe V de France,필리프 5세
Frédéric Bastiat,프레드릭 바스티아
Louis Antoine de Saint-Just,생 쥐스트
Oumar Sissoko,우마르 시소코
Toifilou Maoulida,투아필루 마울리다
Émile Durkheim,에밀 뒤르켐
Robert Schuman,로베르트 슈만
Wahbi Khazri,와흐비 카즈리
Jean-Pierre Papin,장피에르 파팽
François Mitterrand,프랑수아 미테랑
Voltaire,볼테르
Grégory Coupet,그레고리 쿠페
René Descartes,르네 데카르트
Yannick Cahuzac,야니크 카위자크
Guy de Maupassant,기 드 모파상
Joseph Fourier,조제프 푸리에
Alexandre Dumas,알렉상드르 뒤마
Jacques Chirac,자크 시라크
Paul Gauguin,폴 고갱
Pierre Curie,피에르 퀴리
Jean Ier de France,장 1세
Nicolas Leblanc,니콜라 르블랑
Léon Walras,레옹 발라
Philippe II Auguste,필리프 2세
Gustave Courbet,귀스타브 쿠르베
Georges Seurat,조르주 쇠라
Charles Messier,샤를 메시에
Georges Pompidou,조르주 퐁피두
Valéry Giscard d'Estaing,발레리 지스카르 데스탱
Paul Cézanne,폴 세잔
Coluche,콜루슈
Jérôme Rothen,제롬 로탕
Thomas Herier,토마 에리에
Dominique Pinon,도미니크 피뇽
Louis de Funès,루이 드 퓌네스
Guy Teissier,기 테시에
William Gallas,윌리암 갈라스
Manuel Valls,마누엘 발스
Jean-Paul Sartre,장 폴 사르트르
Pierre Desproges,피에르 데프로주
Charles Maurras,샤를 모라스
Jean Armel Kana Biyik,장아르멜 카나비크
Antoine de Saint-Exupéry,앙투안 드 생텍쥐페리
Bourvil,부르빌
Samuel Beckett,사뮈엘 베케트
Henri Ier de France,앙리 1세
Jean-Dominique Cassini,조반니 도메니코 카시니
Alain Prost,알랭 프로스트
Ossip Zadkine,오십 자드킨
Charles-Maurice de Talleyrand-Périgord,샤를모리스 드 탈레랑페리고르
Émile Torchebœuf,에밀 토르슈뵈프
Jean Françaix,장 프랑세
Jean Anouilh,장 아누이
Nicolas Appert,니콜라 아페르
Wanda Landowska,반다 란도프스카
Prosper Mérimée,프로스페르 메리메
Tristan Tzara,트리스탕 차라
Raymond Aron,레몽 아롱
Michel Tournier,미셸 투르니에
Chaïm Soutine,샤임 수틴
Honoré de Balzac,오노레 드 발자크
Jonathan Schmid,조나탕 슈미트
Ismaël Traoré,이스마엘 트라오레
Ilan Boccara,일란 보카라
Dominique Sanda,도미니크 상다
Joseph Galliéni,Joseph Gallieni
Louis Aragon,루이 아라공
Elsa Triolet,엘자 트리올레
Bernard Lacombe,베르나르 라콩브
Ariane Mnouchkine,아리안 므누슈킨
George Sand,조르주 상드
Gao Xingjian,가오싱젠
Fernandel,페르낭델
Gilbert Bécaud,질베르 베코
Charles VI de France,샤를 6세
Henri Barbusse,앙리 바르뷔스
Adam de la Halle,아당 드라알
Benoît Potier,브누아 푸아티에
René Girard,르네 지라르
Roland Barthes,롤랑 바르트
Éric Hély,에리크 엘리
Roger Martin du Gard,로제 마르탱 뒤 가르
Abdoulaye Diallo,압둘라이 디알로
Jean-Michel Aulas,장미셸 올라스
Sonia Rykiel,소니아 리키엘
Eunice Barber,외니스 바르베르
Ahmed Ben Bella,아메드 벤 벨라
Jonathan Ayité,조나탕 아이테
Charlotte Bonnet,샤를로트 보네
Joris Ivens,요리스 이벤스
Paul Peytral,폴 페트랄
Philippe Bozon,필리프 보종
Auguste Renoir,피에르오귀스트 르누아르
Paul Henri Balluet d'Estournelles de Constant,폴앙리뱅자맹 데스투르넬 드 콩스탕
Tessa Worley,테사 월리
Augustin Legrand,오귀스탱 르그랑
Jean Noël Hallé,장 노엘 알레
Amélie de Leuchtenberg,로이히텐베르크의 아멜리아
Cédric Pioline,세드리크 피올린
Henri Lefebvre,앙리 르페브르
Claire Denis,클레르 드니
Marie de Bourbon-Montpensier,몽팡시에 여공작 마리 드 부르봉
Edmond Ardisson,에드몽 아르디송
Alfred de Musset,알프레드 드 뮈세
Paul Reynaud,폴 레노
Marvin Compper,마빈 콤프
Michel Platini,미셸 플라티니
Régine Cavagnoud,레진 카바뉴
Uffie,어피
Elsa Lunghini,엘자 룅기니
Christophe Landrin,크리스토프 랑드랭
Nadar,나다르
Valérie Donzelli,발레리 돈젤리
Ismail Kadare,이스마일 카다레
Michel Delebarre,미셸 들르바르
Sophie Marceau,소피 마르소
Aristide Briand,아리스티드 브리앙
Eugène Charles Catalan,외젠 샤를 카탈랑
Jean-Bedel Bokassa,장베델 보카사
Édouard Manet,에두아르 마네
Pascale Arbillot,파스칼 아르비요
Marguerite Yourcenar,마르그리트 유르스나르
Stéphane Lièvre,스테판 리에브르
François Gérard,프랑수아 제라르
Nicolas Poussin,니콜라 푸생
Marouane Chamakh,마루안 샤마크
Henri Becquerel,앙리 베크렐
Laura Flessel-Colovic,로라 플레셀콜로비크
Pierre-Louis Moreau de Maupertuis,피에르루이 모페르튀
Valerie Harper,밸러리 하퍼
J. M. G. Le Clézio,장마리 귀스타브 르 클레지오
André Breton,앙드레 브르통
Pascal Cygan,파스칼 시강
Charles Gounod,샤를 구노
Marie-Josée Croze,마리조제 크로즈
Emmanuelle Arsan,에마뉘엘 아르산
François Chauveau,프랑수아 쇼보
Wendelin Werner,벤델린 베르너
Michel Ney,미셸 네
Kenny de Schepper,케니 드셰페르
Francis Coquelin,프랑시스 코클랭
Henri Bergson,앙리 베르그송
Mélanie Thierry,멜라니 티에리
François Boucher,프랑수아 부셰
Donald-Olivier Sié,도날드올리비에 시에
Charles Fourier,샤를 푸리에
Amélie Mauresmo,아멜리 모레스모
Marie-Josèphe de Saxe,작센 공녀 마리아 요제파
Georges Rigal,조르주 리갈
Lilian Thuram,릴리앙 튀람
Jacques Prévert,자크 프레베르
Frédéric Passy,프레데리크 파시
Édouard Vuillard,에두아르 뷔야르
Jeanne Calment,잔 칼망
Thérèse de Lisieux,리지외의 테레스
Med Hondo,메드 혼도
Pauline Parmentier,폴린 파르망티에
Marie-Christine Barrault,마리크리스틴 바로
Mylène Demongeot,말린느 드몽거트
Sophia Loren,소피아 로렌
Olga Kurylenko,올가 쿠릴렌코
Olivier Ledroit,올리비에 르드루아
Hélène Ségara,엘렌 세가라
Gaston Darboux,장 가스통 다르부
Jean-Baptiste Dumas,장바티스트 뒤마
Georges Marchais,주르주 마르셰
Henri Cartan,앙리 카르탕
Jacques Hadamard,자크 아다마르
Sadi Carnot,니콜라 레오나르 사디 카르노
Marie Laforêt,마리 라포레트
Jacques Offenbach,자크 오펜바흐
Fernand de Brinon,페르낭 드 브리농
Paul Le Guen,폴 르구엔
Jean-Étienne Guettard,장에티엔 게타르
Sully Prudhomme,쉴리 프뤼돔
Julie Depardieu,쥘리 드파르디외
Marie-France Pisier,마리프랑스 피지에
Alexandre Alekhine,알렉산드르 알레힌
Jean XXII,교황 요한 22세
Louis Daguerre,루이 다게르
René Thom,르네 톰
Pierre Emmanuel,피에르 에마뉘엘
Louis VI,루이 6세
Brandão,에바에베르송 레무스 다 시우바
Antoine Watteau,앙투안 바토
Chantal Akerman,샹탈 아케르만
Yvette Guilbert,이베트 길베르
Clément V,교황 클레멘스 5세
David Ginola,다비드 지놀라
Jacques Derrida,자크 데리다
Claude Simon,클로드 시몽
Frédéric Mistral,프레데리크 미스트랄
Henri Lehmann,앙리 레만
Agnès Jaoui,아녜스 자우이
Catherine de Médicis,카트린 드 메디시스
Gilles Marini,질 마리니
Marie de Médicis,마리 드 메디시스
Lucie Décosse,뤼시 데코스
Marina Anissina,마리나 아니시나
Jules Dufaure,쥘 뒤포르
Louis VIII,루이 8세
Jean Reno,장 르노
Charles-Albert de Sardaigne,카를로 알베르토
Anatole France,아나톨 프랑스
Benjamin Biolay,뱅자맹 비올레
Hervé Gaymard,에르베 게마르
Jean-Baptiste Carpeaux,장바티스트 카르포
Alfred de Rauch,알프레드 드로슈
Richard Clayderman,리차드 클레이더만
Sylvie Vartan,실비 바르탕
Gabriel Lippmann,가브리엘 리프만
Anselme de Cantorbéry,안셀무스
Maurice Duruflé,모리스 뒤뤼플레
Marina Vlady,마리나 블라디
Jean-Pierre Sinapi,장피에르 시나피
Élisabeth Depardieu,엘리자베트 드파르디외
Charles VIII,샤를 8세
Jean Perrin,장 바티스트 페랭
Urbain V,교황 우르바노 5세
Mathé Altéry,마테 알테리
Charles VII de France,샤를 7세
Christa Ludwig,크리스타 루트비히
Edme-François Jomard,Edme-François Jomard
Gustave Flaubert,귀스타브 플로베르
Natalie Dessay,나탈리 드세이
Jean-Jacques Audubon,존 제임스 오듀본
Emmanuelle Devos,에마뉘엘 드보스
Jean Baudrillard,장 보드리야르
François II,프랑수아 2세
Dominique de Villepin,도미니크 드 빌팽
Bixente Lizarazu,비셴테 리사라수
Django Reinhardt,장고 라인하르트
Jules Mazarin,쥘 마자랭
Claude Jade,클로드 자드
Théophile Gautier,테오필 고티에
Sami Bouajila,사미 부아질라
Julie Halard,쥘리 알라르드퀴지스
David Trezeguet,다비드 트레제게
Olivier Blanchard,올리비에 블랑샤르
Maurice de Vlaminck,모리스 드 블라맹크
Saint-John Perse,생존 페르스
Louis Althusser,루이 알튀세르
Jules Harmand,프랑수아 쥘 아르망
Marguerite Broquedis,마르그리트 브로크디
Rosa Bonheur,로자 보뇌르
Théodore Géricault,테오도르 제리코
Camille Pissarro,카미유 피사로
Jean-Marie Cavada,장마리 카바다
Hubert de Givenchy,위베르 드 지방시
Jacques Rivette,자크 리베트
Mylène Farmer,밀렌 파르메르
Michel Gaudin,미셸 고댕
Pierre Alphonse Laurent,피에르 알퐁스 로랑
Nicolas Berdiaev,니콜라이 베르댜예프
Philippe Omnès,필리프 옴네
Guillaume Apollinaire,기욤 아폴리네르
Thierry Omeyer,티에리 오메예르
Alizée,알리제
Catherine Labouré,가타리나 라부레
Zazie,자지
Wissam Ben Yedder,위삼 벤 예데르
Shy'm,샤임
Sylvie Testud,실비 테스튀
Georges Jacques Danton,조르주 당통
Charles IX,샤를 9세
Louis VII,루이 7세
Roger Milla,로제 밀라
Aimée du Buc de Rivery,나크시딜 술탄
Zaz,자즈
Charles Hermite,샤를 에르미트
Maximilien de Robespierre,막시밀리앙 드 로베스피에르
André The Giant,앙드레 더 자이언트
Claude Makelélé,클로드 마켈렐레
Camille Muffat,카미유 뮈파
Gilles Deleuze,질 들뢰즈
Charles V de France,샤를 5세
Jean-Victor Poncelet,장빅토르 퐁슬레
Michel Foucault,미셸 푸코
Pierre-Simon de Laplace,피에르시몽 라플라스
Kristina Mladenovic,크리스티나 믈라데노비치
Jean Genet,장 주네
Valery Larbaud,발레리 라르보
Aurore Clément,오로르 클레망
Heinrich Heine,하인리히 하이네
Jérôme Lalande,제롬 랄랑드
Willy Sagnol,윌리 사뇰
Lothaire de France,로테르
Takis,타키스
Camille,카미유
Marie-Anne de Camargo,마리 카마르고
Martine Carol,마틴 캐롤
Jean Marais,장 마레
Cédric Barbosa,세드리크 바르보사
Jean Paul Gaultier,장폴 고티에
Pierre Vaultier,피에르 볼티어
Fernand Braudel,페르낭 브로델
Caterina Valente,캐터리나 발렌트
Jean-Marie Vianney,요한 마리아 비안네
Étienne Œhmichen,에티엔 에미션
Roger Guillemin,로제 기유맹
Florent Manaudou,플로랑 마노두
Darius Milhaud,다리우스 미요
Alexandre Dumas fils,알렉상드르 뒤마
Boughéra El Ouafi,부게라 엘 와피
Jean-Marie Lustiger,장마리 뤼스티제
Jean-Pierre Melville,장피에르 멜빌
Niki de Saint Phalle,니키 드 생팔
Alexis Carrel,알렉시 카렐
Jacky Terrasson,재키 테라슨
Jean-Pierre Rampal,장 피에르 랑팔
Gaël Monfils,가엘 몽피스
Gilbert du Motier de La Fayette,질베르 뒤 모티에 드 라파예트 후작
André Masséna,앙드레 마세나
Cléo de Mérode,클레오 드 메로드
Pierre-Gilles de Gennes,피에르질 드 젠
François-Étienne Kellermann,프랑수아 에티엔 켈레르만
Alexandre Alphonse,알렉상드르 알퐁스
Innocent VI,교황 인노첸시오 6세
Jean-René Bernaudeau,장르네 베르노도
Éric Cantona,에리크 캉토나
Ousmane Coulibaly,오스마니 쿨리발리
Jacques Lacan,자크 라캉
Lily Pons,릴리 폰스
Jean-Jacques Goldman,장자크 골드만
Hervé Bugnet,에르베 뷔녜
Seán MacBride,숀 맥브라이드
Catalans,카탈루냐인
Nadia Boulanger,나디아 불랑제
Erik Satie,에리크 사티
Guillaume Lacour,기욤 라쿠르
Urbain IV,교황 우르바노 4세
Robert Desnos,로베르 데스노스
Zabou Breitman,자부 브레이트만
Hugo Gélin,위고 젤랭
Benoît Paire,브누아 페르
Lionel Jospin,리오넬 조스팽
Étienne Marcel,에티엔 마르셀
Johan Micoud,조앙 미쿠
Jean Dubuffet,장 뒤뷔페
Antonin Artaud,앙토냉 아르토
Émile Loubet,에밀 루베
Grégoire XI,교황 그레고리오 11세
Charles III le Simple,샤를 3세
Roman Coppola,로만 코폴라
Benjamin Stambouli,벤자민 스탐불리
Zygmunt Krasiński,지그문트 크라신스키
Augustin Fresnel,오귀스탱 장 프레넬
Alain Ducasse,알랭 뒤카스
Marin Mersenne,마랭 메르센
Innocent V,교황 인노첸시오 5세
Alphonse de Lamartine,알퐁스 드 라마르틴
Chris Marker,크리스 마르케
Léon Bonnat,레옹 보나
Clément VI,교황 클레멘스 6세
Henri Harpignies,앙리 아르피니
Honoré Daumier,오노레 도미에
Kees van Dongen,키스 반 동겐
Maxime Weygand,막심 베이강
Calixte II,교황 갈리스토 2세
Kossi Agassa,코시 아가사
Benoît XII,교황 베네딕토 12세
Bruno Cremer,브뤼노 크레메르
Léon Foucault,레옹 푸코
Madame de Pompadour,퐁파두르 후작 부인
Sylvie Goulard,실비 굴라르
Alexis de Tocqueville,알렉시 드 토크빌
Nicolas Boileau,니콜라 부알로 데스프로
André Vingt-Trois,앙드레 뱅트루아
Sébastien Bourdais,세바스티앵 부르데
Josquin des Prés,조스캥 데프레
Joséphine de Beauharnais,조제핀 드 보아르네
Pierre Plantard,피에르 플랑타르
François Viète,프랑수아 비에트
Jean-Claude Darcheville,장클로드 다르슈빌
Dominique Vlasto,도미니크 블라스토
Louis Michel,루이 미셸
Jean-Pierre Beltoise,장피에르 벨투아즈
Patrick Bruel,파트리크 브뤼엘
Gracchus Babeuf,프랑수아노엘 바뵈프
André Comte-Sponville,앙드레 콩트스퐁빌
Pierre-Emerick Aubameyang,피에르에메릭 아우바메양
Jean-Baptiste Colbert,장바티스트 콜베르
Alphonse Laveran,샤를 루이 알퐁스 라브랑
Pierre Teilhard de Chardin,피에르 테일라르 드 샤르댕
Alexandre Song,알렉상드르 송
Raoul Dufy,라울 뒤피
Alexandre Farnèse,알레산드로 파르네세
Loïc Wacquant,로이크 바캉
Jackson Richardson,잭슨 리차드슨
Miralem Pjanić,미랄렘 퍄니치
Zao Wou-Ki,자오우키
Pan Yuliang,판위량
Carloman Ier,카를로만 2세
Adrien-Marie Legendre,아드리앵마리 르장드르
Yves Saint Laurent,이브 생로랑
Georges Clemenceau,조르주 클레망소
Nicéphore Niépce,조제프 니세포어 니엡스
David Ruelle,다비드 뤼엘
Camille Desmoulins,카미유 데물랭
Daniel Schneidermann,다니엘 슈네데르만
Maurice Scève,모리스 세브
Adolphe Adam,아돌프 아당
Claude Cohen-Tannoudji,클로드 코엔타누지
Charles Denis Bourbaki,샤를드니 부르바키
Jean-Baptiste Jourdan,장 밥티스트 주르당
Jean Dujardin,장 뒤자르댕
Jacques Maritain,자크 마리탱
Gérard de Nerval,제라르 드 네르발
Yves Bonnefoy,이브 본푸아
Siméon Denis Poisson,시메옹 드니 푸아송
Carlos d'Alessio,카를로스 달레시오
Georges Auric,조르주 오리크
Georges Cuvier,조르주 퀴비에
Jean-François Millet,장프랑수아 밀레
Carla Bruni,카를라 브루니
Francis Poulenc,프랑시스 풀랑크
Laure Manaudou,로르 마노두
Coco Chanel,코코 샤넬
Paul Belmondo,폴 벨몬도
Jean Bodin,장 보댕
Simone Simon,시몬 시몽
Philippe VI de France,필리프 6세
Alfred Dreyfus,알프레드 드레퓌스
Paul Ricœur,폴 리쾨르
René Goscinny,르네 고시니
Georges Eugène Haussmann,조르주외젠 오스만
Philippe III de France,필리프 3세
Omar Bongo,오마르 봉고
Jérôme Bonaparte,제롬 보나파르트
Lucien Bonaparte,뤼시앵 보나파르트
Olivier Panis,올리비에 파니스
Jean-Baptiste Camille Corot,장바티스트 카미유 코로
Gérard Philipe,제라르 필리프
Camille Saint-Saëns,카미유 생상
Pavel Dourov,파벨 두로프
Seydou Keita,세이두 케이타
Fabien Bartez,파비앵 바르테즈
Thierry Henry,티에리 앙리
Djimi Traoré,지미 트라오레
Ferdinand Foch,페르디낭 포슈
Louis-Ferdinand Céline,루이페르디낭 셀린
Frédéric Joliot-Curie,프레데리크 졸리오퀴리
Goran Bregović,고란 브레고비치
Emil Cioran,에밀 시오랑
Raymond Poincaré,레몽 푸앵카레
Anne d'Autriche,오스트리아의 앤
Man Ray,만 레이
André Malraux,앙드레 말로
Mickaël Landreau,미카엘 랑드로
Karine Ruby,카린 루비
Fréhel,프레헬
Just Fontaine,쥐스트 퐁텐
Tony Parker,토니 파커
Paul Signac,폴 시냐크
Tadeusz Kościuszko,타데우시 코시치우슈코
Eva Green,에바 그레인
Raymond Domenech,레몽 도메네크
Charles-François Daubigny,샤를프랑수아 도비니
Marie d’Agoult,마리 다구
Stephanie Szostak,스테퍼니 쇼스택
Vincent Cassel,뱅상 카셀
Julie Zenatti,쥘리 제나티
Joséphine Baker,조세핀 베이커
Jean-François Lyotard,장프랑수아 리오타르
Patrick Vieira,파트리크 비에라
Philip Sainton,필립 세인턴
Marie-Thérèse d'Autriche,오스트리아의 마리 테레즈
Jean Dausset,장 도세
Frantz Fanon,프란츠 파농
Olivier Messiaen,올리비에 메시앙
Pierre Laval,피에르 라발
Edgar Degas,에드가 드가
Marcel Desailly,마르셀 드사이
Joachim Murat,조아생 뮈라
Matthieu Delpierre,마티외 델피에르
Alexeï Nikolaïevitch Tolstoï,알렉세이 니콜라예비치 톨스토이
György Cziffra,조르주 치프라
Étienne Geoffroy Saint-Hilaire,에티엔 조프루아 생틸레르
Pierre Gassendi,피에르 가상디
Ilya Ilitch Metchnikov,엘리 메치니코프
Louis-Marie Billé,루이마리 빌레
Íngrid Betancourt,잉그리드 베탕쿠르
Jo-Wilfried Tsonga,조윌프리드 총가
George Weah,조지 웨아
Guy Barruol,기 바뤼올
Antoine III de Gramont,그레몽 공작 앙투안느 3세
Éric Macé,에리크 마세
Henri Troyat,앙리 트루아야
Arsène Wenger,아르센 벵거
Jules Massenet,쥘 마스네
Louis Réard,루이 레아르
Paul Éluard,폴 엘뤼아르
Constantin Brâncuși,콘스탄틴 브랑쿠시
Clément Grenier,클레멍 그르니에
Ivan Bounine,이반 부닌
André Gide,앙드레 지드
Robert Capa,로버트 카파
Louis-Claude de Saint-Martin,루이클로드 드 생마르탱
Olympe Mancini,올림피아 만치니
Romain Rolland,로맹 롤랑
Miranda Raison,미란다 레이슨
Micheline Bernardini,미셸린 베르나르디니
