España,スペイン
identificador de la Gran Enciclopedia Catalana,カタルーニャ大百科事典ID
Pirineos,ピレネー山脈
identificador del Boletín Oficial del Estado,スペイン官報ID
identificador DBE,スペイン人名事典ID
Madrid,マドリード
identificador BNE,スペイン国立図書館識別子
Código Nacional de Ocupaciones 2011,CNO-11 職業コード
Athletic Club,アスレティック・ビルバオ
La Junquera,ラ・ジュンケラ
San Pedro Pescador,サント・パレ・パスカドール
Castillo de Coca,コカ城
identificador Biblioteca Valenciana Digital de autor,バレンシア電子図書館 著者ID
identificador BDCYL de autoridad,BDCYL典拠ID
Perelada,パララーダ
Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピック
Pau,パウ
Besalú,バザルー
Santa Susana,サンタ・スサンナ
Sociedad Deportiva Huesca,SDウエスカ
Real Madrid C.F.,レアル・マドリード
Avui,アブイ
sistema de ligas de fútbol de España,スペインのサッカーリーグ構成
Valle de Arán,アラン谷
Girona Futbol Club,ジローナFC
Guadalajara,グアダラハラ
Sevilla,セビリア
San Pol de Mar,サン・ポル・ダ・マール
Calella,カレーリャ
Alicante,アリカンテ
Asturias,アストゥリアス州
Galicia,ガリシア州
Club Deportivo Guadalajara,CDグアダラハラ
Malgrat de Mar,マルグラット・デ・マル
Zalla,サリャ
Valmaseda,バルマセダ
Club Deportivo Mirandés,CDミランデス
Montgat,ムンガット
Las Palmas de Gran Canaria,ラス・パルマス・デ・グラン・カナリア
aragonés,アラゴン語
identificador As,AS.com アスリートID
identificador acb.com,ACB.com 選手ID
Atlético de Madrid,アトレティコ・マドリード
Real Club Celta de Vigo,セルタ・デ・ビーゴ
Copa Iberoamericana,コパ・イベロアメリカーナ
euro,ユーロ
Olot,ウロット
identificador DIR3,DIR3 ID
identificador de entrenador ACB.com,ACB.com コーチID
euskera,バスク語
Riudaura,リウダウラ
Premiá de Mar,プレミアー・ダ・マール
Premiá de Dalt,プレミアー・ダ・ダルト
Bilbao,ビルバオ
Huesca,ウエスカ
Navarra,ナバラ州
Hércules Club de Fútbol,エルクレスCF
Aragón,アラゴン州
Club Deportivo Lugo,CDルーゴ
Miranda de Ebro,ミランダ・デ・エブロ
La Coruña,ア・コルーニャ
Real Club Deportivo de La Coruña,デポルティーボ・ラ・コルーニャ
Real Betis Balompié,レアル・ベティス
Maresme,マレズマ
Real Club Deportivo Espanyol de Barcelona,RCDエスパニョール
Getafe,ヘタフェ
Identificador de palabra en el DPEJ  de la RAE,RAE IDのDEJ内の単語
Unión Deportiva Las Palmas,UDラス・パルマス
Palencia,パレンシア
identificador ICAA de catálogo de películas,ICAA映画カタログID
Granada,グラナダ
Tosa de Mar,トッサ・ダ・マール
Palafolls,パラフォルズ
Partido Democrático,民主党
Murélaga,アウレスティ
Ortuella,オルトゥエリャ
País Vasco,バスク州
Blanes,ブラナス
Las Planas,ラス・プラナス
Las Presas,ラス・プラセス
Lloret de Mar,リョレート・デ・マル
Barrica,バリカ
El Masnou,アル・マズノウ
Vilasar de Mar,ビラサル・ダ・マル
Viella y Medio Arán,ビエーリャ・エ・ミジャーラン
Vigo,ビーゴ
Canet de Mar,カネ・ダ・マール
Espot,エスポット
Arenys de Mar,アレニス・デ・マル
San Andrés de Llavaneras,サン・アンドレウ・ダ・リャバネラス
Montilla,モンティージャ
Getafe Club de Fútbol,ヘタフェCF
Mediterráneo,地中海
portugués,ポルトガル語
identificador Patrimonio Digital de Castilla-La Mancha de autoridad,BIDICAM典拠ID
identificador BVPH de autoridad,BVPH典拠ID
identificador Biblioteca Virtual Andalucía de autoridad,アンダルシア仮想図書館典拠ID
Garona,ガロンヌ川
Monzón,モンソン
Santa Pau,サンタ・パウ
Caldas de Malavella,カルデス・デ・マラベーリャ
La Línea de la Concepción,ラ・リネア・デ・ラ・コンセプション
Club Deportivo Numancia de Soria,CDヌマンシア
Sant Iscle de Vallalta,サント・イスクレ・ダ・バリャルタ
Amer,アメール
International Airlines Group,インターナショナル・エアラインズ・グループ
Santa Coloma de Farnés,サンタ・クローマ・ダ・ファルネルス
Almazán,アルマサン
Barbate,バルバテ
Ronda,ロンダ
Granada Club de Fútbol,グラナダCF
Torrox,トロクス
Valencia,バレンシア
Vilafant,ビラファント
Palma de Mallorca,パルマ・デ・マヨルカ
Alella,アレーリャ
Mallorca,マヨルカ島
Vall de Vianya,ラ・バイ・ダ・ビアニャ
Alta Ribagorza,アールタ・リバゴールサ
Comunidad Valenciana,バレンシア州
Montilla-Moriles,モンティーリャ＝モリレス (DO)
Cañete la Real,カニェーテ・ラ・レアル
San Juan les Fonts,サン・ジュアン・ラス・フォンツ
Camplloch,カムリョン
Nerja,ネルハ
Alto Urgel,アルト・ウルジェイ
Pallars Jussá,パリャーズ・ジュサー
Noguera,ノゲラ
Pallars Sobirá,パリャーズ・スビラー
Soria,ソリア
Valle de Bohí,バル・デ・ボイ
Segriá,サグリアー郡
Urgel,ウルジェイ
Murcia,ムルシア
Real Madrid Castilla Club de Fútbol,レアル・マドリード・カスティージャ
Gijón,ヒホン
Selva,セルバ
Baja Cerdaña,バッシャ・サルダーニャ
Osona,ウゾーナ
Castilla-La Mancha,カスティーリャ・ラ・マンチャ州
Real Murcia Club de Fútbol,レアル・ムルシア
Santander,サンタンデール
Huércal de Almería,ウエルカル・デ・アルメリーア
Burguete,ブルゲテ＝アウリッツ
Sabadell,サバデイ
Segarra,セガーラ
Racing de Santander,ラシン・サンタンデール
Ponferrada,ポンフェラーダ
Cataluña,カタルーニャ州
San Gregorio,サン・グレゴリ
La Rioja,ラ・リオハ州
Sociedad Deportiva Ponferradina,SDポンフェラディーナ
Real Club Deportivo Mallorca,RCDマジョルカ
Salt,サルト
Comunidad de Madrid,マドリード州
Bagur,ベグール
gallego,ガリシア語
Málaga,マラガ
Levante UD,レバンテUD
San Martivell,サン・マルティ・ベル
Burgos,ブルゴス
San Sebastián,サン・セバスティアン
Islas Baleares,バレアレス諸島
Llagostera,リャゴステラ
Castilla y León,カスティーリャ・レオン州
Zaragoza,サラゴサ
Real Zaragoza,レアル・サラゴサ
Gironés,ジロネース
Pla de l'Estany,プラー・デ・レスターニ
Bajo Ampurdán,バッジ・アンポルダー
Real Sociedad de Fútbol,レアル・ソシエダ
"Castillo de Aro, Playa de Aro y S'Agaró",カステル＝プラッジャ・ダロ
Andalucía,アンダルシア州
Real Sporting de Gijón,スポルティング・デ・ヒホン
península ibérica,イベリア半島
Málaga Club de Fútbol,マラガCF
Gran Premio de España,スペイングランプリ
provincia de Santander,サンタンデール県
Guipúzcoa,ギプスコア県
Región de Murcia,ムルシア州
Huelva,ウエルバ
Club Atlético Osasuna,CAオサスナ
Pamplona,パンプローナ
aranés,アラン語
Elche Club de Fútbol Ilicitano,エルチェCF・イリシターノ
Liga española de waterpolo masculino,ディビシオン・デ・オノール・デ・ウォーターポロ
Jaraíz de la Vera,ハライース・デ・ラ・ベーラ
Tortosa,トゥルトーザ
Villarreal,ヴィラ＝レアル
Vallecas,バジェカス
Rayo Vallecano,ラーヨ・バジェカーノ
provincia de Lugo,ルーゴ県
Elche Club de Fútbol,エルチェCF
Campaspero,カンパスペロ
Canarias,カナリア諸島
Centre d'Esports Sabadell Futbol Club,CEサバデル
Unión Deportiva Almería,UDアルメリア
Córdoba,コルドバ
Elche,エルチェ
provincia de Málaga,マラガ県
Real Club Recreativo de Huelva,レクレアティーボ・ウェルバ
provincia de Huelva,ウエルバ県
provincia de Jaén,ハエン県
provincia de Orense,オウレンセ県
Alcorcón,アルコルコン
Ceuta,セウタ
Extremadura,エストレマドゥーラ州
Sevilla Fútbol Club,セビージャFC
Valencia Club de Fútbol,バレンシアCF
Real Valladolid Club de Fútbol,レアル・バリャドリード
Las Palmas,ラス・パルマス県
Palafrugell,パラフルジェイ
provincia de Sevilla,セビリア県
Toledo,トレド
sefardíes,セファルディム
Pals,パルス
comunidad autónoma,スペインの自治州
Orense,オウレンセ
Fútbol Club Barcelona Atlètic,FCバルセロナB
Córdoba Club de Fútbol,コルドバCF
Movistar,モビスター・チーム
provincia de Pontevedra,ポンテベドラ県
Torrent,トレント (ジローナ)
Palamós,パラモース
Regencós,レジェンコス
Batalla de Santa Cruz de Tenerife,サンタクルス・デ・テネリフェの海戦
Real Burgos Club de Fútbol,レアル・ブルゴスCF
Caja Mágica,ラ・カハ・マヒカ
Sant Feliu de Guíxols,サント・フェリウ・デ・フイソルス
Melilla,メリリャ
Rally Dakar de 2005,2005年ダカール・ラリー
ruta europea E90,欧州経路エ九十
Primera División de España 1985/86,リーガ・エスパニョーラ1985-1986
provincia de Santa Cruz de Tenerife,サンタ・クルス・デ・テネリフェ県
Ebro,エブロ川
provincia de Tarragona,タラゴナ県
Recopa de Europa 1979-80,UEFAカップウィナーズカップ 1979-80
Estadio Olímpico de La Cartuja,エスタディオ・デ・ラ・カルトゥーハ
Aldaya,バレンシア州
Tour de Francia 1967,ツール・ド・フランス1967
Calatrava la Vieja,カラトラーバ・ラ・ビエハ
Miajadas,ミアハーダス
carretera europea,欧州自動車道路
Agrupación Deportiva Alcorcón SAD,ADアルコルコン
Almería,アルメリア
Isaba,イサバ
Tour de Francia 1996,ツール・ド・フランス1996
La Garrocha,ガローチャ
Macaronesia,マカロネシア
Municipios de Santa Cruz de Tenerife,サンタ・クルス・デ・テネリフェ県の自治体一覧
Silla,シリャ
San Lorenzo de El Escorial,サン・ロレンソ・デ・エル・エスコリアル
La Gomera,ラ・ゴメラ島
Municipio de Vizcaya,ビスカヤ県の自治体一覧
Guerra civil española,スペイン内戦
Bañolas,バニョラス
Lugo,ルーゴ (スペイン)
La Barceloneta,ラ・バルセロネータ
Paiporta,パイポルタ
Pego,ペゴ
plaza de toros de las Arenas,アレーナス闘牛場
Parque natural del Cabo de Gata-Níjar,カボ・デ・ガタ＝ニハル自然公園
incidente de Palomares,パロマレス米軍機墜落事故
derechos digitales,デジタル権
Porqueras,ポルケレス
Autovía de la Meseta Sur,メセタ・スール自動車道（スペイン）
Institut Barcelona d'Estudis Internacionals,バルセロナ国際研究所
Campeonato Mundial de fútbol sala de la FIFA 1996,1996 FIFAフットサル世界選手権
Zamora Club de Fútbol,サモラCF
Ruta de los pueblos blancos,白い村
Tierra del Vino de Zamora,ティエラ・デル・ビノ・デ・サモラ (DO)
Isla de los Faisanes,フェザント島
Petra,ペトラ (スペイン)
Pinos Puente,ピノス・プエンテ
La Escala,ラスカーラ
Mercadona,メルカドーナ
San Felíu de Buxalleu,サン・フェリウ・デ・ブイシャレウ
.cat,.cat
Club de Fútbol Fuenlabrada,CFフエンラブラーダ
La Sellera de Ter,ラ・サリェラ・ダ・テル
Massanet de la Selva,マサネッド・ダ・ラ・セルバ
Occitania,オクシタニア
Hostalric,オスタルリック
Pantoja,パントーハ
Portugalete,ポルトゥガレテ
Puente la Reina,プエンテ・ラ・レイナ
Porcuna,ポルクナ
Diócesis de Cartagena,カルタヘナ
La Febró,ラ・ファブロー
Club Balonmano Huesca,BMウエスカ
Tour de Francia 1968,ツール・ド・フランス1968
Fútbol Club Barcelona,FCバルセロナ
Nós-Unidade Popular,ノス＝ウニダーデ・ポプラール
Dumbría,ドゥンブリーア
Pedrera,ソン・サルベーラ
Catoria,カトイラ
Unión Ibérica,イベリア連合
Utiel,ウティエル
Cadaqués,カダケス
Castellón de Ampurias,カステリョー・ダンプリアス
transporte en España,スペインの交通
Cofrentes,コフレンテス
Vilaboa,ビラボーア
Puerto de Navacerrada,ナバセラーダ峠
Flix,フリシュ
Llivia,リビア
Abadía monasterio de la Oliva,オリバ修道院
Botafumeiro,ボタフメイロ
Castillo de Javier,ハビエル城
Mues,ムエス
Copa de la Reina de Fútbol,コパ・デ・ラ・レイナ
Tenis en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのテニス競技
Mesa de los Tres Reyes,メサ・デ・ロス・トレス・レジェス
Gran Premio de Cataluña de Motociclismo de 2009,2009年のカタルーニャグランプリ
Estadio Nuevo Arcángel,エスタディオ・ヌエボ・アルカンヘル
Eurocopa de fútbol sala de 1996,1996 UEFAフットサル選手権
Eurocopa de fútbol sala de 2001,UEFAフットサル選手権 2001
Eurocopa de fútbol sala de 1999,UEFAフットサル選手権 1999
Cruz de Guerra,戦争十字章
Desojo,デソホ
Golfo de Cádiz,カディス湾
Parque Nacional de Cabañeros,カバニェロス国立公園
elecciones al Parlamento de Cataluña de 2012,2012年カタルーニャ州議会選挙
Parque natural del Delta del Ebro,エブロ・デルタ
Fomento de Construcciones y Contratas,フォメント・デ・コンストラクシオネス・イ・コントラタス
Unión de Centro Democrático,民主中道連合
Universidad de La Rioja,ラ・リオハ大学
El triunfo de Baco,バッカスの勝利
Euskotren Tranbia,エウスコ・トラン
Málaga del Fresno,マラガ・デル・フレスノ
Medalla de Oro de Navarra,ナバーラ州政府名誉勲章
Cascada de Gujuli,ゴユリの滝
Tram,バルセロナのトラム
Muruzábal,ムルサバル
Al-Ándalus,アンダルス
fuero,フエロ
Confederación Nacional del Trabajo,CNT (スペイン)
David,ダビト
Ador,アドール
Corella,コレリャ
Segunda División B de España 1995/96,リーガ
Vilobí d'Onyar,ビロビ・ドニャル
Chirivella,シリヴェーリャ
Santa Hermandad,神聖兄弟団
Abaurrea Baja,アバウレペア/アバウレア・バハ
Villafranca de Córdoba,ビジャフランカ・デ・コルドバ
Club de Rugby La Vila,CRラ・ビラ
Puigcerdá,プッチサルダー
Centelles,サンテーリャス
Nalech,ナレク
Campeonato Mundial de Ciclismo en Pista de 2007,世界選手権自転車競技大会トラックレース2007
Navantia,ナバンティア
Armilla,アルミーリャ
Fútbol Club Cartagena,FCカルタヘナ
energía nuclear en España,スペインの原子力発電
Autovía Ponferrada-Orense,ポンフェラーダ・オレンセ高速道路（スペイン）
Comarca de El Morrazo,コマルカ・ド・モラソ
Club Atlético Marbella,CAマルベーラ
Vuelta al País Vasco 1971,バスク一周1971
Anexo:Reyes visigodos,西ゴート王の一覧
elecciones al Parlamento de Cataluña de 2006,2006年カタルーニャ州議会選挙
elecciones al Parlamento de Cataluña de 2003,2003年カタルーニャ自治州議会選挙
elecciones al Parlamento de Cataluña de 1999,1999年カタルーニャ自治州議会選挙
cementerio de Montjuic,ムンジュイック墓地
Torta del Casar,トルタ・デル・カサール
Sierra de Tramontana,トラムンタナ山脈
Baztán,バスタン郡
Autovía del Mediterráneo,地中海モーターウェイ（スペイン）
Bildu,ビルドゥ
Gatica,ガティカ
Segunda batalla de Algeciras,第二次アルヘシラスの戦い
Instituto Nacional de Industria,国立産業研究所 (スペイン)
elecciones al Parlamento de Cataluña de 2010,2010年カタルーニャ州議会選挙
vascos,バスク人
Villanueva de Ávila,ビジャヌエバ・デ・アビラ
Pérez,ペレス
Folgarolas,フルガローラス
Villanueva de la Concepción,ビジャヌエバ・デ・ラ・コンセプシオン
INTA-255,INTA-255
Candidatura de Unidad Popular,人民統一候補
Acuerdo Tripartito de Madrid,マドリード協定
Vuelta a España 1992,ブエルタ・ア・エスパーニャ1992
Playa de Santiago,プラヤ・デ・サンティアゴ
Calldetenes,カルダタネス
Estadio Benito Villamarín,エスタディオ・ベニート・ビジャマリン
Observatorio astronómico del Montsec,ムンセック天文台
Museo de Bellas Artes de Bilbao,ビルバオ美術館
Marcha Real,国王行進曲
Cueva de Altamira,アルタミラ洞窟
Anexo:Futbolistas del Fútbol Club Barcelona en la Primera División de España,FCバルセロナの選手一覧
Campeonato Mundial de Atletismo de 1999,1999年世界陸上競技選手権大会
Burriana,ブリアーナ/ボリアーナ
Universidad de Valencia,バレンシア大学
Club Deportivo Raqui San Isidro,CDラキ・サン・イシドロ
Afrancesado,アフランセサード
Batzarre,バツァーレ
Campeonato de España de Ciclismo en Ruta,スペインナショナルロードレースチャンピオン
Campeonato Mundial de Karate de 2002,2002年世界空手選手権大会
Islas Chafarinas,チャファリナス諸島
Tour de Francia 1973,ツール・ド・フランス1973
Batalla del puente de Alcolea (1868),アルコレアの戦い
Batalla de Cádiz,カディスの戦い
Comarca de Tierra de Soneira,コマルカ・ダ・テーラ・デ・ソネイラ
Inter Fútbol Sala,インテルビューFS
Sindicato de Obreros del Campo,農場労働者組合
Quintana del Marco,キンターナ・デル・マルコ
Constantí,クンスタンティー
Fuentes de Andalucía,フエンテス・デ・アンダルシーア
Mollete,モレテ
batalla de Valls,バルスの戦い
Armañanzas,アルマニャンサス
Garachico,ガラチコ
Las Masías de Voltregá,ラス・マジーアス・ダ・ブルトラガー
Baliarrain,バリアライン
Alcudia,アルクーディア
gastronomía de las Islas Canarias,カナリアス料理
Lardero,ラルデーロ
Mango,マンゴ (アパレル企業)
Feria del Caballo,馬祭り
Cruces del Mérito Militar,軍功十字章 (スペイン)
Clásica de Ordizia,プルエバ・ビリャフランカ・デ・オルディシア
Canal Imperial de Aragón,アラゴン・インペリアル運河
Museo Lázaro Galdiano,ラサロ・ガルディアーノ美術館
alcázar,アルカサル
Puerto Lumbreras,プエルト・ルンブレラス
Mañón,マニョン
búlgaros,ブルガリア人
Capileira,カピレイラ
Parque natural de la Bahía de Cádiz,カディス湾自然公園
Riello,リエーリョ
Monasterio de Sant Cugat,サン・クガ修道院
Anexo:Virreyes de Nueva España,スペイン副王
Expansión,エスパンシオン
Ganekogorta,ガネコゴルタ
Parlamento de Cataluña,カタルーニャ自治州議会
Capilla de Ánimas,アニマス礼拝堂
Ribas del Sil,リバス・デ・シル
Vuelta a España 1975,ブエルタ・ア・エスパーニャ1975
Vuelta a España 1960,ブエルタ・ア・エスパーニャ1960
Zúñiga,スニガ (スペイン)
Hotel Majestic,マジェスティックホテル
Primera División de España 1982/83,リーガ・エスパニョーラ1982-1983
Tabérnolas,タベルヌラス
línea 3 del Metro de Barcelona,バルセロナ地下鉄3号線
Campo de Calatrava,カンポ・デ・カラトラーバ
Arco de Gibraltar,ジブラルタル弧
Puebla de Don Fadrique,プエブラ・デ・ドン・ファドリケ
Copa del Rey de fútbol sala,コパ・デル・レイ・デ・フットサル
Forcarey,フォルカレイ
hornazo,オルナソ
Cuadros,クアドロス
Cea,セア
Alcázar de Segovia,アルカサル
Monte Oiz,オイス山
Monte Gorbea,ゴルベア山地
Sollube,ソリュベ
Vic,ビック
Catedral de Pamplona,パンプローナ大聖堂
ruta europea E07,E07号線
Anexo:IV edición de los Premios Gaudí,第4回ガウディ賞
CRC Madrid,CRCポスエロ・マドリード
Bit Managers,ガンガバチョ
Mendaza,メンダサ
Estadio de Chamartín,エスタディオ・チャマルティン
Copa de España de fútbol sala,コパ・デル・レイ・デ・フットサル
Clásica San Sebastián 1997,クラシカ・サンセバスティアン1997
Gestor de Infraestructuras Ferroviarias,鉄道インフラ管理公団
Funicular de Montjuïc,フニクラ・デ・モンジュイック
iglesia de Santa Catalina,サンタ・カタリーナ教会
World Architecture Festival,世界建築フェスティバル
Ribamontán al Mar,リバモンタン・アル・マール
Trofeo Ramón de Carranza,ラモン・デ・カランサ杯
Ripollet,リプリェット
Rubí,ルビー
Fuentealbilla,フエンテアルビージャ
Alcántara,アルカンタラ
Bañalbufar,バニャルブファール
Icazteguieta,イカステギエタ
Rioseco de Tapia,リオセコ・デ・タピア
Lubiano,ルビアノ
Ciudad Real Madrid,シウダード・レアル・マドリード
Santa María de la Isla,サンタ・マリーア・デ・ラ・イスラ
elecciones al Parlamento de Navarra de 2003,2003年ナバーラ自治州議会選挙
Real Sociedad Gimnástica de Torrelavega,ヒムナスティカ・デ・トレラベーガ
Alcaraz,アルカラス
Santa Fe,サンタ・フェ
Ara,アラ (新聞)
Campeonato Europeo de Balonmano Masculino de 1996,1996年欧州男子ハンドボール選手権
provincia de Lérida,リェイダ県
San Cugat del Vallés,サン・クガ・ダル・バリェス
Pozuelo del Páramo,ポスエーロ・デル・パラモ
RWE,RWE
Partido Socialista Obrero Español,スペイン社会労働党
Matadepera,マタダペーラ
Castellbisbal,カステルビスバル
Instituto de los Hermanos de las Escuelas Cristianas,ラ・サール会
Santa Perpetua de Mogoda,サンタ・パルペトゥア・ダ・ムゴーダ
Badía del Vallés,バディーア・ダル・バリェス
Barberá del Vallés,バルバラー・ダル・バリェース
Escalona,エスカローナ
Liga Nacional de Fútbol Sala,リーガ・ナシオナル・デ・フットボル・サラ
Batalla de Sagrajas,サグラハスの戦い
Batalla de Villaviciosa,ビリャビシオーサの戦い
Campeonato Europeo de Baloncesto Masculino de 2007,2007年バスケットボール男子欧州選手権
Sardañola del Vallés,サルダニョーラ・ダル・バリェス
Abengibre,アベンヒブレ
Bolsa de Madrid,マドリード証券取引所
Esteríbar,エステリバル
Moncada y Reixach,ムンカーダ・イ・ラシャック
Almansa,アルマンサ
Agaete,アガエテ
Albatana,アルバターナ
Air Nostrum,エア・ノストラム
Somport,ソンポルト峠
Santutxu Fútbol Club,サントゥチュFC
Haro,アーロ
AirClass Airways,エアクラス・エアウェイズ
Air Madrid,エア・マドリード
Grado,グラド
Club Deportivo Humanes,クラブ・デポルティーボ・ウマネス
Valle del Zalabí,バリェ・デル・サラビ
Casco Viejo de  Vitoria-Gazteiz,カスコ・ビエホ
Turón,トゥロン
Puenteareas,ポンテアレーアス
Vallés Occidental,バリェス・ウクシダンタル
Bellaterra,ベリャテラ
Golada,アゴラーダ
maderada,木材流送
árabe,アラビア語
Agua de cebada,アグア・デ・セバダ
Aguilar de Campoo,アギラール・デ・カンポー
Partido Republicano Radical Socialista,急進社会主義共和党
Ducado de Gandía,ガンディア公
Bronces de Botorrita,ボトリタの刻板
Zafra,サフラ
Zahara de la Sierra,サアーラ・デ・ラ・シエーラ
República Catalana,カタルーニャ共和国
Tiebas-Muruarte de Reta,ティエバス＝ムルアルテ・デ・レタ
Tarrasa,タラサ
Santa María la Real de Nieva,サンタ・マリア・ラ・レアル・デ・ニエバ
Observatorio IRAM Pico Veleta,IRAM30m望遠鏡
Salvatierra,サルバティエラ/アグライン
Aitxuri,アイチュリ
Isla de Aquech,アケチェ島
"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",イベロアメリカ諸国機構
Zahara de los Atunes,サアラ・デ・ロス・アトゥネス
España en los Juegos Olímpicos de París 1900,1900年パリオリンピックのスペイン選手団
Alfacar,アルファカール
Trevélez,トレベレス
Complejo de Comunicaciones de Espacio Profundo de Madrid,マドリード深宇宙通信施設
Referéndum de autodeterminación de Cataluña,2014年カタルーニャ独立住民投票
Villanueva de las Torres,ビジャヌエバ・デ・ラス・トーレス
Tajo,タホ川
Valdefresno,バルデフレスノ
Paderne,パデルネ
Estación de Barcelona-La Sagrera,サグレラ駅
occitano,オック語
Zújar,スハル川
Víznar,ビスナル
Andosilla,アンドシーリャ
Agüimes,アグイーメス (ラス・パルマス)
Bilbao Arena,ビルバオ・アレナ
Supercopa de España de Balonmano,スーペルコパASOBAL
Marismas del Ampurdán,アンプルダー湿地自然公園
Pirámides de Güímar,グイマーのピラミッド
Villanueva Mesía,ビジャヌエバ・メシア
Vacarisses,ヴァカリシズー
España en los Juegos Olímpicos de Pekín 2008,2008年北京オリンピックのスペイン選手団
España en los Juegos Olímpicos de Vancouver 2010,2010年バンクーバーオリンピックのスペイン選手団
Asamblea de Madrid,マドリード自治州議会
Concejo de la Mesta,名誉あるメスタ会議
Río Noya,アノイア川
Herrera de Pisuerga,エレラ・デ・ピスエルガ
Cueva de Las Monedas,ラス・モネダス洞窟
nacionalismo andaluz,アンダルシーア・ナショナリズム
Vuelta a España 2009,ブエルタ・ア・エスパーニャ2009
Sitio de Ciudad Rodrigo (1812),シウダー・ロドリゴ包囲戦
Santiponce,サンティポンセ
San Emiliano,サン・エミリアーノ
Logroño,ログローニョ
Zarauz,サラウツ
Duero,ドウロ川
Universidad Nacional de Educación a Distancia,スペイン国立通信教育大学
El Celler de Can Roca,アル・サリェー・ダ・カン・ロカ
Vitoria,ビトリア＝ガステイス
Tazacorte,タサコルテ
Vallés Oriental,バリェス・ウリアンタル
río Guadiana,グアディアナ川
Alcover,アルコベル
Gusendos de los Oteros,グセンドス・デ・ロス・オテーロス
Júcar,フカル川
Santiago de Compostela,サンティアゴ・デ・コンポステーラ
Queso Roncal,ロンカル
catedral de Jaén,ハエン大聖堂
Coria,コリア
La Albuera,ラ・アルブエラ
España en los Juegos Olímpicos de Atlanta 1996,1996年アトランタオリンピックのスペイン選手団
España en los Juegos Olímpicos de Albertville 1992,1992年アルベールビルオリンピックのスペイン選手団
España en los Juegos Olímpicos de Ámsterdam 1928,1928年アムステルダムオリンピックのスペイン選手団
Estelada,アスタラーダ
Aeropuerto de Murcia-San Javier,ムルシア＝サン・ハビエル空港
España en los Juegos Olímpicos de Sapporo 1972,1972年札幌オリンピックのスペイン選手団
España en los Juegos Olímpicos de Turín 2006,2006年トリノオリンピックのスペイン選手団
España en los Juegos Olímpicos de Salt Lake City 2002,2002年ソルトレークシティオリンピックのスペイン選手団
Pepe Jeans,ペペ・ジーンズ
Tren cremallera de Montserrat,モンセラット登山鉄道
Treviño,トレビニョ
Puerta del Sol,プエルタ・デル・ソル
Mirinda,ミリンダ
Majadahonda,マハダオンダ
Convergència i Unió,集中と統一
España en los Juegos Olímpicos de Cortina d'Ampezzo 1956,1956年コルティナダンペッツォオリンピックのスペイン選手団
España en los Juegos Olímpicos de Garmisch-Partenkirchen 1936,1936年ガルミッシュ・パルテンキルヘンオリンピックのスペイン選手団
Bidasoa,ビダソア川
Nervión,ネルビオン川
España en los Juegos Olímpicos de Innsbruck 1964,1964年インスブルックオリンピックのスペイン選手団
España en los Juegos Olímpicos de Nagano 1998,1998年長野オリンピックのスペイン選手団
Invencible Inglesa,イングランド無敵艦隊
Zamudio,サムディオ
Piedra Zanata,ザナタ石
Oviedo,オビエド
Sella,セーリャ川
Volta a Cataluña 2010,カタルーニャ一周2010
Saja,サハ川
Besaya,ベサージャ川
Nansa,ナンサ川
