Margareta Kozuch,マルガレーテ・コズーフ
Grzegorz Dolniak,グジェゴシュ・ドルニャク
Jerzy Semkow,イェジー・セムコフ
Romain Gary,ロマン・ガリー
Bogdan Borusewicz,ボグダン・ボルセヴィチ
Magdalena Abakanowicz,マグダレナ・アバカノヴィチ
Marcel Witeczek,マルセル・ヴィテチェク
Zygmunt Bauman,ジグムント・バウマン
Janusz Palikot,ヤヌシュ・パリコト
Jerzy Makula,イェジー・マクラ
Witold Rowicki,ヴィトルド・ロヴィツキ
Rafał Wolski,ラファウ・ヴォルスキ
Michael Schudrich,マイケル・シュドリッチ
Bogdan Hutten-Czapski,ボグダン・フォン・フッテン＝チャプスキ
Wit Stwosz,ファイト・シュトース
Savielly Tartakower,サベリ・タルタコワ
Janusz Piekałkiewicz,ヤヌツ・ピカルキヴィッツ
Bolesław Wieniawa-Długoszowski,ヴワディスワフ・ラチュキェヴィチ
Adam Michnik,アダム・ミフニク
Markus Brzenska,マルクス・ブルツェンスカ
Kazimierz Kuratowski,カジミェシュ・クラトフスキ
Edward Ochab,エドワルド・オハブ
Witold Lutosławski,ヴィトルト・ルトスワフスキ
Władysław Szpilman,ウワディスワフ・シュピルマン
Teodor Leszetycki,テオドル・レシェティツキ
Marek Grechuta,マレク・グレフタ
Wojciech Marczewski,ヴォイチェフ・マルチェフスキ
Jerzy Łoś,イェジー・ウォジ
Adolf Chybiński,アドルフ・フビヌスキ
Aleksander Tansman,アレクサンデル・タンスマン
Zbigniew Herbert,ズビグニェフ・ヘルベルト
Leopold Kozłowski-Kleinman,レオポルト・コツロフスキ
Siemomysł,シェモムィスウ
Andrzej Lepper,アンジェイ・レッペル
Józef Wittlin,ヨーゼフ・ヴィットリン
Maciej Paterski,マツィエイ・パテルスキ
Jerzy Petersburski,イェジィ・ペテルスブルスキ
Jerzy Hoffman,イェジ・ホフマン
Stanislaw Adamowitsch Messing,スタニスラフ・メッシング
Zygmunt Stojowski,ジグムント・ストヨフスキ
Rafał Majka,ラファウ・マイカ
Stanisław Kozierowski,スタニスワフ・コジエロフスキ
Grzegorz Schetyna,グジェゴシュ・スヘティナ
Janusz Kamiński,ヤヌス・カミンスキー
Józef Glemp,ユゼフ・グレムプ
Wojciech Łobodziński,ヴォイチェフ・ロボジンスキ
Wincenty Kadłubek,ヴィンツェンティ・カドゥウベック
Bolesław Leśmian,ボレスワフ・レシミャン
Bolesław Woytowicz,ボレスワフ・ヴォイトヴィチ
Michał Żyro,ミハウ・ジロ
Mariusz Fyrstenberg,マリウシュ・フィルステンベルク
Michał Bąkiewicz,ミハウ・ボンキェビッチ
Andrzej Kubica,アンジェイ・クビツァ
Zawisza Czarny z Garbowa,ザヴィシャ・チャルニ
Kornel Morawiecki,コルネル・モラヴィエツキ
Daniel Schultz,ダニエル・シュルツ
Hipolit Cegielski,ヒポリト・ツェギェルスキ
Kazimierz Żorawski,カジュミェシュ・ゾラフスキ
Tomasz Jodłowiec,トマシュ・ヨドウォビエツ
Wojciech Gerson,ヴォイチェフ・ゲルソン
Wojciech Skupień,ヴォイチェフ・スクーピエン
Jerzy Radziwiłowicz,イエジー・ラジヴィオヴィッチ
Jon Johansen,ヨン・レック・ヨハンセン
Andrzej Trzaskowski,アンジェイ・トシャスコフスキ
Jacek Zieliński,ヤツェク・ジェリンスキ
Maciej Sadlok,マチェイ・サドロク
Marian Dudziak,マリアン・ドゥジアック
Michał Marian Siedlecki,ミハウ・シェドレツキ
Jan Gottlieb Bloch,イヴァン・ブロッホ
Wincenty Lutosławski,ヴィンツェンティ・ルトスワフスキ
Stanisław Zaremba,スタニスワフ・ザレンバ
Jacek Rostowski,ヤン・ヴィンツェント＝ロストフスキ
Michał Chałbiński,ミハル・ハルビンスキ
Adrian Zieliński,アドリアン・ジェリンスキ
Stefan Wyszyński,ステファン・ヴィシンスキー
Władysław Anders,ヴワディスワフ・アンデルス
Zbigniew,ズビグニェフ
Zbigniew Bujak,ズビグニェフ・ブヤク
Stanisław Jerzy Lec,スタニスワフ・イェジ・レック
Małgorzata Foremniak,マウゴジャタ・フォレムニャク
David Seymour,デヴィッド・シーモア
Zbigniew Cybulski,ズビグニェフ・ツィブルスキ
David Zabriskie,デヴィッド・ザブリスキー
Piotr Słonimski,ピオトル・スウォニムスキ
George E. Stone,ジョージ・E・ストーン
Artur Rodziński,アルトゥール・ロジンスキ
Karol Olszewski,カオル・オルシェフスキ
Jakub Kosecki,ヤクブ・コセツキ
Benedykt Dybowski,ベネディクト・ディボフスキィ
Jan Werner,ヤン・ヴェルナー
Witold Pyrkosz,ヴィトルト・プィルコシュ
Władysław Kosiniak-Kamysz,ヴワディスワフ・コシニャク＝カミシュ
Karol Modzelewski,カロル・モゼレフスキ
Tomasz Rząsa,トマシュ・ジョンサ
Leonard Piątek,レオナルト・ピョンテク
Anna Badora,アンナ・バドラ
Ernest Wilimowski,エルンスト・ヴィリモフスキ
Zbigniew Kaczmarek,ズビグニェフ・タデウシュ・カチュマレク
Marcin Mięciel,マルチン・ミェンチェル
Michał Listkiewicz,ミハウ・リストキエヴィチ
Dariusz Wolski,ダリウス・ウォルスキー
Krzysztof Matyjaszewski,クリストフ・マテャシェフスキー
Olgierd Łukaszewicz,オルギエルド・フカシェヴィチ
Jarosław Iwaszkiewicz,ヤロスワフ・イヴァシュキェヴィッチ
Kazimierz Brandys,カジミェシュ・ブランディス
Grzegorz Napieralski,グジェゴシュ・ナピェラルスキ
Zbigniew Rybczyński,ズビグニュー・リプチンスキー
Zbigniew Seifert,ズビグニェフ・セイフェルト
Jerzy Kawalerowicz,イェジー・カヴァレロヴィチ
Paweł Wypych,パヴェウ・ヴィプィフ
Zbigniew Zapasiewicz,ズビグニエフ・ザパシエヴィッツ
Meir Vilner,メイル・ヴィルナー
Marcin Zaleski,マルチン・ザレスキー
Julian Tuwim,ユリアン・トゥヴィム
Aleksander Kakowski,アレクサンデル・カコフスキ
Mieczysław Horszowski,ミェチスワフ・ホルショフスキ
Rafał A. Ziemkiewicz,ラファウ・ジェムキェヴィチ
Izrael Jehoszua Singer,イズラエル・ジョシュア・シンガー
Tadeusz Płoski,タデウシュ・プウォスキ
Władysław Stasiak,ヴワディスワフ・スタシャク
Zbyszko Cyganiewicz,スタニスラウス・ズビスコ
Paul Slowinski,ポール・スロウィンスキー
Jerzy Adamski,イェジ・アダムスキ
Zbigniew Pietrzykowski,ズビグニェフ・ピトロシュコスキー
Krzysztof Janus,クシシュトフ・ヤヌス
Jacques Bergier,ジャック・ベルジェ
Szymon Askenazy,シモン・アスケナジ
Bogdan Lis,ボグダン・リス
Dariusz Ławrynowicz,ダルイス・ラブリノビッチ
Krzysztof Ławrynowicz,クシストフ・ラブリノビッチ
Robert Acquafresca,ロベルト・アクアフレスカ
Paweł Golański,パヴェウ・グラインスキ
Paweł Pawlikowski,パヴェル・パヴリコフスキー
Wilhelm Sasnal,ヴィルヘルム・サスナル
Mieczysław Rakowski,ミェチスワフ・ラコフスキ
Krzysztof Warlikowski,クシシュトフ・ワリコフスキ
Michał Heller,ミハウ・ヘラー
Jacek Ziober,ヤツェク・ジオベール
Zbigniew Preisner,ズビグニエフ・プレイスネル
Zbigniew Religa,ズビグニェフ・レリガ
Leopold Okulicki,レオポルト・オクリツキ
Piotr Murdzia,ピョトル・ムルヂャ
Stanisław Przybyszewski,スタニスワウ・プシュビシェウスキ
Mariusz Siudek,マリウス・シュデク
Radosław Sobolewski,ラドスワフ・ソボレフスキ
Piotr Giza,ピオトル・ギザ
Etgar Keret,エトガー・ケレット
Seweryn Gancarczyk,セヴェリン・ガンチャルチク
Izrael Szahak,イスラエル・シャハク
Marian Kamil Dziewanowski,マリアン・カミル・ジエヴァノフスキ
Robert Zajonc,ロバート・ザイアンス
Zenon Jankowski,ゼノン・ヤンコフスキ
Stefan Hula,ステファン・フラ
Stanisław Wycech,スタニスワフ・ヴィツェフ
Zbigniew Wassermann,ズビグニェフ・ヴァセルマン
Piotr Anderszewski,ピョートル・アンデルジェフスキ
Ansgar Pichen,アンスカー・ピヒン
Grzegorz Peradze,グリゴール・ペラッツェ
Władysław Odonic,ヴワディスワフ・オドニツ
Włodzimierz Kotoński,ヴウォジミェシュ・コトンスキ
Leszek Błażyński,レセック・ブラシンスキ
Zbigniew Namysłowski,ズビグニエフ・ナミスオフスキ
Władysław Bartoszewski,ヴワディスワフ・バルトシェフスキ
Szymon Kołecki,シモン・コレツキ
Michel Jazy,ミシェル・ジャジ
Zyndram z Maszkowic,ジンダム・ス・マシュコヴィツ
Jan Urban,ヤン・ウルバン
Zdzisław Krzyszkowiak,ズジスワフ・クシシュコヴィアク
Zdzisław Jachimecki,ズジスワフ・ヤヒメツキ
Sławomir Rawicz,スラヴォミール・ラウイッツ
Józef Szajna,ユゼフ・シャイナ
Victor Sikora,ヴィクトル・シコラ
Janusz Kusociński,ヤヌス・クソチンスキー
Bronisław Kaper,ブロニスラウ・ケイパー
Zdzisław Beksiński,ズジスワフ・ベクシンスキー
Kosma Złotowski,コスマ・ズロトフスキー
Jan Mikusiński,ヤン・ミクシンスキー
Jack Tramiel,ジャック・トラミエル
Józef Paczoski,ヨゼフ・パチョスキ
Bohdan Paczyński,ボフダン・パチンスキ
Emerson Fittipaldi,エマーソン・フィッティパルディ
Robert Biedroń,ロベルト・ビェドロニュ
Edward Klabiński,エドゥアール・クラビニスキ
Mykoła Pławiuk,ミコラ・プラヴィク
Borys Sawinkow,ボリス・サヴィンコフ
Leszek Możdżer,レシェック・モジジェル
Jerzy Potocki,イェジ・ユゼフ・ポトツキ
Allan Starski,アラン・スタルスキ
Bernard świdnicki,ベルナルト
Wilhelm Brasse,ヴィルヘルム・ブラッセ
Stanisława Walasiewicz,スタニスラワ・ワラシェビッチ
Piotr Żyła,ピオトル・ジワ
Bronisław Dembowski,ブロニスワフ・デンボフスキ
Bronisław Gimpel,ブロニスワフ・ギンペル
Marian Goliński,マリアン・ゴーリンスキ
Jerzy Urban,イェジー・ウルバン
Jan Reszke,ジャン・ド・レシュケ
Marek Bajor,マレク・バヨル
Władysław Żeleński,ヴワディスワフ・ジェレンスキ
Włodzimierz Potasiński,ヴウォジミェシュ・ポタジンスキ
Alain Finkielkraut,アラン・フィンケルクロート
Szalom Asz,ショーレム・アッシュ
Artur Rubinstein,アルトゥール・ルービンシュタイン
Kazimierz Górski,カジミエシュ・グルスキー
Franciszek Gąsienica Groń,フランチシェック・ガシエニカ・グロン
Paweł Huelle,パヴェウ・ヒュレ
Bronko Nagurski,ブロンコ・ナグルスキー
Piotr Kowalski,ピオトル・コワルスキー
Serge Silberman,セルジュ・シルベルマン
Timothée Kolodziejczak,ティモテー・コロジエチャク
Agata Zubel,アガタ・ズベル
Agenor Romuald Gołuchowski,アゲノル・ロムアルト・ゴウホフスキ
Morris Hirshfield,モーリス・ハーシュフィールド
Andrzej Dzięga,アンドレイ・ジェンガ
Karol Joseph Bobko,カロル・J・ボブコ
Łukasz Załuska,ウカシュ・ザウスカ
Łukasz Żygadło,ウカシュ・ジュガド
Dorota Medyńska,ドロタ・メディンスカ
Tadeusz Makowski,タデウシュ・マコフスキ
Mariusz Handzlik,マリウシュ・ハンズリク
Agata Wróbel,アガタ・ウロベル
Katarzyna Nosowska,カタジーナ・ノソフスカ
Jacek Zieliński,ヤツェク・ジェリンスキ
Ferdynand Ossendowski,フェルディナント・アントーニ・オセンドウスキイ
Mariusz Stępiński,マリウシュ・ステピンスキ
Piotr Michałowski,ピョートル・ミハウォフスキ
Friedrich von Beust,フリードリヒ・フェルディナント・フォン・ボイスト
Maciej Nalepa,マチェイ・ナレパ
Maciej Frankiewicz,マツィエイ・フランキエヴィッツ
Jacek Chmielnik,ジャック・チェミルニク
Łukasz Szukała,ウカシュ・シュカワ
Mariusz Kwiecień,マリウシュ・クヴィエチェン
Žydrūnas Savickas,ズルーネス・ザビッカス
Rudolf Weigl,ルドルフ・ヴァイグル
Józef Czapski,ユゼフ・チャプスキ
Krzysztof Kolberger,クシシュトフ・コルベルゲル
Tomasz Stańko,トーマス・スタンコ
Aga Mikolaj,アガ・ミコライ
Agata Buzek,アガタ・ブゼク
Ryszard Bakst,リシャルト・バクスト
Dan Dickau,ダン・ディッカウ
Kinga Ilgner,キンガ・イルグナー
Tomasz Wójtowicz,トマシュ・ボイトビッチ
Żaneta Glanc,ザネータ・グランツ
Jonatan Eibeschütz,ヨーナタン・アイベシュッツ
