Andrzej Wajda,アンジェイ・ワイダ
Marek Belka,マレック・ベルカ
Jerzy Buzek,イェジ・ブゼク
Józef Oleksy,ユゼフ・オレクスィ
Tadeusz Mazowiecki,タデウシュ・マゾヴィエツキ
Stephanie Kwolek,ステファニー・クオレク
Kazimierz Marcinkiewicz,カジミェシュ・マルチンキェヴィチ
Jarosław Kaczyński,ヤロスワフ・カチンスキ
Roman Giertych,ロマン・ギェルティフ
Karol Radek,カール・ラデック
Karol Rathaus,カロル・ラートハウス
Josef Jadassohn,ヨーゼフ・ヤーダスゾーン
Leszek Balcerowicz,レシェク・バルツェロヴィチ
Hanna Suchocka,ハンナ・スホツカ
Adam Kokoszka,アダム・ココシュカ
Lidia Zamenhof,リディア・ザメンホフ
Kazimierz Bein,カジミエシュ・バイン
Sławomir Mrożek,スワヴォーミル・ムロージェク
Edward Strasburger,エードゥアルト・シュトラースブルガー
Charles Kowal,チャールズ・トーマス・コワル
Menachem Begin,メナヘム・ベギン
Józef Chasyd,ヨーゼフ・ハシッド
Stanisław Wielgus (duchowny),スタニスワフ・ヴィエルグス
Adam Matysek,アダム・マティセク
Adam Przeworski,アダム・プシェヴォルスキ
Adam Rapacki (polityk),アダム・ラパツキ
Paulina Ligocka,パウリーナ・リゴツカ
Tomasz Wróblewski (muzyk),トーマシュ・ウロブレフスキ
Tomasz Wałdoch,トマシュ・ヴァウドフ
Wojciech Korfanty,ヴォイチェフ・コルファンティ
Alexander Herr,アレクサンダー・ヘル
Kamil Glik,カミル・グリク
Arkadiusz Milik,アルカディウシュ・ミリク
Lukas Podolski,ルーカス・ポドルスキ
Bolesław Prus,ボレスワフ・プルス
Adam Sarota,アダム・サロタ
Adam Stefan Sapieha,アダム・ステファン・サピエハ
Marcin Matkowski,マルチン・マトコフスキ
Roman Ingarden,ローマン・インガルデン
Stanisław ze Szczepanowa,シュチェパヌフのスタニスラウス
Adolf Schulz-Evler,アドルフ・シュルツ＝エヴラー
Adam Zagajewski,アダム・ザガエフスキ
Andrzej Szarmach,アンジェイ・シャルマッフ
Krystian Zimerman,クリスティアン・ツィマーマン
Rafał Wolski (piłkarz),ラファウ・ヴォルスキ
Robert Lewandowski,ロベルト・レヴァンドフスキ
Jakub Błaszczykowski,ヤクブ・ブワシュチコフスキ
Marek Saganowski,マレク・サガノフスキ
Marcin Gortat,マルチン・ゴルタット
Jerzy Makula,イェジー・マクラ
Bartosz Kurek,バルトシュ・クレク
Aleksander Tansman,アレクサンデル・タンスマン
Stanisław Messing,スタニスラフ・メッシング
Tadeusz Baird,タデウシュ・バイルト
Mirosław Hermaszewski,ミロスワフ・ヘルマシェフスキ
Mariusz Jop,マリウシュ・ヨプ
Marcel Witeczek,マルセル・ヴィテチェク
Irena Sendlerowa,イレーナ・センドラー
Władysław Sikorski,ヴワディスワフ・シコルスキ
Emmanuel Olisadebe,エマヌエル・オリサデベ
Mieszko II Lambert,ミェシュコ2世・(ポーランド王)
Jerzy Janowicz,イェジ・ヤノヴィッツ
Kazimierz Funk,カシミール・フンク
Ryszard Szurkowski,ルィシャルド・シュルコヴスキ
Paweł Klecki,パウル・クレツキ
Bezprym,ベスプリム
Łukasz Piszczek,ウカシュ・ピシュチェク
Georges Charpak,ジョルジュ・シャルパク
Marcel Reich-Ranicki,マルツェル・ライヒ＝ラニツキ
Krzysztof Penderecki,クシシュトフ・ペンデレツキ
Leon Feldhendler,レオン・フェルトヘンドラー
Daniel Libeskind,ダニエル・リベスキンド
Maria Andegaweńska,マーリア・(ハンガリー女王)
Sebastian Boenisch,セバスティアン・ボエニシュ
Jerzy Popiełuszko,イエジ・ポピエウシュコ
Witold Lutosławski,ヴィトルト・ルトスワフスキ
Władysław Szpilman,ウワディスワフ・シュピルマン
Romain Gary,ロマン・ガリー
Marek Grechuta,マレク・グレフタ
Magdalena Abakanowicz,マグダレーナ・アバカノヴィッチ
Wojciech Marczewski,ヴォイチェフ・マルチェフスキ
Stanisław Kozierowski,スタニスワフ・コジエロフスキ
Teodor Leszetycki,テオドル・レシェティツキ
Marian Dudziak,マリアン・ドゥジアック
Gabriel Chmura,ガブリエル・フムラ
Artur Rodziński,アルトゥール・ロジンスキ
Łukasz Fabiański,ウカシュ・ファビアンスキ
Leonid Hurwicz,レオニード・ハーヴィッツ
Anna Maria Jopek,アナ・マリア・ヨペック
Bronisław Geremek,ブロニスワフ・ゲレメク
Leszek Kołakowski,レシェク・コワコフスキ
Henryk Sienkiewicz,ヘンリク・シェンキェヴィチ
Jan Gottlieb Bloch,イヴァン・ブロッホ・(銀行家)
Robert Kubica,ロバート・クビサ
Janusz Kamiński (operator filmowy),ヤヌス・カミンスキー
Zygmunt Bauman,ジグムント・バウマン
Wisława Szymborska,ヴィスワヴァ・シンボルスカ
Rob Van Dam,ロブ・ヴァン・ダム
Bronisław Komorowski,ブロニスワフ・コモロフスキ
Marian Rejewski,マリアン・レイェフスキ
Jarosław Iwaszkiewicz,ヤロスワフ・イヴァシュキェヴィッチ
Czesław Miłosz,チェスワフ・ミウォシュ
Szymon Askenazy,シモン・アスケナジ
Marek Edelman,マレク・エデルマン
Jerzy Kawalerowicz,イェジー・カヴァレロヴィチ
Jan Urban (piłkarz),ヤン・ウルバン
Jerzy Konstanty Czartoryski,イェジ・コンスタンティ・チャルトリスキ
Ernest Wilimowski,エルンスト・ヴィリモフスキ
Halina Czerny-Stefańska,ハリーナ・チェルニー＝ステファンスカ
David Seymour (fotoreporter),デヴィッド・シーモア
Zdzisław Hoffmann,ズジスワフ・ホフマン
Kazimierz Kuratowski,カジミェシュ・クラトフスキ
Stefan Wyszyński,ステファン・ヴィシンスキー
Wit Stwosz,ファイト・シュトース
Michał Żyro,ミハウ・ジロ
Władysław Anders,ヴワディスワフ・アンデルス
Michał Bąkiewicz,ミハウ・ボンキェビッチ
Jon Johansen,ヨン・レック・ヨハンセン
Mariusz Fyrstenberg,マリウシュ・フィルステンベルク
Bolesław V Wstydliwy,ボレスワフ5世
Bolesław II Szczodry,ボレスワフ2世・(ポーランド王)
Bolesław IV Kędzierzawy,ボレスワフ4世
Zbigniew Cybulski,ズビグニェフ・ツィブルスキ
Jan I Olbracht,ヤン1世・(ポーランド王)
Zbigniew (polski książę),ズビグニェフ・(ポーランド公)
Kazimierz I Odnowiciel,カジミェシュ1世
Bernard świdnicki,ベルナルト・(シフィドニツァ公)
Piotr Kowalski (rzeźbiarz),ピオトル・コワルスキー
Piotr Żyła,ピオトル・ジワ
Stanisław Cyganiewicz,スタニスラウス・ズビシュコ
Ernest Pohl,エルンスト・ポール
Witold Rowicki,ヴィトルド・ロヴィツキ
Jerzy Semkow,イェジー・セムコフ
Rafał Majka,ラファウ・マイカ
Zygmunt Stojowski,ジグムント・ストヨフスキ
Krzysztof Matyjaszewski,クリストフ・マテャシェフスキー
Dariusz Wolski,ダリウス・ウォルスキー
Jacek Rostowski,ヤン・ヴィンツェント＝ロストフスキ
Etgar Keret,エトガル・ケレット
Jerzy Skolimowski,イエジー・スコリモフスキ
Adrian Mierzejewski,アドリアン・ミェジェイェフスキ
Robert Zajonc,ロバート・ザイアンス
Witold Pyrkosz,ヴィトルト・プィルコシュ
Paweł Słowiński,ポール・スロウィンスキー
Roman Polański,ロマン・ポランスキー
Wojciech Gerson,ヴォイチェフ・ゲルソン
Piotr Anderszewski,ピョートル・アンデルジェフスキ
Ansgar Pichen,アンスカー・ピヒン
Bohdan Paczyński,ボフダン・パチンスキ
Józef Paczoski,ヨゼフ・パチョスキ
Mieczysław Horszowski,ミェチスワフ・ホルショフスキ
Zenon Jankowski,ゼノン・ヤンコフスキ
Aleksander Kakowski,アレクサンデル・カコフスキ
Andrzej Kubica,アンジェイ・クビツァ
Zawisza Czarny z Garbowa,ザヴィシャ・チャルニ
Jacek Zieliński (ur. 1967),ヤツェク・ジェリンスキ・(1967年生のサッカー選手)
David Zabriskie,デヴィッド・ザブリスキー
Benedykt Dybowski,ベネディクト・ディボフスキィ
Wojciech Skupień,ヴォイチェフ・スクーピエン
Tomasz Jodłowiec,トマシュ・ヨドウォヴィエツ
Zbigniew Preisner,ズビグニエフ・プレイスネル
Zbigniew Namysłowski,ズビグニエフ・ナミスオフスキ
Krzysztof Ławrynowicz,クシシュトフ・ラヴリノヴィチ
Robert Acquafresca,ロベルト・アクアフレスカ
Dariusz Ławrynowicz,ダリウシュ・ラヴリノヴィチ
Serge Silberman,セルジュ・シルベルマン
Zbigniew Rybczyński,ズビグニュー・リプチンスキー
Zbigniew Seifert,ズビグニェフ・セイフェルト
Bronisław Gimpel,ブロニスワフ・ギンペル
Bronisław Kaper,ブロニスラウ・ケイパー
Victor Sikora,ヴィクトル・シコラ
Jan Mikusiński,ヤン・ミクシンスキー
Stanisław Przybyszewski,スタニスワフ・プシビシェフスキ
Edward Klabiński,エドゥアール・クラビニスキ
Stanisław Wycech,スタニスワフ・ヴィツェフ
Tomasz Rząsa,トマシュ・ジョンサ
Jan Werner (lekkoatleta),ヤン・ヴェルナー
Ryszard Bakst,リシャルト・バクスト
Anna Biedrzycka-Sheppard,アンナ・B・シェパード
Piotr Świerczewski,ピオトル・シビエルチェフスキ
Mark Grudzielanek,マーク・グルジラネック
Dan Dickau,ダン・ディッカウ
Zdzisław Beksiński,ズジスワフ・ベクシンスキー
Jack Tramiel,ジャック・トラミエル
Szalom Asz,ショーレム・アッシュ
Alain Finkielkraut,アラン・フィンケルクロート
Mariusz Siudek,マリウス・シュデク
Maciej Sadlok,マチェイ・サドロク
Władysław Kosiniak-Kamysz,ヴワディスワフ・コシニャク＝カミシュ
Me’ir Wilner,メイル・ヴィルナー
Paweł Pawlikowski,パヴェウ・パヴリコフスキ
Timothée Kolodziejczak,ティモテー・コロジエチャク
Jerzy Potocki (ambasador),イェジ・ユゼフ・ポトツキ
Antoni Adam Piotrowski,アントニ・ピオトロフスキー
Stanisław Skalski (lotnik),スタニスワフ・スカルスキ
Tomasz Stańko,トーマス・スタンコ
Friedrich von Beust,フリードリヒ・フェルディナント・フォン・ボイスト
Boris Sawinkow,ボリス・サヴィンコフ
Mariusz Stępiński,マリウシュ・ステピンスキ
Dorota Medyńska,ドロタ・メディンスカ
Tomasz Wójtowicz,トマシュ・ボイトビッチ
Franciszek Gąsienica Groń,フランチシェック・ガシエニカ・グロン
Paweł Huelle,パヴェウ・ヒュレ
Władysław Bartoszewski,ヴワディスワフ・バルトシェフスキ
Michel Jazy,ミシェル・ジャジ
Władysław Odonic,ヴワディスワフ・オドニツ
Leszek Możdżer,レシェック・モジジェル
Emerson Fittipaldi,エマーソン・フィッティパルディ
Stanisława Walasiewicz,スタニスラワ・ワラシェビッチ
Janusz Kusociński,ヤヌス・クソチンスキー
Łukasz Załuska,ウカシュ・ザウスカ
Łukasz Szukała,ウカシュ・シュカワ
Łukasz Żygadło,ウーカシュ・ジガドウォ
Wojciech Kurtyka,ヴォイテク・クルティカ
Julia Hartwig,ユリア・ハルトヴィク
Piotr Michałowski,ピョートル・ミハウォフスキ
Władysław Żeleński,ヴワディスワフ・ジェレンスキ
Jacek Chmielnik,ジャック・チェミルニク
Agata Buzek,アガタ・ブゼク
Józef Michał Poniatowski,ユゼフ・ミハウ・ポニャトフスキ
Antoni Łaciak,アントニ・ワチアク
Antoni Wit,アントニ・ヴィト
Władysław Kowalski (wrestler),キラー・コワルスキー
Rafał Kalinowski,ラファエル・カリノフスキー
Wojciech Weiss,ヴォイチェフ・ヴァイス
Jerzy Makarczyk,イェジ・マカルチク
Janusz Franciszek Radziwiłł,ヤヌシュ・フランチシェク・ラジヴィウ
Michał Urbaniak,マイケル・ウルバニアク
Henryk Melcer-Szczawiński,ヘンリク・メルツェル＝シュチャヴィニスキ
Agata Zubel,アガタ・ズベル
Agenor Romuald Gołuchowski,アゲノル・ロムアルト・ゴウホフスキ
Agnieszka Duczmal,アグニェシュカ・ドゥチマル
Filip Bednarek,フィリップ・ベドナレク
Biernat z Lublina,ルブリンのビェルナト
Michał Przysiężny,ミハル・プシシェズニ
Tomasz Adamek,トマシュ・アダメク
Łukasz Jarosz (kickbokser),ルーカス・ヤロス
Harald Konopka,ハーラルト・コノプカ
Wojciech Szczęsny,ヴォイチェフ・シュチェスニー
Łeonid Krawczuk,レオニード・クラフチュク
Icchok Lejb Perec,イツホク・レイブシュ・ペレツ
Maciej Słomczyński,マチェイ・スウォムチンスキー
Zenon Jaskuła,ゼノン・ヤスクワ
Sławomir Peszko,スワヴォミル・ペシュコ
Dan Marino,ダン・マリーノ
Artur Rubinstein,アルトゥール・ルービンシュタイン
Krzysztof Komeda,クシシュトフ・コメダ
Jerzy Iwanow-Szajnowicz,ジャージー・イワノウ・シャウノビッチ
Andrzej Buncol,アンジェイ・ブンツォル
Igor Mitoraj,イゴール・ミトライ
Wojciech Fortuna,ヴォイチェフ・フォルトゥナ
Aleksander Gierymski,アレクサンデル・ギェルィムスキ
Janusz Kierzkowski,ヤヌシュ・キエジュコヴスキ
Jerzy Dudek,イェジー・ドゥデク
Ignacy Jan Paderewski,イグナツィ・パデレフスキ
Wacław Niżyński,ヴァーツラフ・ニジンスキー
Marcin z Opawy,オパヴァのマルティン
Władysław Taczanowski (zoolog),ヴワディスワフ・タチャノフスキ
Carl Yastrzemski,カール・ヤストレムスキー
Waldemar Baszanowski,ヴァルデマル・バシャノフスキ
Michał Kwiatkowski (kolarz),ミハウ・クフャトコフスキ
Andrzej Ancuta,アンジェイ・アンクタ
Jan Nagórski,ヤン・ナグルスキ
Piotr Celeban,ピョートル・ツェレバン
Cesare Benedetti,チェーザレ・ベネデッティ
Paweł Edelman,パヴェル・エデルマン
Marcin Urbaś,マルチン・ウルバス
Thiago Cionek,チアゴ・ハンジェウ・チョネク
Nâzım Hikmet,ナーズム・ヒクメット
Oscar Lewicki,オスカル・レヴィツキ
Jan Wnęk,ヤン・ヴネンク
Sebastian Świderski,セバスチャン・シフィデフスキ
Mitch Kupchak,ミッチ・カプチャック
Janusz Sidło,ヤヌス・シドウォ
Doda (piosenkarka),ドロタ・ラプチェフスカ
Jan A.P. Kaczmarek,ヤン・A・P・カチュマレク
Tadeusz Kasprzycki,タデウシュ・カスプシツキ
Gintaras Steponavičius,ギンタラス・ステポナヴィチュス
Antoni Zajkowski,アントニー・ザイコフスキー
Grzegorz Bodziana,グジェゴシ・ボジアナ
Jean Graczyk,ジャン・グラチィク
Stanisław Skrowaczewski,スタニスワフ・スクロヴァチェフスキ
Eugenia Umińska,エウゲニア・ウミンスカ
Tomasz Frankowski,トーマス・フランコフスキー
Artur Boruc,アルトゥール・ボルツ
Alfred Tarski,アルフレト・タルスキ
Agnieszka Radwańska,アグニエシュカ・ラドワンスカ
Szymon Ziółkowski,シモン・ジョルコフスキ
Adam Małysz,アダム・マリシュ
Dorota Siudek,ドロタ・シュデク
Maria Kwaśniewska,マリア・クファシニェフスキ
Marcin Wasilewski (muzyk),マルチン・ボシレフスキ
Piotr Sobociński,ピョートル・ソボチンスキー
Krzysztof Miętus,クシシュトフ・ミエトゥス
Paweł Zagumny,パベウ・ザグムニ
Leon Pinsker,レオン・ピンスケル
Beatrycze świdnicka,ベアトリチェ・シフィドニツカ
Anna Miros,アンナ・ポドレッツ
Halina Górecka,ハリナ・ゴレツカ
Dariusz Michalczewski,ダリユシュ・ミハルチェフスキ
Andrzej Panufnik,アンジェイ・パヌフニク
Jerzy Edigey,イェジィ・エディゲイ
Jarosław opolski,ヤロスワフ・(オポーレ公)
Maria Kaczyńska,マリア・カチンスカ
Felix Nussbaum,フェリックス・ヌスバウム
Abraham Joshua Heschel,アブラハム・ヨシュア・ヘッシェル
Ryszard Kapuściński,リシャルト・カプシチンスキ
Jerzy Fitelberg,イェジー・フィテルベルク
Wanda Jakubowska,ヴァンダ・ヤクボフスカ
Anna Langfus,アンナ・ラングフュス
Jan Krenz (dyrygent),ヤン・クレンツ
Krzysztof Meyer,クシシュトフ・メイエル
James Pawelczyk,ジェームズ・パウェルチェイク
Moriz Rosenthal,モーリツ・ローゼンタール
Jan Karski,ヤン・カルスキ
Damien Perquis (ur. 1984),ダミアン・ペルキ
Michel Schwalbé,ミシェル・シュヴァルベ
Bolesław III Rozrzutny,ボレスワフ3世ロズジュトヌィ
Bob Kurland,ボブ・カーランド
Michał Kalecki,ミハウ・カレツキ
Paweł Kieszek,パヴェウ・キェシェク
René Leibowitz,ルネ・レイボヴィッツ
Tadeusz Szeligowski,タデウシュ・シェリゴフスキ
Tony Zale,トニー・ゼール
Emil Młynarski,エミル・ムイナルスキ
Marek Kamiński (podróżnik),マレック・カミンスキー
Jan Smeterlin,ヤン・スメテルリン
Kazimierz Kutz,カジミェシュ・クッツ
Alfred Józef Potocki,アルフレト・ユゼフ・ポトツキ
Katarzyna Figura,カタジーナ・フィグラ
Grzegorz Rasiak,グジェゴシュ・ラシャク
Tomasz Radzinski,トマシュ・ラジンスキ
Basia,バーシア
Witold Urbanowicz (generał),ヴィトルト・ウルバノヴィチ
Józef Dowbor-Muśnicki,ユゼフ・ドヴブル＝ムシニツキ
Sebastian Tyrała,セバスティアン・ティラワ
Józef Rotblat,ジョセフ・ロートブラット
Irena Szewińska,イレーナ・シェビンスカ
Tamara Łempicka,タマラ・ド・レンピッカ
Hugo Steinhaus,フーゴ・シュタインハウス
Pola Negri,ポーラ・ネグリ
Izabella Scorupco,イザベラ・スコルプコ
Jean Stablinski,ジャン・スタブリンスキ
Artur Sobiech,アルトゥル・ソビエフ
Henryk Reyman,ヘンリク・レイマン
Hanna Segal,ハンナ・シーガル
Barbara Sobotta,バルバラ・ヤニシェフスカ
Josef František,ヨゼフ・フランチシェク
Christopher Ferguson,クリストファー・ファーガソン
Michel Mirowski,ミッシェル・ミロースキー
Anna Rogowska,アンナ・ロゴフスカ
Bronisława Niżyńska,ブロニスラヴァ・ニジンスカ
Kamila Skolimowska,カミラ・スコリモフスカ
Józef Szmidt,ヨゼフ・シュミット
Anja Rubik,アンジャ・ルービック
Agata Mróz-Olszewska,アガタ・ムロズ
Tadeusz Ślusarski,タデウス・スルシャルスキー
Jacek Wszoła,ヤチェク・ウショラ
Jacek Malczewski,ヤチェク・マルチェフスキ
Rafał Blechacz,ラファウ・ブレハッチ
Richard Pipes,リチャード・パイプス
Agnieszka Holland,アニエスカ・ホランド
Grażyna Bacewicz,グラジナ・バツェヴィチ
Igor Newerly,イゴール・ネーヴェルリ
Szemu’el Noach Eisenstadt,S・N・アイゼンシュタット
Martha Stewart,マーサ・スチュワート
Justyna Kowalczyk,ユスチナ・コヴァルチック
Wanda Rutkiewicz,ヴァンダ・ルトキエヴィチ
Paul Freier,パウル・フライアー
Magdalena Tul,マグダレナ・トゥル
Urszula Radwańska,ウルシュラ・ラドワンスカ
Grzegorz Fitelberg,グジェゴシュ・フィテルベルク
Jacek Dukaj,ヤチェク・ドゥカイ
Artur Partyka,アルツール・パルティカ
Tara Lipinski,タラ・リピンスキー
Anna Jagiellonka,アンナ・(ポーランド女王)
Marta Domachowska,マルタ・ドマホフスカ
Joanna Chmielewska,ヨアンナ・ケミレスカ
Alice Miller,アリス・ミラー
Edyta Górniak,エディータ
Fryderyk Jagiellończyk,フリデリク・ヤギェロンチク
Arkadiusz Skrzypaszek,アルカディウス・スクシパシェク
Mateusz Klich,マテウシュ・クリヒ
Wojciech Jerzy Has,ヴォイチェフ・イエジー・ハス
Juliusz Słowacki,ユリウシュ・スウォヴァツキ
Ida Haendel,イダ・ヘンデル
Marie Rambert,マリー・ランバート
Elżbieta Krzesińska,エルジュビェタ・クシェシンスカ
Halina Konopacka,ハリナ・コノパッカ
Daria Werbowy,ダリア・ウェーボウィ
Eugeniusz Zak,オイゲニウス・ザク
Wanda Wiłkomirska,ワンダ・ウィウコミルスカ
Ivan Putski,イワン・プトスキー
Dorota z Mątowów,モンタウのドロテーア
Maja Ostaszewska,マヤ・オスタシェフスカ
Ignacy Friedman,イグナーツ・フリードマン
Euzebiusz Smolarek,エウゼビウシュ・スモラレク
Danuta Szaflarska,ダヌタ・シャフラルスカ
Marzena Karpińska,マルエナ・カルピンスカ
Tadeusz Boy-Żeleński,タデウシ・ジェレニスキー
Henryk Zygalski,ヘンリク・ジガルスキ
César Ruminski,セザール・ルミンスキ
Uri Orlew,ウーリー・オルレブ
Jan Machulski,ヤン・マチュルスキ
Władysław Komar,ウラディスラフ・コマル
Bronisław Huberman,ブロニスラフ・フーベルマン
Katarzyna Pawłowska,カタジィナ・パヴウォヴスカ
Mieszko cieszyński,ミェシュコ1世・(チェシン公)
Kazimierz I cieszyński,カジミェシュ1世・(チェシン公)
August Franciszek Czartoryski,アウグスト・チャルトリスキ
Władysław Czartoryski,ヴワディスワフ・チャルトリスキ
Julian Marchlewski,ユリアン・マルフレフスキ
Jerzy Kuryłowicz,イェジ・クリウォヴィチ
Ernst Stavro Blofeld,エルンスト・スタヴロ・ブロフェルド
Jan Dziedziczak,ヤン・ジェジツァク
Zygmunt Puławski,ズィグムント・プワフスキ
Zygmunt Malanowicz,ジグムント・マラノウッツ
Zygmunt Berling,ズィグムント・ベルリンク
Dawid Kubacki,ダヴィド・クバッキ
Piotr Sowisz,ピオトル・ソーヴィシュ
Andrzej Kazimierz Potocki,アンジェイ・カジミェシュ・ポトツキ
Maria Liktoras,マリア・リクトラス
Joanna Kaczor-Bednarska,ヨアンナ・カチョル
Paweł Edmund Strzelecki,パヴェウ・ストシェレツキ
Walerian Borowczyk,ヴァレリアン・ボロフチク
Michał Winiarski,ミハウ・ヴィニャルスキ
Paweł Nastula,パウエル・ナツラ
Jerzy Maksymiuk,イェジー・マクシミウク
Zygmunt Wróblewski,ジグムント・ヴルブレフスキ
Olga Sosnovska,オルガ・ソスノフスカ
Chaïm Perelman,カイム・ペレルマン
Helena Rasiowa,ヘレナ・ラショーヴァ
Jan Jarkowski (inżynier),イワン・オシポビッチ・ヤルコフスキー
Oskar Lange,オスカル・ランゲ
Grzegorz Filipowski,グジェゴシュ・フィリポフスキ
Piotr Lachert,ピヨトル・ラヘルト
Yehiel De-Nur,イェヒエル・デ・ヌール
Martin Max,マルティン・マックス
Aleksander mazowiecki,アレクサンデル・マゾヴィエツキ
Daniel Olbrychski,ダニエル・オルブリフスキー
Tadeusz Konwicki,タデウシュ・コンヴィツキ
Ewa Kopacz,エヴァ・コパチ
Jacek Krzynówek,ヤツェク・クジノヴェク
Władysław Starewicz,ラディスラフ・スタレヴィッチ
Leon Niemczyk,レオン・ニェムチック
Artur Żmijewski (aktor),アルトゥル・ジミイェフスキ・(俳優)
Joanna Sulej,ヨアンナ・スレイ
Li Qian (polska tenisistka stołowa),リー・チェン
Piotr Fijas,ピオトル・フィヤス
Paweł Włodkowic,パヴェウ・ヴウォトコヴィツ
Wiesław Maniak,ヴィエスワフ・マニアク
Juliusz Zarębski,ユリウシュ・ザレンプスキ
Marek Jędraszewski,マレク・イェドラシェウスキー
Maciej Kot,マチェイ・コット
Michał Kucharczyk,ミハウ・クハルチク
Edward Osóbka-Morawski,エドヴァルト・オスプカ＝モラフスキ
Olga Tokarczuk,オルガ・トカルチュク
Awraham Stern,アヴラハム・シュテルン
Felicja Blumental,フェリシア・ブルメンタール
Dorota Świeniewicz,ドロタ・シフィニェビッチ
Aleksander Ford,アレクサンデル・フォルト
Aleksander Zawadzki,アレクサンデル・ザヴァツキ
Michał Gołaś,ミハウ・ゴワシュ
Robert Gadocha,ロベルト・ガドハ
Szymon An-ski,シュロイメ・アンスキー
Wojciech Młynarski,ヴォイチェフ・ムウィナルスキ
Aleksandra Kurzak,アレクサンドラ・クルジャク
Ludovic Obraniak,ルドヴィク・オブラニアク
Anna Jesień,アンナ・イェシェン
Anna świdnicka,アンナ・シフィドニツカ
Natalia Partyka,ナタリア・パルティカ
Luiza Złotkowska,ルイザ・ズウォトコフスカ
Dominika Paleta,ドミニカ・パレタ
Ewa Sonnet,エヴァ・ソネット
Maria Szymanowska,マリア・シマノフスカ
Roman Maciejewski,ロマン・マチエイェフスキ
Bogusław Schaeffer,ボグスワフ・シェッフェル
Leopold Infeld,レオポルト・インフェルト
Paweł Szymański (kompozytor),パヴェル・シマヌスキ
Jan Czochralski,ジャン・チョクラルスキー
Bartosz Bereszyński,バルトシュ・ベレシンスキ
Michael Klim,マイケル・クリム
Tadeusz Kotarbiński,タデウシュ・コタルビンスキ
Czesław Słania,チェスワフ・スワニア
Maurycy Lilien,エフライム・モーシェ・リリエン
Krzysztof Włodarczyk (bokser),クシシュトフ・ヴウォダルチク
Karolina Sayn-Wittgenstein,カロリーネ・ツー・ザイン＝ヴィトゲンシュタイン
Teresa Ciepły,テレサ・チェプラ
Bronisław Malinowski (sportowiec),ブロニスワフ・マリノフスキ・(陸上選手)
Michał Pazdan,ミハウ・パズダン
