Tokyo,東京
Tama,多摩市
Akishima,昭島市
Niiza,新座市
Ōnojō,大野城市
Hidaka,日高市
Iruma,入間市
Inzai,印西市
Ōsaki,大崎
Susono,裾野
Yurihonjō,由利本荘市
Nisshin,日進
Chita,知多
Kani,可児
Kenga-mine,剣ヶ峰
Higashimurayama,東村山市
Asia,アジア
Neyagawa,寝屋川市
Kobe Airport,神戸空港
Nakashibetsu Airport,中標津空港
Tsushima Airport,対馬空港
Fukuoka Airport,福岡空港
Oita Airport,大分空港
Saga Airport,Saga-kūkō
Kumamoto Airport,阿蘇くまもと空港
Chūbu Centrair International Airport,中部国際空港
Hiroshima Airport,広島空港
Takamatsu Airport,高松空港
Odate–Noshiro Airport,大館能代空港
Sendai Airport,仙台空港
Tokyo International Airport,東京国際空港
Naha Airport,那覇空港
Ishikari,石狩市
Hanawa,花輪
Hachinohe,八戸
Fukagawa,深川
Bibai,美唄
Abashiri,網走
Yuzawa,湯沢市
Yotsukaidō,四街道
Yachimata,八街
Ushiku,牛久
Tsukuba,つくば市
Tōno,遠野市
Tomiya,富谷市
Tōgane,東金
Takahagi,高萩市
Shiroi,白井
Sagae,寒河江
Bonin Islands,小笠原群島
Ogasawara Mura,小笠原村
Ōfunato,大船渡
Naka,那珂市
Nagai,長井市
Mutsu,ムツ
Moriya,守谷市
Mizusawa,水沢市
Kuroiso,黒磯市
Kitaibaraki,北茨城
Katori-shi,香取市
Kasama,笠間
Kaminoyama,上山
Kamaishi,釜石
Kakuda,角田
Itako,潮来
Ishioka,石岡市
Iwo Jima,硫黄島
Higashine,東根
Furukawa,古川市
Dewa,出羽
Asahi,旭
Rumoi,留萌市
Nayoro,名寄
Nakashibetsu,中標津
Misawa,三沢
Iyo,伊予市
Ōzu,大洲市
Ayabe,綾部
Atami,熱海
Anan,阿南
Kariya,仮屋
Aino-dake,間ノ岳
Nikkō,日光
Nanao,七尾
Namerikawa,滑川
Nakama,中間市
Moriyama,守山
Mizunami,瑞浪
Minamata,水俣
Matsubara,松原
Masuda,益田市
Maibara,米原市
Maebaru-chūō,前原中央
Kurayoshi,倉吉
Kukichūō,久喜
Gero,下呂
Yawata,八幡
Yashio,八潮
Yanagawa,柳川
Yamaga,山鹿
Yaita,矢板
Uozu,魚津
Tsurusaki,鶴崎
Toyonaka,豊中
Tomioka,富岡市
Tokoname,常滑市
Toki,土岐
Tenri,天理市
Tateyama,館山
Tanashichō,たなしちょう
Tamana,たまな
Takehara,竹原
Takahashi,高梁市
Tahara,田原
Suwa,諏訪市
Shōbara,庄原市
Shinshiro,新城市
Shimodate,下館市
Shimabara,島原
Shibushi,志布志
Sasayama,篠山
Sakurai,桜井
Sakaiminato,境港
Sakaidechō,坂出
Saiki,佐伯市
Ōzu,オオヅ
Ono,小野
Ōmachi,大町
Ōi,オオイ
Ōdachō-ōda,大田市
Obama,小浜
Numata,沼田
Kōnosu,鴻巣
Kōnan,江南
Komoro,小諸
Kokubu-matsuki,国分
Kitakata,喜多方
Kikuchi,菊池市
Kashima,鹿島
Kashihara-shi,橿原
Kashihara,柏原
Kashima-shi,鹿嶋
Kaizuka,貝塚市
Kainan,海南
Izumi,和泉
Itoman,糸満
Itoigawa,糸魚川
Isehara,伊勢原
Imarichō-kō,伊万里町甲
Imaichi,今市市
Ibara,井原
Oku-Hotaka-dake,穂高岳
Hondomachi-hondo,本渡町本渡
Hōfu,防府
Hitoyoshi,人吉市
Hirara,平良市
Hirado,平戸
Hiji,日出町
Hatogaya-honchō,はとがやほんちょう
Hamada,浜田
Hagi,萩市
Gushikawa,具志川市
Gotenba,御殿場
Gose,御所
Gojō,五條
Futtsu,フッツ
Fukuechō,福江町
Daitō,大東
Chōfu,調布ヶ丘
Hasuda,ハスダ
Kamifukuoka,上福岡市
Wako,和光
Miura,三浦
Hikari,光市
Noto Airport,能登空港
Inashiki,稲敷
Chikuma,千曲
Takashima,高島市
Katsuragi,葛城市
Nanto,南砺
Midori,みどり
Miyakojima,宮古島
Sōsa,匝瑳
Kinokawa,紀の川市
Shimotsuke,下野
Hachimantai,八幡平
Izu,伊豆
Hirakawa,平川市
Towada,十和田
Kitanagoya,北名古屋
Hashima,羽島市
Minokamo,美濃加茂市
Gujō,郡上市
Ena,恵那
Hokuto,北斗
Fujikawaguchiko,富士河口湖町
Kirishima,霧島
Dazaifu,だざいふしやくしょ
Amakusa,天草市役所
Minami Torishima Airport,南鳥島航空基地
Iwo Jima Air Base,硫黄島航空基地
Tajima Airport,但馬飛行場
New Chitose Airport,新千歳空港
Memambetsu Airport,女満別空港
Yamaguchi Ube Airport,山口宇部空港
Asahikawa Airport,旭川空港
Tanegashima Airport,新種子島空港
Kitakyushu Airport,小倉空港
Nagasaki Airport,長崎空港
Amami Airport,奄美空港
Okinoerabu Airport,沖永良部空港
Oki Airport,隠岐空港
Okayama Airport,岡山空港
Miho–Yonago Airport,美保飛行場
Marine Corps Air Station Iwakuni,岩国飛行場
Matsuyama Airport,松山空港
Iwami Airport,石見空港
Aomori Airport,青森空港
Sado Airport,佐渡空港
Akita Airport,秋田空港
Misawa Air Base,三沢飛行場
Niigata Airport,新潟空港
Shonai Airport,庄内空港
Hachijojima Airport,八丈島空港
Iejima Airport,伊江島空港
Kumejima Airport,久米島
Miyako Airport,宮古空港
Yoron Airport,与論空港
Yamato,大和
Sakai,坂井
Fuchū,府中
Tome,登米
Iga,伊賀
Chichijima,父島
O Shima,渡島大島
Okushiri-gun,奥尻郡
Okushiri Tō,オクシリトウ
Ko Jima,松前小島
Henashi Zaki,舮作崎
Fukaura,深浦
Kussharo Ko,屈斜路湖
Kushu Ko,クシュコ
Kushiro-shichō,釧路支庁
Kushiro Shi,くしろし
Kushiro-gun,釧路郡
Kuromatsunai,黒松内町
Kuroishi Shi,黒石
Kunohe-gun,九戸郡
Kuji-shi,久慈市
Kujira Hama,鯨浜
Kuji,久慈
Ko Numa,こぬま
Ko Numa,こぬま
Hiranai,平内町
Komaga-dake,北海道駒ヶ岳
Shimokizukuri,しもきづくり
Kitatsugaru Gun,北津軽郡
Kitami Shi,キタミシ
Asahimachi,旭町
Kazuno Shi,かづのし
Kazuno-gun,鹿角郡
Kayabe-gun,かやべぐん
Kamishihoro,かみしほろ
Kamikita-gun,かみきたぐん
Kamikawa-gun (Ishikari),上川郡
Kamiiso-gun,かみいそぐん
Kamiiso,上磯町
Kameda-shi,亀田市
Kameda-gun,かめだぐん
Kabuto Numa,カブトヌマ
Jūsan Ko,じゅうさんこ
Junsai Numa,じゅんさいぬま
Iwanai-gun,岩内郡
Iwanai,岩内町
Iwamizawa-shi,岩見沢
Itayanagi,板柳
Ichinohe,いちのへ
Horonobe,幌延町
Horokanai,幌加内
Hiyama-gun,檜山郡
Hirosaki Shi,弘前市
Hiroo-gun,広尾郡
Hiroo,ひろお
Higashitsugaru-gun,東津軽郡
Hakodate Shi,函館
Hachinohe Shi,はちのへし
Hachinohe,八戸
Haboro,Haboro-chō
Goshogawara Shi,ごしょがわらし
Furubira-gun,ふるびらぐん
Furano-shi,富良野市
Fukagawa-shi,ふかがわし
Fujisaki,藤崎町
Eniwa-shi,恵庭市
Kanaura,かなうら
Ebetsu-shi,江別
Date-shi,伊達
Date,伊達
Chitose Shi,ちとせし
Chimikeppu Ko,ちみけっぷこ
Chashikotsu Genya,チャシコツ原野
Biei,美瑛町
Bibai-shi,びばいし
Mashike,増毛町
Ashoro,足寄町
Ashibetsu-shi,芦別市
Ashibetsu,芦別市
Asahikawa-shi,旭川
Arakawa Mura,アラカワムラ
Aomori Shi,青森
Akkeshi,厚岸
Akan Ko,アカンコ
Akabira-shi,赤平
Akabira,赤平
Ajigasawa,鰺ヶ沢町
Abuta-gun,虻田郡
Okhotsk Subprefecture,オホーツク総合振興局
Abashiri Shi,あばしりし
Abashiri Prefectural Park,アバシリコクテイコウエン
Abashiri Ko,あばしりこ
Hamatonbetsu,浜頓別
Yuzawa-shi,湯沢市
Yonezawa Shi,米沢市
Yokote Shi,横手市
Yokote,横手町
Yokoshiba,横芝町
Yōkaichiba,八日市場市
Yanagawamachi-saiwaichō,梁川町幸町
Yamoto,やもと
Yamagata Shi,やまがたし
Yamada,山田
Yachiyo Shi,八千代市
Yabuki,矢吹
Wakuya,涌谷町
Waga-gun,和賀郡
Tsukuba,つくば
Tsuchiura-shi,土浦
Tori Shima,トリシマ
Toride Shi,トリデシ
Tōno-shi,とおのし
Tomisato-shi,富里市
Tome Shi,登米市
Tōgane Shi,東金市
Tendō,天童
Tega-numa,手賀沼
Tazawa Ko,田沢湖
Tanagura,棚倉
Tamura-gun,たむらぐん
Tako,多古
Takizawa-shi,滝沢市
Takahata,高畠
Sukagawa Shi,須賀川
Sukagawa,須賀川
Sōma Shi,そうまし
Sōma-gun,相馬郡
Sodegaura-shi,袖ケ浦市
Shizukuishi,雫石
Shiwa-gun,しわぐん
Shisui,酒々井
Shiroishi Shi,しろいしし
Shiroishi,白石
Shiroi-shi,白井市
Shirakawa Shi,白河市
Shiogama Shi,シオガマシ
Shiogama,塩竈
Shinjō Shi,しんじょうし
Shinjō,新庄
Shinmachi,新町
Shibata-gun,柴田郡
Sendai Shi,仙台市
Semboku-gun,せんぼくぐん
Katori-shi,香取市
Sawara,佐原市
Sambu-gun,さんぶぐん
Sakura Shi,さくらし
Sagae-shi,寒河江
Ryūgasaki Shi,龍ケ崎
Rifu,利府
Ōtawara Shi,大田原
Ōtaki,大多喜町
Omigawa,小見川町
Ōmagari,大曲
Ōhara,オオハラ
Ōfunato-shi,大船渡市
Obanazawa,尾花沢
Ōarai,大洗町
Nishishirakawa-gun,にししらかわぐん
Nishimurayama-gun,西村山郡
Nihonmatsu Shi,二本松市
Nihommatsu,二本松
Nasu-gun,なすぐん
Narutō,成東町
Narita Shi,成田市
Narashino Shi,ならしのし
Nanyō Shi,なんようし
Nakaminato-shi,那珂湊市
Naka-shi,那珂
Naka-gun,なかぐん
Nagai-shi,長井市
Murayama Shi,むらやまし
Murata,村田
Motoyoshi Gun,もとよしぐん
Motomiya,本宮
Motegi,茂木
Morioka-shi,盛岡
Mooka-shi,真岡市
Monō Gun,桃生郡
Mogami-gun,もがみぐん
Mobara Shi,もばらし
Miyako-shi,宮古市
Miyagi Gun,宮城郡
Mito Shi,水戸市
Minamiakita-gun,みなみあきたぐん
Mitsuzawa,ミツザワ
Matsushima,松島
Mashiko,益子
Marumori,丸森
Makabe,真壁町
Kurokawa-gun,黒川郡
Kurihara Shi,くりはらし
Kuji-gun,くじぐん
Kōriyama Shi,郡山市
Koori,桑折町
Kamuro Dake,禿岳
Kogota,小牛田町
Kitakami-shi,きたかみし
Kitaiō Jima,キタイオウジマ
Kitaibaraki Shi,北茨城
Kitaakita-gun,北秋田郡
Kesennuma Shi,気仙沼
Kesen-gun,けせんぐん
Kemigawa,検見川町
Volcano Islands,火山列島
Kawabe Gun,カワベグン
Katta-gun,かったぐん
Katsuura,カツウラ
Katori-gun,かとりぐん
Kasumiga-ura,霞ヶ浦
Kashiwa Shi,柏
Kashima-shi,鹿嶋市
Kasama Shi,かさまし
Karakuwa,からくわちょう
Kanegasaki,金ケ崎町
Kamogawa-shi,鴨川市
Kamisu-shi,神栖市
Kaminoyama-shi,上山市
Kamihei-gun,かみへいぐん
Kamaishi-shi,かまいしし
Kamagaya Shi,鎌ケ谷
Kakunodatemachi,角館町
Iwate San,岩手山
Iwase,岩瀬町
Iwanuma-shi,岩沼市
Iwanuma,岩沼
Iwaki-shi,いわき市
Isumi-gun,夷隅郡
Ishinomaki Shi,イシノマキシ
Ishikawa,石川町
Inzai-shi,印西市
Inawashiro Ko,猪苗代湖
Inashiki-gun,いなしきぐん
Imba-gun,印旛郡
Ichinoseki-shi,一関市
Ichinomiya,一宮
Ichihara Shi,市原市
Hobaramachi,保原町
Hitachi Shi,ひたちし
Hitachi-ōta Shi,常陸太田
Higashiokitama-gun,東置賜郡
Higashimurayama-gun,ひがしむらやまぐん
Higashiiwai-gun,ひがしいわいぐん
Higashiibaraki-gun,東茨城郡
Hienuki Gun,稗貫郡
Hibara Ko,桧原湖
Hanamaki Shi,はなまきし
Haga-gun,芳賀郡
Funehikimachi-funehiki,船引町
Funaishikawa,舟石川
Fukushima Shi,福島
Fujishiro,藤代町
Edosaki,江戸崎町
Date-shi,伊達市
Date-gun,伊達郡
Date,伊達
Daigo,大子
Chōshi Shi,銚子市
Chōsei-gun,ちょうせいぐん
Chiba Shi,千葉市
Asahi Shi,旭市
Ami,阿見
Akita Shi,秋田市
Adachi-gun,安達郡
Abiko Shi,あびこし
Motomachi,もとまち
Yūdō Numa,ユウドウヌマ
Yūbari-shi,夕張市
Yūbari,夕張
Yoichi-gun,余市郡
Yamamoto-gun,山本郡
Yagishiri Tō,焼尻島
Wakkanai Shi,稚内市
Utashinai-shi,うたしないし
Utashinai,歌志内市
Honchō,ホンチョウ
Honchō,本町
Toyotomi,豊富
Towada Shi,十和田市
Towada Ko,トワダコ
Tōro Ko,とうろこ
Tomamae Gun,苫前郡
Tomamae,苫前
Tomakomai Shi,苫小牧
Tokorochō-higashihama,ところまち
Tatemachi,館町
Tōbetsu,当別町
Teuri Tō,てうりとう
Teshio Gun,てしおぐん
Teshio,天塩町
Takkobu Ko,達古武湖
Takikawa-shi,滝川市
Takanosu,鷹巣
Suttsu,寿都町
Sunagawa-shi,すながわし
Sunagawa,砂川
Sōya Misaki,宗谷岬
Shosanbetsu,しょさんべつ
Shizunai-furukawachō,静内古川町
Panketō,ぱんけとー
Shiraoi,白老町
Shimokita-gun,しもきたぐん
Shinshimokawa,しんしもかわ
Shikaribetsu Ko,しかりべつこ
Shibunotsunai Ko,シブノツナイコ
Shibetsu Shi,士別
Minamishibetsuchō,南士別町
Shibetsu,標津
Shiasshiri Yama,ぴやしりやま
Honmachi,斜里
Nishiokoppe,ニシオコッペ
Saroma Ko,サロマ湖
Sarabetsu,更別
Sapporo-shi,札幌
Sannohe Gun,サンノヘグン
Honchō,本町
Sai,佐井村
Rumoi-shi,留萌
Rishiri Zan,利尻岳
Rishiri Tō,リシリトウ
Rishiri Gun,りしりぐん
Rikubetsu,陸別町
Rebun Tō,レブントウ
Rebun Gun,レブングン
Rausu,羅臼
Bifuka,美深
Penke Numa,ペンケヌマ
Panke Numa,パンケ沼
Otofuke,音更
Otaru-shi,小樽
Ō Numa,おおぬま
Ō Numa,おおぬま
Ō Numa,大沼
Onne-numa,おんねとう
Ōmu,雄武
Okoppe,興部町
Ogawara Ko,小川原湖
Ōdate-shi,大館市
Obihiro Shi,おびひろし
Notoro Ko,のとろこ
Noshiro Shi,のしろし
Noboribetsu-shi,登別
Ninohe Shi,二戸
Ninohe-gun,二戸郡
Nemuro Shichō,ねむろしちょう
Nemuro-shi,根室市
Nemuro-gun,根室郡
Honchō,ほんちょう
Namioka,浪岡
Nakatonbetsu,中頓別
Nakagawa,中川
Mutsu-shi,むつ
Muroran-shi,室蘭
Mombetsu,紋別
Yoichi,港町
Minamitsugaru Gun,ミナミツガルグン
Mashū Ko,ましゅうこ
Makubetsu,幕別町
Yawatahama-shi,八幡浜市
Masaki-chō,松前町
Kawanoechō,川之江町
Imabari-shi,今治市
Hōjō,北条市
Chatan,北谷
Buzen-shi,豊前市
Bungo-takada Shi,ぶんごたかだし
Bizen Shi,備前
Ayase Shi,綾瀬市
Ayabe Shi,綾部市
Awaji Shima,淡路島
Awa-gun,安房郡
Awa-shi,阿波市
Atsugi Shi,厚木市
Atami-shi,熱海市
Asuka,飛鳥
Aso-shi,阿蘇市
Aso-gun,阿蘇郡
Ashiya Shi,芦屋
Ashiya,芦屋町
Ashikaga Shi,あしかがし
Ashigarashimo-gun,足柄下郡
Ashigarakami-gun,足柄上郡
Asakuchi-gun,浅口郡
Asako-gun,朝来町
Asaka-shi,朝霞市
Arita,有田町
Arida Shi,ありだし
Arida-gun,有田郡
Arao Shi,あらおし
Arakawa Ku,荒川区
Myoko-shi,妙高市
Arai,Arai-chō
Anjō Shi,安城
Anan Shi,阿南
Anamizu,穴水町
Ampachi-gun,安八郡
Amami Oshima group,奄美群島
Amami Ōshima,奄美大島
Shimo Jima,天草下島
Amakusa Shi,天草市
Amakusa Gun,天草郡
Ama-gun,海部郡
Amagi,甘木
Amagasaki Shi,尼崎市
Akune Shi,阿久根
Akō Shi,赤穂市
Akō-gun,赤穂郡
Akishima Shi,昭島市
Aki Shi,安芸
Aki-gun,安芸郡
Aki Gun,あきぐん
Aki,安芸市
Akaura Gata,赤浦潟
Akashi Shi,あかしし
Aizu-wakamatsu Shi,会津若松市
Aira Gun,あいらぐん
Aira Shi,姶良市
Aioi,相生市
Aichi-gun,愛知郡
Aguni Jima,粟国島
Agawa-gun,吾川郡
Adachi Ku,足立区
Abu-gun,阿武郡
Nishimatsuura-gun,にしまつうらぐん
Nishikasugai-gun,西春日井郡
Nishikanbara-gun,西蒲原郡
Nirasaki Shi,ニラサキシ
Nirasaki,韮崎
Ninomiya,二宮
Nikaho-shi,にかほ市
Niiza-shi,新座市
Niimi,新見
Niihama Shi,にいはまし
Niigata Shi,にいがたし
Nihombashi,日本橋
Nichinan Shi,日南市
Neyagawa Shi,寝屋川市
Nerima-ku,練馬区
Naze,名瀬市
Narutochō-mitsuishi,鳴門町三ッ石
Nara-shi,奈良市
Nankoku Shi,南国市
Namerikawa-shi,滑川市
Nakatsu Shi,なかつし
Nakatsugawa Shi,なかつがわし
Nakatado-gun,仲多度郡
Nakano Shi,なかのし
Nakano-ku,中野区
Nakanojōmachi,中之条町
Nakano,中野
Nakaniikawa Gun,なかにいかわぐん
Nakamura,中村市
Nakama Shi,中間市
Naka-kawachi-gun,中河内郡
Naka-gun,中郡
Nakagami-gun,中頭郡
Naha Shi,那覇市
Nagoya-shi,名古屋市
Nago Shi,名護市
Nagato Shi,ながとし
Nagasu,ながす
Nagasaki Shi,長崎
Nagareyama-shi,流山
Nagaoka Shi,ながおかし
Nagaokakyō Shi,長岡京市
Nagaoka Gun,長岡郡
Nagano Shi,長野
Nagakute-shi,長久手市
Nagahama-shi,長浜市
Nagahama,長浜市
Nabari-shi,名張市
Myōzai Gun,名西郡
Musashino-shi,武蔵野市
Musashi-murayama Shi,武蔵村山
Muroto Shi,室戸市
Muroto-misakicho,室戸岬町
Muramatsu,村松
Munakata-shi,宗像市
Muko-gun,武庫郡
Mukō,向日
Muikamachi,六日町
Lake Motosu,本栖湖
Motosu-gun,本巣郡
Moriyama-shi,守山市
Mori,森町
Mizunami Shi,瑞浪
Miyoshi Shi,みよしし
Miyoshi-gun,三好郡
Miyoshi-shi,みよし市
Miyazu,宮津
Miyazaki-shi,宮崎市
Miyakonojō Shi,都城
Miyako Island,宮古島
Miyaki-gun,三養基郡
Miyake Shichō,三宅支庁
Miyata,宮田町
Miura Shi,三浦市
Miura-gun,三浦郡
Mitsuke Shi,見附市
Mitoyo Shi,みとよし
Mitake,御嵩
Mitaka-shi,三鷹
Mishima Shi,三島市
Mishima-gun,三島郡
Misato Shi,三郷市
Minoo Shi,箕面市
Mino-kamo Shi,美濃加茂市
Mine Shi,みねし
Minato-ku,港区
Minamiuwa-gun,南宇和郡
Minamisaku-gun,南佐久郡
Minamisaitama Gun,みなみさいたまぐん
Minaminaka Gun,南那珂郡
Minamimatsuura Gun,みなみまつうらぐん
Minamikoma-gun,南巨摩郡
Minamikawachi-gun,南河内郡
Minamiaizu-gun,南会津郡
Minamata Shi,ミナマタシ
Minakuchichō-matoba,水口町的場
Minabe,みなべ町
Mimasaka-shi,美作市
Mihara Shi,三原市
Mifune,御船
Mie-gun,三重郡
