José Luis Panizo,ホセ・ルイス・パニーソ
María Teresa de Austria,マリー・テレーズ・ドートリッシュ
Daniel Barenboim,ダニエル・バレンボイム
Arianna Savall,アリアンナ・サヴァール
Teodoro Reding,テオドール・フォン・レディング
Sergio Rodríguez,セルヒオ・ロドリゲス
Carlos Cuéllar,カルロス・クエジャル
Josico Moreno,ホシコ
Raúl Albiol,ラウール・アルビオル
Lluís Companys,リュイス・クンパニィス
Alicia de Borbón,アリシア・デ・ボルボーン＝パルマ
José Calvo,ホセ・カルヴォ
María Ostiz,マリア・オスティス
Jorge Guillén,ホルヘ・ギリェン
Carlos X,シャルル10世
Jesús Fernández,ヘスス・フェルナンデス・コラード
Lluís Llach Grande,リュイス・リャック
Rafael Alberti,ラファエル・アルベルティ
Simón Bolívar,シモン・ボリバル
Luis Fernando de Baviera,ルートヴィヒ・フェルディナント・フォン・バイエルン
Juan José Linz,ホアン・リンス
Duque de Rivas,ドゥケ・デ・リバス
Leonor de Austria,レオノール・デ・アウストリア
Josep Tarradellas,ジュゼップ・タラデーリャス
Artur Mas,アルトゥール・マス
Roque Joaquín de Alcubierre,ロケ・ホアキン・デ・アルクビエレ
Mariana de Neoburgo,マリア・アンナ・フォン・プファルツ＝ノイブルク
José Antonio Primo de Rivera y Sáenz de Heredia,ホセ・アントニオ・プリモ・デ・リベラ
Daniel Carvajal,ダニエル・カルバハル
Bernard Hopkins,バーナード・ホプキンズ
Javier Busto,ハビエル・ブストー
Pilar Miró,ピラール・ミロー
Paco Campos,パコ・カンポス
Rubén Pardo,ルベン・パルド
Sofía de Grecia,ソフィア
Julio Iglesias,フリオ・イグレシアス
Felipe de Utre,フィリップ・フォン・フッテン
Sercan Sararer,セルジャン・サラレル
Juan Antonio Flecha,フアン・アントニオ・フレチャ
Felipe III de España,フェリペ3世
Eduardo Mendoza,エドゥアルド・メンドサ
Garbiñe Muguruza,ガルビネ・ムグルサ
Juan de Austria,ドン・フアン・デ・アウストリア
Hugo Obermaier,ヒューゴ・オーベルマイアー
Margarita Teresa de Austria,マルガリータ・テレサ・デ・エスパーニャ
María Ana de Austria y Austria-Estiria,マリア・アンナ・フォン・シュパーニエン
Ramón de Campoamor,ラモン・デ・カンポアモール
Eugenia de Montijo,ウジェニー・ド・モンティジョ
Itziar Ituño,イツィアル・イトゥニョ
Genaro Pérez Villaamil,ヘナロ・ペレス・ビジャミル
Augusto Roa Bastos,アウグスト・ロア＝バストス
Ana de Austria,アナ・デ・アウストリア
Eduardo Chillida,エドゥアルド・チリーダ
Mariano Rajoy,マリアーノ・ラホイ・ブレイ
Hernán Cortés,エルナン・コルテス
Manuel Cardona Castro,マヌエル・カルドナ
Pichichi,ラファエル・モレノ・アランサディ
Jorge Semprún,ホルヘ・センプルン
Antonio Maceda,アントニオ・マセーダ
Felipe González,フェリペ・ゴンサレス
David Silva,ダビド・シルバ
Manuel Valls,マニュエル・ヴァルス
José Carrillo de Albornoz,モンテマール公ホセ・カリージョ・デ・アルボルノス
Pánfilo de Narváez,パンフィロ・デ・ナルバエス
Margarita de Austria-Estiria,マルガレーテ・フォン・エスターライヒ
Margarita de Austria,マルグリット・ドートリッシュ
Ronaldinho,ロナウジーニョ
Rafael Nadal,ラファエル・ナダル
Illarramendi,アシエル・イジャラメンディ
Penélope Cruz,ペネロペ・クルス
Marc Márquez,マルク・マルケス
María de las Mercedes de Borbón y Habsburgo-Lorena,マリア・デ・ラス・メルセデス・デ・ボルボーン・イ・アブスブルゴ＝ロレナ
Miguel Delibes,ミゲル・デリーベス
Antoni Tàpies,アントニ・タピエス
José Echegaray,ホセ・エチェガライ・イ・アイサギレ
Isabel Clara Eugenia de Austria,イサベル・クララ・エウヘニア
Manuel Almunia,マヌエル・アルムニア
Joan Filbá,ジョアン・フィルバ
Pedro de la Rosa,ペドロ・デ・ラ・ロサ
Sergi Gómez,セルジ・ゴメス
Fernando Alonso,フェルナンド・アロンソ
Apoño,アントニオ・ガルデアーノ・ベニテス
María de Austria y Portugal,マリア・デ・アブスブルゴ
Carlos de Austria,カルロス
José Comas y Solá,ホセ・コマス・ソラ
Óscar Pereiro,オスカル・ペレイロ
Francisco Copado,フランシスコ・コパド
Gorka Verdugo,ゴルカ・ベルドゥゴ
Raúl González Blanco,ラウル・ゴンサレス
Iker Casillas,イケル・カシージャス
Mario Vargas Llosa,マリオ・バルガス・リョサ
Isco Alarcón,フランシスコ・ロマン・アラルコン
Pablo Espinosa,パブロ・エスピノサ
Josep Puig i Cadafalch,ジュゼップ・プッチ・イ・カダファルク
José Luis Rodríguez Zapatero,ホセ・ルイス・ロドリゲス・サパテロ
Fadrique Álvarez de Toledo y Enríquez,ファドリケ・アルバレス・デ・トレド (第2代アルバ公)
Pepe Reina,ホセ・マヌエル・レイナ
Jean Reno,ジャン・レノ
Plácido Domingo,プラシド・ドミンゴ
Ana Botella,アナ・ボテージャ
Emilio Butragueño,エミリオ・ブトラゲーニョ
Ignacio de Loyola,イグナチオ・デ・ロヨラ
José Raúl Capablanca,ホセ・ラウル・カパブランカ
españoles,スペイン人
Tony Leblanc,トニー・レブランク
Catalina de Aragón,キャサリン・オブ・アラゴン
Josep Guardiola,ジョゼップ・グアルディオラ
Jorge Camacho Cordón,ホルヘ・カマーチョ
Alberto Bayo Giroud,アルベルト・バーヨ
Luis León Sánchez,ルイス・レオン・サンチェス
Carlos Mortensen,カルロス・モーテンセン
Camilo José Cela,カミーロ・ホセ・セラ
Federico García Lorca,フェデリコ・ガルシーア・ロルカ
Ezequiel Calvente,エセキエル・カルベンテ
Ricky Martin,リッキー・マーティン
Jacinto Benavente,ハシント・ベナベンテ
Luis del Sol,ルイス・デル・ソル
Antonio María Claret,アントニオ・マリア・クラレ
Fernando Torres,フェルナンド・トーレス
José Marti,ホセ・マルティ
Carlos Álvarez-Nóvoa,カルロス・アルバレス＝ノボア
Pedro Mártir de Anglería,ピエトロ・マルティーレ・ダンギエーラ
Hernando Franco,エルナンド・フランコ
Antonio Banderas,アントニオ・バンデラス
Andrés Iniesta,アンドレス・イニエスタ
Enrique Simonet,エンリケ・シモネ
Borja Prado,ボルハ・プラード
Fernando Álvarez de Toledo y Pimentel,フェルナンド・アルバレス・デ・トレド
Margarita Lozano,マルガリータ・ロサーノ
Ángela Molina,アンヘラ・モリーナ
Miguel Induráin,ミゲル・インドゥライン
Jonathan dos Santos,ジョナタン・ドス・サントス
Carles Puyol,カルレス・プジョル
Alberto Contador,アルベルト・コンタドール
Soraya Sáenz de Santamaría,ソラヤ・サエンス・デ・サンタマリーア
Francisco Javier Morgan Osborne,フランシス・シャヴィエル・モーガン
Andrés de Segurola,アンドレス・デ・セグローラ
Cesc Fàbregas,セスク・ファブレガス
Javi Navarro,ハビ・ナバーロ
Enrique Molina Vargas,エンリケ・モリーナ
José Güell y Renté,ホセ・グエル・イ・レンテ
Alfonso Menéndez Vallín,アルフォンソ・メネンデス
Juan Ramón Jiménez,フアン・ラモン・ヒメネス
Alfredo Di Stéfano,アルフレッド・ディ・ステファノ
Farid Bang,ファリド・バン
David Villa,ダビド・ビジャ
Antonio María Rouco Varela,アントニオ・マリア・ロウコ・バレラ
Pierre-Emerick Aubameyang,ピエール＝エメリク・オーバメヤン
Isabel Fernandina de Borbón,イサベル・フェルナンダ・デ・ボルボン
Borja García Menéndez,ボルハ・ガルシア
Carmelo Gómez,カルメロ・ゴメス
José Ángel Egido,ホセ・アンヘル・エヒド
Indira Terrero,インディラ・テレロ
Xavi Hernández,シャビ
Ramón Barea,ラモン・バレア
Ángel Suquía,アンヘル・スキア・ゴイコエチェア
Javier Bardem,ハビエル・バルデム
Francisco Pizarro,フランシスコ・ピサロ
Carme Chacón,カルマ・チャコン
Celso Albelo,チェルソ・アルベーロ
María Barranco,マリア・バランコ
Juan Carlos I de España,フアン・カルロス1世
Thiago Alcántara,ティアゴ・アルカンタラ・ド・ナシメント
Fede Vico,フェデ・ビコ
Juan Carlos Onetti,フアン・カルロス・オネッティ
José Manuel Pinto,ホセ・マヌエル・ピント・コロラド
Alfonso XIII de España,アルフォンソ13世
Lupe Fuentes,ルーペ・フエンテス
Gerard Piqué,ジェラール・ピケ
Lope de Vega,ロペ・デ・ベガ
Óscar Freire,オスカル・フレイレ
Juan Álvarez Mendizábal,フアン・アルバレス・メンディサバル
Lucio Muñoz,ルシオ・ムニョス
Santiago Calatrava,サンティアゴ・カラトラバ
Salvador Bacarisse,サルバドール・バカリッセ
Juan Bernat,ファン・ベルナト
Dani Parejo,ダニエル・パレホ
Vicente Guaita,ビセンテ・グアイタ
Sebastián Vizcaíno,セバスティアン・ビスカイノ
Catalina de Erauso,カタリナ・デ・エラウソ
Víctor Valdés,ビクトール・バルデス
Andrés Guardado,アンドレス・グアルダード
Jordi Roura Solà,ジョルディ・ロウラ
Fernando Rey,フェルナンド・レイ
Isabel de Borbón-Parma,マリア・イザベラ・フォン・ブルボン＝パルマ
María Amalia de Sajonia,マリア・アマリア・フォン・ザクセン
Juana I de Castilla,フアナ
Vicente Aleixandre,ビセンテ・アレイクサンドレ
Sinergio González Soriano,セルヒオ・ゴンサレス
Carlos Sastre,カルロス・サストレ
Luis Buñuel,ルイス・ブニュエル
Jaime Caruana,ハイメ・カルアナ
Rubén Plaza,ルーベン・プラサ
Àlex Brendemühl,アレックス・ブレンデミュール
Mariano García Remón,マリアノ・ガルシア・レモン
Pedro Mosquera,ペドロ・モスケラ
Sergio Canales Madrazo,セルヒオ・カナレス
Àlex Corretja,アレックス・コレチャ
Raúl Vicente Amarilla,ラウル・アマリージャ
Francisco Javier de Elío,フランシスコ・ハビエル・デ・エリオ
Alonso Berruguete,アロンソ・ベルゲーテ
Julen Lopetegui,フレン・ロペテギ
Tomás de Berlanga,フレイ・トマス・デ・ベルランガ
Oriol Junqueras,ウリオル・ジュンケラス
Santiago Ramón y Cajal,サンティアゴ・ラモン・イ・カハール
Pere Navarro i Morera,ペラ・ナバール・イ・ムレーラ
Alicia Sánchez-Camacho,アリシア・サンチェス＝カマーチョ
Danny Ríos,ダニエル・リオス
Javi Varas,ハビエル・バラス・エレラ
Juana de Austria,フアナ・デ・アウストリア
Ferran Adrià,フェラン・アドリア
Dani Güiza,ダニエル・ゴンサレス・グイサ
Javier Castillejo,ハビエル・カスティリェホ
Francisco Escudero García de Goizueta,フランシスコ・エスクデロ
José Antonio Santesteban,ホセ・アントニオ・サンテステバン
José Callejón,ホセ・カジェホン
Vasco Núñez de Balboa,バスコ・ヌーニェス・デ・バルボア
Isaac Cuenca,イサック・クエンカ
Juan Mata,フアン・マタ
Fernando Morientes,フェルナンド・モリエンテス
Álvaro Morata,アルバロ・モラタ
Núria de Gispert,ヌリア・ダ・ヒスペルト
Sergio Busquets,セルヒオ・ブスケツ・ブルゴス
Luis Pérez-Sala,ルイス・ペレス＝サラ
Anselmo Lorenzo,アンセルモ・ロレンソ
Cristian Tello,クリスティアン・テージョ
Joaquín Reyes Cano,ホアキン・レイエス・カノ
Vicente Sancho,ヴィセンテ・サンチョ
Enrique Iglesias,エンリケ・イグレシアス
Teresa de Jesús,アビラのテレサ
Ángel Guimerá,アンジャル・ギマラー
Ignacio Camacho Barnola,イグナシオ・カマーチョ
Joseba Beloki,ホセバ・ベロキ
Javier Balboa,ハビエル・バルボア
Igor Astarloa,イゴル・アスタルロア
David Cal,ダビド・カル
Matilde Muñoz Sampedro,マティルデ・ムニョス・サンペドロ
Sebastià Juan Arbó,セバスティアン・フアン・アルボー
Antoni Gaudí,アントニ・ガウディ
Emilio de Villota,エミリオ・デ・ヴィロタ
Daniel Sánchez Ayala,ダニエル・アジャラ
García Álvarez de Toledo y Carrillo de Toledo,ガルシア・アルバレス・デ・トレド
Carlos de Amésquita,カルロス・デ・アメスキータ
Rodolfo Bodipo,ロドルフォ・ボディポ
Marian Vayreda,マリアン・バイレダ・イ・ビラ
Elena de Borbón y Grecia,エレナ・デ・ボルボーン・イ・デ・グレシア
Alejandro González Iñárritu,アレハンドロ・ゴンサレス・イニャリトゥ
David de Gea,ダビド・デ・ヘア
Álvaro Aparicio,アルバロ・アパリシオ
Jaime Alguersuari,ハイメ・アルグエルスアリ
Adrián Campos,エイドリアン・カンポス
Curro Torres,クーロ・トーレス
José Luis Pérez Caminero,ホセ・ルイス・カミネロ
Gonzalo Jiménez de Quesada,ゴンサロ・ヒメネス・デ・ケサーダ
Pedro Calderón de la Barca,ペドロ・カルデロン・デ・ラ・バルカ
Matilde Camus,マティルデ・カムス
Marc Gené,マルク・ジェネ
Isabel de Valois,エリザベート・ド・ヴァロワ
Antonio Barceló,アントニオ・バルセロ
Cordelia Edvardson,コルデリア・エドヴァルドソン
Daniel Alves,ダニエウ・アウヴェス
Luis Salom,ルイス・サロム
Pablo Sarabia,パブロ・サラビア
Diego Álvaro Domínguez Soto,アルバロ・ドミンゲス
Sergio Sánchez Sánchez,セルヒオ・サンチェス・サンチェス
Pedro Rodríguez Ledesma,ペドロ・ロドリゲス・レデスマ
Jorge Edwards,ホルヘ・エドワーズ
Alfonso de Portago,アルフォンソ・デ・ポルタゴ
Josep Maria Subirachs,ジュセップ・マリア・スビラクス
Arantxa Parra,アランチャ・パラ・サントンハ
Cayetano Martínez de Irujo,カイエターノ・マルティネス・デ・イルホ
Fausto Delhuyar,ファウスト・デ・エルヤル
Isabel II de España,イサベル2世
Rafael Benítez,ラファエル・ベニテス
Luis Felipe Areta,ルイス・フェリペ・アレタ
Juan Antonio Samaranch,フアン・アントニオ・サマランチ
César Arzo,セサール・アルソ
Aliuska López,アリウスカ・ロペス
Alejandro Cao de Benós de Les y Pérez,アレハンドロ・カオ・デ・ベノス
Niño Josele,ニーニョ・ホセレ
Pedro Almodóvar,ペドロ・アルモドバル
Manolo Jiménez Jiménez,マヌエル・ヒメネス
Javi Paredes Arango,ハビエル・パレデス
Alberto Bueno,アルベルト・ブエノ
Edu Oriol,エドゥアルド・オリオール
Salva Sevilla,サルバ・セビージャ
Aritz Aduriz,アリツ・アドゥリス
Santi Cazorla,サンティ・カソルラ
Félix Ayo,フェリックス・アーヨ
Bojan Krkić,ボージャン・クルキッチ
Alejandro Pozuelo,アレハンドロ・ポスエロ
Iago Aspas,イアゴ・アスパス
Piti,フランシスコ・メディーナ・ルナ
Álex Fernández Iglesias,アレハンドロ・フェルナンデス・イグレシアス
Carlos Aranda,カルロス・アランダ
Álvaro González Soberón,アルバロ・ゴンサレス・ソベロン
Juan Antonio Pizzi,フアン・アントニオ・ピッツィ
Alex Soler-Roig,アレックス・ソラー＝ロイグ
Antonio Ruiz de Montoya,アントニオ・ルイス・デ・モントーヤ
Gaspar de Borja y Velasco,ガスパール・デ・ボルハ・イ・ベラスコ
Eduardo Rosales,エドゥアルド・ロサレス
Carmen Conde,カルメン・コンデ
Javier Portillo,ハビエル・ポルティージョ
Joan Llaneras Roselló,ホアン・リャネラス
Xavi Tondo,シャビエル・トンド
Julen Guerrero,フレン・ゲレーロ
Martín Fiz,マルティン・フィス
Isaac Albéniz,イサーク・アルベニス
Juan de Grijalva,フアン・デ・グリハルバ
Camilo Cienfuegos,カミロ・シエンフェゴス
Joaquín Maurín,ホアキン・マウリン
Carlos Aguilera,カルロス・アギレラ
Juan Bermudo,フアン・ベルムード
Francisco Martínez de la Rosa,フランシスコ・マルティネス・デ・ラ・ローザ
Bernardo de la Torre,ベルナルド・デ・ラ・トーレ
Michu,ミチュ
Leandro Fernández de Moratín,レアンドロ・フェルナンデス・デ・モラティン
Valero Rivera Folch,バレロ・リベラ・フォルチ
Francisco Franco,フランシスコ・フランコ
Luis Milla,ルイス・ミジャ
Ramón Serrano Suñer,ラモン・セラーノ・スニェール
Morante de la Puebla,モランテ・デ・ラ・プエブラ
Víctor Sada,ビクトル・サダ
Santiago Segura,サンティアゴ・セグラ
Juan de Flandes,フアン・デ・フランデス
Domènec Balmanya,ドメネク・バルマーニャ
Mikel Arteta,ミケル・アルテタ
Alfonso Balcázar,アルフォンソ・バルカザール
César Rodríguez,セサル・ロドリゲス・アルバレス
Secundino de la Rosa Márquez,セクン・デ・ラ・ロサ
Jesús Navas,ヘスス・ナバス
Carlos IV de España,カルロス4世
Bartolomé Colón,バルトロメ
Miguel de Unamuno,ミゲル・デ・ウナムーノ
Markel Susaeta,マルケル・スサエタ
Joaquim Jordà,ホアキン・ホルダ
Quique Sánchez Flores,キケ・サンチェス・フローレス
Luis Miguel Arconada,ルイス・アルコナーダ
Manuel Pablo,マヌエル・パブロ
Xisco Jiménez Tejada,シスコ
José María Martín Bejarano-Serrano,ホセ・マリア・マルティン＝ベハラーノ・セラーノ
Víctor Pérez Alonso,ビクトル・ペレス・アロンソ
Emiliano Insúa,エミリアーノ・インスア
Felipe Reyes,フェリペ・レジェス
Jaime Alguersuari Tortajada,ハイメ・アルグエルスアリSr.
Gabriel Miró,ガブリエル・ミロー
Francisco Soler Atencia,パコ・ソレール
Míriam Díaz Aroca,ミリアム・ディアス＝アロカ
Magaly Carvajal,マガリ・カルバハル
Felipe Pedrell,フェリペ・ペドレル
Pedro Albéniz,ペドロ・アルベニス
Casemiro,カルロス・エンリケ・カジミーロ
Felipe Caicedo Boom,フェリペ・カイセド
Toni Doblas,トニ・ドブラス
José María Movilla,ホセ・マリア・モビージャ
Francisco Javier González Pérez,フランシスコ・ハビエル・ゴンサレス・ペレス
María Dolores Pradera,マリア・ドロレス・プラデーラ
Carlos II de Parma,カルロ2世
Miguel Ángel Moratinos,ミゲル・アンヘル・モラティノス
Javier Saviola,ハビエル・サビオラ
Juan Ponce de León,フアン・ポンセ・デ・レオン
Joaquín Sorolla,ホアキン・ソローリャ
Manolo Preciado,マヌエル・プレシアード
Juan José Ibarretxe Markuartu,フアン・ホセ・イバレチェ
José Ángel Crespo,ホセ・アンヘル・クレスポ
Jorge de Oteiza,ホルヘ・オテイサ
Roberto Acuña,ロベルト・アクーニャ
Jesús Franco,ジェス・フランコ
Antonio Molina,アントニオ・モリーナ
Ramón María Narváez,ラモン・マリア・ナルバエス
Jonathan Pereira,ホナタン・ペレイラ
Rubén Rochina,ルベン・ロチーナ
Montserrat Lombard,モンセラート・ロンバード
Vicente Cervantes,ビセンテ・セルバンテス
Mario Gaspar,マリオ・ガスパール
David Marrero,ダビド・マレーロ
Fernando San Emeterio,フェルナンド・サン・エメテリオ
Mikel Balenziaga,ミケル・バレンシアガ
shalo castro,ゴンサロ・カストロ
Juan Carlos Ferrero,フアン・カルロス・フェレーロ
Benito Floro,ベニート・フローロ
Jorge Alba,ジョルディ・アルバ
Emilio Mola,エミリオ・モラ
Juan de Jáuregui,フアン・デ・ハウレギ
Turón,トゥロン
Bata,アグスティン・サウト・アラーナ
Hermidita,マヌエル・エルミーダ・ロサーダ
Rafael Muñoz Pérez,ラファエル・ムニョス
Nino,フアン・フランシスコ・マルティネス・モデスト
Melendi,メレンディ
Manuel Enrique Jiménez,マヌエル・ヒメネス・アバロ
Juan Sánchez Cotán,フアン・サンチェス・コターン
Gonzalo Fernández de Oviedo,フェルナンデス・デ・オビエド
Fernando Llorente,フェルナンド・ジョレンテ
Miguel Servet,ミシェル・セルヴェ
Arantxa Sánchez Vicario,アランチャ・サンチェス・ビカリオ
Juan Goytisolo,フアン・ゴイティソーロ
Santiago Casares Quiroga,サンティアゴ・カサーレス・キローガ
Francisco de Toledo,フランシスコ・デ・トレド
Josemaría Escrivá de Balaguer,ホセマリア・エスクリバー
Jesé Rodríguez,ヘセ・ロドリゲス
Carlos Jiménez Sánchez,カルロス・ヒメネス
Francisco Fernández de la Cueva y de la Cueva,フランシスコ・フェルナンデス・デ・ラ・クエバ・イ・デ・ラ・クエバ
Carlos Marchena,カルロス・マルチェナ
Manolo Escobar,マノロ・エスコバル
Fernando VII de España,フェルナンド7世
Aleix Vidal,アレイクス・ビダル
Alejandro Grimaldo,アレハンドロ・グリマルド
José García Nieto,ホセ・ガルシア・ニエト
Francisco de Osuna,フランシスコ・デ・オスナ
Amancio Ortega,アマンシオ・オルテガ
Cristóbal de Oñate,クリストバル・デ・オニャテ
Francisco Serrano y Domínguez,フランシスコ・セラーノ
Fernando de Rojas,フェルナンド・デ・ロハス
Juan de la Cierva,フアン・デ・ラ・シエルバ
Claudio Castelucho,クラウディオ・カステルッチョ
Álex Debón,アレックス・デボン
Paula Ortiz,パウラ・オルティス
Duquende,ドゥケンデ
Sergio Hernández,セルヒオ・エルナンデス
Manuel Altolaguirre,マヌエル・アルトラギーレ
Francisco María Carrafa,フランチェスコ・マリア・カラファ
Juan Vizcaíno,フアン・ビスカイーノ
Joaquín Navarro Jiménez,シモ・ナバーロ
Alberto de la Bella,アルベルト・デ・ラ・ベジャ
Louis Blanc,ルイ・ブラン
Adelardo Rodríguez,アデラルド・ロドリゲス
Francisco Ferrer Guardia,フランセスク・ファレー・イ・グアルディア
Gabriel García de la Torre,ガブリエル・ガルシア・デ・ラ・トーレ
Joan Capdevila,ジョアン・カプデビラ
Joan Roca,ジュアン・ロカ
Chico Flores,ホセ・マヌエル・フローレス・モレノ
José Pedro Cea,ペドロ・セア
David Ferrer,ダビド・フェレール
Francisco Camarasa,パコ・カマラサ
Andrés Segovia Torres,アンドレス・セゴビア
Jorge Guerricaechevarría,ホルヘ・ゲリカエチェバリア
José Villegas Cordero,ホセ・ビジェガス・コルデロ
Juan Aguilera,フアン・アギレラ
Aleix Espargaró,アレックス・エスパルガロ
Alejandro Maclean,アレハンドロ・マクレアン
Juan Carlos Pérez López,フアン・カルロス・ペレス・ロペス
Marta Torné,マルタ・トルネ
Iñaki Urdangarin,イニャキ・ウルダンガリン
Miguel Bosé,ミゲル・ボセ
Teresa Gimpera,テレサ・ヒンペラ
Isabel Martínez de Perón,イサベル・ペロン
Pasqual Maragall,パスクアル・マラガイ・ミラ
Najmánides,ナフマニデス
Domingo Rey d'Harcourt,レイ・ダルクール
Gerard Deulofeu,ジェラール・デウロフェウ
Alfredo Kraus,アルフレード・クラウス
Mikel Astarloza,ミケル・アスタルロサ
Jorge Otero,ホルヘ・オテロ
Raúl Fernández-Cavada Mateos,ラウール・フェルナンデス
Esteban Suárez,エステバン・スアレス
Diego de Nicuesa,ディエゴ・デ・ニクエサ
Juan de Valdés Leal,フアン・デ・バルデス・レアル
Francisco Palau y Quer,フランシスコ・パラウ
José Beneyto Rostoll,ホセ・ベネイト・ロストイ
Miguel Primo de Rivera y Orbaneja,ミゲル・プリモ・デ・リベラ
Raymond Domenech,レイモン・ドメネク
Ferran Corominas,フェラン・コロミナス
Benicio del Toro,ベニチオ・デル・トロ
Juan Ruiz de Alarcón,フアン・ルイス・デ・アラルコン
Max Aub,マクス・アウブ
Mikel Alonso,ミケル・アロンソ
Francisco de Asís de Borbón,フランシスコ・デ・アシース・デ・ボルボーン
José Blanco López,ホセ・ブランコ・ロペス
Manuel de Falla,マヌエル・デ・ファリャ
Josep Escolà,ジョゼップ・エスコラ
Juan Manuel Asensi,フアン・マヌエル・アセンシ
Joan Ángel Román,ジョアン・アンヘル・ロマン
Gregorio Manzano,グレゴリオ・マンサーノ
David García Dapena,ダビ・ガルシア・ダペナ
Zenón de Somodevilla y Bengoechea,セノン・デ・ソモデビーリャ・イ・ベンゴエチェア
Jesús Pereda,チュス・ペレダ
Manuel de Lekuona,マヌエル・レクオナ
Felipe VI de España,フェリペVI
Jesús Hernández Blázquez,イエス・エルナンデス
Benito Pérez Galdós,ベニート・ペレス・ガルドス
Pau Gasol,パウ・ガソル
Fernando VI de España,フェルナンド6世
Daniel Urrabieta Vierge,ダニエル・ヴィエルジュ
Luis Méndez de Haro y Guzmán,ルイス・メンデス・デ・アロ
Josep Maria Jujol,ジュゼップ・マリア・ジュジョール
Jon Andoni Goikoetxea,ヨン・アンドニ・ゴイコエチェア
Juanma Gárate,フアン・マヌエル・ガラテ
Josemi González,ホセ・ミゲル・ゴンサレス・レイ
Francisco Hernández de Córdoba,フランシスコ・エルナンデス・デ・コルドバ
Luis Váez de Torres,ルイス・バーエス・デ・トーレス
Carlos Moyá,カルロス・モヤ
Julián Berrendero,フリアン・ベレンデロ
Xabi Prieto,シャビエル・プリエト・アルガラテ
Antonio de Cabezón,アントニオ・デ・カベソン
Jaume Collet-Serra,ジャウム・コレット＝セラ
La Argentinita,ラ・アルヘンティニータ
Alfonso de Borbón y Battenberg,アルフォンソ・デ・ボルボーン・イ・バッテンベルグ
Carlos de Borbón-Dos Sicilias,カルロ・タンクレーディ・ディ・ボルボーネ＝ドゥエ・シチリエ
Francisco Ximénez,フランシスコ・ヒメーネス
José Antonio Griñán,ホセ・アントニオ・グリニャン・マルティネス
Eduardo Torroja Miret,エドゥアルド・トロハ
Ismael Falcón,イスマエル・ゴメス・ファルコン
Josep Domènech i Estapà,ジョゼップ・ドメネク・イ・エスタパ
Fernando Verdasco,フェルナンド・ベルダスコ
Bartolomé Esteban Murillo,バルトロメ・エステバン・ムリーリョ
Esteve Rabat,エステベ・ラバト
Rubén Castro,ルベン・カストロ
José Giral,ホセ・ヒラル・ペレイラ
Diego Martínez Barrio,ディエゴ・マルティネス・バリオ
Iñaki Lafuente,イニャキ・ラフエンテ
Ibai Gómez,イバイ・ゴメス
Valentín Gómez Farías,ヴァレンティン・ゴメス・ファリアス
Carlos Gurpegui,カルロス・グルペギ
Roberto Martínez Montoliú,ロベルト・マルティネス
Javier Fernández Fernández,ハビエル・フェルナンデス・フェルナンデス
Pascual Cervera y Topete,パスクワル・セルベラ
Florencio García Goyena,フロレンシオ・ガルシア・ゴエナ
