党委书记,당 서기
山西省,산시성
秦始皇兵马俑,병마용
盐城市,옌청시
泰州市,타이저우시
中国国际航空,중국국제항공
台州市,타이저우시
鸡西市,지시시
扬州市,양저우시
9gag,나인개그
桥东区,차오둥구
阿尼玛卿山,아니마칭산
景县,징현
西沙群岛,파라셀 제도
白族,바이족
东北亚,동북아시아
廣府話,광둥어
淮安市,화이안시
衢州市,취저우시
柯尔克孜语,키르기스어
台湾省,타이완성
自治区,자치구
陕西省,산시성
宿迁市,쑤첸시
佳木斯市,자무쓰시
锦州市,진저우시
丽水市,리수이시
徐州市,쉬저우시
秦皇岛市,친황다오시
彩虹站,초이훙역
江蘇希望之星隊,장쑤 호프스타스
松花湖,쑹화호
东南亚,동남아시아
南通市,난퉁시
南昌县,난창현
高陵区,가오링 현
连云港市,롄윈강시
维吾尔族,위구르족
中国共产党中央委员会,중국 공산당 중앙위원회
平昌县,핑창현
塔城地区,타청 지구
衡山,형산
盘山县,판산현
天津市,톈진시
大悟县,다우현
赫章县,허장현
常州市,창저우시
且末县,체모현
定州市,딩저우시
香港政區,홍콩의 행정구역
澳門行政區劃,마카오의 행정 구역
中华人民共和国最高领导人,중화인민공화국의 최고지도자
太古站,타이구역
西灣河站,시완허 역
荃灣站,췬완역
長沙灣站,청사완역
葵芳站,콰이퐁역
长江三峡水利枢纽工程,싼샤 댐
中华人民共和国行政领土实体,중화인민공화국의 행정 구역
辽宁曙光汽车集团,SG 오토모티브
山亭区,산팅구
中国音乐,중국 음악
2008年夏季奧林匹克運動會馬術比賽,2008년 하계 올림픽 승마
双清区,솽칭구
遵义市,쭌이시
自贡市,쯔궁시
盐津县,옌진현
浑南区,둥링 구
千山区,첸산구
浑源县,훈위안현
邯郸市,한단시
中華文化,중국의 문화
唐山市,탕산시
长城,만리장성
吐鲁番盆地,투루판 분지
東江,동강
邵东市,사오둥현
荔浦市,리푸 현
宁河区,닝허구
太行山,타이항산맥
榆社县,위서현
佐敦站,조던역
東涌站,둥충역
禮賓府,홍콩 예빈부
油麻地站,야우마데이역
旁遮普語,펀자브어
解放区,제팡구
鎮江市,전장시
武汉市,우한시
中芯国际,SMIC
塔城市,타청시
西乡县,시샹현
法库县,파쿠현
宜都市,이두시
渤海海峡,보하이 해협
北疆,중가리아
八宝山革命公墓,팔보산혁명공묘
黃大仙站,웡다이신역
沧州市,창저우시
海宁市,하이닝시
新兴县,신싱현
廊坊市,랑팡시
山塘街,샨탕제
青衣站,칭이역
藍田站,람틴역
石硤尾站,섹깁메이역
樂富站,록푸역
邢台市,싱타이시
张家口市,장자커우시
韶山市,사오산시
石家庄市,스자좡시
贺龙体育文化中心,허룽 체육장
西朝鲜湾,한국만
中國國際航空航天博覽會,주하이 에어쇼
泉山区,취안산구
弋江区,이장구
阳山县,양산현
舟山市,저우산시
港鐵將軍澳綫車站,바오린 선
將軍澳站,쟝준아오 역
香港大學站,홍콩대학역
深水埗站,삼서이보역
鰂魚涌站,제이위윙 역
博覽館站,박람관역
承德市,청더시
議事亭前地,세나두 광장
明故宫,난징 고궁
中国大陆的性服务业,중화인민공화국의 성매매
壮语,좡어
牟平区,무핑구
灣仔,완쯔
普濟禪院,관음당
梅列区,메이례구
重庆市,충칭시
明溪县,밍시현
拜泉县,바이취안현
金台区,진타이구
湖南大学,후난 대학
雲南大學,윈난 대학
汕头市,산터우시
沈阳地铁,선양 지하철
北京地铁5号线,베이징 지하철 5호선
下陆区,샤루구
京石客运专线,징스 고속철도
中國人民解放軍大將,중국인민해방군 대장
虎跑泉,호포천
伊州区,이저우구
高密市,가오미시
中国东方航空,중국동방항공
四川航空,쓰촨 항공
海南航空,하이난 항공
衡水市,헝수이시
金华市,진화시
光明区,광밍 신구
中山北路站,중샨베이루 역
嘉兴市,자싱시
大足石刻,다쭈 석각
纳木错,남초호
石武客运专线,스우 고속철도
保定市,바오딩시
大兴安岭,대흥안령산맥
黄土高原,황투고원
湘语,샹어
锡伯语,시버어
长安汽车,창안 자동차
蓬安县,펑안현
大跃进,대약진 운동
沧浪区,창랑구
珠海市,주하이시
梅县话,메이셴화
烟大铁路轮渡,보하이 철로 페리
黃竹坑,웡죽항
烏溪沙站,우시사 역
落馬洲站,록마차우 역
香港節日與公眾假期,홍콩의 공휴일
旺角大球場,웡곡대구장
中国共产党中央顾问委员会,중국공산당 중앙고문위원회
北京站,베이징역
濠江区,하오장구
大塘站,다탕 역
朗屏站,랑핑 역
济水,지수이
鯉魚門,레이위에먼
盟,맹
胶州市,자오저우시
江门市,장먼시
上海城隍廟,상하이 성황묘
阳谷县,양구현
乌鲁木齐地铁,우루무치 지하철
云溪区,윈시구
韶关市,사오관시
广东省,광둥성
炮台山站,파오타이산 역
牛頭角站,아우타우곡 역
馬鞍山站,마안산 역
大窩口站,다이워하우역
石門站,시먼 역
大水坑站,다쉬컹 역
第一城站,디이천 역
天后站,티안호 역
九龍灣站,가우룽완역
坑口站,컹코우 선
北角站,베이쟈오 역
柯士甸站,오스틴 역
中国南方航空,중국남방항공
百度,바이두
港鐵,홍콩 지하철
中環,센트럴
深水埗區,삼서이보구
银州区,인저우구
贺兰山,허란산맥
批林批孔运动,비림비공운동
云阳县,Yunyang County
仁布县,런부현
肇庆市,자오칭시
深圳市,선전시
澳門,마카오
梅州市,메이저우시
克拉玛依市,커라마이시
2008年夏季奧林匹克運動會男子50米自由泳比賽,2008년 하계 올림픽 수영 남자 50m 자유형
湛江市,잔장시
筲箕灣站,사우게이완역
阿坝镇,나가와
阿坝县,아바현
北京地铁4号线,베이징 지하철 4호선
中華人民共和國香港特別行政區基本法,중화인민공화국 홍콩특별행정구 기본법
中環站,중완역
金鐘站,감중역
上環站,상환 역
门巴族,먼바족
黃浦區,황푸구
云霄县,윈샤오현
惠州市,후이저우시
羅湖站,루오후 역
茘景站,라이깅역
葵興站,콰이힝역
維吾爾語,위구르어
松江區,쑹장구
澳門市,마카오시
上海广播电视台,상하이 미디어 그룹
东突厥斯坦,동튀르키스탄
广丰区,광펑 현
奈曼旗,나이만 기
龙潭区,룽탄구
嘉定區,자딩구
金山区,진산구
恭陵,공릉
青太客運專線,칭타이 고속철도
2011年亞洲籃球錦標賽,2011년 아시아 남자 농구 선수권 대회
長寧區,창닝구
apm,apm
雲岡石窟,윈강 석굴
武陵山脉,우링산맥
傣族,다이족
青岛啤酒,칭다오 맥주
广州地铁,광저우 지하철
静安区,징안구
中国地理,중국의 지리
中华人民共和国科学技术部,중화인민공화국 과학기술부
普陀區,푸퉈구
托克托县,퉈커퉈현
虹口区,훙커우구
购物公园站,쇼핑 파크 역
恆安站,훙안 역
屯門碼頭站,툰먼 부두 역
馬場站,마쵼 역
大劇院站,대극원 역
荃灣西站,취안완서 역
2008年夏季奧林匹克運動會賽艇比賽,2008년 하계 올림픽 조정
联航路站,롄항루 역
清远市,칭위안시
八宝山站,바바오산역
南礼士路站,난리스루역
中国西部,서중국
悦达起亚,동옥 위에다 기아
莱州市,라이저우시
江月路站,장웨루 역
浦江镇站,푸장전 역
杨浦区,양푸구
大连站,다롄역
潘广路站,판광루역
芦恒路站,루헝루 역
金科路站,진커루역
油塘站,야우통역
車公廟站,처궁묘 역
沙田圍站,사티안웨이 역
荔枝角站,라이지곡역
杏花邨站,싱화춘 역
闵行区,민항구
临夏市,린샤시
中華人民共和國主席,중화인민공화국의 주석
东莞市,둥관시
华南MALL,신화난 MALL
首都航空,베이징 캐피탈 항공
东乌珠穆沁旗,둥우주무친 기
艾努人,애이누인
广西壮族自治区,광시 좡족 자치구
宝安县,보안현
尖沙咀,짐사저이
香港特別行政區政府,홍콩 특별행정구 정부
中华东正教会,중국 정교회
2008年夏季奧林匹克運動會射擊比賽,2008년 하계 올림픽 사격
環球貿易廣場,국제상업센터
宝山区,바오산구
太康县,타이캉현
联想集团,레노버
沙田站,샤티안 역
木樨地站,무시디역
社會主義國家,사회주의 국가
阳江市,양장시
大庆市,다칭시
清东陵,청동릉
剑川路站,젠촨루 역
新华区,신화구
中國國際貨運航空,중국국제항공 카고
凤凰县,펑황현
玉泉路站,위취안루역
五棵松站,우커숭 역
天安門西站,톈안먼 서역
同仁堂,동인당
深圳地铁1号线,선전 지하철 1호선
汕尾市,산웨이시
王府井站,왕푸징역
国贸站,궈마오역
美捷香港商用飛機,메트로젯
东单站,둥단역
建國門站,젠궈먼역
青浦区,칭푸구
奉贤区,펑셴구
天等县,톈덩현
大名县,다밍현
龙州县,룽저우현
宁明县,닝밍현
沙田區,사톈구
河源市,허위안시
黎族,리족
九龍巴士,주룽 버스
跑馬地,해피밸리
中华全国妇女联合会,중화전국부녀연합회
广兰路站,광란루역
羅湖站,뤄후역
沈杜公路站,선두 공로 역
共青城市,궁칭청시
凉山彝族自治州,량산 이족 자치주
郁南县,위난현
黄陂区,황피구
杭州湾跨海大桥,항저우만 대교
佤族,와족
港島香格里拉大酒店,아일랜드 샹그릴라 호텔
虎牢关,호뢰관
友邦金融中心,AIA 센트럴
西单站,시단역
罗布泊,로프노르
中山市,중산시
元朗站,위안랑 역
中西區,중시구
關帝廟,관제묘
2008年8月1日日食,2008년 8월 1일 일식
西夏区,시샤구
布依族,부이족
潍城区,웨이청구
温泉县,원취안현
普通高等学校招生全国统一考试,보통 고등학교 초생 전국 통일고시
深圳宝安国际机场,선전 바오안 국제공항
中国地震局,중국지진국
喀爾喀蒙古族,할하
港島綫,공도선
迪士尼綫,디즈니랜드 선
馬鞍山綫,마온산 선
東鐵綫,동철선
太仓市,타이창시
中国未识别民族,중국의 미식별 민족
薑汁撞奶,생강 우유 푸딩
老街站,라오졔 역
沪宁城际铁路,후닝 고속철도
米易县,미이현
邗江区,한장구
云浮市,윈푸시
中华人民共和国国务院,중화인민공화국 국무원
布吉站,부지 역
黔西南布依族苗族自治州,첸시난 부이족 먀오족 자치주
2008年夏季奧林匹克運動會擊劍比賽,2008년 하계 올림픽 펜싱
敦煌市,둔황시
潮州市,차오저우시
鴉洲,아자우섬
中国电影,중국 영화
八角游乐园站,바자오유러위안역
永安里站,융안리역
2011年世界游泳錦標賽,2011년 세계 수영 선수권 대회
阿图什市,아투스시
虞城县,위청현
新平彝族傣族自治县,신핑 이족 다이족 자치현
中国国家奥林匹克足球队,중국 U-23 축구 국가대표팀
中央人民政府駐香港特別行政區聯絡辦公室,중앙인민정부 주홍콩연락판공실
燕京,연경
大新县,다신현
周庄镇,저우장 진
三亞市,싼야시
神舟六号,선저우 6호
菏泽市,허쩌시
远望大厦,스카이 시티
赤水市,츠수이시
中環碼頭,센트럴 부두
選舉委員會,선거위원회
安定站,안딩 역
世界之窗站,세계의 창문 역
山阴县,산인현
托木尔峰,포베다산
福州市,푸저우시
永定区,융딩구
河北鋼鐵集團,HBIS 그룹
中国动画,중국의 애니메이션
曲阜孔庙,공묘
方城县,팡청현
曲麻莱县,취마라이현
扬州八怪,양주팔괴
辽东半岛,랴오둥반도
浑江区,훈장구
固玛镇,피샨
乌鲁木齐七·五骚乱,2009년 7월 우루무치 소요 사태
啟德機場,카이탁 공항
长江三峡,장강삼협
小青岛 (青岛),샤오칭다오
皇姑区,황구구
莘庄站,신좡 역 (지하철)
赤城县,츠청현
撒拉族,사라족
曹妃甸区,탕하이 현
金川县,진촨현
海门区,하이먼시
冷水滩区,렁수이탄구
九流十家,구류십가
中國人民解放軍駐香港部隊大廈,인민해방군 주홍콩부대빌딩
挹娄,읍루
奧林匹克運動會中國代表團,올림픽 중국 선수단
龙门镇,용문
峨嵋山暗色岩,어메이산 트랩
漓江,리강
塔門,탑문섬
乌鲁木齐县,우루무치현
上海育碧电脑软件有限公司,유비소프트 상하이
元朗,위안랑
阿尔卑斯带,알프스-히말라야 조산대
中朝友谊桥,조중우의교
鴨脷洲,야리저우
2008年夏季奧林匹克運動會排球比賽,2008년 하계 올림픽 배구
望都县,왕두현
泗阳县,쓰양현
香港大球場,홍콩대구장
额济纳旗,어지나 기
昌吉市,창지시
澳門美高梅,MGM 마카오
泉州市,취안저우시
北庭大都护府,북정도호부
中国棒球协会,중국야구협회
郑州站,정저우역
京哈客运专线,징하 고속철도
东海大桥,둥하이 대교
2009年世界女子手球錦標賽,2009년 세계 여자 핸드볼 선수권 대회
落馬洲,록마차우
美孚站,메이푸역
粉嶺站,펀링 역
太和站,타이허 역
尖東站,지안동 역
大學站,대학역
將軍澳綫,정관오선
東涌綫,둥충선
西鐵綫,서철선
莆田市,푸톈시
伊春市,이춘시
中华人民共和国司法体制,중화인민공화국의 사법 제도
那坡县,나포현
北京地铁2号线,베이징 지하철 2호선
城北区,청베이구
泸西县,루시현
三明市,싼밍시
南平市,난핑시
渭河,웨이허
北土城站,베이투청역
輕鐵車廠站,전철 창고 역
天通苑北站,톈퉁위안 북역
龙岩市,룽옌시
厦门市,샤먼시
漳州市,장저우시
图木舒克市,투무수커시
聶斯脫里派教會,동방교회
奎屯市,쿠이툰시
广宁县,광닝현
双鸭山市,솽야산시
沪汉蓉快速客运通道,후한룽 고속철도
沪昆客运专线,후쿤 고속철도
杭福深客運專線,항푸선 고속철도
友愛站,요아이 역
青山村站,칭산춘 역
鹤岗市,허강시
徐浦大桥,쑤푸 대교
澳門回歸,마카오 반환
东直门站,둥즈먼역
劲松站,진쑹역
巴沟站,바거우역
石河子市,스허쯔시
宜昌市,이창시
吴川市,우촨시
泗洪县,쓰훙현
翠峦区,추이롼구
黑河市,헤이허시
铁西区,톄시구
苏公塔,소공탑
新巴尔虎右旗,신바얼후 우기
七台河市,치타이허시
国家航天局,중국 국가항천국
屯門醫院站,툰먼 의원 역
青雲站,칭윈 역
銀座站,긴자 역
龍門站,룽먼 역
察哈尔右翼后旗,차하얼 우익후기
律商联讯,렉시스
2008年夏季奧林匹克運動會游泳比賽男子400米混合泳比賽,2008년 하계 올림픽 수영 남자 400m 개인혼영
南京大学,난징 대학
中華人民共和國－印度關係,인도-중화인민공화국 관계
襄垣县,샹위안현
中华人民共和国最高人民法院,중화인민공화국 최고인민법원
尖沙咀鐘樓,젠사쥐 종루
酒泉卫星发射中心,주취안 위성발사센터
和田地區,호탄 지구
翼城县,이청현
三亞鳳凰國際機場,싼야 펑황 국제공항
西宁市,시닝시
绥化市,쑤이화시
文山壮族苗族自治州,원산 좡족 먀오족 자치주
大理白族自治州,다리 바이족 자치주
楚雄彝族自治州,추슝 이족 자치주
安陽市,안양시
宁德市,닝더시
风暴一号运载火箭,펑바오 1호
井冈山机场,징강산 공항
宁波轨道交通,닝보 지하철
台江县,타이장현
平江县,핑장현
万宁市,완닝시
哈密市,하미시
昌吉回族自治州,창지 후이족 자치주
長江集團中心,쳉 콩 센터
中国人民抗日战争纪念馆,중국인민항일전쟁기념관
长白朝鲜族自治县,창바이 조선족 자치현
汉传佛教,중국의 불교
黃石市,황스시
沈阳故宫,선양 고궁
2008年夏季奥林匹克运动会田径比赛－男子200米,2008년 하계 올림픽 육상 남자 200m
文昌市,원창시
曲阳县,취양현
崇文门站,충원먼역
襄阳市,샹양시
红河哈尼族彝族自治州,훙허 하니족 이족 자치주
德宏傣族景颇族自治州,더훙 다이족 징포족 자치주
济源市,지위안시
虹桥火车站站,훙차오 역 (지하철)
曲松县,취쑹현
利通区,리퉁구
高县,가오현
天燈,풍등
滙業銀行,방코델타아시아
北京地铁10号线,베이징 지하철 10호선
前门站,첸먼역
3号航站楼站,3터미널역
九龍塘站,지오룽탕 역
尖沙咀站,짐사저이역
大埔墟站,다부쉬 역
兆康站,자오캉 역
淮南市,화이난시
天门市,톈먼시
伊犁哈萨克自治州,이리 카자흐 자치주
2號航站樓站,2터미널역
中车长春轨道客车股份有限公司,창춘 궤도객차
马鞍山市,마안산시
西直门站,시즈먼역
蚌埠市,벙부시
郑州地铁,정저우 지하철
二连浩特市,얼롄하오터시
罗湖区,뤄후구
前海湾站,쳰하이완 역
紅磡站,훙칸 역
十堰市,스옌시
开原市,카이위안시
威州镇,웨이주
五指山市,우즈산시
中华人民共和国工业和信息化部,중화인민공화국 공업정보화부
中国工程院,중국공정원
孝感市,샤오간시
北京地铁13号线,베이징 지하철 13호선
三元桥站,싼위안차오역
北京地铁首都机场线,베이징 지하철 수도공항선
北京地铁8号线,베이징 지하철 8호선
森林公园南门站,삼림공원 남문역
六安市,루안시
瓯海区,어우하이구
好太王碑,광개토대왕릉비
黄冈市,황강시
芜湖市,우후시
宣城市,쉬안청시
抚州市,푸저우시
五指山,우즈산
雍和宫,옹화궁
渭源县,웨이위안현
人民大会堂,인민대회당
布达拉宫,포탈라궁
荆州市,징저우시
环渤海经济圈,환보하이 경제권
古寧頭之役,구닝터우 전투
和龙市,허룽시
大同市,다퉁시
虹桥2号航站楼站,훙차오 공항 2터미널 역
察布查尔锡伯自治县,차부차얼 시버 자치현
鄂州市,어저우시
琼海市,충하이시
鹿泉区,루취안 시
盐田区,옌톈구
汪清县,왕칭현
鼎泰豐,딘타이펑
遗华日侨,중국 잔류 일본인
203高地,203고지
鹰潭市,잉탄시
乌兰浩特市,우란하오터시
2008年夏季奧林匹克運動會田徑比賽－女子100米,2008년 하계 올림픽 육상 여자 100m
2008年夏季奧林匹克運動會游泳比賽男子4 × 100米自由泳接力比賽,2008년 하계 올림픽 수영 남자 400m 계영
2008年夏季奧林匹克運動會游泳比賽男子4 × 200米自由泳接力比賽,2008년 하계 올림픽 수영 남자 800m 계영
荆门市,징먼시
巢湖市,차오후시
阜阳市,푸양시
宿州市,쑤저우시
忻州市,신저우시
临汾市,린펀시
2008年夏季奧林匹克運動會游泳比賽男子10公里公開水域游泳比賽,2008년 하계 올림픽 수영 남자 10km 마라톤
2008年夏季奧林匹克運動會男子200米自由泳比賽,2008년 하계 올림픽 수영 남자 200m 자유형
2008年夏季奧林匹克運動會游泳比賽男子200米蝶泳比賽,2008년 하계 올림픽 수영 남자 200m 접영
2008年夏季奧林匹克運動會游泳比賽男子200米混合泳比賽,2008년 하계 올림픽 수영 남자 200m 개인혼영
上海火车站站,상하이역
中国共产党中央委员会总书记,중국공산당 중앙위원회 총서기
山东半岛,산둥반도
中国基督教协会,중국기독교협회
华中,화중
中国南方喀斯特,중국 남방 카르스트
武广客运专线,우광 고속철도
沈阳奥林匹克体育中心,선양 올림픽 스포츠 센터 스타디움
龙岗区,룽강구
任泽区,런현
一江山岛,이장산섬
萍乡市,핑샹시
新余市,신위시
淮北市,화이베이시
文成县,원청현
泰顺县,타이순현
龙湾区,룽완구
鹿城区,루청구
运城市,윈청시
蝴蝶站,후뎨 역
上海科技馆,상하이커지관
苍南县,창난현
咸寧市,셴닝시
大理市,다리시
濕地公園站,습지 공원 역
美樂站,멜로디 가든 역
洮南市,타오난시
深圳地铁4号线,선전 지하철 4호선
循化撒拉族自治县,쉰화 사라족 자치현
2008年夏季奧林匹克運動會游泳比賽男子100米蛙泳比賽,2008년 하계 올림픽 수영 남자 100m 평영
亳州市,보저우시
池州市,츠저우시
铜陵市,퉁링시
凤山县,펑산현
东兰县,둥란현
吉安市,지안시
平阳县,핑양현
大丰区,다펑 시
潜江市,첸장시
天峨县,톈어현
子牙河,쯔야허
晋城市,진청시
乐清市,웨칭시
上海南站站,상하이 남역
秦皇岛市奥体中心体育场,친황다오 올림픽 스포츠 센터 스타디움
土族,투족
随州市,쑤이저우시
太原市,타이위안시
上饶市,상라오시
高港区,가오강구
赣州市,간저우시
2008年夏季奧林匹克運動會男子沙灘排球比賽,2008년 하계 올림픽 비치발리볼
2008年夏季奧林匹克運動會跆拳道比賽—男子80公斤級,2008년 하계 올림픽 태권도 남자 80kg급
青岛站,칭다오역
杭州湾,항저우만
仰韶文化,양사오 문화
中国五年计划,중국의 5개년 계획
大连路站,다롄루 역
香港8號幹線,홍콩 8호 간선
青白江区,칭바이장구
鞍山市,안산시
富春山居图,부춘산거도
台灣文化,대만의 문화
和平区,허핑구
台灣海峽飛彈危機,제3차 대만 해협 위기
西塔教会,서탑교회
中朝关系,조선민주주의인민공화국-중화인민공화국 관계
北辰区,베이천구
武清区,우칭구
宝坻区,바오디구
