aleksandrs starkovs,알렉산드르스 스타르코우스,alregsandeureuseu seutareukouseu
vasilijs kononovs,바실리 코노노프,basilri kononopeu
jēkabs peterss,야코프 페테르스,yakopeu petereuseu
juris silovs,유리스 실로프스,yuriseu silropeuseu
oskars bārtulis,오스카르스 바르툴리스,oseukareuseu bareutulriseu
tomass dukurs,토마스 두쿠르스,tomaseu dukureuseu
ksenija solo,크세니야 솔로,keuseniya solro
māris verpakovskis,마리스 베르파코우스키스,mariseu bereupakouseukiseu
ivars godmanis,이바르스 고드마니스,ibareuseu godeumaniseu
marija naumova,마리야 나우모바,mariya naumoba
aija andrejeva,아이야 안드레예바,aiya andeureyeba
anastasija sevastova,아나스타시야 세바스토바,anaseutasiya sebaseutoba
ineta radēviča,이네타 라데비차,ineta radebica
māris štrombergs,마리스 슈트롬베르크스,mariseu syuteurombereukeuseu
artūrs irbe,아르투르스 이르베,areutureuseu ireube
dainis kūla,다이니스 쿨라,dainiseu kulra
eduards kalniņš,에두아르츠 칼닌슈,eduareuceu kalninsyu
augusts kirhenšteins,아우구스츠 키르헨슈테인스,auguseuceu kireuhensyuteinseu
ausma ziedonekantāne,아우스마 지에도네칸타네,auseuma jiedonekantane
viktorija modesta,빅토리아 모데스타,bigtoria modeseuta
uvis kalniņš,우비스 칼닌슈,ubiseu kalninsyu
vladislavs gutkovskis,블라디슬라우스 구트코우스키스,beulradiseulrauseu guteukouseukiseu
jānis paukštello,야니스 파욱슈텔로,yaniseu paugsyutelro
deniss čerkovskis,데니스 체르코우스키스,deniseu cereukouseukiseu
ināra mūrniece,이나라 무르니에체,inara mureuniece
agate muceniece,아가테 무체니에체,agate muceniece
jana sekste,야나 섹스테,yana segseute
ilze ķuzuleskrastiņa,일제 추줄레스크라티냐,ilje cujulreseukeuratinya
romualds ražuks,로무알츠 라죽스,romualceu rajugseu
beness aijo,아이조 베네스,aijo beneseu
pauls kalniņš,파울스 칼닌슈,paulseu kalninsyu
andris keišs,안드리스 케이슈,andeuriseu keisyu
ēriks pelcis,에릭스 펠치스,erigseu pelciseu
gundars celitāns,군다르스 첼리탄스,gundareuseu celritanseu
laura rizoto,라우라 히조투,raura hijotu
aleksandrs jackēvičs,알렉산드르스 야츠케비치,alregsandeureuseu yaceukebici
vsevolods zeļonijs,브세볼로스 젤로니스,beusebolroseu jelroniseu
baiba broka,바이바 브로카,baiba beuroka
vilis daudziņš,빌리스 다우진슈,bilriseu daujinsyu
māris kučinskis,마리스 쿠친스키스,mariseu kucinseukiseu
tobu,토부,tobu
uldis pūcītis,울디스 푸치티스,uldiseu pucitiseu
georgijs kuļikovs,게오르기스 쿨리코우스,georeugiseu kulrikouseu
aļona ostapenko,옐레나 오스타펜코,yelrena oseutapenko
pjotrs avens,페트르 아벤,peteureu aben
raimonds vējonis,라이몬츠 베요니스,raimonceu beyoniseu
aminata savadogo,아미나타 사바도고,aminata sabadogo
kristīne nevarauskaatkočūne,크리스티네 네바라우스카,keuriseutine nebarauseuka
ieva lagūna,이에바 라구나,ieba raguna
igors šiškins,이고르스 시슈킨스,igoreuseu sisyukinseu
edgars rinkēvičs,에드가르스 린케비치,edeugareuseu rinkebici
jeļena maļuka,옐레나 루블레우스카,yelrena rubeulreuseuka
jānis pīnups,야니스 피눕스,yaniseu pinubseu
deandrē jedlins,디안드레 예들린,diandeure yedeulrin
ģirts ķesteris,지르츠 체스테리스,jireuceu ceseuteriseu
arsens miskarovs,아르센스 미스카로우스,areusenseu miseukarouseu
ingūna butāne,잉구나 부타네,ingguna butane
atis slakteris,아티스 슬락테리스,atiseu seulragteriseu
samanta tīna,사만타 티나,samanta tina
laimdota straujuma,라임도타 스트라우유마,raimdota seuteurauyuma
zemgus girgensons,젬구스 기르겐손스,jemguseu gireugensonseu
rūdolfs gaitars,루돌프스 가이타르스,rudolpeuseu gaitareuseu
kristaps porziņģis,크리스탑스 포르진지스,keuriseutabseu poreujinjiseu
ingrīda andriņa,잉그리다 안드리냐,inggeurida andeurinya
helga dancberga,헬가 단츠베르가,helga danceubereuga
evika siliņa,에비카 실리냐,ebika silrinya
ārons bogoļubovs,아론스 보골루보프스,aronseu bogolrubopeuseu
latvija,라트비아,rateubia
irbes šaurums,이르베 해협,ireube haehyeob
latvijas futbola federācija,라트비아 축구 연맹,rateubia cuggu yeonmaeng
jūrmala,유르말라,yureumalra
piltene,필테네,piltene
eiro,유로,yuro
rīga,리가,riga
aknīste,아크니스테,akeuniseute
kurzeme,쿠를란트,kureulranteu
latvijas ģerbonis,라트비아의 국장,rateubiayi gugjang
rīgas radio un televīzijas tornis,리가 라디오 및 텔레비전 타워,riga radio mic telrebijeon taweo
jaunjelgava,야우넬가바,yaunelgaba
latvijas futbola izlase,라트비아 축구 국가대표팀,rateubia cuggu guggadaepyotim
latviešu mitoloģija,라트비아 신화,rateubia sinhwa
jelgava,옐가바,yelgaba
tukums,투쿰스,tukumseu
aizkraukle,아이스크라우클레,aiseukeuraukeulre
jēkabpils,예캅필스,yekabpilseu
strūves ģeodēziskais loks,스트루베 측지 아크,seuteurube ceugji akeu
rēzekne,레제크네,rejekeune
valpurģu nakts,발푸르기스의 밤,balpureugiseuyi bam
ainaži,아이나지,ainaji
sigulda,시굴다,sigulda
saeima,사에이마,saeima
psrs basketbola izlase,소련 농구 국가대표팀,soryeon nonggu guggadaepyotim
krāslava,크라슬라바,keuraseulraba
salacgrīva,살라츠그리바,salraceugeuriba
latgale,라트갈레,rateugalre
bauska,바우스카,bauseuka
baltijas asambleja,발트 의회,balteu yihoe
zemgale,젬갈레,jemgalre
balvi,발비,balbi
latvijas universitāte,라트비아 대학교,rateubia daehaggyo
dobele,도벨레,dobelre
daugava rīga,다우가바 리가,daugaba riga
vidzeme,비제메,bijeme
ventspils,벤츠필스,benceupilseu
skonto,스콘토,seukonto
dzintara ceļš,호박의 길,hobagyi gil
ogre,오그레,ogeure
salaspils,살라스필스,salraseupilseu
latvija olimpiskajās spēlēs,올림픽 라트비아 선수단,olrimpig rateubia seonsudan
saldus,살두스,salduseu
ludza,루자,ruja
alūksne,알룩스네,alrugseune
madona,마도나,madona
dziesmotā revolūcija,노래 혁명,norae hyeogmyeong
gulbene,굴베네,gulbene
grobiņa,그로비냐,geurobinya
lielvārde,리엘바르데,rielbareude
pērkonkrusts,천둥십자당,ceondungsibjadang
preiļi,프레일리,peureilri
latvijas eiro monētas,라트비아의 유로 주화,rateubiayi yuro juhwa
daugavpils,다우가프필스,daugapeupilseu
airbaltic,에어발틱,eeobaltig
liepājas metalurgs,리에파야스 메탈루르크스,riepayaseu metalrureukeuseu
dievturība,디에브투리바,diebeuturiba
latvijas dzelzceļš,라트비아 철도,rateubia ceoldo
valka,발카,balka
baldone,발도네,baldone
mikrotīkls,미크로틱,mikeurotig
cēsis,체시스,cesiseu
valmiera,발미에라,balmiera
daugava,다우가바,daugaba
pārkrievošana,러시아화,reosiahwa
brīvības piemineklis,자유 기념비,jayu ginyeombi
baltijas tīģeri,발트의 호랑이,balteuyi horangi
blāzma,블라즈마,beulrajeuma
rīgas apriņķis,리가스 아프린치스,rigaseu apeurinciseu
kuldīga,쿨디가,kuldiga
vienotība,단결,dangyeol
dienas lapa,디에나스 라파,dienaseu rapa
latvijas sieviešu futbola izlase,라트비아 여자 축구 국가대표팀,rateubia yeoja cuggu guggadaepyotim
latvijas olimpiskā komiteja,라트비아 올림픽 위원회,rateubia olrimpig wiweonhoe
latviešu virtuve,라트비아 요리,rateubia yori
limbaži,림바지,rimbaji
liepāja,리에파야,riepaya
aldaris,알다리스,aldariseu
auda,아우다,auda
latvijas krievu savienība,라트비아 러시아계 연합,rateubia reosiagye yeonhab
latvijas hokeja izlase,라트비아 아이스하키 국가대표팀,rateubia aiseuhaki guggadaepyotim
sports latvijā,라트비아의 스포츠,rateubiayi seupoceu
metta,메타,meta
jāņi,야니,yani
latvijas saimniecība,라트비아의 경제,rateubiayi gyeongje
miķeļi,미켈리,mikelri
rupjmaize,루피마이제,rupimaije
spartaks jūrmala,스파르탁스 유르말라,seupareutagseu yureumalra
latvijai un ventspilij,라트비아와 벤츠필스를 위하여,rateubiawa benceupilseureul wihayeo
latvijas reģionu apvienība,라트비아 지역 연합,rateubia jiyeog yeonhab
jāņu siers,야니 치즈,yani cijeu
krievvalodīgie,러시아어권,reosiaeogweon
riga,리가,riga
par cilvēcīgu latviju,인간적인 라트비아를 위하여,inganjeogin rateubiareul wihayeo
jevgēņijs saproņenko,예브게니스 사프로넨코,yebeugeniseu sapeuronenko
vitālijs maksimenko,비탈리스 막시멩코,bitalriseu magsimengko
romāns vainšteins,로만스 바인슈테인스,romanseu bainsyuteinseu
viktors ignatjevs,빅토르스 이그나테우스,bigtoreuseu igeunateuseu
jānis mediņš,야니스 메딘슈,yaniseu medinsyu
maija eichhorn,마이야 아이히호른,maiya aihihoreun
dāvis bertāns,다비스 베르탄스,dabiseu bereutanseu
herberts vasiļjevs,헤르베르츠 바실레우스,hereubereuceu basilreuseu
sergejs žoltoks,세르게이스 졸톡스,sereugeiseu joltogseu
jānis sprukts,야니스 스프룩츠,yaniseu seupeurugceu
zigurds lanka,지구르츠 랑카,jigureuceu rangka
raimonds pauls,라이몬츠 파울스,raimonceu paulseu
aija bārzdiņa,아이야 바르즈디냐,aiya bareujeudinya
dairis bertāns,다이리스 베르탄스,dairiseu bereutanseu
harijs vītoliņš,하리스 비톨린슈,hariseu bitolrinsyu
mairis briedis,마이리스 브리에디스,mairiseu beuriediseu
elīna garanča,엘리나 가랑차,elrina garangca
renārs kaupers,레나르스 카우페르스,renareuseu kaupereuseu
nils ušakovs,닐스 우샤코우스,nilseu usyakouseu
kristīne opolais,크리스틴 오폴라이스,keuriseutin opolraiseu
jāzeps vītols,야젭스 비톨스,yajebseu bitolseu
jēkabs mediņš,예캅스 메딘슈,yekabseu medinsyu
ģederts eliass,제데르츠 엘리아스,jedereuceu elriaseu
edvīns ozoliņš,에드빈스 오졸린슈,edeubinseu ojolrinsyu
sigvards kļava,시그바르츠 클랴바,sigeubareuceu keulryaba
nora ikstena,노라 익스테나,nora igseutena
juris razgulajevs,유리스 라즈굴라예우스,yuriseu rajeugulrayeuseu
haralds silovs,하랄츠 실로우스,haralceu silrouseu
marts pujāts,마르츠 푸야츠,mareuceu puyaceu
jānis reirs,야니스 레이르스,yaniseu reireuseu
vitālijs manskis,비탈리 만스키,bitalri manseuki
jānis domburs,야니스 돔부르스,yaniseu dombureuseu
katrīna krumpāne,카트리나 크룸파네,kateurina keurumpane
irina odojevceva,이리나 오도옙체바,irina odoyebceba
valters frīdenbergs,발테르스 프리덴베르크스,baltereuseu peuridenbereukeuseu
valdis pelšs,발디스 펠슈,baldiseu pelsyu
olga zadvornova,올가 코르사크,olga koreusakeu
arvils ašeradens,아르빌스 아셰라덴스,areubilseu asyeradenseu
valērijs šabala,발레리스 샤발라,balreriseu syabalra
lauris reiniks,라우리스 레이닉스,rauriseu reinigseu
lūcija garūta,루치야 가루타,ruciya garuta
artūrs silagailis,아르투르스 실라가일리스,areutureuseu silragailriseu
arvis viguls,아르비스 비굴스,areubiseu bigulseu
inese zandere,이네세 잔데레,inese jandere
ada svetlova,아다 스베틀로바,ada seubeteulroba
jeļena rubļevska,옐레나 루블레프스카,yelrena rubeulrepeuseuka
diāna marcinkēviča,디아나 마르칭케비차,diana mareucingkebica
artis ostups,아르티스 오스툽스,areutiseu oseutubseu
jānis bordāns,야니스 보르단스,yaniseu boreudanseu
arturs maskats,아르투르스 마스카츠,areutureuseu maseukaceu
vineta sareika,비네타 사레이카,bineta sareika
andrejs mamikins,안드레이스 마미킨스,andeureiseu mamikinseu
mārtiņš bondars,마르틴시 본다르스,mareutinsi bondareuseu
roze stiebra,로제 스티에브라,roje seutiebeura
konstantīns konstantinovs,콘스탄틴 콘스탄티노프,konseutantin konseutantinopeu
linards tauns,리나르츠 타운스,rinareuceu taunseu
kristīne nevarauska,크리스티네 네바라우스카,keuriseutine nebarauseuka
elīza tīruma,엘리자 티루마,elrija tiruma
roberts vipers,로베르트 비페르,robereuteu bipereu
jānis sproģis,야니스 스프로지스,yaniseu seupeurojiseu
jēkabs osis,예캅스 오시스,yekabseu osiseu
reinis bērziņš,레이니스 베르진슈,reiniseu bereujinsyu
roberts krūzbergs,로베르츠 크루즈베르크스,robereuceu keurujeubereukeuseu
ingus vizulis,잉구스 비줄리스,ingguseu bijulriseu
krišjānis zeļģis,크리샤니스 젤지스,keurisyaniseu jeljiseu
oskars voits,오스카르스 보이츠,oseukareuseu boiceu
ilga šuplinska,일가 슈플린스카,ilga syupeulrinseuka
kamilla bartone,카밀라 바르토네,kamilra bareutone
ilze juhansone,일제 유한소네,ilje yuhansone
inga pizāne,잉가 피자네,ingga pijane
daniela vismane,다니엘라 비스마네,danielra biseumane
ivars ijabs,이바르스 이얍스,ibareuseu iyabseu
kandava,칸다바,kandaba
eiropas autoceļš,유럽 고속도로,yureob gosogdoro
somi,핀족,pinjog
latvijas himna,라트비아의 국가,rateubiayi gugga
lestene,레스테네,reseutene
terra mariana,테라 마리아나,tera mariana
europe,유럽,yureob
