陈定,チンサダ,chén dìng,chinsada
辛明,カラシアキラ,xīn míng,karashiakira
胡绳,エビスナワ,hú shéng,ebisunawa
孔健,アナケン,kǒng jiàn,anaken
丁冰,チョウコオリ,dīng bīng,choukoori
吴青,ゴアオ,wú qīng,goao
牛牛,ウシウシ,niú niú,ushiushi
王辉,オウアキラ,wáng huī,ouakira
李康,リヤスシ,lǐ kāng,riyasushi
王汀,オウナギサ,wáng tīng,ounagisa
王雷,オウカミナリ,wáng léi,oukaminari
王敏,オウサトシ,wáng mǐn,ousatoshi
木子,キゴ,mù zǐ,kigo
尹弘,インヒロシ,yǐn hóng,inhiroshi
丁晟,チョウアキラ,dīng shèng,chouakira
高升,コウマス,gāo shēng,koumasu
王霜,オウシモ,wáng shuāng,oushimo
陈雷,チンカミナリ,chén léi,chinkaminari
刘汉,リュウカン,liú hàn,ryuukan
张工,チョウコウ,zhāng gōng,choukou
王迪,オウススム,wáng dí,oususumu
高福,タカヨシ,gāo fú,takayoshi
陈薇,チンゼンマイ,chén wēi,chinzenmai
丁霞,チョウカスミ,dīng xiá,choukasumi
丁毅,チョウアツシ,dīng yì,chouatsushi
李昂,リノボル,lǐ áng,rinoboru
方博,ホウヒロシ,fāng bó,houhiroshi
谢毅,シャアツシ,xiè yì,shaatsushi
李恒,リヒサシ,lǐ héng,rihisashi
张卫,チョウマモル,zhāng wèi,choumamoru
李纯,リジュン,lǐ chún,rijun
果敢,カカン,guǒ gǎn,kakan
周庭,シュウニワ,zhōu tíng,shuuniwa
尹力,インツトム,yǐn lì,intsutomu
郭锋,カクホコサキ,guō fēng,kakuhokosaki
尹正,インタダシ,yǐn zhèng,intadashi
庄毅,ソウアツシ,zhuāng yì,souatsushi
张俊,チョウシュン,zhāng jùn,choushun
张律,チョウタダシ,zhāng lǜ,choutadashi
谭强,タンキョウ,tán qiáng,tankyou
陈冬,チンフユ,chén dōng,chinfuyu
王源,オウハジメ,wáng yuán,ouhajime
张昭,チョウアキラ,zhāng zhāo,chouakira
王琏,オウレン,wáng liǎn,ouren
高林,タカバヤシ,gāo lín,takabayashi
鞠枫,マリカエデ,jū fēng,marikaede
贺飞,ガヒ,hè fēi,gahi
王浩,オウヒロシ,wáng hào,ouhiroshi
刘宁,リュウヤスシ,liú níng,ryuuyasushi
韩俊,カンシュン,hán jùn,kanshun
柳青,ヤナギアオ,liǔ qīng,yanagiao
丁浩,チョウヒロシ,dīng hào,chouhiroshi
黄强,オウキョウ,huáng qiáng,oukyou
程潇,ソンソ,chéng xiāo,sonso
辰乐,チョンロ,chén lè,chonro
颜宁,カオヤスシ,yán níng,kaoyasushi
何平,ナニタイラ,hé píng,nanitaira
殷勇,インイサム,yīn yǒng,inisamu
张本智和,チョウホントモカズ,zhāng běn zhì hé,chouhontomokazu
谢科,シャカ,xiè kē,shaka
高星,コウホシ,gāo xīng,kouhoshi
商传,ショウデン,shāng chuán,shouden
马宁,ウマヤスシ,mǎ níng,umayasushi
宿白,ヤドシロ,sù bái,yadoshiro
张霸,チョウハ,zhāng bà,chouha
天兵,オウアキラ,tiān bīng,ouakira
艾尔肯·吐尼亚孜,エルキン・トゥニヤズ,ài ěr kěn · tǔ ní yà zī,erukin・tuniyazu
李现,リゲン,lǐ xiàn,rigen
周深,シュウフカシ,zhōu shēn,shuufukashi
张凌,チョウリョウ,zhāng líng,chouryou
王昶,オウアキラ,wáng chǎng,ouakira
白鹿,シロシカ,bái lù,shiroshika
王俊,オウシュン,wáng jùn,oushun
林墨,ハヤシスミ,lín mò,hayashisumi
锟,クン,kūn,kun
瓦里汗·赛里克,ワリハン・セリク,wǎ lǐ hàn · sài lǐ kè,warihan・seriku
仁俊,ロンジュン,rén jùn,ronjun
黄尧,キタカシ,huáng yáo,kitakashi
靳如超爆炸案,イシカソウバクハツジケン,jìn rú chāo bào zhà àn,ishikasoubakuhatsujiken
田伟,タエラ,tián wěi,taera
王坚,オウケン,wáng jiān,ouken
米日古丽·图尔荪,メヒルグル・トゥルスン,mǐ rì gǔ lì · tú ěr sūn,mehiruguru・turusun
肖战,アヤカセン,xiào zhàn,ayakasen
塔西甫拉提·特依拜,タシポラット・ティップ,tǎ xī fǔ lā tí · tè yī bài,tashiporatto・tippu
墨香铜臭,ボクカオリドウシュウ,mò xiāng tóng chòu,bokukaoridoushuu
董军,タダシグン,dǒng jūn,tadashigun
王辰,オウタツ,wáng chén,outatsu
徐逸,ジョイツ,xú yì,joitsu
肖俊,シャオジュン,xiào jùn,shaojun
闫桉,イェナン,yán ān,yenan
王立强事件,オウリツキョウジケン,wáng lì qiáng shì jiàn,ouritsukyoujiken
龙洋,リュウヨウ,lóng yáng,ryuuyou
传林坊赖庆,デンリンボウヨリユキケイ,chuán lín fāng lài qìng,denrinbouyoriyukikei
贾帕尔·阿比布拉,ジャパル・ハビブラ,jiǎ pà ěr · ā bǐ bù lā,japaru・habibura
韩雨,カンウ,hán yǔ,kanu
柳帆,ヤナギカイ,liǔ fān,yanagikai
矢板明夫,ヤイタアキオ,shǐ bǎn míng fū,yaitaakio
肖央,アヤカヒサシ,xiào yāng,ayakahisashi
刘畅,リュウトオル,liú chàng,ryuutooru
赵龙,チョウリュウ,zhào lóng,chouryuu
迪妮格尔·衣拉木江,ジニゲル・イラムジャン,dí nī gé ěr · yī lā mù jiāng,jinigeru・iramujan
张展,チョウテン,zhāng zhǎn,chouten
乌日古木拉,ウルガマル,wū rì gǔ mù lā,urugamaru
江成,エナリ,jiāng chéng,enari
张陆,チョウリク,zhāng lù,chouriku
毛宁,モウヤスシ,máo níng,mouyasushi
刘伟,リュウエラ,liú wěi,ryuuera
程星,ホドホシ,chéng xīng,hodohoshi
马藜,ウマアカザ,mǎ lí,umaakaza
林剑,ハヤシケン,lín jiàn,hayashiken
史蒂文·何,スティーブン・ヒー,shǐ dì wén · hé,sutībun・hī
黄,キ,MODIFIED,huáng,ki
李,リ,MODIFIED,lǐ,ri
张,チョウ,MODIFIED,zhāng,chou
海鹏,ウミオオトリ,MODIFIED,hǎi péng,umiootori
晓霞,アカツキカスミ,MODIFIED,xiǎo xiá,akatsukikasumi
王,オウ,MODIFIED,wáng,ou
北星,ホクセイ,MODIFIED,běi xīng,hokusei
梁,イザベラ,MODIFIED,liáng,izabera
洛施,リョン,MODIFIED,luò shī,ryon
利伟,リエラ,MODIFIED,lì wěi,riera
余,ヨ,MODIFIED,yú,yo
文乐,ブンラク,MODIFIED,wén lè,bunraku
赵,チョウ,MODIFIED,zhào,chou
季平,キタイラ,MODIFIED,jì píng,kitaira
朱,シュ,MODIFIED,zhū,shu
白,シロ,MODIFIED,bái,shiro
岩松,イワマツ,MODIFIED,yán sōng,iwamatsu
乐际,ラクサイ,MODIFIED,lè jì,rakusai
乐平,ヨシヒラ,MODIFIED,lè píng,yoshihira
周,シュウ,MODIFIED,zhōu,shuu
市明,シアキラ,MODIFIED,shì míng,shiakira
文重,ブンオモ,MODIFIED,wén zhòng,bunomo
毛,モウ,MODIFIED,máo,mou
泽东,タクトウ,MODIFIED,zé dōng,takutou
胡,エビス,MODIFIED,hú,ebisu
于,ウェンシア,MODIFIED,yú,wenshia
文霞,ユー,MODIFIED,wén xiá,yū
熊,クマ,MODIFIED,xióng,kuma
朝忠,チョウチュウ,MODIFIED,cháo zhōng,chouchuu
正声,セイコエ,MODIFIED,zhèng shēng,seikoe
紫阳,ムラサキヨウ,MODIFIED,zǐ yáng,murasakiyou
春秀,ハルシュウ,MODIFIED,chūn xiù,harushuu
海滨,カイヒン,MODIFIED,hǎi bīn,kaihin
吉龙,ヨシリュウ,MODIFIED,jí lóng,yoshiryuu
继科,ツギカ,MODIFIED,jì kē,tsugika
许,モト,MODIFIED,xǔ,moto
曾,ソ,MODIFIED,céng,so
荫权,カゲケン,MODIFIED,yìn quán,kageken
振英,フエイ,MODIFIED,zhèn yīng,fuei
董,タダシ,MODIFIED,dǒng,tadashi
