ana de la reguera,アナ・デ・ラ・レゲラ,ana・de・ra・regera
elpidia carrillo,エルピディア・カリロ,erupidia・kariro
oswaldo sánchez,オスワルド・サンチェス,osuwarudo・sanchesu
carlos gallardo,カルロス・ガラルドー,karurosu・gararudō
cantinflas,カンティンフラス,kantinfurasu
juan rulfo,フアン・ルルフォ,fuan・rurufo
pancho villa,パンチョ・ビリャ,pancho・birya
adam mckay,アダム・マッケイ,adamu・makkei
javier aguirre,ハビエル・アギーレ,habieru・agīre
mariano azuela,マリアノ・アスエラ,mariano・asuera
paulina rubio,パウリナ・ルビオ,paurina・rubio
max aub,マクス・アウブ,makusu・aubu
carlos chávez,カルロス・チャベス,karurosu・chabesu
ulises dávila,ウリセス・ダビラ,urisesu・dabira
luis buñuel,ルイス・ブニュエル,ruisu・bunyueru
jessica alba,ジェシカ・アルバ,jeshika・aruba
sara ramírez,サラ・ラミレス,sara・ramiresu
antonio lópez de santa anna,アントニオ・ロペス・デ・サンタ・アナ,antonio・ropesu・de・santa・ana
emiliano zapata,エミリアーノ・サパタ,emiriāno・sapata
christian giménez,クリスティアン・ヒメネス,kurisutian・himenesu
ernesto canto,エルネスト・カント,erunesuto・kanto
oribe peralta,オリベ・ペラルタ,oribe・peraruta
enrique meza,エンリケ・メサ,enrike・mesa
víctor manuel vucetich,ビクトル・マヌエル・ブセティッチ,bikutoru・manueru・busetitchi
emilio fernández,エミリオ・フェルナンデス,emirio・ferunandesu
guillermo ochoa,ギジェルモ・オチョア,gijerumo・ochoa
john doeg,ジョン・ドエグ,jon・doegu
maría félix,マリア・フェリックス,maria・ferikkusu
super caló,ラファエル・ガルシア,rafaeru・garushia
sam dreben,サム・ドレベン,samu・doreben
ilan stavans,イラン・スタバンス,iran・sutabansu
carlos vela,カルロス・ベラ,karurosu・bera
cuauhtémoc blanco,クアウテモク・ブランコ,kuautemoku・buranko
carlos salcido,カルロス・サルシド,karurosu・sarushido
alfonso garcía robles,アルフォンソ・ガルシア・ロブレス,arufonso・garushia・roburesu
juventino rosas,フベンティーノ・ローサス,fubentīno・rōsasu
césar millán,シーザー・ミラン,shīzā・miran
edward james olmos,エドワード・ジェームズ・オルモス,edowādo・jēmuzu・orumosu
octavio paz,オクタビオ・パス,okutabio・pasu
luis miguel,ルイス・ミゲル,ruisu・migeru
edgar castillo,エドガル・カスティージョ,edogaru・kasutījo
lhasa de sela,ラサ・デ・セラ,rasa・de・sera
enriqueta basilio,エンリケッタ・バシリオ,enriketta・bashirio
jorge torres nilo,ホルヘ・トーレス・ニーロ,horuhe・tōresu・nīro
mario van peebles,マリオ・ヴァン・ピーブルズ,mario・van・pīburuzu
ultiminio ramos,シュガー・ラモス,shugā・ramosu
adriana barraza,アドリアナ・バラッザ,adoriana・barazza
laura harring,ローラ・ハリング,rōra・haringu
agustín de iturbide,アグスティン・デ・イトゥルビデ,agusutin・de・iturubide
adolfo de la huerta,アドルフォ・デ・ラ・ウエルタ,adorufo・de・ra・ueruta
danna paola,ダンナ・パオラ,danna・paora
ricardo flores magón,リカルド・フロレス・マゴン,rikarudo・furoresu・magon
salma hayek,サルマ・ハエック,saruma・haekku
raúl jiménez,ラウル・ヒメネス,rauru・himenesu
dmt azul,ディアマンテ・アスル,diamante・asuru
raúl rojas,ラウル・ロハス,rauru・rohasu
armando archundia,ベニート・アルチュンディア,benīto・aruchundia
josé de urrea,ホセ・デ・ウレア,hose・de・urea
fernando valenzuela,フェルナンド・バレンズエラ,ferunando・barenzuera
dolores del río,ドロレス・デル・リオ,dororesu・deru・rio
guillermo del toro,ギレルモ・デル・トロ,girerumo・deru・toro
john sutter,ジョン・サッター,jon・sattā
alejandro gonzález iñárritu,アレハンドロ・ゴンサレス・イニャリトゥ,arehandoro・gonsaresu・inyaritu
patricia espinosa,パトリシア・エスピノサ,patorishia・esupinosa
felipe calderón,フェリペ・カルデロン,feripe・karuderon
octavio ocampo,オクタビオ・オカンポ,okutabio・okanpo
julieta venegas,フリエッタ・ベネガス,furietta・benegasu
maite perroni,マイテ・ペローニ,maite・perōni
leonora carrington,レオノーラ・キャリントン,reonōra・kyarinton
consuelo velázquez,コンスエロ・ベラスケス,konsuero・berasukesu
belinda,ベリンダ,berinda
julio césar chávez,フリオ・セサール・チャベス,furio・sesāru・chabesu
alejandra guzmán,アレハンドラ・グスマン,arehandora・gusuman
alfonso zamora,アルフォンソ・サモラ,arufonso・samora
paul kirchhoff,パウル・キルヒホフ,pauru・kiruhihofu
miguel de icaza,ミゲル・デ・イカザ,migeru・de・ikaza
salvador de iturbide y marzán,サルバドール・デ・イトゥルビデ・イ・マルサン,sarubadōru・de・iturubide・i・marusan
jorge gutiérrez,ホルヘ・グティエレス,horuhe・gutieresu
josé vasconcelos,ホセ・バスコンセロス,hose・basukonserosu
hugo sánchez,ウーゴ・サンチェス,ūgo・sanchesu
víctor díaz,ビクトル・ディアス,bikutoru・diasu
anthony quinn,アンソニー・クイン,ansonī・kuin
sergio pérez,セルジオ・ペレス,serujio・peresu
roberto orci,ロベルト・オーチー,roberuto・ōchī
álvaro obregón,アルバロ・オブレゴン,arubaro・oburegon
sicodélico jr,シコデリコ・ジュニア,shikoderiko・junia
rubén olivares,ルーベン・オリバレス,rūben・oribaresu
juan cortina,フアン・コルティナ,fuan・korutina
brazo de plata,ブラソ・デ・プラタ,buraso・de・purata
paola espinosa,パオラ・エスピノサ,paora・esupinosa
libertad lamarque,リベルタ・ラマルケ,riberuta・ramaruke
bárbara mori,バルバラ・モリ,barubara・mori
luis barragán,ルイス・バラガン,ruisu・baragan
josé carlos ramírez,ホセ・カルロス・ラミレス,hose・karurosu・ramiresu
alfredo angulo,アルフレド・アングロ,arufuredo・anguro
adrián gonzález,エイドリアン・ゴンザレス,eidorian・gonzaresu
federico mena,フェデリコ・メーナ,federiko・mēna
marco fabián,マルコ・ファビアン,maruko・fabian
miguel vázquez,ミゲル・バスケス,migeru・basukesu
heavy metal,ヘビー・メタル,hebī・metaru
negro casas,ネグロ・カサス,neguro・kasasu
rodolfo lópez,ルディ・ロペス,rudi・ropesu
moisés fuentes,モイセス・フェンテス,moisesu・fentesu
jorge salinas,ホルヘ・サリナス,horuhe・sarinasu
atlantis,アトランティス,atorantisu
giovanni segura,ジョバンニ・セグラ,jobanni・segura
fey,フェイ,fei
josé salomé pina,ホセ・サロメ・ピナ,hose・sarome・pina
giovani casillas,ジョバニ・カシージャス,jobani・kashījasu
cien caras,シエン・カラス,shien・karasu
oswaldo alanís,オスワルド・アラニス,osuwarudo・aranisu
yovani gallardo,ヨバニ・ガヤルド,yobani・gayarudo
ona grauer,オナ・グローアー,ona・gurōā
humberto soto,ウンベルト・ソト,unberuto・soto
adela noriega,アデラ・ノリエガ,adera・noriega
martín perfecto de cos,マルティン・ペルフェクト・デ・コス,marutin・perufekuto・de・kosu
carlos felipe rodríguez,カルロス・フェリペ・ロドリゲス,karurosu・feripe・rodorigesu
el chapo de sinaloa,エル・チャポ・デ・シナロア,eru・chapo・de・shinaroa
margo,マーゴ,māgo
winston abreu,ウィンストン・アブレイユ,winsuton・abureiyu
horacio gómez bolaños,オラシオ・ゴメス・ボラーニョ,orashio・gomesu・borānyo
josé lothario,ホセ・ロザリオ,hose・rozario
robinson tejeda,ロビンソン・テヘダ,robinson・teheda
miguel ángel ponce,ミゲル・アンヘル・ポンセ,migeru・anheru・ponse
antonio de nigris,アントニオ・デ・ニグリス,antonio・de・nigurisu
francisco robles ortega,フランシスコ・ロブレス・オルテガ,furanshisuko・roburesu・orutega
alfredo talavera,アルフレド・タラベラ,arufuredo・tarabera
saúl álvarez,サウル・アルバレス,sauru・arubaresu
carlos monsiváis,カルロス・モンシバイス,karurosu・monshibaisu
jorge mester,ホルヘ・メスター,horuhe・mesutā
tomás rojas,トマス・ロハス,tomasu・rohasu
édgar valdez villarreal,エドガー・バルデス・ビジャレアル,edogā・barudesu・bijarearu
carlos reinoso,カルロス・レイノソ,karurosu・reinoso
rey bucanero,レイ・ブカネロ,rei・bukanero
josé de jesús corona,ホセ・デ・ヘスス・コロナ,hose・de・hesusu・korona
eduardo nájera,エドアルド・ナヘラ,edoarudo・nahera
marco bueno,マルコ・ブエノ,maruko・bueno
ignacio beristáin,イグナシオ・ベリスタイン,igunashio・berisutain
emilio echevarría,エミリオ・エチェバリア,emirio・echebaria
juan nepomuceno guerra,フアン・ネポムセーノ・ゲーラ,fuan・nepomusēno・gēra
jaime garcía,ハイメ・ガルシア,haime・garushia
psicosis,ニチョ,nicho
averno,アベルノ,aberuno
jay hernández,ジェイ・ヘルナンデス,jei・herunandesu
javier jáuregui,ハビエル・ハウレギ,habieru・hauregi
alejandro fernández,アレハンドロ・フェルナンデス,arehandoro・ferunandesu
jorge eduardo costilla sánchez,ホルヘ・エドゥアルド・コスティージャ・サンチェス,horuhe・eduarudo・kosutīja・sanchesu
miguel herrera,ミゲル・エレーラ,migeru・erēra
lady apache,レディ・アパッチェ,redi・apatche
rosenda monteros,ロゼンダ・モンテロス,rozenda・monterosu
elías hernández,エリアス・エルナンデス,eriasu・erunandesu
guillermo navarro,ギレルモ・ナヴァロ,girerumo・navaro
alfredo aceves,アルフレド・アセベス,arufuredo・asebesu
josé sulaimán,ホセ・スレイマン,hose・sureiman
juan josé esparragoza moreno,フアン・ホセ・エスパラゴーサ・モレーノ,fuan・hose・esuparagōsa・morēno
silver king,シルバー・キング,shirubā・kingu
luis sandi,ルイス・サンディ,ruisu・sandi
dos caras,ドス・カラス,dosu・karasu
perro aguayo,ペロ・アグアヨ,pero・aguayo
jonathan espericueta,ジョナタン・エスペリクエタ,jonatan・esuperikueta
luis garcía postigo,ルイス・ガルシア・ポスティーゴ,ruisu・garushia・posutīgo
juan lópez moctezuma,フアン・ロペス・モクテズマ,fuan・ropesu・mokutezuma
rodolfo usigli,ロドルフォ・ウシグリ,rodorufo・ushiguri
ana cecilia cantú,アナ・セシリャ・カントゥ,ana・seshirya・kantu
luis cruz,ルイス・クルーズ,ruisu・kurūzu
roberto gómez bolaños,ロベルト・ゴメス・ボラーニョ,roberuto・gomesu・borānyo
miguel treviño morales,ミゲル・トレビーニョ・モラレス,migeru・torebīnyo・moraresu
manuel delanda,マヌエル・デランダ,manueru・deranda
diego boneta,ディエゴ・ボネータ,diego・bonēta
rodrigo prieto,ロドリゴ・プリエト,rodorigo・purieto
abismo negro,アビスモ・ネグロ,abisumo・neguro
fernando del paso,フェルナンド・デル・パソ,ferunando・deru・paso
juan manuel márquez,ファン・マヌエル・マルケス,fan・manueru・marukesu
ignacio allende,イグナシオ・アジェンデ,igunashio・ajende
érik morales,エリック・モラレス,erikku・moraresu
giovani dos santos,ジョバニ・ドス・サントス,jobani・dosu・santosu
josé emilio pacheco,ホセ・エミリオ・パチェーコ,hose・emirio・pachēko
francisco araiza,フランシスコ・アライサ,furanshisuko・araisa
eiza gonzález,エイザ・ゴンザレス,eiza・gonzaresu
priscila perales,プリシラ・ペラレス,purishira・peraresu
zeferino nandayapa,ゼフェリーノ・ナンダヤパ,zeferīno・nandayapa
erubiel durazo,エルビエル・デュラーゾ,erubieru・dyurāzo
octagón,オクタゴン,okutagon
timo pérez,ティモ・ペレス,timo・peresu
natalia lafourcade,ナタリア・ラフォルカデ,nataria・raforukade
guillermo kahlo,ギリェルモ・カーロ,giriェrumo・kāro
gustavo ayón,グスタボ・アヨン,gusutabo・ayon
lucía zárate,ルシア・サラーテ,rushia・sarāte
superbarrio gómez,スーパーバリオ・ゴメス,sūpābario・gomesu
salvador sánchez,サルバドル・サンチェス,sarubadoru・sanchesu
héctor reynoso,エクトル・レイノーソ,ekutoru・reinōso
pipino cuevas,ホセ・クエバス,hose・kuebasu
néstor araujo,ネストル・アラウホ,nesutoru・arauho
el hijo del santo,エル・イホ・デル・サント,eru・iho・deru・santo
alfonso caso,アルフォンソ・カソ,arufonso・kaso
rogelio funes mori,ロヘリオ・フネス・モリ,roherio・funesu・mori
cándido ramírez,カンディド・ラミレス,kandido・ramiresu
eufemio zapata,エウフェミオ・サパタ,eufemio・sapata
angélica gavaldón,アンジェリカ・ガバルドン,anjerika・gabarudon
super crazy,スペル・クレイジー,superu・kureijī
jorge volpi,ホルヘ・ボルピ,horuhe・borupi
geo meneses,ゲオ・メネセス,geo・menesesu
antonio sánchez,アントニオ・サンチェス,antonio・sanchesu
juan díaz,ファン・ディアス,fan・diasu
michel jourdain jr,ミチェル・ジョルディン・ジュニア,micheru・jorudin・junia
mil máscaras,ミル・マスカラス,miru・masukarasu
richard sánchez,リカルド・サンチェス,rikarudo・sanchesu
ricky marvin,リッキー・マルビン,rikkī・marubin
pablo césar aguilar,パブロ・セサル・アギラル,paburo・sesaru・agiraru
mariano escobedo,マリアーノ・エスコベド,mariāno・esukobedo
miguel layún,ミゲル・ラユン,migeru・rayun
rubén salazar,ルーベン・サラサール,rūben・sarasāru
michele cantú,ミチェレ・カントゥ,michere・kantu
rodolfo bernardelli,ロドルフォ・ベルナルデリ,rodorufo・berunaruderi
ricardo lópez,リカルド・ロペス,rikarudo・ropesu
gabriel pareyón,ガブリエル・パレヨン,gaburieru・pareyon
miguel canto,ミゲル・カント,migeru・kanto
hugo ayala,ウーゴ・アヤラ,ūgo・ayara
amalia hernández,アメーリア・ヘルナンデス,amēria・herunandesu
andy ruiz jr,アンディ・ルイス・ジュニア,andi・ruisu・junia
ana maría torres,アナ・マリア・トーレス,ana・maria・tōresu
rené arredondo,レネ・アルレドンド,rene・aruredondo
adam parada,アダム・パラダ,adamu・parada
jesús manuel corona,ヘスス・マヌエル・コロナ,hesusu・manueru・korona
josé maría velasco gómez obregón,ホセ・マリア・ベラスコ・ゴメス・オブレゴン,hose・maria・berasuko・gomesu・oburegon
francisco romano guillemin,フランシスコ・ロマーノ・ギルマン,furanshisuko・romāno・giruman
juan villoro,フアン・ビジョーロ,fuan・bijōro
rafael caro quintero,ラファエル・カロ・キンテロ,rafaeru・karo・kintero
ana brenda contreras,アナ・ブレンダ・コントレラス,ana・burenda・kontorerasu
luis fernando tena,ルイス・フェルナンド・テナ,ruisu・ferunando・tena
cibernético,シベルネティコ,shiberunetiko
canek,カネック,kanekku
félix cruz,フェリックス・クルス,ferikkusu・kurusu
armando manzanero,アルマンド・マンサネーロ,arumando・mansanēro
dr wagner jr,ドクトル・ワグナー・ジュニア,dokutoru・wagunā・junia
karim garcía,カリーム・ガルシア,karīmu・garushia
yori boy campas,ルイス・ラモン・カンパス,ruisu・ramon・kanpasu
daniel zaragoza,ダニエル・サラゴサ,danieru・saragosa
cristian castro,クリスティアン・カストロ,kurisutian・kasutoro
armando silvestre,アーマンド・シルヴェストル,āmando・shiruvuェsutoru
arkangel de la muerte,アルカンヘル・デ・ラ・ムエルテ,arukanheru・de・ra・muerute
popé,ポペ,pope
antonio osuna,アントニオ・オスナ,antonio・osuna
apolo dantés,アポロ・ダンテス,aporo・dantesu
argenis,アルヘニス,aruhenisu
arturo guzmán decena,アルトゥーロ・グスマン・デセナ,arutūro・gusuman・desena
emilio carranza,エミリオ・カランサ,emirio・karansa
javier aquino,ハビエル・アキーノ,habieru・akīno
félix maría zuloaga,フェリックス・マリア・スロアガ,ferikkusu・maria・suroaga
wolfgang paalen,ヴォルフガング・パーレン,vuォrufugangu・pāren
moisés muñoz,モイセス・ムニョス,moisesu・munyosu
benjamín gil,ベンジー・ギル,benjī・giru
manuel robles pezuela,マヌエル・ロブレス・ペスエラ,manueru・roburesu・pesuera
javier orozco,ハビエル・オロスコ,habieru・orosuko
conlon nancarrow,コンロン・ナンカロウ,konron・nankarou
rufino tamayo,ルフィーノ・タマヨ,rufīno・tamayo
arturo márquez,アルトゥロ・マルケス,aruturo・marukesu
arturo ripstein,アルトゥーロ・リプスタイン,arutūro・ripusutain
edgardo codesal méndez,エドガルド・コデサル・メンデス,edogarudo・kodesaru・mendesu
álex cabrera,アレックス・カブレラ,arekkusu・kaburera
emmanuel lubezki,エマニュエル・ルベツキ,emanyueru・rubetsuki
félix candela,フェリックス・キャンデラ,ferikkusu・kyandera
mando guerrero,マンド・ゲレロ,mando・gerero
carlos miguel prieto,カルロス・ミゲル・プリエト,karurosu・migeru・purieto
aurelio rodríguez,アウレリオ・ロドリゲス,aurerio・rodorigesu
black warrior,ブラック・ウォリアー,burakku・woriā
josé antonio aguirre,ホセ・アントニオ・アギーレ,hose・antonio・agīre
gabriel bernal,ガブリエル・ベルナル,gaburieru・berunaru
bocafloja,ボカフロハ,bokafuroha
blue panther,ブルー・パンテル,burū・panteru
hernán márquez,エルナン・マルケス,erunan・marukesu
adrián fernández,エイドリアン・フェルナンデス,eidorian・ferunandesu
jorge solís,ホルヘ・ソリス,horuhe・sorisu
fernando montiel,フェルナンド・モンティエル,ferunando・montieru
jhonny gonzález,ジョニー・ゴンサレス,jonī・gonsaresu
lupita nyong'o,ルピタ・ニョンゴ,rupita・nyongo
juan bautista de anza,フアン・バウティスタ・デ・アンサ,fuan・bautisuta・de・ansa
marco antonio barrera,マルコ・アントニオ・バレラ,maruko・antonio・barera
alberto garcía aspe,アルベルト・ガルシア・アスペ,aruberuto・garushia・asupe
fernando eimbcke,フェルナンド・エインビッケ,ferunando・einbikke
manuel álvarez bravo,マヌエル・アルバレス・ブラボ,manueru・arubaresu・burabo
ramón novarro,ラモン・ノヴァロ,ramon・novaro
jenni rivera,ジェニー・リヴェラ,jenī・rivuェra
raúl alcalá,ラウル・アルカラ,rauru・arukara
arturo barrios,アルトゥーロ・バリオス,arutūro・bariosu
ignacio ambriz,イグナシオ・アンブリス,igunashio・anburisu
pablo de la llave,パブロ・デ・ラ・ジャーベ,paburo・de・ra・jābe
marco antonio rubio,マルコ・アントニオ・ルビオ,maruko・antonio・rubio
carlos cuadras,カルロス・クアドラス,karurosu・kuadorasu
jessica aguilar,ジェシカ・アギラー,jeshika・agirā
alan pulido,アラン・プリード,aran・purīdo
carla morrison,カーラ・モリソン,kāra・morison
carlos peña rodríguez,カルロス・アルベルト・ペーニャ,karurosu・aruberuto・pēnya
chessman,チェスマン,chesuman
charly manson,チャーリー・マンソン,chārī・manson
celso piña,セルソ・ピニヤ,seruso・piniya
erik pérez,エリック・ペレス,erikku・peresu
josé pablo moncayo,ホセ・パブロ・モンカーヨ,hose・paburo・monkāyo
josé guadalupe posada,ホセ・グアダルーペ・ポサダ,hose・guadarūpe・posada
joaquín cosío,ホアキン・コシオ,hoakin・koshio
alfredo ramos martínez,アルフレード・ラモス・マルチネス,arufurēdo・ramosu・maruchinesu
jesús f contreras,ヘスース・フルクトゥオーソ・コントレーラス,hesūsu・furukutuōso・kontorērasu
jonathan orozco,ジョナタン・オロスコ,jonatan・orosuko
cristian mijares,クリスチャン・ミハレス,kurisuchan・miharesu
columba bush,コルンバ・ブッシュ,korunba・busshu
crazy boy,クレイジー・ボーイ,kureijī・bōi
nicolás zúñiga y miranda,ニコラス・スニガ・イ・ミランダ,nikorasu・suniga・i・miranda
rey misterio sr,レイ・ミステリオ・シニア,rei・misuterio・shinia
juan pablo villalobos,フアン・パブロ・ビジャロボス,fuan・paburo・bijarobosu
juan luis barrios,フアン・ルイス・バリオス,fuan・ruisu・bariosu
julio ruelas,フリオ・ルエラス,furio・ruerasu
damián alcázar,ダミアン・アルカザール,damian・arukazāru
el zorro,エル・ソロ,eru・soro
el solitario,エル・ソリタリオ,eru・soritario
el terrible,エル・テリブレ,eru・teribure
carlos santana,カルロス・サンタナ,karurosu・santana
josé luis castillo,ホセ・ルイス・カスティージョ,hose・ruisu・kasutījo
miguel covarrubias,ミゲル・コバルビアス,migeru・kobarubiasu
salvador guerrero,ゴリー・ゲレロ,gorī・gerero
último guerrero,ウルティモ・ゲレーロ,urutimo・gerēro
cy acosta,サイ・アコスタ,sai・akosuta
mia st john,ミア・セント・ジョン,mia・sento・jon
enrique bátiz,エンリケ・バティス,enrike・batisu
josé limón,ホセ・リモン,hose・rimon
leandro izaguirre,レアンドロ・イサギレ,reandoro・isagire
pascual orozco,パスクアル・オロスコ,pasukuaru・orosuko
dark ozz,ダーク・オズ,dāku・ozu
jorge arce,ホルヘ・アルセ,horuhe・aruse
dark cuervo,ダーク・クエルボ,dāku・kuerubo
ralph o'neill,ラルフ・オニール,rarufu・onīru
yhency brazobán,ヤンシー・ブラゾバン,yanshī・burazoban
blas galindo,ブラス・ガリンド,burasu・garindo
lydia mendoza,リディア・メンドーサ,ridia・mendōsa
gastón guzmán,ガストン・グスマン,gasuton・gusuman
