热比娅·卡德尔,레비야 카디르,rè bǐ yà · kǎ dé ěr,rebiya kadireu
吐赫提·土亚兹,토흐티 툰야즈,tǔ hè tí · tǔ yà zī,toheuti tunyajeu
德穆楚克栋鲁普,데므치그돈로브,dé mù chǔ kè dòng lǔ pǔ,demeucigeudonrobeu
包尔汉·沙希迪,부르한 샤히디,bāo ěr hàn · shā xī dí,bureuhan syahidi
伊力哈木·土赫提,일함 토흐티,yī lì hā mù · tǔ hè tí,ilham toheuti
班禅额尔德尼·确吉杰布,기알첸 노르부,bān chán é ěr dé ní · què jí jié bù,gialcen noreubu
巴音朝鲁,바인차오루,bā yīn cháo lǔ,baincaoru
李旺阳事件,리왕양,lǐ wàng yáng shì jiàn,riwangyang
至善禅师,지선선사,zhì shàn chán shī,jiseonseonsa
洛桑江村,뤄쌍장춘,luò sāng jiāng cūn,rweossangjangcun
徐田龙子,쉬톈룽쯔,xú tián lóng zǐ,swityenrungjjeu
白玛赤林,바이마츠린,bái mǎ chì lín,baimaceurin
孟克巴特尔,멍커바터얼,mèng kè bā tè ěr,meongkeobateoeol
努尔·白克力,누르 베크리,nǔ ěr · bái kè lì,nureu bekeuri
赛福鼎·艾则孜,사이푸딘 아지지,sài fú dǐng · ài zé zī,saipudin ajiji
清格尔泰,칭걸테,qīng gé ěr tài,cinggeolte
阿沛·阿旺晋美,아푀 아왕직메,ā pèi · ā wàng jìn měi,apoe awangjigme
艾达·王,에이다 웡,ài dá · wáng,eida weong
端木蕻良,돤무훙량,duān mù hóng liáng,dwanmuhungryang
向巴平措,샹바핑춰,xiàng bā píng cuò,syangbapingcweo
欧阳予倩,어우양위첸,ōu yáng yǔ qiàn,eouyangwicen
木热合买提江·莫扎帕,미라흐메트잔 무제페르,mù rè hé mǎi tí jiāng · mò zhā pà,miraheumeteujan mujepereu
古力娜扎,구리나자,gǔ lì nà zhā,gurinaja
斯琴高娃,쓰친가오와,sī qín gāo wá,sseucingaowa
母其弥雅,무치미야,mǔ qí mí yǎ,mucimiya
麦迪娜·买买提,마디나 메메트,mài dí nà · mǎi mǎi tí,madina memeteu
正珠尔扎布,젱주르자브,zhèng zhū ěr zhā bù,jengjureujabeu
白银市连环杀人案,가오청융,bái yín shì lián huán shā rén àn,gaoceongyung
美,메이,měi,mei
锟,쿤,kūn,kun
迪妮格尔·衣拉木江,디니거얼 이라무장,dí nī gé ěr · yī lā mù jiāng,dinigeoeol iramujang
史蒂文·何,스티븐 히,shǐ dì wén · hé,seutibeun hi
庞,팡,MODIFIED,páng,pang
清,칭,MODIFIED,qīng,cing
杜,두,MODIFIED,dù,du
丽,리,MODIFIED,lì,ri
佟,퉁,MODIFIED,tóng,tung
文,원,MODIFIED,wén,weon
易,이,MODIFIED,yì,i
思玲,쓰링,MODIFIED,sī líng,sseuring
近平,진핑,MODIFIED,jìn píng,jinping
俊,쥔,MODIFIED,jùn,jwin
小丹,샤오단,MODIFIED,xiǎo dān,syaodan
启南,치난,MODIFIED,qǐ nán,cinan
孙,쑨,MODIFIED,sūn,ssun
雯,원,MODIFIED,wén,weon
磊,레이,MODIFIED,lěi,rei
紫阳,오쯔양,MODIFIED,zǐ yáng,ojjeuyang
巩,궁,MODIFIED,gǒng,gung
立姣,리자오,MODIFIED,lì jiāo,rijao
乐平,러핑,MODIFIED,lè píng,reoping
娟娟,쥐안쥐안,MODIFIED,juān juān,jwianjwian
继科,지커,MODIFIED,jì kē,jikeo
黄,황,MODIFIED,huáng,hwang
现璠,샨판,MODIFIED,xiàn fán,syanpan
季平,오지핑,MODIFIED,jì píng,ojiping
乐际,오러지,MODIFIED,lè jì,oreoji
郑,정,MODIFIED,zhèng,jeong
智,즈,MODIFIED,zhì,jeu
仲,중,MODIFIED,zhòng,jung
满,만,MODIFIED,mǎn,man
海滨,우하이빈,MODIFIED,hǎi bīn,uhaibin
颖超,잉차오,MODIFIED,yǐng chāo,ingcao
冰冰,빙빙,MODIFIED,bīng bīng,bingbing
晓霞,샤오샤,MODIFIED,xiǎo xiá,syaosya
北星,베이싱,MODIFIED,běi xīng,beising
阳,양,MODIFIED,yáng,yang
蕾,레이,MODIFIED,lěi,rei
耀邦,야오방,MODIFIED,yào bāng,yaobang
怡宁,이닝,MODIFIED,yí níng,ining
白,바,MODIFIED,bái,ba
岩松,이옌쑹,MODIFIED,yán sōng,iyenssung
毛,마,MODIFIED,máo,ma
泽东,오쩌둥,MODIFIED,zé dōng,ojjeodung
梓琳,쯔린,MODIFIED,zǐ lín,jjeurin
光亚,광야,MODIFIED,guāng yà,gwangya
治中,즈중,MODIFIED,zhì zhōng,jeujung
继红,우지훙,MODIFIED,jì hóng,ujihung
璐璐,우루루,MODIFIED,lù lù,ururu
强,우창,MODIFIED,qiáng,ucang
邢,싱,MODIFIED,xíng,sing
慧娜,후이나,MODIFIED,huì nà,huina
春红,춘훙,MODIFIED,chūn hóng,cunhung
温,원,MODIFIED,wēn,weon
家宝,자바오,MODIFIED,jiā bǎo,jabao
杨,양,MODIFIED,yáng,yang
利伟,리웨이,MODIFIED,lì wěi,riwei
潘,판,MODIFIED,pān,pan
玉良,위량,MODIFIED,yù liáng,wiryang
载,자,MODIFIED,zǎi,ja
沣,이펑,MODIFIED,fēng,ipeong
德华,덕화,MODIFIED,dé huá,deoghwa
余,여,MODIFIED,yú,yeo
文乐,문락,MODIFIED,wén lè,munrag
郭,곽,MODIFIED,guō,gwag
黎,여,MODIFIED,lí,yeo
明,명,MODIFIED,míng,myeong
薇,오웨이,MODIFIED,wēi,owei
俐,리,MODIFIED,lì,ri
廖,랴,MODIFIED,liào,rya
辉,오후이,MODIFIED,huī,ohui
凯歌,카이거,MODIFIED,kǎi gē,kaigeo
洁,제,MODIFIED,jié,je
曹,차,MODIFIED,cáo,ca
曼丽,만리,MODIFIED,màn lì,manri
海峰,하이펑,MODIFIED,hǎi fēng,haipeong
严,옌,MODIFIED,yán,yen
隽琪,쥔치,MODIFIED,jùn qí,jwinci
萨,사,MODIFIED,sà,sa
顶顶,딩딩,MODIFIED,dǐng dǐng,dingding
罗,뤄,MODIFIED,luó,rweo
雪娟,쉐쥐안,MODIFIED,xuě juān,swejwian
佳颖,자잉,MODIFIED,jiā yǐng,jaing
许,허,MODIFIED,xǔ,heo
鞍华,안화,MODIFIED,ān huá,anhwa
娜,나,MODIFIED,nà,na
庸,용,MODIFIED,yōng,yong
鹏,펑,MODIFIED,péng,peong
镕基,룽지,MODIFIED,róng jī,rungji
男,난,MODIFIED,nán,nan
军霞,쥔샤,MODIFIED,jūn xiá,jwinsya
郜,가,MODIFIED,gào,ga
林,오린,MODIFIED,lín,orin
丽萍,리핑,MODIFIED,lì píng,riping
翔,샹,MODIFIED,xiáng,syang
徐,쉬,MODIFIED,xú,swi
静蕾,징레이,MODIFIED,jìng lěi,jingrei
远新,오위안신,MODIFIED,yuǎn xīn,owiansin
艾,이,MODIFIED,ài,i
克森,우케종,MODIFIED,kè sēn,ukejong
佩佩,페이페이,MODIFIED,pèi pèi,peipei
玉洁,위제,MODIFIED,yù jié,wije
吴,우,MODIFIED,wú,u
静钰,징위,MODIFIED,jìng yù,jingwi
利,니,MODIFIED,lì,ni
任,런,MODIFIED,rèn,reon
慧,후이,MODIFIED,huì,hui
穆,무,MODIFIED,mù,mu
爽爽,솽솽,MODIFIED,shuǎng shuǎng,swangswang
露,루,MODIFIED,lù,ru
其亮,치량,MODIFIED,qí liàng,ciryang
谭,탄,MODIFIED,tán,tan
雪,쉐,MODIFIED,xuě,swe
春桥,춘차오,MODIFIED,chūn qiáo,cuncao
大庆,다칭,MODIFIED,dà qìng,dacing
丹,단,MODIFIED,dān,dan
叶,예,MODIFIED,yè,ye
圣陶,성타오,MODIFIED,shèng táo,seongtao
龙,룽,MODIFIED,lóng,rung
云,윈,MODIFIED,yún,win
福明,푸밍,MODIFIED,fú míng,puming
恩来,우언라이,MODIFIED,ēn lái,ueonrai
克强,커창,MODIFIED,kè qiáng,keocang
高,가,MODIFIED,gāo,ga
行健,오싱젠,MODIFIED,xíng jiàn,osingjen
礼泽,오리쩌,MODIFIED,lǐ zé,orijjeo
贾,자,MODIFIED,jiǎ,ja
秀全,슈취안,MODIFIED,xiù quán,syucwian
谢,셰,MODIFIED,xiè,sye
富治,푸즈,MODIFIED,fù zhì,pujeu
敏霞,민샤,MODIFIED,mǐn xiá,minsya
小冉,샤오란,MODIFIED,xiǎo rǎn,syaoran
子歌,쯔거,MODIFIED,zǐ gē,jjeugeo
芳,팡,MODIFIED,fāng,pang
伏,푸,MODIFIED,fú,pu
明霞,밍샤,MODIFIED,míng xiá,mingsya
亚萍,야핑,MODIFIED,yà píng,yaping
申,선,MODIFIED,shēn,seon
于,위,MODIFIED,yú,wi
静,징,MODIFIED,jìng,jing
柏芝,백지,MODIFIED,bǎi zhī,baegji
汤,탕,MODIFIED,tāng,tang
唯,웨이,MODIFIED,wéi,wei
少奇,사오치,MODIFIED,shǎo qí,saoci
沁谣,준,MODIFIED,qìn yáo,jun
扬,양,MODIFIED,yáng,yang
青,칭,MODIFIED,qīng,cing
彭,펑,MODIFIED,péng,peong
未未,이웨이웨이,MODIFIED,wèi wèi,iweiwei
宋,쑹,MODIFIED,sòng,ssung
庆龄,칭링,MODIFIED,qìng líng,cingring
郎,랑,MODIFIED,láng,rang
朗,랑,MODIFIED,lǎng,rang
诗文,스원,MODIFIED,shī wén,seuweon
蒙,멍,MODIFIED,méng,meong
连杰,연걸,MODIFIED,lián jié,yeongeol
娇,자오,MODIFIED,jiāo,jao
文珺,원쥔,MODIFIED,wén jùn,weonjwin
晶晶,징징,MODIFIED,jīng jīng,jingjing
侯,허,MODIFIED,hóu,heo
玉琢,우위줘,MODIFIED,yù zhuó,uwijweo
士俊,시쥔,MODIFIED,shì jùn,sijwin
章,장,MODIFIED,zhāng,jang
子怡,쯔이,MODIFIED,zǐ yí,jjeui
振宁,전닝,MODIFIED,zhèn níng,jeonning
薄,보,MODIFIED,báo,bo
熙来,시라이,MODIFIED,xī lái,sirai
宗仁,쭝런,MODIFIED,zōng rén,jjungreon
嘉诚,자청,MODIFIED,jiā chéng,jaceong
光美,광메이,MODIFIED,guāng měi,gwangmei
贺,허,MODIFIED,hè,heo
子珍,쯔전,MODIFIED,zǐ zhēn,jjeujeon
妮娜,니나,MODIFIED,nī nà,nina
乐,러,MODIFIED,lè,reo
靖宜,징이,MODIFIED,jìng yí,jingi
仲勋,중쉰,MODIFIED,zhòng xūn,jungswin
星驰,성치,MODIFIED,xīng chí,seongci
先念,셴녠,MODIFIED,xiān niàn,syennyen
光诚,광청,MODIFIED,guāng chéng,gwangceong
洪,홍,MODIFIED,hóng,hong
金宝,금보,MODIFIED,jīn bǎo,geumbo
文媛,문원,MODIFIED,wén yuàn,munweon
源潮,위안차오,MODIFIED,yuán cháo,wiancao
颜,옌,MODIFIED,yán,yen
惠庆,후이칭,MODIFIED,huì qìng,huicing
泽厚,쩌허우,MODIFIED,zé hòu,jjeoheou
忆莲,이롄,MODIFIED,yì lián,iryen
晓波,샤오보,MODIFIED,xiǎo bō,syaobo
伯达,보다,MODIFIED,bǎi dá,boda
高丽,가오리,MODIFIED,gāo lí,gaori
德江,더장,MODIFIED,dé jiāng,deojang
魏,웨,MODIFIED,wèi,we
京生,이징성,MODIFIED,jīng shēng,ijingseong
彪,표,MODIFIED,biāo,pyo
释,성,MODIFIED,shì,seong
印顺,정,MODIFIED,yìn shùn,jeong
朝伟,조위,MODIFIED,cháo wěi,jowi
俊晖,쥔후이,MODIFIED,jùn huī,jwinhui
祖德,주더,MODIFIED,zǔ dé,judeo
可染,가염,MODIFIED,kě rǎn,gayeom
恩培,이언페이,MODIFIED,ēn péi,ieonpei
京,징,MODIFIED,jīng,jing
冯,펑,MODIFIED,féng,peong
正虎,정후,MODIFIED,zhèng hǔ,jeonghu
仪,이,MODIFIED,yí,i
韩,한,MODIFIED,hán,han
正,정,MODIFIED,zhèng,jeong
靓颖,량잉,MODIFIED,liàng yǐng,ryanging
艺谋,이머우,MODIFIED,yì móu,imeou
洁篪,제츠,MODIFIED,jié chí,jeceu
敏之,민즈,MODIFIED,mǐn zhī,minjeu
甘,간,MODIFIED,gān,gan
婷婷,팅팅,MODIFIED,tíng tíng,tingting
姚,야,MODIFIED,yáo,ya
华,화,MODIFIED,huá,hwa
国锋,궈펑,MODIFIED,guó fēng,gweopeong
爱玲,아이링,MODIFIED,ài líng,airing
成,성,MODIFIED,chéng,seong
卓翔,줘샹,MODIFIED,zhuó xiáng,jweosyang
安顺,안순,MODIFIED,ān shùn,ansun
志军,즈쥔,MODIFIED,zhì jūn,jeujwin
楚,추,MODIFIED,chǔ,cu
原,위안,MODIFIED,yuán,wian
大文,다원,MODIFIED,dà wén,daweon
佳,자,MODIFIED,jiā,ja
皓,하오,MODIFIED,hào,hao
岳霖,웨린,MODIFIED,yuè lín,werin
省身,싱선,MODIFIED,shěng shēn,singseon
学森,쉐썬,MODIFIED,xué sēn,swesseon
凡,판,MODIFIED,fán,pan
国生,궈성,MODIFIED,guó shēng,gweoseong
俪,리,MODIFIED,lì,ri
常,창,MODIFIED,cháng,cang
万全,완취안,MODIFIED,wàn quán,wancwian
孔,쿵,MODIFIED,kǒng,kung
杰,제,MODIFIED,jié,je
呈栋,청둥,MODIFIED,chéng dòng,ceongdung
青林,칭린,MODIFIED,qīng lín,cingrin
准,준,MODIFIED,zhǔn,jun
君,쥔,MODIFIED,jūn,jwin
维汉,웨이한,MODIFIED,wéi hàn,weihan
奇葆,치바오,MODIFIED,qí bǎo,cibao
春兰,춘란,MODIFIED,chūn lán,cunran
占,잔,MODIFIED,zhàn,jan
安,안,MODIFIED,ān,an
志杰,지걸,MODIFIED,zhì jié,jigeol
姜,장,MODIFIED,jiāng,jang
异康,이캉,MODIFIED,yì kāng,ikang
家瑞,자루이,MODIFIED,jiā ruì,jarui
锦燕,진옌,MODIFIED,jǐn yàn,jinyen
骆,뤄,MODIFIED,luò,rweo
惠宁,후이닝,MODIFIED,huì níng,huining
景林,징린,MODIFIED,jǐng lín,jingrin
老,라,MODIFIED,lǎo,ra
舍,오서,MODIFIED,shè,oseo
方卓,팡줘,MODIFIED,fāng zhuó,pangjweo
何,허,MODIFIED,hé,heo
平平,핑핑,MODIFIED,píng píng,pingping
克,극,MODIFIED,kè,geug
嘉良,자량,MODIFIED,jiā liáng,jaryang
旦,단,MODIFIED,dàn,dan
嘉欣,가흔,MODIFIED,jiā xīn,gaheun
美诗,메이스,MODIFIED,měi shī,meiseu
小波,샤오보,MODIFIED,xiǎo bō,syaobo
馨平,싱핑,MODIFIED,xīn píng,singping
沾,점,MODIFIED,zhān,jeom
莹,잉,MODIFIED,yíng,ing
官正,관정,MODIFIED,guān zhèng,gwanjeong
恩华,언화,MODIFIED,ēn huá,eonhwa
国荣,국영,MODIFIED,guó róng,gugyeong
盾,둔,MODIFIED,dùn,dun
德,더,MODIFIED,dé,deo
焦,자,MODIFIED,jiāo,ja
刘洋,오류양,MODIFIED,liú yáng,oryuyang
儒林,루린,MODIFIED,rú lín,rurin
勇,융,MODIFIED,yǒng,yung
荣桓,룽환,MODIFIED,róng huán,runghwan
润发,윤발,MODIFIED,rùn fā,yunbal
华健,우화젠,MODIFIED,huá jiàn,uhwajen
毅夫,이푸,MODIFIED,yì fū,ipu
溥,푸,MODIFIED,pǔ,pu
毅,이,MODIFIED,yì,i
泽慧,쩌후이,MODIFIED,zé huì,jjeohui
庆红,칭훙,MODIFIED,qìng hóng,cinghung
甄,견,MODIFIED,zhēn,gyeon
子丹,자단,MODIFIED,zǐ dān,jadan
坦,탱,MODIFIED,tǎn,taeng
可,커,MODIFIED,kě,keo
思成,쓰청,MODIFIED,sī chéng,sseuceong
政才,정차이,MODIFIED,zhèng cái,jeongcai
沪宁,후닝,MODIFIED,hù níng,huning
澍,수,MODIFIED,shù,su
石,스,MODIFIED,shí,seu
柯,커,MODIFIED,kē,keo
德钟,더중,MODIFIED,dé zhōng,deojung
梦家,멍자,MODIFIED,mèng jiā,meongja
茜,토리아,MODIFIED,qiàn,toria
涵予,한위,MODIFIED,hán yǔ,hanwi
万,완,MODIFIED,wàn,wan
梓良,쯔량,MODIFIED,zǐ liáng,jjeuryang
晓晨,샤오천,MODIFIED,xiǎo chén,syaoceon
松仁,쑹런,MODIFIED,sōng rén,ssungreon
则仕,쩌스,MODIFIED,zé shì,jjeoseu
璇,쉬안,MODIFIED,xuán,swian
尹,완,MODIFIED,yǐn,wan
志强,치컹,MODIFIED,zhì qiáng,cikeong
熊,슝,MODIFIED,xióng,syung
黛林,다이린,MODIFIED,dài lín,dairin
涛,오타오,MODIFIED,tāo,otao
沫若,모뤄,MODIFIED,mò ruò,morweo
茅,마,MODIFIED,máo,ma
业遂,예쑤이,MODIFIED,yè suì,yessui
蒋,장,MODIFIED,jiǎng,jang
定之,딩즈,MODIFIED,dìng zhī,dingjeu
范,판,MODIFIED,fàn,pan
长龙,창룽,MODIFIED,cháng lóng,cangrung
楼,러,MODIFIED,lóu,reo
继伟,우지웨이,MODIFIED,jì wěi,ujiwei
阎,옌,MODIFIED,yán,yen
连科,롄커,MODIFIED,lián kē,ryenkeo
舜筠,오순쥔,MODIFIED,shùn yún,osunjwin
东方,둥팡,MODIFIED,dōng fāng,dungpang
正非,정페이,MODIFIED,zhèng fēi,jeongpei
禺,오위,MODIFIED,yú,owi
浩,하오,MODIFIED,hào,hao
仇,로,MODIFIED,chóu,ro
海婴,우하이잉,MODIFIED,hǎi yīng,uhaiing
国雄,궉훙,MODIFIED,guó xióng,gweoghung
含韵,함운,MODIFIED,hán yùn,hamun
平凹,핑와,MODIFIED,píng āo,pingwa
聂,녜,MODIFIED,niè,nye
卫平,웨이핑,MODIFIED,wèi píng,weiping
晓春,샤오춘,MODIFIED,xiǎo chūn,syaocun
斌,빈,MODIFIED,bīn,bin
伏瞻,푸잔,MODIFIED,fú zhān,pujan
亚军,야쥔,MODIFIED,yà jūn,yajwin
化腾,화텅,MODIFIED,huà téng,hwateong
云岫,윈시우,MODIFIED,yún xiù,winsiu
步高,푸가오,MODIFIED,bù gāo,pugao
诚,청,MODIFIED,chéng,ceong
齐,제,MODIFIED,qí,je
白石,백석,MODIFIED,bái shí,baegseog
冰,빙,MODIFIED,bīng,bing
心,신,MODIFIED,xīn,sin
志毅,즈이,MODIFIED,zhì yì,jeui
弼时,비스,MODIFIED,bì shí,biseu
风,펑,MODIFIED,fēng,peong
楠,난,MODIFIED,nán,nan
大明,다밍,MODIFIED,dà míng,daming
雯丽,원리,MODIFIED,wén lì,weonri
庚茂,겅마오,MODIFIED,gēng mào,geongmao
小晶,샤오징,MODIFIED,xiǎo jīng,syaojing
政高,정가오,MODIFIED,zhèng gāo,jeonggao
长赋,창푸,MODIFIED,cháng fù,cangpu
平,핑,MODIFIED,píng,ping
小璐,샤오루,MODIFIED,xiǎo lù,syaoru
景润,징룬,MODIFIED,jǐng rùn,jingrun
绛,장,MODIFIED,jiàng,jang
伟强,웨이창,MODIFIED,wěi qiáng,weicang
东明,둥밍,MODIFIED,dōng míng,dungming
诸,제,MODIFIED,zhū,je
葛攀,갈반,MODIFIED,gě pān,galban
也,예,MODIFIED,yě,ye
斯,쓰,MODIFIED,sī,sseu
麦,맥,MODIFIED,mài,maeg
嘉,가,MODIFIED,jiā,ga
咏麟,융린,MODIFIED,yǒng lín,yungrin
寅恪,인커,MODIFIED,yín kè,inkeo
鸿宾,훙빈,MODIFIED,hóng bīn,hungbin
葛珪,갈규,MODIFIED,gě guī,galgyu
崔,추,MODIFIED,cuī,cu
世昌,이스창,MODIFIED,shì chāng,iseucang
葛,거,MODIFIED,gě,geo
优,유,MODIFIED,yōu,yu
烨,예,MODIFIED,yè,ye
关,관,MODIFIED,guān,gwan
之琳,지림,MODIFIED,zhī lín,jirim
季,지,MODIFIED,jì,ji
羡林,셴린,MODIFIED,xiàn lín,syenrin
戴,대,MODIFIED,dài,dae
震,진,MODIFIED,zhèn,jin
兆基,자오지,MODIFIED,zhào jī,jaoji
可辛,커신,MODIFIED,kě xīn,keosin
乌,우,MODIFIED,wū,u
兰夫,란푸,MODIFIED,lán fū,ranpu
尚昆,상쿤,MODIFIED,shàng kūn,sangkun
耿,겅,MODIFIED,gěng,geong
惠昌,후이창,MODIFIED,huì chāng,huicang
小鹏,샤오펑,MODIFIED,xiǎo péng,syaopeong
纪恒,지헝,MODIFIED,jì héng,jiheong
鸿忠,훙중,MODIFIED,hóng zhōng,hungjung
洪志,훙즈,MODIFIED,hóng zhì,hungjeu
文蔚,원웨이,MODIFIED,wén wèi,weonwei
春贤,춘센,MODIFIED,chūn xián,cunsen
乐泉,러취안,MODIFIED,lè quán,reocwian
悲鸿,베이훙,MODIFIED,bēi hóng,beihung
希怡,시이,MODIFIED,xī yí,sii
永珀,융포,MODIFIED,yǒng pò,yungpo
霞,샤,MODIFIED,xiá,sya
明宇,밍위,MODIFIED,míng yǔ,mingwi
晶,징,MODIFIED,jīng,jing
撒,사,MODIFIED,sā,sa
贝宁,베이닝,MODIFIED,bèi níng,beining
雷,레,MODIFIED,léi,re
锋,이펑,MODIFIED,fēng,ipeong
冠希,관희,MODIFIED,guān xī,gwanhyi
倪,워,MODIFIED,ní,weo
郝,하,MODIFIED,hǎo,ha
海东,오하이둥,MODIFIED,hǎi dōng,ohaidung
庆林,칭린,MODIFIED,qìng lín,cingrin
霆锋,정봉,MODIFIED,tíng fēng,jeongbong
祖英,쭈잉,MODIFIED,zǔ yīng,jjuing
爱萍,아이핑,MODIFIED,ài píng,aiping
傅,마,MODIFIED,fù,ma
联松,롄쑹,MODIFIED,lián sōng,ryenssung
继耐,지나이,MODIFIED,jì nài,jinai
小龙,소룡,MODIFIED,xiǎo lóng,soryong
伟平,웨이핑,MODIFIED,wěi píng,weiping
震林,전린,MODIFIED,zhèn lín,jeonrin
金莲,진롄,MODIFIED,jīn lián,jinryen
汪,왕,MODIFIED,wāng,wang
顺,순,MODIFIED,shùn,sun
国立,궈리,MODIFIED,guó lì,gweori
恺威,카이웨이,MODIFIED,kǎi wēi,kaiwei
耀汉,요한,MODIFIED,yào hàn,yohan
秋生,추생,MODIFIED,qiū shēng,cusaeng
德怀,더화이,MODIFIED,dé huái,deohwai
作义,쭤이,MODIFIED,zuò yì,jjweoi
亚鹏,야펑,MODIFIED,yà péng,yapeong
铮,정,MODIFIED,zhēng,jeong
金华,진화,MODIFIED,jīn huá,jinhwa
道明,다오밍,MODIFIED,dào míng,daoming
健星,키엔싱,MODIFIED,jiàn xīng,kiensing
采妮,채니,MODIFIED,cǎi nī,caeni
长青,이창칭,MODIFIED,cháng qīng,icangcing
键锋,젠펑,MODIFIED,jiàn fēng,jenpeong
