제임스 드레스녹,ジェームズ・ドレスノク,jēmuzu・doresunoku,jeimseu deureseunog
김책,キンサク,kinsaku,gimcaeg
강건,キョウケン,kyouken,ganggeon
박열,ボクレツ,bokuretsu,bagyeol
허헌,モトケン,motoken,heoheon
장웅,チョウツヨシ,choutsuyoshi,jangung
김철,キムアキラ,kimuakira,gimceol
최광,チェヒカリ,chehikari,coegwang
최현,チェケン,cheken,coehyeon
김억,キンオク,kinoku,gimeog
김옥,キンギョク,kingyoku,gimog
최휘,チェアキラ,cheakira,coehwi
백석,シライシ,shiraishi,baegseog
김웅,カネオ,kaneo,gimung
서휘,ジョアキラ,joakira,seohwi
김무정,タケチン,takechin,gimmujeong
홍창수,トクヤマアキラモリ,tokuyamaakiramori,hongcangsu
최원,チェトオ,chetoo,coeweon
안길,ヤスキチ,yasukichi,angil
장철,チョウトオル,choutooru,jangceol
임훈,ニンクン,ninkun,imhun
임화,ハヤシカズ,hayashikazu,imhwa
여정,リョセイ,ryosei,yeojeong
박훈,ボクイサオ,bokuisao,baghun
장혁,チョウカワ,choukawa,janghyeog
영순,ヨンスン,MODIFIED,yonsun,yeongsun
명록,アキラロク,MODIFIED,akiraroku,myeongrog
려,リョ,MODIFIED,ryo,ryeo
춘석,ハルスズ,MODIFIED,harusuzu,cunseog
달준,イタルシュン,MODIFIED,itarushun,daljun
지,ココロザシ,MODIFIED,kokorozashi,ji
윤남,インミナミ,MODIFIED,inminami,yunnam
안,ヤス,MODIFIED,yasu,an
금애,キンアイ,MODIFIED,kinai,geumae
영대,エイダイ,MODIFIED,eidai,yeongdae
국태,クニヤスシ,MODIFIED,kuniyasushi,gugtae
정애,セイアイ,MODIFIED,seiai,jeongae
성옥,ナルダマ,MODIFIED,narudama,seongog
금숙,イマヨシ,MODIFIED,imayoshi,geumsug
경희,ケイヒメ,MODIFIED,keihime,gyeonghyi
고,コウ,MODIFIED,kou,go
용희,ヨウヒメ,MODIFIED,youhime,yonghyi
국진,コウハシバミ,MODIFIED,kouhashibami,gugjin
철명,アキラサトシ,MODIFIED,akirasatoshi,ceolmyeong
한,カン,MODIFIED,kan,han
광복,ヒカリフク,MODIFIED,hikarifuku,gwangbog
세광,ヨコウ,MODIFIED,yokou,segwang
미경,ミギョン,MODIFIED,migyon,migyeong
림,リム,MODIFIED,rimu,rim
정심,ジョンシム,MODIFIED,jonshimu,jeongsim
영림,エイリン,MODIFIED,eirin,yeongrim
영조,ウツハヤ,MODIFIED,utsuhaya,yeongjo
정남,マサオ,MODIFIED,masao,jeongnam
일진,イルジン,MODIFIED,irujin,iljin
헌영,ケンヒサシ,MODIFIED,kenhisashi,heonyeong
차,クルマ,MODIFIED,kuruma,ca
성남,ナルミナミ,MODIFIED,naruminami,seongnam
남운,ナグモ,MODIFIED,nagumo,namun
열리,キヨシリ,MODIFIED,kiyoshiri,yeolri
신,カラシ,MODIFIED,karashi,sin
신조,シンアサ,MODIFIED,shinasa,sinjo
원,モト,MODIFIED,moto,weon
정화,セイハナ,MODIFIED,seihana,jeonghwa
내성,ライシゲル,MODIFIED,raishigeru,naeseong
상성,シモシゲル,MODIFIED,shimoshigeru,sangseong
성애,ヒジリアイ,MODIFIED,hijiriai,seongae
학림,ツルリン,MODIFIED,tsururin,hagrim
현,ゲン,MODIFIED,gen,hyeon
영철,エイアキラ,MODIFIED,eiakira,yeongceol
계관,ケイカン,MODIFIED,keikan,gyegwan
양건,ヨウケン,MODIFIED,youken,yanggeon
원홍,モトヒロ,MODIFIED,motohiro,weonhong
도춘,ミチハル,MODIFIED,michiharu,docun
천해,テンカイ,MODIFIED,tenkai,ceonhae
변,アタリ,MODIFIED,atari,byeon
영립,エイリツ,MODIFIED,eiritsu,yeongrib
명도,ミョウドウ,MODIFIED,myoudou,myeongdo
격식,カクウエ,MODIFIED,kakuue,gyeogsig
영춘,エイハル,MODIFIED,eiharu,yeongcun
일성,イルソン,MODIFIED,iruson,ilseong
정은,セイオン,MODIFIED,seion,jeongeun
원봉,モトオオトリ,MODIFIED,motoootori,weonbong
창익,ショウエキ,MODIFIED,shoueki,cangig
노,ノ,MODIFIED,no,no
금석,コンスズ,MODIFIED,konsuzu,geumseog
동측,ヒガシハカ,MODIFIED,higashihaka,dongceug
의춘,ムベハル,MODIFIED,mubeharu,yicun
용익,ヨンイク,MODIFIED,yoniku,yongig
봉철,タテマツアキラ,MODIFIED,tatematsuakira,bongceol
정순,セイジュン,MODIFIED,seijun,jeongsun
용철,イサムアキラ,MODIFIED,isamuakira,yongceol
락겸,ラクケン,MODIFIED,rakuken,raggyeom
재경,ザイケイ,MODIFIED,zaikei,jaegyeong
계,ケー,MODIFIED,kē,gye
순희,スンヒ,MODIFIED,sunhi,sunhyi
영재,エイサイ,MODIFIED,eisai,yeongjae
선호,ゼントラ,MODIFIED,zentora,seonho
명식,アキラウエ,MODIFIED,akiraue,myeongsig
명희,アキラヒメ,MODIFIED,akirahime,myeonghyi
민철,ミンアキラ,MODIFIED,minakira,minceol
인식,ヒトシウエ,MODIFIED,hitoshiue,insig
성덕,シゲノリ,MODIFIED,shigenori,seongdeog
송철,マツアキラ,MODIFIED,matsuakira,songceol
평해,ヒラウミ,MODIFIED,hiraumi,pyeonghae
형봉,トオルタテマツ,MODIFIED,toorutatematsu,hyeongbong
전,チョン,MODIFIED,chon,jeon
하철,カワアキラ,MODIFIED,kawaakira,haceol
약수,ワカミズ,MODIFIED,wakamizu,yagsu
국훈,クニカオル,MODIFIED,kunikaoru,gughun
용무,ヨウシゲル,MODIFIED,youshigeru,yongmu
광철,ヒカリテツ,MODIFIED,hikaritetsu,gwangceol
명길,アキラキチ,MODIFIED,akirakichi,myeonggil
류,ヤナギ,MODIFIED,yanagi,ryu
현식,ゲンウエ,MODIFIED,genue,hyeonsig
국준,クニシュン,MODIFIED,kunishun,gugjun
두균,トヒトシ,MODIFIED,tohitoshi,dugyun
희영,ヒロシサカエ,MODIFIED,hiroshisakae,hyiyeong
만건,マンケン,MODIFIED,manken,mangeon
무영,タケサカエ,MODIFIED,takesakae,muyeong
형식,トオルウエ,MODIFIED,tooruue,hyeongsig
봉죽,オオトリタケ,MODIFIED,ootoritake,bongjug
로,ノ,MODIFIED,no,ro
동,タダシ,MODIFIED,tadashi,dong
정호,マサヒロ,MODIFIED,masahiro,jeongho
태봉,タイホウ,MODIFIED,taihou,taebong
영길,ナガヨシ,MODIFIED,nagayoshi,yeonggil
경식,ケイウエ,MODIFIED,keiue,gyeongsig
성실,ナルミ,MODIFIED,narumi,seongsil
명원,アケモト,MODIFIED,akemoto,myeongweon
남철,ミナミアキラ,MODIFIED,minamiakira,namceol
태원,ヤスシトオ,MODIFIED,yasushitoo,taeweon
룡천,リュウテン,MODIFIED,ryuuten,ryongceon
명철,メイテツ,MODIFIED,meitetsu,myeongceol
방,ホウ,MODIFIED,hou,bang
학세,ガクヨ,MODIFIED,gakuyo,hagse
형근,アニネ,MODIFIED,anine,hyeonggeun
성,シゲル,MODIFIED,shigeru,seong
자립,ジリツ,MODIFIED,jiritsu,jarib
수길,コトブキキチ,MODIFIED,kotobukikichi,sugil
태덕,フトシトク,MODIFIED,futoshitoku,taedeog
제선,スミゼン,MODIFIED,sumizen,jeseon
창한,アキラカン,MODIFIED,akirakan,canghan
윤원,マコトゲン,MODIFIED,makotogen,yunweon
영준,エイタカシ,MODIFIED,eitakashi,yeongjun
명훈,アキラクン,MODIFIED,akirakun,myeonghun
용건,イサオケン,MODIFIED,isaoken,yonggeon
정철,セイアキラ,MODIFIED,seiakira,jeongceol
미영,ミエ,MODIFIED,mie,miyeong
철만,テツマン,MODIFIED,tetsuman,ceolman
황,キ,MODIFIED,ki,hwang
상려,アイウララ,MODIFIED,aiurara,sangryeo
희정,ヨシマサ,MODIFIED,yoshimasa,hyijeong
백룡,ハクリュウ,MODIFIED,hakuryuu,baegryong
윤심,ジュンシン,MODIFIED,junshin,yunsim
인범,ジンハン,MODIFIED,jinhan,inbeom
경성,ケイボシ,MODIFIED,keiboshi,gyeongseong
송월,ショウゲツ,MODIFIED,shougetsu,songweol
승훈,ウケタマワクン,MODIFIED,uketamawakun,seunghun
성수,マコトシュウ,MODIFIED,makotoshuu,seongsu
원균,ゲンヒトシ,MODIFIED,genhitoshi,weongyun
인모,ジンモ,MODIFIED,jinmo,inmo
두철,トアキラ,MODIFIED,toakira,duceol
창옥,アキラダマ,MODIFIED,akiradama,cangog
봉한,オオトリカン,MODIFIED,ootorikan,bonghan
락희,ラクヒメ,MODIFIED,rakuhime,raghyi
태남,ヤスオ,MODIFIED,yasuo,taenam
윤,イン,MODIFIED,in,yun
인덕,ニントク,MODIFIED,nintoku,indeog
명수,アキヒデ,MODIFIED,akihide,myeongsu
정균,サダヒトシ,MODIFIED,sadahitoshi,jeonggyun
정임,セイニン,MODIFIED,seinin,jeongim
경만,ケイマン,MODIFIED,keiman,gyeongman
량,ヤナ,MODIFIED,yana,ryang
만길,マンキチ,MODIFIED,mankichi,mangil
태,フトシ,MODIFIED,futoshi,tae
종수,ソウシゲル,MODIFIED,soushigeru,jongsu
기룡,モトリュウ,MODIFIED,motoryuu,giryong
영수,エイシュウ,MODIFIED,eishuu,yeongsu
경옥,ケイダマ,MODIFIED,keidama,gyeongog
기영,ミノヒサシ,MODIFIED,minohisashi,giyeong
근모,ネモ,MODIFIED,nemo,geunmo
설야,ユキノ,MODIFIED,yukino,seolya
만식,バンウエ,MODIFIED,banue,mansig
연,ノベ,MODIFIED,nobe,yeon
형묵,トオルダマ,MODIFIED,toorudama,hyeongmug
서,ジョ,MODIFIED,jo,seo
만술,ヨロズジュツ,MODIFIED,yorozujutsu,mansul
설송,ユキマツ,MODIFIED,yukimatsu,seolsong
남기,ミナミハジメ,MODIFIED,minamihajime,namgi
을설,オツユキ,MODIFIED,otsuyuki,eulseol
길연,ヨシフカシ,MODIFIED,yoshifukashi,gilyeon
철해,アキラウミ,MODIFIED,akiraumi,ceolhae
광룡,ヒカリリュウ,MODIFIED,hikariryuu,gwangryong
정각,ショウガク,MODIFIED,shougaku,jeonggag
창호,アキラトラ,MODIFIED,akiratora,cangho
연준,ノベシュン,MODIFIED,nobeshun,yeonjun
상건,アイケン,MODIFIED,aiken,sanggeon
문원,ブンゲン,MODIFIED,bungen,munweon
승원,カツモト,MODIFIED,katsumoto,seungweon
용진,イサムススム,MODIFIED,isamususumu,yongjin
룡남,タツオ,MODIFIED,tatsuo,ryongnam
승무,ウケタマワタケシ,MODIFIED,uketamawatakeshi,seungmu
서헌,ミズケン,MODIFIED,mizuken,seoheon
창렬,アキラレツ,MODIFIED,akiraretsu,cangryeol
영식,エイショク,MODIFIED,eishoku,yeongsig
충걸,チュウスグル,MODIFIED,chuusuguru,cunggeol
영호,エイヒロシ,MODIFIED,eihiroshi,yeongho
창수,アキラコトブキ,MODIFIED,akirakotobuki,cangsu
춘룡,ハルリュウ,MODIFIED,haruryuu,cunryong
명학,メイガク,MODIFIED,meigaku,myeonghag
정천,セイテン,MODIFIED,seiten,jeongceon
승길,ウケタマワキチ,MODIFIED,uketamawakichi,seunggil
길수,ヨシヒサシ,MODIFIED,yoshihisashi,gilsu
선옥,センダマ,MODIFIED,sendama,seonog
용남,イサオ,MODIFIED,isao,yongnam
종관,ソウカン,MODIFIED,soukan,jonggwan
두익,トツバサ,MODIFIED,totsubasa,duig
춘히,チュニ,MODIFIED,chuni,cunhi
석형,スズトオル,MODIFIED,suzutooru,seoghyeong
기남,オノレオトコ,MODIFIED,onoreotoko,ginam
현희,ケンヒメ,MODIFIED,kenhime,hyeonhyi
세봉,ヨオオトリ,MODIFIED,yoootori,sebong
용순,ヒロアツ,MODIFIED,hiroatsu,yongsun
경숙,キョウヨシ,MODIFIED,kyouyoshi,gyeongsug
달현,イタルゲン,MODIFIED,itarugen,dalhyeon
철호,アキラヒロシ,MODIFIED,akirahiroshi,ceolho
표영,シャクナガ,MODIFIED,shakunaga,pyoyeong
동윤,アズマジュン,MODIFIED,azumajun,dongyun
태무,フトタケ,MODIFIED,futotake,taemu
권무,ケンタケ,MODIFIED,kentake,gweonmu
상덕,ナオノリ,MODIFIED,naonori,sangdeog
상원,ナオハラ,MODIFIED,naohara,sangweon
재선,ザイゼン,MODIFIED,zaizen,jaeseon
경준,キョウシュン,MODIFIED,kyoushun,gyeongjun
상진,アイススム,MODIFIED,aisusumu,sangjin
성태,ナルフトシ,MODIFIED,narufutoshi,seongtae
명,ミョン,MODIFIED,myon,myeong
례현,レヒョン,MODIFIED,rehyon,ryehyeon
창봉,アキラタテマツ,MODIFIED,akiratatematsu,cangbong
종만,ソウヨロズ,MODIFIED,souyorozu,jongman
명진,アキラススム,MODIFIED,akirasusumu,myeongjin
곽,カク,MODIFIED,kaku,gwag
범기,ハンモト,MODIFIED,hanmoto,beomgi
태복,タイフク,MODIFIED,taifuku,taebog
극렬,カツレツ,MODIFIED,katsuretsu,geugryeol
옥임,タマニン,MODIFIED,tamanin,ogim
룡해,リュウウミ,MODIFIED,ryuuumi,ryonghae
종옥,ショウタマ,MODIFIED,shoutama,jongog
수용,シュウヨウ,MODIFIED,shuuyou,suyong
라,ラ,MODIFIED,ra,ra
세영,ヨナガ,MODIFIED,yonaga,seyeong
상조,アイアサ,MODIFIED,aiasa,sangjo
경덕,ケイトク,MODIFIED,keitoku,gyeongdeog
효순,コウアツシ,MODIFIED,kouatsushi,hyosun
일정,ニチアキラ,MODIFIED,nichiakira,iljeong
재홍,ザイオオトリ,MODIFIED,zaiootori,jaehong
임,ハヤシ,MODIFIED,hayashi,im
춘추,シュンジュウ,MODIFIED,shunjuu,cuncu
혁봉,ヒョクボン,MODIFIED,hyokubon,hyeogbong
인선,ジンゼン,MODIFIED,jinzen,inseon
춘복,ハルフク,MODIFIED,harufuku,cunbog
봉학,オオトリマナブ,MODIFIED,ootorimanabu,bonghag
렴,レン,MODIFIED,ren,ryeom
철진,アキラススム,MODIFIED,akirasusumu,ceoljin
문영,ムンヨン,MODIFIED,munyon,munyeong
강선,クダセン,MODIFIED,kudasen,gangseon
금철,キムアキラ,MODIFIED,kimuakira,geumceol
강호,コウヒロシ,MODIFIED,kouhiroshi,gangho
기호,モトヒロシ,MODIFIED,motohiroshi,giho
승호,カチトラ,MODIFIED,kachitora,seungho
선희,ゼンヒメ,MODIFIED,zenhime,seonhyi
철웅,テツオ,MODIFIED,tetsuo,ceolung
혁철,カワアキラ,MODIFIED,kawaakira,hyeogceol
인희,ジンヒメ,MODIFIED,jinhime,inhyi
광성,ミツナリ,MODIFIED,mitsunari,gwangseong
유성,ユウシゲル,MODIFIED,yuushigeru,yuseong
대옥,テオク,MODIFIED,teoku,daeog
덕훈,トククン,MODIFIED,tokukun,deoghun
덕홍,ノリヒロ,MODIFIED,norihiro,deoghong
송이,ソンイ,MODIFIED,soni,songi
상철,アイアキラ,MODIFIED,aiakira,sangceol
정수,セイシュウ,MODIFIED,seishuu,jeongsu
웅평,ユウヘイ,MODIFIED,yuuhei,ungpyeong
동춘,ヒガシハル,MODIFIED,higashiharu,dongcun
창복,アキラフク,MODIFIED,akirafuku,cangbog
계룡,カツラリュウ,MODIFIED,katsuraryuu,gyeryong
혜영,メグミエイ,MODIFIED,megumiei,hyeyeong
동훈,トウクン,MODIFIED,toukun,donghun
유,リュウ,MODIFIED,ryuu,yu
창식,アキラウエ,MODIFIED,akiraue,cangsig
영덕,ヒデノリ,MODIFIED,hidenori,yeongdeog
창순,アオイジュン,MODIFIED,aoijun,cangsun
재룡,ザイリュウ,MODIFIED,zairyuu,jaeryong
권,ケン,MODIFIED,ken,gweon
영진,エイススム,MODIFIED,eisusumu,yeongjin
동근,ヒガシネ,MODIFIED,higashine,donggeun
정근,セイネ,MODIFIED,seine,jeonggeun
상학,ナオガク,MODIFIED,naogaku,sanghag
일철,ニチアキラ,MODIFIED,nichiakira,ilceol
준택,ジュンサワ,MODIFIED,junsawa,juntaeg
춘실,ハルミ,MODIFIED,harumi,cunsil
경석,キョウスズ,MODIFIED,kyousuzu,gyeongseog
상준,アイシュン,MODIFIED,aishun,sangjun
혜정,メグミサダ,MODIFIED,megumisada,hyejeong
길춘,ヨシハル,MODIFIED,yoshiharu,gilcun
일춘,ニチハル,MODIFIED,nichiharu,ilcun
송,ソウ,MODIFIED,sou,song
길룡,ヨシリュウ,MODIFIED,yoshiryuu,gilryong
용선,イサムヨシ,MODIFIED,isamuyoshi,yongseon
준상,シュンナオ,MODIFIED,shunnao,junsang
재성,サイシゲル,MODIFIED,saishigeru,jaeseong
기,キ,MODIFIED,ki,gi
광호,ミツヒロ,MODIFIED,mitsuhiro,gwangho
정식,セイウエ,MODIFIED,seiue,jeongsig
일호,ニチヨシミ,MODIFIED,nichiyoshimi,ilho
두용,アタマヨウ,MODIFIED,atamayou,duyong
창엽,アキラハ,MODIFIED,akiraha,cangyeob
봉영,オオトリスグル,MODIFIED,ootorisuguru,bongyeong
일룡,ニチリュウ,MODIFIED,nichiryuu,ilryong
길선,キチサキ,MODIFIED,kichisaki,gilseon
남진,ナンシン,MODIFIED,nanshin,namjin
경남,キョウダン,MODIFIED,kyoudan,gyeongnam
창광,マサミツ,MODIFIED,masamitsu,canggwang
왕,オウ,MODIFIED,ou,wang
창욱,アキラアサヒ,MODIFIED,akiraasahi,cangug
윤석,ジュンセキ,MODIFIED,junseki,yunseog
두성,トボシ,MODIFIED,toboshi,duseong
흥표,キョウシャク,MODIFIED,kyoushaku,heungpyo
광순,ヒカリアツシ,MODIFIED,hikariatsushi,gwangsun
표,ヒョウ,MODIFIED,hyou,pyo
무원,タケハジメ,MODIFIED,takehajime,muweon
학원,ツルハジメ,MODIFIED,tsuruhajime,hagweon
주애,シュアイ,MODIFIED,shuai,juae
성혜,ヒジリメグミ,MODIFIED,hijirimegumi,seonghye
선권,ゼンケン,MODIFIED,zenken,seongweon
원호,ゲンヒロシ,MODIFIED,genhiroshi,weonho
봉훈,ミネサトシ,MODIFIED,minesatoshi,bonghun
히용,ヒロシヨウ,MODIFIED,hiroshiyou,hiyong
만성,バンシゲル,MODIFIED,banshigeru,manseong
용수,イサムソチ,MODIFIED,isamusochi,yongsu
득남,トクオトコ,MODIFIED,tokuotoko,deugnam
동명,トウメイ,MODIFIED,toumei,dongmyeong
순남,スミオ,MODIFIED,sumio,sunnam
영래,エイライ,MODIFIED,eirai,yeongrae
룡만,リュウミツル,MODIFIED,ryuumitsuru,ryongman
인호,ヒトトラ,MODIFIED,hitotora,inho
정훈,セイクン,MODIFIED,seikun,jeonghun
성호,ナルトラ,MODIFIED,narutora,seongho
춘남,ハルオ,MODIFIED,haruo,cunnam
주오,シュウウマ,MODIFIED,shuuuma,juo
위,ギ,MODIFIED,gi,wi
충길,タダヨシ,MODIFIED,tadayoshi,cunggil
상룡,アイリュウ,MODIFIED,airyuu,sangryong
손,マゴ,MODIFIED,mago,son
영복,エイフク,MODIFIED,eifuku,yeongbog
명남,メイナン,MODIFIED,meinan,myeongnam
정관,セイカン,MODIFIED,seikan,jeonggwan
창하,アキラカワ,MODIFIED,akirakawa,cangha
수일,シュウイツ,MODIFIED,shuuitsu,suil
철성,アキラシゲル,MODIFIED,akirashigeru,ceolseong
길성,ヨシナリ,MODIFIED,yoshinari,gilseong
상관,アイカン,MODIFIED,aikan,sanggwan
용광,イサムヒカリ,MODIFIED,isamuhikari,yonggwang
태성,ヤスナリ,MODIFIED,yasunari,taeseong
주식,ジュシク,MODIFIED,jushiku,jusig
승두,ウケタマワト,MODIFIED,uketamawato,seungdu
만수,ヨロズヒサシ,MODIFIED,yorozuhisashi,mansu
학철,ガクアキラ,MODIFIED,gakuakira,hagceol
창선,アキラゼン,MODIFIED,akirazen,cangseon
마,ウマ,MODIFIED,uma,ma
원춘,エンハル,MODIFIED,enharu,weoncun
태철,ヤスシアキラ,MODIFIED,yasushiakira,taeceol
현명,ケンメイ,MODIFIED,kenmei,hyeonmyeong
연미,ヨンミ,MODIFIED,yonmi,yeonmi
광영,コウエイ,MODIFIED,kouei,gwangyeong
광상,ヒカリショウ,MODIFIED,hikarishou,gwangsang
차두리,クルマドゥリ,kurumaduri,caduri
윤하,ユンナ,yunna,yunha
이호,リヒロシ,rihiroshi,iho
장상,チョウモ,choumo,jangsang
허재,モトノ,motono,heojae
태연,テヨン,teyon,taeyeon
제시카,ジェシカ,jeshika,jesika
비,ピ,pi,bi
수영,スヨン,suyon,suyeong
제나 우슈코비츠,ジェナ・アウシュコウィッツ,jena・aushukowittsu,jena usyukobiceu
써니,サニー,sanī,sseoni
유나 리,ユナ・リー,yuna・rī,yuna ri
신격호,シゲミツタケオ,shigemitsutakeo,singyeogho
김재중,ジェジュン,jejun,gimjaejung
손흥민,マゴオキミン,magookimin,sonheungmin
나아름,ラアルム,raarumu,naareum
서현,ソヒョン,sohyon,seohyeon
효연,ヒョヨン,hyoyon,hyoyeon
장면,チョウツトム,choutsutomu,jangmyeon
효민,ヒョミン,hyomin,hyomin
제임스 기선 리,ジェームズ・キーソン・リー,jēmuzu・kīson・rī,jeimseu giseon ri
환희,ファニ,fani,hwanhyi
현빈,ヒョンビン,hyonbin,hyeonbin
아마드 엘리치,アーマド・エルリッチ,āmado・eruritchi,amadeu elrici
김준수,ジュンス,junsu,gimjunsu
박정혜,ボクチョントシ,bokuchontoshi,bagjeonghye
고건,コウケン,kouken,gogeon
윤아,ユナ,yuna,yuna
유리,ユリ,yuri,yuri
박유천,ユチョン,yuchon,bagyuceon
허정,モトセイ,motosei,heojeong
프란체스카 도너,フランチェスカ・ドナー,furanchesuka・donā,peuranceseuka doneo
빅토르 안,ヴィクトル・アン,vikutoru・an,bigtoreu an
성훈,ソンフン,sonfun,seonghun
순정효황후,ジュンサダコウコウゴウ,junsadakoukougou,sunjeonghyohwanghu
대니얼 대 킴,ダニエル・デイ・キム,danieru・dei・kimu,daenieol dae kim
려욱,リョウク,ryouku,ryeoug
효린,ヒョリン,hyorin,hyorin
찬성,チャンソン,chanson,canseong
주원,チュウォン,chuwon,juweon
장훈,チョウホンクン,chouhonkun,janghun
최강창민,チャンミン,chanmin,coegangcangmin
설리,ソルリ,soruri,seolri
유빈,ユビン,yubin,yubin
태민,テミン,temin,taemin
동해,ドンヘ,donhe,donghae
민호,ミンホ,minho,minho
예성,イェソン,yeson,yeseong
로버트 콘스웨이트,ロバート・コーンスウェイト,robāto・kōnsuweito,robeoteu konseuweiteu
넬슨 신,ネルソン・シン,neruson・shin,nelseun sin
은혁,ウニョク,unyoku,eunhyeog
스티븐 연,スティーヴン・ユァン,sutīvun・yuァn,seutibeun yeon
서우,ソウ,sou,seou
패티 김,パティ・キム,pati・kimu,paeti gim
김성택,カスガオウカツアキラ,kasugaoukatsuakira,gimseongtaeg
신동,シンドン,shindon,sindong
박지은,グレースホウ,gurēsuhou,bagjieun
앙드레 김,アンドレ・キム,andore・kimu,angdeure gim
옥택연,テギョン,tegyon,ogtaegyeon
데릭 아사모아,デレク・アサモア,dereku・asamoa,derig asamoa
사오리,チョウタスクイトグチサト,choutasukuitoguchisato,saori
찬열,チャンヨル,chanyoru,canyeol
지연,ジヨン,jiyon,jiyeon
윤손하,ユンソナ,yunsona,yunsonha
김일,オオキキンタロウ,ookikintarou,gimil
이범호,リボムヒロシ,ribomuhiroshi,ibeomho
선예,ソネ,sone,seonye
선미,ソンミ,sonmi,seonmi
용감한 형제,ブレイブ・ブラザーズ,bureibu・burazāzu,yonggamhan hyeongje
니키 양,ニキ・ヤング,niki・yangu,niki yang
유건,ユゴン,yugon,yugeon
남녀공학,ダンジョキョウガク,danjokyougaku,namnyeogonghag
김다솔,キムダソル,kimudasoru,gimdasol
김현,キムゲン,kimugen,gimhyeon
김조광수,キムチョウミツヒデ,kimuchoumitsuhide,gimjogwangsu
데니 안,デニー・アン,denī・an,deni an
김훈,キムカオル,kimukaoru,gimhun
랜디 김,ランディ・キム,randi・kimu,raendi gim
테이,テイ,tei,tei
기욤 패트리,ギヨーム・パトリー,giyōmu・patorī,giyom paeteuri
종현,ジョンヒョン,jonhyon,jonghyeon
심민,シンミン,shinmin,simmin
현철,ヒョンチョル,hyonchoru,hyeonceol
롭 레프스나이더,ロブ・レフスナイダー,robu・refusunaidā,rob repeuseunaideo
허웅,モトユウ,motoyuu,heoung
백현,ベクヒョン,bekuhyon,baeghyeon
나타나에우 지 소자 산투스 주니오르,ナサナエル・デ・ソウザ・サントス・ジュニオール,nasanaeru・de・souza・santosu・juniōru,natanaeu ji soja santuseu junioreu
에바 포피엘,エバ・ポピエル,eba・popieru,eba popiel
아미르 텔리고비치,アミル・テリゴヴィッチ,amiru・terigovitchi,amireu telrigobici
유룡,リュウリュウ,ryuuryuu,yuryong
김성규,ソンギュ,songyu,gimseonggyu
최윤,チェマコト,chemakoto,coeyun
권일,ケンイッ,keniッ,gweonil
지코,ジコ,jiko,jiko
구상,グツネ,gutsune,gusang
이상,リバコ,ribako,isang
윤빛가람,インビッカラム,inbikkaramu,yunbicgaram
박수아,リジ,riji,bagsua
이적,リフエ,rifue,ijeog
현월,ゲンツキ,gentsuki,hyeonweol
양훈,リョウサトシ,ryousatoshi,yanghun
