hebe camargo,ヘーペ・カマルゴ,hēpe・kamarugo
bernard anício caldeira duarte,ベルナルジ・アニシオ・カルデイラ・ドゥアルテ,berunaruji・anishio・karudeira・duarute
leandro lessa azevedo,レアンドロ・レッサ・アセヴェド,reandoro・ressa・asevuェdo
reinaldo da cruz oliveira,レイナウド・ダ・クルズ・オリベイラ,reinaudo・da・kuruzu・oribeira
leandro montera da silva,レアンドロ・モンテーラ・ダ・シルバ,reandoro・montēra・da・shiruba
edmilson dos santos silva,エジミウソン・ドス・サントス・シルバ,ejimiuson・dosu・santosu・shiruba
deodoro da fonseca,デオドロ・ダ・フォンセカ,deodoro・da・fonseka
juan silveira dos santos,フアン・シルヴェイラ・ドス・サントス,fuan・shiruvuェira・dosu・santosu
dante bonfim costa santos,ダンテ・ボンフィム・コスタ・サントス,dante・bonfimu・kosuta・santosu
mano menezes,マノ・メネーゼス,mano・menēzesu
oscar dos santos emboaba júnior,オスカル・ドス・サントス・エンボアバ・ジュニオール,osukaru・dosu・santosu・enboaba・juniōru
ilan araújo dall'igna,イラン・アラウージョ・ダッリーニャ,iran・araūjo・darrīnya
felipe massa,フェリペ・マッサ,feripe・massa
bruno barreto,ブルーノ・バレット,burūno・baretto
bruno senna,ブルーノ・セナ,burūno・sena
karin rodrigues,カリン・ロドリゲス,karin・rodorigesu
nílton santos,ニウトン・サントス,niuton・santosu
júlio césar soares espíndola,ジュリオ・セザル・ソアレス・エスピンドラ,jurio・sezaru・soaresu・esupindora
jorge amado,ジョルジェ・アマード,joruje・amādo
josué de castro,ジョズエ・デ・カストロ,jozue・de・kasutoro
nathalia dill,ナタリア・ディル,nataria・diru
joão goulart,ジョアン・グラール,joan・gurāru
luiz inácio lula da silva,ルイス・イナシオ・ルーラ・ダ・シルヴァ,ruisu・inashio・rūra・da・shiruva
jorge de amorim campos,ジョルジ・デ・アモリン・カンポス,joruji・de・amorin・kanposu
edmilson alves,エジミウソン・アウヴェス,ejimiuson・auvuェsu
jairzinho,ジャイルジーニョ,jairujīnyo
jean carlo witte,ジャーン・カルロ・ウィッテ,jān・karuro・witte
alcindo sartori,アルシンド・サルトーリ,arushindo・sarutōri
diego de souza gama silva,ディエゴ・デ・ソウザ・ガマ・シルバ,diego・de・souza・gama・shiruba
josé carlos ferreira filho,ジョゼ・カルロス・フェレイラ・フィーリョ,joze・karurosu・fereira・fīryo
rafael pereira da silva,ラファエル・ペレイラ・ダ・シウバ,rafaeru・pereira・da・shiuba
achim steiner,アヒム・シュタイナー,ahimu・shutainā
josué anunciado de oliveira,ジョズエ・アヌンシアト・デ・オリヴェイラ,jozue・anunshiato・de・orivuェira
aílton gonçalves da silva,アイウトン・ゴンサウヴェス・ダ・シウヴァ,aiuton・gonsauvuェsu・da・shiuva
gustavo kuerten,グスタボ・クエルテン,gusutabo・kueruten
gilberto silva,ジウベルト・シウバ,jiuberuto・shiuba
marcio richardes de andrade,マルシオ・リシャルデス・デ・アンドラーデ,marushio・risharudesu・de・andorāde
sandro cardoso dos santos,サンドロ・カルドソ・ドス・サントス,sandoro・karudoso・dosu・santosu
isabeli fontana,イザベリ・フォンタナ,izaberi・fontana
juscelino kubitschek,ジュセリーノ・クビチェック,juserīno・kubichekku
rodolfo amoedo,ロドルフォ・アモエド,rodorufo・amoedo
benny feilhaber,ベニー・ファイルハーバー,benī・fairuhābā
maria leopoldina da áustria,マリア・レオポルディナ・デ・アウストリア,maria・reoporudina・de・ausutoria
lucimar da silva ferreira,ルシマール・ダ・シウヴァ・フェレイラ,rushimāru・da・shiuva・fereira
marcelo vieira da silva júnior,マルセロ・ヴィエイラ・ダ・シウヴァ・ジュニオル,marusero・vieira・da・shiuva・junioru
marcos aoás corrêa,マルコス・アオアス・コレア,marukosu・aoasu・korea
nelson piquet,ネルソン・ピケ,neruson・pike
carlos alberto parreira,カルロス・アルベルト・パレイラ,karurosu・aruberuto・pareira
rubens barrichello,ルーベンス・バリチェロ,rūbensu・barichero
luciano burti,ルチアーノ・ブルティ,ruchiāno・buruti
ricardo rosset,リカルド・ロセット,rikarudo・rosetto
zózimo,ゾジモ,zojimo
eder citadin martins,エデル・チタディン・マルティンス,ederu・chitadin・marutinsu
dilma rousseff,ジルマ・ルセフ,jiruma・rusefu
emílio goeldi,エミール・ゲルディ,emīru・gerudi
igor de camargo,イゴール・デ・カマルゴ,igōru・de・kamarugo
carmen miranda,カルメン・ミランダ,karumen・miranda
paulo freire,パウロ・フレイレ,pauro・fureire
ânderson luís da silva,アンデルソン・ルイス・ダ・シウバ,anderuson・ruisu・da・shiuba
thiago motta,ティアゴ・モッタ,tiago・motta
fabio pereira da silva,ファビオ・ペレイラ・ダ・シウヴァ,fabio・pereira・da・shiuva
joão gilberto,ジョアン・ジルベルト,joan・jiruberuto
joão figueiredo,ジョアン・フィゲイレド,joan・figeiredo
maxwell scherrer cabelino andrade,マクスウェル・シェレル・カベリーノ・アンドラーデ,makusuweru・shereru・kaberīno・andorāde
denílson pereira neves,デニウソン・ペレイラ・ネヴェス,deniuson・pereira・nevuェsu
dunga,ドゥンガ,dunga
vilém flusser,ヴィレム・フルッサー,viremu・furussā
ronald golias,ロナルド・ゴリアテ,ronarudo・goriate
joão barbosa rodrigues,ジョアン・バルボーザ・ロドリゲス,joan・barubōza・rodorigesu
antônio benedito da silva,アントニオ・ベネディット・ダ・シルバ,antonio・beneditto・da・shiruba
leonardo nascimento de araújo,レオナルド・ナシメント・ジ・アラウージョ,reonarudo・nashimento・ji・araūjo
almir de souza fraga,アウミール・デ・ソウザ・フラガ,aumīru・de・souza・furaga
tarso marques,タルソ・マルケス,taruso・marukesu
maurício gugelmin,マウリシオ・グージェルミン,maurishio・gūjerumin
ricardo cavalcante mendes,ヒカルド・カヴァウカンチ・メンデス,hikarudo・kavaukanchi・mendesu
chico serra,チコ・セラ,chiko・sera
josé carlos pace,ホセ・カルロス・パーチェ,hose・karurosu・pāche
raul boesel,ラウル・ボーセル,rauru・bōseru
ingo hoffmann,インゴ・ホフマン,ingo・hofuman
ricardo zonta,リカルド・ゾンタ,rikarudo・zonta
alex rodrigo dias da costa,アレックス・ロドリゴ・ディアス・ダ・コスタ,arekkusu・rodorigo・diasu・da・kosuta
emerson ferreira da rosa,エメルソン・フェレイラ・ダ・ローザ,emeruson・fereira・da・rōza
glauber rocha,グラウベル・ローシャ,gurauberu・rōsha
marisa monte,マリーザ・モンチ,marīza・monchi
robert falkenburg,ボブ・ファルケンバーグ,bobu・farukenbāgu
dante amaral,ダンテ・アマラウ,dante・amarau
daniel alves,ダニエウ・アウヴェス,danieu・auvuェsu
antônio pizzonia,アントニオ・ピッツォニア,antonio・pittsonia
francisco ernandi lima da silva,フランシスコ・エルナンディ・リマ・ダ・シルバ,furanshisuko・erunandi・rima・da・shiruba
zico,ジーコ,jīko
eduardo francisco da silva neto,エドゥアルド・フランシスコ・ダ・シウヴァ・ネト,eduarudo・furanshisuko・da・shiuva・neto
wolnei caio,ウォルネイ・カイオ,worunei・kaio
carlos adriano de jesus soares,カルロス・アドリアーノ・デ・ジョス・ソアレス,karurosu・adoriāno・de・josu・soaresu
eric fernando botteghin,エリック・フェルナンド・ボテギン,erikku・ferunando・botegin
robert da silva almeida,ホベルッチ・ダ・シウバ・アウメイダ,hoberutchi・da・shiuba・aumeida
adriano gerlin da silva,アドリアーノ・ジェルリン・ダ・シルバ,adoriāno・jerurin・da・shiruba
hugo henrique assis do nascimento,ウーゴ・エンリケ・アシス・ド・ナシメント,ūgo・enrike・ashisu・do・nashimento
fabrício de souza,ファブリシオ・デ・ソウザ,faburishio・de・souza
alice braga,アリシー・ブラガ,arishī・buraga
morena baccarin,モリーナ・バッカリン,morīna・bakkarin
márcio rafael ferreira de souza,マルシオ・ラファエウ・フェレイラ・デ・ソウザ,marushio・rafaeu・fereira・de・souza
gilson do amaral,ジウソン・ド・アマラウ,jiuson・do・amarau
rodrigo lacerda ramos,ロドリゴ・ラセルダ・ラモス,rodorigo・raseruda・ramosu
ivete sangalo,イヴェッチ・サンガロ,ivuェtchi・sangaro
sarah menezes,サラ・メネゼス,sara・menezesu
clarice lispector,クラリッセ・リスペクトール,kurarisse・risupekutōru
lucas di grassi,ルーカス・ディ・グラッシ,rūkasu・di・gurasshi
roberto rivellino,ロベルト・リベリーノ,roberuto・riberīno
fernando henrique cardoso,フェルナンド・エンリケ・カルドーゾ,ferunando・enrike・karudōzo
jordana brewster,ジョーダナ・ブリュースター,jōdana・buryūsutā
éverton nogueira,エバートン・ノゲイラ,ebāton・nogeira
emerson fittipaldi,エマーソン・フィッティパルディ,emāson・fittiparudi
enrique bernoldi,エンリケ・ベルノルディ,enrike・berunorudi
cristiano da matta,クリスチアーノ・ダ・マッタ,kurisuchiāno・da・matta
alex dias ribeiro,アレックス・ディアス・リベイロ,arekkusu・diasu・ribeiro
christian fittipaldi,クリスチャン・フィッティパルディ,kurisuchan・fittiparudi
fábio alves félix,ファビオ・アウヴェス・フェリックス,fabio・auvuェsu・ferikkusu
maria amélia de bragança,マリア・アメリア・デ・ブラガンサ,maria・ameria・de・buragansa
marcel augusto ortolan,マルセウ・アウグスト・オルトラン,maruseu・augusuto・orutoran
cláudio caçapa,クラウディオ・カサッパ,kuraudio・kasappa
ana carolina reston,アナ・カロリナ・レストン,ana・karorina・resuton
fabiana murer,ファビアナ・ムレル,fabiana・mureru
maurren maggi,マウレン・マギ,mauren・magi
gilberto gil,ジルベルト・ジル,jiruberuto・jiru
izabel goulart,イザベル・グラール,izaberu・gurāru
cicinho,シシーニョ,shishīnyo
cacau,カカウ,kakau
robinho,ロビーニョ,robīnyo
leandro barbosa,リアンドロ・バルボサ,riandoro・barubosa
maicon douglas sisenando,マイコン・ダグラス・シセナンド,maikon・dagurasu・shisenando
sandro ranieri guimarães cordeiro,サンドロ・ラニエリ・ギマランイス・コルデイロ,sandoro・ranieri・gimaranisu・korudeiro
artur moraes,アルトゥール・モラエス,arutūru・moraesu
bismarck barreto faria,ビスマルク・バレット・ファリア,bisumaruku・baretto・faria
romário,ロマーリオ,romārio
cafu,カフー,kafū
caroline trentini,キャロライン・トレンティーニ,kyarorain・torentīni
eduardo da silva,エドゥアルド・ダ・シルヴァ,eduarudo・da・shiruva
adolfo lutz,アドルフォ・ルッツ,adorufo・ruttsu
bertrand de orléans e bragança,ベルトランド・デ・オルレアンス・イ・ブラガンサ,berutorando・de・orureansu・i・buragansa
sandy,サンディ,sandi
maiara walsh,マイアラ・ウォルシュ,maiara・worushu
abilio diniz,アビーリオ・ディニス,abīrio・dinisu
roberto dinamite,ロベルト・ディナミッチ,roberuto・dinamitchi
chico mendes,シコ・メンデス,shiko・mendesu
marina silva,マリナ・シルバ,marina・shiruba
zumbi dos palmares,ズンビ・ドス・パルマーレス,zunbi・dosu・parumāresu
astrud gilberto,アストラッド・ジルベルト,asutoraddo・jiruberuto
sônia braga,ソニア・ブラガ,sonia・buraga
ana beatriz barros,アナ・ベアトリス・バロス,ana・beatorisu・barosu
gal costa,ガル・コスタ,garu・kosuta
maria bethânia,マリア・ベターニア,maria・betānia
fritz müller,フリッツ・ミューラー,furittsu・myūrā
amauri carvalho de oliveira,アマウリ・カルヴァーリョ・デ・オリヴェイラ,amauri・karuvāryo・de・orivuェira
garrincha,ガリンシャ,garinsha
fábio de jesus,ファビオ・デ・ジェズス,fabio・de・jezusu
sérgio luís donizetti,セルジオ・ルイス・ドニゼッティ,serujio・ruisu・donizetti
márcio rodrigues,マルシオ・ロドリゲス,marushio・rodorigesu
joão batista da silva,ジョアン・バチスタ・ダ・シウバ,joan・bachisuta・da・shiuba
alfie enoch,アルフレッド・イーノック,arufureddo・īnokku
jennifer o'neill,ジェニファー・オニール,jenifā・onīru
jaqueline carvalho,ジャケリネ・カルバリョ,jakerine・karubaryo
joubert araújo martins,ジョベルト・アラウジョ・マルチンス,joberuto・araujo・maruchinsu
royce gracie,ホイス・グレイシー,hoisu・gureishī
alex raphael meschini,アレックス・ラファエウ・メスキーニ,arekkusu・rafaeu・mesukīni
jorge ferreira da silva,ジョルジ・フェレイラ・ダ・シウバ,joruji・fereira・da・shiuba
jefferson andrade siqueira,ジェフェルソン・アンドラーデ・シケイラ,jeferuson・andorāde・shikeira
sebastião lazaroni,セバスティアン・ラザロニ,sebasutian・razaroni
wanderson do carmo,ヴァンデルソン・ド・カルモ,vanderuson・do・karumo
josé sarney,ジョゼ・サルネイ,joze・sarunei
murilo endres,ムーリオ・エンドレス,mūrio・endoresu
kléber de carvalho correia,クレーベル・デ・カルヴァーリョ・コレイア,kurēberu・de・karuvāryo・koreia
evaristo de macedo,エヴァリスト・デ・マセド,evarisuto・de・masedo
francisca de bragança,フランソワーズ・ド・ブラガンス,furansowāzu・do・buragansu
raquel zimmermann,ラケル・ジマーマン,rakeru・jimāman
joel santana,ジョエル・サンタナ,joeru・santana
paulo cézar lima,パウロ・セーザル・リマ,pauro・sēzaru・rima
toninho cerezo,トニーニョ・セレーゾ,tonīnyo・serēzo
álvaro luiz maior de aquino,アウヴァーロ・ルイス・マイオル・ジ・アキノ,auvāro・ruisu・maioru・ji・akino
leopoldina de bragança,レオポルディナ・フォン・ブラジリエン,reoporudina・fon・burajirien
ânderson miguel da silva,アンデルソン・ミゲル・ダ・シウバ,anderuson・migeru・da・shiuba
toquinho,トッキーニョ,tokkīnyo
danilo gabriel de andrade,ダニーロ・ガブリエル・デ・アンドラーデ,danīro・gaburieru・de・andorāde
guilherme milhomem gusmão,ギリェルメ・ミリョメム・グスマン,giriェrume・miryomemu・gusuman
ismael nery,イスマエル・ネリ,isumaeru・neri
sérgio buarque de holanda,セルジオ・ブアルキ・ヂ・オランダ,serujio・buaruki・dji・oranda
eliane elias,イリアーヌ・イリアス,iriānu・iriasu
gylmar dos santos neves,ジウマール・ドス・サントス・ネヴェス,jiumāru・dosu・santosu・nevuェsu
sheilla castro,シェイラ・カストロ,sheira・kasutoro
thaísa daher,タイーザ・メネセス,taīza・menesesu
fabiana alvim,ファビアナ・オリベイラ,fabiana・oribeira
wallace souza,ウォレス・ソウザ,woresu・souza
maicon pereira roque,マイコン・ペレイラ・ロケ,maikon・pereira・roke
felipe kitadai,フェリペ・キタダイ,feripe・kitadai
dani lins,ダニエル・リンス,danieru・rinsu
hermeto pascoal,エルメート・パスコアール,erumēto・pasukoāru
roniéliton pereira santos,ロニエルトン・ペレイラ・サントス,ronieruton・pereira・santosu
chico xavier,シコ・シャヴィエル,shiko・shavieru
maicon thiago pereira de souza,マイコン・チアゴ・ペレイラ・ジ・ソウザ,maikon・chiago・pereira・ji・souza
bruna tenório,ブルーナ・テノリオ,burūna・tenorio
leandro cunha,レアンドロ・クーニャ,reandoro・kūnya
roberto mangabeira unger,ロベルト・マンガベイラ・アンガー,roberuto・mangabeira・angā
almeida júnior,アルメイダ・ジュニオール,arumeida・juniōru
anselmo duarte,アンセルモ・ドゥアルテ,anserumo・duarute
arthur moreira lima,アルトゥール・モレイラ・リマ,arutūru・moreira・rima
ronald biggs,ロナルド・ビッグズ,ronarudo・bigguzu
paula pequeno,パウラ・ペケーノ,paura・pekēno
fabiana claudino,ファビアナ・クラウジノ,fabiana・kuraujino
ruth cardoso,ルース・カルドーゾ,rūsu・karudōzo
huenes marcelo lemos,ヘネス・マルセロ・レモス,henesu・marusero・remosu
paulo isidoro de jesus,パウロ・イジドーロ・デ・ジェズス,pauro・ijidōro・de・jezusu
raul de souza,ラウル・ジ・スーザ,rauru・ji・sūza
érika coimbra,エリカ・コインブラ,erika・koinbura
rômulo borges monteiro,ロムロ・ボルジェス・モンテイロ,romuro・borujesu・monteiro
raudinei anversa freire,ハウジネイ・アニヴェルサ・フレイレ,haujinei・anivuェrusa・fureire
cristiane justino,クリスチャン・サイボーグ,kurisuchan・saibōgu
michelle alves,ミシェル・アルヴス,misheru・aruvusu
victor leandro bagy,ヴィクトル・レアンドロ・バジ,vikutoru・reandoro・baji
carlos lyra,カルロス・リラ,karurosu・rira
thiago alves,チアーゴ・アウヴェス,chiāgo・auvuェsu
luíza sá,ルイザ・サア,ruiza・saa
wallace de souza,バラセ・デ・ソウザ,barase・de・souza
wellington rocha dos santos,ウェリントン・ロシャ・ドス・サントス,werinton・rosha・dosu・santosu
lovefoxxx,ラヴフォックス,ravufokkusu
fernanda garay,フェルナンダ・ロドリゲス,ferunanda・rodorigesu
tancredo neves,タンクレード・ネーヴェス,tankurēdo・nēvuェsu
maria rita,マリア・ヒタ,maria・hita
larissa frança,ラリッサ・フランカ,rarissa・furanka
éder jofre,エデル・ジョフレ,ederu・jofure
fabrício werdum,ファブリシオ・ヴェウドゥム,faburishio・vuェudumu
anthony steffen,アンソニー・ステファン,ansonī・sutefan
camille cabral,カミーユ・カブラル,kamīyu・kaburaru
maya gabeira,マヤ・ガベイラ,maya・gabeira
kelvin mateus de oliveira,ケルヴィン・マテウス・デ・オリヴェイラ,keruvin・mateusu・de・orivuェira
joão paulo de oliveira,ジョアオ・パオロ・デ・オリベイラ,joao・paoro・de・oribeira
andré rienzo,アンドレ・リエンゾ,andore・rienzo
isadora williams,イサドラ・ウィリアムズ,isadora・wiriamuzu
leandro guilheiro,レアンドロ・ギルヘイロ,reandoro・giruheiro
fernanda ferreira,フェルナンダ・フェレイラ,ferunanda・fereira
tandara caixeta,タンダラ・カイシェタ,tandara・kaisheta
édson luciano,エジソン・リベイロ,ejison・ribeiro
natália pereira,ナタリア・ペレイラ,nataria・pereira
émerson luiz firmino,エメルソン・ルイス・フィルミーノ,emeruson・ruisu・firumīno
emerson leão,エメルソン・レオン,emeruson・reon
fábio camilo de brito,ファビオ・カミーリョ・デ・ブリト,fabio・kamīryo・de・burito
renato pé murcho,カルロス・レナト・フレデリコ,karurosu・renato・furederiko
licínio rangel,リシニオ・ランゲル,rishinio・rangeru
donato gama da silva,ドナト・ガマ・ダ・シウバ,donato・gama・da・shiuba
alexander kellner,アレクサンダー・ケルナー,arekusandā・kerunā
ryan gracie,ハイアン・グレイシー,haian・gureishī
sidmar antonio martins,シジマール・アントニオ・マルチンス,shijimāru・antonio・maruchinsu
arlindo cruz,アルリンド・クルス,arurindo・kurusu
césar lattes,セザーレ・ラッテス,sezāre・rattesu
jorge wagner,ジョルジ・ワグネル,joruji・waguneru
william júnior salles de lima souza,ヴィリアム・ジュニオール・サレス・ジ・リマ・ソウザ,viriamu・juniōru・saresu・ji・rima・souza
kiko loureiro,キコ・ルーレイロ,kiko・rūreiro
rodrigo defendi,ロドリゴ・デフェンジ,rodorigo・defenji
maria olívia da silva,マリア・オリヴィア・ダ・シウヴァ,maria・orivia・da・shiuva
lucas michel mendes,ルーカス・ミシェウ・メンデス,rūkasu・misheu・mendesu
claudinei da silva,クラウディネイ・ダ・シルバ,kuraudinei・da・shiruba
rafael suzuki,ラファエル・スズキ,rafaeru・suzuki
carlos andrade souza,カルロス・アンドラージ・ソウザ,karurosu・andorāji・souza
bruno soares,ブルーノ・ソアレス,burūno・soaresu
marjorie estiano,マルジョリエ・エスチアーノ,marujorie・esuchiāno
érico veríssimo,エリコ・ヴェリッシモ,eriko・vuェrisshimo
júlio césar da silva,ジュリオ・セザール・ダ・シウバ,jurio・sezāru・da・shiuba
pixinguinha,ピシンギーニャ,pishingīnya
milton vieira,ミルトン・ヴィエイラ,miruton・vieira
edgar bruno da silva,エジガル・ブルーノ・ダ・シウヴァ,ejigaru・burūno・da・shiuva
antônio meneses,アントニオ・メネセス,antonio・menesesu
thiago silva,チアゴ・シウバ,chiago・shiuba
joão carlos pinto chaves,ジョアン・カルロス・ピント・チャヴェス,joan・karurosu・pinto・chavuェsu
honório hermeto carneiro leão,オノリオ・エルメト・カルネイロ・レオン,onorio・erumeto・karuneiro・reon
zé carioca,ホセ・キャリオカ,hose・kyarioka
tiago della vega,チアゴ・デラ・ヴェガ,chiago・dera・vuェga
iracema trevisan,イラチェマ・トレヴィサン,irachema・torevisan
reinaldo vicente simão,レイナルド・ビセンチ・シモン,reinarudo・bisenchi・shimon
edmílson matias,エジミウソン・マティアス,ejimiuson・matiasu
arivaldo alves dos santos,アリバルド・アルベス・ドス・サントス,aribarudo・arubesu・dosu・santosu
renata colombo,レナタ・コロンボ,renata・koronbo
caio canedo correa,カイオ・カネド・コレア,kaio・kanedo・korea
maria gomes valentim,マリア・ゴメス・ヴァレンチン,maria・gomesu・varenchin
bia figueiredo,アナ・ベアトリス,ana・beatorisu
ernesto geisel,エルネスト・ガイゼル,erunesuto・gaizeru
rodrigo santoro,ロドリゴ・サントロ,rodorigo・santoro
mariana ximenes,マリアナ・シメネス,mariana・shimenesu
claudio santoro,クラウジオ・サントロ,kuraujio・santoro
giuliano tadeu aranda,ジュリアノ・タデュー・アランダ,juriano・tadyū・aranda
aquiles priester,アキレス・プリースター,akiresu・purīsutā
luciano corrêa,ルシアーノ・コヘア,rushiāno・kohea
césar cielo,セーザル・シエロ,sēzaru・shiero
cláudio taffarel,クラウディオ・タファレル,kuraudio・tafareru
antônio parreiras,アントニオ・パレイラス,antonio・pareirasu
argel fuchs,アルジェリコ・フックス,arujeriko・fukkusu
dino sani,ジノ・サニ,jino・sani
vágner rogério nunes,ヴァグネル・ロジェリオ・ヌネス,vaguneru・rojerio・nunesu
roger guerreiro,ロジェール・ゲレイロ,rojēru・gereiro
aldair,アウダイール,audaīru
lúcio costa,ルシオ・コスタ,rushio・kosuta
antônio de castro mayer,アントニオ・デ・カストロ・マイヤー,antonio・de・kasutoro・maiyā
wilson rodrigues fonseca,ウイルソン・ロドリゲス・フォンセカ,uiruson・rodorigesu・fonseka
edvaldo alves de santa rosa,エジヴァウド・アウヴェス・デ・サンタ・ローザ,ejivaudo・auvuェsu・de・santa・rōza
jonas eduardo américo,ジョナス・エドゥアルド・アメリコ,jonasu・eduarudo・ameriko
guilherme dos santos torres,ギリェルミ・ドス・サントス・トーレス,giriェrumi・dosu・santosu・tōresu
jaime melo,ハイメ・メロ,haime・mero
djalma santos,ジャウマ・サントス,jauma・santosu
cristiano marques gomes,クリスチアーノ・マルケス・ゴメス,kurisuchiāno・marukesu・gomesu
ricardo rogério de brito,リカルド・ロジェーリオ・デ・ブリト,rikarudo・rojērio・de・burito
glaube feitosa,グラウベ・フェイトーザ,guraube・feitōza
cícero santos,シセロ・サントス,shisero・santosu
marco antônio feliciano,マルコ・アントニオ・フェリシアーノ,maruko・antonio・ferishiāno
blanka,ブランカ,buranka
rodrigo sperafico,ロドリーゴ・スペラフィコ,rodorīgo・superafiko
max cavalera,マックス・カヴァレラ,makkusu・kavarera
diego cavalieri,ジエゴ・カバリエリ,jiego・kabarieri
caetano veloso,カエターノ・ヴェローゾ,kaetāno・vuェrōzo
café filho,カフェ・フィーリョ,kafe・fīryo
jânio quadros,ジャニオ・クアドロス,janio・kuadorosu
carlos roberto gallo,カルロス・ロベルト・ガーロ,karurosu・roberuto・gāro
daniel rezende,ダニエル・レゼンデ,danieru・rezende
oscar schmidt,オスカー・シュミット,osukā・shumitto
narciso dos santos,ナルシーゾ・ドス・サントス,narushīzo・dosu・santosu
fábio santos romeu,ファビオ・サントス・ロメウ,fabio・santosu・romeu
pedro weingärtner,ペドロ・ヴァインゲルトナー,pedoro・vaingerutonā
laurindo almeida,ローリンド・アルメイダ,rōrindo・arumeida
fabiano cezar viegas,ファビアーノ・セザル・ビエガス,fabiāno・sezaru・biegasu
muricy ramalho,ムリシ・ラマーリョ,murishi・ramāryo
josé carlos de almeida,ジョゼ・カルロス・ジ・アウメイダ,joze・karurosu・ji・aumeida
luís henrique pereira dos santos,ルイス・エンリケ・ペレイラ・ドス・サントス,ruisu・enrike・pereira・dosu・santosu
josé maria rodrigues alves,ジョゼ・マリア・ロドリゲス・アウヴェス,joze・maria・rodorigesu・auvuェsu
eliseu visconti,エリゼウ・ヴィスコンティ,erizeu・visukonti
josé ivanaldo de souza,ジョゼ・イヴァナウド・デ・ソウザ,joze・ivanaudo・de・souza
david bohm,デヴィッド・ボーム,deviddo・bōmu
machado de assis,マシャード・デ・アシス,mashādo・de・ashisu
artur bernardes,アルトゥール・ベルナルデス,arutūru・berunarudesu
walter wanderley,ワルター・ワンダレイ,warutā・wandarei
anita garibaldi,アニータ・ガリバルディ,anīta・garibarudi
washington luís,ワシントン・ルイス,washinton・ruisu
fábio henrique tavares,ファビオ・エンリケ・タバレス,fabio・enrike・tabaresu
ricardo souza silva,リカルド・ソウザ・シルバ,rikarudo・souza・shiruba
germano borovicz cardoso schweger,ジェルマーノ・ボロビック・カルドゾ・シュウェジェル,jerumāno・borobikku・karudozo・shuwejeru
mateus facho inocêncio,マテウス・ファッショ・イノセンシオ,mateusu・fassho・inosenshio
fernando henrique mariano,フェルナンド・エンリケ・マリアーノ,ferunando・enrike・mariāno
valdir espinosa,バウディール・エスピノーザ,baudīru・esupinōza
marco greco,マルコ・グレコ,maruko・gureko
gilberto da silva melo,ジウベルト・ダ・シウバ・メロ,jiuberuto・da・shiuba・mero
tostão,トスタン,tosutan
giuseppe ungaretti,ジュゼッペ・ウンガレッティ,juzeppe・ungaretti
paulo roberto falcão,パウロ・ロベルト・ファルカン,pauro・roberuto・farukan
thomaz bellucci,トマス・ベルッシ,tomasu・berusshi
sérgio cláudio dos santos,セルジオ・クラウディオ・ドス・サントス,serujio・kuraudio・dosu・santosu
deborah secco,デボラ・セコ,debora・seko
júlio césar rocha costa,ジュリオ・セザール・ロシャ・コスタ,jurio・sezāru・rosha・kosuta
