глюкоза,グリュコーザ,guryukōza
геленджик,ゲレンジーク,gerenjīku
старая ладога,スタラヤ・ラドガ,sutaraya・radoga
телецкое,テレツコイェコ,teretsukoyeko
прогресс,プログレスホキュウセン,puroguresuhokyuusen
камышин,カムイシン,kamuishin
калязин,カリャージン,karyājin
дружба,ドルジバパイプライン,dorujibapaipurain
камешково,カメシコヴォ,kameshikovuォ
джагды,ジャグドゥイサンミャク,jaguduisanmyaku
вконтакте,フコンタクテ,fukontakute
шхара,シュハラサン,shuharasan
обьенисейский канал,オビ・エニセイウンガ,obi・eniseiunga
подольск,ポドリスク,podorisuku
кандалакша,カンダラクシャ,kandarakusha
искра,イスクラ,isukura
лукойл,ルクオイル,rukuoiru
мгимо,モスクワコクサイカンケイダイガク,mosukuwakokusaikankeidaigaku
карабулак,カラブラク,karaburaku
карачаевск,カラチャエフスク,karachaefusuku
карачев,カラチェフ,karachefu
астрон,アストロン,asutoron
палтога,パルトガ,parutoga
мытищи,ムィティシ,muィtishi
ладушкин,ラードゥシキン,rādushikin
симферополь,シンフェロポリ,shinferopori
тасс,タスツウシン,tasutsuushin
кашин,カシン,kashin
ялта,ヤルタ,yaruta
каргополь,カルゴポリ,karugopori
забайкальск,ザバイカリスク,zabaikarisuku
касимов,カシモフ,kashimofu
нижегородский метрополитен,ニジニ・ノヴゴロドチカテツ,nijini・novugorodochikatetsu
листвянка,リストヴャンカ,risutovuャnka
футуризм,ミライハ,miraiha
кашира,カシーラ,kashīra
кемь,ケミ,kemi
дербент,デルベント,derubento
кизляр,キズリャル,kizuryaru
опочка,オポーチカ,opōchika
нерчинск,ネルチンスク,neruchinsuku
ахмат арена,アフマド・アレーナ,afumado・arēna
бион,ビオン,bion
хасавюрт,ハサヴユルト,hasavuyuruto
орочи,オロチゾク,orochizoku
кимры,キームルィ,kīmuruィ
кимовск,キモフスク,kimofusuku
кинель,キネリ,kineri
белушья губа,ベルーシャ・グバ,berūsha・guba
демянск,デミャンスク,demyansuku
царицыно,ツァリツィノコウエン,tsaritsinokouen
лача,ラチャコ,rachako
байкалоамурская магистраль,バイカル・アムールテツドウ,baikaru・amūrutetsudou
лакинск,ラキンスク,rakinsuku
киреевск,キレーエフスク,kirēefusuku
кинешма,キネシマ,kineshima
интерфакс,インテルファクスツウシン,interufakusutsuushin
кисловодск,キスロヴォツク,kisurovuォtsuku
киренск,キレンスク,kirensuku
киржач,キルジャチ,kirujachi
калинка,カリンカ,karinka
уланудэнский трамвай,ウラン・ウデシデン,uran・udeshiden
кировск,キロフスク,kirofusuku
черский,チェルスキー,cherusukī
климовск,クリモフスク,kurimofusuku
клин,クリン,kurin
клинцы,クリンツィ,kurintsi
кола,コラ,kora
кологрив,コログリフ,korogurifu
козельск,コゼリスク,kozerisuku
агинское,アギンスコエ,aginsukoe
когалым,コガリム,kogarimu
ковылкино,コビルキノ,kobirukino
кольчугино,コリチューギノ,korichūgino
конаково,コナコヴォ,konakovuォ
кондопога,コンドポガ,kondopoga
кондрово,コンドロヴォ,kondorovuォ
королёв,コロリョフ,kororyofu
кораблино,コラブリノ,koraburino
туруханск,トゥルハンスク,turuhansuku
сихотэалинь,シホテアリニサンミャク,shihotearinisanmyaku
корсаков,コルサコフ,korusakofu
костерёво,コスチェリョヴォ,kosucheryovuォ
коряжма,コリャジュマ,koryajuma
котельники,コチェリニキ,kocheriniki
красногорск,クラスノゴルスク,kurasunogorusuku
аян,アヤン,ayan
краснозаводск,クラスノザヴォツク,kurasunozavuォtsuku
краснознаменск,クラスノズナメンスク,kurasunozunamensuku
котлас,コトラス,kotorasu
котельнич,コテリニチ,koterinichi
красноармейск,クラスノアルメイスク,kurasunoarumeisuku
яковлев,イルクート,irukūto
новошахтинск,ノヴォシャフチンスク,novuォshafuchinsuku
красный сулин,クラスヌイ・スリン,kurasunui・surin
суржик,スルジク,surujiku
красный холм,クラスヌイ・ホルム,kurasunui・horumu
кронштадт,クロンシュタット,kuronshutatto
кстово,クストヴォ,kusutovuォ
аник,アニクサン,anikusan
тикси,ティクシ,tikushi
кувшиново,クフシノヴォ,kufushinovuォ
кудымкар,クディムカル,kudimukaru
нанайцы,ナナイ,nanai
амдерма,アンジェルマ,anjeruma
вятское,ヴャツコエ,vuャtsukoe
лениногорск,レニノゴルスク,reninogorusuku
ашкеназы,アシュケナジム,ashukenajimu
курильск,クリリスク,kuririsuku
курлово,クルロヴォ,kururovuォ
беломорскобалтийский канал,シロウミ・バルトカイウンガ,shiroumi・barutokaiunga
трансаэро,トランスアエロコウクウ,toransuaerokoukuu
лабытнанги,ラビトナンギ,rabitonangi
кяхта,キャフタ,kyafuta
маяк,マヤークカクギジュツシセツ,mayākukakugijutsushisetsu
бураново,ブラノボ,buranobo
керчь,ケルチ,keruchi
находка,ナホトカ,nahotoka
лаишево,ライシェヴォ,raishevuォ
росатом,ロスアトム,rosuatomu
дыхтау,ディフタウ,difutau
рубль ссср,ソビエトレンポウ・ルーブル,sobietorenpou・rūburu
лесозаводск,レソザヴォーツク,resozavuォーtsuku
леон сатурн,サトゥルン・ラメンスコーエ,saturun・ramensukōe
ленск,レンスク,rensuku
атсонупури,アトサダケ,atosadake
таннуола,タンドゥサンミャク,tandusanmyaku
сретенье,グロムニツァ,guromunitsa
ливны,リーヴヌィ,rīvunuィ
ломоносов,ロモノソフ,romonosofu
липки,リプキ,ripuki
лихославль,リホスラヴリ,rihosuravuri
лиски,リスキ,risuki
ангара,アンガラ,angara
макаров,マカロフ,makarofu
земля георга,ゼムリャ・ゲオルグ,zemurya・georugu
любим,リュビーム,ryubīmu
людиново,リュジノヴォ,ryujinovuォ
москвич,モスクヴィッチ,mosukuvitchi
китеж,キーテジ,kīteji
луховицы,ルホヴィツィ,ruhovitsi
парус,ホイワ,hoiwa
макарьев,マカリエフ,makariefu
малая вишера,マーラヤ・ヴィシェラ,māraya・vishera
малгобек,マルゴベク,marugobeku
архара,アルハラ,aruhara
малоархангельск,マロアルハンゲリスク,maroaruhangerisuku
малоярославец,マロヤロスラヴェツ,maroyarosuravuェtsu
мамадыш,ママディシュ,mamadishu
мамоново,マモノヴォ,mamonovuォ
гопники,ゴプニク,gopuniku
тятя,チャチャダケ,chachadake
мглин,ムグリン,mugurin
мегион,メギオン,megion
медвежьегорск,メドヴェジエゴルスク,medovuェjiegorusuku
мантурово,マントゥロヴォ,manturovuォ
хибины,ヒビヌイサンミャク,hibinuisanmyaku
северсталь,セヴェルスターリ,sevuェrusutāri
дальавиа,ダリアビアコウクウ,dariabiakoukuu
ленфильм,レンフィルム,renfirumu
медынь,メドゥイニ,meduini
межгорье,メジゴーリエ,mejigōrie
междуреченск,メジュドゥレチェンスク,mejudurechensuku
арена химки,アレナ・ヒムキ,arena・himuki
мензелинск,メンゼリンスク,menzerinsuku
мещовск,メシチョフスク,meshichofusuku
меленки,メレンキ,merenki
менделеевск,メンデレーエフスク,menderēefusuku
атомфлот,アトムフロート,atomufurōto
сочи,ソチ,sochi
минеральные воды,ミネラーリヌィエ・ヴォードィ,minerārinuィe・vuォーdoィ
минусинск,ミヌシンスク,minushinsuku
забайкалье,ザバイカル,zabaikaru
российский рубль,ロシア・ルーブル,roshia・rūburu
мичуринск,ミチュリンスク,michurinsuku
михайлов,ミハイロフ,mihairofu
пограничный,ポグラニチニ,poguranichini
можайск,モジャイスク,mojaisuku
мончегорск,モンチェゴルスク,monchegorusuku
ленин,レーニン,rēnin
охотск,オホーツク,ohōtsuku
монголы,モンゴルミンゾク,mongoruminzoku
пятигорск,ピャチゴルスク,pyachigorusuku
мосальск,モサリスク,mosarisuku
красный яр,クラスニヤール・クラスノヤルスク,kurasuniyāru・kurasunoyarusuku
раменское,ラメンスコエ,ramensukoe
муром,ムーロム,mūromu
мценск,ムツェンスク,mutsensuku
эльбрус,エルブルスサン,eruburususan
мышкин,ムィシュキン,muィshukin
коломенское,コローメンスコエ,korōmensukoe
атомстройэкспорт,アトムストロイエクスポルト,atomusutoroiekusuporuto
неро,ネロコ,neroko
назрань,ナズラン,nazuran
боголюбово,ボゴリュボヴォ,bogoryubovuォ
южный поток,サウス・ストリーム,sausu・sutorīmu
невель,ネヴェリ,nevuェri
невельск,ネベリスク,neberisuku
шуховская башня,シューホフ・タワー,shūhofu・tawā
союзное государство,ベラルーシ・ロシアレンゴウコッカ,berarūshi・roshiarengoukokka
невинномысск,ネヴィンノムイスク,nevinnomuisuku
уйгуры,ウイグル,uiguru
моздок,モズドク,mozudoku
ардон,アルドン,arudon
аврора,アヴローラ,avurōra
переделкино,ペレデルキノ,perederukino
орск,オルスク,orusuku
торопец,トロペツ,toropetsu
мир,ミール,mīru
толбачик,トルバチクサン,torubachikusan
тобольск,トボリスク,toborisuku
новая газета,ノーヴァヤ・ガゼータ,nōvaya・gazēta
таганрог,タガンログ,taganrogu
ржд арена,ロコモティフ・スタジアム,rokomotifu・sutajiamu
императорский царскосельский лицей,ツァールスコエ・セロー・リツェイ,tsārusukoe・serō・ritsei
академик ломоносов,アカデミック・ロモノソフ,akademikku・romonosofu
еникале,イエニカレ,ienikare
аркона,アルコナ,arukona
шивелуч,シベルチサン,shiberuchisan
нерехта,ネレフタ,nerefuta
нелидово,ネリドヴォ,neridovuォ
нерюнгри,ネリュングリ,neryunguri
слободская украина,スロボダ・ウクライナ,suroboda・ukuraina
черноморскокаспийская степь,ポントス・カスピカイソウゲン,pontosu・kasupikaisougen
пеники,ペニキ,peniki
олонец,オロネツ,oronetsu
нестеров,ネステロフ,nesuterofu
нея,ニェヤ,niェya
мариинск,マリインスク,mariinsuku
нижневартовск,ニジネヴァルトフスク,nijinevarutofusuku
нижнекамск,ニジネカムスク,nijinekamusuku
казанский кремль,カザン・クレムリン,kazan・kuremurin
диксон,ディクソン,dikuson
союзмультфильм,ソユーズムリトフィルム,soyūzumuritofirumu
фенноскандия,フェノスカンジア,fenosukanjia
холмогоры,ホルモゴルイ,horumogorui
нововоронеж,ノヴォヴォロネジ,novuォvuォroneji
сочи автодром,ソチ・オートドローム,sochi・ōtodorōmu
мангазея,マンガゼヤ,mangazeya
новозыбков,ノヴォズィプコフ,novuォzipukofu
новодвинск,ノヴォドヴィンスク,novuォdovinsuku
ряжск,リャジスク,ryajisuku
палана,パラナ,parana
авиадвигатель,アヴィアドヴィガーテリ,aviadovigāteri
новокуйбышевск,ノヴォクイビシェフスク,novuォkuibishefusuku
новомичуринск,ノヴォミチュリンスク,novuォmichurinsuku
новомосковск,ノヴォモスコフスク,novuォmosukofusuku
новоржев,ノヴォルジェフ,novuォrujefu
новосиль,ノヴォシリ,novuォshiri
новосокольники,ノヴォソコリニキ,novuォsokoriniki
ноглики,ノグリキ,noguriki
ольга,オリガ,origa
лесогорское,メイコウマチ,meikoumachi
метровагонмаш,メトロワゴンマッシュ,metorowagonmasshu
эльгыгытгын,エリギギトギンコ,erigigitoginko
новый уренгой,ノヴィ・ウレンゴイ,novi・urengoi
ногинск,ノギンスク,noginsuku
норильск,ノリリスク,noririsuku
нурлат,ヌルラト,nururato
ноябрьск,ノヤブリスク,noyaburisuku
бырранга,ビルランガサンミャク,birurangasanmyaku
чита,チタ,chita
нюрба,ニュルバ,nyuruba
новочеркасск,ノヴォチェルカッスク,novuォcherukassuku
няндома,ニャンドマ,nyandoma
нягань,ニャガン,nyagan
новочебоксарск,ノヴォチェボクサルスク,novuォchebokusarusuku
обнинск,オブニンスク,obuninsuku
одинцово,オジンツォボ,ojintsobo
ожерелье,オジェリェーリエ,ojeriェーrie
земля вильчека,ゼムリャ・ビリチェク,zemurya・biricheku
остров,オストロフ,osutorofu
осташков,オスタシコフ,osutashikofu
озёрск,オジョルスク,ojorusuku
хасан,ハサンコ,hasanko
независимая газета,ニェザヴィーシマヤ・ガゼータ,niェzavīshimaya・gazēta
александроневская лавра,アレクサンドル・ネフスキーダイシュウドウイン,arekusandoru・nefusukīdaishuudouin
базовый элемент,ベーシック・エレメント,bēshikku・eremento
башнефть,バシネフチ,bashinefuchi
баскунчак,バスクンチャクコ,basukunchakuko
олёкминск,オリョークミンスク,oryōkuminsuku
окуловка,オクロフカ,okurofuka
газпром арена,ガスプロム・アリーナ,gasupuromu・arīna
белуха,ベルーハサン,berūhasan
онега,オネガ,onega
бурлак,フネビキ,funebiki
базардюзю,バザルデュジサン,bazarudyujisan
оха,オハ,oha
павловск,パヴロフスク,pavurofusuku
мамаев курган,ママエフ・クルガン,mamaefu・kurugan
павловский посад,パヴロフスキー・ポサド,pavurofusukī・posado
партизанск,パルチザンスク,paruchizansuku
певек,ペヴェク,pevuェku
устьордынский,ウスチオルディンスキー,usuchiorudinsukī
палатка,パラトカ,paratoka
петропавловский собор,シュザシトペトル・パウェルダイセイドウ,shuzashitopetoru・pawerudaiseidou
волгодонской канал,ヴォルガ・ドンウンガ,vuォruga・donunga
пионерский,ピオネールスキー,pionērusukī
печоры,ペチョールィ,pechōruィ
красная звезда,クラスナヤ・ズヴェズダ,kurasunaya・zuvuェzuda
петергоф,ペテルゴフ,peterugofu
пестово,ペストヴォ,pesutovuォ
карачай,カラチャイコ,karachaiko
петушки,ペトゥシキ,petushiki
ванино,ワニノ,wanino
печора,ペチョラ,pechora
безымянный,ベズイミアニサン,bezuimianisan
интеркосмос,インターコスモス,intākosumosu
берутарубе,ベルタルベヤマ,berutarubeyama
плавск,プラフスク,purafusuku
плёс,プリョス,puryosu
блестящие,ブレスチャーシチエ,buresuchāshichie
останкинская телебашня,オスタンキノ・タワー,osutankino・tawā
покровск,ポクロフスク,pokurofusuku
слюдянка,スリュジャンカ,suryujanka
