andrzej wajda,アンジェイ・ワイダ,anjei・waida
władysław sikorski,ヴワディスワフ・シコルスキ,vuwadisuwafu・shikorusuki
emmanuel olisadebe,エマヌエル・オリサデベ,emanueru・orisadebe
jerzy janowicz,イェジ・ヤノヴィッツ,yeji・yanovittsu
kazimierz funk,カシミール・フンク,kashimīru・funku
ryszard szurkowski,ルィシャルド・シュルコヴスキ,ruィsharudo・shurukovusuki
paweł klecki,パウル・クレツキ,pauru・kuretsuki
bezprym,ベスプリム,besupurimu
łukasz piszczek,ウカシュ・ピシュチェク,ukashu・pishucheku
georges charpak,ジョルジュ・シャルパク,joruju・sharupaku
krzysztof penderecki,クシシュトフ・ペンデレツキ,kushishutofu・penderetsuki
leon feldhendler,レオン・フェルトヘンドラー,reon・ferutohendorā
daniel libeskind,ダニエル・リベスキンド,danieru・ribesukindo
sebastian boenisch,セバスティアン・ボエニシュ,sebasutian・boenishu
jerzy popiełuszko,イエジ・ポピエウシュコ,ieji・popieushuko
witold lutosławski,ヴィトルト・ルトスワフスキ,vitoruto・rutosuwafusuki
władysław szpilman,ウワディスワフ・シュピルマン,uwadisuwafu・shupiruman
romain gary,ロマン・ガリー,roman・garī
marek grechuta,マレク・グレフタ,mareku・gurefuta
magdalena abakanowicz,マグダレーナ・アバカノヴィッチ,magudarēna・abakanovitchi
wojciech marczewski,ヴォイチェフ・マルチェフスキ,vuォichefu・maruchefusuki
stanisław kozierowski,スタニスワフ・コジエロフスキ,sutanisuwafu・kojierofusuki
teodor leszetycki,テオドル・レシェティツキ,teodoru・reshetitsuki
marian dudziak,マリアン・ドゥジアック,marian・dujiakku
gabriel chmura,ガブリエル・フムラ,gaburieru・fumura
artur rodziński,アルトゥール・ロジンスキ,arutūru・rojinsuki
łukasz fabiański,ウカシュ・ファビアンスキ,ukashu・fabiansuki
leonid hurwicz,レオニード・ハーヴィッツ,reonīdo・hāvittsu
anna maria jopek,アナ・マリア・ヨペック,ana・maria・yopekku
bronisław geremek,ブロニスワフ・ゲレメク,buronisuwafu・geremeku
leszek kołakowski,レシェク・コワコフスキ,resheku・kowakofusuki
henryk sienkiewicz,ヘンリク・シェンキェヴィチ,henriku・shenkiェvichi
robert kubica,ロバート・クビサ,robāto・kubisa
janusz kamiński,ヤヌス・カミンスキー,yanusu・kaminsukī
zygmunt bauman,ジグムント・バウマン,jigumunto・bauman
wisława szymborska,ヴィスワヴァ・シンボルスカ,visuwava・shinborusuka
rob van dam,ロブ・ヴァン・ダム,robu・van・damu
bronisław komorowski,ブロニスワフ・コモロフスキ,buronisuwafu・komorofusuki
marian rejewski,マリアン・レイェフスキ,marian・reyefusuki
jarosław iwaszkiewicz,ヤロスワフ・イヴァシュキェヴィッチ,yarosuwafu・ivashukiェvitchi
czesław miłosz,チェスワフ・ミウォシュ,chesuwafu・miwoshu
szymon askenazy,シモン・アスケナジ,shimon・asukenaji
marek edelman,マレク・エデルマン,mareku・ederuman
jerzy kawalerowicz,イェジー・カヴァレロヴィチ,yejī・kavarerovichi
jan urban,ヤン・ウルバン,yan・uruban
jerzy konstanty czartoryski,イェジ・コンスタンティ・チャルトリスキ,yeji・konsutanti・charutorisuki
ernest wilimowski,エルンスト・ヴィリモフスキ,erunsuto・virimofusuki
david seymour,デヴィッド・シーモア,deviddo・shīmoa
zdzisław hoffmann,ズジスワフ・ホフマン,zujisuwafu・hofuman
kazimierz kuratowski,カジミェシュ・クラトフスキ,kajimiェshu・kuratofusuki
stefan wyszyński,ステファン・ヴィシンスキー,sutefan・vishinsukī
wit stwosz,ファイト・シュトース,faito・shutōsu
michał żyro,ミハウ・ジロ,mihau・jiro
władysław anders,ヴワディスワフ・アンデルス,vuwadisuwafu・anderusu
michał bąkiewicz,ミハウ・ボンキェビッチ,mihau・bonkiェbitchi
mariusz fyrstenberg,マリウシュ・フィルステンベルク,mariushu・firusutenberuku
zbigniew cybulski,ズビグニェフ・ツィブルスキ,zubiguniェfu・tsiburusuki
zbigniew,ズビグニェフ,zubiguniェfu
piotr kowalski,ピオトル・コワルスキー,piotoru・kowarusukī
piotr żyła,ピオトル・ジワ,piotoru・jiwa
stanisław cyganiewicz,スタニスラウス・ズビシュコ,sutanisurausu・zubishuko
ernest pohl,エルンスト・ポール,erunsuto・pōru
witold rowicki,ヴィトルド・ロヴィツキ,vitorudo・rovitsuki
jerzy semkow,イェジー・セムコフ,yejī・semukofu
rafał majka,ラファウ・マイカ,rafau・maika
zygmunt stojowski,ジグムント・ストヨフスキ,jigumunto・sutoyofusuki
krzysztof matyjaszewski,クリストフ・マテャシェフスキー,kurisutofu・mateャshefusukī
dariusz wolski,ダリウス・ウォルスキー,dariusu・worusukī
etgar keret,エトガル・ケレット,etogaru・keretto
jerzy skolimowski,イエジー・スコリモフスキ,iejī・sukorimofusuki
adrian mierzejewski,アドリアン・ミェジェイェフスキ,adorian・miェjeyefusuki
robert zajonc,ロバート・ザイアンス,robāto・zaiansu
witold pyrkosz,ヴィトルト・プィルコシュ,vitoruto・puィrukoshu
paweł słowiński,ポール・スロウィンスキー,pōru・surowinsukī
roman polański,ロマン・ポランスキー,roman・poransukī
wojciech gerson,ヴォイチェフ・ゲルソン,vuォichefu・geruson
piotr anderszewski,ピョートル・アンデルジェフスキ,pyōtoru・anderujefusuki
ansgar pichen,アンスカー・ピヒン,ansukā・pihin
bohdan paczyński,ボフダン・パチンスキ,bofudan・pachinsuki
józef paczoski,ヨゼフ・パチョスキ,yozefu・pachosuki
mieczysław horszowski,ミェチスワフ・ホルショフスキ,miェchisuwafu・horushofusuki
zenon jankowski,ゼノン・ヤンコフスキ,zenon・yankofusuki
aleksander kakowski,アレクサンデル・カコフスキ,arekusanderu・kakofusuki
andrzej kubica,アンジェイ・クビツァ,anjei・kubitsa
jacek zieliński,ヤツェク・ジェリンスキ,yatseku・jerinsuki
david zabriskie,デヴィッド・ザブリスキー,deviddo・zaburisukī
benedykt dybowski,ベネディクト・ディボフスキィ,benedikuto・dibofusukiィ
wojciech skupień,ヴォイチェフ・スクーピエン,vuォichefu・sukūpien
tomasz jodłowiec,トマシュ・ヨドウォヴィエツ,tomashu・yodowovietsu
zbigniew preisner,ズビグニエフ・プレイスネル,zubiguniefu・pureisuneru
zbigniew namysłowski,ズビグニエフ・ナミスオフスキ,zubiguniefu・namisuofusuki
krzysztof ławrynowicz,クシシュトフ・ラヴリノヴィチ,kushishutofu・ravurinovichi
robert acquafresca,ロベルト・アクアフレスカ,roberuto・akuafuresuka
dariusz ławrynowicz,ダリウシュ・ラヴリノヴィチ,dariushu・ravurinovichi
serge silberman,セルジュ・シルベルマン,seruju・shiruberuman
zbigniew rybczyński,ズビグニュー・リプチンスキー,zubigunyū・ripuchinsukī
zbigniew seifert,ズビグニェフ・セイフェルト,zubiguniェfu・seiferuto
bronisław gimpel,ブロニスワフ・ギンペル,buronisuwafu・ginperu
bronisław kaper,ブロニスラウ・ケイパー,buronisurau・keipā
victor sikora,ヴィクトル・シコラ,vikutoru・shikora
jan mikusiński,ヤン・ミクシンスキー,yan・mikushinsukī
stanisław przybyszewski,スタニスワフ・プシビシェフスキ,sutanisuwafu・pushibishefusuki
edward klabiński,エドゥアール・クラビニスキ,eduāru・kurabinisuki
stanisław wycech,スタニスワフ・ヴィツェフ,sutanisuwafu・vitsefu
tomasz rząsa,トマシュ・ジョンサ,tomashu・jonsa
jan werner,ヤン・ヴェルナー,yan・vuェrunā
ryszard bakst,リシャルト・バクスト,risharuto・bakusuto
piotr świerczewski,ピオトル・シビエルチェフスキ,piotoru・shibieruchefusuki
mark grudzielanek,マーク・グルジラネック,māku・gurujiranekku
dan dickau,ダン・ディッカウ,dan・dikkau
zdzisław beksiński,ズジスワフ・ベクシンスキー,zujisuwafu・bekushinsukī
jack tramiel,ジャック・トラミエル,jakku・toramieru
szalom asz,ショーレム・アッシュ,shōremu・asshu
alain finkielkraut,アラン・フィンケルクロート,aran・finkerukurōto
mariusz siudek,マリウス・シュデク,mariusu・shudeku
maciej sadlok,マチェイ・サドロク,machei・sadoroku
meir wilner,メイル・ヴィルナー,meiru・virunā
paweł pawlikowski,パヴェウ・パヴリコフスキ,pavuェu・pavurikofusuki
timothée kolodziejczak,ティモテー・コロジエチャク,timotē・korojiechaku
stanisław skalski,スタニスワフ・スカルスキ,sutanisuwafu・sukarusuki
tomasz stańko,トーマス・スタンコ,tōmasu・sutanko
boris sawinkow,ボリス・サヴィンコフ,borisu・savinkofu
mariusz stępiński,マリウシュ・ステピンスキ,mariushu・sutepinsuki
dorota medyńska,ドロタ・メディンスカ,dorota・medinsuka
tomasz wójtowicz,トマシュ・ボイトビッチ,tomashu・boitobitchi
franciszek gąsienica groń,フランチシェック・ガシエニカ・グロン,furanchishekku・gashienika・guron
paweł huelle,パヴェウ・ヒュレ,pavuェu・hyure
władysław bartoszewski,ヴワディスワフ・バルトシェフスキ,vuwadisuwafu・barutoshefusuki
michel jazy,ミシェル・ジャジ,misheru・jaji
władysław odonic,ヴワディスワフ・オドニツ,vuwadisuwafu・odonitsu
leszek możdżer,レシェック・モジジェル,reshekku・mojijeru
emerson fittipaldi,エマーソン・フィッティパルディ,emāson・fittiparudi
stanisława walasiewicz,スタニスラワ・ワラシェビッチ,sutanisurawa・warashebitchi
janusz kusociński,ヤヌス・クソチンスキー,yanusu・kusochinsukī
łukasz załuska,ウカシュ・ザウスカ,ukashu・zausuka
łukasz szukała,ウカシュ・シュカワ,ukashu・shukawa
łukasz żygadło,ウーカシュ・ジガドウォ,ūkashu・jigadowo
wojciech kurtyka,ヴォイテク・クルティカ,vuォiteku・kurutika
julia hartwig,ユリア・ハルトヴィク,yuria・harutoviku
piotr michałowski,ピョートル・ミハウォフスキ,pyōtoru・mihawofusuki
władysław żeleński,ヴワディスワフ・ジェレンスキ,vuwadisuwafu・jerensuki
jacek chmielnik,ジャック・チェミルニク,jakku・chemiruniku
agata buzek,アガタ・ブゼク,agata・buzeku
józef michał poniatowski,ユゼフ・ミハウ・ポニャトフスキ,yuzefu・mihau・ponyatofusuki
antoni łaciak,アントニ・ワチアク,antoni・wachiaku
antoni wit,アントニ・ヴィト,antoni・vito
władysław kowalski,キラー・コワルスキー,kirā・kowarusukī
rafał kalinowski,ラファエル・カリノフスキー,rafaeru・karinofusukī
wojciech weiss,ヴォイチェフ・ヴァイス,vuォichefu・vaisu
jerzy makarczyk,イェジ・マカルチク,yeji・makaruchiku
janusz franciszek radziwiłł,ヤヌシュ・フランチシェク・ラジヴィウ,yanushu・furanchisheku・rajiviu
michał urbaniak,マイケル・ウルバニアク,maikeru・urubaniaku
agata zubel,アガタ・ズベル,agata・zuberu
agenor romuald gołuchowski,アゲノル・ロムアルト・ゴウホフスキ,agenoru・romuaruto・gouhofusuki
agnieszka duczmal,アグニェシュカ・ドゥチマル,aguniェshuka・duchimaru
filip bednarek,フィリップ・ベドナレク,firippu・bedonareku
michał przysiężny,ミハル・プシシェズニ,miharu・pushishezuni
tomasz adamek,トマシュ・アダメク,tomashu・adameku
łukasz jarosz,ルーカス・ヤロス,rūkasu・yarosu
harald konopka,ハーラルト・コノプカ,hāraruto・konopuka
wojciech szczęsny,ヴォイチェフ・シュチェスニー,vuォichefu・shuchesunī
łeonid krawczuk,レオニード・クラフチュク,reonīdo・kurafuchuku
icchok lejb perec,イツホク・レイブシュ・ペレツ,itsuhoku・reibushu・peretsu
maciej słomczyński,マチェイ・スウォムチンスキー,machei・suwomuchinsukī
zenon jaskuła,ゼノン・ヤスクワ,zenon・yasukuwa
sławomir peszko,スワヴォミル・ペシュコ,suwavuォmiru・peshuko
dan marino,ダン・マリーノ,dan・marīno
artur rubinstein,アルトゥール・ルービンシュタイン,arutūru・rūbinshutain
krzysztof komeda,クシシュトフ・コメダ,kushishutofu・komeda
andrzej buncol,アンジェイ・ブンツォル,anjei・buntsoru
igor mitoraj,イゴール・ミトライ,igōru・mitorai
wojciech fortuna,ヴォイチェフ・フォルトゥナ,vuォichefu・forutuna
aleksander gierymski,アレクサンデル・ギェルィムスキ,arekusanderu・giェruィmusuki
janusz kierzkowski,ヤヌシュ・キエジュコヴスキ,yanushu・kiejukovusuki
jerzy dudek,イェジー・ドゥデク,yejī・dudeku
wacław niżyński,ヴァーツラフ・ニジンスキー,vātsurafu・nijinsukī
władysław taczanowski,ヴワディスワフ・タチャノフスキ,vuwadisuwafu・tachanofusuki
carl yastrzemski,カール・ヤストレムスキー,kāru・yasutoremusukī
waldemar baszanowski,ヴァルデマル・バシャノフスキ,varudemaru・bashanofusuki
michał kwiatkowski,ミハウ・クフャトコフスキ,mihau・kufuャtokofusuki
andrzej ancuta,アンジェイ・アンクタ,anjei・ankuta
jan nagórski,ヤン・ナグルスキ,yan・nagurusuki
piotr celeban,ピョートル・ツェレバン,pyōtoru・tsereban
cesare benedetti,チェーザレ・ベネデッティ,chēzare・benedetti
paweł edelman,パヴェル・エデルマン,pavuェru・ederuman
marcin urbaś,マルチン・ウルバス,maruchin・urubasu
nâzım hikmet,ナーズム・ヒクメット,nāzumu・hikumetto
oscar lewicki,オスカル・レヴィツキ,osukaru・revitsuki
jan wnęk,ヤン・ヴネンク,yan・vunenku
sebastian świderski,セバスチャン・シフィデフスキ,sebasuchan・shifidefusuki
mitch kupchak,ミッチ・カプチャック,mitchi・kapuchakku
janusz sidło,ヤヌス・シドウォ,yanusu・shidowo
tadeusz kasprzycki,タデウシュ・カスプシツキ,tadeushu・kasupushitsuki
gintaras steponavičius,ギンタラス・ステポナヴィチュス,gintarasu・suteponavichusu
antoni zajkowski,アントニー・ザイコフスキー,antonī・zaikofusukī
grzegorz bodziana,グジェゴシ・ボジアナ,gujegoshi・bojiana
jean graczyk,ジャン・グラチィク,jan・gurachiィku
stanisław skrowaczewski,スタニスワフ・スクロヴァチェフスキ,sutanisuwafu・sukurovachefusuki
eugenia umińska,エウゲニア・ウミンスカ,eugenia・uminsuka
tomasz frankowski,トーマス・フランコフスキー,tōmasu・furankofusukī
artur boruc,アルトゥール・ボルツ,arutūru・borutsu
alfred tarski,アルフレト・タルスキ,arufureto・tarusuki
agnieszka radwańska,アグニエシュカ・ラドワンスカ,agunieshuka・radowansuka
szymon ziółkowski,シモン・ジョルコフスキ,shimon・jorukofusuki
adam małysz,アダム・マリシュ,adamu・marishu
dorota siudek,ドロタ・シュデク,dorota・shudeku
maria kwaśniewska,マリア・クファシニェフスキ,maria・kufashiniェfusuki
marcin wasilewski,マルチン・ボシレフスキ,maruchin・boshirefusuki
piotr sobociński,ピョートル・ソボチンスキー,pyōtoru・sobochinsukī
krzysztof miętus,クシシュトフ・ミエトゥス,kushishutofu・mietusu
paweł zagumny,パベウ・ザグムニ,pabeu・zagumuni
leon pinsker,レオン・ピンスケル,reon・pinsukeru
beatrycze świdnicka,ベアトリチェ・シフィドニツカ,beatoriche・shifidonitsuka
anna miros,アンナ・ポドレッツ,anna・podorettsu
halina górecka,ハリナ・ゴレツカ,harina・goretsuka
dariusz michalczewski,ダリユシュ・ミハルチェフスキ,dariyushu・miharuchefusuki
andrzej panufnik,アンジェイ・パヌフニク,anjei・panufuniku
jerzy edigey,イェジィ・エディゲイ,yejiィ・edigei
maria kaczyńska,マリア・カチンスカ,maria・kachinsuka
felix nussbaum,フェリックス・ヌスバウム,ferikkusu・nusubaumu
abraham joshua heschel,アブラハム・ヨシュア・ヘッシェル,aburahamu・yoshua・hessheru
ryszard kapuściński,リシャルト・カプシチンスキ,risharuto・kapushichinsuki
jerzy fitelberg,イェジー・フィテルベルク,yejī・fiteruberuku
wanda jakubowska,ヴァンダ・ヤクボフスカ,vanda・yakubofusuka
anna langfus,アンナ・ラングフュス,anna・rangufyusu
jan krenz,ヤン・クレンツ,yan・kurentsu
krzysztof meyer,クシシュトフ・メイエル,kushishutofu・meieru
james pawelczyk,ジェームズ・パウェルチェイク,jēmuzu・pawerucheiku
moriz rosenthal,モーリツ・ローゼンタール,mōritsu・rōzentāru
jan karski,ヤン・カルスキ,yan・karusuki
damien perquis,ダミアン・ペルキ,damian・peruki
michel schwalbé,ミシェル・シュヴァルベ,misheru・shuvarube
bob kurland,ボブ・カーランド,bobu・kārando
michał kalecki,ミハウ・カレツキ,mihau・karetsuki
paweł kieszek,パヴェウ・キェシェク,pavuェu・kiェsheku
rené leibowitz,ルネ・レイボヴィッツ,rune・reibovittsu
tadeusz szeligowski,タデウシュ・シェリゴフスキ,tadeushu・sherigofusuki
tony zale,トニー・ゼール,tonī・zēru
emil młynarski,エミル・ムイナルスキ,emiru・muinarusuki
marek kamiński,マレック・カミンスキー,marekku・kaminsukī
jan smeterlin,ヤン・スメテルリン,yan・sumeterurin
kazimierz kutz,カジミェシュ・クッツ,kajimiェshu・kuttsu
alfred józef potocki,アルフレト・ユゼフ・ポトツキ,arufureto・yuzefu・pototsuki
katarzyna figura,カタジーナ・フィグラ,katajīna・figura
grzegorz rasiak,グジェゴシュ・ラシャク,gujegoshu・rashaku
tomasz radzinski,トマシュ・ラジンスキ,tomashu・rajinsuki
basia,バーシア,bāshia
witold urbanowicz,ヴィトルト・ウルバノヴィチ,vitoruto・urubanovichi
sebastian tyrała,セバスティアン・ティラワ,sebasutian・tirawa
józef rotblat,ジョセフ・ロートブラット,josefu・rōtoburatto
irena szewińska,イレーナ・シェビンスカ,irēna・shebinsuka
hugo steinhaus,フーゴ・シュタインハウス,fūgo・shutainhausu
pola negri,ポーラ・ネグリ,pōra・neguri
izabella scorupco,イザベラ・スコルプコ,izabera・sukorupuko
jean stablinski,ジャン・スタブリンスキ,jan・sutaburinsuki
artur sobiech,アルトゥル・ソビエフ,aruturu・sobiefu
henryk reyman,ヘンリク・レイマン,henriku・reiman
hanna segal,ハンナ・シーガル,hanna・shīgaru
barbara sobotta,バルバラ・ヤニシェフスカ,barubara・yanishefusuka
josef františek,ヨゼフ・フランチシェク,yozefu・furanchisheku
christopher ferguson,クリストファー・ファーガソン,kurisutofā・fāgason
michel mirowski,ミッシェル・ミロースキー,missheru・mirōsukī
anna rogowska,アンナ・ロゴフスカ,anna・rogofusuka
bronisława niżyńska,ブロニスラヴァ・ニジンスカ,buronisurava・nijinsuka
kamila skolimowska,カミラ・スコリモフスカ,kamira・sukorimofusuka
józef szmidt,ヨゼフ・シュミット,yozefu・shumitto
anja rubik,アンジャ・ルービック,anja・rūbikku
agata mrózolszewska,アガタ・ムロズ,agata・murozu
tadeusz ślusarski,タデウス・スルシャルスキー,tadeusu・surusharusukī
jacek wszoła,ヤチェク・ウショラ,yacheku・ushora
jacek malczewski,ヤチェク・マルチェフスキ,yacheku・maruchefusuki
rafał blechacz,ラファウ・ブレハッチ,rafau・burehatchi
richard pipes,リチャード・パイプス,richādo・paipusu
agnieszka holland,アニエスカ・ホランド,aniesuka・horando
grażyna bacewicz,グラジナ・バツェヴィチ,gurajina・batsevichi
igor newerly,イゴール・ネーヴェルリ,igōru・nēvuェruri
martha stewart,マーサ・スチュワート,māsa・suchuwāto
justyna kowalczyk,ユスチナ・コヴァルチック,yusuchina・kovaruchikku
wanda rutkiewicz,ヴァンダ・ルトキエヴィチ,vanda・rutokievichi
paul freier,パウル・フライアー,pauru・furaiā
magdalena tul,マグダレナ・トゥル,magudarena・turu
urszula radwańska,ウルシュラ・ラドワンスカ,urushura・radowansuka
grzegorz fitelberg,グジェゴシュ・フィテルベルク,gujegoshu・fiteruberuku
jacek dukaj,ヤチェク・ドゥカイ,yacheku・dukai
artur partyka,アルツール・パルティカ,arutsūru・parutika
tara lipinski,タラ・リピンスキー,tara・ripinsukī
marta domachowska,マルタ・ドマホフスカ,maruta・domahofusuka
joanna chmielewska,ヨアンナ・ケミレスカ,yoanna・kemiresuka
alice miller,アリス・ミラー,arisu・mirā
fryderyk jagiellończyk,フリデリク・ヤギェロンチク,furideriku・yagiェronchiku
arkadiusz skrzypaszek,アルカディウス・スクシパシェク,arukadiusu・sukushipasheku
mateusz klich,マテウシュ・クリヒ,mateushu・kurihi
wojciech jerzy has,ヴォイチェフ・イエジー・ハス,vuォichefu・iejī・hasu
juliusz słowacki,ユリウシュ・スウォヴァツキ,yuriushu・suwovatsuki
ida haendel,イダ・ヘンデル,ida・henderu
marie rambert,マリー・ランバート,marī・ranbāto
elżbieta krzesińska,エルジュビェタ・クシェシンスカ,erujubiェta・kusheshinsuka
halina konopacka,ハリナ・コノパッカ,harina・konopakka
daria werbowy,ダリア・ウェーボウィ,daria・wēbowi
eugeniusz zak,オイゲニウス・ザク,oigeniusu・zaku
wanda wiłkomirska,ワンダ・ウィウコミルスカ,wanda・wiukomirusuka
ivan putski,イワン・プトスキー,iwan・putosukī
maja ostaszewska,マヤ・オスタシェフスカ,maya・osutashefusuka
ignacy friedman,イグナーツ・フリードマン,igunātsu・furīdoman
euzebiusz smolarek,エウゼビウシュ・スモラレク,euzebiushu・sumorareku
danuta szaflarska,ダヌタ・シャフラルスカ,danuta・shafurarusuka
marzena karpińska,マルエナ・カルピンスカ,maruena・karupinsuka
