セッシュウ,셋슈,sesshuu,sessyu
ヘンジョウ,헨조,henjou,henjo
ナツホ,카호,natsuho,kaho
カリナ,카리나,karina,karina
ベッキー,벡키,bekkī,begki
カキフライ,카키후라이,kakifurai,kakihurai
スティーヴ・アオキ,스티브 아오키,sutīvu・aoki,seutibeu aoki
ミヤギリョータ,송태섭,miyagiryōta,songtaeseob
ミヤワキサキリョウ,사쿠라,miyawakisakiryou,sakura
トクヒメ,도쿠히메,tokuhime,dokuhime
ハツネ,하츠네,hatsune,haceune
ナカツカサ,나카쓰카사,nakatsukasa,nakasseukasa
シャエイコ,사에코,shaeiko,saeko
マシ・オカ,마시 오카,mashi・oka,masi oka
リョウ,료,ryou,ryo
ヤマトタケル,야마토타케루,yamatotakeru,yamatotakeru
タチハラマサアキ,김윤규,tachiharamasaaki,gimyungyu
サイゴウキョク,사이고노쓰보네,saigoukyoku,saigonosseubone
ケンニョ,겐뇨,kennyo,gennyo
ニチレン,니치렌,nichiren,niciren
キンタロウ,긴타로,kintarou,gintaro
レイシャ・ヘイリー,레이샤 헤일리,reisha・heirī,reisya heilri
ヤナギナギ,야나기나기,yanaginagi,yanaginagi
ハーフナー・マイク,마이크 하프나,hāfunā・maiku,maikeu hapeuna
チンシュンシン,진순신,chinshunshin,jinsunsin
アンズ,안,anzu,an
オカダ・カズチカ,오카다 가즈치카,okada・kazuchika,okada gajeucika
ドウゲン,도겐,dougen,dogen
リン・ミンメイ,링 밍메이,rin・minmei,ring mingmei
オオモトアヤノ,놋치,oomotoayano,nosci
キヨハル,기요하루,kiyoharu,giyoharu
エンチン,엔친,enchin,encin
リオオ,리타,rioo,rita
ハーフナー・ディド,디도 하프나,hāfunā・dido,dido hapeuna
リュウ,류,ryuu,ryu
アブツニ,아부쓰니,abutsuni,abusseuni
エルサムニー・オサマ,엘샘니 오사마,erusamunī・osama,elsaemni osama
ビメイ,미나,bimei,mina
ミナミ,미나미,minami,minami
カネコミヒロ,미히로,kanekomihiro,mihiro
ノハラヒマワリ,신짱아,noharahimawari,sinjjanga
ツヨシタブ,만퉁퉁,tsuyoshitabu,mantungtung
ギョウキ,교기,gyouki,gyogi
タマモマエ,다마모노마에,tamamomae,damamonomae
ユースケ・サンタマリア,유스케 산타마리아,yūsuke・santamaria,yuseuke santamaria
ジャクレン,자쿠렌,jakuren,jakuren
ユカナ,유카나,yukana,yukana
テンカイ,덴카이,tenkai,denkai
カネナリアセ,김성간,kanenariase,gimseonggan
アヤサイ,아야나,ayasai,ayana
ナオタイオウ,쇼타이왕,naotaiou,syotaiwang
コマツヒメ,코마츠히메,komatsuhime,komaceuhime
モンキー・パンチ,몽키 펀치,monkī・panchi,mongki peonci
ソセイ,소세이,sosei,sosei
チョー,조,chō,jo
ゴウオニ,아쿠마,gouoni,akuma
メグミケイ,에교,megumikei,egyo
トーゴ・イガワ,이가와 토고,tōgo・igawa,igawa togo
クジラ,쿠지라,kujira,kujira
ドラエモン,도라에몽,doraemon,doraemong
ホネガワスネオット,왕비실,honegawasuneotto,wangbisil
ヤス,야스,yasu,yaseu
デンツウ,덴쓰,dentsuu,densseu
スタニスラフ・ブーニン,스타니슬라프 부닌,sutanisurafu・būnin,seutaniseulrapeu bunin
サイトウ・タカヲ,사이토 타카오,saitou・takawo,saito takao
ローラ,로라,rōra,rora
カレン,카렌,karen,karen
チャフウリン,챠후린,chafuurin,cyahurin
ドモンケン,도몬켄,domonken,domonken
ウコン,우콘,ukon,ukon
アンリ,안리,anri,anri
リョウ・サカザキ,료 사카자키,ryou・sakazaki,ryo sakajaki
ノグチピント・エリキソン,노구치핀토 에릭손,noguchipinto・erikison,nogucipinto erigson
サガミ,사가미,sagami,sagami
スンエ,슌에,sune,syune
シミケン,시미켄,shimiken,simiken
クダリミコト,교손,kudarimikoto,gyoson
ラース・ビハーリー・ボース,라시 비하리 보스,rāsu・bihārī・bōsu,rasi bihari boseu
ハル・ヤマノウチ,할 야마노우치,haru・yamanouchi,hal yamanouci
ケイコ・リー,게이코 리,keiko・rī,geiko ri
ノミコ,노미코,nomiko,nomiko
ヒロ・カナガワ,히로 가나가와,hiro・kanagawa,hiro ganagawa
アラマリ,아라마리,aramari,aramari
ジュンコイ,스미레,junkoi,seumire
ソンイ,쑨웨이,soni,ssunwei
ツキヤマドノ,쓰키야마도노,tsukiyamadono,sseukiyamadono
カメヒメ,가메히메,kamehime,gamehime
ボビー・オロゴン,보비 올로건,bobī・orogon,bobi olrogeon
キムタダシフチ,김정연,kimutadashifuchi,gimjeongyeon
インハジメキョウ,윤기협,inhajimekyou,yungihyeob
チョウユウウエ,장우식,chouyuuue,jangusig
ゴリ,고리,gori,gori
メグリ,메구리,meguri,meguri
プヨ,뿌요,puyo,bbuyo
リュウダイスケ,장명남,ryuudaisuke,jangmyeongnam
オオヤケアカツキ,구교,ooyakeakatsuki,gugyo
ハウバート・ダン,하버트 단,haubāto・dan,habeoteu dan
ザ・ニンジャ,더 닌자,za・ninja,deo ninja
カチヤ,카츠야,kachiya,kaceuya
エイイサオ,에이토쿠,eiisao,eitoku
ヒビリアマ,닛슈니,hibiriama,nissyuni
レイミ,레이미,reimi,reimi
タカハシジュリ,쥬리,takahashijuri,jyuri
レイ・ハラカミ,레이 하라카미,rei・harakami,rei harakami
ダイアズカ,도요,daiazuka,doyo
リョウカン,료칸,ryoukan,ryokan
ジョン・カビラ,존 카비라,jon・kabira,jon kabira
リリアン,리리안,ririan,ririan
オトセ,오토세,otose,otose
ニーコ,니코,nīko,niko
ナチュ,나츄,nachu,nacyu
ナツコ,나츠코,natsuko,naceuko
リリー・フランキー,릴리 프랭키,rirī・furankī,rilri peuraengki
フォンチー,폰치,fonchī,ponci
マルセタロウ,김균홍,marusetarou,gimgyunhong
オオキアキコ,아키코,ookiakiko,akiko
キムヒデトシ,김수준,kimuhidetoshi,gimsujun
イチヒメ,이치히메,ichihime,icihime
ツルヒメ,쓰루히메,tsuruhime,sseuruhime
マト,마토,mato,mato
ミッキー・カーチス,미키 커티스,mikkī・kāchisu,miki keotiseu
ヤナガワジロウ,양원석,yanagawajirou,yangweonseog
ロメロ・フランク,로메로 프랑크,romero・furanku,romero peurangkeu
シホ,시호,shiho,siho
マギー,마기,magī,magi
ユキヲ,유키오,yukiwo,yukio
ウィリアム・メレル・ヴォーリズ,윌리엄 메렐 보리스,wiriamu・mereru・vuォーrizu,wilrieom merel boriseu
キムブンガク,김문학,kimubungaku,gimmunhag
コウウララワカヒカリ,고약광,kouurarawakahikari,goyaggwang
ハナエ,하나에,hanae,hanae
ナモリ,나모리,namori,namori
カンフトシシュン,한태순,kanfutoshishun,hantaesun
カエデ,카에데,kaede,kaede
トキダアイリ,톳키,tokidaairi,toski
デンデン,덴덴,denden,denden
エナコ,에나코,enako,enako
ミナト,미나토,minato,minato
ナガハラシゲキ,장성희,nagaharashigeki,jangseonghyi
マエダクン,마에다군,maedakun,maedagun
ド・ランクザンモチ,드랭크생 노조미,do・rankuzanmochi,deuraengkeusaeng nojomi
マイコ,마이코,maiko,maiko
ビモト,미온,bimoto,mion
ノン,논,non,non
ジョキョウショク,서경식,jokyoushoku,seogyeongsig
ジン,진,jin,jin
ティンクル,팅클,tinkuru,tingkeul
サトヤス,사도야스,satoyasu,sadoyaseu
リカ,린카,rika,rinka
ハーフナー・ニッキ,니키 하프나,hāfunā・nikki,niki hapeuna
アサキ,아사키,asaki,asaki
オバタミノル,강영철,obataminoru,gangyeongceol
コウセイ,고쇼,kousei,gosyo
リョウカ,료카,ryouka,ryoka
キムクミコ,김구미자,kimukumiko,gimgumija
ミヤギヒロアキ,김홍명,miyagihiroaki,gimhongmyeong
アッチョリケ,앗초리케,atchorike,ascorike
アゴバリア,아고바리아,agobaria,agobaria
アイカ,아이카,aika,aika
アイコロモ,아이,aikoromo,ai
エレット,에렛토,eretto,eresto
ショウ・ザマ,쇼 자마,shou・zama,syo jama
ヤスヒツハナ,안필화,yasuhitsuhana,anpilhwa
ニシヤマ・ソウキチ,니시야마 소키치,nishiyama・soukichi,nisiyama sokici
オウスズメマゴ,오쟈쿠손,ousuzumemago,ojyakuson
オミ,오미,omi,omi
クスクス,쿠스쿠스,kusukusu,kuseukuseu
トクヤマブンムネ,홍문종,tokuyamabunmune,hongmunjong
イルカ,이루카,iruka,iruka
コブイチ,코부이치,kobuichi,kobuici
クロード・チアリ,클로드 치아리,kurōdo・chiari,keulrodeu ciari
カニビーム,카니빔,kanibīmu,kanibim
ミッツ・マングローブ,미츠 맹그로브,mittsu・mangurōbu,miceu maenggeurobeu
マルシア,마르시아,marushia,mareusia
ポープ・ウィリアム,포프 윌리엄,pōpu・wiriamu,popeu wilrieom
ロクデナシコ,로쿠데나시코,rokudenashiko,rokudenasiko
サンカクヘッド,산카쿠헤드,sankakuheddo,sankakuhedeu
マジカル・パワー・マコ,매지컬 파워 마코,majikaru・pawā・mako,maejikeol paweo mako
ヒナツエイタロウ,허영,hinatsueitarou,heoyeong
ヒロジ,고지,MODIFIED,hiroji,goji
カツシカ,가쓰시카,MODIFIED,katsushika,gasseusika
ホクサイ,호쿠사이,MODIFIED,hokusai,hokusai
オダ,오다,MODIFIED,oda,oda
キシモト,키시모토,MODIFIED,kishimoto,kisimoto
ナガサワ,나가사와,MODIFIED,nagasawa,nagasawa
トオル,데쓰,MODIFIED,tooru,desseu
スキガラ,스키가라,MODIFIED,sukigara,seukigara
マサヒロ,마사히로,MODIFIED,masahiro,masahiro
ユウジ,유지,MODIFIED,yuuji,yuji
クリハラ,쿠리하라,MODIFIED,kurihara,kurihara
ルイ,루이,MODIFIED,rui,rui
ジョウコウ,상황후,MODIFIED,joukou,sanghwanghu
キサキミチコ,미치코,MODIFIED,kisakimichiko,miciko
ワカギ,와카키,MODIFIED,wakagi,wakaki
タミキ,타미키,MODIFIED,tamiki,tamiki
マツサカ,마쓰자카,MODIFIED,matsusaka,masseujaka
ダイスケ,다이스케,MODIFIED,daisuke,daiseuke
タケヨシ,부키치,MODIFIED,takeyoshi,bukici
ワオコシ,가즈키,MODIFIED,waokoshi,gajeuki
ダテ,다테,MODIFIED,date,date
チュウムネ,다다무네,MODIFIED,chuumune,dadamune
フチタ,후치다,MODIFIED,fuchita,hucida
ミツオ,미쓰오,MODIFIED,mitsuo,misseuo
リュウノスケ,류노스케,MODIFIED,ryuunosuke,ryunoseuke
カツラフトシ,가쓰라,MODIFIED,katsurafutoshi,gasseura
ロウ,다로,MODIFIED,rou,daro
スギハラ,스기하라,MODIFIED,sugihara,seugihara
アンノ,안노,MODIFIED,anno,anno
ヒデアキ,히데아키,MODIFIED,hideaki,hideaki
タイショウ,다이쇼,MODIFIED,taishou,daisyo
テンノウ,천황,MODIFIED,tennou,ceonhwang
コトブキヨシ,코토부키,MODIFIED,kotobukiyoshi,kotobuki
サイコ,미나코,MODIFIED,saiko,minako
ウロフチ,우로부치,MODIFIED,urofuchi,urobuci
ゲン,겐,MODIFIED,gen,gen
シンボウ,신보,MODIFIED,shinbou,sinbo
アキユキ,아키유키,MODIFIED,akiyuki,akiyuki
ホリエ,호리에,MODIFIED,horie,horie
ユイ,유이,MODIFIED,yui,yui
カネモト,카네모토,MODIFIED,kanemoto,kanemoto
ヒサコ,히사코,MODIFIED,hisako,hisako
アベ,아베,MODIFIED,abe,abe
コウボウ,코보,MODIFIED,koubou,kobo
タナカ,다나카,MODIFIED,tanaka,danaka
ノヨリ,노요리,MODIFIED,noyori,noyori
ヨシハル,료지,MODIFIED,yoshiharu,ryoji
コウノ,고노,MODIFIED,kouno,gono
ヨウヘイ,요헤이,MODIFIED,youhei,yohei
マツオ,마쓰오,MODIFIED,matsuo,masseuo
バショウ,바쇼,MODIFIED,bashou,basyo
カンタダシ,간,MODIFIED,kantadashi,gan
ヨシダ,요시다,MODIFIED,yoshida,yosida
ヤガミ,야가미,MODIFIED,yagami,yagami
クミ,쿠미,MODIFIED,kumi,kumi
オモネキヨシ,아스미,MODIFIED,omonekiyoshi,aseumi
カナ,카나,MODIFIED,kana,kana
オリカサ,오리카사,MODIFIED,orikasa,orikasa
トミコ,후미코,MODIFIED,tomiko,humiko
クギミヤ,쿠기미야,MODIFIED,kugimiya,kugimiya
リエ,리에,MODIFIED,rie,rie
ハナザワ,하나자와,MODIFIED,hanazawa,hanajawa
ミユキ,미유키,MODIFIED,miyuki,miyuki
カワセ,카와세,MODIFIED,kawase,kawase
アキコ,아키코,MODIFIED,akiko,akiko
ヒダリミユキ,히다리,MODIFIED,hidarimiyuki,hidari
コ,사치코,MODIFIED,ko,saciko
ノザワ,노자와,MODIFIED,nozawa,nojawa
ヨウスケ,요스케,MODIFIED,yousuke,yoseuke
オカダ,오카다,MODIFIED,okada,okada
エイジ,에이지,MODIFIED,eiji,eiji
サトウ,사토,MODIFIED,satou,sato
ミソラ,미소라,MODIFIED,misora,misora
ヒバリ,히바리,MODIFIED,hibari,hibari
ホンダ,혼다,MODIFIED,honda,honda
ヤマベ,야마베노,MODIFIED,yamabe,yamabeno
サヨ,사요,MODIFIED,sayo,sayo
ユイカ,유이모토,MODIFIED,yuika,yuimoto
ミチル,미치루,MODIFIED,michiru,miciru
コトノ,코토노,MODIFIED,kotono,kotono
ヤマグチ,야마구치,MODIFIED,yamaguchi,yamaguci
ツヨシ,쓰토무,MODIFIED,tsuyoshi,sseutomu
オノ,오노데라,MODIFIED,ono,onodera
カトウ,카토,MODIFIED,katou,kato
エイミサト,에미리,MODIFIED,eimisato,emiri
タダモリ,다다모리,MODIFIED,tadamori,dadamori
タカガキ,타카가키,MODIFIED,takagaki,takagaki
アヤヨウ,아야히,MODIFIED,ayayou,ayahi
マツライ,마츠키,MODIFIED,matsurai,maceuki
ミユウ,미유,MODIFIED,miyuu,miyu
イトウ,이토,MODIFIED,itou,ito
カナメグミ,카나에,MODIFIED,kanamegumi,kanae
ヤノ,야노,MODIFIED,yano,yano
ヒカサ,히카사,MODIFIED,hikasa,hikasa
ヨウシ,요코,MODIFIED,youshi,yoko
サイトウ,사이토,MODIFIED,saitou,saito
トマツ,토마츠,MODIFIED,tomatsu,tomaceu
ハルカ,하루카,MODIFIED,haruka,haruka
クロサワ,구로사와,MODIFIED,kurosawa,gurosawa
アキラ,아키라,MODIFIED,akira,akira
ハラダ,하라다,MODIFIED,harada,harada
ヒラヤマ,히라야마,MODIFIED,hirayama,hirayama
リコン,도네가와,MODIFIED,rikon,donegawa
カワススム,스스무,MODIFIED,kawasusumu,seuseumu
ヒデキ,히데키,MODIFIED,hideki,hideki
ハラヨシミ,하라,MODIFIED,harayoshimi,hara
ミチ,요시미치,MODIFIED,michi,yosimici
ナンブ,난부,MODIFIED,nanbu,nanbu
シンジュン,노부유키,MODIFIED,shinjun,nobuyuki
シンジ,신지,MODIFIED,shinji,sinji
ヨリユキサン,라이,MODIFIED,yoriyukisan,rai
ヒ,산요,MODIFIED,hi,sanyo
アヤ,아야,MODIFIED,aya,aya
スズキ,스즈키,MODIFIED,suzuki,seujeuki
コウキュウ,쓰네히사,MODIFIED,koukyuu,sseunehisa
オウヒショウジナイシンノウ,왕비,MODIFIED,ouhishoujinaishinnou,wangbi
ヤマモト,야마모토,MODIFIED,yamamoto,yamamoto
タンゲ,단게,MODIFIED,tange,dange
ミヤモト,미야모토,MODIFIED,miyamoto,miyamoto
シゲル,시게루,MODIFIED,shigeru,sigeru
シント,니토베,MODIFIED,shinto,nitobe
トイナゾウ,이나조,MODIFIED,toinazou,inajo
タケミツ,타케미츠,MODIFIED,takemitsu,takemiceu
ノリコ,노리코,MODIFIED,noriko,noriko
トウコ,후지코,MODIFIED,touko,hujiko
ノト,노토,MODIFIED,noto,noto
マミコ,마미코,MODIFIED,mamiko,mamiko
サク,사쿠마,MODIFIED,saku,sakuma
ハザマレイ,레이,MODIFIED,hazamarei,rei
カワスミ,카와스미,MODIFIED,kawasumi,kawaseumi
アヤコ,아야코,MODIFIED,ayako,ayako
コシバ,고시바,MODIFIED,koshiba,gosiba
カオリ,카오리,MODIFIED,kaori,kaori
フユバ,토우마,MODIFIED,fuyuba,touma
ユミ,유미,MODIFIED,yumi,yumi
ヨシミタ,가다,MODIFIED,yoshimita,gada
ユキコ,유키코,MODIFIED,yukiko,yukiko
ヒダカ,히다카,MODIFIED,hidaka,hidaka
リナ,리나,MODIFIED,rina,rina
ヨコヤマ,요코야마,MODIFIED,yokoyama,yokoyama
ウエシバ,우에시바,MODIFIED,ueshiba,uesiba
モリタイラ,모리헤이,MODIFIED,moritaira,morihei
サスハラ,사시하라,MODIFIED,sasuhara,sasihara
マツウラ,마츠우라,MODIFIED,matsuura,maceuura
ミツミ,미쓰미,MODIFIED,mitsumi,misseumi
ミサト,미사토,MODIFIED,misato,misato
ヒロナカ,히로나카,MODIFIED,hironaka,hironaka
タイラユウ,헤이스케,MODIFIED,tairayuu,heiseuke
ユノキ,유즈키,MODIFIED,yunoki,yujeuki
カナメ,카나메,MODIFIED,kaname,kaname
キタデ,기타데,MODIFIED,kitade,gitade
ナナ,나나,MODIFIED,nana,nana
アサヌマ,아사누마,MODIFIED,asanuma,asanuma
イネジロウ,이네지로,MODIFIED,inejirou,inejiro
カノ,가노,MODIFIED,kano,gano
ミチヒコ,미치히코,MODIFIED,michihiko,micihiko
セイホウ,니시카타,MODIFIED,seihou,nisikata
トモナガ,도모나가,MODIFIED,tomonaga,domonaga
フクダ,후쿠다,MODIFIED,fukuda,hukuda
ヤスオ,야스오,MODIFIED,yasuo,yaseuo
コン,곤,MODIFIED,kon,gon
コヅ,오즈,MODIFIED,kodzu,ojeu
ミゾグチ,미조구치,MODIFIED,mizoguchi,mijoguci
ミヤザキ,미야자키,MODIFIED,miyazaki,miyajaki
シュン,하야오,MODIFIED,shun,hayao
チュウジョウ,나카조,MODIFIED,chuujou,nakajo
クン,이사오,MODIFIED,kun,isao
マサキ,마사키,MODIFIED,masaki,masaki
コウ,고,MODIFIED,kou,go
ナガタニ,하세베,MODIFIED,nagatani,hasebe
ブマコト,마코토,MODIFIED,bumakoto,makoto
タテヤマ,다테야마,MODIFIED,tateyama,dateyama
ショウヘイ,쇼헤이,MODIFIED,shouhei,syohei
ミヤザワ,미야자와,MODIFIED,miyazawa,miyajawa
ケンジ,겐지,MODIFIED,kenji,genji
ナギサ,나기사,MODIFIED,nagisa,nagisa
キキョウ,다카노리,MODIFIED,kikyou,dakanori
トヨトミ,도요토미,MODIFIED,toyotomi,doyotomi
ワタナベ,와타나베,MODIFIED,watanabe,watanabe
マユ,마유,MODIFIED,mayu,mayu
クリタ,구리타,MODIFIED,kurita,gurita
タケオ,다케오,MODIFIED,takeo,dakeo
カタヤマ,가타야마,MODIFIED,katayama,gatayama
トラノスケ,도라노스케,MODIFIED,toranosuke,doranoseuke
ハマザキ,하마사키,MODIFIED,hamazaki,hamasaki
アユミ,아유미,MODIFIED,ayumi,ayumi
ソタ,소다,MODIFIED,sota,soda
アリオカ,아리오카,MODIFIED,arioka,arioka
ダイタカ,다이키,MODIFIED,daitaka,daiki
イマイ,이마이,MODIFIED,imai,imai
ヨサ,요사,MODIFIED,yosa,yosa
ミナモトヨシ,미나모토노,MODIFIED,minamotoyoshi,minamotono
イエ,요시이에,MODIFIED,ie,yosiie
サダヲ,사다오,MODIFIED,sadawo,sadao
シラカワ,시라카와,MODIFIED,shirakawa,sirakawa
ジミ,지미,MODIFIED,jimi,jimi
アキマサ,메이쇼,MODIFIED,akimasa,meisyo
ウチダ,우치다,MODIFIED,uchida,ucida
リョウヘイ,료헤이,MODIFIED,ryouhei,ryohei
ノダ,노다,MODIFIED,noda,noda
ヨシヒコ,요시히코,MODIFIED,yoshihiko,yosihiko
ゲンハ,겐바,MODIFIED,genha,genba
ムラタ,무라타,MODIFIED,murata,murata
リョウフト,료타,MODIFIED,ryoufuto,ryota
カンヨシ,스가,MODIFIED,kanyoshi,seuga
エラ,요시히데,MODIFIED,era,yosihide
テラウチ,데라우치,MODIFIED,terauchi,derauci
ヤオ,야오,MODIFIED,yao,yao
ホウアキラ,마사아키,MODIFIED,houakira,masaaki
コウショウ,고코마쓰,MODIFIED,koushou,gokomasseu
マツテンノウ,천황,MODIFIED,matsutennou,ceonhwang
カワサカエ,카와에이,MODIFIED,kawasakae,kawaei
イリヤマ,이리야마,MODIFIED,iriyama,iriyama
アンナ,안나,MODIFIED,anna,anna
ハタタスク,하다,MODIFIED,hatatasuku,hada
カズコ,사와코,MODIFIED,kazuko,sawako
カノウ,가노,MODIFIED,kanou,gano
シュンスケ,슌스케,MODIFIED,shunsuke,syunseuke
テヅカ,데즈카,MODIFIED,tedzuka,dejeuka
オサム,오사무,MODIFIED,osamu,osamu
ショウワ,쇼와,MODIFIED,shouwa,syowa
ミズキ,미즈키,MODIFIED,mizuki,mijeuki
ヨシザワ,요시자와,MODIFIED,yoshizawa,yosijawa
アキラフ,아키호,MODIFIED,akirafu,akiho
イヌイタカ,이누이,MODIFIED,inuitaka,inui
アキエ,아키에,MODIFIED,akie,akie
ヒカ,히가,MODIFIED,hika,higa
リカルド,리카루도,MODIFIED,rikarudo,rikarudo
コダマ,고다마,MODIFIED,kodama,godama
ミナモトタロウ,겐타로,MODIFIED,minamototarou,gentaro
トウノ,히가시노,MODIFIED,touno,higasino
ケイゴ,게이고,MODIFIED,keigo,geigo
コヅカ,고즈카,MODIFIED,kodzuka,gojeuka
シマザキ,시마자키,MODIFIED,shimazaki,simajaki
レナ,레나,MODIFIED,rena,rena
サコン,사콘,MODIFIED,sakon,sakon
ナカザワ,나카자와,MODIFIED,nakazawa,nakajawa
サトフトシ,소타,MODIFIED,satofutoshi,sota
ショウタイラ,쇼헤이,MODIFIED,shoutaira,syohei
ユウダイロウ,유타로,MODIFIED,yuudairou,yutaro
トシオ,토시로,MODIFIED,toshio,tosiro
ドイ,도이하라,MODIFIED,doi,doihara
マイ,마이,MODIFIED,mai,mai
ホソノ,호소노,MODIFIED,hosono,hosono
セイブン,마사부미,MODIFIED,seibun,masabumi
ヤスダ,야스다,MODIFIED,yasuda,yaseuda
リダイ,미치히로,MODIFIED,ridai,micihiro
オオエ,오에,MODIFIED,ooe,oe
ユウスケ,유스케,MODIFIED,yuusuke,yuseuke
ブンヤ,훈야노,MODIFIED,bunya,hunyano
ヤスヒデ,야스히데,MODIFIED,yasuhide,yaseuhide
ウエハラ,우에하라,MODIFIED,uehara,uehara
ユウサク,유사쿠,MODIFIED,yuusaku,yusaku
マツイ,마쓰이,MODIFIED,matsui,masseui
イシハラ,이시하라,MODIFIED,ishihara,isihara
マキタロウ,신타로,MODIFIED,makitarou,sintaro
ヤスノ,안노,MODIFIED,yasuno,anno
モヨコ,모요코,MODIFIED,moyoko,moyoko
サンチュウ,야마나카,MODIFIED,sanchuu,yamanaka
シンワタル,신야,MODIFIED,shinwataru,sinya
ギチン,기친,MODIFIED,gichin,gicin
ケンタ,겐타,MODIFIED,kenta,genta
カゲヤマ,가게야마,MODIFIED,kageyama,gageyama
マサヒサシ,마사나가,MODIFIED,masahisashi,masanaga
クリサワ,구리사와,MODIFIED,kurisawa,gurisawa
イエヤス,이에야스,MODIFIED,ieyasu,ieyaseu
ナカタ,나카타,MODIFIED,nakata,nakata
タネタ,타네다,MODIFIED,taneta,taneda
リサ,리사,MODIFIED,risa,risa
ヨネモト,요네모토,MODIFIED,yonemoto,yonemoto
タクジ,다쿠지,MODIFIED,takuji,dakuji
ウエダ,우에다,MODIFIED,ueda,ueda
カンフトシ,고타,MODIFIED,kanfutoshi,gota
リンヒサシ,미치히사,MODIFIED,rinhisashi,micihisa
ヤマザキ,야마자키,MODIFIED,yamazaki,yamajaki
ホンマ,혼마,MODIFIED,honma,honma
マツバラ,마쓰바라,MODIFIED,matsubara,masseubara
リョウコウ,요시카,MODIFIED,ryoukou,yosika
