alexandra stan,알렉산드라 스탄,alregsandeura seutan
ianis zicu,이아니스 지쿠,ianiseu jiku
anamaria vartolomei,아나마리아 바르톨로메이,anamaria bareutolromei
lucian sânmărtean,루치안 슨머르테안,rucian seunmeoreutean
alexandru maxim,알렉산드루 막심,alregsandeuru magsim
sorin babii,소린 바비,sorin babi
denis alibec,데니스 알리베크,deniseu alribekeu
ciprian vasilache,치프리안 바실라케,cipeurian basilrake
anca măroiu,안카 머로이우,anka meoroiu
vladimir cosma,블라디미르 코스마,beulradimireu koseuma
vasile pușcașu,바실레 푸슈카슈,basilre pusyukasyu
dragoș bucur,드라고슈 부쿠르,deuragosyu bukureu
ion crăciunescu,이온 크러치우네스쿠,ion keureociuneseuku
nicolae kovács,니콜라에 코바치,nikolrae kobaci
cosmin moți,코스민 모치,koseumin moci
grigore gafencu,그리고레 가펜쿠,geurigore gapenku
cosmina stratan,코스미나 스트라탄,koseumina seuteuratan
claudiu keșerü,클라우디우 케셰뤼,keulraudiu kesyerwi
alexandru mățel,알렉산드루 머첼,alregsandeuru meocel
constantin virgil gheorghiu,콘스탄틴 비르질 게오르기우,konseutantin bireujil georeugiu
ecaterina teodoroiu,에카테리나 테오도로이우,ekaterina teodoroiu
anghel iordănescu,안겔 이오르더네스쿠,angel ioreudeoneseuku
tamara costache,타마라 코스타체,tamara koseutace
loredana dinu,로레다나 디누,roredana dinu
eva mozes kor,에바 모제스 코르,eba mojeseu koreu
sergiu buș,세르지우 부슈,sereujiu busyu
victor rebengiuc,빅토르 레벤지우크,bigtoreu rebenjiukeu
dumitru fărcaș,두미트루 퍼르카슈,dumiteuru peoreukasyu
constantin ion parhon,콘스탄틴 이온 파론,konseutantin ion paron
ciprian tătărușanu,치프리안 터터루샤누,cipeurian teoteorusyanu
mircea diaconu,미르시 디아코누,mireusi diakonu
gheorghe plagino,게오르게 플라기노,georeuge peulragino
cristi puiu,크리스티 푸이우,keuriseuti puiu
cristian dulca,크리스티안 둘카,keuriseutian dulka
dumitru pârvulescu,두미트루 프르불레스쿠,dumiteuru peureubulreseuku
ovidiu hoban,오비디우 호반,obidiu hoban
cristina flutur,크리스티나 플루투르,keuriseutina peulrutureu
dan petrescu,단 페트레스쿠,dan peteureseuku
marcel iureș,마르첼 이우레슈,mareucel iuresyu
gheorghe tattarescu,게오르게 타타레스쿠,georeuge tatareseuku
sergiu nicolaescu,세르지우 니콜라에스쿠,sereujiu nikolraeseuku
alexandru șerbănescu,알렉산드루 셰르버네스쿠,alregsandeuru syereubeoneseuku
ștefan petrescu,슈테판 페트레스쿠,syutepan peteureseuku
adrian mihalcea,아드리안 미할체아,adeurian mihalcea
corneliu ion,코르넬리우 이온,koreunelriu ion
ludovic orban,루도비크 오르반,rudobikeu oreuban
constantin gâlcă,콘스탄틴 글커,konseutantin geulkeo
preda mihăilescu,프레다 미허일레스쿠,peureda miheoilreseuku
tibor selymes,티보르 셀리메스,tiboreu selrimeseu
bogdan stancu,보그단 스탄쿠,bogeudan seutanku
klaus iohannis,클라우스 요하니스,keulrauseu yohaniseu
alina eremia,알리나 에레미아,alrina eremia
alin moldoveanu,알린 몰도베아누,alrin moldobeanu
eduard stăncioiu,에두아르드 스턴치오이우,eduareudeu seuteoncioiu
marius popa,마리우스 포파,mariuseu popa
constantin nica,콘스탄틴 니카,konseutantin nika
mihai covaliu,미하이 코발리우,mihai kobalriu
andra,안드라,andeura
moscu alkalai,모스코 알카라이,moseuko alkarai
constantin silvestri,콘스탄틴 실베스트리,konseutantin silbeseuteuri
iulian arhire,율리안 아르히레,yulrian areuhire
cristian tănase,크리스티안 터나세,keuriseutian teonase
constantin barbu,콘스탄틴 바르부,konseutantin bareubu
vlad ivanov,블라드 이바노브,beulradeu ibanobeu
oana gregory,오아나 그레고리,oana geuregori
rareș dumitrescu,라레슈 두미트레스쿠,raresyu dumiteureseuku
steliano filip,스텔리아노 필립,seutelriano pilrib
dan condurache,댄 콘두라체,daen kondurace
liviu dragnea,리비우 드라그네아,ribiu deurageunea
nicolae martinescu,니콜라에 마르티네스쿠,nikolrae mareutineseuku
cătălin moroșanu,커털린 모로샤누,keoteolrin morosyanu
viorica dăncilă,비오리카 던칠러,biorika deoncilreo
gheorghe ucenescu,게오르게 우체네스쿠,georeuge uceneseuku
ada condeescu,아다 콘데스쿠,ada kondeseuku
mihai balan,미하이 발란,mihai balran
ecaterina oproiu,에카테리나 오프로이우,ekaterina opeuroiu
răzvan vasilescu,러즈반 바실레스쿠,reojeuban basilreseuku
gabriel spahiu,가브리엘 스파히우,gabeuriel seupahiu
șerban pavlu,세르반 파블루,sereuban pabeulru
cristian manea,크리스티안 마네아,keuriseutian manea
nae caranfil,나에 카란필,nae karanpil
mihai tudose,미하이 투도세,mihai tudose
ianis hagi,이아니스 하지,ianiseu haji
florin zamfirescu,플로린 잠피레스쿠,peulrorin jampireseuku
ana ularu,아나 울라루,ana ulraru
iulian teodosiu,이울리안 테오도시우,iulrian teodosiu
alexandru papadopol,알렉산드루 파파도폴,alregsandeuru papadopol
florin tănase,플로린 터나세,peulrorin teonase
maia sandu,마이아 산두,maia sandu
teodor corban,테오도르 코르반,teodoreu koreuban
simona pop,시모나 포프,simona popeu
kázím abdulakim,카짐 압둘라킴,kajim abdulrakim
florin andone,플로린 안도네,peulrorin andone
andreea diaconu,안드레아 디아코누,andeurea diakonu
valentin teodosiu,발렌틴 테오도시우,balrentin teodosiu
lisa ferraday,리사 퍼라데이,risa peoradei
cristian ganea,크리스티안 가네아,keuriseutian ganea
sergiu hanca,세르지우 한카,sereujiu hanka
sorin cîmpeanu,소린 심페아누,sorin simpeanu
cătălin carp,커털린 카르프,keoteolrin kareupeu
olimpia melinte,올림피아 멜린테,olrimpia melrinte
marcel ciolacu,마르첼 치올라쿠,mareucel ciolraku
sorin grindeanu,소린 그린데아누,sorin geurindeanu
ioana flora,이오아나 플로라,ioana peulrora
daniel popa,다니엘 포파,daniel popa
florian munteanu,플로리안 문테아누,peulrorian munteanu
florin cîțu,플로린 크추,peulrorin keucu
marius marin,마리우스 마린,mariuseu marin
nicolae ciucă,니콜라에 치우커,nikolrae ciukeo
ingrid bisu,인그리드 비수,ingeurideu bisu
alec secăreanu,알레크 세커레아누,alrekeu sekeoreanu
ion chicu,이온 키쿠,ion kiku
karim adeyemi,카림 아데예미,karim adeyemi
vlad dascălu,블라드 다스컬루,beulradeu daseukeolru
adina pintilie,아디나 핀틸리에,adina pintilrie
sabrina ionescu,사브리나 이오네스쿠,sabeurina ioneseuku
radu drăgușin,라두 드러구신,radu deureogusin
adina diaconu,아디나 디아코누,adina diakonu
david popovici,다비드 포포비치,dabideu popobici
brăila,브러일라,beureoilra
românia,루마니아,rumania
zalău,잘러우,jalreou
suceava,수체아바,suceaba
bistrița,비스트리차,biseuteurica
piatraneamț,피아트라네암츠,piateuraneamceu
pitești,피테슈티,pitesyuti
târgoviște,트르고비슈테,teureugobisyute
stepa euroasiatică,유라시아 스텝,yurasia seuteb
craiova,크라이오바,keuraioba
reșița,레시차,resica
constanța,콘스탄차,konseutanca
galați,갈라치,galraci
banat,바나트,banateu
rapid bucurești,라피드 부쿠레슈티,rapideu bukuresyuti
focșani,포크샤니,pokeusyani
vaslui,바슬루이,baseulrui
brașov,브라쇼브,beurasyobeu
sibiu,시비우,sibiu
stema româniei,루마니아의 국장,rumaniayi gugjang
arad,아라드,aradeu
valahia,왈라키아,walrakia
sighișoara,시기쇼아라,sigisyoara
timișoara,티미쇼아라,timisyoara
botoșani,보토샤니,botosyani
tulcea,툴체아,tulcea
oradea,오라데아,oradea
clujnapoca,클루지나포카,keulrujinapoka
ploiești,플로이에슈티,peulroiesyuti
buzău,부저우,bujeou
giurgiu,지우르지우,jiureujiu
bucovina,부코비나,bukobina
bucurești,부쿠레슈티,bukuresyuti
dinamo bucurești,디나모 부쿠레슈티,dinamo bukuresyuti
bechet,베케트,beketeu
zimnicea,짐니체아,jimnicea
leu românesc,루마니아 레우,rumania reu
deva,데바,deba
lugoj,루고지,rugoji
dobrogea,도브루자,dobeuruja
orăștie,오러슈티에,oreosyutie
muntenia,문테니아,muntenia
caransebeș,카란세베슈,karansebesyu
transilvania,트란실바니아,teuransilbania
bazinul panonic,판노니아 평원,pannonia pyeongweon
oltenia,올테니아,oltenia
borșa,보르샤,boreusya
turda,투르다,tureuda
sinaia,시나이아,sinaia
bucătăria românească,루마니아 요리,rumania yori
hunedoara,후네도아라,hunedoara
buftea,부프테아,bupeutea
slobozia,슬로보지아,seulrobojia
sovata,소바타,sobata
crișana,크리샤나,keurisyana
holcim,홀심,holsim
dej,데지,deji
ovidiu,오비디우,obidiu
politehnica timișoara,폴리테흐니카 티미쇼아라,polriteheunika timisyoara
stepa pontocaspică,폰토스카스피 스텝,pontoseukaseupi seuteb
segarcea,세가르체아,segareucea
pecica,페치카,pecika
dăbuleni,더불레니,deobulreni
hârlău,흐를러우,heureulreou
economia româniei,루마니아의 경제,rumaniayi gyeongje
caracal,카라칼,karakal
bitdefender,비트디펜더,biteudipendeo
citibank,씨티은행,ssitieunhaeng
câmpina,큼피나,keumpina
băilești,버일레슈티,beoilresyuti
blaj,블라지,beulraji
unirea urziceni,우니레아 우르지체니,unirea ureujiceni
sulina,술리나,sulrina
otopeni,오토페니,otopeni
bârlad,브를라드,beureulradeu
arena națională,아레나 나치오날러,arena nacionalreo
munții metaliferi,메탈리페리 산맥,metalriperi sanmaeg
voluntari,볼룬타리,bolruntari
beiuș,베이우슈,beiusyu
mediaș,메디아슈,mediasyu
sebeș,세베슈,sebesyu
mioveni,미오베니,miobeni
calafat,칼라파트,kalrapateu
toplița,토플리차,topeulrica
oltenița,올테니차,oltenica
sarmizegetusa regia,사르미제게투사 레기아,sareumijegetusa regia
tropaeum traiani,트로파에움 트라이아니,teuropaeum teuraiani
moinești,모이네슈티,moinesyuti
mangalia,만갈리아,mangalria
tălmaciu,털마치우,teolmaciu
petroșani,페트로샤니,peteurosyani
urziceni,우르지체니,ureujiceni
medgidia,메드지디아,medeujidia
universitatea cluj,우니베르시타테아 클루지,unibereusitatea keulruji
onești,오네슈티,onesyuti
baraolt,바라올트,baraolteu
năvodari,너보다리,neobodari
covasna,코바스나,kobaseuna
parlamentul republicii moldova,몰도바 공화국 의회,moldoba gonghwagug yihoe
gheorgheni,게오르게니,georeugeni
carei,카레이,karei
salonta,살론타,salronta
președintele româniei,루마니아의 대통령,rumaniayi daetongryeong
clisura dunării,클리수라 두너리,keulrisura duneori
argeș pitești,아르제슈 피테슈티,areujesyu pitesyuti
sportul studențesc bucurești,스포르툴 스투덴체스크 부쿠레슈티,seuporeutul seutudenceseukeu bukuresyuti
centura alpidă,알프스히말라야 조산대,alpeuseuhimalraya josandae
scornicești,스코르니체슈티,seukoreunicesyuti
fcu craiova,우니베르시타테아 크라이오바,unibereusitatea keuraioba
ținutul secuiesc,세케이 지대,sekei jidae
siret,시레트,sireteu
ulpia traiana sarmizegetusa,울피아 트라이아나 사르미제게투사,ulpia teuraiana sareumijegetusa
petrolul ploiești,페트롤룰 플로이에슈티,peteurolrul peulroiesyuti
lupii bucurești,부쿠레슈티 오크스,bukuresyuti okeuseu
senatul româniei,루마니아 원로원,rumania weonroweon
transcarpatia,자카르파탸,jakareupatya
cultura cucuteni,쿠쿠테니트리필랴 문화,kukuteniteuripilrya munhwa
parlamentul româniei,루마니아 의회,rumania yihoe
roton,로톤,roton
transhumanță,이목,imog
frontul românesc,루마니아 전선,rumania jeonseon
tapae,타파이,tapai
bacău,바커우,bakeou
maramureș,마라무레슈,maramuresyu
primministrul româniei,루마니아의 총리,rumaniayi congri
lidia șimon,리디아 시몬,ridia simon
cornelia tăutu,코르넬리아 터우투,koreunelria teoutu
irina spîrlea,이리나 스프를레아,irina seupeureulrea
alexandra dulgheru,알렉산드라 둘게루,alregsandeura dulgeru
vali ionescu,발리 이오네스쿠,balri ioneseuku
monica niculescu,모니카 니쿨레스쿠,monika nikulreseuku
dragoș agache,드라고슈 아가케,deuragosyu agake
sorana cîrstea,소라나 크르스테아,sorana keureuseutea
florin piersic,플로린 피에르시크,peulrorin piereusikeu
dan bălan,단 벌란,dan beolran
edina gallovitshall,에디나 갈로비츠홀,edina galrobiceuhol
marțian negrea,마르치안 네그레아,mareucian negeurea
cleopatra stratan,클레오파트라 스트라탄,keulreopateura seuteuratan
diana chelaru,디아나 켈라루,diana kelraru
angelica adelsteinrozeanu,안젤리카 로제아누,anjelrika rojeanu
alexandra cadanțu,알렉산드라 카단추,alregsandeura kadancu
ruxandra dragomir,룩산드라 드라고미르,rugsandeura deuragomireu
titu maiorescu,티투 마이오레스쿠,titu maioreseuku
ilena gheorghi,엘레나 게오르게,elrena georeuge
florica musicescu,플로리카 무시체스쿠,peulrorika musiceseuku
panait istrati,파나이트 이스트라티,panaiteu iseuteurati
vintilă horia,빈틸러 호리아,bintilreo horia
rose ausländer,로제 아우슬렌더,roje auseulrendeo
mircea albulescu,미르체아 알불레스쿠,mireucea albulreseuku
oana pantelimon,오아나 판텔리몬,oana pantelrimon
vladimir filat,블라드 필라트,beulradeu pilrateu
steve holmes,스티브 홈즈,seutibeu homjeu
radu șerban,라두 셰르반,radu syereuban
constantina diță,콘스탄티나 디타,konseutantina dita
adrian diaconu,아드리안 디아코누,adeurian diakonu
șerban ionescu,셰르반 이오네스쿠,syereuban ioneseuku
mîndru katz,민드루 카츠,mindeuru kaceu
mihaela steff,미하엘라 스테프,mihaelra seutepeu
nicolae rainea,니콜라에 라이네아,nikolrae rainea
jean alexandru steriadi,장 알렉산드루 스테리아디,jang alregsandeuru seuteriadi
erik lincar,에리크 린카르,erikeu rinkareu
bogdan stelea,보그단 스텔레아,bogeudan seutelrea
nichita stănescu,니키타 스터네스쿠,nikita seuteoneseuku
mitică popescu,미티커 포페스쿠,mitikeo popeseuku
mateiu caragiale,마테이우 카라지알레,mateiu karajialre
ștefan niculescu,슈테판 니쿨레스쿠,syutepan nikulreseuku
agnès ullmann,아녜스 울만,anyeseu ulman
theodor rosetti,테오도르 로세티,teodoreu roseti
camil ressu,카밀 레수,kamil resu
iulian tameș,이울리안 타메슈,iulrian tamesyu
francisc vaștag,프란치스크 바슈타그,peuranciseukeu basyutageu
leonard doroftei,레오나르드 도로프테이,reonareudeu doropeutei
tudor arghezi,투도르 아르게지,tudoreu areugeji
florin prunea,플로린 프루네아,peulrorin peurunea
alexandra bellow,알렉산드라 벨로,alregsandeura belro
iorgu iordan,이오르구 이오르단,ioreugu ioreudan
mircea cărtărescu,미르차 커르터레스쿠,mireuca keoreuteoreseuku
rovana plumb,로바나 플룸브,robana peulrumbeu
ciprian foiaș,치프리안 포이아슈,cipeurian poiasyu
mariavictoria drăguș,마리아빅토리아 드라구스,mariabigtoria deuraguseu
ion pîrcălab,이온 프르컬라브,ion peureukeolrabeu
alla baianova,알라 바이야노바,alra baiyanoba
roxana mărăcineanu,록사나 머러치네아누,rogsana meoreocineanu
ștefan mihăilescubrăila,슈테판 미허일레스쿠브러일라,syutepan miheoilreseukubeureoilra
traian lalescu,트라이안 랄레스쿠,teuraian ralreseuku
nelly miricioiu,넬리 미리치오이우,nelri miricioiu
toma caragiu,토마 카라지우,toma karajiu
lazăr șăineanu,라저르 셔이네아누,rajeoreu syeoineanu
horațiu mălăele,호라치우 멀러엘레,horaciu meolreoelre
lucian sănmărtean,루치안 산머르테안,rucian sanmeoreutean
nicolae stanciu,니콜라에 스탄치우,nikolrae seutanciu
șerban foarță,셰르반 포아르처,syereuban poareuceo
gheorghe tătărăscu,게오르게 터터레스쿠,georeuge teoteoreseuku
alina văcariu,알리나 버카리우,alrina beokariu
adrian sînă,아드리안 시나,adeurian sina
eugen lovinescu,에우젠 로비네스쿠,eujen robineseuku
florea voinea,플로레아 보이네아,peulrorea boinea
alexandru macedonski,알렉산드루 마체돈스키,alregsandeuru macedonseuki
andrei ivanovitch,안드레이 이바노비치,andeurei ibanobici
ion negoițescu,이온 네고이체스쿠,ion negoiceseuku
emil imre,에밀 임레,emil imre
mihail andricu,미하일 안드리쿠,mihail andeuriku
colea răutu,콜레아 러우투,kolrea reoutu
andrei pleșu,안드레이 플레슈,andeurei peulresyu
marius mitu,마리우스 미투,mariuseu mitu
mihail sadoveanu,미하일 사도베아누,mihail sadobeanu
mihai tararache,미하이 타라라케,mihai tararake
ionel dănciulescu,이오넬 던치울레스쿠,ionel deonciulreseuku
panait cerna,파나이트 체르나,panaiteu cereuna
alice voinescu,알리체 보이네스쿠,alrice boineseuku
serge moscovici,세르주 모스코비치,sereuju moseukobici
doina ruști,도이나 루슈티,doina rusyuti
radu mihăileanu,라두 미허일레아누,radu miheoilreanu
dana nălbaru,다나 나타바루,dana natabaru
sever burada,세베르 부라다,sebereu burada
ana de bourbonparma,안 드 부르봉파르므,an deu bureubongpareumeu
serghei țvetcov,세르게이 츠베트코프,sereugei ceubeteukopeu
béla károlyi,벨러 카로이,belreo karoi
dan negru,댄 네그루,daen negeuru
ion vinea,이온 비네아,ion binea
ilarion ciobanu,일라리온 치오바누,ilrarion ciobanu
damian drăghici,다미안 드러기치,damian deureogici
sergiu comissiona,세르지우 코미시오나,sereujiu komisiona
cătălin hîldan,커털린 흘단,keoteolrin heuldan
kehinde fatai,케힌데 파타이,kehinde patai
diana bulimar,디아나 불리마르,diana bulrimareu
tamás vesmás,타마스 베스마스,tamaseu beseumaseu
monica bîrlădeanu,모니카 브를러데아누,monika beureulreodeanu
mihail dragomirescu,미하일 드라고미레스쿠,mihail deuragomireseuku
ramona bădescu,라모나 버데스쿠,ramona beodeseuku
mihaela buzărnescu,미하엘라 부저르네스쿠,mihaelra bujeoreuneseuku
alin stoica,알린 스토이카,alrin seutoika
nicolae dărăscu,니콜라에 더러스쿠,nikolrae deoreoseuku
diana dondoe,디아나 돈도에,diana dondoe
ion călugăru,이온 컬루거루,ion keolrugeoru
vasile pogor,바실레 포고르,basilre pogoreu
gheorghe vitanidis,게오르게 비타니디스,georeuge bitanidiseu
