angela merkel,앙겔라 메르켈,anggelra mereukel
sandra bullock,샌드라 불럭,saendeura bulreog
rudi völler,루디 푈러,rudi poelreo
uwe seeler,우베 젤러,ube jelreo
ottmar hitzfeld,오트마어 히츠펠트,oteumaeo hiceupelteu
franz josef strauß,프란츠 요제프 슈트라우스,peuranceu yojepeu syuteurauseu
horst seehofer,호르스트 제호퍼,horeuseuteu jehopeo
feodor lynen,페오드르 리넨,peodeureu rinen
ernst otto fischer,에른스트 오토 피셔,ereunseuteu oto pisyeo
richard von weizsäcker,리하르트 폰 바이츠제커,rihareuteu pon baiceujekeo
friedrich ebert,프리드리히 에베르트,peurideurihi ebereuteu
edmund stoiber,에드문트 슈토이버,edeumunteu syutoibeo
walter eucken,발터 오이켄,balteo oiken
sidney sam,시드니 샘,sideuni saem
koray günter,코라이 귄터,korai gwinteo
oliver kirch,올리버 키르히,olribeo kireuhi
erich honecker,에리히 호네커,erihi honekeo
egon krenz,에곤 크렌츠,egon keurenceu
manfred gerlach,만프레트 게를라흐,manpeureteu gereulraheu
paul kalkbrenner,파울 칼크브레너,paul kalkeubeureneo
raphael schäfer,라파엘 섀퍼,rapael syaepeo
kurt aland,커트 알란드,keoteu alrandeu
walter scheel,발터 셸,balteo syel
karl carstens,카를 카르스텐스,kareul kareuseutenseu
erich maria remarque,에리히 마리아 레마르크,erihi maria remareukeu
hermann hesse,헤르만 헤세,hereuman hese
frank ordenewitz,프랑크 오르데네비츠,peurangkeu oreudenebiceu
uwe rahn,우베 란,ube ran
pierre littbarski,피에르 리트바르스키,piereu riteubareuseuki
marika rökk,마리카 뢰크,marika roekeu
ludwig mies van der rohe,루트비히 미스 판 데어 로에,ruteubihi miseu pan deeo roe
stefan effenberg,슈테판 에펜베르크,syutepan epenbereukeu
hans magnus enzensberger,한스 마그누스 엔첸스베르거,hanseu mageunuseu encenseubereugeo
sebastian vettel,제바스티안 페텔,jebaseutian petel
otfried preußler,오트프리트 프로이슬러,oteupeuriteu peuroiseulreo
andreas ottl,안드레아스 오틀,andeureaseu oteul
nico,니코,niko
wolfgang overath,볼프강 오베라트,bolpeugang oberateu
mario gómez,마리오 고메스,mario gomeseu
tim hoogland,팀 후글란트,tim hugeulranteu
hermann staudinger,헤르만 슈타우딩거,hereuman syutaudinggeo
paul von hindenburg,파울 폰 힌덴부르크,paul pon hindenbureukeu
heinrich böll,하인리히 뵐,hainrihi boel
thomas müller,토마스 뮐러,tomaseu mwilreo
wolf blitzer,울프 블리처,ulpeu beulriceo
albert schweitzer,알베르트 슈바이처,albereuteu syubaiceo
timo gebhart,티모 게브하르트,timo gebeuhareuteu
abraham gotthelf kästner,아브라함 고트헬프 케스트너,abeuraham goteuhelpeu keseuteuneo
reiner knizia,라이너 크니치아,raineo keunicia
leonid kreutzer,레오니트 크로이처,reoniteu keuroiceo
gerhard stöck,게르하르트 슈퇴크,gereuhareuteu syutoekeu
bernard katz,버나드 카츠,beonadeu kaceu
franciszek smuda,프란치셰크 스무다,peurancisyekeu seumuda
eugen polanski,오이겐 폴란스키,oigen polranseuki
adolf butenandt,아돌프 부테난트,adolpeu butenanteu
franz beckenbauer,프란츠 베켄바워,peuranceu bekenbaweo
ulrich von wilamowitzmoellendorff,울리히 폰 빌라모비츠묄렌도르프,ulrihi pon bilramobiceumoelrendoreupeu
henry koster,헨리 코스터,henri koseuteo
bernd eichinger,베른트 아이힝거,bereunteu aihinggeo
peter frenkel,페터 프렝켈,peteo peurengkel
joachim löw,요아힘 뢰프,yoahim roepeu
philipp lahm,필리프 람,pilripeu ram
gerd müller,게르트 뮐러,gereuteu mwilreo
hilde schrader,힐데가르트 슈라더,hildegareuteu syuradeo
carl gustav hempel,칼 구스타프 헴펠,kal guseutapeu hempel
heidi biebl,하이디 비블,haidi bibeul
balian buschbaum,발리안 부시바움,balrian busibaum
stefan raab,슈테판 라브,syutepan rabeu
sabine busch,자비네 부슈,jabine busyu
manfred eicher,만프레트 아이허,manpeureteu aiheo
gustav radbruch,구스타프 라드브루흐,guseutapeu radeubeuruheu
günter grass,귄터 그라스,gwinteo geuraseu
robert siodmak,로버트 시오드맥,robeoteu siodeumaeg
adolf merckle,아돌프 메클레,adolpeu mekeulre
kurt knispel,쿠르트 크니슈펠,kureuteu keunisyupel
ellen von unwerth,엘렌 폰 운베르트,elren pon unbereuteu
tatjana patitz,타탸나 파티츠,tatyana paticeu
günther maleuda,귄터 말로이다,gwinteo malroida
florian schwarthoff,플로리안 슈바르토프,peulrorian syubareutopeu
linda stahl,린다 슈탈,rinda syutal
josefine preuß,요제피네 프로이스,yojepine peuroiseu
hanns zischler,한스 지슐러,hanseu jisyulreo
markus söder,마르쿠스 죄더,mareukuseu joedeo
kurt welter,쿠르트 벨터,kureuteu belteo
martin noth,마르틴 노트,mareutin noteu
christoph blumhardt,크리스토프 블룸하르트,keuriseutopeu beulrumhareuteu
bibiana beglau,비비아나 베글라우,bibiana begeulrau
walter kaufmann,발터 카우프만,balteo kaupeuman
ludwig kaas,루트비히 카스,ruteubihi kaseu
georg ratzinger,게오르크 라칭거,georeukeu racinggeo
toni garrn,토니 가른,toni gareun
maria emanuel markgraf von meißen,마리아 에마누엘 폰 마이센 변경백,maria emanuel pon maisen byeongyeongbaeg
godehard von hildesheim,고트하르트 폰 힐데스하임,goteuhareuteu pon hildeseuhaim
rüdiger safranski,뤼디거 자프란스키,rwidigeo japeuranseuki
lena meyerlandrut,레나 마이어란드루트,rena maieorandeuruteu
agnes pockels,아그네스 포켈스,ageuneseu pokelseu
otto frank,오토 프랑크,oto peurangkeu
rosa luxemburg,로자 룩셈부르크,roja rugsembureukeu
hannelore kraft,하넬로레 크라프트,hanelrore keurapeuteu
ernst lubitsch,에른스트 루비치,ereunseuteu rubici
grethe weiser,그레테 바이저,geurete baijeo
erwin schrödinger,에르빈 슈뢰딩거,ereubin syuroedinggeo
sami khedira,사미 케디라,sami kedira
danny latza,대니 라차,daeni raca
kurt jooss,쿠르트 요스,kureuteu yoseu
helmut gröttrup,헬무트 그뢰트룹,helmuteu geuroeteurub
kurt weill,쿠르트 바일,kureuteu bail
margot frank,마르고트 프랑크,mareugoteu peurangkeu
edith frankholländer,에디트 프랑크,editeu peurangkeu
corinna harfouch,코리나 하르포우흐,korina hareupouheu
martina gedeck,마르티나 게데크,mareutina gedekeu
beate klarsfeld,베아테 클라르스펠트,beate keulrareuseupelteu
alfred hugenberg,알프레트 후겐베르크,alpeureteu hugenbereukeu
mariella ahrens,마리엘라 아렌스,marielra arenseu
ernst nolte,에른스트 놀테,ereunseuteu nolte
klaus wowereit,클라우스 보베라이트,keulrauseu boberaiteu
tommy haas,토미 하스,tomi haseu
stefan andres,슈테판 안드레스,syutepan andeureseu
hannah herzsprung,하나 헤르츠스프룽,hana hereuceuseupeurung
ken duken,켄 두켄,ken duken
anton diffring,안톤 디프링,anton dipeuring
gudrun landgrebe,구드룬 란트그레베,gudeurun ranteugeurebe
alexandra maria lara,알렉산드라 마리아 라라,alregsandeura maria rara
franka potente,프랑카 포텐테,peurangka potente
justus möser,유스투스 뫼저,yuseutuseu moejeo
peter binsfeld,페터 빈스펠트,peteo binseupelteu
michael schumacher,미하엘 슈마허,mihael syumaheo
katja seizinger,카탸 자이칭거,katya jaicinggeo
engelbert humperdinck,엥겔베르트 훔퍼딩크,enggelbereuteu humpeodingkeu
viktoria rebensburg,빅토리아 레벤스부르크,bigtoria rebenseubureukeu
maria höflriesch,마리아 회플리슈,maria hoepeulrisyu
wim wenders,빔 벤더스,bim bendeoseu
max ophüls,막스 오퓔스,magseu opwilseu
steffi graf,슈테피 그라프,syutepi geurapeu
friedrich wilhelm murnau,프리드리히 빌헬름 무르나우,peurideurihi bilhelreum mureunau
william dieterle,윌리엄 디터리,wilrieom diteori
gisela von schwaben,기젤라 폰 슈바벤,gijelra pon syubaben
werner haase,베르너 하제,bereuneo haje
jürgen trittin,위르겐 트리틴,wireugen teuritin
michael ballack,미하엘 발라크,mihael balrakeu
leni riefenstahl,레니 리펜슈탈,reni ripensyutal
margarethe von trotta,마르가레테 폰 트로타,mareugarete pon teurota
lisa kreuzer,리사 크루저,risa keurujeo
rudolf kleinrogge,루돌프 클라인로게,rudolpeu keulrainroge
klaus kinski,클라우스 킨스키,keulrauseu kinseuki
gregor gysi,그레고르 기지,geuregoreu giji
gudrun ensslin,구드룬 엔슬린,gudeurun enseulrin
renate künast,레나테 퀴나스트,renate kwinaseuteu
karoline von günderrode,카롤리네 폰 귄데로데,karolrine pon gwinderode
wilhelm ostwald,빌헬름 오스트발트,bilhelreum oseuteubalteu
richard strauss,리하르트 슈트라우스,rihareuteu syuteurauseu
wilhelm wien,빌헬름 빈,bilhelreum bin
otto stern,오토 슈테른,oto syutereun
philipp lenard,필리프 레나르트,pilripeu renareuteu
ulrich lins,울리히 린스,ulrihi rinseu
reinhard selten,라인하르트 젤텐,rainhareuteu jelten
johannes stark,요하네스 슈타르크,yohaneseu syutareukeu
hansi müller,한지 뮐러,hanji mwilreo
otto meissner,오토 마이스너,oto maiseuneo
horst köppel,호르스트 쾨펠,horeuseuteu koepel
walter moers,발터 뫼르스,balteo moereuseu
bernd förster,베른트 푀르슈터,bereunteu poereusyuteo
wolfgang schäuble,볼프강 쇼이블레,bolpeugang syoibeulre
jürgen klinsmann,위르겐 클린스만,wireugen keulrinseuman
änis benhatira,아니스 벤하티라,aniseu benhatira
alfred eisenstaedt,알프레트 아이젠슈테트,alpeureteu aijensyuteteu
hansjosef kapellmann,유프 카펠만,yupeu kapelman
nelly sachs,넬리 작스,nelri jagseu
max von laue,막스 폰 라우에,magseu pon raue
markus weinzierl,마르쿠스 바인치를,mareukuseu baincireul
robert schuman,로베르 쉬망,robereu swimang
dimitri peters,디미트리 페터스,dimiteuri peteoseu
kurt von schleicher,쿠르트 폰 슐라이허,kureuteu pon syulraiheo
peter grünberg,페터 그륀베르크,peteo geurwinbereukeu
frits clausen,프리츠 클라우센,peuriceu keulrausen
julia dietze,율리아 디체,yulria dice
wolfgang behrendt,볼프강 베흐렌트,bolpeugang beheurenteu
wolf rüdiger heß,볼프 뤼디거 헤스,bolpeu rwidigeo heseu
andreas tölzer,안드레아스 퇼처,andeureaseu toelceo
timothy chandler,티모시 챈들러,timosi caendeulreo
ludwig bieberbach,루트비히 비버바흐,ruteubihi bibeobaheu
karlheinz förster,카를하인츠 푀르슈터,kareulhainceu poereusyuteo
wolfgang krull,볼프강 크룰,bolpeugang keurul
edmund schlink,에드문트 슐링크,edeumunteu syulringkeu
paul reinecke,파울 라이네케,paul raineke
hans von salmuth,한스 폰 잘무트,hanseu pon jalmuteu
volker strassen,포커 슈트라센,pokeo syuteurasen
jürgen moser,위르겐 모저,wireugen mojeo
yuri manin,유리 마닌,yuri manin
leo august pochhammer,레오 아우구스트 포흐하머,reo auguseuteu poheuhameo
erich kähler,에리히 켈러,erihi kelreo
wilhelm canaris,빌헬름 카나리스,bilhelreum kanariseu
albrecht kossel,알브레히트 코셀,albeurehiteu kosel
hansulrich rudel,한스울리히 루델,hanseuulrihi rudel
eike immel,아이케 이멜,aike imel
wolfgang petersen,볼프강 페테르젠,bolpeugang petereujen
hermann paul,헤르만 파울,hereuman paul
oswald spengler,오스발트 슈펭글러,oseubalteu syupenggeulreo
constantin carathéodory,콘스탄티노스 카라테오도리,konseutantinoseu karateodori
diane kruger,디아네 크루거,diane keurugeo
jens lehmann,옌스 레만,yenseu reman
martin winterkorn,마르틴 빈터코른,mareutin binteokoreun
richard wilhelm,리하르트 빌헬름,rihareuteu bilhelreum
torsten may,토르스텐 마이,toreuseuten mai
walter buch,발터 부흐,balteo buheu
egon bahr,에곤 바르,egon bareu
carl friedrich von weizsäcker,카를 프리드리히 폰 바이츠제커,kareul peurideurihi pon baiceujekeo
andreas hillgruber,안드레아스 힐그루버,andeureaseu hilgeurubeo
paul levi,파울 레비,paul rebi
thore schölermann,토레 슐레만,tore syulreman
erich raeder,에리히 레더,erihi redeo
max abraham,막스 아브라함,magseu abeuraham
friedrich christian von sachsen,프리드리히 크리스티안 폰 작센,peurideurihi keuriseutian pon jagsen
ernst witt,에른스트 비트,ereunseuteu biteu
hanna reitsch,하나 라이치,hana raici
hermann müller,헤르만 뮐러,hereuman mwilreo
hermann muthesius,헤르만 무테지우스,hereuman mutejiuseu
alexander wendt,알렉산더 웬트,alregsandeo wenteu
zé roberto,제 호베르투,je hobereutu
adolf galland,아돌프 갈란트,adolpeu galranteu
georg von küchler,게오르크 폰 퀴흘러,georeukeu pon kwiheulreo
franz halder,프란츠 할더,peuranceu haldeo
werner von blomberg,베르너 폰 블롬베르크,bereuneo pon beulrombereukeu
meret becker,메레트 베커,mereteu bekeo
ludwig beck,루트비히 베크,ruteubihi bekeu
christoph schneider,크리스토프 슈나이더,keuriseutopeu syunaideo
erhard milch,에르하르트 밀히,ereuhareuteu milhi
sebastian brendel,제바스티안 브렌델,jebaseutian beurendel
johann geiler von kaysersberg,요한 가일러 폰 카이저스베르크,yohan gailreo pon kaijeoseubereukeu
otto sander,오토 잔더,oto jandeo
cacau,카카우,kakau
hermann hoth,헤르만 호트,hereuman hoteu
joachim jeremias,요아힘 예레미아스,yoahim yeremiaseu
thomas hitzlsperger,토마스 히츨슈페르거,tomaseu hiceulsyupereugeo
ernst busch,에른스트 부슈,ereunseuteu busyu
max hartung,막스 하르퉁,magseu hareutung
ferdinand schörner,페르디난트 쇠르너,pereudinanteu soereuneo
sepp dietrich,제프 디트리히,jepeu diteurihi
paul hausser,파울 하우서,paul hauseo
matthias sammer,마티아스 자머,matiaseu jameo
eugen dalbert,외젠 달베르,oejen dalbereu
ingrid micklerbecker,잉그리트 베커,inggeuriteu bekeo
friedrich gogarten,프리드리히 고가르텐,peurideurihi gogareuten
hermann sudermann,헤르만 주더만,hereuman judeoman
gundi busch,군디 부슈,gundi busyu
theodor schneider,테오도어 슈나이더,teodoeo syunaideo
hans lewy,한스 레비,hanseu rebi
horst ludwig störmer,호르스트 루트비히 슈퇴르머,horeuseuteu ruteubihi syutoereumeo
claude dornier,클라우드 도르니에,keulraudeu doreunie
timo hildebrand,티모 힐데브란트,timo hildebeuranteu
walther von brauchitsch,발터 폰 브라우히치,balteo pon beurauhici
michael fassbender,마이클 패스벤더,maikeul paeseubendeo
carl dahlhaus,카를 달하우스,kareul dalhauseu
senta berger,젠타 베르거,jenta bereugeo
dana vávrová,다나 바브로바,dana babeuroba
stefan george,슈테판 게오르게,syutepan georeuge
hans adolf krebs,핸스 애돌프 크레브스,haenseu aedolpeu keurebeuseu
gerhard domagk,게르하르트 도마크,gereuhareuteu domakeu
magda schneider,마그다 슈나이더,mageuda syunaideo
werner maihofer,베르너 마이호퍼,bereuneo maihopeo
herbert kroemer,허버트 크뢰머,heobeoteu keuroemeo
lothar bisky,로타어 비스키,rotaeo biseuki
hans furler,한스 푸를러,hanseu pureulreo
alex wright,앨릭스 라이트,aelrigseu raiteu
hannelore kohl,하넬로레 콜,hanelrore kol
heinz london,하인츠 론돈,hainceu rondon
jochen hecht,요헨 헥트,yohen hegteu
karl allgöwer,카를 알괴버,kareul algoebeo
erich hartmann,에리히 하르트만,erihi hareuteuman
moritz schlick,모리츠 슐리크,moriceu syulrikeu
joachim peiper,요아힘 파이퍼,yoahim paipeo
wilhelm list,빌헬름 리스트,bilhelreum riseuteu
magda goebbels,마그다 괴벨스,mageuda goebelseu
hans von seeckt,한스 폰 젝트,hanseu pon jegteu
paul von lettowvorbeck,파울 폰 레토포어베크,paul pon retopoeobekeu
andreas hinkel,안드레아스 힝켈,andeureaseu hingkel
arthur nikisch,아르투르 니키슈,areutureu nikisyu
karen horney,카렌 호나이,karen honai
ernst ruska,에른스트 루스카,ereunseuteu ruseuka
james last,제임스 라스트,jeimseu raseuteu
traudl junge,트라우들 융에,teuraudeul yunge
klaus von klitzing,클라우스 폰 클리칭,keulrauseu pon keulricing
walther funk,발터 풍크,balteo pungkeu
thomas brdarić,토마스 브르다리치,tomaseu beureudarici
wilhelm röpke,빌헬름 뢰프케,bilhelreum roepeuke
paula riemann,파울라 리만,paulra riman
emilie schindler,에밀리 쉰들러,emilri swindeulreo
wolfgang paul,볼프강 파울,bolpeugang paul
ulrich plenzdorf,울리히 플렌츠도르프,ulrihi peulrenceudoreupeu
mark medlock,마크 메드록,makeu medeurog
katja riemann,카차 리만,kaca riman
tron,트론,teuron
christl cranz,크리스틀 크란츠,keuriseuteul keuranceu
sabine bergmannpohl,자비네 베르크만폴,jabine bereukeumanpol
niklas luhmann,니클라스 루만,nikeulraseu ruman
ernst bloch,에른스트 블로흐,ereunseuteu beulroheu
heike drechsler,하이케 드렉슬러,haike deuregseulreo
hans modrow,한스 모드로,hanseu modeuro
paul hindemith,파울 힌데미트,paul hindemiteu
marika kilius,마리카 킬리우스,marika kilriuseu
hansjürgen bäumler,한스위르겐 보임러,hanseuwireugen boimreo
sebastian bachmann,제바스티안 바흐만,jebaseutian baheuman
antje buschschulte,안톄 부슈슐테,antye busyusyulte
alexander sulzer,알렉산더 줄처,alregsandeo julceo
klausdieter sieloff,클라우스디터 질로프,keulrauseuditeo jilropeu
maurizio gaudino,마우리치오 가우디노,mauricio gaudino
wolfgang rolff,볼프강 롤프,bolpeugang rolpeu
hans pietsch,한스 피치,hanseu pici
ernst zermelo,에른스트 체르멜로,ereunseuteu cereumelro
ulf timmermann,울프 티머만,ulpeu timeoman
hans jonas,한스 요나스,hanseu yonaseu
anneliese michel,아넬리제 미헬,anelrije mihel
sarah hecken,자라 헤켄,jara heken
hape kerkeling,하페 케르켈링,hape kereukelring
britta steffen,브리타 슈테펜,beurita syutepen
helmuth weidling,헬무트 바이틀링,helmuteu baiteulring
elisabeth schwarzkopf,엘리자베트 슈바르츠코프,elrijabeteu syubareuceukopeu
wilhelm furtwängler,빌헬름 푸르트벵글러,bilhelreum pureuteubenggeulreo
ulrich mühe,울리히 뮈헤,ulrihi mwihe
kuno von westarp,쿠노 폰 베스타르프,kuno pon beseutareupeu
harald schmidt,하랄트 슈미트,haralteu syumiteu
gottfried benn,고트프리트 벤,goteupeuriteu ben
ermanno wolfferrari,에르만노 볼프페라리,ereumanno bolpeuperari
melitta schenk gräfin von stauffenberg,멜리타 솅크 그래핀 폰 슈타우펜베르크,melrita syengkeu geuraepin pon syutaupenbereukeu
erich von dem bachzelewski,에리히 폰 뎀 바흐,erihi pon dem baheu
gerhard barkhorn,게르하르트 바르크호른,gereuhareuteu bareukeuhoreun
rolf kanies,롤프 카니스,rolpeu kaniseu
werner stengel,베르너 슈텡겔,bereuneo syutenggel
walter baade,발터 바데,balteo bade
hansgert pöttering,한스게르트 푀테링,hanseugereuteu poetering
robert michels,로베르트 미헬스,robereuteu mihelseu
erich mielke,에리히 밀케,erihi milke
frank wieneke,프랑크 비네케,peurangkeu bineke
jörg fiedler,외르크 피들러,oereukeu pideulreo
anna seghers,아나 제거스,ana jegeoseu
til schweiger,틸 슈바이거,til syubaigeo
johannes coccejus,요한 코케이우스,yohan kokeiuseu
harald quandt,하랄트 크반트,haralteu keubanteu
maria sibylla merian,마리아 지빌라 메리안,maria jibilra merian
heike makatsch,하이케 마카치,haike makaci
wolfram sievers,볼프람 지페르스,bolpeuram jipereuseu
reinhard genzel,라인하르트 겐첼,rainhareuteu gencel
imke duplitzer,임케 두플리처,imke dupeulriceo
albert göring,알베르트 괴링,albereuteu goering
gudrun burwitz,구드룬 부르비츠,gudeurun bureubiceu
sören kam,쇠렌 캄,soeren kam
stipe erceg,스티페 에르체그,seutipe ereucegeu
karl hermann frank,카를 헤르만 프랑크,kareul hereuman peurangkeu
joschka fischer,요슈카 피셔,yosyuka pisyeo
karl rahner,카를 라너,kareul raneo
volker schlöndorff,폴커 슐뢴도르프,polkeo syulroendoreupeu
august diehl,아우구스트 딜,auguseuteu dil
nicolaus reimers,니콜라우스 라이머스,nikolrauseu raimeoseu
konrad hesse,콘라트 헤세,konrateu hese
diana amft,디아나 암프트,diana ampeuteu
ludwig müller,루트비히 뮐러,ruteubihi mwilreo
torsten albig,토르스텐 알비히,toreuseuten albihi
ernst albrecht,에른스트 알브레히트,ereunseuteu albeurehiteu
gustav noske,구스타프 노스케,guseutapeu noseuke
hans pfitzner,한스 피츠너,hanseu piceuneo
georg friedrich prinz von preußen,게오르크 프리드리히 폰 프로이센 왕자,georeukeu peurideurihi pon peuroisen wangja
johann reichhart,요한 라이히하르트,yohan raihihareuteu
martin wuttke,마르틴 부트케,mareutin buteuke
detlev buck,데틀레프 부크,deteulrepeu bukeu
christiane paul,크리스티아네 파울,keuriseutiane paul
helmut gollwitzer,헬무트 골비처,helmuteu golbiceo
lale andersen,랄레 안데르센,ralre andereusen
christa wolf,크리스타 볼프,keuriseuta bolpeu
michael groß,미하엘 그로스,mihael geuroseu
wilhelm schickard,빌헬름 시카르트,bilhelreum sikareuteu
albrecht brandi,알브레히트 브란디,albeurehiteu beurandi
martin walser,마르틴 발저,mareutin baljeo
alfred döblin,알프레트 되블린,alpeureteu doebeulrin
max raabe,막스 라베,magseu rabe
markus wolf,마르쿠스 볼프,mareukuseu bolpeu
georg keppler,게오르크 케플러,georeukeu kepeulreo
ernst krieck,에른스트 크리크,ereunseuteu keurikeu
herbert kegel,헤르베르트 케겔,hereubereuteu kegel
dorothea röschmann,도로테아 뢰슈만,dorotea roesyuman
helmut käutner,헬무트 코이트너,helmuteu koiteuneo
wolfgang abendroth,볼프강 아벤트로트,bolpeugang abenteuroteu
wolfgang staudte,볼프강 슈타우테,bolpeugang syutaute
ernstwolfgang böckenförde,에른스트볼프강 뵈켄푀르데,ereunseuteubolpeugang boekenpoereude
friedrich kittler,프리드리히 키틀러,peurideurihi kiteulreo
gerard kleisterlee,헤라르트 클레이스테를레이,herareuteu keulreiseutereulrei
luise rinser,루이제 린저,ruije rinjeo
otto von waldburg,오토 폰 발트부르크,oto pon balteubureukeu
georg gaffky,게오르크 가프키,georeukeu gapeuki
anton ackermann,안톤 아커만,anton akeoman
max trapp,막스 트라프,magseu teurapeu
christine wenzel,크리스티네 브링커,keuriseutine beuringkeo
nicolas limbach,니콜라스 림바흐,nikolraseu rimbaheu
hans knappertsbusch,한스 크나퍼츠부슈,hanseu keunapeoceubusyu
eugen jochum,오이겐 요훔,oigen yohum
carl friedrich goerdeler,카를 프리드리히 괴르델러,kareul peurideurihi goereudelreo
heiner müller,하이너 뮐러,haineo mwilreo
thomas berthold,토마스 베르톨트,tomaseu bereutolteu
leopold jessner,레오폴트 예스너,reopolteu yeseuneo
christian reitz,크리스티안 라이츠,keuriseutian raiceu
martin sandberger,마르틴 잔트베르거,mareutin janteubereugeo
stefanie zweig,슈테파니 츠바이크,syutepani ceubaikeu
elisabeth röhm,엘리자베스 룀,elrijabeseu roem
otto deßloch,오토 데슬로흐,oto deseulroheu
jan hendrik schön,얀 헨드릭 쇤,yan hendeurig soen
hans oster,한스 오스터,hanseu oseuteo
hermannbernhard ramcke,헤르만베른하르트 람케,hereumanbereunhareuteu ramke
antje traue,안톄 트라우에,antye teuraue
woldemar voigt,볼데마르 포크트,boldemareu pokeuteu
andreas scholl,안드레아스 숄,andeureaseu syol
heinrich hoffmann,하인리히 호프만,hainrihi hopeuman
wilhelm burgdorf,빌헬름 부르크도르프,bilhelreum bureukeudoreupeu
günter schabowski,귄터 샤보프스키,gwinteo syabopeuseuki
helmut knochen,헬무트 크노헨,helmuteu keunohen
kurt maetzig,쿠르트 매치히,kureuteu maecihi
götz otto,괴츠 오토,goeceu oto
zacharias ursinus,자카리아스 우르시누스,jakariaseu ureusinuseu
günter wand,귄터 반트,gwinteo banteu
hermann gunkel,헤르만 궁켈,hereuman gungkel
fritz thyssen,프리츠 티센,peuriceu tisen
karl koller,카를 콜러,kareul kolreo
