кирилл,基里尔,jī lǐ ěr
ессентуки,叶先图基,yè xiān tú jī
ершов,叶尔绍夫,yè ěr shào fū
железноводск,热列兹诺沃茨克,rè liè zī nuò wò cí kè
ефремов,叶夫列莫夫,yè fū liè mò fū
якутск,雅库茨克,yǎ kù cí kè
нарьянмар,纳里扬马尔,nà lǐ yáng mǎ ěr
уланудэ,乌兰乌德,wū lán wū dé
жигулёвск,日古廖夫斯克,rì gǔ liào fū sī kè
жиздра,日兹德拉,rì zī dé lā
жуков,茹科夫,rú kē fū
жирновск,日尔诺夫斯克,rì ěr nuò fū sī kè
жуковка,茹科夫卡,rú kē fū kǎ
псков,普斯科夫,pǔ sī kē fū
ставрополь,斯塔夫罗波尔,sī tǎ fū luó bō ěr
сызрань,塞兹兰,sāi zī lán
гатчина,加特契纳,jiā tè qì nà
заречный,扎列奇内,zhā liè qí nèi
заринск,扎林斯克,zhā lín sī kè
ярцево,亚尔采沃,yà ěr cǎi wò
ясногорск,亚斯诺戈尔斯克,yà sī nuò gē ěr sī kè
амур,黑龙江,hēi lóng jiāng
заинск,扎因斯克,zhā yīn sī kè
заволжск,扎沃尔日斯克,zhā wò ěr rì sī kè
задонск,扎东斯克,zhā dōng sī kè
заволжье,扎沃尔日耶,zhā wò ěr rì yē
магас,马加斯,mǎ jiā sī
благовещенск,海兰泡,hǎi lán pào
дальнегорск,达利涅戈尔斯克,dá lì niè gē ěr sī kè
закаменск,扎卡缅斯克,zhā kǎ miǎn sī kè
заозёрск,扎奥焦尔斯克,zhā ào jiāo ěr sī kè
заполярный,扎波利亚尔内,zhā bō lì yà ěr nèi
зарайск,扎赖斯克,zhā lài sī kè
юхнов,尤赫诺夫,yóu hè nuò fū
ядрин,亚德林,yà dé lín
нальчик,纳利奇克,nà lì qí kè
янаул,亚纳乌尔,yà nà wū ěr
яровое,亚罗沃耶,yà luó wò yē
яранск,亚兰斯克,yà lán sī kè
севастополь,塞瓦斯托波尔,sāi wǎ sī tuō bō ěr
звенигово,兹韦尼戈沃,zī wéi ní gē wò
звенигород,兹韦尼哥罗德,zī wéi ní gē luó dé
зверево,兹韦列沃,zī wéi liè wò
кромы,克罗梅,kè luó méi
ясный,亚斯内,yà sī nèi
ивня,伊夫尼亚,yī fū ní yà
саратов,萨拉托夫,sà lā tuō fū
зеленокумск,泽列诺库姆斯克,zé liè nuò kù mǔ sī kè
зеленодольск,泽廖诺多利斯克,zé liào nuò duō lì sī kè
коммунар,科穆纳尔,kē mù nà ěr
черкесск,切尔克斯克,qiè ěr kè sī kè
зерноград,泽尔诺格勒,zé ěr nuò gé lè
тальменка,塔利缅卡,tǎ lì miǎn kǎ
автотор,阿维托托尔,ā wéi tuō tuō ěr
саяны,萨彦岭,sà yàn lǐng
зея,结雅,jié yǎ
златоуст,兹拉托乌斯特,zī lā tuō wū sī tè
зима,济马,jì mǎ
злынка,兹伦卡,zī lún kǎ
змеиногорск,兹梅伊诺戈尔斯克,zī méi yī nuò gē ěr sī kè
бердяуш,别尔佳乌什,bié ěr jiā wū shén
биробиджан,比罗比詹,bǐ luó bǐ zhān
саранск,萨兰斯克,sà lán sī kè
киров,基洛夫,jī luò fū
судак,苏达克,sū dá kè
федерация,联邦塔,lián bāng tǎ
знаменск,兹纳缅斯克,zī nà miǎn sī kè
зубцов,祖布佐夫,zǔ bù zuǒ fū
мосфильм,莫斯科电影制片厂,mò sī kē diàn yǐng zhì piàn chǎng
новокузнецк,新库兹涅茨克,xīn kù zī niè cí kè
люберцы,柳别尔齐,liǔ bié ěr qí
ижевск,伊热夫斯克,yī rè fū sī kè
волжский,伏尔加斯基,fú ěr jiā sī jī
массандра,马桑德拉,mǎ sāng dé lā
гаспра,哈斯普拉,hā sī pǔ lā
игарка,伊加尔卡,yī jiā ěr kǎ
ивдель,伊夫杰利,yī fū jié lì
кириши,基里希,jī lǐ xī
магнитогорск,马格尼托哥尔斯克,mǎ gé ní tuō gē ěr sī kè
зуевка,祖耶夫卡,zǔ yē fū kǎ
ивантеевка,伊万捷耶夫卡,yī wàn jié yē fū kǎ
сибирь,西伯利亚,xī bǎi lì yà
избербаш,伊兹别尔巴什,yī zī bié ěr bā shén
изобильный,伊佐比利内,yī zuǒ bǐ lì nèi
крым,克里米亚,kè lǐ mǐ yà
южносахалинск,南萨哈林斯克,nán sà hā lín sī kè
инза,因扎,yīn zhā
инсар,因萨尔,yīn sà ěr
елец,叶列茨,yè liè cí
ельня,叶利尼亚,yè lì ní yà
калачнадону,顿河畔卡拉奇,dùn hé pàn kǎ lā qí
ипатово,伊帕托沃,yī pà tuō wò
таванбогдоула,塔弯博格多,tǎ wān bó gé duō
пушкин,普希金,pǔ xī jīn
айны,阿伊努族,ā yī nǔ zú
петропавловсккамчатский,堪察加彼得罗巴甫洛夫斯克,kān chá jiā bǐ dé luó bā fǔ luò fū sī kè
снеговой,斯涅戈沃伊火山,sī niè gē wò yī huǒ shān
ирбит,伊尔比特,yī ěr bǐ tè
исилькуль,伊西利库尔,yī xī lì kù ěr
истра,伊斯特拉,yī sī tè lā
искитим,伊斯基季姆,yī sī jī jì mǔ
ишим,伊希姆,yī xī mǔ
вязьма,维亚济马,wéi yà jì mǎ
волоколамск,沃洛科拉姆斯克,wò luò kē lā mǔ sī kè
инта,因塔,yīn tǎ
казбек,卡兹别克山,kǎ zī bié kè shān
дмитров,德米特罗夫,dé mǐ tè luó fū
зеленоград,泽列诺格勒,zé liè nuò gé lè
уссури,乌苏里江,wū sū lǐ jiāng
магадан,马加丹,mǎ jiā dān
ковров,科夫罗夫,kē fū luó fū
абаза,阿巴扎,ā bā zhā
алейск,阿列伊斯克,ā liè yī sī kè
адыгейск,阿迪格斯克,ā dí gé sī kè
калач,卡拉奇,kǎ lā qí
кадников,卡德尼科夫,kǎ dé ní kē fū
ишимбай,伊希姆拜,yī xī mǔ bài
полесье,波利西亚,bō lì xī yà
хамниганы,哈米尼干,hā mǐ ní gān
укок,乌科克高原,wū kē kè gāo yuán
приозерск,普里奥焦尔斯克,pǔ lǐ ào jiāo ěr sī kè
белокуриха,别洛库里哈,bié luò kù lǐ hā
анадырь,阿纳德尔,ā nà dé ěr
абдулино,阿卜杜利诺,ā bǔ dù lì nuò
бийск,比斯克,bǐ sī kè
газпром,俄罗斯天然气工业股份公司,é luó sī tiān rán qì gōng yè gǔ fèn gōng sī
агрыз,阿格雷兹,ā gé léi zī
агидель,阿吉杰利,ā jí jié lì
камбарка,坎巴尔卡,kǎn bā ěr kǎ
арбат,阿尔巴特街,ā ěr bā tè jiē
калачинск,卡拉钦斯克,kǎ lā qīn sī kè
калтан,卡尔坦,kǎ ěr tǎn
калининск,加里宁斯克,jiā lǐ níng sī kè
каменьнаоби,鄂毕河畔卡缅,è bì hé pàn kǎ miǎn
каменскшахтинский,卡缅斯克沙赫京斯基,kǎ miǎn sī kè shā hè jīng sī jī
калязин,卡利亚津,kǎ lì yà jīn
камешково,卡梅什科沃,kǎ méi shén kē wò
камызяк,卡梅贾克,kǎ méi jiǎ kè
кандалакша,坎达拉克沙,kǎn dá lā kè shā
алатырь,阿拉特里,ā lā tè lǐ
канск,坎斯克,kǎn sī kè
карабаш,卡拉巴什,kǎ lā bā shén
алапаевск,阿拉帕耶夫斯克,ā lā pà yē fū sī kè
алагир,阿拉吉尔,ā lā jí ěr
амкар,彼尔姆安卡足球俱乐部,bǐ ěr mǔ ān kǎ zú qiú jù lè bù
карабулак,卡拉布拉克,kǎ lā bù lā kè
азнакаево,阿兹纳卡耶沃,ā zī nà kǎ yē wò
ангарск,安加尔斯克,ān jiā ěr sī kè
амурск,阿穆尔斯克,ā mù ěr sī kè
канаш,卡纳什,kǎ nà shén
касли,卡斯利,kǎ sī lì
касимов,卡西莫夫,kǎ xī mò fū
москвасити,莫斯科国际商业中心,mò sī kē guó jì shāng yè zhōng xīn
акдовурак,阿克多武拉克,ā kè duō wǔ lā kè
азов,亚速,yà sù
катавивановск,卡塔夫伊万诺夫斯克,kǎ tǎ fū yī wàn nuò fū sī kè
каспийск,卡斯皮斯克,kǎ sī pí sī kè
аксай,阿克赛,ā kè sài
камышин,卡梅申,kǎ méi shēn
камышлов,卡梅什洛夫,kǎ méi shén luò fū
путорана,普托拉纳高原,pǔ tuō lā nà gāo yuán
анжеросудженск,安热罗苏真斯克,ān rè luó sū zhēn sī kè
андреаполь,安德烈亚波尔,ān dé liè yà bō ěr
катайск,卡泰斯克,kǎ tài sī kè
качканар,卡奇卡纳尔,kǎ qí kǎ nà ěr
кедровый,克德罗维,kè dé luó wéi
аргун,阿尔贡,ā ěr gòng
арамиль,阿拉米尔,ā lā mǐ ěr
апрелевка,阿普雷列夫卡,ā pǔ léi liè fū kǎ
апатиты,阿帕季特,ā pà jì tè
анива,阿尼瓦,ā ní wǎ
алдан,阿尔丹,ā ěr dān
александровск,亚历山德罗夫斯克,yà lì shān dé luó fū sī kè
александров,亚历山德罗夫,yà lì shān dé luó fū
алексин,阿列克辛,ā liè kè xīn
карачаевск,卡拉恰耶夫斯克,kǎ lā qià yē fū sī kè
карасук,卡拉苏克,kǎ lā sū kè
александровсксахалинский,萨哈林岛亚历山德罗夫斯克,sà hā lín dǎo yà lì shān dé luó fū sī kè
алзамай,阿尔扎迈,ā ěr zhā mài
каргат,卡尔加特,kǎ ěr jiā tè
карачев,卡拉切夫,kǎ lā qiè fū
карталы,卡尔塔雷,kǎ ěr tǎ léi
карпинск,卡尔平斯克,kǎ ěr píng sī kè
альметьевск,阿尔梅季耶夫斯克,ā ěr méi jì yē fū sī kè
каргополь,卡尔戈波尔,kǎ ěr gē bō ěr
арск,阿尔斯克,ā ěr sī kè
искра,火星报,huǒ xīng bào
хасавюрт,哈萨维尤尔特,hā sà wéi yóu ěr tè
асино,阿西诺,ā xī nuò
кизел,基泽尔,jī zé ěr
кемь,凯姆,kǎi mǔ
кашира,卡希拉,kǎ xī lā
кашин,卡申,kǎ shēn
кизилюрт,克孜勒尤尔特,kè zī lè yóu ěr tè
шхара,什哈拉山,shén hā lā shān
кимры,基姆雷,jī mǔ léi
кинель,基涅利,jī niè lì
кимовск,基莫夫斯克,jī mò fū sī kè
ахтубинск,阿赫图宾斯克,ā hè tú bīn sī kè
аткарск,阿特卡尔斯克,ā tè kǎ ěr sī kè
ванавара,瓦纳瓦拉,wǎ nà wǎ lā
арзамас,阿尔扎马斯,ā ěr zhā mǎ sī
ардатов,阿尔达托夫,ā ěr dá tuō fū
кихпиныч,基赫皮内奇火山,jī hè pí nèi qí huǒ shān
алексеевское,阿列克谢耶夫斯科耶,ā liè kè xiè yē fū sī kē yē
балей,巴列伊,bā liè yī
балашов,巴拉绍夫,bā lā shào fū
кириллов,基里洛夫,jī lǐ luò fū
кировочепецк,基洛沃切佩茨克,jī luò wò qiè pèi cí kè
кировград,基洛夫格勒,jī luò fū gé lè
аркадак,阿尔卡达克,ā ěr kǎ dá kè
арсеньев,阿尔谢尼耶夫,ā ěr xiè ní yē fū
артём,阿尔乔姆,ā ěr qiáo mǔ
артёмовск,阿尔乔莫夫斯克,ā ěr qiáo mò fū sī kè
артёмовский,阿尔乔莫夫斯基,ā ěr qiáo mò fū sī jī
кизляр,基兹利亚尔,jī zī lì yà ěr
опочка,奥波奇卡,ào bō qí kǎ
асбест,阿斯别斯特,ā sī bié sī tè
нерчинск,尼布楚,ní bù chǔ
шумиха,舒米哈,shū mǐ hā
щигры,希格雷,xī gé léi
альфа,阿尔法小组,ā ěr fǎ xiǎo zǔ
луза,卢扎,lú zhā
лукоянов,卢科亚诺夫,lú kē yà nuò fū
бабушкин,巴布什金,bā bù shén jīn
царьколокол,沙皇钟,shā huáng zhōng
барабинск,巴拉宾斯克,bā lā bīn sī kè
барыш,巴雷什,bā léi shén
бежецк,别热茨克,bié rè cí kè
батайск,巴泰斯克,bā tài sī kè
бисерть,比谢尔季,bǐ xiè ěr jì
царицыно,察里津公园,chá lǐ jīn gōng yuán
царьпушка,沙皇炮,shā huáng pào
балабаново,巴拉巴诺沃,bā lā bā nuò wò
ялуторовск,亚卢托罗夫斯克,yà lú tuō luó fū sī kè
бавлы,巴夫雷,bā fū léi
багратионовск,巴格拉季奥诺夫斯克,bā gé lā jì ào nuò fū sī kè
байкальск,贝加尔斯克,bèi jiā ěr sī kè
баймак,拜马克,bài mǎ kè
баксан,巴克桑,bā kè sāng
бакал,巴卡尔,bā kǎ ěr
алроса,埃罗莎,āi luó shā
лакинск,拉金斯克,lā jīn sī kè
тасс,塔斯社,tǎ sī shè
курагино,库拉吉诺,kù lā jí nuò
кировск,基洛夫斯克,jī luò fū sī kè
ачинск,阿钦斯克,ā qīn sī kè
бабаево,巴巴耶沃,bā bā yē wò
аша,阿沙,ā shā
балашиха,巴拉希哈,bā lā xī hā
балахна,巴拉赫纳,bā lā hè nà
балаково,巴拉科沃,bā lā kē wò
киржач,基尔扎奇,jī ěr zhā qí
киреевск,基列耶夫斯克,jī liè yē fū sī kè
киренск,基廉斯克,jī lián sī kè
кинешма,基涅什马,jī niè shén mǎ
нарышкино,纳雷什基诺,nà léi shén jī nuò
курган,库尔干,kù ěr gān
белово,别洛沃,bié luò wò
белинский,别林斯基,bié lín sī jī
белозерск,别洛焦尔斯克,bié luò jiāo ěr sī kè
климовск,克利莫夫斯克,kè lì mò fū sī kè
белогорск,别洛戈尔斯克,bié luò gē ěr sī kè
княгинино,克尼亚吉尼诺,kè ní yà jí ní nuò
клин,克林,kè lín
клинцы,克林齐,kè lín qí
прогресс,进步号飞船,jìn bù hào fēi chuán
белебей,别列别伊,bié liè bié yī
сонково,松科沃,sōng kē wò
киселёвск,基谢廖夫斯克,jī xiè liào fū sī kè
кирсанов,基尔萨诺夫,jī ěr sà nuò fū
белёв,别廖夫,bié liào fū
кирс,基尔斯,jī ěr sī
кисловодск,基斯洛沃茨克,jī sī luò wò cí kè
белый,别雷,bié léi
белоярский,别洛亚尔斯基,bié luò yà ěr sī jī
белоусово,别洛乌索沃,bié luò wū suǒ wò
белорецк,别洛列茨克,bié luò liè cí kè
орешек,什利谢利堡要塞,shén lì xiè lì bǎo yào sài
бокситогорск,博克西托戈尔斯克,bó kè xī tuō gē ěr sī kè
пикалёво,皮卡廖沃,pí kǎ liào wò
ковылкино,科维尔基诺,kē wéi ěr jī nuò
ковдор,科夫多尔,kē fū duō ěr
волосово,沃洛索沃,wò luò suǒ wò
дружба,友谊输油管道,yǒu yì shū yóu guǎn dào
бердск,别尔茨克,bié ěr cí kè
волхов,沃尔霍夫,wò ěr huò fū
березники,别列兹尼基,bié liè zī ní jī
берёзовский,别廖佐夫斯基,bié liào zuǒ fū sī jī
когалым,科加雷姆,kē jiā léi mǔ
кодинск,科金斯克,kē jīn sī kè
козельск,科泽利斯克,kē zé lì sī kè
катынь,卡廷,kǎ tíng
мгимо,莫斯科国立国际关系学院,mò sī kē guó lì guó jì guān xì xué yuàn
ивангород,伊万哥罗德,yī wàn gē luó dé
всеволожск,弗谢沃洛日斯克,fú xiè wò luò rì sī kè
высоцк,维索茨克,wéi suǒ cí kè
бикин,比金,bǐ jīn
билибино,比利比诺,bǐ lì bǐ nuò
кингисепп,金吉谢普,jīn jí xiè pǔ
каменногорск,卡缅诺戈尔斯克,kǎ miǎn nuò gē ěr sī kè
беслан,别斯兰,bié sī lán
колпашево,科尔帕舍沃,kē ěr pà shè wò
колпино,科尔皮诺,kē ěr pí nuò
кольчугино,科利丘吉诺,kē lì qiū jí nuò
благодарный,布拉戈达尔内,bù lā gē dá ěr nèi
бобров,博布罗夫,bó bù luó fū
козьмодемьянск,科兹莫杰米扬斯克,kē zī mò jié mǐ yáng sī kè
кола,科拉,kē lā
кологрив,科洛格里夫,kē luò gé lǐ fū
бирск,比尔斯克,bǐ ěr sī kè
козловка,科兹洛夫卡,kē zī luò fū kǎ
бирюч,比留奇,bǐ liú qí
бирюсинск,比留辛斯克,bǐ liú xīn sī kè
светогорск,斯韦托戈尔斯克,sī wéi tuō gē ěr sī kè
подпорожье,波德波罗日耶,bō dé bō luó rì yē
богучар,博古恰尔,bó gǔ qià ěr
богородицк,博戈罗季茨克,bó gē luó jì cí kè
богданович,波格丹诺维奇,bō gé dān nuò wéi qí
приморск,普里莫尔斯克,pǔ lǐ mò ěr sī kè
боготол,博戈托尔,bó gē tuō ěr
богородск,博戈罗茨克,bó gē luó cí kè
конаково,科纳科沃,kē nà kē wò
кондопога,孔多波加,kǒng duō bō jiā
никольское,尼科利斯科耶,ní kē lì sī kē yē
лукойл,卢克石油,lú kè shí yóu
отрадное,奥特拉德诺耶,ào tè lā dé nuò yē
сланцы,斯兰齐,sī lán qí
сертолово,谢尔托洛沃,xiè ěr tuō luò wò
луга,卢加,lú jiā
сясьстрой,夏西斯特罗伊,xià xī sī tè luó yī
тихвин,季赫温,jì hè wēn
болхов,博尔霍夫,bó ěr huò fū
болохово,博洛霍沃,bó luò huò wò
константиновск,康斯坦丁诺夫斯克,kāng sī tǎn dīng nuò fū sī kè
копейск,科佩伊斯克,kē pèi yī sī kè
туруханск,图鲁汉斯克,tú lǔ hàn sī kè
коркино,科尔基诺,kē ěr jī nuò
костерёво,科斯捷廖沃,kē sī jié liào wò
коряжма,科里亚日马,kē lǐ yà rì mǎ
кораблино,科拉布利诺,kē lā bù lì nuò
бор,博尔,bó ěr
бодайбо,博代博,bó dài bó
болгар,博尔加尔,bó ěr jiā ěr
королёв,科罗廖夫,kē luó liào fū
борзя,博尔贾,bó ěr jiǎ
бологое,博洛戈耶,bó luò gē yē
болотное,博洛特诺耶,bó luò tè nuò yē
кондрово,孔德罗沃,kǒng dé luó wò
сихотэалинь,锡霍特山脉,xī huò tè shān mài
корсаков,科尔萨科夫,kē ěr sà kē fū
ахтанг,阿赫坦格火山,ā hè tǎn gé huǒ shān
ахты,阿赫特,ā hè tè
листвянка,利斯特维扬卡,lì sī tè wéi yáng kǎ
тосно,托斯诺,tuō sī nuò
суздаль,苏兹达尔,sū zī dá ěr
анапа,阿纳帕,ā nà pà
армавир,阿尔马维尔,ā ěr mǎ wéi ěr
георгиевск,格奥尔吉耶夫斯克,gé ào ěr jí yē fū sī kè
вытегра,维捷格拉,wéi jié gé lā
темрюк,捷姆留克,jié mǔ liú kè
каменскуральский,乌拉尔地区卡缅斯克,wū lā ěr dì qū kǎ miǎn sī kè
красновишерск,克拉斯诺维舍尔斯克,kè lā sī nuò wéi shè ěr sī kè
красногорск,克拉斯诺戈尔斯克,kè lā sī nuò gē ěr sī kè
чернушка,切尔努什卡,qiè ěr nǔ shén kǎ
урюпинск,乌留平斯克,wū liú píng sī kè
котельнич,科捷利尼奇,kē jié lì ní qí
яхрома,亚赫罗马,yà hè luó mǎ
горный,戈尔内,gē ěr nèi
миасс,米阿斯,mǐ ā sī
ахтырский,阿赫特尔斯基,ā hè tè ěr sī jī
мирный,米尔内,mǐ ěr nèi
котлас,科特拉斯,kē tè lā sī
вяртсиля,维亚尔齐利亚,wéi yà ěr qí lì yà
чапаев,苏俄弹戏,sū é tán xì
котово,科托沃,kē tuō wò
котовск,科托夫斯克,kē tuō fū sī kè
красавино,克拉萨维诺,kè lā sà wéi nuò
кохма,科赫马,kē hè mǎ
крымск,克雷姆斯克,kè léi mǔ sī kè
кропоткин,克鲁泡特金,kè lǔ pào tè jīn
краснослободск,克拉斯诺斯洛博茨克,kè lā sī nuò sī luò bó cí kè
краснотурьинск,克拉斯诺图林斯克,kè lā sī nuò tú lín sī kè
краснокаменск,克拉斯诺卡缅斯克,kè lā sī nuò kǎ miǎn sī kè
краснокамск,克拉斯诺卡姆斯克,kè lā sī nuò kǎ mǔ sī kè
лабинск,拉宾斯克,lā bīn sī kè
курганинск,库尔加宁斯克,kù ěr jiā níng sī kè
хадыженск,哈德任斯克,hā dé rèn sī kè
геленджик,格连吉克,gé lián jí kè
белореченск,别洛列琴斯克,bié luò liè qín sī kè
донецк,顿涅茨克,dùn niè cí kè
дегтярск,杰格佳尔斯克,jié gé jiā ěr sī kè
новороссийск,新罗西斯克,xīn luó xī sī kè
гулькевичи,古利克维奇,gǔ lì kè wéi qí
котельники,科捷利尼基,kē jié lì ní jī
котельниково,科捷利尼科沃,kē jié lì ní kē wò
костомукша,科斯托穆克沙,kē sī tuō mù kè shā
кореновск,科列诺夫斯克,kē liè nuò fū sī kè
семилуки,谢米卢基,xiè mǐ lú jī
мыски,梅斯基,méi sī jī
апшеронск,阿普歇伦斯克,ā pǔ xiē lún sī kè
