gerónimo,제로니모,jeronimo
carlos slim,카를로스 슬림,kareulroseu seulrim
plutarco elías calles,플루타르코 엘리아스 카예스,peulrutareuko elriaseu kayeseu
jorge campos,호르헤 캄포스,horeuhe kamposeu
ramón vargas,라몬 바르가스,ramon bareugaseu
francisco león de la barra,프란시스코 레온 데 라 바라,peuransiseuko reon de ra bara
guillermo franco,기예르모 프랑코,giyereumo peurangko
daniel bautista,다니엘 바우티스타,daniel bautiseuta
edith gonzález,에디트 곤살레스,editeu gonsalreseu
diego luna,디에고 루나,diego runa
antonio carbajal,안토니오 카르바할,antonio kareubahal
sara ramírez,사라 라미레스,sara ramireseu
emiliano zapata,에밀리아노 사파타,emilriano sapata
emilio portes gil,에밀리오 포르테스 힐,emilrio poreuteseu hil
paul aguilar,파울 아길라르,paul agilrareu
efraín juárez,에프라인 후아레스,epeurain huareseu
sebastián lerdo de tejada,세바스티안 레르도 데 테하다,sebaseutian rereudo de tehada
agustín lara,아구스틴 라라,aguseutin rara
gloria trevi,글로리아 트레비,geulroria teurebi
ricardo osorio,리카르도 오소리오,rikareudo osorio
gael garcía bernal,가엘 가르시아 베르날,gael gareusia bereunal
jessica alba,제시카 알바,jesika alba
dolores heredia,돌로레스 에레디아,dolroreseu eredia
ximena navarrete,히메나 나바레테,himena nabarete
octavio paz,옥타비오 파스,ogtabio paseu
benito juárez,베니토 후아레스,benito huareseu
bora milutinović,보라 밀루티노비치,bora milrutinobici
místico,미스티코,miseutiko
alessandra rosaldo,알레산드라 로살도,alresandeura rosaldo
cara buono,카라 부오노,kara buono
giselle itié,지젤 이티에,jijel itie
pável pardo,파벨 파르도,pabel pareudo
carlos vela,카를로스 벨라,kareulroseu belra
luis buñuel,루이스 부뉴엘,ruiseu bunyuel
rafael márquez,라파엘 마르케스,rapael mareukeseu
vicente fox,비센테 폭스,bisente pogseu
antonio lópez de santa anna,안토니오 로페스 데 산타 안나,antonio ropeseu de santa anna
marga lópez,마르가 로페스,mareuga ropeseu
adolfo ruiz cortines,아돌포 루이스 코르티네스,adolpo ruiseu koreutineseu
alberto del río,알베르토 델 리오,albereuto del rio
olga costa,올가 코스타,olga koseuta
andrés manuel lópez obrador,안드레스 마누엘 로페스 오브라도르,andeureseu manuel ropeseu obeuradoreu
óscar de la hoya,오스카 드 라 호야,oseuka deu ra hoya
sergio pérez,세르히오 페레즈,sereuhio perejeu
juan rulfo,후안 룰포,huan rulpo
ernesto zedillo,에르네스토 세디요,ereuneseuto sediyo
alfonso garcía robles,알폰소 가르시아 로블레스,alponso gareusia robeulreseu
paulina rubio,파울리나 루비오,paulrina rubio
vikki carr,비키 카,biki ka
victoriano huerta,빅토리아노 우에르타,bigtoriano uereuta
israel castro,이스라엘 카스트로,iseurael kaseuteuro
mariano arista,마리아노 아리스타,mariano ariseuta
luis hernández,루이스 에르난데스,ruiseu ereunandeseu
miguel de icaza,미겔 데 이카사,migel de ikasa
alejandro gonzález iñárritu,알레한드로 곤살레스 이냐리투,alrehandeuro gonsalreseu inyaritu
pancho villa,판초 비야,panco biya
javier aguirre,하비에르 아기레,habiereu agire
felipe calderón,펠리페 칼데론,pelripe kalderon
cantinflas,칸틴플라스,kantinpeulraseu
javier solís,하비에르 솔리스,habiereu solriseu
miguel de la madrid,미겔 데 라 마드리드,migel de ra madeurideu
lázaro cárdenas,라사로 카르데나스,rasaro kareudenaseu
adolfo lópez mateos,아돌포 로페스 마테오스,adolpo ropeseu mateoseu
guido pizarro,기도 피사로,gido pisaro
olivia harrison,올리비아 해리슨,olribia haeriseun
carlton cuse,칼턴 큐스,kalteon kyuseu
maribel domínguez,마리벨 도밍게스,maribel dominggeseu
ricardo montalbán,리카르도 몬탈반,rikareudo montalban
mónica ocampo,모니카 오캄포,monika okampo
enrique peña nieto,엔리케 페냐 니에토,enrike penya nieto
silvia pinal,실비아 피날,silbia pinal
josé clemente orozco,호세 클레멘테 오로스코,hose keulremente oroseuko
anthony quinn,앤서니 퀸,aenseoni kwin
cuauhtémoc blanco,콰우테모크 블랑코,kwautemokeu beulrangko
carlos salcido,카를로스 살시도,kareulroseu salsido
ignacio ramírez,이그나시오 라미레스,igeunasio ramireseu
guillermo ochoa,기예르모 오초아,giyereumo ocoa
edward james olmos,에드워드 제임스 올모스,edeuweodeu jeimseu olmoseu
adam mckay,애덤 매케이,aedeom maekei
claudio suárez,클라우디오 수아레스,keulraudio suareseu
demián bichir,데미안 비치르,demian bicireu
kitten natividad,키튼 나티비더드,kiteun natibideodeu
carlos gallardo,카를로스 가야르도,kareulroseu gayareudo
álvaro obregón,알바로 오브레곤,albaro obeuregon
john sutter,존 서터,jon seoteo
guillermo del toro,기예르모 델 토로,giyereumo del toro
sandra echeverría,산드라 에체베리아,sandeura eceberia
anastasio bustamante,아나스타시오 부스타만테,anaseutasio buseutamante
oswaldo sánchez,오스왈도 산체스,oseuwaldo sanceseu
carlos chávez,카를로스 차베스,kareulroseu cabeseu
daniel aceves,다니엘 아세베스,daniel asebeseu
francisco gonzález bocanegra,프란시스코 곤살레스 보카네그라,peuransiseuko gonsalreseu bokanegeura
edgar castillo,에드거 카스틸로,edeugeo kaseutilro
cecilia suárez,세실리아 수아레스,sesilria suareseu
elpidia carrillo,엘피디아 칼리로,elpidia kalriro
pascual ortiz rubio,파스쿠알 오르티스 루비오,paseukual oreutiseu rubio
josé guadalupe osuna millán,호세 과달루페 오수나 밀란,hose gwadalrupe osuna milran
leticia calderón,레티시아 칼데론,retisia kalderon
bárbara mori,바르바라 모리,bareubara mori
jacqueline bracamontes,하켈리네 브라카몬테스,hakelrine beurakamonteseu
marco antonio rodríguez,마르코 안토니오 로드리게스,mareuko antonio rodeurigeseu
julia pastrana,훌리아 파스트라나,hulria paseuteurana
salma hayek,살마 아예크,salma ayekeu
danna paola,다나 파올라,dana paolra
adolfo de la huerta,아돌포 데 라 우에르타,adolpo de ra uereuta
mario van peebles,마리오 밴 피블스,mario baen pibeulseu
consuelo velázquez,콘수엘로 벨라스케스,konsuelro belraseukeseu
linda christian,린다 크리스티안,rinda keuriseutian
libertad lamarque,리베르타드 라마르케,ribereutadeu ramareuke
paulina gaitán,파울리나 가이탄,paulrina gaitan
soraya jiménez,소라야 히메네스,soraya himeneseu
ulises dávila,울리세스 다빌라,ulriseseu dabilra
josé de urrea,호세 데 우레아,hose de urea
fernando valenzuela,페르난도 발렌수엘라,pereunando balrensuelra
juan velázquez tlacotzin,후안 벨라스케스 틀라코친,huan belraseukeseu teulrakocin
lupita tovar,루피타 토바르,rupita tobareu
claudio brook,클로디오 브룩,keulrodio beurug
dulce maría,둘체 마리아,dulce maria
ernesto canto,에르네스토 칸토,ereuneseuto kanto
josé ailton da silva,조제 아이우통 다 시우바,joje aiutong da siuba
césar millán,시저 밀란,sijeo milran
verónica castro,베로니카 카스트로,beronika kaseuteuro
nailea norvind,나일레아 노르빈드,nailrea noreubindeu
oribe peralta,오리베 페랄타,oribe peralta
ninel conde,니넬 콘데,ninel konde
manuel gómez pedraza,마누엘 고메스 페드라사,manuel gomeseu pedeurasa
luis miguel,루이스 미겔,ruiseu migel
mauricio islas,마우리시오 이슬라스,maurisio iseulraseu
susana gonzález,수사나 곤살레스,susana gonsalreseu
maría félix,마리아 펠릭스,maria pelrigseu
adrián gonzález,아드리안 곤살레스,adeurian gonsalreseu
ana claudia talancón,아나 클라우디아 탈랑콘,ana keulraudia talrangkon
josé maría bocanegra,호세 마리아 보카네그라,hose maria bokanegeura
marco fabián,마르코 파비안,mareuko pabian
agustín de iturbide,아구스틴 데 이투르비데,aguseutin de itureubide
armando archundia,베니토 아르춘디아,benito areucundia
laura harring,로라 해링,rora haering
jorge torres nilo,호르헤 토레스 닐로,horeuhe toreseu nilro
maite perroni,마이테 페로니,maite peroni
julieta venegas,훌리에타 베네가스,hulrieta benegaseu
belinda,벨린다,belrinda
adriana barraza,아드리아나 바라자,adeuriana baraja
chavela vargas,차벨라 바르가스,cabelra bareugaseu
raúl jiménez,라울 히메네스,raul himeneseu
christian bach,크리스티안 바흐,keuriseutian baheu
isela vega,이셀라 베가,iselra bega
alejandra guzmán,알레한드라 구스만,alrehandeura guseuman
alfonso zamora,알폰소 사모라,alponso samora
aarón díaz,아론 디아스,aron diaseu
hugo sánchez,우고 산체스,ugo sanceseu
ramón morales,라몬 모랄레스,ramon moralreseu
julio depaula,훌리오 데폴라,hulrio depolra
víctor díaz,빅토르 디아스,bigtoreu diaseu
adriana fonseca,아드리아나 폰세카,adeuriana ponseka
adriana louvier,아드리아나 루비에르,adeuriana rubiereu
carlos villagrán,카를로스 비야그란,kareulroseu biyageuran
osvaldo benavides,오스발도 베나비데스,oseubaldo benabideseu
ofelia medina,오펠리아 메디나,opelria medina
daniel osorno,다니엘 오소르노,daniel osoreuno
oneli pérez,오넬리 페레스,onelri pereseu
subcomandante marcos,부사령관 마르코스,busaryeonggwan mareukoseu
manny martínez,매니 마르티네스,maeni mareutineseu
gabriel valencia,가브리엘 발렌시아,gabeuriel balrensia
josé justo corro,호세 후스토 코로,hose huseuto koro
miguel barragán,미겔 바라간,migel baragan
alaska,알라스카,alraseuka
josé maría iglesias,호세 마리아 이글레시아스,hose maria igeulresiaseu
martín perfecto de cos,마르틴 페르펙토 데 코스,mareutin pereupegto de koseu
teresa ruiz,테레사 루이스,teresa ruiseu
flor silvestre,플로르 실베스트레,peulroreu silbeseuteure
esmeralda pimentel,에스메랄다 피멘텔,eseumeralda pimentel
ximena sariñana,히메나 사리냐나,himena sarinyana
alfonso herrera,알폰소 에레라,alponso erera
miguel ángel ponce,미겔 앙헬 폰세,migel anghel ponse
antonio de nigris,안토니오 데 니그리스,antonio de nigeuriseu
rafael amaya,라파엘 아마야,rapael amaya
jaime camil,하이메 카밀,haime kamil
miguel alcubierre,미겔 알쿠비에레,migel alkubiere
ana patricia rojo,아나 파트리시아 로호,ana pateurisia roho
patricia manterola,파트리샤 만테롤라,pateurisya manterolra
jorge salinas,호르헤 살리나스,horeuhe salrinaseu
margo,마고,mago
alejandra espinoza,알레한드라 에스피노사,alrehandeura eseupinosa
alfredo aceves,알프레도 아세베스,alpeuredo asebeseu
josé de jesús corona,호세 데 헤수스 코로나,hose de hesuseu korona
martha higareda,마르타 이가레다,mareuta igareda
yovani gallardo,요바니 가야르도,yobani gayareudo
paty cantú,파티 칸투,pati kantu
jay hernández,제이 에르난데스,jei ereunandeseu
diego boneta,디에고 보네타,diego boneta
enrique borja,엔리케 보르하,enrike boreuha
rodrigo prieto,로드리고 프리에토,rodeurigo peurieto
alfredo talavera,알프레도 탈라베라,alpeuredo talrabera
amaury garcía,아모리 가르시아,amori gareusia
aída román,아이다 로만,aida roman
jaime garcía,하이메 가르시아,haime gareusia
érick torres padilla,에리크 토레스 파디야,erikeu toreseu padiya
josé alfredo jiménez,호세 알프레도 히메네스,hose alpeuredo himeneseu
laisha wilkins,라이샤 윌킨스,raisya wilkinseu
manuel delanda,마누엘 데란다,manuel deranda
miguel herrera,미겔 에레라,migel erera
juan manuel márquez,후안 마누엘 마르케스,huan manuel mareukeseu
ce ácatl topiltzin quetzalcóatl,세 아카틀 토필친 케찰코아틀,se akateul topilcin kecalkoateul
arcelia ramírez,아르셀리아 라미레스,areuselria ramireseu
super crazy,슈퍼 크레이지,syupeo keureiji
geo meneses,헤오 메네세스,heo meneseseu
ignacio zaragoza,이그나시오 사라고사,igeunasio saragosa
manuel de la peña y peña,마누엘 데 라 페냐 이 페냐,manuel de ra penya i penya
ayako hamada,아야코 아마다,ayako amada
giovani dos santos,조바니 도스 산토스,jobani doseu santoseu
luis alcoriza,루이스 알코리자,ruiseu alkorija
eiza gonzález,에이사 곤살레스,eisa gonsalreseu
néstor araujo,네스토르 아라우호,neseutoreu arauho
arturo castro,아르투로 카스트로,areuturo kaseuteuro
irán castillo,이란 카스티요,iran kaseutiyo
blanca estela pavón,블랑카 에스텔라 파본,beulrangka eseutelra pabon
rogelio funes mori,로헬리오 푸네스 모리,rohelrio puneseu mori
maría josé,마리아 호세,maria hose
alejandra barros,알레한드라 바로스,alrehandeura baroseu
natalia lafourcade,나탈리아 라푸르카데,natalria rapureukade
francisco javier clavijero,프란시스코 하비에르 클라비헤로,peuransiseuko habiereu keulrabihero
carla morrison,카를라 모리손,kareulra morison
héctor herrera,엑토르 에레라,egtoreu erera
carlos peña rodríguez,카를로스 알베르토 페냐,kareulroseu albereuto penya
vanessa bauche,바네사 바우체,banesa bauce
eugenio derbez,에우헤니오 데르베스,euhenio dereubeseu
michelle renaud,미첼 르노,micel reuno
grettell valdez,그레텔 발데스,geuretel baldeseu
victoria ruffo,빅토리아 루포,bigtoria rupo
armando manzanero,아르만도 만사네로,areumando mansanero
israel jiménez,이스라엘 히메네스,iseurael himeneseu
yuridia,유리디아,yuridia
hugo ayala,우고 아얄라,ugo ayalra
alfredo gil,알프레도 힐,alpeuredo hil
carlos rivera,카를로스 리베라,kareulroseu ribera
miguel layún,미겔 라윤,migel rayun
antonio sánchez,안토니오 산체스,antonio sanceseu
jesús manuel corona,헤수스 마누엘 코로나,hesuseu manuel korona
renata notni,레나타 노트니,renata noteuni
patricia reyes spíndola,파트리시아 레예스 스핀돌라,pateurisia reyeseu seupindolra
guty cárdenas,구티 카르데나스,guti kareudenaseu
chucho navarro,추초 나바로,cuco nabaro
karim garcía,카림 가르시아,karim gareusia
ana brenda contreras,아나 브렌다 콘트레라스,ana beurenda konteureraseu
altaír jarabo,알타이르 하라보,altaireu harabo
javier aquino,하비에르 아키노,habiereu akino
roberto cobo,로베르토 코보,robereuto kobo
paola núñez,파올라 누녜스,paolra nunyeseu
luis regueiro urquiola,루이스 레게이로 우르키올라,ruiseu regeiro ureukiolra
sara corrales,사라 코랄레스,sara koralreseu
armén ohanián,아르멘 오하냔,areumen ohanyan
stephany mayor,스테파니 마요르,seutepani mayoreu
ludwika paleta,루드비카 팔레타,rudeubika palreta
valentín canalizo,발렌틴 카날리소,balrentin kanalriso
melchor múzquiz,멜초르 무스키스,melcoreu museukiseu
diego reyes rosales,디에고 안토니오 레예스,diego antonio reyeseu
itatí cantoral,이타티 칸토랄,itati kantoral
jorge rivero,조지 리베로,joji ribero
natasha dupeyrón,나타샤 뒤페롱,natasya dwiperong
fernando allende,페르난도 알렌드,pereunando alrendeu
sergio pitol,세르히오 피톨,sereuhio pitol
francisco javier echeverría,프란시스코 하비에르 에체베리아,peuransiseuko habiereu eceberia
rufino tamayo,루피노 타마요,rupino tamayo
emmanuel lubezki,에마누엘 루베스키,emanuel rubeseuki
félix candela,펠릭스 칸델라,pelrigseu kandelra
omar ortiz,오마르 오르티스,omareu oreutiseu
diana bracho,다이아나 브라초,daiana beuraco
ramón novarro,라몬 노바로,ramon nobaro
galilea montijo,갈릴레아 몬티호,galrilrea montiho
maría inés guerra,마리아 이네스 게라,maria ineseu gera
jenni rivera,제니 리베라,jeni ribera
fernando garibay,페르난도 가리베이,pereunando garibei
jorge vergara,호르헤 베르가라,horeuhe bereugara
alan pulido,알란 풀리도,alran pulrido
camila sodi,카밀라 소디,kamilra sodi
jorge negrete,호르헤 네그레테,horeuhe negeurete
juan gabriel,후안 가브리엘,huan gabeuriel
laura flores,라우라 플로레스,raura peulroreseu
vicente lombardo toledano,비센테 롬바르도 톨레다노,bisente rombareudo tolredano
elizabeth cervantes,엘리사베트 세르반테스,elrisabeteu sereubanteseu
ely guerra,엘리 게라,elri gera
ignacio carrasco,이그나시오 카라스코,igeunasio karaseuko
miguel aceves mejía,미겔 아세베스 메히아,migel asebeseu mehia
alma beltran,엘머 벨트란,elmeo belteuran
enrique lucero,엔리크 루세로,enrikeu rusero
lupita nyong'o,루피타 뇽오,rupita nyongo
lumi cavazos,루미 카바소스,rumi kabasoseu
angélica rivera,앙헬리카 리베라,anghelrika ribera
blanca guerra,블랑카 게라,beulrangka gera
blanca soto,블랑카 소토,beulrangka soto
aracely arámbula,아라셀리 아람불라,araselri arambulra
pedro vélez,페드로 벨레스,pedeuro belreseu
susana dosamantes,수사나 도사만테스,susana dosamanteseu
alejandra valencia,알레한드라 발렌시아,alrehandeura balrensia
ana serradilla,아나 세르라딜라,ana sereuradilra
mayra sérbulo,마이라 세르불로,maira sereubulro
ana gabriel,아나 가브리엘,ana gabeuriel
steve clemente,스티브 클레멘트,seutibeu keulrementeu
luis rodríguez alanís,루이스 알폰소 로드리게스,ruiseu alponso rodeurigeseu
marlene favela,마를렌 파벨라,mareulren pabelra
aída cuevas,아이다 쿠에바스,aida kuebaseu
isaac acuña,아이작 아쿠냐,aijag akunya
omar chaparro,오마르 차파로,omareu caparo
mon laferte,몬 라페르테,mon rapereute
ana ofelia murguía,아나 오펠리아 무르기아,ana opelria mureugia
carmen aub,카르멘 아우브,kareumen aubeu
daniela luján,다니엘라 루한,danielra ruhan
úrsula gonzález,우르술라 곤살레스,ureusulra gonsalreseu
carlos santana,카를로스 산타나,kareulroseu santana
fernando colunga,페르난도 코룬가,pereunando korunga
bernardo sepúlveda amor,베르나르도 세풀베다 아모르,bereunareudo sepulbeda amoreu
andrés pico,앙드레 피코,angdeure piko
fernanda castillo,페르난다 카스티요,pereunanda kaseutiyo
gilbert roland,길버트 롤랜드,gilbeoteu rolraendeu
antonio briseño,안토니오 브리세뇨,antonio beurisenyo
david zepeda,다비드 세페다,dabideu sepeda
silvia navarro,실비아 나바로,silbia nabaro
joakim soria,호아킴 소리아,hoakim soria
alfonso arau,알폰소 아라우,alponso arau
rafael garza gutiérrez,라파엘 가르사 구티에레스,rapael gareusa gutiereseu
jacob vargas,하코브 바르가스,hakobeu bareugaseu
karyme lozano,카리메 로사노,karime rosano
eréndira ibarra,에렌디라 이바라,erendira ibara
manuel ojeda,마누엘 오제다,manuel ojeda
gerardo taracena,제라도 타라세나,jerado tarasena
ximena herrera,시메나 에레라,simena erera
jesús zambrano grijalva,헤수스 잠브라노 그리할바,hesuseu jambeurano geurihalba
súper nova,수페르 노바,supereu noba
el santo,엘 산토,el santo
víctor estrada,빅토르 에스트라다,bigtoreu eseuteurada
hugo stiglitz,휴고 스티글리츠,hyugo seutigeulriceu
humberto elizondo,험베르토 엘리존도,heombereuto elrijondo
gabriela rivero,가브리엘라 리베로,gabeurielra ribero
alejandro calva,알레한드로 칼바,alrehandeuro kalba
josé juan vázquez,호세 후안 바스케스,hose huan baseukeseu
gabriela de la garza,가브리엘라 드 라 가르자,gabeurielra deu ra gareuja
luis gerardo méndez,루이스 헤라르도 멘데스,ruiseu herareudo mendeseu
jürgen damm,위르겐 담,wireugen dam
irene azuela,이레네 아수엘라,irene asuelra
máscara dorada,그랜 메탈릭,geuraen metalrig
julia goldani telles,줄리아 골다니 텔레스,julria goldani telreseu
maya zapata,마야 사파타,maya sapata
tito junco,티토 준코,tito junko
andrade el ídolo,안드라데 시엔 알마스,andeurade sien almaseu
sofía castro,소피아 카스트로,sopia kaseuteuro
laura cepeda,라우라 세페다,raura sepeda
olivia bucio,올리비아 부시오,olribia busio
sophie alexander,소피 알레한데르,sopi alrehandereu
ténoch huerta,테노치 우에르타,tenoci uereuta
luis arrieta,루이스 아리에타,ruiseu arieta
ximena ayala,히메나 아얄라,himena ayalra
lupe carriles,루프 카릴즈,rupeu kariljeu
isaác brizuela,이사크 브리수엘라,isakeu beurisuelra
nayeli rangel,나옐리 랑헬,nayelri ranghel
josé ramón sauto,호세 라몬 사우토,hose ramon sauto
kristyan ferrer,크리스티안 페레,keuriseutian pere
mascarita sagrada,마스카리타 사그라다,maseukarita sageurada
mascarita dorada,마스카리타 도라다,maseukarita dorada
marina de tavira,마리나 데 타비라,marina de tabira
josé maría flores,호세 마리아 플로레스,hose maria peulroreseu
carlos salcedo,카를로스 살세도,kareulroseu salsedo
israel alcántara,이지 알칸트라,iji alkanteura
paulina goto,파울리나 고토,paulrina goto
rosa maría bianchi,로사 마리아 비안치,rosa maria bianci
karla souza,카를라 소우사,kareulra sousa
raquel torres,라퀠 토레스,rakwel toreseu
ela velden,엘라 벨덴,elra belden
hirving lozano,이르빙 로사노,ireubing rosano
orbelín pineda,오르벨린 피네다,oreubelrin pineda
rodolfo cota,로돌포 코타,rodolpo kota
gabriel luna,게이브리얼 루나,geibeurieol runa
peter gadiot,피터 개디오,piteo gaedio
henry martín,엔리 마르틴,enri mareutin
michel franco,미셸 프랑코,misyel peurangko
zachary laoutides,재커리 래오타이즈,jaekeori raeotaijeu
adan canto,아단 칸토,adan kanto
natalia cordovabuckley,나탈리아 코르도바버클리,natalria koreudobabeokeulri
yanet garcía,야네트 가르시아,yaneteu gareusia
érick gutiérrez,에리크 구티에레스,erikeu gutiereseu
jesús gallardo,헤수스 가야르도,hesuseu gayareudo
álex verdugo,앨릭스 베르두고,aelrigseu bereudugo
karol sevilla,카롤 세비야,karol sebiya
stephanie sigman,스테파니 시그만,seutepani sigeuman
roberta colindrez,로베르타 콜린드레스,robereuta kolrindeureseu
gabriela schloesser,가브리엘라 슬루서르,gabeurielra seulruseoreu
melissa barrera,멜리사 바레라,melrisa barera
ilse salas,일세 살라스,ilse salraseu
roberto alvarado,로베르토 알바라도,robereuto albarado
sofía reyes,소피아 레예스,sopia reyeseu
césar montes,세사르 몬테스,sesareu monteseu
kristal silva,크리스탈 실바,keuriseutal silba
uriel antuna,우리엘 안투나,uriel antuna
christian nodal,크리스티안 노달,keuriseutian nodal
sebastián córdova,세바스티안 코르도바,sebaseutian koreudoba
dharius,다리우스,dariuseu
gerardo arteaga,헤라르도 아르테아가,herareudo areuteaga
adriana paz,아드리아나 파스,adeuriana paseu
bárbara lópez,바르바라 로페스,bareubara ropeseu
yago césar da silva,야구 세자르 다 시우바,yagu sejareu da siuba
alexis vega,알렉시스 베가,alregsiseu bega
luis ricardo reyes,루이스 리카르도 레예스,ruiseu rikareudo reyeseu
samuel,사무엘,samuel
christian burgos,크리스티안 부르고스,keuriseutian bureugoseu
luis romo,루이스 로모,ruiseu romo
kimberly loaiza,킴벌리 로아이사,kimbeolri roaisa
edson álvarez,에드손 알바레스,edeuson albareseu
santiago giménez,산티아고 히메네스,santiago himeneseu
julián araujo,훌리안 아라우조,hulrian araujo
daniel lajud,다니엘 라후드,daniel rahudeu
yalitza aparicio,얄리차 아파리시오,yalrica aparisio
kevin álvarez,케빈 알바레스,kebin albareseu
andrea meza,안드레아 메사,andeurea mesa
johan vásquez,호안 바스케스,hoan baseukeseu
diego calva,디에고 칼바,diego kalba
luka romero,루카 로메로,ruka romero
enrique cabrera,엔리케 카브레라,enrike kabeurera
lila avilés,릴라 아빌레스,rilra abilreseu
kenia os,케니아 오스,kenia oseu
iñaki godoy,이냐키 고도이,inyaki godoi
diego velázquez,디에고 벨라스케스,diego belraseukeseu
joaquín rodrigo,호아킨 로드리고,hoakin rodeurigo
natalia jiménez,나탈리아 히메니즈,natalria himenijeu
miguel hidalgo y costilla,미겔 이달고 이 코스티야,migel idalgo i koseutiya
josé maría aznar,호세 마리아 아스나르,hose maria aseunareu
dani carvajal,다니 카르바할,dani kareubahal
rubén pardo,루벤 파르도,ruben pareudo
pablo picasso,파블로 피카소,pabeulro pikaso
paco de lucía,파코 데 루시아,pako de rusia
jorge guillén,호르헤 기옌,horeuhe giyen
josé echegaray,호세 에체가라이,hose ecegarai
daniel barenboim,다니엘 바렌보임,daniel barenboim
josé ortega y gasset,호세 오르테가 이 가세트,hose oreutega i gaseteu
raúl albiol,라울 알비올,raul albiol
josé antonio primo de rivera,호세 안토니오 프리모 데 리베라,hose antonio peurimo de ribera
daniel brühl,다니엘 브륄,daniel beurwil
juan gris,후안 그리스,huan geuriseu
rafael alberti,라파엘 알베르티,rapael albereuti
julio iglesias,훌리오 이글레시아스,hulrio igeulresiaseu
salvador dalí,살바도르 달리,salbadoreu dalri
josé luis panizo,호세 루이스 파니소,hose ruiseu paniso
rafael alkorta,라파엘 알코르타,rapael alkoreuta
carlos leal,카를로스 레알,kareulroseu real
joan miró,호안 미로,hoan miro
carlos cuéllar,카를로스 케야르,kareulroseu keyareu
montserrat caballé,몽세라 카바예,mongsera kabaye
garbiñe muguruza,가르비녜 무구루사,gareubinye mugurusa
hernán cortés,에르난 코르테스,ereunan koreuteseu
shakira,샤키라,syakira
julio salinas,훌리오 살리나스,hulrio salrinaseu
javier solana,하비에르 솔라나,habiereu solrana
antonio maceda,안토니오 마세다,antonio maseda
simón bolívar,시몬 볼리바르,simon bolribareu
artur mas,아르투르 마스,areutureu maseu
lluís llach,유이스 야흐,yuiseu yaheu
silvia abril,실비아 아브릴,silbia abeuril
ronaldinho,호나우지뉴,honaujinyu
isco,이스코,iseuko
jorge semprún,호르헤 셈프룬,horeuhe sempeurun
camilo josé cela,카밀로 호세 셀라,kamilro hose selra
david villa,다비드 비야,dabideu biya
plácido domingo,플라시도 도밍고,peulrasido dominggo
asier illarramendi,아시에르 이야라멘디,asiereu iyaramendi
itziar ituño,이치아르 이투뇨,iciareu itunyo
rafael nadal,라파엘 나달,rapael nadal
marcelo vieira,마르셀루 비에이라,mareuselru bieira
wolfgang ratz,볼프강 라츠,bolpeugang raceu
epifanio fernández,에피파니오 페르난데스,epipanio pereunandeseu
jacinto benavente,하신토 베나벤테,hasinto benabente
ricky martin,리키 마틴,riki matin
sofía de grecia,스페인 왕대비 소피아,seupein wangdaebi sopia
eugenia de montijo,외제니 드 몽티조,oejeni deu mongtijo
juan ramón jiménez,후안 라몬 히메네스,huan ramon himeneseu
felipe gonzález,펠리페 곤살레스,pelripe gonsalreseu
manuel almunia,마누엘 알무니아,manuel almunia
alberto bayo,알베르토 바요,albereuto bayo
patricio escobal,파트리시오 에스코발,pateurisio eseukobal
sancho gracia,산초 그라시아,sanco geurasia
