kārlis ulmanis,カールリス・ウルマニス,kārurisu・urumanisu
jānis balodis,ヤーニス・バルオディス,yānisu・baruodisu
oskars kļava,オスカルス・クラヴァ,osukarusu・kurava
dāvis bertāns,ダービス・ベルターンス,dābisu・berutānsu
mairis briedis,マイリス・ブリエディス,mairisu・buriedisu
aija klakocka,アイヤ・ブルマーメン,aiya・burumāmen
pēteris ugrjumovs,ピオトル・ウグルモフ,piotoru・ugurumofu
kaspars gorkšs,カスパルス・ゴルクシュス,kasuparusu・gorukushusu
aleksandrs cauņa,アレクサンドルス・カウナ,arekusandorusu・kauna
rūdolfs bangerskis,ルードルフス・バンゲルスキス,rūdorufusu・bangerusukisu
andris nelsons,アンドリス・ネルソンス,andorisu・nerusonsu
andris vaņins,アンドリス・ヴァニンス,andorisu・vaninsu
gatis smukulis,ガティス・スムクリス,gatisu・sumukurisu
moriss halle,モリス・ハレ,morisu・hare
juris laizāns,ユリス・ライザンス,yurisu・raizansu
mārtiņš rubenis,マルティンス・ルベニス,marutinsu・rubenisu
herberts cukurs,ヘルベルトス・ツクルス,heruberutosu・tsukurusu
vitālijs maksimenko,ヴィターリス・マクシメンコ,vitārisu・makushimenko
vladislavs gutkovskis,ヴラディスラフス・グトコフスキス,vuradisurafusu・gutokofusukisu
kurzemes marija amālija,アマーリア・フォン・クールラント,amāria・fon・kūruranto
deandrē jedlins,デアンドレ・イェドリン,deandore・yedorin
edgars bertuks,エドガー・ベルツクス,edogā・berutsukusu
māris štrombergs,マーリス・シュトロムベルグス,mārisu・shutoromuberugusu
dainis kūla,ダイニス・クラ,dainisu・kura
gustavs klucis,グスタフ・クルーツィス,gusutafu・kurūtsisu
kārlis stalte,コールリ・スタルテ,kōruri・sutarute
jāzeps mediņš,ヤーゼプス・メディンシュ,yāzepusu・medinshu
eduards bērziņš,エドゥアルド・ベルジン,eduarudo・berujin
ksenija sidorova,クセーニャ・シドロワ,kusēnya・shidorowa
genadijs paršins,ゲンナジー・パルシン,gennajī・parushin
oļegs antropovs,オレーク・アントロポフ,orēku・antoropofu
romualds jermaks,ロムアルツ・ヤルマクス,romuarutsu・yarumakusu
aigars apinis,アイガルス・アピニス,aigarusu・apinisu
artūrs silgailis,アルトゥールス・シルガイリス,arutūrusu・shirugairisu
alma lepinalāce,アルマ・レピーナ,aruma・repīna
ilze jaunalksne,イルゼ・ヨーナルクスネ,iruze・yōnarukusune
ako,アコ,ako
imants freibergs,イマント・フレイベルグ,imanto・fureiberugu
vsevolods zeļonijs,フセヴォロドス・ゼリョニース,fusevuォrodosu・zeryonīsu
raimonds vējonis,ライモンツ・ヴェーヨニス,raimontsu・vuェーyonisu
heinrihs skuja,ハインリッヒス・スクーヤ,hainrihhisu・sukūya
ģirts karlsons,ギルツ・カールソンス,girutsu・kārusonsu
rolands kalniņš,ローランズ・カルニンシュ,rōranzu・karuninshu
jānis ikaunieks,ヤニス・イカウニェクス,yanisu・ikauniェkusu
arturs ozoliņš,アルトゥール・オゾリンス,arutūru・ozorinsu
krists neilands,クリスツ・ネイランズ,kurisutsu・neiranzu
ēriks ešenvalds,エリクス・エセンヴァルズ,erikusu・esenvaruzu
lūcija garūta,ルーツィヤ・ガルータ,rūtsiya・garūta
igors korabļovs,イゴルス・コラブロフス,igorusu・koraburofusu
pjotrs avens,ピョートル・アーヴェン,pyōtoru・āvuェn
anžejs pasečņiks,アンジェス・パセチニクス,anjesu・pasechinikusu
alise dzeguzekļaviņa,アリス・セギウス,arisu・segiusu
arvīds jansons,アルヴィド・ヤンソンス,aruvido・yansonsu
diāna ņikitina,ディアナ・ニキチナ,diana・nikichina
aleksandrs jackēvičs,アレクサンドル・ヤチケビッチ,arekusandoru・yachikebitchi
kristers aparjods,クリステルス・アパリオズ,kurisuterusu・apariozu
dāvids beika,ダヴィド・ベイカ,davido・beika
laimdota straujuma,ライムドータ・ストラウユマ,raimudōta・sutorauyuma
antons jemeļins,アントンス・イェメリンス,antonsu・yemerinsu
kristaps porziņģis,クリスタプス・ポルジンギス,kurisutapusu・porujingisu
rutanja olda,ルターニャ・アルダ,rutānya・aruda
toms skujiņš,トムス・スクインス,tomusu・sukuinsu
ingūna butāne,イングナ・ブターネ,inguna・butāne
aļona ostapenko,エレナ・オスタペンコ,erena・osutapenko
kristaps zommers,クリスタプス・ゾンメルス,kurisutapusu・zonmerusu
edgars rinkēvičs,エドガルス・リンケービッチ,edogarusu・rinkēbitchi
arturs maskats,アルトゥルス・マスカツ,aruturusu・masukatsu
deniss vasiļjevs,デニス・ヴァシリエフス,denisu・vashiriefusu
anno,アンノ,anno
verners auls,ワーナーズ・アーズ,wānāzu・āzu
angelina kučvaļska,アンゲリーナ・クチヴァルスカ,angerīna・kuchivarusuka
leonīds vīgners,レオニードス・ヴィグネルス,reonīdosu・vigunerusu
elīza tīruma,エリーザ・ティルマ,erīza・tiruma
ārons bogoļubovs,アーロン・ボゴリューボフ,āron・bogoryūbofu
roberts uldriķis,ロベルツ・ウルドリキス,roberutsu・urudorikisu
rodions kurucs,ロディオンス・クルークス,rodionsu・kurūkusu
evika siliņa,エビカ・シリニャ,ebika・shirinya
roberts plūme,ロベルツ・プルーメ,roberutsu・purūme
mārtiņš bots,マールティンシュ・ボツ,mārutinshu・botsu
raimonds krollis,ライモンツ・クロリス,raimontsu・kurorisu
latvija,ラトビア,ratobia
baltijas basketbola līga,バルティック・バスケットボール・リーグ,barutikku・basukettobōru・rīgu
rīgas geto,リガ・ゲットー,riga・gettō
rīga,リガ,riga
jelgava,イェルガヴァ,yerugava
jūrmala,ユールマラ,yūrumara
kurzemes cietoksnis,クールラント・ポケット,kūruranto・poketto
sigulda,スィグルダ,siguruda
aknīste,アクニステ,akunisute
durbe,ドゥルベ,durube
plostošana,モクザイリュウオク,mokuzairyuuoku
ainaži,アイナジ,ainaji
arēna rīga,アリーナ・リガ,arīna・riga
tukums,トゥクムス,tukumusu
saeima,サエイマ,saeima
rēzekne,レーゼクネ,rēzekune
vidzeme,ヴィドゼメ,vidozeme
eiro,ユーロ,yūro
kurzeme,クールラント,kūruranto
jēkabpils,イェーカブピルス,yēkabupirusu
latgale,ラトガレ,ratogare
zemgale,ゼムガレ,zemugare
lielvārde,リェルヴァーデ,riェruvāde
daugavpils,ダウガフピルス,daugafupirusu
cēsis,ツェーシス,tsēshisu
valmiera,ヴァルミエラ,varumiera
ventspils,ヴェンツピルス,vuェntsupirusu
dievturība,ディエヴトゥリーバ,dievuturība
vecrīga,ヴェツリガ,vuェtsuriga
valka,ヴァルカ,varuka
lats,ラッツ,rattsu
gaiziņš,ガイジンカインス,gaijinkainsu
daugavas stadions,ダウガヴァ・スタディオン,daugava・sutadion
skonto stadions,スコント・スタディオン,sukonto・sutadion
liepāja,リエパーヤ,riepāya
kuldīga,クルディーガ,kurudīga
austrumeiropas platforma,ヒガシヨーロッパ・クラトン,higashiyōroppa・kuraton
kremerata baltica,クレメラータ・バルティカ,kuremerāta・barutika
iskolats,イスコラト,isukorato
baltijas ceļa velobrauciens,バルチック・チェーン・ツアー,baruchikku・chēn・tsuā
iveta apkalna,イヴェタ・アプカルナ,ivuェta・apukaruna
viktors lorencs,ビクトル・ローレンツ,bikutoru・rōrentsu
anna sakse,アンナ・サクセ,anna・sakuse
ēriks pētersons,エーリクス・ペーテルソンス,ērikusu・pēterusonsu
ādolfs bļodnieks,アードルフス・ブロドニエクス,ādorufusu・burodoniekusu
vīts rimkus,ヴィーツ・リムクス,vītsu・rimukusu
sandis ozoliņš,サンディス・オゾリンニュシュ,sandisu・ozorinnyushu
vladimirs kamešs,ヴラディミルス・カメシュス,vuradimirusu・kameshusu
māris martinsons,マリス・マルティンソンス,marisu・marutinsonsu
iļja vestermans,イリア・ヴェステルマンス,iria・vuェsuterumansu
rainis,ライニス,rainisu
inta kļimovičadrēviņa,インタ・クリモヴィチャ,inta・kurimovicha
vija celmiņa,ヴィヤ・セルミンス,viya・seruminsu
vilis krištopans,ヴィリス・クリシュトパンス,virisu・kurishutopansu
anastasija grigorjeva,アナスタシヤ・グリゴリェワ,anasutashiya・gurigoriェwa
jeļena prokopčuka,エレナ・プロコプツカ,erena・purokoputsuka
laima vaikule,ライマ・バイクレ,raima・baikure
konrāds kalējs,コンラース・カレーイス,konrāsu・karēisu
mārtiņš pļaviņš,マルティンシ・プラヴィンシ,marutinshi・puravinshi
voldemārs veiss,ヴォルデマールス・ヴァイス,vuォrudemārusu・vaisu
aleksandrs apsītis,アレクサンドル・アプシット,arekusandoru・apushitto
alberts šeibelis,アルベルツ・シェイベリス,aruberutsu・sheiberisu
zenta mauriņa,ゼンタ・マウリーナ,zenta・maurīna
anatols lapiņš,アナトール・ラピーン,anatōru・rapīn
aleksandrs starkovs,アレクサンドルス・スタルコフス,arekusandorusu・sutarukofusu
vitālijs astafjevs,ヴィタリス・アスタフイェフス,vitarisu・asutafuyefusu
gustavs zemgals,グスタウス・ゼムガルス,gusutausu・zemugarusu
viktors ščerbatihs,ビクトルス・スチェルバティス,bikutorusu・sucherubatisu
konstantīns raudive,コンスタンティン・ラウティヴ,konsutantin・rautivu
raivis dzintars,ライヴィス・ジンタルス,raivisu・jintarusu
jūlijs daniševskis,ユーリース・ダニシェヴスキス,yūrīsu・danishevusukisu
viktors arājs,ヴィクトルス・アラーイス,vikutorusu・arāisu
baltazars rusovs,バルタザール・ルッソウ,barutazāru・russou
oto fon luterbergs,オットー・フォン・ルーテンベルグ,ottō・fon・rūtenberugu
valdis birkavs,ヴァルディス・ビルカフス,varudisu・birukafusu
einars repše,エイナルス・レプシェ,einarusu・repushe
igors stepanovs,イゴルス・ステパノフス,igorusu・sutepanofusu
roberts zīle,ロバーツ・ジル,robātsu・jiru
imants bleidelis,イマンツ・ブレイデリス,imantsu・bureiderisu
jēkabs peterss,ヤーコプ・ペテルス,yākopu・peterusu
andrejs vlaščenko,アンドレイ・ウラシェンコ,andorei・urashenko
andris šķēle,アンドリス・シュケーレ,andorisu・shukēre
māris gailis,マーリス・ガイリス,mārisu・gairisu
artis pabriks,アーティス・パブリクス,ātisu・paburikusu
intars busulis,インタルス・ブスリス,intarusu・busurisu
ivars smilga,イヴァル・スミルガ,ivaru・sumiruga
aleksejs višņakovs,アレクセイス・ヴィシュニャコフス,arekuseisu・vishunyakofusu
alberts kviesis,アルベルツ・クヴィエスィス,aruberutsu・kuviesisu
vilhelms munters,ウィリヘルムス・ムンタース,wiriherumusu・muntāsu
uļjana semjonova,ウリャーナ・セミョーノヴァ,uryāna・semyōnova
raimonds pauls,ライモンズ・パウルス,raimonzu・paurusu
lipmans berss,リップマン・バース,rippuman・bāsu
solvita āboltiņa,ソルヴィタ・アーボルティニャ,soruvita・āborutinya
madara palameika,マダラ・パラメイカ,madara・parameika
pēteris slavens,ピョートル・スレイヴン,pyōtoru・sureivun
vadims vasiļevskis,ヴァディム・ヴァシレフスキ,vadimu・vashirefusuki
kārlis šteins,カールリス・シュテインス,kārurisu・shuteinsu
vilhelms neimanis,ヴィルヘルム・ノイマン,viruherumu・noiman
guntars krasts,グンタルス・クラスツ,guntarusu・kurasutsu
vilis lācis,ヴィリス・ラーツィス,virisu・rātsisu
baiba skride,バイバ・スクリデ,baiba・sukuride
kristīne opolais,クリスティーネ・オポライス,kurisutīne・oporaisu
renārs kaupers,レナールス・カウペルス,renārusu・kauperusu
indulis emsis,インドゥリス・エムシス,indurisu・emushisu
alfrēds rubiks,アルフレッド・ルビック,arufureddo・rubikku
ksenija solo,クセニア・ソロ,kusenia・soro
līga dekmeijere,リガ・デクメイエレ,riga・dekumeiere
vija artmane,ヴィヤ・アルトマネ,viya・arutomane
olga rajecka,オルガ・ライエッカ,oruga・raiekka
kārlis bētiņš,カルリス・ベティンズ,karurisu・betinzu
anatolijs gorbunovs,アナトリー・ゴルブノフ,anatorī・gorubunofu
augusts kirhenšteins,アウグスツ・キルヘンシュタインス,augusutsu・kiruhenshutainsu
krišjānis barons,クリシュヤーニス・バロンス,kurishuyānisu・baronsu
ozols,オゾルス,ozorusu
edmunds sprūdžs,エドムンツ・スプルージュ,edomuntsu・supurūju
dzintars zirnis,ジンタルス・ジルニス,jintarusu・jirunisu
jānis šmēdiņš,ヤニス・シメディンシ,yanisu・shimedinshi
ģirts jēkabsons,ギルツ・イェーカブソンス,girutsu・yēkabusonsu
juris razgulajevs,ユーリス・ラザグリアエフ,yūrisu・razaguriaefu
hugo celmiņš,フーゴ・ツェルミンシュ,fūgo・tseruminshu
žanna pugača,ジャンナ・プガチャ,janna・pugacha
gints bude,ギンツ・ブーデ,gintsu・būde
fricis roziņš,フリシス・ロージンシュ,furishisu・rōjinshu
arturs alberings,アルトゥルス・アルベリンクス,aruturusu・aruberinkusu
marģers skujenieks,マルゲルス・スクエニエクス,marugerusu・sukueniekusu
voldemārs zāmuēls,ヴォルデマールス・ザームエールス,vuォrudemārusu・zāmuērusu
tālivaldis ķeniņš,タリヴァルディス・ケニンス,tarivarudisu・keninsu
mārtiņš lācis,マルティン・ラツィス,marutin・ratsisu
ieva gaile,イエヴァ・ゲイリ,ieva・geiri
deniss ivanovs,デニス・イヴァノフス,denisu・ivanofusu
pēteris juraševskis,ペーテリス・ユラシェフスキス,pēterisu・yurashefusukisu
jānis mendriks,イヴァン・メンドリクス,ivan・mendorikusu
gaidis bērziņš,ガイディス・ベールジンシュ,gaidisu・bērujinshu
aija kukule,アイヤ・ククレ,aiya・kukure
dace melbārde,ダツェ・メルバールデ,datse・merubārude
haralds silovs,ハラルズ・シロフス,hararuzu・shirofusu
ida kerkoviusa,イダ・ケルコフィウス,ida・kerukofiusu
roberts savaļnieks,ロベルツ・サバリュニエクス,roberutsu・sabaryuniekusu
laura ikaunieceadmidiņa,ローラ・イカニエス,rōra・ikaniesu
vitālijs manskis,ヴィタリー・マンスキー,vitarī・mansukī
eduards liepiņš,エドゥアルド・レーピン,eduarudo・rēpin
roberto puķītis,ロベルト・プキティス,roberuto・pukitisu
līna mūze,リナ・ムゼ,rina・muze
andris liepa,アンドリス・リエパ,andorisu・riepa
kārlis gustavs fon lēvenvolde,カール・グスタフ・フォン・レーヴェンヴォルデ,kāru・gusutafu・fon・rēvuェnvuォrude
dons,ドンズ,donzu
boļeslavs maikovskis,ボレスワフ・マイコフスキ,boresuwafu・maikofusuki
daumants dreiškens,ダウマンツ・ドレイシュケンス,daumantsu・doreishukensu
jānis pauļuks,ヤーニス・パウリュクス,yānisu・pauryukusu
agate muceniece,アガテ・ムツェニエツェ,agate・mutsenietse
semjons nahimsons,セミョーン・ナキムソン,semyōn・nakimuson
ginta lapiņa,ギンタ・ラピシャ,ginta・rapisha
ināra mūrniece,イナーラ・ムールニエツェ,ināra・mūrunietse
kārlis būmeisters,カールリス・ブーメイスタース,kārurisu・būmeisutāsu
filips hiršhorns,フィリップ・ヒルシュホルン,firippu・hirushuhorun
mihails zemļinskis,ミハイルス・ゼムリンスキス,mihairusu・zemurinsukisu
jānis peive,ヤーニス・ペイヴェ,yānisu・peivuェ
jurijs andrejevs,ユリス・アンドレイェフス,yurisu・andoreyefusu
voldemārs reinholds,ヴォルデマールス・ラインホルツ,vuォrudemārusu・rainhorutsu
gunārs cilinskis,ギュナーズ・カリンスキー,gyunāzu・karinsukī
olga zadvornova,オルガ・ザドヴォルノヴァ,oruga・zadovuォrunova
regīna razuma,レジーナ・ラズマ,rejīna・razuma
andreass no felves,アンドレアス・フォン・フェルベン,andoreasu・fon・feruben
milda lauberte,ミルダ・ローバーテ,miruda・rōbāte
jurijs rubenis,ユリイス・ルベニス,yuriisu・rubenisu
indra devi,インドラ・デーヴィー,indora・dēvī
dace seisuma,ダツェ・セイスマ,datse・seisuma
artūrs zjuzins,アルトゥルス・ジュジン,aruturusu・jujin
jānis gilis,ヤーニス・ギリス,yānisu・girisu
valērijs šabala,ヴァレーリイス・シャバラ,varēriisu・shabara
konstantīns gluhovs,コンスタンチン・グルチョフ,konsutanchin・guruchofu
kārlis aperāts,カールリス・アペラーツ,kārurisu・aperātsu
nikolajs galdiņš,ニコライス・ガルディンシュ,nikoraisu・garudinshu
alfrēds riekstiņš,アルフレーツ・リエクスティンシュ,arufurētsu・riekusutinshu
pēteris strautmanis,ペテリス・ストラウトマニス,peterisu・sutorautomanisu
pauls kalniņš,パウルス・カリンシュ,paurusu・karinshu
zigismunds sirmais,ジギスムント・シルマイス,jigisumunto・shirumaisu
andrejs štolcers,アンドレイス・シュトルツェルス,andoreisu・shutorutserusu
vladimirs koļesņičenko,ヴラディミルス・コレスニチェンコ,vuradimirusu・koresunichenko
roberts eidemanis,ロベルト・エイデマン,roberuto・eideman
ella lauberte,エッラ・ローバーテ,erra・rōbāte
lolita cauka,ロリータ・カウカ,rorīta・kauka
franke kerskorfs,フランク・キルスコルフ,furanku・kirusukorufu
ernsts fon rasburgs,エルンスト・フォン・ラッツェブルク,erunsuto・fon・rattseburuku
rihards zariņš,リハルズ・ザリンシュ,riharuzu・zarinshu
reinholds bērziņš,レインゴリド・ベルジン,reingorido・berujin
lauris reiniks,ラウリス・ライニクス,raurisu・rainikusu
kārlis zāle,カーリス・ザール,kārisu・zāru
valentīns lobaņovs,ヴァレンティーンス・ロバニョフス,varentīnsu・robanyofusu
miervaldis ādamsons,ミエルヴァルディス・アダムソンス,mieruvarudisu・adamusonsu
jānis endzelīns,ヤーニス・エンゼリーンズ,yānisu・enzerīnzu
oļegs blagonadeždins,オレグス・ブラゴナデジンス,oregusu・buragonadejinsu
krišjānis berķis,クリシュヤーニス・ベルチス,kurishuyānisu・beruchisu
artis kampars,アルティス・カンパルス,arutisu・kanparusu
artūrs karašausks,アルトゥールス・カラシャウスクス,arutūrusu・karashausukusu
agnese pastare,アニェーゼ・パスタレ,aniェーze・pasutare
māris liepa,マリス・リエパ,marisu・riepa
juris aploks,ユリス・アプロクス,yurisu・apurokusu
artūrs plēsnieks,アルトゥールス・プレースニエクス,arutūrusu・purēsuniekusu
aleksandrs isakovs,アレクサンドルス・イサコフス,arekusandorusu・isakofusu
mikus fomins,ミクス・フォミンス,mikusu・fominsu
ance krauze,アンス・クラウゼ,ansu・kurauze
mārtiņš brauns,マールティンシュ・ブラウンス,mārutinshu・buraunsu
arnis balčus,アーニス・バルカス,ānisu・barukasu
deniss romanovs,デニス・ロマノフ,denisu・romanofu
karels marks šišons,カレル・マーク・チチョン,kareru・māku・chichon
andžs flaksis,アンズス・フラクシス,anzusu・furakushisu
gerhards johans fon lēvenvolde,ゲルハルト・ヨハン・フォン・レーヴェンヴォルデ,geruharuto・yohan・fon・rēvuェnvuォrude
guna zariņa,グナ・ザリサ,guna・zarisa
gints gabrāns,ギンツ・ガブランス,gintsu・gaburansu
vilnis edvīns bresis,ヴィルニス・エドヴィーンス・ブレシス,virunisu・edovīnsu・bureshisu
dainis kazakevičs,ダイニス・カザケヴィス,dainisu・kazakevisu
lilita zatlere,リリタ・ザトレレ,ririta・zatorere
ieva lagūna,イエヴァ・ラグーナ,ieva・ragūna
leonīds kalniņš,レオニードス・カルニンシュ,reonīdosu・karuninshu
žanis bahs,ジャニス・バハス,janisu・bahasu
raimonds bergmanis,ライモンツ・ベルグマニス,raimontsu・berugumanisu
arturs krišjānis kariņš,アルトゥールス・クリシュヤーニス・カリンズ,arutūrusu・kurishuyānisu・karinzu
kārlis osis,カーリス・オシス,kārisu・oshisu
jānis pīnups,ジュオフツ・ピナップス,juofutsu・pinappusu
niks matvejevs,ニクス・マトベジェフス,nikusu・matobejefusu
konstantīns kostins,コンスタンティン・コスティン,konsutantin・kosutin
julija teplih,ユリヤ・テプリヒ,yuriya・tepurihi
kārlis vērdiņš,カーリス・ヴェルディンシュ,kārisu・vuェrudinshu
leons briedis,レオンス・ブリアディス,reonsu・buriadisu
edmunds jansons,エドモンズ・ヤンソンズ,edomonzu・yansonzu
matīss akuraters,マティス・アクラターズ,matisu・akuratāzu
laura rizoto,ローラ・ヒゾット,rōra・hizotto
mārtiņš zīverts,マルチンス・ズィヴェルツ,maruchinsu・zivuェrutsu
voldemārs akurāters,ヴォルデマース・アクラタース,vuォrudemāsu・akuratāsu
poļina jeļizarova,ポリーナ・ジェリザロバ,porīna・jerizaroba
raivis zeltīts,ライヴィス・ゼルティーツ,raivisu・zerutītsu
ernests apoga,エルネスト・アッポガ,erunesuto・appoga
haralds krūmiņš,ガラリド・クルミン,gararido・kurumin
andrejs auzāns,アンドレイ・アウザーンス,andorei・auzānsu
vladimirs makarovs,ヴラディミルス・マカロフス,vuradimirusu・makarofusu
simona orinska,シモーナ・オリンスカ,shimōna・orinsuka
ludolfs liberts,ルドルフ・リベルツ,rudorufu・riberutsu
dāvis ikaunieks,デイビス・イコニークス,deibisu・ikonīkusu
viesturs kairišs,ヴィエストゥール・カイリシュ,viesutūru・kairishu
edvards smiltēns,エドヴァルズ・スミルテーンス,edovaruzu・sumirutēnsu
zigfrīds muktupāvels,ジグフリッド・ムクトゥパーベルス,jigufuriddo・mukutupāberusu
ieva akuratere,イエヴァ・アクラテレ,ieva・akuratere
aleksandra petushko,アレクサンドラ・ペトゥシュコ,arekusandora・petushuko
guntars račs,グンタルス・ラチス,guntarusu・rachisu
antonijs černomordijs,アントニス・セルノモルディス,antonisu・serunomorudisu
indulis ranka,インドゥリス・ランカ,indurisu・ranka
aminata savadogo,アミナータ・サヴァドゴ,amināta・savadogo
ivo fomins,イボ・フォミンス,ibo・fominsu
justs sirmais,ユスツ・シルマイス,yusutsu・shirumaisu
inga gaile,インガ・ゲイル,inga・geiru
emīls liepiņš,エミルス・リエピンシュ,emirusu・riepinshu
elena kovalova,エレーナ・コワロワ,erēna・kowarowa
juris kaža,ジュリス・カジャ,jurisu・kaja
mihails cirkunovs,ミシャ・サークノフ,misha・sākunofu
poļina rožkova,ポリナ・ロシュコバ,porina・roshukoba
dagnija dreika,ダグニア・ドレイカ,dagunia・doreika
glebs basins,グレブス・バシンス,gurebusu・bashinsu
valeria trifancova,ヴァレリア・トゥリファンコワ,vareria・turifankowa
artūrs kurucs,アルトゥール・クルクス,arutūru・kurukusu
jānis rukšāns,ヤーニス・ルクシャーンス,yānisu・rukushānsu
māris bogdanovičs,マリス・ボグダノビッチ,marisu・bogudanobitchi
andrejs cigaņiks,アンドレイス・シガニスク,andoreisu・shiganisuku
aleksejs kudelkins,アレクセイス・クデルキンス,arekuseisu・kuderukinsu
aleksandrs sircovs,アレクサンドル・シルコフス,arekusandoru・shirukofusu
olga jakushina,オルガ・ヤクシナ,oruga・yakushina
matīss kivlenieks,マティス・キブレニクス,matisu・kiburenikusu
roberts krūzbergs,ロベルツ・クルズベルグス,roberutsu・kuruzuberugusu
madara gruntmane,マダラ・グルントメイン,madara・guruntomein
mārtiņš kazāks,マーティン・カザークス,mātin・kazākusu
matīss kaža,マティス・カジャ,matisu・kaja
aizpute,アイズプテ,aizupute
smiltene,スミルテネ,sumirutene
saulkrasti,サウルクラスティ,saurukurasuti
aizkraukle,アジクラウクレ,ajikuraukure
jaunjelgava,ヤウニェルガヴァ,yauniェrugava
rumbula,ルンブラ,runbura
krāslava,クラースラヴァ,kurāsurava
zilupe,ズィルペ,zirupe
olaine,オライネ,oraine
venta,ベンタカワ,bentakawa
bauska,バウスカ,bausuka
gulbene,グルベネ,gurubene
koknese,コクネセ,kokunese
rūjiena,ルーイエナ,rūiena
balvi,バルビ,barubi
talsi,タルシ,tarushi
preiļi,プレイリ,pureiri
mazsalaca,マズサラツァ,mazusaratsa
skonto halle,スコント・ハレ,sukonto・hare
salaspils,サラスピルス,sarasupirusu
dobele,ドベレ,dobere
ogre,オグレ,ogure
varakļāni,ヴァラクリャーニ,varakuryāni
kārsava,カルサヴァ,karusava
kandava,カンダバ,kandaba
līvāni,リーヴェンホフ,rīvuェnhofu
trasjanka,トラシャンカ,torashanka
sēlija,セリヤ,seriya
alūksne,アルークスネ,arūkusune
skrunda,スクルンダ,sukurunda
ķekava,キェッカヴァ,kiェkkava
ķegums,ケグムス,kegumusu
ādaži,アーダジ,ādaji
saldus,サルダス,sarudasu
ludza,ルッザ,ruzza
madona,マドナ,madona
ilūkste,イルークスト,irūkusuto
rail baltica,レール・バルティカ,rēru・barutika
grobiņa,グロビニャ,gurobinya
priekule,プリエクレ,puriekure
aglona,アグロナ,agurona
