マツモトユキヒロ,松本行弘,sōng běn háng hóng,matsumotoyukihiro
ヤスダスズヒト,安田典生,ān tián diǎn shēng,yasudasuzuhito
オダギリジョー,小田切让,xiǎo tián qiè ràng,odagirijō
カゼカオリ,风香,fēng xiāng,kazekaori
アレックス・ラミレス,亚力克斯·拉米瑞兹,yà lì kè sī · lā mǐ ruì zī,arekkusu・ramiresu
キナツミ,树夏实,shù xià shí,kinatsumi
サトウフミヤ,佐藤文也,zuǒ téng wén yě,satoufumiya
ヤマグチノボル,山口升,shān kǒu shēng,yamaguchinoboru
ヨウジュン,要润,yào rùn,youjun
タモリ,塔摩利,tǎ mó lì,tamori
ハイムラキヨタカ,灰村清孝,huī cūn qīng xiào,haimurakiyotaka
アキラエリー,晶爱丽,jīng ài lì,akiraerī
ツボミ,蕾,lěi,tsubomi
タケユタカ,武丰,wǔ fēng,takeyutaka
ハセガワケイスケ,长谷川启介,cháng gǔ chuān qǐ jiè,hasegawakeisuke
ツダミキヨ,津田美树代,jīn tián měi shù dài,tsudamikiyo
ヤマネアヤノ,山根绫乃,shān gēn líng nǎi,yamaneayano
シイナエイヒ,椎名英姬,zhuī míng yīng jī,shiinaeihi
イロドリオン,彩音,cǎi yīn,irodorion
ツジアヤノ,辻亚弥乃,shí yà mí nǎi,tsujiayano
マツモトトモ,松本友,sōng běn yǒu,matsumototomo
カレン・ロバート,罗伯特·库伦,luó bǎi tè · kù lún,karen・robāto
セキツトム,关勉,guān miǎn,sekitsutomu
サイチョウ,最澄,zuì chéng,saichou
ナガヤスタクミ,永安巧,yǒng ān qiǎo,nagayasutakumi
アサギサクラ,浅木樱,qiǎn mù yīng,asagisakura
ミナモトノマコト,源信,yuán xìn,minamotonomakoto
ワタナベヒロシ,渡边浩,dù biān hào,watanabehiroshi
イズミピンコ,泉平子,quán píng zǐ,izumipinko
ヤマトタケル,日本武尊,rì běn wǔ zūn,yamatotakeru
ケンニョ,显如,xiǎn rú,kennyo
フジアヤコ,藤彩子,téng cǎi zǐ,fujiayako
スティーヴ・アオキ,史蒂夫·青木,shǐ dì fū · qīng mù,sutīvu・aoki
ヘンジョウ,遍昭,biàn zhāo,henjou
ナツホ,夏帆,xià fān,natsuho
ナカツカサ,中务,zhōng wù,nakatsukasa
ワタナベマサコ,渡边雅子,dù biān yǎ zǐ,watanabemasako
フクシマハルカ,福岛春佳,fú dǎo chūn jiā,fukushimaharuka
レイシャ・ヘイリー,蕾莎·海利,lěi shā · hǎi lì,reisha・heirī
トドロキユウ,轰悠,hōng yōu,todorokiyuu
トクヒメ,德姬,dé jī,tokuhime
ハツネ,奥村初音,ào cūn chū yīn,hatsune
ニチレン,日莲,rì lián,nichiren
サクラモモコ,樱桃子,yīng táo zǐ,sakuramomoko
サダマサシ,佐田雅志,zuǒ tián yǎ zhì,sadamasashi
アンズ,杏,xìng,anzu
ササキムツミ,佐佐木睦美,zuǒ zuǒ mù mù měi,sasakimutsumi
ヤナギナギ,柳凪,liǔ zhǐ,yanaginagi
ハーフナー・マイク,迈克·哈维纳尔,mài kè · hā wéi nà ěr,hāfunā・maiku
ハラエリコ,原荣里子,yuán róng lǐ zi,haraeriko
オカキヨシ,冈洁,gāng jié,okakiyoshi
メグミケイ,惠庆,huì qìng,megumikei
テンモン,天门,tiān mén,tenmon
ハラタカシ,原敬,yuán jìng,haratakashi
ソセイ,素性,sù xìng,sosei
ヨシナガフミ,吉永史,jí yǒng shǐ,yoshinagafumi
コヤマキミコ,古山贵实子,gǔ shān guì shí zǐ,koyamakimiko
ヤマグチリク,山口理红,shān kǒu lǐ hóng,yamaguchiriku
クジラ,鲸,jīng,kujira
チョー,长,cháng,chō
デンツウ,电通,diàn tōng,dentsuu
スガシカオ,菅止戈男,jiān zhǐ gē nán,sugashikao
レンニョ,莲如,lián rú,rennyo
トモサカリエ,友坂理惠,yǒu bǎn lǐ huì,tomosakarie
シマミヤエイコ,岛宫荣子,dǎo gōng róng zǐ,shimamiyaeiko
ジョウミチル,城直夫,chéng zhí fū,joumichiru
ササキイサオ,佐佐木功,zuǒ zuǒ mù gōng,sasakiisao
カナイミカ,金井美香,jīn jǐng měi xiāng,kanaimika
アイダユア,爱田由,ài tián yóu,aidayua
シオリサイ,有原栞菜,yǒu yuán kān cài,shiorisai
マツモトイズミ,松本泉,sōng běn quán,matsumotoizumi
ミナモトノシタゴウ,源顺,yuán shùn,minamotonoshitagou
ツカサシノブ,司忍,sī rěn,tsukasashinobu
リオオ,理多,lǐ duō,rioo
アヤ,亚矢,yà shǐ,aya
ウエダユウジ,上田祐司,shàng tián yòu sī,uedayuuji
イマサトシ,今敏,jīn mǐn,imasatoshi
チョウイサム,长勇,cháng yǒng,chouisamu
アイソウ,爱奏,ài zòu,aisou
エンチン,圆珍,yuán zhēn,enchin
ユウキマサミ,结城正美,jié chéng zhèng měi,yuukimasami
サヤ,纱绫,shā líng,saya
アサギリユウ,朝雾夕,cháo wù xī,asagiriyuu
ミナモトヒトシ,源等,yuán děng,minamotohitoshi
スズキケイコ,铃木惠子,líng mù huì zǐ,suzukikeiko
ハーフナー・ディド,迪多·哈维纳尔,dí duō · hā wéi nà ěr,hāfunā・dido
リュウ,隆,lóng,ryuu
ドナルド・キーン,唐纳德·基恩,táng nà dé · jī ēn,donarudo・kīn
ミナミ,美波,měi bō,minami
ビメイ,美名,měi míng,bimei
ソウチョウ,宗长,zōng cháng,souchou
ヨシタダシ,由规,yóu guī,yoshitadashi
カワラリョク,瓦力,wǎ lì,kawararyoku
タクミフネ,巧舟,qiǎo zhōu,takumifune
ギョウキ,行基,xíng jī,gyouki
ニワミキホ,丹羽未来帆,dān yǔ wèi lái fān,niwamikiho
ハヤシタダシ,林董,lín dǒng,hayashitadashi
ウンケイ,运庆,yùn qìng,unkei
ドウキョウ,道镜,dào jìng,doukyou
ミナモトトオル,源融,yuán róng,minamototooru
エルサムニー・オサマ,奥沙玛·艾森尼,ào shā mǎ · ài sēn ní,erusamunī・osama
アキエ,明惠,míng huì,akie
ジャクレン,寂莲,jì lián,jakuren
マツタカコ,松隆子,sōng lóng zǐ,matsutakako
ミコマロ,福田花音,fú tián huā yīn,mikomaro
コオロギサトミ,兴梠里美,xīng lǚ lǐ měi,koorogisatomi
イカリシンジ,碇真嗣,dìng zhēn sì,ikarishinji
カワグチカイジ,川口开治,chuān kǒu kāi zhì,kawaguchikaiji
ナルヒロ,成寻,chéng xún,naruhiro
エンクウ,圆空,yuán kōng,enkuu
キャシー・リード,凯茜·里德,kǎi qiàn · lǐ dé,kyashī・rīdo
クリス・リード,克里斯·里德,kè lǐ sī · lǐ dé,kurisu・rīdo
アオキサヤカ,青木沙耶香,qīng mù shā yē xiāng,aokisayaka
モリマサコ,森雅子,sēn yǎ zǐ,morimasako
アヤサイ,彩菜,cǎi cài,ayasai
ユカナ,尤加奈,yóu jiā nài,yukana
ヨシモトキンジ,吉本欣司,jí běn xīn sī,yoshimotokinji
ケイチュウ,契冲,qì chōng,keichuu
モリカンナ,森矢宽和,sēn shǐ kuān hé,morikanna
スギチャン,杉山英司,shān shān yīng sī,sugichan
ムラタダシ,村正,cūn zhèng,muratadashi
ヤマザキマリ,山崎麻里,shān qí má lǐ,yamazakimari
タカ,铃木崇大,líng mù chóng dà,taka
トキタヒロコ,时田广子,shí tián guǎng zǐ,tokitahiroko
ゴウヒロミ,乡裕美,xiāng yù měi,gouhiromi
アジサト,味里,wèi lǐ,ajisato
ヤナセタカシ,柳濑嵩,liǔ lài sōng,yanasetakashi
イチゴミルク,草莓牛奶,cǎo méi niú nǎi,ichigomiruku
ハットリミツル,服部充,fú bù chōng,hattorimitsuru
アン・ルイス,安·刘易斯,ān · liú yì sī,an・ruisu
カカズユミ,嘉数由美,jiā shù yóu měi,kakazuyumi
カトキハジメ,角木肇,jiǎo mù zhào,katokihajime
カントク,监督,jiān dū,kantoku
ローラ,萝拉,luó lā,rōra
ジェシー,杰西,jié xī,jeshī
クスノキカツラ,楠桂,nán guì,kusunokikatsura
テイサトシ,定觉,dìng jué,teisatoshi
テイケイ,定庆,dìng qìng,teikei
カイケイ,快庆,kuài qìng,kaikei
ホリチエミ,堀智荣美,kū zhì róng měi,horichiemi
クウヤ,空也,kōng yě,kuuya
ゴウオニ,豪鬼,háo guǐ,gouoni
ウコン,右近,yòu jìn,ukon
カオリクミコ,小野木久美子,xiǎo yě mù jiǔ měi zǐ,kaorikumiko
キョウ,京,jīng,kyou
テラソママサキ,寺杣昌纪,sì mián chāng jì,terasomamasaki
ツジアユミ,辻步美,shí bù měi,tsujiayumi
トコウ,渡航,dù háng,tokou
エンイ,圆伊,yuán yī,eni
ツルヒロミ,鹤弘美,hè hóng měi,tsuruhiromi
マキヨウコ,槙阳子,diān yáng zǐ,makiyouko
ハネダエリカ,羽田惠理香,yǔ tián huì lǐ xiāng,hanedaerika
キタダニヒロシ,北谷洋,běi gǔ yáng,kitadanihiroshi
ガモウヒロシ,蒲生洋,pú shēng yáng,gamouhiroshi
ヤブウチユウ,薮内优,sǒu nèi yōu,yabuuchiyuu
ノウイン,能因,néng yīn,nouin
コウケイ,康庆,kāng qìng,koukei
マミ,摩味,mó wèi,mami
アズママユミ,东麻由美,dōng má yóu měi,azumamayumi
サガミ,相模,xiāng mó,sagami
アツミサオリ,渥美佐织,wò měi zuǒ zhī,atsumisaori
サキウレシ,濑户早妃,lài hù zǎo fēi,sakiureshi
タカナシシズエ,高梨静江,gāo lí jìng jiāng,takanashishizue
スンエ,俊惠,jùn huì,sune
ヨコザワケイコ,横泽启子,héng zé qǐ zǐ,yokozawakeiko
タンケイ,湛庆,zhàn qìng,tankei
アンネン,安然,ān rán,annen
シュウブン,天章周文,tiān zhāng zhōu wén,shuubun
イズミヒロシ,泉浩,quán hào,izumihiroshi
シミケン,清水健,qīng shuǐ jiàn,shimiken
タニナオミ,谷直美,gǔ zhí měi,taninaomi
イカリゲンドウ,碇源堂,dìng yuán táng,ikarigendou
クダリミコト,行尊,xíng zūn,kudarimikoto
ギョウゼン,凝然,níng rán,gyouzen
オトキチ,山本音吉,shān běn yīn jí,otokichi
メイリア,美依礼芽,měi yī lǐ yá,meiria
タイラサトシ,平聪,píng cōng,tairasatoshi
ハナクマユウサク,花隈勇作,huā wēi yǒng zuò,hanakumayuusaku
タケカワユキヒデ,武川行秀,wǔ chuān xíng xiù,takekawayukihide
エトオミユキ,永远幸,yǒng yuǎn xìng,etoomiyuki
ハラアユミ,原步,yuán bù,haraayumi
マリウスハ,叶成龙,yè chéng lóng,mariusuha
ミナミヒロシ,南弘,nán hóng,minamihiroshi
タチバナヒカリ,橘光,jú guāng,tachibanahikari
イワサキチヒロ,岩崎知弘,yán qí zhī hóng,iwasakichihiro
ヤシキタカジン,家铺隆仁,jiā pù lóng rén,yashikitakajin
サクラマヤ,樱真耶,yīng zhēn yē,sakuramaya
コミネリサ,小峰理纱,xiǎo fēng lǐ shā,kominerisa
アライキヨコ,新井清子,xīn jǐng qīng zǐ,araikiyoko
ウエダヒデヒト,植田秀仁,zhí tián xiù rén,uedahidehito
イトハク,丝博,sī bó,itohaku
フクイマイ,福井舞,fú jǐng wǔ,fukuimai
ミナトカナエ,凑佳苗,còu jiā miáo,minatokanae
ケンナオコ,研直子,yán zhí zǐ,kennaoko
マリカ,茉莉香,mò lì xiāng,marika
ナラハシミキ,楢桥美纪,yóu qiáo měi jì,narahashimiki
リョウカン,良宽,liáng kuān,ryoukan
サクラココミ,樱心美,yīng xīn měi,sakurakokomi
メグリ,藤浦惠,téng pǔ huì,meguri
アミノテツロー,网野哲郎,wǎng yě zhé láng,aminotetsurō
カメヒメ,龟姬,guī jī,kamehime
ダイアズカ,台与,tái yǔ,daiazuka
ハヤシイサム,林勇,lín yǒng,hayashiisamu
ツルヒメ,德川鹤姬,dé chuān hè jī,tsuruhime
クラモチフサコ,仓持房子,cāng chí fáng zi,kuramochifusako
コンドウアキ,近藤亚希,jìn téng yà xī,kondouaki
アキヤマルナ,秋山留奈,qiū shān liú nài,akiyamaruna
アイミツ,叆光,ài guāng,aimitsu
コヤマヒロカズ,小山广和,xiǎo shān guǎng hé,koyamahirokazu
ハヤシトオル,林享,lín xiǎng,hayashitooru
タニハラナツキ,谷原菜月,gǔ yuán cài yuè,taniharanatsuki
キユヅキサトコ,季游月聪子,jì yóu yuè cōng zǐ,kiyudzukisatoko
テッペイ,铁平,tiě píng,teppei
イチヒメ,市姬,shì jī,ichihime
ケラエイコ,蝼荣子,lóu róng zǐ,keraeiko
ニチハナ,日华,rì huá,nichihana
カチヤ,胜矢,shèng shǐ,kachiya
タスク,永濑匡,yǒng lài kuāng,tasuku
カタナ,武士刀,wǔ shì dāo,katana
アヤユメ,小池彩梦,xiǎo chí cǎi mèng,ayayume
イシヅカアツコ,石冢敦子,shí zhǒng dūn zǐ,ishidzukaatsuko
ミネアツコ,峰敦子,fēng dūn zǐ,mineatsuko
タカシゲチュウ,高树宙,gāo shù zhòu,takashigechuu
キムラヒデフミ,木村英文,mù cūn yīng wén,kimurahidefumi
フジツカユキ,藤冢雪,téng zhǒng xuě,fujitsukayuki
ニチアラワ,日显,rì xiǎn,nichiarawa
クスノキミチハル,楠通春,nán tōng chūn,kusunokimichiharu
カヅキ,华月,huá yuè,kadzuki
タネサカエ,胤荣,yìn róng,tanesakae
ソンイ,孙𬀩,sūn 𬀩,soni
ユキヒロマツシタ,福岛宏之,fú dǎo hóng zhī,yukihiromatsushita
ジュンコイ,纯恋,chún liàn,junkoi
イクエミアヤ,育江绫,yù jiāng líng,ikuemiaya
ハヤミケイ,速见圭,sù jiàn guī,hayamikei
ジュンニョ,准如,zhǔn rú,junnyo
ジョウコウ,美智,MODIFIED,měi zhì,joukou
キサキミチコ,子上皇后,MODIFIED,zǐ shàng huáng hòu,kisakimichiko
クリハラ,栗原,MODIFIED,lì yuán,kurihara
ルイ,类,MODIFIED,lèi,rui
コバヤシ,小林,MODIFIED,xiǎo lín,kobayashi
カユメエラ,可梦伟,MODIFIED,kě mèng wěi,kayumeera
ワカギ,若木,MODIFIED,ruò mù,wakagi
タミキ,民喜,MODIFIED,mín xǐ,tamiki
オダ,尾田,MODIFIED,wěi tián,oda
ナガサワ,长泽,MODIFIED,cháng zé,nagasawa
トオル,彻,MODIFIED,chè,tooru
ユウジ,祐治,MODIFIED,yòu zhì,yuuji
スキガラ,锄柄,MODIFIED,chú bǐng,sukigara
マサヒロ,昌宏,MODIFIED,chāng hóng,masahiro
キシモト,岸本,MODIFIED,àn běn,kishimoto
ヒトシシ,齐史,MODIFIED,qí shǐ,hitoshishi
ムロフシ,室伏,MODIFIED,shì fú,murofushi
ヒロジ,广治,MODIFIED,guǎng zhì,hiroji
カンタダシ,菅直,MODIFIED,jiān zhí,kantadashi
ヨシダ,吉田,MODIFIED,jí tián,yoshida
シンジ,真司,MODIFIED,zhēn sī,shinji
カガミサト,镜里,MODIFIED,jìng lǐ,kagamisato
キヨジ,喜代治,MODIFIED,xǐ dài zhì,kiyoji
オノ,小野,MODIFIED,xiǎo yě,ono
カトウ,加藤,MODIFIED,jiā téng,katou
ハラダ,原田,MODIFIED,yuán tián,harada
ヒラヤマ,平山,MODIFIED,píng shān,hirayama
セイジ,清次,MODIFIED,qīng cì,seiji
タカガキ,高垣,MODIFIED,gāo yuán,takagaki
アヤヨウ,彩阳,MODIFIED,cǎi yáng,ayayou
エト,江渡,MODIFIED,jiāng dù,eto
サトシトク,聪德,MODIFIED,cōng dé,satoshitoku
エイミサト,英美里,MODIFIED,yīng měi lǐ,eimisato
タダモリ,理森,MODIFIED,lǐ sēn,tadamori
ヨリユキサン,赖山,MODIFIED,lài shān,yoriyukisan
ヒ,阳,MODIFIED,yáng,hi
キリュウ,桐生,MODIFIED,tóng shēng,kiryuu
サチシュウ,祥秀,MODIFIED,xiáng xiù,sachishuu
ミヤモト,宫本,MODIFIED,gōng běn,miyamoto
シゲル,茂,MODIFIED,mào,shigeru
マツライ,松来,MODIFIED,sōng lái,matsurai
ミユウ,未祐,MODIFIED,wèi yòu,miyuu
ヒデキ,英树,MODIFIED,yīng shù,hideki
ハラヨシミ,原嘉,MODIFIED,yuán jiā,harayoshimi
ミチ,道,MODIFIED,dào,michi
サイトウ,斋藤,MODIFIED,zhāi téng,saitou
サトウ,佐藤,MODIFIED,zuǒ téng,satou
タナカ,田中,MODIFIED,tián zhōng,tanaka
イノウエ,井上,MODIFIED,jǐng shàng,inoue
ヒサシ,厦,MODIFIED,shà,hisashi
イトウ,伊藤,MODIFIED,yī téng,itou
カナメグミ,加奈惠,MODIFIED,jiā nài huì,kanamegumi
トウコ,藤子,MODIFIED,téng zǐ,touko
ヒカサ,日笠,MODIFIED,rì lì,hikasa
ヨウシ,阳子,MODIFIED,yáng zǐ,youshi
シント,新渡,MODIFIED,xīn dù,shinto
トイナゾウ,户稻造,MODIFIED,hù dào zào,toinazou
トマツ,户松,MODIFIED,hù sōng,tomatsu
ハルカ,遥,MODIFIED,yáo,haruka
ヤマグチ,山口,MODIFIED,shān kǒu,yamaguchi
カンヒロシ,观弘,MODIFIED,guān hóng,kanhiroshi
ワカマツ,若松,MODIFIED,ruò sōng,wakamatsu
セツロウ,节朗,MODIFIED,jié lǎng,setsurou
タケミツ,武满,MODIFIED,wǔ mǎn,takemitsu
シノダ,筿田,MODIFIED,xiǎo tián,shinoda
モモベニ,桃红,MODIFIED,táo hóng,momobeni
コシバ,小柴,MODIFIED,xiǎo chái,koshiba
マサトシ,昌俊,MODIFIED,chāng jùn,masatoshi
アベ,安部,MODIFIED,ān bù,abe
コウボウ,公房,MODIFIED,gōng fáng,koubou
タカフミ,崇史,MODIFIED,chóng shǐ,takafumi
トモナガ,朝永,MODIFIED,cháo yǒng,tomonaga
タカハシ,高桥,MODIFIED,gāo qiáo,takahashi
サヤカ,沙也加,MODIFIED,shā yě jiā,sayaka
コウノ,河野,MODIFIED,hé yě,kouno
ヨウヘイ,洋平,MODIFIED,yáng píng,youhei
カツシカ,葛饰,MODIFIED,gě shì,katsushika
ホクサイ,北斋,MODIFIED,běi zhāi,hokusai
リエ,理惠,MODIFIED,lǐ huì,rie
ミユキ,美雪,MODIFIED,měi xuě,miyuki
ミソラ,美空,MODIFIED,měi kōng,misora
ヒバリ,云雀,MODIFIED,yún què,hibari
マツオ,松尾,MODIFIED,sōng wěi,matsuo
バショウ,芭蕉,MODIFIED,bā jiāo,bashou
ヤガミ,矢神,MODIFIED,shǐ shén,yagami
クミ,久美,MODIFIED,jiǔ měi,kumi
オリカサ,折笠,MODIFIED,zhé lì,orikasa
トミコ,富美子,MODIFIED,fù měi zǐ,tomiko
ハナザワ,花泽,MODIFIED,huā zé,hanazawa
カナ,香菜,MODIFIED,xiāng cài,kana
オモネキヨシ,阿澄,MODIFIED,ā chéng,omonekiyoshi
カワセ,川濑,MODIFIED,chuān lài,kawase
アキコ,晶子,MODIFIED,jīng zǐ,akiko
ヒダリミユキ,左幸,MODIFIED,zuǒ xìng,hidarimiyuki
コ,子,MODIFIED,zǐ,ko
ムラタ,村田,MODIFIED,cūn tián,murata
シン,真,MODIFIED,zhēn,shin
イグチ,井口,MODIFIED,jǐng kǒu,iguchi
コウキュウ,恒久,MODIFIED,héng jiǔ,koukyuu
オウヒショウジナイシンノウ,王妃昌子内亲王,MODIFIED,wáng fēi chāng zǐ nèi qīn wáng,ouhishoujinaishinnou
タンゲ,丹下,MODIFIED,dān xià,tange
ホンダ,本多,MODIFIED,běn duō,honda
サヨ,沙世,MODIFIED,shā shì,sayo
アナミ,阿南,MODIFIED,ā nán,anami
ドウジョウ,堂上,MODIFIED,táng shàng,doujou
チョクリン,直伦,MODIFIED,zhí lún,chokurin
ホウジョウ,方条,MODIFIED,fāng tiáo,houjou
モリイサオ,森功,MODIFIED,sēn gōng,moriisao
イタリ,至,MODIFIED,zhì,itari
ヤマベ,山部,MODIFIED,shān bù,yamabe
カシタ,㭴田,MODIFIED,㭴 tián,kashita
ユイカ,结下,MODIFIED,jié xià,yuika
ミチル,美智留,MODIFIED,měi zhì liú,michiru
キリガ,雾贺,MODIFIED,wù hè,kiriga
サルハシ,猿桥,MODIFIED,yuán qiáo,saruhashi
カツコ,胜子,MODIFIED,shèng zǐ,katsuko
クロサワ,黑泽,MODIFIED,hēi zé,kurosawa
アキラ,明,MODIFIED,míng,akira
ノリコ,范子,MODIFIED,fàn zǐ,noriko
サク,佐久,MODIFIED,zuǒ jiǔ,saku
ハザマレイ,间玲,MODIFIED,jiān líng,hazamarei
ノト,能登,MODIFIED,néng dēng,noto
マミコ,麻美子,MODIFIED,má měi zǐ,mamiko
カワスミ,川澄,MODIFIED,chuān chéng,kawasumi
アヤコ,绫子,MODIFIED,líng zǐ,ayako
アサヌマ,浅沼,MODIFIED,qiǎn zhǎo,asanuma
イネジロウ,稻次郎,MODIFIED,dào cì láng,inejirou
キクチ,菊池,MODIFIED,jú chí,kikuchi
タケトキ,武时,MODIFIED,wǔ shí,taketoki
セイホウ,西方,MODIFIED,xī fāng,seihou
カノ,鹿野,MODIFIED,lù yě,kano
ミチヒコ,道彦,MODIFIED,dào yàn,michihiko
イタルゾウ,达增,MODIFIED,dá zēng,itaruzou
タクヤ,拓也,MODIFIED,tuò yě,takuya
ヨシノ,吉野,MODIFIED,jí yě,yoshino
マサヨシ,正芳,MODIFIED,zhèng fāng,masayoshi
フユバ,冬马,MODIFIED,dōng mǎ,fuyuba
ユミ,由美,MODIFIED,yóu měi,yumi
ミズハシ,水桥,MODIFIED,shuǐ qiáo,mizuhashi
カオリ,香织,MODIFIED,xiāng zhī,kaori
コンドウ,近藤,MODIFIED,jìn téng,kondou
ヨウスケ,洋介,MODIFIED,yáng jiè,yousuke
フクダ,福田,MODIFIED,fú tián,fukuda
ヤスオ,康夫,MODIFIED,kāng fū,yasuo
ヒロナカ,广中,MODIFIED,guǎng zhōng,hironaka
タイラユウ,平祐,MODIFIED,píng yòu,tairayuu
リコン,利根,MODIFIED,lì gēn,rikon
カワススム,川进,MODIFIED,chuān jìn,kawasusumu
スズキ,铃木,MODIFIED,líng mù,suzuki
ミツミ,睦美,MODIFIED,mù měi,mitsumi
ミサト,美里,MODIFIED,měi lǐ,misato
ウエシバ,植芝,MODIFIED,zhí zhī,ueshiba
モリタイラ,盛平,MODIFIED,shèng píng,moritaira
ナガタ,永田,MODIFIED,yǒng tián,nagata
トクモト,德本,MODIFIED,dé běn,tokumoto
ユノキ,柚木,MODIFIED,yóu mù,yunoki
キタデ,北出,MODIFIED,běi chū,kitade
ナナ,菜奈,MODIFIED,cài nài,nana
クワケイ,桑佳,MODIFIED,sāng jiā,kuwakei
サナダ,真田,MODIFIED,zhēn tián,sanada
ユキ,裕贵,MODIFIED,yù guì,yuki
ヨシミタ,嘉田,MODIFIED,jiā tián,yoshimita
ユキコ,由纪子,MODIFIED,yóu jì zǐ,yukiko
ヤマモト,山本,MODIFIED,shān běn,yamamoto
ヒダカ,日高,MODIFIED,rì gāo,hidaka
リナ,里菜,MODIFIED,lǐ cài,rina
サスハラ,指原,MODIFIED,zhǐ yuán,sasuhara
マツウラ,松浦,MODIFIED,sōng pǔ,matsuura
ヨコヤマ,横山,MODIFIED,héng shān,yokoyama
ユイ,由依,MODIFIED,yóu yī,yui
コトブキヨシ,寿美,MODIFIED,shòu měi,kotobukiyoshi
サイコ,菜子,MODIFIED,cài zǐ,saiko
ウロフチ,虚渊,MODIFIED,xū yuān,urofuchi
ゲン,玄,MODIFIED,xuán,gen
リカタ,李方,MODIFIED,lǐ fāng,rikata
