김일,金日,jīn rì,gimil
강건,姜健,jiāng jiàn,ganggeon
김정,金仲,jīn zhòng,gimjeong
김철,金哲,jīn zhé,gimceol
남일,南日,nán rì,namil
백석,白石,bái shí,baegseog
허담,许锬,xǔ tán,heodam
김책,金策,jīn cè,gimcaeg
김무정,武亭,wǔ tíng,gimmujeong
서휘,徐辉,xú huī,seohwi
최휘,崔辉,cuī huī,coehwi
최광,崔光,cuī guāng,coegwang
박열,朴烈,pǔ liè,bagyeol
허헌,许宪,xǔ xiàn,heoheon
김옥,金玉,jīn yù,gimog
찰스 로버트 젱킨스,查尔斯·罗伯特·詹金斯,chá ěr sī · luó bǎi tè · zhān jīn sī,calseu robeoteu jengkinseu
최현,崔贤,cuī xián,coehyeon
안길,安吉,ān jí,angil
장철,张哲,zhāng zhé,jangceol
이찬,李灿,lǐ càn,ican
반디,潘迪,pān dí,bandi
임화,林和,lín hé,imhwa
배철,裴哲,péi zhé,baeceol
김웅,金雄,jīn xióng,gimung
정심,贞心,MODIFIED,zhēn xīn,jeongsim
국철,国哲,MODIFIED,guó zhé,gugceol
창애,昌爱,MODIFIED,chāng ài,cangae
창섭,昌燮,MODIFIED,chāng xiè,cangseob
계,桂,MODIFIED,guì,gye
병호,炳镐,MODIFIED,bǐng hào,byeongho
병훈,炳勋,MODIFIED,bǐng xūn,byeonghun
형봉,炯奉,MODIFIED,jiǒng fèng,hyeongbong
약수,若水,MODIFIED,ruò shuǐ,yagsu
전,全,MODIFIED,quán,jeon
하철,河哲,MODIFIED,hé zhé,haceol
문석,文锡,MODIFIED,wén xī,munseog
양모,阳模,MODIFIED,yáng mó,yangmo
응상,应祥,MODIFIED,yìng xiáng,eungsang
기영,箕永,MODIFIED,jī yǒng,giyeong
성,成,MODIFIED,chéng,seong
혜림,蕙琳,MODIFIED,huì lín,hyerim
근모,根模,MODIFIED,gēn mó,geunmo
설야,雪野,MODIFIED,xuě yě,seolya
만식,晚植,MODIFIED,wǎn zhí,mansig
연,延,MODIFIED,yán,yeon
형묵,亨默,MODIFIED,hēng mò,hyeongmug
신,申,MODIFIED,shēn,sin
동혁,东赫,MODIFIED,dōng hè,donghyeog
의춘,义春,MODIFIED,yì chūn,yicun
정은,正恩,MODIFIED,zhèng ēn,jeongeun
춘히,春姬,MODIFIED,chūn jī,cunhi
석형,锡亨,MODIFIED,xī hēng,seoghyeong
기남,基南,MODIFIED,jī nán,ginam
현희,贤姬,MODIFIED,xián jī,hyeonhyi
우,禹,MODIFIED,yǔ,u
동측,东测,MODIFIED,dōng cè,dongceug
승기,升基,MODIFIED,shēng jī,seunggi
규창,奎昌,MODIFIED,kuí chāng,gyucang
원봉,元凤,MODIFIED,yuán fèng,weonbong
창익,昌益,MODIFIED,chāng yì,cangig
노,卢,MODIFIED,lú,no
금석,今锡,MODIFIED,jīn xī,geumseog
성택,成泽,MODIFIED,chéng zé,seongtaeg
정애,正爱,MODIFIED,zhèng ài,jeongae
용호,龙浩,MODIFIED,lóng hào,yongho
경,庆,MODIFIED,qìng,gyeong
남,南,MODIFIED,nán,nam
남철,南哲,MODIFIED,nán zhé,namceol
순희,顺姬,MODIFIED,shùn jī,sunhyi
철환,哲焕,MODIFIED,zhé huàn,ceolhwan
종옥,钟玉,MODIFIED,zhōng yù,jongog
일관,日冠,MODIFIED,rì guān,ilgwan
로,卢,MODIFIED,lú,ro
학수,学洙,MODIFIED,xué zhū,hagsu
철만,哲万,MODIFIED,zhé wàn,ceolman
윤,尹,MODIFIED,yǐn,yun
공흠,公钦,MODIFIED,gōng qīn,gongheum
영호,英浩,MODIFIED,yīng hào,yeongho
수헌,寿宪,MODIFIED,shòu xiàn,suheon
명진,明进,MODIFIED,míng jìn,myeongjin
명찬,明灿,MODIFIED,míng càn,myeongcan
태원,泰远,MODIFIED,tài yuǎn,taeweon
응태,应泰,MODIFIED,yìng tài,eungtae
창봉,昌奉,MODIFIED,chāng fèng,cangbong
연준,延俊,MODIFIED,yán jùn,yeonjun
종만,宗万,MODIFIED,zōng wàn,jongman
용범,镕范,MODIFIED,róng fàn,yongbeom
여정,与正,MODIFIED,yǔ zhèng,yeojeong
호균,浩钧,MODIFIED,hào jūn,hogyun
정순,正淳,MODIFIED,zhèng chún,jeongsun
용철,勇哲,MODIFIED,yǒng zhé,yongceol
재경,在京,MODIFIED,zài jīng,jaegyeong
상건,相建,MODIFIED,xiāng jiàn,sanggeon
정천,正天,MODIFIED,zhèng tiān,jeongceon
승길,承吉,MODIFIED,chéng jí,seunggil
종관,钟宽,MODIFIED,zhōng kuān,jonggwan
룡남,龙男,MODIFIED,lóng nán,ryongnam
승무,承武,MODIFIED,chéng wǔ,seungmu
서헌,瑞宪,MODIFIED,ruì xiàn,seoheon
춘룡,春龙,MODIFIED,chūn lóng,cunryong
태,太,MODIFIED,tài,tae
형철,亨彻,MODIFIED,hēng chè,hyeongceol
철웅,哲雄,MODIFIED,zhé xióng,ceolung
길수,吉寿,MODIFIED,jí shòu,gilsu
선옥,仙玉,MODIFIED,xiān yù,seonog
용남,勇男,MODIFIED,yǒng nán,yongnam
상관,相官,MODIFIED,xiāng guān,sanggwan
용광,勇光,MODIFIED,yǒng guāng,yonggwang
태성,泰成,MODIFIED,tài chéng,taeseong
주식,柱植,MODIFIED,zhù zhí,jusig
상원,尚源,MODIFIED,shàng yuán,sangweon
승두,胜斗,MODIFIED,shèng dòu,seungdu
만수,万秀,MODIFIED,wàn xiù,mansu
학철,学哲,MODIFIED,xué zhé,hagceol
차,车,MODIFIED,chē,ca
희림,熙林,MODIFIED,xī lín,hyirim
일환,日焕,MODIFIED,rì huàn,ilhwan
중협,重协,MODIFIED,zhòng xié,junghyeob
류,柳,MODIFIED,liǔ,ryu
경수,京洙,MODIFIED,jīng zhū,gyeongsu
창선,昌善,MODIFIED,chāng shàn,cangseon
의순,义淳,MODIFIED,yì chún,yisun
종무,从茂,MODIFIED,cóng mào,jongmu
마,马,MODIFIED,mǎ,ma
원춘,元春,MODIFIED,yuán chūn,weoncun
태철,泰哲,MODIFIED,tài zhé,taeceol
철혁,哲赫,MODIFIED,zhé hè,ceolhyeog
정혁,正赫,MODIFIED,zhèng hè,jeonghyeog
성남,成南,MODIFIED,chéng nán,seongnam
홍희,泓熙,MODIFIED,hóng xī,honghyi
두봉,枓奉,MODIFIED,dǒu fèng,dubong
영준,永峻,MODIFIED,yǒng jùn,yeongjun
명훈,明勋,MODIFIED,míng xūn,myeonghun
정훈,正勋,MODIFIED,zhèng xūn,jeonghun
용건,庸健,MODIFIED,yōng jiàn,yonggeon
명길,明吉,MODIFIED,míng jí,myeonggil
정철,正哲,MODIFIED,zhèng zhé,jeongceol
미영,美英,MODIFIED,měi yīng,miyeong
렴,廉,MODIFIED,lián,ryeom
대옥,大玉,MODIFIED,dà yù,daeog
덕훈,德训,MODIFIED,dé xùn,deoghun
송이,松怡,MODIFIED,sōng yí,songi
남운,南云,MODIFIED,nán yún,namun
신조,新朝,MODIFIED,xīn cháo,sinjo
승엽,承烨,MODIFIED,chéng yè,seungyeob
명희,命熹,MODIFIED,mìng xī,myeonghyi
정화,正花,MODIFIED,zhèng huā,jeonghwa
광익,光益,MODIFIED,guāng yì,gwangig
상성,霜成,MODIFIED,shuāng chéng,sangseong
성애,圣爱,MODIFIED,shèng ài,seongae
학림,鹤林,MODIFIED,hè lín,hagrim
현,玄,MODIFIED,xuán,hyeon
계관,桂冠,MODIFIED,guì guān,gyegwan
엄,严,MODIFIED,yán,eom
윤철,润哲,MODIFIED,rùn zhé,yunceol
서,徐,MODIFIED,xú,seo
만술,万述,MODIFIED,wàn shù,mansul
설송,雪松,MODIFIED,xuě sōng,seolsong
정수,钟秀,MODIFIED,zhōng xiù,jeongsu
남기,南基,MODIFIED,nán jī,namgi
을설,乙雪,MODIFIED,yǐ xuě,eulseol
길연,吉渊,MODIFIED,jí yuān,gilyeon
용무,勇武,MODIFIED,yǒng wǔ,yongmu
정각,正觉,MODIFIED,zhèng jué,jeonggag
광철,光铁,MODIFIED,guāng tiě,gwangceol
응빈,应彬,MODIFIED,yìng bīn,eungbin
희영,希英,MODIFIED,xī yīng,hyiyeong
무영,武荣,MODIFIED,wǔ róng,muyeong
만건,万建,MODIFIED,wàn jiàn,mangeon
동,董,MODIFIED,dǒng,dong
정호,正浩,MODIFIED,zhèng hào,jeongho
채,蔡,MODIFIED,cài,cae
희정,喜正,MODIFIED,xǐ zhèng,hyijeong
덕수,德铢,MODIFIED,dé zhū,deogsu
백룡,白龙,MODIFIED,bái lóng,baegryong
광룡,光龙,MODIFIED,guāng lóng,gwangryong
윤심,润心,MODIFIED,rùn xīn,yunsim
인범,仁范,MODIFIED,rén fàn,inbeom
하일,河日,MODIFIED,hé rì,hail
병서,炳誓,MODIFIED,bǐng shì,byeongseo
룡천,龙天,MODIFIED,lóng tiān,ryongceon
맹,孟,MODIFIED,mèng,maeng
종호,钟镐,MODIFIED,zhōng hào,jongho
명철,明哲,MODIFIED,míng zhé,myeongceol
방,方,MODIFIED,fāng,bang
학세,学世,MODIFIED,xué shì,hagse
태덕,泰德,MODIFIED,tài dé,taedeog
영길,永吉,MODIFIED,yǒng jí,yeonggil
제선,济善,MODIFIED,jì shàn,jeseon
문규,文奎,MODIFIED,wén kuí,mungyu
계룡,启龙,MODIFIED,qǐ lóng,gyeryong
윤미,润美,MODIFIED,rùn měi,yunmi
광성,光成,MODIFIED,guāng chéng,gwangseong
유성,有成,MODIFIED,yǒu chéng,yuseong
국범,国范,MODIFIED,guó fàn,gugbeom
수길,秀吉,MODIFIED,xiù jí,sugil
선희,善姬,MODIFIED,shàn jī,seonhyi
홍찬,洪灿,MODIFIED,hóng càn,hongcan
은철,恩哲,MODIFIED,ēn zhé,eunceol
인희,仁姬,MODIFIED,rén jī,inhyi
성희,成姬,MODIFIED,chéng jī,seonghyi
곽,郭,MODIFIED,guō,gwag
범기,范基,MODIFIED,fàn jī,beomgi
필화,弼花,MODIFIED,bì huā,pilhwa
분희,粉姬,MODIFIED,fěn jī,bunhyi
량욱,良煜,MODIFIED,liáng yù,ryangug
유,俞,MODIFIED,yú,yu
순복,顺福,MODIFIED,shùn fú,sunbog
두익,斗翼,MODIFIED,dòu yì,duig
장엽,长烨,MODIFIED,cháng yè,jangyeob
태복,泰福,MODIFIED,tài fú,taebog
옥임,玉任,MODIFIED,yù rèn,ogim
양,杨,MODIFIED,yáng,yang
형섭,亨燮,MODIFIED,hēng xiè,hyeongseob
철수,铁洙,MODIFIED,tiě zhū,ceolsu
세봉,世凤,MODIFIED,shì fèng,sebong
용순,容淳,MODIFIED,róng chún,yongsun
극렬,克烈,MODIFIED,kè liè,geugryeol
배,裴,MODIFIED,péi,bae
송월,松月,MODIFIED,sōng yuè,songweol
원균,元均,MODIFIED,yuán jūn,weongyun
경숙,京淑,MODIFIED,jīng shū,gyeongsug
두철,斗哲,MODIFIED,dòu zhé,duceol
태남,泰南,MODIFIED,tài nán,taenam
정린,正麟,MODIFIED,zhèng lín,jeongrin
명수,明秀,MODIFIED,míng xiù,myeongsu
수용,洙墉,MODIFIED,zhū yōng,suyong
정균,贞均,MODIFIED,zhēn jūn,jeonggyun
정임,正任,MODIFIED,zhèng rèn,jeongim
경만,景万,MODIFIED,jǐng wàn,gyeongman
종수,钟洙,MODIFIED,zhōng zhū,jongsu
능수,能洙,MODIFIED,néng zhū,neungsu
기룡,基龙,MODIFIED,jī lóng,giryong
영수,英洙,MODIFIED,yīng zhū,yeongsu
경옥,京玉,MODIFIED,jīng yù,gyeongog
세영,世永,MODIFIED,shì yǒng,seyeong
상조,相朝,MODIFIED,xiāng cháo,sangjo
인덕,仁德,MODIFIED,rén dé,indeog
도일,道日,MODIFIED,dào rì,doil
경덕,京德,MODIFIED,jīng dé,gyeongdeog
효순,孝淳,MODIFIED,xiào chún,hyosun
일정,日晶,MODIFIED,rì jīng,iljeong
재홍,在鸿,MODIFIED,zài hóng,jaehong
병규,炳奎,MODIFIED,bǐng kuí,byeonggyu
춘추,春秋,MODIFIED,chūn qiū,cuncu
문영,文宁,MODIFIED,wén níng,munyeong
인선,仁善,MODIFIED,rén shàn,inseon
병렬,炳烈,MODIFIED,bǐng liè,byeongryeol
태영,兑荣,MODIFIED,duì róng,taeyeong
준택,准泽,MODIFIED,zhǔn zé,juntaeg
소앙,素昂,MODIFIED,sù áng,soang
동춘,东春,MODIFIED,dōng chūn,dongcun
설,薛,MODIFIED,xuē,seol
정식,贞植,MODIFIED,zhēn zhí,jeongsig
영진,永进,MODIFIED,yǒng jìn,yeongjin
용일,勇日,MODIFIED,yǒng rì,yongil
효심,孝心,MODIFIED,xiào xīn,hyosim
연미,研美,MODIFIED,yán měi,yeonmi
철성,哲成,MODIFIED,zhé chéng,ceolseong
심,沈,MODIFIED,shěn,sim
현욱,贤旭,MODIFIED,xián xù,hyeonug
상철,相哲,MODIFIED,xiāng zhé,sangceol
경일,庆日,MODIFIED,qìng rì,gyeongil
재룡,在龙,MODIFIED,zài lóng,jaeryong
춘식,春植,MODIFIED,chūn zhí,cunsig
승수,承秀,MODIFIED,chéng xiù,seungsu
학원,学远,MODIFIED,xué yuǎn,hagweon
주애,主爱,MODIFIED,zhǔ ài,juae
대성,大成,MODIFIED,dà chéng,daeseong
창호,昌浩,MODIFIED,chāng hào,cangho
경진,景进,MODIFIED,jǐng jìn,gyeongjin
형진,亨进,MODIFIED,hēng jìn,hyeongjin
영식,永植,MODIFIED,yǒng zhí,yeongsig
명,明,MODIFIED,míng,myeong
차현,车铉,MODIFIED,chē xuàn,cahyeon
철범,哲范,MODIFIED,zhé fàn,ceolbeom
현일,贤日,MODIFIED,xián rì,hyeonil
성호,成浩,MODIFIED,chéng hào,seongho
형준,衡俊,MODIFIED,héng jùn,hyeongjun
선권,善权,MODIFIED,shàn quán,seongweon
성일,成日,MODIFIED,chéng rì,seongil
인호,人虎,MODIFIED,rén hǔ,inho
광호,光浩,MODIFIED,guāng hào,gwangho
경택,京择,MODIFIED,jīng zé,gyeongtaeg
강철,康哲,MODIFIED,kāng zhé,gangceol
정관,正宽,MODIFIED,zhèng kuān,jeonggwan
윤석,润石,MODIFIED,rùn shí,yunseog
달현,达铉,MODIFIED,dá xuàn,dalhyeon
송,宋,MODIFIED,sòng,song
호성,虎声,MODIFIED,hǔ shēng,hoseong
권무,权武,MODIFIED,quán wǔ,gweonmu
재선,载善,MODIFIED,zǎi shàn,jaeseon
응조,应兆,MODIFIED,yìng zhào,eungjo
현아,金泫雅,jīn xuàn yǎ,hyeona
허각,许阁,xǔ gé,heogag
윤하,高润荷,gāo rùn hé,yunha
이호,李浩,lǐ hào,iho
수영,秀英,xiù yīng,suyeong
보아,宝儿,bǎo ér,boa
태연,太妍,tài yán,taeyeon
허재,许载,xǔ zǎi,heojae
서현,徐玄,xú xuán,seohyeon
린다 박,琳达·朴,lín dá · pǔ,rinda bag
장미인애,张美仁爱,zhāng měi rén ài,jangmiinae
효연,孝渊,xiào yuān,hyoyeon
세븐,崔东昱,cuī dōng yù,sebeun
장상,张裳,zhāng shang,jangsang
리웨이펑,李玮锋,lǐ wěi fēng,riweipeong
장면,张勉,zhāng miǎn,jangmyeon
효민,朴宣映,pǔ xuān yìng,hyomin
고수,高洙,gāo zhū,gosu
정찬,郑灿,zhèng càn,jeongcan
장혁,张赫,zhāng hè,janghyeog
김희철,希澈,xī chè,gimhyiceol
고건,高建,gāo jiàn,gogeon
수지,秀智,xiù zhì,suji
독고영재,独孤永宰,dú gū yǒng zǎi,doggoyeongjae
유리,俞利,yú lì,yuri
빅토르 안,维克多·安,wéi kè duō · ān,bigtoreu an
성훈,成勋,chéng xūn,seonghun
순정효황후,纯贞孝皇后,chún zhēn xiào huáng hòu,sunjeonghyohwanghu
민호,珉豪,mín háo,minho
환희,黄伦硕,huáng lún shuò,hwanhyi
윤아,润娥,rùn é,yuna
허정,许政,xǔ zhèng,heojeong
현빈,玄彬,xuán bīn,hyeonbin
태민,泰民,tài mín,taemin
함은정,咸𤨒晶,xián 𤨒 jīng,hameunjeong
승리,胜利,shèng lì,seungri
장훈,张本勋,zhāng běn xūn,janghun
태양,太阳,tài yáng,taeyang
최강창민,沈昌珉,shěn chāng mín,coegangcangmin
려욱,厉旭,lì xù,ryeoug
효린,孝琳,xiào lín,hyorin
찬성,黄灿盛,huáng càn shèng,canseong
김범,金泛,jīn fàn,gimbeom
설리,崔真理,cuī zhēn lǐ,seolri
유빈,宥斌,yòu bīn,yubin
공유,孔刘,kǒng liú,gongyu
시원,崔始源,cuī shǐ yuán,siweon
이준,李准,lǐ zhǔn,ijun
서우,瑞雨,ruì yǔ,seou
신건,辛建,xīn jiàn,singeon
은혁,银赫,yín hè,eunhyeog
예성,艺声,yì shēng,yeseong
로버트 콘스웨이트,罗拔·哥夫韦特,luó bá · gē fū wéi tè,robeoteu konseuweiteu
신동,神童,shén tóng,sindong
김성택,春日王克昌,chūn rì wáng kè chāng,gimseongtaeg
이인혜,李仁𬤝,lǐ rén 𬤝,iinhye
권집,权辑,quán jí,gweonjib
신애,申爱,shēn ài,sinae
신지,申智,shēn zhì,sinji
재희,在喜,zài xǐ,jaehyi
지연,朴芝妍,pǔ zhī yán,jiyeon
김기범,起范,qǐ fàn,gimgibeom
홍철,洪喆,hóng zhé,hongceol
강남,康男,kāng nán,gangnam
빅터 샤카,域陀·沙克亚,yù tuó · shā kè yà,bigteo syaka
선예,先艺,xiān yì,seonye
핫펠트,誉恩,yù ēn,haspelteu
김다솜,多顺,duō shùn,gimdasom
유건,刘建,liú jiàn,yugeon
임혁,林赫,lín hè,imhyeog
선미,宣美,xuān měi,seonmi
최정,崔廷,cuī tíng,coejeong
스티븐 연,史蒂文·连,shǐ dì wén · lián,seutibeun yeon
수현,金秀贤,jīn xiù xián,suhyeon
강두,姜斗,jiāng dòu,gangdu
이진,李真,lǐ zhēn,ijin
김조광수,金赵光秀,jīn zhào guāng xiù,gimjogwangsu
종현,钟铉,zhōng xuàn,jonghyeon
길,吉成俊,jí chéng jùn,gil
솔비,权志晏,quán zhì yàn,solbi
사오리,张佐绪里,zhāng zuǒ xù lǐ,saori
주현,朱铉,zhū xuàn,juhyeon
이참,李参,lǐ cān,icam
의민태자,李垠,lǐ yín,yimintaeja
소연,朴昭妍,pǔ zhāo yán,soyeon
문희,文姬,wén jī,munhyi
민룡,闵龙,mǐn lóng,minryong
아드리아누 슈바,艾杜安奴·祖华,ài dù ān nú · zǔ huá,adeurianu syuba
강풀,姜草,jiāng cǎo,gangpul
제아,金孝珍,jīn xiào zhēn,jea
이현,李贤,lǐ xián,ihyeon
미나,沈敏雅,shěn mǐn yǎ,mina
백현,伯贤,bǎi xián,baeghyeon
니키 양,尼基·杨,ní jī · yáng,niki yang
기욤 패트리,纪尧姆·帕特里,jì yáo mǔ · pà tè lǐ,giyom paeteuri
권혁,权奕,quán yì,gweonhyeog
찬열,灿烈,càn liè,canyeol
권일,权逸,quán yì,gweonil
조권,赵权,zhào quán,jogweon
김준,金俊,jīn jùn,gimjun
보람,全宝蓝,quán bǎo lán,boram
최다니엘,崔丹尼尔,cuī dān ní ěr,coedaniel
현우,显祐,xiǎn yòu,hyeonu
최윤,崔允,cuī yǔn,coeyun
이적,李笛,lǐ dí,ijeog
이상,李箱,lǐ xiāng,isang
윤빛가람,尹比加兰,yǐn bǐ jiā lán,yunbicgaram
천둥,天动,tiān dòng,ceondung
아우미르 로페스 지 루나,艾美亚·卢比斯·迪·路拿,ài měi yà · lú bǐ sī · dí · lù ná,aumireu ropeseu ji runa
김태정,唐龙,táng lóng,gimtaejeong
전진,前进,qián jìn,jeonjin
리키 김,瑞奇·李耐利,ruì qí · lǐ nài lì,riki gim
미료,赵美慧,zhào měi huì,miryo
유룡,刘龙,liú lóng,yuryong
루벤 베르넌시오,鲁宾·贝隆斯奥,lǔ bīn · bèi lóng sī ào,ruben bereuneonsio
롭 레프스나이더,罗布·瑞福斯奈德,luó bù · ruì fú sī nài dé,rob repeuseunaideo
이용,李镕,lǐ róng,iyong
조셉 칸,乔瑟夫·坎恩,qiáo sè fū · kǎn ēn,joseb kan
앤디,李先镐,lǐ xiān hào,aendi
이에리사,李艾莉萨,lǐ ài lì sà,ierisa
김완,金浣,jīn huàn,gimwan
윤현,尹铉,yǐn xuàn,yunhyeon
정아,廷娥,tíng é,jeonga
태미,金景淑,jīn jǐng shū,taemi
블라디미르 요반치치,弗拉基米尔·约万西奇,fú lā jī mǐ ěr · yuē wàn xī qí,beulradimireu yobancici
성우리,中村友理,zhōng cūn yǒu lǐ,seonguri
소유,韶宥,sháo yòu,soyu
이원,李源,lǐ yuán,iweon
알렉산더,亚历山大,yà lì shān dà,alregsandeo
이솜,李絮,lǐ xù,isom
정준,郑俊,zhèng jùn,jeongjun
루시아누 발렌치 지 지우스,卢斯安奴·华伦迪·迪·迪乌斯,lú sī ān nú · huá lún dí · dí · dí wū sī,rusianu balrenci ji jiuseu
조안,赵安,zhào ān,joan
의친왕,李堈,lǐ gāng,yicinwang
큐리,李居丽,lǐ jū lì,kyuri
정희철,熹哲,xī zhé,jeonghyiceol
아유미,伊藤由美,yī téng yóu měi,ayumi
스티페 라피치,斯泰普·拉皮奇,sī tài pǔ · lā pí qí,seutipe rapici
우영,张祐荣,zhāng yòu róng,uyeong
준호,李俊昊,lǐ jùn hào,junho
장용,张勇,zhāng yǒng,jangyong
권율,权律,quán lǜ,gweonyul
엘,金明洙,jīn míng zhū,el
장광,张光,zhāng guāng,janggwang
박유향,诗音,shī yīn,bagyuhyang
가희,嘉熙,jiā xī,gahyi
하민우,旼佑,mín yòu,haminu
현영,贤荣,xián róng,hyeonyeong
브라이언,朱玟奎,zhū mín kuí,beuraieon
채연,蔡妍,cài yán,caeyeon
이석,李锡,lǐ xī,iseog
