нюша,뉴샤,nyusya
калининград,칼리닌그라드,kalriningeuradeu
короча,코로차,koroca
кызыл,크즐,keujeul
элиста,옐리스타,yelriseuta
кемерово,케메로보,kemerobo
шебекино,셰베키노,syebekino
республика алтай,알타이 공화국,altai gonghwagug
тамбов,탐보프,tambopeu
архангельск,아르한겔스크,areuhangelseukeu
майкоп,마이코프,maikopeu
мурманск,무르만스크,mureumanseukeu
лапландия,사프미,sapeumi
горноалтайск,고르노알타이스크,goreunoaltaiseukeu
барнаул,바르나울,bareunaul
хантымансийск,한티만시스크,hantimansiseukeu
астрахань,아스트라한,aseuteurahan
петрозаводск,페트로자보츠크,peteurojaboceukeu
вологда,볼로그다,bolrogeuda
салехард,살레하르트,salrehareuteu
череповец,체레포베츠,cerepobeceu
хабаровск,하바롭스크,habarobseukeu
дзержинск,제르진스크,jereujinseukeu
дмитриев,드미트리예프리고프스키,deumiteuriyepeurigopeuseuki
беловежские соглашения,벨라베자 조약,belrabeja joyag
внешняя политика россии,러시아의 대외 관계,reosiayi daeoe gwangye
нарьянмар,나리얀마르,nariyanmareu
теракт на дубровке,모스크바 극장 인질극,moseukeuba geugjang injilgeug
республика коми,코미 공화국,komi gonghwagug
надым,나딤,nadim
тотьма,토트마,toteuma
сыктывкар,식팁카르,sigtibkareu
иркутск,이르쿠츠크,ireukuceukeu
железногорск,젤레즈노고르스크,jelrejeunogoreuseukeu
евразийская степь,유라시아 스텝,yurasia seuteb
уланудэ,울란우데,ulranude
курильские острова,쿠릴 열도,kuril yeoldo
псков,프스코프,peuseukopeu
якутск,야쿠츠크,yakuceukeu
сызрань,시즈란,sijeuran
махачкала,마하치칼라,mahacikalra
ставрополь,스타브로폴,seutabeuropol
грозный,그로즈니,geurojeuni
единая россия,통합 러시아,tonghab reosia
лакинск,라킨스크,rakinseukeu
благовещенск,블라고베셴스크,beulragobesyenseukeu
новая земля,노바야제믈랴 제도,nobayajemeulrya jedo
магас,마가스,magaseu
северная осетия,북오세티야 공화국,bugosetiya gonghwagug
владикавказ,블라디캅카스,beulradikabkaseu
кировск,키롭스크,kirobseukeu
кировочепецк,키로보체페츠크,kirobocepeceukeu
кировград,키로브그라드,kirobeugeuradeu
киренск,키렌스크,kirenseukeu
киржач,키르자치,kireujaci
киров,키로프,kiropeu
киреевск,키레옙스크,kireyebseukeu
кинешма,키네시마,kinesima
убсунур,우브스호,ubeuseuho
севастополь,세바스토폴,sebaseutopol
дальнегорск,달네고르스크,dalnegoreuseukeu
гатчина,가치나,gacina
нальчик,날치크,nalcikeu
кисловодск,키슬로보츠크,kiseulroboceukeu
климовск,클리몹스크,keulrimobseukeu
клин,클린,keulrin
клинцы,클린치,keulrinci
яндекс,얀덱스,yandegseu
черкесск,체르케스크,cereukeseukeu
саратов,사라토프,saratopeu
кольчугино,콜추기노,kolcugino
колпино,콜피노,kolpino
сахалин,사할린섬,sahalrinseom
новокузнецк,노보쿠즈네츠크,nobokujeuneceukeu
волчанск,볼찬스크,bolcanseukeu
братья стругацкие,스트루가츠키 형제,seuteurugaceuki hyeongje
козельск,코젤스크,kojelseukeu
когалым,코갈림,kogalrim
оренбург,오렌부르크,orenbureukeu
биробиджан,비로비잔,birobijan
российскофранцузские отношения,러시아프랑스 관계,reosiapeurangseu gwangye
российская академия наук,러시아 과학 아카데미,reosia gwahag akademi
академгородок,아카뎀고로도크,akademgorodokeu
козьмодемьянск,코지모데미얀스크,kojimodemiyanseukeu
кола,콜라,kolra
кологрив,콜로그리프,kolrogeuripeu
саранск,사란스크,saranseukeu
судак,수다크,sudakeu
южносахалинск,유즈노사할린스크,yujeunosahalrinseukeu
пушкин,푸시킨,pusikin
сибирь,시베리아,siberia
крым,크림반도,keurimbando
комсомольск,콤소몰스크,komsomolseukeu
комсомольскнаамуре,콤소몰스크나아무레,komsomolseukeunaamure
конаково,코나코보,konakobo
ижевск,이젭스크,ijebseukeu
кондопога,콘도포가,kondopoga
вязьма,뱌지마,byajima
сихотэалинь,시호테알린산맥,sihotealrinsanmaeg
корсаков,코르사코프,koreusakopeu
королёв,코롤료프,korolryopeu
костерёво,코스테료보,koseuteryobo
костомукша,코스토묵샤,koseutomugsya
коряжма,코랴즈마,koryajeuma
марий эл,마리옐 공화국,mariyel gonghwagug
калачнадону,칼라치나도누,kalracinadonu
ковров,코브로프,kobeuropeu
кораблино,코라블리노,korabeulrino
айны,아이누,ainu
волоколамск,볼로콜람스크,bolrokolramseukeu
дмитров,드미트로프,deumiteuropeu
елец,옐레츠,yelreceu
ельня,옐냐,yelnya
котельнич,코텔니치,kotelnici
котлас,코틀라스,koteulraseu
агрыз,아그리스,ageuriseu
магнитогорск,마그니토고르스크,mageunitogoreuseukeu
кондрово,콘드로보,kondeurobo
петропавловсккамчатский,페트로파블롭스크캄차츠키,peteuropabeulrobseukeukamcaceuki
копейск,코페이스크,kopeiseukeu
волжский,볼시스키,bolsiseuki
магадан,마가단,magadan
адыгейск,아디게이스크,adigeiseukeu
красноармейск,크라스노아르메이스크,keuraseunoareumeiseukeu
красногорск,크라스노고르스크,keuraseunogoreuseukeu
алейск,알레이스크,alreiseukeu
белокуриха,벨로쿠리하,belrokuriha
боспорское царство,보스포로스 왕국,boseuporoseu wanggug
азнакаево,아즈나카예보,ajeunakayebo
азов,아조프,ajopeu
алатырь,알라티리,alratiri
алагир,알라기르,alragireu
аксай,악사이,agsai
акдовурак,악도부락,agdoburag
приозерск,프리오제르스크,peuriojereuseukeu
анадырь,아나디리,anadiri
абдулино,아브둘리노,abeudulrino
бийск,비스크,biseukeu
газпром,가스프롬,gaseupeurom
агидель,아기델,agidel
краснознаменск,크라스노즈나멘스크,keuraseunojeunamenseukeu
российский футбольный союз,러시아 축구 연합,reosia cuggu yeonhab
александровск,알렉산드롭스크,alregsandeurobseukeu
александровсксахалинский,알렉산드롭스크사할린스키,alregsandeurobseukeusahalrinseuki
алдан,알단,aldan
александров,알렉산드로프,alregsandeuropeu
кронштадт,크론시타트,keuronsitateu
кстово,크스토보,keuseutobo
кувшиново,쿱시노보,kubsinobo
алексин,알렉신,alregsin
амурск,아무르스크,amureuseukeu
ангарск,안가르스크,angareuseukeu
кудымкар,쿠딤카르,kudimkareu
альметьевск,알메티옙스크,almetiyebseukeu
алзамай,알자마이,aljamai
куйбышев,쿠이비셰프,kuibisyepeu
лукойл,루크오일,rukeuoil
анжеросудженск,안제로수젠스크,anjerosujenseukeu
анива,아니바,aniba
первый канал,페르비 카날,pereubi kanal
андреаполь,안드레아폴,andeureapol
курильск,쿠릴스크,kurilseukeu
курлово,쿠를로보,kureulrobo
нижегородский метрополитен,니즈니노브고로드 지하철,nijeuninobeugorodeu jihaceol
апатиты,아파티티,apatiti
кунгур,쿤구르,kungureu
арамиль,아라밀,aramil
апрелевка,아프렐렙카,apeurelrebka
аргун,아르군,areugun
кушва,쿠시바,kusiba
кыштым,키시팀,kisitim
находка,나홋카,nahoska
шантарские острова,샨타르스키예 제도,syantareuseukiye jedo
лаишево,라이셰보,raisyebo
арзамас,아르자마스,areujamaseu
ардатов,아르다토프,areudatopeu
аркадак,아르카닥,areukadag
арсеньев,아르세니예프,areuseniyepeu
кяхта,캬흐타,kyaheuta
артём,아르툠,areutyom
арск,아르스크,areuseukeu
артёмовск,아르툐몹스크,areutyomobseukeu
артёмовский,아르툐몹스키,areutyomobseuki
асбест,아스베스트,aseubeseuteu
асино,아시노,asino
керчь,케르치,kereuci
аткарск,앗카르스크,askareuseukeu
лесозаводск,레소자보츠크,resojaboceukeu
главное адмиралтейство,러시아 구해군성,reosia guhaegunseong
антропово,안트로포보,anteuropobo
ачинск,아친스크,acinseukeu
лебедянь,레베댠,rebedyan
лениногорск,레니노고르스크,reninogoreuseukeu
байкальск,바이칼스크,baikalseukeu
бакал,바칼,bakal
балабаново,발라바노보,balrabanobo
лесной,레스노이,reseunoi
балашиха,발라시하,balrasiha
ливны,리브니,ribeuni
бабаево,바바예보,babayebo
бабушкин,바부시킨,babusikin
липки,립키,ribki
багратионовск,바그라티오놉스크,bageurationobseukeu
бавлы,바블리,babeulri
ленск,렌스크,renseukeu
лихославль,리호슬라블,rihoseulrabeul
кильдин,킬딘섬,kildinseom
любим,류빔,ryubim
балаково,발라코보,balrakobo
балахна,발라흐나,balraheuna
луховицы,루호비치,ruhobici
ломоносов,로모노소프,romonosopeu
балашов,발라쇼프,balrasyopeu
балей,발레이,balrei
барабинск,바라빈스크,barabinseukeu
бежецк,베제츠크,bejeceukeu
батайск,바타이스크,bataiseukeu
белёв,벨료프,belryopeu
лача,라차호,racaho
демянск,데먄스크,demyanseukeu
берингов пролив,베링 해협,bering haehyeob
белозерск,벨로제르스크,belrojereuseukeu
белогорск,벨로고르스크,belrogoreuseukeu
белово,벨로보,belrobo
байкалоамурская магистраль,바이칼아무르 철도,baikalamureu ceoldo
белорецк,벨로레츠크,belroreceukeu
беломорск,벨로모르스크,belromoreuseukeu
людиново,류디노보,ryudinobo
макаров,마카로프,makaropeu
макарьев,마카례프,makaryepeu
малгобек,말고베크,malgobekeu
беслан,베슬란,beseulran
мглин,므글린,meugeulrin
малоархангельск,말로아르한겔스크,malroareuhangelseukeu
малоярославец,말로야로슬라베츠,malroyaroseulrabeceu
березники,베레즈니키,berejeuniki
берёзовский,베료조프스키,beryojopeuseuki
курган,쿠르간,kureugan
русская кухня,러시아 요리,reosia yori
бикин,비킨,bikin
билибино,빌리비노,bilribino
московский государственный университет,모스크바 국립 대학교,moseukeuba gugrib daehaggyo
бирск,비르스크,bireuseukeu
мантурово,만투로보,manturobo
мамоново,마모노보,mamonobo
бердск,베르츠크,bereuceukeu
белый,벨리,belri
мегион,메기온,megion
бирюсинск,비류신스크,biryusinseukeu
медвежьегорск,메드베지예고르스크,medeubejiyegoreuseukeu
фосагро,포스아그로,poseuageuro
невский проспект,넵스키 대로,nebseuki daero
калинка,칼린카,kalrinka
интерфакс,인테르팍스,intereupagseu
выборг,비보르크,biboreukeu
благодарный,블라고다르니,beulragodareuni
боготол,보고톨,bogotol
богородицк,보고로디츠크,bogorodiceukeu
богданович,보그다노비치,bogeudanobici
ленфильм,렌필름,renpilreum
медынь,메딘,medin
межгорье,메즈고리예,mejeugoriye
междуреченск,메즈두레첸스크,mejeudurecenseukeu
мезень,메젠,mejen
бодайбо,보다이보,bodaibo
болгар,볼가르,bolgareu
бологое,볼로고예,bolrogoye
меленки,멜렌키,melrenki
менделеевск,멘델레옙스크,mendelreyebseukeu
миллерово,밀레로보,milrerobo
мензелинск,멘젤린스크,menjelrinseukeu
мещовск,메숍스크,mesyobseukeu
волосово,볼로소보,bolrosobo
бокситогорск,복시토고르스크,bogsitogoreuseukeu
болхов,볼호프,bolhopeu
болохово,볼로호보,bolrohobo
бор,보르,boreu
борзя,보르자,boreuja
георгиевск,게오르기옙스크,georeugiyebseukeu
ледовое побоище,페이푸스호 전투,peipuseuho jeontu
минусинск,미누신스크,minusinseukeu
волхов,볼호프,bolhopeu
всеволожск,프세볼로시스크,peusebolrosiseukeu
высоцк,비소츠크,bisoceukeu
мичуринск,미추린스크,micurinseukeu
михайлов,미하일로프,mihailropeu
можайск,모자이스크,mojaiseukeu
уланудэнский авиационный завод,울란우데 항공기 공장,ulranude hanggonggi gongjang
ивангород,이반고로드,ibangorodeu
каменногорск,카멘노고르스크,kamennogoreuseukeu
донецк,도네츠크,doneceukeu
миасс,미아스,miaseu
каменскуральский,카멘스크우랄스키,kamenseukeuuralseuki
кингисепп,킨기세프,kingisepeu
мирный,미르니,mireuni
семилуки,세밀루키,semilruki
урюпинск,우류핀스크,uryupinseukeu
мончегорск,몬체고르스크,moncegoreuseukeu
моршанск,모르샨스크,moreusyanseukeu
мосальск,모살스크,mosalseukeu
агинское,아긴스코예,aginseukoye
осетия,오세티야,osetiya
приморск,프리모르스크,peurimoreuseukeu
татарский пролив,타타르 해협,tatareu haehyeob
демянская операция,데먄스크 포위전,demyanseukeu powijeon
луга,루가,ruga
немецкий национальный район,네메츠키 나치오날니 군,nemeceuki nacionalni gun
история россии,러시아의 역사,reosiayi yeogsa
саки,사키,saki
красноперекопск,크라스노페레콥스크,keuraseunoperekobseukeu
смоленское сражение,스몰렌스크 전투,seumolrenseukeu jeontu
тосно,토스노,toseuno
шлиссельбург,실리셀부르크,silriselbureukeu
суздаль,수즈달,sujeudal
анапа,아나파,anapa
темрюк,템류크,temryukeu
мышкин,미시킨,misikin
тихвин,티흐빈,tiheubin
айхал,아이할,aihal
мценск,므첸스크,meucenseukeu
казанский собор,카잔 대성당,kajan daeseongdang
муром,무롬,murom
новороссийск,노보로시스크,noborosiseukeu
эльхотово,옐호토보,yelhotobo
апшеронск,압셰론스크,absyeronseukeu
абинск,아빈스크,abinseukeu
раменское,라멘스코예,ramenseukoye
навашино,나바시노,nabasino
геленджик,겔렌지크,gelrenjikeu
армавир,아르마비르,areumabireu
белореченск,벨로레첸스크,belrorecenseukeu
назрань,나즈란,najeuran
нарофоминск,나로포민스크,naropominseukeu
называевск,나지바옙스크,najibayebseukeu
янтарный путь,호박의 길,hobagyi gil
акелла,아켈라,akelra
лабинск,라빈스크,rabinseukeu
крымск,크림스크,keurimseukeu
черногорск,체르노고르스크,cereunogoreuseukeu
парк горького,고리키 공원,goriki gongweon
герб россии,러시아의 국장,reosiayi gugjang
яковлев,이르쿠트,ireukuteu
ялта,얄타,yalta
невель,네벨,nebel
невельск,네벨스크,nebelseukeu
невинномысск,네비노미스크,nebinomiseukeu
фридландское сражение,프리틀란트 전투,peuriteulranteu jeontu
камов,카모프,kamopeu
маканруши,마칸루시섬,makanrusiseom
храм василия блаженного,성 바실리 대성당,seong basilri daeseongdang
китайскороссийские отношения,중러 관계,jungreo gwangye
футуризм,미래주의,miraejuyi
первоуральск,페르보우랄스크,pereubouralseukeu
тобольск,토볼스크,tobolseukeu
петербургский метрополитен,상트페테르부르크 지하철,sangteupetereubureukeu jihaceol
гальбштадт,갈프슈타트,galpeusyutateu
комсомолец,콤소몰레츠섬,komsomolreceuseom
ника,니카상,nikasang
яшкино,야시키노,yasikino
симферополь,심페로폴,simperopol
подольск,포돌스크,podolseukeu
новая газета,노바야 가제타,nobaya gajeta
таганрог,타간로크,taganrokeu
ладушкин,라두시킨,radusikin
дербент,데르벤트,dereubenteu
нерехта,네레흐타,nereheuta
нерюнгри,네륜그리,neryungeuri
нелидово,넬리도보,nelridobo
медный,메드니섬,medeuniseom
палтога,팔토가,paltoga
новатэк,노바텍,nobateg
забайкальск,자바이칼스크,jabaikalseukeu
кетой,케토이섬,ketoiseom
борисоглебск,보리소글렙스크,borisogeulrebseukeu
боровск,보롭스크,borobseukeu
бородино,보로디노,borodino
боровичи,보로비치,borobici
нестеров,네스테로프,neseuteropeu
нефтегорск,넵테고르스크,nebtegoreuseukeu
нефтекамск,넵테캄스크,nebtekamseukeu
нефтеюганск,넵테유간스크,nebteyuganseukeu
нея,네야,neya
алупка,알룹카,alrubka
бронницы,브론니치,beuronnici
чемпионат россии по футболу среди женщин,쳄피오나트 로시 포 푸트볼루 스레디 젠신,cempionateu rosi po puteubolru seuredi jensin
братск,브라츠크,beuraceukeu
нижневартовск,니즈네바르톱스크,nijeunebareutobseukeu
федеральное собрание,러시아 연방의회,reosia yeonbangyihoe
нижнекамск,니즈네캄스크,nijeunekamseukeu
бугульма,부굴마,bugulma
бугуруслан,부구루슬란,buguruseulran
николаевск,니콜라옙스크,nikolrayebseukeu
николаевскнаамуре,니콜라옙스크나아무레,nikolrayebseukeunaamure
нижнеудинск,니즈네우딘스크,nijeuneudinseukeu
новозыбков,노보집코프,nobojibkopeu
новодвинск,노보드빈스크,nobodeubinseukeu
новоалтайск,노보알타이스크,noboaltaiseukeu
экономика россии,러시아의 경제,reosiayi gyeongje
гранпри россии,러시아 그랑프리,reosia geurangpeuri
венёв,베네프,benepeu
верея,베레야,bereya
валуйки,발루이키,balruiki
валдай,발다이,baldai
ногинск,노긴스크,noginseukeu
новоржев,노보르제프,noboreujepeu
новосиль,노보실,nobosil
новоуральск,노보우랄스크,nobouralseukeu
новочебоксарск,노보체복사르스크,nobocebogsareuseukeu
бутурлиновка,부투를리놉카,butureulrinobka
буйнакск,부이낙스크,buinagseukeu
новочеркасск,노보체르카스크,nobocereukaseukeu
новосокольники,노보소콜니키,nobosokolniki
ряжск,랴시스크,ryasiseukeu
буинск,부인스크,buinseukeu
будённовск,부됸놉스크,budyonnobseukeu
буй,부이,bui
новомосковск,노보모스콥스크,nobomoseukobseukeu
новомичуринск,노보미추린스크,nobomicurinseukeu
ржевская битва,르제프 전투,reujepeu jeontu
имандра,이만트라호,imanteuraho
коломна,콜롬나,kolromna
норильск,노릴스크,norilseukeu
ноябрьск,노야브리스크,noyabeuriseukeu
нурлат,누를라트,nureulrateu
новосибирский метрополитен,노보시비르스크 지하철,nobosibireuseukeu jihaceol
новодевичий монастырь,노보데비치 수녀원,nobodebici sunyeoweon
день победы,승리의 날,seungriyi nal
верхоянск,베르호얀스크,bereuhoyanseukeu
нягань,냐간,nyagan
нюрба,뉴르바,nyureuba
няндома,냔도마,nyandoma
весьегонск,베시예곤스크,besiyegonseukeu
видное,비드노예,bideunoye
вилюйск,빌류이스크,bilryuiseukeu
облучье,오블루치예,obeulruciye
обнинск,오브닌스크,obeuninseukeu
вилючинск,빌류친스크,bilryucinseukeu
вихоревка,비호레프카,bihorepeuka
одинцово,오딘초보,odincobo
ожерелье,오제렐리예,ojerelriye
озёрск,오조르스크,ojoreuseukeu
олёкминск,올료크민스크,olryokeuminseukeu
окуловка,오쿨롭카,okulrobka
путорана,푸토라나고원,putoranagoweon
санктпетербургский государственный университет,국립 상트페테르부르크 대학교,gugrib sangteupetereubureukeu daehaggyo
вичуга,비추가,bicuga
волгодонск,볼고돈스크,bolgodonseukeu
омутнинск,오무트닌스크,omuteuninseukeu
онега,오네가,onega
ореховозуево,오레호보주예보,orehobojuyebo
волжск,볼시스크,bolsiseukeu
московский кремль,모스크바 크렘린,moseukeuba keuremrin
волгореченск,볼고레첸스크,bolgorecenseukeu
осташков,오스타시코프,oseutasikopeu
островной,오스트로브노이,oseuteurobeunoi
остров,오스트로프,oseuteuropeu
адлер,아들레르,adeulrereu
оха,오하,oha
острогожск,오스트로고시스크,oseuteurogosiseukeu
вольск,볼스크,bolseukeu
карабаново,카라바노보,karabanobo
воркута,보르쿠타,boreukuta
павловск,파블롭스크,pabeulrobseukeu
павлово,파블로보,pabeulrobo
гавриловям,가브릴로프얌,gabeurilropeuyam
гагарин,가가린,gagarin
гаджиево,가지예보,gajiyebo
петергоф,페테르고프,petereugopeu
воскресенск,보스크레센스크,boseukeuresenseukeu
выкса,빅사,bigsa
воткинск,봇킨스크,boskinseukeu
партизанск,파르티잔스크,pareutijanseukeu
певек,페베크,pebekeu
вяземский,뱌젬스키,byajemseuki
флаг республики алтай,알타이 공화국의 기,altai gonghwagugyi gi
луганск,루한스크,ruhanseukeu
первомайск,페르보마이스크,pereubomaiseukeu
вязники,뱌즈니키,byajeuniki
пестово,페스토보,peseutobo
краснолесье,크라스놀레셰,keuraseunolresye
переславльзалесский,페레슬라블잘레스키,pereseulrabeuljalreseuki
гдов,그도프,geudopeu
глазов,글라조프,geulrajopeu
галич,갈리치,galrici
ванино,바니노,banino
голицыно,골리치노,golricino
алроса,알로사,alrosa
петушки,페투시키,petusiki
печора,페초라,pecora
горбатов,고르바토프,goreubatopeu
городец,고로데츠,gorodeceu
пионерский,피오네르스키,pionereuseuki
печоры,페초리,pecori
камаз,카마스,kamaseu
плавск,플랍스크,peulrabseukeu
плёс,플료스,peulryoseu
гороховец,고로호베츠,gorohobeceu
грайворон,그라이보론,geuraiboron
грязовец,그랴조베츠,geuryajobeceu
губкин,굽킨,gubkin
покровск,포크롭스크,pokeurobseukeu
слюдянка,슬류댠카,seulryudyanka
гудермес,구데르메스,gudereumeseu
останкинская телебашня,오스탄키노 타워,oseutankino taweo
давлеканово,다블레카노보,dabeulrekanobo
полесск,폴레스크,polreseukeu
дальнереченск,달네레첸스크,dalnerecenseukeu
данилов,다닐로프,danilropeu
далматово,달마토보,dalmatobo
гурьевск,구리옙스크,guriyebseukeu
гуково,구코보,gukobo
гусиноозёрск,구시노오조르스크,gusinoojoreuseukeu
гусьхрустальный,구시흐루스탈니,gusiheuruseutalni
зимний дворец,겨울 궁전,gyeoul gungjeon
сургут,수르구트,sureuguteu
полярный,폴랴르니,polryareuni
прогресс,프로그레스,peurogeureseu
починок,포치노크,pocinokeu
пошехонье,포셰혼예,posyehonye
порхов,포르호프,poreuhopeu
почеп,포체프,pocepeu
правдинск,프라브딘스크,peurabeudinseukeu
демидов,데미도프,demidopeu
дедовск,데돕스크,dedobseukeu
десногорск,데스노고르스크,deseunogoreuseukeu
ростов,로스토프,roseutopeu
добрянка,도브랸카,dobeuryanka
долинск,돌린스크,dolrinseukeu
поронайск,포로나이스크,poronaiseukeu
дивногорск,디브노고르스크,dibeunogoreuseukeu
дзержинский,제르진스키,jereujinseuki
димитровград,디미트로브그라드,dimiteurobeugeuradeu
дно,드노,deuno
дмитровск,드미트롭스크,deumiteurobseukeu
домодедово,도모데도보,domodedobo
донской,돈스코이,donseukoi
дубна,두브나,dubeuna
третьяковская галерея,트레티야코프 미술관,teuretiyakopeu misulgwan
духовщина,두홉시나,duhobsina
дудинка,두딘카,dudinka
дятьково,댜티코보,dyatikobo
егорьевск,예고리옙스크,yegoriyebseukeu
ямал,야말반도,yamalbando
елизово,옐리조보,yelrijobo
ейск,예이스크,yeiseukeu
елабуга,옐라부가,yelrabuga
правда,프라우다,peurauda
азиатский максимум,시베리아 기단,siberia gidan
лаборатория касперского,카스퍼스키 랩,kaseupeoseuki raeb
прокопьевск,프로코피옙스크,peurokopiyebseukeu
енисейск,예니세이스크,yeniseiseukeu
пустошка,푸스토시카,puseutosika
бородинское сражение,보로디노 전투,borodino jeontu
железногорскилимский,젤레즈노고르스크일림스키,jelrejeunogoreuseukeuilrimseuki
ефремов,예프레모프,yepeuremopeu
пущино,푸시치노,pusicino
пушкино,푸시키노,pusikino
монерон,모네론섬,moneronseom
глонасс,글로나스,geulronaseu
приморское течение,연해주 한류,yeonhaeju hanryu
жиздра,지스드라,jiseudeura
жуков,주코프,jukopeu
жигулёвск,지굴룝스크,jigulryobseukeu
радужный,라두즈니,radujeuni
пыталово,피탈로보,pitalrobo
жуковка,주콥카,jukobka
райчихинск,라이치힌스크,raicihinseukeu
земля францаиосифа,제믈랴프란차이오시파 제도,jemeulryapeurancaiosipa jedo
заволжск,자볼시스크,jabolsiseukeu
жуковский,주콥스키,jukobseuki
шацк,샤츠크,syaceukeu
список городов россии,러시아의 도시 목록,reosiayi dosi mogrog
ак барс арена,아크 바르스 아레나,akeu bareuseu arena
заозёрск,자오조르스크,jaojoreuseukeu
заинск,자인스크,jainseukeu
закаменск,자카멘스크,jakamenseukeu
завитинск,자비틴스크,jabitinseukeu
викимапия,위키매피아,wikimaepia
серов,세로프,seropeu
совкомфлот,소보콤플로트,sobokompeulroteu
зарайск,자라이스크,jaraiseukeu
заречный,자레치니,jarecini
звенигово,즈베니고보,jeubenigobo
звенигород,즈베니고로드,jeubenigorodeu
керченский пролив,케르치 해협,kereuci haehyeob
миг,미그,migeu
вятское,뱌츠코예,byaceukoye
большой театр,볼쇼이 극장,bolsyoi geugjang
континентальная хоккейная лига,콘티넨탈 하키 리그,kontinental haki rigeu
росатом,로사톰,rosatom
чернышевское,체르니솁스코예,cereunisyebseukoye
зеленодольск,젤레노돌스크,jelrenodolseukeu
зея,제야,jeya
златоуст,즐라토우스트,jeulratouseuteu
северодвинск,세베로드빈스크,seberodeubinseukeu
злынка,즐린카,jeulrinka
зубцов,줍초프,jubcopeu
люберцы,류베르치,ryubereuci
знаменск,즈나멘스크,jeunamenseukeu
мосфильм,모스필름,moseupilreum
игарка,이가르카,igareuka
аркона,아르코나,areukona
академик ломоносов,아카데믹 로모노소프,akademig romonosopeu
змеиногорск,즈메이노고르스크,jeumeinogoreuseukeu
восточноевропейская равнина,동유럽 평원,dongyureob pyeongweon
ржев,르제프,reujepeu
мавзолей ленина,레닌 묘,renin myo
западносибирская равнина,서시베리아 평원,seosiberia pyeongweon
оймякон,오이먀콘,oimyakon
арктический совет,북극 이사회,buggeug isahoe
ангара,안가라,angara
балтийский завод,발트 조선소,balteu joseonso
иркутский государственный университет,국립 이르쿠츠크 대학교,gugrib ireukuceukeu daehaggyo
карелия,카렐리야,karelriya
северная земля,세베르나야제믈랴 제도,sebereunayajemeulrya jedo
инта,인타,inta
диксон,딕손,digson
москвич,모스크비치,moseukeubici
исилькуль,이실쿨,isilkul
истра,이스트라,iseuteura
