lech wałęsa,레흐 바웬사,reheu bawensa
hanna suchocka,한나 수호츠카,hanna suhoceuka
małgorzata kożuchowska,마우고자타 코주호프스카,maugojata kojuhopeuseuka
lukas podolski,루카스 포돌스키,rukaseu podolseuki
arkadiusz milik,아르카디우시 밀리크,areukadiusi milrikeu
bezprym,베스프림,beseupeurim
edward strasburger,에두아르트 슈트라스부르거,eduareuteu syuteuraseubureugeo
marcel reichranicki,마르셀 라이히라니츠키,mareusel raihiraniceuki
halina mlynkova,할리나 믈린코바,halrina meulrinkoba
tomasz wałdoch,토마시 바우도흐,tomasi baudoheu
karol radek,카를 라데크,kareul radekeu
igo sym,이고 심,igo sim
benoît mandelbrot,브누아 망델브로,beunua mangdelbeuro
menachem begin,메나헴 베긴,menahem begin
bronisław komorowski,브로니스와프 코모로프스키,beuroniseuwapeu komoropeuseuki
ewa gawryluk,에바 가브릴루크,eba gabeurilrukeu
john tavares,존 타바레스,jon tabareseu
andrzej szarmach,안제이 샤르마흐,anjei syareumaheu
krystian zimerman,크리스티안 지메르만,keuriseutian jimereuman
adam nawałka,아담 나바우카,adam nabauka
stanisław ryłko,스타니스와프 리우코,seutaniseuwapeu riuko
tadeusz kutrzeba,타데우시 쿠트셰바,tadeusi kuteusyeba
jakub świerczok,야쿠프 시비에르초크,yakupeu sibiereucokeu
rob van dam,랍 밴 댐,rab baen daem
bolesław prus,볼레스와프 프루스,bolreseuwapeu peuruseu
jakub błaszczykowski,야쿠프 브와슈치코프스키,yakupeu beuwasyucikopeuseuki
roman polański,로만 폴란스키,roman polranseuki
adrian mierzejewski,아드리안 미에르제예프스키,adeurian miereujeyepeuseuki
jerzy skolimowski,예지 스콜리모프스키,yeji seukolrimopeuseuki
robert lewandowski,로베르트 레반도프스키,robereuteu rebandopeuseuki
irena sendlerowa,이레나 센들러,irena sendeulreo
adam zagajewski,아담 자가예프스키,adam jagayepeuseuki
maciej szczęsny,마치에이 슈쳉스니,maciei syucengseuni
magdalena boczarska,마그달레나 보차르스카,mageudalrena bocareuseuka
adam skrodzki,아담 스크로츠키,adam seukeuroceuki
samuel eilenberg,사무엘 에일렌베르크,samuel eilrenbereukeu
anna polony,안나 폴로니,anna polroni
adam pilch,아담 필흐,adam pilheu
władysław sikorski,브와디스와프 시코르스키,beuwadiseuwapeu sikoreuseuki
georges charpak,조르주 샤르파크,joreuju syareupakeu
łukasz piszczek,우카시 피슈체크,ukasi pisyucekeu
krzysztof penderecki,크시슈토프 펜데레츠키,keusisyutopeu pendereceuki
adam przeworski,아담 쉐보르스키,adam sweboreuseuki
witold lutosławski,비톨트 루토스와프스키,bitolteu rutoseuwapeuseuki
daniel libeskind,대니얼 리버스킨드,daenieol ribeoseukindeu
sebastian boenisch,제바스티안 뵈니슈,jebaseutian boenisyu
władysław szpilman,브와디스와프 슈필만,beuwadiseuwapeu syupilman
leonid hurwicz,레오니트 후르비치,reoniteu hureubici
bronisław geremek,브로니스와프 게레메크,beuroniseuwapeu geremekeu
krzysztof kowalewski,크시슈토프 코발레프스키,keusisyutopeu kobalrepeuseuki
emmanuel olisadebe,이매뉴얼 올리사데베,imaenyueol olrisadebe
jadwiga jankowskacieślak,야드비가 얀코프스카치에실라크,yadeubiga yankopeuseukaciesilrakeu
jerzy spławaneyman,예지 네이만,yeji neiman
romain gary,로맹 가리,romaeng gari
zygmunt bauman,지그문트 바우만,jigeumunteu bauman
rafał wolski,라파우 볼스키,rapau bolseuki
janusz palikot,야누시 팔리코트,yanusi palrikoteu
robert kubica,로버트 쿠비카,robeoteu kubika
marcin gortat,마르친 고르타트,mareucin goreutateu
bartosz kurek,바르토시 쿠레크,bareutosi kurekeu
mariusz jop,마리우시 요프,mariusi yopeu
paweł nastula,파베우 나스툴라,pabeu naseutulra
dominika ostałowska,도미니카 오스타워프스카,dominika oseutaweopeuseuka
jan szczepański,얀 슈체판스키,yan syucepanseuki
marian rejewski,마리안 레예프스키,marian reyepeuseuki
andrzej lepper,안제이 레페르,anjei repereu
marek saganowski,마레크 사가노프스키,marekeu saganopeuseuki
janusz gortat,야누시 고르타트,yanusi goreutateu
edward ochab,에드바르트 오하프,edeubareuteu ohapeu
rafał olbiński,라팔 올빈스키,rapal olbinseuki
dawid kubacki,다비트 쿠바츠키,dabiteu kubaceuki
stefan wyszyński,스테판 비신스키,seutepan bisinseuki
władysław anders,브와디스와프 안데르스,beuwadiseuwapeu andereuseu
zbigniew herbert,즈비그니에프 헤르베르트,jeubigeuniepeu hereubereuteu
małgorzata foremniak,마우고자타 포렘니아크,maugojata poremniakeu
éric srecki,에리크 스레키,erikeu seureki
kazimierz kuratowski,카지미에시 쿠라토프스키,kajimiesi kuratopeuseuki
siemomysł,시에모미수,siemomisu
dmitrij chromin,드미트리 흐로민,deumiteuri heuromin
władysław bortkiewicz,라디슬라우스 보르트키에비치,radiseulrauseu boreuteukiebici
józef glemp,유제프 글렘프,yujepeu geulrempeu
janusz kamiński,야누시 카민스키,yanusi kaminseuki
halina czernystefańska,할리나 체르니스테판스카,halrina cereuniseutepanseuka
wojciech łobodziński,보이치에흐 워보진스키,boicieheu weobojinseuki
katarzyna zielińska,카타지나 지엘린스카,katajina jielrinseuka
dawid tomaszewski,다비트 토마셰프스키,dabiteu tomasyepeuseuki
jan lisiecki,얀 리시에츠키,yan risieceuki
mateusz kusznierewicz,마테우시 쿠슈니에레비치,mateusi kusyunierebici
marek grechuta,마레크 그레후타,marekeu geurehuta
aleksander tansman,알렉산데르 탄스만,alregsandereu tanseuman
teodor leszetycki,테오도르 레셰티츠키,teodoreu resyeticeuki
grzegorz schetyna,그제고시 스헤티나,geujegosi seuhetina
bolesław piasecki,볼레스와프 피아세츠키,bolreseuwapeu piaseceuki
zbigniew,즈비그니에프,jeubigeuniepeu
zbigniew cybulski,즈비그니에프 치불스키,jeubigeuniepeu cibulseuki
adrian zieliński,아드리안 지엘린스키,adeurian jielrinseuki
artur rodziński,아르투르 로진스키,areutureu rojinseuki
zbigniew preisner,즈비그니에프 프레이스네르,jeubigeuniepeu peureiseunereu
michał chałbiński,미하우 차우빈스키,mihau caubinseuki
dariusz wolski,다리우시 볼스키,dariusi bolseuki
paweł słowiński,폴 슬로윈스키,pol seulrowinseuki
zbigniew zapasiewicz,즈비그니에프 자파시에비치,jeubigeuniepeu japasiebici
grzegorz braun,그제고시 브라운,geujegosi beuraun
zdzisław beksiński,즈지스와프 벡신스키,jeujiseuwapeu begsinseuki
robert acquafresca,로베르트 아콰프레스카,robereuteu akwapeureseuka
janusz kusociński,야누시 쿠소친스키,yanusi kusocinseuki
stanisława walasiewicz,스타니스와바 발라시에비치,seutaniseuwaba balrasiebici
robert biedroń,로베르트 비에드론,robereuteu biedeuron
michał heller,미하우 헬레르,mihau helrereu
robert zajonc,로버트 자욘스,robeoteu jayonseu
mieczysław horszowski,미에치슬라프 호르초프스키,mieciseulrapeu horeucopeuseuki
józef grudzień,유제프 그루지엔,yujepeu geurujien
paweł golański,파베우 골란스키,pabeu golranseuki
joe pavelski,조 파벨스키,jo pabelseuki
bartosz piasecki,바르토시 피아세츠키,bareutosi piaseceuki
alain finkielkraut,알랭 핑켈크로트,alraeng pingkelkeuroteu
boris sawinkow,보리스 사빈코프,boriseu sabinkopeu
ernest wilimowski,에른스트 빌리모프스키,ereunseuteu bilrimopeuseuki
stanisław przybyszewski,스타니스와프 프시비셰프스키,seutaniseuwapeu peusibisyepeuseuki
marcin żewłakow,마르친 제브와코프,mareucin jebeuwakopeu
kazimierz lipień,카지미에시 리피엔,kajimiesi ripien
piotr anderszewski,피오트르 안데르셰프스키,pioteureu andereusyepeuseuki
timothée kolodziejczak,티모테 콜로지에이차크,timote kolrojieicakeu
piotr żyła,피오트르 지와,pioteureu jiwa
agata buzek,아가타 부제크,agata bujekeu
jerzy klempel,예지 클렘펠,yeji keulrempel
paweł wszołek,파베우 프쇼웨크,pabeu peusyowekeu
radosław majewski,라도스와프 마예프스키,radoseuwapeu mayepeuseuki
marcin lewandowski,마르친 레반도프스키,mareucin rebandopeuseuki
marek kuchciński,마레크 쿠흐친스키,marekeu kuheucinseuki
krzysztof warzycha,크시슈토프 바지하,keusisyutopeu bajiha
ryszard bolesławski,리처드 볼레스라브스키,riceodeu bolreseurabeuseuki
agnieszka grochowska,아그니에슈카 그로호프스카,ageuniesyuka geurohopeuseuka
nâzım hikmet,나짐 히크메트,najim hikeumeteu
wojciech szczęsny,보이치에흐 슈쳉스니,boicieheu syucengseuni
harald konopka,하랄트 코노프카,haralteu konopeuka
piotr adamczyk,피오트르 아담치크,pioteureu adamcikeu
léon glovacki,레옹 글로바츠키,reong geulrobaceuki
grzegorz krychowiak,그제고시 크리호비아크,geujegosi keurihobiakeu
łeonid krawczuk,레오니드 크라우추크,reonideu keuraucukeu
ignacy jan paderewski,이그나치 얀 파데레프스키,igeunaci yan paderepeuseuki
wacław niżyński,바츨라프 니진스키,baceulrapeu nijinseuki
jerzy dudek,예지 두데크,yeji dudekeu
sławomir peszko,스와보미르 페슈코,seuwabomireu pesyuko
piotr świerczewski,피오트르 시비에르체프스키,pioteureu sibiereucepeuseuki
jerzy brzęczek,예지 브젱체크,yeji beujengcekeu
grzegorz dolniak,그제고시 돌니아크,geujegosi dolniakeu
mark grudzielanek,마크 그루질라넥,makeu geurujilraneg
oscar lewicki,오스카르 레비츠키,oseukareu rebiceuki
natasza urbańska,나타샤 우르반스카,natasya ureubanseuka
tomasz frankowski,토마시 프란코프스키,tomasi peurankopeuseuki
doda,도다,doda
tomasz zahorski,토마시 자호르스키,tomasi jahoreuseuki
violetta villas,비올레타 빌라스,biolreta bilraseu
artur boruc,아르투르 보루츠,areutureu boruceu
jacek zieliński,야체크 지엘린스키,yacekeu jielrinseuki
kazimierz paździor,카지미에시 파지지오르,kajimiesi pajijioreu
kayah,카야,kaya
krystian długopolski,크리스티안 두고폴스키,keuriseutian dugopolseuki
henryk sucharski,헨리크 수하르스키,henrikeu suhareuseuki
alfred tarski,알프레트 타르스키,alpeureteu tareuseuki
agnieszka radwańska,아그니에슈카 라드반스카,ageuniesyuka radeubanseuka
waldemar baszanowski,발데마르 바샤노프스키,baldemareu basyanopeuseuki
grzegorz napieralski,그제고시 나피에랄스키,geujegosi napieralseuki
kazimierz fajans,카지미에시 파얀스,kajimiesi payanseu
szymon ziółkowski,시몬 지우코프스키,simon jiukopeuseuki
tomasz jodłowiec,토마시 요드워비에츠,tomasi yodeuweobieceu
moriz rosenthal,모리츠 로젠탈,moriceu rojental
ryszard kapuściński,리샤르트 카푸시친스키,risyareuteu kapusicinseuki
maria kaczyńska,마리아 카친스카,maria kacinseuka
felix nussbaum,펠릭스 누스바움,pelrigseu nuseubaum
michał kalecki,미하우 칼레츠키,mihau kalreceuki
florian znaniecki,플로리안 즈나니에츠키,peulrorian jeunanieceuki
paweł pawlikowski,파베우 파블리코프스키,pabeu pabeulrikopeuseuki
carl yastrzemski,칼 야스트렘스키,kal yaseuteuremseuki
irena szewińska,이레나 셰빈스카,irena syebinseuka
pola negri,폴라 네그리,polra negeuri
izabella scorupco,이자벨라 스코룹코,ijabelra seukorubko
piotr małachowski,피오트르 마와호프스키,pioteureu mawahopeuseuki
andrzej panufnik,안제이 파누프니크,anjei panupeunikeu
błażej augustyn,브와제이 아우구스틴,beuwajei auguseutin
robert siatka,로베르 시아카,robereu siaka
jarosław gowin,야로스와프 고빈,yaroseuwapeu gobin
hugo steinhaus,후고 스테인하우스,hugo seuteinhauseu
artur sobiech,아르투르 소비에흐,areutureu sobieheu
ewa wiśniewska,에바 비시니에프스카,eba bisiniepeuseuka
karolina wydra,카롤리나 비드라,karolrina bideura
józef rotblat,조지프 로트블랫,jojipeu roteubeulraes
anna jagodzińska,안나 야고진스카,anna yagojinseuka
władysław odonic,브와디스와프 오도니츠,beuwadiseuwapeu odoniceu
jan kasprowicz,얀 카스프로비치,yan kaseupeurobici
stanisław skrowaczewski,스타니스와프 스크로바체프스키,seutaniseuwapeu seukeurobacepeuseuki
szymon kołecki,시몬 코웨츠키,simon koweceuki
agnieszka holland,아그니에슈카 홀란트,ageuniesyuka holranteu
grażyna bacewicz,그라지나 바체비치,geurajina bacebici
tara lipinski,타라 리핀스키,tara ripinseuki
anna jagiellonka,안나 야기엘론카,anna yagielronka
katarzyna figura,카타지나 피구라,katajina pigura
martha stewart,마사 스튜어트,masa seutyueoteu
justyna kowalczyk,유스티나 코발치크,yuseutina kobalcikeu
basia,바시아,basia
kinga preis,킨가 프레이스,kinga peureiseu
radosław zawrotniak,라도스와프 자브로트니아크,radoseuwapeu jabeuroteuniakeu
robert więckiewicz,로베르트 비에츠키에비치,robereuteu bieceukiebici
mariusz stępiński,마리우시 스텡핀스키,mariusi seutengpinseuki
anja rubik,아냐 루비크,anya rubikeu
edyta górniak,에디타 구르니아크,edita gureuniakeu
kamila skolimowska,카밀라 스콜리모프스카,kamilra seukolrimopeuseuka
bronisława niżyńska,브로니스와바 니진스카,beuroniseuwaba nijinseuka
włodzimierz zawadzki,브워지미에시 자바츠키,beuweojimiesi jabaceuki
krzysztof kolberger,크시슈토프 콜베르게르,keusisyutopeu kolbereugereu
magdalena tul,마그달레나 툴,mageudalrena tul
marie rambert,마리 램버트,mari raembeoteu
halina konopacka,할리나 코노파츠카,halrina konopaceuka
daria werbowy,다리아 워보위,daria weobowi
ida haendel,이다 헨델,ida hendel
stefan liv,스테판 리브,seutepan ribeu
stanisław mazur,스타니스와프 마주르,seutaniseuwapeu majureu
simon zimny,시몽 짐니,simong jimni
sylwester bednarek,실베스테르 베드나레크,silbeseutereu bedeunarekeu
euzebiusz smolarek,에우제비우시 스몰라레크,eujebiusi seumolrarekeu
juliusz słowacki,율리우시 스워바츠키,yulriusi seuweobaceuki
józef szmidt,유제프 슈미트,yujepeu syumiteu
richard pipes,리처드 파이프스,riceodeu paipeuseu
rafał blechacz,라파우 블레하치,rapau beulrehaci
karolina gruszka,카롤리나 그루슈카,karolrina geurusyuka
zygmunt berling,지그문트 베를링,jigeumunteu bereulring
zygmunt malanowicz,지그문트 말라노비치,jigeumunteu malranobici
maja ostaszewska,마야 오스타셰프스카,maya oseutasyepeuseuka
ewelina lisowska,에벨리나 리소프스카,ebelrina risopeuseuka
stefan mazurkiewicz,스테판 마주르키에비치,seutepan majureukiebici
franciszek dąbrowski,프란치셰크 동브로프스키,peurancisyekeu dongbeuropeuseuki
magdalena piekarska,마그달레나 피에카르스카,mageudalrena piekareuseuka
bronisław huberman,브로니스와프 후베르만,beuroniseuwapeu hubereuman
władysław komar,브와디스와프 코마르,beuwadiseuwapeu komareu
danuta szaflarska,다누타 샤플라르스카,danuta syapeulrareuseuka
ludwika paleta,루드비카 팔레타,rudeubika palreta
franciszek pieczka,프란치셰크 피에치카,peurancisyekeu piecika
ewa kopacz,에바 코파치,eba kopaci
jadwiga barańska,야드비가 바란스카,yadeubiga baranseuka
oskar lange,오스카르 랑게,oseukareu rangge
anna przybylska,안나 프시빌스카,anna peusibilseuka
czesław kiszczak,체스와프 키슈차크,ceseuwapeu kisyucakeu
thiago cionek,치아구 시오네크,ciagu sionekeu
jacek krzynówek,야체크 크지누베크,yacekeu keujinubekeu
olga tokarczuk,올가 토카르추크,olga tokareucukeu
lucyna winnicka,루치나 빈니츠카,rucina binniceuka
piotr wyszomirski,피오트르 비쇼미르스키,pioteureu bisyomireuseuki
natalia kukulska,나탈리아 쿠쿨스카,natalria kukulseuka
arkadiusz skrzypaszek,아르카디우시 스크시파셰크,areukadiusi seukeusipasyekeu
sylwia bogacka,실비아 보가차,silbia bogaca
mateusz klich,마테우시 클리흐,mateusi keulriheu
natalia partyka,나탈리아 파르티카,natalria pareutika
ludovic obraniak,루도비크 오브라니아크,rudobikeu obeuraniakeu
chaïm perelman,카임 페렐만,kaim perelman
józef maria bocheński,유제프 마리아 보헨스키,yujepeu maria bohenseuki
paweł abbott,파웰 아봇,pawel abos
maciej ustynowicz,마치에이 우스티노비치,maciei useutinobici
monika soćko,모니카 소치코,monika sociko
leon niemczyk,레온 니엠치크,reon niemcikeu
stefan rowecki,스테판 로베츠키,seutepan robeceuki
jakub wawrzyniak,야쿠프 바브지니아크,yakupeu babeujiniakeu
joanna pacuła,요안나 파추와,yoanna pacuwa
liliana komorowska,릴리아나 코모로프스카,rilriana komoropeuseuka
awraham stern,아브라함 슈테른,abeuraham syutereun
august emil fieldorf,아우구스트 에밀 피엘도르프,auguseuteu emil pieldoreupeu
izabella miko,이자벨라 미코,ijabelra miko
joanna krupa,조애나 크루파,joaena keurupa
leopold infeld,레오폴트 인펠트,reopolteu inpelteu
bartosz bereszyński,바르토시 베레신스키,bareutosi beresinseuki
henryk zygalski,헨리크 지갈스키,henrikeu jigalseuki
janusz korwinmikke,야누시 코르빈미케,yanusi koreubinmike
ewa kłobukowska,에바 크워부코프스카,eba keuweobukopeuseuka
kasia smutniak,카시아 스무트니아크,kasia seumuteuniakeu
kamil stoch,카밀 스토흐,kamil seutoheu
martin max,마르틴 막스,mareutin magseu
daniel olbrychski,다니엘 올브리흐스키,daniel olbeuriheuseuki
wojciech kowalewski,보이치에흐 코발레프스키,boicieheu kobalrepeuseuki
bella darvi,벨라 다르비,belra dareubi
grzegorz lato,그제고시 라토,geujegosi rato
wanda panfilgonzález,반다 판필,banda panpil
krystyna janda,크리스티나 얀다,keuriseutina yanda
karol borsuk,카롤 보르수크,karol boreusukeu
heinrich kwiatkowski,하인츠 크비아트코프스키,hainceu keubiateukopeuseuki
grzegorz filipowski,그제고시 필리포프스키,geujegosi pilripopeuseuki
mariusz czerkawski,마리우시 체르카프스키,mariusi cereukapeuseuki
jean templin,장 탕플랭,jang tangpeulraeng
ryszard wolny,리샤르트 볼니,risyareuteu bolni
małgorzata szumowska,마우고자타 슈모프스카,maugojata syumopeuseuka
kalina jędrusik,칼리나 옝드루시크,kalrina yengdeurusikeu
leon sternbach,레오 스턴바크,reo seuteonbakeu
ireneusz paliński,이레네우시 팔린스키,ireneusi palrinseuki
tomasz kuszczak,토마시 쿠슈차크,tomasi kusyucakeu
jurek dybał,유렉 뒤발,yureg dwibal
stanisława celińska,스타니스와바 첼린스카,seutaniseuwaba celrinseuka
andrzej bartkowiak,안제이 바르트코비아크,anjei bareuteukobiakeu
tadeusz kotarbiński,타데우시 코타르빈스키,tadeusi kotareubinseuki
ignacy friedman,이그나츠 프리드만,igeunaceu peurideuman
dagmara wozniak,다그마라 워즈니악,dageumara weojeuniag
aleksandra shelton,알렉산드라 셸턴,alregsandeura syelteon
witold woyda,비톨트 보이다,bitolteu boida
martyna synoradzka,마르티나 시노라츠카,mareutina sinoraceuka
leszek blanik,레셰크 블라니크,resyekeu beulranikeu
witold gombrowicz,비톨트 곰브로비치,bitolteu gombeurobici
jan mycielski,얀 미치엘스키,yan micielseuki
emanuel ax,엠마누엘 엑스,emmanuel egseu
rafał lemkin,라파엘 렘킨,rapael remkin
michał pazdan,미하우 파즈단,mihau pajeudan
ryszard ronczewski,리샤르트 론체프스키,risyareuteu roncepeuseuki
moïse kisling,모이즈 키슬링,moijeu kiseulring
józef hofmann,요제프 호프만,yojepeu hopeuman
krzysztof wielicki,크시슈토프 비엘리츠키,keusisyutopeu bielriceuki
jacek koman,야첵 코먼,yaceg komeon
karolina chlewińska,카롤리나 흘레빈스카,karolrina heulrebinseuka
sylwia grzeszczak,실비아 그제슈차크,silbia geujesyucakeu
justyna steczkowska,유스티나 스테치코프스카,yuseutina seutecikopeuseuka
danuta stenka,다누타 스텐카,danuta seutenka
sylwia gruchała,실비아 그루하와,silbia geuruhawa
grażyna szapołowska,그라지나 샤포워프스카,geurajina syapoweopeuseuka
peter geach,피터 기치,piteo gici
sławomir szmal,스와보미르 슈말,seuwabomireu syumal
emilia plater,에밀리아 플라테르,emilria peulratereu
kasia kowalska,카시아 코발스카,kasia kobalseuka
stanisław maczek,스타니스와프 마체크,seutaniseuwapeu macekeu
julia marcell,줄리아 마셀,julria masel
ryszard siwiec,리샤르트 시비예츠,risyareuteu sibiyeceu
ladislao kubala,쿠벌러 라슬로,kubeolreo raseulro
edward śmigłyrydz,에드바르트 리츠시미그위,edeubareuteu riceusimigeuwi
egon petri,에곤 페트리,egon peteuri
zbigniew bródka,즈비그니에프 브루트카,jeubigeuniepeu beuruteuka
layvin kurzawa,레뱅 퀴르자와,rebaeng kwireujawa
wacław sierpiński,바츠와프 시에르핀스키,baceuwapeu siereupinseuki
przemysław tytoń,프셰미스와프 티톤,peusyemiseuwapeu titon
roger guerreiro,호제르 게헤이루,hojereu geheiru
andrzej chyra,안제이 히라,anjei hira
andrzej grabowski,안제이 그라보프스키,anjei geurabopeuseuki
janusz pyciakpeciak,야누시 피치아크페치아크,yanusi piciakeupeciakeu
stanisław wyspiański,스타니스와프 비스피안스키,seutaniseuwapeu biseupianseuki
paweł brożek,파베우 브로제크,pabeu beurojekeu
andrzej wroński,안제이 브론스키,anjei beuronseuki
henryk szeryng,헨릭 셰링,henrig syering
andrzej seweryn,안제이 세베린,anjei seberin
robert korzeniowski,로베르트 코제니오프스키,robereuteu kojeniopeuseuki
maciej żurawski,마치에이 주라프스키,maciei jurapeuseuki
kazimierz nowak,카지미에시 노바크,kajimiesi nobakeu
ignacy mościcki,이그나치 모시치츠키,igeunaci mosiciceuki
wojciech pawłowski,보이치에흐 파브워프스키,boicieheu pabeuweopeuseuki
andrzej mostowski,안제이 모스토프스키,anjei moseutopeuseuki
marcin wasilewski,마르친 바실레프스키,mareucin basilrepeuseuki
mariusz lewandowski,마리우시 레반도프스키,mariusi rebandopeuseuki
aleksander wolszczan,알렉산데르 볼시찬,alregsandereu bolsican
andrzej sapkowski,안제이 삽코프스키,anjei sabkopeuseuki
jerzy kukuczka,예지 쿠쿠츠카,yeji kukuceuka
edward gierek,에드바르트 기에레크,edeubareuteu gierekeu
andrzej sekuła,안제이 세쿠와,anjei sekuwa
witold małcużyński,비톨트 마우추진스키,bitolteu maucujinseuki
dariusz dudka,다리우시 두트카,dariusi duteuka
michał żewłakow,미하우 제브와코프,mihau jebeuwakopeu
włodzimierz lubański,브워지미에시 루반스키,beuweojimiesi rubanseuki
bartosz bosacki,바르토시 보사츠키,bareutosi bosaceuki
andrzej żuławski,안제이 주와프스키,anjei juwapeuseuki
mariusz jurkiewicz,마리우시 유르키에비치,mariusi yureukiebici
witold pilecki,비톨트 필레츠키,bitolteu pilreceuki
adam matuszczyk,아담 마투슈치크,adam matusyucikeu
rafał murawski,라파우 무라프스키,rapau murapeuseuki
jacek bąk,야체크 봉크,yacekeu bongkeu
solomon asch,솔로몬 애쉬,solromon aeswi
stanisław kania,스타니스와프 카니아,seutaniseuwapeu kania
abel korzeniowski,아벨 코제니오프스키,abel kojeniopeuseuki
kasia struss,카시아 스트러스,kasia seuteureoseu
michał żebrowski,미하우 제브로프스키,mihau jebeuropeuseuki
witold hurewicz,비톨트 후레비치,bitolteu hurebici
joanna kulig,요안나 쿨리크,yoanna kulrikeu
marcin kamiński,마르친 카민스키,mareucin kaminseuki
kamil grosicki,카밀 그로시츠키,kamil geurosiceuki
barbara grabowska,바르바라 그라보프스카,bareubara geurabopeuseuka
stanisław mikołajczyk,스타니스와프 미코와이치크,seutaniseuwapeu mikowaicikeu
grzegorz sandomierski,그제고시 산도미에르스키,geujegosi sandomiereuseuki
olaf lubaszenko,올라프 루바젠코,olrapeu rubajenko
kristof konrad,크리스토프 콘래드,keuriseutopeu konraedeu
maurycy moszkowski,모리츠 모슈코프스키,moriceu mosyukopeuseuki
berenika tomsia,베레니카 톰시아,berenika tomsia
małgorzata dydek,마우고자타 디데크,maugojata didekeu
władysław ślebodziński,브와디스와프 실레보진스키,beuwadiseuwapeu silrebojinseuki
krzysztof mączyński,크시슈토프 몽친스키,keusisyutopeu mongcinseuki
leszek iwanicki,레셰크 이바니츠키,resyekeu ibaniceuki
przemysław gintrowski,프리제미스와프 긴트로스키,peurijemiseuwapeu ginteuroseuki
tadeusz różewicz,타데우시 루제비치,tadeusi rujebici
artur jędrzejczyk,아르투르 옝제이치크,areutureu yengjeicikeu
paweł kryszałowicz,파베우 크리샤워비치,pabeu keurisyaweobici
marta żmuda trzebiatowska,마르타 주무다 트셰비아토프스카,mareuta jumuda teusyebiatopeuseuka
rita karin,리타 카린,rita karin
waldemar legień,발데마르 레기엔,baldemareu regien
