douglas adams,ダグラス・アダムズ,dagurasu・adamuzu
george bernard shaw,ジョージ・バーナード・ショー,jōji・bānādo・shō
victoria beckham,ヴィクトリア・ベッカム,vikutoria・bekkamu
james key,ジェームス・キー,jēmusu・kī
h g wells,ハーバート・ジョージ・ウェルズ,hābāto・jōji・weruzu
george mikes,ジョージ・ミケシュ,jōji・mikeshu
karl henry,カール・ヘンリー,kāru・henrī
michael carrick,マイケル・キャリック,maikeru・kyarikku
martyn lloydjones,マーティン・ロイドジョンズ,mātin・roidojonzu
roshan seth,ロシャン・セス,roshan・sesu
keira knightley,キーラ・ナイトレイ,kīra・naitorei
kenny miller,ケニー・ミラー,kenī・mirā
hugo weaving,ヒューゴ・ウィーヴィング,hyūgo・wīvingu
richard dawkins,リチャード・ドーキンス,richādo・dōkinsu
kim wilde,キム・ワイルド,kimu・wairudo
mike hawthorn,マイク・ホーソーン,maiku・hōsōn
scott loach,スコット・ローチ,sukotto・rōchi
fitz hall,フィッツ・ホール,fittsu・hōru
nathaniel chalobah,ナサニエル・チャロバー,nasanieru・charobā
lee hodson,リー・ホドソン,rī・hodoson
troy deeney,トロイ・ディーニー,toroi・dīnī
jonathan hogg,ジョナサン・ホッグ,jonasan・hoggu
mo farah,モハメド・ファラー,mohamedo・farā
stanley kubrick,スタンリー・キューブリック,sutanrī・kyūburikku
adele,アデル,aderu
angus young,アンガス・ヤング,angasu・yangu
john pritchard,ジョン・プリッチャード,jon・puritchādo
james hilton,ジェームズ・ヒルトン,jēmuzu・hiruton
audrey hepburn,オードリー・ヘプバーン,ōdorī・hepubān
chris patten,クリストファー・パッテン,kurisutofā・patten
ricky gervais,リッキー・ジャーヴェイス,rikkī・jāvuェisu
mark millar,マーク・ミラー,māku・mirā
matthew vaughn,マシュー・ヴォーン,mashū・vuォーn
paul mccartney,ポール・マッカートニー,pōru・makkātonī
mark rocco,マーク・ロコ,māku・roko
kylie minogue,カイリー・ミノーグ,kairī・minōgu
rowan atkinson,ローワン・アトキンソン,rōwan・atokinson
rudyard kipling,ラドヤード・キップリング,radoyādo・kippuringu
slash,スラッシュ,surasshu
gabrielle aplin,ガブリエル・アプリン,gaburieru・apurin
luigi cherubini,ルイジ・ケルビーニ,ruiji・kerubīni
jane goldman,ジェーン・ゴールドマン,jēn・gōrudoman
bertrand russell,バートランド・ラッセル,bātorando・rasseru
laura bassett,ラウーラ・バセット,raūra・basetto
john farnham,ジョン・ファーナム,jon・fānamu
geri halliwell,ジェリ・ハリウェル,jeri・hariweru
peter lilley,ピーター・リリー,pītā・rirī
william golding,ウィリアム・ゴールディング,wiriamu・gōrudingu
ringo starr,リンゴ・スター,ringo・sutā
george harrison,ジョージ・ハリスン,jōji・harisun
jackie stewart,ジャッキー・スチュワート,jakkī・suchuwāto
lance tingay,ランス・ティンゲイ,ransu・tingei
brian may,ブライアン・メイ,buraian・mei
arthur conan doyle,アーサー・コナン・ドイル,āsā・konan・doiru
elizabeth taylor,エリザベス・テイラー,erizabesu・teirā
elton john,エルトン・ジョン,eruton・jon
amy johnson,エミー・ジョンソン,emī・jonson
mike oldfield,マイク・オールドフィールド,maiku・ōrudofīrudo
eric hobsbawm,エリック・ホブズボーム,erikku・hobuzubōmu
salman rushdie,サルマン・ラシュディ,saruman・rashudi
fit finlay,デイブ・フィンレー,deibu・finrē
keith campbell,キース・キャンベル,kīsu・kyanberu
alex ferguson,アレックス・ファーガソン,arekkusu・fāgason
william auld,ウィリアム・オールド,wiriamu・ōrudo
daniel tammet,ダニエル・タメット,danieru・tametto
ebenezer howard,エベネザー・ハワード,ebenezā・hawādo
clive sinclair,クライブ・シンクレア,kuraibu・shinkurea
john cleese,ジョン・クリーズ,jon・kurīzu
roger taylor,ロジャー・テイラー,rojā・teirā
andrew garfield,アンドリュー・ガーフィールド,andoryū・gāfīrudo
terry gilliam,テリー・ギリアム,terī・giriamu
d h lawrence,デーヴィッド・ハーバート・ローレンス,dēviddo・hābāto・rōrensu
orlando bloom,オーランド・ブルーム,ōrando・burūmu
jim clark,ジム・クラーク,jimu・kurāku
john surtees,ジョン・サーティース,jon・sātīsu
gordon ramsay,ゴードン・ラムゼイ,gōdon・ramuzei
w d hamilton,ウィリアム・ドナルド・ハミルトン,wiriamu・donarudo・hamiruton
john barrowman,ジョン・バロウマン,jon・barouman
freddie mercury,フレディ・マーキュリー,furedi・mākyurī
agatha christie,アガサ・クリスティ,agasa・kurisuti
uri geller,ユリ・ゲラー,yuri・gerā
graham hill,グラハム・ヒル,gurahamu・hiru
cozy powell,コージー・パウエル,kōjī・paueru
paul gascoigne,ポール・ガスコイン,pōru・gasukoin
jack wilshere,ジャック・ウィルシャー,jakku・wirushā
graham chapman,グレアム・チャップマン,gureamu・chappuman
brian cox,ブライアン・コックス,buraian・kokkusu
frances fisher,フランシス・フィッシャー,furanshisu・fisshā
ryan fraser,ライアン・フレイザー,raian・fureizā
eric burdon,エリック・バードン,erikku・bādon
amy winehouse,エイミー・ワインハウス,eimī・wainhausu
roald dahl,ロアルド・ダール,roarudo・dāru
george orwell,ジョージ・オーウェル,jōji・ōweru
amy macdonald,エイミー・マクドナルド,eimī・makudonarudo
christopher nolan,クリストファー・ノーラン,kurisutofā・nōran
jocky wilson,ジョッキー・ウィルソン,jokkī・wiruson
robert pattinson,ロバート・パティンソン,robāto・patinson
acker bilk,アッカー・ビルク,akkā・biruku
colin crouch,コリン・クラウチ,korin・kurauchi
dave taylor,デビッド・テイラー,debiddo・teirā
paul scholes,ポール・スコールズ,pōru・sukōruzu
daniel craig,ダニエル・クレイグ,danieru・kureigu
justin chadwick,ジャスティン・チャドウィック,jasutin・chadowikku
bernard katz,ベルンハルト・カッツ,berunharuto・kattsu
richard barbieri,リチャード・バルビエリ,richādo・barubieri
steven caulker,スティーヴン・コーカー,sutīvun・kōkā
shaun maloney,ショーン・マロニー,shōn・maronī
alexander fleming,アレクサンダー・フレミング,arekusandā・furemingu
david bowie,デヴィッド・ボウイ,deviddo・boui
robert bolt,ロバート・ボルト,robāto・boruto
jack hawkins,ジャック・ホーキンス,jakku・hōkinsu
chris wood,クリス・ウッド,kurisu・uddo
daniel radcliffe,ダニエル・ラドクリフ,danieru・radokurifu
roy budd,ロイ・バッド,roi・baddo
margaret wycherly,マーガレット・ワイチャーリイ,māgaretto・waichārii
calum chambers,カラム・チェンバース,karamu・chenbāsu
tinie tempah,タイニー・テンパー,tainī・tenpā
sean connery,ショーン・コネリー,shōn・konerī
mervyn peake,マーヴィン・ピーク,māvin・pīku
alan turing,アラン・チューリング,aran・chūringu
eddie marsan,エディ・マーサン,edi・māsan
christian bale,クリスチャン・ベール,kurisuchan・bēru
john mcafee,ジョン・マカフィー,jon・makafī
michael cates,マイケル・ケイツ,maikeru・keitsu
christine ohuruogu,クリスティーン・オールグー,kurisutīn・ōrugū
john cale,ジョン・ケイル,jon・keiru
terry pratchett,テリー・プラチェット,terī・purachetto
paul johnson,ポール・ジョンソン,pōru・jonson
clive dunn,クライヴ・ダン,kuraivu・dan
hugh laurie,ヒュー・ローリー,hyū・rōrī
archer martin,アーチャー・マーティン,āchā・mātin
richard attwood,リチャード・アトウッド,richādo・atouddo
jamie carragher,ジェイミー・キャラガー,jeimī・kyaragā
alfred hitchcock,アルフレッド・ヒッチコック,arufureddo・hitchikokku
margaret thatcher,マーガレット・サッチャー,māgaretto・satchā
justin welby,ジャスティン・ウェルビー,jasutin・werubī
pete townshend,ピート・タウンゼント,pīto・taunzento
gaël bigirimana,ガエル・ビギリマナ,gaeru・bigirimana
ernest payne,アーネスト・ペイン,ānesuto・pein
clarence kingsbury,クラレンス・キングスバリー,kurarensu・kingusubarī
edmund dulac,エドマンド・デュラック,edomando・dyurakku
henry mcmahon,ヘンリー・マクマホン,henrī・makumahon
denis thatcher,デニス・サッチャー,denisu・satchā
alvin lee,アルヴィン・リー,aruvin・rī
rebecca adlington,レベッカ・アドリントン,rebekka・adorinton
robert robinson,ロバート・ロビンソン,robāto・robinson
j j thomson,ジョゼフ・ジョン・トムソン,jozefu・jon・tomuson
anne anderson,アン・アンダーソン,an・andāson
toby stephens,トビー・スティーブンス,tobī・sutībunsu
claire forlani,クレア・フォーラニ,kurea・fōrani
daphne oram,ダフネ・オラム,dafune・oramu
christopher hitchens,クリストファー・ヒッチェンズ,kurisutofā・hitchenzu
steven runciman,スティーヴン・ランシマン,sutīvun・ranshiman
joe fry,ジョー・フライ,jō・furai
chris craft,クリス・クラフト,kurisu・kurafuto
ian heilbron,イアン・ヒールブロン,ian・hīruburon
ed sheeran,エド・シーラン,edo・shīran
tiff needell,ティフ・ニーデル,tifu・nīderu
alan rees,アラン・リーズ,aran・rīzu
rowan williams,ローワン・ウィリアムズ,rōwan・wiriamuzu
peter brook,ピーター・ブルック,pītā・burukku
emma watson,エマ・ワトソン,ema・watoson
willoughby hamilton,ウィロビー・ハミルトン,wirobī・hamiruton
graeme sharp,グレアム・シャープ,gureamu・shāpu
ken russell,ケン・ラッセル,ken・rasseru
susan cooper,スーザン・クーパー,sūzan・kūpā
philippa of lancaster,フィリパ・デ・レンカストレ,firipa・de・renkasutore
stephen frears,スティーヴン・フリアーズ,sutīvun・furiāzu
natalie dormer,ナタリー・ドーマー,natarī・dōmā
winston churchill,ウィンストン・チャーチル,winsuton・chāchiru
rosalind franklin,ロザリンド・フランクリン,rozarindo・furankurin
robbie williams,ロビー・ウィリアムズ,robī・wiriamuzu
sid vicious,シド・ヴィシャス,shido・vishasu
dorothy hodgkin,ドロシー・ホジキン,doroshī・hojikin
john chadwick,ジョン・チャドウィック,jon・chadowikku
bernie ecclestone,バーニー・エクレストン,bānī・ekuresuton
parminder nagra,パーミンダ・ナーグラ,pāminda・nāgura
aleister crowley,アレイスター・クロウリー,areisutā・kurourī
alexander korda,アレクサンダー・コルダ,arekusandā・koruda
richard attenborough,リチャード・アッテンボロー,richādo・attenborō
nicolas roeg,ニコラス・ローグ,nikorasu・rōgu
tim curry,ティム・カリー,timu・karī
tony richardson,トニー・リチャードソン,tonī・richādoson
jonathan williams,ジョナサン・ウィリアムズ,jonasan・wiriamuzu
maggie smith,マギー・スミス,magī・sumisu
paul dirac,ポール・ディラック,pōru・dirakku
gerald du maurier,ジェラルド・デュ・モーリエ,jerarudo・dyu・mōrie
steve redgrave,スティーヴ・レッドグレーヴ,sutīvu・reddogurēvu
alan cox,アラン・コックス,aran・kokkusu
dorothea lambert chambers,ドロテア・ダグラス・チェンバース,dorotea・dagurasu・chenbāsu
mo hayder,モー・ヘイダー,mō・heidā
glen matlock,グレン・マトロック,guren・matorokku
kelly reilly,ケリー・ライリー,kerī・rairī
petula clark,ペトゥラ・クラーク,petura・kurāku
dawn french,ドーン・フレンチ,dōn・furenchi
bat ye'or,バート・ヨール,bāto・yōru
chris corbould,クリス・コーボールド,kurisu・kōbōrudo
rupert wyatt,ルパート・ワイアット,rupāto・waiatto
nick davis,ニック・デイヴィス,nikku・deivisu
james prescott joule,ジェームズ・プレスコット・ジュール,jēmuzu・puresukotto・jūru
eric clapton,エリック・クラプトン,erikku・kuraputon
marianne faithfull,マリアンヌ・フェイスフル,mariannu・feisufuru
david livingstone,デイヴィッド・リヴィングストン,deividdo・rivingusuton
dorothy round,ドロシー・ラウンド,doroshī・raundo
michael powell,マイケル・パウエル,maikeru・paueru
emeric pressburger,エメリック・プレスバーガー,emerikku・puresubāgā
ken loach,ケン・ローチ,ken・rōchi
laurence olivier,ローレンス・オリヴィエ,rōrensu・orivie
johnny herbert,ジョニー・ハーバート,jonī・hābāto
darren fletcher,ダレン・フレッチャー,daren・furetchā
stirling moss,スターリング・モス,sutāringu・mosu
diana wynne jones,ダイアナ・ウィン・ジョーンズ,daiana・win・jōnzu
alexa chung,アレクサ・チャン,arekusa・chan
ethel smyth,エセル・スマイス,eseru・sumaisu
sandy denny,サンディ・デニー,sandi・denī
kathleen lonsdale,キャスリーン・ロンズデール,kyasurīn・ronzudēru
jonny lee miller,ジョニー・リー・ミラー,jonī・rī・mirā
ken wharton,ケン・ウォートン,ken・wōton
lisa stansfield,リサ・スタンスフィールド,risa・sutansufīrudo
gary lineker,ゲーリー・リネカー,gērī・rinekā
mel b,メラニー・ブラウン,meranī・buraun
barbara cartland,バーバラ・カートランド,bābara・kātorando
zaha hadid,ザハ・ハディッド,zaha・hadiddo
john madden,ジョン・マッデン,jon・madden
sienna guillory,シエンナ・ギロリー,shienna・girorī
john maynard keynes,ジョン・メイナード・ケインズ,jon・meinādo・keinzu
ludwig wittgenstein,ルートヴィヒ・ウィトゲンシュタイン,rūtovihi・witogenshutain
david lean,デヴィッド・リーン,deviddo・rīn
charles laughton,チャールズ・ロートン,chāruzu・rōton
john boorman,ジョン・ブアマン,jon・buaman
peter greenaway,ピーター・グリーナウェイ,pītā・gurīnawei
david coulthard,デビッド・クルサード,debiddo・kurusādo
tom pryce,トム・プライス,tomu・puraisu
martin brundle,マーティン・ブランドル,mātin・burandoru
eric broadley,エリック・ブロードレイ,erikku・burōdorei
allan mcnish,アラン・マクニッシュ,aran・makunisshu
jane horrocks,ジェーン・ホロックス,jēn・horokkusu
sally gunnell,サリー・ガネル,sarī・ganeru
christiane amanpour,クリスティアン・アマンプール,kurisutian・amanpūru
colin chapman,コーリン・チャップマン,kōrin・chappuman
imogen poots,イモージェン・プーツ,imōjen・pūtsu
conor maynard,コナー・メイナード,konā・meinādo
kenneth branagh,ケネス・ブラナー,kenesu・buranā
john schlesinger,ジョン・シュレシンジャー,jon・shureshinjā
ridley scott,リドリー・スコット,ridorī・sukotto
peter ustinov,ピーター・ユスティノフ,pītā・yusutinofu
steve coast,スティーブ・コースト,sutību・kōsuto
hans krebs,ハンス・クレブス,hansu・kurebusu
ross brawn,ロス・ブラウン,rosu・buraun
syd barrett,シド・バレット,shido・baretto
mike hailwood,マイク・ヘイルウッド,maiku・heiruuddo
winifred wagner,ヴィニフレート・ワーグナー,vinifurēto・wāgunā
mike gascoyne,マイク・ガスコイン,maiku・gasukoin
julian bailey,ジュリアン・ベイリー,jurian・beirī
salman khan,サルマン・カーン,saruman・kān
graham taylor,グレアム・テイラー,gureamu・teirā
elisabeth schwarzkopf,エリーザベト・シュヴァルツコップ,erīzabeto・shuvarutsukoppu
klaus fuchs,クラウス・フックス,kurausu・fukkusu
anthony horowitz,アンソニー・ホロヴィッツ,ansonī・horovittsu
jack greenwell,ジャック・グリーンウェル,jakku・gurīnweru
danny pugh,ダニー・ピュー,danī・pyū
kevin ayers,ケヴィン・エアーズ,kevin・eāzu
ben kingsley,ベン・キングズレー,ben・kinguzurē
ron dennis,ロン・デニス,ron・denisu
michael collins,マイケル・コリンズ,maikeru・korinzu
jock clear,ジョック・クリア,jokku・kuria
max mosley,マックス・モズレー,makkusu・mozurē
frank williams,フランク・ウィリアムズ,furanku・wiriamuzu
kenny acheson,ケネス・アチソン,kenesu・achison
sid watkins,シド・ワトキンス,shido・watokinsu
tony blair,トニー・ブレア,tonī・burea
katrina kaif,カトリーナ・カイフ,katorīna・kaifu
john major,ジョン・メージャー,jon・mējā
martin whitmarsh,マーティン・ウィットマーシュ,mātin・wittomāshu
adrian newey,エイドリアン・ニューウェイ,eidorian・nyūwei
nick wirth,ニック・ワース,nikku・wāsu
amanda holden,アマンダ・ホールデン,amanda・hōruden
anita roddick,アニータ・ロディック,anīta・rodikku
rebecca romero,レベッカ・ロメロ,rebekka・romero
edith pargeter,イーディス・パージター,īdisu・pājitā
jacqui smith,ジャッキー・スミス,jakkī・sumisu
liam neeson,リーアム・ニーソン,rīamu・nīson
helen sharman,ヘレン・シャーマン,heren・shāman
richard rogers,リチャード・ロジャース,richādo・rojāsu
william hague,ウィリアム・ヘイグ,wiriamu・heigu
keeley hawes,キーリー・ホーズ,kīrī・hōzu
hans eysenck,ハンス・アイゼンク,hansu・aizenku
hannah spearritt,ハナ・スピアリット,hana・supiaritto
kate nash,ケイト・ナッシュ,keito・nasshu
james callaghan,ジェームズ・キャラハン,jēmuzu・kyarahan
lewis hamilton,ルイス・ハミルトン,ruisu・hamiruton
conrad veidt,コンラート・ファイト,konrāto・faito
max born,マックス・ボルン,makkusu・borun
lily allen,リリー・アレン,rirī・aren
ken tyrrell,ケン・ティレル,ken・tireru
bob anderson,ボブ・アンダーソン,bobu・andāson
david richards,デビッド・リチャーズ,debiddo・richāzu
gordon murray,ゴードン・マレー,gōdon・marē
brian hart,ブライアン・ハート,buraian・hāto
anna friel,アンナ・フリエル,anna・furieru
ernest torrence,アーネスト・トレンス,ānesuto・torensu
ben nicholson,ベン・ニコルソン,ben・nikoruson
robert morison,ロバート・モリソン,robāto・morison
charles cumming,チャールズ・カミング,chāruzu・kamingu
ian ashley,イアン・アシュレイ,ian・ashurei
sarah waters,サラ・ウォーターズ,sara・wōtāzu
david hobbs,デヴィッド・ホッブス,deviddo・hobbusu
bob woolmer,ボブ・ウールマー,bobu・ūrumā
susan george,スーザン・ジョージ,sūzan・jōji
andros townsend,アンドロス・タウンゼント,andorosu・taunzento
bob bell,ボブ・ベル,bobu・beru
peter warr,ピーター・ウォー,pītā・wō
christian horner,クリスチャン・ホーナー,kurisuchan・hōnā
pat symonds,パット・シモンズ,patto・shimonzu
charlie whiting,チャーリー・ホワイティング,chārī・howaitingu
anita brookner,アニータ・ブルックナー,anīta・burukkunā
siân phillips,シアン・フィリップス,shian・firippusu
phyllida lloyd,フィリダ・ロイド,firida・roido
harvey postlethwaite,ハーベイ・ポスルスウェイト,hābei・posurusuweito
john barnard,ジョン・バーナード,jon・bānādo
mike coughlan,マイク・コフラン,maiku・kofuran
nigel stepney,ナイジェル・ステップニー,naijeru・suteppunī
kyle walker,カイル・ウォーカー,kairu・wōkā
hayley mills,ヘイリー・ミルズ,heirī・miruzu
polly walker,ポリー・ウォーカー,porī・wōkā
derek jarman,デレク・ジャーマン,dereku・jāman
alastair mccorquodale,アラスター・マッコーコデール,arasutā・makkōkodēru
kenney jones,ケニー・ジョーンズ,kenī・jōnzu
dave beasant,デイヴ・ビーサント,deivu・bīsanto
elizabeth allan,エリザベス・アラン,erizabesu・aran
tom evenson,トーマス・エヴェンソン,tōmasu・evuェnson
laura robson,ローラ・ロブソン,rōra・robuson
andy murray,アンディ・マリー,andi・marī
pat barker,パット・バーカー,patto・bākā
ron weasley,ロン・ウィーズリー,ron・wīzurī
john judd,ジョン・ジャッド,jon・jaddo
nico yennaris,ニコ・イェナリス,niko・yenarisu
adam lallana,アダム・ララーナ,adamu・rarāna
edith hannam,エディット・ハンナム,editto・hannamu
rob white,ロブ・ホワイト,robu・howaito
robin herd,ロビン・ハード,robin・hādo
neil oatley,ニール・オートレイ,nīru・ōtorei
john cooper,ジョン・クーパー,jon・kūpā
tim densham,ティム・デンシャム,timu・denshamu
frank dernie,フランク・ダーニー,furanku・dānī
michael dawson,マイケル・ドーソン,maikeru・dōson
andre wisdom,アンドレ・ウィズダム,andore・wizudamu
maurice wilkes,モーリス・ウィルクス,mōrisu・wirukusu
rudolf peierls,ルドルフ・パイエルス,rudorufu・paierusu
nikolaus pevsner,ニコラウス・ペヴズナー,nikorausu・pevuzunā
damon hill,デイモン・ヒル,deimon・hiru
nigel mansell,ナイジェル・マンセル,naijeru・manseru
jenson button,ジェンソン・バトン,jenson・baton
tony southgate,トニー・サウスゲート,tonī・sausugēto
hermione granger,ハーマイオニー・グレンジャー,hāmaionī・gurenjā
magdalen nabb,マグダレン・ナブ,magudaren・nabu
samantha bond,サマンサ・ボンド,samansa・bondo
simon pegg,サイモン・ペッグ,saimon・peggu
geoff willis,ジェフ・ウィリス,jefu・wirisu
pat fry,パット・フライ,patto・furai
nick fry,ニック・フライ,nikku・furai
ron tauranac,ロン・トーラナック,ron・tōranakku
carol cleveland,キャロル・クリーヴランド,kyaroru・kurīvurando
roddy mcdowall,ロディ・マクドウォール,rodi・makudowōru
williamina fleming,ウィリアミーナ・フレミング,wiriamīna・furemingu
lewis elton,ルイス・エルトン,ruisu・eruton
fiona may,フィオナ・メイ,fiona・mei
kaiane aldorino,ケーン・アルドリノ,kēn・arudorino
sam brown,サム・ブラウン,samu・buraun
james mcclean,ジェームズ・マクレーン,jēmuzu・makurēn
minette walters,ミネット・ウォルターズ,minetto・worutāzu
sadie frost,サディ・フロスト,sadi・furosuto
christine mcvie,クリスティン・マクヴィー,kurisutin・makuvī
veronica cartwright,ヴェロニカ・カートライト,vuェronika・kātoraito
jill ireland,ジル・アイアランド,jiru・aiarando
adam clayton,アダム・クレイトン,adamu・kureiton
lottie dod,ロッティ・ドッド,rotti・doddo
margaret drabble,マーガレット・ドラブル,māgaretto・doraburu
reginald innes pocock,レジナルド・インズ・ポコック,rejinarudo・inzu・pokokku
lee naylor,リー・ネイラー,rī・neirā
rachel podger,レイチェル・ポッジャー,reicheru・pojjā
cherie blair,シェリー・ブレア,sherī・burea
david beckham,デビッド・ベッカム,debiddo・bekkamu
rupert sanders,ルパート・サンダース,rupāto・sandāsu
humza yousaf,ハムザ・ユーサフ,hamuza・yūsafu
john cockcroft,ジョン・コッククロフト,jon・kokkukurofuto
frederic c williams,フレデリック・カーランド・ウィリアムス,furederikku・kārando・wiriamusu
sophie okonedo,ソフィー・オコネドー,sofī・okonedō
aaron lennon,アーロン・レノン,āron・renon
evelyn glennie,エヴェリン・グレニー,evuェrin・gurenī
ryan giggs,ライアン・ギグス,raian・gigusu
peter gabriel,ピーター・ガブリエル,pītā・gaburieru
brian aldiss,ブライアン・オールディス,buraian・ōrudisu
fay weldon,フェイ・ウェルドン,fei・werudon
alek wek,アレック・ウェック,arekku・wekku
lily donaldson,リリー・ドナルドソン,rirī・donarudoson
sue barker,スー・バーカー,sū・bākā
heather watson,ヘザー・ワトソン,hezā・watoson
allan holdsworth,アラン・ホールズワース,aran・hōruzuwāsu
jack laugher,ジャック・ロー,jakku・rō
nick barmby,ニック・バーンビー,nikku・bānbī
ken adam,ケン・アダム,ken・adamu
dana wynter,ダナ・ウィンター,dana・wintā
bill brandt,ビル・ブラント,biru・buranto
alex arthur,アレックス・アーサー,arekkusu・āsā
lilian harvey,リリアン・ハーヴェイ,ririan・hāvuェi
george henschel,ジョージ・ヘンシェル,jōji・hensheru
anthony hopkins,アンソニー・ホプキンス,ansonī・hopukinsu
simon preston,サイモン・プレストン,saimon・puresuton
aubrey de grey,オーブリー・デ・グレイ,ōburī・de・gurei
christine keeler,クリスティーン・キーラー,kurisutīn・kīrā
kris boyd,クリス・ボイド,kurisu・boido
val mcdermid,ヴァル・マクダーミド,varu・makudāmido
diana dors,ダイアナ・ドース,daiana・dōsu
emma pooley,エマ・プーリー,ema・pūrī
jonny greenwood,ジョニー・グリーンウッド,jonī・gurīnuddo
adrian paul,エイドリアン・ポール,eidorian・pōru
cilla black,シラ・ブラック,shira・burakku
kenny sansom,ケニー・サンソム,kenī・sansomu
benjamin frankel,ベンジャミン・フランケル,benjamin・furankeru
simon marsden,サイモン・マースデン,saimon・māsuden
nathan redmond,ネイサン・レドモンド,neisan・redomondo
brendan foster,ブレンダン・フォスター,burendan・fosutā
bruce payne,ブルース・ペイン,burūsu・pein
adam johnson,アダム・ジョンソン,adamu・jonson
heinz london,ハインツ・ロンドン,haintsu・rondon
walter lassally,ウォルター・ラサリー,worutā・rasarī
manu tuilagi,マヌ・トゥイランギ,manu・tuirangi
henry hallett dale,ヘンリー・ハレット・デール,henrī・haretto・dēru
james paterson,ジェイムズ・パタースン,jeimuzu・patāsun
kerry katona,ケリー・カトーナ,kerī・katōna
rubeus hagrid,ルビウス・ハグリッド,rubiusu・haguriddo
craig gordon,クレイグ・ゴードン,kureigu・gōdon
maggie nicols,マギー・ニコルズ,magī・nikoruzu
sophie turner,ソフィー・ターナー,sofī・tānā
jacqueline wilson,ジャクリーン・ウィルソン,jakurīn・wiruson
emily bergl,エミリー・バーグル,emirī・bāguru
edward dannreuther,エドワード・ダンロイター,edowādo・danroitā
phil bardsley,フィル・バーズリー,firu・bāzurī
herbert rosenfeld,ハーバート・ロゼンフェルド,hābāto・rozenferudo
rebecca pidgeon,レベッカ・ピジョン,rebekka・pijon
anna kavan,アンナ・カヴァン,anna・kavan
marc bolan,マーク・ボラン,māku・boran
jaime murray,ジェイミー・マーレイ,jeimī・mārei
may whitty,メイ・ウィッティ,mei・witti
denise lewis,デニーズ・ルイス,denīzu・ruisu
mark elder,マーク・エルダー,māku・erudā
robert stephenson,ロバート・スチーブンソン,robāto・suchībunson
anthony payne,アンソニー・ペイン,ansonī・pein
severus snape,セブルス・スネイプ,seburusu・suneipu
daniel boone,ダニエル・ブーン,danieru・būn
felicity lott,フェリシティ・ロット,ferishiti・rotto
richard elliot,リチャード・エリオット,richādo・eriotto
