angela merkel,アンゲラ・メルケル,angera・merukeru
hansjörg jäkle,ハンスイェルク・イエックレ,hansuyeruku・iekkure
franz xaver gabelsberger,フランツ・クサーヴァー・ガベルスベルガー,furantsu・kusāvā・gaberusuberugā
richard musgrave,リチャード・マスグレイブ,richādo・masugureibu
hilde sperling,ヒルデ・スパーリング,hirude・supāringu
sigmund rascher,ジクムント・ラッシャー,jikumunto・rasshā
andreas tölzer,アンドレアス・テルツァー,andoreasu・terutsā
johann von ewald,ヨハン・フォン・エーヴァルト,yohan・fon・ēvaruto
wolfgang krull,ヴォルフガング・クルル,vuォrufugangu・kururu
werner wolf glaser,ヴェルナー・ヴォルフ・グラーザー,vuェrunā・vuォrufu・gurāzā
walther dahl,ヴァルター・ダール,varutā・dāru
louis de wohl,ルイ・ド・ウォール,rui・do・wōru
heinz rögner,ハインツ・レーグナー,haintsu・rēgunā
anton staus,アントン・シュタウス,anton・shutausu
herbert list,ハーバート・リスト,hābāto・risuto
umbo,ウンボ,unbo
kathy radzuweit,カティ・ラツバイト,kati・ratsubaito
jens lehmann,イェンス・レーマン,yensu・rēman
oswald spengler,オスヴァルト・シュペングラー,osuvaruto・shupengurā
peter struck,ペーター・シュトルック,pētā・shutorukku
rudi altig,ルディ・アルティヒ,rudi・arutihi
diane kruger,ダイアン・クルーガー,daian・kurūgā
peter grünberg,ペーター・グリューンベルク,pētā・guryūnberuku
cilly aussem,シリー・アウセム,shirī・ausemu
hans eichel,ハンス・アイヒェル,hansu・aihiェru
eike immel,アイケ・インメル,aike・inmeru
erich ollenhauer,エーリッヒ・オレンハウアー,ērihhi・orenhauā
friedrich zu wied,フリードリヒ・ツー・ヴィート,furīdorihi・tsū・vīto
alfred lion,アルフレッド・ライオン,arufureddo・raion
johann friedrich doles,ヨハン・フリードリヒ・ドーレス,yohan・furīdorihi・dōresu
sebastian sylvester,セバスチャン・シルベスター,sebasuchan・shirubesutā
lorenz christoph mizler,ローレンツ・クリストフ・ミツラー,rōrentsu・kurisutofu・mitsurā
yuri manin,ユーリ・マニン,yūri・manin
egon bahr,エゴン・バール,egon・bāru
adam lonitzer,アダム・ロニチェル,adamu・ronicheru
erich kähler,エーリッヒ・ケーラー,ērihhi・kērā
ludwig bieberbach,ルートヴィヒ・ビーベルバッハ,rūtovihi・bīberubahha
paul peter ewald,パウル・ペーター・エバルト,pauru・pētā・ebaruto
jürgen moser,ユルゲン・モーザー,yurugen・mōzā
albrecht kossel,アルブレヒト・コッセル,aruburehito・kosseru
anna von kleve,アン・オブ・クレーヴズ,an・obu・kurēvuzu
wilhelm canaris,ヴィルヘルム・カナリス,viruherumu・kanarisu
gerhard stoltenberg,ゲルハルト・シュトルテンベルク,geruharuto・shutorutenberuku
dimitri peters,ディミトリ・ペータース,dimitori・pētāsu
gregor braun,グレゴール・ブラウン,guregōru・buraun
volker strassen,フォルカー・シュトラッセン,forukā・shutorassen
theodor curtius,テオドール・クルチウス,teodōru・kuruchiusu
otto meyerhof,オットー・マイヤーホフ,ottō・maiyāhofu
arthur crispien,アルトゥール・クリスピン,arutūru・kurisupin
heinrich schëuch,ハインリッヒ・シューク,hainrihhi・shūku
franz,フランツ,furantsu
erich von manstein,エーリッヒ・フォン・マンシュタイン,ērihhi・fon・manshutain
kurt von schleicher,クルト・フォン・シュライヒャー,kuruto・fon・shuraihyā
walther wever,ヴァルター・ヴェーファー,varutā・vuェーfā
ewald von kleist,エヴァルト・フォン・クライスト,evaruto・fon・kuraisuto
walther von brauchitsch,ヴァルター・フォン・ブラウヒッチュ,varutā・fon・burauhitchu
georg leber,ゲオルク・レーバー,georuku・rēbā
johann kasimir,ヨハン・カジミール,yohan・kajimīru
franz von soxhlet,フランツ・フォン・ソックスレー,furantsu・fon・sokkusurē
werner ostendorff,ヴェルナー・オステンドルフ,vuェrunā・osutendorufu
andreas peter von bernstorff,アンドレアス・ペーター・フォン・ベルンシュトルフ,andoreasu・pētā・fon・berunshutorufu
georg friedrich,ゲオルク・フリードリヒ,georuku・furīdorihi
stefan mücke,シュテファン・ミュッケ,shutefan・myukke
sascha maassen,サッシャ・マーセン,sassha・māsen
martin winterkorn,マルティン・ヴィンターコルン,marutin・vintākorun
gustav neidlinger,グスタフ・ナイトリンガー,gusutafu・naitoringā
helmut bradl,ヘルムート・ブラドル,herumūto・buradoru
herbert windt,ヘルベルト・ヴィント,heruberuto・vinto
eberhard köllner,エベルハルト・ケルナー,eberuharuto・kerunā
timo hildebrand,ティモ・ヒルデブラント,timo・hirudeburanto
michael fassbender,マイケル・ファスベンダー,maikeru・fasubendā
thomas hitzlsperger,トーマス・ヒッツルスペルガー,tōmasu・hittsurusuperugā
ernst busch,エルンスト・ブッシュ,erunsuto・busshu
hermann muthesius,ヘルマン・ムテジウス,heruman・mutejiusu
friedrich christian von sachsen,フリードリヒ・クリスティアン・フォン・ザクセン,furīdorihi・kurisutian・fon・zakusen
ludwig ferdinand von bayern,ルートヴィヒ・フェルディナント・フォン・バイエルン,rūtovihi・ferudinanto・fon・baierun
erich von falkenhayn,エーリッヒ・フォン・ファルケンハイン,ērihhi・fon・farukenhain
erich raeder,エーリヒ・レーダー,ērihi・rēdā
cacau,カカウ,kakau
hermann hoth,ヘルマン・ホト,heruman・hoto
robert stieglitz,ロベルト・ステイグリッツ,roberuto・suteigurittsu
lilian harvey,リリアン・ハーヴェイ,ririan・hāvuェi
karl münchinger,カール・ミュンヒンガー,kāru・myunhingā
