françois hollande,フランソワ・オランド,furansowa・orando
jérôme rothen,ジェローム・ロタン,jerōmu・rotan
robert delaunay,ロベール・ドローネー,robēru・dorōnē
marie curie,マリ・キュリー,mari・kyurī
mahiedine mekhissibenabbad,マイディーヌ・メキシベナバ,maidīnu・mekishibenaba
nicolas leblanc,ニコラ・ルブラン,nikora・ruburan
charles messier,シャルル・メシエ,sharuru・meshie
émile durkheim,エミール・デュルケーム,emīru・dyurukēmu
julien sablé,ジュリアン・サブレ,jurian・sabure
tristan tzara,トリスタン・ツァラ,torisutan・tsara
georges seurat,ジョルジュ・スーラ,joruju・sūra
édith piaf,エディット・ピアフ,editto・piafu
françoise sagan,フランソワーズ・サガン,furansowāzu・sagan
gustave courbet,ギュスターヴ・クールベ,gyusutāvu・kūrube
oumar sissoko,オウマル・シッソコ,oumaru・shissoko
yannick cahuzac,ヤニック・カユザック,yanikku・kayuzakku
wahbi khazri,ワフビ・ハズリ,wafubi・hazuri
serge gainsbourg,セルジュ・ゲンスブール,seruju・gensubūru
simone de beauvoir,シモーヌ・ド・ボーヴォワール,shimōnu・do・bōvuォwāru
renaud lavillenie,ルノー・ラビレニ,runō・rabireni
charles aznavour,シャルル・アズナヴール,sharuru・azunavūru
henri barbusse,アンリ・バルビュス,anri・barubyusu
louis armand,ルイ・アルマン,rui・aruman
joseph gallieni,ジョゼフ・ガリエニ,jozefu・garieni
emmanuel d'orléans,エマニュエル・ドルレアン,emanyueru・dorurean
albert camus,アルベール・カミュ,arubēru・kamyu
barbara,バルバラ,barubara
laurent blanc,ローラン・ブラン,rōran・buran
marcel proust,マルセル・プルースト,maruseru・purūsuto
zinédine zidane,ジネディーヌ・ジダン,jinedīnu・jidan
paul lasne,ポール・ラスヌ,pōru・rasunu
frédéric sammaritano,フレデリク・サンマリターノ,furederiku・sanmaritāno
harlem désir,アルレム・デジール,aruremu・dejīru
jean françaix,ジャン・フランセ,jan・furanse
nicolas appert,ニコラ・アペール,nikora・apēru
paul cézanne,ポール・セザンヌ,pōru・sezannu
brigitte bardot,ブリジット・バルドー,burijitto・barudō
hugo lloris,ウーゴ・ロリス,ūgo・rorisu
corentin martins,コランタン・マルティンス,korantan・marutinsu
sabri lamouchi,サブリ・ラムシ,saburi・ramushi
émilie du châtelet,エミリー・デュ・シャトレ,emirī・dyu・shatore
adil rami,アディル・ラミ,adiru・rami
mathieu debuchy,マテュー・ドゥビュシー,matyū・dubyushī
igor stravinsky,イーゴリ・ストラヴィンスキー,īgori・sutoravinsukī
jonathan ayité,ジョナタン・アイテ,jonatan・aite
bernard mendy,ベルナール・メンディ,berunāru・mendi
daniel sanchez,ダニエル・サンチェス,danieru・sanchesu
jonathan schmid,ジョナタン・シュミット,jonatan・shumitto
samuel beckett,サミュエル・ベケット,samyueru・beketto
fernandel,フェルナンデル,ferunanderu
olivier giroud,オリヴィエ・ジルー,orivie・jirū
yohan cabaye,ヨアン・キャバイェ,yoan・kyabaye
pierre curie,ピエール・キュリー,piēru・kyurī
ismaël traoré,イスマエル・トラオレ,isumaeru・toraore
roger martin du gard,ロジェ・マルタン・デュ・ガール,roje・marutan・dyu・gāru
karim benzema,カリム・ベンゼマ,karimu・benzema
kenny lala,ケニー・ララ,kenī・rara
catherine de clèves,カトリーヌ・ド・クレーヴ,katorīnu・do・kurēvu
florent malouda,フローラン・マルダ,furōran・maruda
laurent koscielny,ローラン・コシールニー,rōran・koshīrunī
louis bonaparte,ルイ・ボナパルト,rui・bonaparuto
paul gauguin,ポール・ゴーギャン,pōru・gōgyan
nadar,ナダール,nadāru
joseph deniker,ジョゼフ・ドゥニケール,jozefu・dunikēru
patrice évra,パトリス・エヴラ,patorisu・evura
joseph bonaparte,ジョゼフ・ボナパルト,jozefu・bonaparuto
philippe mexès,フィリップ・メクセス,firippu・mekusesu
édouard manet,エドゥアール・マネ,eduāru・mane
amélie de leuchtenberg,アメリー・ド・ボアルネ,amerī・do・boarune
jules richard,ジュール・リシャール,jūru・rishāru
marvin compper,マーヴィン・コンパー,māvin・konpā
rené girard,ルネ・ジラール,rune・jirāru
samir nasri,サミル・ナスリ,samiru・nasuri
mathieu valbuena,マテュー・ヴァルブエナ,matyū・varubuena
franck ribéry,フランク・リベリー,furanku・riberī
anthony réveillère,アントニー・レヴェイエール,antonī・revuェiēru
blaise matuidi,ブレーズ・マテュイディ,burēzu・matyuidi
boris vian,ボリス・ヴィアン,borisu・vian
louisphilippe ier,ルイ・フィリップ,rui・firippu
michel ney,ミシェル・ネイ,misheru・nei
henri becquerel,アンリ・ベクレル,anri・bekureru
valérie donzelli,ヴァレリー・ドンゼッリ,varerī・donzerri
olivier ledroit,オリヴィエ・ルドロワ,orivie・rudorowa
eugène charles catalan,ウジェーヌ・シャルル・カタラン,ujēnu・sharuru・kataran
steve mandanda,スティーヴ・マンダンダ,sutīvu・mandanda
jérémy ménez,ジェレミー・メネス,jeremī・menesu
yann m'vila,ヤン・エムヴィラ,yan・emuvira
alou diarra,アルー・ディアッラ,arū・diarra
sébastien loeb,セバスチャン・ローブ,sebasuchan・rōbu
alfred jarry,アルフレッド・ジャリ,arufureddo・jari
michel larionov,ミハイル・ラリオーノフ,mihairu・rariōnofu
dominique pinon,ドミニク・ピノン,dominiku・pinon
nicolas poussin,ニコラ・プッサン,nikora・pussan
jacques offenbach,ジャック・オッフェンバック,jakku・offenbakku
jacques derrida,ジャック・デリダ,jakku・derida
alexandre alekhine,アレクサンドル・アレヒン,arekusandoru・arehin
sidney govou,シドニー・ゴブ,shidonī・gobu
gaël clichy,ガエル・クリシー,gaeru・kurishī
cédric carrasso,セドリック・カラッソ,sedorikku・karasso
marvin martin,マルヴァン・マルタン,maruvan・marutan
hatem ben arfa,ハテム・ベン・アルファ,hatemu・ben・arufa
bacary sagna,バカリ・サニャ,bakari・sanya
william gallas,ウィリアム・ギャラス,wiriamu・gyarasu
djibril cissé,ジブリル・シセ,jiburiru・shise
éric abidal,エリック・アビダル,erikku・abidaru
nicolas anelka,ニコラ・アネルカ,nikora・aneruka
paul bocuse,ポール・ボキューズ,pōru・bokyūzu
david guetta,デヴィッド・ゲッタ,deviddo・getta
claude simon,クロード・シモン,kurōdo・shimon
sully prudhomme,シュリ・プリュドム,shuri・puryudomu
sébastien squillaci,セバスティアン・スキラシ,sebasutian・sukirashi
joseph fourier,ジョゼフ・フーリエ,jozefu・fūrie
abou diaby,アブー・ディアビ,abū・diabi
jérémy toulalan,ジェレミー・トゥララン,jeremī・turaran
marouane chamakh,マルアーヌ・シャマフ,maruānu・shamafu
henri bergson,アンリ・ベルクソン,anri・berukuson
ilona mitrecey,イローナ・ミトルセー,irōna・mitorusē
anatole france,アナトール・フランス,anatōru・furansu
nadia boulanger,ナディア・ブーランジェ,nadia・būranje
alexis de tocqueville,アレクシ・ド・トクヴィル,arekushi・do・tokuviru
suger,シュジェール,shujēru
catherine de médicis,カトリーヌ・ド・メディシス,katorīnu・do・medishisu
ferdinand d'orléans,フェルディナン・ドルレアン,ferudinan・dorurean
françois étienne kellermann,フランソワ・エティエンヌ・ケレルマン,furansowa・etiennu・kereruman
dominique de villepin,ドミニク・ド・ビルパン,dominiku・do・birupan
zabou breitman,ザブー・ブライトマン,zabū・buraitoman
bruno cremer,ブリュノ・クレメール,buryuno・kuremēru
zacarias moussaoui,ザカリアス・ムサウイ,zakariasu・musaui
françois mitterrand,フランソワ・ミッテラン,furansowa・mitteran
marion cotillard,マリオン・コティヤール,marion・kotiyāru
voltaire,ヴォルテール,vuォrutēru
frédéric mistral,フレデリック・ミストラル,furederikku・misutoraru
david ginola,ダヴィド・ジノラ,davido・jinora
sophia loren,ソフィア・ローレン,sofia・rōren
georges pompidou,ジョルジュ・ポンピドゥー,joruju・ponpidū
honoré de balzac,オノレ・ド・バルザック,onore・do・baruzakku
mickaël pagis,ミカエル・パジ,mikaeru・paji
charles de gaulle,シャルル・ド・ゴール,sharuru・do・gōru
gabriel lippmann,ガブリエル・リップマン,gaburieru・rippuman
coluche,コリューシュ,koryūshu
gustave flaubert,ギュスターヴ・フローベール,gyusutāvu・furōbēru
josquin des prés,ジョスカン・デ・プレ,josukan・de・pure
étienne marcel,エティエンヌ・マルセル,etiennu・maruseru
jacques chirac,ジャック・シラク,jakku・shiraku
tamatoa wagemann,タマトア・ワグマン,tamatoa・waguman
guillaume apollinaire,ギヨーム・アポリネール,giyōmu・aporinēru
carla bruni,カーラ・ブルーニ,kāra・burūni
ève francis,エーヴ・フランシス,ēvu・furanshisu
valéry giscard d'estaing,ヴァレリー・ジスカール・デスタン,varerī・jisukāru・desutan
guy de maupassant,ギ・ド・モーパッサン,gi・do・mōpassan
patrick chila,パトリック・シーラ,patorikku・shīra
aatif chahechouhe,アーティフ・シャヘシュヘ,ātifu・shaheshuhe
francis ambrière,フランシス・アンブリエール,furanshisu・anburiēru
bartholomew ogbeche,バーソロミュー・オグベチェ,bāsoromyū・ogubeche
miralem pjanić,ミラレム・ピャニッチ,miraremu・pyanitchi
mehdi baala,メディー・バアラ,medī・baara
zao wouki,ザオ・ウーキー,zao・ūkī
rené descartes,ルネ・デカルト,rune・dekaruto
jean reno,ジャン・レノ,jan・reno
jean perrin,ジャン・ペラン,jan・peran
hector léveillé,エクトル・レヴェイエ,ekutoru・revuェie
pierre desproges,ピエール・デプロージュ,piēru・depurōju
louis de funès,ルイ・ド・フュネス,rui・do・fyunesu
bourvil,ブールヴィル,būruviru
bixente lizarazu,ビセンテ・リザラズ,bisente・rizarazu
django reinhardt,ジャンゴ・ラインハルト,jango・rainharuto
étienne sandorfi,イシュトヴァーン・サンドルフィ,ishutovān・sandorufi
georges petit,ジョルジュ・プティ,joruju・puti
thierry omeyer,ティエリー・オメイエール,tierī・omeiēru
mickaël landreau,ミカエル・ランドロー,mikaeru・randorō
pavel dourov,パーヴェル・ドゥーロフ,pāvuェru・dūrofu
patrick ricard,パトリック・リカール,patorikku・rikāru
charles maurras,シャルル・モーラス,sharuru・mōrasu
george sand,ジョルジュ・サンド,joruju・sando
manuel valls,マニュエル・ヴァルス,manyueru・varusu
alain prost,アラン・プロスト,aran・purosuto
michel foucault,ミシェル・フーコー,misheru・fūkō
camille pissarro,カミーユ・ピサロ,kamīyu・pisaro
valery larbaud,ヴァレリー・ラルボー,varerī・rarubō
aurore clément,オーロール・クレマン,ōrōru・kureman
wissam ben yedder,ウィサム・ベン・イェデル,wisamu・ben・yederu
gérard philipe,ジェラール・フィリップ,jerāru・firippu
louis aragon,ルイ・アラゴン,rui・aragon
heinrich heine,ハインリヒ・ハイネ,hainrihi・haine
andré the giant,アンドレ・ザ・ジャイアント,andore・za・jaianto
elsa triolet,エルザ・トリオレ,eruza・toriore
jérôme neuville,ジェローム・ヌヴィユ,jerōmu・nuviyu
florent manaudou,フローラン・マナドゥ,furōran・manadu
adam de la halle,アダン・ド・ラ・アル,adan・do・ra・aru
bernard lacombe,ベルナール・ラコンブ,berunāru・rakonbu
michel platini,ミシェル・プラティニ,misheru・puratini
camille muffat,カミーユ・ムファ,kamīyu・mufa
élisa bonaparte,エリザ・ボナパルト,eriza・bonaparuto
jérôme bonaparte,ジェローム・ボナパルト,jerōmu・bonaparuto
lucien bonaparte,リュシアン・ボナパルト,ryushian・bonaparuto
andré malraux,アンドレ・マルロー,andore・marurō
claude pinoteau,クロード・ピノトー,kurōdo・pinotō
willy sagnol,ウィリー・サニョル,wirī・sanyoru
anne d'autriche,アンヌ・ドートリッシュ,annu・dōtorisshu
joachim murat,ジョアシャン・ミュラ,joashan・myura
alphonse daudet,アルフォンス・ドーデ,arufonsu・dōde
olivier messiaen,オリヴィエ・メシアン,orivie・meshian
émile bréhier,エミール・ブレイエ,emīru・bureie
émile boutroux,エミール・ブートルー,emīru・būtorū
olivier py,オリヴィエ・ピィ,orivie・piィ
ulrich ramé,ユルリク・ラメ,yururiku・rame
jehanne d'alcy,ジュアンヌ・ダルシー,juannu・darushī
zoumana camara,ズマナ・カマラ,zumana・kamara
émile cartailhac,エミール・カルタイヤック,emīru・karutaiyakku
aravane rezaï,アラバン・レザイ,araban・rezai
martine aubry,マルティーヌ・オブリー,marutīnu・oburī
yeardley smith,イヤードリー・スミス,iyādorī・sumisu
alexandre alphonse,アレクサンドル・アルフォンス,arekusandoru・arufonsu
anouk aimée,アヌーク・エーメ,anūku・ēme
émile benveniste,エミール・バンヴェニスト,emīru・banvuェnisuto
philip sainton,フィリップ・セイントン,firippu・seinton
paul signac,ポール・シニャック,pōru・shinyakku
émile champion,エミール・シャンピオン,emīru・shanpion
joséphine baker,ジョセフィン・ベーカー,josefin・bēkā
isabelle de france,イザベラ・オブ・フランス,izabera・obu・furansu
émile cohl,エミール・コール,emīru・kōru
austen henry layard,オースティン・ヘンリー・レヤード,ōsutin・henrī・reyādo
émile coué,エミール・クーエ,emīru・kūe
ousmane coulibaly,ウスマン・クリバリ,usuman・kuribari
paul baysse,ポール・ベス,pōru・besu
pierre laval,ピエール・ラヴァル,piēru・ravaru
claude de france,クロード・ド・フランス,kurōdo・do・furansu
alizé cornet,アリーゼ・コルネ,arīze・korune
louis réard,ルイ・レアール,rui・reāru
émile durand,エミール・デュラン,emīru・dyuran
macha méril,マーシャ・メリル,māsha・meriru
henri salvador,アンリ・サルヴァドール,anri・saruvadōru
marcel aymé,マルセル・エイメ,maruseru・eime
lucien petitbreton,ルシアン・プティブルトン,rushian・putiburuton
charles de freycinet,シャルル・ド・フレシネ,sharuru・do・fureshine
émile gallé,エミール・ガレ,emīru・gare
charles de france,シャルル・ド・ブルボン,sharuru・do・burubon
nicolas mahut,ニコラ・マユ,nikora・mayu
fabrice ehret,ファブリス・エレ,faburisu・ere
yannick sagbo,ヤニック・サグボ,yanikku・sagubo
paul éluard,ポール・エリュアール,pōru・eryuāru
matthieu delpierre,マチュー・デルピエール,machū・derupiēru
georges méliès,ジョルジュ・メリエス,joruju・meriesu
adèle de champagne,アデル・ド・シャンパーニュ,aderu・do・shanpānyu
isabelle aubret,イザベル・オーブレ,izaberu・ōbure
carlos gardel,カルロス・ガルデル,karurosu・garuderu
isabelle d'aragon,イザベル・ダラゴン,izaberu・daragon
olivier sorlin,オリヴィエ・ソルラン,orivie・soruran
paul cornu,ポール・コルニュ,pōru・korunyu
raoul dufy,ラウル・デュフィ,rauru・dyufi
laure manaudou,ロール・マナドゥ,rōru・manadu
lucile hadzihalilovic,ルシール・アザリロヴィック,rushīru・azarirovikku
jean buridan,ジャン・ビュリダン,jan・byuridan
jean dausset,ジャン・ドーセ,jan・dōse
henri giraud,アンリ・ジロー,anri・jirō
michel serrault,ミシェル・セロー,misheru・serō
germaine dulac,ジェルメーヌ・デュラック,jerumēnu・dyurakku
íngrid betancourt,イングリッド・ベタンクール,inguriddo・betankūru
robert capa,ロバート・キャパ,robāto・kyapa
abel decaux,アベル・ドゥコー,aberu・dukō
abel goumba,アベル・グンバ,aberu・gunba
abel pavet de courteille,アベル・パヴェ・ド・クルテイユ,aberu・pavuェ・do・kuruteiyu
clotilde hesme,クロティルド・エスム,kurotirudo・esumu
marie de guise,メアリ・オブ・ギーズ,meari・obu・gīzu
hortense de beauharnais,オルタンス・ド・ボアルネ,orutansu・do・boarune
nathalie dechy,ナタリー・ドシー,natarī・doshī
jean nicot,ジャン・ニコ,jan・niko
abel bonnard,アベル・ボナール,aberu・bonāru
agnès varda,アニエス・ヴァルダ,aniesu・varuda
thierry henry,ティエリ・アンリ,tieri・anri
emmanuel levinas,エマニュエル・レヴィナス,emanyueru・revinasu
man ray,マン・レイ,man・rei
constantin brâncuși,コンスタンティン・ブランクーシ,konsutantin・burankūshi
valérie trierweiler,ヴァレリー・トリールヴァイレール,varerī・torīruvairēru
irène jacob,イレーヌ・ジャコブ,irēnu・jakobu
pierre d'ailly,ピエール・ダイイ,piēru・daii
sébastien bassong,セバスティアン・バソング,sebasutian・basongu
le pétomane,ル・ペトマーヌ,ru・petomānu
françois furet,フランソワ・フュレ,furansowa・fyure
alexis bouvard,アレクシス・ブヴァール,arekushisu・buvāru
andré maginot,アンドレ・マジノ,andore・majino
diane de poitiers,ディアーヌ・ド・ポワチエ,diānu・do・powachie
yaacov agam,ヤコブ・アガム,yakobu・agamu
coco chanel,ココ・シャネル,koko・shaneru
jacques maritain,ジャック・マリタン,jakku・maritan
sébastien grosjean,セバスチャン・グロジャン,sebasuchan・gurojan
eugène scribe,ウジェーヌ・スクリーブ,ujēnu・sukurību
pascal chimbonda,パスカル・シンボンダ,pasukaru・shinbonda
alexandre koyré,アレクサンドル・コイレ,arekusandoru・koire
anne brochet,アンヌ・ブロシェ,annu・buroshe
marion clignet,マリオン・クリニェ,marion・kuriniェ
leslie caron,レスリー・キャロン,resurī・kyaron
ève curie,エーヴ・キュリー,ēvu・kyurī
clémence de hongrie,クレマンス・ド・オングリー,kuremansu・do・ongurī
isabelle caro,イザベル・カロ,izaberu・karo
lili boulanger,リリ・ブーランジェ,riri・būranje
pauline bonaparte,ポーリーヌ・ボナパルト,pōrīnu・bonaparuto
iannis xenakis,ヤニス・クセナキス,yanisu・kusenakisu
jacques dupont,ジャック・デュポン,jakku・dyupon
nina berberova,ニーナ・ベルベーロヴァ,nīna・berubērova
gad elmaleh,ガッド・エルマレ,gaddo・erumare
jérémie aliadière,ジェレミー・アリアディエール,jeremī・ariadiēru
jacques thibaud,ジャック・ティボー,jakku・tibō
charles fabry,シャルル・ファブリ,sharuru・faburi
stephanie szostak,ステファニー・ショスタク,sutefanī・shosutaku
caroline bonaparte,カロリーヌ・ボナパルト,karorīnu・bonaparuto
max linder,マックス・ランデー,makkusu・randē
charlotte gainsbourg,シャルロット・ゲンズブール,sharurotto・genzubūru
henri dutilleux,アンリ・デュティユー,anri・dyutiyū
patrick vieira,パトリック・ヴィエラ,patorikku・viera
edgar degas,エドガー・ドガ,edogā・doga
ivan bounine,イヴァン・ブーニン,ivan・būnin
micheline bernardini,ミシュリーヌ・ベルナルディーニ,mishurīnu・berunarudīni
georges charpak,ジョルジュ・シャルパク,joruju・sharupaku
albert fert,アルベール・フェール,arubēru・fēru
adriana karembeu,アドリアナ・カランブー,adoriana・karanbū
ambroise paré,アンブロワーズ・パレ,anburowāzu・pare
alexandre benois,アレクサンドル・ベノワ,arekusandoru・benowa
louis renault,ルイ・ルノー,rui・runō
michèle mercier,ミシェル・メルシェ,misheru・merushe
edme mariotte,エドム・マリオット,edomu・mariotto
romain rolland,ロマン・ロラン,roman・roran
jean le rond d'alembert,ジャン・ル・ロン・ダランベール,jan・ru・ron・daranbēru
kanga akalé,カンガ・アカレ,kanga・akare
marguerite duras,マルグリット・デュラス,maruguritto・dyurasu
michel fourniret,ミシェル・フルニレ,misheru・furunire
édith cresson,エディット・クレッソン,editto・kuresson
jacques delors,ジャック・ドロール,jakku・dorōru
pascal lamy,パスカル・ラミー,pasukaru・ramī
bernard brunhes,ベルナール・ブリュンヌ,berunāru・buryunnu
bernard lamy,ベルナール・ラミ,berunāru・rami
joseph philippe françois deleuze,ジョゼフ・フィリップ・フランソワ・ドゥルーズ,jozefu・firippu・furansowa・durūzu
pierre françois lacenaire,ピエール・フランソワ・ラスネール,piēru・furansowa・rasunēru
souphanouvong,スパーヌウォン,supānuwon
léo ferré,レオ・フェレ,reo・fere
georges braque,ジョルジュ・ブラック,joruju・burakku
léa seydoux,レア・セドゥ,rea・sedu
anne de foix,アンヌ・ド・フォワ,annu・do・fowa
constance d'arles,コンスタンス・ダルル,konsutansu・daruru
maurice andré,モーリス・アンドレ,mōrisu・andore
marieantoinette d'autriche,マリー・アントワネット,marī・antowanetto
jean arp,ジャン・アルプ,jan・arupu
steevy chong hue,スティーヴィ・チョン・フエ,sutīvi・chon・fue
boris kaufman,ボリス・カウフマン,borisu・kaufuman
