inna,茵娜,yīn nà
monica roșu,莫妮卡·罗舒,mò nī kǎ · luó shū
alina alexandra dumitru,阿林娜·亚历山德拉·杜米特鲁,ā lín nà · yà lì shān dé lā · dù mǐ tè lǔ
viorica susanu,维奥丽卡·苏萨努,wéi ào lì kǎ · sū sà nǔ
anamaria avram,安娜玛丽娅·艾弗拉姆,ān nà mǎ lì yà · ài fú lā mǔ
constanța burcicăpipotă,康斯坦察·布尔奇克,kāng sī tǎn chá · bù ěr qí kè
ciprian marica,奇普里安·马里卡,qí pǔ lǐ ān · mǎ lǐ kǎ
emil constantinescu,埃米尔·康斯坦丁内斯库,āi mǐ ěr · kāng sī tǎn dīng nèi sī kù
traian băsescu,特拉扬·伯塞斯库,tè lā yáng · bǎi sāi sī kù
vlad munteanu,弗拉德·蒙特亚努,fú lā dé · méng tè yà nǔ
dudu georgescu,杜杜·佐治斯古,dù dù · zuǒ zhì sī gǔ
györgy kurtág,库塔格·捷尔吉,kù tǎ gé · jié ěr jí
nicolae timofti,尼古拉·蒂莫夫蒂,ní gǔ lā · dì mò fū dì
ana maria brânză,安娜·玛丽亚·波佩斯库,ān nà · mǎ lì yà · bō pèi sī kù
ion iliescu,扬·伊利埃斯库,yáng · yī lì āi sī kù
cătălina ponor,克特利娜·波诺尔,kè tè lì nà · bō nuò ěr
nicolae rădescu,尼古拉·勒代斯库,ní gǔ lā · lè dài sī kù
gino iorgulescu,吉诺·约尔古列斯库,jí nuò · yuē ěr gǔ liè sī kù
sorin ghionea,索林·吉奥尼亚,suǒ lín · jí ào ní yà
valeria răcilă,瓦列里娅·勒奇勒,wǎ liè lǐ yà · lè qí lè
ana blandiana,安娜·布兰迪亚娜,ān nà · bù lán dí yà nà
paula ivan,葆拉·伊万,bǎo lā · yī wàn
doina melinte,多依娜·梅林特,duō yī nà · méi lín tè
iasmin latovlevici,伊斯明·拉托夫莱维奇,yī sī míng · lā tuō fū lái wéi qí
herta müller,赫塔·米勒,hè tǎ · mǐ lè
gheorghe hagi,格奥尔基·哈吉,gé ào ěr jī · hā jí
ecaterina szabó,埃卡特琳娜·绍博,āi kǎ tè lín nà · shào bó
elena gheorghe,艾莲娜·格奥尔基,ài lián nà · gé ào ěr jī
ștefan radu,斯特凡·拉杜,sī tè fán · lā dù
sergiu celibidache,塞尔吉乌·切利比达克,sāi ěr jí wū · qiè lì bǐ dá kè
andreea acatrinei,安德烈娅·阿卡特里内伊,ān dé liè yà · ā kǎ tè lǐ nèi yī
vali ionescu,瓦莉·约内斯库,wǎ lì · yuē nèi sī kù
daniela costian,达妮埃拉·科斯蒂安,dá nī āi lā · kē sī dì ān
ladislau simon,拉迪斯劳·希蒙,lā dí sī láo · xī méng
aurelia dobre,奥雷利娅·多布雷,ào léi lì yà · duō bù léi
adrian năstase,阿德里安·讷斯塔塞,ā dé lǐ ān · nè sī tǎ sāi
beatrice câșlaru,比阿特丽斯·克什拉鲁,bǐ ā tè lì sī · kè shén lā lǔ
violeta becleaszekely,维奥莱塔·塞凯伊,wéi ào lái tǎ · sāi kǎi yī
victor ponta,维克托·蓬塔,wéi kè tuō · péng tǎ
vlad filat,弗拉德·菲拉特,fú lā dé · fēi lā tè
harvey keitel,哈维·凯特尔,hā wéi · kǎi tè ěr
emil cioran,埃米尔·萧沆,āi mǐ ěr · xiāo hàng
simona amânar,西蒙娜·阿默纳尔,xī méng nà · ā mò nà ěr
daniela silivaș,达妮艾拉·西莉华丝,dá nī ài lā · xī lì huá sī
linda maria baros,琳达·马利亚·巴洛斯,lín dá · mǎ lì yà · bā luò sī
pavel badea,帕维尔·巴迪亚,pà wéi ěr · bā dí yà
gheorghe zamfir,格奥尔基·詹斐尔,gé ào ěr jī · zhān fěi ěr
gabriel tamaș,加布里埃尔·塔马斯,jiā bù lǐ āi ěr · tǎ mǎ sī
ileana silai,伊莱亚娜·西拉伊,yī lái yà nà · xī lā yī
mircea lucescu,米尔恰·卢切斯库,mǐ ěr qià · lú qiè sī kù
roman codreanu,罗曼·科德雷亚努,luó màn · kē dé léi yà nǔ
viorel moldovan,维奥雷尔·摩杜云,wéi ào léi ěr · mó dù yún
petru groza,彼得鲁·格罗查,bǐ dé lǔ · gé luó chá
corneliu zelea codreanu,科尔内留·泽莱亚·科德雷亚努,kē ěr nèi liú · zé lái yà · kē dé léi yà nǔ
ilie verdeț,伊利耶·维尔德茨,yī lì yē · wéi ěr dé cí
dinu lipatti,迪努·李帕蒂,dí nǔ · lǐ pà dì
nicolae linca,尼古拉·林卡,ní gǔ lā · lín kǎ
marian simion,马里安·西米翁,mǎ lǐ ān · xī mǐ wēng
larisa iordache,拉里莎·约尔达凯,lā lǐ shā · yuē ěr dá kǎi
oana pantelimon,瓦娜·潘泰利蒙,wǎ nà · pān tài lì méng
petre becheru,彼得·贝克鲁,bǐ dé · bèi kè lǔ
alexandru averescu,亚历山德鲁·阿维雷斯库,yà lì shān dé lǔ · ā wéi léi sī kù
titus corlățean,蒂图斯·科尔拉泰安,dì tú sī · kē ěr lā tài ān
iurie leancă,尤里·莱安克,yóu lǐ · lái ān kè
alexandra maria lara,亚历山德拉·玛丽亚·拉那,yà lì shān dé lā · mǎ lì yà · lā nà
artur phleps,阿图尔·弗利普斯,ā tú ěr · fú lì pǔ sī
adrian mutu,阿德里安·穆图,ā dé lǐ ān · mù tú
călin popescutăriceanu,克林·波佩斯库特里恰努,kè lín · bō pèi sī kù tè lǐ qià nǔ
vasile iordache,瓦西里·约尔达凯,wǎ xī lǐ · yuē ěr dá kǎi
vasile dîba,瓦西里·德巴,wǎ xī lǐ · dé bā
alexandru marghiloman,亚历山德鲁·马吉罗曼,yà lì shān dé lǔ · mǎ jí luó màn
alina astafei,阿林娜·阿斯塔费伊,ā lín nà · ā sī tǎ fèi yī
ladislau bölöni,伯勒尼·拉斯洛,bǎi lè ní · lā sī luò
radu vasile,拉杜·瓦西里,lā dù · wǎ xī lǐ
florin răducioiu,弗洛林·勒杜乔尤,fú luò lín · lè dù qiáo yóu
ion dincă,扬·丁卡,yáng · dīng kǎ
irinacamelia begu,伊琳娜卡梅利亚·贝古,yī lín nà kǎ méi lì yà · bèi gǔ
ileana cotrubaș,伊莱亚娜·柯特鲁巴斯,yī lái yà nà · kē tè lǔ bā sī
maria cioncan,玛丽亚·琼坎,mǎ lì yà · qióng kǎn
cosmin contra,科斯明·孔特拉,kē sī míng · kǒng tè lā
mihai ghimpu,米哈伊·金普,mǐ hā yī · jīn pǔ
gheorghe vrănceanu,格奥尔基·弗伦斯努,gé ào ěr jī · fú lún sī nǔ
mihaela loghin,米哈埃拉·洛金,mǐ hā āi lā · luò jīn
lucian mureșan,禄嘉·穆列尚,lù jiā · mù liè shàng
paul niculescumizil,保罗·尼古列斯库米齐尔,bǎo luó · ní gǔ liè sī kù mǐ qí ěr
cristian chivu,克里斯蒂安·基伏,kè lǐ sī dì ān · jī fú
diana mocanu,迪亚娜·莫卡努,dí yà nà · mò kǎ nǔ
maricica puică,玛丽奇卡·普伊克,mǎ lì qí kǎ · pǔ yī kè
adrian voinea,阿德里安·沃伊内亚,ā dé lǐ ān · wò yī nèi yà
camelia potec,卡梅利娅·波泰克,kǎ méi lì yà · bō tài kè
walter zenga,沃尔特·曾加,wò ěr tè · céng jiā
gheorghe gheorghiudej,格奥尔基·乔治乌德治,gé ào ěr jī · qiáo zhì wū dé zhì
zoia ceaușescu,佐娅·齐奥塞斯库,zuǒ yà · qí ào sāi sī kù
anișoara cușmirstanciu,阿尼什瓦拉·库什米尔斯坦丘,ā ní shén wǎ lā · kù shén mǐ ěr sī tǎn qiū
mihaela peneș,米哈埃拉·佩内什,mǐ hā āi lā · pèi nèi shén
petru lucinschi,彼得鲁·卢钦斯基,bǐ dé lǔ · lú qīn sī jī
adrian ilie,阿德里安·伊利耶,ā dé lǐ ān · yī lì yē
daniel niculae,达尼埃尔·尼古拉,dá ní āi ěr · ní gǔ lā
ion gheorghe maurer,扬·格奥尔基·毛雷尔,yáng · gé ào ěr jī · máo léi ěr
vasile iorga,瓦西里·约尔加,wǎ xī lǐ · yuē ěr jiā
emeric jenei,埃梅里克·热内伊,āi méi lǐ kè · rè nèi yī
victor ciorbea,维克托·乔尔贝亚,wéi kè tuō · qiáo ěr bèi yà
lia manoliu,莉娅·马诺柳,lì yà · mǎ nuò liǔ
adrian popescu,阿德里安·波佩斯库,ā dé lǐ ān · bō pèi sī kù
stefan hell,斯特凡·赫尔,sī tè fán · hè ěr
adrian ungur,阿德里安·乌格,ā dé lǐ ān · wū gé
loredana boboc,洛雷达娜·博博克,luò léi dá nà · bó bó kè
nana falemi,纳拿·拿加斯森,nà ná · ná jiā sī sēn
marius urzică,马里乌斯·乌尔济克,mǎ lǐ wū sī · wū ěr jì kè
nicolae dobrin,尼古拉·多布林,ní gǔ lā · duō bù lín
andreea isărescu,安德烈娅·伊瑟雷斯库,ān dé liè yà · yī sè léi sī kù
adrian cristea,阿德里安·克里斯蒂亚,ā dé lǐ ān · kè lǐ sī dì yà
bogdan stelea,波格丹·斯泰莱亚,bō gé dān · sī tài lái yà
petre dumitrescu,彼得·杜米特雷斯库,bǐ dé · dù mǐ tè léi sī kù
carol lambrino,卡罗尔·拉姆布林诺,kǎ luó ěr · lā mǔ bù lín nuò
doina stăiculescu,多依娜·斯特伊库列斯库,duō yī nà · sī tè yī kù liè sī kù
daniel popescu,达尼埃尔·波佩斯库,dá ní āi ěr · bō pèi sī kù
răzvan șelariu,勒兹万·谢拉留,lè zī wàn · xiè lā liú
maria olaru,玛丽亚·奥拉鲁,mǎ lì yà · ào lā lǔ
ioan silviu suciu,伊万·西尔维乌·苏丘,yī wàn · xī ěr wéi wū · sū qiū
cristian dănălache,克里斯蒂安·达纳拉赫,kè lǐ sī dì ān · dá nà lā hè
dorin goian,多林·戈伊安,duō lín · gē yī ān
marius niculae,马里乌斯·尼古拉,mǎ lǐ wū sī · ní gǔ lā
iosif czako,曹科·约瑟夫,cáo kē · yuē sè fū
vasile luca,瓦西列·卢卡,wǎ xī liè · lú kǎ
mihai pintilii,米哈伊·平蒂利,mǐ hā yī · píng dì lì
lavinia agache,拉维尼娅·阿加凯,lā wéi ní yà · ā jiā kǎi
mihaela stănuleț,米哈埃拉·斯特努莱茨,mǐ hā āi lā · sī tè nǔ lái cí
laura cutina,劳拉·库蒂纳,láo lā · kù dì nà
cristina grigoraș,克里斯蒂娜·格里戈拉什,kè lǐ sī dì nà · gé lǐ gē lā shén
nicu vlad,尼库·弗拉德,ní kù · fú lā dé
basarab panduru,巴萨拉布·潘杜鲁,bā sà lā bù · pān dù lǔ
emeric dembroschi,埃梅里克·登布罗夫斯基,āi méi lǐ kè · dēng bù luó fū sī jī
adalbert deșu,阿达尔贝特·德舒,ā dá ěr bèi tè · dé shū
dănuț lupu,德努茨·卢普,dé nǔ cí · lú pǔ
petre dumitru,彼得·杜米特鲁,bǐ dé · dù mǐ tè lǔ
gheorghe rășinaru,格奥尔基·勒希纳鲁,gé ào ěr jī · lè xī nà lǔ
dumitru moraru,杜米特鲁·莫拉鲁,dù mǐ tè lǔ · mò lā lǔ
george enescu,乔治·埃内斯库,qiáo zhì · āi nèi sī kù
hermann oberth,赫尔曼·奥伯特,hè ěr màn · ào bǎi tè
gregor von rezzori,格雷戈尔·冯·雷佐里,gé léi gē ěr · féng · léi zuǒ lǐ
mugur isărescu,穆古尔·伊瑟雷斯库,mù gǔ ěr · yī sè léi sī kù
viorica viscopoleanu,维奥丽卡·维斯科波莱亚努,wéi ào lì kǎ · wéi sī kē bō lái yà nǔ
gheorghe benția,格奥尔基·本茨亚,gé ào ěr jī · běn cí yà
dorel simion,多雷尔·西米翁,duō léi ěr · xī mǐ wēng
dan potra,达恩·波特拉,dá ēn · bō tè lā
andrei alexandrescu,安德烈·亚历山德雷斯库,ān dé liè · yà lì shān dé léi sī kù
radu jude,拉杜·裘德,lā dù · qiú dé
gheorghe tătaru,格奥尔基·特塔鲁,gé ào ěr jī · tè tǎ lǔ
cristian săpunaru,克里斯蒂安·瑟普纳鲁,kè lǐ sī dì ān · sè pǔ nà lǔ
ilie năstase,伊利耶·纳斯塔塞,yī lì yē · nà sī tǎ sāi
răzvan cociș,勒兹万·科奇什,lè zī wàn · kē qí shén
manea mănescu,马尼亚·曼内斯库,mǎ ní yà · màn nèi sī kù
george lusztig,乔治·卢斯蒂格,qiáo zhì · lú sī dì gé
radu niculescu,拉杜·尼古利斯古,lā dù · ní gǔ lì sī gǔ
ștefan rusu,斯特凡·鲁苏,sī tè fán · lǔ sū
saul steinberg,索尔·斯坦伯格,suǒ ěr · sī tǎn bǎi gé
nicolae dică,尼古拉·迪克,ní gǔ lā · dí kè
vasile stângă,瓦西里·斯滕格,wǎ xī lǐ · sī téng gé
alexandru neagu,亚历山德鲁·内亚古,yà lì shān dé lǔ · nèi yà gǔ
liviu ciobotariu,利维乌·乔博塔留,lì wéi wū · qiáo bó tǎ liú
mihai chițac,米哈伊·赤塔克,mǐ hā yī · chì tǎ kè
ion lăpușneanu,扬·勒普什内亚努,yáng · lè pǔ shén nèi yà nǔ
florin prunea,弗洛林·普鲁内亚,fú luò lín · pǔ lǔ nèi yà
marcel coraș,马切尔·科拉什,mǎ qiè ěr · kē lā shén
elemér kocsis,科奇什·埃莱梅尔,kē qí shén · āi lái méi ěr
emil săndoi,埃米尔·森多伊,āi mǐ ěr · sēn duō yī
noemi lung,诺埃米·伦格,nuò āi mǐ · lún gé
teohari georgescu,特奥哈里·乔治斯库,tè ào hā lǐ · qiáo zhì sī kù
gheorghe berceanu,格奥尔基·贝尔恰努,gé ào ěr jī · bèi ěr qià nǔ
ovidiu stîngă,奥维迪乌·斯滕格,ào wéi dí wū · sī téng gé
ștefan kovács,史提芬·高华斯,shǐ tí fēn · gāo huá sī
ștefan preda,斯特凡·普雷达,sī tè fán · pǔ léi dá
ștefan barbu,斯特凡·巴尔布,sī tè fán · bā ěr bù
ștefan dobay,斯特凡·多巴伊,sī tè fán · duō bā yī
ion draica,扬·德拉伊卡,yáng · dé lā yī kǎ
ion țiriac,伊翁·提里亚克,yī wēng · tí lǐ yà kè
andrei socaci,安德烈·索卡奇,ān dé liè · suǒ kǎ qí
laurențiu dumănoiu,劳伦丘·杜默诺尤,láo lún qiū · dù mò nuò yóu
loredana dinu,洛雷达娜·迪努,luò léi dá nà · dí nǔ
marcel glăvan,马塞尔·格勒万,mǎ sāi ěr · gé lè wàn
ioana olteanu,伊万娜·奥尔泰亚努,yī wàn nà · ào ěr tài yà nǔ
sanda toma,珊达·托马,shān dá · tuō mǎ
rodica arba,罗迪卡·阿尔巴,luó dí kǎ · ā ěr bā
veronica cochelacogeanu,韦罗妮卡·科凯拉,wéi luó nī kǎ · kē kǎi lā
dorinel munteanu,多里内尔·蒙泰亚努,duō lǐ nèi ěr · méng tài yà nǔ
elena lupescu,玛格达·卢佩斯库,mǎ gé dá · lú pèi sī kù
mircea geoană,米尔恰·杰瓦讷,mǐ ěr qià · jié wǎ nè
dumitru armășel,杜米特鲁·阿尔默谢尔,dù mǐ tè lǔ · ā ěr mò xiè ěr
gheorghe apostol,格奥尔基·阿波斯托尔,gé ào ěr jī · ā bō sī tuō ěr
dacian cioloș,达奇安·乔洛什,dá qí ān · qiáo luò shén
costel pantilimon,哥斯度·彭迪利蒙,gē sī dù · péng dí lì méng
silvia stroescu,西尔维娅·斯特罗埃斯库,xī ěr wéi yà · sī tè luó āi sī kù
florența mihai,弗洛伦察·米哈伊,fú luò lún chá · mǐ hā yī
crin antonescu,克林·安东内斯库,kè lín · ān dōng nèi sī kù
silviu lung,西尔维乌·伦格,xī ěr wéi wū · lún gé
paul codrea,保罗·科德雷亚,bǎo luó · kē dé léi yà
dorin mateuț,多林·马泰乌茨,duō lín · mǎ tài wū cí
armand călinescu,阿曼德·克利内斯库,ā màn dé · kè lì nèi sī kù
vasile andrei,瓦西里·安德烈,wǎ xī lǐ · ān dé liè
srgian luchin,斯德扬·卢钦,sī dé yáng · lú qīn
leonard doroftei,莱昂纳德·多罗夫泰伊,lái áng nà dé · duō luó fū tài yī
lucian marinescu,卢奇安·马里内斯库,lú qí ān · mǎ lǐ nèi sī kù
ion monea,扬·莫内亚,yáng · mò nèi yà
ion panțuru,扬·潘楚鲁,yáng · pān chǔ lǔ
valerică găman,瓦列里克·格曼,wǎ liè lǐ kè · gé màn
petre dicu,彼得·迪库,bǐ dé · dí kù
raul rusescu,劳尔·鲁塞斯库,láo ěr · lǔ sāi sī kù
victor dolipschi,维克托·多利普斯基,wéi kè tuō · duō lì pǔ sī jī
romulus gabor,罗穆卢斯·加博尔,luó mù lú sī · jiā bó ěr
alexandru chipciu,亚历山德鲁·奇普丘,yà lì shān dé lǔ · qí pǔ qiū
ion hobana,扬·霍巴纳,yáng · huò bā nà
cătălin fercu,卡他林·费库,kǎ tā lín · fèi kù
camelia macoviciuc,卡梅利娅·马科维丘克,kǎ méi lì yà · mǎ kē wéi qiū kè
marius bilașco,马里乌斯·比拉什科,mǎ lǐ wū sī · bǐ lā shén kē
nicolae neagoe,尼古拉·内亚戈耶,ní gǔ lā · nèi yà gē yē
corneliu robe,科尔内留·罗贝,kē ěr nèi liú · luó bèi
mircea irimescu,米尔恰·伊里梅斯库,mǐ ěr qià · yī lǐ méi sī kù
erik lincar,埃里克·林卡尔,āi lǐ kè · lín kǎ ěr
vasile milea,瓦西里·米列亚,wǎ xī lǐ · mǐ liè yà
gheorghe ciolac,格奥尔基·乔拉克,gé ào ěr jī · qiáo lā kè
ștefan andrei,斯特凡·安德烈,sī tè fán · ān dé liè
mircea cărtărescu,米尔恰·克尔特雷斯库,mǐ ěr qià · kè ěr tè léi sī kù
emilia eberle,埃米莉娅·埃贝莱,āi mǐ lì yà · āi bèi lái
melita rühn,梅丽塔·吕恩,méi lì tǎ · lǚ ēn
florența crăciunescu,弗洛伦察·克勒丘内斯库,fú luò lún chá · kè lè qiū nèi sī kù
simona păucă,西蒙娜·珀乌克,xī méng nà · pò wū kè
virgil trofin,维尔吉尔·特罗芬,wéi ěr jí ěr · tè luó fēn
fița lovin,菲察·洛温,fēi chá · luò wēn
elizabeta samara,伊丽莎白·萨马拉,yī lì shā bái · sà mǎ lā
iulian vlad,尤利安·弗拉德,yóu lì ān · fú lā dé
ghiță licu,吉策·利库,jí cè · lì kù
anca grigoraș,安卡·格里戈拉什,ān kǎ · gé lǐ gē lā shén
dumitrița turner,杜米特里察·图尔纳,dù mǐ tè lǐ chá · tú ěr nà
teodora ungureanu,特奥多拉·温古雷亚努,tè ào duō lā · wēn gǔ léi yà nǔ
mariana constantin,玛丽安娜·康斯坦丁,mǎ lì ān nà · kāng sī tǎn dīng
gabriela trușcă,加布里埃拉·特鲁什克,jiā bù lǐ āi lā · tè lǔ shén kè
francisc horvath,弗朗奇斯克·霍瓦特,fú lǎng qí sī kè · huò wǎ tè
dumitru prunariu,杜米特鲁·普鲁纳留,dù mǐ tè lǔ · pǔ lǔ nà liú
liliana gafencu,利利亚娜·加芬库,lì lì yà nà · jiā fēn kù
maria golopențaalexandru,玛丽亚·亚历山德鲁,mǎ lì yà · yà lì shān dé lǔ
nicolae militaru,尼古拉·米利塔鲁,ní gǔ lā · mǐ lì tǎ lǔ
dragoș grigore,德拉戈什·格里戈雷,dé lā gē shén · gé lǐ gē léi
dan irimiciuc,达恩·伊里米丘克,dá ēn · yī lǐ mǐ qiū kè
nicolao dumitru,尼克劳·杜米特鲁,ní kè láo · dù mǐ tè lǔ
cornel penu,科尔内尔·佩努,kē ěr nèi ěr · pèi nǔ
mirela țugurlan,米蕾拉·楚古尔兰,mǐ lěi lā · chǔ gǔ ěr lán
gina gogean,吉娜·戈吉安,jí nà · gē jí ān
dan burincă,达恩·布林克,dá ēn · bù lín kè
alexandra marinescu,亚历山德拉·马里内斯库,yà lì shān dé lā · mǎ lǐ nèi sī kù
ionela loaieș,约内拉·洛阿耶什,yuē nèi lā · luò ā yē shén
nicolae ungureanu,尼古拉·温古雷亚努,ní gǔ lā · wēn gǔ léi yà nǔ
radu voina,拉杜·沃伊纳,lā dù · wò yī nà
vasile chiroiu,瓦西里·基罗尤,wǎ xī lǐ · jī luó yóu
mihai ivăncescu,米哈伊·伊文切斯库,mǐ hā yī · yī wén qiè sī kù
stere adamache,斯泰雷·阿达马凯,sī tài léi · ā dá mǎ kǎi
mihai mocanu,米哈伊·莫卡努,mǐ hā yī · mò kǎ nǔ
iosif rotariu,约瑟夫·罗塔留,yuē sè fū · luó tǎ liú
nae ionescu,纳耶·约内斯库,nà yē · yuē nèi sī kù
leon rotman,列昂·罗特曼,liè áng · luó tè màn
gheorghe gruia,格奥尔基·格鲁亚,gé ào ěr jī · gé lǔ yà
alexandru bourceanu,亚历山德鲁·鲍尔切鲁,yà lì shān dé lǔ · bào ěr qiè lǔ
rică răducanu,勒杜卡努·尼古拉,lè dù kǎ nǔ · ní gǔ lā
mărioara popescu,马里瓦拉·波佩斯库,mǎ lǐ wǎ lā · bō pèi sī kù
cristieana cojocaru,克里斯蒂亚娜·科若卡鲁,kè lǐ sī dì yà nà · kē ruò kǎ lǔ
valeria bufanu,瓦莱里娅·什特凡内斯库,wǎ lái lǐ yà · shén tè fán nèi sī kù
claudia presăcan,克劳迪娅·普雷瑟坎,kè láo dí yà · pǔ léi sè kǎn
henri rang,亨利·兰格,hēng lì · lán gé
angela alupei,安杰拉·阿卢佩伊,ān jié lā · ā lú pèi yī
david wechsler,大卫·韦克斯勒,dà wèi · wéi kè sī lè
andrei prepeliță,安德烈·普雷佩利策,ān dé liè · pǔ léi pèi lì cè
roland gunnesch,罗兰·古奈什,luó lán · gǔ nài shén
rodica dunca,罗迪卡·敦卡,luó dí kǎ · dūn kǎ
ioana badea,伊万娜·巴代亚,yī wàn nà · bā dài yà
dragomir cioroslan,德拉戈米尔·乔罗斯兰,dé lā gē mǐ ěr · qiáo luó sī lán
andrei igorov,安德烈·伊戈罗夫,ān dé liè · yī gē luó fū
călin peter netzer,卡林·皮特·内策尔,kǎ lín · pí tè · nèi cè ěr
petre capusta,彼得·卡普斯塔,bǐ dé · kǎ pǔ sī tǎ
bănel nicoliță,伯内尔·尼科利策,bǎi nèi ěr · ní kē lì cè
mirel rădoi,米雷尔·拉多伊,mǐ léi ěr · lā duō yī
sebastian stan,赛巴斯汀·斯坦,sài bā sī tīng · sī tǎn
gabriel torje,加布里埃尔·托尔热,jiā bù lǐ āi ěr · tuō ěr rè
florea dumitrache,弗洛雷亚·杜米特拉凯,fú luò léi yà · dù mǐ tè lā kǎi
flavius domide,弗拉维乌斯·多米德,fú lā wéi wū sī · duō mǐ dé
ion cernea,扬·切尔内亚,yáng · qiè ěr nèi yà
georgeta gabor,杰奥尔杰塔·加博尔,jié ào ěr jié tǎ · jiā bó ěr
florin gardoș,弗洛林·加多斯,fú luò lín · jiā duō sī
florin vlaicu,弗罗林·弗拉伊库,fú luó lín · fú lā yī kù
florin mergea,弗洛林·梅尔贾,fú luò lín · méi ěr jiǎ
