leandro damião,레안드루 다미앙,reandeuru damiang
isabeli fontana,이자벨리 폰타나,ijabelri pontana
juscelino kubitschek,주셀리누 쿠비체크,juselrinu kubicekeu
júlia lemmertz,줄리아 레멘츠,julria remenceu
felipe massa,펠리피 마사,pelripi masa
dida,지다,jida
rafael pereira da silva,하파에우 페헤이라 다 시우바,hapaeu peheira da siuba
nílton santos,니우통 산투스,niutong santuseu
gilberto silva,지우베르투 시우바,jiubereutu siuba
gustavo kuerten,구스타부 키르텡,guseutabu kireuteng
fumagalli,푸마갈리,pumagalri
joão goulart,주앙 굴라르,juang gulrareu
luiz inácio lula da silva,루이스 이나시우 룰라 다 시우바,ruiseu inasiu rulra da siuba
benny feilhaber,베니 페일하버,beni peilhabeo
getúlio vargas,제툴리우 바르가스,jetulriu bareugaseu
aílton gonçalves da silva,아이우통 곤사우베스 다 시우바,aiutong gonsaubeseu da siuba
grafite,그라피치,geurapici
carlos alberto parreira,카를루스 아우베르투 파헤이라,kareulruseu aubereutu paheira
josé carlos ferreira filho,조제 카를루스 페헤이라 필류,joje kareulruseu peheira pilryu
thiago motta,티아고 모타,tiago mota
jairzinho,자이르지뉴,jaireujinyu
tite,치치,cici
dilma rousseff,지우마 호세프,jiuma hosepeu
paulo freire,파울루 프레이리,paulru peureiri
joão gilberto,주앙 지우베르투,juang jiubereutu
giovane élber,지오바니 에우베르,jiobani eubereu
jorginho putinatti,조르지뉴 푸틴나티,joreujinyu putinnati
gil,지우,jiu
jorge ben jor,조르지 벵 조르,joreuji beng joreu
joão figueiredo,주앙 피게이레두,juang pigeiredu
luís fabiano,루이스 파비아누,ruiseu pabianu
carlos alberto dias,카를로스 알베르토 지아스,kareulroseu albereuto jiaseu
euller,이울레르,iulrereu
dunga,둥가,dungga
robert da silva almeida,호베르트 다 시우바 아우메이다,hobereuteu da siuba aumeida
vilém flusser,빌렘 플루세르,bilrem peulrusereu
denílson pereira neves,데니우송 페레이라 네베스,deniusong pereira nebeseu
ronald golias,로널드 골리앗,roneoldeu golrias
sandro cardoso dos santos,산드루 카르도주 두스 산투스,sandeuru kareudoju duseu santuseu
thiago silva,치아구 시우바,ciagu siuba
adriano correia,아드리아누 코헤이아,adeurianu koheia
eder citadin martins,에데르 시타징 마르칭스,edereu sitajing mareucingseu
sammir,사미르,samireu
zeca pagodinho,제카 파고딩요,jeka pagodingyo
marcos senna,마르코스 세나,mareukoseu sena
david luiz,다비드 루이스,dabideu ruiseu
rubens barrichello,후벵스 바히셸루,hubengseu bahisyelru
liedson,리에드송,riedeusong
fabio pereira da silva,파비우 페헤이라 다 시우바,pabiu peheira da siuba
djalminha,자우밍야,jaumingya
zico,지쿠,jiku
edu marangon,에두 마랑공,edu maranggong
dante amaral,단치 아마라우,danci amarau
paulo silas,파울루 실라스,paulru silraseu
carmen miranda,카르멩 미란다,kareumeng miranda
alex rodrigo dias da costa,알레스 호드리구 지아스 다 코스타,alreseu hodeurigu jiaseu da koseuta
oséas,오세아스,oseaseu
marcel augusto ortolan,마르세우 아우구스투 오르톨랑,mareuseu auguseutu oreutolrang
tartá,타르타,tareuta
fábio aurélio,파비우 아우렐리우,pabiu aurelriu
andré moritz,안드레 모리츠,andeure moriceu
antônio benedito da silva,안토니오 베네디토 다 실바,antonio benedito da silba
lucas piazón,루카스 피아종,rukaseu piajong
vera fischer,베라 피셔,bera pisyeo
eduardo francisco da silva neto,에두아르두 프란시스쿠 지 시우바 네투,eduareudu peuransiseuku ji siuba netu
almir de souza fraga,아우미르 지 소우자 프라가,aumireu ji souja peuraga
daniel alves,다니 아우베스,dani aubeseu
zé roberto,제 호베르투,je hobereutu
cacau,카카우,kakau
adhemar ferreira da silva,아데마르 페헤이라 다 시우바,ademareu peheira da siuba
marcos rocha,마르쿠스 호샤,mareukuseu hosya
elkeson,이우케종,iukejong
robinho,호비뉴,hobinyu
leandro barbosa,레안드루 바르보자,reandeuru bareuboja
astrud gilberto,아스트루드 지우베르투,aseuteurudeu jiubereutu
ivete sangalo,이베치 상갈루,ibeci sanggalru
emerson sheik,이메르송 세이크,imereusong seikeu
roberto rivellino,호베르투 히벨리누,hobereutu hibelrinu
lucas leiva,루카스 레이바,rukaseu reiba
maurren maggi,마우렌 마지,mauren maji
alice braga,앨리스 브라가,aelriseu beuraga
morena baccarin,모레나 바카링,morena bakaring
lateef crowder,라티프 크로더,ratipeu keurodeo
cicinho,시시뉴,sisinyu
gilberto gil,지우베르투 지우,jiubereutu jiu
jordana brewster,조대나 브루스터,jodaena beuruseuteo
ana paula arósio,아나 파울라 아로지우,ana paulra arojiu
izabel goulart,이자베우 굴라르,ijabeu gulrareu
alex sandro,알레스 산드루,alreseu sandeuru
chico mendes,시쿠 멩지스,siku mengjiseu
sarah menezes,사라 메네지스,sara menejiseu
sebastião lazaroni,세바스치앙 라자로니,sebaseuciang rajaroni
amauri carvalho de oliveira,아마우리 카르발류 지 올리베이라,amauri kareubalryu ji olribeira
maicon douglas sisenando,마이콩 도글라스 시제난두,maikong dogeulraseu sijenandu
romário,호마리우,homariu
gal costa,가우 코스타,gau koseuta
cafu,카푸,kapu
caroline trentini,카롤리니 트렌치니,karolrini teurencini
rômulo borges monteiro,호물루 보르지스 몬테이루,homulru boreujiseu monteiru
artur moraes,아르투르 모라이스,areutureu moraiseu
bismarck barreto faria,비스마르크 바레투 파리아,biseumareukeu baretu paria
eduardo da silva,에두아르두 다 시우바,eduareudu da siuba
garrincha,가린샤,garinsya
marina silva,마리나 시우바,marina siuba
sônia braga,소냐 브라가,sonya beuraga
floriano peixoto,플로리아누 페이쇼투,peulrorianu peisyotu
ana beatriz barros,아나 베아트리스 바후스,ana beateuriseu bahuseu
danilo gabriel de andrade,다닐루 가브리에우 지 안드라지,danilru gabeurieu ji andeuraji
oswaldo cruz,오즈와우두 크루스,ojeuwaudu keuruseu
toquinho,토키뉴,tokinyu
francisco lachowski,프란시스쿠 라쇼우스키,peuransiseuku rasyouseuki
joubert araújo martins,조베르트 아라우주 마르칭스,jobereuteu arauju mareucingseu
márcio rodrigues,마르시우 로드리게스,mareusiu rodeurigeseu
jennifer o'neill,제니퍼 오닐,jenipeo onil
cristiane rozeira,크리스치아니 호제이라,keuriseuciani hojeira
josé sarney,조제 사르네이,joje sareunei
raquel zimmermann,하케우 지메르망,hakeu jimereumang
rodrigo tabata,호드리구 다바타,hodeurigu dabata
edu dracena,에두 드라세나,edu deurasena
maicon pereira roque,마이콩 페헤이라 호케,maikong peheira hoke
hermeto pascoal,에르메투 파스코아우,ereumetu paseukoau
arthur zanetti,아르투르 자네치,areutureu janeci
zé sérgio,제 세르지우,je sereujiu
alfie enoch,앨프리드 이넉,aelpeurideu ineog
roniéliton pereira santos,호니엘리통 두스 산투스,honielritong duseu santuseu
victor leandro bagy,빅투르 레안드루 바기,bigtureu reandeuru bagi
sérgio buarque de holanda,세르지우 부아르케 데 올란다,sereujiu buareuke de olranda
júnior negrão,주니오르 네그랑,junioreu negeurang
ânderson miguel da silva,안데르송 미게우 다 시우바,andereusong migeu da siuba
ânderson polga,안데르송 포우가,andereusong pouga
fabrício werdum,파브리시우 베르둥,pabeurisiu bereudung
arthur moreira lima,아르투르 모레이라 리마,areutureu moreira rima
thiago ribeiro,치아구 히베이루,ciagu hibeiru
ana hickmann,아나 이크망,ana ikeumang
renato pé murcho,카를루스 헤나투 프레데리쿠,kareulruseu henatu peurederiku
gylmar dos santos neves,지우마르 두스 산투스 네베스,jiumareu duseu santuseu nebeseu
bebel gilberto,베베우 지우베르투,bebeu jiubereutu
eliane elias,일리아니 일리아스,ilriani ilriaseu
guy ecker,가이 에커,gai ekeo
edgar bruno da silva,이드가르 브루누 다 시우바,ideugareu beurunu da siuba
iara lee,이아라 리,iara ri
celso amorim,세우수 아모링,seusu amoring
hugo hoyama,우구 호야마,ugu hoyama
argel fuchs,아르제우 푸크스,areujeu pukeuseu
guilherme dos santos torres,길례르미 두스 산투스 토히스,gilryereumi duseu santuseu tohiseu
roberto firmino,호베르투 피르미누,hobereutu pireuminu
kiko loureiro,키코 루레이로,kiko rureiro
zé carioca,조제 카리오카,joje karioka
edvaldo alves de santa rosa,이드바우두 아우베스 지 산타 호자,ideubaudu aubeseu ji santa hoja
pedro geromel,페드루 제루메우,pedeuru jerumeu
cristiane justino,크리스치아니 주스티누,keuriseuciani juseutinu
milene domingues,밀레니 도밍게스,milreni dominggeseu
joão carlos pinto chaves,주앙 카를루스 핀투 샤베스,juang kareulruseu pintu syabeseu
maria olívia da silva,마리아 올리비아 다 시우바,maria olribia da siuba
tuta,투타,tuta
muriqui,무리키,muriki
fernanda garay,페르난다 가라이,pereunanda garai
lina bo bardi,리나 보 바르디,rina bo bareudi
fábio santos romeu,파비우 산투스 호메우,pabiu santuseu homeu
tancredo neves,탕크레두 네베스,tangkeuredu nebeseu
tandara caixeta,탄다라 카이셰타,tandara kaisyeta
antônio da silva,안토니우 다 시우바,antoniu da siuba
ana carolina,아나 카롤리나,ana karolrina
caio canedo correa,카이우 카네두 코헤아,kaiu kanedu kohea
antonio candido,안토니우 칸지두,antoniu kanjidu
autran dourado,아우트랑 도라두,auteurang doradu
rafael suzuki,하파에우 스즈키,hapaeu seujeuki
glaube feitosa,글라우베 페이토자,geulraube peitoja
emerson leão,이메르송 레앙,imereusong reang
xuxa,슈샤,syusya
ricardo rogério de brito,히카르두 호제리우 지 브리투,hikareudu hojeriu ji beuritu
gilberto ribeiro gonçalves,지우베르투 히베이루 곤사우베스,jiubereutu hibeiru gonsaubeseu
casemiro,카제미루,kajemiru
deborah secco,데보라 세코,debora seko
rafael cabral,하파에우 카브라우,hapaeu kabeurau
sérgio echigo,세르지우 에치고,sereujiu ecigo
joão ubaldo ribeiro,주앙 우바우두 히베이루,juang ubaudu hibeiru
betty faria,베치 파리아,beci paria
bento gonçalves da silva,벤투 곤사우베스 다 시우바,bentu gonsaubeseu da siuba
carla camurati,카를라 카무라치,kareulra kamuraci
letícia birkheuer,레치시아 비르케우에르,recisia bireukeuereu
rachel de queiroz,하셰우 지 케이로스,hasyeu ji keiroseu
rômulo marques macedo,호물루 마르케스 마세두,homulru mareukeseu masedu
luís carlos fernandes,루이스 카를루스 페르난지스,ruiseu kareulruseu pereunanjiseu
laurindo almeida,로린도 알메이다,rorindo almeida
jucilei,주실레이,jusilrei
joão cabral de melo neto,주앙 카브라우 지 멜루 네투,juang kabeurau ji melru netu
ziad fazah,지아드 파자,jiadeu paja
oswaldo de oliveira,오즈와우두 지 올리베이라,ojeuwaudu ji olribeira
giselle itié,지젤 이티에,jijel itie
marjorie estiano,마르조리 이스치아누,mareujori iseucianu
wagner lopes,로페스 와그너,ropeseu wageuneo
daniel filho,다니에우 필류,danieu pilryu
rafaela silva,하파엘라 시우바,hapaelra siuba
mariana ximenes,마리아나 시메니스,mariana simeniseu
lucélia santos,루셀리아 산투스,ruselria santuseu
giovanna antonelli,지오바나 안토넬리,jiobana antonelri
marcos paulo alves,마르쿠스 파울루 아우베스,mareukuseu paulru aubeseu
maicosuel,마이코주에우,maikojueu
josé ricardo dos santos oliveira,조제 히카르두 두스 산투스 올리베이라,joje hikareudu duseu santuseu olribeira
marcelo gleiser,마르셀루 글레이제르,mareuselru geulreijereu
ernesto geisel,에르네스투 가이제우,ereuneseutu gaijeu
carlos alberto torres,카를루스 아우베르투 토히스,kareulruseu aubereutu tohiseu
rodrigo santoro,호드리구 산토루,hodeurigu santoru
jardel nivaldo vieira,자르데우 니바우두 비에이라,jareudeu nibaudu bieira
perla haneyjardine,펄라 헤이니자딘,peolra heinijadin
lucas severino,루카스 세베리누,rukaseu seberinu
andre matos,앙드레 마토스,angdeure matoseu
lisa ono,오노 리사,ono risa
plínio salgado,플리누 사우가두,peulrinu saugadu
vágner love,바그네르 로비,bageunereu robi
cláudio taffarel,클라우지우 타파레우,keulraujiu tapareu
deco,데쿠,deku
evandro goebel,에반드루 괴벨,ebandeuru goebel
regina duarte,헤지나 두아르치,hejina duareuci
vital brazil,비타우 브라지우,bitau beurajiu
aldair,아우다이르,audaireu
roger guerreiro,호제르 게헤이루,hojereu geheiru
rodrigo taddei,호드리구 타데이,hodeurigu tadei
diego maurício,지에구 마우리시우,jiegu maurisiu
rogério ceni,호제리우 세니,hojeriu seni
daishiro yoshimura,요시무라 다이시로,yosimura daisiro
djalma santos,자우마 산투스,jauma santuseu
cristiano marques gomes,크리스티아누 마르케스 고메스,keuriseutianu mareukeseu gomeseu
taison,타이송,taisong
fábio deivson lopes maciel,파비우 데이비송 로페스 마시에우,pabiu deibisong ropeseu masieu
fernando lucas martins,페르난두 루카스 마르칭스,pereunandu rukaseu mareucingseu
émerson carvalho da silva,이메르송 카르발류 다 시우바,imereusong kareubalryu da siuba
florinda bolkan,플로린다 보우캉,peulrorinda boukang
jânio quadros,자니우 쿠아드루스,janiu kuadeuruseu
leonardo bittencourt,레오나르도 비텡코우르트,reonareudo bitengkoureuteu
andré santos,안드레 산투스,andeure santuseu
edu manga,에두 망가,edu mangga
michel bastos,미셰우 바스투스,misyeu baseutuseu
marcus túlio tanaka,다나카 마르쿠스 툴리오,danaka mareukuseu tulrio
david bohm,데이비드 봄,deibideu bom
machado de assis,마샤두 지 아시스,masyadu ji asiseu
luiz carlos vasconcelos,루이즈 카를로스 바스콘셀로스,ruijeu kareulroseu baseukonselroseu
gilberto da silva melo,지우베르투 다 시우바 멜루,jiubereutu da siuba melru
tostão,토스탕,toseutang
fabiano santacroce,파비아노 산타크로체,pabiano santakeuroce
paulo rink,파울루 힝크,paulru hingkeu
derlei,데를레이,dereulrei
letícia sabatella,레치시아 사바텔라,recisia sabatelra
giuseppe ungaretti,주세페 운가레티,jusepe ungareti
philippe coutinho,필리피 코치뉴,pilripi kocinyu
leônidas da silva,레오니다스 다 시우바,reonidaseu da siuba
wanderson de paula sabino,완데르송 지 파울라 사비누,wandereusong ji paulra sabinu
odilo scherer,오질루 셰레르,ojilru syerereu
robson conceição,호브송 콘세이상,hobeusong konseisang
eduardo saverin,에드와도 새버린,edeuwado saebeorin
carlos marighella,카를루스 마리겔라,kareulruseu marigelra
sérgio cláudio dos santos,세르지우 클라우지우 두스 산투스,sereujiu keulraujiu duseu santuseu
sylvinho,시우비뉴,siubinyu
paulo roberto falcão,파울루 호베르투 파우캉,paulru hobereutu paukang
mineiro,미네이루,mineiru
frederico chaves guedes,프레데리쿠 샤베스 게지스,peurederiku syabeseu gejiseu
lucas moura,루카스 모우라,rukaseu moura
diego alves,지에구 아우베스,jiegu aubeseu
raí,하이,hai
frança,프란사,peuransa
bruno césar,브루누 세자르,beurunu sejareu
morris albert,모히스 알베르트,mohiseu albereuteu
rômulo souza orestes caldeira,로물로 소자 오레스테스 칼데이라,romulro soja oreseuteseu kaldeira
allan marques loureiro,알랑 마르케스 로레이루,alrang mareukeseu roreiru
naldo,나우두,naudu
santos dumont,알베르토 산토스뒤몽,albereuto santoseudwimong
henrique adriano buss,엔히크 아드리아누 부스,enhikeu adeurianu buseu
hernanes,에르나니스,ereunaniseu
paulo henrique ganso,파울루 엔히키 간수,paulru enhiki gansu
andrés d'alessandro,안드레스 달레산드로,andeureseu dalresandeuro
artur avila,아르투르 아빌라,areutureu abilra
josé oscar bernardi,조제 오스카르 베르나르지,joje oseukareu bereunareuji
josé padilha,조제 파질랴,joje pajilrya
waldo machado,와우두 마샤두,waudu masyadu
jô,조,jo
keirrison,케이히송,keihisong
marcelo zarvos,마르셀루 자르부스,mareuselru jareubuseu
marcos aurélio de oliveira lima,마르쿠스 아우렐리우 지 올리베이라 리마,mareukuseu aurelriu ji olribeira rima
eduardo pereira rodrigues,에두아르두 페헤이라 호드리게스,eduareudu peheira hodeurigeseu
bruno cortês,브루누 코르테스,beurunu koreuteseu
eva wilma,에바 비우마,eba biuma
stênio garcia,스테니오 가르시아,seutenio gareusia
edu gaspar,에두 가스파르,edu gaseupareu
ricardo oliveira,히카르두 올리베이라,hikareudu olribeira
roque júnior,호케 주니오르,hoke junioreu
césar sampaio,세자르 삼파이우,sejareu sampaiu
carlos alberto carvalho dos anjos junior,카를루스 아우베르투 카르발류 두스 안주스 주니오르,kareulruseu aubereutu kareubalryu duseu anjuseu junioreu
aracy balabanian,아라시 발라바냔,arasi balrabanyan
vampeta,밤페타,bampeta
kelly key,켈리 케이,kelri kei
nenê,네네,nene
juninho paulista,주니뉴 파울리스타,juninyu paulriseuta
luís oliveira,루이스 올리베이라,ruiseu olribeira
ferreira gullar,페헤이라 굴라르,peheira gulrareu
paulo sérgio oliveira da silva,파울루 세르지우 올리베이라 다 시우바,paulru sereujiu olribeira da siuba
marcelo antônio guedes filho,마르셀로 안토니오 궤데스 필로,mareuselro antonio gwedeseu pilro
walter afanasieff,월터 아파나시에프,weolteo apanasiepeu
rafael alencar,하파에우 알렝카르,hapaeu alrengkareu
cláudia abreu,클라우지아 아브레우,keulraujia abeureu
júnior moraes,주니오르 모라이스,junioreu moraiseu
george kobayashi,고바야시 조지,gobayasi joji
lucas saatkamp,루카스 사트캄프,rukaseu sateukampeu
tita,치타,cita
antônio silva,안토니우 시우바,antoniu siuba
rafael silva,하파에우 시우바,hapaeu siuba
douglas pereira dos santos,도글라스 페레이라 두스 산투스,dogeulraseu pereira duseu santuseu
toninho guerreiro,토니뉴 게헤이루,toninyu geheiru
jonas gonçalves oliveira,조나스 곤사우베스 올리베이라,jonaseu gonsaubeseu olribeira
léo baptistão,레오 밥티스탕,reo babtiseutang
nelsinho baptista,네우시뉴 바프치스타,neusinyu bapeuciseuta
dorival caymmi,도리바우 카이미,doribau kaimi
eduardo antunes coimbra,에두아르두 안투니스 코임브라,eduareudu antuniseu koimbeura
eduardo kac,에두아르도 칵,eduareudo kag
chico buarque,치코 부아르케,ciko buareuke
vinicius de moraes,비니시우스 지 모라이스,binisiuseu ji moraiseu
sérgio vieira de mello,세르지우 비에이라 지 멜루,sereujiu bieira ji melru
edgard leuenroth,에드가르드 레우엔로스,edeugareudeu reuenroseu
olavo de carvalho,올라부 지 카르발류,olrabu ji kareubalryu
josé alencar,조제 알렝카르,joje alrengkareu
flávio conceição,플라비우 콘세이상,peulrabiu konseisang
filipe luís,필리피 루이스,pilripi ruiseu
gilmar rinaldi,지우마르 호나우디,jiumareu honaudi
egberto gismonti,이그베르투 지즈몬티,igeubereutu jijeumonti
otto bumbel,오투 붐베우,otu bumbeu
daniella cicarelli,다니엘라 시카렐리,danielra sikarelri
fernanda montenegro,페르난다 몬테네그루,pereunanda montenegeuru
felipe mattioni,펠리피 마치오니,pelripi macioni
rivaldo barbosa de souza,히바우두 바르보자 지 소자,hibaudu bareuboja ji soja
sérgio mendes,세르지우 멘지스,sereujiu menjiseu
mauro silva,마우루 시우바,mauru siuba
marcos roberto silveira reis,마르쿠스 호베르투 시우베이라 헤이스,mareukuseu hobereutu siubeira heiseu
fernando meirelles,페르난두 메이렐리스,pereunandu meirelriseu
careca,카레카,kareka
ruy guerra,루이 구에라,rui guera
rogério sampaio,호제리우 삼파이우,hojeriu sampaiu
ciro gomes,시루 고메스,siru gomeseu
paulo amaral,파울루 아마라우,paulru amarau
regiane alves,헤지아네 아우베스,hejiane aubeseu
martial gueroult,마르샬 게루,mareusyal geru
tiago splitter,치아구 스플리테르,ciagu seupeulritereu
adaílton martins bolzan,아다이우통 마르칭스 보우장,adaiutong mareucingseu boujang
augusto cury,아우구스투 쿠리,auguseutu kuri
wellington nem,웰링통 넹,welringtong neng
anderson silva,안데르송 시우바,andereusong siuba
carlos ghosn,카를로스 곤,kareulroseu gon
luan santana,루앙 산타나,ruang santana
renato augusto,헤나투 아우구스투,henatu auguseutu
fernando prass,페르난두 프라스,pereunandu peuraseu
athos schwantes,아투스 슈완치스,atuseu syuwanciseu
guilherme toldo,길례르미 토우두,gilryereumi toudu
gabriel bá,가브리에우 바,gabeurieu ba
leticia spiller,레치시아 스필레르,recisia seupilrereu
maria fernanda cândido,마리아 페르난다 칸지두,maria pereunanda kanjidu
cássia kis,카시아 키스,kasia kiseu
jadson,자드송,jadeusong
edivaldo rojas,에디발도 에르모사,edibaldo ereumosa
nelson freire,넬슨 프레이레,nelseun peureire
damiris dantas,다미리스 단타스,damiriseu dantaseu
maria ribeiro,마리아 히베이루,maria hibeiru
fernanda machado,페르난다 마샤두,pereunanda masyadu
lyoto machida,료투 마치다,ryotu macida
angela park,안젤라 박,anjelra bag
arthur friedenreich,아르투르 프리덴라이히,areutureu peuridenraihi
christian corrêa dionísio,크리스치앙 코헤아 지오니지우,keuriseuciang kohea jionijiu
larissa costa,라리사 코스타,rarisa koseuta
fernanda tavares,페르난다 타바리스,pereunanda tabariseu
anderson varejão,안데르송 바레장,andereusong barejang
mehmet aurélio,메흐멧 아우렐리우,meheumes aurelriu
telê santana,텔레 산타나,telre santana
felipe anderson,펠리피 안데르송,pelripi andereusong
bernardo vieira de souza,베르나르두 비에이라 지 소자,bereunareudu bieira ji soja
josé mauro de vasconcelos,조제 마우루 지 바스콘셀루스,joje mauru ji baseukonselruseu
larissa ramos,라리사 하무스,rarisa hamuseu
caio blat,카이오 블랫,kaio beulraes
danilo larangeira,다닐루 라란제이라,danilru raranjeira
thiago neves,치아구 네베스,ciagu nebeseu
sávio,사비우,sabiu
nílton ferreira júnior,니우통 페헤이라 주니오르,niutong peheira junioreu
rosa passos,호자 파수스,hoja pasuseu
juniti saito,주니치 사이토,junici saito
maurício manieri,마우리시우 마니에리,maurisiu manieri
andrews nakahara,앤드루스 나카하라,aendeuruseu nakahara
sabrina sato,사브리나 사투,sabeurina satu
gabriel marques,가브리에우 마르케스,gabeurieu mareukeseu
marcelo chierighini,마르셀루 시에리그히니,mareuselru sierigeuhini
maurício lima,마우리시우 리마,maurisiu rima
fábio rochemback,파비우 호솀바크,pabiu hosyembakeu
wallace de souza,왈라시 지 소자,walrasi ji soja
renato carlos martins júnior,헤나투 카를루스 마르틴스 주니오르,henatu kareulruseu mareutinseu junioreu
alexandre torres,알렉상드르 토레스,alregsangdeureu toreseu
thiago alves,치아구 아우베스,ciagu aubeseu
hélder câmara,에우데르 카마라,eudereu kamara
marcelinho carioca,마르셀리뉴 카리오카,mareuselrinyu karioka
daniel da silva,다니엘 다 시우바,daniel da siuba
gilberto carlos nascimento,지우베르투 카를루스 나시멘투,jiubereutu kareulruseu nasimentu
josé serra,조제 세하,joje seha
leonardo boff,레오나르도 보프,reonareudo bopeu
ewerton teixeira,에베르통 테이셰이라,ebereutong teisyeira
renzo agresta,헨주 아그레스타,henju ageureseuta
astrojildo pereira,아스트로질두 페레이라,aseuteurojildu pereira
diego tardelli,지에구 타르델리,jiegu tareudelri
rodrigo pimpão,호드리구 핌팡,hodeurigu pimpang
adílson warken,아지우송 와르켕,ajiusong wareukeng
matuzalém,마투잘렝,matujalreng
miguel ángel portugal,미겔 앙헬 포르투갈,migel anghel poreutugal
lília cabral,릴리아 카브라우,rilria kabeurau
ricardo arona,히카르두 아로나,hikareudu arona
müller,뮐레르,mwilrereu
donato gama da silva,도나토 가마 다 실바,donato gama da silba
isadora williams,이사도라 윌리엄스,isadora wilrieomseu
cássio ramos,카시우 하무스,kasiu hamuseu
wagner moura,바그네르 모라,bageunereu mora
thiago cionek,치아구 시오네크,ciagu sionekeu
camila morgado,카밀라 모르가두,kamilra moreugadu
camila pitanga,카밀라 피탕가,kamilra pitangga
douglas costa,도글라스 코스타,dogeulraseu koseuta
leandro vissotto,레안드루 비소투,reandeuru bisotu
carol francischini,카롤리니 프란시스시니,karolrini peuransiseusini
gilberto oliveira souza júnior,지우베르투 올리베이라 소우자 주니오르,jiubereutu olribeira souja junioreu
carol castro,카로우 카스트루,karou kaseuteuru
juliana knust,줄리아나 크누스트,julriana keunuseuteu
claudia leitte,클라우지아 레이치,keulraujia reici
airto moreira,아이르투 모레이라,aireutu moreira
roberto carlos,호베르투 카를루스,hobereutu kareulruseu
francileudo santos,프란실레우두 산투스,peuransilreudu santuseu
daniel de oliveira,다니에우 지 올리베이라,danieu ji olribeira
fagner,파그네르,pageunereu
luiz bonfá,루이스 봉파,ruiseu bongpa
léo silva,레우 시우바,reu siuba
adriana esteves,아드리아나 에스테베스,adeuriana eseutebeseu
lázaro ramos,라자루 하무스,rajaru hamuseu
guiomar novaes,기오마르 노바이스,giomareu nobaiseu
pretinha,프레치냐,peurecinya
francisco filho,프란시스코 필류,peuransiseuko pilryu
josé rodolfo pires ribeiro,조제 호도우푸 피리스 히베이루,joje hodoupu piriseu hibeiru
dira paes,지라 파이스,jira paiseu
danny morais,다니 모라이스,dani moraiseu
danilo luiz da silva,다닐루 루이스 다 시우바,danilru ruiseu da siuba
carlos chagas,카를루스 샤가스,kareulruseu syagaseu
leandro castán,레안드루 카스탕,reandeuru kaseutang
mel fronckowiak,메우 프롱코위아크,meu peurongkowiakeu
diogo luís santo,지오구 루이스 산투,jiogu ruiseu santu
flávia de oliveira,플라비아 지 올리베이라,peulrabia ji olribeira
