françois hollande,프랑수아 올랑드,peurangsua olrangdeu
frédéric chopin,프레데리크 쇼팽,peurederikeu syopaeng
philippe pétain,필리프 페탱,pilripeu petaeng
adolphe thiers,아돌프 티에르,adolpeu tiereu
héloïse,엘로이즈,elroijeu
alfred sauvy,알프레드 소비,alpeuredeu sobi
frédéric bastiat,프레데리크 바스티아,peurederikeu baseutia
jeanbaptiste say,장바티스트 세,jangbatiseuteu se
bernard arnault,베르나르 아르노,bereunareu areuno
benoît trémoulinas,베누아 트레물리나,benua teuremulrina
françois quesnay,프랑수아 케네,peurangsua kene
m'baye niang,음바예 니앙,eumbaye niang
marc planus,마르크 플라뉘,mareukeu peulranwi
édith piaf,에디트 피아프,editeu piapeu
nicolas leblanc,니콜라 르블랑,nikolra reubeulrang
charles messier,샤를 메시에,syareul mesie
josé bové,조제 보베,joje bobe
pierrejoseph proudhon,피에르조제프 프루동,piereujojepeu peurudong
stéphane audran,스테판 오드랑,seutepan odeurang
rachida dati,라시다 다티,rasida dati
florian thauvin,플로리앙 토뱅,peulroriang tobaeng
charles aznavour,샤를 아즈나부르,syareul ajeunabureu
renaud lavillenie,르노 라빌레니,reuno rabilreni
serge gainsbourg,세르주 갱스부르,sereuju gaengseubureu
jeanluc mélenchon,장뤼크 멜랑숑,jangrwikeu melrangsyong
laurent blanc,로랑 블랑,rorang beulrang
zinédine zidane,지네딘 지단,jinedin jidan
robert schuman,로베르 쉬망,robereu swimang
paul thiry d'holbach,폴 티리 돌바크,pol tiri dolbakeu
alice belaïdi,앨리스 벨라이디,aelriseu belraidi
olivier giroud,올리비에 지루,olribie jiru
wahbi khazri,와흐비 카즈리,waheubi kajeuri
joseph gallieni,조제프 갈리에니,jojepeu galrieni
jeanarmel kanabiyik,장아르멜 카나비크,jangareumel kanabikeu
eugène delacroix,외젠 들라크루아,oejen deulrakeurua
marie curie,마리 퀴리,mari kwiri
marcel duchamp,마르셀 뒤샹,mareusel dwisyang
gustave doré,귀스타브 도레,gwiseutabeu dore
julien offray de la mettrie,쥘리앵 오프루아 드 라 메트리,jwilriaeng opeurua deu ra meteuri
émile durkheim,에밀 뒤르켐,emil dwireukem
évariste galois,에바리스트 갈루아,ebariseuteu galrua
hugo lloris,위고 요리스,wigo yoriseu
corentin martins,코랑탱 마르탱,korangtaeng mareutaeng
robert delaunay,로베르 들로네,robereu deulrone
georges seurat,조르주 쇠라,joreuju soera
jules verne,쥘 베른,jwil bereun
henri barbusse,앙리 바르뷔스,angri bareubwiseu
karim benzema,카림 벤제마,karim benjema
florent malouda,플로랑 말루다,peulrorang malruda
laurent koscielny,로랑 코시엘니,rorang kosielni
tristan tzara,트리스탕 차라,teuriseutang cara
mehdi mostefa,메흐디 모스테파,meheudi moseutepa
sambou yatabaré,삼부 야타바레,sambu yatabare
yohan cabaye,요안 카바예,yoan kabaye
adil rami,아딜 라미,adil rami
sophie germain,소피 제르맹,sopi jereumaeng
toifilou maoulida,투아필루 마울리다,tuapilru maulrida
jérôme rothen,제롬 로탕,jerom rotang
oumar sissoko,우마르 시소코,umareu sisoko
gustave courbet,귀스타브 쿠르베,gwiseutabeu kureube
nicolas appert,니콜라 아페르,nikolra apereu
simone de beauvoir,시몬 드 보부아르,simon deu bobuareu
philippe mexès,필리프 멕세스,pilripeu megseseu
patrice évra,파트리스 에브라,pateuriseu ebeura
franck ribéry,프랑크 리베리,peurangkeu riberi
albert camus,알베르 카뮈,albereu kamwi
ismaël traoré,이스마엘 트라오레,iseumael teuraore
jonathan schmid,조나탕 슈미트,jonatang syumiteu
jonathan ayité,조나탕 아이테,jonatang aite
yann m'vila,얀 음빌라,yan eumbilra
alou diarra,알루 디아라,alru diara
fernandel,페르낭델,pereunangdel
steve mandanda,스테브 망당다,seutebeu mangdangda
jérémy ménez,제레미 메네즈,jeremi menejeu
marieanne pierrette paulze,마리안 폴즈 라부아지에,marian poljeu rabuajie
édouard manet,에두아르 마네,eduareu mane
rené girard,르네 지라르,reune jirareu
anthony réveillère,앙토니 레베이에르,angtoni rebeiereu
blaise matuidi,블레즈 마튀디,beulrejeu matwidi
samir nasri,사미르 나스리,samireu naseuri
mathieu valbuena,마티외 발뷔에나,matioe balbwiena
marcel proust,마르셀 프루스트,mareusel peuruseuteu
paul cézanne,폴 세잔,pol sejan
roger martin du gard,로제 마르탱 뒤 가르,roje mareutaeng dwi gareu
éric abidal,에리크 아비달,erikeu abidal
nadar,나다르,nadareu
pierre curie,피에르 퀴리,piereu kwiri
michel ney,미셸 네,misyel ne
henri becquerel,앙리 베크렐,angri bekeurel
eugène charles catalan,외젠 샤를 카탈랑,oejen syareul katalrang
marvin compper,마르빈 콤퍼,mareubin kompeo
marvin martin,마르뱅 마르탱,mareubaeng mareutaeng
hatem ben arfa,아템 벤 아르파,atem ben areupa
brigitte bardot,브리지트 바르도,beurijiteu bareudo
sidney govou,시드네 고부,sideune gobu
cédric carrasso,세드리크 카라소,sedeurikeu karaso
auguste renoir,오귀스트 르누아르,ogwiseuteu reunuareu
djibril cissé,지브릴 시세,jibeuril sise
charlotte bonnet,샤를로트 보네,syareulroteu bone
igor stravinsky,이고르 스트라빈스키,igoreu seuteurabinseuki
samuel beckett,사뮈엘 베케트,samwiel beketeu
bacary sagna,바카리 사냐,bakari sanya
william gallas,윌리암 갈라스,wilriam galraseu
sébastien squillaci,세바스티앵 스킬라치,sebaseutiaeng seukilraci
andrépierre gignac,앙드레피에르 지냐크,angdeurepiereu jinyakeu
irène joliotcurie,이렌 졸리오퀴리,iren jolriokwiri
nicolas anelka,니콜라 아넬카,nikolra anelka
jeanmarc ayrault,장마르크 에로,jangmareukeu ero
jacques offenbach,자크 오펜바흐,jakeu openbaheu
valérie donzelli,발레리 돈젤리,balreri donjelri
paul gauguin,폴 고갱,pol gogaeng
nicolas poussin,니콜라 푸생,nikolra pusaeng
abou diaby,아부 디아비,abu diabi
jérémy toulalan,제레미 툴랄랑,jeremi tulralrang
joseph bonaparte,조제프 보나파르트,jojepeu bonapareuteu
françois mitterrand,프랑수아 미테랑,peurangsua miterang
alexandre dumas,알렉상드르 뒤마,alregsangdeureu dwima
louis daguerre,루이 다게르,rui dagereu
henri bergson,앙리 베르그손,angri bereugeuson
marouane chamakh,마루안 샤마크,maruan syamakeu
dominique pinon,도미니크 피뇽,dominikeu pinyong
anatole france,아나톨 프랑스,anatol peurangseu
jacques derrida,자크 데리다,jakeu derida
alexandre alekhine,알렉산드르 알레힌,alregsandeureu alrehin
louis bonaparte,루이 보나파르트,rui bonapareuteu
sully prudhomme,쉴리 프뤼돔,swilri peurwidom
georges pompidou,조르주 퐁피두,joreuju pongpidu
valéry giscard d'estaing,발레리 지스카르 데스탱,balreri jiseukareu deseutaeng
alfred jarry,알프레드 자리,alpeuredeu jari
sébastien loeb,세바스티앵 뢰브,sebaseutiaeng roebeu
david ginola,다비드 지놀라,dabideu jinolra
jeanétienne guettard,장에티엔 게타르,jangetien getareu
sophia loren,소피아 로렌,sopia roren
bixente lizarazu,빅상트 리자라쥐,bigsangteu rijarajwi
alejo carpentier,알레호 카르펜티에르,alreho kareupentiereu
charles maurras,샤를 모라스,syareul moraseu
joseph fourier,조제프 푸리에,jojepeu purie
django reinhardt,장고 라인하르트,janggo rainhareuteu
jacques chirac,자크 시라크,jakeu sirakeu
boris vian,보리스 비앙,boriseu biang
frédéric mistral,프레데리크 미스트랄,peurederikeu miseuteural
claude simon,클로드 시몽,keulrodeu simong
catherine de médicis,카트린 드 메디시스,kateurin deu medisiseu
youri djorkaeff,유리 조르카에프,yuri joreukaepeu
louise michel,루이즈 미셸,ruijeu misyel
alain robbegrillet,알랭 로브그리예,alraeng robeugeuriye
dominique de villepin,도미니크 드 빌팽,dominikeu deu bilpaeng
rigobert song,리고베르 송,rigobereu song
paul dukas,폴 뒤카스,pol dwikaseu
alain juppé,알랭 쥐페,alraeng jwipe
coluche,콜루슈,kolrusyu
louis de funès,루이 드 퓌네스,rui deu pwineseu
david guetta,다비드 게타,dabideu geta
gustave flaubert,귀스타브 플로베르,gwiseutabeu peulrobereu
jean reno,장 르노,jang reuno
saintjohn perse,생존 페르스,saengjon pereuseu
pierre puvis de chavannes,피에르 퓌뷔 드 샤반,piereu pwibwi deu syaban
hippolyte fizeau,이폴리트 피조,ipolriteu pijo
joseph fouché,조제프 푸셰,jojepeu pusye
gabriel lippmann,가브리엘 리프만,gabeuriel ripeuman
mohamed sissoko,모하메드 시소코,mohamedeu sisoko
antoine de saintexupéry,앙투안 드 생텍쥐페리,angtuan deu saengtegjwiperi
guillaume apollinaire,기욤 아폴리네르,giyom apolrinereu
antoinejean gros,앙투안장 그로,angtuanjang geuro
jeanpierre jeunet,장피에르 죄네,jangpiereu joene
laurent fabius,로랑 파비위스,rorang pabiwiseu
george sand,조르주 상드,joreuju sangdeu
louis aragon,루이 아라공,rui aragong
marion cotillard,마리옹 코티야르,mariong kotiyareu
voltaire,볼테르,boltereu
maximilien de robespierre,막시밀리앵 드 로베스피에르,magsimilriaeng deu robeseupiereu
andré the giant,앙드레 더 자이언트,angdeure deo jaieonteu
michel foucault,미셸 푸코,misyel puko
heinrich heine,하인리히 하이네,hainrihi haine
thierry omeyer,티에리 오메예르,tieri omeyereu
léon bourgeois,레옹 부르주아,reong bureujua
sylvain wiltord,실뱅 윌토르,silbaeng wiltoreu
camille pissarro,카미유 피사로,kamiyu pisaro
maurice gamelin,모리스 가믈랭,moriseu gameulraeng
alain resnais,알랭 레네,alraeng rene
françois jacob,프랑수아 자코브,peurangsua jakobeu
frédéric kanouté,프레데리크 카누테,peurederikeu kanute
michel platini,미셸 플라티니,misyel peulratini
jeanmichel aulas,장미셸 올라스,jangmisyel olraseu
bernard lacombe,베르나르 라콩브,bereunareu rakongbeu
rené descartes,르네 데카르트,reune dekareuteu
philippe omnès,필리프 옴네,pilripeu omne
aurore clément,오로르 클레망,ororeu keulremang
wissam ben yedder,위삼 벤 예데르,wisam ben yedereu
floyd ayité,플로이드 아이테,peulroideu aite
raymond queneau,레몽 크노,remong keuno
guy de maupassant,기 드 모파상,gi deu mopasang
willy sagnol,윌리 사뇰,wilri sanyol
alexandre alphonse,알렉상드르 알퐁스,alregsangdeureu alpongseu
florent manaudou,플로랑 마노두,peulrorang manodu
édouard lucas,에두아르 뤼카,eduareu rwika
camille muffat,카미유 뮈파,kamiyu mwipa
édouard herriot,에두아르 에리오,eduareu erio
marie tussaud,마리 튀소,mari twiso
jeanjacques goldman,장자크 골드만,jangjakeu goldeuman
ousmane coulibaly,우스만 쿨리발리,useuman kulribalri
françois étienne kellermann,프랑수아 에티엔 켈레르만,peurangsua etien kelrereuman
honoré de balzac,오노레 드 발자크,onore deu baljakeu
zabou breitman,자부 브레이트만,jabu beureiteuman
alexis de tocqueville,알렉시 드 토크빌,alregsi deu tokeubil
nadia boulanger,나디아 불랑제,nadia bulrangje
bruno cremer,브뤼노 크레메르,beurwino keuremereu
édouard rogervasselin,에두아르 로제바슬랭,eduareu rojebaseulraeng
anaïs nin,아나이스 닌,anaiseu nin
manuel valls,마뉘엘 발스,manwiel balseu
alexandre millerand,알렉상드르 밀랑,alregsangdeureu milrang
josephignace guillotin,조제프이냐스 기요탱,jojepeuinyaseu giyotaeng
abdou diouf,압두 디우프,abdu diupeu
ludovic giuly,뤼도비크 지울리,rwidobikeu jiulri
andré vingttrois,앙드레 뱅트루아,angdeure baengteurua
pierre boulle,피에르 불,piereu bul
andré citroën,앙드레 시트로엥,angdeure siteuroeng
pierreemerick aubameyang,피에르에므리크 오바메양,piereuemeurikeu obameyang
alain prost,알랭 프로스트,alraeng peuroseuteu
raoul dufy,라울 뒤피,raul dwipi
élie cartan,엘리 카르탕,elri kareutang
christophe lemaitre,크리스토프 르메트르,keuriseutopeu reumeteureu
coco chanel,코코 샤넬,koko syanel
laure manaudou,로르 마노두,roreu manodu
anne robert jacques turgot,안 로베르 자크 튀르고,an robereu jakeu twireugo
carla bruni,카를라 브루니,kareulra beuruni
étienne marcel,에티엔 마르셀,etien mareusel
rené lacoste,르네 라코스트,reune rakoseuteu
élise bussaglia,엘리즈 부사글리아,elrijeu busageulria
éliphas lévi,엘리파스 레비,elripaseu rebi
anggun,앙군,anggun
élodie frégé,엘로디 프레제,elrodi peureje
élodie navarre,엘로디 나바르,elrodi nabareu
élodie thomis,엘로디 토미스,elrodi tomiseu
stephanie szostak,스테퍼니 쇼스택,seutepeoni syoseutaeg
jacques maritain,자크 마리탱,jakeu maritaeng
thierry henry,티에리 앙리,tieri angri
daniel schneidermann,다니엘 슈네데르만,daniel syunedereuman
yannick noah,야니크 노아,yanikeu noa
patrick modiano,파트리크 모디아노,pateurikeu modiano
andréjacques garnerin,앙드레자크 가르느랭,angdeurejakeu gareuneuraeng
mauricequentin de la tour,캉탱 드 라 투르,kangtaeng deu ra tureu
rio mavuba,리오 마뷔바,rio mabwiba
man ray,만 레이,man rei
miralem pjanić,미랄렘 퍄니치,miralrem pyanici
jeanfrançois millet,장프랑수아 밀레,jangpeurangsua milre
jeanbaptiste camille corot,장바티스트 카미유 코로,jangbatiseuteu kamiyu koro
armand traoré,아르망 트라오레,areumang teuraore
andré lwoff,앙드레 르보프,angdeure reubopeu
émile benveniste,에밀 뱅베니스트,emil baengbeniseuteu
émile boutroux,에밀 부트루,emil buteuru
émile bréhier,에밀 브레이에,emil beureie
jean picard,장 피카르,jang pikareu
olivier dacourt,올리비에 다쿠르,olribie dakureu
luis fernandez,루이스 페르난데스,ruiseu pereunandeseu
maurice barrès,모리스 바레스,moriseu bareseu
patrick vieira,파트리크 비에라,pateurikeu biera
edgar degas,에드가 드가,edeuga deuga
francis lai,프랑시스 레,peurangsiseu re
pavel dourov,파벨 두로프,pabel duropeu
marcvivien foé,마르크비비앙 푀,mareukeubibiang poe
albert soboul,알베르 소불,albereu sobul
émile combes,에밀 콩브,emil kongbeu
jacques pierre brissot,자크 피에르 브리소,jakeu piereu beuriso
théodore de bèze,테오도르 드 베즈,teodoreu deu bejeu
camille saintsaëns,카미유 생상스,kamiyu saengsangseu
frédéric beigbeder,프레데리크 베그베데,peurederikeu begeubede
édouard lalo,에두아르 랄로,eduareu ralro
émile doumergue,에밀 두메르그,emil dumereugeu
rachida brakni,라시다 브라크니,rasida beurakeuni
maurice leblanc,모리스 르블랑,moriseu reubeulrang
ivan bounine,이반 부닌,iban bunin
mickaël landreau,미카엘 랑드로,mikael rangdeuro
jean froissart,장 프루아사르,jang peuruasareu
hector malot,엑토르 말로,egtoreu malro
romain rolland,로맹 롤랑,romaeng rolrang
jules renard,쥘 르나르,jwil reunareu
marcel achard,마르셀 아샤르,mareusel asyareu
gérard philipe,제라르 필리프,jerareu pilripeu
lucien bonaparte,뤼시앵 보나파르트,rwisiaeng bonapareuteu
jérôme bonaparte,제롬 보나파르트,jerom bonapareuteu
frédéric joliotcurie,프레데리크 졸리오퀴리,peurederikeu jolriokwiri
andré malraux,앙드레 말로,angdeure malro
germaine dulac,제르멘 뒬락,jereumen dwilrag
clotilde hesme,클로틸드 엠,keulrotildeu em
georges bernanos,조르주 베르나노스,joreuju bereunanoseu
henri charrière,앙리 샤리에르,angri syariereu
jacques cassini,자크 카시니,jakeu kasini
andré maurois,앙드레 모루아,angdeure morua
maria schneider,마리아 슈나이더,maria syunaideo
jean buridan,장 뷔리당,jang bwiridang
marieantoinette d'autriche,마리 앙투아네트,mari angtuaneteu
andré gide,앙드레 지드,angdeure jideu
arsène wenger,아르센 벵거,areusen benggeo
anne d'autriche,안 도트리슈,an doteurisyu
joachim murat,조아킴 뮈라,joakim mwira
anouk aimée,아누크 에메,anukeu eme
mariejosé pérec,마리조제 페레크,marijoje perekeu
charlotte gainsbourg,샤를로트 갱스부르,syareulroteu gaengseubureu
charlotte aïssé,샤를로트 아이세,syareulroteu aise
alphonse daudet,알퐁스 도데,alpongseu dode
györgy kurtág,죄르지 쿠르탁,joereuji kureutag
didier drogba,디디에 드로그바,didie deurogeuba
pierre laval,피에르 라발,piereu rabal
olivier messiaen,올리비에 메시앙,olribie mesiang
paul signac,폴 시냐크,pol sinyakeu
ulrich ramé,윌리시 라메,wilrisi rame
louisferdinand céline,루이페르디낭 셀린,ruipereudinang selrin
zoumana camara,주마나 카마라,jumana kamara
zoé félix,조에 펠릭스,joe pelrigseu
joséphine baker,조세핀 베이커,josepin beikeo
nicole maurey,니콜 모리,nikol mori
anne brochet,안 브로셰,an beurosye
paul éluard,폴 엘뤼아르,pol elrwiareu
louis réard,루이 레아르,rui reareu
martine aubry,마르틴 오브리,mareutin obeuri
yeardley smith,야들리 스미스,yadeulri seumiseu
georges feydeau,조르주 페도,joreuju pedo
jean de la fontaine,장 드 라 퐁텐,jang deu ra pongten
ambroise paré,앙브루아즈 파레,angbeuruajeu pare
pascal chimbonda,파스칼 심봉다,paseukal simbongda
paul painlevé,폴 팽르베,pol paengreube
laurent lafforgue,로랑 라포르그,rorang raporeugeu
paul masson,폴 마송,pol masong
maurice blanchot,모리스 블랑쇼,moriseu beulrangsyo
diane de poitiers,디안 드 푸아티에,dian deu puatie
pierre richard,피에르 리샤르,piereu risyareu
julien faubert,쥘리앵 포베르,jwilriaeng pobereu
lucien laurent,뤼시앵 로랑,rwisiaeng rorang
gabriel tarde,가브리엘 타르드,gabeuriel tareudeu
carlos gardel,카를로스 가르델,kareulroseu gareudel
hortense de beauharnais,오르탕스 드 보아르네,oreutangseu deu boareune
didier ratsiraka,디디에 라치라카,didie raciraka
agnès varda,아녜스 바르다,anyeseu bareuda
louis vuitton,루이 비통,rui bitong
pierre de ronsard,피에르 드 롱사르,piereu deu rongsareu
robert capa,로버트 카파,robeoteu kapa
jean dausset,장 도세,jang dose
mariethérèse d'autriche,마리테레즈 도트리슈,mariterejeu doteurisyu
albert schweitzer,알베르트 슈바이처,albereuteu syubaiceo
matthieu delpierre,마티외 델피에르,matioe delpiereu
georges méliès,조르주 멜리에스,joreuju melrieseu
íngrid betancourt,잉그리드 베탕쿠르,inggeurideu betangkureu
isabelle aubret,이사벨 오브레,isabel obeure
louisclaude daquin,루이클로드 다캥,ruikeulrodeu dakaeng
pascal lamy,파스칼 라미,paseukal rami
georges boulanger,조르주 불랑제,joreuju bulrangje
pierre schaeffer,피에르 셰페르,piereu syepereu
marcel dupré,마르셀 뒤프레,mareusel dwipeure
philibert tsiranana,필리베르트 치라나나,pilribereuteu ciranana
jacek bąk,야체크 봉크,yacekeu bongkeu
jan guillou,얀 기유,yan giyu
françois couperin,프랑수아 쿠프랭,peurangsua kupeuraeng
hugues aufray,위그 오프레,wigeu opeure
césar franck,세자르 프랑크,sejareu peurangkeu
georges charpak,조르주 샤르파크,joreuju syareupakeu
emmanuel levinas,에마뉘엘 레비나스,emanwiel rebinaseu
valérie trierweiler,발레리 트리에르바일레르,balreri teuriereubailrereu
irène jacob,이렌 자코브,iren jakobeu
peter brook,피터 브룩,piteo beurug
françoisrené de chateaubriand,프랑수아르네 드 샤토브리앙,peurangsuareune deu syatobeuriang
jeanclaude trichet,장클로드 트리셰,jangkeulrodeu teurisye
iannis xenakis,이안니스 크세나키스,ianniseu keusenakiseu
leslie caron,레슬리 카롱,reseulri karong
ève curie,이브 퀴리,ibeu kwiri
jean renoir,장 르누아르,jang reunuareu
louis leroy,루이 르루아,rui reurua
isabelle caro,이자벨 카로,ijabel karo
paul mauriat,폴 모리아,pol moria
éric rohmer,에릭 로메르,erig romereu
louis joseph gaylussac,조제프 루이 게이뤼삭,jojepeu rui geirwisag
jean le rond d'alembert,장 르 롱 달랑베르,jang reu rong dalrangbereu
michèle mercier,미셸 메르시에,misyel mereusie
micheline bernardini,미셸린 베르나르디니,misyelrin bereunareudini
vanessa paradis,바네사 파라디,banesa paradi
cassandre,카산드르,kasandeureu
albert fert,알베르 페르,albereu pereu
andré jolivet,앙드레 졸리베,angdeure jolribe
tony estanguet,토니 에스탕게,toni eseutangge
jacqueline boyer,자클린 부아에,jakeulrin buae
marcellin marbot,마르슬랭 마르보,mareuseulraeng mareubo
danielle rousseau,다니엘 루소,daniel ruso
adolphe marbot,아돌프 마르보,adolpeu mareubo
rafik djebbour,라피크 제부르,rapikeu jebureu
sylvain distin,실뱅 디스탱,silbaeng diseutaeng
jacques tati,자크 타티,jakeu tati
roman polanski,로만 폴란스키,roman polranseuki
marguerite duras,마르그리트 뒤라스,mareugeuriteu dwiraseu
michel fourniret,미셸 푸르니레,misyel pureunire
maurice andré,모리스 앙드레,moriseu angdeure
jacques delors,자크 들로르,jakeu deulroreu
adriana karembeu,아드리아나 카랑뵈,adeuriana karangboe
louis renault,루이 르노,rui reuno
édith cresson,에디트 크레송,editeu keuresong
jules bianchi,쥘 비앙키,jwil biangki
philippe starck,필리프 스타르크,pilripeu seutareukeu
claire keim,클레르 켐,keulrereu kem
moïse kisling,모이즈 키슬링,moijeu kiseulring
marcel carné,마르셀 카르네,mareusel kareune
jean arp,장 아르프,jang areupeu
georges braque,조르주 브라크,joreuju beurakeu
paul celan,파울 첼란,paul celran
henriette d'angleterre,잉글랜드의 헨리에타,inggeulraendeuyi henrieta
léa seydoux,레아 세두,rea sedu
léon flameng,레옹 플라멩,reong peulrameng
jeanalain boumsong,장알랭 붐송,jangalraeng bumsong
benoît cheyrou,베누아 셰이루,benua syeiru
paul lafargue,폴 라파르그,pol rapareugeu
samy naceri,사미 나세리,sami naseri
eugène lanti,외젠 랑티,oejen rangti
jeanluc godard,장뤽 고다르,jangrwig godareu
françois truffaut,프랑수아 트뤼포,peurangsua teurwipo
aristide maillol,아리스티드 마욜,ariseutideu mayol
angélique kidjo,앙젤리크 키조,angjelrikeu kijo
maurice schumann,모리스 슈만,moriseu syuman
jacques monod,자크 모노,jakeu mono
marieadélaïde de savoie,사부아의 마리 아델라이드,sabuayi mari adelraideu
chiara mastroianni,키아라 마스트로이안니,kiara maseuteuroianni
boris diaw,보리스 디아우,boriseu diau
safet sušić,사페트 수시치,sapeteu susici
luigi lucheni,루이지 루케니,ruiji rukeni
hugues de saintvictor,위그 드 생빅토르,wigeu deu saengbigtoreu
tchéky karyo,체키 카료,ceki karyo
vittorio de sica,비토리오 데 시카,bitorio de sika
gabriel marcel,가브리엘 마르셀,gabeuriel mareusel
émile borel,에밀 보렐,emil borel
françois arago,프랑수아 아라고,peurangsua arago
odilon redon,오딜롱 르동,odilrong reudong
marie leszczynska,마리아 레슈친스카,maria resyucinseuka
françoise hardy,프랑수아즈 아르디,peurangsuajeu areudi
victor vasarely,빅토르 바사렐리,bigtoreu basarelri
charles de freycinet,샤를 드 프레시네,syareul deu peuresine
arielle dombasle,애리엘 돔바슬,aeriel dombaseul
michèle arnaud,미셸 아르노,misyel areuno
