kārlis,kɑːrlĭs
rinkēvičs,riňkeːviʧs
maskats,mɑskɑʦ
deniss,denisː
vasiļjevs,vɑsiʎʝe͜us
anno,ɑnːu͜o
verners,verners
auls,ɑ͜uls
angelina,ɑňɡelinɑ̆
kučvaļska,kuʧvɑʎskɑ̆
leonīds,leɔniːʦ
vīgners,viːɡners
elīza,eliːzɑ̆
tīruma,tiːrumɑ̆
ārons,ɑːrɔns
bogoļubovs,bɔɡɔʎubɔ͜us
roberts,rɔberʦ
uldriķis,uldricĭs
rodions,rɔdiɔns
kurucs,kuruʦs
evika,evikɑ̆
siliņa,siliɲɑ̆
plūme,pluːmĕ
bots,bɔʦ
krollis,krɔlːĭs
latvija,lɑtviʝɑ̆
baltijas,bɑltiʝɑ̆s
basketbola,bɑskædbɔlɑ̆
līga,liːɡɑ̆
rīgas,riːɡɑ̆s
geto,ɡetɔː
rīga,riːɡɑ̆
jelgava,ʝælɡɑvɑ̆
jūrmala,ʝuːrmɑlɑ̆
cietoksnis,ʦi͜etɔksnĭs
sigulda,siɡuldɑ̆
aknīste,ɑkniːstĕ
durbe,durbĕ
plostošana,plɔstu͜oʃɑnɑ̆
ainaži,ɑ͜inɑʓĭ
arēna,ɑræːnɑ̆
tukums,tukums
saeima,sɑe͜imɑ̆
rēzekne,reːzeknĕ
vidzeme,viʣemĕ
eiro,e͜iru͜o
kurzeme,kurzemĕ
jēkabpils,ʝæːkɑppils
latgale,lɑdɡɑlĕ
zemgale,zæmɡɑlĕ
lielvārde,li͜elvɑːrdĕ
daugavpils,dɑ͜uɡɑ͜upils
cēsis,ʦeːsĭs
valmiera,vɑlmi͜erɑ̆
ventspils,ventspils
dievturība,di͜evturiːbɑ̆
vecrīga,veʦriːɡɑ̆
valka,vɑlkɑ̆
lats,lɑʦ
gaiziņš,ɡɑ͜iziɲʃ
daugavas,dɑ͜uɡɑvɑ̆s
stadions,stɑdiɔns
skonto,skɔntu͜o
liepāja,li͜epɑːʝɑ̆
kuldīga,kuldiːɡɑ̆
austrumeiropas,ɑ͜ustrume͜irɔpɑ̆s
platforma,plɑtfɔrmɑ̆
kremerata,kremærɑtɑ̆
baltica,bɑltiʦɑ̆
iskolats,isku͜olɑʦ
ceļa,ʦeʎɑ̆
velobrauciens,vælɔbrɑ͜uʦi͜ens
iveta,ivætɑ̆
apkalna,ɑpkɑlnɑ̆
viktors,viktɔrs
lorencs,lɔrenʦs
anna,ɑnːɑ̆
sakse,sɑksĕ
pētersons,peːtærsɔns
ādolfs,ɑːdɔlfs
bļodnieks,bʎɔdni͜eks
vīts,viːʦ
rimkus,rimkŭs
sandis,sɑndĭs
vladimirs,vlɑdimirs
kamešs,kɑmeʃ
martinsons,mɑrtinsɔns
iļja,iʎʝɑ̆
vestermans,vestærmɑns
rainis,rɑ͜inĭs
inta,intɑ̆
kļimovičadrēviņa,kʎimɔviʧɑdreːviɲɑ̆
vija,viʝɑ̆
celmiņa,ʦelmiɲɑ̆
vilis,vilĭs
krištopans,kriʃtɔpɑns
grigorjeva,ɡriɡɔrʝævɑ̆
jeļena,ʝeʎænɑ̆
prokopčuka,prɔkɔpʧukɑ̆
laima,lɑ͜imɑ̆
vaikule,vɑ͜ikulĕ
konrāds,kɔnrɑːʦ
kalējs,kɑleːi̯s
pļaviņš,pʎɑviɲʃ
voldemārs,vɔldæmɑːrs
veiss,ve͜isː
apsītis,ɑpsiːtĭs
alberts,ɑlberʦ
šeibelis,ʃe͜ibelĭs
zenta,zæntɑ̆
mauriņa,mɑ͜uriɲɑ̆
anatols,ɑnɑtɔls
lapiņš,lɑpiɲʃ
starkovs,stɑrkɔ͜us
astafjevs,ɑstɑfʝe͜us
zemgals,zæmɡɑls
ščerbatihs,ʃʧærbɑtixs
konstantīns,kɔnstɑntiːns
raudive,rɑ͜udivĕ
dzintars,ʣintɑrs
jūlijs,ʝuːliʝs
daniševskis,dɑniʃe͜uskĭs
arājs,ɑrɑːi̯s
baltazars,bɑltɑzɑrs
rusovs,rusɔ͜us
oto,ɔtu͜o
luterbergs,luterberks
birkavs,birkɑ͜us
einars,e͜inɑrs
repše,repʃĕ
stepanovs,stæpɑnɔ͜us
zīle,ziːlĕ
bleidelis,ble͜idelĭs
peterss,petersː
vlaščenko,vlɑʃʧæňku͜o
šķēle,ʃceːlĕ
gailis,ɡɑ͜ilĭs
artis,ɑrtĭs
pabriks,pɑbriks
intars,intɑrs
busulis,busulĭs
smilga,smilɡɑ̆
višņakovs,viʃɲɑkɔ͜us
kviesis,kvi͜esĭs
munters,munters
uļjana,uʎʝɑnɑ̆
semjonova,semʝɔnɔvɑ̆
lipmans,lipmɑns
berss,bersː
solvita,sɔlvitɑ̆
āboltiņa,ɑːbɔltiɲɑ̆
madara,mɑdɑrɑ̆
palameika,pɑlɑme͜ikɑ̆
slavens,slɑvæns
vadims,vɑdims
vasiļevskis,vɑsiʎe͜uskĭs
šteins,ʃte͜ins
neimanis,neimɑnĭs
guntars,ɡuntɑrs
krasts,krɑsʦ
lācis,lɑːʦĭs
baiba,bɑ͜ibɑ̆
skride,skridĕ
kristīne,kristiːnĕ
opolais,ɔpɔlɑ͜is
renārs,rænɑːrs
kaupers,kɑ͜upers
indulis,indulĭs
emsis,emsĭs
alfrēds,ɑlfreːʦ
rubiks,rubiks
solo,sɔːlɔː
dekmeijere,dekme͜iʝerĕ
artmane,ɑrtmɑnĕ
olga,ɔlɡɑ̆
rajecka,rɑʝæʦkɑ̆
bētiņš,beːtiɲʃ
anatolijs,ɑnɑtɔliʝs
gorbunovs,ɡɔrbunɔ͜us
augusts,ɑ͜uɡusʦ
kirhenšteins,kirxenʃte͜ins
krišjānis,kriʃʝɑːnĭs
barons,bɑrɔns
ozols,ɔzɔls
edmunds,edmunʦ
sprūdžs,spruːʧ
zirnis,zirnĭs
šmēdiņš,ʃmeːdiɲʃ
jēkabsons,ʝæːkɑpsɔns
razgulajevs,rɑzɡulɑʝe͜us
hugo,xuɡu͜o
celmiņš,ʦelmiɲʃ
žanna,ʓɑnːɑ̆
pugača,puɡɑʧɑ̆
gints,ɡinʦ
bude,budĕ
fricis,friʦĭs
roziņš,rɔziɲʃ
alberings,ɑlberiňks
marģers,mɑrɟers
skujenieks,skuʝeni͜eks
zāmuēls,zɑːmueːls
tālivaldis,tɑːlivɑldĭs
ķeniņš,ceniɲʃ
ieva,i͜evɑ̆
gaile,ɡɑ͜ilĕ
juraševskis,ʝurɑʃe͜uskĭs
mendriks,mendriks
gaidis,ɡɑ͜idĭs
kukule,kukulĕ
dace,dɑʦĕ
melbārde,mælbɑːrdĕ
haralds,xɑrɑlʦ
ida,idɑ̆
kerkoviusa,kærkɔviusɑ̆
savaļnieks,sɑvɑʎni͜eks
laura,lɑ͜urɑ̆
ikaunieceadmidiņa,ikɑ͜uni͜eʦeɑdmidiɲɑ̆
manskis,mɑnskĭs
liepiņš,li͜epiɲʃ
roberto,rɔbærtu͜o
puķītis,puciːtĭs
līna,liːnɑ̆
mūze,muːzĕ
liepa,li͜epɑ̆
lēvenvolde,leːvænvɔldĕ
dons,dɔns
boļeslavs,bɔʎæslɑ͜us
maikovskis,mɑ͜ikɔ͜uskĭs
daumants,dɑ͜umɑnʦ
dreiškens,dre͜iʃkens
pauļuks,pɑ͜uʎuks
agate,ɑɡɑtĕ
muceniece,muʦeni͜eʦĕ
semjons,semʝɔns
nahimsons,nɑximsɔns
ginta,ɡintɑ̆
lapiņa,lɑpiɲɑ̆
ināra,inɑːrɑ̆
mūrniece,muːrni͜eʦĕ
būmeisters,buːme͜isters
filips,filips
hiršhorns,xirʃxɔrns
zemļinskis,zemʎinskĭs
peive,pe͜ivĕ
jurijs,ʝuriʝs
andrejevs,ɑndreʝe͜us
reinholds,re͜inxɔlʦ
gunārs,ɡunɑːrs
cilinskis,ʦilinskĭs
zadvornova,zɑdvɔrnɔvɑ̆
regīna,reɡiːnɑ̆
razuma,rɑzumɑ̆
andreass,ɑndreɑsː
felves,felvĕs
milda,mildɑ̆
lauberte,lɑ͜ubertĕ
indra,indrɑ̆
devi,devĭ
seisuma,se͜isumɑ̆
zjuzins,zʝuzins
gilis,ɡilĭs
valērijs,vɑleːriʝs
šabala,ʃɑbɑlɑ̆
gluhovs,ɡluxɔ͜us
aperāts,ɑpærɑːʦ
nikolajs,nikɔlɑ͜is
galdiņš,ɡɑldiɲʃ
riekstiņš,ri͜ekstiɲʃ
strautmanis,strɑ͜utmɑnĭs
zigismunds,ziɡismunʦ
sirmais,sirmɑ͜is
štolcers,ʃtɔlʦers
koļesņičenko,kɔʎesɲiʧæňku͜o
eidemanis,e͜idæmɑnĭs
ella,elːɑ̆
lolita,lɔlitɑ̆
cauka,ʦɑ͜ukɑ̆
franke,frɑňkĕ
kerskorfs,kerskɔrfs
ernsts,ernsʦ
rasburgs,rɑzburks
rihards,rixɑrʦ
zariņš,zɑriɲʃ
lauris,lɑ͜urĭs
reiniks,re͜iniks
zāle,zɑːlĕ
valentīns,vɑlentiːns
lobaņovs,lɔbɑɲɔ͜us
miervaldis,mi͜ervɑldĭs
ādamsons,ɑːdɑmsɔns
endzelīns,enʣeliːns
blagonadeždins,blɑɡɔnɑdeʓdins
berķis,bercĭs
kampars,kɑmpɑrs
karašausks,kɑrɑʃɑ͜usks
agnese,ɑɡnesĕ
pastare,pɑstɑrĕ
aploks,ɑplɔks
plēsnieks,pleːsni͜eks
isakovs,isɑkɔ͜us
mikus,mikːŭs
fomins,fɔmins
ance,ɑnʦĕ
krauze,krɑ͜uzĕ
brauns,brɑ͜uns
arnis,ɑrnĭs
balčus,bɑlʧŭs
romanovs,rɔmɑnɔ͜us
karels,kɑrels
marks,mɑrks
šišons,ʃiʃɔns
andžs,ɑnʧ
flaksis,flɑksĭs
gerhards,ɡerxɑrʦ
johans,ʝɔxɑns
guna,ɡunɑ̆
zariņa,zɑriɲɑ̆
gabrāns,ɡɑbrɑːns
vilnis,vilnĭs
bresis,bresːĭs
kazakevičs,kɑzɑkeviʧs
lilita,lilitɑ̆
zatlere,zɑtlerĕ
lagūna,lɑɡuːnɑ̆
žanis,ʓɑnĭs
bahs,bɑxs
bergmanis,berɡmɑnĭs
kariņš,kɑriɲʃ
osis,ɔsĭs
pīnups,piːnups
niks,niks
matvejevs,mɑtveʝe͜us
kostins,kɔstins
julija,ʝuliʝɑ̆
teplih,teplix
vērdiņš,veːrdiɲʃ
leons,leɔns
matīss,mɑtiːsː
akuraters,ɑkurɑters
rizoto,rizɔtu͜o
zīverts,ziːverʦ
akurāters,ɑkurɑːters
poļina,pɔʎinɑ̆
jeļizarova,ʝeʎizɑrɔvɑ̆
zeltīts,zeltiːʦ
apoga,ɑpɔɡɑ̆
krūmiņš,kruːmiɲʃ
auzāns,ɑ͜uzɑːns
makarovs,mɑkɑrɔ͜us
simona,simɔnɑ̆
orinska,ɔrinskɑ̆
ludolfs,ludɔlfs
liberts,liberʦ
viesturs,vi͜esturs
kairišs,kɑ͜iriʃ
edvards,edvɑrʦ
smiltēns,smiltæːns
zigfrīds,ziɡfriːʦ
muktupāvels,muktupɑːvels
akuratere,ɑkurɑterĕ
aleksandra,ɑlæksɑndrɑ̆
petushko,pætusxku͜o
račs,rɑʧs
antonijs,ɑntɔniʝs
černomordijs,ʧærnɔmɔrdiʝs
ranka,rɑňkɑ̆
aminata,ɑminɑtɑ̆
savadogo,sɑvɑdɔɡu͜o
ivo,ivu͜o
justs,ʝusʦ
inga,iňɡɑ̆
emīls,emiːls
elena,elænɑ̆
kovalova,kɔvɑlɔvɑ̆
kaža,kɑʓɑ̆
cirkunovs,ʦirkunɔ͜us
rožkova,rɔʃkɔvɑ̆
dagnija,dɑɡniʝɑ̆
dreika,dre͜ikɑ̆
glebs,ɡleps
basins,bɑsins
valeria,vɑleriɑ
trifancova,trifɑnʦɔvɑ̆
rukšāns,rukʃɑːns
bogdanovičs,bɔɡdɑnɔviʧs
cigaņiks,ʦiɡɑɲiks
kudelkins,kudelkins
sircovs,sirʦɔ͜us
jakushina,ʝɑkusxinɑ̆
kivlenieks,ki͜uleni͜eks
krūzbergs,kruːzberks
gruntmane,ɡruntmɑnĕ
kazāks,kɑzɑːks
aizpute,ɑ͜isputĕ
smiltene,smiltenĕ
saulkrasti,sɑ͜ulkrɑstĭ
aizkraukle,ɑ͜iskrɑ͜uklĕ
jaunjelgava,ʝɑ͜unʝælɡɑvɑ̆
rumbula,rumbulɑ̆
krāslava,krɑːslɑvɑ̆
zilupe,zilupĕ
olaine,ɔlɑ͜inĕ
venta,væntɑ̆
bauska,bɑ͜uskɑ̆
gulbene,ɡulbenĕ
koknese,kɔknesĕ
rūjiena,ruːʝi͜enɑ̆
balvi,bɑlvĭ
talsi,tɑlsĭ
preiļi,pre͜iʎĭ
mazsalaca,mɑssɑlɑʦɑ̆
salaspils,sɑlɑspils
dobele,dɔbelĕ
ogre,ɔɡrĕ
varakļāni,vɑrɑkʎɑːnĭ
kārsava,kɑːrsɑvɑ̆
kandava,kɑndɑvɑ̆
līvāni,liːvɑːnĭ
trasjanka,trɑsʝɑňkɑ̆
sēlija,seːliʝɑ̆
alūksne,ɑluːksnĕ
skrunda,skrundɑ̆
ķekava,cækɑvɑ̆
ķegums,cæɡums
ādaži,ɑːdɑʓĭ
saldus,sɑldŭs
ludza,luʣɑ̆
madona,mɑdɔnɑ̆
ilūkste,iluːkstĕ
rail,rɑ͜il
grobiņa,ɡrɔbiɲɑ̆
priekule,pri͜ekulĕ
aglona,ɑɡlɔnɑ̆
jaunlatvieši,ʝɑ͜unlɑtvi͜eʃĭ
latvenergo,lɑtvenærɡu͜o
inčukalns,inʧukɑlns
mārupe,mɑːrupĕ
karosta,kɑrɔstɑ̆
mikrofona,mikrɔfɔnɑ̆
ieraksti,i͜erɑkstĭ
gaiziņkalns,ɡɑ͜iziɲkɑlns
ulbroka,ulbrɔkɑ̆
limbaži,limbɑʓĭ
daugavgrīva,dɑ͜uɡɑ͜uɡriːvɑ̆
vaiņode,vɑ͜iɲɔdĕ
sakta,sɑktɑ̆
prisma,prismɑ̆
carnikava,ʦɑrnikɑvɑ̆
nida,nidɑ̆
nepilsoņi,nepilsu͜oɲĭ
ukri,ukrĭ
aptauja,ɑptɑ͜uʝɑ̆
jāņi,ʝɑːɲĭ
latvijas,lɑtviʝɑ̆s
sece,seʦĕ
pasažieru,pɑsɑʓi͜erŭ
vilciens,vilʦi͜ens
tērvete,teːrvetĕ
jūrkalne,ʝuːrkɑlnĕ
majori,mɑʝɔrĭ
jersika,ʝersikɑ̆
birzgale,birzɡɑlĕ
bogdāni,bɔɡdɑːnĭ
staburags,stɑburɑks
triānas,triɑːnɑ̆s
parks,pɑrks
višķi,viʃcĭ
atmoda,ɑtmɔdɑ̆
lejasciems,leʝɑsʦi͜ems
slokas,slɔkɑ̆s
eleja,eleʝɑ̆
ziestu,zi͜estŭ
kalns,kɑlns
jaunais,ʝɑ͜unɑ͜is
ratnieki,rɑtni͜ekĭ
turlava,turlɑvɑ̆
terra,tærrɑ̆
mariana,mɑriɑnɑ̆
rublis,rublĭs
olimpija,ɔlimpiʝɑ̆
ziemeļu,zi͜emeʎŭ
purvi,purvĭ
irbene,irbenĕ
delna,dælnɑ̆
progresīvie,prɔɡresiːvi͜e
žaunerāni,ʓɑ͜unærɑːnĭ
mikitāni,mikitɑːnĭ
angulo,ɑňɡulu͜o
riga,riɡɑ̆
europe,eurɔpĕ
vasilijs,vɑsiliʝs
perepļotkins,perepʎɔtkins
fadejevs,fɑdeʝe͜us
vaira,vɑ͜irɑ̆
vīķefreiberga,viːcefre͜ibærɡɑ̆
bietags,bi͜etɑks
jevgeņijs,ʝe͜uɡeɲiʝs
saproņenko,sɑprɔɲæňku͜o
dankers,dɑňkers
skrastiņš,skrɑstiɲʃ
martins,mɑrtins
dukurs,dukurs
daliņš,dɑliɲʃ
mednis,mednĭs
kononovs,kɔnɔnɔ͜us
bārtulis,bɑːrtulĭs
tomass,tɔmɑsː
naumova,nɑ͜umɔvɑ̆
andrejeva,ɑndreʝævɑ̆
ineta,inætɑ̆
radēviča,rɑdeːviʧɑ̆
irbe,irbĕ
ausma,ɑ͜usmɑ̆
ziedonekantāne,zi͜edɔnækɑntɑːnĕ
viktorija,viktɔriʝɑ̆
modesta,mɔdæstɑ̆
uvis,uvĭs
paukštello,pɑ͜ukʃtælːu͜o
čerkovskis,ʧærkɔ͜uskĭs
jana,ʝɑnɑ̆
sekste,sekstĕ
ķuzuleskrastiņa,cuzuleskrɑstiɲɑ̆
ražuks,rɑʓuks
beness,benesː
aijo,ɑ͜iʝu͜o
keišs,ke͜iʃ
pelcis,pelʦĭs
gundars,ɡundɑrs
celitāns,ʦelitɑːns
broka,brɔkɑ̆
daudziņš,dɑ͜uʣiɲʃ
tobu,tɔbŭ
uldis,uldĭs
pūcītis,puːʦiːtĭs
georgijs,ɡeɔrɡiʝs
kuļikovs,kuʎikɔ͜us
nevarauskaatkočūne,nevɑrɑ͜uskɑɑtkɔʧuːnĕ
šiškins,ʃiʃkins
maļuka,mɑʎukɑ̆
ķesteris,cesterĭs
arsens,ɑrsens
miskarovs,miskɑrɔ͜us
atis,ɑtːĭs
slakteris,slɑkterĭs
samanta,sɑmɑntɑ̆
tīna,tiːnɑ̆
zemgus,zæmɡŭs
girgensons,ɡirɡænsɔns
gaitars,ɡɑ͜itɑrs
ingrīda,iňɡriːdɑ̆
andriņa,ɑndriɲɑ̆
helga,xælɡɑ̆
dancberga,dɑnʣbærɡɑ̆
irbes,irbĕs
šaurums,ʃɑ͜urums
futbola,fudbɔlɑ̆
federācija,fedærɑːʦiʝɑ̆
piltene,piltenĕ
ģerbonis,ɟærbɔnĭs
radio,rɑdiɔː
un,un
televīzijas,televiːziʝɑ̆s
tornis,tɔrnĭs
izlase,izlɑsĕ
latviešu,lɑtvi͜eʃŭ
mitoloģija,mitɔlɔɟiʝɑ̆
strūves,struːvĕs
ģeodēziskais,ɟeɔdeːziskɑ͜is
loks,lu͜oks
valpurģu,vɑlpurɟŭ
nakts,nɑkʦ
psrs,psrs
salacgrīva,sɑlɑʣɡriːvɑ̆
asambleja,ɑsɑmbleʝɑ̆
universitāte,universitɑːtĕ
daugava,dɑ͜uɡɑvɑ̆
dzintara,ʣintɑrɑ̆
ceļš,ʦeʎʃ
olimpiskajās,ɔlimpiskɑʝɑːs
spēlēs,speːleːs
dziesmotā,ʣi͜esmɔtɑː
revolūcija,rævɔluːʦiʝɑ̆
pērkonkrusts,pæːrkɔnkrusʦ
monētas,mɔnæːtɑ̆s
airbaltic,ɑ͜irbɑltiʦ
liepājas,li͜epɑːʝɑ̆s
metalurgs,mætɑlurks
dzelzceļš,ʣelsʦeʎʃ
baldone,bɑldɔnĕ
mikrotīkls,mikrɔtiːkls
pārkrievošana,pɑːrkri͜evu͜oʃɑnɑ̆
brīvības,briːviːbɑ̆s
piemineklis,pi͜emineklĭs
tīģeri,tiːɟerĭ
blāzma,blɑːzmɑ̆
apriņķis,ɑpriɲcĭs
vienotība,vi͜enɔtiːbɑ̆
dienas,di͜enɑ̆s
lapa,lɑpːɑ̆
sieviešu,si͜evi͜eʃŭ
olimpiskā,ɔlimpiskɑː
komiteja,kɔmiteʝɑ̆
virtuve,virtuvĕ
aldaris,ɑldɑrĭs
auda,ɑ͜udɑ̆
krievu,kri͜evŭ
savienība,sɑvi͜eniːbɑ̆
hokeja,xɔkeʝɑ̆
sports,spɔrʦ
latvijā,lɑtviʝɑː
metta,mættɑ̆
saimniecība,sɑ͜imni͜eʦiːbɑ̆
miķeļi,miceʎĭ
rupjmaize,rupʝmɑ͜izĕ
spartaks,spɑrtɑks
latvijai,lɑtviʝɑ͜i
ventspilij,ventspilii̯
reģionu,reɟiɔnŭ
apvienība,ɑpvi͜eniːbɑ̆
jāņu,ʝɑːɲŭ
siers,si͜ers
krievvalodīgie,kri͜evvɑlɔdiːɡi͜e
par,pɑr
cilvēcīgu,ʦilveːʦiːɡŭ
latviju,lɑtviʝŭ
jevgēņijs,ʝe͜uɡeːɲiʝs
ignatjevs,iɡnɑtʝe͜us
maija,mɑ͜iʝɑ̆
eichhorn,e͜iʦxxɔrn
sergejs,serɡe͜is
žoltoks,ʓɔltɔks
sprukts,sprukʦ
zigurds,ziɡurʦ
lanka,lɑňkɑ̆
bārzdiņa,bɑːrzdiɲɑ̆
dairis,dɑ͜irĭs
harijs,xɑriʝs
vītoliņš,viːtɔliɲʃ
nils,nils
ušakovs,uʃɑkɔ͜us
ģederts,ɟederʦ
eliass,eliɑsː
sigvards,siɡvɑrʦ
nora,nu͜orɑ̆
ikstena,ikstænɑ̆
marts,mɑrʦ
pujāts,puʝɑːʦ
reirs,re͜irs
domburs,du͜omburs
katrīna,kɑtriːnɑ̆
krumpāne,krumpɑːnĕ
irina,irinɑ̆
odojevceva,ɔdɔʝe͜uʦævɑ̆
frīdenbergs,friːdenberks
pelšs,pelʃ
arvils,ɑrvils
ašeradens,ɑʃærɑdens
silagailis,silɑɡɑ͜ilĭs
arvis,ɑrvĭs
viguls,viɡuls
zandere,zɑnderĕ
ada,ɑdɑ̆
svetlova,svætlɔvɑ̆
rubļevska,rubʎe͜uskɑ̆
marcinkēviča,mɑrʦiňkeːviʧɑ̆
ostups,ɔstups
bordāns,bɔrdɑːns
vineta,vinætɑ̆
sareika,sɑre͜ikɑ̆
mamikins,mɑmikins
bondars,bɔndɑrs
roze,rɔzĕ
stiebra,sti͜ebrɑ̆
konstantinovs,kɔnstɑntinɔ͜us
linards,linɑrʦ
tauns,tɑ͜uns
nevarauska,nevɑrɑ͜uskɑ̆
vipers,vipers
sproģis,sprɔɟĭs
reinis,re͜inĭs
ingus,iňɡŭs
vizulis,vizulĭs
zeļģis,zeʎɟĭs
