제임스,t͡ɕeimsɯ
약수,jak̚s͈u
국훈,kukʰun
용무,joŋmu
광철,kwaŋt͡ɕʰʌl
명길,mjʌŋkil
류,lju
현식,hjʌnsik̚
국준,kuk̚t͡ɕ͈un
두균,tugjun
희영,hijʌŋ
만건,mank͈ʌn
무영,mujʌŋ
형식,hjʌŋsik̚
봉죽,poŋt͡ɕuk̚
로,lo
동,toŋ
정호,t͡ɕʌŋho
태봉,tʰɛboŋ
영길,jʌŋkil
경식,kjʌŋsik̚
성실,sʌŋsil
명원,mjʌŋwʌn
남철,namt͡ɕʰʌl
태원,tʰɛwʌn
룡천,ljoŋt͡ɕʰʌn
명철,mjʌŋt͡ɕʰʌl
방,paŋ
학세,hak̚s͈e
형근,hjʌŋkɯn
성,sʌŋ
자립,t͡ɕaɾip̚
수길,sugil
태덕,tʰɛdʌk̚
제선,t͡ɕesʌn
창한,t͡ɕʰaŋhan
윤원,junwʌn
영준,jʌŋt͡ɕun
명훈,mjʌŋhun
용건,joŋkʌn
정철,t͡ɕʌŋt͡ɕʰʌl
미영,mijʌŋ
철만,t͡ɕʰʌlman
황,hwaŋ
상려,saŋnjʌ
희정,hidʑʌŋ
백룡,pɛŋnjoŋ
윤심,junsim
인범,inpʌm
경성,kjʌŋsʌŋ
송월,soŋwʌl
승훈,sɯŋhun
성수,sʌŋsu
원균,wʌnkjun
인모,inmo
두철,tut͡ɕʰʌl
창옥,t͡ɕʰaŋok̚
봉한,poŋhan
락희,lakʰi
태남,tʰɛnam
윤,jun
인덕,intʌk̚
명수,mjʌŋsu
정균,t͡ɕʌŋkjun
정임,t͡ɕʌŋim
경만,kjʌŋman
량,ljaŋ
만길,mankil
태,tʰɛ
종수,t͡ɕoŋsu
기룡,kiɾjoŋ
영수,jʌŋsu
경옥,kjʌŋok̚
기영,kijʌŋ
근모,kɯnmo
설야,sʌɾja
만식,mansik̚
연,jʌn
형묵,hjʌŋmuk̚
서,sʌ
만술,mansul
설송,sʌlsoŋ
남기,namki
을설,ɯlsʌl
길연,kiɾjʌn
철해,t͡ɕʰʌlhɛ
광룡,kwaŋnjoŋ
정각,t͡ɕʌŋkak̚
창호,t͡ɕʰaŋho
연준,jʌnt͡ɕun
상건,saŋkʌn
문원,munwʌn
승원,sɯŋwʌn
용진,joŋt͡ɕin
룡남,ljoŋnam
승무,sɯŋmu
서헌,sʌhʌn
창렬,t͡ɕʰaŋnjʌl
영식,jʌŋsik̚
충걸,t͡ɕʰuŋkʌl
영호,jʌŋho
창수,t͡ɕʰaŋsu
춘룡,t͡ɕʰulljoŋ
명학,mjʌŋhak̚
정천,t͡ɕʌŋt͡ɕʰʌn
승길,sɯŋkil
길수,kilsu
선옥,sʌnok̚
용남,joŋnam
종관,t͡ɕoŋkwan
두익,tuik̚
춘히,t͡ɕʰunhi
석형,sʌkʰjʌŋ
기남,kinam
현희,hjʌnhi
세봉,seboŋ
용순,joŋsun
경숙,kjʌŋsuk̚
달현,talhjʌn
철호,t͡ɕʰʌlho
표영,pʰjojʌŋ
동윤,toŋjun
태무,tʰɛmu
권무,kwʌnmu
상덕,saŋtʌk̚
상원,saŋwʌn
재선,t͡ɕɛsʌn
경준,kjʌŋt͡ɕun
상진,saŋt͡ɕin
성태,sʌŋtʰɛ
명,mjʌŋ
례현,ljehjʌn
창봉,t͡ɕʰaŋpoŋ
종만,t͡ɕoŋman
명진,mjʌŋt͡ɕin
곽,kwak̚
범기,pʌmk͈i
태복,tʰɛbok̚
극렬,kɯŋnjʌl
옥임,ogim
룡해,ljoŋhɛ
종옥,t͡ɕoŋok̚
수용,sujoŋ
라,la
세영,sejʌŋ
상조,saŋt͡ɕo
경덕,kjʌŋtʌk̚
효순,hjosun
일정,ilt͡ɕʌŋ
재홍,t͡ɕɛhoŋ
임,im
춘추,t͡ɕʰunt͡ɕʰu
혁봉,hjʌk̚p͈oŋ
인선,insʌn
춘복,t͡ɕʰunpok̚
봉학,poŋhak̚
렴,ljʌm
철진,t͡ɕʰʌlt͡ɕin
문영,munjʌŋ
강선,kaŋsʌn
금철,kɯmt͡ɕʰʌl
강호,kaŋho
기호,kiho
승호,sɯŋho
선희,sʌnhi
철웅,t͡ɕʰʌɾuŋ
혁철,hjʌk̚t͡ɕʰʌl
인희,inhi
광성,kwaŋsʌŋ
유성,jusʌŋ
대옥,tɛok̚
덕훈,tʌkʰun
덕홍,tʌkʰoŋ
송이,soŋi
상철,saŋt͡ɕʰʌl
정수,t͡ɕʌŋsu
웅평,uŋpʰjʌŋ
동춘,toŋt͡ɕʰun
창복,t͡ɕʰaŋpok̚
계룡,kjeɾjoŋ
혜영,hjejʌŋ
동훈,toŋhun
유,ju
창식,t͡ɕʰaŋsik̚
영덕,jʌŋtʌk̚
창순,t͡ɕʰaŋsun
재룡,t͡ɕɛɾjoŋ
권,kwʌn
영진,jʌŋt͡ɕin
동근,toŋkɯn
정근,t͡ɕʌŋkɯn
상학,saŋhak̚
일철,ilt͡ɕʰʌl
준택,t͡ɕuntʰɛk̚
춘실,t͡ɕʰunsil
경석,kjʌŋsʌk̚
상준,saŋt͡ɕun
혜정,hjedʑʌŋ
길춘,kilt͡ɕʰun
일춘,ilt͡ɕʰun
송,soŋ
길룡,killjoŋ
용선,joŋsʌn
준상,t͡ɕunsaŋ
재성,t͡ɕɛsʌŋ
기,ki
광호,kwaŋho
정식,t͡ɕʌŋsik̚
일호,ilho
두용,tujoŋ
창엽,t͡ɕʰaŋjʌp̚
봉영,poŋjʌŋ
일룡,illjoŋ
길선,kilsʌn
남진,namt͡ɕin
경남,kjʌŋnam
창광,t͡ɕʰaŋkwaŋ
왕,waŋ
창욱,t͡ɕʰaŋuk̚
윤석,junsʌk̚
두성,tusʌŋ
흥표,hɯŋpʰjo
광순,kwaŋsun
표,pʰjo
무원,muwʌn
학원,hagwʌn
주애,t͡ɕuɛ
성혜,sʌŋhje
선권,sʌnkwʌn
원호,wʌnho
봉훈,poŋhun
히용,hijoŋ
만성,mansʌŋ
용수,joŋsu
득남,tɯŋnam
동명,toŋmjʌŋ
순남,sunnam
영래,jʌŋnɛ
룡만,ljoŋman
인호,inho
정훈,t͡ɕʌŋhun
성호,sʌŋho
춘남,t͡ɕʰunnam
주오,t͡ɕuo
위,wi
충길,t͡ɕʰuŋkil
상룡,saŋnjoŋ
손,son
영복,jʌŋpok̚
명남,mjʌŋnam
정관,t͡ɕʌŋkwan
창하,t͡ɕʰaŋha
수일,suil
철성,t͡ɕʰʌlsʌŋ
길성,kilsʌŋ
상관,saŋkwan
용광,joŋkwaŋ
태성,tʰɛsʌŋ
주식,t͡ɕusik̚
승두,sɯŋtu
만수,mansu
학철,hak̚t͡ɕʰʌl
창선,t͡ɕʰaŋsʌn
마,ma
원춘,wʌnt͡ɕʰun
태철,tʰɛt͡ɕʰʌl
현명,hjʌnmjʌŋ
연미,jʌnmi
광영,kwaŋjʌŋ
광상,kwaŋsaŋ
차두리,t͡ɕʰaduɾi
윤하,junha
이호,iho
장상,t͡ɕaŋsaŋ
허재,hʌdʑɛ
태연,tʰɛjʌn
제시카,t͡ɕesikʰa
비,pi
수영,sujʌŋ
제나,t͡ɕena
우슈코비츠,usjukʰobit͡ɕʰɯ
써니,s͈ʌni
유나,juna
신격호,sinkjʌkʰo
김재중,kimt͡ɕɛdʑuŋ
손흥민,sonhɯŋmin
나아름,naaɾɯm
서현,sʌhjʌn
효연,hjojʌn
장면,t͡ɕaŋmjʌn
효민,hjomin
기선,kisʌn
환희,hwanhi
현빈,hjʌnpin
아마드,amadɯ
엘리치,ellit͡ɕʰi
김준수,kimt͡ɕunsu
박정혜,pak̚t͡ɕ͈ʌŋhje
고건,kogʌn
윤아,juna
유리,juɾi
박유천,pagjut͡ɕʰʌn
허정,hʌdʑʌŋ
프란체스카,pʰɯɾant͡ɕʰesɯkʰa
도너,tonʌ
빅토르,pik̚tʰoɾɯ
성훈,sʌŋhun
순정효황후,sunt͡ɕʌŋhjohwaŋhu
대니얼,tɛniʌl
대,tɛ
킴,kʰim
려욱,ljʌuk̚
효린,hjoɾin
찬성,t͡ɕʰansʌŋ
주원,t͡ɕuwʌn
장훈,t͡ɕaŋhun
최강창민,t͡ɕʰwegaŋt͡ɕʰaŋmin
설리,sʌlli
유빈,jubin
태민,tʰɛmin
동해,toŋhɛ
민호,minho
예성,jesʌŋ
로버트,lobʌtʰɯ
콘스웨이트,kʰonsɯweitʰɯ
넬슨,nelsɯn
은혁,ɯnhjʌk̚
스티븐,sɯtʰibɯn
서우,sʌu
패티,pʰɛtʰi
김성택,kimsʌŋtʰɛk̚
신동,sintoŋ
박지은,pak̚t͡ɕ͈iɯn
앙드레,aŋtɯɾe
옥택연,ok̚tʰɛgjʌn
데릭,teɾik̚
아사모아,asamoa
사오리,saoɾi
찬열,t͡ɕʰanjʌl
지연,t͡ɕijʌn
윤손하,junsonha
김일,kimil
이범호,ibʌmho
선예,sʌnje
선미,sʌnmi
용감한,joŋkamhan
형제,hjʌŋt͡ɕe
니키,nikʰi
양,jaŋ
유건,jugʌn
남녀공학,namnjʌgoŋhak̚
김다솔,kimtasol
김현,kimhjʌn
김조광수,kimt͡ɕogwaŋsu
데니,teni
김훈,kimhun
랜디,lɛnti
테이,tʰei
기욤,kijom
패트리,pʰɛtʰɯɾi
종현,t͡ɕoŋhjʌn
심민,simmin
현철,hjʌnt͡ɕʰʌl
롭,lop̚
레프스나이더,lepʰɯsɯnaidʌ
허웅,hʌuŋ
백현,pɛkʰjʌn
나타나에우,natʰanaeu
소자,sodʑa
산투스,santʰusɯ
주니오르,t͡ɕunioɾɯ
에바,eba
포피엘,pʰopʰiel
아미르,amiɾɯ
텔리고비치,tʰelligobit͡ɕʰi
유룡,juɾjoŋ
김성규,kimsʌŋkju
최윤,t͡ɕʰwejun
권일,kwʌnil
지코,t͡ɕikʰo
구상,kusaŋ
이상,isaŋ
윤빛가람,junpit̚k͈aɾam
박수아,pak̚s͈ua
이적,idʑʌk̚
현월,hjʌnwʌl
양훈,jaŋhun
유영재,jujʌŋt͡ɕɛ
이세돌,isedol
전진,t͡ɕʌnt͡ɕin
신동빈,sintoŋpin
앤디,ɛnti
마이클,maikʰɯl
스위프트,sɯwipʰɯtʰɯ
라비,labi
엔,en
맷,mɛt̚
돌턴,toltʰʌn
이원,iwʌn
알렉산더,allek̚s͈antʌ
정대현,t͡ɕʌŋtɛhjʌn
우영,ujʌŋ
준호,t͡ɕunho
이싸빅,is͈abik̚
마시에우,masieu
루이스,luisɯ
프랑쿠,pʰɯɾaŋkʰu
김잔디,kimt͡ɕanti
성우리,sʌŋuɾi
일레인,illein
엘,el
세훈,sehun
시우민,siumin
수호,suho
하하,haha
아유미,ajumi
데니우송,teniusoŋ
마르칭스,maɾɯt͡ɕʰiŋsɯ
나시멘투,nasimentʰu
기섭,kisʌp̚
카이,kʰai
박건,pak̚k͈ʌn
채연,t͡ɕʰɛjʌn
브라이언,pɯɾaiʌn
비범,pibʌm
피터,pʰitʰʌ
채림,t͡ɕʰɛɾim
루나,luna
영,jʌŋ
김무종,kimmudʑoŋ
김대유,kimtɛju
박유향,pagjuhjaŋ
나미,nami
김한길,kimhankil
김지순,kimt͡ɕisun
듀나,tjuna
고원부,kowʌnpu
최정,t͡ɕʰwedʑʌŋ
최영,t͡ɕʰwejʌŋ
박창언,pak̚t͡ɕʰaŋʌn
성하,sʌŋha
이석,isʌk̚
휘성,hwisʌŋ
장정,t͡ɕaŋt͡ɕʌŋ
김봉웅,kimpoŋuŋ
김신부,kimsinpu
김실,kimsil
이특,itʰɯk̚
유진,judʑin
김호,kimho
자니,t͡ɕani
임현식,imhjʌnsik̚
혜리,hjeɾi
박화요비,pakʰwajobi
김성길,kimsʌŋkil
나나,nana
주동식,t͡ɕudoŋsik̚
정재은,t͡ɕʌŋt͡ɕɛɯn
진도희,t͡ɕintohi
조순,t͡ɕosun
신우,sinu
유봉식,juboŋsik̚
현리,hjʌlli
황민부,hwaŋminpu
이정혜,idʑʌŋhje
하동안,hadoŋan
나현,nahjʌn
강홍문,kaŋhoŋmun
수애,suɛ
김승락,kimsɯŋnak̚
정준문,t͡ɕʌŋt͡ɕunmun
이충남,it͡ɕʰuŋnam
홍기,hoŋki
힘찬,himt͡ɕʰan
강훈,kaŋhun
조박,t͡ɕobak̚
김신,kimsin
지성,t͡ɕisʌŋ
에릭,eɾik̚
하쿠류,hakʰuɾju
건일,kʌnil
지혁,t͡ɕihjʌk̚
성제,sʌŋt͡ɕe
박광온,pak̚k͈waŋon
성준,sʌŋt͡ɕun
박진영,pak̚t͡ɕ͈injʌŋ
영민,jʌŋmin
니엘,niel
메이다니,meidani
광수,kwaŋsu
성모,sʌŋmo
유선,jusʌn
윤학,junhak̚
유라,juɾa
고은,koɯn
지훈,t͡ɕihun
원빈,wʌnpin
성민,sʌŋmin
이유형,ijuhjʌŋ
송해,soŋhɛ
홍진,hoŋt͡ɕin
송영,soŋjʌŋ
강지영,kaŋt͡ɕijʌŋ
베르그송,peɾɯgɯsoŋ
구스타부,kusɯtʰabu
시우베이라,siubeiɾa
다,ta
시우바,siuba
민,min
유노윤호,junojunho
김선일,kimsʌnil
데니스,tenisɯ
락티오노프,lak̚tʰionopʰɯ
개리,kɛɾi
온유,onju
규현,kjuhjʌn
최석,t͡ɕʰwesʌk̚
이진,idʑin
최훈,t͡ɕʰwehun
진보,t͡ɕinpo
진영,t͡ɕinjʌŋ
찰리,t͡ɕʰalli
트위스트,tʰɯwisɯtʰɯ
정찬,t͡ɕʌŋt͡ɕʰan
동현,toŋhjʌn
한연수,hanjʌnsu
한신,hansin
황목치승,hwaŋmok̚t͡ɕʰisɯŋ
이용,ijoŋ
혜문,hjemun
디오,tio
앤드류,ɛntɯɾju
산들,santɯl
차선우,t͡ɕʰasʌnu
공찬,koŋt͡ɕʰan
재효,t͡ɕɛhjo
정현,t͡ɕʌŋhjʌn
김설현,kimsʌlhjʌn
지율,t͡ɕijul
박진,pak̚t͡ɕ͈in
정일훈,t͡ɕʌŋilhun
박준,pak̚t͡ɕ͈un
배우희,pɛuhi
치타,t͡ɕʰitʰa
유림,juɾim
윤상,junsaŋ
렌,len
정우람,t͡ɕʌŋuɾam
창조,t͡ɕʰaŋt͡ɕo
첸,t͡ɕʰen
이소정,isodʑʌŋ
임도화,imtohwa
하니,hani
주권,t͡ɕugwʌn
헌터리아,hʌntʰʌɾia
신혜정,sinhjedʑʌŋ
문별,munpjʌl
화사,hwasa
솔라,solla
장률,t͡ɕaŋnjul
예린,jeɾin
레오,leo
스테파니,sɯtʰepʰani
유겸,jugjʌm
지수,t͡ɕisu
승희,sɯŋhi
신비,sinpi
에스쿱스,esɯkʰup̚s͈ɯ
승관,sɯŋkwan
민규,minkju
우지,udʑi
해찬,hɛt͡ɕʰan
조이,t͡ɕoi
웬디,wenti
공명,koŋmjʌŋ
은하,ɯnha
유아,jua
예리,jeɾi
윤식,junsik̚
유권,jugwʌn
정동영,t͡ɕʌŋtoŋjʌŋ
황지혜,hwaŋt͡ɕihje
기현,kihjʌn
김창수,kimt͡ɕʰaŋsu
공지호,koŋt͡ɕiho
홍맑은샘,hoŋmalkɯnsɛm
로운,loun
다원,tawʌn
민혁,minhjʌk̚
엄지,ʌmt͡ɕi
곽빈,kwak̚p͈in
채영,t͡ɕʰɛjʌŋ
문수아,munsua
지효,t͡ɕihjo
다현,tahjʌn
벤,pen
나연,najʌn
셔누,sjʌnu
문빈,munpin
차은우,t͡ɕʰaɯnu
겜린,kemnin
제노,t͡ɕeno
리코,likʰo
아린,aɾin
미미,mimi
효정,hjodʑʌŋ
여인혁,jʌinhjʌk̚
보나,pona
사무엘,samuel
은서,ɯnsʌ
서훈,sʌhun
연우,jʌnu
도영,tojʌŋ
태용,tʰɛjoŋ
주헌,t͡ɕuhʌn
김말임,kimmaɾim
학진,hak̚t͡ɕ͈in
박태일,pak̚tʰɛil
최실,t͡ɕʰwesil
청하,t͡ɕʰʌŋha
설동규,sʌltoŋkju
박성진,pak̚s͈ʌŋt͡ɕin
김보규,kimpogju
세용,sejoŋ
정연,t͡ɕʌŋjʌn
설아,sʌɾa
소연,sojʌn
최예슬,t͡ɕʰwejesɯl
황보승희,hwaŋposɯŋhi
재현,t͡ɕɛhjʌn
제니,t͡ɕeni
후이,hui
루다,luda
코고나다,kʰogonada
홍석,hoŋsʌk̚
형원,hjʌŋwʌn
타니,tʰani
진호,t͡ɕinho
로제,lodʑe
재민,t͡ɕɛmin
김립,kimnip̚
츄,t͡ɕʰju
주이,t͡ɕui
여진,jʌdʑin
리를향,liɾɯlhjaŋ
현진,hjʌnt͡ɕin
진솔,t͡ɕinsol
하슬,hasɯl
허석,hʌsʌk̚
여원,jʌwʌn
신원,sinwʌn
이환희,ihwanhi
정우,t͡ɕʌŋu
수윤,sujun
이브,ibɯ
고원,kowʌn
서욱,sʌuk̚
봉재현,poŋt͡ɕɛhjʌn
라키,lakʰi
진진,t͡ɕint͡ɕin
키노,kʰino
영훈,jʌŋhun
우석,usʌk̚
시현,sihjʌn
희진,hidʑin
미연,mijʌn
윤산하,junsanha
최리,t͡ɕʰweɾi
조현,t͡ɕohjʌn
안권수,ankwʌnsu
김성,kimsʌŋ
유태양,jutʰɛjaŋ
성찬,sʌŋt͡ɕʰan
레이븐,leibɯn
홍꽃노을,hoŋk͈onnoɯl
신태일,sintʰɛil
샛별,sɛt̚p͈jʌl
휘영,hwijʌŋ
윈터,wintʰʌ
서영은,sʌjʌŋɯn
반,pan
기문,kimun
민기,minki
용화,joŋhwa
명우,mjʌŋu
영생,jʌŋsɛŋ
철하,t͡ɕʰʌlha
연아,jʌna
정희,t͡ɕʌŋhi
영표,jʌŋpʰjo
명박,mjʌŋpak̚
은선,ɯnsʌn
수미,sumi
은희,ɯnhi
수연,sujʌn
재범,t͡ɕɛbʌm
성국,sʌŋkuk̚
문식,munsik̚
철수,t͡ɕʰʌlsu
영린,jʌŋnin
태진,tʰɛdʑin
병기,pjʌŋki
영희,jʌŋhi
진,t͡ɕin
이한,ihan
홍철,hoŋt͡ɕʰʌl
하이,hai
선진,sʌnt͡ɕin
승만,sɯŋman
소민,somin
민영,minjʌŋ
옥빈,ok̚p͈in
성룡,sʌŋnjoŋ
대성,tɛsʌŋ
남준,namt͡ɕ͈un
재석,t͡ɕɛsʌk̚
윤진,junt͡ɕin
진실,t͡ɕinsil
효리,hjoɾi
성용,sʌŋjoŋ
두환,tuhwan
순원,sunwʌn
형택,hjʌŋtʰɛk̚
규하,kjuha
명보,mjʌŋpo
찬욱,t͡ɕʰanuk̚
운재,unt͡ɕɛ
천수,t͡ɕʰʌnsu
열음,jʌɾɯm
아중,adʑuŋ
길,kil
영아,jʌŋa
정운,t͡ɕʌŋun
도근,togɯn
장은,t͡ɕaŋɯn
요섭,josʌp̚
경란,kjʌŋnan
은경,ɯnkjʌŋ
대식,tɛsik̚
원재,wʌnt͡ɕɛ
강조,kaŋt͡ɕo
원순,wʌnsun
현수,hjʌnsu
선유,sʌnju
숙자,suk̚t͡ɕ͈a
염,jʌm
미리,miɾi
명숙,mjʌŋsuk̚
혜선,hjesʌn
영애,jʌŋɛ
창동,t͡ɕʰaŋtoŋ
태우,tʰɛu
승완,sɯŋwan
수경,sugjʌŋ
소리,soɾi
배,pɛ
용준,joŋt͡ɕun
선재,sʌnt͡ɕɛ
범근,pʌmkɯn
승민,sɯŋmin
정무,t͡ɕʌŋmu
희경,higjʌŋ
자철,t͡ɕat͡ɕʰʌl
도균,togjun
승용,sɯŋjoŋ
동호,toŋho
은중,ɯnt͡ɕuŋ
하준,hadʑun
근석,kɯnsʌk̚
경리,kjʌŋni
청준,t͡ɕʰʌŋt͡ɕun
하,ha
지원,t͡ɕiwʌn
대중,tɛdʑuŋ
지하,t͡ɕiha
주성,t͡ɕusʌŋ
동원,toŋwʌn
경영,kjʌŋjʌŋ
대원,tɛwʌn
승렬,sɯŋnjʌl
종국,t͡ɕoŋkuk̚
연성,jʌnsʌŋ
광선,kwaŋsʌn
상화,saŋhwa
이경,igjʌŋ
지현,t͡ɕihjʌn
동진,toŋt͡ɕin
범석,pʌmsʌk̚
황식,hwaŋsik̚
민우,minu
혜수,hjesu
학선,hak̚s͈ʌn
은지,ɯnt͡ɕi
태규,tʰɛgju
예진,jedʑin
아람,aɾam
혜진,hjedʑin
호성,hosʌŋ
짐,t͡ɕim
조국,t͡ɕoguk̚
태지,tʰɛdʑi
민수,minsu
태희,tʰɛhi
민아,mina
희선,hisʌn
승철,sɯŋt͡ɕʰʌl
방자,paŋt͡ɕa
범수,pʌmsu
봉,poŋ
중근,t͡ɕuŋkɯn
희철,hit͡ɕʰʌl
진희,t͡ɕinhi
주영,t͡ɕujʌŋ
세리,seɾi
담비,tampi
도연,tojʌn
시완,siwan
휘향,hwihjaŋ
은아,ɯna
종원,t͡ɕoŋwʌn
택상,tʰɛk̚s͈aŋ
병헌,pjʌŋhʌn
기덕,kidʌk̚
수정,sudʑʌŋ
아성,asʌŋ
하늘,hanɯl
중문,t͡ɕuŋmun
성기,sʌŋki
후락,huɾak̚
시원,siwʌn
선,sʌn
동열,toŋjʌl
남,nam
궁민,kuŋmin
태일,tʰɛil
석헌,sʌkʰʌn
희섭,hisʌp̚
양숙,jaŋsuk̚
연석,jʌnsʌk̚
소현,sohjʌn
기동,kidoŋ
여,jʌ
효진,hjodʑin
태영,tʰɛjʌŋ
근철,kɯnt͡ɕʰʌl
경진,kjʌŋt͡ɕin
주호,t͡ɕuho
석,sʌk̚
현준,hjʌnt͡ɕun
영광,jʌŋkwaŋ
청용,t͡ɕʰʌŋjoŋ
사랑,saɾaŋ
나,na
선임,sʌnim
남길,namkil
용은,joŋɯn
두나,tuna
연경,jʌnkjʌŋ
시경,sigjʌŋ
육,juk̚
세화,sehwa
엄,ʌm
은숙,ɯnsuk̚
윤혜,junhje
정석,t͡ɕʌŋsʌk̚
경화,kjʌŋhwa
동건,toŋkʌn
홍만,hoŋman
근영,kɯnjʌŋ
문열,munjʌl
루마,luma
자연,t͡ɕajʌn
선명,sʌnmjʌŋ
도훈,tohun
리수,lisu
재영,t͡ɕɛjʌŋ
보배,pobɛ
제훈,t͡ɕehun
한열,hanjʌl
민정,mint͡ɕʌŋ
익태,ik̚tʰɛ
우진,udʑin
지은,t͡ɕiɯn
선영,sʌnjʌŋ
광희,kwaŋhi
준기,t͡ɕunki
인성,insʌŋ
동준,toŋt͡ɕun
선화,sʌnhwa
여옥,jʌok̚
영태,jʌŋtʰɛ
영선,jʌŋsʌn
소은,soɯn
현목,hjʌnmok̚
하선,hasʌn
상훈,saŋhun
승우,sɯŋu
민희,minhi
나영,najʌŋ
수현,suhjʌn
리나,lina
익희,ikʰi
회창,hwet͡ɕʰaŋ
윤옥,junok̚
연재,jʌnt͡ɕɛ
익준,ik̚t͡ɕ͈un
동석,toŋsʌk̚
옥숙,ok̚s͈uk̚
주리,t͡ɕuɾi
레,le
이나,ina
서형,sʌhjʌŋ
영하,jʌŋha
기정,kidʑʌŋ
함,ham
은정,ɯnt͡ɕʌŋ
선홍,sʌnhoŋ
신양,sinjaŋ
견,kjʌn
준하,t͡ɕunha
철승,t͡ɕʰʌlsɯŋ
소이,soi
수근,sugɯn
우혁,uhjʌk̚
덕현,tʌkʰjʌn
학자,hak̚t͡ɕ͈a
영석,jʌŋsʌk̚
진규,t͡ɕinkju
기춘,kit͡ɕʰun
유근,jugɯn
충희,t͡ɕʰuŋhi
은,ɯn
성길,sʌŋkil
만희,manhi
시헌,sihʌn
성근,sʌŋkɯn
순태,suntʰɛ
일선,ilsʌn
임생,imsɛŋ
재규,t͡ɕɛgju
수빈,subin
한별,hanpjʌl
태웅,tʰɛuŋ
지빈,t͡ɕibin
동완,toŋwan
태란,tʰɛɾan
소영,sojʌŋ
성현,sʌŋhjʌn
용택,joŋtʰɛk̚
무배,mubɛ
제두,t͡ɕedu
민석,minsʌk̚
상현,saŋhjʌn
지혜,t͡ɕihje
유택,jutʰɛk̚
인천,int͡ɕʰʌn
지완,t͡ɕiwan
원기,wʌnki
인혜,inhje
지안,t͡ɕian
윤지,junt͡ɕi
인환,inhwan
중훈,t͡ɕuŋhun
용대,joŋtɛ
