глюкоза,ɡlʲukoza
иркутск,irkutsk
боровичи,borovʲit͡ɕʲi
боровск,borovsk
хабаровск,xabarovsk
братск,bratsk
бронницы,bronnit͡sɨ
сызрань,sɨzranʲ
псков,pskov
буинск,buinsk
якутск,jakutsk
бугульма,buɡulʲma
буй,buj
буйнакск,bujnaksk
валдай,valdaj
велиж,vʲelʲiʒ
венёв,vʲenov
углегорск,uɡlʲeɡorsk
грозный,ɡroznɨj
дальнегорск,dalʲneɡorsk
гатчина,ɡatt͡ɕʲina
махачкала,maxat͡ɕʲkala
унеча,unet͡ɕʲa
удачный,udat͡ɕʲnɨj
углич,uɡlʲit͡ɕʲ
удомля,udomlʲa
коломна,kolomna
ставрополь,stavropolʲ
севастополь,sʲevastopolʲ
магас,maɡas
верхоянск,vʲerxoansk
вилючинск,vʲilʲut͡ɕʲinsk
вичуга,vʲit͡ɕʲuɡa
волгодонск,volɡodonsk
узловая,uzlovaa
благовещенск,blaɡovʲeɕːensk
устюжна,ustʲuʒna
ухта,uxta
уссурийск,ussurʲijsk
видное,vʲidnoe
весьегонск,vʲesʲeɡonsk
вилюйск,vʲilʲujsk
владикавказ,vladʲikavkaz
нальчик,nalʲt͡ɕʲik
острог,ostroɡ
фурманов,furmanov
фрязино,frʲazʲino
фокино,fokʲino
яндекс,jandʲeks
черкесск,t͡ɕʲerkʲessk
коммунар,kommunar
новокузнецк,novokuznet͡sk
волгореченск,volɡorʲet͡ɕʲensk
набережные,nabʲerʲeʒnɨe
челны,t͡ɕʲelnɨ
воркута,vorkuta
химки,xʲimkʲi
холм,xolm
холмск,xolmsk
саратов,saratov
оренбург,orʲenburɡ
магнитогорск,maɡnitoɡorsk
воскресенск,voskrʲesʲensk
карабаново,karabanovo
воткинск,votkʲinsk
биробиджан,bʲirobʲid͡ʒan
тагил,taɡil
сахалин,saxalʲin
волжский,volʒskʲij
чайковский,t͡ɕʲajkovskʲij
чапаевск,t͡ɕʲapaevsk
вышний,vɨʂnij
волочёк,volot͡ɕʲok
вяземский,vʲazʲemskʲij
чекалин,t͡ɕʲekalʲin
саранск,saransk
киров,kʲirov
айны,ajnɨ
великие,vʲelʲikʲie
луки,lukʲi
луганск,luɡansk
вязники,vʲaznikʲi
ижевск,iʒevsk
южносахалинск,juʒnosaxalʲinsk
вязьма,vʲazʲma
волоколамск,volokolamsk
ковров,kovrov
ельня,jelʲna
чудово,t͡ɕʲudovo
чкаловск,t͡ɕʲkalovsk
сибирь,sʲibʲirʲ
городец,ɡorodʲet͡s
чухлома,t͡ɕʲuxloma
шахтёрск,ʂaxtʲorsk
шарья,ʂarʲa
дмитров,dmʲitrov
гдов,ɡdov
глазов,ɡlazov
елец,jelʲet͡s
гагарин,ɡaɡarʲin
галич,ɡalʲit͡ɕʲ
чистополь,t͡ɕʲistopolʲ
чехов,t͡ɕʲexov
бийск,bʲijsk
газпром,ɡazprom
пушкин,puʂkʲin
гороховец,ɡoroxovʲet͡s
шахты,ʂaxtɨ
магадан,maɡadan
азнакаево,aznakaevo
агрыз,aɡrɨz
гудермес,ɡudʲermʲes
азов,azov
щёкино,ɕːokʲino
камов,kamov
шуя,ʂua
приозерск,prʲiozʲersk
анадырь,anadɨrʲ
гурьевск,ɡurʲevsk
давлеканово,davlʲekanovo
алдан,aldan
щёлково,ɕːolkovo
александров,alʲeksandrov
энгельс,enɡelʲs
наука,nauka
протон,proton
дальнереченск,dalʲnerʲet͡ɕʲensk
данилов,danilov
электрогорск,elʲektroɡorsk
электросталь,elʲektrostalʲ
электроугли,elʲektrouɡlʲi
демидов,dʲemʲidov
дедовск,dʲedovsk
десногорск,dʲesnoɡorsk
алексин,alʲeksʲin
юрга,jurɡa
альметьевск,alʲmʲetʲevsk
амурск,amursk
димитровград,dʲimʲitrovɡrad
дмитровск,dmʲitrovsk
ангарск,anɡarsk
дзержинский,dzʲerʒinskʲij
донавиа,donavʲia
новатэк,novatek
андреаполь,andrʲeapolʲ
анива,aniva
домодедово,domodʲedovo
долинск,dolʲinsk
долгопрудный,dolɡoprudnɨj
юхнов,juxnov
дно,dno
апатиты,apatʲitɨ
ярцево,jart͡sevo
ясногорск,jasnoɡorsk
апрелевка,aprʲelʲevka
дубна,dubna
донской,donskoj
дорогобуж,doroɡobuʒ
клипер,klʲipʲer
ейск,jejsk
егорьевск,jeɡorʲevsk
елабуга,jelabuɡa
духовщина,duxovɕːina
дудинка,dudʲinka
приамурье,prʲiamurʲe
ханка,xanka
прохоровка,proxorovka
арск,arsk
арсеньев,arsʲenev
арзамас,arzamas
артём,artʲom
дятьково,dʲatʲkovo
елизово,jelʲizovo
асино,asʲino
енисейск,jenisʲejsk
укок,ukok
ачинск,at͡ɕʲinsk
ахтубинск,axtubʲinsk
железноводск,ʒelʲeznovodsk
ефремов,jefrʲemov
красная,krasnaa
поляна,polʲana
ессентуки,jessʲentukʲi
имандра,imandra
бавлы,bavlɨ
багратионовск,baɡratʲionovsk
железнодорожный,ʒelʲeznodoroʒnɨj
саяны,saanɨ
ильмень,ilʲmʲenʲ
арбат,arbat
балашиха,balaʂixa
балахна,balaxna
жуковский,ʒukovskʲij
заводоуковск,zavodoukovsk
жуковка,ʒukovka
жиздра,ʒizdra
жуков,ʒukov
байкальск,bajkalʲsk
балабаново,balabanovo
барабинск,barabʲinsk
бежецк,bʲeʒet͡sk
батайск,batajsk
заинск,zainsk
западная,zapadnaa
двина,dvʲina
заволжск,zavolʒsk
белёв,bʲelʲov
зарайск,zarajsk
белозерск,bʲelozʲersk
белогорск,bʲeloɡorsk
беломорск,bʲelomorsk
белый,bʲelɨj
звенигород,zvʲeniɡorod
зеленоград,zʲelʲenoɡrad
казбек,kazbʲek
курган,kurɡan
выборг,vɨborɡ
зеленодольск,zʲelʲenodolʲsk
бикин,bʲikʲin
беслан,bʲeslan
березники,bʲerʲeznikʲi
полесье,polʲesʲe
богородицк,boɡorodʲit͡sk
волхов,volxov
бокситогорск,boksʲitoɡorsk
бологое,boloɡoe
большой,bolʲʂoj
камень,kamʲenʲ
болхов,bolxov
болохово,boloxovo
кингисепп,kʲinɡisʲepp
новая,novaa
ладога,ladoɡa
игарка,iɡarka
ивантеевка,ivantʲeevka
бодайбо,bodajbo
болгар,bolɡar
альфа,alʲfa
лдпр,ldpr
златоуст,zlatoust
кубок,kubok
кремля,krʲemlʲa
алроса,alrosa
ивангород,ivanɡorod
злынка,zlɨnka
знаменск,znamʲensk
мосфильм,mosfʲilʲm
зубцов,zubt͡sov
люберцы,lʲubʲert͡sɨ
суздаль,suzdalʲ
миасс,mʲiass
молокане,molokane
мирный,mʲirnɨj
сланцы,slant͡sɨ
сертолово,sʲertolovo
луга,luɡa
черниговка,t͡ɕʲerniɡovka
яблоко,jabloko
тихвин,tʲixvʲin
сосновый,sosnovɨj
бор,bor
шлиссельбург,ʂlʲissʲelʲburɡ
яхрома,jaxroma
новороссийск,novorossʲijsk
анапа,anapa
темрюк,tʲemrʲuk
великий,vʲelʲikʲij
устюг,ustʲuɡ
истра,istra
осетия,osʲetʲia
ишимбай,iʂimbaj
армавир,armavʲir
геленджик,ɡelʲend͡ʒik
старая,staraa
телецкое,tʲelʲet͡skoe
прогресс,proɡrʲess
камышин,kamɨʂin
калязин,kalʲazʲin
дружба,druʒba
камешково,kamʲeʂkovo
джагды,d͡ʒaɡdɨ
вконтакте,vkontaktʲe
шхара,ʂxara
обьенисейский,obʲenisʲejskʲij
канал,kanal
подольск,podolʲsk
кандалакша,kandalakʂa
искра,iskra
лукойл,lukojl
мгимо,mɡimo
карабулак,karabulak
карачаевск,karat͡ɕʲaevsk
карачев,karat͡ɕʲev
астрон,astron
палтога,paltoɡa
мытищи,mɨtʲiɕːi
ладушкин,laduʂkʲin
симферополь,sʲimfʲeropolʲ
тасс,tass
кашин,kaʂin
ялта,jalta
каргополь,karɡopolʲ
забайкальск,zabajkalʲsk
касимов,kasʲimov
нижегородский,niʒeɡorodskʲij
метрополитен,mʲetropolʲitʲen
листвянка,lʲistvʲanka
футуризм,futurʲizm
кашира,kaʂira
кемь,kʲemʲ
дербент,dʲerbʲent
кизляр,kʲizlʲar
опочка,opot͡ɕʲka
нерчинск,nert͡ɕʲinsk
ахмат,axmat
арена,arʲena
бион,bʲion
хасавюрт,xasavʲurt
орочи,orot͡ɕʲi
кимры,kʲimrɨ
кимовск,kʲimovsk
кинель,kʲinelʲ
белушья,bʲeluʂa
губа,ɡuba
демянск,dʲemʲansk
царицыно,t͡sarʲit͡sɨno
лача,lat͡ɕʲa
байкалоамурская,bajkaloamurskaa
магистраль,maɡistralʲ
лакинск,lakʲinsk
киреевск,kʲirʲeevsk
кинешма,kʲineʂma
интерфакс,intʲerfaks
кисловодск,kʲislovodsk
киренск,kʲirʲensk
киржач,kʲirʒat͡ɕʲ
калинка,kalʲinka
уланудэнский,ulanudenskʲij
трамвай,tramvaj
кировск,kʲirovsk
черский,t͡ɕʲerskʲij
климовск,klʲimovsk
клин,klʲin
клинцы,klʲint͡sɨ
кола,kola
кологрив,koloɡrʲiv
козельск,kozʲelʲsk
агинское,aɡinskoe
когалым,koɡalɨm
ковылкино,kovɨlkʲino
кольчугино,kolʲt͡ɕʲuɡino
конаково,konakovo
кондопога,kondopoɡa
кондрово,kondrovo
королёв,korolʲov
кораблино,korablʲino
туруханск,turuxansk
сихотэалинь,sʲixotealʲinʲ
корсаков,korsakov
костерёво,kostʲerʲovo
коряжма,korʲaʒma
котельники,kotʲelʲnikʲi
красногорск,krasnoɡorsk
аян,aan
краснозаводск,krasnozavodsk
краснознаменск,krasnoznamʲensk
котлас,kotlas
котельнич,kotʲelʲnit͡ɕʲ
красноармейск,krasnoarmʲejsk
яковлев,jakovlʲev
новошахтинск,novoʂaxtʲinsk
красный,krasnɨj
сулин,sulʲin
суржик,surʒik
кронштадт,kronʂtadt
кстово,kstovo
аник,anik
тикси,tʲiksʲi
кувшиново,kuvʂinovo
кудымкар,kudɨmkar
нанайцы,nanajt͡sɨ
амдерма,amdʲerma
вятское,vʲatskoe
лениногорск,lʲeninoɡorsk
ашкеназы,aʂkʲenazɨ
курильск,kurʲilʲsk
курлово,kurlovo
беломорскобалтийский,bʲelomorskobaltʲijskʲij
трансаэро,transaero
лабытнанги,labɨtnanɡi
кяхта,kʲaxta
маяк,maak
бураново,buranovo
керчь,kʲert͡ɕʲ
находка,naxodka
лаишево,laiʂevo
росатом,rosatom
дыхтау,dɨxtau
рубль,rublʲ
ссср,sssr
лесозаводск,lʲesozavodsk
леон,lʲeon
сатурн,saturn
ленск,lʲensk
атсонупури,atsonupurʲi
таннуола,tannuola
сретенье,srʲetʲene
ливны,lʲivnɨ
ломоносов,lomonosov
липки,lʲipkʲi
лихославль,lʲixoslavlʲ
лиски,lʲiskʲi
ангара,anɡara
макаров,makarov
земля,zʲemlʲa
георга,ɡeorɡa
любим,lʲubʲim
людиново,lʲudʲinovo
москвич,moskvʲit͡ɕʲ
китеж,kʲitʲeʒ
луховицы,luxovʲit͡sɨ
парус,parus
макарьев,makarʲev
малая,malaa
вишера,vʲiʂera
малгобек,malɡobʲek
архара,arxara
малоархангельск,maloarxanɡelʲsk
малоярославец,maloaroslavʲet͡s
мамадыш,mamadɨʂ
мамоново,mamonovo
гопники,ɡopnikʲi
тятя,tʲatʲa
мглин,mɡlʲin
мегион,mʲeɡion
медвежьегорск,mʲedvʲeʒeɡorsk
мантурово,manturovo
хибины,xʲibʲinɨ
северсталь,sʲevʲerstalʲ
дальавиа,dalʲavʲia
ленфильм,lʲenfʲilʲm
медынь,mʲedɨnʲ
межгорье,mʲeʒɡorʲe
междуреченск,mʲeʒdurʲet͡ɕʲensk
мензелинск,mʲenzʲelʲinsk
мещовск,mʲeɕːovsk
меленки,mʲelʲenkʲi
менделеевск,mʲendʲelʲeevsk
атомфлот,atomflot
сочи,sot͡ɕʲi
минеральные,mʲineralʲnɨe
воды,vodɨ
минусинск,mʲinusʲinsk
забайкалье,zabajkalʲe
российский,rossʲijskʲij
мичуринск,mʲit͡ɕʲurʲinsk
михайлов,mʲixajlov
пограничный,poɡranit͡ɕʲnɨj
можайск,moʒajsk
мончегорск,mont͡ɕʲeɡorsk
ленин,lʲenin
охотск,oxotsk
монголы,monɡolɨ
пятигорск,pʲatʲiɡorsk
мосальск,mosalʲsk
яр,jar
раменское,ramʲenskoe
муром,murom
мценск,mt͡sensk
эльбрус,elʲbrus
мышкин,mɨʂkʲin
коломенское,kolomʲenskoe
атомстройэкспорт,atomstrojeksport
неро,nero
назрань,nazranʲ
боголюбово,boɡolʲubovo
южный,juʒnɨj
поток,potok
невель,nevʲelʲ
невельск,nevʲelʲsk
шуховская,ʂuxovskaa
башня,baʂna
союзное,souznoe
государство,ɡosudarstvo
невинномысск,nevʲinnomɨssk
уйгуры,ujɡurɨ
моздок,mozdok
ардон,ardon
аврора,avrora
переделкино,pʲerʲedʲelkʲino
орск,orsk
торопец,toropʲet͡s
мир,mʲir
толбачик,tolbat͡ɕʲik
тобольск,tobolʲsk
газета,ɡazʲeta
таганрог,taɡanroɡ
ржд,rʒd
императорский,impʲeratorskʲij
царскосельский,t͡sarskosʲelʲskʲij
лицей,lʲit͡sej
академик,akadʲemʲik
еникале,jenikalʲe
аркона,arkona
шивелуч,ʂivʲelut͡ɕʲ
нерехта,nerʲexta
нелидово,nelʲidovo
нерюнгри,nerʲunɡrʲi
слободская,slobodskaa
украина,ukraina
черноморскокаспийская,t͡ɕʲernomorskokaspʲijskaa
пеники,pʲenikʲi
олонец,olonet͡s
нестеров,nestʲerov
нея,nea
мариинск,marʲiinsk
нижневартовск,niʒnevartovsk
нижнекамск,niʒnekamsk
казанский,kazanskʲij
кремль,krʲemlʲ
диксон,dʲikson
союзмультфильм,souzmulʲtfʲilʲm
фенноскандия,fʲennoskandʲia
холмогоры,xolmoɡorɨ
нововоронеж,novovoroneʒ
автодром,avtodrom
мангазея,manɡazʲea
новозыбков,novozɨbkov
новодвинск,novodvʲinsk
ряжск,rʲaʒsk
палана,palana
авиадвигатель,avʲiadvʲiɡatʲelʲ
новокуйбышевск,novokujbɨʂevsk
новомичуринск,novomʲit͡ɕʲurʲinsk
новомосковск,novomoskovsk
новоржев,novorʒev
новосиль,novosʲilʲ
новосокольники,novosokolʲnikʲi
ноглики,noɡlʲikʲi
ольга,olʲɡa
лесогорское,lʲesoɡorskoe
метровагонмаш,mʲetrovaɡonmaʂ
эльгыгытгын,elʲɡɨɡɨtɡɨn
новый,novɨj
уренгой,urʲenɡoj
ногинск,noɡinsk
норильск,norʲilʲsk
нурлат,nurlat
ноябрьск,noabrʲsk
бырранга,bɨrranɡa
чита,t͡ɕʲita
нюрба,nurba
новочеркасск,novot͡ɕʲerkassk
няндома,nandoma
нягань,naɡanʲ
новочебоксарск,novot͡ɕʲeboksarsk
обнинск,obninsk
одинцово,odʲint͡sovo
ожерелье,oʒerʲelʲe
вильчека,vʲilʲt͡ɕʲeka
остров,ostrov
осташков,ostaʂkov
озёрск,ozʲorsk
хасан,xasan
независимая,nezavʲisʲimaa
александроневская,alʲeksandronevskaa
лавра,lavra
базовый,bazovɨj
элемент,elʲemʲent
башнефть,baʂneftʲ
баскунчак,baskunt͡ɕʲak
олёкминск,olʲokmʲinsk
окуловка,okulovka
белуха,bʲeluxa
онега,oneɡa
бурлак,burlak
базардюзю,bazardʲuzʲu
оха,oxa
павловск,pavlovsk
мамаев,mamaev
павловский,pavlovskʲij
посад,posad
партизанск,partʲizansk
певек,pʲevʲek
устьордынский,ustʲordɨnskʲij
палатка,palatka
петропавловский,pʲetropavlovskʲij
собор,sobor
волгодонской,volɡodonskoj
пионерский,pʲionerskʲij
печоры,pʲet͡ɕʲorɨ
звезда,zvʲezda
петергоф,pʲetʲerɡof
пестово,pʲestovo
карачай,karat͡ɕʲaj
петушки,pʲetuʂkʲi
ванино,vanino
печора,pʲet͡ɕʲora
безымянный,bʲezɨmʲannɨj
интеркосмос,intʲerkosmos
берутарубе,bʲerutarubʲe
плавск,plavsk
плёс,plʲos
блестящие,blʲestʲaɕːie
останкинская,ostankʲinskaa
телебашня,tʲelʲebaʂna
покровск,pokrovsk
слюдянка,slʲudʲanka
юкос,jukos
пастила,pastʲila
распутица,rasputʲit͡sa
селигер,sʲelʲiɡer
ломо,lomo
челюскин,t͡ɕʲelʲuskʲin
балаклава,balaklava
полесск,polʲessk
ясная,jasnaa
цаганхаг,t͡saɡanxaɡ
порхов,porxov
почеп,pot͡ɕʲep
полярный,polʲarnɨj
сургут,surɡut
поронайск,poronajsk
починок,pot͡ɕʲinok
пошехонье,poʂexone
известия,izvʲestʲia
капустин,kapustʲin
халхамонголы,xalxamonɡolɨ
московский,moskovskʲij
международный,mʲeʒdunarodnɨj
фестиваль,fʲestʲivalʲ
мира,mʲira
горки,ɡorkʲi
ленинские,lʲeninskʲie
тымовское,tɨmovskoe
правдинск,pravdʲinsk
сокольники,sokolʲnikʲi
прокопьевск,prokopʲevsk
правда,pravda
радужный,raduʒnɨj
таймыр,tajmɨr
никель,nikʲelʲ
пластун,plastun
смоленсксеверный,smolʲensksʲevʲernɨj
пустошка,pustoʂka
пущино,puɕːino
пыталово,pɨtalovo
интурист,inturʲist
комсомольская,komsomolʲskaa
мемориал,mʲemorʲial
смирных,smʲirnɨx
камаринская,kamarʲinskaa
бунге,bunɡe
шацк,ʂat͡sk
викимапия,vʲikʲimapʲia
палех,palʲex
бурейская,burʲejskaa
гэс,ɡes
петровичи,pʲetrovʲit͡ɕʲi
зенит,zʲenit
серов,sʲerov
провидения,provʲidʲenia
уэлен,uelʲen
северодвинск,sʲevʲerodvʲinsk
наши,naʂi
нижнеангарск,niʒneanɡarsk
лучегорск,lut͡ɕʲeɡorsk
сколково,skolkovo
роскосмос,roskosmos
центральный,t͡sentralʲnɨj
стадион,stadʲion
профсоюзов,profsouzov
чеко,t͡ɕʲeko
оймякон,ojmʲakon
эвенки,evʲenkʲi
оленёк,olʲenok
ржев,rʒev
карелия,karʲelʲia
мутновский,mutnovskʲij
луна,luna
менделеево,mʲendʲelʲeevo
сухой,suxoj
реутов,rʲeutov
рославль,roslavlʲ
город,ɡorod
столиц,stolʲit͡s
корицкий,korʲit͡skʲij
стрела,strʲela
ямал,jamal
ростов,rostov
рубцовск,rubt͡sovsk
рудня,rudna
руза,ruza
сарапул,sarapul
рыбинск,rɨbʲinsk
рыбное,rɨbnoe
рыльск,rɨlʲsk
салават,salavat
чегдомын,t͡ɕʲeɡdomɨn
саров,sarov
сафоново,safonovo
сасово,sasovo
северокурильск,sʲevʲerokurʲilʲsk
северобайкальск,sʲevʲerobajkalʲsk
сергиев,sʲerɡiev
североморск,sʲevʲeromorsk
себеж,sʲebʲeʒ
свободный,svobodnɨj
масленица,maslʲenit͡sa
джугджур,d͡ʒuɡd͡ʒur
северск,sʲevʲersk
светлогорск,svʲetloɡorsk
туполев,tupolʲev
сельцо,sʲelʲt͡so
севск,sʲevsk
комсомолец,komsomolʲet͡s
серпухов,sʲerpuxov
славск,slavsk
скопин,skopʲin
сковородино,skovorodʲino
сокол,sokol
советская,sovʲetskaa
гавань,ɡavanʲ
собинка,sobʲinka
снежинск,sneʒinsk
соликамск,solʲikamsk
солигалич,solʲiɡalʲit͡ɕʲ
сольвычегодск,solʲvɨt͡ɕʲeɡodsk
сольцы,solʲt͡sɨ
сортавала,sortavala
сосенский,sosʲenskʲij
среднеколымск,srʲednekolɨmsk
старица,starʲit͡sa
русса,russa
стародуб,starodub
старый,starɨj
оскол,oskol
стерлитамак,stʲerlʲitamak
струнино,strunino
суворов,suvorov
сураж,suraʒ
судогда,sudoɡda
тайшет,tajʂet
таруса,tarusa
тара,tara
сусуман,susuman
сухиничи,suxʲinit͡ɕʲi
сычёвка,sɨt͡ɕʲovka
тайга,tajɡa
томари,tomarʲi
томмот,tommot
торжок,torʒok
тетюши,tʲetʲuʂi
трубчевск,trubt͡ɕʲevsk
туапсе,tuapsʲe
тында,tɨnda
тутаев,tutaev
ракета,rakʲeta
сантамброджо,santambrod͡ʒo
лопатка,lopatka
силовик,sʲilovʲik
малокурильское,malokurʲilʲskoe
славянка,slavʲanka
дом,dom
сутягина,sutʲaɡina
краскино,kraskʲino
китайгород,kʲitajɡorod
тукурингра,tukurʲinɡra
саркел,sarkʲel
хороль,xorolʲ
зарубино,zarubʲino
чурапча,t͡ɕʲurapt͡ɕʲa
вщиж,vɕːiʒ
укек,ukʲek
удэгейцы,udeɡejt͡sɨ
усольясибирского,usolʲasʲibʲirskoɡo
поволжье,povolʒe
мелодия,mʲelodʲia
сабантуй,sabantuj
пронск,pronsk
кроноцкое,kronot͡skoe
мегаспорт,mʲeɡasport
эйик,ejik
красноселькуп,krasnosʲelʲkup
кунсткамера,kunstkamʲera
изборск,izborsk
мильково,mʲilʲkovo
всероссийская,vsʲerossʲijskaa
хоккейная,xokkʲejnaa
лига,lʲiɡa
восточноевропейская,vostot͡ɕʲnoevropʲejskaa
платформа,platforma
роснефть,rosneftʲ
орлан,orlan
сапсан,sapsan
курильское,kurʲilʲskoe
чумикан,t͡ɕʲumʲikan
ульчи,ulʲt͡ɕʲi
гидропроект,ɡidroproekt
эвены,evʲenɨ
народная,narodnaa
огонёк,oɡonok
ростелеком,rostʲelʲekom
кашлык,kaʂlɨk
духоборы,duxoborɨ
крымский,krɨmskʲij
троллейбус,trollʲejbus
никольское,nikolʲskoe
северщина,sʲevʲerɕːina
евразийство,jevrazʲijstvo
климов,klʲimov
ростех,rostʲex
янкан,jankan
васильевич,vasʲilʲevʲit͡ɕʲ
санктпетербургская,sanktpʲetʲerburɡskaa
филармония,fʲilarmonia
ямантау,jamantau
нефтегорск,neftʲeɡorsk
трансмашхолдинг,transmaʂxoldʲinɡ
когалымавиа,koɡalɨmavʲia
алаид,alaid
одоев,odoev
рынпески,rɨnpʲeskʲi
негидальцы,neɡidalʲt͡sɨ
иволгинский,ivolɡinskʲij
дацан,dat͡san
ямбург,jamburɡ
интеррос,intʲerros
нуклотрон,nuklotron
столичная,stolʲit͡ɕʲnaa
якутия,jakutʲia
гидропресс,ɡidroprʲess
ерофей,jerofʲej
павлович,pavlovʲit͡ɕʲ
кидекша,kʲidʲekʂa
гранд,ɡrand
отель,otʲelʲ
европа,jevropa
солидарность,solʲidarnostʲ
свияжск,svʲiaʒsk
газпромбанк,ɡazprombank
авиакон,avʲiakon
цитотранс,t͡sitotrans
ючюгей,jut͡ɕʲuɡej
сырники,sɨrnikʲi
кавалерово,kavalʲerovo
мусхая,musxaa
оротукан,orotukan
русгидро,rusɡidro
молния,molnia
родинамать,rodʲinamatʲ
чульман,t͡ɕʲulʲman
одксатурн,odksaturn
бестях,bʲestʲax
уралвагонзавод,uralvaɡonzavod
бежица,bʲeʒit͡sa
татнефть,tatneftʲ
царское,t͡sarskoe
село,sʲelo
баня,bana
полёт,polʲot
посьет,posʲet
кизи,kʲizʲi
шёлковый,ʂolkovɨj
путь,putʲ
кинопоиск,kʲinopoisk
терней,tʲernej
невское,nevskoe
горный,ɡornɨj
институт,instʲitut
шкотово,ʂkotovo
левый,lʲevɨj
фронт,front
коммунарка,kommunarka
порт,port
переяславка,pʲerʲeaslavka
богатырь,boɡatɨrʲ
коммерсантъ,kommʲersant
сунгирь,sunɡirʲ
погиби,poɡibʲi
косоворотка,kosovorotka
премьерлиги,prʲemʲerlʲiɡi
эльдикан,elʲdʲikan
татарстан,tatarstan
росэнергоатом,rosenerɡoatom
виви,vʲivʲi
на,na
клязьме,klʲazʲmʲe
гыда,ɡɨda
солнечный,solnet͡ɕʲnɨj
медвежий,mʲedvʲeʒij
сириус,sʲirʲius
чокурдах,t͡ɕʲokurdax
ведено,vʲedʲeno
авторадио,avtoradʲio
циолковский,t͡siolkovskʲij
троицкое,troit͡skoe
ак,ak
барс,bars
аэро,aero
вымпел,vɨmpʲel
тазы,tazɨ
транснефть,transneftʲ
демон,dʲemon
белая,bʲelaa
гора,ɡora
як,jak
сервис,sʲervʲis
абый,abɨj
рубин,rubʲin
маньпупунёр,manʲpupunor
агепста,aɡepsta
саскылах,saskɨlax
хандыга,xandɨɡa
стрижи,strʲiʒi
даурия,daurʲia
сарыч,sarɨt͡ɕʲ
гостиница,ɡostʲinit͡sa
коринтия,korʲintʲia
русские,russkʲie
витязи,vʲitʲazʲi
томтор,tomtor
голландия,ɡollandʲia
усвяты,usvʲatɨ
тауро,tauro
анекдот,anekdot
осетиноингушский,osʲetʲinoinɡuʂskʲij
конфликт,konflʲikt
хайыр,xajɨr
гостиный,ɡostʲinɨj
двор,dvor
беркакит,bʲerkakʲit
золотинка,zolotʲinka
албазино,albazʲino
кондратьево,kondratʲevo
кировский,kʲirovskʲij
анжи,anʒi
крильон,krʲilʲon
радоница,radonit͡sa
набережночелнинский,nabʲerʲeʒnot͡ɕʲelninskʲij
нижнетагильский,niʒnetaɡilʲskʲij
буссе,bussʲe
юкагир,jukaɡir
севвостлаг,sʲevvostlaɡ
опала,opala
карымское,karɨmskoe
аймак,ajmak
